context: Bathroom... response:	Whoa.
context: Cleaning, cleaning, la la la.\Beat the dust and crush it.\Weird song.\Leave no dust or trash behind.\Death to the world,\now clean, clean everything.\That sounds too dangerous!\Hey, Tohru, do you like being clean? response:	I suppose so. I like bathing and brushing my teeth.
context: Beat the dust and crush it.\Weird song.\Leave no dust or trash behind.\Death to the world,\now clean, clean everything.\That sounds too dangerous!\Hey, Tohru, do you like being clean?\I suppose so. I like bathing and brushing my teeth. response:	Brushing your teeth? Do you have a dragon-sized toothbrush?
context: Weird song.\Leave no dust or trash behind.\Death to the world,\now clean, clean everything.\That sounds too dangerous!\Hey, Tohru, do you like being clean?\I suppose so. I like bathing and brushing my teeth.\Brushing your teeth? Do you have a dragon-sized toothbrush? response:	No, I use my claws to scrape out the bugs.
context: Leave no dust or trash behind.\Death to the world,\now clean, clean everything.\That sounds too dangerous!\Hey, Tohru, do you like being clean?\I suppose so. I like bathing and brushing my teeth.\Brushing your teeth? Do you have a dragon-sized toothbrush?\No, I use my claws to scrape out the bugs. response:	Bugs?! Not bacteria?!
context: Death to the world,\now clean, clean everything.\That sounds too dangerous!\Hey, Tohru, do you like being clean?\I suppose so. I like bathing and brushing my teeth.\Brushing your teeth? Do you have a dragon-sized toothbrush?\No, I use my claws to scrape out the bugs.\Bugs?! Not bacteria?! response:	Well, they're so small I never notice them.
context: now clean, clean everything.\That sounds too dangerous!\Hey, Tohru, do you like being clean?\I suppose so. I like bathing and brushing my teeth.\Brushing your teeth? Do you have a dragon-sized toothbrush?\No, I use my claws to scrape out the bugs.\Bugs?! Not bacteria?!\Well, they're so small I never notice them. response:	Must be hard having a huge body.
context: That sounds too dangerous!\Hey, Tohru, do you like being clean?\I suppose so. I like bathing and brushing my teeth.\Brushing your teeth? Do you have a dragon-sized toothbrush?\No, I use my claws to scrape out the bugs.\Bugs?! Not bacteria?!\Well, they're so small I never notice them.\Must be hard having a huge body. response:	Yes. I went through a lot of trouble searching for places to live.
context: Hey, Tohru, do you like being clean?\I suppose so. I like bathing and brushing my teeth.\Brushing your teeth? Do you have a dragon-sized toothbrush?\No, I use my claws to scrape out the bugs.\Bugs?! Not bacteria?!\Well, they're so small I never notice them.\Must be hard having a huge body.\Yes. I went through a lot of trouble searching for places to live. response:	Ah, figures. What kind of places did you choose?
context: I suppose so. I like bathing and brushing my teeth.\Brushing your teeth? Do you have a dragon-sized toothbrush?\No, I use my claws to scrape out the bugs.\Bugs?! Not bacteria?!\Well, they're so small I never notice them.\Must be hard having a huge body.\Yes. I went through a lot of trouble searching for places to live.\Ah, figures. What kind of places did you choose? response:	Sometimes caves,
context: Brushing your teeth? Do you have a dragon-sized toothbrush?\No, I use my claws to scrape out the bugs.\Bugs?! Not bacteria?!\Well, they're so small I never notice them.\Must be hard having a huge body.\Yes. I went through a lot of trouble searching for places to live.\Ah, figures. What kind of places did you choose?\Sometimes caves, response:	sometimes ruins,
context: No, I use my claws to scrape out the bugs.\Bugs?! Not bacteria?!\Well, they're so small I never notice them.\Must be hard having a huge body.\Yes. I went through a lot of trouble searching for places to live.\Ah, figures. What kind of places did you choose?\Sometimes caves,\sometimes ruins, response:	sometimes mountains.
context: Bugs?! Not bacteria?!\Well, they're so small I never notice them.\Must be hard having a huge body.\Yes. I went through a lot of trouble searching for places to live.\Ah, figures. What kind of places did you choose?\Sometimes caves,\sometimes ruins,\sometimes mountains. response:	I've even slept up in the sky a few times.
context: Well, they're so small I never notice them.\Must be hard having a huge body.\Yes. I went through a lot of trouble searching for places to live.\Ah, figures. What kind of places did you choose?\Sometimes caves,\sometimes ruins,\sometimes mountains.\I've even slept up in the sky a few times. response:	Are you a migratory bird?!
context: Must be hard having a huge body.\Yes. I went through a lot of trouble searching for places to live.\Ah, figures. What kind of places did you choose?\Sometimes caves,\sometimes ruins,\sometimes mountains.\I've even slept up in the sky a few times.\Are you a migratory bird?! response:	Still, I guess you could live anywhere in that case.
context: Yes. I went through a lot of trouble searching for places to live.\Ah, figures. What kind of places did you choose?\Sometimes caves,\sometimes ruins,\sometimes mountains.\I've even slept up in the sky a few times.\Are you a migratory bird?!\Still, I guess you could live anywhere in that case. response:	Well, actually...
context: Ah, figures. What kind of places did you choose?\Sometimes caves,\sometimes ruins,\sometimes mountains.\I've even slept up in the sky a few times.\Are you a migratory bird?!\Still, I guess you could live anywhere in that case.\Well, actually... response:	Whenever I stayed in one place too long humans would soon start coming around.
context: Sometimes caves,\sometimes ruins,\sometimes mountains.\I've even slept up in the sky a few times.\Are you a migratory bird?!\Still, I guess you could live anywhere in that case.\Well, actually...\Whenever I stayed in one place too long humans would soon start coming around. response:	They were so annoying.
context: sometimes ruins,\sometimes mountains.\I've even slept up in the sky a few times.\Are you a migratory bird?!\Still, I guess you could live anywhere in that case.\Well, actually...\Whenever I stayed in one place too long humans would soon start coming around.\They were so annoying. response:	You were like a rare monster.
context: sometimes mountains.\I've even slept up in the sky a few times.\Are you a migratory bird?!\Still, I guess you could live anywhere in that case.\Well, actually...\Whenever I stayed in one place too long humans would soon start coming around.\They were so annoying.\You were like a rare monster. response:	So not only did my body keep getting dirty, I had a hard time bathing at all.
context: I've even slept up in the sky a few times.\Are you a migratory bird?!\Still, I guess you could live anywhere in that case.\Well, actually...\Whenever I stayed in one place too long humans would soon start coming around.\They were so annoying.\You were like a rare monster.\So not only did my body keep getting dirty, I had a hard time bathing at all. response:	Hmm.
context: Are you a migratory bird?!\Still, I guess you could live anywhere in that case.\Well, actually...\Whenever I stayed in one place too long humans would soon start coming around.\They were so annoying.\You were like a rare monster.\So not only did my body keep getting dirty, I had a hard time bathing at all.\Hmm. response:	When we had no other choice, we'd lick each other clean.
context: Still, I guess you could live anywhere in that case.\Well, actually...\Whenever I stayed in one place too long humans would soon start coming around.\They were so annoying.\You were like a rare monster.\So not only did my body keep getting dirty, I had a hard time bathing at all.\Hmm.\When we had no other choice, we'd lick each other clean. response:	Huh?!
context: Well, actually...\Whenever I stayed in one place too long humans would soon start coming around.\They were so annoying.\You were like a rare monster.\So not only did my body keep getting dirty, I had a hard time bathing at all.\Hmm.\When we had no other choice, we'd lick each other clean.\Huh?! response:	Kanna and I did that before.
context: Whenever I stayed in one place too long humans would soon start coming around.\They were so annoying.\You were like a rare monster.\So not only did my body keep getting dirty, I had a hard time bathing at all.\Hmm.\When we had no other choice, we'd lick each other clean.\Huh?!\Kanna and I did that before. response:	That's naughty by human standards!
context: They were so annoying.\You were like a rare monster.\So not only did my body keep getting dirty, I had a hard time bathing at all.\Hmm.\When we had no other choice, we'd lick each other clean.\Huh?!\Kanna and I did that before.\That's naughty by human standards! response:	*They were actually in dragon form
context: You were like a rare monster.\So not only did my body keep getting dirty, I had a hard time bathing at all.\Hmm.\When we had no other choice, we'd lick each other clean.\Huh?!\Kanna and I did that before.\That's naughty by human standards!\*They were actually in dragon form response:	Maybe so.
context: So not only did my body keep getting dirty, I had a hard time bathing at all.\Hmm.\When we had no other choice, we'd lick each other clean.\Huh?!\Kanna and I did that before.\That's naughty by human standards!\*They were actually in dragon form\Maybe so. response:	Well, most other dragons don't even care about it.
context: Hmm.\When we had no other choice, we'd lick each other clean.\Huh?!\Kanna and I did that before.\That's naughty by human standards!\*They were actually in dragon form\Maybe so.\Well, most other dragons don't even care about it. response:	We don't get sick or unhealthy either way.
context: When we had no other choice, we'd lick each other clean.\Huh?!\Kanna and I did that before.\That's naughty by human standards!\*They were actually in dragon form\Maybe so.\Well, most other dragons don't even care about it.\We don't get sick or unhealthy either way. response:	Wow, I'm kind of jealous.
context: Huh?!\Kanna and I did that before.\That's naughty by human standards!\*They were actually in dragon form\Maybe so.\Well, most other dragons don't even care about it.\We don't get sick or unhealthy either way.\Wow, I'm kind of jealous. response:	To be honest,
context: Kanna and I did that before.\That's naughty by human standards!\*They were actually in dragon form\Maybe so.\Well, most other dragons don't even care about it.\We don't get sick or unhealthy either way.\Wow, I'm kind of jealous.\To be honest, response:	Miss Kobayashi, you're sloppy.
context: That's naughty by human standards!\*They were actually in dragon form\Maybe so.\Well, most other dragons don't even care about it.\We don't get sick or unhealthy either way.\Wow, I'm kind of jealous.\To be honest,\Miss Kobayashi, you're sloppy. response:	You leave beer cans scattered about,
context: *They were actually in dragon form\Maybe so.\Well, most other dragons don't even care about it.\We don't get sick or unhealthy either way.\Wow, I'm kind of jealous.\To be honest,\Miss Kobayashi, you're sloppy.\You leave beer cans scattered about, response:	you leave your clothes lying where you took them off...
context: Maybe so.\Well, most other dragons don't even care about it.\We don't get sick or unhealthy either way.\Wow, I'm kind of jealous.\To be honest,\Miss Kobayashi, you're sloppy.\You leave beer cans scattered about,\you leave your clothes lying where you took them off... response:	Wh-What does it matter?
context: Well, most other dragons don't even care about it.\We don't get sick or unhealthy either way.\Wow, I'm kind of jealous.\To be honest,\Miss Kobayashi, you're sloppy.\You leave beer cans scattered about,\you leave your clothes lying where you took them off...\Wh-What does it matter? response:	That's one of the nice things about living alone.
context: We don't get sick or unhealthy either way.\Wow, I'm kind of jealous.\To be honest,\Miss Kobayashi, you're sloppy.\You leave beer cans scattered about,\you leave your clothes lying where you took them off...\Wh-What does it matter?\That's one of the nice things about living alone. response:	Also, you keep books arranged out of order.
context: Wow, I'm kind of jealous.\To be honest,\Miss Kobayashi, you're sloppy.\You leave beer cans scattered about,\you leave your clothes lying where you took them off...\Wh-What does it matter?\That's one of the nice things about living alone.\Also, you keep books arranged out of order. response:	Now that's just being too picky!
context: To be honest,\Miss Kobayashi, you're sloppy.\You leave beer cans scattered about,\you leave your clothes lying where you took them off...\Wh-What does it matter?\That's one of the nice things about living alone.\Also, you keep books arranged out of order.\Now that's just being too picky! response:	Ahem.
context: Miss Kobayashi, you're sloppy.\You leave beer cans scattered about,\you leave your clothes lying where you took them off...\Wh-What does it matter?\That's one of the nice things about living alone.\Also, you keep books arranged out of order.\Now that's just being too picky!\Ahem. response:	Understood. I'll overlook the books.
context: You leave beer cans scattered about,\you leave your clothes lying where you took them off...\Wh-What does it matter?\That's one of the nice things about living alone.\Also, you keep books arranged out of order.\Now that's just being too picky!\Ahem.\Understood. I'll overlook the books. response:	But please clean up your trash and clothes.
context: you leave your clothes lying where you took them off...\Wh-What does it matter?\That's one of the nice things about living alone.\Also, you keep books arranged out of order.\Now that's just being too picky!\Ahem.\Understood. I'll overlook the books.\But please clean up your trash and clothes. response:	This is my home.
context: Wh-What does it matter?\That's one of the nice things about living alone.\Also, you keep books arranged out of order.\Now that's just being too picky!\Ahem.\Understood. I'll overlook the books.\But please clean up your trash and clothes.\This is my home. response:	You can't. Because Kanna will pick up those habits.
context: That's one of the nice things about living alone.\Also, you keep books arranged out of order.\Now that's just being too picky!\Ahem.\Understood. I'll overlook the books.\But please clean up your trash and clothes.\This is my home.\You can't. Because Kanna will pick up those habits. response:	Fine.
context: Also, you keep books arranged out of order.\Now that's just being too picky!\Ahem.\Understood. I'll overlook the books.\But please clean up your trash and clothes.\This is my home.\You can't. Because Kanna will pick up those habits.\Fine. response:	My father must have felt this way when my mother yelled at him.
context: Now that's just being too picky!\Ahem.\Understood. I'll overlook the books.\But please clean up your trash and clothes.\This is my home.\You can't. Because Kanna will pick up those habits.\Fine.\My father must have felt this way when my mother yelled at him. response:	Still, Tohru,
context: Ahem.\Understood. I'll overlook the books.\But please clean up your trash and clothes.\This is my home.\You can't. Because Kanna will pick up those habits.\Fine.\My father must have felt this way when my mother yelled at him.\Still, Tohru, response:	I keep doing that by accident because I'm happy you're here to clean it up for me.
context: Understood. I'll overlook the books.\But please clean up your trash and clothes.\This is my home.\You can't. Because Kanna will pick up those habits.\Fine.\My father must have felt this way when my mother yelled at him.\Still, Tohru,\I keep doing that by accident because I'm happy you're here to clean it up for me. response:	Huh?!
context: But please clean up your trash and clothes.\This is my home.\You can't. Because Kanna will pick up those habits.\Fine.\My father must have felt this way when my mother yelled at him.\Still, Tohru,\I keep doing that by accident because I'm happy you're here to clean it up for me.\Huh?! response:	It's a piece of a cake for a mighty dragon, after all.
context: This is my home.\You can't. Because Kanna will pick up those habits.\Fine.\My father must have felt this way when my mother yelled at him.\Still, Tohru,\I keep doing that by accident because I'm happy you're here to clean it up for me.\Huh?!\It's a piece of a cake for a mighty dragon, after all. response:	Miss Kobayashi!
context: You can't. Because Kanna will pick up those habits.\Fine.\My father must have felt this way when my mother yelled at him.\Still, Tohru,\I keep doing that by accident because I'm happy you're here to clean it up for me.\Huh?!\It's a piece of a cake for a mighty dragon, after all.\Miss Kobayashi! response:	So please keep helping out, okay, Tohru?
context: Fine.\My father must have felt this way when my mother yelled at him.\Still, Tohru,\I keep doing that by accident because I'm happy you're here to clean it up for me.\Huh?!\It's a piece of a cake for a mighty dragon, after all.\Miss Kobayashi!\So please keep helping out, okay, Tohru? response:	Yes! With pleasure!
context: My father must have felt this way when my mother yelled at him.\Still, Tohru,\I keep doing that by accident because I'm happy you're here to clean it up for me.\Huh?!\It's a piece of a cake for a mighty dragon, after all.\Miss Kobayashi!\So please keep helping out, okay, Tohru?\Yes! With pleasure! response:	Simple-gon.
context: Still, Tohru,\I keep doing that by accident because I'm happy you're here to clean it up for me.\Huh?!\It's a piece of a cake for a mighty dragon, after all.\Miss Kobayashi!\So please keep helping out, okay, Tohru?\Yes! With pleasure!\Simple-gon. response:	Scoundrel Kobayashi.
context: I keep doing that by accident because I'm happy you're here to clean it up for me.\Huh?!\It's a piece of a cake for a mighty dragon, after all.\Miss Kobayashi!\So please keep helping out, okay, Tohru?\Yes! With pleasure!\Simple-gon.\Scoundrel Kobayashi. response:	Well, next up's packing.
context: Huh?!\It's a piece of a cake for a mighty dragon, after all.\Miss Kobayashi!\So please keep helping out, okay, Tohru?\Yes! With pleasure!\Simple-gon.\Scoundrel Kobayashi.\Well, next up's packing. response:	Though, nearly all of it is my personal belongings.
context: It's a piece of a cake for a mighty dragon, after all.\Miss Kobayashi!\So please keep helping out, okay, Tohru?\Yes! With pleasure!\Simple-gon.\Scoundrel Kobayashi.\Well, next up's packing.\Though, nearly all of it is my personal belongings. response:	Sorry for making you help out.
context: Miss Kobayashi!\So please keep helping out, okay, Tohru?\Yes! With pleasure!\Simple-gon.\Scoundrel Kobayashi.\Well, next up's packing.\Though, nearly all of it is my personal belongings.\Sorry for making you help out. response:	No, please ask anything of me!
context: So please keep helping out, okay, Tohru?\Yes! With pleasure!\Simple-gon.\Scoundrel Kobayashi.\Well, next up's packing.\Though, nearly all of it is my personal belongings.\Sorry for making you help out.\No, please ask anything of me! response:	I'll do my best, too.
context: Yes! With pleasure!\Simple-gon.\Scoundrel Kobayashi.\Well, next up's packing.\Though, nearly all of it is my personal belongings.\Sorry for making you help out.\No, please ask anything of me!\I'll do my best, too. response:	Hey, Kanna. Pack properly...
context: Simple-gon.\Scoundrel Kobayashi.\Well, next up's packing.\Though, nearly all of it is my personal belongings.\Sorry for making you help out.\No, please ask anything of me!\I'll do my best, too.\Hey, Kanna. Pack properly... response:	Miss Kobayashi, so cute!
context: Scoundrel Kobayashi.\Well, next up's packing.\Though, nearly all of it is my personal belongings.\Sorry for making you help out.\No, please ask anything of me!\I'll do my best, too.\Hey, Kanna. Pack properly...\Miss Kobayashi, so cute! response:	These dead-fish eyes are to die for!
context: Well, next up's packing.\Though, nearly all of it is my personal belongings.\Sorry for making you help out.\No, please ask anything of me!\I'll do my best, too.\Hey, Kanna. Pack properly...\Miss Kobayashi, so cute!\These dead-fish eyes are to die for! response:	Lady Tohru, you're a pervert.
context: Though, nearly all of it is my personal belongings.\Sorry for making you help out.\No, please ask anything of me!\I'll do my best, too.\Hey, Kanna. Pack properly...\Miss Kobayashi, so cute!\These dead-fish eyes are to die for!\Lady Tohru, you're a pervert. response:	What are you slacking off over?
context: Sorry for making you help out.\No, please ask anything of me!\I'll do my best, too.\Hey, Kanna. Pack properly...\Miss Kobayashi, so cute!\These dead-fish eyes are to die for!\Lady Tohru, you're a pervert.\What are you slacking off over? response:	Oh, this was still here?
context: No, please ask anything of me!\I'll do my best, too.\Hey, Kanna. Pack properly...\Miss Kobayashi, so cute!\These dead-fish eyes are to die for!\Lady Tohru, you're a pervert.\What are you slacking off over?\Oh, this was still here? response:	Miss Kobayashi.
context: I'll do my best, too.\Hey, Kanna. Pack properly...\Miss Kobayashi, so cute!\These dead-fish eyes are to die for!\Lady Tohru, you're a pervert.\What are you slacking off over?\Oh, this was still here?\Miss Kobayashi. response:	Whoa, sorry!
context: Hey, Kanna. Pack properly...\Miss Kobayashi, so cute!\These dead-fish eyes are to die for!\Lady Tohru, you're a pervert.\What are you slacking off over?\Oh, this was still here?\Miss Kobayashi.\Whoa, sorry! response:	Miss Kobayashi!
context: Miss Kobayashi, so cute!\These dead-fish eyes are to die for!\Lady Tohru, you're a pervert.\What are you slacking off over?\Oh, this was still here?\Miss Kobayashi.\Whoa, sorry!\Miss Kobayashi! response:	Is this yours, Miss Kobayashi?
context: These dead-fish eyes are to die for!\Lady Tohru, you're a pervert.\What are you slacking off over?\Oh, this was still here?\Miss Kobayashi.\Whoa, sorry!\Miss Kobayashi!\Is this yours, Miss Kobayashi? response:	It is, but...
context: Lady Tohru, you're a pervert.\What are you slacking off over?\Oh, this was still here?\Miss Kobayashi.\Whoa, sorry!\Miss Kobayashi!\Is this yours, Miss Kobayashi?\It is, but... response:	Please try it on!
context: What are you slacking off over?\Oh, this was still here?\Miss Kobayashi.\Whoa, sorry!\Miss Kobayashi!\Is this yours, Miss Kobayashi?\It is, but...\Please try it on! response:	I want to see you in a maid outfit!
context: Oh, this was still here?\Miss Kobayashi.\Whoa, sorry!\Miss Kobayashi!\Is this yours, Miss Kobayashi?\It is, but...\Please try it on!\I want to see you in a maid outfit! response:	I won't.
context: Miss Kobayashi.\Whoa, sorry!\Miss Kobayashi!\Is this yours, Miss Kobayashi?\It is, but...\Please try it on!\I want to see you in a maid outfit!\I won't. response:	Huh? But you bought it intending to wear it, right?
context: Whoa, sorry!\Miss Kobayashi!\Is this yours, Miss Kobayashi?\It is, but...\Please try it on!\I want to see you in a maid outfit!\I won't.\Huh? But you bought it intending to wear it, right? response:	I got my arms into it and then despaired at how bad I looked in it.
context: Miss Kobayashi!\Is this yours, Miss Kobayashi?\It is, but...\Please try it on!\I want to see you in a maid outfit!\I won't.\Huh? But you bought it intending to wear it, right?\I got my arms into it and then despaired at how bad I looked in it. response:	So I'm not wearing it again.
context: Is this yours, Miss Kobayashi?\It is, but...\Please try it on!\I want to see you in a maid outfit!\I won't.\Huh? But you bought it intending to wear it, right?\I got my arms into it and then despaired at how bad I looked in it.\So I'm not wearing it again. response:	Then would you mind if I wear it?
context: It is, but...\Please try it on!\I want to see you in a maid outfit!\I won't.\Huh? But you bought it intending to wear it, right?\I got my arms into it and then despaired at how bad I looked in it.\So I'm not wearing it again.\Then would you mind if I wear it? response:	Go ahead.
context: Please try it on!\I want to see you in a maid outfit!\I won't.\Huh? But you bought it intending to wear it, right?\I got my arms into it and then despaired at how bad I looked in it.\So I'm not wearing it again.\Then would you mind if I wear it?\Go ahead. response:	Thank you very much!
context: I want to see you in a maid outfit!\I won't.\Huh? But you bought it intending to wear it, right?\I got my arms into it and then despaired at how bad I looked in it.\So I'm not wearing it again.\Then would you mind if I wear it?\Go ahead.\Thank you very much! response:	Sorry for the wait.
context: I won't.\Huh? But you bought it intending to wear it, right?\I got my arms into it and then despaired at how bad I looked in it.\So I'm not wearing it again.\Then would you mind if I wear it?\Go ahead.\Thank you very much!\Sorry for the wait. response:	Lady Tohru, so pretty!
context: Huh? But you bought it intending to wear it, right?\I got my arms into it and then despaired at how bad I looked in it.\So I'm not wearing it again.\Then would you mind if I wear it?\Go ahead.\Thank you very much!\Sorry for the wait.\Lady Tohru, so pretty! response:	Yeah, I think it looks good.
context: I got my arms into it and then despaired at how bad I looked in it.\So I'm not wearing it again.\Then would you mind if I wear it?\Go ahead.\Thank you very much!\Sorry for the wait.\Lady Tohru, so pretty!\Yeah, I think it looks good. response:	Thank you very much.
context: So I'm not wearing it again.\Then would you mind if I wear it?\Go ahead.\Thank you very much!\Sorry for the wait.\Lady Tohru, so pretty!\Yeah, I think it looks good.\Thank you very much. response:	Still, your clothes are bit too tight in the chest for me.
context: Then would you mind if I wear it?\Go ahead.\Thank you very much!\Sorry for the wait.\Lady Tohru, so pretty!\Yeah, I think it looks good.\Thank you very much.\Still, your clothes are bit too tight in the chest for me. response:	That said...
context: Go ahead.\Thank you very much!\Sorry for the wait.\Lady Tohru, so pretty!\Yeah, I think it looks good.\Thank you very much.\Still, your clothes are bit too tight in the chest for me.\That said... response:	Are you really a D?
context: Thank you very much!\Sorry for the wait.\Lady Tohru, so pretty!\Yeah, I think it looks good.\Thank you very much.\Still, your clothes are bit too tight in the chest for me.\That said...\Are you really a D? response:	I'm a D among dragons.
context: Sorry for the wait.\Lady Tohru, so pretty!\Yeah, I think it looks good.\Thank you very much.\Still, your clothes are bit too tight in the chest for me.\That said...\Are you really a D?\I'm a D among dragons. response:	Ah, so good!
context: Lady Tohru, so pretty!\Yeah, I think it looks good.\Thank you very much.\Still, your clothes are bit too tight in the chest for me.\That said...\Are you really a D?\I'm a D among dragons.\Ah, so good! response:	Good work, everyone.
context: Yeah, I think it looks good.\Thank you very much.\Still, your clothes are bit too tight in the chest for me.\That said...\Are you really a D?\I'm a D among dragons.\Ah, so good!\Good work, everyone. response:	Yeah, thanks, you two.
context: Thank you very much.\Still, your clothes are bit too tight in the chest for me.\That said...\Are you really a D?\I'm a D among dragons.\Ah, so good!\Good work, everyone.\Yeah, thanks, you two. response:	Bath, bath...
context: Still, your clothes are bit too tight in the chest for me.\That said...\Are you really a D?\I'm a D among dragons.\Ah, so good!\Good work, everyone.\Yeah, thanks, you two.\Bath, bath... response:	Hmm?
context: That said...\Are you really a D?\I'm a D among dragons.\Ah, so good!\Good work, everyone.\Yeah, thanks, you two.\Bath, bath...\Hmm? response:	Does anyone know what happened to the towels and change of clothes in the bathroom?
context: Are you really a D?\I'm a D among dragons.\Ah, so good!\Good work, everyone.\Yeah, thanks, you two.\Bath, bath...\Hmm?\Does anyone know what happened to the towels and change of clothes in the bathroom? response:	I put them away properly!
