context: Birth of the Mightiest Warrior? Nail and Piccolo Merge response:	There are no readings for the Ginyu Toksentai.
context: For that matter, I have no intention of ever reuniting with that guy.\Unite with me.\I am the... last Warrior-Type Nameksei-jin left on my world.\What? With you?\That's right. Your current power will be increased several times over.\Thanks for the offer, but I'd rather be who I am.\I don't want to combine my individuality with yours.\Such a proud fellow... response:	Hurry!...There's... no time.
context: Unite with me.\I am the... last Warrior-Type Nameksei-jin left on my world.\What? With you?\That's right. Your current power will be increased several times over.\Thanks for the offer, but I'd rather be who I am.\I don't want to combine my individuality with yours.\Such a proud fellow...\Hurry!...There's... no time. response:	I am about to die. Quickly, place your hand on my body.
context: I am the... last Warrior-Type Nameksei-jin left on my world.\What? With you?\That's right. Your current power will be increased several times over.\Thanks for the offer, but I'd rather be who I am.\I don't want to combine my individuality with yours.\Such a proud fellow...\Hurry!...There's... no time.\I am about to die. Quickly, place your hand on my body. response:	Do not worry.
context: What? With you?\That's right. Your current power will be increased several times over.\Thanks for the offer, but I'd rather be who I am.\I don't want to combine my individuality with yours.\Such a proud fellow...\Hurry!...There's... no time.\I am about to die. Quickly, place your hand on my body.\Do not worry. response:	Your individuality will be yours. I will be yours. I offer no more than this opportunity.
context: That's right. Your current power will be increased several times over.\Thanks for the offer, but I'd rather be who I am.\I don't want to combine my individuality with yours.\Such a proud fellow...\Hurry!...There's... no time.\I am about to die. Quickly, place your hand on my body.\Do not worry.\Your individuality will be yours. I will be yours. I offer no more than this opportunity. response:	You wouldn't lie to me, would you?
context: Thanks for the offer, but I'd rather be who I am.\I don't want to combine my individuality with yours.\Such a proud fellow...\Hurry!...There's... no time.\I am about to die. Quickly, place your hand on my body.\Do not worry.\Your individuality will be yours. I will be yours. I offer no more than this opportunity.\You wouldn't lie to me, would you? response:	If that's what you think, you can go on ahead and get killed by Freeza.
context: I don't want to combine my individuality with yours.\Such a proud fellow...\Hurry!...There's... no time.\I am about to die. Quickly, place your hand on my body.\Do not worry.\Your individuality will be yours. I will be yours. I offer no more than this opportunity.\You wouldn't lie to me, would you?\If that's what you think, you can go on ahead and get killed by Freeza. response:	All right.
context: Such a proud fellow...\Hurry!...There's... no time.\I am about to die. Quickly, place your hand on my body.\Do not worry.\Your individuality will be yours. I will be yours. I offer no more than this opportunity.\You wouldn't lie to me, would you?\If that's what you think, you can go on ahead and get killed by Freeza.\All right. response:	Fine, then. I'll try you out.
context: Hurry!...There's... no time.\I am about to die. Quickly, place your hand on my body.\Do not worry.\Your individuality will be yours. I will be yours. I offer no more than this opportunity.\You wouldn't lie to me, would you?\If that's what you think, you can go on ahead and get killed by Freeza.\All right.\Fine, then. I'll try you out. response:	But if I don't like what happens, I'll drive you out again.
context: I am about to die. Quickly, place your hand on my body.\Do not worry.\Your individuality will be yours. I will be yours. I offer no more than this opportunity.\You wouldn't lie to me, would you?\If that's what you think, you can go on ahead and get killed by Freeza.\All right.\Fine, then. I'll try you out.\But if I don't like what happens, I'll drive you out again. response:	What a thing to say, while I'm offering such a wonderful present to you of my own good will.
context: Do not worry.\Your individuality will be yours. I will be yours. I offer no more than this opportunity.\You wouldn't lie to me, would you?\If that's what you think, you can go on ahead and get killed by Freeza.\All right.\Fine, then. I'll try you out.\But if I don't like what happens, I'll drive you out again.\What a thing to say, while I'm offering such a wonderful present to you of my own good will. response:	I'm in a hurry. If we're going to do this, let's get it over.
context: Your individuality will be yours. I will be yours. I offer no more than this opportunity.\You wouldn't lie to me, would you?\If that's what you think, you can go on ahead and get killed by Freeza.\All right.\Fine, then. I'll try you out.\But if I don't like what happens, I'll drive you out again.\What a thing to say, while I'm offering such a wonderful present to you of my own good will.\I'm in a hurry. If we're going to do this, let's get it over. response:	Be sure... you kill... Freeza.
context: You wouldn't lie to me, would you?\If that's what you think, you can go on ahead and get killed by Freeza.\All right.\Fine, then. I'll try you out.\But if I don't like what happens, I'll drive you out again.\What a thing to say, while I'm offering such a wonderful present to you of my own good will.\I'm in a hurry. If we're going to do this, let's get it over.\Be sure... you kill... Freeza. response:	I don't need you to tell me.
context: If that's what you think, you can go on ahead and get killed by Freeza.\All right.\Fine, then. I'll try you out.\But if I don't like what happens, I'll drive you out again.\What a thing to say, while I'm offering such a wonderful present to you of my own good will.\I'm in a hurry. If we're going to do this, let's get it over.\Be sure... you kill... Freeza.\I don't need you to tell me. response:	If I can, I'll do it for my own sake.
context: All right.\Fine, then. I'll try you out.\But if I don't like what happens, I'll drive you out again.\What a thing to say, while I'm offering such a wonderful present to you of my own good will.\I'm in a hurry. If we're going to do this, let's get it over.\Be sure... you kill... Freeza.\I don't need you to tell me.\If I can, I'll do it for my own sake. response:	Impossible... How can this be?
context: Fine, then. I'll try you out.\But if I don't like what happens, I'll drive you out again.\What a thing to say, while I'm offering such a wonderful present to you of my own good will.\I'm in a hurry. If we're going to do this, let's get it over.\Be sure... you kill... Freeza.\I don't need you to tell me.\If I can, I'll do it for my own sake.\Impossible... How can this be? response:	What incredible power!
context: But if I don't like what happens, I'll drive you out again.\What a thing to say, while I'm offering such a wonderful present to you of my own good will.\I'm in a hurry. If we're going to do this, let's get it over.\Be sure... you kill... Freeza.\I don't need you to tell me.\If I can, I'll do it for my own sake.\Impossible... How can this be?\What incredible power! response:	What an unbelievably fearsome power this is!
context: What a thing to say, while I'm offering such a wonderful present to you of my own good will.\I'm in a hurry. If we're going to do this, let's get it over.\Be sure... you kill... Freeza.\I don't need you to tell me.\If I can, I'll do it for my own sake.\Impossible... How can this be?\What incredible power!\What an unbelievably fearsome power this is! response:	Is this what uniting with someone is like!?
context: I'm in a hurry. If we're going to do this, let's get it over.\Be sure... you kill... Freeza.\I don't need you to tell me.\If I can, I'll do it for my own sake.\Impossible... How can this be?\What incredible power!\What an unbelievably fearsome power this is!\Is this what uniting with someone is like!? response:	I will win! Regardless of the opponent, I cannot lose now!
context: Be sure... you kill... Freeza.\I don't need you to tell me.\If I can, I'll do it for my own sake.\Impossible... How can this be?\What incredible power!\What an unbelievably fearsome power this is!\Is this what uniting with someone is like!?\I will win! Regardless of the opponent, I cannot lose now! response:	I have now obtained the ultimate power!
context: I don't need you to tell me.\If I can, I'll do it for my own sake.\Impossible... How can this be?\What incredible power!\What an unbelievably fearsome power this is!\Is this what uniting with someone is like!?\I will win! Regardless of the opponent, I cannot lose now!\I have now obtained the ultimate power! response:	Gohan! At this rate, Vegeta will be beaten in no time.
context: If I can, I'll do it for my own sake.\Impossible... How can this be?\What incredible power!\What an unbelievably fearsome power this is!\Is this what uniting with someone is like!?\I will win! Regardless of the opponent, I cannot lose now!\I have now obtained the ultimate power!\Gohan! At this rate, Vegeta will be beaten in no time. response:	We have to act now. It's our only chance!
context: Impossible... How can this be?\What incredible power!\What an unbelievably fearsome power this is!\Is this what uniting with someone is like!?\I will win! Regardless of the opponent, I cannot lose now!\I have now obtained the ultimate power!\Gohan! At this rate, Vegeta will be beaten in no time.\We have to act now. It's our only chance! response:	Right!
context: What incredible power!\What an unbelievably fearsome power this is!\Is this what uniting with someone is like!?\I will win! Regardless of the opponent, I cannot lose now!\I have now obtained the ultimate power!\Gohan! At this rate, Vegeta will be beaten in no time.\We have to act now. It's our only chance!\Right! response:	Krillin-san!
context: What an unbelievably fearsome power this is!\Is this what uniting with someone is like!?\I will win! Regardless of the opponent, I cannot lose now!\I have now obtained the ultimate power!\Gohan! At this rate, Vegeta will be beaten in no time.\We have to act now. It's our only chance!\Right!\Krillin-san! response:	Su- Such a Ki! There's no way we can win!
context: Is this what uniting with someone is like!?\I will win! Regardless of the opponent, I cannot lose now!\I have now obtained the ultimate power!\Gohan! At this rate, Vegeta will be beaten in no time.\We have to act now. It's our only chance!\Right!\Krillin-san!\Su- Such a Ki! There's no way we can win! response:	Of course not.
context: I will win! Regardless of the opponent, I cannot lose now!\I have now obtained the ultimate power!\Gohan! At this rate, Vegeta will be beaten in no time.\We have to act now. It's our only chance!\Right!\Krillin-san!\Su- Such a Ki! There's no way we can win!\Of course not. response:	Did you think that only three ants could defeat a whole dinosaur?
context: I have now obtained the ultimate power!\Gohan! At this rate, Vegeta will be beaten in no time.\We have to act now. It's our only chance!\Right!\Krillin-san!\Su- Such a Ki! There's no way we can win!\Of course not.\Did you think that only three ants could defeat a whole dinosaur? response:	We can win!
context: Gohan! At this rate, Vegeta will be beaten in no time.\We have to act now. It's our only chance!\Right!\Krillin-san!\Su- Such a Ki! There's no way we can win!\Of course not.\Did you think that only three ants could defeat a whole dinosaur?\We can win! response:	If the three of us fight together, we'll find a way to beat you.
context: We have to act now. It's our only chance!\Right!\Krillin-san!\Su- Such a Ki! There's no way we can win!\Of course not.\Did you think that only three ants could defeat a whole dinosaur?\We can win!\If the three of us fight together, we'll find a way to beat you. response:	What's that? You can beat me?
context: Right!\Krillin-san!\Su- Such a Ki! There's no way we can win!\Of course not.\Did you think that only three ants could defeat a whole dinosaur?\We can win!\If the three of us fight together, we'll find a way to beat you.\What's that? You can beat me? response:	That's right.
context: Krillin-san!\Su- Such a Ki! There's no way we can win!\Of course not.\Did you think that only three ants could defeat a whole dinosaur?\We can win!\If the three of us fight together, we'll find a way to beat you.\What's that? You can beat me?\That's right. response:	That's the last thing I expected you to say.
context: Su- Such a Ki! There's no way we can win!\Of course not.\Did you think that only three ants could defeat a whole dinosaur?\We can win!\If the three of us fight together, we'll find a way to beat you.\What's that? You can beat me?\That's right.\That's the last thing I expected you to say. response:	Apparently, not even the great Freeza realizes that these two guys' battle powers have been rapidly increasing.
context: Of course not.\Did you think that only three ants could defeat a whole dinosaur?\We can win!\If the three of us fight together, we'll find a way to beat you.\What's that? You can beat me?\That's right.\That's the last thing I expected you to say.\Apparently, not even the great Freeza realizes that these two guys' battle powers have been rapidly increasing. response:	Especially the shorter one, he's sitting on a power reserve that not even he is fully aware of.
context: Did you think that only three ants could defeat a whole dinosaur?\We can win!\If the three of us fight together, we'll find a way to beat you.\What's that? You can beat me?\That's right.\That's the last thing I expected you to say.\Apparently, not even the great Freeza realizes that these two guys' battle powers have been rapidly increasing.\Especially the shorter one, he's sitting on a power reserve that not even he is fully aware of. response:	And as for me, I'm in the process of becoming the Super Saiyajin you've always feared.
context: We can win!\If the three of us fight together, we'll find a way to beat you.\What's that? You can beat me?\That's right.\That's the last thing I expected you to say.\Apparently, not even the great Freeza realizes that these two guys' battle powers have been rapidly increasing.\Especially the shorter one, he's sitting on a power reserve that not even he is fully aware of.\And as for me, I'm in the process of becoming the Super Saiyajin you've always feared. response:	You brag quite well, what with that talk of Super Saiyajins.
context: If the three of us fight together, we'll find a way to beat you.\What's that? You can beat me?\That's right.\That's the last thing I expected you to say.\Apparently, not even the great Freeza realizes that these two guys' battle powers have been rapidly increasing.\Especially the shorter one, he's sitting on a power reserve that not even he is fully aware of.\And as for me, I'm in the process of becoming the Super Saiyajin you've always feared.\You brag quite well, what with that talk of Super Saiyajins. response:	YOU IRRITATING RAT!
context: What's that? You can beat me?\That's right.\That's the last thing I expected you to say.\Apparently, not even the great Freeza realizes that these two guys' battle powers have been rapidly increasing.\Especially the shorter one, he's sitting on a power reserve that not even he is fully aware of.\And as for me, I'm in the process of becoming the Super Saiyajin you've always feared.\You brag quite well, what with that talk of Super Saiyajins.\YOU IRRITATING RAT! response:	What!?
context: That's right.\That's the last thing I expected you to say.\Apparently, not even the great Freeza realizes that these two guys' battle powers have been rapidly increasing.\Especially the shorter one, he's sitting on a power reserve that not even he is fully aware of.\And as for me, I'm in the process of becoming the Super Saiyajin you've always feared.\You brag quite well, what with that talk of Super Saiyajins.\YOU IRRITATING RAT!\What!? response:	What's this?
context: That's the last thing I expected you to say.\Apparently, not even the great Freeza realizes that these two guys' battle powers have been rapidly increasing.\Especially the shorter one, he's sitting on a power reserve that not even he is fully aware of.\And as for me, I'm in the process of becoming the Super Saiyajin you've always feared.\You brag quite well, what with that talk of Super Saiyajins.\YOU IRRITATING RAT!\What!?\What's this? response:	So, apparently you aren't just talk, are you?
context: Apparently, not even the great Freeza realizes that these two guys' battle powers have been rapidly increasing.\Especially the shorter one, he's sitting on a power reserve that not even he is fully aware of.\And as for me, I'm in the process of becoming the Super Saiyajin you've always feared.\You brag quite well, what with that talk of Super Saiyajins.\YOU IRRITATING RAT!\What!?\What's this?\So, apparently you aren't just talk, are you? response:	He's right...
context: Especially the shorter one, he's sitting on a power reserve that not even he is fully aware of.\And as for me, I'm in the process of becoming the Super Saiyajin you've always feared.\You brag quite well, what with that talk of Super Saiyajins.\YOU IRRITATING RAT!\What!?\What's this?\So, apparently you aren't just talk, are you?\He's right... response:	If the three of us fight together, there's a definite chance of us making it through.
context: And as for me, I'm in the process of becoming the Super Saiyajin you've always feared.\You brag quite well, what with that talk of Super Saiyajins.\YOU IRRITATING RAT!\What!?\What's this?\So, apparently you aren't just talk, are you?\He's right...\If the three of us fight together, there's a definite chance of us making it through. response:	He's certainly very powerful, but our power has risen too.
context: You brag quite well, what with that talk of Super Saiyajins.\YOU IRRITATING RAT!\What!?\What's this?\So, apparently you aren't just talk, are you?\He's right...\If the three of us fight together, there's a definite chance of us making it through.\He's certainly very powerful, but our power has risen too. response:	That's right, ever since Vegeta has come here, he's managed to keep overcoming his limits and grow stronger.
context: YOU IRRITATING RAT!\What!?\What's this?\So, apparently you aren't just talk, are you?\He's right...\If the three of us fight together, there's a definite chance of us making it through.\He's certainly very powerful, but our power has risen too.\That's right, ever since Vegeta has come here, he's managed to keep overcoming his limits and grow stronger. response:	So, why is Freeza still so calm?
context: What!?\What's this?\So, apparently you aren't just talk, are you?\He's right...\If the three of us fight together, there's a definite chance of us making it through.\He's certainly very powerful, but our power has risen too.\That's right, ever since Vegeta has come here, he's managed to keep overcoming his limits and grow stronger.\So, why is Freeza still so calm? response:	Transform yourself, Freeza!
context: What's this?\So, apparently you aren't just talk, are you?\He's right...\If the three of us fight together, there's a definite chance of us making it through.\He's certainly very powerful, but our power has risen too.\That's right, ever since Vegeta has come here, he's managed to keep overcoming his limits and grow stronger.\So, why is Freeza still so calm?\Transform yourself, Freeza! response:	Transform?
context: So, apparently you aren't just talk, are you?\He's right...\If the three of us fight together, there's a definite chance of us making it through.\He's certainly very powerful, but our power has risen too.\That's right, ever since Vegeta has come here, he's managed to keep overcoming his limits and grow stronger.\So, why is Freeza still so calm?\Transform yourself, Freeza!\Transform? response:	Transform?
