context: Futon, clothes, shoes, toothbrush? response:	What else?
context: Umm... Okay. Sure, why not?\What's your size, about?\I dunno.\Rin, turn around.\Like this?\What am I supposed to match it to?\I dunno!\Don't flap your arms! response:	What else do you wear?
context: What's your size, about?\I dunno.\Rin, turn around.\Like this?\What am I supposed to match it to?\I dunno!\Don't flap your arms!\What else do you wear? response:	Pajamas! Underwear! Shirts! Socks!
context: I dunno.\Rin, turn around.\Like this?\What am I supposed to match it to?\I dunno!\Don't flap your arms!\What else do you wear?\Pajamas! Underwear! Shirts! Socks! response:	You don't need a skirt?
context: Rin, turn around.\Like this?\What am I supposed to match it to?\I dunno!\Don't flap your arms!\What else do you wear?\Pajamas! Underwear! Shirts! Socks!\You don't need a skirt? response:	All you've got are pants.
context: Like this?\What am I supposed to match it to?\I dunno!\Don't flap your arms!\What else do you wear?\Pajamas! Underwear! Shirts! Socks!\You don't need a skirt?\All you've got are pants. response:	Skirts aren't allowed at nursery school.
context: What am I supposed to match it to?\I dunno!\Don't flap your arms!\What else do you wear?\Pajamas! Underwear! Shirts! Socks!\You don't need a skirt?\All you've got are pants.\Skirts aren't allowed at nursery school. response:	I see...
context: I dunno!\Don't flap your arms!\What else do you wear?\Pajamas! Underwear! Shirts! Socks!\You don't need a skirt?\All you've got are pants.\Skirts aren't allowed at nursery school.\I see... response:	Nursery school?!
context: Don't flap your arms!\What else do you wear?\Pajamas! Underwear! Shirts! Socks!\You don't need a skirt?\All you've got are pants.\Skirts aren't allowed at nursery school.\I see...\Nursery school?! response:	It slipped my mind!
context: What else do you wear?\Pajamas! Underwear! Shirts! Socks!\You don't need a skirt?\All you've got are pants.\Skirts aren't allowed at nursery school.\I see...\Nursery school?!\It slipped my mind! response:	Tomorrow's Monday!
context: Pajamas! Underwear! Shirts! Socks!\You don't need a skirt?\All you've got are pants.\Skirts aren't allowed at nursery school.\I see...\Nursery school?!\It slipped my mind!\Tomorrow's Monday! response:	Daikichi, I'm tired!
context: You don't need a skirt?\All you've got are pants.\Skirts aren't allowed at nursery school.\I see...\Nursery school?!\It slipped my mind!\Tomorrow's Monday!\Daikichi, I'm tired! response:	We're almost there, so stick it out.
context: All you've got are pants.\Skirts aren't allowed at nursery school.\I see...\Nursery school?!\It slipped my mind!\Tomorrow's Monday!\Daikichi, I'm tired!\We're almost there, so stick it out. response:	Okay...
context: Skirts aren't allowed at nursery school.\I see...\Nursery school?!\It slipped my mind!\Tomorrow's Monday!\Daikichi, I'm tired!\We're almost there, so stick it out.\Okay... response:	I'm hungry...
context: I see...\Nursery school?!\It slipped my mind!\Tomorrow's Monday!\Daikichi, I'm tired!\We're almost there, so stick it out.\Okay...\I'm hungry... response:	We'll be home in a minute, so...
context: Nursery school?!\It slipped my mind!\Tomorrow's Monday!\Daikichi, I'm tired!\We're almost there, so stick it out.\Okay...\I'm hungry...\We'll be home in a minute, so... response:	Okay...
context: It slipped my mind!\Tomorrow's Monday!\Daikichi, I'm tired!\We're almost there, so stick it out.\Okay...\I'm hungry...\We'll be home in a minute, so...\Okay... response:	You useless bum!
context: Tomorrow's Monday!\Daikichi, I'm tired!\We're almost there, so stick it out.\Okay...\I'm hungry...\We'll be home in a minute, so...\Okay...\You useless bum! response:	You always bring me crap I don't need!
context: Daikichi, I'm tired!\We're almost there, so stick it out.\Okay...\I'm hungry...\We'll be home in a minute, so...\Okay...\You useless bum!\You always bring me crap I don't need! response:	I'm gonna lose my temper!
context: We're almost there, so stick it out.\Okay...\I'm hungry...\We'll be home in a minute, so...\Okay...\You useless bum!\You always bring me crap I don't need!\I'm gonna lose my temper! response:	You bastard!
context: Okay...\I'm hungry...\We'll be home in a minute, so...\Okay...\You useless bum!\You always bring me crap I don't need!\I'm gonna lose my temper!\You bastard! response:	Hey!
context: I'm hungry...\We'll be home in a minute, so...\Okay...\You useless bum!\You always bring me crap I don't need!\I'm gonna lose my temper!\You bastard!\Hey! response:	Don't touch me!
context: We'll be home in a minute, so...\Okay...\You useless bum!\You always bring me crap I don't need!\I'm gonna lose my temper!\You bastard!\Hey!\Don't touch me! response:	Let go of me!
context: Okay...\You useless bum!\You always bring me crap I don't need!\I'm gonna lose my temper!\You bastard!\Hey!\Don't touch me!\Let go of me! response:	Uh, excuse me...
context: You useless bum!\You always bring me crap I don't need!\I'm gonna lose my temper!\You bastard!\Hey!\Don't touch me!\Let go of me!\Uh, excuse me... response:	Yes, this is the Maeda residence.
context: You always bring me crap I don't need!\I'm gonna lose my temper!\You bastard!\Hey!\Don't touch me!\Let go of me!\Uh, excuse me...\Yes, this is the Maeda residence. response:	Oh, please accept my condolences over your sudden loss.
context: I'm gonna lose my temper!\You bastard!\Hey!\Don't touch me!\Let go of me!\Uh, excuse me...\Yes, this is the Maeda residence.\Oh, please accept my condolences over your sudden loss. response:	Yes, please wait a moment...
context: You bastard!\Hey!\Don't touch me!\Let go of me!\Uh, excuse me...\Yes, this is the Maeda residence.\Oh, please accept my condolences over your sudden loss.\Yes, please wait a moment... response:	Haruko-san, it's Daikichi-san.
context: Hey!\Don't touch me!\Let go of me!\Uh, excuse me...\Yes, this is the Maeda residence.\Oh, please accept my condolences over your sudden loss.\Yes, please wait a moment...\Haruko-san, it's Daikichi-san. response:	Uh, okay. Thank you!
context: Don't touch me!\Let go of me!\Uh, excuse me...\Yes, this is the Maeda residence.\Oh, please accept my condolences over your sudden loss.\Yes, please wait a moment...\Haruko-san, it's Daikichi-san.\Uh, okay. Thank you! response:	Oh, Haruko?
context: Let go of me!\Uh, excuse me...\Yes, this is the Maeda residence.\Oh, please accept my condolences over your sudden loss.\Yes, please wait a moment...\Haruko-san, it's Daikichi-san.\Uh, okay. Thank you!\Oh, Haruko? response:	Sorry, I didn't know your cell number.
context: Uh, excuse me...\Yes, this is the Maeda residence.\Oh, please accept my condolences over your sudden loss.\Yes, please wait a moment...\Haruko-san, it's Daikichi-san.\Uh, okay. Thank you!\Oh, Haruko?\Sorry, I didn't know your cell number. response:	It's okay.
context: Yes, this is the Maeda residence.\Oh, please accept my condolences over your sudden loss.\Yes, please wait a moment...\Haruko-san, it's Daikichi-san.\Uh, okay. Thank you!\Oh, Haruko?\Sorry, I didn't know your cell number.\It's okay. response:	Tell me, how do you register for nursery school?
context: Oh, please accept my condolences over your sudden loss.\Yes, please wait a moment...\Haruko-san, it's Daikichi-san.\Uh, okay. Thank you!\Oh, Haruko?\Sorry, I didn't know your cell number.\It's okay.\Tell me, how do you register for nursery school? response:	Nursery school...
context: Yes, please wait a moment...\Haruko-san, it's Daikichi-san.\Uh, okay. Thank you!\Oh, Haruko?\Sorry, I didn't know your cell number.\It's okay.\Tell me, how do you register for nursery school?\Nursery school... response:	You really did take Rin-chan home?!
context: Haruko-san, it's Daikichi-san.\Uh, okay. Thank you!\Oh, Haruko?\Sorry, I didn't know your cell number.\It's okay.\Tell me, how do you register for nursery school?\Nursery school...\You really did take Rin-chan home?! response:	Are you sure about this?
context: Uh, okay. Thank you!\Oh, Haruko?\Sorry, I didn't know your cell number.\It's okay.\Tell me, how do you register for nursery school?\Nursery school...\You really did take Rin-chan home?!\Are you sure about this? response:	For now...
context: Oh, Haruko?\Sorry, I didn't know your cell number.\It's okay.\Tell me, how do you register for nursery school?\Nursery school...\You really did take Rin-chan home?!\Are you sure about this?\For now... response:	What do you mean, for now?
context: Sorry, I didn't know your cell number.\It's okay.\Tell me, how do you register for nursery school?\Nursery school...\You really did take Rin-chan home?!\Are you sure about this?\For now...\What do you mean, for now? response:	So, anyway, I can't take off work tomorrow.
context: It's okay.\Tell me, how do you register for nursery school?\Nursery school...\You really did take Rin-chan home?!\Are you sure about this?\For now...\What do you mean, for now?\So, anyway, I can't take off work tomorrow. response:	What kind of procedures need to be followed?
context: Tell me, how do you register for nursery school?\Nursery school...\You really did take Rin-chan home?!\Are you sure about this?\For now...\What do you mean, for now?\So, anyway, I can't take off work tomorrow.\What kind of procedures need to be followed? response:	Look, you can't just get accepted instantly.
context: Nursery school...\You really did take Rin-chan home?!\Are you sure about this?\For now...\What do you mean, for now?\So, anyway, I can't take off work tomorrow.\What kind of procedures need to be followed?\Look, you can't just get accepted instantly. response:	Can you do something on your end?
context: You really did take Rin-chan home?!\Are you sure about this?\For now...\What do you mean, for now?\So, anyway, I can't take off work tomorrow.\What kind of procedures need to be followed?\Look, you can't just get accepted instantly.\Can you do something on your end? response:	What can I do?
context: Are you sure about this?\For now...\What do you mean, for now?\So, anyway, I can't take off work tomorrow.\What kind of procedures need to be followed?\Look, you can't just get accepted instantly.\Can you do something on your end?\What can I do? response:	For starters, I'd go consult with the city office...
context: For now...\What do you mean, for now?\So, anyway, I can't take off work tomorrow.\What kind of procedures need to be followed?\Look, you can't just get accepted instantly.\Can you do something on your end?\What can I do?\For starters, I'd go consult with the city office... response:	It's Sunday night.
context: What do you mean, for now?\So, anyway, I can't take off work tomorrow.\What kind of procedures need to be followed?\Look, you can't just get accepted instantly.\Can you do something on your end?\What can I do?\For starters, I'd go consult with the city office...\It's Sunday night. response:	What?
context: So, anyway, I can't take off work tomorrow.\What kind of procedures need to be followed?\Look, you can't just get accepted instantly.\Can you do something on your end?\What can I do?\For starters, I'd go consult with the city office...\It's Sunday night.\What? response:	Nothing, it's over here.
context: What kind of procedures need to be followed?\Look, you can't just get accepted instantly.\Can you do something on your end?\What can I do?\For starters, I'd go consult with the city office...\It's Sunday night.\What?\Nothing, it's over here. response:	Mama, is that Rin-chan?
context: Look, you can't just get accepted instantly.\Can you do something on your end?\What can I do?\For starters, I'd go consult with the city office...\It's Sunday night.\What?\Nothing, it's over here.\Mama, is that Rin-chan? response:	Is everything okay?
context: Can you do something on your end?\What can I do?\For starters, I'd go consult with the city office...\It's Sunday night.\What?\Nothing, it's over here.\Mama, is that Rin-chan?\Is everything okay? response:	Rin-chan!
context: What can I do?\For starters, I'd go consult with the city office...\It's Sunday night.\What?\Nothing, it's over here.\Mama, is that Rin-chan?\Is everything okay?\Rin-chan! response:	Reina, please!
context: For starters, I'd go consult with the city office...\It's Sunday night.\What?\Nothing, it's over here.\Mama, is that Rin-chan?\Is everything okay?\Rin-chan!\Reina, please! response:	This is important!
context: It's Sunday night.\What?\Nothing, it's over here.\Mama, is that Rin-chan?\Is everything okay?\Rin-chan!\Reina, please!\This is important! response:	Rin-chan!
context: What?\Nothing, it's over here.\Mama, is that Rin-chan?\Is everything okay?\Rin-chan!\Reina, please!\This is important!\Rin-chan! response:	There's an emergency temporary nursery school...
context: Nothing, it's over here.\Mama, is that Rin-chan?\Is everything okay?\Rin-chan!\Reina, please!\This is important!\Rin-chan!\There's an emergency temporary nursery school... response:	Emergency temporary nursery school...
context: Mama, is that Rin-chan?\Is everything okay?\Rin-chan!\Reina, please!\This is important!\Rin-chan!\There's an emergency temporary nursery school...\Emergency temporary nursery school... response:	Rin-chan!
context: Is everything okay?\Rin-chan!\Reina, please!\This is important!\Rin-chan!\There's an emergency temporary nursery school...\Emergency temporary nursery school...\Rin-chan! response:	Rin-chan!
context: Rin-chan!\Reina, please!\This is important!\Rin-chan!\There's an emergency temporary nursery school...\Emergency temporary nursery school...\Rin-chan!\Rin-chan! response:	What? Dai-chan?
context: Reina, please!\This is important!\Rin-chan!\There's an emergency temporary nursery school...\Emergency temporary nursery school...\Rin-chan!\Rin-chan!\What? Dai-chan? response:	Rin-chan! Rin-chan! Rin-chan! Rin-chan!
context: This is important!\Rin-chan!\There's an emergency temporary nursery school...\Emergency temporary nursery school...\Rin-chan!\Rin-chan!\What? Dai-chan?\Rin-chan! Rin-chan! Rin-chan! Rin-chan! response:	Nothing, it's over here.
context: Rin-chan!\There's an emergency temporary nursery school...\Emergency temporary nursery school...\Rin-chan!\Rin-chan!\What? Dai-chan?\Rin-chan! Rin-chan! Rin-chan! Rin-chan!\Nothing, it's over here. response:	I'm almost done, so wait!
context: There's an emergency temporary nursery school...\Emergency temporary nursery school...\Rin-chan!\Rin-chan!\What? Dai-chan?\Rin-chan! Rin-chan! Rin-chan! Rin-chan!\Nothing, it's over here.\I'm almost done, so wait! response:	I hate waiting!
context: Emergency temporary nursery school...\Rin-chan!\Rin-chan!\What? Dai-chan?\Rin-chan! Rin-chan! Rin-chan! Rin-chan!\Nothing, it's over here.\I'm almost done, so wait!\I hate waiting! response:	Haruko-san, I'm going to turn off the miso soup.
context: Rin-chan!\Rin-chan!\What? Dai-chan?\Rin-chan! Rin-chan! Rin-chan! Rin-chan!\Nothing, it's over here.\I'm almost done, so wait!\I hate waiting!\Haruko-san, I'm going to turn off the miso soup. response:	Okay! Thank you.
context: Rin-chan!\What? Dai-chan?\Rin-chan! Rin-chan! Rin-chan! Rin-chan!\Nothing, it's over here.\I'm almost done, so wait!\I hate waiting!\Haruko-san, I'm going to turn off the miso soup.\Okay! Thank you. response:	Hey... It sounds like you're busy, so I'll call back later...
context: What? Dai-chan?\Rin-chan! Rin-chan! Rin-chan! Rin-chan!\Nothing, it's over here.\I'm almost done, so wait!\I hate waiting!\Haruko-san, I'm going to turn off the miso soup.\Okay! Thank you.\Hey... It sounds like you're busy, so I'll call back later... response:	Rin-chan!
context: Rin-chan! Rin-chan! Rin-chan! Rin-chan!\Nothing, it's over here.\I'm almost done, so wait!\I hate waiting!\Haruko-san, I'm going to turn off the miso soup.\Okay! Thank you.\Hey... It sounds like you're busy, so I'll call back later...\Rin-chan! response:	Emergency Temporary
context: Nothing, it's over here.\I'm almost done, so wait!\I hate waiting!\Haruko-san, I'm going to turn off the miso soup.\Okay! Thank you.\Hey... It sounds like you're busy, so I'll call back later...\Rin-chan!\Emergency Temporary response:	Emergency Temporary Nursery School
context: I'm almost done, so wait!\I hate waiting!\Haruko-san, I'm going to turn off the miso soup.\Okay! Thank you.\Hey... It sounds like you're busy, so I'll call back later...\Rin-chan!\Emergency Temporary\Emergency Temporary Nursery School response:	Man, there's hardly any of them...
context: I hate waiting!\Haruko-san, I'm going to turn off the miso soup.\Okay! Thank you.\Hey... It sounds like you're busy, so I'll call back later...\Rin-chan!\Emergency Temporary\Emergency Temporary Nursery School\Man, there's hardly any of them... response:	So, my commute time is suddenly doubled...?
context: Haruko-san, I'm going to turn off the miso soup.\Okay! Thank you.\Hey... It sounds like you're busy, so I'll call back later...\Rin-chan!\Emergency Temporary\Emergency Temporary Nursery School\Man, there's hardly any of them...\So, my commute time is suddenly doubled...? response:	Yeah. Yeah. I'm good.
context: Okay! Thank you.\Hey... It sounds like you're busy, so I'll call back later...\Rin-chan!\Emergency Temporary\Emergency Temporary Nursery School\Man, there's hardly any of them...\So, my commute time is suddenly doubled...?\Yeah. Yeah. I'm good. response:	This one's pretty close, but I can't get out of the office by six...
context: Hey... It sounds like you're busy, so I'll call back later...\Rin-chan!\Emergency Temporary\Emergency Temporary Nursery School\Man, there's hardly any of them...\So, my commute time is suddenly doubled...?\Yeah. Yeah. I'm good.\This one's pretty close, but I can't get out of the office by six... response:	Let's play again.
context: Rin-chan!\Emergency Temporary\Emergency Temporary Nursery School\Man, there's hardly any of them...\So, my commute time is suddenly doubled...?\Yeah. Yeah. I'm good.\This one's pretty close, but I can't get out of the office by six...\Let's play again. response:	Yeah. Bye-bye, Reina-chan. Talk to you later!
context: Emergency Temporary\Emergency Temporary Nursery School\Man, there's hardly any of them...\So, my commute time is suddenly doubled...?\Yeah. Yeah. I'm good.\This one's pretty close, but I can't get out of the office by six...\Let's play again.\Yeah. Bye-bye, Reina-chan. Talk to you later! response:	This looks like a good one,
context: Emergency Temporary Nursery School\Man, there's hardly any of them...\So, my commute time is suddenly doubled...?\Yeah. Yeah. I'm good.\This one's pretty close, but I can't get out of the office by six...\Let's play again.\Yeah. Bye-bye, Reina-chan. Talk to you later!\This looks like a good one, response:	but they'll accept kids on an emergency basis for only 10 days...
context: Man, there's hardly any of them...\So, my commute time is suddenly doubled...?\Yeah. Yeah. I'm good.\This one's pretty close, but I can't get out of the office by six...\Let's play again.\Yeah. Bye-bye, Reina-chan. Talk to you later!\This looks like a good one,\but they'll accept kids on an emergency basis for only 10 days... response:	Bath...
context: So, my commute time is suddenly doubled...?\Yeah. Yeah. I'm good.\This one's pretty close, but I can't get out of the office by six...\Let's play again.\Yeah. Bye-bye, Reina-chan. Talk to you later!\This looks like a good one,\but they'll accept kids on an emergency basis for only 10 days...\Bath... response:	Just wait a little longer...
context: Yeah. Yeah. I'm good.\This one's pretty close, but I can't get out of the office by six...\Let's play again.\Yeah. Bye-bye, Reina-chan. Talk to you later!\This looks like a good one,\but they'll accept kids on an emergency basis for only 10 days...\Bath...\Just wait a little longer... response:	Daikichi! Daikichi!
context: This one's pretty close, but I can't get out of the office by six...\Let's play again.\Yeah. Bye-bye, Reina-chan. Talk to you later!\This looks like a good one,\but they'll accept kids on an emergency basis for only 10 days...\Bath...\Just wait a little longer...\Daikichi! Daikichi! response:	It's morning...
context: Let's play again.\Yeah. Bye-bye, Reina-chan. Talk to you later!\This looks like a good one,\but they'll accept kids on an emergency basis for only 10 days...\Bath...\Just wait a little longer...\Daikichi! Daikichi!\It's morning... response:	Yeah... Sorry...
context: Yeah. Bye-bye, Reina-chan. Talk to you later!\This looks like a good one,\but they'll accept kids on an emergency basis for only 10 days...\Bath...\Just wait a little longer...\Daikichi! Daikichi!\It's morning...\Yeah... Sorry... response:	Did you sleep here?
context: This looks like a good one,\but they'll accept kids on an emergency basis for only 10 days...\Bath...\Just wait a little longer...\Daikichi! Daikichi!\It's morning...\Yeah... Sorry...\Did you sleep here? response:	The futon is weirdly warm.
context: but they'll accept kids on an emergency basis for only 10 days...\Bath...\Just wait a little longer...\Daikichi! Daikichi!\It's morning...\Yeah... Sorry...\Did you sleep here?\The futon is weirdly warm. response:	Take this off!
context: Bath...\Just wait a little longer...\Daikichi! Daikichi!\It's morning...\Yeah... Sorry...\Did you sleep here?\The futon is weirdly warm.\Take this off! response:	Yeah, yeah.
context: Just wait a little longer...\Daikichi! Daikichi!\It's morning...\Yeah... Sorry...\Did you sleep here?\The futon is weirdly warm.\Take this off!\Yeah, yeah. response:	About the nursery school we're going to today...
context: Daikichi! Daikichi!\It's morning...\Yeah... Sorry...\Did you sleep here?\The futon is weirdly warm.\Take this off!\Yeah, yeah.\About the nursery school we're going to today... response:	Thank you for the food I'm about to eat!
context: It's morning...\Yeah... Sorry...\Did you sleep here?\The futon is weirdly warm.\Take this off!\Yeah, yeah.\About the nursery school we're going to today...\Thank you for the food I'm about to eat! response:	Thank you for the food...
context: Yeah... Sorry...\Did you sleep here?\The futon is weirdly warm.\Take this off!\Yeah, yeah.\About the nursery school we're going to today...\Thank you for the food I'm about to eat!\Thank you for the food... response:	You're not supposed to eat with your elbow on the table!
context: Did you sleep here?\The futon is weirdly warm.\Take this off!\Yeah, yeah.\About the nursery school we're going to today...\Thank you for the food I'm about to eat!\Thank you for the food...\You're not supposed to eat with your elbow on the table! response:	There. Sorry.
context: The futon is weirdly warm.\Take this off!\Yeah, yeah.\About the nursery school we're going to today...\Thank you for the food I'm about to eat!\Thank you for the food...\You're not supposed to eat with your elbow on the table!\There. Sorry. response:	Listen, the nursery school you're going to today is only a temporary deal.
context: Take this off!\Yeah, yeah.\About the nursery school we're going to today...\Thank you for the food I'm about to eat!\Thank you for the food...\You're not supposed to eat with your elbow on the table!\There. Sorry.\Listen, the nursery school you're going to today is only a temporary deal. response:	Temporary?
context: Yeah, yeah.\About the nursery school we're going to today...\Thank you for the food I'm about to eat!\Thank you for the food...\You're not supposed to eat with your elbow on the table!\There. Sorry.\Listen, the nursery school you're going to today is only a temporary deal.\Temporary? response:	Only until we find you a place that will officially let you attend.
context: About the nursery school we're going to today...\Thank you for the food I'm about to eat!\Thank you for the food...\You're not supposed to eat with your elbow on the table!\There. Sorry.\Listen, the nursery school you're going to today is only a temporary deal.\Temporary?\Only until we find you a place that will officially let you attend. response:	What's officially?
context: Thank you for the food I'm about to eat!\Thank you for the food...\You're not supposed to eat with your elbow on the table!\There. Sorry.\Listen, the nursery school you're going to today is only a temporary deal.\Temporary?\Only until we find you a place that will officially let you attend.\What's officially? response:	It means like, for real...
