context: Gomen ne sunao ja nakute yume no naka nara ieru response:	Shikou kairo wa short sunzen ima sugu aitai yo
context: Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno response:	and a slightly quick-tempered psychic girl, Rei Hino.
context: Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno\and a slightly quick-tempered psychic girl, Rei Hino. response:	Both of them are so dependable, I feel like I'll fall behind.
context: Shinjite iru no miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind. response:	But anyway, I just have to do my best!
context: I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best! response:	A Powerful New Enemy! Nephrite's Evil Crest
context: As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\A Powerful New Enemy! Nephrite's Evil Crest response:	Jadeite randomly stole energy from anybody.
context: and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\A Powerful New Enemy! Nephrite's Evil Crest\Jadeite randomly stole energy from anybody. response:	If you ask me, that is a ridiculous way to take care of business.
context: I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\A Powerful New Enemy! Nephrite's Evil Crest\Jadeite randomly stole energy from anybody.\If you ask me, that is a ridiculous way to take care of business. response:	Really?
context: And my friends are the smart and sweet Ami Mizuno\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\A Powerful New Enemy! Nephrite's Evil Crest\Jadeite randomly stole energy from anybody.\If you ask me, that is a ridiculous way to take care of business.\Really? response:	Then Nephrite, how would you do it?
context: and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\A Powerful New Enemy! Nephrite's Evil Crest\Jadeite randomly stole energy from anybody.\If you ask me, that is a ridiculous way to take care of business.\Really?\Then Nephrite, how would you do it? response:	I will not go after big groups of people like Jadeite did.
context: Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\A Powerful New Enemy! Nephrite's Evil Crest\Jadeite randomly stole energy from anybody.\If you ask me, that is a ridiculous way to take care of business.\Really?\Then Nephrite, how would you do it?\I will not go after big groups of people like Jadeite did. response:	I will show you that I can get enough energy from one individual.
context: But anyway, I just have to do my best!\A Powerful New Enemy! Nephrite's Evil Crest\Jadeite randomly stole energy from anybody.\If you ask me, that is a ridiculous way to take care of business.\Really?\Then Nephrite, how would you do it?\I will not go after big groups of people like Jadeite did.\I will show you that I can get enough energy from one individual. response:	Is that so?
context: A Powerful New Enemy! Nephrite's Evil Crest\Jadeite randomly stole energy from anybody.\If you ask me, that is a ridiculous way to take care of business.\Really?\Then Nephrite, how would you do it?\I will not go after big groups of people like Jadeite did.\I will show you that I can get enough energy from one individual.\Is that so? response:	All humans are controlled by the movement of the stars.
context: Jadeite randomly stole energy from anybody.\If you ask me, that is a ridiculous way to take care of business.\Really?\Then Nephrite, how would you do it?\I will not go after big groups of people like Jadeite did.\I will show you that I can get enough energy from one individual.\Is that so?\All humans are controlled by the movement of the stars. response:	And every one of them has their own fate.
context: If you ask me, that is a ridiculous way to take care of business.\Really?\Then Nephrite, how would you do it?\I will not go after big groups of people like Jadeite did.\I will show you that I can get enough energy from one individual.\Is that so?\All humans are controlled by the movement of the stars.\And every one of them has their own fate. response:	The same is true of their energy.
context: Really?\Then Nephrite, how would you do it?\I will not go after big groups of people like Jadeite did.\I will show you that I can get enough energy from one individual.\Is that so?\All humans are controlled by the movement of the stars.\And every one of them has their own fate.\The same is true of their energy. response:	Each human has a moment in their life when their energy level peaks.
context: Then Nephrite, how would you do it?\I will not go after big groups of people like Jadeite did.\I will show you that I can get enough energy from one individual.\Is that so?\All humans are controlled by the movement of the stars.\And every one of them has their own fate.\The same is true of their energy.\Each human has a moment in their life when their energy level peaks. response:	In short, I will read the movement of the stars
context: I will not go after big groups of people like Jadeite did.\I will show you that I can get enough energy from one individual.\Is that so?\All humans are controlled by the movement of the stars.\And every one of them has their own fate.\The same is true of their energy.\Each human has a moment in their life when their energy level peaks.\In short, I will read the movement of the stars response:	and go after the humans when their energy level has peaked.
context: I will show you that I can get enough energy from one individual.\Is that so?\All humans are controlled by the movement of the stars.\And every one of them has their own fate.\The same is true of their energy.\Each human has a moment in their life when their energy level peaks.\In short, I will read the movement of the stars\and go after the humans when their energy level has peaked. response:	You seem very confident.
context: Is that so?\All humans are controlled by the movement of the stars.\And every one of them has their own fate.\The same is true of their energy.\Each human has a moment in their life when their energy level peaks.\In short, I will read the movement of the stars\and go after the humans when their energy level has peaked.\You seem very confident. response:	Zoisite, why are you here?
context: All humans are controlled by the movement of the stars.\And every one of them has their own fate.\The same is true of their energy.\Each human has a moment in their life when their energy level peaks.\In short, I will read the movement of the stars\and go after the humans when their energy level has peaked.\You seem very confident.\Zoisite, why are you here? response:	Overconfidence can be your downfall.
context: And every one of them has their own fate.\The same is true of their energy.\Each human has a moment in their life when their energy level peaks.\In short, I will read the movement of the stars\and go after the humans when their energy level has peaked.\You seem very confident.\Zoisite, why are you here?\Overconfidence can be your downfall. response:	Go away!
context: The same is true of their energy.\Each human has a moment in their life when their energy level peaks.\In short, I will read the movement of the stars\and go after the humans when their energy level has peaked.\You seem very confident.\Zoisite, why are you here?\Overconfidence can be your downfall.\Go away! response:	I will infiltrate the human world
context: Each human has a moment in their life when their energy level peaks.\In short, I will read the movement of the stars\and go after the humans when their energy level has peaked.\You seem very confident.\Zoisite, why are you here?\Overconfidence can be your downfall.\Go away!\I will infiltrate the human world response:	and take advantage of their weaknesses.
context: In short, I will read the movement of the stars\and go after the humans when their energy level has peaked.\You seem very confident.\Zoisite, why are you here?\Overconfidence can be your downfall.\Go away!\I will infiltrate the human world\and take advantage of their weaknesses. response:	I do not need advice from you!
context: and go after the humans when their energy level has peaked.\You seem very confident.\Zoisite, why are you here?\Overconfidence can be your downfall.\Go away!\I will infiltrate the human world\and take advantage of their weaknesses.\I do not need advice from you! response:	I can picture you throwing yourself at Queen Beryl's mercy.
context: You seem very confident.\Zoisite, why are you here?\Overconfidence can be your downfall.\Go away!\I will infiltrate the human world\and take advantage of their weaknesses.\I do not need advice from you!\I can picture you throwing yourself at Queen Beryl's mercy. response:	Ooh, how scary.
context: Zoisite, why are you here?\Overconfidence can be your downfall.\Go away!\I will infiltrate the human world\and take advantage of their weaknesses.\I do not need advice from you!\I can picture you throwing yourself at Queen Beryl's mercy.\Ooh, how scary. response:	Nephrite, I leave this in your hands.
context: Overconfidence can be your downfall.\Go away!\I will infiltrate the human world\and take advantage of their weaknesses.\I do not need advice from you!\I can picture you throwing yourself at Queen Beryl's mercy.\Ooh, how scary.\Nephrite, I leave this in your hands. response:	Oh, there she is!
context: Go away!\I will infiltrate the human world\and take advantage of their weaknesses.\I do not need advice from you!\I can picture you throwing yourself at Queen Beryl's mercy.\Ooh, how scary.\Nephrite, I leave this in your hands.\Oh, there she is! response:	Rui, how are you doing?
context: I will infiltrate the human world\and take advantage of their weaknesses.\I do not need advice from you!\I can picture you throwing yourself at Queen Beryl's mercy.\Ooh, how scary.\Nephrite, I leave this in your hands.\Oh, there she is!\Rui, how are you doing? response:	Do you think you can win the next tournament?
context: and take advantage of their weaknesses.\I do not need advice from you!\I can picture you throwing yourself at Queen Beryl's mercy.\Ooh, how scary.\Nephrite, I leave this in your hands.\Oh, there she is!\Rui, how are you doing?\Do you think you can win the next tournament? response:	I don't know.
context: I do not need advice from you!\I can picture you throwing yourself at Queen Beryl's mercy.\Ooh, how scary.\Nephrite, I leave this in your hands.\Oh, there she is!\Rui, how are you doing?\Do you think you can win the next tournament?\I don't know. response:	Everyone in Japan is cheering for you. Please say something!
context: I can picture you throwing yourself at Queen Beryl's mercy.\Ooh, how scary.\Nephrite, I leave this in your hands.\Oh, there she is!\Rui, how are you doing?\Do you think you can win the next tournament?\I don't know.\Everyone in Japan is cheering for you. Please say something! response:	Sorry, but I have practice.
context: Ooh, how scary.\Nephrite, I leave this in your hands.\Oh, there she is!\Rui, how are you doing?\Do you think you can win the next tournament?\I don't know.\Everyone in Japan is cheering for you. Please say something!\Sorry, but I have practice. response:	The stars know everything.
context: Nephrite, I leave this in your hands.\Oh, there she is!\Rui, how are you doing?\Do you think you can win the next tournament?\I don't know.\Everyone in Japan is cheering for you. Please say something!\Sorry, but I have practice.\The stars know everything. response:	O stars, grant me your mysterious powers.
context: Oh, there she is!\Rui, how are you doing?\Do you think you can win the next tournament?\I don't know.\Everyone in Japan is cheering for you. Please say something!\Sorry, but I have practice.\The stars know everything.\O stars, grant me your mysterious powers. response:	The proud Sagittarius, Chiron,
context: Rui, how are you doing?\Do you think you can win the next tournament?\I don't know.\Everyone in Japan is cheering for you. Please say something!\Sorry, but I have practice.\The stars know everything.\O stars, grant me your mysterious powers.\The proud Sagittarius, Chiron, response:	is about to fire his arrow at the center of the Milky Way.
context: Do you think you can win the next tournament?\I don't know.\Everyone in Japan is cheering for you. Please say something!\Sorry, but I have practice.\The stars know everything.\O stars, grant me your mysterious powers.\The proud Sagittarius, Chiron,\is about to fire his arrow at the center of the Milky Way. response:	The target that Sagittarius has chosen...
context: I don't know.\Everyone in Japan is cheering for you. Please say something!\Sorry, but I have practice.\The stars know everything.\O stars, grant me your mysterious powers.\The proud Sagittarius, Chiron,\is about to fire his arrow at the center of the Milky Way.\The target that Sagittarius has chosen... response:	Rui Saionji, I will take your energy.
context: Everyone in Japan is cheering for you. Please say something!\Sorry, but I have practice.\The stars know everything.\O stars, grant me your mysterious powers.\The proud Sagittarius, Chiron,\is about to fire his arrow at the center of the Milky Way.\The target that Sagittarius has chosen...\Rui Saionji, I will take your energy. response:	Saionji, go for it!
context: Sorry, but I have practice.\The stars know everything.\O stars, grant me your mysterious powers.\The proud Sagittarius, Chiron,\is about to fire his arrow at the center of the Milky Way.\The target that Sagittarius has chosen...\Rui Saionji, I will take your energy.\Saionji, go for it! response:	Saionji! Saionji, go for it!
context: The stars know everything.\O stars, grant me your mysterious powers.\The proud Sagittarius, Chiron,\is about to fire his arrow at the center of the Milky Way.\The target that Sagittarius has chosen...\Rui Saionji, I will take your energy.\Saionji, go for it!\Saionji! Saionji, go for it! response:	Saionji!
context: O stars, grant me your mysterious powers.\The proud Sagittarius, Chiron,\is about to fire his arrow at the center of the Milky Way.\The target that Sagittarius has chosen...\Rui Saionji, I will take your energy.\Saionji, go for it!\Saionji! Saionji, go for it!\Saionji! response:	Yeah! She did it!
context: The proud Sagittarius, Chiron,\is about to fire his arrow at the center of the Milky Way.\The target that Sagittarius has chosen...\Rui Saionji, I will take your energy.\Saionji, go for it!\Saionji! Saionji, go for it!\Saionji!\Yeah! She did it! response:	Rui, sister, you're the best!
context: is about to fire his arrow at the center of the Milky Way.\The target that Sagittarius has chosen...\Rui Saionji, I will take your energy.\Saionji, go for it!\Saionji! Saionji, go for it!\Saionji!\Yeah! She did it!\Rui, sister, you're the best! response:	I never knew.
context: The target that Sagittarius has chosen...\Rui Saionji, I will take your energy.\Saionji, go for it!\Saionji! Saionji, go for it!\Saionji!\Yeah! She did it!\Rui, sister, you're the best!\I never knew. response:	Knew what?
context: Rui Saionji, I will take your energy.\Saionji, go for it!\Saionji! Saionji, go for it!\Saionji!\Yeah! She did it!\Rui, sister, you're the best!\I never knew.\Knew what? response:	That Rui was your older sister. Knew what?
context: Saionji, go for it!\Saionji! Saionji, go for it!\Saionji!\Yeah! She did it!\Rui, sister, you're the best!\I never knew.\Knew what?\That Rui was your older sister. Knew what? response:	That Rui was your older sister.
context: Saionji! Saionji, go for it!\Saionji!\Yeah! She did it!\Rui, sister, you're the best!\I never knew.\Knew what?\That Rui was your older sister. Knew what?\That Rui was your older sister. response:	Huh?
context: Saionji!\Yeah! She did it!\Rui, sister, you're the best!\I never knew.\Knew what?\That Rui was your older sister. Knew what?\That Rui was your older sister.\Huh? response:	I will punish you if you keep secrets from your friend! Huh?
context: Yeah! She did it!\Rui, sister, you're the best!\I never knew.\Knew what?\That Rui was your older sister. Knew what?\That Rui was your older sister.\Huh?\I will punish you if you keep secrets from your friend! Huh? response:	I will punish you if you keep secrets from your friend!
context: Rui, sister, you're the best!\I never knew.\Knew what?\That Rui was your older sister. Knew what?\That Rui was your older sister.\Huh?\I will punish you if you keep secrets from your friend! Huh?\I will punish you if you keep secrets from your friend! response:	You're so stupid, Usagi.
context: I never knew.\Knew what?\That Rui was your older sister. Knew what?\That Rui was your older sister.\Huh?\I will punish you if you keep secrets from your friend! Huh?\I will punish you if you keep secrets from your friend!\You're so stupid, Usagi. response:	Stu... You're so stupid, Usagi.
context: Knew what?\That Rui was your older sister. Knew what?\That Rui was your older sister.\Huh?\I will punish you if you keep secrets from your friend! Huh?\I will punish you if you keep secrets from your friend!\You're so stupid, Usagi.\Stu... You're so stupid, Usagi. response:	Stu...
context: That Rui was your older sister. Knew what?\That Rui was your older sister.\Huh?\I will punish you if you keep secrets from your friend! Huh?\I will punish you if you keep secrets from your friend!\You're so stupid, Usagi.\Stu... You're so stupid, Usagi.\Stu... response:	Stu... Stu...
context: That Rui was your older sister.\Huh?\I will punish you if you keep secrets from your friend! Huh?\I will punish you if you keep secrets from your friend!\You're so stupid, Usagi.\Stu... You're so stupid, Usagi.\Stu...\Stu... Stu... response:	Stu...
context: Huh?\I will punish you if you keep secrets from your friend! Huh?\I will punish you if you keep secrets from your friend!\You're so stupid, Usagi.\Stu... You're so stupid, Usagi.\Stu...\Stu... Stu...\Stu... response:	That's mean, Naru! You didn't have to go that far!
context: I will punish you if you keep secrets from your friend! Huh?\I will punish you if you keep secrets from your friend!\You're so stupid, Usagi.\Stu... You're so stupid, Usagi.\Stu...\Stu... Stu...\Stu...\That's mean, Naru! You didn't have to go that far! response:	I'm an only child. Besides, we have different surnames.
context: I will punish you if you keep secrets from your friend!\You're so stupid, Usagi.\Stu... You're so stupid, Usagi.\Stu...\Stu... Stu...\Stu...\That's mean, Naru! You didn't have to go that far!\I'm an only child. Besides, we have different surnames. response:	That's true. But didn't you just call Rui your sister?
context: You're so stupid, Usagi.\Stu... You're so stupid, Usagi.\Stu...\Stu... Stu...\Stu...\That's mean, Naru! You didn't have to go that far!\I'm an only child. Besides, we have different surnames.\That's true. But didn't you just call Rui your sister? response:	Well, Rui's mother has been a good customer at our store for a long time.
context: Stu... You're so stupid, Usagi.\Stu...\Stu... Stu...\Stu...\That's mean, Naru! You didn't have to go that far!\I'm an only child. Besides, we have different surnames.\That's true. But didn't you just call Rui your sister?\Well, Rui's mother has been a good customer at our store for a long time. response:	So, we've been playing together since we were little.
context: Stu...\Stu... Stu...\Stu...\That's mean, Naru! You didn't have to go that far!\I'm an only child. Besides, we have different surnames.\That's true. But didn't you just call Rui your sister?\Well, Rui's mother has been a good customer at our store for a long time.\So, we've been playing together since we were little. response:	She's only a year older than me, but she's been like a big sister to me.
context: Stu... Stu...\Stu...\That's mean, Naru! You didn't have to go that far!\I'm an only child. Besides, we have different surnames.\That's true. But didn't you just call Rui your sister?\Well, Rui's mother has been a good customer at our store for a long time.\So, we've been playing together since we were little.\She's only a year older than me, but she's been like a big sister to me. response:	Oh, so that's why.
context: Stu...\That's mean, Naru! You didn't have to go that far!\I'm an only child. Besides, we have different surnames.\That's true. But didn't you just call Rui your sister?\Well, Rui's mother has been a good customer at our store for a long time.\So, we've been playing together since we were little.\She's only a year older than me, but she's been like a big sister to me.\Oh, so that's why. response:	Wow, he's gorgeous!
context: That's mean, Naru! You didn't have to go that far!\I'm an only child. Besides, we have different surnames.\That's true. But didn't you just call Rui your sister?\Well, Rui's mother has been a good customer at our store for a long time.\So, we've been playing together since we were little.\She's only a year older than me, but she's been like a big sister to me.\Oh, so that's why.\Wow, he's gorgeous! response:	Oh my god, you're right!
context: I'm an only child. Besides, we have different surnames.\That's true. But didn't you just call Rui your sister?\Well, Rui's mother has been a good customer at our store for a long time.\So, we've been playing together since we were little.\She's only a year older than me, but she's been like a big sister to me.\Oh, so that's why.\Wow, he's gorgeous!\Oh my god, you're right! response:	I heard that he's a successful businessman.
context: That's true. But didn't you just call Rui your sister?\Well, Rui's mother has been a good customer at our store for a long time.\So, we've been playing together since we were little.\She's only a year older than me, but she's been like a big sister to me.\Oh, so that's why.\Wow, he's gorgeous!\Oh my god, you're right!\I heard that he's a successful businessman. response:	Do you know him?
context: Well, Rui's mother has been a good customer at our store for a long time.\So, we've been playing together since we were little.\She's only a year older than me, but she's been like a big sister to me.\Oh, so that's why.\Wow, he's gorgeous!\Oh my god, you're right!\I heard that he's a successful businessman.\Do you know him? response:	He's supposed to be the president of a company Do you know him?
context: So, we've been playing together since we were little.\She's only a year older than me, but she's been like a big sister to me.\Oh, so that's why.\Wow, he's gorgeous!\Oh my god, you're right!\I heard that he's a successful businessman.\Do you know him?\He's supposed to be the president of a company Do you know him? response:	He's supposed to be the president of a company
context: She's only a year older than me, but she's been like a big sister to me.\Oh, so that's why.\Wow, he's gorgeous!\Oh my god, you're right!\I heard that he's a successful businessman.\Do you know him?\He's supposed to be the president of a company Do you know him?\He's supposed to be the president of a company response:	that was established around here recently.
context: Oh, so that's why.\Wow, he's gorgeous!\Oh my god, you're right!\I heard that he's a successful businessman.\Do you know him?\He's supposed to be the president of a company Do you know him?\He's supposed to be the president of a company\that was established around here recently. response:	That was established around here recently. Wow!
context: Wow, he's gorgeous!\Oh my god, you're right!\I heard that he's a successful businessman.\Do you know him?\He's supposed to be the president of a company Do you know him?\He's supposed to be the president of a company\that was established around here recently.\That was established around here recently. Wow! response:	Wow!
context: Oh my god, you're right!\I heard that he's a successful businessman.\Do you know him?\He's supposed to be the president of a company Do you know him?\He's supposed to be the president of a company\that was established around here recently.\That was established around here recently. Wow!\Wow! response:	He's so handsome!
context: I heard that he's a successful businessman.\Do you know him?\He's supposed to be the president of a company Do you know him?\He's supposed to be the president of a company\that was established around here recently.\That was established around here recently. Wow!\Wow!\He's so handsome! response:	Please don't enter the court without permission!
context: Do you know him?\He's supposed to be the president of a company Do you know him?\He's supposed to be the president of a company\that was established around here recently.\That was established around here recently. Wow!\Wow!\He's so handsome!\Please don't enter the court without permission! response:	Use your weight more when you hit the ball!
context: He's supposed to be the president of a company Do you know him?\He's supposed to be the president of a company\that was established around here recently.\That was established around here recently. Wow!\Wow!\He's so handsome!\Please don't enter the court without permission!\Use your weight more when you hit the ball! response:	What?!
context: He's supposed to be the president of a company\that was established around here recently.\That was established around here recently. Wow!\Wow!\He's so handsome!\Please don't enter the court without permission!\Use your weight more when you hit the ball!\What?! response:	Your racket, please.
context: that was established around here recently.\That was established around here recently. Wow!\Wow!\He's so handsome!\Please don't enter the court without permission!\Use your weight more when you hit the ball!\What?!\Your racket, please. response:	Here... Your racket, please.
context: That was established around here recently. Wow!\Wow!\He's so handsome!\Please don't enter the court without permission!\Use your weight more when you hit the ball!\What?!\Your racket, please.\Here... Your racket, please. response:	Here...
context: Wow!\He's so handsome!\Please don't enter the court without permission!\Use your weight more when you hit the ball!\What?!\Your racket, please.\Here... Your racket, please.\Here... response:	Okay, try now!
context: He's so handsome!\Please don't enter the court without permission!\Use your weight more when you hit the ball!\What?!\Your racket, please.\Here... Your racket, please.\Here...\Okay, try now! response:	Rui!
context: Please don't enter the court without permission!\Use your weight more when you hit the ball!\What?!\Your racket, please.\Here... Your racket, please.\Here...\Okay, try now!\Rui! response:	A fly could land on a serve like that.
context: Use your weight more when you hit the ball!\What?!\Your racket, please.\Here... Your racket, please.\Here...\Okay, try now!\Rui!\A fly could land on a serve like that. response:	Who are you?
context: What?!\Your racket, please.\Here... Your racket, please.\Here...\Okay, try now!\Rui!\A fly could land on a serve like that.\Who are you? response:	Masato Sanjoin, just an eccentric coach.
context: Your racket, please.\Here... Your racket, please.\Here...\Okay, try now!\Rui!\A fly could land on a serve like that.\Who are you?\Masato Sanjoin, just an eccentric coach. response:	I'm sorry.
context: Here... Your racket, please.\Here...\Okay, try now!\Rui!\A fly could land on a serve like that.\Who are you?\Masato Sanjoin, just an eccentric coach.\I'm sorry. response:	My loyal monster, possess this racket,
context: Here...\Okay, try now!\Rui!\A fly could land on a serve like that.\Who are you?\Masato Sanjoin, just an eccentric coach.\I'm sorry.\My loyal monster, possess this racket, response:	bring Rui Saionji's energy to its peak level and steal it!
context: Okay, try now!\Rui!\A fly could land on a serve like that.\Who are you?\Masato Sanjoin, just an eccentric coach.\I'm sorry.\My loyal monster, possess this racket,\bring Rui Saionji's energy to its peak level and steal it! response:	Just think of putting your weight behind the ball.
context: Rui!\A fly could land on a serve like that.\Who are you?\Masato Sanjoin, just an eccentric coach.\I'm sorry.\My loyal monster, possess this racket,\bring Rui Saionji's energy to its peak level and steal it!\Just think of putting your weight behind the ball. response:	Yes, Sir.
context: A fly could land on a serve like that.\Who are you?\Masato Sanjoin, just an eccentric coach.\I'm sorry.\My loyal monster, possess this racket,\bring Rui Saionji's energy to its peak level and steal it!\Just think of putting your weight behind the ball.\Yes, Sir. response:	Someone come receive her serve!
context: Who are you?\Masato Sanjoin, just an eccentric coach.\I'm sorry.\My loyal monster, possess this racket,\bring Rui Saionji's energy to its peak level and steal it!\Just think of putting your weight behind the ball.\Yes, Sir.\Someone come receive her serve! response:	Me, me! I'll do it!
context: Masato Sanjoin, just an eccentric coach.\I'm sorry.\My loyal monster, possess this racket,\bring Rui Saionji's energy to its peak level and steal it!\Just think of putting your weight behind the ball.\Yes, Sir.\Someone come receive her serve!\Me, me! I'll do it! response:	When did he get in there?!
context: I'm sorry.\My loyal monster, possess this racket,\bring Rui Saionji's energy to its peak level and steal it!\Just think of putting your weight behind the ball.\Yes, Sir.\Someone come receive her serve!\Me, me! I'll do it!\When did he get in there?! response:	First come, first serve!
context: My loyal monster, possess this racket,\bring Rui Saionji's energy to its peak level and steal it!\Just think of putting your weight behind the ball.\Yes, Sir.\Someone come receive her serve!\Me, me! I'll do it!\When did he get in there?!\First come, first serve! response:	Miss Saionji, I'm ready any time you are!
context: bring Rui Saionji's energy to its peak level and steal it!\Just think of putting your weight behind the ball.\Yes, Sir.\Someone come receive her serve!\Me, me! I'll do it!\When did he get in there?!\First come, first serve!\Miss Saionji, I'm ready any time you are! response:	Amazing!
context: Just think of putting your weight behind the ball.\Yes, Sir.\Someone come receive her serve!\Me, me! I'll do it!\When did he get in there?!\First come, first serve!\Miss Saionji, I'm ready any time you are!\Amazing! response:	Did you see that?! It's amazing!
context: Yes, Sir.\Someone come receive her serve!\Me, me! I'll do it!\When did he get in there?!\First come, first serve!\Miss Saionji, I'm ready any time you are!\Amazing!\Did you see that?! It's amazing! response:	Thank you so much...
