context: Norman's getting shipped? response:	Yes. It's been decided that it'll be tomorrow.
context: We can make more rope!\The escape will happen, so we'll make it happen!\But first, Norman.\But why? Why is Norman getting shipped?\Mom was talking about the next shipment.\When she said the situation changed, she was talking about Norman.\And I can't believe even Sister...\She was her usual energetic self this morning, too. response:	She was smiling and doing laundry, like normal.
context: The escape will happen, so we'll make it happen!\But first, Norman.\But why? Why is Norman getting shipped?\Mom was talking about the next shipment.\When she said the situation changed, she was talking about Norman.\And I can't believe even Sister...\She was her usual energetic self this morning, too.\She was smiling and doing laundry, like normal. response:	But now, she's no longer alive anywhere in this world.
context: But first, Norman.\But why? Why is Norman getting shipped?\Mom was talking about the next shipment.\When she said the situation changed, she was talking about Norman.\And I can't believe even Sister...\She was her usual energetic self this morning, too.\She was smiling and doing laundry, like normal.\But now, she's no longer alive anywhere in this world. response:	Emma.
context: But why? Why is Norman getting shipped?\Mom was talking about the next shipment.\When she said the situation changed, she was talking about Norman.\And I can't believe even Sister...\She was her usual energetic self this morning, too.\She was smiling and doing laundry, like normal.\But now, she's no longer alive anywhere in this world.\Emma. response:	Don't worry. All she took was the rope.
context: Mom was talking about the next shipment.\When she said the situation changed, she was talking about Norman.\And I can't believe even Sister...\She was her usual energetic self this morning, too.\She was smiling and doing laundry, like normal.\But now, she's no longer alive anywhere in this world.\Emma.\Don't worry. All she took was the rope. response:	What are you saying?
context: When she said the situation changed, she was talking about Norman.\And I can't believe even Sister...\She was her usual energetic self this morning, too.\She was smiling and doing laundry, like normal.\But now, she's no longer alive anywhere in this world.\Emma.\Don't worry. All she took was the rope.\What are you saying? response:	The plan isn't over yet.
context: And I can't believe even Sister...\She was her usual energetic self this morning, too.\She was smiling and doing laundry, like normal.\But now, she's no longer alive anywhere in this world.\Emma.\Don't worry. All she took was the rope.\What are you saying?\The plan isn't over yet. response:	Your leg will heal.
context: She was her usual energetic self this morning, too.\She was smiling and doing laundry, like normal.\But now, she's no longer alive anywhere in this world.\Emma.\Don't worry. All she took was the rope.\What are you saying?\The plan isn't over yet.\Your leg will heal. response:	That's not it! We have to do something about your shipment!
context: She was smiling and doing laundry, like normal.\But now, she's no longer alive anywhere in this world.\Emma.\Don't worry. All she took was the rope.\What are you saying?\The plan isn't over yet.\Your leg will heal.\That's not it! We have to do something about your shipment! response:	The escape will succeed.
context: But now, she's no longer alive anywhere in this world.\Emma.\Don't worry. All she took was the rope.\What are you saying?\The plan isn't over yet.\Your leg will heal.\That's not it! We have to do something about your shipment!\The escape will succeed. response:	You're coming with us.
context: Emma.\Don't worry. All she took was the rope.\What are you saying?\The plan isn't over yet.\Your leg will heal.\That's not it! We have to do something about your shipment!\The escape will succeed.\You're coming with us. response:	You have to be with us, or else!
context: Don't worry. All she took was the rope.\What are you saying?\The plan isn't over yet.\Your leg will heal.\That's not it! We have to do something about your shipment!\The escape will succeed.\You're coming with us.\You have to be with us, or else! response:	Hold on. I'll get you some water.
context: What are you saying?\The plan isn't over yet.\Your leg will heal.\That's not it! We have to do something about your shipment!\The escape will succeed.\You're coming with us.\You have to be with us, or else!\Hold on. I'll get you some water. response:	Norman!
context: The plan isn't over yet.\Your leg will heal.\That's not it! We have to do something about your shipment!\The escape will succeed.\You're coming with us.\You have to be with us, or else!\Hold on. I'll get you some water.\Norman! response:	What are we going to do, Ray?
context: Your leg will heal.\That's not it! We have to do something about your shipment!\The escape will succeed.\You're coming with us.\You have to be with us, or else!\Hold on. I'll get you some water.\Norman!\What are we going to do, Ray? response:	We'll have him escape, obviously! No matter what!
context: That's not it! We have to do something about your shipment!\The escape will succeed.\You're coming with us.\You have to be with us, or else!\Hold on. I'll get you some water.\Norman!\What are we going to do, Ray?\We'll have him escape, obviously! No matter what! response:	Damn it!
context: The escape will succeed.\You're coming with us.\You have to be with us, or else!\Hold on. I'll get you some water.\Norman!\What are we going to do, Ray?\We'll have him escape, obviously! No matter what!\Damn it! response:	Don. Gilda.
context: You're coming with us.\You have to be with us, or else!\Hold on. I'll get you some water.\Norman!\What are we going to do, Ray?\We'll have him escape, obviously! No matter what!\Damn it!\Don. Gilda. response:	We have to get ready.
context: You have to be with us, or else!\Hold on. I'll get you some water.\Norman!\What are we going to do, Ray?\We'll have him escape, obviously! No matter what!\Damn it!\Don. Gilda.\We have to get ready. response:	We're going to let Norman escape.
context: Hold on. I'll get you some water.\Norman!\What are we going to do, Ray?\We'll have him escape, obviously! No matter what!\Damn it!\Don. Gilda.\We have to get ready.\We're going to let Norman escape. response:	Emma.
context: Norman!\What are we going to do, Ray?\We'll have him escape, obviously! No matter what!\Damn it!\Don. Gilda.\We have to get ready.\We're going to let Norman escape.\Emma. response:	Ray.
context: What are we going to do, Ray?\We'll have him escape, obviously! No matter what!\Damn it!\Don. Gilda.\We have to get ready.\We're going to let Norman escape.\Emma.\Ray. response:	Norman, tomorrow afternoon, escape by yourself.
context: We'll have him escape, obviously! No matter what!\Damn it!\Don. Gilda.\We have to get ready.\We're going to let Norman escape.\Emma.\Ray.\Norman, tomorrow afternoon, escape by yourself. response:	We're not going to let you die.
context: Damn it!\Don. Gilda.\We have to get ready.\We're going to let Norman escape.\Emma.\Ray.\Norman, tomorrow afternoon, escape by yourself.\We're not going to let you die. response:	Sorry, I can't do that.
context: Don. Gilda.\We have to get ready.\We're going to let Norman escape.\Emma.\Ray.\Norman, tomorrow afternoon, escape by yourself.\We're not going to let you die.\Sorry, I can't do that. response:	Denied.
context: We have to get ready.\We're going to let Norman escape.\Emma.\Ray.\Norman, tomorrow afternoon, escape by yourself.\We're not going to let you die.\Sorry, I can't do that.\Denied. response:	To be more precise, tomorrow afternoon, make it seem like you've escaped by yourself.
context: We're going to let Norman escape.\Emma.\Ray.\Norman, tomorrow afternoon, escape by yourself.\We're not going to let you die.\Sorry, I can't do that.\Denied.\To be more precise, tomorrow afternoon, make it seem like you've escaped by yourself. response:	Disable the tracking device, and pretend to have escaped.
context: Emma.\Ray.\Norman, tomorrow afternoon, escape by yourself.\We're not going to let you die.\Sorry, I can't do that.\Denied.\To be more precise, tomorrow afternoon, make it seem like you've escaped by yourself.\Disable the tracking device, and pretend to have escaped. response:	Then, hide in the area until Emma's leg is healed.
context: Ray.\Norman, tomorrow afternoon, escape by yourself.\We're not going to let you die.\Sorry, I can't do that.\Denied.\To be more precise, tomorrow afternoon, make it seem like you've escaped by yourself.\Disable the tracking device, and pretend to have escaped.\Then, hide in the area until Emma's leg is healed. response:	And on the day we escape, you'll run away with us.
context: Norman, tomorrow afternoon, escape by yourself.\We're not going to let you die.\Sorry, I can't do that.\Denied.\To be more precise, tomorrow afternoon, make it seem like you've escaped by yourself.\Disable the tracking device, and pretend to have escaped.\Then, hide in the area until Emma's leg is healed.\And on the day we escape, you'll run away with us. response:	But even if it may not be true, once I run away, the security will get tighter.
context: We're not going to let you die.\Sorry, I can't do that.\Denied.\To be more precise, tomorrow afternoon, make it seem like you've escaped by yourself.\Disable the tracking device, and pretend to have escaped.\Then, hide in the area until Emma's leg is healed.\And on the day we escape, you'll run away with us.\But even if it may not be true, once I run away, the security will get tighter. response:	That's not a problem.
context: Sorry, I can't do that.\Denied.\To be more precise, tomorrow afternoon, make it seem like you've escaped by yourself.\Disable the tracking device, and pretend to have escaped.\Then, hide in the area until Emma's leg is healed.\And on the day we escape, you'll run away with us.\But even if it may not be true, once I run away, the security will get tighter.\That's not a problem. response:	Judging from the House's caretaking policies, security won't increase much.
context: Denied.\To be more precise, tomorrow afternoon, make it seem like you've escaped by yourself.\Disable the tracking device, and pretend to have escaped.\Then, hide in the area until Emma's leg is healed.\And on the day we escape, you'll run away with us.\But even if it may not be true, once I run away, the security will get tighter.\That's not a problem.\Judging from the House's caretaking policies, security won't increase much. response:	Caretaking policies?
context: To be more precise, tomorrow afternoon, make it seem like you've escaped by yourself.\Disable the tracking device, and pretend to have escaped.\Then, hide in the area until Emma's leg is healed.\And on the day we escape, you'll run away with us.\But even if it may not be true, once I run away, the security will get tighter.\That's not a problem.\Judging from the House's caretaking policies, security won't increase much.\Caretaking policies? response:	One, to let us grow freely and comfortably.
context: Disable the tracking device, and pretend to have escaped.\Then, hide in the area until Emma's leg is healed.\And on the day we escape, you'll run away with us.\But even if it may not be true, once I run away, the security will get tighter.\That's not a problem.\Judging from the House's caretaking policies, security won't increase much.\Caretaking policies?\One, to let us grow freely and comfortably. response:	Two, strict confidentiality.
context: Then, hide in the area until Emma's leg is healed.\And on the day we escape, you'll run away with us.\But even if it may not be true, once I run away, the security will get tighter.\That's not a problem.\Judging from the House's caretaking policies, security won't increase much.\Caretaking policies?\One, to let us grow freely and comfortably.\Two, strict confidentiality. response:	The first point is best for our developing brains.
context: And on the day we escape, you'll run away with us.\But even if it may not be true, once I run away, the security will get tighter.\That's not a problem.\Judging from the House's caretaking policies, security won't increase much.\Caretaking policies?\One, to let us grow freely and comfortably.\Two, strict confidentiality.\The first point is best for our developing brains. response:	A healthy child who grew up freely with rich emotions.
context: But even if it may not be true, once I run away, the security will get tighter.\That's not a problem.\Judging from the House's caretaking policies, security won't increase much.\Caretaking policies?\One, to let us grow freely and comfortably.\Two, strict confidentiality.\The first point is best for our developing brains.\A healthy child who grew up freely with rich emotions. response:	That's the minimum obligation for the person in charge of the House.
context: That's not a problem.\Judging from the House's caretaking policies, security won't increase much.\Caretaking policies?\One, to let us grow freely and comfortably.\Two, strict confidentiality.\The first point is best for our developing brains.\A healthy child who grew up freely with rich emotions.\That's the minimum obligation for the person in charge of the House. response:	So that means point two is also...
context: Judging from the House's caretaking policies, security won't increase much.\Caretaking policies?\One, to let us grow freely and comfortably.\Two, strict confidentiality.\The first point is best for our developing brains.\A healthy child who grew up freely with rich emotions.\That's the minimum obligation for the person in charge of the House.\So that means point two is also... response:	Yeah. The demons won't show themselves.
context: Caretaking policies?\One, to let us grow freely and comfortably.\Two, strict confidentiality.\The first point is best for our developing brains.\A healthy child who grew up freely with rich emotions.\That's the minimum obligation for the person in charge of the House.\So that means point two is also...\Yeah. The demons won't show themselves. response:	If they rule us with fear, our brains won't develop into what they want.
context: One, to let us grow freely and comfortably.\Two, strict confidentiality.\The first point is best for our developing brains.\A healthy child who grew up freely with rich emotions.\That's the minimum obligation for the person in charge of the House.\So that means point two is also...\Yeah. The demons won't show themselves.\If they rule us with fear, our brains won't develop into what they want. response:	If they do change the security, they would only increase the number of guards or caretakers.
context: Two, strict confidentiality.\The first point is best for our developing brains.\A healthy child who grew up freely with rich emotions.\That's the minimum obligation for the person in charge of the House.\So that means point two is also...\Yeah. The demons won't show themselves.\If they rule us with fear, our brains won't develop into what they want.\If they do change the security, they would only increase the number of guards or caretakers. response:	That's something we can deal with.
context: The first point is best for our developing brains.\A healthy child who grew up freely with rich emotions.\That's the minimum obligation for the person in charge of the House.\So that means point two is also...\Yeah. The demons won't show themselves.\If they rule us with fear, our brains won't develop into what they want.\If they do change the security, they would only increase the number of guards or caretakers.\That's something we can deal with. response:	No, we will!
context: A healthy child who grew up freely with rich emotions.\That's the minimum obligation for the person in charge of the House.\So that means point two is also...\Yeah. The demons won't show themselves.\If they rule us with fear, our brains won't develop into what they want.\If they do change the security, they would only increase the number of guards or caretakers.\That's something we can deal with.\No, we will! response:	Even so...
context: That's the minimum obligation for the person in charge of the House.\So that means point two is also...\Yeah. The demons won't show themselves.\If they rule us with fear, our brains won't develop into what they want.\If they do change the security, they would only increase the number of guards or caretakers.\That's something we can deal with.\No, we will!\Even so... response:	If they increase the height of the wall to something we can't climb,
context: So that means point two is also...\Yeah. The demons won't show themselves.\If they rule us with fear, our brains won't develop into what they want.\If they do change the security, they would only increase the number of guards or caretakers.\That's something we can deal with.\No, we will!\Even so...\If they increase the height of the wall to something we can't climb, response:	how will you climb over it then?
context: Yeah. The demons won't show themselves.\If they rule us with fear, our brains won't develop into what they want.\If they do change the security, they would only increase the number of guards or caretakers.\That's something we can deal with.\No, we will!\Even so...\If they increase the height of the wall to something we can't climb,\how will you climb over it then? response:	You can make a ladder while you're hiding or something.
context: If they rule us with fear, our brains won't develop into what they want.\If they do change the security, they would only increase the number of guards or caretakers.\That's something we can deal with.\No, we will!\Even so...\If they increase the height of the wall to something we can't climb,\how will you climb over it then?\You can make a ladder while you're hiding or something. response:	What if they change the tracking device to a more complex one?
context: If they do change the security, they would only increase the number of guards or caretakers.\That's something we can deal with.\No, we will!\Even so...\If they increase the height of the wall to something we can't climb,\how will you climb over it then?\You can make a ladder while you're hiding or something.\What if they change the tracking device to a more complex one? response:	If they implant new ones, we'll know where they are, so we can just take them out!
context: That's something we can deal with.\No, we will!\Even so...\If they increase the height of the wall to something we can't climb,\how will you climb over it then?\You can make a ladder while you're hiding or something.\What if they change the tracking device to a more complex one?\If they implant new ones, we'll know where they are, so we can just take them out! response:	We can handle it!
context: No, we will!\Even so...\If they increase the height of the wall to something we can't climb,\how will you climb over it then?\You can make a ladder while you're hiding or something.\What if they change the tracking device to a more complex one?\If they implant new ones, we'll know where they are, so we can just take them out!\We can handle it! response:	You get it, right? You don't have to die.
context: Even so...\If they increase the height of the wall to something we can't climb,\how will you climb over it then?\You can make a ladder while you're hiding or something.\What if they change the tracking device to a more complex one?\If they implant new ones, we'll know where they are, so we can just take them out!\We can handle it!\You get it, right? You don't have to die. response:	I'll supply your food.
context: If they increase the height of the wall to something we can't climb,\how will you climb over it then?\You can make a ladder while you're hiding or something.\What if they change the tracking device to a more complex one?\If they implant new ones, we'll know where they are, so we can just take them out!\We can handle it!\You get it, right? You don't have to die.\I'll supply your food. response:	We'll keep you hidden no matter what.
context: how will you climb over it then?\You can make a ladder while you're hiding or something.\What if they change the tracking device to a more complex one?\If they implant new ones, we'll know where they are, so we can just take them out!\We can handle it!\You get it, right? You don't have to die.\I'll supply your food.\We'll keep you hidden no matter what. response:	We can more or less deal with tighter security.
context: You can make a ladder while you're hiding or something.\What if they change the tracking device to a more complex one?\If they implant new ones, we'll know where they are, so we can just take them out!\We can handle it!\You get it, right? You don't have to die.\I'll supply your food.\We'll keep you hidden no matter what.\We can more or less deal with tighter security. response:	I still have a trump card to outwit Mom!
context: What if they change the tracking device to a more complex one?\If they implant new ones, we'll know where they are, so we can just take them out!\We can handle it!\You get it, right? You don't have to die.\I'll supply your food.\We'll keep you hidden no matter what.\We can more or less deal with tighter security.\I still have a trump card to outwit Mom! response:	So live!
context: If they implant new ones, we'll know where they are, so we can just take them out!\We can handle it!\You get it, right? You don't have to die.\I'll supply your food.\We'll keep you hidden no matter what.\We can more or less deal with tighter security.\I still have a trump card to outwit Mom!\So live! response:	Pretend to run away, and with this method...
context: We can handle it!\You get it, right? You don't have to die.\I'll supply your food.\We'll keep you hidden no matter what.\We can more or less deal with tighter security.\I still have a trump card to outwit Mom!\So live!\Pretend to run away, and with this method... response:	No.
context: You get it, right? You don't have to die.\I'll supply your food.\We'll keep you hidden no matter what.\We can more or less deal with tighter security.\I still have a trump card to outwit Mom!\So live!\Pretend to run away, and with this method...\No. response:	I can't do it. It won't work.
context: I'll supply your food.\We'll keep you hidden no matter what.\We can more or less deal with tighter security.\I still have a trump card to outwit Mom!\So live!\Pretend to run away, and with this method...\No.\I can't do it. It won't work. response:	It's not just about security.
context: We'll keep you hidden no matter what.\We can more or less deal with tighter security.\I still have a trump card to outwit Mom!\So live!\Pretend to run away, and with this method...\No.\I can't do it. It won't work.\It's not just about security. response:	If I run, you or Emma might get shipped out in my place.
context: We can more or less deal with tighter security.\I still have a trump card to outwit Mom!\So live!\Pretend to run away, and with this method...\No.\I can't do it. It won't work.\It's not just about security.\If I run, you or Emma might get shipped out in my place. response:	For one of you to get killed instead of me?
context: I still have a trump card to outwit Mom!\So live!\Pretend to run away, and with this method...\No.\I can't do it. It won't work.\It's not just about security.\If I run, you or Emma might get shipped out in my place.\For one of you to get killed instead of me? response:	I don't want that at all.
context: So live!\Pretend to run away, and with this method...\No.\I can't do it. It won't work.\It's not just about security.\If I run, you or Emma might get shipped out in my place.\For one of you to get killed instead of me?\I don't want that at all. response:	They can have my life.
context: Pretend to run away, and with this method...\No.\I can't do it. It won't work.\It's not just about security.\If I run, you or Emma might get shipped out in my place.\For one of you to get killed instead of me?\I don't want that at all.\They can have my life. response:	But I have no intention of giving them anything else.
context: No.\I can't do it. It won't work.\It's not just about security.\If I run, you or Emma might get shipped out in my place.\For one of you to get killed instead of me?\I don't want that at all.\They can have my life.\But I have no intention of giving them anything else. response:	I'll destroy what Mom has plotted and make sure the escape succeeds!
context: I can't do it. It won't work.\It's not just about security.\If I run, you or Emma might get shipped out in my place.\For one of you to get killed instead of me?\I don't want that at all.\They can have my life.\But I have no intention of giving them anything else.\I'll destroy what Mom has plotted and make sure the escape succeeds! response:	Both of you, thank you.
context: It's not just about security.\If I run, you or Emma might get shipped out in my place.\For one of you to get killed instead of me?\I don't want that at all.\They can have my life.\But I have no intention of giving them anything else.\I'll destroy what Mom has plotted and make sure the escape succeeds!\Both of you, thank you. response:	You should come up with and decide on a plan for after I'm gone.
context: If I run, you or Emma might get shipped out in my place.\For one of you to get killed instead of me?\I don't want that at all.\They can have my life.\But I have no intention of giving them anything else.\I'll destroy what Mom has plotted and make sure the escape succeeds!\Both of you, thank you.\You should come up with and decide on a plan for after I'm gone. response:	Don't be ridiculous.
context: For one of you to get killed instead of me?\I don't want that at all.\They can have my life.\But I have no intention of giving them anything else.\I'll destroy what Mom has plotted and make sure the escape succeeds!\Both of you, thank you.\You should come up with and decide on a plan for after I'm gone.\Don't be ridiculous. response:	Then what were the last six years of my life for?
context: I don't want that at all.\They can have my life.\But I have no intention of giving them anything else.\I'll destroy what Mom has plotted and make sure the escape succeeds!\Both of you, thank you.\You should come up with and decide on a plan for after I'm gone.\Don't be ridiculous.\Then what were the last six years of my life for? response:	Sorry.
context: They can have my life.\But I have no intention of giving them anything else.\I'll destroy what Mom has plotted and make sure the escape succeeds!\Both of you, thank you.\You should come up with and decide on a plan for after I'm gone.\Don't be ridiculous.\Then what were the last six years of my life for?\Sorry. response:	Damn it!
context: But I have no intention of giving them anything else.\I'll destroy what Mom has plotted and make sure the escape succeeds!\Both of you, thank you.\You should come up with and decide on a plan for after I'm gone.\Don't be ridiculous.\Then what were the last six years of my life for?\Sorry.\Damn it! response:	Then Ray, you should break your leg, too.
context: I'll destroy what Mom has plotted and make sure the escape succeeds!\Both of you, thank you.\You should come up with and decide on a plan for after I'm gone.\Don't be ridiculous.\Then what were the last six years of my life for?\Sorry.\Damn it!\Then Ray, you should break your leg, too. response:	It's okay, right? Yeah, let's break a bone!
context: Both of you, thank you.\You should come up with and decide on a plan for after I'm gone.\Don't be ridiculous.\Then what were the last six years of my life for?\Sorry.\Damn it!\Then Ray, you should break your leg, too.\It's okay, right? Yeah, let's break a bone! response:	Emma, what are you...
context: You should come up with and decide on a plan for after I'm gone.\Don't be ridiculous.\Then what were the last six years of my life for?\Sorry.\Damn it!\Then Ray, you should break your leg, too.\It's okay, right? Yeah, let's break a bone!\Emma, what are you... response:	You know, since I'm hurt so badly, I don't think I'll get shipped out in your place.
context: Don't be ridiculous.\Then what were the last six years of my life for?\Sorry.\Damn it!\Then Ray, you should break your leg, too.\It's okay, right? Yeah, let's break a bone!\Emma, what are you...\You know, since I'm hurt so badly, I don't think I'll get shipped out in your place. response:	Remember what the demon at the gate said?
context: Then what were the last six years of my life for?\Sorry.\Damn it!\Then Ray, you should break your leg, too.\It's okay, right? Yeah, let's break a bone!\Emma, what are you...\You know, since I'm hurt so badly, I don't think I'll get shipped out in your place.\Remember what the demon at the gate said? response:	We're high-grade merchandise, and we're also special.
context: Sorry.\Damn it!\Then Ray, you should break your leg, too.\It's okay, right? Yeah, let's break a bone!\Emma, what are you...\You know, since I'm hurt so badly, I don't think I'll get shipped out in your place.\Remember what the demon at the gate said?\We're high-grade merchandise, and we're also special. response:	When we go, we have to be in perfect form.
context: Damn it!\Then Ray, you should break your leg, too.\It's okay, right? Yeah, let's break a bone!\Emma, what are you...\You know, since I'm hurt so badly, I don't think I'll get shipped out in your place.\Remember what the demon at the gate said?\We're high-grade merchandise, and we're also special.\When we go, we have to be in perfect form. response:	So if they need a replacement, it'd be Ray.
context: Then Ray, you should break your leg, too.\It's okay, right? Yeah, let's break a bone!\Emma, what are you...\You know, since I'm hurt so badly, I don't think I'll get shipped out in your place.\Remember what the demon at the gate said?\We're high-grade merchandise, and we're also special.\When we go, we have to be in perfect form.\So if they need a replacement, it'd be Ray. response:	So if Ray were hurt badly as well, he wouldn't get shipped out immediately.
context: It's okay, right? Yeah, let's break a bone!\Emma, what are you...\You know, since I'm hurt so badly, I don't think I'll get shipped out in your place.\Remember what the demon at the gate said?\We're high-grade merchandise, and we're also special.\When we go, we have to be in perfect form.\So if they need a replacement, it'd be Ray.\So if Ray were hurt badly as well, he wouldn't get shipped out immediately. response:	That's a great idea. All right, let's get cracking.
context: Emma, what are you...\You know, since I'm hurt so badly, I don't think I'll get shipped out in your place.\Remember what the demon at the gate said?\We're high-grade merchandise, and we're also special.\When we go, we have to be in perfect form.\So if they need a replacement, it'd be Ray.\So if Ray were hurt badly as well, he wouldn't get shipped out immediately.\That's a great idea. All right, let's get cracking. response:	Right?
context: You know, since I'm hurt so badly, I don't think I'll get shipped out in your place.\Remember what the demon at the gate said?\We're high-grade merchandise, and we're also special.\When we go, we have to be in perfect form.\So if they need a replacement, it'd be Ray.\So if Ray were hurt badly as well, he wouldn't get shipped out immediately.\That's a great idea. All right, let's get cracking.\Right? response:	But wouldn't my arm be enough?
context: Remember what the demon at the gate said?\We're high-grade merchandise, and we're also special.\When we go, we have to be in perfect form.\So if they need a replacement, it'd be Ray.\So if Ray were hurt badly as well, he wouldn't get shipped out immediately.\That's a great idea. All right, let's get cracking.\Right?\But wouldn't my arm be enough? response:	Oh yeah. Then let's break your arm.
context: We're high-grade merchandise, and we're also special.\When we go, we have to be in perfect form.\So if they need a replacement, it'd be Ray.\So if Ray were hurt badly as well, he wouldn't get shipped out immediately.\That's a great idea. All right, let's get cracking.\Right?\But wouldn't my arm be enough?\Oh yeah. Then let's break your arm. response:	No, wait. It's not guaranteed that you won't get shipped out if you get hurt.
context: When we go, we have to be in perfect form.\So if they need a replacement, it'd be Ray.\So if Ray were hurt badly as well, he wouldn't get shipped out immediately.\That's a great idea. All right, let's get cracking.\Right?\But wouldn't my arm be enough?\Oh yeah. Then let's break your arm.\No, wait. It's not guaranteed that you won't get shipped out if you get hurt. response:	Then catch a horrible cold.
context: So if they need a replacement, it'd be Ray.\So if Ray were hurt badly as well, he wouldn't get shipped out immediately.\That's a great idea. All right, let's get cracking.\Right?\But wouldn't my arm be enough?\Oh yeah. Then let's break your arm.\No, wait. It's not guaranteed that you won't get shipped out if you get hurt.\Then catch a horrible cold. response:	The demons won't eat me if I'm sick, right?
context: So if Ray were hurt badly as well, he wouldn't get shipped out immediately.\That's a great idea. All right, let's get cracking.\Right?\But wouldn't my arm be enough?\Oh yeah. Then let's break your arm.\No, wait. It's not guaranteed that you won't get shipped out if you get hurt.\Then catch a horrible cold.\The demons won't eat me if I'm sick, right? response:	Breaking your arm is super painful and it'll be exhausting to be sick, but you'll be fine, right?
