context: Graduation... response:	Gradually, everyone changes...
context: On this day, which marks the successful completion of your academic studies,\take pride in yourselves, as the newest graduates of this time-honored institution.\It is our hope that you spread your grand wings and take steadfast flight towards the future.\Ah, here comes Alice!\W-What should we do?\You tell her!\Eh? M-Me?\U-Um, Alice! response:	Congratulations on your graduation!
context: take pride in yourselves, as the newest graduates of this time-honored institution.\It is our hope that you spread your grand wings and take steadfast flight towards the future.\Ah, here comes Alice!\W-What should we do?\You tell her!\Eh? M-Me?\U-Um, Alice!\Congratulations on your graduation! response:	I-If it's all right with you, could I have the second button on your uniform, please?
context: It is our hope that you spread your grand wings and take steadfast flight towards the future.\Ah, here comes Alice!\W-What should we do?\You tell her!\Eh? M-Me?\U-Um, Alice!\Congratulations on your graduation!\I-If it's all right with you, could I have the second button on your uniform, please? response:	Here you go.
context: Ah, here comes Alice!\W-What should we do?\You tell her!\Eh? M-Me?\U-Um, Alice!\Congratulations on your graduation!\I-If it's all right with you, could I have the second button on your uniform, please?\Here you go. response:	Thank you very much!
context: W-What should we do?\You tell her!\Eh? M-Me?\U-Um, Alice!\Congratulations on your graduation!\I-If it's all right with you, could I have the second button on your uniform, please?\Here you go.\Thank you very much! response:	I did it!
context: You tell her!\Eh? M-Me?\U-Um, Alice!\Congratulations on your graduation!\I-If it's all right with you, could I have the second button on your uniform, please?\Here you go.\Thank you very much!\I did it! response:	I'm happy for you.
context: Eh? M-Me?\U-Um, Alice!\Congratulations on your graduation!\I-If it's all right with you, could I have the second button on your uniform, please?\Here you go.\Thank you very much!\I did it!\I'm happy for you. response:	I'd like one, too!
context: U-Um, Alice!\Congratulations on your graduation!\I-If it's all right with you, could I have the second button on your uniform, please?\Here you go.\Thank you very much!\I did it!\I'm happy for you.\I'd like one, too! response:	Actually, I've always been a fan of yours!
context: Congratulations on your graduation!\I-If it's all right with you, could I have the second button on your uniform, please?\Here you go.\Thank you very much!\I did it!\I'm happy for you.\I'd like one, too!\Actually, I've always been a fan of yours! response:	Umm...
context: I-If it's all right with you, could I have the second button on your uniform, please?\Here you go.\Thank you very much!\I did it!\I'm happy for you.\I'd like one, too!\Actually, I've always been a fan of yours!\Umm... response:	Ah, no fair! I want one, too! Umm...
context: Here you go.\Thank you very much!\I did it!\I'm happy for you.\I'd like one, too!\Actually, I've always been a fan of yours!\Umm...\Ah, no fair! I want one, too! Umm... response:	Ah, no fair! I want one, too!
context: Thank you very much!\I did it!\I'm happy for you.\I'd like one, too!\Actually, I've always been a fan of yours!\Umm...\Ah, no fair! I want one, too! Umm...\Ah, no fair! I want one, too! response:	Ah, no fair! I want one, too! What the?
context: I did it!\I'm happy for you.\I'd like one, too!\Actually, I've always been a fan of yours!\Umm...\Ah, no fair! I want one, too! Umm...\Ah, no fair! I want one, too!\Ah, no fair! I want one, too! What the? response:	What the?
context: I'm happy for you.\I'd like one, too!\Actually, I've always been a fan of yours!\Umm...\Ah, no fair! I want one, too! Umm...\Ah, no fair! I want one, too!\Ah, no fair! I want one, too! What the?\What the? response:	Alice! Alice! What the?
context: I'd like one, too!\Actually, I've always been a fan of yours!\Umm...\Ah, no fair! I want one, too! Umm...\Ah, no fair! I want one, too!\Ah, no fair! I want one, too! What the?\What the?\Alice! Alice! What the? response:	Alice! Alice!
context: Actually, I've always been a fan of yours!\Umm...\Ah, no fair! I want one, too! Umm...\Ah, no fair! I want one, too!\Ah, no fair! I want one, too! What the?\What the?\Alice! Alice! What the?\Alice! Alice! response:	Alice! Alice! Ehh?!
context: Umm...\Ah, no fair! I want one, too! Umm...\Ah, no fair! I want one, too!\Ah, no fair! I want one, too! What the?\What the?\Alice! Alice! What the?\Alice! Alice!\Alice! Alice! Ehh?! response:	Alice! Alice!
context: Ah, no fair! I want one, too! Umm...\Ah, no fair! I want one, too!\Ah, no fair! I want one, too! What the?\What the?\Alice! Alice! What the?\Alice! Alice!\Alice! Alice! Ehh?!\Alice! Alice! response:	That was really a surprise...
context: Ah, no fair! I want one, too!\Ah, no fair! I want one, too! What the?\What the?\Alice! Alice! What the?\Alice! Alice!\Alice! Alice! Ehh?!\Alice! Alice!\That was really a surprise... response:	I didn't tell you the graduation ceremony was today, did I?
context: Ah, no fair! I want one, too! What the?\What the?\Alice! Alice! What the?\Alice! Alice!\Alice! Alice! Ehh?!\Alice! Alice!\That was really a surprise...\I didn't tell you the graduation ceremony was today, did I? response:	Don't underestimate this school's alumni.
context: What the?\Alice! Alice! What the?\Alice! Alice!\Alice! Alice! Ehh?!\Alice! Alice!\That was really a surprise...\I didn't tell you the graduation ceremony was today, did I?\Don't underestimate this school's alumni. response:	Congratulations on your graduation, Alice!
context: Alice! Alice! What the?\Alice! Alice!\Alice! Alice! Ehh?!\Alice! Alice!\That was really a surprise...\I didn't tell you the graduation ceremony was today, did I?\Don't underestimate this school's alumni.\Congratulations on your graduation, Alice! response:	Yes, thank you very much.
context: Alice! Alice!\Alice! Alice! Ehh?!\Alice! Alice!\That was really a surprise...\I didn't tell you the graduation ceremony was today, did I?\Don't underestimate this school's alumni.\Congratulations on your graduation, Alice!\Yes, thank you very much. response:	Dear Ai, I'm happy to report that this summer, Alice graduated from middle school!
context: Alice! Alice! Ehh?!\Alice! Alice!\That was really a surprise...\I didn't tell you the graduation ceremony was today, did I?\Don't underestimate this school's alumni.\Congratulations on your graduation, Alice!\Yes, thank you very much.\Dear Ai, I'm happy to report that this summer, Alice graduated from middle school! response:	Do you remember that day Oboeteimasuka ano hi o
context: Alice! Alice!\That was really a surprise...\I didn't tell you the graduation ceremony was today, did I?\Don't underestimate this school's alumni.\Congratulations on your graduation, Alice!\Yes, thank you very much.\Dear Ai, I'm happy to report that this summer, Alice graduated from middle school!\Do you remember that day Oboeteimasuka ano hi o response:	When your heart suddenly began to race Futo kanjita tokimeki o
context: That was really a surprise...\I didn't tell you the graduation ceremony was today, did I?\Don't underestimate this school's alumni.\Congratulations on your graduation, Alice!\Yes, thank you very much.\Dear Ai, I'm happy to report that this summer, Alice graduated from middle school!\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o response:	The rays from the blue sky were pouring over you... Aoi hizashi abite
context: I didn't tell you the graduation ceremony was today, did I?\Don't underestimate this school's alumni.\Congratulations on your graduation, Alice!\Yes, thank you very much.\Dear Ai, I'm happy to report that this summer, Alice graduated from middle school!\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite response:	I couldn't look away, and when our eyes met Mitoreru to me ga atte
context: Don't underestimate this school's alumni.\Congratulations on your graduation, Alice!\Yes, thank you very much.\Dear Ai, I'm happy to report that this summer, Alice graduated from middle school!\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte response:	I couldn't help but smile Egao koboreta
context: Congratulations on your graduation, Alice!\Yes, thank you very much.\Dear Ai, I'm happy to report that this summer, Alice graduated from middle school!\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta response:	It's just like a spiral Marude supiraare
context: Yes, thank you very much.\Dear Ai, I'm happy to report that this summer, Alice graduated from middle school!\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare response:	I want to spend my days waving to you Itsumademo te o furitai hibi Why don't you just walk home normally?
context: Dear Ai, I'm happy to report that this summer, Alice graduated from middle school!\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi Why don't you just walk home normally? response:	I want to spend my days waving to you Itsumademo te o furitai hibi I thought maybe I should, but...
context: Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi Why don't you just walk home normally?\I want to spend my days waving to you Itsumademo te o furitai hibi I thought maybe I should, but... response:	I want to spend my days waving to you Itsumademo te o furitai hibi...this is my last middle school challenge, so I have to do it!
context: When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi Why don't you just walk home normally?\I want to spend my days waving to you Itsumademo te o furitai hibi I thought maybe I should, but...\I want to spend my days waving to you Itsumademo te o furitai hibi...this is my last middle school challenge, so I have to do it! response:	This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi
context: The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi Why don't you just walk home normally?\I want to spend my days waving to you Itsumademo te o furitai hibi I thought maybe I should, but...\I want to spend my days waving to you Itsumademo te o furitai hibi...this is my last middle school challenge, so I have to do it!\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi response:	This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi Ah, Athena!
context: I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi Why don't you just walk home normally?\I want to spend my days waving to you Itsumademo te o furitai hibi I thought maybe I should, but...\I want to spend my days waving to you Itsumademo te o furitai hibi...this is my last middle school challenge, so I have to do it!\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi Ah, Athena! response:	This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi
context: I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi Why don't you just walk home normally?\I want to spend my days waving to you Itsumademo te o furitai hibi I thought maybe I should, but...\I want to spend my days waving to you Itsumademo te o furitai hibi...this is my last middle school challenge, so I have to do it!\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi Ah, Athena!\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi response:	An eternal spiral Zutto supiraare
context: It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi Why don't you just walk home normally?\I want to spend my days waving to you Itsumademo te o furitai hibi I thought maybe I should, but...\I want to spend my days waving to you Itsumademo te o furitai hibi...this is my last middle school challenge, so I have to do it!\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi Ah, Athena!\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare response:	There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru
context: I want to spend my days waving to you Itsumademo te o furitai hibi Why don't you just walk home normally?\I want to spend my days waving to you Itsumademo te o furitai hibi I thought maybe I should, but...\I want to spend my days waving to you Itsumademo te o furitai hibi...this is my last middle school challenge, so I have to do it!\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi Ah, Athena!\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru response:	There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru Hey Junior...
context: I want to spend my days waving to you Itsumademo te o furitai hibi I thought maybe I should, but...\I want to spend my days waving to you Itsumademo te o furitai hibi...this is my last middle school challenge, so I have to do it!\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi Ah, Athena!\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru Hey Junior... response:	When you climb the next hill, Tsugi no saka o nobottara Hey Junior...
context: I want to spend my days waving to you Itsumademo te o furitai hibi...this is my last middle school challenge, so I have to do it!\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi Ah, Athena!\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru Hey Junior...\When you climb the next hill, Tsugi no saka o nobottara Hey Junior... response:	When you climb the next hill, Tsugi no saka o nobottara...looks like you failed your walking backwards challenge.
context: This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi Ah, Athena!\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru Hey Junior...\When you climb the next hill, Tsugi no saka o nobottara Hey Junior...\When you climb the next hill, Tsugi no saka o nobottara...looks like you failed your walking backwards challenge. response:	When you climb the next hill, Tsugi no saka o nobottara That's really no problem!
context: This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi Ah, Athena!\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru Hey Junior...\When you climb the next hill, Tsugi no saka o nobottara Hey Junior...\When you climb the next hill, Tsugi no saka o nobottara...looks like you failed your walking backwards challenge.\When you climb the next hill, Tsugi no saka o nobottara That's really no problem! response:	When you climb the next hill, Tsugi no saka o nobottara
context: This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru Hey Junior...\When you climb the next hill, Tsugi no saka o nobottara Hey Junior...\When you climb the next hill, Tsugi no saka o nobottara...looks like you failed your walking backwards challenge.\When you climb the next hill, Tsugi no saka o nobottara That's really no problem!\When you climb the next hill, Tsugi no saka o nobottara response:	When you climb the next hill, Tsugi no saka o nobottara Time stands still when Athena is around.
context: An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru Hey Junior...\When you climb the next hill, Tsugi no saka o nobottara Hey Junior...\When you climb the next hill, Tsugi no saka o nobottara...looks like you failed your walking backwards challenge.\When you climb the next hill, Tsugi no saka o nobottara That's really no problem!\When you climb the next hill, Tsugi no saka o nobottara\When you climb the next hill, Tsugi no saka o nobottara Time stands still when Athena is around. response:	Let's meet again Mata aimashou Time stands still when Athena is around.
context: There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru Hey Junior...\When you climb the next hill, Tsugi no saka o nobottara Hey Junior...\When you climb the next hill, Tsugi no saka o nobottara...looks like you failed your walking backwards challenge.\When you climb the next hill, Tsugi no saka o nobottara That's really no problem!\When you climb the next hill, Tsugi no saka o nobottara\When you climb the next hill, Tsugi no saka o nobottara Time stands still when Athena is around.\Let's meet again Mata aimashou Time stands still when Athena is around. response:	Let's meet again Mata aimashou
context: There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru Hey Junior...\When you climb the next hill, Tsugi no saka o nobottara Hey Junior...\When you climb the next hill, Tsugi no saka o nobottara...looks like you failed your walking backwards challenge.\When you climb the next hill, Tsugi no saka o nobottara That's really no problem!\When you climb the next hill, Tsugi no saka o nobottara\When you climb the next hill, Tsugi no saka o nobottara Time stands still when Athena is around.\Let's meet again Mata aimashou Time stands still when Athena is around.\Let's meet again Mata aimashou response:	Surrounded By That Orange Wind...
context: When you climb the next hill, Tsugi no saka o nobottara Hey Junior...\When you climb the next hill, Tsugi no saka o nobottara...looks like you failed your walking backwards challenge.\When you climb the next hill, Tsugi no saka o nobottara That's really no problem!\When you climb the next hill, Tsugi no saka o nobottara\When you climb the next hill, Tsugi no saka o nobottara Time stands still when Athena is around.\Let's meet again Mata aimashou Time stands still when Athena is around.\Let's meet again Mata aimashou\Surrounded By That Orange Wind... response:	Gondola coming through!
context: When you climb the next hill, Tsugi no saka o nobottara...looks like you failed your walking backwards challenge.\When you climb the next hill, Tsugi no saka o nobottara That's really no problem!\When you climb the next hill, Tsugi no saka o nobottara\When you climb the next hill, Tsugi no saka o nobottara Time stands still when Athena is around.\Let's meet again Mata aimashou Time stands still when Athena is around.\Let's meet again Mata aimashou\Surrounded By That Orange Wind...\Gondola coming through! response:	What a loud voice!
context: When you climb the next hill, Tsugi no saka o nobottara That's really no problem!\When you climb the next hill, Tsugi no saka o nobottara\When you climb the next hill, Tsugi no saka o nobottara Time stands still when Athena is around.\Let's meet again Mata aimashou Time stands still when Athena is around.\Let's meet again Mata aimashou\Surrounded By That Orange Wind...\Gondola coming through!\What a loud voice! response:	Junior, you're really fired up today!
context: When you climb the next hill, Tsugi no saka o nobottara\When you climb the next hill, Tsugi no saka o nobottara Time stands still when Athena is around.\Let's meet again Mata aimashou Time stands still when Athena is around.\Let's meet again Mata aimashou\Surrounded By That Orange Wind...\Gondola coming through!\What a loud voice!\Junior, you're really fired up today! response:	Yes, I'm all fired up!
context: When you climb the next hill, Tsugi no saka o nobottara Time stands still when Athena is around.\Let's meet again Mata aimashou Time stands still when Athena is around.\Let's meet again Mata aimashou\Surrounded By That Orange Wind...\Gondola coming through!\What a loud voice!\Junior, you're really fired up today!\Yes, I'm all fired up! response:	School used to take up most of my time, but now I get to spend it practicing with you two.
context: Let's meet again Mata aimashou Time stands still when Athena is around.\Let's meet again Mata aimashou\Surrounded By That Orange Wind...\Gondola coming through!\What a loud voice!\Junior, you're really fired up today!\Yes, I'm all fired up!\School used to take up most of my time, but now I get to spend it practicing with you two. response:	So...
context: Let's meet again Mata aimashou\Surrounded By That Orange Wind...\Gondola coming through!\What a loud voice!\Junior, you're really fired up today!\Yes, I'm all fired up!\School used to take up most of my time, but now I get to spend it practicing with you two.\So... response:	So I'm really happy about that.
context: Surrounded By That Orange Wind...\Gondola coming through!\What a loud voice!\Junior, you're really fired up today!\Yes, I'm all fired up!\School used to take up most of my time, but now I get to spend it practicing with you two.\So...\So I'm really happy about that. response:	All right! We'll set our sights on becoming Primas today as usual! Let's-a-go!
context: Gondola coming through!\What a loud voice!\Junior, you're really fired up today!\Yes, I'm all fired up!\School used to take up most of my time, but now I get to spend it practicing with you two.\So...\So I'm really happy about that.\All right! We'll set our sights on becoming Primas today as usual! Let's-a-go! response:	Yeah! Yeah!
context: What a loud voice!\Junior, you're really fired up today!\Yes, I'm all fired up!\School used to take up most of my time, but now I get to spend it practicing with you two.\So...\So I'm really happy about that.\All right! We'll set our sights on becoming Primas today as usual! Let's-a-go!\Yeah! Yeah! response:	Akari, President Aria! Start with some vocal exercises!
context: Junior, you're really fired up today!\Yes, I'm all fired up!\School used to take up most of my time, but now I get to spend it practicing with you two.\So...\So I'm really happy about that.\All right! We'll set our sights on becoming Primas today as usual! Let's-a-go!\Yeah! Yeah!\Akari, President Aria! Start with some vocal exercises! response:	O-Okay!
context: Yes, I'm all fired up!\School used to take up most of my time, but now I get to spend it practicing with you two.\So...\So I'm really happy about that.\All right! We'll set our sights on becoming Primas today as usual! Let's-a-go!\Yeah! Yeah!\Akari, President Aria! Start with some vocal exercises!\O-Okay! response:	Gondola coming through!
context: School used to take up most of my time, but now I get to spend it practicing with you two.\So...\So I'm really happy about that.\All right! We'll set our sights on becoming Primas today as usual! Let's-a-go!\Yeah! Yeah!\Akari, President Aria! Start with some vocal exercises!\O-Okay!\Gondola coming through! response:	So you're all fired up now that you've graduated from school, huh?
context: So...\So I'm really happy about that.\All right! We'll set our sights on becoming Primas today as usual! Let's-a-go!\Yeah! Yeah!\Akari, President Aria! Start with some vocal exercises!\O-Okay!\Gondola coming through!\So you're all fired up now that you've graduated from school, huh? response:	Yes!
context: So I'm really happy about that.\All right! We'll set our sights on becoming Primas today as usual! Let's-a-go!\Yeah! Yeah!\Akari, President Aria! Start with some vocal exercises!\O-Okay!\Gondola coming through!\So you're all fired up now that you've graduated from school, huh?\Yes! response:	I'm really on a roll right now!
context: All right! We'll set our sights on becoming Primas today as usual! Let's-a-go!\Yeah! Yeah!\Akari, President Aria! Start with some vocal exercises!\O-Okay!\Gondola coming through!\So you're all fired up now that you've graduated from school, huh?\Yes!\I'm really on a roll right now! response:	I don't really understand it myself, but I feel like anything I do will turn out well.
context: Yeah! Yeah!\Akari, President Aria! Start with some vocal exercises!\O-Okay!\Gondola coming through!\So you're all fired up now that you've graduated from school, huh?\Yes!\I'm really on a roll right now!\I don't really understand it myself, but I feel like anything I do will turn out well. response:	Here, President Maa.
context: Akari, President Aria! Start with some vocal exercises!\O-Okay!\Gondola coming through!\So you're all fired up now that you've graduated from school, huh?\Yes!\I'm really on a roll right now!\I don't really understand it myself, but I feel like anything I do will turn out well.\Here, President Maa. response:	Here.
context: O-Okay!\Gondola coming through!\So you're all fired up now that you've graduated from school, huh?\Yes!\I'm really on a roll right now!\I don't really understand it myself, but I feel like anything I do will turn out well.\Here, President Maa.\Here. response:	Say, pretty please, pretty please!
context: Gondola coming through!\So you're all fired up now that you've graduated from school, huh?\Yes!\I'm really on a roll right now!\I don't really understand it myself, but I feel like anything I do will turn out well.\Here, President Maa.\Here.\Say, pretty please, pretty please! response:	Here!
context: So you're all fired up now that you've graduated from school, huh?\Yes!\I'm really on a roll right now!\I don't really understand it myself, but I feel like anything I do will turn out well.\Here, President Maa.\Here.\Say, pretty please, pretty please!\Here! response:	Say, Alice...
context: Yes!\I'm really on a roll right now!\I don't really understand it myself, but I feel like anything I do will turn out well.\Here, President Maa.\Here.\Say, pretty please, pretty please!\Here!\Say, Alice... response:	Yes?
context: I'm really on a roll right now!\I don't really understand it myself, but I feel like anything I do will turn out well.\Here, President Maa.\Here.\Say, pretty please, pretty please!\Here!\Say, Alice...\Yes? response:	Why don't we go on a picnic tomorrow?
context: I don't really understand it myself, but I feel like anything I do will turn out well.\Here, President Maa.\Here.\Say, pretty please, pretty please!\Here!\Say, Alice...\Yes?\Why don't we go on a picnic tomorrow? response:	This time, for sure.
context: Here, President Maa.\Here.\Say, pretty please, pretty please!\Here!\Say, Alice...\Yes?\Why don't we go on a picnic tomorrow?\This time, for sure. response:	Athena?
context: Here.\Say, pretty please, pretty please!\Here!\Say, Alice...\Yes?\Why don't we go on a picnic tomorrow?\This time, for sure.\Athena? response:	Geez... What are you doing?
context: Say, pretty please, pretty please!\Here!\Say, Alice...\Yes?\Why don't we go on a picnic tomorrow?\This time, for sure.\Athena?\Geez... What are you doing? response:	I'm sorry!
context: Here!\Say, Alice...\Yes?\Why don't we go on a picnic tomorrow?\This time, for sure.\Athena?\Geez... What are you doing?\I'm sorry! response:	Lunch is packed up and ready!
context: Say, Alice...\Yes?\Why don't we go on a picnic tomorrow?\This time, for sure.\Athena?\Geez... What are you doing?\I'm sorry!\Lunch is packed up and ready! response:	That's really perfect, Athena!
context: Yes?\Why don't we go on a picnic tomorrow?\This time, for sure.\Athena?\Geez... What are you doing?\I'm sorry!\Lunch is packed up and ready!\That's really perfect, Athena! response:	I know! Alice...
context: Why don't we go on a picnic tomorrow?\This time, for sure.\Athena?\Geez... What are you doing?\I'm sorry!\Lunch is packed up and ready!\That's really perfect, Athena!\I know! Alice... response:	Yes?
context: This time, for sure.\Athena?\Geez... What are you doing?\I'm sorry!\Lunch is packed up and ready!\That's really perfect, Athena!\I know! Alice...\Yes? response:	Today, why don't we pretend that I'm a customer and you're an Undine?
context: Athena?\Geez... What are you doing?\I'm sorry!\Lunch is packed up and ready!\That's really perfect, Athena!\I know! Alice...\Yes?\Today, why don't we pretend that I'm a customer and you're an Undine? response:	What an interesting idea. Sure, I'm up for a challenge!
context: Geez... What are you doing?\I'm sorry!\Lunch is packed up and ready!\That's really perfect, Athena!\I know! Alice...\Yes?\Today, why don't we pretend that I'm a customer and you're an Undine?\What an interesting idea. Sure, I'm up for a challenge! response:	So Athena, I guess that means you're my valued customer from this moment on?
