context: Flowers that bloom in the darkness can only be at ease in the darkness response:	Flowers that bloom in the darkness
context: Wow, Brother.\It looks delicious!\Oh, right!\Thanks!\The sauce, the sauce.\By the way, Brother.\Did you buy the baumkuchen cake we saw yesterday at the store near the harbor?\Oh... response:	You forgot?
context: It looks delicious!\Oh, right!\Thanks!\The sauce, the sauce.\By the way, Brother.\Did you buy the baumkuchen cake we saw yesterday at the store near the harbor?\Oh...\You forgot? response:	Come on! I told you I must have it today!
context: Oh, right!\Thanks!\The sauce, the sauce.\By the way, Brother.\Did you buy the baumkuchen cake we saw yesterday at the store near the harbor?\Oh...\You forgot?\Come on! I told you I must have it today! response:	Oh, sorry.
context: Thanks!\The sauce, the sauce.\By the way, Brother.\Did you buy the baumkuchen cake we saw yesterday at the store near the harbor?\Oh...\You forgot?\Come on! I told you I must have it today!\Oh, sorry. response:	By the way...
context: The sauce, the sauce.\By the way, Brother.\Did you buy the baumkuchen cake we saw yesterday at the store near the harbor?\Oh...\You forgot?\Come on! I told you I must have it today!\Oh, sorry.\By the way... response:	Is this the cake you meant?
context: By the way, Brother.\Did you buy the baumkuchen cake we saw yesterday at the store near the harbor?\Oh...\You forgot?\Come on! I told you I must have it today!\Oh, sorry.\By the way...\Is this the cake you meant? response:	Oh, Brother.
context: Did you buy the baumkuchen cake we saw yesterday at the store near the harbor?\Oh...\You forgot?\Come on! I told you I must have it today!\Oh, sorry.\By the way...\Is this the cake you meant?\Oh, Brother. response:	You're going to get it!
context: Oh...\You forgot?\Come on! I told you I must have it today!\Oh, sorry.\By the way...\Is this the cake you meant?\Oh, Brother.\You're going to get it! response:	H-Hey!
context: You forgot?\Come on! I told you I must have it today!\Oh, sorry.\By the way...\Is this the cake you meant?\Oh, Brother.\You're going to get it!\H-Hey! response:	Stop!
context: Come on! I told you I must have it today!\Oh, sorry.\By the way...\Is this the cake you meant?\Oh, Brother.\You're going to get it!\H-Hey!\Stop! response:	Ah
context: Oh, sorry.\By the way...\Is this the cake you meant?\Oh, Brother.\You're going to get it!\H-Hey!\Stop!\Ah response:	Brother...
context: By the way...\Is this the cake you meant?\Oh, Brother.\You're going to get it!\H-Hey!\Stop!\Ah\Brother... response:	Must you work while you eat?
context: Is this the cake you meant?\Oh, Brother.\You're going to get it!\H-Hey!\Stop!\Ah\Brother...\Must you work while you eat? response:	I got the interview records from the city police.
context: Oh, Brother.\You're going to get it!\H-Hey!\Stop!\Ah\Brother...\Must you work while you eat?\I got the interview records from the city police. response:	The one with Kyouka-chan.
context: You're going to get it!\H-Hey!\Stop!\Ah\Brother...\Must you work while you eat?\I got the interview records from the city police.\The one with Kyouka-chan. response:	I heard she was an orphan before the Port Mafia took her in...
context: H-Hey!\Stop!\Ah\Brother...\Must you work while you eat?\I got the interview records from the city police.\The one with Kyouka-chan.\I heard she was an orphan before the Port Mafia took her in... response:	As for why she became an orphan in the first place,
context: Stop!\Ah\Brother...\Must you work while you eat?\I got the interview records from the city police.\The one with Kyouka-chan.\I heard she was an orphan before the Port Mafia took her in...\As for why she became an orphan in the first place, response:	her parents were killed.
context: Ah\Brother...\Must you work while you eat?\I got the interview records from the city police.\The one with Kyouka-chan.\I heard she was an orphan before the Port Mafia took her in...\As for why she became an orphan in the first place,\her parents were killed. response:	The one responsible was...
context: Brother...\Must you work while you eat?\I got the interview records from the city police.\The one with Kyouka-chan.\I heard she was an orphan before the Port Mafia took her in...\As for why she became an orphan in the first place,\her parents were killed.\The one responsible was... response:	Sorry to keep you waiting.
context: Must you work while you eat?\I got the interview records from the city police.\The one with Kyouka-chan.\I heard she was an orphan before the Port Mafia took her in...\As for why she became an orphan in the first place,\her parents were killed.\The one responsible was...\Sorry to keep you waiting. response:	I got you a case.
context: I got the interview records from the city police.\The one with Kyouka-chan.\I heard she was an orphan before the Port Mafia took her in...\As for why she became an orphan in the first place,\her parents were killed.\The one responsible was...\Sorry to keep you waiting.\I got you a case. response:	Before that, though, here's a taser.
context: The one with Kyouka-chan.\I heard she was an orphan before the Port Mafia took her in...\As for why she became an orphan in the first place,\her parents were killed.\The one responsible was...\Sorry to keep you waiting.\I got you a case.\Before that, though, here's a taser. response:	The Port Mafia's after you, too.
context: I heard she was an orphan before the Port Mafia took her in...\As for why she became an orphan in the first place,\her parents were killed.\The one responsible was...\Sorry to keep you waiting.\I got you a case.\Before that, though, here's a taser.\The Port Mafia's after you, too. response:	We wanted you to have it for self defense.
context: As for why she became an orphan in the first place,\her parents were killed.\The one responsible was...\Sorry to keep you waiting.\I got you a case.\Before that, though, here's a taser.\The Port Mafia's after you, too.\We wanted you to have it for self defense. response:	Well, I don't think you'll be in any danger this time, though.
context: her parents were killed.\The one responsible was...\Sorry to keep you waiting.\I got you a case.\Before that, though, here's a taser.\The Port Mafia's after you, too.\We wanted you to have it for self defense.\Well, I don't think you'll be in any danger this time, though. response:	What kind of job is it?
context: The one responsible was...\Sorry to keep you waiting.\I got you a case.\Before that, though, here's a taser.\The Port Mafia's after you, too.\We wanted you to have it for self defense.\Well, I don't think you'll be in any danger this time, though.\What kind of job is it? response:	You have to deliver this envelope with evidence
context: Sorry to keep you waiting.\I got you a case.\Before that, though, here's a taser.\The Port Mafia's after you, too.\We wanted you to have it for self defense.\Well, I don't think you'll be in any danger this time, though.\What kind of job is it?\You have to deliver this envelope with evidence response:	to a judge in court.
context: I got you a case.\Before that, though, here's a taser.\The Port Mafia's after you, too.\We wanted you to have it for self defense.\Well, I don't think you'll be in any danger this time, though.\What kind of job is it?\You have to deliver this envelope with evidence\to a judge in court. response:	And this is the judge.
context: Before that, though, here's a taser.\The Port Mafia's after you, too.\We wanted you to have it for self defense.\Well, I don't think you'll be in any danger this time, though.\What kind of job is it?\You have to deliver this envelope with evidence\to a judge in court.\And this is the judge. response:	Got it.
context: The Port Mafia's after you, too.\We wanted you to have it for self defense.\Well, I don't think you'll be in any danger this time, though.\What kind of job is it?\You have to deliver this envelope with evidence\to a judge in court.\And this is the judge.\Got it. response:	I've memorized his face.
context: We wanted you to have it for self defense.\Well, I don't think you'll be in any danger this time, though.\What kind of job is it?\You have to deliver this envelope with evidence\to a judge in court.\And this is the judge.\Got it.\I've memorized his face. response:	You're really into this.
context: Well, I don't think you'll be in any danger this time, though.\What kind of job is it?\You have to deliver this envelope with evidence\to a judge in court.\And this is the judge.\Got it.\I've memorized his face.\You're really into this. response:	Is it because it'll be your first job?
context: What kind of job is it?\You have to deliver this envelope with evidence\to a judge in court.\And this is the judge.\Got it.\I've memorized his face.\You're really into this.\Is it because it'll be your first job? response:	No.
context: You have to deliver this envelope with evidence\to a judge in court.\And this is the judge.\Got it.\I've memorized his face.\You're really into this.\Is it because it'll be your first job?\No. response:	My first job was to infiltrate a building and kill two people.
context: to a judge in court.\And this is the judge.\Got it.\I've memorized his face.\You're really into this.\Is it because it'll be your first job?\No.\My first job was to infiltrate a building and kill two people. response:	I see.
context: And this is the judge.\Got it.\I've memorized his face.\You're really into this.\Is it because it'll be your first job?\No.\My first job was to infiltrate a building and kill two people.\I see. response:	She's always been working.
context: Got it.\I've memorized his face.\You're really into this.\Is it because it'll be your first job?\No.\My first job was to infiltrate a building and kill two people.\I see.\She's always been working. response:	Demon Snow is an ability to kill.
context: I've memorized his face.\You're really into this.\Is it because it'll be your first job?\No.\My first job was to infiltrate a building and kill two people.\I see.\She's always been working.\Demon Snow is an ability to kill. response:	Only when killing someone does Kyouka's existence have meaning.
context: You're really into this.\Is it because it'll be your first job?\No.\My first job was to infiltrate a building and kill two people.\I see.\She's always been working.\Demon Snow is an ability to kill.\Only when killing someone does Kyouka's existence have meaning. response:	I'll do my best.
context: Is it because it'll be your first job?\No.\My first job was to infiltrate a building and kill two people.\I see.\She's always been working.\Demon Snow is an ability to kill.\Only when killing someone does Kyouka's existence have meaning.\I'll do my best. response:	We can't go in?
context: No.\My first job was to infiltrate a building and kill two people.\I see.\She's always been working.\Demon Snow is an ability to kill.\Only when killing someone does Kyouka's existence have meaning.\I'll do my best.\We can't go in? response:	You need a permit.
context: My first job was to infiltrate a building and kill two people.\I see.\She's always been working.\Demon Snow is an ability to kill.\Only when killing someone does Kyouka's existence have meaning.\I'll do my best.\We can't go in?\You need a permit. response:	But it's almost time.
context: I see.\She's always been working.\Demon Snow is an ability to kill.\Only when killing someone does Kyouka's existence have meaning.\I'll do my best.\We can't go in?\You need a permit.\But it's almost time. response:	Please sign in on that form and wait until you're called.
context: She's always been working.\Demon Snow is an ability to kill.\Only when killing someone does Kyouka's existence have meaning.\I'll do my best.\We can't go in?\You need a permit.\But it's almost time.\Please sign in on that form and wait until you're called. response:	But it's almost time.
context: Demon Snow is an ability to kill.\Only when killing someone does Kyouka's existence have meaning.\I'll do my best.\We can't go in?\You need a permit.\But it's almost time.\Please sign in on that form and wait until you're called.\But it's almost time. response:	Sorry, it's the rules.
context: Only when killing someone does Kyouka's existence have meaning.\I'll do my best.\We can't go in?\You need a permit.\But it's almost time.\Please sign in on that form and wait until you're called.\But it's almost time.\Sorry, it's the rules. response:	Nope, the judge isn't picking up.
context: I'll do my best.\We can't go in?\You need a permit.\But it's almost time.\Please sign in on that form and wait until you're called.\But it's almost time.\Sorry, it's the rules.\Nope, the judge isn't picking up. response:	I guess there was some miscommunication.
context: We can't go in?\You need a permit.\But it's almost time.\Please sign in on that form and wait until you're called.\But it's almost time.\Sorry, it's the rules.\Nope, the judge isn't picking up.\I guess there was some miscommunication. response:	We have to do something about the guard.
context: You need a permit.\But it's almost time.\Please sign in on that form and wait until you're called.\But it's almost time.\Sorry, it's the rules.\Nope, the judge isn't picking up.\I guess there was some miscommunication.\We have to do something about the guard. response:	You mean get rid of him?
context: But it's almost time.\Please sign in on that form and wait until you're called.\But it's almost time.\Sorry, it's the rules.\Nope, the judge isn't picking up.\I guess there was some miscommunication.\We have to do something about the guard.\You mean get rid of him? response:	Huh?
context: Please sign in on that form and wait until you're called.\But it's almost time.\Sorry, it's the rules.\Nope, the judge isn't picking up.\I guess there was some miscommunication.\We have to do something about the guard.\You mean get rid of him?\Huh? response:	First, I'll use my charms to lure him into a deserted place,
context: But it's almost time.\Sorry, it's the rules.\Nope, the judge isn't picking up.\I guess there was some miscommunication.\We have to do something about the guard.\You mean get rid of him?\Huh?\First, I'll use my charms to lure him into a deserted place, response:	then stab...
context: Sorry, it's the rules.\Nope, the judge isn't picking up.\I guess there was some miscommunication.\We have to do something about the guard.\You mean get rid of him?\Huh?\First, I'll use my charms to lure him into a deserted place,\then stab... response:	We don't do things like that at the Agency!
context: Nope, the judge isn't picking up.\I guess there was some miscommunication.\We have to do something about the guard.\You mean get rid of him?\Huh?\First, I'll use my charms to lure him into a deserted place,\then stab...\We don't do things like that at the Agency! response:	Then I only know one other way.
context: I guess there was some miscommunication.\We have to do something about the guard.\You mean get rid of him?\Huh?\First, I'll use my charms to lure him into a deserted place,\then stab...\We don't do things like that at the Agency!\Then I only know one other way. response:	Hey!
context: We have to do something about the guard.\You mean get rid of him?\Huh?\First, I'll use my charms to lure him into a deserted place,\then stab...\We don't do things like that at the Agency!\Then I only know one other way.\Hey! response:	Kyouka-chan?
context: You mean get rid of him?\Huh?\First, I'll use my charms to lure him into a deserted place,\then stab...\We don't do things like that at the Agency!\Then I only know one other way.\Hey!\Kyouka-chan? response:	Authorized Personnel Only
context: Huh?\First, I'll use my charms to lure him into a deserted place,\then stab...\We don't do things like that at the Agency!\Then I only know one other way.\Hey!\Kyouka-chan?\Authorized Personnel Only response:	Switch Room
context: First, I'll use my charms to lure him into a deserted place,\then stab...\We don't do things like that at the Agency!\Then I only know one other way.\Hey!\Kyouka-chan?\Authorized Personnel Only\Switch Room response:	Electrical Transformer
context: then stab...\We don't do things like that at the Agency!\Then I only know one other way.\Hey!\Kyouka-chan?\Authorized Personnel Only\Switch Room\Electrical Transformer response:	What the...
context: We don't do things like that at the Agency!\Then I only know one other way.\Hey!\Kyouka-chan?\Authorized Personnel Only\Switch Room\Electrical Transformer\What the... response:	What are you doing?
context: Then I only know one other way.\Hey!\Kyouka-chan?\Authorized Personnel Only\Switch Room\Electrical Transformer\What the...\What are you doing? response:	What's all this racket about?
context: Hey!\Kyouka-chan?\Authorized Personnel Only\Switch Room\Electrical Transformer\What the...\What are you doing?\What's all this racket about? response:	A delivery.
context: Kyouka-chan?\Authorized Personnel Only\Switch Room\Electrical Transformer\What the...\What are you doing?\What's all this racket about?\A delivery. response:	Oops.
context: Authorized Personnel Only\Switch Room\Electrical Transformer\What the...\What are you doing?\What's all this racket about?\A delivery.\Oops. response:	Got in... a lot of trouble.
context: Switch Room\Electrical Transformer\What the...\What are you doing?\What's all this racket about?\A delivery.\Oops.\Got in... a lot of trouble. response:	Here.
context: Electrical Transformer\What the...\What are you doing?\What's all this racket about?\A delivery.\Oops.\Got in... a lot of trouble.\Here. response:	The president settled things.
context: What the...\What are you doing?\What's all this racket about?\A delivery.\Oops.\Got in... a lot of trouble.\Here.\The president settled things. response:	He's friends with the judge.
context: What are you doing?\What's all this racket about?\A delivery.\Oops.\Got in... a lot of trouble.\Here.\The president settled things.\He's friends with the judge. response:	It was going so well up until the power outage...
context: What's all this racket about?\A delivery.\Oops.\Got in... a lot of trouble.\Here.\The president settled things.\He's friends with the judge.\It was going so well up until the power outage... response:	So doing that was fine in your mind?
context: A delivery.\Oops.\Got in... a lot of trouble.\Here.\The president settled things.\He's friends with the judge.\It was going so well up until the power outage...\So doing that was fine in your mind? response:	So you're still holding onto that phone.
context: Oops.\Got in... a lot of trouble.\Here.\The president settled things.\He's friends with the judge.\It was going so well up until the power outage...\So doing that was fine in your mind?\So you're still holding onto that phone. response:	I had the service provider change the program.
context: Got in... a lot of trouble.\Here.\The president settled things.\He's friends with the judge.\It was going so well up until the power outage...\So doing that was fine in your mind?\So you're still holding onto that phone.\I had the service provider change the program. response:	It's important to me.
context: Here.\The president settled things.\He's friends with the judge.\It was going so well up until the power outage...\So doing that was fine in your mind?\So you're still holding onto that phone.\I had the service provider change the program.\It's important to me. response:	About possibilities as we move forward...
context: The president settled things.\He's friends with the judge.\It was going so well up until the power outage...\So doing that was fine in your mind?\So you're still holding onto that phone.\I had the service provider change the program.\It's important to me.\About possibilities as we move forward... response:	If we can figure out the remaining unknowns about your ability,
context: He's friends with the judge.\It was going so well up until the power outage...\So doing that was fine in your mind?\So you're still holding onto that phone.\I had the service provider change the program.\It's important to me.\About possibilities as we move forward...\If we can figure out the remaining unknowns about your ability, response:	and if you can control your Demon Snow without the voice from the phone,
context: It was going so well up until the power outage...\So doing that was fine in your mind?\So you're still holding onto that phone.\I had the service provider change the program.\It's important to me.\About possibilities as we move forward...\If we can figure out the remaining unknowns about your ability,\and if you can control your Demon Snow without the voice from the phone, response:	then you can become an asset to the Agency
context: So doing that was fine in your mind?\So you're still holding onto that phone.\I had the service provider change the program.\It's important to me.\About possibilities as we move forward...\If we can figure out the remaining unknowns about your ability,\and if you can control your Demon Snow without the voice from the phone,\then you can become an asset to the Agency response:	No!
context: So you're still holding onto that phone.\I had the service provider change the program.\It's important to me.\About possibilities as we move forward...\If we can figure out the remaining unknowns about your ability,\and if you can control your Demon Snow without the voice from the phone,\then you can become an asset to the Agency\No! response:	No.
context: I had the service provider change the program.\It's important to me.\About possibilities as we move forward...\If we can figure out the remaining unknowns about your ability,\and if you can control your Demon Snow without the voice from the phone,\then you can become an asset to the Agency\No!\No. response:	I'm never using Demon Snow again.
context: It's important to me.\About possibilities as we move forward...\If we can figure out the remaining unknowns about your ability,\and if you can control your Demon Snow without the voice from the phone,\then you can become an asset to the Agency\No!\No.\I'm never using Demon Snow again. response:	Demon Snow,
context: About possibilities as we move forward...\If we can figure out the remaining unknowns about your ability,\and if you can control your Demon Snow without the voice from the phone,\then you can become an asset to the Agency\No!\No.\I'm never using Demon Snow again.\Demon Snow, response:	punish those who teach Kyouka a world of lies.
context: If we can figure out the remaining unknowns about your ability,\and if you can control your Demon Snow without the voice from the phone,\then you can become an asset to the Agency\No!\No.\I'm never using Demon Snow again.\Demon Snow,\punish those who teach Kyouka a world of lies. response:	Though it is the blood of vermin, it's still beautiful when it splatters.
context: and if you can control your Demon Snow without the voice from the phone,\then you can become an asset to the Agency\No!\No.\I'm never using Demon Snow again.\Demon Snow,\punish those who teach Kyouka a world of lies.\Though it is the blood of vermin, it's still beautiful when it splatters. response:	Ability: Golden Demon
context: then you can become an asset to the Agency\No!\No.\I'm never using Demon Snow again.\Demon Snow,\punish those who teach Kyouka a world of lies.\Though it is the blood of vermin, it's still beautiful when it splatters.\Ability: Golden Demon response:	Port Mafia Executive Omisaki Kouyou
context: No!\No.\I'm never using Demon Snow again.\Demon Snow,\punish those who teach Kyouka a world of lies.\Though it is the blood of vermin, it's still beautiful when it splatters.\Ability: Golden Demon\Port Mafia Executive Omisaki Kouyou response:	Don't you agree?
context: No.\I'm never using Demon Snow again.\Demon Snow,\punish those who teach Kyouka a world of lies.\Though it is the blood of vermin, it's still beautiful when it splatters.\Ability: Golden Demon\Port Mafia Executive Omisaki Kouyou\Don't you agree? response:	My dear Kyouka...
context: I'm never using Demon Snow again.\Demon Snow,\punish those who teach Kyouka a world of lies.\Though it is the blood of vermin, it's still beautiful when it splatters.\Ability: Golden Demon\Port Mafia Executive Omisaki Kouyou\Don't you agree?\My dear Kyouka... response:	Do you know how I worried for you and felt such pain
context: Demon Snow,\punish those who teach Kyouka a world of lies.\Though it is the blood of vermin, it's still beautiful when it splatters.\Ability: Golden Demon\Port Mafia Executive Omisaki Kouyou\Don't you agree?\My dear Kyouka...\Do you know how I worried for you and felt such pain response:	that I left you with animals and vermin?
context: punish those who teach Kyouka a world of lies.\Though it is the blood of vermin, it's still beautiful when it splatters.\Ability: Golden Demon\Port Mafia Executive Omisaki Kouyou\Don't you agree?\My dear Kyouka...\Do you know how I worried for you and felt such pain\that I left you with animals and vermin? response:	But there is nothing to worry about now.
context: Though it is the blood of vermin, it's still beautiful when it splatters.\Ability: Golden Demon\Port Mafia Executive Omisaki Kouyou\Don't you agree?\My dear Kyouka...\Do you know how I worried for you and felt such pain\that I left you with animals and vermin?\But there is nothing to worry about now. response:	You need not concern yourself with anything.
context: Ability: Golden Demon\Port Mafia Executive Omisaki Kouyou\Don't you agree?\My dear Kyouka...\Do you know how I worried for you and felt such pain\that I left you with animals and vermin?\But there is nothing to worry about now.\You need not concern yourself with anything. response:	I will protect you.
context: Port Mafia Executive Omisaki Kouyou\Don't you agree?\My dear Kyouka...\Do you know how I worried for you and felt such pain\that I left you with animals and vermin?\But there is nothing to worry about now.\You need not concern yourself with anything.\I will protect you. response:	She is not going back to the Port Mafia.
context: Don't you agree?\My dear Kyouka...\Do you know how I worried for you and felt such pain\that I left you with animals and vermin?\But there is nothing to worry about now.\You need not concern yourself with anything.\I will protect you.\She is not going back to the Port Mafia. response:	Her strengths are for her to use in Agency jobs.
context: My dear Kyouka...\Do you know how I worried for you and felt such pain\that I left you with animals and vermin?\But there is nothing to worry about now.\You need not concern yourself with anything.\I will protect you.\She is not going back to the Port Mafia.\Her strengths are for her to use in Agency jobs. response:	I knew I should have come for you without waiting for Ougai-dono's permission.
context: Do you know how I worried for you and felt such pain\that I left you with animals and vermin?\But there is nothing to worry about now.\You need not concern yourself with anything.\I will protect you.\She is not going back to the Port Mafia.\Her strengths are for her to use in Agency jobs.\I knew I should have come for you without waiting for Ougai-dono's permission. response:	I cannot let you stay here for a moment longer
context: that I left you with animals and vermin?\But there is nothing to worry about now.\You need not concern yourself with anything.\I will protect you.\She is not going back to the Port Mafia.\Her strengths are for her to use in Agency jobs.\I knew I should have come for you without waiting for Ougai-dono's permission.\I cannot let you stay here for a moment longer response:	in this festering lair of hypocrisy.
context: But there is nothing to worry about now.\You need not concern yourself with anything.\I will protect you.\She is not going back to the Port Mafia.\Her strengths are for her to use in Agency jobs.\I knew I should have come for you without waiting for Ougai-dono's permission.\I cannot let you stay here for a moment longer\in this festering lair of hypocrisy. response:	You must have been led astray by their beguiling words
context: You need not concern yourself with anything.\I will protect you.\She is not going back to the Port Mafia.\Her strengths are for her to use in Agency jobs.\I knew I should have come for you without waiting for Ougai-dono's permission.\I cannot let you stay here for a moment longer\in this festering lair of hypocrisy.\You must have been led astray by their beguiling words response:	and mistaken their world for one full of light.
context: I will protect you.\She is not going back to the Port Mafia.\Her strengths are for her to use in Agency jobs.\I knew I should have come for you without waiting for Ougai-dono's permission.\I cannot let you stay here for a moment longer\in this festering lair of hypocrisy.\You must have been led astray by their beguiling words\and mistaken their world for one full of light. response:	But they will eventually ask you to use your Demon Snow.
context: She is not going back to the Port Mafia.\Her strengths are for her to use in Agency jobs.\I knew I should have come for you without waiting for Ougai-dono's permission.\I cannot let you stay here for a moment longer\in this festering lair of hypocrisy.\You must have been led astray by their beguiling words\and mistaken their world for one full of light.\But they will eventually ask you to use your Demon Snow. response:	Let us return to the place where you belong.
context: Her strengths are for her to use in Agency jobs.\I knew I should have come for you without waiting for Ougai-dono's permission.\I cannot let you stay here for a moment longer\in this festering lair of hypocrisy.\You must have been led astray by their beguiling words\and mistaken their world for one full of light.\But they will eventually ask you to use your Demon Snow.\Let us return to the place where you belong. response:	Wait.
context: I knew I should have come for you without waiting for Ougai-dono's permission.\I cannot let you stay here for a moment longer\in this festering lair of hypocrisy.\You must have been led astray by their beguiling words\and mistaken their world for one full of light.\But they will eventually ask you to use your Demon Snow.\Let us return to the place where you belong.\Wait. response:	Where are you taking her?
context: I cannot let you stay here for a moment longer\in this festering lair of hypocrisy.\You must have been led astray by their beguiling words\and mistaken their world for one full of light.\But they will eventually ask you to use your Demon Snow.\Let us return to the place where you belong.\Wait.\Where are you taking her? response:	The place where Kyouka-chan belongs...
context: in this festering lair of hypocrisy.\You must have been led astray by their beguiling words\and mistaken their world for one full of light.\But they will eventually ask you to use your Demon Snow.\Let us return to the place where you belong.\Wait.\Where are you taking her?\The place where Kyouka-chan belongs... response:	is the Agency!
context: You must have been led astray by their beguiling words\and mistaken their world for one full of light.\But they will eventually ask you to use your Demon Snow.\Let us return to the place where you belong.\Wait.\Where are you taking her?\The place where Kyouka-chan belongs...\is the Agency! response:	So slow.
context: and mistaken their world for one full of light.\But they will eventually ask you to use your Demon Snow.\Let us return to the place where you belong.\Wait.\Where are you taking her?\The place where Kyouka-chan belongs...\is the Agency!\So slow. response:	A second demon?
context: But they will eventually ask you to use your Demon Snow.\Let us return to the place where you belong.\Wait.\Where are you taking her?\The place where Kyouka-chan belongs...\is the Agency!\So slow.\A second demon? response:	Maybe I'll finish my job first after all.
context: Let us return to the place where you belong.\Wait.\Where are you taking her?\The place where Kyouka-chan belongs...\is the Agency!\So slow.\A second demon?\Maybe I'll finish my job first after all. response:	Die, boy.
context: Wait.\Where are you taking her?\The place where Kyouka-chan belongs...\is the Agency!\So slow.\A second demon?\Maybe I'll finish my job first after all.\Die, boy. response:	No!
context: Where are you taking her?\The place where Kyouka-chan belongs...\is the Agency!\So slow.\A second demon?\Maybe I'll finish my job first after all.\Die, boy.\No! response:	Ougai-dono wishes all Agency operatives to be eradicated.
context: The place where Kyouka-chan belongs...\is the Agency!\So slow.\A second demon?\Maybe I'll finish my job first after all.\Die, boy.\No!\Ougai-dono wishes all Agency operatives to be eradicated. response:	However, I pleaded for your life to be spared,
context: is the Agency!\So slow.\A second demon?\Maybe I'll finish my job first after all.\Die, boy.\No!\Ougai-dono wishes all Agency operatives to be eradicated.\However, I pleaded for your life to be spared, response:	and he agreed to make a special exception.
context: So slow.\A second demon?\Maybe I'll finish my job first after all.\Die, boy.\No!\Ougai-dono wishes all Agency operatives to be eradicated.\However, I pleaded for your life to be spared,\and he agreed to make a special exception. response:	Come back, Kyouka.
context: A second demon?\Maybe I'll finish my job first after all.\Die, boy.\No!\Ougai-dono wishes all Agency operatives to be eradicated.\However, I pleaded for your life to be spared,\and he agreed to make a special exception.\Come back, Kyouka. response:	You are a flower born of darkness.
context: Maybe I'll finish my job first after all.\Die, boy.\No!\Ougai-dono wishes all Agency operatives to be eradicated.\However, I pleaded for your life to be spared,\and he agreed to make a special exception.\Come back, Kyouka.\You are a flower born of darkness. response:	You will only be at ease in the darkness.
context: Die, boy.\No!\Ougai-dono wishes all Agency operatives to be eradicated.\However, I pleaded for your life to be spared,\and he agreed to make a special exception.\Come back, Kyouka.\You are a flower born of darkness.\You will only be at ease in the darkness. response:	No.
context: No!\Ougai-dono wishes all Agency operatives to be eradicated.\However, I pleaded for your life to be spared,\and he agreed to make a special exception.\Come back, Kyouka.\You are a flower born of darkness.\You will only be at ease in the darkness.\No. response:	I am not a flower of darkness.
context: Ougai-dono wishes all Agency operatives to be eradicated.\However, I pleaded for your life to be spared,\and he agreed to make a special exception.\Come back, Kyouka.\You are a flower born of darkness.\You will only be at ease in the darkness.\No.\I am not a flower of darkness. response:	She has been blinded by the light.
context: However, I pleaded for your life to be spared,\and he agreed to make a special exception.\Come back, Kyouka.\You are a flower born of darkness.\You will only be at ease in the darkness.\No.\I am not a flower of darkness.\She has been blinded by the light. response:	It is a light you showed her.
