context: That damn Sanada Yukimura dared to embarrass me! response:	I didn't expect my plan to backfire.
context: What will you do?\Will you have me killed, Lord Ieyasu?\You must stop at nothing to capture Yukimura!\Well, now.\I doubt he's the type to come along quietly.\Then kill him!\Execute him on the spot!\The Birth of a Warrior response:	Sanada's party seems to be heading toward Omi.
context: Will you have me killed, Lord Ieyasu?\You must stop at nothing to capture Yukimura!\Well, now.\I doubt he's the type to come along quietly.\Then kill him!\Execute him on the spot!\The Birth of a Warrior\Sanada's party seems to be heading toward Omi. response:	He must intend to flee to Ishida Mitsunari's castle.
context: You must stop at nothing to capture Yukimura!\Well, now.\I doubt he's the type to come along quietly.\Then kill him!\Execute him on the spot!\The Birth of a Warrior\Sanada's party seems to be heading toward Omi.\He must intend to flee to Ishida Mitsunari's castle. response:	I won't let Sanada or the Kushimitama escape.
context: Well, now.\I doubt he's the type to come along quietly.\Then kill him!\Execute him on the spot!\The Birth of a Warrior\Sanada's party seems to be heading toward Omi.\He must intend to flee to Ishida Mitsunari's castle.\I won't let Sanada or the Kushimitama escape. response:	Hey, old man.
context: I doubt he's the type to come along quietly.\Then kill him!\Execute him on the spot!\The Birth of a Warrior\Sanada's party seems to be heading toward Omi.\He must intend to flee to Ishida Mitsunari's castle.\I won't let Sanada or the Kushimitama escape.\Hey, old man. response:	Why don't you tell us what you actually did?
context: Then kill him!\Execute him on the spot!\The Birth of a Warrior\Sanada's party seems to be heading toward Omi.\He must intend to flee to Ishida Mitsunari's castle.\I won't let Sanada or the Kushimitama escape.\Hey, old man.\Why don't you tell us what you actually did? response:	It seems Ieyasu really didn't appreciate my performance.
context: Execute him on the spot!\The Birth of a Warrior\Sanada's party seems to be heading toward Omi.\He must intend to flee to Ishida Mitsunari's castle.\I won't let Sanada or the Kushimitama escape.\Hey, old man.\Why don't you tell us what you actually did?\It seems Ieyasu really didn't appreciate my performance. response:	That can't possibly be the whole story.
context: The Birth of a Warrior\Sanada's party seems to be heading toward Omi.\He must intend to flee to Ishida Mitsunari's castle.\I won't let Sanada or the Kushimitama escape.\Hey, old man.\Why don't you tell us what you actually did?\It seems Ieyasu really didn't appreciate my performance.\That can't possibly be the whole story. response:	Who cares? It's funny.
context: Sanada's party seems to be heading toward Omi.\He must intend to flee to Ishida Mitsunari's castle.\I won't let Sanada or the Kushimitama escape.\Hey, old man.\Why don't you tell us what you actually did?\It seems Ieyasu really didn't appreciate my performance.\That can't possibly be the whole story.\Who cares? It's funny. response:	If anyone comes after us, we'll slaughter them.
context: He must intend to flee to Ishida Mitsunari's castle.\I won't let Sanada or the Kushimitama escape.\Hey, old man.\Why don't you tell us what you actually did?\It seems Ieyasu really didn't appreciate my performance.\That can't possibly be the whole story.\Who cares? It's funny.\If anyone comes after us, we'll slaughter them. response:	I'll kill them. I'll kill them all!
context: I won't let Sanada or the Kushimitama escape.\Hey, old man.\Why don't you tell us what you actually did?\It seems Ieyasu really didn't appreciate my performance.\That can't possibly be the whole story.\Who cares? It's funny.\If anyone comes after us, we'll slaughter them.\I'll kill them. I'll kill them all! response:	There he is! It's Sanada!
context: Hey, old man.\Why don't you tell us what you actually did?\It seems Ieyasu really didn't appreciate my performance.\That can't possibly be the whole story.\Who cares? It's funny.\If anyone comes after us, we'll slaughter them.\I'll kill them. I'll kill them all!\There he is! It's Sanada! response:	Get them!
context: Why don't you tell us what you actually did?\It seems Ieyasu really didn't appreciate my performance.\That can't possibly be the whole story.\Who cares? It's funny.\If anyone comes after us, we'll slaughter them.\I'll kill them. I'll kill them all!\There he is! It's Sanada!\Get them! response:	They just won't give up.
context: It seems Ieyasu really didn't appreciate my performance.\That can't possibly be the whole story.\Who cares? It's funny.\If anyone comes after us, we'll slaughter them.\I'll kill them. I'll kill them all!\There he is! It's Sanada!\Get them!\They just won't give up. response:	Whose fault is that?
context: That can't possibly be the whole story.\Who cares? It's funny.\If anyone comes after us, we'll slaughter them.\I'll kill them. I'll kill them all!\There he is! It's Sanada!\Get them!\They just won't give up.\Whose fault is that? response:	Isanami, get on Rokuro's horse.
context: Who cares? It's funny.\If anyone comes after us, we'll slaughter them.\I'll kill them. I'll kill them all!\There he is! It's Sanada!\Get them!\They just won't give up.\Whose fault is that?\Isanami, get on Rokuro's horse. response:	Huh?
context: If anyone comes after us, we'll slaughter them.\I'll kill them. I'll kill them all!\There he is! It's Sanada!\Get them!\They just won't give up.\Whose fault is that?\Isanami, get on Rokuro's horse.\Huh? response:	Saizo, Kamanosuke.
context: I'll kill them. I'll kill them all!\There he is! It's Sanada!\Get them!\They just won't give up.\Whose fault is that?\Isanami, get on Rokuro's horse.\Huh?\Saizo, Kamanosuke. response:	Go ahead.
context: There he is! It's Sanada!\Get them!\They just won't give up.\Whose fault is that?\Isanami, get on Rokuro's horse.\Huh?\Saizo, Kamanosuke.\Go ahead. response:	Way ahead of you.
context: Get them!\They just won't give up.\Whose fault is that?\Isanami, get on Rokuro's horse.\Huh?\Saizo, Kamanosuke.\Go ahead.\Way ahead of you. response:	Yukimura-sama!
context: They just won't give up.\Whose fault is that?\Isanami, get on Rokuro's horse.\Huh?\Saizo, Kamanosuke.\Go ahead.\Way ahead of you.\Yukimura-sama! response:	Ben-chan?
context: Whose fault is that?\Isanami, get on Rokuro's horse.\Huh?\Saizo, Kamanosuke.\Go ahead.\Way ahead of you.\Yukimura-sama!\Ben-chan? response:	I thought you'd be coming back this way,
context: Isanami, get on Rokuro's horse.\Huh?\Saizo, Kamanosuke.\Go ahead.\Way ahead of you.\Yukimura-sama!\Ben-chan?\I thought you'd be coming back this way, response:	so I've been waiting for you.
context: Huh?\Saizo, Kamanosuke.\Go ahead.\Way ahead of you.\Yukimura-sama!\Ben-chan?\I thought you'd be coming back this way,\so I've been waiting for you. response:	Good work, Benmaru.
context: Saizo, Kamanosuke.\Go ahead.\Way ahead of you.\Yukimura-sama!\Ben-chan?\I thought you'd be coming back this way,\so I've been waiting for you.\Good work, Benmaru. response:	Better safe than sorry.
context: Go ahead.\Way ahead of you.\Yukimura-sama!\Ben-chan?\I thought you'd be coming back this way,\so I've been waiting for you.\Good work, Benmaru.\Better safe than sorry. response:	Yeah, right.
context: Way ahead of you.\Yukimura-sama!\Ben-chan?\I thought you'd be coming back this way,\so I've been waiting for you.\Good work, Benmaru.\Better safe than sorry.\Yeah, right. response:	I bet you set those traps for us, so you could laugh at us again.
context: Yukimura-sama!\Ben-chan?\I thought you'd be coming back this way,\so I've been waiting for you.\Good work, Benmaru.\Better safe than sorry.\Yeah, right.\I bet you set those traps for us, so you could laugh at us again. response:	Ben-chan, I'm so happy to see you again.
context: Ben-chan?\I thought you'd be coming back this way,\so I've been waiting for you.\Good work, Benmaru.\Better safe than sorry.\Yeah, right.\I bet you set those traps for us, so you could laugh at us again.\Ben-chan, I'm so happy to see you again. response:	Miss.
context: I thought you'd be coming back this way,\so I've been waiting for you.\Good work, Benmaru.\Better safe than sorry.\Yeah, right.\I bet you set those traps for us, so you could laugh at us again.\Ben-chan, I'm so happy to see you again.\Miss. response:	Our pursuers must have heard that explosion.
context: so I've been waiting for you.\Good work, Benmaru.\Better safe than sorry.\Yeah, right.\I bet you set those traps for us, so you could laugh at us again.\Ben-chan, I'm so happy to see you again.\Miss.\Our pursuers must have heard that explosion. response:	Yes.
context: Good work, Benmaru.\Better safe than sorry.\Yeah, right.\I bet you set those traps for us, so you could laugh at us again.\Ben-chan, I'm so happy to see you again.\Miss.\Our pursuers must have heard that explosion.\Yes. response:	Let us hurry.
context: Better safe than sorry.\Yeah, right.\I bet you set those traps for us, so you could laugh at us again.\Ben-chan, I'm so happy to see you again.\Miss.\Our pursuers must have heard that explosion.\Yes.\Let us hurry. response:	I doubt we'll be able to escape so easily.
context: Yeah, right.\I bet you set those traps for us, so you could laugh at us again.\Ben-chan, I'm so happy to see you again.\Miss.\Our pursuers must have heard that explosion.\Yes.\Let us hurry.\I doubt we'll be able to escape so easily. response:	They're fast, too.
context: I bet you set those traps for us, so you could laugh at us again.\Ben-chan, I'm so happy to see you again.\Miss.\Our pursuers must have heard that explosion.\Yes.\Let us hurry.\I doubt we'll be able to escape so easily.\They're fast, too. response:	Saizo, Kamanosuke.
context: Ben-chan, I'm so happy to see you again.\Miss.\Our pursuers must have heard that explosion.\Yes.\Let us hurry.\I doubt we'll be able to escape so easily.\They're fast, too.\Saizo, Kamanosuke. response:	Scout the road to Sawayama.
context: Miss.\Our pursuers must have heard that explosion.\Yes.\Let us hurry.\I doubt we'll be able to escape so easily.\They're fast, too.\Saizo, Kamanosuke.\Scout the road to Sawayama. response:	We'll hide in the forest up ahead.
context: Our pursuers must have heard that explosion.\Yes.\Let us hurry.\I doubt we'll be able to escape so easily.\They're fast, too.\Saizo, Kamanosuke.\Scout the road to Sawayama.\We'll hide in the forest up ahead. response:	Got it.
context: Yes.\Let us hurry.\I doubt we'll be able to escape so easily.\They're fast, too.\Saizo, Kamanosuke.\Scout the road to Sawayama.\We'll hide in the forest up ahead.\Got it. response:	Let's kill them all.
context: Let us hurry.\I doubt we'll be able to escape so easily.\They're fast, too.\Saizo, Kamanosuke.\Scout the road to Sawayama.\We'll hide in the forest up ahead.\Got it.\Let's kill them all. response:	You don't know what scout means, do you?
context: I doubt we'll be able to escape so easily.\They're fast, too.\Saizo, Kamanosuke.\Scout the road to Sawayama.\We'll hide in the forest up ahead.\Got it.\Let's kill them all.\You don't know what scout means, do you? response:	Scout our enemies' guts, right?
context: They're fast, too.\Saizo, Kamanosuke.\Scout the road to Sawayama.\We'll hide in the forest up ahead.\Got it.\Let's kill them all.\You don't know what scout means, do you?\Scout our enemies' guts, right? response:	Moron!
context: Saizo, Kamanosuke.\Scout the road to Sawayama.\We'll hide in the forest up ahead.\Got it.\Let's kill them all.\You don't know what scout means, do you?\Scout our enemies' guts, right?\Moron! response:	I can't tell if they're on the same wavelength or not.
context: Scout the road to Sawayama.\We'll hide in the forest up ahead.\Got it.\Let's kill them all.\You don't know what scout means, do you?\Scout our enemies' guts, right?\Moron!\I can't tell if they're on the same wavelength or not. response:	Isanami, are you tired?
context: We'll hide in the forest up ahead.\Got it.\Let's kill them all.\You don't know what scout means, do you?\Scout our enemies' guts, right?\Moron!\I can't tell if they're on the same wavelength or not.\Isanami, are you tired? response:	Are you okay?
context: Got it.\Let's kill them all.\You don't know what scout means, do you?\Scout our enemies' guts, right?\Moron!\I can't tell if they're on the same wavelength or not.\Isanami, are you tired?\Are you okay? response:	I'm fine.
context: Let's kill them all.\You don't know what scout means, do you?\Scout our enemies' guts, right?\Moron!\I can't tell if they're on the same wavelength or not.\Isanami, are you tired?\Are you okay?\I'm fine. response:	I don't mind the view, but you should cover up.
context: You don't know what scout means, do you?\Scout our enemies' guts, right?\Moron!\I can't tell if they're on the same wavelength or not.\Isanami, are you tired?\Are you okay?\I'm fine.\I don't mind the view, but you should cover up. response:	Yukimura-sama.
context: Scout our enemies' guts, right?\Moron!\I can't tell if they're on the same wavelength or not.\Isanami, are you tired?\Are you okay?\I'm fine.\I don't mind the view, but you should cover up.\Yukimura-sama. response:	Don't worry. Saizo will be back before you know it.
context: Moron!\I can't tell if they're on the same wavelength or not.\Isanami, are you tired?\Are you okay?\I'm fine.\I don't mind the view, but you should cover up.\Yukimura-sama.\Don't worry. Saizo will be back before you know it. response:	We'll return to Ueda soon.
context: I can't tell if they're on the same wavelength or not.\Isanami, are you tired?\Are you okay?\I'm fine.\I don't mind the view, but you should cover up.\Yukimura-sama.\Don't worry. Saizo will be back before you know it.\We'll return to Ueda soon. response:	Okay.
context: Isanami, are you tired?\Are you okay?\I'm fine.\I don't mind the view, but you should cover up.\Yukimura-sama.\Don't worry. Saizo will be back before you know it.\We'll return to Ueda soon.\Okay. response:	What is this?
context: Are you okay?\I'm fine.\I don't mind the view, but you should cover up.\Yukimura-sama.\Don't worry. Saizo will be back before you know it.\We'll return to Ueda soon.\Okay.\What is this? response:	They put up barricades everywhere.
context: I'm fine.\I don't mind the view, but you should cover up.\Yukimura-sama.\Don't worry. Saizo will be back before you know it.\We'll return to Ueda soon.\Okay.\What is this?\They put up barricades everywhere. response:	What're we supposed to do?
context: I don't mind the view, but you should cover up.\Yukimura-sama.\Don't worry. Saizo will be back before you know it.\We'll return to Ueda soon.\Okay.\What is this?\They put up barricades everywhere.\What're we supposed to do? response:	Hurry. Let's go back.
context: Yukimura-sama.\Don't worry. Saizo will be back before you know it.\We'll return to Ueda soon.\Okay.\What is this?\They put up barricades everywhere.\What're we supposed to do?\Hurry. Let's go back. response:	I wonder if our lord will praise us.
context: Don't worry. Saizo will be back before you know it.\We'll return to Ueda soon.\Okay.\What is this?\They put up barricades everywhere.\What're we supposed to do?\Hurry. Let's go back.\I wonder if our lord will praise us. response:	It's no use. Every road has been blocked.
context: We'll return to Ueda soon.\Okay.\What is this?\They put up barricades everywhere.\What're we supposed to do?\Hurry. Let's go back.\I wonder if our lord will praise us.\It's no use. Every road has been blocked. response:	If we continue on our path, we'll end up at Lake Biwa.
context: Okay.\What is this?\They put up barricades everywhere.\What're we supposed to do?\Hurry. Let's go back.\I wonder if our lord will praise us.\It's no use. Every road has been blocked.\If we continue on our path, we'll end up at Lake Biwa. response:	They must intend to cut off our escape and kill us in one fell swoop.
context: What is this?\They put up barricades everywhere.\What're we supposed to do?\Hurry. Let's go back.\I wonder if our lord will praise us.\It's no use. Every road has been blocked.\If we continue on our path, we'll end up at Lake Biwa.\They must intend to cut off our escape and kill us in one fell swoop. response:	We won't be able to swim. It's too cold.
context: They put up barricades everywhere.\What're we supposed to do?\Hurry. Let's go back.\I wonder if our lord will praise us.\It's no use. Every road has been blocked.\If we continue on our path, we'll end up at Lake Biwa.\They must intend to cut off our escape and kill us in one fell swoop.\We won't be able to swim. It's too cold. response:	Old man!
context: What're we supposed to do?\Hurry. Let's go back.\I wonder if our lord will praise us.\It's no use. Every road has been blocked.\If we continue on our path, we'll end up at Lake Biwa.\They must intend to cut off our escape and kill us in one fell swoop.\We won't be able to swim. It's too cold.\Old man! response:	Don't worry.
context: Hurry. Let's go back.\I wonder if our lord will praise us.\It's no use. Every road has been blocked.\If we continue on our path, we'll end up at Lake Biwa.\They must intend to cut off our escape and kill us in one fell swoop.\We won't be able to swim. It's too cold.\Old man!\Don't worry. response:	I've got my warriors.
context: I wonder if our lord will praise us.\It's no use. Every road has been blocked.\If we continue on our path, we'll end up at Lake Biwa.\They must intend to cut off our escape and kill us in one fell swoop.\We won't be able to swim. It's too cold.\Old man!\Don't worry.\I've got my warriors. response:	How can you say that?
context: It's no use. Every road has been blocked.\If we continue on our path, we'll end up at Lake Biwa.\They must intend to cut off our escape and kill us in one fell swoop.\We won't be able to swim. It's too cold.\Old man!\Don't worry.\I've got my warriors.\How can you say that? response:	You're as demanding as always.
context: If we continue on our path, we'll end up at Lake Biwa.\They must intend to cut off our escape and kill us in one fell swoop.\We won't be able to swim. It's too cold.\Old man!\Don't worry.\I've got my warriors.\How can you say that?\You're as demanding as always. response:	As long as I have you, I know we'll make do.
context: They must intend to cut off our escape and kill us in one fell swoop.\We won't be able to swim. It's too cold.\Old man!\Don't worry.\I've got my warriors.\How can you say that?\You're as demanding as always.\As long as I have you, I know we'll make do. response:	No, you won't.
context: We won't be able to swim. It's too cold.\Old man!\Don't worry.\I've got my warriors.\How can you say that?\You're as demanding as always.\As long as I have you, I know we'll make do.\No, you won't. response:	Thanks for the other day.
context: Old man!\Don't worry.\I've got my warriors.\How can you say that?\You're as demanding as always.\As long as I have you, I know we'll make do.\No, you won't.\Thanks for the other day. response:	You came all the way here to thank me?
context: Don't worry.\I've got my warriors.\How can you say that?\You're as demanding as always.\As long as I have you, I know we'll make do.\No, you won't.\Thanks for the other day.\You came all the way here to thank me? response:	You fool, I'm the one chasing you.
context: I've got my warriors.\How can you say that?\You're as demanding as always.\As long as I have you, I know we'll make do.\No, you won't.\Thanks for the other day.\You came all the way here to thank me?\You fool, I'm the one chasing you. response:	At least, I'm pretending to be.
context: How can you say that?\You're as demanding as always.\As long as I have you, I know we'll make do.\No, you won't.\Thanks for the other day.\You came all the way here to thank me?\You fool, I'm the one chasing you.\At least, I'm pretending to be. response:	I'm here to reclaim what you stole!
context: You're as demanding as always.\As long as I have you, I know we'll make do.\No, you won't.\Thanks for the other day.\You came all the way here to thank me?\You fool, I'm the one chasing you.\At least, I'm pretending to be.\I'm here to reclaim what you stole! response:	That's quite the accusation, Masamune.
context: As long as I have you, I know we'll make do.\No, you won't.\Thanks for the other day.\You came all the way here to thank me?\You fool, I'm the one chasing you.\At least, I'm pretending to be.\I'm here to reclaim what you stole!\That's quite the accusation, Masamune. response:	Besides, you can't handle this treasure.
context: No, you won't.\Thanks for the other day.\You came all the way here to thank me?\You fool, I'm the one chasing you.\At least, I'm pretending to be.\I'm here to reclaim what you stole!\That's quite the accusation, Masamune.\Besides, you can't handle this treasure. response:	You arrogant bastard!
context: Thanks for the other day.\You came all the way here to thank me?\You fool, I'm the one chasing you.\At least, I'm pretending to be.\I'm here to reclaim what you stole!\That's quite the accusation, Masamune.\Besides, you can't handle this treasure.\You arrogant bastard! response:	I'll crush you!
context: You came all the way here to thank me?\You fool, I'm the one chasing you.\At least, I'm pretending to be.\I'm here to reclaim what you stole!\That's quite the accusation, Masamune.\Besides, you can't handle this treasure.\You arrogant bastard!\I'll crush you! response:	I didn't expect you to bring so many men.
context: You fool, I'm the one chasing you.\At least, I'm pretending to be.\I'm here to reclaim what you stole!\That's quite the accusation, Masamune.\Besides, you can't handle this treasure.\You arrogant bastard!\I'll crush you!\I didn't expect you to bring so many men. response:	Kanetsugu joked about it,
context: At least, I'm pretending to be.\I'm here to reclaim what you stole!\That's quite the accusation, Masamune.\Besides, you can't handle this treasure.\You arrogant bastard!\I'll crush you!\I didn't expect you to bring so many men.\Kanetsugu joked about it, response:	but he wasn't too far off the mark.
context: I'm here to reclaim what you stole!\That's quite the accusation, Masamune.\Besides, you can't handle this treasure.\You arrogant bastard!\I'll crush you!\I didn't expect you to bring so many men.\Kanetsugu joked about it,\but he wasn't too far off the mark. response:	You're a coward.
context: That's quite the accusation, Masamune.\Besides, you can't handle this treasure.\You arrogant bastard!\I'll crush you!\I didn't expect you to bring so many men.\Kanetsugu joked about it,\but he wasn't too far off the mark.\You're a coward. response:	Sanada Yukimura!
context: Besides, you can't handle this treasure.\You arrogant bastard!\I'll crush you!\I didn't expect you to bring so many men.\Kanetsugu joked about it,\but he wasn't too far off the mark.\You're a coward.\Sanada Yukimura! response:	Whoa, there.
context: You arrogant bastard!\I'll crush you!\I didn't expect you to bring so many men.\Kanetsugu joked about it,\but he wasn't too far off the mark.\You're a coward.\Sanada Yukimura!\Whoa, there. response:	I won't let you touch the old man or Isanami.
context: I'll crush you!\I didn't expect you to bring so many men.\Kanetsugu joked about it,\but he wasn't too far off the mark.\You're a coward.\Sanada Yukimura!\Whoa, there.\I won't let you touch the old man or Isanami. response:	Here they come.
context: I didn't expect you to bring so many men.\Kanetsugu joked about it,\but he wasn't too far off the mark.\You're a coward.\Sanada Yukimura!\Whoa, there.\I won't let you touch the old man or Isanami.\Here they come. response:	Like hell they are!
context: Kanetsugu joked about it,\but he wasn't too far off the mark.\You're a coward.\Sanada Yukimura!\Whoa, there.\I won't let you touch the old man or Isanami.\Here they come.\Like hell they are! response:	Ougi Otsumuji!
context: but he wasn't too far off the mark.\You're a coward.\Sanada Yukimura!\Whoa, there.\I won't let you touch the old man or Isanami.\Here they come.\Like hell they are!\Ougi Otsumuji! response:	Run, Isanami!
context: You're a coward.\Sanada Yukimura!\Whoa, there.\I won't let you touch the old man or Isanami.\Here they come.\Like hell they are!\Ougi Otsumuji!\Run, Isanami! response:	Looks like quite the brawl.
context: Sanada Yukimura!\Whoa, there.\I won't let you touch the old man or Isanami.\Here they come.\Like hell they are!\Ougi Otsumuji!\Run, Isanami!\Looks like quite the brawl. response:	Guess I'll join them.
context: Whoa, there.\I won't let you touch the old man or Isanami.\Here they come.\Like hell they are!\Ougi Otsumuji!\Run, Isanami!\Looks like quite the brawl.\Guess I'll join them. response:	There!
context: I won't let you touch the old man or Isanami.\Here they come.\Like hell they are!\Ougi Otsumuji!\Run, Isanami!\Looks like quite the brawl.\Guess I'll join them.\There! response:	I won't go easy on you.
context: Here they come.\Like hell they are!\Ougi Otsumuji!\Run, Isanami!\Looks like quite the brawl.\Guess I'll join them.\There!\I won't go easy on you. response:	What is this?
context: Like hell they are!\Ougi Otsumuji!\Run, Isanami!\Looks like quite the brawl.\Guess I'll join them.\There!\I won't go easy on you.\What is this? response:	We can't go any further.
context: Ougi Otsumuji!\Run, Isanami!\Looks like quite the brawl.\Guess I'll join them.\There!\I won't go easy on you.\What is this?\We can't go any further. response:	Old man, Isanami!
context: Run, Isanami!\Looks like quite the brawl.\Guess I'll join them.\There!\I won't go easy on you.\What is this?\We can't go any further.\Old man, Isanami! response:	Are you all right?
context: Looks like quite the brawl.\Guess I'll join them.\There!\I won't go easy on you.\What is this?\We can't go any further.\Old man, Isanami!\Are you all right? response:	Seriously.
context: Guess I'll join them.\There!\I won't go easy on you.\What is this?\We can't go any further.\Old man, Isanami!\Are you all right?\Seriously. response:	I didn't expect you to make it this far.
context: There!\I won't go easy on you.\What is this?\We can't go any further.\Old man, Isanami!\Are you all right?\Seriously.\I didn't expect you to make it this far. response:	Thanks to you, we've got more work to do.
context: I won't go easy on you.\What is this?\We can't go any further.\Old man, Isanami!\Are you all right?\Seriously.\I didn't expect you to make it this far.\Thanks to you, we've got more work to do. response:	Date ninja?
context: What is this?\We can't go any further.\Old man, Isanami!\Are you all right?\Seriously.\I didn't expect you to make it this far.\Thanks to you, we've got more work to do.\Date ninja? response:	Don't worry.
context: We can't go any further.\Old man, Isanami!\Are you all right?\Seriously.\I didn't expect you to make it this far.\Thanks to you, we've got more work to do.\Date ninja?\Don't worry. response:	I'll finish this quickly.
context: Old man, Isanami!\Are you all right?\Seriously.\I didn't expect you to make it this far.\Thanks to you, we've got more work to do.\Date ninja?\Don't worry.\I'll finish this quickly. response:	He's the Iga Marici.
context: Are you all right?\Seriously.\I didn't expect you to make it this far.\Thanks to you, we've got more work to do.\Date ninja?\Don't worry.\I'll finish this quickly.\He's the Iga Marici. response:	I heard he's a stone cold killer.
context: Seriously.\I didn't expect you to make it this far.\Thanks to you, we've got more work to do.\Date ninja?\Don't worry.\I'll finish this quickly.\He's the Iga Marici.\I heard he's a stone cold killer. response:	Saizo!
context: I didn't expect you to make it this far.\Thanks to you, we've got more work to do.\Date ninja?\Don't worry.\I'll finish this quickly.\He's the Iga Marici.\I heard he's a stone cold killer.\Saizo! response:	You actually believe a guy hanging out with this bunch is a stone cold killer?
context: Thanks to you, we've got more work to do.\Date ninja?\Don't worry.\I'll finish this quickly.\He's the Iga Marici.\I heard he's a stone cold killer.\Saizo!\You actually believe a guy hanging out with this bunch is a stone cold killer? response:	I don't know about this Iga Marici,
context: Date ninja?\Don't worry.\I'll finish this quickly.\He's the Iga Marici.\I heard he's a stone cold killer.\Saizo!\You actually believe a guy hanging out with this bunch is a stone cold killer?\I don't know about this Iga Marici, response:	but it sounds like a load of crap!
context: Don't worry.\I'll finish this quickly.\He's the Iga Marici.\I heard he's a stone cold killer.\Saizo!\You actually believe a guy hanging out with this bunch is a stone cold killer?\I don't know about this Iga Marici,\but it sounds like a load of crap! response:	Saizo, you're scared, aren't you?
context: I'll finish this quickly.\He's the Iga Marici.\I heard he's a stone cold killer.\Saizo!\You actually believe a guy hanging out with this bunch is a stone cold killer?\I don't know about this Iga Marici,\but it sounds like a load of crap!\Saizo, you're scared, aren't you? response:	Of fighting for someone.
context: He's the Iga Marici.\I heard he's a stone cold killer.\Saizo!\You actually believe a guy hanging out with this bunch is a stone cold killer?\I don't know about this Iga Marici,\but it sounds like a load of crap!\Saizo, you're scared, aren't you?\Of fighting for someone. response:	I can't get enough of those eyes.
context: I heard he's a stone cold killer.\Saizo!\You actually believe a guy hanging out with this bunch is a stone cold killer?\I don't know about this Iga Marici,\but it sounds like a load of crap!\Saizo, you're scared, aren't you?\Of fighting for someone.\I can't get enough of those eyes. response:	You're completely emotionless.
context: Saizo!\You actually believe a guy hanging out with this bunch is a stone cold killer?\I don't know about this Iga Marici,\but it sounds like a load of crap!\Saizo, you're scared, aren't you?\Of fighting for someone.\I can't get enough of those eyes.\You're completely emotionless. response:	All you do is kill.
context: You actually believe a guy hanging out with this bunch is a stone cold killer?\I don't know about this Iga Marici,\but it sounds like a load of crap!\Saizo, you're scared, aren't you?\Of fighting for someone.\I can't get enough of those eyes.\You're completely emotionless.\All you do is kill. response:	You're my one light in the darkness.
context: I don't know about this Iga Marici,\but it sounds like a load of crap!\Saizo, you're scared, aren't you?\Of fighting for someone.\I can't get enough of those eyes.\You're completely emotionless.\All you do is kill.\You're my one light in the darkness. response:	We need you.
context: but it sounds like a load of crap!\Saizo, you're scared, aren't you?\Of fighting for someone.\I can't get enough of those eyes.\You're completely emotionless.\All you do is kill.\You're my one light in the darkness.\We need you. response:	I have my warriors.
context: Saizo, you're scared, aren't you?\Of fighting for someone.\I can't get enough of those eyes.\You're completely emotionless.\All you do is kill.\You're my one light in the darkness.\We need you.\I have my warriors. response:	I'm not an Iga ninja.
context: Of fighting for someone.\I can't get enough of those eyes.\You're completely emotionless.\All you do is kill.\You're my one light in the darkness.\We need you.\I have my warriors.\I'm not an Iga ninja. response:	I'm one of Sanada's warriors, Kirigakure Saizo.
context: I can't get enough of those eyes.\You're completely emotionless.\All you do is kill.\You're my one light in the darkness.\We need you.\I have my warriors.\I'm not an Iga ninja.\I'm one of Sanada's warriors, Kirigakure Saizo. response:	Here they come.
context: You're completely emotionless.\All you do is kill.\You're my one light in the darkness.\We need you.\I have my warriors.\I'm not an Iga ninja.\I'm one of Sanada's warriors, Kirigakure Saizo.\Here they come. response:	Time to have some fun!
