context: Interviews with Monster Girls response:	Takahashi Tetsuo Wants to Protect
context: But since she's a demi,\this particular issue isn't quite that simple.\Hikari and Machi have accepted that, and are living normally enough...\Satou-sensei?\Hydrangeas, eh?\There were lots of them in the garden,\so I borrowed a few.\Are you working, Takahashi-sensei? response:	With the weather like this, staying in that dark prep room is depressing.
context: this particular issue isn't quite that simple.\Hikari and Machi have accepted that, and are living normally enough...\Satou-sensei?\Hydrangeas, eh?\There were lots of them in the garden,\so I borrowed a few.\Are you working, Takahashi-sensei?\With the weather like this, staying in that dark prep room is depressing. response:	Um... I was wrong about you, Takahashi-sensei.
context: Hikari and Machi have accepted that, and are living normally enough...\Satou-sensei?\Hydrangeas, eh?\There were lots of them in the garden,\so I borrowed a few.\Are you working, Takahashi-sensei?\With the weather like this, staying in that dark prep room is depressing.\Um... I was wrong about you, Takahashi-sensei. response:	Huh?
context: Satou-sensei?\Hydrangeas, eh?\There were lots of them in the garden,\so I borrowed a few.\Are you working, Takahashi-sensei?\With the weather like this, staying in that dark prep room is depressing.\Um... I was wrong about you, Takahashi-sensei.\Huh? response:	The thing with Machi-san's backpack...
context: Hydrangeas, eh?\There were lots of them in the garden,\so I borrowed a few.\Are you working, Takahashi-sensei?\With the weather like this, staying in that dark prep room is depressing.\Um... I was wrong about you, Takahashi-sensei.\Huh?\The thing with Machi-san's backpack... response:	I happened to hear you asking the principal to help.
context: There were lots of them in the garden,\so I borrowed a few.\Are you working, Takahashi-sensei?\With the weather like this, staying in that dark prep room is depressing.\Um... I was wrong about you, Takahashi-sensei.\Huh?\The thing with Machi-san's backpack...\I happened to hear you asking the principal to help. response:	Oh, that
context: so I borrowed a few.\Are you working, Takahashi-sensei?\With the weather like this, staying in that dark prep room is depressing.\Um... I was wrong about you, Takahashi-sensei.\Huh?\The thing with Machi-san's backpack...\I happened to hear you asking the principal to help.\Oh, that response:	You're someone so considerate of demis,
context: Are you working, Takahashi-sensei?\With the weather like this, staying in that dark prep room is depressing.\Um... I was wrong about you, Takahashi-sensei.\Huh?\The thing with Machi-san's backpack...\I happened to hear you asking the principal to help.\Oh, that\You're someone so considerate of demis, response:	and on the day of the opening ceremony, I behaved that way toward you!
context: With the weather like this, staying in that dark prep room is depressing.\Um... I was wrong about you, Takahashi-sensei.\Huh?\The thing with Machi-san's backpack...\I happened to hear you asking the principal to help.\Oh, that\You're someone so considerate of demis,\and on the day of the opening ceremony, I behaved that way toward you! response:	I'm so sorry!
context: Um... I was wrong about you, Takahashi-sensei.\Huh?\The thing with Machi-san's backpack...\I happened to hear you asking the principal to help.\Oh, that\You're someone so considerate of demis,\and on the day of the opening ceremony, I behaved that way toward you!\I'm so sorry! response:	Oh, not at all!
context: Huh?\The thing with Machi-san's backpack...\I happened to hear you asking the principal to help.\Oh, that\You're someone so considerate of demis,\and on the day of the opening ceremony, I behaved that way toward you!\I'm so sorry!\Oh, not at all! response:	I should apologize for being insensitive to your situation.
context: The thing with Machi-san's backpack...\I happened to hear you asking the principal to help.\Oh, that\You're someone so considerate of demis,\and on the day of the opening ceremony, I behaved that way toward you!\I'm so sorry!\Oh, not at all!\I should apologize for being insensitive to your situation. response:	As for the backpack, Hikari...
context: I happened to hear you asking the principal to help.\Oh, that\You're someone so considerate of demis,\and on the day of the opening ceremony, I behaved that way toward you!\I'm so sorry!\Oh, not at all!\I should apologize for being insensitive to your situation.\As for the backpack, Hikari... response:	Takanashi asked me to help.
context: Oh, that\You're someone so considerate of demis,\and on the day of the opening ceremony, I behaved that way toward you!\I'm so sorry!\Oh, not at all!\I should apologize for being insensitive to your situation.\As for the backpack, Hikari...\Takanashi asked me to help. response:	Takanashi-san? The older sister, you mean?
context: You're someone so considerate of demis,\and on the day of the opening ceremony, I behaved that way toward you!\I'm so sorry!\Oh, not at all!\I should apologize for being insensitive to your situation.\As for the backpack, Hikari...\Takanashi asked me to help.\Takanashi-san? The older sister, you mean? response:	Yeah.
context: and on the day of the opening ceremony, I behaved that way toward you!\I'm so sorry!\Oh, not at all!\I should apologize for being insensitive to your situation.\As for the backpack, Hikari...\Takanashi asked me to help.\Takanashi-san? The older sister, you mean?\Yeah. response:	I work so closely with those girls,
context: I'm so sorry!\Oh, not at all!\I should apologize for being insensitive to your situation.\As for the backpack, Hikari...\Takanashi asked me to help.\Takanashi-san? The older sister, you mean?\Yeah.\I work so closely with those girls, response:	but I didn't understand anything.
context: Oh, not at all!\I should apologize for being insensitive to your situation.\As for the backpack, Hikari...\Takanashi asked me to help.\Takanashi-san? The older sister, you mean?\Yeah.\I work so closely with those girls,\but I didn't understand anything. response:	I want to understand them better, but...
context: I should apologize for being insensitive to your situation.\As for the backpack, Hikari...\Takanashi asked me to help.\Takanashi-san? The older sister, you mean?\Yeah.\I work so closely with those girls,\but I didn't understand anything.\I want to understand them better, but... response:	Um, Sensei?
context: As for the backpack, Hikari...\Takanashi asked me to help.\Takanashi-san? The older sister, you mean?\Yeah.\I work so closely with those girls,\but I didn't understand anything.\I want to understand them better, but...\Um, Sensei? response:	Yes?
context: Takanashi asked me to help.\Takanashi-san? The older sister, you mean?\Yeah.\I work so closely with those girls,\but I didn't understand anything.\I want to understand them better, but...\Um, Sensei?\Yes? response:	Um...
context: Takanashi-san? The older sister, you mean?\Yeah.\I work so closely with those girls,\but I didn't understand anything.\I want to understand them better, but...\Um, Sensei?\Yes?\Um... response:	C-Can I be of any help at all?
context: Yeah.\I work so closely with those girls,\but I didn't understand anything.\I want to understand them better, but...\Um, Sensei?\Yes?\Um...\C-Can I be of any help at all? response:	Huh?
context: I work so closely with those girls,\but I didn't understand anything.\I want to understand them better, but...\Um, Sensei?\Yes?\Um...\C-Can I be of any help at all?\Huh? response:	I'm a demi, after all!
context: but I didn't understand anything.\I want to understand them better, but...\Um, Sensei?\Yes?\Um...\C-Can I be of any help at all?\Huh?\I'm a demi, after all! response:	Yes, I've experienced that firsthand.
context: I want to understand them better, but...\Um, Sensei?\Yes?\Um...\C-Can I be of any help at all?\Huh?\I'm a demi, after all!\Yes, I've experienced that firsthand. response:	I mean...
context: Um, Sensei?\Yes?\Um...\C-Can I be of any help at all?\Huh?\I'm a demi, after all!\Yes, I've experienced that firsthand.\I mean... response:	A-And I'm also a teacher!
context: Yes?\Um...\C-Can I be of any help at all?\Huh?\I'm a demi, after all!\Yes, I've experienced that firsthand.\I mean...\A-And I'm also a teacher! response:	I have a duty to address the concerns of my demi students!
context: Um...\C-Can I be of any help at all?\Huh?\I'm a demi, after all!\Yes, I've experienced that firsthand.\I mean...\A-And I'm also a teacher!\I have a duty to address the concerns of my demi students! response:	With that in mind, I really think I can help!
context: C-Can I be of any help at all?\Huh?\I'm a demi, after all!\Yes, I've experienced that firsthand.\I mean...\A-And I'm also a teacher!\I have a duty to address the concerns of my demi students!\With that in mind, I really think I can help! response:	Oops.
context: Huh?\I'm a demi, after all!\Yes, I've experienced that firsthand.\I mean...\A-And I'm also a teacher!\I have a duty to address the concerns of my demi students!\With that in mind, I really think I can help!\Oops. response:	No, I think that sounds perfect...
context: I'm a demi, after all!\Yes, I've experienced that firsthand.\I mean...\A-And I'm also a teacher!\I have a duty to address the concerns of my demi students!\With that in mind, I really think I can help!\Oops.\No, I think that sounds perfect... response:	I'd appreciate your help.
context: Yes, I've experienced that firsthand.\I mean...\A-And I'm also a teacher!\I have a duty to address the concerns of my demi students!\With that in mind, I really think I can help!\Oops.\No, I think that sounds perfect...\I'd appreciate your help. response:	All right!
context: I mean...\A-And I'm also a teacher!\I have a duty to address the concerns of my demi students!\With that in mind, I really think I can help!\Oops.\No, I think that sounds perfect...\I'd appreciate your help.\All right! response:	So, the students who said mean things about Kusakabe...
context: A-And I'm also a teacher!\I have a duty to address the concerns of my demi students!\With that in mind, I really think I can help!\Oops.\No, I think that sounds perfect...\I'd appreciate your help.\All right!\So, the students who said mean things about Kusakabe... response:	It seems they constantly gossip about others that way.
context: I have a duty to address the concerns of my demi students!\With that in mind, I really think I can help!\Oops.\No, I think that sounds perfect...\I'd appreciate your help.\All right!\So, the students who said mean things about Kusakabe...\It seems they constantly gossip about others that way. response:	Then, Kusakabe-san wasn't being specifically targeted?
context: With that in mind, I really think I can help!\Oops.\No, I think that sounds perfect...\I'd appreciate your help.\All right!\So, the students who said mean things about Kusakabe...\It seems they constantly gossip about others that way.\Then, Kusakabe-san wasn't being specifically targeted? response:	Probably not.
context: Oops.\No, I think that sounds perfect...\I'd appreciate your help.\All right!\So, the students who said mean things about Kusakabe...\It seems they constantly gossip about others that way.\Then, Kusakabe-san wasn't being specifically targeted?\Probably not. response:	But she's convinced that it's because she's a demi?
context: No, I think that sounds perfect...\I'd appreciate your help.\All right!\So, the students who said mean things about Kusakabe...\It seems they constantly gossip about others that way.\Then, Kusakabe-san wasn't being specifically targeted?\Probably not.\But she's convinced that it's because she's a demi? response:	What do you think, Satou-sensei?
context: I'd appreciate your help.\All right!\So, the students who said mean things about Kusakabe...\It seems they constantly gossip about others that way.\Then, Kusakabe-san wasn't being specifically targeted?\Probably not.\But she's convinced that it's because she's a demi?\What do you think, Satou-sensei? response:	Even without considering the gossip,
context: All right!\So, the students who said mean things about Kusakabe...\It seems they constantly gossip about others that way.\Then, Kusakabe-san wasn't being specifically targeted?\Probably not.\But she's convinced that it's because she's a demi?\What do you think, Satou-sensei?\Even without considering the gossip, response:	Kusakabe-san seems to avoid contact with other people, to begin with.
context: So, the students who said mean things about Kusakabe...\It seems they constantly gossip about others that way.\Then, Kusakabe-san wasn't being specifically targeted?\Probably not.\But she's convinced that it's because she's a demi?\What do you think, Satou-sensei?\Even without considering the gossip,\Kusakabe-san seems to avoid contact with other people, to begin with. response:	I mean, in a different way than I do.
context: It seems they constantly gossip about others that way.\Then, Kusakabe-san wasn't being specifically targeted?\Probably not.\But she's convinced that it's because she's a demi?\What do you think, Satou-sensei?\Even without considering the gossip,\Kusakabe-san seems to avoid contact with other people, to begin with.\I mean, in a different way than I do. response:	Yeah, I get that impression.
context: Then, Kusakabe-san wasn't being specifically targeted?\Probably not.\But she's convinced that it's because she's a demi?\What do you think, Satou-sensei?\Even without considering the gossip,\Kusakabe-san seems to avoid contact with other people, to begin with.\I mean, in a different way than I do.\Yeah, I get that impression. response:	It may be that she has some reason.
context: Probably not.\But she's convinced that it's because she's a demi?\What do you think, Satou-sensei?\Even without considering the gossip,\Kusakabe-san seems to avoid contact with other people, to begin with.\I mean, in a different way than I do.\Yeah, I get that impression.\It may be that she has some reason. response:	A reason.
context: But she's convinced that it's because she's a demi?\What do you think, Satou-sensei?\Even without considering the gossip,\Kusakabe-san seems to avoid contact with other people, to begin with.\I mean, in a different way than I do.\Yeah, I get that impression.\It may be that she has some reason.\A reason. response:	You mean something like her family?
context: What do you think, Satou-sensei?\Even without considering the gossip,\Kusakabe-san seems to avoid contact with other people, to begin with.\I mean, in a different way than I do.\Yeah, I get that impression.\It may be that she has some reason.\A reason.\You mean something like her family? response:	I have a feeling it's more connected to her nature as a demi.
context: Even without considering the gossip,\Kusakabe-san seems to avoid contact with other people, to begin with.\I mean, in a different way than I do.\Yeah, I get that impression.\It may be that she has some reason.\A reason.\You mean something like her family?\I have a feeling it's more connected to her nature as a demi. response:	Her nature?
context: Kusakabe-san seems to avoid contact with other people, to begin with.\I mean, in a different way than I do.\Yeah, I get that impression.\It may be that she has some reason.\A reason.\You mean something like her family?\I have a feeling it's more connected to her nature as a demi.\Her nature? response:	The reason I had the wrong idea about you
context: I mean, in a different way than I do.\Yeah, I get that impression.\It may be that she has some reason.\A reason.\You mean something like her family?\I have a feeling it's more connected to her nature as a demi.\Her nature?\The reason I had the wrong idea about you response:	was because my succubus nature made me overly self-conscious.
context: Yeah, I get that impression.\It may be that she has some reason.\A reason.\You mean something like her family?\I have a feeling it's more connected to her nature as a demi.\Her nature?\The reason I had the wrong idea about you\was because my succubus nature made me overly self-conscious. response:	I see... There's that way of looking at it.
context: It may be that she has some reason.\A reason.\You mean something like her family?\I have a feeling it's more connected to her nature as a demi.\Her nature?\The reason I had the wrong idea about you\was because my succubus nature made me overly self-conscious.\I see... There's that way of looking at it. response:	She probably doesn't have anyone to talk to about it,
context: A reason.\You mean something like her family?\I have a feeling it's more connected to her nature as a demi.\Her nature?\The reason I had the wrong idea about you\was because my succubus nature made me overly self-conscious.\I see... There's that way of looking at it.\She probably doesn't have anyone to talk to about it, response:	which makes it even harder to come to terms with her demi identity.
context: You mean something like her family?\I have a feeling it's more connected to her nature as a demi.\Her nature?\The reason I had the wrong idea about you\was because my succubus nature made me overly self-conscious.\I see... There's that way of looking at it.\She probably doesn't have anyone to talk to about it,\which makes it even harder to come to terms with her demi identity. response:	I guess I should have tried to talk to her sooner...
context: I have a feeling it's more connected to her nature as a demi.\Her nature?\The reason I had the wrong idea about you\was because my succubus nature made me overly self-conscious.\I see... There's that way of looking at it.\She probably doesn't have anyone to talk to about it,\which makes it even harder to come to terms with her demi identity.\I guess I should have tried to talk to her sooner... response:	Well, why don't I try to speak to her?
context: Her nature?\The reason I had the wrong idea about you\was because my succubus nature made me overly self-conscious.\I see... There's that way of looking at it.\She probably doesn't have anyone to talk to about it,\which makes it even harder to come to terms with her demi identity.\I guess I should have tried to talk to her sooner...\Well, why don't I try to speak to her? response:	Talking to another demi might be easier for her.
context: The reason I had the wrong idea about you\was because my succubus nature made me overly self-conscious.\I see... There's that way of looking at it.\She probably doesn't have anyone to talk to about it,\which makes it even harder to come to terms with her demi identity.\I guess I should have tried to talk to her sooner...\Well, why don't I try to speak to her?\Talking to another demi might be easier for her. response:	That would be a big help.
context: was because my succubus nature made me overly self-conscious.\I see... There's that way of looking at it.\She probably doesn't have anyone to talk to about it,\which makes it even harder to come to terms with her demi identity.\I guess I should have tried to talk to her sooner...\Well, why don't I try to speak to her?\Talking to another demi might be easier for her.\That would be a big help. response:	I'm really glad you're on this with me.
context: I see... There's that way of looking at it.\She probably doesn't have anyone to talk to about it,\which makes it even harder to come to terms with her demi identity.\I guess I should have tried to talk to her sooner...\Well, why don't I try to speak to her?\Talking to another demi might be easier for her.\That would be a big help.\I'm really glad you're on this with me. response:	N-N-N-Not at all! It's just what any teacher ought to do!
context: She probably doesn't have anyone to talk to about it,\which makes it even harder to come to terms with her demi identity.\I guess I should have tried to talk to her sooner...\Well, why don't I try to speak to her?\Talking to another demi might be easier for her.\That would be a big help.\I'm really glad you're on this with me.\N-N-N-Not at all! It's just what any teacher ought to do! response:	Talking to Kusakabe is important...
context: which makes it even harder to come to terms with her demi identity.\I guess I should have tried to talk to her sooner...\Well, why don't I try to speak to her?\Talking to another demi might be easier for her.\That would be a big help.\I'm really glad you're on this with me.\N-N-N-Not at all! It's just what any teacher ought to do!\Talking to Kusakabe is important... response:	But we should also deal with the students who were gossiping.
context: I guess I should have tried to talk to her sooner...\Well, why don't I try to speak to her?\Talking to another demi might be easier for her.\That would be a big help.\I'm really glad you're on this with me.\N-N-N-Not at all! It's just what any teacher ought to do!\Talking to Kusakabe is important...\But we should also deal with the students who were gossiping. response:	You're right.
context: Well, why don't I try to speak to her?\Talking to another demi might be easier for her.\That would be a big help.\I'm really glad you're on this with me.\N-N-N-Not at all! It's just what any teacher ought to do!\Talking to Kusakabe is important...\But we should also deal with the students who were gossiping.\You're right. response:	Telling them to stop won't work.
context: Talking to another demi might be easier for her.\That would be a big help.\I'm really glad you're on this with me.\N-N-N-Not at all! It's just what any teacher ought to do!\Talking to Kusakabe is important...\But we should also deal with the students who were gossiping.\You're right.\Telling them to stop won't work. response:	They don't want people to know they feel inferior,
context: That would be a big help.\I'm really glad you're on this with me.\N-N-N-Not at all! It's just what any teacher ought to do!\Talking to Kusakabe is important...\But we should also deal with the students who were gossiping.\You're right.\Telling them to stop won't work.\They don't want people to know they feel inferior, response:	but they're afraid to face their victims.
context: I'm really glad you're on this with me.\N-N-N-Not at all! It's just what any teacher ought to do!\Talking to Kusakabe is important...\But we should also deal with the students who were gossiping.\You're right.\Telling them to stop won't work.\They don't want people to know they feel inferior,\but they're afraid to face their victims. response:	I believe that mental weakness
context: N-N-N-Not at all! It's just what any teacher ought to do!\Talking to Kusakabe is important...\But we should also deal with the students who were gossiping.\You're right.\Telling them to stop won't work.\They don't want people to know they feel inferior,\but they're afraid to face their victims.\I believe that mental weakness response:	is what makes people gossip about others.
context: Talking to Kusakabe is important...\But we should also deal with the students who were gossiping.\You're right.\Telling them to stop won't work.\They don't want people to know they feel inferior,\but they're afraid to face their victims.\I believe that mental weakness\is what makes people gossip about others. response:	If possible,
context: But we should also deal with the students who were gossiping.\You're right.\Telling them to stop won't work.\They don't want people to know they feel inferior,\but they're afraid to face their victims.\I believe that mental weakness\is what makes people gossip about others.\If possible, response:	I'd like them to realize that they don't have to fall back on gossip.
context: You're right.\Telling them to stop won't work.\They don't want people to know they feel inferior,\but they're afraid to face their victims.\I believe that mental weakness\is what makes people gossip about others.\If possible,\I'd like them to realize that they don't have to fall back on gossip. response:	Yes.
context: Telling them to stop won't work.\They don't want people to know they feel inferior,\but they're afraid to face their victims.\I believe that mental weakness\is what makes people gossip about others.\If possible,\I'd like them to realize that they don't have to fall back on gossip.\Yes. response:	Maybe it would be unfair to expect that from high school students...
context: They don't want people to know they feel inferior,\but they're afraid to face their victims.\I believe that mental weakness\is what makes people gossip about others.\If possible,\I'd like them to realize that they don't have to fall back on gossip.\Yes.\Maybe it would be unfair to expect that from high school students... response:	Now, what to do?
context: but they're afraid to face their victims.\I believe that mental weakness\is what makes people gossip about others.\If possible,\I'd like them to realize that they don't have to fall back on gossip.\Yes.\Maybe it would be unfair to expect that from high school students...\Now, what to do? response:	Takanashi-san, wait a minute.
context: I believe that mental weakness\is what makes people gossip about others.\If possible,\I'd like them to realize that they don't have to fall back on gossip.\Yes.\Maybe it would be unfair to expect that from high school students...\Now, what to do?\Takanashi-san, wait a minute. response:	Hey, where are we going?
context: is what makes people gossip about others.\If possible,\I'd like them to realize that they don't have to fall back on gossip.\Yes.\Maybe it would be unfair to expect that from high school students...\Now, what to do?\Takanashi-san, wait a minute.\Hey, where are we going? response:	Hey, Takanashi-san...
context: If possible,\I'd like them to realize that they don't have to fall back on gossip.\Yes.\Maybe it would be unfair to expect that from high school students...\Now, what to do?\Takanashi-san, wait a minute.\Hey, where are we going?\Hey, Takanashi-san... response:	Takanashi-san!
context: I'd like them to realize that they don't have to fall back on gossip.\Yes.\Maybe it would be unfair to expect that from high school students...\Now, what to do?\Takanashi-san, wait a minute.\Hey, where are we going?\Hey, Takanashi-san...\Takanashi-san! response:	Hikari?
context: Yes.\Maybe it would be unfair to expect that from high school students...\Now, what to do?\Takanashi-san, wait a minute.\Hey, where are we going?\Hey, Takanashi-san...\Takanashi-san!\Hikari? response:	And they just left it like that.
context: Maybe it would be unfair to expect that from high school students...\Now, what to do?\Takanashi-san, wait a minute.\Hey, where are we going?\Hey, Takanashi-san...\Takanashi-san!\Hikari?\And they just left it like that. response:	No way! That's crazy!
context: Now, what to do?\Takanashi-san, wait a minute.\Hey, where are we going?\Hey, Takanashi-san...\Takanashi-san!\Hikari?\And they just left it like that.\No way! That's crazy! response:	Also, I heard the physics teacher, Iwai, is being sent to another school.
context: Takanashi-san, wait a minute.\Hey, where are we going?\Hey, Takanashi-san...\Takanashi-san!\Hikari?\And they just left it like that.\No way! That's crazy!\Also, I heard the physics teacher, Iwai, is being sent to another school. response:	Takanashi-san...
context: Hey, where are we going?\Hey, Takanashi-san...\Takanashi-san!\Hikari?\And they just left it like that.\No way! That's crazy!\Also, I heard the physics teacher, Iwai, is being sent to another school.\Takanashi-san... response:	Yukki, I'm going to give them a piece of my mind.
context: Hey, Takanashi-san...\Takanashi-san!\Hikari?\And they just left it like that.\No way! That's crazy!\Also, I heard the physics teacher, Iwai, is being sent to another school.\Takanashi-san...\Yukki, I'm going to give them a piece of my mind. response:	Really? Why?
context: Takanashi-san!\Hikari?\And they just left it like that.\No way! That's crazy!\Also, I heard the physics teacher, Iwai, is being sent to another school.\Takanashi-san...\Yukki, I'm going to give them a piece of my mind.\Really? Why? response:	You wait here and listen.
context: Hikari?\And they just left it like that.\No way! That's crazy!\Also, I heard the physics teacher, Iwai, is being sent to another school.\Takanashi-san...\Yukki, I'm going to give them a piece of my mind.\Really? Why?\You wait here and listen. response:	He got involved in some risky stuff, I heard.
context: And they just left it like that.\No way! That's crazy!\Also, I heard the physics teacher, Iwai, is being sent to another school.\Takanashi-san...\Yukki, I'm going to give them a piece of my mind.\Really? Why?\You wait here and listen.\He got involved in some risky stuff, I heard. response:	What the heck?
context: No way! That's crazy!\Also, I heard the physics teacher, Iwai, is being sent to another school.\Takanashi-san...\Yukki, I'm going to give them a piece of my mind.\Really? Why?\You wait here and listen.\He got involved in some risky stuff, I heard.\What the heck? response:	I'll let you decide what happens afterward.
context: Also, I heard the physics teacher, Iwai, is being sent to another school.\Takanashi-san...\Yukki, I'm going to give them a piece of my mind.\Really? Why?\You wait here and listen.\He got involved in some risky stuff, I heard.\What the heck?\I'll let you decide what happens afterward. response:	With that face, maybe it can't be helped.
