context: Naraku! response:	What's this?
context: With greater ferocity, Koga attacked Inuyasha!\He says this should keep you busy.\As usual, the ape likes to make things complicated.\While those hotheads fight it out their way...\we get to take on a demon puppet.\He takes us lightly.\Don't let your guard down.\We're inside Naraku's castle. Who knows what traps have been laid. response:	Damn these traps. I've had just about enough!
context: He says this should keep you busy.\As usual, the ape likes to make things complicated.\While those hotheads fight it out their way...\we get to take on a demon puppet.\He takes us lightly.\Don't let your guard down.\We're inside Naraku's castle. Who knows what traps have been laid.\Damn these traps. I've had just about enough! response:	Shall we teach them?
context: As usual, the ape likes to make things complicated.\While those hotheads fight it out their way...\we get to take on a demon puppet.\He takes us lightly.\Don't let your guard down.\We're inside Naraku's castle. Who knows what traps have been laid.\Damn these traps. I've had just about enough!\Shall we teach them? response:	A measly demon puppet... is no match against us!
context: While those hotheads fight it out their way...\we get to take on a demon puppet.\He takes us lightly.\Don't let your guard down.\We're inside Naraku's castle. Who knows what traps have been laid.\Damn these traps. I've had just about enough!\Shall we teach them?\A measly demon puppet... is no match against us! response:	Damn! Where's he getting that brute strength?!
context: we get to take on a demon puppet.\He takes us lightly.\Don't let your guard down.\We're inside Naraku's castle. Who knows what traps have been laid.\Damn these traps. I've had just about enough!\Shall we teach them?\A measly demon puppet... is no match against us!\Damn! Where's he getting that brute strength?! response:	Ooh! The roof's been blown off!
context: He takes us lightly.\Don't let your guard down.\We're inside Naraku's castle. Who knows what traps have been laid.\Damn these traps. I've had just about enough!\Shall we teach them?\A measly demon puppet... is no match against us!\Damn! Where's he getting that brute strength?!\Ooh! The roof's been blown off! response:	The power of that right arm isn't normal!
context: Don't let your guard down.\We're inside Naraku's castle. Who knows what traps have been laid.\Damn these traps. I've had just about enough!\Shall we teach them?\A measly demon puppet... is no match against us!\Damn! Where's he getting that brute strength?!\Ooh! The roof's been blown off!\The power of that right arm isn't normal! response:	What'll we do? We have to stop them quickly!
context: We're inside Naraku's castle. Who knows what traps have been laid.\Damn these traps. I've had just about enough!\Shall we teach them?\A measly demon puppet... is no match against us!\Damn! Where's he getting that brute strength?!\Ooh! The roof's been blown off!\The power of that right arm isn't normal!\What'll we do? We have to stop them quickly! response:	It's not Inuyasha who killed Koga's friends... It was Naraku!
context: Damn these traps. I've had just about enough!\Shall we teach them?\A measly demon puppet... is no match against us!\Damn! Where's he getting that brute strength?!\Ooh! The roof's been blown off!\The power of that right arm isn't normal!\What'll we do? We have to stop them quickly!\It's not Inuyasha who killed Koga's friends... It was Naraku! response:	Damn mutt! I'll never forgive you!
context: Shall we teach them?\A measly demon puppet... is no match against us!\Damn! Where's he getting that brute strength?!\Ooh! The roof's been blown off!\The power of that right arm isn't normal!\What'll we do? We have to stop them quickly!\It's not Inuyasha who killed Koga's friends... It was Naraku!\Damn mutt! I'll never forgive you! response:	Kirara!
context: A measly demon puppet... is no match against us!\Damn! Where's he getting that brute strength?!\Ooh! The roof's been blown off!\The power of that right arm isn't normal!\What'll we do? We have to stop them quickly!\It's not Inuyasha who killed Koga's friends... It was Naraku!\Damn mutt! I'll never forgive you!\Kirara! response:	Kirara, good work!
context: Damn! Where's he getting that brute strength?!\Ooh! The roof's been blown off!\The power of that right arm isn't normal!\What'll we do? We have to stop them quickly!\It's not Inuyasha who killed Koga's friends... It was Naraku!\Damn mutt! I'll never forgive you!\Kirara!\Kirara, good work! response:	Thank you, Kirara!
context: Ooh! The roof's been blown off!\The power of that right arm isn't normal!\What'll we do? We have to stop them quickly!\It's not Inuyasha who killed Koga's friends... It was Naraku!\Damn mutt! I'll never forgive you!\Kirara!\Kirara, good work!\Thank you, Kirara! response:	Kagome!
context: The power of that right arm isn't normal!\What'll we do? We have to stop them quickly!\It's not Inuyasha who killed Koga's friends... It was Naraku!\Damn mutt! I'll never forgive you!\Kirara!\Kirara, good work!\Thank you, Kirara!\Kagome! response:	Damn you!
context: What'll we do? We have to stop them quickly!\It's not Inuyasha who killed Koga's friends... It was Naraku!\Damn mutt! I'll never forgive you!\Kirara!\Kirara, good work!\Thank you, Kirara!\Kagome!\Damn you! response:	Jumping around, trying to escape!
context: It's not Inuyasha who killed Koga's friends... It was Naraku!\Damn mutt! I'll never forgive you!\Kirara!\Kirara, good work!\Thank you, Kirara!\Kagome!\Damn you!\Jumping around, trying to escape! response:	If Kagome is ever hurt, it'd be your fault!
context: Damn mutt! I'll never forgive you!\Kirara!\Kirara, good work!\Thank you, Kirara!\Kagome!\Damn you!\Jumping around, trying to escape!\If Kagome is ever hurt, it'd be your fault! response:	Naraku wants us to fight... until one of us dies.
context: Kirara!\Kirara, good work!\Thank you, Kirara!\Kagome!\Damn you!\Jumping around, trying to escape!\If Kagome is ever hurt, it'd be your fault!\Naraku wants us to fight... until one of us dies. response:	I don't intend to fall into Naraku's trap, but!
context: Kirara, good work!\Thank you, Kirara!\Kagome!\Damn you!\Jumping around, trying to escape!\If Kagome is ever hurt, it'd be your fault!\Naraku wants us to fight... until one of us dies.\I don't intend to fall into Naraku's trap, but! response:	You've pushed me this far... I'm not holding back!
context: Thank you, Kirara!\Kagome!\Damn you!\Jumping around, trying to escape!\If Kagome is ever hurt, it'd be your fault!\Naraku wants us to fight... until one of us dies.\I don't intend to fall into Naraku's trap, but!\You've pushed me this far... I'm not holding back! response:	Prepare to die! I'm avenging my comrades!
context: Kagome!\Damn you!\Jumping around, trying to escape!\If Kagome is ever hurt, it'd be your fault!\Naraku wants us to fight... until one of us dies.\I don't intend to fall into Naraku's trap, but!\You've pushed me this far... I'm not holding back!\Prepare to die! I'm avenging my comrades! response:	He's fast!
context: Damn you!\Jumping around, trying to escape!\If Kagome is ever hurt, it'd be your fault!\Naraku wants us to fight... until one of us dies.\I don't intend to fall into Naraku's trap, but!\You've pushed me this far... I'm not holding back!\Prepare to die! I'm avenging my comrades!\He's fast! response:	Iron-Reaver, Soul-Stealer...!
context: Jumping around, trying to escape!\If Kagome is ever hurt, it'd be your fault!\Naraku wants us to fight... until one of us dies.\I don't intend to fall into Naraku's trap, but!\You've pushed me this far... I'm not holding back!\Prepare to die! I'm avenging my comrades!\He's fast!\Iron-Reaver, Soul-Stealer...! response:	What?! Did I claw you just now?
context: If Kagome is ever hurt, it'd be your fault!\Naraku wants us to fight... until one of us dies.\I don't intend to fall into Naraku's trap, but!\You've pushed me this far... I'm not holding back!\Prepare to die! I'm avenging my comrades!\He's fast!\Iron-Reaver, Soul-Stealer...!\What?! Did I claw you just now? response:	This is bad... He smashed my arm bone.
context: Naraku wants us to fight... until one of us dies.\I don't intend to fall into Naraku's trap, but!\You've pushed me this far... I'm not holding back!\Prepare to die! I'm avenging my comrades!\He's fast!\Iron-Reaver, Soul-Stealer...!\What?! Did I claw you just now?\This is bad... He smashed my arm bone. response:	This is... the end for you!
context: I don't intend to fall into Naraku's trap, but!\You've pushed me this far... I'm not holding back!\Prepare to die! I'm avenging my comrades!\He's fast!\Iron-Reaver, Soul-Stealer...!\What?! Did I claw you just now?\This is bad... He smashed my arm bone.\This is... the end for you! response:	Inuyasha!
context: You've pushed me this far... I'm not holding back!\Prepare to die! I'm avenging my comrades!\He's fast!\Iron-Reaver, Soul-Stealer...!\What?! Did I claw you just now?\This is bad... He smashed my arm bone.\This is... the end for you!\Inuyasha! response:	He's dead...
context: Prepare to die! I'm avenging my comrades!\He's fast!\Iron-Reaver, Soul-Stealer...!\What?! Did I claw you just now?\This is bad... He smashed my arm bone.\This is... the end for you!\Inuyasha!\He's dead... response:	Who are you?!
context: He's fast!\Iron-Reaver, Soul-Stealer...!\What?! Did I claw you just now?\This is bad... He smashed my arm bone.\This is... the end for you!\Inuyasha!\He's dead...\Who are you?! response:	Mr. Wolf Man... now you have no regrets, huh?
context: Iron-Reaver, Soul-Stealer...!\What?! Did I claw you just now?\This is bad... He smashed my arm bone.\This is... the end for you!\Inuyasha!\He's dead...\Who are you?!\Mr. Wolf Man... now you have no regrets, huh? response:	Just who are you?
context: What?! Did I claw you just now?\This is bad... He smashed my arm bone.\This is... the end for you!\Inuyasha!\He's dead...\Who are you?!\Mr. Wolf Man... now you have no regrets, huh?\Just who are you? response:	I'm Kagura.
context: This is bad... He smashed my arm bone.\This is... the end for you!\Inuyasha!\He's dead...\Who are you?!\Mr. Wolf Man... now you have no regrets, huh?\Just who are you?\I'm Kagura. response:	Now I'll let you have your last dance.
context: This is... the end for you!\Inuyasha!\He's dead...\Who are you?!\Mr. Wolf Man... now you have no regrets, huh?\Just who are you?\I'm Kagura.\Now I'll let you have your last dance. response:	W-what?!
context: Inuyasha!\He's dead...\Who are you?!\Mr. Wolf Man... now you have no regrets, huh?\Just who are you?\I'm Kagura.\Now I'll let you have your last dance.\W-what?! response:	What's happening?! Aren't they dead?
context: He's dead...\Who are you?!\Mr. Wolf Man... now you have no regrets, huh?\Just who are you?\I'm Kagura.\Now I'll let you have your last dance.\W-what?!\What's happening?! Aren't they dead? response:	They may be dead, but they want to dance.
context: Who are you?!\Mr. Wolf Man... now you have no regrets, huh?\Just who are you?\I'm Kagura.\Now I'll let you have your last dance.\W-what?!\What's happening?! Aren't they dead?\They may be dead, but they want to dance. response:	They're so happy they can dance with you.
context: Mr. Wolf Man... now you have no regrets, huh?\Just who are you?\I'm Kagura.\Now I'll let you have your last dance.\W-what?!\What's happening?! Aren't they dead?\They may be dead, but they want to dance.\They're so happy they can dance with you. response:	You!
context: Just who are you?\I'm Kagura.\Now I'll let you have your last dance.\W-what?!\What's happening?! Aren't they dead?\They may be dead, but they want to dance.\They're so happy they can dance with you.\You! response:	You're the one who killed my friends!
context: I'm Kagura.\Now I'll let you have your last dance.\W-what?!\What's happening?! Aren't they dead?\They may be dead, but they want to dance.\They're so happy they can dance with you.\You!\You're the one who killed my friends! response:	Well... I forget.
context: Now I'll let you have your last dance.\W-what?!\What's happening?! Aren't they dead?\They may be dead, but they want to dance.\They're so happy they can dance with you.\You!\You're the one who killed my friends!\Well... I forget. response:	I'll kill you!
context: W-what?!\What's happening?! Aren't they dead?\They may be dead, but they want to dance.\They're so happy they can dance with you.\You!\You're the one who killed my friends!\Well... I forget.\I'll kill you! response:	I can't move... What's happened to my body?
context: What's happening?! Aren't they dead?\They may be dead, but they want to dance.\They're so happy they can dance with you.\You!\You're the one who killed my friends!\Well... I forget.\I'll kill you!\I can't move... What's happened to my body? response:	The poison in the fragment in your arm is starting to work.
context: They may be dead, but they want to dance.\They're so happy they can dance with you.\You!\You're the one who killed my friends!\Well... I forget.\I'll kill you!\I can't move... What's happened to my body?\The poison in the fragment in your arm is starting to work. response:	Well, I guess it's time to start.
context: They're so happy they can dance with you.\You!\You're the one who killed my friends!\Well... I forget.\I'll kill you!\I can't move... What's happened to my body?\The poison in the fragment in your arm is starting to work.\Well, I guess it's time to start. response:	Can't move, can you?
context: You!\You're the one who killed my friends!\Well... I forget.\I'll kill you!\I can't move... What's happened to my body?\The poison in the fragment in your arm is starting to work.\Well, I guess it's time to start.\Can't move, can you? response:	The fragment you have imbedded in your arm...
context: You're the one who killed my friends!\Well... I forget.\I'll kill you!\I can't move... What's happened to my body?\The poison in the fragment in your arm is starting to work.\Well, I guess it's time to start.\Can't move, can you?\The fragment you have imbedded in your arm... response:	It's a fake Sacred Jewel made from crystallized poison and miasma.
context: Well... I forget.\I'll kill you!\I can't move... What's happened to my body?\The poison in the fragment in your arm is starting to work.\Well, I guess it's time to start.\Can't move, can you?\The fragment you have imbedded in your arm...\It's a fake Sacred Jewel made from crystallized poison and miasma. response:	You jumped around so much...
context: I'll kill you!\I can't move... What's happened to my body?\The poison in the fragment in your arm is starting to work.\Well, I guess it's time to start.\Can't move, can you?\The fragment you have imbedded in your arm...\It's a fake Sacred Jewel made from crystallized poison and miasma.\You jumped around so much... response:	it sped up the spread of the poison.
context: I can't move... What's happened to my body?\The poison in the fragment in your arm is starting to work.\Well, I guess it's time to start.\Can't move, can you?\The fragment you have imbedded in your arm...\It's a fake Sacred Jewel made from crystallized poison and miasma.\You jumped around so much...\it sped up the spread of the poison. response:	Damn!
context: The poison in the fragment in your arm is starting to work.\Well, I guess it's time to start.\Can't move, can you?\The fragment you have imbedded in your arm...\It's a fake Sacred Jewel made from crystallized poison and miasma.\You jumped around so much...\it sped up the spread of the poison.\Damn! response:	Now then, I'll have the real fragments you have.
context: Well, I guess it's time to start.\Can't move, can you?\The fragment you have imbedded in your arm...\It's a fake Sacred Jewel made from crystallized poison and miasma.\You jumped around so much...\it sped up the spread of the poison.\Damn!\Now then, I'll have the real fragments you have. response:	So that's the sacred arrow?
context: Can't move, can you?\The fragment you have imbedded in your arm...\It's a fake Sacred Jewel made from crystallized poison and miasma.\You jumped around so much...\it sped up the spread of the poison.\Damn!\Now then, I'll have the real fragments you have.\So that's the sacred arrow? response:	It's coming!
context: The fragment you have imbedded in your arm...\It's a fake Sacred Jewel made from crystallized poison and miasma.\You jumped around so much...\it sped up the spread of the poison.\Damn!\Now then, I'll have the real fragments you have.\So that's the sacred arrow?\It's coming! response:	Kagome, are you all right?!
context: It's a fake Sacred Jewel made from crystallized poison and miasma.\You jumped around so much...\it sped up the spread of the poison.\Damn!\Now then, I'll have the real fragments you have.\So that's the sacred arrow?\It's coming!\Kagome, are you all right?! response:	l-I think so.
context: You jumped around so much...\it sped up the spread of the poison.\Damn!\Now then, I'll have the real fragments you have.\So that's the sacred arrow?\It's coming!\Kagome, are you all right?!\l-I think so. response:	Not impressive at all.
context: it sped up the spread of the poison.\Damn!\Now then, I'll have the real fragments you have.\So that's the sacred arrow?\It's coming!\Kagome, are you all right?!\l-I think so.\Not impressive at all. response:	But I won't let you get in my way.
context: Damn!\Now then, I'll have the real fragments you have.\So that's the sacred arrow?\It's coming!\Kagome, are you all right?!\l-I think so.\Not impressive at all.\But I won't let you get in my way. response:	Huh?!
context: Now then, I'll have the real fragments you have.\So that's the sacred arrow?\It's coming!\Kagome, are you all right?!\l-I think so.\Not impressive at all.\But I won't let you get in my way.\Huh?! response:	Don't you dare lay a finger on Kagome...
context: So that's the sacred arrow?\It's coming!\Kagome, are you all right?!\l-I think so.\Not impressive at all.\But I won't let you get in my way.\Huh?!\Don't you dare lay a finger on Kagome... response:	I'll take you on!
context: It's coming!\Kagome, are you all right?!\l-I think so.\Not impressive at all.\But I won't let you get in my way.\Huh?!\Don't you dare lay a finger on Kagome...\I'll take you on! response:	So you're still alive?
context: Kagome, are you all right?!\l-I think so.\Not impressive at all.\But I won't let you get in my way.\Huh?!\Don't you dare lay a finger on Kagome...\I'll take you on!\So you're still alive? response:	Mr. Wolf Man, you didn't complete your job.
context: l-I think so.\Not impressive at all.\But I won't let you get in my way.\Huh?!\Don't you dare lay a finger on Kagome...\I'll take you on!\So you're still alive?\Mr. Wolf Man, you didn't complete your job. response:	Inuyasha...
context: Not impressive at all.\But I won't let you get in my way.\Huh?!\Don't you dare lay a finger on Kagome...\I'll take you on!\So you're still alive?\Mr. Wolf Man, you didn't complete your job.\Inuyasha... response:	You want to fight me... in that condition?
context: But I won't let you get in my way.\Huh?!\Don't you dare lay a finger on Kagome...\I'll take you on!\So you're still alive?\Mr. Wolf Man, you didn't complete your job.\Inuyasha...\You want to fight me... in that condition? response:	Lemme tell you this...
context: Huh?!\Don't you dare lay a finger on Kagome...\I'll take you on!\So you're still alive?\Mr. Wolf Man, you didn't complete your job.\Inuyasha...\You want to fight me... in that condition?\Lemme tell you this... response:	I'll show you no mercy!
context: Don't you dare lay a finger on Kagome...\I'll take you on!\So you're still alive?\Mr. Wolf Man, you didn't complete your job.\Inuyasha...\You want to fight me... in that condition?\Lemme tell you this...\I'll show you no mercy! response:	Bathing me in the blood of the Wolf-Demons...
context: I'll take you on!\So you're still alive?\Mr. Wolf Man, you didn't complete your job.\Inuyasha...\You want to fight me... in that condition?\Lemme tell you this...\I'll show you no mercy!\Bathing me in the blood of the Wolf-Demons... response:	and setting that fool on to me wasn't nice at all...
context: So you're still alive?\Mr. Wolf Man, you didn't complete your job.\Inuyasha...\You want to fight me... in that condition?\Lemme tell you this...\I'll show you no mercy!\Bathing me in the blood of the Wolf-Demons...\and setting that fool on to me wasn't nice at all... response:	but what I can't stand more...
context: Mr. Wolf Man, you didn't complete your job.\Inuyasha...\You want to fight me... in that condition?\Lemme tell you this...\I'll show you no mercy!\Bathing me in the blood of the Wolf-Demons...\and setting that fool on to me wasn't nice at all...\but what I can't stand more... response:	is the scent of Naraku that reeks from you!
context: Inuyasha...\You want to fight me... in that condition?\Lemme tell you this...\I'll show you no mercy!\Bathing me in the blood of the Wolf-Demons...\and setting that fool on to me wasn't nice at all...\but what I can't stand more...\is the scent of Naraku that reeks from you! response:	Naraku?
context: You want to fight me... in that condition?\Lemme tell you this...\I'll show you no mercy!\Bathing me in the blood of the Wolf-Demons...\and setting that fool on to me wasn't nice at all...\but what I can't stand more...\is the scent of Naraku that reeks from you!\Naraku? response:	Just the thought of Naraku enables me to move my wounded body!
context: Lemme tell you this...\I'll show you no mercy!\Bathing me in the blood of the Wolf-Demons...\and setting that fool on to me wasn't nice at all...\but what I can't stand more...\is the scent of Naraku that reeks from you!\Naraku?\Just the thought of Naraku enables me to move my wounded body! response:	She thwarted the Tetsusaiga with such little wind power.
context: I'll show you no mercy!\Bathing me in the blood of the Wolf-Demons...\and setting that fool on to me wasn't nice at all...\but what I can't stand more...\is the scent of Naraku that reeks from you!\Naraku?\Just the thought of Naraku enables me to move my wounded body!\She thwarted the Tetsusaiga with such little wind power. response:	With just one arm, I can draw only half its power!
context: Bathing me in the blood of the Wolf-Demons...\and setting that fool on to me wasn't nice at all...\but what I can't stand more...\is the scent of Naraku that reeks from you!\Naraku?\Just the thought of Naraku enables me to move my wounded body!\She thwarted the Tetsusaiga with such little wind power.\With just one arm, I can draw only half its power! response:	I am the Wind Sorceress.
context: and setting that fool on to me wasn't nice at all...\but what I can't stand more...\is the scent of Naraku that reeks from you!\Naraku?\Just the thought of Naraku enables me to move my wounded body!\She thwarted the Tetsusaiga with such little wind power.\With just one arm, I can draw only half its power!\I am the Wind Sorceress. response:	The wind in this castle is under my control.
context: but what I can't stand more...\is the scent of Naraku that reeks from you!\Naraku?\Just the thought of Naraku enables me to move my wounded body!\She thwarted the Tetsusaiga with such little wind power.\With just one arm, I can draw only half its power!\I am the Wind Sorceress.\The wind in this castle is under my control. response:	Dance of the Wind Sword!
context: is the scent of Naraku that reeks from you!\Naraku?\Just the thought of Naraku enables me to move my wounded body!\She thwarted the Tetsusaiga with such little wind power.\With just one arm, I can draw only half its power!\I am the Wind Sorceress.\The wind in this castle is under my control.\Dance of the Wind Sword! response:	This...is her ghostly wind.
context: Naraku?\Just the thought of Naraku enables me to move my wounded body!\She thwarted the Tetsusaiga with such little wind power.\With just one arm, I can draw only half its power!\I am the Wind Sorceress.\The wind in this castle is under my control.\Dance of the Wind Sword!\This...is her ghostly wind. response:	The point where the winds collide... the Wind Scar!
context: Just the thought of Naraku enables me to move my wounded body!\She thwarted the Tetsusaiga with such little wind power.\With just one arm, I can draw only half its power!\I am the Wind Sorceress.\The wind in this castle is under my control.\Dance of the Wind Sword!\This...is her ghostly wind.\The point where the winds collide... the Wind Scar! response:	Where Tetsusaiga can attain its greatest power!
context: She thwarted the Tetsusaiga with such little wind power.\With just one arm, I can draw only half its power!\I am the Wind Sorceress.\The wind in this castle is under my control.\Dance of the Wind Sword!\This...is her ghostly wind.\The point where the winds collide... the Wind Scar!\Where Tetsusaiga can attain its greatest power! response:	If I cut it through... I can destroy her!
context: With just one arm, I can draw only half its power!\I am the Wind Sorceress.\The wind in this castle is under my control.\Dance of the Wind Sword!\This...is her ghostly wind.\The point where the winds collide... the Wind Scar!\Where Tetsusaiga can attain its greatest power!\If I cut it through... I can destroy her! response:	What's happening?!
context: I am the Wind Sorceress.\The wind in this castle is under my control.\Dance of the Wind Sword!\This...is her ghostly wind.\The point where the winds collide... the Wind Scar!\Where Tetsusaiga can attain its greatest power!\If I cut it through... I can destroy her!\What's happening?! response:	What's wrong?
context: The wind in this castle is under my control.\Dance of the Wind Sword!\This...is her ghostly wind.\The point where the winds collide... the Wind Scar!\Where Tetsusaiga can attain its greatest power!\If I cut it through... I can destroy her!\What's happening?!\What's wrong? response:	I can't see the Wind Scar anywhere around Kagura!
context: Dance of the Wind Sword!\This...is her ghostly wind.\The point where the winds collide... the Wind Scar!\Where Tetsusaiga can attain its greatest power!\If I cut it through... I can destroy her!\What's happening?!\What's wrong?\I can't see the Wind Scar anywhere around Kagura! response:	I am the Wind Sorceress.
context: This...is her ghostly wind.\The point where the winds collide... the Wind Scar!\Where Tetsusaiga can attain its greatest power!\If I cut it through... I can destroy her!\What's happening?!\What's wrong?\I can't see the Wind Scar anywhere around Kagura!\I am the Wind Sorceress. response:	The wind in this castle is under my control!
context: The point where the winds collide... the Wind Scar!\Where Tetsusaiga can attain its greatest power!\If I cut it through... I can destroy her!\What's happening?!\What's wrong?\I can't see the Wind Scar anywhere around Kagura!\I am the Wind Sorceress.\The wind in this castle is under my control! response:	That means... my wind is also under her control!
context: Where Tetsusaiga can attain its greatest power!\If I cut it through... I can destroy her!\What's happening?!\What's wrong?\I can't see the Wind Scar anywhere around Kagura!\I am the Wind Sorceress.\The wind in this castle is under my control!\That means... my wind is also under her control! response:	Something's wrong with Inuyasha!
context: If I cut it through... I can destroy her!\What's happening?!\What's wrong?\I can't see the Wind Scar anywhere around Kagura!\I am the Wind Sorceress.\The wind in this castle is under my control!\That means... my wind is also under her control!\Something's wrong with Inuyasha! response:	It's like he can't move his right arm!
context: What's happening?!\What's wrong?\I can't see the Wind Scar anywhere around Kagura!\I am the Wind Sorceress.\The wind in this castle is under my control!\That means... my wind is also under her control!\Something's wrong with Inuyasha!\It's like he can't move his right arm! response:	This time... Hit the target!
context: What's wrong?\I can't see the Wind Scar anywhere around Kagura!\I am the Wind Sorceress.\The wind in this castle is under my control!\That means... my wind is also under her control!\Something's wrong with Inuyasha!\It's like he can't move his right arm!\This time... Hit the target! response:	Where is she aiming?
context: I can't see the Wind Scar anywhere around Kagura!\I am the Wind Sorceress.\The wind in this castle is under my control!\That means... my wind is also under her control!\Something's wrong with Inuyasha!\It's like he can't move his right arm!\This time... Hit the target!\Where is she aiming? response:	Huh?!
context: I am the Wind Sorceress.\The wind in this castle is under my control!\That means... my wind is also under her control!\Something's wrong with Inuyasha!\It's like he can't move his right arm!\This time... Hit the target!\Where is she aiming?\Huh?! response:	Kagome's sacred arrow!
context: The wind in this castle is under my control!\That means... my wind is also under her control!\Something's wrong with Inuyasha!\It's like he can't move his right arm!\This time... Hit the target!\Where is she aiming?\Huh?!\Kagome's sacred arrow! response:	Kagura's ghostly wind is being blown away!
context: That means... my wind is also under her control!\Something's wrong with Inuyasha!\It's like he can't move his right arm!\This time... Hit the target!\Where is she aiming?\Huh?!\Kagome's sacred arrow!\Kagura's ghostly wind is being blown away! response:	All right!
context: Something's wrong with Inuyasha!\It's like he can't move his right arm!\This time... Hit the target!\Where is she aiming?\Huh?!\Kagome's sacred arrow!\Kagura's ghostly wind is being blown away!\All right! response:	There is a way to create the Wind Scar!
context: It's like he can't move his right arm!\This time... Hit the target!\Where is she aiming?\Huh?!\Kagome's sacred arrow!\Kagura's ghostly wind is being blown away!\All right!\There is a way to create the Wind Scar! response:	Stop dallying! Hurry and shoot!
context: This time... Hit the target!\Where is she aiming?\Huh?!\Kagome's sacred arrow!\Kagura's ghostly wind is being blown away!\All right!\There is a way to create the Wind Scar!\Stop dallying! Hurry and shoot! response:	What are you thinking?!
context: Where is she aiming?\Huh?!\Kagome's sacred arrow!\Kagura's ghostly wind is being blown away!\All right!\There is a way to create the Wind Scar!\Stop dallying! Hurry and shoot!\What are you thinking?! response:	Inuyasha, if this arrow hits you...
context: Huh?!\Kagome's sacred arrow!\Kagura's ghostly wind is being blown away!\All right!\There is a way to create the Wind Scar!\Stop dallying! Hurry and shoot!\What are you thinking?!\Inuyasha, if this arrow hits you... response:	even you could die!
context: Kagome's sacred arrow!\Kagura's ghostly wind is being blown away!\All right!\There is a way to create the Wind Scar!\Stop dallying! Hurry and shoot!\What are you thinking?!\Inuyasha, if this arrow hits you...\even you could die! response:	But... I must have faith in Inuyasha!
