context: Once upon a time, there was a man who died. response:	All the stories the man spun came true,
context: I mean, if you wish I want to help Mytho really hard as you write, this time you'll succeed...\Oh, I'm sorry! By this time, I didn't mean your father and mother...\So...\I'm sorry.\Oh, I'm stupid, stupid, STUPID!\Fakir said he'd write it, and yet here I go getting all impatient and saying things like THAT!\Who's there?\What? response:	Fakir-san from the ballet division...
context: Oh, I'm sorry! By this time, I didn't mean your father and mother...\So...\I'm sorry.\Oh, I'm stupid, stupid, STUPID!\Fakir said he'd write it, and yet here I go getting all impatient and saying things like THAT!\Who's there?\What?\Fakir-san from the ballet division... response:	These five books are all you want to check out, then?
context: So...\I'm sorry.\Oh, I'm stupid, stupid, STUPID!\Fakir said he'd write it, and yet here I go getting all impatient and saying things like THAT!\Who's there?\What?\Fakir-san from the ballet division...\These five books are all you want to check out, then? response:	Yeah.
context: I'm sorry.\Oh, I'm stupid, stupid, STUPID!\Fakir said he'd write it, and yet here I go getting all impatient and saying things like THAT!\Who's there?\What?\Fakir-san from the ballet division...\These five books are all you want to check out, then?\Yeah. response:	Oh, yes, and that book over there.
context: Oh, I'm stupid, stupid, STUPID!\Fakir said he'd write it, and yet here I go getting all impatient and saying things like THAT!\Who's there?\What?\Fakir-san from the ballet division...\These five books are all you want to check out, then?\Yeah.\Oh, yes, and that book over there. response:	What?
context: Fakir said he'd write it, and yet here I go getting all impatient and saying things like THAT!\Who's there?\What?\Fakir-san from the ballet division...\These five books are all you want to check out, then?\Yeah.\Oh, yes, and that book over there.\What? response:	I was asked to give it to you if you came.
context: Who's there?\What?\Fakir-san from the ballet division...\These five books are all you want to check out, then?\Yeah.\Oh, yes, and that book over there.\What?\I was asked to give it to you if you came. response:	To me?
context: What?\Fakir-san from the ballet division...\These five books are all you want to check out, then?\Yeah.\Oh, yes, and that book over there.\What?\I was asked to give it to you if you came.\To me? response:	Yes, I remember it was Autor-san from the music division.
context: Fakir-san from the ballet division...\These five books are all you want to check out, then?\Yeah.\Oh, yes, and that book over there.\What?\I was asked to give it to you if you came.\To me?\Yes, I remember it was Autor-san from the music division. response:	I don't know him.
context: These five books are all you want to check out, then?\Yeah.\Oh, yes, and that book over there.\What?\I was asked to give it to you if you came.\To me?\Yes, I remember it was Autor-san from the music division.\I don't know him. response:	Oh, come to think of it... Yes, I'm right.
context: Yeah.\Oh, yes, and that book over there.\What?\I was asked to give it to you if you came.\To me?\Yes, I remember it was Autor-san from the music division.\I don't know him.\Oh, come to think of it... Yes, I'm right. response:	What is it?
context: Oh, yes, and that book over there.\What?\I was asked to give it to you if you came.\To me?\Yes, I remember it was Autor-san from the music division.\I don't know him.\Oh, come to think of it... Yes, I'm right.\What is it? response:	It's nothing, but strangely enough, Autor-san has borrowed all five of these books before.
context: What?\I was asked to give it to you if you came.\To me?\Yes, I remember it was Autor-san from the music division.\I don't know him.\Oh, come to think of it... Yes, I'm right.\What is it?\It's nothing, but strangely enough, Autor-san has borrowed all five of these books before. response:	What?!
context: I was asked to give it to you if you came.\To me?\Yes, I remember it was Autor-san from the music division.\I don't know him.\Oh, come to think of it... Yes, I'm right.\What is it?\It's nothing, but strangely enough, Autor-san has borrowed all five of these books before.\What?! response:	Autor... Who is he?
context: To me?\Yes, I remember it was Autor-san from the music division.\I don't know him.\Oh, come to think of it... Yes, I'm right.\What is it?\It's nothing, but strangely enough, Autor-san has borrowed all five of these books before.\What?!\Autor... Who is he? response:	All right then, everybody, I will pass them out in turn, so please line up.
context: Yes, I remember it was Autor-san from the music division.\I don't know him.\Oh, come to think of it... Yes, I'm right.\What is it?\It's nothing, but strangely enough, Autor-san has borrowed all five of these books before.\What?!\Autor... Who is he?\All right then, everybody, I will pass them out in turn, so please line up. response:	Hey, Ahiru, you're spacing out.
context: I don't know him.\Oh, come to think of it... Yes, I'm right.\What is it?\It's nothing, but strangely enough, Autor-san has borrowed all five of these books before.\What?!\Autor... Who is he?\All right then, everybody, I will pass them out in turn, so please line up.\Hey, Ahiru, you're spacing out. response:	Clara-san.
context: Oh, come to think of it... Yes, I'm right.\What is it?\It's nothing, but strangely enough, Autor-san has borrowed all five of these books before.\What?!\Autor... Who is he?\All right then, everybody, I will pass them out in turn, so please line up.\Hey, Ahiru, you're spacing out.\Clara-san. response:	Yes, sir!
context: What is it?\It's nothing, but strangely enough, Autor-san has borrowed all five of these books before.\What?!\Autor... Who is he?\All right then, everybody, I will pass them out in turn, so please line up.\Hey, Ahiru, you're spacing out.\Clara-san.\Yes, sir! response:	Marie-san.
context: It's nothing, but strangely enough, Autor-san has borrowed all five of these books before.\What?!\Autor... Who is he?\All right then, everybody, I will pass them out in turn, so please line up.\Hey, Ahiru, you're spacing out.\Clara-san.\Yes, sir!\Marie-san. response:	I bet you were so happy you couldn't sleep last night, huh?
context: What?!\Autor... Who is he?\All right then, everybody, I will pass them out in turn, so please line up.\Hey, Ahiru, you're spacing out.\Clara-san.\Yes, sir!\Marie-san.\I bet you were so happy you couldn't sleep last night, huh? response:	Yes, sir!
context: Autor... Who is he?\All right then, everybody, I will pass them out in turn, so please line up.\Hey, Ahiru, you're spacing out.\Clara-san.\Yes, sir!\Marie-san.\I bet you were so happy you couldn't sleep last night, huh?\Yes, sir! response:	Esmeralda-san.
context: All right then, everybody, I will pass them out in turn, so please line up.\Hey, Ahiru, you're spacing out.\Clara-san.\Yes, sir!\Marie-san.\I bet you were so happy you couldn't sleep last night, huh?\Yes, sir!\Esmeralda-san. response:	Huh? Happy about what?
context: Hey, Ahiru, you're spacing out.\Clara-san.\Yes, sir!\Marie-san.\I bet you were so happy you couldn't sleep last night, huh?\Yes, sir!\Esmeralda-san.\Huh? Happy about what? response:	She's always spaced out. But this is only natural!
context: Clara-san.\Yes, sir!\Marie-san.\I bet you were so happy you couldn't sleep last night, huh?\Yes, sir!\Esmeralda-san.\Huh? Happy about what?\She's always spaced out. But this is only natural! response:	After all, today is the first pointe lesson that we've waited so long for!
context: Yes, sir!\Marie-san.\I bet you were so happy you couldn't sleep last night, huh?\Yes, sir!\Esmeralda-san.\Huh? Happy about what?\She's always spaced out. But this is only natural!\After all, today is the first pointe lesson that we've waited so long for! response:	What? Pointe lesson? Is it?
context: Marie-san.\I bet you were so happy you couldn't sleep last night, huh?\Yes, sir!\Esmeralda-san.\Huh? Happy about what?\She's always spaced out. But this is only natural!\After all, today is the first pointe lesson that we've waited so long for!\What? Pointe lesson? Is it? response:	Pointe, what every girl dreams of from the moment she decides to become a ballerina!
context: I bet you were so happy you couldn't sleep last night, huh?\Yes, sir!\Esmeralda-san.\Huh? Happy about what?\She's always spaced out. But this is only natural!\After all, today is the first pointe lesson that we've waited so long for!\What? Pointe lesson? Is it?\Pointe, what every girl dreams of from the moment she decides to become a ballerina! response:	The long-awaited days, when our nails will break and we'll suffer painful blood blisters!
context: Yes, sir!\Esmeralda-san.\Huh? Happy about what?\She's always spaced out. But this is only natural!\After all, today is the first pointe lesson that we've waited so long for!\What? Pointe lesson? Is it?\Pointe, what every girl dreams of from the moment she decides to become a ballerina!\The long-awaited days, when our nails will break and we'll suffer painful blood blisters! response:	Precisely!
context: Esmeralda-san.\Huh? Happy about what?\She's always spaced out. But this is only natural!\After all, today is the first pointe lesson that we've waited so long for!\What? Pointe lesson? Is it?\Pointe, what every girl dreams of from the moment she decides to become a ballerina!\The long-awaited days, when our nails will break and we'll suffer painful blood blisters!\Precisely! response:	And that is exactly why I cannot have you taking the kind of flippant attitude that leads to talking in class!
context: Huh? Happy about what?\She's always spaced out. But this is only natural!\After all, today is the first pointe lesson that we've waited so long for!\What? Pointe lesson? Is it?\Pointe, what every girl dreams of from the moment she decides to become a ballerina!\The long-awaited days, when our nails will break and we'll suffer painful blood blisters!\Precisely!\And that is exactly why I cannot have you taking the kind of flippant attitude that leads to talking in class! response:	Yes, sir!
context: She's always spaced out. But this is only natural!\After all, today is the first pointe lesson that we've waited so long for!\What? Pointe lesson? Is it?\Pointe, what every girl dreams of from the moment she decides to become a ballerina!\The long-awaited days, when our nails will break and we'll suffer painful blood blisters!\Precisely!\And that is exactly why I cannot have you taking the kind of flippant attitude that leads to talking in class!\Yes, sir! response:	Now, Lilie-san. Here are your toe shoes.
context: After all, today is the first pointe lesson that we've waited so long for!\What? Pointe lesson? Is it?\Pointe, what every girl dreams of from the moment she decides to become a ballerina!\The long-awaited days, when our nails will break and we'll suffer painful blood blisters!\Precisely!\And that is exactly why I cannot have you taking the kind of flippant attitude that leads to talking in class!\Yes, sir!\Now, Lilie-san. Here are your toe shoes. response:	Yes, sir!
context: What? Pointe lesson? Is it?\Pointe, what every girl dreams of from the moment she decides to become a ballerina!\The long-awaited days, when our nails will break and we'll suffer painful blood blisters!\Precisely!\And that is exactly why I cannot have you taking the kind of flippant attitude that leads to talking in class!\Yes, sir!\Now, Lilie-san. Here are your toe shoes.\Yes, sir! response:	The moment is finally here!
context: Pointe, what every girl dreams of from the moment she decides to become a ballerina!\The long-awaited days, when our nails will break and we'll suffer painful blood blisters!\Precisely!\And that is exactly why I cannot have you taking the kind of flippant attitude that leads to talking in class!\Yes, sir!\Now, Lilie-san. Here are your toe shoes.\Yes, sir!\The moment is finally here! response:	Toe shoes...
context: The long-awaited days, when our nails will break and we'll suffer painful blood blisters!\Precisely!\And that is exactly why I cannot have you taking the kind of flippant attitude that leads to talking in class!\Yes, sir!\Now, Lilie-san. Here are your toe shoes.\Yes, sir!\The moment is finally here!\Toe shoes... response:	Pike-san.
context: Precisely!\And that is exactly why I cannot have you taking the kind of flippant attitude that leads to talking in class!\Yes, sir!\Now, Lilie-san. Here are your toe shoes.\Yes, sir!\The moment is finally here!\Toe shoes...\Pike-san. response:	Yes, sir!
context: And that is exactly why I cannot have you taking the kind of flippant attitude that leads to talking in class!\Yes, sir!\Now, Lilie-san. Here are your toe shoes.\Yes, sir!\The moment is finally here!\Toe shoes...\Pike-san.\Yes, sir! response:	When I'm Tutu, I can do pointe like it's no big deal, but I wonder if a day will come
context: Yes, sir!\Now, Lilie-san. Here are your toe shoes.\Yes, sir!\The moment is finally here!\Toe shoes...\Pike-san.\Yes, sir!\When I'm Tutu, I can do pointe like it's no big deal, but I wonder if a day will come response:	when I can dance a pas de deux with the prince like that while I'm Ahiru.
context: Now, Lilie-san. Here are your toe shoes.\Yes, sir!\The moment is finally here!\Toe shoes...\Pike-san.\Yes, sir!\When I'm Tutu, I can do pointe like it's no big deal, but I wonder if a day will come\when I can dance a pas de deux with the prince like that while I'm Ahiru. response:	Ahiru-san.
context: Yes, sir!\The moment is finally here!\Toe shoes...\Pike-san.\Yes, sir!\When I'm Tutu, I can do pointe like it's no big deal, but I wonder if a day will come\when I can dance a pas de deux with the prince like that while I'm Ahiru.\Ahiru-san. response:	Yes, sir!
context: The moment is finally here!\Toe shoes...\Pike-san.\Yes, sir!\When I'm Tutu, I can do pointe like it's no big deal, but I wonder if a day will come\when I can dance a pas de deux with the prince like that while I'm Ahiru.\Ahiru-san.\Yes, sir! response:	I am sorry, but I am afraid I cannot give you toe shoes yet.
context: Toe shoes...\Pike-san.\Yes, sir!\When I'm Tutu, I can do pointe like it's no big deal, but I wonder if a day will come\when I can dance a pas de deux with the prince like that while I'm Ahiru.\Ahiru-san.\Yes, sir!\I am sorry, but I am afraid I cannot give you toe shoes yet. response:	What?
context: Pike-san.\Yes, sir!\When I'm Tutu, I can do pointe like it's no big deal, but I wonder if a day will come\when I can dance a pas de deux with the prince like that while I'm Ahiru.\Ahiru-san.\Yes, sir!\I am sorry, but I am afraid I cannot give you toe shoes yet.\What? response:	Lately, you are even more lacking in concentration than you were before.
context: Yes, sir!\When I'm Tutu, I can do pointe like it's no big deal, but I wonder if a day will come\when I can dance a pas de deux with the prince like that while I'm Ahiru.\Ahiru-san.\Yes, sir!\I am sorry, but I am afraid I cannot give you toe shoes yet.\What?\Lately, you are even more lacking in concentration than you were before. response:	It almost seems as though you have lost your eagerness.
context: When I'm Tutu, I can do pointe like it's no big deal, but I wonder if a day will come\when I can dance a pas de deux with the prince like that while I'm Ahiru.\Ahiru-san.\Yes, sir!\I am sorry, but I am afraid I cannot give you toe shoes yet.\What?\Lately, you are even more lacking in concentration than you were before.\It almost seems as though you have lost your eagerness. response:	Is it possible you that have decided you cannot do anything, and so you are not trying to move forward?
context: when I can dance a pas de deux with the prince like that while I'm Ahiru.\Ahiru-san.\Yes, sir!\I am sorry, but I am afraid I cannot give you toe shoes yet.\What?\Lately, you are even more lacking in concentration than you were before.\It almost seems as though you have lost your eagerness.\Is it possible you that have decided you cannot do anything, and so you are not trying to move forward? response:	If I could help Mytho by myself, I wouldn't ask you to do this!
context: Ahiru-san.\Yes, sir!\I am sorry, but I am afraid I cannot give you toe shoes yet.\What?\Lately, you are even more lacking in concentration than you were before.\It almost seems as though you have lost your eagerness.\Is it possible you that have decided you cannot do anything, and so you are not trying to move forward?\If I could help Mytho by myself, I wouldn't ask you to do this! response:	But right now, I can't do anything, so...
context: Yes, sir!\I am sorry, but I am afraid I cannot give you toe shoes yet.\What?\Lately, you are even more lacking in concentration than you were before.\It almost seems as though you have lost your eagerness.\Is it possible you that have decided you cannot do anything, and so you are not trying to move forward?\If I could help Mytho by myself, I wouldn't ask you to do this!\But right now, I can't do anything, so... response:	But what can I do?
context: I am sorry, but I am afraid I cannot give you toe shoes yet.\What?\Lately, you are even more lacking in concentration than you were before.\It almost seems as though you have lost your eagerness.\Is it possible you that have decided you cannot do anything, and so you are not trying to move forward?\If I could help Mytho by myself, I wouldn't ask you to do this!\But right now, I can't do anything, so...\But what can I do? response:	I am worried. I am just so worried.
context: What?\Lately, you are even more lacking in concentration than you were before.\It almost seems as though you have lost your eagerness.\Is it possible you that have decided you cannot do anything, and so you are not trying to move forward?\If I could help Mytho by myself, I wouldn't ask you to do this!\But right now, I can't do anything, so...\But what can I do?\I am worried. I am just so worried. response:	I am afraid you are deliberately being remiss about your lessons because you want to marry me!
context: Lately, you are even more lacking in concentration than you were before.\It almost seems as though you have lost your eagerness.\Is it possible you that have decided you cannot do anything, and so you are not trying to move forward?\If I could help Mytho by myself, I wouldn't ask you to do this!\But right now, I can't do anything, so...\But what can I do?\I am worried. I am just so worried.\I am afraid you are deliberately being remiss about your lessons because you want to marry me! response:	Nonsense!
context: It almost seems as though you have lost your eagerness.\Is it possible you that have decided you cannot do anything, and so you are not trying to move forward?\If I could help Mytho by myself, I wouldn't ask you to do this!\But right now, I can't do anything, so...\But what can I do?\I am worried. I am just so worried.\I am afraid you are deliberately being remiss about your lessons because you want to marry me!\Nonsense! response:	Marrying you is too great an honor; Ahiru would be afraid to even think of it!
context: Is it possible you that have decided you cannot do anything, and so you are not trying to move forward?\If I could help Mytho by myself, I wouldn't ask you to do this!\But right now, I can't do anything, so...\But what can I do?\I am worried. I am just so worried.\I am afraid you are deliberately being remiss about your lessons because you want to marry me!\Nonsense!\Marrying you is too great an honor; Ahiru would be afraid to even think of it! response:	Ahiru-san, watch everyone else's practice today.
context: If I could help Mytho by myself, I wouldn't ask you to do this!\But right now, I can't do anything, so...\But what can I do?\I am worried. I am just so worried.\I am afraid you are deliberately being remiss about your lessons because you want to marry me!\Nonsense!\Marrying you is too great an honor; Ahiru would be afraid to even think of it!\Ahiru-san, watch everyone else's practice today. response:	Yes, sir!
context: But right now, I can't do anything, so...\But what can I do?\I am worried. I am just so worried.\I am afraid you are deliberately being remiss about your lessons because you want to marry me!\Nonsense!\Marrying you is too great an honor; Ahiru would be afraid to even think of it!\Ahiru-san, watch everyone else's practice today.\Yes, sir! response:	This is killing me.
context: But what can I do?\I am worried. I am just so worried.\I am afraid you are deliberately being remiss about your lessons because you want to marry me!\Nonsense!\Marrying you is too great an honor; Ahiru would be afraid to even think of it!\Ahiru-san, watch everyone else's practice today.\Yes, sir!\This is killing me. response:	So this is the pain of pointe...
context: I am worried. I am just so worried.\I am afraid you are deliberately being remiss about your lessons because you want to marry me!\Nonsense!\Marrying you is too great an honor; Ahiru would be afraid to even think of it!\Ahiru-san, watch everyone else's practice today.\Yes, sir!\This is killing me.\So this is the pain of pointe... response:	I want to let Ahiru feel it too.
context: I am afraid you are deliberately being remiss about your lessons because you want to marry me!\Nonsense!\Marrying you is too great an honor; Ahiru would be afraid to even think of it!\Ahiru-san, watch everyone else's practice today.\Yes, sir!\This is killing me.\So this is the pain of pointe...\I want to let Ahiru feel it too. response:	I'm just watching.
