context: Mid-terms response:	Ranking Announcement
context: Maiko gets really good grades!\R-Ruri!\He's always like that, you know.\Irritating as it is...\Huh? Come to think of it, I haven't spotted Tachibana's name yet.\Oh, now that you mention it...\Wonder where she's at?\Knowing her, I bet she's right near the top. response:	185 - Marika Tachibana
context: R-Ruri!\He's always like that, you know.\Irritating as it is...\Huh? Come to think of it, I haven't spotted Tachibana's name yet.\Oh, now that you mention it...\Wonder where she's at?\Knowing her, I bet she's right near the top.\185 - Marika Tachibana response:	Wait, what's up with that?!
context: He's always like that, you know.\Irritating as it is...\Huh? Come to think of it, I haven't spotted Tachibana's name yet.\Oh, now that you mention it...\Wonder where she's at?\Knowing her, I bet she's right near the top.\185 - Marika Tachibana\Wait, what's up with that?! response:	Teach Me
context: Irritating as it is...\Huh? Come to think of it, I haven't spotted Tachibana's name yet.\Oh, now that you mention it...\Wonder where she's at?\Knowing her, I bet she's right near the top.\185 - Marika Tachibana\Wait, what's up with that?!\Teach Me response:	I'm embarrassed to say it,
context: Huh? Come to think of it, I haven't spotted Tachibana's name yet.\Oh, now that you mention it...\Wonder where she's at?\Knowing her, I bet she's right near the top.\185 - Marika Tachibana\Wait, what's up with that?!\Teach Me\I'm embarrassed to say it, response:	but studying has never been my strong suit.
context: Oh, now that you mention it...\Wonder where she's at?\Knowing her, I bet she's right near the top.\185 - Marika Tachibana\Wait, what's up with that?!\Teach Me\I'm embarrassed to say it,\but studying has never been my strong suit. response:	Yeah? Well, who would've thought?
context: Wonder where she's at?\Knowing her, I bet she's right near the top.\185 - Marika Tachibana\Wait, what's up with that?!\Teach Me\I'm embarrassed to say it,\but studying has never been my strong suit.\Yeah? Well, who would've thought? response:	You seem like the type who'd have no trouble with that kind of thing.
context: Knowing her, I bet she's right near the top.\185 - Marika Tachibana\Wait, what's up with that?!\Teach Me\I'm embarrassed to say it,\but studying has never been my strong suit.\Yeah? Well, who would've thought?\You seem like the type who'd have no trouble with that kind of thing. response:	To be honest, I have zero motivation.
context: 185 - Marika Tachibana\Wait, what's up with that?!\Teach Me\I'm embarrassed to say it,\but studying has never been my strong suit.\Yeah? Well, who would've thought?\You seem like the type who'd have no trouble with that kind of thing.\To be honest, I have zero motivation. response:	You really are being honest there!
context: Wait, what's up with that?!\Teach Me\I'm embarrassed to say it,\but studying has never been my strong suit.\Yeah? Well, who would've thought?\You seem like the type who'd have no trouble with that kind of thing.\To be honest, I have zero motivation.\You really are being honest there! response:	For a long time, in order to become your bride, Master Raku...
context: Teach Me\I'm embarrassed to say it,\but studying has never been my strong suit.\Yeah? Well, who would've thought?\You seem like the type who'd have no trouble with that kind of thing.\To be honest, I have zero motivation.\You really are being honest there!\For a long time, in order to become your bride, Master Raku... response:	all my efforts have gone into various lessons,
context: I'm embarrassed to say it,\but studying has never been my strong suit.\Yeah? Well, who would've thought?\You seem like the type who'd have no trouble with that kind of thing.\To be honest, I have zero motivation.\You really are being honest there!\For a long time, in order to become your bride, Master Raku...\all my efforts have gone into various lessons, response:	and how to become as attractive a woman as possible!
context: but studying has never been my strong suit.\Yeah? Well, who would've thought?\You seem like the type who'd have no trouble with that kind of thing.\To be honest, I have zero motivation.\You really are being honest there!\For a long time, in order to become your bride, Master Raku...\all my efforts have gone into various lessons,\and how to become as attractive a woman as possible! response:	I wish you wouldn't just blurt out stuff that makes us all freeze!
context: Yeah? Well, who would've thought?\You seem like the type who'd have no trouble with that kind of thing.\To be honest, I have zero motivation.\You really are being honest there!\For a long time, in order to become your bride, Master Raku...\all my efforts have gone into various lessons,\and how to become as attractive a woman as possible!\I wish you wouldn't just blurt out stuff that makes us all freeze! response:	Yeah, but you can't just keep hanging on with grades like these, can you?
context: You seem like the type who'd have no trouble with that kind of thing.\To be honest, I have zero motivation.\You really are being honest there!\For a long time, in order to become your bride, Master Raku...\all my efforts have gone into various lessons,\and how to become as attractive a woman as possible!\I wish you wouldn't just blurt out stuff that makes us all freeze!\Yeah, but you can't just keep hanging on with grades like these, can you? response:	You could end up getting held back.
context: To be honest, I have zero motivation.\You really are being honest there!\For a long time, in order to become your bride, Master Raku...\all my efforts have gone into various lessons,\and how to become as attractive a woman as possible!\I wish you wouldn't just blurt out stuff that makes us all freeze!\Yeah, but you can't just keep hanging on with grades like these, can you?\You could end up getting held back. response:	The teacher said if I got below 40 points on my next math test, I'd have to re-take it.
context: You really are being honest there!\For a long time, in order to become your bride, Master Raku...\all my efforts have gone into various lessons,\and how to become as attractive a woman as possible!\I wish you wouldn't just blurt out stuff that makes us all freeze!\Yeah, but you can't just keep hanging on with grades like these, can you?\You could end up getting held back.\The teacher said if I got below 40 points on my next math test, I'd have to re-take it. response:	I know, Master Raku!
context: For a long time, in order to become your bride, Master Raku...\all my efforts have gone into various lessons,\and how to become as attractive a woman as possible!\I wish you wouldn't just blurt out stuff that makes us all freeze!\Yeah, but you can't just keep hanging on with grades like these, can you?\You could end up getting held back.\The teacher said if I got below 40 points on my next math test, I'd have to re-take it.\I know, Master Raku! response:	If you don't mind, could you tutor me at my home after school?
context: all my efforts have gone into various lessons,\and how to become as attractive a woman as possible!\I wish you wouldn't just blurt out stuff that makes us all freeze!\Yeah, but you can't just keep hanging on with grades like these, can you?\You could end up getting held back.\The teacher said if I got below 40 points on my next math test, I'd have to re-take it.\I know, Master Raku!\If you don't mind, could you tutor me at my home after school? response:	Hey, what are you talking about?
context: and how to become as attractive a woman as possible!\I wish you wouldn't just blurt out stuff that makes us all freeze!\Yeah, but you can't just keep hanging on with grades like these, can you?\You could end up getting held back.\The teacher said if I got below 40 points on my next math test, I'd have to re-take it.\I know, Master Raku!\If you don't mind, could you tutor me at my home after school?\Hey, what are you talking about? response:	Can't you study by yourself?
context: I wish you wouldn't just blurt out stuff that makes us all freeze!\Yeah, but you can't just keep hanging on with grades like these, can you?\You could end up getting held back.\The teacher said if I got below 40 points on my next math test, I'd have to re-take it.\I know, Master Raku!\If you don't mind, could you tutor me at my home after school?\Hey, what are you talking about?\Can't you study by yourself? response:	I'll thank you not to underestimate my ineptitude!
context: Yeah, but you can't just keep hanging on with grades like these, can you?\You could end up getting held back.\The teacher said if I got below 40 points on my next math test, I'd have to re-take it.\I know, Master Raku!\If you don't mind, could you tutor me at my home after school?\Hey, what are you talking about?\Can't you study by yourself?\I'll thank you not to underestimate my ineptitude! response:	I can't possibly improve my grades without someone's guidance!
context: You could end up getting held back.\The teacher said if I got below 40 points on my next math test, I'd have to re-take it.\I know, Master Raku!\If you don't mind, could you tutor me at my home after school?\Hey, what are you talking about?\Can't you study by yourself?\I'll thank you not to underestimate my ineptitude!\I can't possibly improve my grades without someone's guidance! response:	What's with the attitude?
context: The teacher said if I got below 40 points on my next math test, I'd have to re-take it.\I know, Master Raku!\If you don't mind, could you tutor me at my home after school?\Hey, what are you talking about?\Can't you study by yourself?\I'll thank you not to underestimate my ineptitude!\I can't possibly improve my grades without someone's guidance!\What's with the attitude? response:	Oh, is that so?
context: I know, Master Raku!\If you don't mind, could you tutor me at my home after school?\Hey, what are you talking about?\Can't you study by yourself?\I'll thank you not to underestimate my ineptitude!\I can't possibly improve my grades without someone's guidance!\What's with the attitude?\Oh, is that so? response:	In that case, why don't I tutor you myself?
context: If you don't mind, could you tutor me at my home after school?\Hey, what are you talking about?\Can't you study by yourself?\I'll thank you not to underestimate my ineptitude!\I can't possibly improve my grades without someone's guidance!\What's with the attitude?\Oh, is that so?\In that case, why don't I tutor you myself? response:	I'm sure it's more fitting for someone ranked No. 5 like me!
context: Hey, what are you talking about?\Can't you study by yourself?\I'll thank you not to underestimate my ineptitude!\I can't possibly improve my grades without someone's guidance!\What's with the attitude?\Oh, is that so?\In that case, why don't I tutor you myself?\I'm sure it's more fitting for someone ranked No. 5 like me! response:	Oh, surely you jest.
context: Can't you study by yourself?\I'll thank you not to underestimate my ineptitude!\I can't possibly improve my grades without someone's guidance!\What's with the attitude?\Oh, is that so?\In that case, why don't I tutor you myself?\I'm sure it's more fitting for someone ranked No. 5 like me!\Oh, surely you jest. response:	You don't seem like you know the first thing about teaching others, Kirisaki!
context: I'll thank you not to underestimate my ineptitude!\I can't possibly improve my grades without someone's guidance!\What's with the attitude?\Oh, is that so?\In that case, why don't I tutor you myself?\I'm sure it's more fitting for someone ranked No. 5 like me!\Oh, surely you jest.\You don't seem like you know the first thing about teaching others, Kirisaki! response:	Come now, Master Raku!
context: I can't possibly improve my grades without someone's guidance!\What's with the attitude?\Oh, is that so?\In that case, why don't I tutor you myself?\I'm sure it's more fitting for someone ranked No. 5 like me!\Oh, surely you jest.\You don't seem like you know the first thing about teaching others, Kirisaki!\Come now, Master Raku! response:	You don't mind, do you?
context: What's with the attitude?\Oh, is that so?\In that case, why don't I tutor you myself?\I'm sure it's more fitting for someone ranked No. 5 like me!\Oh, surely you jest.\You don't seem like you know the first thing about teaching others, Kirisaki!\Come now, Master Raku!\You don't mind, do you? response:	Since my father won't be coming home tonight,
context: Oh, is that so?\In that case, why don't I tutor you myself?\I'm sure it's more fitting for someone ranked No. 5 like me!\Oh, surely you jest.\You don't seem like you know the first thing about teaching others, Kirisaki!\Come now, Master Raku!\You don't mind, do you?\Since my father won't be coming home tonight, response:	we should be able to study to our heart's content till daybreak!
context: In that case, why don't I tutor you myself?\I'm sure it's more fitting for someone ranked No. 5 like me!\Oh, surely you jest.\You don't seem like you know the first thing about teaching others, Kirisaki!\Come now, Master Raku!\You don't mind, do you?\Since my father won't be coming home tonight,\we should be able to study to our heart's content till daybreak! response:	Till daybreak?!
context: I'm sure it's more fitting for someone ranked No. 5 like me!\Oh, surely you jest.\You don't seem like you know the first thing about teaching others, Kirisaki!\Come now, Master Raku!\You don't mind, do you?\Since my father won't be coming home tonight,\we should be able to study to our heart's content till daybreak!\Till daybreak?! response:	Hey, hey, let's not get ahead of ourselves, okay?
context: Oh, surely you jest.\You don't seem like you know the first thing about teaching others, Kirisaki!\Come now, Master Raku!\You don't mind, do you?\Since my father won't be coming home tonight,\we should be able to study to our heart's content till daybreak!\Till daybreak?!\Hey, hey, let's not get ahead of ourselves, okay? response:	Look, I don't mind helping you out with your schoolwork...
context: You don't seem like you know the first thing about teaching others, Kirisaki!\Come now, Master Raku!\You don't mind, do you?\Since my father won't be coming home tonight,\we should be able to study to our heart's content till daybreak!\Till daybreak?!\Hey, hey, let's not get ahead of ourselves, okay?\Look, I don't mind helping you out with your schoolwork... response:	But spending the night is going overboard, don't you think?
context: Come now, Master Raku!\You don't mind, do you?\Since my father won't be coming home tonight,\we should be able to study to our heart's content till daybreak!\Till daybreak?!\Hey, hey, let's not get ahead of ourselves, okay?\Look, I don't mind helping you out with your schoolwork...\But spending the night is going overboard, don't you think? response:	Oh, no, regarding that...
context: You don't mind, do you?\Since my father won't be coming home tonight,\we should be able to study to our heart's content till daybreak!\Till daybreak?!\Hey, hey, let's not get ahead of ourselves, okay?\Look, I don't mind helping you out with your schoolwork...\But spending the night is going overboard, don't you think?\Oh, no, regarding that... response:	Since the math test is tomorrow...
context: Since my father won't be coming home tonight,\we should be able to study to our heart's content till daybreak!\Till daybreak?!\Hey, hey, let's not get ahead of ourselves, okay?\Look, I don't mind helping you out with your schoolwork...\But spending the night is going overboard, don't you think?\Oh, no, regarding that...\Since the math test is tomorrow... response:	Please help me.
context: we should be able to study to our heart's content till daybreak!\Till daybreak?!\Hey, hey, let's not get ahead of ourselves, okay?\Look, I don't mind helping you out with your schoolwork...\But spending the night is going overboard, don't you think?\Oh, no, regarding that...\Since the math test is tomorrow...\Please help me. response:	Was it tomorrow?
context: Till daybreak?!\Hey, hey, let's not get ahead of ourselves, okay?\Look, I don't mind helping you out with your schoolwork...\But spending the night is going overboard, don't you think?\Oh, no, regarding that...\Since the math test is tomorrow...\Please help me.\Was it tomorrow? response:	Yes, it is!
context: Hey, hey, let's not get ahead of ourselves, okay?\Look, I don't mind helping you out with your schoolwork...\But spending the night is going overboard, don't you think?\Oh, no, regarding that...\Since the math test is tomorrow...\Please help me.\Was it tomorrow?\Yes, it is! response:	You'd forgotten?
context: Look, I don't mind helping you out with your schoolwork...\But spending the night is going overboard, don't you think?\Oh, no, regarding that...\Since the math test is tomorrow...\Please help me.\Was it tomorrow?\Yes, it is!\You'd forgotten? response:	So...
context: But spending the night is going overboard, don't you think?\Oh, no, regarding that...\Since the math test is tomorrow...\Please help me.\Was it tomorrow?\Yes, it is!\You'd forgotten?\So... response:	Why is Kirisaki tagging along, too?
context: Oh, no, regarding that...\Since the math test is tomorrow...\Please help me.\Was it tomorrow?\Yes, it is!\You'd forgotten?\So...\Why is Kirisaki tagging along, too? response:	All you're doing is having friends over to study for a test,
context: Since the math test is tomorrow...\Please help me.\Was it tomorrow?\Yes, it is!\You'd forgotten?\So...\Why is Kirisaki tagging along, too?\All you're doing is having friends over to study for a test, response:	so what's wrong with me being around, I wonder?
context: Please help me.\Was it tomorrow?\Yes, it is!\You'd forgotten?\So...\Why is Kirisaki tagging along, too?\All you're doing is having friends over to study for a test,\so what's wrong with me being around, I wonder? response:	There's nothing wrong with it, really.
context: Was it tomorrow?\Yes, it is!\You'd forgotten?\So...\Why is Kirisaki tagging along, too?\All you're doing is having friends over to study for a test,\so what's wrong with me being around, I wonder?\There's nothing wrong with it, really. response:	But if I may be blunt... you're like a third wheel, should I say?
context: Yes, it is!\You'd forgotten?\So...\Why is Kirisaki tagging along, too?\All you're doing is having friends over to study for a test,\so what's wrong with me being around, I wonder?\There's nothing wrong with it, really.\But if I may be blunt... you're like a third wheel, should I say? response:	You don't have to be blunt about that kind of thing!
context: You'd forgotten?\So...\Why is Kirisaki tagging along, too?\All you're doing is having friends over to study for a test,\so what's wrong with me being around, I wonder?\There's nothing wrong with it, really.\But if I may be blunt... you're like a third wheel, should I say?\You don't have to be blunt about that kind of thing! response:	Well, I'm glad you're here.
context: So...\Why is Kirisaki tagging along, too?\All you're doing is having friends over to study for a test,\so what's wrong with me being around, I wonder?\There's nothing wrong with it, really.\But if I may be blunt... you're like a third wheel, should I say?\You don't have to be blunt about that kind of thing!\Well, I'm glad you're here. response:	Come on, get ready to study, will you?
context: Why is Kirisaki tagging along, too?\All you're doing is having friends over to study for a test,\so what's wrong with me being around, I wonder?\There's nothing wrong with it, really.\But if I may be blunt... you're like a third wheel, should I say?\You don't have to be blunt about that kind of thing!\Well, I'm glad you're here.\Come on, get ready to study, will you? response:	We'll help you with whatever you don't understand.
context: All you're doing is having friends over to study for a test,\so what's wrong with me being around, I wonder?\There's nothing wrong with it, really.\But if I may be blunt... you're like a third wheel, should I say?\You don't have to be blunt about that kind of thing!\Well, I'm glad you're here.\Come on, get ready to study, will you?\We'll help you with whatever you don't understand. response:	It's not as if you're going to be the one to teach me.
context: so what's wrong with me being around, I wonder?\There's nothing wrong with it, really.\But if I may be blunt... you're like a third wheel, should I say?\You don't have to be blunt about that kind of thing!\Well, I'm glad you're here.\Come on, get ready to study, will you?\We'll help you with whatever you don't understand.\It's not as if you're going to be the one to teach me. response:	Oh, never mind.
context: There's nothing wrong with it, really.\But if I may be blunt... you're like a third wheel, should I say?\You don't have to be blunt about that kind of thing!\Well, I'm glad you're here.\Come on, get ready to study, will you?\We'll help you with whatever you don't understand.\It's not as if you're going to be the one to teach me.\Oh, never mind. response:	All right, I'll start then.
context: But if I may be blunt... you're like a third wheel, should I say?\You don't have to be blunt about that kind of thing!\Well, I'm glad you're here.\Come on, get ready to study, will you?\We'll help you with whatever you don't understand.\It's not as if you're going to be the one to teach me.\Oh, never mind.\All right, I'll start then. response:	Master Raku!
context: You don't have to be blunt about that kind of thing!\Well, I'm glad you're here.\Come on, get ready to study, will you?\We'll help you with whatever you don't understand.\It's not as if you're going to be the one to teach me.\Oh, never mind.\All right, I'll start then.\Master Raku! response:	I don't understand this problem!
context: Well, I'm glad you're here.\Come on, get ready to study, will you?\We'll help you with whatever you don't understand.\It's not as if you're going to be the one to teach me.\Oh, never mind.\All right, I'll start then.\Master Raku!\I don't understand this problem! response:	Heave-ho!
context: Come on, get ready to study, will you?\We'll help you with whatever you don't understand.\It's not as if you're going to be the one to teach me.\Oh, never mind.\All right, I'll start then.\Master Raku!\I don't understand this problem!\Heave-ho! response:	No more fooling around!
context: We'll help you with whatever you don't understand.\It's not as if you're going to be the one to teach me.\Oh, never mind.\All right, I'll start then.\Master Raku!\I don't understand this problem!\Heave-ho!\No more fooling around! response:	You don't have to glom onto him to learn, do you?
context: It's not as if you're going to be the one to teach me.\Oh, never mind.\All right, I'll start then.\Master Raku!\I don't understand this problem!\Heave-ho!\No more fooling around!\You don't have to glom onto him to learn, do you? response:	But I would learn faster if I was next to him...
context: Oh, never mind.\All right, I'll start then.\Master Raku!\I don't understand this problem!\Heave-ho!\No more fooling around!\You don't have to glom onto him to learn, do you?\But I would learn faster if I was next to him... response:	Man, thank goodness she's here, too.
context: All right, I'll start then.\Master Raku!\I don't understand this problem!\Heave-ho!\No more fooling around!\You don't have to glom onto him to learn, do you?\But I would learn faster if I was next to him...\Man, thank goodness she's here, too. response:	So...
context: Master Raku!\I don't understand this problem!\Heave-ho!\No more fooling around!\You don't have to glom onto him to learn, do you?\But I would learn faster if I was next to him...\Man, thank goodness she's here, too.\So... response:	Which part don't you get?
context: I don't understand this problem!\Heave-ho!\No more fooling around!\You don't have to glom onto him to learn, do you?\But I would learn faster if I was next to him...\Man, thank goodness she's here, too.\So...\Which part don't you get? response:	Oh, factorization, huh?
context: Heave-ho!\No more fooling around!\You don't have to glom onto him to learn, do you?\But I would learn faster if I was next to him...\Man, thank goodness she's here, too.\So...\Which part don't you get?\Oh, factorization, huh? response:	Listen up. For this, you go like this...
context: No more fooling around!\You don't have to glom onto him to learn, do you?\But I would learn faster if I was next to him...\Man, thank goodness she's here, too.\So...\Which part don't you get?\Oh, factorization, huh?\Listen up. For this, you go like this... response:	Ah, I see!
context: You don't have to glom onto him to learn, do you?\But I would learn faster if I was next to him...\Man, thank goodness she's here, too.\So...\Which part don't you get?\Oh, factorization, huh?\Listen up. For this, you go like this...\Ah, I see! response:	I think I understand it just a little bit better now.
context: But I would learn faster if I was next to him...\Man, thank goodness she's here, too.\So...\Which part don't you get?\Oh, factorization, huh?\Listen up. For this, you go like this...\Ah, I see!\I think I understand it just a little bit better now. response:	In other words, if this a is me,
context: Man, thank goodness she's here, too.\So...\Which part don't you get?\Oh, factorization, huh?\Listen up. For this, you go like this...\Ah, I see!\I think I understand it just a little bit better now.\In other words, if this a is me, response:	the b is you, Master Raku, and the x is Kirisaki...
context: So...\Which part don't you get?\Oh, factorization, huh?\Listen up. For this, you go like this...\Ah, I see!\I think I understand it just a little bit better now.\In other words, if this a is me,\the b is you, Master Raku, and the x is Kirisaki... response:	Then all I have to do is lock out just the x, like this!
context: Which part don't you get?\Oh, factorization, huh?\Listen up. For this, you go like this...\Ah, I see!\I think I understand it just a little bit better now.\In other words, if this a is me,\the b is you, Master Raku, and the x is Kirisaki...\Then all I have to do is lock out just the x, like this! response:	Hey, you!
context: Oh, factorization, huh?\Listen up. For this, you go like this...\Ah, I see!\I think I understand it just a little bit better now.\In other words, if this a is me,\the b is you, Master Raku, and the x is Kirisaki...\Then all I have to do is lock out just the x, like this!\Hey, you! response:	That pisses me off, so don't memorize it that way!
context: Listen up. For this, you go like this...\Ah, I see!\I think I understand it just a little bit better now.\In other words, if this a is me,\the b is you, Master Raku, and the x is Kirisaki...\Then all I have to do is lock out just the x, like this!\Hey, you!\That pisses me off, so don't memorize it that way! response:	Modern Japanese
context: Ah, I see!\I think I understand it just a little bit better now.\In other words, if this a is me,\the b is you, Master Raku, and the x is Kirisaki...\Then all I have to do is lock out just the x, like this!\Hey, you!\That pisses me off, so don't memorize it that way!\Modern Japanese response:	Now, then, Master Raku!
context: I think I understand it just a little bit better now.\In other words, if this a is me,\the b is you, Master Raku, and the x is Kirisaki...\Then all I have to do is lock out just the x, like this!\Hey, you!\That pisses me off, so don't memorize it that way!\Modern Japanese\Now, then, Master Raku! response:	Would you mind showing me how to do this, next?
context: In other words, if this a is me,\the b is you, Master Raku, and the x is Kirisaki...\Then all I have to do is lock out just the x, like this!\Hey, you!\That pisses me off, so don't memorize it that way!\Modern Japanese\Now, then, Master Raku!\Would you mind showing me how to do this, next? response:	Modern Japanese? What about math?
context: the b is you, Master Raku, and the x is Kirisaki...\Then all I have to do is lock out just the x, like this!\Hey, you!\That pisses me off, so don't memorize it that way!\Modern Japanese\Now, then, Master Raku!\Would you mind showing me how to do this, next?\Modern Japanese? What about math? response:	I want to know how this lady feels, waiting for her husband's return in this chapter...
context: Then all I have to do is lock out just the x, like this!\Hey, you!\That pisses me off, so don't memorize it that way!\Modern Japanese\Now, then, Master Raku!\Would you mind showing me how to do this, next?\Modern Japanese? What about math?\I want to know how this lady feels, waiting for her husband's return in this chapter... response:	Well, let's see...
context: Hey, you!\That pisses me off, so don't memorize it that way!\Modern Japanese\Now, then, Master Raku!\Would you mind showing me how to do this, next?\Modern Japanese? What about math?\I want to know how this lady feels, waiting for her husband's return in this chapter...\Well, let's see... response:	Here, she's... See, she's not just waiting.
context: That pisses me off, so don't memorize it that way!\Modern Japanese\Now, then, Master Raku!\Would you mind showing me how to do this, next?\Modern Japanese? What about math?\I want to know how this lady feels, waiting for her husband's return in this chapter...\Well, let's see...\Here, she's... See, she's not just waiting. response:	She's about to go off and see him herself, so...
