context: Ashirogi Muto response:	Ashirogi Muto
context: Future Watch\Ashirogi Muto (18), Saitama\9 Byou 12 (9.12 Seconds)\Sasamura Kazuhi (22), Hokkaidou\thirteen soccer\Arikita Taichi (30), Chiba\take up north\Tanaka Mitsuko (21), Fukushima response:	Uragaeshi Chebuu) (Upside-Down Chebuu)
context: Ashirogi Muto (18), Saitama\9 Byou 12 (9.12 Seconds)\Sasamura Kazuhi (22), Hokkaidou\thirteen soccer\Arikita Taichi (30), Chiba\take up north\Tanaka Mitsuko (21), Fukushima\Uragaeshi Chebuu) (Upside-Down Chebuu) response:	Oranda Kazuo (28), Tokyo
context: 9 Byou 12 (9.12 Seconds)\Sasamura Kazuhi (22), Hokkaidou\thirteen soccer\Arikita Taichi (30), Chiba\take up north\Tanaka Mitsuko (21), Fukushima\Uragaeshi Chebuu) (Upside-Down Chebuu)\Oranda Kazuo (28), Tokyo response:	MEMORY BLUE
context: Sasamura Kazuhi (22), Hokkaidou\thirteen soccer\Arikita Taichi (30), Chiba\take up north\Tanaka Mitsuko (21), Fukushima\Uragaeshi Chebuu) (Upside-Down Chebuu)\Oranda Kazuo (28), Tokyo\MEMORY BLUE response:	Toa Kota (14), Iwate
context: thirteen soccer\Arikita Taichi (30), Chiba\take up north\Tanaka Mitsuko (21), Fukushima\Uragaeshi Chebuu) (Upside-Down Chebuu)\Oranda Kazuo (28), Tokyo\MEMORY BLUE\Toa Kota (14), Iwate response:	Tobu Yuusha (Flying Hero)
context: Arikita Taichi (30), Chiba\take up north\Tanaka Mitsuko (21), Fukushima\Uragaeshi Chebuu) (Upside-Down Chebuu)\Oranda Kazuo (28), Tokyo\MEMORY BLUE\Toa Kota (14), Iwate\Tobu Yuusha (Flying Hero) response:	Yoshida Maruo (17), Kanagawa
context: take up north\Tanaka Mitsuko (21), Fukushima\Uragaeshi Chebuu) (Upside-Down Chebuu)\Oranda Kazuo (28), Tokyo\MEMORY BLUE\Toa Kota (14), Iwate\Tobu Yuusha (Flying Hero)\Yoshida Maruo (17), Kanagawa response:	Me group
context: Tanaka Mitsuko (21), Fukushima\Uragaeshi Chebuu) (Upside-Down Chebuu)\Oranda Kazuo (28), Tokyo\MEMORY BLUE\Toa Kota (14), Iwate\Tobu Yuusha (Flying Hero)\Yoshida Maruo (17), Kanagawa\Me group response:	Mata Kouichi (19) Tokyo
context: Uragaeshi Chebuu) (Upside-Down Chebuu)\Oranda Kazuo (28), Tokyo\MEMORY BLUE\Toa Kota (14), Iwate\Tobu Yuusha (Flying Hero)\Yoshida Maruo (17), Kanagawa\Me group\Mata Kouichi (19) Tokyo response:	Shapon (The End of Japan)
context: Oranda Kazuo (28), Tokyo\MEMORY BLUE\Toa Kota (14), Iwate\Tobu Yuusha (Flying Hero)\Yoshida Maruo (17), Kanagawa\Me group\Mata Kouichi (19) Tokyo\Shapon (The End of Japan) response:	Shizuka Ryuu (18), Saitama
context: MEMORY BLUE\Toa Kota (14), Iwate\Tobu Yuusha (Flying Hero)\Yoshida Maruo (17), Kanagawa\Me group\Mata Kouichi (19) Tokyo\Shapon (The End of Japan)\Shizuka Ryuu (18), Saitama response:	Boring
context: Toa Kota (14), Iwate\Tobu Yuusha (Flying Hero)\Yoshida Maruo (17), Kanagawa\Me group\Mata Kouichi (19) Tokyo\Shapon (The End of Japan)\Shizuka Ryuu (18), Saitama\Boring response:	Extremely interesting!!
context: Tobu Yuusha (Flying Hero)\Yoshida Maruo (17), Kanagawa\Me group\Mata Kouichi (19) Tokyo\Shapon (The End of Japan)\Shizuka Ryuu (18), Saitama\Boring\Extremely interesting!! response:	Boring
context: Yoshida Maruo (17), Kanagawa\Me group\Mata Kouichi (19) Tokyo\Shapon (The End of Japan)\Shizuka Ryuu (18), Saitama\Boring\Extremely interesting!!\Boring response:	Boring
context: Me group\Mata Kouichi (19) Tokyo\Shapon (The End of Japan)\Shizuka Ryuu (18), Saitama\Boring\Extremely interesting!!\Boring\Boring response:	Boring
context: Mata Kouichi (19) Tokyo\Shapon (The End of Japan)\Shizuka Ryuu (18), Saitama\Boring\Extremely interesting!!\Boring\Boring\Boring response:	Boring
context: Shapon (The End of Japan)\Shizuka Ryuu (18), Saitama\Boring\Extremely interesting!!\Boring\Boring\Boring\Boring response:	Ditto
context: Shizuka Ryuu (18), Saitama\Boring\Extremely interesting!!\Boring\Boring\Boring\Boring\Ditto response:	Ditto
context: Boring\Extremely interesting!!\Boring\Boring\Boring\Boring\Ditto\Ditto response:	Though that's a bit unexciting.
context: Extremely interesting!!\Boring\Boring\Boring\Boring\Ditto\Ditto\Though that's a bit unexciting. response:	Yuueisha
context: Boring\Boring\Boring\Boring\Ditto\Ditto\Though that's a bit unexciting.\Yuueisha response:	Entrance Ceremony
context: Boring\Boring\Boring\Ditto\Ditto\Though that's a bit unexciting.\Yuueisha\Entrance Ceremony response:	Accepting Newcomers
context: Boring\Boring\Ditto\Ditto\Though that's a bit unexciting.\Yuueisha\Entrance Ceremony\Accepting Newcomers response:	Anime
context: Boring\Ditto\Ditto\Though that's a bit unexciting.\Yuueisha\Entrance Ceremony\Accepting Newcomers\Anime response:	Manga
context: Ditto\Ditto\Though that's a bit unexciting.\Yuueisha\Entrance Ceremony\Accepting Newcomers\Anime\Manga response:	Research Society
context: Ditto\Though that's a bit unexciting.\Yuueisha\Entrance Ceremony\Accepting Newcomers\Anime\Manga\Research Society response:	Works on display
context: Though that's a bit unexciting.\Yuueisha\Entrance Ceremony\Accepting Newcomers\Anime\Manga\Research Society\Works on display response:	Hey, hey, wanna go get some ramen?
context: Yuueisha\Entrance Ceremony\Accepting Newcomers\Anime\Manga\Research Society\Works on display\Hey, hey, wanna go get some ramen? response:	Well if I had to make a choice, I'd rather have soba...
context: Entrance Ceremony\Accepting Newcomers\Anime\Manga\Research Society\Works on display\Hey, hey, wanna go get some ramen?\Well if I had to make a choice, I'd rather have soba... response:	April 17th Tuesday
context: Accepting Newcomers\Anime\Manga\Research Society\Works on display\Hey, hey, wanna go get some ramen?\Well if I had to make a choice, I'd rather have soba...\April 17th Tuesday response:	Day of the Serialization Meeting
context: Anime\Manga\Research Society\Works on display\Hey, hey, wanna go get some ramen?\Well if I had to make a choice, I'd rather have soba...\April 17th Tuesday\Day of the Serialization Meeting response:	Yuueisha
context: Manga\Research Society\Works on display\Hey, hey, wanna go get some ramen?\Well if I had to make a choice, I'd rather have soba...\April 17th Tuesday\Day of the Serialization Meeting\Yuueisha response:	Incoming Call
context: Research Society\Works on display\Hey, hey, wanna go get some ramen?\Well if I had to make a choice, I'd rather have soba...\April 17th Tuesday\Day of the Serialization Meeting\Yuueisha\Incoming Call response:	Takahama Shouyou
context: Works on display\Hey, hey, wanna go get some ramen?\Well if I had to make a choice, I'd rather have soba...\April 17th Tuesday\Day of the Serialization Meeting\Yuueisha\Incoming Call\Takahama Shouyou response:	Yuueisha
context: Hey, hey, wanna go get some ramen?\Well if I had to make a choice, I'd rather have soba...\April 17th Tuesday\Day of the Serialization Meeting\Yuueisha\Incoming Call\Takahama Shouyou\Yuueisha response:	Incoming Call
context: Well if I had to make a choice, I'd rather have soba...\April 17th Tuesday\Day of the Serialization Meeting\Yuueisha\Incoming Call\Takahama Shouyou\Yuueisha\Incoming Call response:	Takahama
context: April 17th Tuesday\Day of the Serialization Meeting\Yuueisha\Incoming Call\Takahama Shouyou\Yuueisha\Incoming Call\Takahama response:	May 28th, Monday
context: Day of the Serialization Meeting\Yuueisha\Incoming Call\Takahama Shouyou\Yuueisha\Incoming Call\Takahama\May 28th, Monday response:	Special 45-Page One-Shot
context: Yuueisha\Incoming Call\Takahama Shouyou\Yuueisha\Incoming Call\Takahama\May 28th, Monday\Special 45-Page One-Shot response:	TEN Ashirogi Muto
context: Incoming Call\Takahama Shouyou\Yuueisha\Incoming Call\Takahama\May 28th, Monday\Special 45-Page One-Shot\TEN Ashirogi Muto response:	June 1st, Friday
context: Takahama Shouyou\Yuueisha\Incoming Call\Takahama\May 28th, Monday\Special 45-Page One-Shot\TEN Ashirogi Muto\June 1st, Friday response:	June 8th Friday
context: Yuueisha\Incoming Call\Takahama\May 28th, Monday\Special 45-Page One-Shot\TEN Ashirogi Muto\June 1st, Friday\June 8th Friday response:	Niizuma-kun, I have the manuscripts and judging ballots for the Monthly Award,
context: Incoming Call\Takahama\May 28th, Monday\Special 45-Page One-Shot\TEN Ashirogi Muto\June 1st, Friday\June 8th Friday\Niizuma-kun, I have the manuscripts and judging ballots for the Monthly Award, response:	so please get it done by next week.
context: Takahama\May 28th, Monday\Special 45-Page One-Shot\TEN Ashirogi Muto\June 1st, Friday\June 8th Friday\Niizuma-kun, I have the manuscripts and judging ballots for the Monthly Award,\so please get it done by next week. response:	But I'm not a good enough mangaka to be judging other people's work.
context: May 28th, Monday\Special 45-Page One-Shot\TEN Ashirogi Muto\June 1st, Friday\June 8th Friday\Niizuma-kun, I have the manuscripts and judging ballots for the Monthly Award,\so please get it done by next week.\But I'm not a good enough mangaka to be judging other people's work. response:	Don't say that.
context: Special 45-Page One-Shot\TEN Ashirogi Muto\June 1st, Friday\June 8th Friday\Niizuma-kun, I have the manuscripts and judging ballots for the Monthly Award,\so please get it done by next week.\But I'm not a good enough mangaka to be judging other people's work.\Don't say that. response:	This month has a manuscript by Ashirogi-kun.
context: TEN Ashirogi Muto\June 1st, Friday\June 8th Friday\Niizuma-kun, I have the manuscripts and judging ballots for the Monthly Award,\so please get it done by next week.\But I'm not a good enough mangaka to be judging other people's work.\Don't say that.\This month has a manuscript by Ashirogi-kun. response:	Did you say Ashirogi-sensei?!
context: June 1st, Friday\June 8th Friday\Niizuma-kun, I have the manuscripts and judging ballots for the Monthly Award,\so please get it done by next week.\But I'm not a good enough mangaka to be judging other people's work.\Don't say that.\This month has a manuscript by Ashirogi-kun.\Did you say Ashirogi-sensei?! response:	Yeah, here.
context: June 8th Friday\Niizuma-kun, I have the manuscripts and judging ballots for the Monthly Award,\so please get it done by next week.\But I'm not a good enough mangaka to be judging other people's work.\Don't say that.\This month has a manuscript by Ashirogi-kun.\Did you say Ashirogi-sensei?!\Yeah, here. response:	Ooh! Just as I expected, Ashirogi-sensei's is really good!
context: Niizuma-kun, I have the manuscripts and judging ballots for the Monthly Award,\so please get it done by next week.\But I'm not a good enough mangaka to be judging other people's work.\Don't say that.\This month has a manuscript by Ashirogi-kun.\Did you say Ashirogi-sensei?!\Yeah, here.\Ooh! Just as I expected, Ashirogi-sensei's is really good! response:	What do you mean it's really good? You haven't even read it yet.
context: so please get it done by next week.\But I'm not a good enough mangaka to be judging other people's work.\Don't say that.\This month has a manuscript by Ashirogi-kun.\Did you say Ashirogi-sensei?!\Yeah, here.\Ooh! Just as I expected, Ashirogi-sensei's is really good!\What do you mean it's really good? You haven't even read it yet. response:	I can tell just by the title.
context: But I'm not a good enough mangaka to be judging other people's work.\Don't say that.\This month has a manuscript by Ashirogi-kun.\Did you say Ashirogi-sensei?!\Yeah, here.\Ooh! Just as I expected, Ashirogi-sensei's is really good!\What do you mean it's really good? You haven't even read it yet.\I can tell just by the title. response:	The father of Future Watch's protagonist disappeared, leaving behind an invention.
context: Don't say that.\This month has a manuscript by Ashirogi-kun.\Did you say Ashirogi-sensei?!\Yeah, here.\Ooh! Just as I expected, Ashirogi-sensei's is really good!\What do you mean it's really good? You haven't even read it yet.\I can tell just by the title.\The father of Future Watch's protagonist disappeared, leaving behind an invention. response:	That invention is a watch that allows him to travel seven minutes into the future.
context: This month has a manuscript by Ashirogi-kun.\Did you say Ashirogi-sensei?!\Yeah, here.\Ooh! Just as I expected, Ashirogi-sensei's is really good!\What do you mean it's really good? You haven't even read it yet.\I can tell just by the title.\The father of Future Watch's protagonist disappeared, leaving behind an invention.\That invention is a watch that allows him to travel seven minutes into the future. response:	His future self can tell him many things.
context: Did you say Ashirogi-sensei?!\Yeah, here.\Ooh! Just as I expected, Ashirogi-sensei's is really good!\What do you mean it's really good? You haven't even read it yet.\I can tell just by the title.\The father of Future Watch's protagonist disappeared, leaving behind an invention.\That invention is a watch that allows him to travel seven minutes into the future.\His future self can tell him many things. response:	Like how to get away without making his teacher angry,
context: Yeah, here.\Ooh! Just as I expected, Ashirogi-sensei's is really good!\What do you mean it's really good? You haven't even read it yet.\I can tell just by the title.\The father of Future Watch's protagonist disappeared, leaving behind an invention.\That invention is a watch that allows him to travel seven minutes into the future.\His future self can tell him many things.\Like how to get away without making his teacher angry, response:	how to win a fight, how to make money...
context: Ooh! Just as I expected, Ashirogi-sensei's is really good!\What do you mean it's really good? You haven't even read it yet.\I can tell just by the title.\The father of Future Watch's protagonist disappeared, leaving behind an invention.\That invention is a watch that allows him to travel seven minutes into the future.\His future self can tell him many things.\Like how to get away without making his teacher angry,\how to win a fight, how to make money... response:	The protagonist uses that watch to help his friends.
context: What do you mean it's really good? You haven't even read it yet.\I can tell just by the title.\The father of Future Watch's protagonist disappeared, leaving behind an invention.\That invention is a watch that allows him to travel seven minutes into the future.\His future self can tell him many things.\Like how to get away without making his teacher angry,\how to win a fight, how to make money...\The protagonist uses that watch to help his friends. response:	HITMAN10 is good too,
context: I can tell just by the title.\The father of Future Watch's protagonist disappeared, leaving behind an invention.\That invention is a watch that allows him to travel seven minutes into the future.\His future self can tell him many things.\Like how to get away without making his teacher angry,\how to win a fight, how to make money...\The protagonist uses that watch to help his friends.\HITMAN10 is good too, response:	but I really think this is interesting and more like Ashirogi Muto.
context: The father of Future Watch's protagonist disappeared, leaving behind an invention.\That invention is a watch that allows him to travel seven minutes into the future.\His future self can tell him many things.\Like how to get away without making his teacher angry,\how to win a fight, how to make money...\The protagonist uses that watch to help his friends.\HITMAN10 is good too,\but I really think this is interesting and more like Ashirogi Muto. response:	We think so, too.
context: That invention is a watch that allows him to travel seven minutes into the future.\His future self can tell him many things.\Like how to get away without making his teacher angry,\how to win a fight, how to make money...\The protagonist uses that watch to help his friends.\HITMAN10 is good too,\but I really think this is interesting and more like Ashirogi Muto.\We think so, too. response:	But we need to keep polishing HITMAN right up to the serialization meeting.
context: His future self can tell him many things.\Like how to get away without making his teacher angry,\how to win a fight, how to make money...\The protagonist uses that watch to help his friends.\HITMAN10 is good too,\but I really think this is interesting and more like Ashirogi Muto.\We think so, too.\But we need to keep polishing HITMAN right up to the serialization meeting. response:	If your serialization names submitted for the April serialization meetings aren't interesting,
context: Like how to get away without making his teacher angry,\how to win a fight, how to make money...\The protagonist uses that watch to help his friends.\HITMAN10 is good too,\but I really think this is interesting and more like Ashirogi Muto.\We think so, too.\But we need to keep polishing HITMAN right up to the serialization meeting.\If your serialization names submitted for the April serialization meetings aren't interesting, response:	we won't look at the one-shot and it won't be published.
context: how to win a fight, how to make money...\The protagonist uses that watch to help his friends.\HITMAN10 is good too,\but I really think this is interesting and more like Ashirogi Muto.\We think so, too.\But we need to keep polishing HITMAN right up to the serialization meeting.\If your serialization names submitted for the April serialization meetings aren't interesting,\we won't look at the one-shot and it won't be published. response:	This is interesting! This wins the award.
context: The protagonist uses that watch to help his friends.\HITMAN10 is good too,\but I really think this is interesting and more like Ashirogi Muto.\We think so, too.\But we need to keep polishing HITMAN right up to the serialization meeting.\If your serialization names submitted for the April serialization meetings aren't interesting,\we won't look at the one-shot and it won't be published.\This is interesting! This wins the award. response:	There's no way anything will be more interesting than this.
context: HITMAN10 is good too,\but I really think this is interesting and more like Ashirogi Muto.\We think so, too.\But we need to keep polishing HITMAN right up to the serialization meeting.\If your serialization names submitted for the April serialization meetings aren't interesting,\we won't look at the one-shot and it won't be published.\This is interesting! This wins the award.\There's no way anything will be more interesting than this. response:	But, why's it in the Monthly Award?
context: but I really think this is interesting and more like Ashirogi Muto.\We think so, too.\But we need to keep polishing HITMAN right up to the serialization meeting.\If your serialization names submitted for the April serialization meetings aren't interesting,\we won't look at the one-shot and it won't be published.\This is interesting! This wins the award.\There's no way anything will be more interesting than this.\But, why's it in the Monthly Award? response:	Well, a bunch of reasons.
context: We think so, too.\But we need to keep polishing HITMAN right up to the serialization meeting.\If your serialization names submitted for the April serialization meetings aren't interesting,\we won't look at the one-shot and it won't be published.\This is interesting! This wins the award.\There's no way anything will be more interesting than this.\But, why's it in the Monthly Award?\Well, a bunch of reasons. response:	And Ashirogi-kun said they wanted you to see it, Niizuma-kun.
context: But we need to keep polishing HITMAN right up to the serialization meeting.\If your serialization names submitted for the April serialization meetings aren't interesting,\we won't look at the one-shot and it won't be published.\This is interesting! This wins the award.\There's no way anything will be more interesting than this.\But, why's it in the Monthly Award?\Well, a bunch of reasons.\And Ashirogi-kun said they wanted you to see it, Niizuma-kun. response:	Anyhow, please be sure to read the others and score them.
context: If your serialization names submitted for the April serialization meetings aren't interesting,\we won't look at the one-shot and it won't be published.\This is interesting! This wins the award.\There's no way anything will be more interesting than this.\But, why's it in the Monthly Award?\Well, a bunch of reasons.\And Ashirogi-kun said they wanted you to see it, Niizuma-kun.\Anyhow, please be sure to read the others and score them. response:	You mustn't be biased toward Ashirogi-kun.
context: we won't look at the one-shot and it won't be published.\This is interesting! This wins the award.\There's no way anything will be more interesting than this.\But, why's it in the Monthly Award?\Well, a bunch of reasons.\And Ashirogi-kun said they wanted you to see it, Niizuma-kun.\Anyhow, please be sure to read the others and score them.\You mustn't be biased toward Ashirogi-kun. response:	I'm not being biased. It really is interesting.
context: This is interesting! This wins the award.\There's no way anything will be more interesting than this.\But, why's it in the Monthly Award?\Well, a bunch of reasons.\And Ashirogi-kun said they wanted you to see it, Niizuma-kun.\Anyhow, please be sure to read the others and score them.\You mustn't be biased toward Ashirogi-kun.\I'm not being biased. It really is interesting. response:	I may be the only one who thinks so, though.
context: There's no way anything will be more interesting than this.\But, why's it in the Monthly Award?\Well, a bunch of reasons.\And Ashirogi-kun said they wanted you to see it, Niizuma-kun.\Anyhow, please be sure to read the others and score them.\You mustn't be biased toward Ashirogi-kun.\I'm not being biased. It really is interesting.\I may be the only one who thinks so, though. response:	Only you, Niizuma-kun?
context: But, why's it in the Monthly Award?\Well, a bunch of reasons.\And Ashirogi-kun said they wanted you to see it, Niizuma-kun.\Anyhow, please be sure to read the others and score them.\You mustn't be biased toward Ashirogi-kun.\I'm not being biased. It really is interesting.\I may be the only one who thinks so, though.\Only you, Niizuma-kun? response:	It's because Ashirogi-sensei doesn't project themselves into the main character.
context: Well, a bunch of reasons.\And Ashirogi-kun said they wanted you to see it, Niizuma-kun.\Anyhow, please be sure to read the others and score them.\You mustn't be biased toward Ashirogi-kun.\I'm not being biased. It really is interesting.\I may be the only one who thinks so, though.\Only you, Niizuma-kun?\It's because Ashirogi-sensei doesn't project themselves into the main character. response:	Other people may argue that the characters are weak, cold, or have no heart.
context: And Ashirogi-kun said they wanted you to see it, Niizuma-kun.\Anyhow, please be sure to read the others and score them.\You mustn't be biased toward Ashirogi-kun.\I'm not being biased. It really is interesting.\I may be the only one who thinks so, though.\Only you, Niizuma-kun?\It's because Ashirogi-sensei doesn't project themselves into the main character.\Other people may argue that the characters are weak, cold, or have no heart. response:	As I thought, I'm going with Future Watch as the winner.
context: Anyhow, please be sure to read the others and score them.\You mustn't be biased toward Ashirogi-kun.\I'm not being biased. It really is interesting.\I may be the only one who thinks so, though.\Only you, Niizuma-kun?\It's because Ashirogi-sensei doesn't project themselves into the main character.\Other people may argue that the characters are weak, cold, or have no heart.\As I thought, I'm going with Future Watch as the winner. response:	Apparently, Ashirogi-kun is just going to be judged, they can't win the award.
context: You mustn't be biased toward Ashirogi-kun.\I'm not being biased. It really is interesting.\I may be the only one who thinks so, though.\Only you, Niizuma-kun?\It's because Ashirogi-sensei doesn't project themselves into the main character.\Other people may argue that the characters are weak, cold, or have no heart.\As I thought, I'm going with Future Watch as the winner.\Apparently, Ashirogi-kun is just going to be judged, they can't win the award. response:	Also, which works get what level of award will be decided at the judging meeting,
context: I'm not being biased. It really is interesting.\I may be the only one who thinks so, though.\Only you, Niizuma-kun?\It's because Ashirogi-sensei doesn't project themselves into the main character.\Other people may argue that the characters are weak, cold, or have no heart.\As I thought, I'm going with Future Watch as the winner.\Apparently, Ashirogi-kun is just going to be judged, they can't win the award.\Also, which works get what level of award will be decided at the judging meeting, response:	so you just need to fill out your judging ballot...
context: I may be the only one who thinks so, though.\Only you, Niizuma-kun?\It's because Ashirogi-sensei doesn't project themselves into the main character.\Other people may argue that the characters are weak, cold, or have no heart.\As I thought, I'm going with Future Watch as the winner.\Apparently, Ashirogi-kun is just going to be judged, they can't win the award.\Also, which works get what level of award will be decided at the judging meeting,\so you just need to fill out your judging ballot... response:	When's the judging meeting?
context: Only you, Niizuma-kun?\It's because Ashirogi-sensei doesn't project themselves into the main character.\Other people may argue that the characters are weak, cold, or have no heart.\As I thought, I'm going with Future Watch as the winner.\Apparently, Ashirogi-kun is just going to be judged, they can't win the award.\Also, which works get what level of award will be decided at the judging meeting,\so you just need to fill out your judging ballot...\When's the judging meeting? response:	It'll be at Yuueisha, right?
context: It's because Ashirogi-sensei doesn't project themselves into the main character.\Other people may argue that the characters are weak, cold, or have no heart.\As I thought, I'm going with Future Watch as the winner.\Apparently, Ashirogi-kun is just going to be judged, they can't win the award.\Also, which works get what level of award will be decided at the judging meeting,\so you just need to fill out your judging ballot...\When's the judging meeting?\It'll be at Yuueisha, right? response:	Ah, no, as an author you don't need to go.
context: Other people may argue that the characters are weak, cold, or have no heart.\As I thought, I'm going with Future Watch as the winner.\Apparently, Ashirogi-kun is just going to be judged, they can't win the award.\Also, which works get what level of award will be decided at the judging meeting,\so you just need to fill out your judging ballot...\When's the judging meeting?\It'll be at Yuueisha, right?\Ah, no, as an author you don't need to go. response:	Why? I'm a judge, too!
context: As I thought, I'm going with Future Watch as the winner.\Apparently, Ashirogi-kun is just going to be judged, they can't win the award.\Also, which works get what level of award will be decided at the judging meeting,\so you just need to fill out your judging ballot...\When's the judging meeting?\It'll be at Yuueisha, right?\Ah, no, as an author you don't need to go.\Why? I'm a judge, too! response:	Since the senseis are busy, we have them fill out ballots so they don't need to go out of their way
context: Apparently, Ashirogi-kun is just going to be judged, they can't win the award.\Also, which works get what level of award will be decided at the judging meeting,\so you just need to fill out your judging ballot...\When's the judging meeting?\It'll be at Yuueisha, right?\Ah, no, as an author you don't need to go.\Why? I'm a judge, too!\Since the senseis are busy, we have them fill out ballots so they don't need to go out of their way response:	I'm going!
context: Also, which works get what level of award will be decided at the judging meeting,\so you just need to fill out your judging ballot...\When's the judging meeting?\It'll be at Yuueisha, right?\Ah, no, as an author you don't need to go.\Why? I'm a judge, too!\Since the senseis are busy, we have them fill out ballots so they don't need to go out of their way\I'm going! response:	I want to make sure Ashirogi-sensei has a complete victory!
context: so you just need to fill out your judging ballot...\When's the judging meeting?\It'll be at Yuueisha, right?\Ah, no, as an author you don't need to go.\Why? I'm a judge, too!\Since the senseis are busy, we have them fill out ballots so they don't need to go out of their way\I'm going!\I want to make sure Ashirogi-sensei has a complete victory! response:	Well, if you really want to...
context: When's the judging meeting?\It'll be at Yuueisha, right?\Ah, no, as an author you don't need to go.\Why? I'm a judge, too!\Since the senseis are busy, we have them fill out ballots so they don't need to go out of their way\I'm going!\I want to make sure Ashirogi-sensei has a complete victory!\Well, if you really want to... response:	Niizuma-kun! Please write your impressions in more detail.
