context: OP response:	OP
context: Mark I?\I've tried contacting it using the JAF, Allied Forces, and public circuits,\but I've gotten no responses.\It means the pilot's ignoring us.\What is he trying to do?\Nothing, I presume.\I think he just doesn't know how to use the radio.\Huh? response:	That is definitely a logical explanation.
context: I've tried contacting it using the JAF, Allied Forces, and public circuits,\but I've gotten no responses.\It means the pilot's ignoring us.\What is he trying to do?\Nothing, I presume.\I think he just doesn't know how to use the radio.\Huh?\That is definitely a logical explanation. response:	Nirvash, this beeping is annoying the heck out of me.
context: but I've gotten no responses.\It means the pilot's ignoring us.\What is he trying to do?\Nothing, I presume.\I think he just doesn't know how to use the radio.\Huh?\That is definitely a logical explanation.\Nirvash, this beeping is annoying the heck out of me. response:	Can you do something about it?
context: It means the pilot's ignoring us.\What is he trying to do?\Nothing, I presume.\I think he just doesn't know how to use the radio.\Huh?\That is definitely a logical explanation.\Nirvash, this beeping is annoying the heck out of me.\Can you do something about it? response:	Easy mode?
context: What is he trying to do?\Nothing, I presume.\I think he just doesn't know how to use the radio.\Huh?\That is definitely a logical explanation.\Nirvash, this beeping is annoying the heck out of me.\Can you do something about it?\Easy mode? response:	Whatever.
context: Nothing, I presume.\I think he just doesn't know how to use the radio.\Huh?\That is definitely a logical explanation.\Nirvash, this beeping is annoying the heck out of me.\Can you do something about it?\Easy mode?\Whatever. response:	What about weapons? Do you have any?
context: I think he just doesn't know how to use the radio.\Huh?\That is definitely a logical explanation.\Nirvash, this beeping is annoying the heck out of me.\Can you do something about it?\Easy mode?\Whatever.\What about weapons? Do you have any? response:	I can't understand any of this technical jargon.
context: Huh?\That is definitely a logical explanation.\Nirvash, this beeping is annoying the heck out of me.\Can you do something about it?\Easy mode?\Whatever.\What about weapons? Do you have any?\I can't understand any of this technical jargon. response:	I guess it's not as easy as it looks in a cartoon.
context: That is definitely a logical explanation.\Nirvash, this beeping is annoying the heck out of me.\Can you do something about it?\Easy mode?\Whatever.\What about weapons? Do you have any?\I can't understand any of this technical jargon.\I guess it's not as easy as it looks in a cartoon. response:	That was...
context: Nirvash, this beeping is annoying the heck out of me.\Can you do something about it?\Easy mode?\Whatever.\What about weapons? Do you have any?\I can't understand any of this technical jargon.\I guess it's not as easy as it looks in a cartoon.\That was... response:	Call the captain!
context: Can you do something about it?\Easy mode?\Whatever.\What about weapons? Do you have any?\I can't understand any of this technical jargon.\I guess it's not as easy as it looks in a cartoon.\That was...\Call the captain! response:	The Japanese Armed Forces asserts ownership of that machine!
context: Easy mode?\Whatever.\What about weapons? Do you have any?\I can't understand any of this technical jargon.\I guess it's not as easy as it looks in a cartoon.\That was...\Call the captain!\The Japanese Armed Forces asserts ownership of that machine! response:	The Okinawan SDF's...
context: Whatever.\What about weapons? Do you have any?\I can't understand any of this technical jargon.\I guess it's not as easy as it looks in a cartoon.\That was...\Call the captain!\The Japanese Armed Forces asserts ownership of that machine!\The Okinawan SDF's... response:	Conventional weaponry is useless!
context: What about weapons? Do you have any?\I can't understand any of this technical jargon.\I guess it's not as easy as it looks in a cartoon.\That was...\Call the captain!\The Japanese Armed Forces asserts ownership of that machine!\The Okinawan SDF's...\Conventional weaponry is useless! response:	The Secret can clearly see them if they use weapons like that.
context: I can't understand any of this technical jargon.\I guess it's not as easy as it looks in a cartoon.\That was...\Call the captain!\The Japanese Armed Forces asserts ownership of that machine!\The Okinawan SDF's...\Conventional weaponry is useless!\The Secret can clearly see them if they use weapons like that. response:	Elena.
context: I guess it's not as easy as it looks in a cartoon.\That was...\Call the captain!\The Japanese Armed Forces asserts ownership of that machine!\The Okinawan SDF's...\Conventional weaponry is useless!\The Secret can clearly see them if they use weapons like that.\Elena. response:	Got it.
context: That was...\Call the captain!\The Japanese Armed Forces asserts ownership of that machine!\The Okinawan SDF's...\Conventional weaponry is useless!\The Secret can clearly see them if they use weapons like that.\Elena.\Got it. response:	I'm sending it over!
context: Call the captain!\The Japanese Armed Forces asserts ownership of that machine!\The Okinawan SDF's...\Conventional weaponry is useless!\The Secret can clearly see them if they use weapons like that.\Elena.\Got it.\I'm sending it over! response:	ElenaMusou gauge full.
context: The Japanese Armed Forces asserts ownership of that machine!\The Okinawan SDF's...\Conventional weaponry is useless!\The Secret can clearly see them if they use weapons like that.\Elena.\Got it.\I'm sending it over!\ElenaMusou gauge full. response:	Just kidding.
context: The Okinawan SDF's...\Conventional weaponry is useless!\The Secret can clearly see them if they use weapons like that.\Elena.\Got it.\I'm sending it over!\ElenaMusou gauge full.\Just kidding. response:	Impacts of all Goliath missiles have been confirmed.
context: Conventional weaponry is useless!\The Secret can clearly see them if they use weapons like that.\Elena.\Got it.\I'm sending it over!\ElenaMusou gauge full.\Just kidding.\Impacts of all Goliath missiles have been confirmed. response:	Prepare for second rou
context: The Secret can clearly see them if they use weapons like that.\Elena.\Got it.\I'm sending it over!\ElenaMusou gauge full.\Just kidding.\Impacts of all Goliath missiles have been confirmed.\Prepare for second rou response:	You just squealed, didn't you?!
context: Elena.\Got it.\I'm sending it over!\ElenaMusou gauge full.\Just kidding.\Impacts of all Goliath missiles have been confirmed.\Prepare for second rou\You just squealed, didn't you?! response:	Was that on purpose?
context: Got it.\I'm sending it over!\ElenaMusou gauge full.\Just kidding.\Impacts of all Goliath missiles have been confirmed.\Prepare for second rou\You just squealed, didn't you?!\Was that on purpose? response:	Did you do that on purpose?
context: I'm sending it over!\ElenaMusou gauge full.\Just kidding.\Impacts of all Goliath missiles have been confirmed.\Prepare for second rou\You just squealed, didn't you?!\Was that on purpose?\Did you do that on purpose? response:	Fleur, withdraw for now.
context: ElenaMusou gauge full.\Just kidding.\Impacts of all Goliath missiles have been confirmed.\Prepare for second rou\You just squealed, didn't you?!\Was that on purpose?\Did you do that on purpose?\Fleur, withdraw for now. response:	I have to withdraw from the fight again?
context: Just kidding.\Impacts of all Goliath missiles have been confirmed.\Prepare for second rou\You just squealed, didn't you?!\Was that on purpose?\Did you do that on purpose?\Fleur, withdraw for now.\I have to withdraw from the fight again? response:	No.
context: Impacts of all Goliath missiles have been confirmed.\Prepare for second rou\You just squealed, didn't you?!\Was that on purpose?\Did you do that on purpose?\Fleur, withdraw for now.\I have to withdraw from the fight again?\No. response:	You're becoming a babysitter.
context: Prepare for second rou\You just squealed, didn't you?!\Was that on purpose?\Did you do that on purpose?\Fleur, withdraw for now.\I have to withdraw from the fight again?\No.\You're becoming a babysitter. response:	Children shouldn't die.
context: You just squealed, didn't you?!\Was that on purpose?\Did you do that on purpose?\Fleur, withdraw for now.\I have to withdraw from the fight again?\No.\You're becoming a babysitter.\Children shouldn't die. response:	Huh?
context: Was that on purpose?\Did you do that on purpose?\Fleur, withdraw for now.\I have to withdraw from the fight again?\No.\You're becoming a babysitter.\Children shouldn't die.\Huh? response:	I see how it is...
context: Did you do that on purpose?\Fleur, withdraw for now.\I have to withdraw from the fight again?\No.\You're becoming a babysitter.\Children shouldn't die.\Huh?\I see how it is... response:	I think I get it.
context: Fleur, withdraw for now.\I have to withdraw from the fight again?\No.\You're becoming a babysitter.\Children shouldn't die.\Huh?\I see how it is...\I think I get it. response:	All right.
context: I have to withdraw from the fight again?\No.\You're becoming a babysitter.\Children shouldn't die.\Huh?\I see how it is...\I think I get it.\All right. response:	A giant has to look like a human!
context: No.\You're becoming a babysitter.\Children shouldn't die.\Huh?\I see how it is...\I think I get it.\All right.\A giant has to look like a human! response:	Oops, I forgot about that.
context: You're becoming a babysitter.\Children shouldn't die.\Huh?\I see how it is...\I think I get it.\All right.\A giant has to look like a human!\Oops, I forgot about that. response:	Mark I entered the Zone.
context: Children shouldn't die.\Huh?\I see how it is...\I think I get it.\All right.\A giant has to look like a human!\Oops, I forgot about that.\Mark I entered the Zone. response:	This isn't good.
context: Huh?\I see how it is...\I think I get it.\All right.\A giant has to look like a human!\Oops, I forgot about that.\Mark I entered the Zone.\This isn't good. response:	Fleur!
context: I see how it is...\I think I get it.\All right.\A giant has to look like a human!\Oops, I forgot about that.\Mark I entered the Zone.\This isn't good.\Fleur! response:	Jeez... We have to get out of the Zone quickly!
context: I think I get it.\All right.\A giant has to look like a human!\Oops, I forgot about that.\Mark I entered the Zone.\This isn't good.\Fleur!\Jeez... We have to get out of the Zone quickly! response:	Ow...
context: All right.\A giant has to look like a human!\Oops, I forgot about that.\Mark I entered the Zone.\This isn't good.\Fleur!\Jeez... We have to get out of the Zone quickly!\Ow... response:	I knew it!
context: A giant has to look like a human!\Oops, I forgot about that.\Mark I entered the Zone.\This isn't good.\Fleur!\Jeez... We have to get out of the Zone quickly!\Ow...\I knew it! response:	You're the one piloting this thing.
context: Oops, I forgot about that.\Mark I entered the Zone.\This isn't good.\Fleur!\Jeez... We have to get out of the Zone quickly!\Ow...\I knew it!\You're the one piloting this thing. response:	Fukai Ao.
context: Mark I entered the Zone.\This isn't good.\Fleur!\Jeez... We have to get out of the Zone quickly!\Ow...\I knew it!\You're the one piloting this thing.\Fukai Ao. response:	Are Generation Bleu the only ones that are allowed to fight G-Monsters?
context: This isn't good.\Fleur!\Jeez... We have to get out of the Zone quickly!\Ow...\I knew it!\You're the one piloting this thing.\Fukai Ao.\Are Generation Bleu the only ones that are allowed to fight G-Monsters? response:	The Secrets can't detect IFOs that are outside the ZOA.
context: Fleur!\Jeez... We have to get out of the Zone quickly!\Ow...\I knew it!\You're the one piloting this thing.\Fukai Ao.\Are Generation Bleu the only ones that are allowed to fight G-Monsters?\The Secrets can't detect IFOs that are outside the ZOA. response:	ZOA?
context: Jeez... We have to get out of the Zone quickly!\Ow...\I knew it!\You're the one piloting this thing.\Fukai Ao.\Are Generation Bleu the only ones that are allowed to fight G-Monsters?\The Secrets can't detect IFOs that are outside the ZOA.\ZOA? response:	Zone Out of Action.
context: Ow...\I knew it!\You're the one piloting this thing.\Fukai Ao.\Are Generation Bleu the only ones that are allowed to fight G-Monsters?\The Secrets can't detect IFOs that are outside the ZOA.\ZOA?\Zone Out of Action. response:	Within the Zone, Secrets can catch IFOs in the matter of seconds.
context: I knew it!\You're the one piloting this thing.\Fukai Ao.\Are Generation Bleu the only ones that are allowed to fight G-Monsters?\The Secrets can't detect IFOs that are outside the ZOA.\ZOA?\Zone Out of Action.\Within the Zone, Secrets can catch IFOs in the matter of seconds. response:	You wanted to fight without even knowing that?
context: You're the one piloting this thing.\Fukai Ao.\Are Generation Bleu the only ones that are allowed to fight G-Monsters?\The Secrets can't detect IFOs that are outside the ZOA.\ZOA?\Zone Out of Action.\Within the Zone, Secrets can catch IFOs in the matter of seconds.\You wanted to fight without even knowing that? response:	Oh, crap!
context: Fukai Ao.\Are Generation Bleu the only ones that are allowed to fight G-Monsters?\The Secrets can't detect IFOs that are outside the ZOA.\ZOA?\Zone Out of Action.\Within the Zone, Secrets can catch IFOs in the matter of seconds.\You wanted to fight without even knowing that?\Oh, crap! response:	Please move! The G-Monsters are...
context: Are Generation Bleu the only ones that are allowed to fight G-Monsters?\The Secrets can't detect IFOs that are outside the ZOA.\ZOA?\Zone Out of Action.\Within the Zone, Secrets can catch IFOs in the matter of seconds.\You wanted to fight without even knowing that?\Oh, crap!\Please move! The G-Monsters are... response:	It's okay.
context: The Secrets can't detect IFOs that are outside the ZOA.\ZOA?\Zone Out of Action.\Within the Zone, Secrets can catch IFOs in the matter of seconds.\You wanted to fight without even knowing that?\Oh, crap!\Please move! The G-Monsters are...\It's okay. response:	We're outside the Zone.
context: ZOA?\Zone Out of Action.\Within the Zone, Secrets can catch IFOs in the matter of seconds.\You wanted to fight without even knowing that?\Oh, crap!\Please move! The G-Monsters are...\It's okay.\We're outside the Zone. response:	As long as we don't initiate on them, we're safe.
context: Zone Out of Action.\Within the Zone, Secrets can catch IFOs in the matter of seconds.\You wanted to fight without even knowing that?\Oh, crap!\Please move! The G-Monsters are...\It's okay.\We're outside the Zone.\As long as we don't initiate on them, we're safe. response:	Stay right here.
context: Within the Zone, Secrets can catch IFOs in the matter of seconds.\You wanted to fight without even knowing that?\Oh, crap!\Please move! The G-Monsters are...\It's okay.\We're outside the Zone.\As long as we don't initiate on them, we're safe.\Stay right here. response:	We need to talk afterwards.
context: You wanted to fight without even knowing that?\Oh, crap!\Please move! The G-Monsters are...\It's okay.\We're outside the Zone.\As long as we don't initiate on them, we're safe.\Stay right here.\We need to talk afterwards. response:	And don't hide again!
context: Oh, crap!\Please move! The G-Monsters are...\It's okay.\We're outside the Zone.\As long as we don't initiate on them, we're safe.\Stay right here.\We need to talk afterwards.\And don't hide again! response:	Are you going to fight? Can you win?
context: Please move! The G-Monsters are...\It's okay.\We're outside the Zone.\As long as we don't initiate on them, we're safe.\Stay right here.\We need to talk afterwards.\And don't hide again!\Are you going to fight? Can you win? response:	I have no choice.
context: It's okay.\We're outside the Zone.\As long as we don't initiate on them, we're safe.\Stay right here.\We need to talk afterwards.\And don't hide again!\Are you going to fight? Can you win?\I have no choice. response:	It's not like I can leave my friend behind.
context: We're outside the Zone.\As long as we don't initiate on them, we're safe.\Stay right here.\We need to talk afterwards.\And don't hide again!\Are you going to fight? Can you win?\I have no choice.\It's not like I can leave my friend behind. response:	Then I'm coming along as well.
context: As long as we don't initiate on them, we're safe.\Stay right here.\We need to talk afterwards.\And don't hide again!\Are you going to fight? Can you win?\I have no choice.\It's not like I can leave my friend behind.\Then I'm coming along as well. response:	Huh?!
context: Stay right here.\We need to talk afterwards.\And don't hide again!\Are you going to fight? Can you win?\I have no choice.\It's not like I can leave my friend behind.\Then I'm coming along as well.\Huh?! response:	If the G-Monsters destroy this island, it'll be a disaster.
context: We need to talk afterwards.\And don't hide again!\Are you going to fight? Can you win?\I have no choice.\It's not like I can leave my friend behind.\Then I'm coming along as well.\Huh?!\If the G-Monsters destroy this island, it'll be a disaster. response:	The size of a Scub Burst is usually four times the size of the Coral and Secret put together
context: And don't hide again!\Are you going to fight? Can you win?\I have no choice.\It's not like I can leave my friend behind.\Then I'm coming along as well.\Huh?!\If the G-Monsters destroy this island, it'll be a disaster.\The size of a Scub Burst is usually four times the size of the Coral and Secret put together response:	I'll protect the island.
context: Are you going to fight? Can you win?\I have no choice.\It's not like I can leave my friend behind.\Then I'm coming along as well.\Huh?!\If the G-Monsters destroy this island, it'll be a disaster.\The size of a Scub Burst is usually four times the size of the Coral and Secret put together\I'll protect the island. response:	Then I'll...
context: I have no choice.\It's not like I can leave my friend behind.\Then I'm coming along as well.\Huh?!\If the G-Monsters destroy this island, it'll be a disaster.\The size of a Scub Burst is usually four times the size of the Coral and Secret put together\I'll protect the island.\Then I'll... response:	Oh, right.
context: It's not like I can leave my friend behind.\Then I'm coming along as well.\Huh?!\If the G-Monsters destroy this island, it'll be a disaster.\The size of a Scub Burst is usually four times the size of the Coral and Secret put together\I'll protect the island.\Then I'll...\Oh, right. response:	I can't do that.
context: Then I'm coming along as well.\Huh?!\If the G-Monsters destroy this island, it'll be a disaster.\The size of a Scub Burst is usually four times the size of the Coral and Secret put together\I'll protect the island.\Then I'll...\Oh, right.\I can't do that. response:	I can't stay here anymore...
context: Huh?!\If the G-Monsters destroy this island, it'll be a disaster.\The size of a Scub Burst is usually four times the size of the Coral and Secret put together\I'll protect the island.\Then I'll...\Oh, right.\I can't do that.\I can't stay here anymore... response:	Fleur, I'm starting to get a bad feeling.
context: If the G-Monsters destroy this island, it'll be a disaster.\The size of a Scub Burst is usually four times the size of the Coral and Secret put together\I'll protect the island.\Then I'll...\Oh, right.\I can't do that.\I can't stay here anymore...\Fleur, I'm starting to get a bad feeling. response:	I'm coming. Wait for me.
context: The size of a Scub Burst is usually four times the size of the Coral and Secret put together\I'll protect the island.\Then I'll...\Oh, right.\I can't do that.\I can't stay here anymore...\Fleur, I'm starting to get a bad feeling.\I'm coming. Wait for me. response:	Lure them all away.
context: I'll protect the island.\Then I'll...\Oh, right.\I can't do that.\I can't stay here anymore...\Fleur, I'm starting to get a bad feeling.\I'm coming. Wait for me.\Lure them all away. response:	While you do that, I'll get to the big one and take it down.
context: Then I'll...\Oh, right.\I can't do that.\I can't stay here anymore...\Fleur, I'm starting to get a bad feeling.\I'm coming. Wait for me.\Lure them all away.\While you do that, I'll get to the big one and take it down. response:	I told you, inside the Zone...
context: Oh, right.\I can't do that.\I can't stay here anymore...\Fleur, I'm starting to get a bad feeling.\I'm coming. Wait for me.\Lure them all away.\While you do that, I'll get to the big one and take it down.\I told you, inside the Zone... response:	I've got at least a few dozen seconds, right?
context: I can't do that.\I can't stay here anymore...\Fleur, I'm starting to get a bad feeling.\I'm coming. Wait for me.\Lure them all away.\While you do that, I'll get to the big one and take it down.\I told you, inside the Zone...\I've got at least a few dozen seconds, right? response:	What a surprise.
context: I can't stay here anymore...\Fleur, I'm starting to get a bad feeling.\I'm coming. Wait for me.\Lure them all away.\While you do that, I'll get to the big one and take it down.\I told you, inside the Zone...\I've got at least a few dozen seconds, right?\What a surprise. response:	His strategy is plausible.
context: Fleur, I'm starting to get a bad feeling.\I'm coming. Wait for me.\Lure them all away.\While you do that, I'll get to the big one and take it down.\I told you, inside the Zone...\I've got at least a few dozen seconds, right?\What a surprise.\His strategy is plausible. response:	Who's speaking?
context: I'm coming. Wait for me.\Lure them all away.\While you do that, I'll get to the big one and take it down.\I told you, inside the Zone...\I've got at least a few dozen seconds, right?\What a surprise.\His strategy is plausible.\Who's speaking? response:	The Mark I's strength lies in the machine itself,
context: Lure them all away.\While you do that, I'll get to the big one and take it down.\I told you, inside the Zone...\I've got at least a few dozen seconds, right?\What a surprise.\His strategy is plausible.\Who's speaking?\The Mark I's strength lies in the machine itself, response:	so the closer it gets, the more effective it is.
context: While you do that, I'll get to the big one and take it down.\I told you, inside the Zone...\I've got at least a few dozen seconds, right?\What a surprise.\His strategy is plausible.\Who's speaking?\The Mark I's strength lies in the machine itself,\so the closer it gets, the more effective it is. response:	The problem is whether or not it can do anything significant with just one arm.
context: I told you, inside the Zone...\I've got at least a few dozen seconds, right?\What a surprise.\His strategy is plausible.\Who's speaking?\The Mark I's strength lies in the machine itself,\so the closer it gets, the more effective it is.\The problem is whether or not it can do anything significant with just one arm. response:	That's crazy!
context: I've got at least a few dozen seconds, right?\What a surprise.\His strategy is plausible.\Who's speaking?\The Mark I's strength lies in the machine itself,\so the closer it gets, the more effective it is.\The problem is whether or not it can do anything significant with just one arm.\That's crazy! response:	We can't entrust our fates to a newbie piloting a damaged machine.
context: What a surprise.\His strategy is plausible.\Who's speaking?\The Mark I's strength lies in the machine itself,\so the closer it gets, the more effective it is.\The problem is whether or not it can do anything significant with just one arm.\That's crazy!\We can't entrust our fates to a newbie piloting a damaged machine. response:	Fleur, listen to my orders.
context: His strategy is plausible.\Who's speaking?\The Mark I's strength lies in the machine itself,\so the closer it gets, the more effective it is.\The problem is whether or not it can do anything significant with just one arm.\That's crazy!\We can't entrust our fates to a newbie piloting a damaged machine.\Fleur, listen to my orders. response:	Ivica!
context: Who's speaking?\The Mark I's strength lies in the machine itself,\so the closer it gets, the more effective it is.\The problem is whether or not it can do anything significant with just one arm.\That's crazy!\We can't entrust our fates to a newbie piloting a damaged machine.\Fleur, listen to my orders.\Ivica! response:	I won't let children die.
context: The Mark I's strength lies in the machine itself,\so the closer it gets, the more effective it is.\The problem is whether or not it can do anything significant with just one arm.\That's crazy!\We can't entrust our fates to a newbie piloting a damaged machine.\Fleur, listen to my orders.\Ivica!\I won't let children die. response:	If all else fails, we'll use the Triton to shield them.
context: so the closer it gets, the more effective it is.\The problem is whether or not it can do anything significant with just one arm.\That's crazy!\We can't entrust our fates to a newbie piloting a damaged machine.\Fleur, listen to my orders.\Ivica!\I won't let children die.\If all else fails, we'll use the Triton to shield them. response:	Fleur, input the course and countdown for him.
context: The problem is whether or not it can do anything significant with just one arm.\That's crazy!\We can't entrust our fates to a newbie piloting a damaged machine.\Fleur, listen to my orders.\Ivica!\I won't let children die.\If all else fails, we'll use the Triton to shield them.\Fleur, input the course and countdown for him. response:	Now you can use your radio.
context: That's crazy!\We can't entrust our fates to a newbie piloting a damaged machine.\Fleur, listen to my orders.\Ivica!\I won't let children die.\If all else fails, we'll use the Triton to shield them.\Fleur, input the course and countdown for him.\Now you can use your radio. response:	We'll be able to hear what you say.
context: We can't entrust our fates to a newbie piloting a damaged machine.\Fleur, listen to my orders.\Ivica!\I won't let children die.\If all else fails, we'll use the Triton to shield them.\Fleur, input the course and countdown for him.\Now you can use your radio.\We'll be able to hear what you say. response:	Okay...
context: Fleur, listen to my orders.\Ivica!\I won't let children die.\If all else fails, we'll use the Triton to shield them.\Fleur, input the course and countdown for him.\Now you can use your radio.\We'll be able to hear what you say.\Okay... response:	I have to be the decoy and babysit him?
context: Ivica!\I won't let children die.\If all else fails, we'll use the Triton to shield them.\Fleur, input the course and countdown for him.\Now you can use your radio.\We'll be able to hear what you say.\Okay...\I have to be the decoy and babysit him? response:	I want a pay raise!
context: I won't let children die.\If all else fails, we'll use the Triton to shield them.\Fleur, input the course and countdown for him.\Now you can use your radio.\We'll be able to hear what you say.\Okay...\I have to be the decoy and babysit him?\I want a pay raise! response:	Ao, I'm sending data over to you.
context: If all else fails, we'll use the Triton to shield them.\Fleur, input the course and countdown for him.\Now you can use your radio.\We'll be able to hear what you say.\Okay...\I have to be the decoy and babysit him?\I want a pay raise!\Ao, I'm sending data over to you. response:	80 seconds...
context: Fleur, input the course and countdown for him.\Now you can use your radio.\We'll be able to hear what you say.\Okay...\I have to be the decoy and babysit him?\I want a pay raise!\Ao, I'm sending data over to you.\80 seconds... response:	I can do it...
context: Now you can use your radio.\We'll be able to hear what you say.\Okay...\I have to be the decoy and babysit him?\I want a pay raise!\Ao, I'm sending data over to you.\80 seconds...\I can do it... response:	right?
context: We'll be able to hear what you say.\Okay...\I have to be the decoy and babysit him?\I want a pay raise!\Ao, I'm sending data over to you.\80 seconds...\I can do it...\right? response:	Elena, are you ready?
context: Okay...\I have to be the decoy and babysit him?\I want a pay raise!\Ao, I'm sending data over to you.\80 seconds...\I can do it...\right?\Elena, are you ready? response:	I can be replaced.
context: I have to be the decoy and babysit him?\I want a pay raise!\Ao, I'm sending data over to you.\80 seconds...\I can do it...\right?\Elena, are you ready?\I can be replaced. response:	Stop quoting comic books!
context: I want a pay raise!\Ao, I'm sending data over to you.\80 seconds...\I can do it...\right?\Elena, are you ready?\I can be replaced.\Stop quoting comic books! response:	I'm not quoting comic books... I'm quoting cartoo
context: Ao, I'm sending data over to you.\80 seconds...\I can do it...\right?\Elena, are you ready?\I can be replaced.\Stop quoting comic books!\I'm not quoting comic books... I'm quoting cartoo response:	He can use Kyrie's cannon?
context: 80 seconds...\I can do it...\right?\Elena, are you ready?\I can be replaced.\Stop quoting comic books!\I'm not quoting comic books... I'm quoting cartoo\He can use Kyrie's cannon? response:	All IFO designs are derived from the Mark I's.
context: I can do it...\right?\Elena, are you ready?\I can be replaced.\Stop quoting comic books!\I'm not quoting comic books... I'm quoting cartoo\He can use Kyrie's cannon?\All IFO designs are derived from the Mark I's. response:	They couldn't do anything but mimic it.
context: right?\Elena, are you ready?\I can be replaced.\Stop quoting comic books!\I'm not quoting comic books... I'm quoting cartoo\He can use Kyrie's cannon?\All IFO designs are derived from the Mark I's.\They couldn't do anything but mimic it. response:	Shoot, Nirvash!
context: Elena, are you ready?\I can be replaced.\Stop quoting comic books!\I'm not quoting comic books... I'm quoting cartoo\He can use Kyrie's cannon?\All IFO designs are derived from the Mark I's.\They couldn't do anything but mimic it.\Shoot, Nirvash! response:	They realized.
context: I can be replaced.\Stop quoting comic books!\I'm not quoting comic books... I'm quoting cartoo\He can use Kyrie's cannon?\All IFO designs are derived from the Mark I's.\They couldn't do anything but mimic it.\Shoot, Nirvash!\They realized. response:	But it's too late!
context: Stop quoting comic books!\I'm not quoting comic books... I'm quoting cartoo\He can use Kyrie's cannon?\All IFO designs are derived from the Mark I's.\They couldn't do anything but mimic it.\Shoot, Nirvash!\They realized.\But it's too late! response:	Ao...
context: I'm not quoting comic books... I'm quoting cartoo\He can use Kyrie's cannon?\All IFO designs are derived from the Mark I's.\They couldn't do anything but mimic it.\Shoot, Nirvash!\They realized.\But it's too late!\Ao... response:	Don't tell me this explosion is...
context: He can use Kyrie's cannon?\All IFO designs are derived from the Mark I's.\They couldn't do anything but mimic it.\Shoot, Nirvash!\They realized.\But it's too late!\Ao...\Don't tell me this explosion is... response:	Naru! Naru!
context: All IFO designs are derived from the Mark I's.\They couldn't do anything but mimic it.\Shoot, Nirvash!\They realized.\But it's too late!\Ao...\Don't tell me this explosion is...\Naru! Naru! response:	Naru...
context: They couldn't do anything but mimic it.\Shoot, Nirvash!\They realized.\But it's too late!\Ao...\Don't tell me this explosion is...\Naru! Naru!\Naru... response:	Ao!
context: Shoot, Nirvash!\They realized.\But it's too late!\Ao...\Don't tell me this explosion is...\Naru! Naru!\Naru...\Ao! response:	There is a possibility that the Scub Coral is emitting harmful particles.
context: They realized.\But it's too late!\Ao...\Don't tell me this explosion is...\Naru! Naru!\Naru...\Ao!\There is a possibility that the Scub Coral is emitting harmful particles. response:	Until we can confirm that it is safe,
context: But it's too late!\Ao...\Don't tell me this explosion is...\Naru! Naru!\Naru...\Ao!\There is a possibility that the Scub Coral is emitting harmful particles.\Until we can confirm that it is safe, response:	civilians may not enter a 3km radius of the Coral.
context: Ao...\Don't tell me this explosion is...\Naru! Naru!\Naru...\Ao!\There is a possibility that the Scub Coral is emitting harmful particles.\Until we can confirm that it is safe,\civilians may not enter a 3km radius of the Coral. response:	Hear? There are harmful particles!
