context: Mitaka Jin response:	Letter of Exam Success
context: I'm taking the afternoon flight to San Francisco.\For work?\Yes, I'm supposed to give a presentation at a game conference.\So, shall we get started?\Yes, please.\I see.\Let's move forward with your idea for the battles.\Okay, thank you very much. response:	Now, we just have to write up a pitch for the title review board.
context: For work?\Yes, I'm supposed to give a presentation at a game conference.\So, shall we get started?\Yes, please.\I see.\Let's move forward with your idea for the battles.\Okay, thank you very much.\Now, we just have to write up a pitch for the title review board. response:	I'll do my best.
context: Yes, I'm supposed to give a presentation at a game conference.\So, shall we get started?\Yes, please.\I see.\Let's move forward with your idea for the battles.\Okay, thank you very much.\Now, we just have to write up a pitch for the title review board.\I'll do my best. response:	Oh, right.
context: So, shall we get started?\Yes, please.\I see.\Let's move forward with your idea for the battles.\Okay, thank you very much.\Now, we just have to write up a pitch for the title review board.\I'll do my best.\Oh, right. response:	Could we ask the girl...
context: Yes, please.\I see.\Let's move forward with your idea for the battles.\Okay, thank you very much.\Now, we just have to write up a pitch for the title review board.\I'll do my best.\Oh, right.\Could we ask the girl... response:	who drew this to do some additional illustrations for us?
context: I see.\Let's move forward with your idea for the battles.\Okay, thank you very much.\Now, we just have to write up a pitch for the title review board.\I'll do my best.\Oh, right.\Could we ask the girl...\who drew this to do some additional illustrations for us? response:	It has such presence.
context: Let's move forward with your idea for the battles.\Okay, thank you very much.\Now, we just have to write up a pitch for the title review board.\I'll do my best.\Oh, right.\Could we ask the girl...\who drew this to do some additional illustrations for us?\It has such presence. response:	I think including more drawings would help us with the review board.
context: Okay, thank you very much.\Now, we just have to write up a pitch for the title review board.\I'll do my best.\Oh, right.\Could we ask the girl...\who drew this to do some additional illustrations for us?\It has such presence.\I think including more drawings would help us with the review board. response:	You're right...
context: Now, we just have to write up a pitch for the title review board.\I'll do my best.\Oh, right.\Could we ask the girl...\who drew this to do some additional illustrations for us?\It has such presence.\I think including more drawings would help us with the review board.\You're right... response:	Is there a problem?
context: I'll do my best.\Oh, right.\Could we ask the girl...\who drew this to do some additional illustrations for us?\It has such presence.\I think including more drawings would help us with the review board.\You're right...\Is there a problem? response:	No, I'll ask Shiina about it.
context: Oh, right.\Could we ask the girl...\who drew this to do some additional illustrations for us?\It has such presence.\I think including more drawings would help us with the review board.\You're right...\Is there a problem?\No, I'll ask Shiina about it. response:	Then, let's call it a day.
context: Could we ask the girl...\who drew this to do some additional illustrations for us?\It has such presence.\I think including more drawings would help us with the review board.\You're right...\Is there a problem?\No, I'll ask Shiina about it.\Then, let's call it a day. response:	Okay.
context: who drew this to do some additional illustrations for us?\It has such presence.\I think including more drawings would help us with the review board.\You're right...\Is there a problem?\No, I'll ask Shiina about it.\Then, let's call it a day.\Okay. response:	Planning to go on a date after this?
context: It has such presence.\I think including more drawings would help us with the review board.\You're right...\Is there a problem?\No, I'll ask Shiina about it.\Then, let's call it a day.\Okay.\Planning to go on a date after this? response:	The results of my sister's exam come out this afternoon.
context: I think including more drawings would help us with the review board.\You're right...\Is there a problem?\No, I'll ask Shiina about it.\Then, let's call it a day.\Okay.\Planning to go on a date after this?\The results of my sister's exam come out this afternoon. response:	I see.
context: You're right...\Is there a problem?\No, I'll ask Shiina about it.\Then, let's call it a day.\Okay.\Planning to go on a date after this?\The results of my sister's exam come out this afternoon.\I see. response:	I'm home.
context: Is there a problem?\No, I'll ask Shiina about it.\Then, let's call it a day.\Okay.\Planning to go on a date after this?\The results of my sister's exam come out this afternoon.\I see.\I'm home. response:	Huh? Sensei, you're working again today?
context: No, I'll ask Shiina about it.\Then, let's call it a day.\Okay.\Planning to go on a date after this?\The results of my sister's exam come out this afternoon.\I see.\I'm home.\Huh? Sensei, you're working again today? response:	I have a meeting I don't want to go to.
context: Then, let's call it a day.\Okay.\Planning to go on a date after this?\The results of my sister's exam come out this afternoon.\I see.\I'm home.\Huh? Sensei, you're working again today?\I have a meeting I don't want to go to. response:	What's going on?
context: Okay.\Planning to go on a date after this?\The results of my sister's exam come out this afternoon.\I see.\I'm home.\Huh? Sensei, you're working again today?\I have a meeting I don't want to go to.\What's going on? response:	Usually she says something like, Why don't you go in my place?
context: Planning to go on a date after this?\The results of my sister's exam come out this afternoon.\I see.\I'm home.\Huh? Sensei, you're working again today?\I have a meeting I don't want to go to.\What's going on?\Usually she says something like, Why don't you go in my place? response:	Kanda-kun, you're back.
context: The results of my sister's exam come out this afternoon.\I see.\I'm home.\Huh? Sensei, you're working again today?\I have a meeting I don't want to go to.\What's going on?\Usually she says something like, Why don't you go in my place?\Kanda-kun, you're back. response:	Yeah, I'm home...
context: I see.\I'm home.\Huh? Sensei, you're working again today?\I have a meeting I don't want to go to.\What's going on?\Usually she says something like, Why don't you go in my place?\Kanda-kun, you're back.\Yeah, I'm home... response:	But I'm changing and heading straight back out again.
context: I'm home.\Huh? Sensei, you're working again today?\I have a meeting I don't want to go to.\What's going on?\Usually she says something like, Why don't you go in my place?\Kanda-kun, you're back.\Yeah, I'm home...\But I'm changing and heading straight back out again. response:	For Yuko-chan's test results, right?
context: Huh? Sensei, you're working again today?\I have a meeting I don't want to go to.\What's going on?\Usually she says something like, Why don't you go in my place?\Kanda-kun, you're back.\Yeah, I'm home...\But I'm changing and heading straight back out again.\For Yuko-chan's test results, right? response:	Can I go with you?
context: I have a meeting I don't want to go to.\What's going on?\Usually she says something like, Why don't you go in my place?\Kanda-kun, you're back.\Yeah, I'm home...\But I'm changing and heading straight back out again.\For Yuko-chan's test results, right?\Can I go with you? response:	Sure.
context: What's going on?\Usually she says something like, Why don't you go in my place?\Kanda-kun, you're back.\Yeah, I'm home...\But I'm changing and heading straight back out again.\For Yuko-chan's test results, right?\Can I go with you?\Sure. response:	Wait right here. I'll go get changed.
context: Usually she says something like, Why don't you go in my place?\Kanda-kun, you're back.\Yeah, I'm home...\But I'm changing and heading straight back out again.\For Yuko-chan's test results, right?\Can I go with you?\Sure.\Wait right here. I'll go get changed. response:	So...
context: Kanda-kun, you're back.\Yeah, I'm home...\But I'm changing and heading straight back out again.\For Yuko-chan's test results, right?\Can I go with you?\Sure.\Wait right here. I'll go get changed.\So... response:	Why did you tag along, Shiina?
context: Yeah, I'm home...\But I'm changing and heading straight back out again.\For Yuko-chan's test results, right?\Can I go with you?\Sure.\Wait right here. I'll go get changed.\So...\Why did you tag along, Shiina? response:	Whether Yuko passes or not is important.
context: But I'm changing and heading straight back out again.\For Yuko-chan's test results, right?\Can I go with you?\Sure.\Wait right here. I'll go get changed.\So...\Why did you tag along, Shiina?\Whether Yuko passes or not is important. response:	How so?
context: For Yuko-chan's test results, right?\Can I go with you?\Sure.\Wait right here. I'll go get changed.\So...\Why did you tag along, Shiina?\Whether Yuko passes or not is important.\How so? response:	It's related to my plans for the future.
context: Can I go with you?\Sure.\Wait right here. I'll go get changed.\So...\Why did you tag along, Shiina?\Whether Yuko passes or not is important.\How so?\It's related to my plans for the future. response:	What happens if she passes?
context: Sure.\Wait right here. I'll go get changed.\So...\Why did you tag along, Shiina?\Whether Yuko passes or not is important.\How so?\It's related to my plans for the future.\What happens if she passes? response:	Plan C.
context: Wait right here. I'll go get changed.\So...\Why did you tag along, Shiina?\Whether Yuko passes or not is important.\How so?\It's related to my plans for the future.\What happens if she passes?\Plan C. response:	You really like that plan, don't you?
context: So...\Why did you tag along, Shiina?\Whether Yuko passes or not is important.\How so?\It's related to my plans for the future.\What happens if she passes?\Plan C.\You really like that plan, don't you? response:	Do you prefer Plan B?
context: Why did you tag along, Shiina?\Whether Yuko passes or not is important.\How so?\It's related to my plans for the future.\What happens if she passes?\Plan C.\You really like that plan, don't you?\Do you prefer Plan B? response:	That's the one where we go out!
context: Whether Yuko passes or not is important.\How so?\It's related to my plans for the future.\What happens if she passes?\Plan C.\You really like that plan, don't you?\Do you prefer Plan B?\That's the one where we go out! response:	G-Go out?
context: How so?\It's related to my plans for the future.\What happens if she passes?\Plan C.\You really like that plan, don't you?\Do you prefer Plan B?\That's the one where we go out!\G-Go out? response:	N-No, it's not...
context: It's related to my plans for the future.\What happens if she passes?\Plan C.\You really like that plan, don't you?\Do you prefer Plan B?\That's the one where we go out!\G-Go out?\N-No, it's not... response:	I love you!
context: What happens if she passes?\Plan C.\You really like that plan, don't you?\Do you prefer Plan B?\That's the one where we go out!\G-Go out?\N-No, it's not...\I love you! response:	A-Aoyama...
context: Plan C.\You really like that plan, don't you?\Do you prefer Plan B?\That's the one where we go out!\G-Go out?\N-No, it's not...\I love you!\A-Aoyama... response:	Sorata, Nanami... Your faces are red. Are you sick?
context: You really like that plan, don't you?\Do you prefer Plan B?\That's the one where we go out!\G-Go out?\N-No, it's not...\I love you!\A-Aoyama...\Sorata, Nanami... Your faces are red. Are you sick? response:	N-No, we're not!
context: Do you prefer Plan B?\That's the one where we go out!\G-Go out?\N-No, it's not...\I love you!\A-Aoyama...\Sorata, Nanami... Your faces are red. Are you sick?\N-No, we're not! response:	Come on, let's hurry.
context: That's the one where we go out!\G-Go out?\N-No, it's not...\I love you!\A-Aoyama...\Sorata, Nanami... Your faces are red. Are you sick?\N-No, we're not!\Come on, let's hurry. response:	B-By the way, Aoyama, when do the results of your audition come out?
context: G-Go out?\N-No, it's not...\I love you!\A-Aoyama...\Sorata, Nanami... Your faces are red. Are you sick?\N-No, we're not!\Come on, let's hurry.\B-By the way, Aoyama, when do the results of your audition come out? response:	B-Between the end of February and the middle of March.
context: N-No, it's not...\I love you!\A-Aoyama...\Sorata, Nanami... Your faces are red. Are you sick?\N-No, we're not!\Come on, let's hurry.\B-By the way, Aoyama, when do the results of your audition come out?\B-Between the end of February and the middle of March. response:	I see.
context: I love you!\A-Aoyama...\Sorata, Nanami... Your faces are red. Are you sick?\N-No, we're not!\Come on, let's hurry.\B-By the way, Aoyama, when do the results of your audition come out?\B-Between the end of February and the middle of March.\I see. response:	Sorata, you seem happy.
context: A-Aoyama...\Sorata, Nanami... Your faces are red. Are you sick?\N-No, we're not!\Come on, let's hurry.\B-By the way, Aoyama, when do the results of your audition come out?\B-Between the end of February and the middle of March.\I see.\Sorata, you seem happy. response:	How do I look happy?!
context: Sorata, Nanami... Your faces are red. Are you sick?\N-No, we're not!\Come on, let's hurry.\B-By the way, Aoyama, when do the results of your audition come out?\B-Between the end of February and the middle of March.\I see.\Sorata, you seem happy.\How do I look happy?! response:	Nanami, you seem happy, too.
context: N-No, we're not!\Come on, let's hurry.\B-By the way, Aoyama, when do the results of your audition come out?\B-Between the end of February and the middle of March.\I see.\Sorata, you seem happy.\How do I look happy?!\Nanami, you seem happy, too. response:	Th-That's not true!
context: Come on, let's hurry.\B-By the way, Aoyama, when do the results of your audition come out?\B-Between the end of February and the middle of March.\I see.\Sorata, you seem happy.\How do I look happy?!\Nanami, you seem happy, too.\Th-That's not true! response:	Not that I care.
context: B-By the way, Aoyama, when do the results of your audition come out?\B-Between the end of February and the middle of March.\I see.\Sorata, you seem happy.\How do I look happy?!\Nanami, you seem happy, too.\Th-That's not true!\Not that I care. response:	Then, don't act like you're angry.
context: B-Between the end of February and the middle of March.\I see.\Sorata, you seem happy.\How do I look happy?!\Nanami, you seem happy, too.\Th-That's not true!\Not that I care.\Then, don't act like you're angry. response:	I'm not angry.
context: I see.\Sorata, you seem happy.\How do I look happy?!\Nanami, you seem happy, too.\Th-That's not true!\Not that I care.\Then, don't act like you're angry.\I'm not angry. response:	She sounds it, doesn't she, Aoyama?
context: Sorata, you seem happy.\How do I look happy?!\Nanami, you seem happy, too.\Th-That's not true!\Not that I care.\Then, don't act like you're angry.\I'm not angry.\She sounds it, doesn't she, Aoyama? response:	Yeah.
context: How do I look happy?!\Nanami, you seem happy, too.\Th-That's not true!\Not that I care.\Then, don't act like you're angry.\I'm not angry.\She sounds it, doesn't she, Aoyama?\Yeah. response:	You're being friendly with Nanami again.
context: Nanami, you seem happy, too.\Th-That's not true!\Not that I care.\Then, don't act like you're angry.\I'm not angry.\She sounds it, doesn't she, Aoyama?\Yeah.\You're being friendly with Nanami again. response:	N-No, I'm not!
context: Th-That's not true!\Not that I care.\Then, don't act like you're angry.\I'm not angry.\She sounds it, doesn't she, Aoyama?\Yeah.\You're being friendly with Nanami again.\N-No, I'm not! response:	N-No, he's not!
context: Not that I care.\Then, don't act like you're angry.\I'm not angry.\She sounds it, doesn't she, Aoyama?\Yeah.\You're being friendly with Nanami again.\N-No, I'm not!\N-No, he's not! response:	See? Friendly.
context: Then, don't act like you're angry.\I'm not angry.\She sounds it, doesn't she, Aoyama?\Yeah.\You're being friendly with Nanami again.\N-No, I'm not!\N-No, he's not!\See? Friendly. response:	I-It's green.
context: I'm not angry.\She sounds it, doesn't she, Aoyama?\Yeah.\You're being friendly with Nanami again.\N-No, I'm not!\N-No, he's not!\See? Friendly.\I-It's green. response:	Come on, let's go.
context: She sounds it, doesn't she, Aoyama?\Yeah.\You're being friendly with Nanami again.\N-No, I'm not!\N-No, he's not!\See? Friendly.\I-It's green.\Come on, let's go. response:	O-Oh, I forgot...
context: Yeah.\You're being friendly with Nanami again.\N-No, I'm not!\N-No, he's not!\See? Friendly.\I-It's green.\Come on, let's go.\O-Oh, I forgot... response:	Shiina, I have a favor to ask you.
context: You're being friendly with Nanami again.\N-No, I'm not!\N-No, he's not!\See? Friendly.\I-It's green.\Come on, let's go.\O-Oh, I forgot...\Shiina, I have a favor to ask you. response:	What?
context: N-No, I'm not!\N-No, he's not!\See? Friendly.\I-It's green.\Come on, let's go.\O-Oh, I forgot...\Shiina, I have a favor to ask you.\What? response:	Would you draw more illustrations for
context: N-No, he's not!\See? Friendly.\I-It's green.\Come on, let's go.\O-Oh, I forgot...\Shiina, I have a favor to ask you.\What?\Would you draw more illustrations for response:	I'll do it.
context: See? Friendly.\I-It's green.\Come on, let's go.\O-Oh, I forgot...\Shiina, I have a favor to ask you.\What?\Would you draw more illustrations for\I'll do it. response:	But if it'll get in the way of your manga
context: I-It's green.\Come on, let's go.\O-Oh, I forgot...\Shiina, I have a favor to ask you.\What?\Would you draw more illustrations for\I'll do it.\But if it'll get in the way of your manga response:	I'll do it.
context: Come on, let's go.\O-Oh, I forgot...\Shiina, I have a favor to ask you.\What?\Would you draw more illustrations for\I'll do it.\But if it'll get in the way of your manga\I'll do it. response:	I-I see. In that case, thanks.
context: O-Oh, I forgot...\Shiina, I have a favor to ask you.\What?\Would you draw more illustrations for\I'll do it.\But if it'll get in the way of your manga\I'll do it.\I-I see. In that case, thanks. response:	Sorata, you're not happy?
context: Shiina, I have a favor to ask you.\What?\Would you draw more illustrations for\I'll do it.\But if it'll get in the way of your manga\I'll do it.\I-I see. In that case, thanks.\Sorata, you're not happy? response:	No, that's not it. It's a huge help.
context: What?\Would you draw more illustrations for\I'll do it.\But if it'll get in the way of your manga\I'll do it.\I-I see. In that case, thanks.\Sorata, you're not happy?\No, that's not it. It's a huge help. response:	Then, I'll do my best.
context: Would you draw more illustrations for\I'll do it.\But if it'll get in the way of your manga\I'll do it.\I-I see. In that case, thanks.\Sorata, you're not happy?\No, that's not it. It's a huge help.\Then, I'll do my best. response:	What's Yuko-chan's number?
context: I'll do it.\But if it'll get in the way of your manga\I'll do it.\I-I see. In that case, thanks.\Sorata, you're not happy?\No, that's not it. It's a huge help.\Then, I'll do my best.\What's Yuko-chan's number? response:	Ninety-nine.
context: But if it'll get in the way of your manga\I'll do it.\I-I see. In that case, thanks.\Sorata, you're not happy?\No, that's not it. It's a huge help.\Then, I'll do my best.\What's Yuko-chan's number?\Ninety-nine. response:	Let's see...
context: I'll do it.\I-I see. In that case, thanks.\Sorata, you're not happy?\No, that's not it. It's a huge help.\Then, I'll do my best.\What's Yuko-chan's number?\Ninety-nine.\Let's see... response:	Well, not much we can do.
context: I-I see. In that case, thanks.\Sorata, you're not happy?\No, that's not it. It's a huge help.\Then, I'll do my best.\What's Yuko-chan's number?\Ninety-nine.\Let's see...\Well, not much we can do. response:	How did it go, Onii-chan?!
context: Sorata, you're not happy?\No, that's not it. It's a huge help.\Then, I'll do my best.\What's Yuko-chan's number?\Ninety-nine.\Let's see...\Well, not much we can do.\How did it go, Onii-chan?! response:	You failed.
context: No, that's not it. It's a huge help.\Then, I'll do my best.\What's Yuko-chan's number?\Ninety-nine.\Let's see...\Well, not much we can do.\How did it go, Onii-chan?!\You failed. response:	That's impossible! Check again!
context: Then, I'll do my best.\What's Yuko-chan's number?\Ninety-nine.\Let's see...\Well, not much we can do.\How did it go, Onii-chan?!\You failed.\That's impossible! Check again! response:	No matter how many times I check, you still failed.
context: What's Yuko-chan's number?\Ninety-nine.\Let's see...\Well, not much we can do.\How did it go, Onii-chan?!\You failed.\That's impossible! Check again!\No matter how many times I check, you still failed. response:	All the other numbers in the nineties passed, but 99 isn't up there.
context: Ninety-nine.\Let's see...\Well, not much we can do.\How did it go, Onii-chan?!\You failed.\That's impossible! Check again!\No matter how many times I check, you still failed.\All the other numbers in the nineties passed, but 99 isn't up there. response:	Why only me?
context: Let's see...\Well, not much we can do.\How did it go, Onii-chan?!\You failed.\That's impossible! Check again!\No matter how many times I check, you still failed.\All the other numbers in the nineties passed, but 99 isn't up there.\Why only me? response:	You must not have scored very well on the test.
context: Well, not much we can do.\How did it go, Onii-chan?!\You failed.\That's impossible! Check again!\No matter how many times I check, you still failed.\All the other numbers in the nineties passed, but 99 isn't up there.\Why only me?\You must not have scored very well on the test. response:	Why can't you be nicer to me when I'm in pain?
context: How did it go, Onii-chan?!\You failed.\That's impossible! Check again!\No matter how many times I check, you still failed.\All the other numbers in the nineties passed, but 99 isn't up there.\Why only me?\You must not have scored very well on the test.\Why can't you be nicer to me when I'm in pain? response:	When can I crack open my ball with the congratulations on passing banner?
context: You failed.\That's impossible! Check again!\No matter how many times I check, you still failed.\All the other numbers in the nineties passed, but 99 isn't up there.\Why only me?\You must not have scored very well on the test.\Why can't you be nicer to me when I'm in pain?\When can I crack open my ball with the congratulations on passing banner? response:	How should I know? And what the heck is that, anyway?
context: That's impossible! Check again!\No matter how many times I check, you still failed.\All the other numbers in the nineties passed, but 99 isn't up there.\Why only me?\You must not have scored very well on the test.\Why can't you be nicer to me when I'm in pain?\When can I crack open my ball with the congratulations on passing banner?\How should I know? And what the heck is that, anyway? response:	I pulled three all-nighters making it!
context: No matter how many times I check, you still failed.\All the other numbers in the nineties passed, but 99 isn't up there.\Why only me?\You must not have scored very well on the test.\Why can't you be nicer to me when I'm in pain?\When can I crack open my ball with the congratulations on passing banner?\How should I know? And what the heck is that, anyway?\I pulled three all-nighters making it! response:	I'm breaking it open now!
context: All the other numbers in the nineties passed, but 99 isn't up there.\Why only me?\You must not have scored very well on the test.\Why can't you be nicer to me when I'm in pain?\When can I crack open my ball with the congratulations on passing banner?\How should I know? And what the heck is that, anyway?\I pulled three all-nighters making it!\I'm breaking it open now! response:	My ball failed, too!
context: Why only me?\You must not have scored very well on the test.\Why can't you be nicer to me when I'm in pain?\When can I crack open my ball with the congratulations on passing banner?\How should I know? And what the heck is that, anyway?\I pulled three all-nighters making it!\I'm breaking it open now!\My ball failed, too! response:	Do your best on the prefectural school exam.
context: You must not have scored very well on the test.\Why can't you be nicer to me when I'm in pain?\When can I crack open my ball with the congratulations on passing banner?\How should I know? And what the heck is that, anyway?\I pulled three all-nighters making it!\I'm breaking it open now!\My ball failed, too!\Do your best on the prefectural school exam. response:	Kanda-kun.
context: Why can't you be nicer to me when I'm in pain?\When can I crack open my ball with the congratulations on passing banner?\How should I know? And what the heck is that, anyway?\I pulled three all-nighters making it!\I'm breaking it open now!\My ball failed, too!\Do your best on the prefectural school exam.\Kanda-kun. response:	What are you doing here?
context: When can I crack open my ball with the congratulations on passing banner?\How should I know? And what the heck is that, anyway?\I pulled three all-nighters making it!\I'm breaking it open now!\My ball failed, too!\Do your best on the prefectural school exam.\Kanda-kun.\What are you doing here? response:	My younger brother, Iori, applied to the music department.
context: How should I know? And what the heck is that, anyway?\I pulled three all-nighters making it!\I'm breaking it open now!\My ball failed, too!\Do your best on the prefectural school exam.\Kanda-kun.\What are you doing here?\My younger brother, Iori, applied to the music department. response:	Your brother?
context: I pulled three all-nighters making it!\I'm breaking it open now!\My ball failed, too!\Do your best on the prefectural school exam.\Kanda-kun.\What are you doing here?\My younger brother, Iori, applied to the music department.\Your brother? response:	That's amazing.
context: I'm breaking it open now!\My ball failed, too!\Do your best on the prefectural school exam.\Kanda-kun.\What are you doing here?\My younger brother, Iori, applied to the music department.\Your brother?\That's amazing. response:	Congratulations.
context: My ball failed, too!\Do your best on the prefectural school exam.\Kanda-kun.\What are you doing here?\My younger brother, Iori, applied to the music department.\Your brother?\That's amazing.\Congratulations. response:	Thank you.
context: Do your best on the prefectural school exam.\Kanda-kun.\What are you doing here?\My younger brother, Iori, applied to the music department.\Your brother?\That's amazing.\Congratulations.\Thank you. response:	Looks like Misaki isn't with you?
context: Kanda-kun.\What are you doing here?\My younger brother, Iori, applied to the music department.\Your brother?\That's amazing.\Congratulations.\Thank you.\Looks like Misaki isn't with you? response:	What?
context: What are you doing here?\My younger brother, Iori, applied to the music department.\Your brother?\That's amazing.\Congratulations.\Thank you.\Looks like Misaki isn't with you?\What? response:	Mitaka's here at the school.
context: My younger brother, Iori, applied to the music department.\Your brother?\That's amazing.\Congratulations.\Thank you.\Looks like Misaki isn't with you?\What?\Mitaka's here at the school. response:	Huh? Jin-san?
context: Your brother?\That's amazing.\Congratulations.\Thank you.\Looks like Misaki isn't with you?\What?\Mitaka's here at the school.\Huh? Jin-san? response:	He came to tell his homeroom teacher that he passed his exam.
context: That's amazing.\Congratulations.\Thank you.\Looks like Misaki isn't with you?\What?\Mitaka's here at the school.\Huh? Jin-san?\He came to tell his homeroom teacher that he passed his exam. response:	Mitaka really intends to leave Misaki behind and go to Osaka.
context: Congratulations.\Thank you.\Looks like Misaki isn't with you?\What?\Mitaka's here at the school.\Huh? Jin-san?\He came to tell his homeroom teacher that he passed his exam.\Mitaka really intends to leave Misaki behind and go to Osaka. response:	She didn't even get to see him on Valentine's Day.
context: Thank you.\Looks like Misaki isn't with you?\What?\Mitaka's here at the school.\Huh? Jin-san?\He came to tell his homeroom teacher that he passed his exam.\Mitaka really intends to leave Misaki behind and go to Osaka.\She didn't even get to see him on Valentine's Day. response:	There are only two weeks left before graduation.
context: Looks like Misaki isn't with you?\What?\Mitaka's here at the school.\Huh? Jin-san?\He came to tell his homeroom teacher that he passed his exam.\Mitaka really intends to leave Misaki behind and go to Osaka.\She didn't even get to see him on Valentine's Day.\There are only two weeks left before graduation. response:	Two weeks...
context: What?\Mitaka's here at the school.\Huh? Jin-san?\He came to tell his homeroom teacher that he passed his exam.\Mitaka really intends to leave Misaki behind and go to Osaka.\She didn't even get to see him on Valentine's Day.\There are only two weeks left before graduation.\Two weeks... response:	I can't believe the two of them will graduate like this.
context: Mitaka's here at the school.\Huh? Jin-san?\He came to tell his homeroom teacher that he passed his exam.\Mitaka really intends to leave Misaki behind and go to Osaka.\She didn't even get to see him on Valentine's Day.\There are only two weeks left before graduation.\Two weeks...\I can't believe the two of them will graduate like this. response:	They can't.
context: Huh? Jin-san?\He came to tell his homeroom teacher that he passed his exam.\Mitaka really intends to leave Misaki behind and go to Osaka.\She didn't even get to see him on Valentine's Day.\There are only two weeks left before graduation.\Two weeks...\I can't believe the two of them will graduate like this.\They can't. response:	Aoyama! Misaki-senpai
context: He came to tell his homeroom teacher that he passed his exam.\Mitaka really intends to leave Misaki behind and go to Osaka.\She didn't even get to see him on Valentine's Day.\There are only two weeks left before graduation.\Two weeks...\I can't believe the two of them will graduate like this.\They can't.\Aoyama! Misaki-senpai response:	I'll go back and get her!
context: Mitaka really intends to leave Misaki behind and go to Osaka.\She didn't even get to see him on Valentine's Day.\There are only two weeks left before graduation.\Two weeks...\I can't believe the two of them will graduate like this.\They can't.\Aoyama! Misaki-senpai\I'll go back and get her! response:	Thanks! I'll keep Jin-san from leaving!
context: She didn't even get to see him on Valentine's Day.\There are only two weeks left before graduation.\Two weeks...\I can't believe the two of them will graduate like this.\They can't.\Aoyama! Misaki-senpai\I'll go back and get her!\Thanks! I'll keep Jin-san from leaving! response:	Do you think it'll be all right?
context: There are only two weeks left before graduation.\Two weeks...\I can't believe the two of them will graduate like this.\They can't.\Aoyama! Misaki-senpai\I'll go back and get her!\Thanks! I'll keep Jin-san from leaving!\Do you think it'll be all right? response:	Who knows? I can't look after them all the time.
context: Two weeks...\I can't believe the two of them will graduate like this.\They can't.\Aoyama! Misaki-senpai\I'll go back and get her!\Thanks! I'll keep Jin-san from leaving!\Do you think it'll be all right?\Who knows? I can't look after them all the time. response:	If you'll excuse me...
context: I can't believe the two of them will graduate like this.\They can't.\Aoyama! Misaki-senpai\I'll go back and get her!\Thanks! I'll keep Jin-san from leaving!\Do you think it'll be all right?\Who knows? I can't look after them all the time.\If you'll excuse me... response:	Jin-san!
context: They can't.\Aoyama! Misaki-senpai\I'll go back and get her!\Thanks! I'll keep Jin-san from leaving!\Do you think it'll be all right?\Who knows? I can't look after them all the time.\If you'll excuse me...\Jin-san! response:	What's wrong?
context: Aoyama! Misaki-senpai\I'll go back and get her!\Thanks! I'll keep Jin-san from leaving!\Do you think it'll be all right?\Who knows? I can't look after them all the time.\If you'll excuse me...\Jin-san!\What's wrong? response:	Mashiro-chan, that's some face you're pulling.
