context: Master Hiten is very handsome... response:	but Master Manten is so dashing, too!
context: Spinning screw top!\Kagome, hurry over here!\Shippo!\Shippo, you know such great magic!\Well...\You can't let your guard down yet.\I know...\Fox magic is actually trickery. response:	Trickery?
context: Kagome, hurry over here!\Shippo!\Shippo, you know such great magic!\Well...\You can't let your guard down yet.\I know...\Fox magic is actually trickery.\Trickery? response:	Then what's that?
context: Shippo!\Shippo, you know such great magic!\Well...\You can't let your guard down yet.\I know...\Fox magic is actually trickery.\Trickery?\Then what's that? response:	Owweee!!
context: Shippo, you know such great magic!\Well...\You can't let your guard down yet.\I know...\Fox magic is actually trickery.\Trickery?\Then what's that?\Owweee!! response:	It's all an illusion.
context: Well...\You can't let your guard down yet.\I know...\Fox magic is actually trickery.\Trickery?\Then what's that?\Owweee!!\It's all an illusion. response:	Damn! That fox tyke!
context: You can't let your guard down yet.\I know...\Fox magic is actually trickery.\Trickery?\Then what's that?\Owweee!!\It's all an illusion.\Damn! That fox tyke! response:	Huh?!
context: I know...\Fox magic is actually trickery.\Trickery?\Then what's that?\Owweee!!\It's all an illusion.\Damn! That fox tyke!\Huh?! response:	N-no!
context: Fox magic is actually trickery.\Trickery?\Then what's that?\Owweee!!\It's all an illusion.\Damn! That fox tyke!\Huh?!\N-no! response:	Gone! It's gone!
context: Trickery?\Then what's that?\Owweee!!\It's all an illusion.\Damn! That fox tyke!\Huh?!\N-no!\Gone! It's gone! response:	My hair!
context: Then what's that?\Owweee!!\It's all an illusion.\Damn! That fox tyke!\Huh?!\N-no!\Gone! It's gone!\My hair! response:	How dare you take my last strand of hair?!
context: Owweee!!\It's all an illusion.\Damn! That fox tyke!\Huh?!\N-no!\Gone! It's gone!\My hair!\How dare you take my last strand of hair?! response:	It's as though we added fuel to the fire...
context: It's all an illusion.\Damn! That fox tyke!\Huh?!\N-no!\Gone! It's gone!\My hair!\How dare you take my last strand of hair?!\It's as though we added fuel to the fire... response:	Damn!
context: Damn! That fox tyke!\Huh?!\N-no!\Gone! It's gone!\My hair!\How dare you take my last strand of hair?!\It's as though we added fuel to the fire...\Damn! response:	Where are you?!
context: Huh?!\N-no!\Gone! It's gone!\My hair!\How dare you take my last strand of hair?!\It's as though we added fuel to the fire...\Damn!\Where are you?! response:	My hair potion candidate... and that fox tyke!
context: N-no!\Gone! It's gone!\My hair!\How dare you take my last strand of hair?!\It's as though we added fuel to the fire...\Damn!\Where are you?!\My hair potion candidate... and that fox tyke! response:	Where'd they go?!
context: Gone! It's gone!\My hair!\How dare you take my last strand of hair?!\It's as though we added fuel to the fire...\Damn!\Where are you?!\My hair potion candidate... and that fox tyke!\Where'd they go?! response:	What'll we do? If we're found, we'll be killed.
context: My hair!\How dare you take my last strand of hair?!\It's as though we added fuel to the fire...\Damn!\Where are you?!\My hair potion candidate... and that fox tyke!\Where'd they go?!\What'll we do? If we're found, we'll be killed. response:	I know... that arrow! Perhaps I can use it again.
context: How dare you take my last strand of hair?!\It's as though we added fuel to the fire...\Damn!\Where are you?!\My hair potion candidate... and that fox tyke!\Where'd they go?!\What'll we do? If we're found, we'll be killed.\I know... that arrow! Perhaps I can use it again. response:	Shippo, c'mere!
context: It's as though we added fuel to the fire...\Damn!\Where are you?!\My hair potion candidate... and that fox tyke!\Where'd they go?!\What'll we do? If we're found, we'll be killed.\I know... that arrow! Perhaps I can use it again.\Shippo, c'mere! response:	Are you here?!
context: Damn!\Where are you?!\My hair potion candidate... and that fox tyke!\Where'd they go?!\What'll we do? If we're found, we'll be killed.\I know... that arrow! Perhaps I can use it again.\Shippo, c'mere!\Are you here?! response:	Huh?
context: Where are you?!\My hair potion candidate... and that fox tyke!\Where'd they go?!\What'll we do? If we're found, we'll be killed.\I know... that arrow! Perhaps I can use it again.\Shippo, c'mere!\Are you here?!\Huh? response:	You bitch! Did you think you could elude me?!
context: My hair potion candidate... and that fox tyke!\Where'd they go?!\What'll we do? If we're found, we'll be killed.\I know... that arrow! Perhaps I can use it again.\Shippo, c'mere!\Are you here?!\Huh?\You bitch! Did you think you could elude me?! response:	Shut up, you skinhead!
context: Where'd they go?!\What'll we do? If we're found, we'll be killed.\I know... that arrow! Perhaps I can use it again.\Shippo, c'mere!\Are you here?!\Huh?\You bitch! Did you think you could elude me?!\Shut up, you skinhead! response:	What?!
context: What'll we do? If we're found, we'll be killed.\I know... that arrow! Perhaps I can use it again.\Shippo, c'mere!\Are you here?!\Huh?\You bitch! Did you think you could elude me?!\Shut up, you skinhead!\What?! response:	Look, hair that you love!
context: I know... that arrow! Perhaps I can use it again.\Shippo, c'mere!\Are you here?!\Huh?\You bitch! Did you think you could elude me?!\Shut up, you skinhead!\What?!\Look, hair that you love! response:	Two women?!
context: Shippo, c'mere!\Are you here?!\Huh?\You bitch! Did you think you could elude me?!\Shut up, you skinhead!\What?!\Look, hair that you love!\Two women?! response:	I'm taking back my arrow!
context: Are you here?!\Huh?\You bitch! Did you think you could elude me?!\Shut up, you skinhead!\What?!\Look, hair that you love!\Two women?!\I'm taking back my arrow! response:	Why you're... a fox!
context: Huh?\You bitch! Did you think you could elude me?!\Shut up, you skinhead!\What?!\Look, hair that you love!\Two women?!\I'm taking back my arrow!\Why you're... a fox! response:	I'm gonna avenge my father's death!
context: You bitch! Did you think you could elude me?!\Shut up, you skinhead!\What?!\Look, hair that you love!\Two women?!\I'm taking back my arrow!\Why you're... a fox!\I'm gonna avenge my father's death! response:	Shippo, hold him down!
context: Shut up, you skinhead!\What?!\Look, hair that you love!\Two women?!\I'm taking back my arrow!\Why you're... a fox!\I'm gonna avenge my father's death!\Shippo, hold him down! response:	If I hit the Scared Jewel fragments in the forehead...
context: What?!\Look, hair that you love!\Two women?!\I'm taking back my arrow!\Why you're... a fox!\I'm gonna avenge my father's death!\Shippo, hold him down!\If I hit the Scared Jewel fragments in the forehead... response:	I can beat him!
context: Look, hair that you love!\Two women?!\I'm taking back my arrow!\Why you're... a fox!\I'm gonna avenge my father's death!\Shippo, hold him down!\If I hit the Scared Jewel fragments in the forehead...\I can beat him! response:	Why you!
context: Two women?!\I'm taking back my arrow!\Why you're... a fox!\I'm gonna avenge my father's death!\Shippo, hold him down!\If I hit the Scared Jewel fragments in the forehead...\I can beat him!\Why you! response:	I'll choke you to death!
context: I'm taking back my arrow!\Why you're... a fox!\I'm gonna avenge my father's death!\Shippo, hold him down!\If I hit the Scared Jewel fragments in the forehead...\I can beat him!\Why you!\I'll choke you to death! response:	Inuyasha!
context: Why you're... a fox!\I'm gonna avenge my father's death!\Shippo, hold him down!\If I hit the Scared Jewel fragments in the forehead...\I can beat him!\Why you!\I'll choke you to death!\Inuyasha! response:	Kagome!
context: I'm gonna avenge my father's death!\Shippo, hold him down!\If I hit the Scared Jewel fragments in the forehead...\I can beat him!\Why you!\I'll choke you to death!\Inuyasha!\Kagome! response:	Stop looking away!
context: Shippo, hold him down!\If I hit the Scared Jewel fragments in the forehead...\I can beat him!\Why you!\I'll choke you to death!\Inuyasha!\Kagome!\Stop looking away! response:	I expected more of a fight!
context: If I hit the Scared Jewel fragments in the forehead...\I can beat him!\Why you!\I'll choke you to death!\Inuyasha!\Kagome!\Stop looking away!\I expected more of a fight! response:	Weakling!
context: I can beat him!\Why you!\I'll choke you to death!\Inuyasha!\Kagome!\Stop looking away!\I expected more of a fight!\Weakling! response:	How about I kill you slowly, one limb at a time?
context: Why you!\I'll choke you to death!\Inuyasha!\Kagome!\Stop looking away!\I expected more of a fight!\Weakling!\How about I kill you slowly, one limb at a time? response:	I can't concentrate on him.
context: I'll choke you to death!\Inuyasha!\Kagome!\Stop looking away!\I expected more of a fight!\Weakling!\How about I kill you slowly, one limb at a time?\I can't concentrate on him. response:	I have to take care of Kagome first.
context: Inuyasha!\Kagome!\Stop looking away!\I expected more of a fight!\Weakling!\How about I kill you slowly, one limb at a time?\I can't concentrate on him.\I have to take care of Kagome first. response:	Look, Manten... at this half-demon! He's given up!
context: Kagome!\Stop looking away!\I expected more of a fight!\Weakling!\How about I kill you slowly, one limb at a time?\I can't concentrate on him.\I have to take care of Kagome first.\Look, Manten... at this half-demon! He's given up! response:	I'm having fun here, too, Brother!
context: Stop looking away!\I expected more of a fight!\Weakling!\How about I kill you slowly, one limb at a time?\I can't concentrate on him.\I have to take care of Kagome first.\Look, Manten... at this half-demon! He's given up!\I'm having fun here, too, Brother! response:	A woman on the verge of death is irresistible!
context: I expected more of a fight!\Weakling!\How about I kill you slowly, one limb at a time?\I can't concentrate on him.\I have to take care of Kagome first.\Look, Manten... at this half-demon! He's given up!\I'm having fun here, too, Brother!\A woman on the verge of death is irresistible! response:	Damn!
context: Weakling!\How about I kill you slowly, one limb at a time?\I can't concentrate on him.\I have to take care of Kagome first.\Look, Manten... at this half-demon! He's given up!\I'm having fun here, too, Brother!\A woman on the verge of death is irresistible!\Damn! response:	Cut it out!
context: How about I kill you slowly, one limb at a time?\I can't concentrate on him.\I have to take care of Kagome first.\Look, Manten... at this half-demon! He's given up!\I'm having fun here, too, Brother!\A woman on the verge of death is irresistible!\Damn!\Cut it out! response:	Shut up!
context: I can't concentrate on him.\I have to take care of Kagome first.\Look, Manten... at this half-demon! He's given up!\I'm having fun here, too, Brother!\A woman on the verge of death is irresistible!\Damn!\Cut it out!\Shut up! response:	Angry, fox tyke? Well, just wait.
context: I have to take care of Kagome first.\Look, Manten... at this half-demon! He's given up!\I'm having fun here, too, Brother!\A woman on the verge of death is irresistible!\Damn!\Cut it out!\Shut up!\Angry, fox tyke? Well, just wait. response:	After I kill her, I'll fleece you.
context: Look, Manten... at this half-demon! He's given up!\I'm having fun here, too, Brother!\A woman on the verge of death is irresistible!\Damn!\Cut it out!\Shut up!\Angry, fox tyke? Well, just wait.\After I kill her, I'll fleece you. response:	Just like I did your old man.
context: I'm having fun here, too, Brother!\A woman on the verge of death is irresistible!\Damn!\Cut it out!\Shut up!\Angry, fox tyke? Well, just wait.\After I kill her, I'll fleece you.\Just like I did your old man. response:	Maybe I'll turn you into a hood.
context: A woman on the verge of death is irresistible!\Damn!\Cut it out!\Shut up!\Angry, fox tyke? Well, just wait.\After I kill her, I'll fleece you.\Just like I did your old man.\Maybe I'll turn you into a hood. response:	I'll use father and son until both their fur fall off!
context: Damn!\Cut it out!\Shut up!\Angry, fox tyke? Well, just wait.\After I kill her, I'll fleece you.\Just like I did your old man.\Maybe I'll turn you into a hood.\I'll use father and son until both their fur fall off! response:	Manten, you're becoming pretty clever with words!
context: Cut it out!\Shut up!\Angry, fox tyke? Well, just wait.\After I kill her, I'll fleece you.\Just like I did your old man.\Maybe I'll turn you into a hood.\I'll use father and son until both their fur fall off!\Manten, you're becoming pretty clever with words! response:	Brother praised me!
context: Shut up!\Angry, fox tyke? Well, just wait.\After I kill her, I'll fleece you.\Just like I did your old man.\Maybe I'll turn you into a hood.\I'll use father and son until both their fur fall off!\Manten, you're becoming pretty clever with words!\Brother praised me! response:	Unforgivable!
context: Angry, fox tyke? Well, just wait.\After I kill her, I'll fleece you.\Just like I did your old man.\Maybe I'll turn you into a hood.\I'll use father and son until both their fur fall off!\Manten, you're becoming pretty clever with words!\Brother praised me!\Unforgivable! response:	Hmmm? You fool!
context: After I kill her, I'll fleece you.\Just like I did your old man.\Maybe I'll turn you into a hood.\I'll use father and son until both their fur fall off!\Manten, you're becoming pretty clever with words!\Brother praised me!\Unforgivable!\Hmmm? You fool! response:	I won't let go even if it kills me!
context: Just like I did your old man.\Maybe I'll turn you into a hood.\I'll use father and son until both their fur fall off!\Manten, you're becoming pretty clever with words!\Brother praised me!\Unforgivable!\Hmmm? You fool!\I won't let go even if it kills me! response:	Fox tyke... Release me!
context: Maybe I'll turn you into a hood.\I'll use father and son until both their fur fall off!\Manten, you're becoming pretty clever with words!\Brother praised me!\Unforgivable!\Hmmm? You fool!\I won't let go even if it kills me!\Fox tyke... Release me! response:	Release me!
context: I'll use father and son until both their fur fall off!\Manten, you're becoming pretty clever with words!\Brother praised me!\Unforgivable!\Hmmm? You fool!\I won't let go even if it kills me!\Fox tyke... Release me!\Release me! response:	Or I'm gonna beat your head to a pulp!
context: Manten, you're becoming pretty clever with words!\Brother praised me!\Unforgivable!\Hmmm? You fool!\I won't let go even if it kills me!\Fox tyke... Release me!\Release me!\Or I'm gonna beat your head to a pulp! response:	Manten... Watch out or you'll soil his fur with blood.
context: Brother praised me!\Unforgivable!\Hmmm? You fool!\I won't let go even if it kills me!\Fox tyke... Release me!\Release me!\Or I'm gonna beat your head to a pulp!\Manten... Watch out or you'll soil his fur with blood. response:	Then he won't even make a hood.
context: Unforgivable!\Hmmm? You fool!\I won't let go even if it kills me!\Fox tyke... Release me!\Release me!\Or I'm gonna beat your head to a pulp!\Manten... Watch out or you'll soil his fur with blood.\Then he won't even make a hood. response:	All righty, Brother!
context: Hmmm? You fool!\I won't let go even if it kills me!\Fox tyke... Release me!\Release me!\Or I'm gonna beat your head to a pulp!\Manten... Watch out or you'll soil his fur with blood.\Then he won't even make a hood.\All righty, Brother! response:	Damn! I may not be the nicest guy around...
context: I won't let go even if it kills me!\Fox tyke... Release me!\Release me!\Or I'm gonna beat your head to a pulp!\Manten... Watch out or you'll soil his fur with blood.\Then he won't even make a hood.\All righty, Brother!\Damn! I may not be the nicest guy around... response:	but you two are making me sick!
context: Fox tyke... Release me!\Release me!\Or I'm gonna beat your head to a pulp!\Manten... Watch out or you'll soil his fur with blood.\Then he won't even make a hood.\All righty, Brother!\Damn! I may not be the nicest guy around...\but you two are making me sick! response:	Blades of Blood!
context: Release me!\Or I'm gonna beat your head to a pulp!\Manten... Watch out or you'll soil his fur with blood.\Then he won't even make a hood.\All righty, Brother!\Damn! I may not be the nicest guy around...\but you two are making me sick!\Blades of Blood! response:	Fun! Keep attacking!
context: Or I'm gonna beat your head to a pulp!\Manten... Watch out or you'll soil his fur with blood.\Then he won't even make a hood.\All righty, Brother!\Damn! I may not be the nicest guy around...\but you two are making me sick!\Blades of Blood!\Fun! Keep attacking! response:	Fool! Where're you aiming?
context: Manten... Watch out or you'll soil his fur with blood.\Then he won't even make a hood.\All righty, Brother!\Damn! I may not be the nicest guy around...\but you two are making me sick!\Blades of Blood!\Fun! Keep attacking!\Fool! Where're you aiming? response:	I did it!
