context: Lord Milza's Dartanian forces have safely joined ours. response:	Also, I've received word that Lady Ururika's fleet will be arriving soon at Castle Unicorn.
context: All right, let the revelry begin!\How did the Nordic fleet get here?\Don't tell me they actually came halfway around the continent?\The soldiers could've made it here on foot, then built the ships here.\What should we do?\This spells defeat for me.\After all the battles it's been through, our navy's taken some serious hits.\And Lady Edokia's Palace of the Sea won't hold up for long against that giant fleet. response:	Waldlind will be acting in concert with Nord, so they're sure to make a move this time.
context: How did the Nordic fleet get here?\Don't tell me they actually came halfway around the continent?\The soldiers could've made it here on foot, then built the ships here.\What should we do?\This spells defeat for me.\After all the battles it's been through, our navy's taken some serious hits.\And Lady Edokia's Palace of the Sea won't hold up for long against that giant fleet.\Waldlind will be acting in concert with Nord, so they're sure to make a move this time. response:	If they attack us from both land and sea, the castle won't last for long.
context: Don't tell me they actually came halfway around the continent?\The soldiers could've made it here on foot, then built the ships here.\What should we do?\This spells defeat for me.\After all the battles it's been through, our navy's taken some serious hits.\And Lady Edokia's Palace of the Sea won't hold up for long against that giant fleet.\Waldlind will be acting in concert with Nord, so they're sure to make a move this time.\If they attack us from both land and sea, the castle won't last for long. response:	In that case, how shall we lose?
context: The soldiers could've made it here on foot, then built the ships here.\What should we do?\This spells defeat for me.\After all the battles it's been through, our navy's taken some serious hits.\And Lady Edokia's Palace of the Sea won't hold up for long against that giant fleet.\Waldlind will be acting in concert with Nord, so they're sure to make a move this time.\If they attack us from both land and sea, the castle won't last for long.\In that case, how shall we lose? response:	Can't surrender without putting up a fight, right?
context: What should we do?\This spells defeat for me.\After all the battles it's been through, our navy's taken some serious hits.\And Lady Edokia's Palace of the Sea won't hold up for long against that giant fleet.\Waldlind will be acting in concert with Nord, so they're sure to make a move this time.\If they attack us from both land and sea, the castle won't last for long.\In that case, how shall we lose?\Can't surrender without putting up a fight, right? response:	I'm going to prepare for battle now, and take command at the palace gates.
context: This spells defeat for me.\After all the battles it's been through, our navy's taken some serious hits.\And Lady Edokia's Palace of the Sea won't hold up for long against that giant fleet.\Waldlind will be acting in concert with Nord, so they're sure to make a move this time.\If they attack us from both land and sea, the castle won't last for long.\In that case, how shall we lose?\Can't surrender without putting up a fight, right?\I'm going to prepare for battle now, and take command at the palace gates. response:	What shall we tell the Lords in the vicinity?
context: After all the battles it's been through, our navy's taken some serious hits.\And Lady Edokia's Palace of the Sea won't hold up for long against that giant fleet.\Waldlind will be acting in concert with Nord, so they're sure to make a move this time.\If they attack us from both land and sea, the castle won't last for long.\In that case, how shall we lose?\Can't surrender without putting up a fight, right?\I'm going to prepare for battle now, and take command at the palace gates.\What shall we tell the Lords in the vicinity? response:	Let's have them decide for themselves.
context: And Lady Edokia's Palace of the Sea won't hold up for long against that giant fleet.\Waldlind will be acting in concert with Nord, so they're sure to make a move this time.\If they attack us from both land and sea, the castle won't last for long.\In that case, how shall we lose?\Can't surrender without putting up a fight, right?\I'm going to prepare for battle now, and take command at the palace gates.\What shall we tell the Lords in the vicinity?\Let's have them decide for themselves. response:	We'll thank them for all their help till now, and apologize for the casualties they suffered.
context: Waldlind will be acting in concert with Nord, so they're sure to make a move this time.\If they attack us from both land and sea, the castle won't last for long.\In that case, how shall we lose?\Can't surrender without putting up a fight, right?\I'm going to prepare for battle now, and take command at the palace gates.\What shall we tell the Lords in the vicinity?\Let's have them decide for themselves.\We'll thank them for all their help till now, and apologize for the casualties they suffered. response:	And what of the Lords serving you?
context: If they attack us from both land and sea, the castle won't last for long.\In that case, how shall we lose?\Can't surrender without putting up a fight, right?\I'm going to prepare for battle now, and take command at the palace gates.\What shall we tell the Lords in the vicinity?\Let's have them decide for themselves.\We'll thank them for all their help till now, and apologize for the casualties they suffered.\And what of the Lords serving you? response:	Do you think I'll catch hell if I order them to surrender?
context: In that case, how shall we lose?\Can't surrender without putting up a fight, right?\I'm going to prepare for battle now, and take command at the palace gates.\What shall we tell the Lords in the vicinity?\Let's have them decide for themselves.\We'll thank them for all their help till now, and apologize for the casualties they suffered.\And what of the Lords serving you?\Do you think I'll catch hell if I order them to surrender? response:	I'm not sure about them giving you hell, but I don't see them complying.
context: Can't surrender without putting up a fight, right?\I'm going to prepare for battle now, and take command at the palace gates.\What shall we tell the Lords in the vicinity?\Let's have them decide for themselves.\We'll thank them for all their help till now, and apologize for the casualties they suffered.\And what of the Lords serving you?\Do you think I'll catch hell if I order them to surrender?\I'm not sure about them giving you hell, but I don't see them complying. response:	Well, I'll leave the phrasing up to you, Laura.
context: I'm going to prepare for battle now, and take command at the palace gates.\What shall we tell the Lords in the vicinity?\Let's have them decide for themselves.\We'll thank them for all their help till now, and apologize for the casualties they suffered.\And what of the Lords serving you?\Do you think I'll catch hell if I order them to surrender?\I'm not sure about them giving you hell, but I don't see them complying.\Well, I'll leave the phrasing up to you, Laura. response:	I want you to stay here, and contact the princes and Lords.
context: What shall we tell the Lords in the vicinity?\Let's have them decide for themselves.\We'll thank them for all their help till now, and apologize for the casualties they suffered.\And what of the Lords serving you?\Do you think I'll catch hell if I order them to surrender?\I'm not sure about them giving you hell, but I don't see them complying.\Well, I'll leave the phrasing up to you, Laura.\I want you to stay here, and contact the princes and Lords. response:	- Understood? - Y-Yes.
context: Let's have them decide for themselves.\We'll thank them for all their help till now, and apologize for the casualties they suffered.\And what of the Lords serving you?\Do you think I'll catch hell if I order them to surrender?\I'm not sure about them giving you hell, but I don't see them complying.\Well, I'll leave the phrasing up to you, Laura.\I want you to stay here, and contact the princes and Lords.\- Understood? - Y-Yes. response:	Helga, take care of the wounded.
context: We'll thank them for all their help till now, and apologize for the casualties they suffered.\And what of the Lords serving you?\Do you think I'll catch hell if I order them to surrender?\I'm not sure about them giving you hell, but I don't see them complying.\Well, I'll leave the phrasing up to you, Laura.\I want you to stay here, and contact the princes and Lords.\- Understood? - Y-Yes.\Helga, take care of the wounded. response:	Whether they be allies or enemies.
context: And what of the Lords serving you?\Do you think I'll catch hell if I order them to surrender?\I'm not sure about them giving you hell, but I don't see them complying.\Well, I'll leave the phrasing up to you, Laura.\I want you to stay here, and contact the princes and Lords.\- Understood? - Y-Yes.\Helga, take care of the wounded.\Whether they be allies or enemies. response:	It may sound contradictory, but that's also what war is all about.
context: Do you think I'll catch hell if I order them to surrender?\I'm not sure about them giving you hell, but I don't see them complying.\Well, I'll leave the phrasing up to you, Laura.\I want you to stay here, and contact the princes and Lords.\- Understood? - Y-Yes.\Helga, take care of the wounded.\Whether they be allies or enemies.\It may sound contradictory, but that's also what war is all about. response:	Understood.
context: I'm not sure about them giving you hell, but I don't see them complying.\Well, I'll leave the phrasing up to you, Laura.\I want you to stay here, and contact the princes and Lords.\- Understood? - Y-Yes.\Helga, take care of the wounded.\Whether they be allies or enemies.\It may sound contradictory, but that's also what war is all about.\Understood. response:	To both of you, thank you for serving this Lustful Earl so well.
context: Well, I'll leave the phrasing up to you, Laura.\I want you to stay here, and contact the princes and Lords.\- Understood? - Y-Yes.\Helga, take care of the wounded.\Whether they be allies or enemies.\It may sound contradictory, but that's also what war is all about.\Understood.\To both of you, thank you for serving this Lustful Earl so well. response:	I'm sincerely grateful.
context: I want you to stay here, and contact the princes and Lords.\- Understood? - Y-Yes.\Helga, take care of the wounded.\Whether they be allies or enemies.\It may sound contradictory, but that's also what war is all about.\Understood.\To both of you, thank you for serving this Lustful Earl so well.\I'm sincerely grateful. response:	Lord Villar...
context: - Understood? - Y-Yes.\Helga, take care of the wounded.\Whether they be allies or enemies.\It may sound contradictory, but that's also what war is all about.\Understood.\To both of you, thank you for serving this Lustful Earl so well.\I'm sincerely grateful.\Lord Villar... response:	May you be victorious!
context: Helga, take care of the wounded.\Whether they be allies or enemies.\It may sound contradictory, but that's also what war is all about.\Understood.\To both of you, thank you for serving this Lustful Earl so well.\I'm sincerely grateful.\Lord Villar...\May you be victorious! response:	As for Siluca, give her this message. Your advice turned out to be right.
context: Whether they be allies or enemies.\It may sound contradictory, but that's also what war is all about.\Understood.\To both of you, thank you for serving this Lustful Earl so well.\I'm sincerely grateful.\Lord Villar...\May you be victorious!\As for Siluca, give her this message. Your advice turned out to be right. response:	Though I'm sure she already knew that.
context: It may sound contradictory, but that's also what war is all about.\Understood.\To both of you, thank you for serving this Lustful Earl so well.\I'm sincerely grateful.\Lord Villar...\May you be victorious!\As for Siluca, give her this message. Your advice turned out to be right.\Though I'm sure she already knew that. response:	No, Marrine was just that formidable.
context: Understood.\To both of you, thank you for serving this Lustful Earl so well.\I'm sincerely grateful.\Lord Villar...\May you be victorious!\As for Siluca, give her this message. Your advice turned out to be right.\Though I'm sure she already knew that.\No, Marrine was just that formidable. response:	Oh, right...
context: To both of you, thank you for serving this Lustful Earl so well.\I'm sincerely grateful.\Lord Villar...\May you be victorious!\As for Siluca, give her this message. Your advice turned out to be right.\Though I'm sure she already knew that.\No, Marrine was just that formidable.\Oh, right... response:	I think I have a message for Theo, as well.
context: I'm sincerely grateful.\Lord Villar...\May you be victorious!\As for Siluca, give her this message. Your advice turned out to be right.\Though I'm sure she already knew that.\No, Marrine was just that formidable.\Oh, right...\I think I have a message for Theo, as well. response:	The Nords?
context: Lord Villar...\May you be victorious!\As for Siluca, give her this message. Your advice turned out to be right.\Though I'm sure she already knew that.\No, Marrine was just that formidable.\Oh, right...\I think I have a message for Theo, as well.\The Nords? response:	A massive fleet of more than 1,000 ships.
context: May you be victorious!\As for Siluca, give her this message. Your advice turned out to be right.\Though I'm sure she already knew that.\No, Marrine was just that formidable.\Oh, right...\I think I have a message for Theo, as well.\The Nords?\A massive fleet of more than 1,000 ships. response:	They're riding the tide, heading this way at top speed.
context: As for Siluca, give her this message. Your advice turned out to be right.\Though I'm sure she already knew that.\No, Marrine was just that formidable.\Oh, right...\I think I have a message for Theo, as well.\The Nords?\A massive fleet of more than 1,000 ships.\They're riding the tide, heading this way at top speed. response:	Go, Joachim.
context: Though I'm sure she already knew that.\No, Marrine was just that formidable.\Oh, right...\I think I have a message for Theo, as well.\The Nords?\A massive fleet of more than 1,000 ships.\They're riding the tide, heading this way at top speed.\Go, Joachim. response:	Understood.
context: No, Marrine was just that formidable.\Oh, right...\I think I have a message for Theo, as well.\The Nords?\A massive fleet of more than 1,000 ships.\They're riding the tide, heading this way at top speed.\Go, Joachim.\Understood. response:	Looks like we've lost this battle.
context: Oh, right...\I think I have a message for Theo, as well.\The Nords?\A massive fleet of more than 1,000 ships.\They're riding the tide, heading this way at top speed.\Go, Joachim.\Understood.\Looks like we've lost this battle. response:	I hear the earl himself is prepared for defeat.
context: I think I have a message for Theo, as well.\The Nords?\A massive fleet of more than 1,000 ships.\They're riding the tide, heading this way at top speed.\Go, Joachim.\Understood.\Looks like we've lost this battle.\I hear the earl himself is prepared for defeat. response:	I see...
context: The Nords?\A massive fleet of more than 1,000 ships.\They're riding the tide, heading this way at top speed.\Go, Joachim.\Understood.\Looks like we've lost this battle.\I hear the earl himself is prepared for defeat.\I see... response:	So Lord Villar's luck has finally run out, has it?
context: A massive fleet of more than 1,000 ships.\They're riding the tide, heading this way at top speed.\Go, Joachim.\Understood.\Looks like we've lost this battle.\I hear the earl himself is prepared for defeat.\I see...\So Lord Villar's luck has finally run out, has it? response:	I've been apprehensive since hearing the verdict at the Lords' Congress.
context: They're riding the tide, heading this way at top speed.\Go, Joachim.\Understood.\Looks like we've lost this battle.\I hear the earl himself is prepared for defeat.\I see...\So Lord Villar's luck has finally run out, has it?\I've been apprehensive since hearing the verdict at the Lords' Congress. response:	There will be no escaping the Nords on this palace.
context: Go, Joachim.\Understood.\Looks like we've lost this battle.\I hear the earl himself is prepared for defeat.\I see...\So Lord Villar's luck has finally run out, has it?\I've been apprehensive since hearing the verdict at the Lords' Congress.\There will be no escaping the Nords on this palace. response:	You must transfer to a smaller boat, and flee this place.
context: Understood.\Looks like we've lost this battle.\I hear the earl himself is prepared for defeat.\I see...\So Lord Villar's luck has finally run out, has it?\I've been apprehensive since hearing the verdict at the Lords' Congress.\There will be no escaping the Nords on this palace.\You must transfer to a smaller boat, and flee this place. response:	All together?
context: Looks like we've lost this battle.\I hear the earl himself is prepared for defeat.\I see...\So Lord Villar's luck has finally run out, has it?\I've been apprehensive since hearing the verdict at the Lords' Congress.\There will be no escaping the Nords on this palace.\You must transfer to a smaller boat, and flee this place.\All together? response:	No. Just you.
context: I hear the earl himself is prepared for defeat.\I see...\So Lord Villar's luck has finally run out, has it?\I've been apprehensive since hearing the verdict at the Lords' Congress.\There will be no escaping the Nords on this palace.\You must transfer to a smaller boat, and flee this place.\All together?\No. Just you. response:	Since we've all loved you equally, we'll go out as equals, as well.
context: I see...\So Lord Villar's luck has finally run out, has it?\I've been apprehensive since hearing the verdict at the Lords' Congress.\There will be no escaping the Nords on this palace.\You must transfer to a smaller boat, and flee this place.\All together?\No. Just you.\Since we've all loved you equally, we'll go out as equals, as well. response:	That's not what I want!
context: So Lord Villar's luck has finally run out, has it?\I've been apprehensive since hearing the verdict at the Lords' Congress.\There will be no escaping the Nords on this palace.\You must transfer to a smaller boat, and flee this place.\All together?\No. Just you.\Since we've all loved you equally, we'll go out as equals, as well.\That's not what I want! response:	I can't survive without all of you!
context: I've been apprehensive since hearing the verdict at the Lords' Congress.\There will be no escaping the Nords on this palace.\You must transfer to a smaller boat, and flee this place.\All together?\No. Just you.\Since we've all loved you equally, we'll go out as equals, as well.\That's not what I want!\I can't survive without all of you! response:	Look after our children for us.
context: There will be no escaping the Nords on this palace.\You must transfer to a smaller boat, and flee this place.\All together?\No. Just you.\Since we've all loved you equally, we'll go out as equals, as well.\That's not what I want!\I can't survive without all of you!\Look after our children for us. response:	You know, you don't have to accompany me in this.
context: You must transfer to a smaller boat, and flee this place.\All together?\No. Just you.\Since we've all loved you equally, we'll go out as equals, as well.\That's not what I want!\I can't survive without all of you!\Look after our children for us.\You know, you don't have to accompany me in this. response:	If it means being the last woman to stand by the side of Villar, the Earl of Altirk,
context: All together?\No. Just you.\Since we've all loved you equally, we'll go out as equals, as well.\That's not what I want!\I can't survive without all of you!\Look after our children for us.\You know, you don't have to accompany me in this.\If it means being the last woman to stand by the side of Villar, the Earl of Altirk, response:	I could want nothing more.
context: No. Just you.\Since we've all loved you equally, we'll go out as equals, as well.\That's not what I want!\I can't survive without all of you!\Look after our children for us.\You know, you don't have to accompany me in this.\If it means being the last woman to stand by the side of Villar, the Earl of Altirk,\I could want nothing more. response:	But I really wanted you to find happiness.
context: Since we've all loved you equally, we'll go out as equals, as well.\That's not what I want!\I can't survive without all of you!\Look after our children for us.\You know, you don't have to accompany me in this.\If it means being the last woman to stand by the side of Villar, the Earl of Altirk,\I could want nothing more.\But I really wanted you to find happiness. response:	Do I look unhappy to you?
context: That's not what I want!\I can't survive without all of you!\Look after our children for us.\You know, you don't have to accompany me in this.\If it means being the last woman to stand by the side of Villar, the Earl of Altirk,\I could want nothing more.\But I really wanted you to find happiness.\Do I look unhappy to you? response:	I'd been afraid to love all this time.
context: I can't survive without all of you!\Look after our children for us.\You know, you don't have to accompany me in this.\If it means being the last woman to stand by the side of Villar, the Earl of Altirk,\I could want nothing more.\But I really wanted you to find happiness.\Do I look unhappy to you?\I'd been afraid to love all this time. response:	But now that it's come to this, I think I can forgive myself.
context: Look after our children for us.\You know, you don't have to accompany me in this.\If it means being the last woman to stand by the side of Villar, the Earl of Altirk,\I could want nothing more.\But I really wanted you to find happiness.\Do I look unhappy to you?\I'd been afraid to love all this time.\But now that it's come to this, I think I can forgive myself. response:	I see now that life is worth risking.
context: You know, you don't have to accompany me in this.\If it means being the last woman to stand by the side of Villar, the Earl of Altirk,\I could want nothing more.\But I really wanted you to find happiness.\Do I look unhappy to you?\I'd been afraid to love all this time.\But now that it's come to this, I think I can forgive myself.\I see now that life is worth risking. response:	You could've risked it for so many other things.
context: If it means being the last woman to stand by the side of Villar, the Earl of Altirk,\I could want nothing more.\But I really wanted you to find happiness.\Do I look unhappy to you?\I'd been afraid to love all this time.\But now that it's come to this, I think I can forgive myself.\I see now that life is worth risking.\You could've risked it for so many other things. response:	Apparently, they were all too insignificant for me.
context: I could want nothing more.\But I really wanted you to find happiness.\Do I look unhappy to you?\I'd been afraid to love all this time.\But now that it's come to this, I think I can forgive myself.\I see now that life is worth risking.\You could've risked it for so many other things.\Apparently, they were all too insignificant for me. response:	You really are... eccentric.
context: But I really wanted you to find happiness.\Do I look unhappy to you?\I'd been afraid to love all this time.\But now that it's come to this, I think I can forgive myself.\I see now that life is worth risking.\You could've risked it for so many other things.\Apparently, they were all too insignificant for me.\You really are... eccentric. response:	W-What should I do?
context: Do I look unhappy to you?\I'd been afraid to love all this time.\But now that it's come to this, I think I can forgive myself.\I see now that life is worth risking.\You could've risked it for so many other things.\Apparently, they were all too insignificant for me.\You really are... eccentric.\W-What should I do? response:	If the sun was out, I could use this...
context: I'd been afraid to love all this time.\But now that it's come to this, I think I can forgive myself.\I see now that life is worth risking.\You could've risked it for so many other things.\Apparently, they were all too insignificant for me.\You really are... eccentric.\W-What should I do?\If the sun was out, I could use this... response:	The Altirk ships are sustaining heavy damages.
context: But now that it's come to this, I think I can forgive myself.\I see now that life is worth risking.\You could've risked it for so many other things.\Apparently, they were all too insignificant for me.\You really are... eccentric.\W-What should I do?\If the sun was out, I could use this...\The Altirk ships are sustaining heavy damages. response:	We must go!
context: I see now that life is worth risking.\You could've risked it for so many other things.\Apparently, they were all too insignificant for me.\You really are... eccentric.\W-What should I do?\If the sun was out, I could use this...\The Altirk ships are sustaining heavy damages.\We must go! response:	Waves, surge!
context: You could've risked it for so many other things.\Apparently, they were all too insignificant for me.\You really are... eccentric.\W-What should I do?\If the sun was out, I could use this...\The Altirk ships are sustaining heavy damages.\We must go!\Waves, surge! response:	Flames, explode!
context: Apparently, they were all too insignificant for me.\You really are... eccentric.\W-What should I do?\If the sun was out, I could use this...\The Altirk ships are sustaining heavy damages.\We must go!\Waves, surge!\Flames, explode! response:	Flames! Expl-
context: You really are... eccentric.\W-What should I do?\If the sun was out, I could use this...\The Altirk ships are sustaining heavy damages.\We must go!\Waves, surge!\Flames, explode!\Flames! Expl- response:	Edo... kia...
context: W-What should I do?\If the sun was out, I could use this...\The Altirk ships are sustaining heavy damages.\We must go!\Waves, surge!\Flames, explode!\Flames! Expl-\Edo... kia... response:	No!
context: If the sun was out, I could use this...\The Altirk ships are sustaining heavy damages.\We must go!\Waves, surge!\Flames, explode!\Flames! Expl-\Edo... kia...\No! response:	Who would've thought that Waldlind would be this aggressive?
context: The Altirk ships are sustaining heavy damages.\We must go!\Waves, surge!\Flames, explode!\Flames! Expl-\Edo... kia...\No!\Who would've thought that Waldlind would be this aggressive? response:	After all the damage the Earl of Altirk was able to inflict on the Alliance,
context: We must go!\Waves, surge!\Flames, explode!\Flames! Expl-\Edo... kia...\No!\Who would've thought that Waldlind would be this aggressive?\After all the damage the Earl of Altirk was able to inflict on the Alliance, response:	we squandered what time we had, giving them a chance to mount a comeback.
context: Waves, surge!\Flames, explode!\Flames! Expl-\Edo... kia...\No!\Who would've thought that Waldlind would be this aggressive?\After all the damage the Earl of Altirk was able to inflict on the Alliance,\we squandered what time we had, giving them a chance to mount a comeback. response:	And now the Earl of Altirk himself is the first to be driven to the brink!
context: Flames, explode!\Flames! Expl-\Edo... kia...\No!\Who would've thought that Waldlind would be this aggressive?\After all the damage the Earl of Altirk was able to inflict on the Alliance,\we squandered what time we had, giving them a chance to mount a comeback.\And now the Earl of Altirk himself is the first to be driven to the brink! response:	He has himself to blame.
context: Flames! Expl-\Edo... kia...\No!\Who would've thought that Waldlind would be this aggressive?\After all the damage the Earl of Altirk was able to inflict on the Alliance,\we squandered what time we had, giving them a chance to mount a comeback.\And now the Earl of Altirk himself is the first to be driven to the brink!\He has himself to blame. response:	Marrine Kreische spurned our offer of a truce because she couldn't forgive Altirk.
context: Edo... kia...\No!\Who would've thought that Waldlind would be this aggressive?\After all the damage the Earl of Altirk was able to inflict on the Alliance,\we squandered what time we had, giving them a chance to mount a comeback.\And now the Earl of Altirk himself is the first to be driven to the brink!\He has himself to blame.\Marrine Kreische spurned our offer of a truce because she couldn't forgive Altirk. response:	On the other hand, it means the only person they hate is Villar Constance.
context: No!\Who would've thought that Waldlind would be this aggressive?\After all the damage the Earl of Altirk was able to inflict on the Alliance,\we squandered what time we had, giving them a chance to mount a comeback.\And now the Earl of Altirk himself is the first to be driven to the brink!\He has himself to blame.\Marrine Kreische spurned our offer of a truce because she couldn't forgive Altirk.\On the other hand, it means the only person they hate is Villar Constance. response:	Once they seize his Crest, they'll surely be willing to talk peace.
context: Who would've thought that Waldlind would be this aggressive?\After all the damage the Earl of Altirk was able to inflict on the Alliance,\we squandered what time we had, giving them a chance to mount a comeback.\And now the Earl of Altirk himself is the first to be driven to the brink!\He has himself to blame.\Marrine Kreische spurned our offer of a truce because she couldn't forgive Altirk.\On the other hand, it means the only person they hate is Villar Constance.\Once they seize his Crest, they'll surely be willing to talk peace. response:	Are you mad? Or perhaps you have some kind of secret pact in play?
context: After all the damage the Earl of Altirk was able to inflict on the Alliance,\we squandered what time we had, giving them a chance to mount a comeback.\And now the Earl of Altirk himself is the first to be driven to the brink!\He has himself to blame.\Marrine Kreische spurned our offer of a truce because she couldn't forgive Altirk.\On the other hand, it means the only person they hate is Villar Constance.\Once they seize his Crest, they'll surely be willing to talk peace.\Are you mad? Or perhaps you have some kind of secret pact in play? response:	H-How rude!
context: we squandered what time we had, giving them a chance to mount a comeback.\And now the Earl of Altirk himself is the first to be driven to the brink!\He has himself to blame.\Marrine Kreische spurned our offer of a truce because she couldn't forgive Altirk.\On the other hand, it means the only person they hate is Villar Constance.\Once they seize his Crest, they'll surely be willing to talk peace.\Are you mad? Or perhaps you have some kind of secret pact in play?\H-How rude! response:	P-Please, calm yourselves.
context: And now the Earl of Altirk himself is the first to be driven to the brink!\He has himself to blame.\Marrine Kreische spurned our offer of a truce because she couldn't forgive Altirk.\On the other hand, it means the only person they hate is Villar Constance.\Once they seize his Crest, they'll surely be willing to talk peace.\Are you mad? Or perhaps you have some kind of secret pact in play?\H-How rude!\P-Please, calm yourselves. response:	I wish to save the Earl of Altirk.
context: He has himself to blame.\Marrine Kreische spurned our offer of a truce because she couldn't forgive Altirk.\On the other hand, it means the only person they hate is Villar Constance.\Once they seize his Crest, they'll surely be willing to talk peace.\Are you mad? Or perhaps you have some kind of secret pact in play?\H-How rude!\P-Please, calm yourselves.\I wish to save the Earl of Altirk. response:	Towards that end...
context: Marrine Kreische spurned our offer of a truce because she couldn't forgive Altirk.\On the other hand, it means the only person they hate is Villar Constance.\Once they seize his Crest, they'll surely be willing to talk peace.\Are you mad? Or perhaps you have some kind of secret pact in play?\H-How rude!\P-Please, calm yourselves.\I wish to save the Earl of Altirk.\Towards that end... response:	What if we recognize the Kreische family as emperors,
context: On the other hand, it means the only person they hate is Villar Constance.\Once they seize his Crest, they'll surely be willing to talk peace.\Are you mad? Or perhaps you have some kind of secret pact in play?\H-How rude!\P-Please, calm yourselves.\I wish to save the Earl of Altirk.\Towards that end...\What if we recognize the Kreische family as emperors, response:	and all Union Lords swear allegiance to them?
context: Once they seize his Crest, they'll surely be willing to talk peace.\Are you mad? Or perhaps you have some kind of secret pact in play?\H-How rude!\P-Please, calm yourselves.\I wish to save the Earl of Altirk.\Towards that end...\What if we recognize the Kreische family as emperors,\and all Union Lords swear allegiance to them? response:	Are you saying we should surrender?
context: Are you mad? Or perhaps you have some kind of secret pact in play?\H-How rude!\P-Please, calm yourselves.\I wish to save the Earl of Altirk.\Towards that end...\What if we recognize the Kreische family as emperors,\and all Union Lords swear allegiance to them?\Are you saying we should surrender? response:	I believe we have no other option.
context: H-How rude!\P-Please, calm yourselves.\I wish to save the Earl of Altirk.\Towards that end...\What if we recognize the Kreische family as emperors,\and all Union Lords swear allegiance to them?\Are you saying we should surrender?\I believe we have no other option. response:	It is commendable you feel that way.
context: P-Please, calm yourselves.\I wish to save the Earl of Altirk.\Towards that end...\What if we recognize the Kreische family as emperors,\and all Union Lords swear allegiance to them?\Are you saying we should surrender?\I believe we have no other option.\It is commendable you feel that way. response:	However, the Alliance is poised to destroy the Union in battle.
