context: Iread your letter. response:	You're really going, then?
context: Red sky in the morning.\Shepherd's warning.\Shepherd's warning.\Vivi?\It's not my fault.\It takes a lot for father to raise his hand against someone.\But it was bound to happen sooner or later.\Don't worry, Colin. response:	Like they say, if it rains before 7, it'll be fine by 1 1.
context: Shepherd's warning.\Shepherd's warning.\Vivi?\It's not my fault.\It takes a lot for father to raise his hand against someone.\But it was bound to happen sooner or later.\Don't worry, Colin.\Like they say, if it rains before 7, it'll be fine by 1 1. response:	Brother Will will be fine soon, too.
context: Shepherd's warning.\Vivi?\It's not my fault.\It takes a lot for father to raise his hand against someone.\But it was bound to happen sooner or later.\Don't worry, Colin.\Like they say, if it rains before 7, it'll be fine by 1 1.\Brother Will will be fine soon, too. response:	So there's no need to fret.
context: Vivi?\It's not my fault.\It takes a lot for father to raise his hand against someone.\But it was bound to happen sooner or later.\Don't worry, Colin.\Like they say, if it rains before 7, it'll be fine by 1 1.\Brother Will will be fine soon, too.\So there's no need to fret. response:	Is William ready to go?
context: It's not my fault.\It takes a lot for father to raise his hand against someone.\But it was bound to happen sooner or later.\Don't worry, Colin.\Like they say, if it rains before 7, it'll be fine by 1 1.\Brother Will will be fine soon, too.\So there's no need to fret.\Is William ready to go? response:	Well, sir... he appears to be in his room, but...
context: It takes a lot for father to raise his hand against someone.\But it was bound to happen sooner or later.\Don't worry, Colin.\Like they say, if it rains before 7, it'll be fine by 1 1.\Brother Will will be fine soon, too.\So there's no need to fret.\Is William ready to go?\Well, sir... he appears to be in his room, but... response:	Master...
context: But it was bound to happen sooner or later.\Don't worry, Colin.\Like they say, if it rains before 7, it'll be fine by 1 1.\Brother Will will be fine soon, too.\So there's no need to fret.\Is William ready to go?\Well, sir... he appears to be in his room, but...\Master... response:	William, open the door!
context: Don't worry, Colin.\Like they say, if it rains before 7, it'll be fine by 1 1.\Brother Will will be fine soon, too.\So there's no need to fret.\Is William ready to go?\Well, sir... he appears to be in his room, but...\Master...\William, open the door! response:	William!
context: Like they say, if it rains before 7, it'll be fine by 1 1.\Brother Will will be fine soon, too.\So there's no need to fret.\Is William ready to go?\Well, sir... he appears to be in his room, but...\Master...\William, open the door!\William! response:	Oh, you've finally decided to come out.
context: Brother Will will be fine soon, too.\So there's no need to fret.\Is William ready to go?\Well, sir... he appears to be in his room, but...\Master...\William, open the door!\William!\Oh, you've finally decided to come out. response:	Only because I wanted to get away.
context: So there's no need to fret.\Is William ready to go?\Well, sir... he appears to be in his room, but...\Master...\William, open the door!\William!\Oh, you've finally decided to come out.\Only because I wanted to get away. response:	When she really needed someone by her side... I couldn't be there for her.
context: Is William ready to go?\Well, sir... he appears to be in his room, but...\Master...\William, open the door!\William!\Oh, you've finally decided to come out.\Only because I wanted to get away.\When she really needed someone by her side... I couldn't be there for her. response:	Did l... ever really know her?
context: Well, sir... he appears to be in his room, but...\Master...\William, open the door!\William!\Oh, you've finally decided to come out.\Only because I wanted to get away.\When she really needed someone by her side... I couldn't be there for her.\Did l... ever really know her? response:	I was only thinking of myself. I didn't consider what would make Emma happy.
context: Master...\William, open the door!\William!\Oh, you've finally decided to come out.\Only because I wanted to get away.\When she really needed someone by her side... I couldn't be there for her.\Did l... ever really know her?\I was only thinking of myself. I didn't consider what would make Emma happy. response:	Well... I wanted to consider her feelings.
context: William, open the door!\William!\Oh, you've finally decided to come out.\Only because I wanted to get away.\When she really needed someone by her side... I couldn't be there for her.\Did l... ever really know her?\I was only thinking of myself. I didn't consider what would make Emma happy.\Well... I wanted to consider her feelings. response:	But Emma was suffering so badly.
context: William!\Oh, you've finally decided to come out.\Only because I wanted to get away.\When she really needed someone by her side... I couldn't be there for her.\Did l... ever really know her?\I was only thinking of myself. I didn't consider what would make Emma happy.\Well... I wanted to consider her feelings.\But Emma was suffering so badly. response:	Even if I decided to marry Emma, she would have to take on the Jones name.
context: Oh, you've finally decided to come out.\Only because I wanted to get away.\When she really needed someone by her side... I couldn't be there for her.\Did l... ever really know her?\I was only thinking of myself. I didn't consider what would make Emma happy.\Well... I wanted to consider her feelings.\But Emma was suffering so badly.\Even if I decided to marry Emma, she would have to take on the Jones name. response:	She'd be bound by the strict traditions of polite society, exposed to the curiosity of others...
context: Only because I wanted to get away.\When she really needed someone by her side... I couldn't be there for her.\Did l... ever really know her?\I was only thinking of myself. I didn't consider what would make Emma happy.\Well... I wanted to consider her feelings.\But Emma was suffering so badly.\Even if I decided to marry Emma, she would have to take on the Jones name.\She'd be bound by the strict traditions of polite society, exposed to the curiosity of others... response:	Sacrificing so much, would Emma ever really be happy marrying me, I wonder?
context: When she really needed someone by her side... I couldn't be there for her.\Did l... ever really know her?\I was only thinking of myself. I didn't consider what would make Emma happy.\Well... I wanted to consider her feelings.\But Emma was suffering so badly.\Even if I decided to marry Emma, she would have to take on the Jones name.\She'd be bound by the strict traditions of polite society, exposed to the curiosity of others...\Sacrificing so much, would Emma ever really be happy marrying me, I wonder? response:	Am I even a worthy partner for Emma?
context: Did l... ever really know her?\I was only thinking of myself. I didn't consider what would make Emma happy.\Well... I wanted to consider her feelings.\But Emma was suffering so badly.\Even if I decided to marry Emma, she would have to take on the Jones name.\She'd be bound by the strict traditions of polite society, exposed to the curiosity of others...\Sacrificing so much, would Emma ever really be happy marrying me, I wonder?\Am I even a worthy partner for Emma? response:	When I think of it... I become too afraid to face her.
context: I was only thinking of myself. I didn't consider what would make Emma happy.\Well... I wanted to consider her feelings.\But Emma was suffering so badly.\Even if I decided to marry Emma, she would have to take on the Jones name.\She'd be bound by the strict traditions of polite society, exposed to the curiosity of others...\Sacrificing so much, would Emma ever really be happy marrying me, I wonder?\Am I even a worthy partner for Emma?\When I think of it... I become too afraid to face her. response:	Go ahead and call me spineless.
context: Well... I wanted to consider her feelings.\But Emma was suffering so badly.\Even if I decided to marry Emma, she would have to take on the Jones name.\She'd be bound by the strict traditions of polite society, exposed to the curiosity of others...\Sacrificing so much, would Emma ever really be happy marrying me, I wonder?\Am I even a worthy partner for Emma?\When I think of it... I become too afraid to face her.\Go ahead and call me spineless. response:	You are undoubtedly spineless.
context: But Emma was suffering so badly.\Even if I decided to marry Emma, she would have to take on the Jones name.\She'd be bound by the strict traditions of polite society, exposed to the curiosity of others...\Sacrificing so much, would Emma ever really be happy marrying me, I wonder?\Am I even a worthy partner for Emma?\When I think of it... I become too afraid to face her.\Go ahead and call me spineless.\You are undoubtedly spineless. response:	Also miserable, and pathetic.
context: Even if I decided to marry Emma, she would have to take on the Jones name.\She'd be bound by the strict traditions of polite society, exposed to the curiosity of others...\Sacrificing so much, would Emma ever really be happy marrying me, I wonder?\Am I even a worthy partner for Emma?\When I think of it... I become too afraid to face her.\Go ahead and call me spineless.\You are undoubtedly spineless.\Also miserable, and pathetic. response:	You're not prepared to lose Emma, yet you keep acting all melodramatic.
context: She'd be bound by the strict traditions of polite society, exposed to the curiosity of others...\Sacrificing so much, would Emma ever really be happy marrying me, I wonder?\Am I even a worthy partner for Emma?\When I think of it... I become too afraid to face her.\Go ahead and call me spineless.\You are undoubtedly spineless.\Also miserable, and pathetic.\You're not prepared to lose Emma, yet you keep acting all melodramatic. response:	Hey.
context: Sacrificing so much, would Emma ever really be happy marrying me, I wonder?\Am I even a worthy partner for Emma?\When I think of it... I become too afraid to face her.\Go ahead and call me spineless.\You are undoubtedly spineless.\Also miserable, and pathetic.\You're not prepared to lose Emma, yet you keep acting all melodramatic.\Hey. response:	You're overdoing it a bit, aren't you?
context: Am I even a worthy partner for Emma?\When I think of it... I become too afraid to face her.\Go ahead and call me spineless.\You are undoubtedly spineless.\Also miserable, and pathetic.\You're not prepared to lose Emma, yet you keep acting all melodramatic.\Hey.\You're overdoing it a bit, aren't you? response:	You asked me to say it.
context: When I think of it... I become too afraid to face her.\Go ahead and call me spineless.\You are undoubtedly spineless.\Also miserable, and pathetic.\You're not prepared to lose Emma, yet you keep acting all melodramatic.\Hey.\You're overdoing it a bit, aren't you?\You asked me to say it. response:	You love Emma...
context: Go ahead and call me spineless.\You are undoubtedly spineless.\Also miserable, and pathetic.\You're not prepared to lose Emma, yet you keep acting all melodramatic.\Hey.\You're overdoing it a bit, aren't you?\You asked me to say it.\You love Emma... response:	What else do you want? Why are you so confused?
context: You are undoubtedly spineless.\Also miserable, and pathetic.\You're not prepared to lose Emma, yet you keep acting all melodramatic.\Hey.\You're overdoing it a bit, aren't you?\You asked me to say it.\You love Emma...\What else do you want? Why are you so confused? response:	I don't understand you at all.
context: Also miserable, and pathetic.\You're not prepared to lose Emma, yet you keep acting all melodramatic.\Hey.\You're overdoing it a bit, aren't you?\You asked me to say it.\You love Emma...\What else do you want? Why are you so confused?\I don't understand you at all. response:	More importantly, if you don't hurry and stop Emma, you'll never see her again.
context: You're not prepared to lose Emma, yet you keep acting all melodramatic.\Hey.\You're overdoing it a bit, aren't you?\You asked me to say it.\You love Emma...\What else do you want? Why are you so confused?\I don't understand you at all.\More importantly, if you don't hurry and stop Emma, you'll never see her again. response:	What do you mean?
context: Hey.\You're overdoing it a bit, aren't you?\You asked me to say it.\You love Emma...\What else do you want? Why are you so confused?\I don't understand you at all.\More importantly, if you don't hurry and stop Emma, you'll never see her again.\What do you mean? response:	Emma said she was going back to her childhood home.
context: You're overdoing it a bit, aren't you?\You asked me to say it.\You love Emma...\What else do you want? Why are you so confused?\I don't understand you at all.\More importantly, if you don't hurry and stop Emma, you'll never see her again.\What do you mean?\Emma said she was going back to her childhood home. response:	What?
context: You asked me to say it.\You love Emma...\What else do you want? Why are you so confused?\I don't understand you at all.\More importantly, if you don't hurry and stop Emma, you'll never see her again.\What do you mean?\Emma said she was going back to her childhood home.\What? response:	Why didn't you say that sooner?
context: You love Emma...\What else do you want? Why are you so confused?\I don't understand you at all.\More importantly, if you don't hurry and stop Emma, you'll never see her again.\What do you mean?\Emma said she was going back to her childhood home.\What?\Why didn't you say that sooner? response:	Because I didn't really want to tell you.
context: What else do you want? Why are you so confused?\I don't understand you at all.\More importantly, if you don't hurry and stop Emma, you'll never see her again.\What do you mean?\Emma said she was going back to her childhood home.\What?\Why didn't you say that sooner?\Because I didn't really want to tell you. response:	Please summon the coachman.
context: I don't understand you at all.\More importantly, if you don't hurry and stop Emma, you'll never see her again.\What do you mean?\Emma said she was going back to her childhood home.\What?\Why didn't you say that sooner?\Because I didn't really want to tell you.\Please summon the coachman. response:	What?
context: More importantly, if you don't hurry and stop Emma, you'll never see her again.\What do you mean?\Emma said she was going back to her childhood home.\What?\Why didn't you say that sooner?\Because I didn't really want to tell you.\Please summon the coachman.\What? response:	But...
context: What do you mean?\Emma said she was going back to her childhood home.\What?\Why didn't you say that sooner?\Because I didn't really want to tell you.\Please summon the coachman.\What?\But... response:	What's wrong? Quickly now, hurry up!
context: Emma said she was going back to her childhood home.\What?\Why didn't you say that sooner?\Because I didn't really want to tell you.\Please summon the coachman.\What?\But...\What's wrong? Quickly now, hurry up! response:	Eleanor...
context: What?\Why didn't you say that sooner?\Because I didn't really want to tell you.\Please summon the coachman.\What?\But...\What's wrong? Quickly now, hurry up!\Eleanor... response:	I was told to ask you out for a ride, but there must have been some mistake...
context: Why didn't you say that sooner?\Because I didn't really want to tell you.\Please summon the coachman.\What?\But...\What's wrong? Quickly now, hurry up!\Eleanor...\I was told to ask you out for a ride, but there must have been some mistake... response:	I'm very sorry.
context: Because I didn't really want to tell you.\Please summon the coachman.\What?\But...\What's wrong? Quickly now, hurry up!\Eleanor...\I was told to ask you out for a ride, but there must have been some mistake...\I'm very sorry. response:	It's all right.
context: Please summon the coachman.\What?\But...\What's wrong? Quickly now, hurry up!\Eleanor...\I was told to ask you out for a ride, but there must have been some mistake...\I'm very sorry.\It's all right. response:	Eleanor, you have to know. I...
context: What?\But...\What's wrong? Quickly now, hurry up!\Eleanor...\I was told to ask you out for a ride, but there must have been some mistake...\I'm very sorry.\It's all right.\Eleanor, you have to know. I... response:	I'll wait for you.
context: But...\What's wrong? Quickly now, hurry up!\Eleanor...\I was told to ask you out for a ride, but there must have been some mistake...\I'm very sorry.\It's all right.\Eleanor, you have to know. I...\I'll wait for you. response:	What...?
context: What's wrong? Quickly now, hurry up!\Eleanor...\I was told to ask you out for a ride, but there must have been some mistake...\I'm very sorry.\It's all right.\Eleanor, you have to know. I...\I'll wait for you.\What...? response:	It doesn't have to be today, or tomorrow.
context: Eleanor...\I was told to ask you out for a ride, but there must have been some mistake...\I'm very sorry.\It's all right.\Eleanor, you have to know. I...\I'll wait for you.\What...?\It doesn't have to be today, or tomorrow. response:	I really don't mind...
context: I was told to ask you out for a ride, but there must have been some mistake...\I'm very sorry.\It's all right.\Eleanor, you have to know. I...\I'll wait for you.\What...?\It doesn't have to be today, or tomorrow.\I really don't mind... response:	So please, invite me out again...
context: I'm very sorry.\It's all right.\Eleanor, you have to know. I...\I'll wait for you.\What...?\It doesn't have to be today, or tomorrow.\I really don't mind...\So please, invite me out again... response:	Please prepare the carriage.
context: It's all right.\Eleanor, you have to know. I...\I'll wait for you.\What...?\It doesn't have to be today, or tomorrow.\I really don't mind...\So please, invite me out again...\Please prepare the carriage. response:	Yes, sir. Where to?
context: Eleanor, you have to know. I...\I'll wait for you.\What...?\It doesn't have to be today, or tomorrow.\I really don't mind...\So please, invite me out again...\Please prepare the carriage.\Yes, sir. Where to? response:	To Marylebone. Hurry up! Yes, sir. Where to?
context: I'll wait for you.\What...?\It doesn't have to be today, or tomorrow.\I really don't mind...\So please, invite me out again...\Please prepare the carriage.\Yes, sir. Where to?\To Marylebone. Hurry up! Yes, sir. Where to? response:	To Marylebone. Hurry up!
context: What...?\It doesn't have to be today, or tomorrow.\I really don't mind...\So please, invite me out again...\Please prepare the carriage.\Yes, sir. Where to?\To Marylebone. Hurry up! Yes, sir. Where to?\To Marylebone. Hurry up! response:	The upper level's full!
context: It doesn't have to be today, or tomorrow.\I really don't mind...\So please, invite me out again...\Please prepare the carriage.\Yes, sir. Where to?\To Marylebone. Hurry up! Yes, sir. Where to?\To Marylebone. Hurry up!\The upper level's full! response:	Aw!
context: I really don't mind...\So please, invite me out again...\Please prepare the carriage.\Yes, sir. Where to?\To Marylebone. Hurry up! Yes, sir. Where to?\To Marylebone. Hurry up!\The upper level's full!\Aw! response:	Don't be stubborn about it. Come back down.
context: So please, invite me out again...\Please prepare the carriage.\Yes, sir. Where to?\To Marylebone. Hurry up! Yes, sir. Where to?\To Marylebone. Hurry up!\The upper level's full!\Aw!\Don't be stubborn about it. Come back down. response:	Okay.
context: Please prepare the carriage.\Yes, sir. Where to?\To Marylebone. Hurry up! Yes, sir. Where to?\To Marylebone. Hurry up!\The upper level's full!\Aw!\Don't be stubborn about it. Come back down.\Okay. response:	How very naughty! Behave yourself!
context: Yes, sir. Where to?\To Marylebone. Hurry up! Yes, sir. Where to?\To Marylebone. Hurry up!\The upper level's full!\Aw!\Don't be stubborn about it. Come back down.\Okay.\How very naughty! Behave yourself! response:	Okay.
context: To Marylebone. Hurry up! Yes, sir. Where to?\To Marylebone. Hurry up!\The upper level's full!\Aw!\Don't be stubborn about it. Come back down.\Okay.\How very naughty! Behave yourself!\Okay. response:	Emma! Emma!
context: To Marylebone. Hurry up!\The upper level's full!\Aw!\Don't be stubborn about it. Come back down.\Okay.\How very naughty! Behave yourself!\Okay.\Emma! Emma! response:	I can see it!
context: The upper level's full!\Aw!\Don't be stubborn about it. Come back down.\Okay.\How very naughty! Behave yourself!\Okay.\Emma! Emma!\I can see it! response:	That's Kings Cross station, right?
context: Aw!\Don't be stubborn about it. Come back down.\Okay.\How very naughty! Behave yourself!\Okay.\Emma! Emma!\I can see it!\That's Kings Cross station, right? response:	Yes, it is.
context: Don't be stubborn about it. Come back down.\Okay.\How very naughty! Behave yourself!\Okay.\Emma! Emma!\I can see it!\That's Kings Cross station, right?\Yes, it is. response:	Here now! Don't run!
context: Okay.\How very naughty! Behave yourself!\Okay.\Emma! Emma!\I can see it!\That's Kings Cross station, right?\Yes, it is.\Here now! Don't run! response:	Can't you go any faster?!
context: How very naughty! Behave yourself!\Okay.\Emma! Emma!\I can see it!\That's Kings Cross station, right?\Yes, it is.\Here now! Don't run!\Can't you go any faster?! response:	That would be dangerous, we're in the middle of the city.
context: Okay.\Emma! Emma!\I can see it!\That's Kings Cross station, right?\Yes, it is.\Here now! Don't run!\Can't you go any faster?!\That would be dangerous, we're in the middle of the city. response:	I don't care! Go faster!
context: Emma! Emma!\I can see it!\That's Kings Cross station, right?\Yes, it is.\Here now! Don't run!\Can't you go any faster?!\That would be dangerous, we're in the middle of the city.\I don't care! Go faster! response:	Y-Yes, sir.
context: I can see it!\That's Kings Cross station, right?\Yes, it is.\Here now! Don't run!\Can't you go any faster?!\That would be dangerous, we're in the middle of the city.\I don't care! Go faster!\Y-Yes, sir. response:	One third class ticket, please.
context: That's Kings Cross station, right?\Yes, it is.\Here now! Don't run!\Can't you go any faster?!\That would be dangerous, we're in the middle of the city.\I don't care! Go faster!\Y-Yes, sir.\One third class ticket, please. response:	Oh, I'm afraid third class is full.
context: Yes, it is.\Here now! Don't run!\Can't you go any faster?!\That would be dangerous, we're in the middle of the city.\I don't care! Go faster!\Y-Yes, sir.\One third class ticket, please.\Oh, I'm afraid third class is full. response:	What?
context: Here now! Don't run!\Can't you go any faster?!\That would be dangerous, we're in the middle of the city.\I don't care! Go faster!\Y-Yes, sir.\One third class ticket, please.\Oh, I'm afraid third class is full.\What? response:	We still have second class tickets.
context: Can't you go any faster?!\That would be dangerous, we're in the middle of the city.\I don't care! Go faster!\Y-Yes, sir.\One third class ticket, please.\Oh, I'm afraid third class is full.\What?\We still have second class tickets. response:	Second... class?
context: That would be dangerous, we're in the middle of the city.\I don't care! Go faster!\Y-Yes, sir.\One third class ticket, please.\Oh, I'm afraid third class is full.\What?\We still have second class tickets.\Second... class? response:	If you'd have come just a bit earlier you might have gotten into third class.
context: I don't care! Go faster!\Y-Yes, sir.\One third class ticket, please.\Oh, I'm afraid third class is full.\What?\We still have second class tickets.\Second... class?\If you'd have come just a bit earlier you might have gotten into third class. response:	It's only a difference of 5 or 6 shillings.
context: Y-Yes, sir.\One third class ticket, please.\Oh, I'm afraid third class is full.\What?\We still have second class tickets.\Second... class?\If you'd have come just a bit earlier you might have gotten into third class.\It's only a difference of 5 or 6 shillings. response:	One first class round-trip ticket to York.
context: One third class ticket, please.\Oh, I'm afraid third class is full.\What?\We still have second class tickets.\Second... class?\If you'd have come just a bit earlier you might have gotten into third class.\It's only a difference of 5 or 6 shillings.\One first class round-trip ticket to York. response:	What'll it be?
context: Oh, I'm afraid third class is full.\What?\We still have second class tickets.\Second... class?\If you'd have come just a bit earlier you might have gotten into third class.\It's only a difference of 5 or 6 shillings.\One first class round-trip ticket to York.\What'll it be? response:	Well, that will have to do.
context: What?\We still have second class tickets.\Second... class?\If you'd have come just a bit earlier you might have gotten into third class.\It's only a difference of 5 or 6 shillings.\One first class round-trip ticket to York.\What'll it be?\Well, that will have to do. response:	Round-trip?
