context: I have a condition. response:	Tell me all about Nana-san.
context: Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru response:	Why can't things go well between
context: Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between response:	the liar, you, and the crybaby, me?
context: Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me? response:	You don't notice my styled hair
context: Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair response:	or my nice set of press-on nails.
context: Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails. response:	Love isn't about the unhappy tears that go along with it.
context: Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it. response:	Those tears only leave my eyes dry and hurt me.
context: Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me. response:	I love this destiny
context: Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny response:	between only you and only me.
context: Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me. response:	I want to accept your hot feelings
context: the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings response:	and be taken by you forever.
context: You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever. response:	Despite your uncute, tearful face and your shortness, I still love you.
context: or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you. response:	Episode 17 ...
context: Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 17 ... response:	Yano... class isn't over yet.
context: Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 17 ...\Yano... class isn't over yet. response:	Takahashi, let's go.
context: I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 17 ...\Yano... class isn't over yet.\Takahashi, let's go. response:	Um... there's a student council meeting today.
context: between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 17 ...\Yano... class isn't over yet.\Takahashi, let's go.\Um... there's a student council meeting today. response:	He was declined!
context: I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 17 ...\Yano... class isn't over yet.\Takahashi, let's go.\Um... there's a student council meeting today.\He was declined! response:	C-Come with me for a sec.
context: and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 17 ...\Yano... class isn't over yet.\Takahashi, let's go.\Um... there's a student council meeting today.\He was declined!\C-Come with me for a sec. response:	I haven't decided whether I want to go out with you again just yet.
context: Despite your uncute, tearful face and your shortness, I still love you.\Episode 17 ...\Yano... class isn't over yet.\Takahashi, let's go.\Um... there's a student council meeting today.\He was declined!\C-Come with me for a sec.\I haven't decided whether I want to go out with you again just yet. response:	Though I think you already know that...
context: Episode 17 ...\Yano... class isn't over yet.\Takahashi, let's go.\Um... there's a student council meeting today.\He was declined!\C-Come with me for a sec.\I haven't decided whether I want to go out with you again just yet.\Though I think you already know that... response:	Y-Yeah.
context: Yano... class isn't over yet.\Takahashi, let's go.\Um... there's a student council meeting today.\He was declined!\C-Come with me for a sec.\I haven't decided whether I want to go out with you again just yet.\Though I think you already know that...\Y-Yeah. response:	For now, which is better for you? Saturday or Sunday?
context: Takahashi, let's go.\Um... there's a student council meeting today.\He was declined!\C-Come with me for a sec.\I haven't decided whether I want to go out with you again just yet.\Though I think you already know that...\Y-Yeah.\For now, which is better for you? Saturday or Sunday? response:	Either!
context: Um... there's a student council meeting today.\He was declined!\C-Come with me for a sec.\I haven't decided whether I want to go out with you again just yet.\Though I think you already know that...\Y-Yeah.\For now, which is better for you? Saturday or Sunday?\Either! response:	Then... let's meet in front of the station at 11 AM on Saturday.
context: He was declined!\C-Come with me for a sec.\I haven't decided whether I want to go out with you again just yet.\Though I think you already know that...\Y-Yeah.\For now, which is better for you? Saturday or Sunday?\Either!\Then... let's meet in front of the station at 11 AM on Saturday. response:	This isn't a date or anything, okay?
context: C-Come with me for a sec.\I haven't decided whether I want to go out with you again just yet.\Though I think you already know that...\Y-Yeah.\For now, which is better for you? Saturday or Sunday?\Either!\Then... let's meet in front of the station at 11 AM on Saturday.\This isn't a date or anything, okay? response:	Yeah.
context: I haven't decided whether I want to go out with you again just yet.\Though I think you already know that...\Y-Yeah.\For now, which is better for you? Saturday or Sunday?\Either!\Then... let's meet in front of the station at 11 AM on Saturday.\This isn't a date or anything, okay?\Yeah. response:	All right!
context: Though I think you already know that...\Y-Yeah.\For now, which is better for you? Saturday or Sunday?\Either!\Then... let's meet in front of the station at 11 AM on Saturday.\This isn't a date or anything, okay?\Yeah.\All right! response:	When he looks so happy like that, my feelings get mixed up...
context: Y-Yeah.\For now, which is better for you? Saturday or Sunday?\Either!\Then... let's meet in front of the station at 11 AM on Saturday.\This isn't a date or anything, okay?\Yeah.\All right!\When he looks so happy like that, my feelings get mixed up... response:	Whoa...
context: For now, which is better for you? Saturday or Sunday?\Either!\Then... let's meet in front of the station at 11 AM on Saturday.\This isn't a date or anything, okay?\Yeah.\All right!\When he looks so happy like that, my feelings get mixed up...\Whoa... response:	You can really see the shock...
context: Either!\Then... let's meet in front of the station at 11 AM on Saturday.\This isn't a date or anything, okay?\Yeah.\All right!\When he looks so happy like that, my feelings get mixed up...\Whoa...\You can really see the shock... response:	I think you already know, but...
context: Then... let's meet in front of the station at 11 AM on Saturday.\This isn't a date or anything, okay?\Yeah.\All right!\When he looks so happy like that, my feelings get mixed up...\Whoa...\You can really see the shock...\I think you already know, but... response:	Do you really understand?
context: This isn't a date or anything, okay?\Yeah.\All right!\When he looks so happy like that, my feelings get mixed up...\Whoa...\You can really see the shock...\I think you already know, but...\Do you really understand? response:	I do.
context: Yeah.\All right!\When he looks so happy like that, my feelings get mixed up...\Whoa...\You can really see the shock...\I think you already know, but...\Do you really understand?\I do. response:	Do you really understand?
context: All right!\When he looks so happy like that, my feelings get mixed up...\Whoa...\You can really see the shock...\I think you already know, but...\Do you really understand?\I do.\Do you really understand? response:	I said I do.
context: When he looks so happy like that, my feelings get mixed up...\Whoa...\You can really see the shock...\I think you already know, but...\Do you really understand?\I do.\Do you really understand?\I said I do. response:	You thought she'd be all yours again if you went with her today, didn't you?
context: Whoa...\You can really see the shock...\I think you already know, but...\Do you really understand?\I do.\Do you really understand?\I said I do.\You thought she'd be all yours again if you went with her today, didn't you? response:	Bullseye
context: You can really see the shock...\I think you already know, but...\Do you really understand?\I do.\Do you really understand?\I said I do.\You thought she'd be all yours again if you went with her today, didn't you?\Bullseye response:	Now that I think about it, this may have made things a little more strange...
context: I think you already know, but...\Do you really understand?\I do.\Do you really understand?\I said I do.\You thought she'd be all yours again if you went with her today, didn't you?\Bullseye\Now that I think about it, this may have made things a little more strange... response:	I told him to tell me all about Nana-san, but now I wonder if this will really work...
context: Do you really understand?\I do.\Do you really understand?\I said I do.\You thought she'd be all yours again if you went with her today, didn't you?\Bullseye\Now that I think about it, this may have made things a little more strange...\I told him to tell me all about Nana-san, but now I wonder if this will really work... response:	I'm not sure what there is to say... I met her in my second year of middle school...
context: I do.\Do you really understand?\I said I do.\You thought she'd be all yours again if you went with her today, didn't you?\Bullseye\Now that I think about it, this may have made things a little more strange...\I told him to tell me all about Nana-san, but now I wonder if this will really work...\I'm not sure what there is to say... I met her in my second year of middle school... response:	So, what more can you determine from that?
context: Do you really understand?\I said I do.\You thought she'd be all yours again if you went with her today, didn't you?\Bullseye\Now that I think about it, this may have made things a little more strange...\I told him to tell me all about Nana-san, but now I wonder if this will really work...\I'm not sure what there is to say... I met her in my second year of middle school...\So, what more can you determine from that? response:	Even if you say that... I don't really know how to respond...
context: I said I do.\You thought she'd be all yours again if you went with her today, didn't you?\Bullseye\Now that I think about it, this may have made things a little more strange...\I told him to tell me all about Nana-san, but now I wonder if this will really work...\I'm not sure what there is to say... I met her in my second year of middle school...\So, what more can you determine from that?\Even if you say that... I don't really know how to respond... response:	If Takahashi and Nana-san were swept out to sea and were drowning, who would you save first?
context: You thought she'd be all yours again if you went with her today, didn't you?\Bullseye\Now that I think about it, this may have made things a little more strange...\I told him to tell me all about Nana-san, but now I wonder if this will really work...\I'm not sure what there is to say... I met her in my second year of middle school...\So, what more can you determine from that?\Even if you say that... I don't really know how to respond...\If Takahashi and Nana-san were swept out to sea and were drowning, who would you save first? response:	If you could only put it simply like that...
context: Bullseye\Now that I think about it, this may have made things a little more strange...\I told him to tell me all about Nana-san, but now I wonder if this will really work...\I'm not sure what there is to say... I met her in my second year of middle school...\So, what more can you determine from that?\Even if you say that... I don't really know how to respond...\If Takahashi and Nana-san were swept out to sea and were drowning, who would you save first?\If you could only put it simply like that... response:	Put it simply...
context: Now that I think about it, this may have made things a little more strange...\I told him to tell me all about Nana-san, but now I wonder if this will really work...\I'm not sure what there is to say... I met her in my second year of middle school...\So, what more can you determine from that?\Even if you say that... I don't really know how to respond...\If Takahashi and Nana-san were swept out to sea and were drowning, who would you save first?\If you could only put it simply like that...\Put it simply... response:	Anyway, let's get something to eat first.
context: I told him to tell me all about Nana-san, but now I wonder if this will really work...\I'm not sure what there is to say... I met her in my second year of middle school...\So, what more can you determine from that?\Even if you say that... I don't really know how to respond...\If Takahashi and Nana-san were swept out to sea and were drowning, who would you save first?\If you could only put it simply like that...\Put it simply...\Anyway, let's get something to eat first. response:	Ah... this place has a buffet.
context: I'm not sure what there is to say... I met her in my second year of middle school...\So, what more can you determine from that?\Even if you say that... I don't really know how to respond...\If Takahashi and Nana-san were swept out to sea and were drowning, who would you save first?\If you could only put it simply like that...\Put it simply...\Anyway, let's get something to eat first.\Ah... this place has a buffet. response:	I wonder if I'm trying to affirm...
context: So, what more can you determine from that?\Even if you say that... I don't really know how to respond...\If Takahashi and Nana-san were swept out to sea and were drowning, who would you save first?\If you could only put it simply like that...\Put it simply...\Anyway, let's get something to eat first.\Ah... this place has a buffet.\I wonder if I'm trying to affirm... response:	Want a slice?
context: Even if you say that... I don't really know how to respond...\If Takahashi and Nana-san were swept out to sea and were drowning, who would you save first?\If you could only put it simply like that...\Put it simply...\Anyway, let's get something to eat first.\Ah... this place has a buffet.\I wonder if I'm trying to affirm...\Want a slice? response:	Thanks.
context: If Takahashi and Nana-san were swept out to sea and were drowning, who would you save first?\If you could only put it simply like that...\Put it simply...\Anyway, let's get something to eat first.\Ah... this place has a buffet.\I wonder if I'm trying to affirm...\Want a slice?\Thanks. response:	You need something?
context: If you could only put it simply like that...\Put it simply...\Anyway, let's get something to eat first.\Ah... this place has a buffet.\I wonder if I'm trying to affirm...\Want a slice?\Thanks.\You need something? response:	Not at all!
context: Put it simply...\Anyway, let's get something to eat first.\Ah... this place has a buffet.\I wonder if I'm trying to affirm...\Want a slice?\Thanks.\You need something?\Not at all! response:	I can't believe you still have the picture.
context: Anyway, let's get something to eat first.\Ah... this place has a buffet.\I wonder if I'm trying to affirm...\Want a slice?\Thanks.\You need something?\Not at all!\I can't believe you still have the picture. response:	I've misjudged you.
context: Ah... this place has a buffet.\I wonder if I'm trying to affirm...\Want a slice?\Thanks.\You need something?\Not at all!\I can't believe you still have the picture.\I've misjudged you. response:	Say whatever you'd like.
context: I wonder if I'm trying to affirm...\Want a slice?\Thanks.\You need something?\Not at all!\I can't believe you still have the picture.\I've misjudged you.\Say whatever you'd like. response:	Ah, Yano, it's not like that...
context: Want a slice?\Thanks.\You need something?\Not at all!\I can't believe you still have the picture.\I've misjudged you.\Say whatever you'd like.\Ah, Yano, it's not like that... response:	How so?
context: Thanks.\You need something?\Not at all!\I can't believe you still have the picture.\I've misjudged you.\Say whatever you'd like.\Ah, Yano, it's not like that...\How so? response:	Where's Yano...?
context: You need something?\Not at all!\I can't believe you still have the picture.\I've misjudged you.\Say whatever you'd like.\Ah, Yano, it's not like that...\How so?\Where's Yano...? response:	Takahashi, do you have the picture Yano was using for his background?
context: Not at all!\I can't believe you still have the picture.\I've misjudged you.\Say whatever you'd like.\Ah, Yano, it's not like that...\How so?\Where's Yano...?\Takahashi, do you have the picture Yano was using for his background? response:	The one of you in the yukata.
context: I can't believe you still have the picture.\I've misjudged you.\Say whatever you'd like.\Ah, Yano, it's not like that...\How so?\Where's Yano...?\Takahashi, do you have the picture Yano was using for his background?\The one of you in the yukata. response:	I sent it to you before, remember?
context: I've misjudged you.\Say whatever you'd like.\Ah, Yano, it's not like that...\How so?\Where's Yano...?\Takahashi, do you have the picture Yano was using for his background?\The one of you in the yukata.\I sent it to you before, remember? response:	Ah... yeah.
context: Say whatever you'd like.\Ah, Yano, it's not like that...\How so?\Where's Yano...?\Takahashi, do you have the picture Yano was using for his background?\The one of you in the yukata.\I sent it to you before, remember?\Ah... yeah. response:	What do you need it for?
context: Ah, Yano, it's not like that...\How so?\Where's Yano...?\Takahashi, do you have the picture Yano was using for his background?\The one of you in the yukata.\I sent it to you before, remember?\Ah... yeah.\What do you need it for? response:	Just something.
context: How so?\Where's Yano...?\Takahashi, do you have the picture Yano was using for his background?\The one of you in the yukata.\I sent it to you before, remember?\Ah... yeah.\What do you need it for?\Just something. response:	If you can do it, and do it well, I'll give you this as a present.
context: Where's Yano...?\Takahashi, do you have the picture Yano was using for his background?\The one of you in the yukata.\I sent it to you before, remember?\Ah... yeah.\What do you need it for?\Just something.\If you can do it, and do it well, I'll give you this as a present. response:	You...!
context: Takahashi, do you have the picture Yano was using for his background?\The one of you in the yukata.\I sent it to you before, remember?\Ah... yeah.\What do you need it for?\Just something.\If you can do it, and do it well, I'll give you this as a present.\You...! response:	Didn't you tell me you erased it?!
context: The one of you in the yukata.\I sent it to you before, remember?\Ah... yeah.\What do you need it for?\Just something.\If you can do it, and do it well, I'll give you this as a present.\You...!\Didn't you tell me you erased it?! response:	I asked you over and over, but you kept telling me you didn't have it, didn't you?!
context: I sent it to you before, remember?\Ah... yeah.\What do you need it for?\Just something.\If you can do it, and do it well, I'll give you this as a present.\You...!\Didn't you tell me you erased it?!\I asked you over and over, but you kept telling me you didn't have it, didn't you?! response:	What?
context: Ah... yeah.\What do you need it for?\Just something.\If you can do it, and do it well, I'll give you this as a present.\You...!\Didn't you tell me you erased it?!\I asked you over and over, but you kept telling me you didn't have it, didn't you?!\What? response:	N-Never mind.
context: What do you need it for?\Just something.\If you can do it, and do it well, I'll give you this as a present.\You...!\Didn't you tell me you erased it?!\I asked you over and over, but you kept telling me you didn't have it, didn't you?!\What?\N-Never mind. response:	It's nothing...
context: Just something.\If you can do it, and do it well, I'll give you this as a present.\You...!\Didn't you tell me you erased it?!\I asked you over and over, but you kept telling me you didn't have it, didn't you?!\What?\N-Never mind.\It's nothing... response:	Now that you mention it, why'd you delete your background?
context: If you can do it, and do it well, I'll give you this as a present.\You...!\Didn't you tell me you erased it?!\I asked you over and over, but you kept telling me you didn't have it, didn't you?!\What?\N-Never mind.\It's nothing...\Now that you mention it, why'd you delete your background? response:	Note: The following scene is a series of very Japanese puns.
context: You...!\Didn't you tell me you erased it?!\I asked you over and over, but you kept telling me you didn't have it, didn't you?!\What?\N-Never mind.\It's nothing...\Now that you mention it, why'd you delete your background?\Note: The following scene is a series of very Japanese puns. response:	A gorilla!
context: Didn't you tell me you erased it?!\I asked you over and over, but you kept telling me you didn't have it, didn't you?!\What?\N-Never mind.\It's nothing...\Now that you mention it, why'd you delete your background?\Note: The following scene is a series of very Japanese puns.\A gorilla! response:	Er, Gouda Takeshi.
context: I asked you over and over, but you kept telling me you didn't have it, didn't you?!\What?\N-Never mind.\It's nothing...\Now that you mention it, why'd you delete your background?\Note: The following scene is a series of very Japanese puns.\A gorilla!\Er, Gouda Takeshi. response:	A hook-up...
context: What?\N-Never mind.\It's nothing...\Now that you mention it, why'd you delete your background?\Note: The following scene is a series of very Japanese puns.\A gorilla!\Er, Gouda Takeshi.\A hook-up... response:	Go take a shit?
context: N-Never mind.\It's nothing...\Now that you mention it, why'd you delete your background?\Note: The following scene is a series of very Japanese puns.\A gorilla!\Er, Gouda Takeshi.\A hook-up...\Go take a shit? response:	We're eating right now...
context: It's nothing...\Now that you mention it, why'd you delete your background?\Note: The following scene is a series of very Japanese puns.\A gorilla!\Er, Gouda Takeshi.\A hook-up...\Go take a shit?\We're eating right now... response:	A hook-up party?
context: Now that you mention it, why'd you delete your background?\Note: The following scene is a series of very Japanese puns.\A gorilla!\Er, Gouda Takeshi.\A hook-up...\Go take a shit?\We're eating right now...\A hook-up party? response:	Lovely Complex?
context: Note: The following scene is a series of very Japanese puns.\A gorilla!\Er, Gouda Takeshi.\A hook-up...\Go take a shit?\We're eating right now...\A hook-up party?\Lovely Complex? response:	Note: Love Com, another shoujo manga.
context: A gorilla!\Er, Gouda Takeshi.\A hook-up...\Go take a shit?\We're eating right now...\A hook-up party?\Lovely Complex?\Note: Love Com, another shoujo manga. response:	It was a hook-up party, wasn't it?
context: Er, Gouda Takeshi.\A hook-up...\Go take a shit?\We're eating right now...\A hook-up party?\Lovely Complex?\Note: Love Com, another shoujo manga.\It was a hook-up party, wasn't it? response:	A general contractor?
context: A hook-up...\Go take a shit?\We're eating right now...\A hook-up party?\Lovely Complex?\Note: Love Com, another shoujo manga.\It was a hook-up party, wasn't it?\A general contractor? response:	I see... so you went to a hook-up party...
context: Go take a shit?\We're eating right now...\A hook-up party?\Lovely Complex?\Note: Love Com, another shoujo manga.\It was a hook-up party, wasn't it?\A general contractor?\I see... so you went to a hook-up party... response:	Note: An actor.
context: We're eating right now...\A hook-up party?\Lovely Complex?\Note: Love Com, another shoujo manga.\It was a hook-up party, wasn't it?\A general contractor?\I see... so you went to a hook-up party...\Note: An actor. response:	Sankhon?
context: A hook-up party?\Lovely Complex?\Note: Love Com, another shoujo manga.\It was a hook-up party, wasn't it?\A general contractor?\I see... so you went to a hook-up party...\Note: An actor.\Sankhon? response:	I can't believe you.
context: Lovely Complex?\Note: Love Com, another shoujo manga.\It was a hook-up party, wasn't it?\A general contractor?\I see... so you went to a hook-up party...\Note: An actor.\Sankhon?\I can't believe you. response:	No, umm, you see...
context: Note: Love Com, another shoujo manga.\It was a hook-up party, wasn't it?\A general contractor?\I see... so you went to a hook-up party...\Note: An actor.\Sankhon?\I can't believe you.\No, umm, you see... response:	Please let me explain! Umm, it was...
context: It was a hook-up party, wasn't it?\A general contractor?\I see... so you went to a hook-up party...\Note: An actor.\Sankhon?\I can't believe you.\No, umm, you see...\Please let me explain! Umm, it was... response:	You said you'd wait for me, and you went to a hook-party?
context: A general contractor?\I see... so you went to a hook-up party...\Note: An actor.\Sankhon?\I can't believe you.\No, umm, you see...\Please let me explain! Umm, it was...\You said you'd wait for me, and you went to a hook-party? response:	No... I kinda got caught in the flow, and...
context: I see... so you went to a hook-up party...\Note: An actor.\Sankhon?\I can't believe you.\No, umm, you see...\Please let me explain! Umm, it was...\You said you'd wait for me, and you went to a hook-party?\No... I kinda got caught in the flow, and... response:	When was it?
context: Note: An actor.\Sankhon?\I can't believe you.\No, umm, you see...\Please let me explain! Umm, it was...\You said you'd wait for me, and you went to a hook-party?\No... I kinda got caught in the flow, and...\When was it? response:	J-July?
context: Sankhon?\I can't believe you.\No, umm, you see...\Please let me explain! Umm, it was...\You said you'd wait for me, and you went to a hook-party?\No... I kinda got caught in the flow, and...\When was it?\J-July? response:	Pretty soon afterwards, I see!
context: I can't believe you.\No, umm, you see...\Please let me explain! Umm, it was...\You said you'd wait for me, and you went to a hook-party?\No... I kinda got caught in the flow, and...\When was it?\J-July?\Pretty soon afterwards, I see! response:	No... they forced me to go...
context: No, umm, you see...\Please let me explain! Umm, it was...\You said you'd wait for me, and you went to a hook-party?\No... I kinda got caught in the flow, and...\When was it?\J-July?\Pretty soon afterwards, I see!\No... they forced me to go... response:	You tried to find a new girlfriend!
context: Please let me explain! Umm, it was...\You said you'd wait for me, and you went to a hook-party?\No... I kinda got caught in the flow, and...\When was it?\J-July?\Pretty soon afterwards, I see!\No... they forced me to go...\You tried to find a new girlfriend! response:	Of course... I wouldn't do something like that.
context: You said you'd wait for me, and you went to a hook-party?\No... I kinda got caught in the flow, and...\When was it?\J-July?\Pretty soon afterwards, I see!\No... they forced me to go...\You tried to find a new girlfriend!\Of course... I wouldn't do something like that. response:	You're the only girl I can see.
context: No... I kinda got caught in the flow, and...\When was it?\J-July?\Pretty soon afterwards, I see!\No... they forced me to go...\You tried to find a new girlfriend!\Of course... I wouldn't do something like that.\You're the only girl I can see. response:	I'm going to be pulled back in by Yano...
context: When was it?\J-July?\Pretty soon afterwards, I see!\No... they forced me to go...\You tried to find a new girlfriend!\Of course... I wouldn't do something like that.\You're the only girl I can see.\I'm going to be pulled back in by Yano... response:	I'm gonna leave for the day.
context: J-July?\Pretty soon afterwards, I see!\No... they forced me to go...\You tried to find a new girlfriend!\Of course... I wouldn't do something like that.\You're the only girl I can see.\I'm going to be pulled back in by Yano...\I'm gonna leave for the day. response:	I doubt he'll say anything else about Nana-san today, anyway.
context: Pretty soon afterwards, I see!\No... they forced me to go...\You tried to find a new girlfriend!\Of course... I wouldn't do something like that.\You're the only girl I can see.\I'm going to be pulled back in by Yano...\I'm gonna leave for the day.\I doubt he'll say anything else about Nana-san today, anyway. response:	Why don't you two try having a normal date now?
context: No... they forced me to go...\You tried to find a new girlfriend!\Of course... I wouldn't do something like that.\You're the only girl I can see.\I'm going to be pulled back in by Yano...\I'm gonna leave for the day.\I doubt he'll say anything else about Nana-san today, anyway.\Why don't you two try having a normal date now? response:	Even with the condition of him telling you about Nana-san...
context: You tried to find a new girlfriend!\Of course... I wouldn't do something like that.\You're the only girl I can see.\I'm going to be pulled back in by Yano...\I'm gonna leave for the day.\I doubt he'll say anything else about Nana-san today, anyway.\Why don't you two try having a normal date now?\Even with the condition of him telling you about Nana-san... response:	Why don't you try becoming a little more honest with your feelings?
context: Of course... I wouldn't do something like that.\You're the only girl I can see.\I'm going to be pulled back in by Yano...\I'm gonna leave for the day.\I doubt he'll say anything else about Nana-san today, anyway.\Why don't you two try having a normal date now?\Even with the condition of him telling you about Nana-san...\Why don't you try becoming a little more honest with your feelings? response:	But everything will just get messed up again if I start going with my emotions, won't it?
context: You're the only girl I can see.\I'm going to be pulled back in by Yano...\I'm gonna leave for the day.\I doubt he'll say anything else about Nana-san today, anyway.\Why don't you two try having a normal date now?\Even with the condition of him telling you about Nana-san...\Why don't you try becoming a little more honest with your feelings?\But everything will just get messed up again if I start going with my emotions, won't it? response:	Takahashi... are you sure it's not Moto but you who's obsessed with Nana-san?
