context: N-Now, now, let's calm down, Ryuko. response:	Bite me! What the hell is going on?
context: Keep playing dumb after seeing this, I dare you!\See? Here's you and Mohawk Man in the corner of this picture!\T-That's not\After I got attacked by Mohawk Man,\I asked Mataro to track him down!\That kid has connections all over this town.\And he found pictures of a guy who looked like him drinking.\It also explains why he brought me to your place. response:	I was at death's door, dammit, so tell me what your deal is!
context: See? Here's you and Mohawk Man in the corner of this picture!\T-That's not\After I got attacked by Mohawk Man,\I asked Mataro to track him down!\That kid has connections all over this town.\And he found pictures of a guy who looked like him drinking.\It also explains why he brought me to your place.\I was at death's door, dammit, so tell me what your deal is! response:	But because of him, the bond between you
context: T-That's not\After I got attacked by Mohawk Man,\I asked Mataro to track him down!\That kid has connections all over this town.\And he found pictures of a guy who looked like him drinking.\It also explains why he brought me to your place.\I was at death's door, dammit, so tell me what your deal is!\But because of him, the bond between you response:	and Senketsu has grown stronger.
context: After I got attacked by Mohawk Man,\I asked Mataro to track him down!\That kid has connections all over this town.\And he found pictures of a guy who looked like him drinking.\It also explains why he brought me to your place.\I was at death's door, dammit, so tell me what your deal is!\But because of him, the bond between you\and Senketsu has grown stronger. response:	His name is Tsumugu Kinagase.
context: I asked Mataro to track him down!\That kid has connections all over this town.\And he found pictures of a guy who looked like him drinking.\It also explains why he brought me to your place.\I was at death's door, dammit, so tell me what your deal is!\But because of him, the bond between you\and Senketsu has grown stronger.\His name is Tsumugu Kinagase. response:	I admit, he's a member of my organization.
context: That kid has connections all over this town.\And he found pictures of a guy who looked like him drinking.\It also explains why he brought me to your place.\I was at death's door, dammit, so tell me what your deal is!\But because of him, the bond between you\and Senketsu has grown stronger.\His name is Tsumugu Kinagase.\I admit, he's a member of my organization. response:	As a result of your battle with him,
context: And he found pictures of a guy who looked like him drinking.\It also explains why he brought me to your place.\I was at death's door, dammit, so tell me what your deal is!\But because of him, the bond between you\and Senketsu has grown stronger.\His name is Tsumugu Kinagase.\I admit, he's a member of my organization.\As a result of your battle with him, response:	you and Senketsu have become true partners!
context: It also explains why he brought me to your place.\I was at death's door, dammit, so tell me what your deal is!\But because of him, the bond between you\and Senketsu has grown stronger.\His name is Tsumugu Kinagase.\I admit, he's a member of my organization.\As a result of your battle with him,\you and Senketsu have become true partners! response:	Now that Satsuki Kiryuin has her hands on a Kamui,
context: I was at death's door, dammit, so tell me what your deal is!\But because of him, the bond between you\and Senketsu has grown stronger.\His name is Tsumugu Kinagase.\I admit, he's a member of my organization.\As a result of your battle with him,\you and Senketsu have become true partners!\Now that Satsuki Kiryuin has her hands on a Kamui, response:	it was necessary to put you through a trial
context: But because of him, the bond between you\and Senketsu has grown stronger.\His name is Tsumugu Kinagase.\I admit, he's a member of my organization.\As a result of your battle with him,\you and Senketsu have become true partners!\Now that Satsuki Kiryuin has her hands on a Kamui,\it was necessary to put you through a trial response:	by fire so that you could defeat her.
context: and Senketsu has grown stronger.\His name is Tsumugu Kinagase.\I admit, he's a member of my organization.\As a result of your battle with him,\you and Senketsu have become true partners!\Now that Satsuki Kiryuin has her hands on a Kamui,\it was necessary to put you through a trial\by fire so that you could defeat her. response:	All that crap was you trying real hard
context: His name is Tsumugu Kinagase.\I admit, he's a member of my organization.\As a result of your battle with him,\you and Senketsu have become true partners!\Now that Satsuki Kiryuin has her hands on a Kamui,\it was necessary to put you through a trial\by fire so that you could defeat her.\All that crap was you trying real hard response:	to use the evidence to justify what you did, wasn't it?!
context: I admit, he's a member of my organization.\As a result of your battle with him,\you and Senketsu have become true partners!\Now that Satsuki Kiryuin has her hands on a Kamui,\it was necessary to put you through a trial\by fire so that you could defeat her.\All that crap was you trying real hard\to use the evidence to justify what you did, wasn't it?! response:	I knew it!
context: As a result of your battle with him,\you and Senketsu have become true partners!\Now that Satsuki Kiryuin has her hands on a Kamui,\it was necessary to put you through a trial\by fire so that you could defeat her.\All that crap was you trying real hard\to use the evidence to justify what you did, wasn't it?!\I knew it! response:	That bastard tried to kill Senketsu!
context: you and Senketsu have become true partners!\Now that Satsuki Kiryuin has her hands on a Kamui,\it was necessary to put you through a trial\by fire so that you could defeat her.\All that crap was you trying real hard\to use the evidence to justify what you did, wasn't it?!\I knew it!\That bastard tried to kill Senketsu! response:	Who are you people?!
context: Now that Satsuki Kiryuin has her hands on a Kamui,\it was necessary to put you through a trial\by fire so that you could defeat her.\All that crap was you trying real hard\to use the evidence to justify what you did, wasn't it?!\I knew it!\That bastard tried to kill Senketsu!\Who are you people?! response:	I thought you were fighting against the Kiryuins!
context: it was necessary to put you through a trial\by fire so that you could defeat her.\All that crap was you trying real hard\to use the evidence to justify what you did, wasn't it?!\I knew it!\That bastard tried to kill Senketsu!\Who are you people?!\I thought you were fighting against the Kiryuins! response:	Didn't you say that you'd need Senketsu to do that?
context: by fire so that you could defeat her.\All that crap was you trying real hard\to use the evidence to justify what you did, wasn't it?!\I knew it!\That bastard tried to kill Senketsu!\Who are you people?!\I thought you were fighting against the Kiryuins!\Didn't you say that you'd need Senketsu to do that? response:	What are those Life Fiber things, anyway?
context: All that crap was you trying real hard\to use the evidence to justify what you did, wasn't it?!\I knew it!\That bastard tried to kill Senketsu!\Who are you people?!\I thought you were fighting against the Kiryuins!\Didn't you say that you'd need Senketsu to do that?\What are those Life Fiber things, anyway? response:	What was my dad researching?!
context: to use the evidence to justify what you did, wasn't it?!\I knew it!\That bastard tried to kill Senketsu!\Who are you people?!\I thought you were fighting against the Kiryuins!\Didn't you say that you'd need Senketsu to do that?\What are those Life Fiber things, anyway?\What was my dad researching?! response:	Don't get so angry.
context: I knew it!\That bastard tried to kill Senketsu!\Who are you people?!\I thought you were fighting against the Kiryuins!\Didn't you say that you'd need Senketsu to do that?\What are those Life Fiber things, anyway?\What was my dad researching?!\Don't get so angry. response:	Once I'm convinced that you're someone I can trust,
context: That bastard tried to kill Senketsu!\Who are you people?!\I thought you were fighting against the Kiryuins!\Didn't you say that you'd need Senketsu to do that?\What are those Life Fiber things, anyway?\What was my dad researching?!\Don't get so angry.\Once I'm convinced that you're someone I can trust, response:	I'll tell you everything.
context: Who are you people?!\I thought you were fighting against the Kiryuins!\Didn't you say that you'd need Senketsu to do that?\What are those Life Fiber things, anyway?\What was my dad researching?!\Don't get so angry.\Once I'm convinced that you're someone I can trust,\I'll tell you everything. response:	I'm tired of hearing that excuse from you!
context: I thought you were fighting against the Kiryuins!\Didn't you say that you'd need Senketsu to do that?\What are those Life Fiber things, anyway?\What was my dad researching?!\Don't get so angry.\Once I'm convinced that you're someone I can trust,\I'll tell you everything.\I'm tired of hearing that excuse from you! response:	Nudist Beach.
context: Didn't you say that you'd need Senketsu to do that?\What are those Life Fiber things, anyway?\What was my dad researching?!\Don't get so angry.\Once I'm convinced that you're someone I can trust,\I'll tell you everything.\I'm tired of hearing that excuse from you!\Nudist Beach. response:	Huh?
context: What are those Life Fiber things, anyway?\What was my dad researching?!\Don't get so angry.\Once I'm convinced that you're someone I can trust,\I'll tell you everything.\I'm tired of hearing that excuse from you!\Nudist Beach.\Huh? response:	We're Nudist Beach.
context: What was my dad researching?!\Don't get so angry.\Once I'm convinced that you're someone I can trust,\I'll tell you everything.\I'm tired of hearing that excuse from you!\Nudist Beach.\Huh?\We're Nudist Beach. response:	Are you nuts?
context: Don't get so angry.\Once I'm convinced that you're someone I can trust,\I'll tell you everything.\I'm tired of hearing that excuse from you!\Nudist Beach.\Huh?\We're Nudist Beach.\Are you nuts? response:	It's the name of our organization. Nudist Beach!
context: Once I'm convinced that you're someone I can trust,\I'll tell you everything.\I'm tired of hearing that excuse from you!\Nudist Beach.\Huh?\We're Nudist Beach.\Are you nuts?\It's the name of our organization. Nudist Beach! response:	Forget it.
context: I'll tell you everything.\I'm tired of hearing that excuse from you!\Nudist Beach.\Huh?\We're Nudist Beach.\Are you nuts?\It's the name of our organization. Nudist Beach!\Forget it. response:	It was stupid of me to try to get a straight answer out of you.
context: I'm tired of hearing that excuse from you!\Nudist Beach.\Huh?\We're Nudist Beach.\Are you nuts?\It's the name of our organization. Nudist Beach!\Forget it.\It was stupid of me to try to get a straight answer out of you. response:	Ryuko?
context: Nudist Beach.\Huh?\We're Nudist Beach.\Are you nuts?\It's the name of our organization. Nudist Beach!\Forget it.\It was stupid of me to try to get a straight answer out of you.\Ryuko? response:	Fine, I get it! I'll keep fighting and keep growing stronger.
context: Huh?\We're Nudist Beach.\Are you nuts?\It's the name of our organization. Nudist Beach!\Forget it.\It was stupid of me to try to get a straight answer out of you.\Ryuko?\Fine, I get it! I'll keep fighting and keep growing stronger. response:	That's what you want, right?
context: We're Nudist Beach.\Are you nuts?\It's the name of our organization. Nudist Beach!\Forget it.\It was stupid of me to try to get a straight answer out of you.\Ryuko?\Fine, I get it! I'll keep fighting and keep growing stronger.\That's what you want, right? response:	But that really is our name.
context: Are you nuts?\It's the name of our organization. Nudist Beach!\Forget it.\It was stupid of me to try to get a straight answer out of you.\Ryuko?\Fine, I get it! I'll keep fighting and keep growing stronger.\That's what you want, right?\But that really is our name. response:	Oh well, it worked out in the end.
context: It's the name of our organization. Nudist Beach!\Forget it.\It was stupid of me to try to get a straight answer out of you.\Ryuko?\Fine, I get it! I'll keep fighting and keep growing stronger.\That's what you want, right?\But that really is our name.\Oh well, it worked out in the end. response:	EPISODE 6 DON'T TOY ME ON A WHIM
context: Forget it.\It was stupid of me to try to get a straight answer out of you.\Ryuko?\Fine, I get it! I'll keep fighting and keep growing stronger.\That's what you want, right?\But that really is our name.\Oh well, it worked out in the end.\EPISODE 6 DON'T TOY ME ON A WHIM response:	SEWING CLUB RESEARCH LAB UNDERGROUND PARKING LOT
context: It was stupid of me to try to get a straight answer out of you.\Ryuko?\Fine, I get it! I'll keep fighting and keep growing stronger.\That's what you want, right?\But that really is our name.\Oh well, it worked out in the end.\EPISODE 6 DON'T TOY ME ON A WHIM\SEWING CLUB RESEARCH LAB UNDERGROUND PARKING LOT response:	Okay. Load the Life Fibers into the vault.
context: Ryuko?\Fine, I get it! I'll keep fighting and keep growing stronger.\That's what you want, right?\But that really is our name.\Oh well, it worked out in the end.\EPISODE 6 DON'T TOY ME ON A WHIM\SEWING CLUB RESEARCH LAB UNDERGROUND PARKING LOT\Okay. Load the Life Fibers into the vault. response:	SEWING CLUB PRESIDENT SHIRO IORI
context: Fine, I get it! I'll keep fighting and keep growing stronger.\That's what you want, right?\But that really is our name.\Oh well, it worked out in the end.\EPISODE 6 DON'T TOY ME ON A WHIM\SEWING CLUB RESEARCH LAB UNDERGROUND PARKING LOT\Okay. Load the Life Fibers into the vault.\SEWING CLUB PRESIDENT SHIRO IORI response:	I wonder what Lady Satsuki is going to do with so many Life Fibers?
context: That's what you want, right?\But that really is our name.\Oh well, it worked out in the end.\EPISODE 6 DON'T TOY ME ON A WHIM\SEWING CLUB RESEARCH LAB UNDERGROUND PARKING LOT\Okay. Load the Life Fibers into the vault.\SEWING CLUB PRESIDENT SHIRO IORI\I wonder what Lady Satsuki is going to do with so many Life Fibers? response:	Mass production of Goku Uniforms.
context: But that really is our name.\Oh well, it worked out in the end.\EPISODE 6 DON'T TOY ME ON A WHIM\SEWING CLUB RESEARCH LAB UNDERGROUND PARKING LOT\Okay. Load the Life Fibers into the vault.\SEWING CLUB PRESIDENT SHIRO IORI\I wonder what Lady Satsuki is going to do with so many Life Fibers?\Mass production of Goku Uniforms. response:	What else could they be for?
context: Oh well, it worked out in the end.\EPISODE 6 DON'T TOY ME ON A WHIM\SEWING CLUB RESEARCH LAB UNDERGROUND PARKING LOT\Okay. Load the Life Fibers into the vault.\SEWING CLUB PRESIDENT SHIRO IORI\I wonder what Lady Satsuki is going to do with so many Life Fibers?\Mass production of Goku Uniforms.\What else could they be for? response:	LIFE FIBER
context: EPISODE 6 DON'T TOY ME ON A WHIM\SEWING CLUB RESEARCH LAB UNDERGROUND PARKING LOT\Okay. Load the Life Fibers into the vault.\SEWING CLUB PRESIDENT SHIRO IORI\I wonder what Lady Satsuki is going to do with so many Life Fibers?\Mass production of Goku Uniforms.\What else could they be for?\LIFE FIBER response:	But every time we've proposed increasing the number
context: SEWING CLUB RESEARCH LAB UNDERGROUND PARKING LOT\Okay. Load the Life Fibers into the vault.\SEWING CLUB PRESIDENT SHIRO IORI\I wonder what Lady Satsuki is going to do with so many Life Fibers?\Mass production of Goku Uniforms.\What else could they be for?\LIFE FIBER\But every time we've proposed increasing the number response:	of Two-Star Goku Uniforms to bolster our ranks,
context: Okay. Load the Life Fibers into the vault.\SEWING CLUB PRESIDENT SHIRO IORI\I wonder what Lady Satsuki is going to do with so many Life Fibers?\Mass production of Goku Uniforms.\What else could they be for?\LIFE FIBER\But every time we've proposed increasing the number\of Two-Star Goku Uniforms to bolster our ranks, response:	she was the one who shot it down.
context: SEWING CLUB PRESIDENT SHIRO IORI\I wonder what Lady Satsuki is going to do with so many Life Fibers?\Mass production of Goku Uniforms.\What else could they be for?\LIFE FIBER\But every time we've proposed increasing the number\of Two-Star Goku Uniforms to bolster our ranks,\she was the one who shot it down. response:	Because prioritizing the quantity of club
context: I wonder what Lady Satsuki is going to do with so many Life Fibers?\Mass production of Goku Uniforms.\What else could they be for?\LIFE FIBER\But every time we've proposed increasing the number\of Two-Star Goku Uniforms to bolster our ranks,\she was the one who shot it down.\Because prioritizing the quantity of club response:	presidents has a very real risk of lowering the overall quality.
context: Mass production of Goku Uniforms.\What else could they be for?\LIFE FIBER\But every time we've proposed increasing the number\of Two-Star Goku Uniforms to bolster our ranks,\she was the one who shot it down.\Because prioritizing the quantity of club\presidents has a very real risk of lowering the overall quality. response:	Lady Satsuki was worried about that.
context: What else could they be for?\LIFE FIBER\But every time we've proposed increasing the number\of Two-Star Goku Uniforms to bolster our ranks,\she was the one who shot it down.\Because prioritizing the quantity of club\presidents has a very real risk of lowering the overall quality.\Lady Satsuki was worried about that. response:	But even so, she decided that we
context: LIFE FIBER\But every time we've proposed increasing the number\of Two-Star Goku Uniforms to bolster our ranks,\she was the one who shot it down.\Because prioritizing the quantity of club\presidents has a very real risk of lowering the overall quality.\Lady Satsuki was worried about that.\But even so, she decided that we response:	needed to increase the number of club presidents.
context: But every time we've proposed increasing the number\of Two-Star Goku Uniforms to bolster our ranks,\she was the one who shot it down.\Because prioritizing the quantity of club\presidents has a very real risk of lowering the overall quality.\Lady Satsuki was worried about that.\But even so, she decided that we\needed to increase the number of club presidents. response:	I guess this means that Ryuko Matoi's
context: of Two-Star Goku Uniforms to bolster our ranks,\she was the one who shot it down.\Because prioritizing the quantity of club\presidents has a very real risk of lowering the overall quality.\Lady Satsuki was worried about that.\But even so, she decided that we\needed to increase the number of club presidents.\I guess this means that Ryuko Matoi's response:	arrival set things into motion in a big way.
context: she was the one who shot it down.\Because prioritizing the quantity of club\presidents has a very real risk of lowering the overall quality.\Lady Satsuki was worried about that.\But even so, she decided that we\needed to increase the number of club presidents.\I guess this means that Ryuko Matoi's\arrival set things into motion in a big way. response:	Yeah, even the Anti-Uniform Guerilla showed up the other day.
context: Because prioritizing the quantity of club\presidents has a very real risk of lowering the overall quality.\Lady Satsuki was worried about that.\But even so, she decided that we\needed to increase the number of club presidents.\I guess this means that Ryuko Matoi's\arrival set things into motion in a big way.\Yeah, even the Anti-Uniform Guerilla showed up the other day. response:	And the clincher is the
context: presidents has a very real risk of lowering the overall quality.\Lady Satsuki was worried about that.\But even so, she decided that we\needed to increase the number of club presidents.\I guess this means that Ryuko Matoi's\arrival set things into motion in a big way.\Yeah, even the Anti-Uniform Guerilla showed up the other day.\And the clincher is the response:	fact that Lady Satsuki has donned a Kamui herself.
context: Lady Satsuki was worried about that.\But even so, she decided that we\needed to increase the number of club presidents.\I guess this means that Ryuko Matoi's\arrival set things into motion in a big way.\Yeah, even the Anti-Uniform Guerilla showed up the other day.\And the clincher is the\fact that Lady Satsuki has donned a Kamui herself. response:	There are two people who can wear a
context: But even so, she decided that we\needed to increase the number of club presidents.\I guess this means that Ryuko Matoi's\arrival set things into motion in a big way.\Yeah, even the Anti-Uniform Guerilla showed up the other day.\And the clincher is the\fact that Lady Satsuki has donned a Kamui herself.\There are two people who can wear a response:	uniform that's 100 Life Fibers and make it work...
context: needed to increase the number of club presidents.\I guess this means that Ryuko Matoi's\arrival set things into motion in a big way.\Yeah, even the Anti-Uniform Guerilla showed up the other day.\And the clincher is the\fact that Lady Satsuki has donned a Kamui herself.\There are two people who can wear a\uniform that's 100 Life Fibers and make it work... response:	Personally, I can't believe it.
context: I guess this means that Ryuko Matoi's\arrival set things into motion in a big way.\Yeah, even the Anti-Uniform Guerilla showed up the other day.\And the clincher is the\fact that Lady Satsuki has donned a Kamui herself.\There are two people who can wear a\uniform that's 100 Life Fibers and make it work...\Personally, I can't believe it. response:	Wow! There's something that not even Information
context: arrival set things into motion in a big way.\Yeah, even the Anti-Uniform Guerilla showed up the other day.\And the clincher is the\fact that Lady Satsuki has donned a Kamui herself.\There are two people who can wear a\uniform that's 100 Life Fibers and make it work...\Personally, I can't believe it.\Wow! There's something that not even Information response:	Chair Inumuta can believe?
context: Yeah, even the Anti-Uniform Guerilla showed up the other day.\And the clincher is the\fact that Lady Satsuki has donned a Kamui herself.\There are two people who can wear a\uniform that's 100 Life Fibers and make it work...\Personally, I can't believe it.\Wow! There's something that not even Information\Chair Inumuta can believe? response:	It's one unbelievable thing after another here.
context: And the clincher is the\fact that Lady Satsuki has donned a Kamui herself.\There are two people who can wear a\uniform that's 100 Life Fibers and make it work...\Personally, I can't believe it.\Wow! There's something that not even Information\Chair Inumuta can believe?\It's one unbelievable thing after another here. response:	That's what makes this academy so fascinating.
context: fact that Lady Satsuki has donned a Kamui herself.\There are two people who can wear a\uniform that's 100 Life Fibers and make it work...\Personally, I can't believe it.\Wow! There's something that not even Information\Chair Inumuta can believe?\It's one unbelievable thing after another here.\That's what makes this academy so fascinating. response:	Ah, I see.
context: There are two people who can wear a\uniform that's 100 Life Fibers and make it work...\Personally, I can't believe it.\Wow! There's something that not even Information\Chair Inumuta can believe?\It's one unbelievable thing after another here.\That's what makes this academy so fascinating.\Ah, I see. response:	Personally, I came here because I heard that I'd be able to cut loose.
context: uniform that's 100 Life Fibers and make it work...\Personally, I can't believe it.\Wow! There's something that not even Information\Chair Inumuta can believe?\It's one unbelievable thing after another here.\That's what makes this academy so fascinating.\Ah, I see.\Personally, I came here because I heard that I'd be able to cut loose. response:	That Matoi is worthy of my full attention.
context: Personally, I can't believe it.\Wow! There's something that not even Information\Chair Inumuta can believe?\It's one unbelievable thing after another here.\That's what makes this academy so fascinating.\Ah, I see.\Personally, I came here because I heard that I'd be able to cut loose.\That Matoi is worthy of my full attention. response:	Hold on, Sanageyama.
context: Wow! There's something that not even Information\Chair Inumuta can believe?\It's one unbelievable thing after another here.\That's what makes this academy so fascinating.\Ah, I see.\Personally, I came here because I heard that I'd be able to cut loose.\That Matoi is worthy of my full attention.\Hold on, Sanageyama. response:	Have you forgotten Lady Satsuki's order that the Elite
context: Chair Inumuta can believe?\It's one unbelievable thing after another here.\That's what makes this academy so fascinating.\Ah, I see.\Personally, I came here because I heard that I'd be able to cut loose.\That Matoi is worthy of my full attention.\Hold on, Sanageyama.\Have you forgotten Lady Satsuki's order that the Elite response:	Four were to do nothing but watch?
context: It's one unbelievable thing after another here.\That's what makes this academy so fascinating.\Ah, I see.\Personally, I came here because I heard that I'd be able to cut loose.\That Matoi is worthy of my full attention.\Hold on, Sanageyama.\Have you forgotten Lady Satsuki's order that the Elite\Four were to do nothing but watch? response:	Oh? Did she really say that?
context: That's what makes this academy so fascinating.\Ah, I see.\Personally, I came here because I heard that I'd be able to cut loose.\That Matoi is worthy of my full attention.\Hold on, Sanageyama.\Have you forgotten Lady Satsuki's order that the Elite\Four were to do nothing but watch?\Oh? Did she really say that? response:	It is rather draining, isn't it?
context: Ah, I see.\Personally, I came here because I heard that I'd be able to cut loose.\That Matoi is worthy of my full attention.\Hold on, Sanageyama.\Have you forgotten Lady Satsuki's order that the Elite\Four were to do nothing but watch?\Oh? Did she really say that?\It is rather draining, isn't it? response:	Do try not to overexert yourself, Milady.
context: Personally, I came here because I heard that I'd be able to cut loose.\That Matoi is worthy of my full attention.\Hold on, Sanageyama.\Have you forgotten Lady Satsuki's order that the Elite\Four were to do nothing but watch?\Oh? Did she really say that?\It is rather draining, isn't it?\Do try not to overexert yourself, Milady. response:	Don't worry. This is the path I chose.
context: That Matoi is worthy of my full attention.\Hold on, Sanageyama.\Have you forgotten Lady Satsuki's order that the Elite\Four were to do nothing but watch?\Oh? Did she really say that?\It is rather draining, isn't it?\Do try not to overexert yourself, Milady.\Don't worry. This is the path I chose. response:	Your tea warms me through and through, Soroi.
context: Hold on, Sanageyama.\Have you forgotten Lady Satsuki's order that the Elite\Four were to do nothing but watch?\Oh? Did she really say that?\It is rather draining, isn't it?\Do try not to overexert yourself, Milady.\Don't worry. This is the path I chose.\Your tea warms me through and through, Soroi. response:	Thank you, Milady.
context: Have you forgotten Lady Satsuki's order that the Elite\Four were to do nothing but watch?\Oh? Did she really say that?\It is rather draining, isn't it?\Do try not to overexert yourself, Milady.\Don't worry. This is the path I chose.\Your tea warms me through and through, Soroi.\Thank you, Milady. response:	Do you think you've snuck up behind me, Sanageyama?
context: Four were to do nothing but watch?\Oh? Did she really say that?\It is rather draining, isn't it?\Do try not to overexert yourself, Milady.\Don't worry. This is the path I chose.\Your tea warms me through and through, Soroi.\Thank you, Milady.\Do you think you've snuck up behind me, Sanageyama? response:	Not at all.
context: Oh? Did she really say that?\It is rather draining, isn't it?\Do try not to overexert yourself, Milady.\Don't worry. This is the path I chose.\Your tea warms me through and through, Soroi.\Thank you, Milady.\Do you think you've snuck up behind me, Sanageyama?\Not at all. response:	If I had the slightest intent of attacking,
context: It is rather draining, isn't it?\Do try not to overexert yourself, Milady.\Don't worry. This is the path I chose.\Your tea warms me through and through, Soroi.\Thank you, Milady.\Do you think you've snuck up behind me, Sanageyama?\Not at all.\If I had the slightest intent of attacking, response:	you could easily kill me with just that teacup.
context: Do try not to overexert yourself, Milady.\Don't worry. This is the path I chose.\Your tea warms me through and through, Soroi.\Thank you, Milady.\Do you think you've snuck up behind me, Sanageyama?\Not at all.\If I had the slightest intent of attacking,\you could easily kill me with just that teacup. response:	What do you want, then?
context: Don't worry. This is the path I chose.\Your tea warms me through and through, Soroi.\Thank you, Milady.\Do you think you've snuck up behind me, Sanageyama?\Not at all.\If I had the slightest intent of attacking,\you could easily kill me with just that teacup.\What do you want, then? response:	Let me fight Matoi.
context: Your tea warms me through and through, Soroi.\Thank you, Milady.\Do you think you've snuck up behind me, Sanageyama?\Not at all.\If I had the slightest intent of attacking,\you could easily kill me with just that teacup.\What do you want, then?\Let me fight Matoi. response:	Why?
context: Thank you, Milady.\Do you think you've snuck up behind me, Sanageyama?\Not at all.\If I had the slightest intent of attacking,\you could easily kill me with just that teacup.\What do you want, then?\Let me fight Matoi.\Why? response:	Need you even ask?
context: Do you think you've snuck up behind me, Sanageyama?\Not at all.\If I had the slightest intent of attacking,\you could easily kill me with just that teacup.\What do you want, then?\Let me fight Matoi.\Why?\Need you even ask? response:	I believe you know perfectly well what
context: Not at all.\If I had the slightest intent of attacking,\you could easily kill me with just that teacup.\What do you want, then?\Let me fight Matoi.\Why?\Need you even ask?\I believe you know perfectly well what response:	happens when I see someone powerful.
context: If I had the slightest intent of attacking,\you could easily kill me with just that teacup.\What do you want, then?\Let me fight Matoi.\Why?\Need you even ask?\I believe you know perfectly well what\happens when I see someone powerful. response:	Just like three years ago, then?
context: you could easily kill me with just that teacup.\What do you want, then?\Let me fight Matoi.\Why?\Need you even ask?\I believe you know perfectly well what\happens when I see someone powerful.\Just like three years ago, then? response:	THREE YEARS AGO NORTHERN KANTO, SUSUKIGAHARA
context: What do you want, then?\Let me fight Matoi.\Why?\Need you even ask?\I believe you know perfectly well what\happens when I see someone powerful.\Just like three years ago, then?\THREE YEARS AGO NORTHERN KANTO, SUSUKIGAHARA response:	One against 500, eh?
context: Let me fight Matoi.\Why?\Need you even ask?\I believe you know perfectly well what\happens when I see someone powerful.\Just like three years ago, then?\THREE YEARS AGO NORTHERN KANTO, SUSUKIGAHARA\One against 500, eh? response:	This will make it clear whether or not Satsuki Kiryuin is worthy to lead us.
context: Why?\Need you even ask?\I believe you know perfectly well what\happens when I see someone powerful.\Just like three years ago, then?\THREE YEARS AGO NORTHERN KANTO, SUSUKIGAHARA\One against 500, eh?\This will make it clear whether or not Satsuki Kiryuin is worthy to lead us. response:	I suggest you start practicing your bowing, then.
context: Need you even ask?\I believe you know perfectly well what\happens when I see someone powerful.\Just like three years ago, then?\THREE YEARS AGO NORTHERN KANTO, SUSUKIGAHARA\One against 500, eh?\This will make it clear whether or not Satsuki Kiryuin is worthy to lead us.\I suggest you start practicing your bowing, then. response:	I'm Uzu Sanageyama, Northern Kanto Gang Leader Alliance Representative!
context: I believe you know perfectly well what\happens when I see someone powerful.\Just like three years ago, then?\THREE YEARS AGO NORTHERN KANTO, SUSUKIGAHARA\One against 500, eh?\This will make it clear whether or not Satsuki Kiryuin is worthy to lead us.\I suggest you start practicing your bowing, then.\I'm Uzu Sanageyama, Northern Kanto Gang Leader Alliance Representative! response:	NORTHERN KANTO GANG LEADER ALLIANCE REPRESENTATIVE UZU SANAGEYAMA (THIRD YEAR MIDDLE SCHOOL)
