context: It was only a short time, but thank you for taking care of me! response:	Pro Hero - Gran Torino - Quirk: Jet
context: No, it was thanks to your instruction in ideas and your continuous sparring with me\Izuku Midoriya - Quirk: One For All\that I was able to do something even against the hero killer.\Ow...!\Against a hero killer that wasn't serious!\Well, it was better than if you tried for a single killer shot at 100\and then ended up missing, I guess I should say.\But that arm had stress fractures, didn't it? response:	At the last minute, you went over the permitted 5 limit.
context: Izuku Midoriya - Quirk: One For All\that I was able to do something even against the hero killer.\Ow...!\Against a hero killer that wasn't serious!\Well, it was better than if you tried for a single killer shot at 100\and then ended up missing, I guess I should say.\But that arm had stress fractures, didn't it?\At the last minute, you went over the permitted 5 limit. response:	Nag Nag Nag
context: that I was able to do something even against the hero killer.\Ow...!\Against a hero killer that wasn't serious!\Well, it was better than if you tried for a single killer shot at 100\and then ended up missing, I guess I should say.\But that arm had stress fractures, didn't it?\At the last minute, you went over the permitted 5 limit.\Nag Nag Nag response:	You still strain yourself in your impatience,
context: Ow...!\Against a hero killer that wasn't serious!\Well, it was better than if you tried for a single killer shot at 100\and then ended up missing, I guess I should say.\But that arm had stress fractures, didn't it?\At the last minute, you went over the permitted 5 limit.\Nag Nag Nag\You still strain yourself in your impatience, response:	and when you lose focus, your control wavers.
context: Against a hero killer that wasn't serious!\Well, it was better than if you tried for a single killer shot at 100\and then ended up missing, I guess I should say.\But that arm had stress fractures, didn't it?\At the last minute, you went over the permitted 5 limit.\Nag Nag Nag\You still strain yourself in your impatience,\and when you lose focus, your control wavers. response:	You must always be alert and calm.
context: Well, it was better than if you tried for a single killer shot at 100\and then ended up missing, I guess I should say.\But that arm had stress fractures, didn't it?\At the last minute, you went over the permitted 5 limit.\Nag Nag Nag\You still strain yourself in your impatience,\and when you lose focus, your control wavers.\You must always be alert and calm. response:	I'm sure you already know this,
context: and then ended up missing, I guess I should say.\But that arm had stress fractures, didn't it?\At the last minute, you went over the permitted 5 limit.\Nag Nag Nag\You still strain yourself in your impatience,\and when you lose focus, your control wavers.\You must always be alert and calm.\I'm sure you already know this, response:	but if you want to become a great hero like All Might,
context: But that arm had stress fractures, didn't it?\At the last minute, you went over the permitted 5 limit.\Nag Nag Nag\You still strain yourself in your impatience,\and when you lose focus, your control wavers.\You must always be alert and calm.\I'm sure you already know this,\but if you want to become a great hero like All Might, response:	then you still have a lot to learn.
context: At the last minute, you went over the permitted 5 limit.\Nag Nag Nag\You still strain yourself in your impatience,\and when you lose focus, your control wavers.\You must always be alert and calm.\I'm sure you already know this,\but if you want to become a great hero like All Might,\then you still have a lot to learn. response:	Yes, sir!
context: Nag Nag Nag\You still strain yourself in your impatience,\and when you lose focus, your control wavers.\You must always be alert and calm.\I'm sure you already know this,\but if you want to become a great hero like All Might,\then you still have a lot to learn.\Yes, sir! response:	See you around.
context: You still strain yourself in your impatience,\and when you lose focus, your control wavers.\You must always be alert and calm.\I'm sure you already know this,\but if you want to become a great hero like All Might,\then you still have a lot to learn.\Yes, sir!\See you around. response:	C-Can I ask you o-one last thing?
context: and when you lose focus, your control wavers.\You must always be alert and calm.\I'm sure you already know this,\but if you want to become a great hero like All Might,\then you still have a lot to learn.\Yes, sir!\See you around.\C-Can I ask you o-one last thing? response:	I thought it was rude, so I never got a chance to ask...
context: You must always be alert and calm.\I'm sure you already know this,\but if you want to become a great hero like All Might,\then you still have a lot to learn.\Yes, sir!\See you around.\C-Can I ask you o-one last thing?\I thought it was rude, so I never got a chance to ask... response:	I could never find a good time for it, but...
context: I'm sure you already know this,\but if you want to become a great hero like All Might,\then you still have a lot to learn.\Yes, sir!\See you around.\C-Can I ask you o-one last thing?\I thought it was rude, so I never got a chance to ask...\I could never find a good time for it, but... response:	Hurry up! I want to eat taiyaki!
context: but if you want to become a great hero like All Might,\then you still have a lot to learn.\Yes, sir!\See you around.\C-Can I ask you o-one last thing?\I thought it was rude, so I never got a chance to ask...\I could never find a good time for it, but...\Hurry up! I want to eat taiyaki! response:	Even though you're really strong and even trained All Might,
context: then you still have a lot to learn.\Yes, sir!\See you around.\C-Can I ask you o-one last thing?\I thought it was rude, so I never got a chance to ask...\I could never find a good time for it, but...\Hurry up! I want to eat taiyaki!\Even though you're really strong and even trained All Might, response:	the name Gran Torino is almost u-unknown...
context: Yes, sir!\See you around.\C-Can I ask you o-one last thing?\I thought it was rude, so I never got a chance to ask...\I could never find a good time for it, but...\Hurry up! I want to eat taiyaki!\Even though you're really strong and even trained All Might,\the name Gran Torino is almost u-unknown... response:	Is there a reason for that?
context: See you around.\C-Can I ask you o-one last thing?\I thought it was rude, so I never got a chance to ask...\I could never find a good time for it, but...\Hurry up! I want to eat taiyaki!\Even though you're really strong and even trained All Might,\the name Gran Torino is almost u-unknown...\Is there a reason for that? response:	Oh, that's because I was never interested in working as a hero.
context: C-Can I ask you o-one last thing?\I thought it was rude, so I never got a chance to ask...\I could never find a good time for it, but...\Hurry up! I want to eat taiyaki!\Even though you're really strong and even trained All Might,\the name Gran Torino is almost u-unknown...\Is there a reason for that?\Oh, that's because I was never interested in working as a hero. response:	What?!
context: I thought it was rude, so I never got a chance to ask...\I could never find a good time for it, but...\Hurry up! I want to eat taiyaki!\Even though you're really strong and even trained All Might,\the name Gran Torino is almost u-unknown...\Is there a reason for that?\Oh, that's because I was never interested in working as a hero.\What?! response:	I had a goal in the past that required me to be able to use my Quirk freely.
context: I could never find a good time for it, but...\Hurry up! I want to eat taiyaki!\Even though you're really strong and even trained All Might,\the name Gran Torino is almost u-unknown...\Is there a reason for that?\Oh, that's because I was never interested in working as a hero.\What?!\I had a goal in the past that required me to be able to use my Quirk freely. response:	That was the only reason I got my license.
context: Hurry up! I want to eat taiyaki!\Even though you're really strong and even trained All Might,\the name Gran Torino is almost u-unknown...\Is there a reason for that?\Oh, that's because I was never interested in working as a hero.\What?!\I had a goal in the past that required me to be able to use my Quirk freely.\That was the only reason I got my license. response:	It'd be better to hear more about this from Toshi-
context: Even though you're really strong and even trained All Might,\the name Gran Torino is almost u-unknown...\Is there a reason for that?\Oh, that's because I was never interested in working as a hero.\What?!\I had a goal in the past that required me to be able to use my Quirk freely.\That was the only reason I got my license.\It'd be better to hear more about this from Toshi- response:	I mean, All Might. Expect more from him.
context: the name Gran Torino is almost u-unknown...\Is there a reason for that?\Oh, that's because I was never interested in working as a hero.\What?!\I had a goal in the past that required me to be able to use my Quirk freely.\That was the only reason I got my license.\It'd be better to hear more about this from Toshi-\I mean, All Might. Expect more from him. response:	All Might...
context: Is there a reason for that?\Oh, that's because I was never interested in working as a hero.\What?!\I had a goal in the past that required me to be able to use my Quirk freely.\That was the only reason I got my license.\It'd be better to hear more about this from Toshi-\I mean, All Might. Expect more from him.\All Might... response:	That's all! Be well!
context: Oh, that's because I was never interested in working as a hero.\What?!\I had a goal in the past that required me to be able to use my Quirk freely.\That was the only reason I got my license.\It'd be better to hear more about this from Toshi-\I mean, All Might. Expect more from him.\All Might...\That's all! Be well! response:	Yes, sir!
context: What?!\I had a goal in the past that required me to be able to use my Quirk freely.\That was the only reason I got my license.\It'd be better to hear more about this from Toshi-\I mean, All Might. Expect more from him.\All Might...\That's all! Be well!\Yes, sir! response:	Thank you very much! Excuse me!
context: I had a goal in the past that required me to be able to use my Quirk freely.\That was the only reason I got my license.\It'd be better to hear more about this from Toshi-\I mean, All Might. Expect more from him.\All Might...\That's all! Be well!\Yes, sir!\Thank you very much! Excuse me! response:	The greatest hero, huh...?
context: That was the only reason I got my license.\It'd be better to hear more about this from Toshi-\I mean, All Might. Expect more from him.\All Might...\That's all! Be well!\Yes, sir!\Thank you very much! Excuse me!\The greatest hero, huh...? response:	You're completely different in appearance and personality,
context: It'd be better to hear more about this from Toshi-\I mean, All Might. Expect more from him.\All Might...\That's all! Be well!\Yes, sir!\Thank you very much! Excuse me!\The greatest hero, huh...?\You're completely different in appearance and personality, response:	but he certainly is just like you, Toshinori.
context: I mean, All Might. Expect more from him.\All Might...\That's all! Be well!\Yes, sir!\Thank you very much! Excuse me!\The greatest hero, huh...?\You're completely different in appearance and personality,\but he certainly is just like you, Toshinori. response:	The man chosen by my sworn friend...
context: All Might...\That's all! Be well!\Yes, sir!\Thank you very much! Excuse me!\The greatest hero, huh...?\You're completely different in appearance and personality,\but he certainly is just like you, Toshinori.\The man chosen by my sworn friend... response:	And the one that man chose to inherit One For All...
context: That's all! Be well!\Yes, sir!\Thank you very much! Excuse me!\The greatest hero, huh...?\You're completely different in appearance and personality,\but he certainly is just like you, Toshinori.\The man chosen by my sworn friend...\And the one that man chose to inherit One For All... response:	Kid!
context: Yes, sir!\Thank you very much! Excuse me!\The greatest hero, huh...?\You're completely different in appearance and personality,\but he certainly is just like you, Toshinori.\The man chosen by my sworn friend...\And the one that man chose to inherit One For All...\Kid! response:	Who are you?
context: Thank you very much! Excuse me!\The greatest hero, huh...?\You're completely different in appearance and personality,\but he certainly is just like you, Toshinori.\The man chosen by my sworn friend...\And the one that man chose to inherit One For All...\Kid!\Who are you? response:	You're asking now?!
context: The greatest hero, huh...?\You're completely different in appearance and personality,\but he certainly is just like you, Toshinori.\The man chosen by my sworn friend...\And the one that man chose to inherit One For All...\Kid!\Who are you?\You're asking now?! response:	Um, well... I'm Izuku Midor-
context: You're completely different in appearance and personality,\but he certainly is just like you, Toshinori.\The man chosen by my sworn friend...\And the one that man chose to inherit One For All...\Kid!\Who are you?\You're asking now?!\Um, well... I'm Izuku Midor- response:	That's not it, is it?
context: but he certainly is just like you, Toshinori.\The man chosen by my sworn friend...\And the one that man chose to inherit One For All...\Kid!\Who are you?\You're asking now?!\Um, well... I'm Izuku Midor-\That's not it, is it? response:	Huh...?
context: The man chosen by my sworn friend...\And the one that man chose to inherit One For All...\Kid!\Who are you?\You're asking now?!\Um, well... I'm Izuku Midor-\That's not it, is it?\Huh...? response:	I'm Deku!
context: And the one that man chose to inherit One For All...\Kid!\Who are you?\You're asking now?!\Um, well... I'm Izuku Midor-\That's not it, is it?\Huh...?\I'm Deku! response:	Let's watch over him together, Toshinori.
context: Kid!\Who are you?\You're asking now?!\Um, well... I'm Izuku Midor-\That's not it, is it?\Huh...?\I'm Deku!\Let's watch over him together, Toshinori. response:	Until the day you pass into history...
context: Who are you?\You're asking now?!\Um, well... I'm Izuku Midor-\That's not it, is it?\Huh...?\I'm Deku!\Let's watch over him together, Toshinori.\Until the day you pass into history... response:	Until the day the name Deku is celebrated as the Symbol of Peace...
context: You're asking now?!\Um, well... I'm Izuku Midor-\That's not it, is it?\Huh...?\I'm Deku!\Let's watch over him together, Toshinori.\Until the day you pass into history...\Until the day the name Deku is celebrated as the Symbol of Peace... response:	Listen Up!! A Tale from the Past
context: Um, well... I'm Izuku Midor-\That's not it, is it?\Huh...?\I'm Deku!\Let's watch over him together, Toshinori.\Until the day you pass into history...\Until the day the name Deku is celebrated as the Symbol of Peace...\Listen Up!! A Tale from the Past response:	Seriously?! Seriously, Bakugo?!
context: That's not it, is it?\Huh...?\I'm Deku!\Let's watch over him together, Toshinori.\Until the day you pass into history...\Until the day the name Deku is celebrated as the Symbol of Peace...\Listen Up!! A Tale from the Past\Seriously?! Seriously, Bakugo?! response:	Stop laughing!
context: Huh...?\I'm Deku!\Let's watch over him together, Toshinori.\Until the day you pass into history...\Until the day the name Deku is celebrated as the Symbol of Peace...\Listen Up!! A Tale from the Past\Seriously?! Seriously, Bakugo?!\Stop laughing! response:	My hair's gotten used to it, so it won't go back even after I wash it!
context: I'm Deku!\Let's watch over him together, Toshinori.\Until the day you pass into history...\Until the day the name Deku is celebrated as the Symbol of Peace...\Listen Up!! A Tale from the Past\Seriously?! Seriously, Bakugo?!\Stop laughing!\My hair's gotten used to it, so it won't go back even after I wash it! response:	Katsuki Bakugo - Quirk: Explosion
context: Let's watch over him together, Toshinori.\Until the day you pass into history...\Until the day the name Deku is celebrated as the Symbol of Peace...\Listen Up!! A Tale from the Past\Seriously?! Seriously, Bakugo?!\Stop laughing!\My hair's gotten used to it, so it won't go back even after I wash it!\Katsuki Bakugo - Quirk: Explosion response:	Hey, stop laughing!
context: Until the day you pass into history...\Until the day the name Deku is celebrated as the Symbol of Peace...\Listen Up!! A Tale from the Past\Seriously?! Seriously, Bakugo?!\Stop laughing!\My hair's gotten used to it, so it won't go back even after I wash it!\Katsuki Bakugo - Quirk: Explosion\Hey, stop laughing! response:	I'll kill you!
context: Until the day the name Deku is celebrated as the Symbol of Peace...\Listen Up!! A Tale from the Past\Seriously?! Seriously, Bakugo?!\Stop laughing!\My hair's gotten used to it, so it won't go back even after I wash it!\Katsuki Bakugo - Quirk: Explosion\Hey, stop laughing!\I'll kill you! response:	Hanta Sero - Quirk: Tape Eijiro Kirishima - Quirk: Hardening
context: Listen Up!! A Tale from the Past\Seriously?! Seriously, Bakugo?!\Stop laughing!\My hair's gotten used to it, so it won't go back even after I wash it!\Katsuki Bakugo - Quirk: Explosion\Hey, stop laughing!\I'll kill you!\Hanta Sero - Quirk: Tape Eijiro Kirishima - Quirk: Hardening response:	I'd like to see you try, Side-Part Boy!
context: Seriously?! Seriously, Bakugo?!\Stop laughing!\My hair's gotten used to it, so it won't go back even after I wash it!\Katsuki Bakugo - Quirk: Explosion\Hey, stop laughing!\I'll kill you!\Hanta Sero - Quirk: Tape Eijiro Kirishima - Quirk: Hardening\I'd like to see you try, Side-Part Boy! response:	What'd you say?!
context: Stop laughing!\My hair's gotten used to it, so it won't go back even after I wash it!\Katsuki Bakugo - Quirk: Explosion\Hey, stop laughing!\I'll kill you!\Hanta Sero - Quirk: Tape Eijiro Kirishima - Quirk: Hardening\I'd like to see you try, Side-Part Boy!\What'd you say?! response:	It's back!
context: My hair's gotten used to it, so it won't go back even after I wash it!\Katsuki Bakugo - Quirk: Explosion\Hey, stop laughing!\I'll kill you!\Hanta Sero - Quirk: Tape Eijiro Kirishima - Quirk: Hardening\I'd like to see you try, Side-Part Boy!\What'd you say?!\It's back! response:	Wow, you even got to fight villains?
context: Katsuki Bakugo - Quirk: Explosion\Hey, stop laughing!\I'll kill you!\Hanta Sero - Quirk: Tape Eijiro Kirishima - Quirk: Hardening\I'd like to see you try, Side-Part Boy!\What'd you say?!\It's back!\Wow, you even got to fight villains? response:	Mina Ashido - Quirk: Acid
context: Hey, stop laughing!\I'll kill you!\Hanta Sero - Quirk: Tape Eijiro Kirishima - Quirk: Hardening\I'd like to see you try, Side-Part Boy!\What'd you say?!\It's back!\Wow, you even got to fight villains?\Mina Ashido - Quirk: Acid response:	I'm so jealous!
context: I'll kill you!\Hanta Sero - Quirk: Tape Eijiro Kirishima - Quirk: Hardening\I'd like to see you try, Side-Part Boy!\What'd you say?!\It's back!\Wow, you even got to fight villains?\Mina Ashido - Quirk: Acid\I'm so jealous! response:	Kyoka Jiro - Quirk: Earphone Jack
context: Hanta Sero - Quirk: Tape Eijiro Kirishima - Quirk: Hardening\I'd like to see you try, Side-Part Boy!\What'd you say?!\It's back!\Wow, you even got to fight villains?\Mina Ashido - Quirk: Acid\I'm so jealous!\Kyoka Jiro - Quirk: Earphone Jack response:	I just helped people evacuate and did logistical support,
context: I'd like to see you try, Side-Part Boy!\What'd you say?!\It's back!\Wow, you even got to fight villains?\Mina Ashido - Quirk: Acid\I'm so jealous!\Kyoka Jiro - Quirk: Earphone Jack\I just helped people evacuate and did logistical support, response:	so I didn't do any actual fighting, though.
context: What'd you say?!\It's back!\Wow, you even got to fight villains?\Mina Ashido - Quirk: Acid\I'm so jealous!\Kyoka Jiro - Quirk: Earphone Jack\I just helped people evacuate and did logistical support,\so I didn't do any actual fighting, though. response:	It's still amazing, though!
context: It's back!\Wow, you even got to fight villains?\Mina Ashido - Quirk: Acid\I'm so jealous!\Kyoka Jiro - Quirk: Earphone Jack\I just helped people evacuate and did logistical support,\so I didn't do any actual fighting, though.\It's still amazing, though! response:	Tsuyu Asui - Quirk: Frog
context: Wow, you even got to fight villains?\Mina Ashido - Quirk: Acid\I'm so jealous!\Kyoka Jiro - Quirk: Earphone Jack\I just helped people evacuate and did logistical support,\so I didn't do any actual fighting, though.\It's still amazing, though!\Tsuyu Asui - Quirk: Frog response:	All I did was train and go on patrols, too.
context: Mina Ashido - Quirk: Acid\I'm so jealous!\Kyoka Jiro - Quirk: Earphone Jack\I just helped people evacuate and did logistical support,\so I didn't do any actual fighting, though.\It's still amazing, though!\Tsuyu Asui - Quirk: Frog\All I did was train and go on patrols, too. response:	There was just one time when we caught smugglers from a neighboring country.
context: I'm so jealous!\Kyoka Jiro - Quirk: Earphone Jack\I just helped people evacuate and did logistical support,\so I didn't do any actual fighting, though.\It's still amazing, though!\Tsuyu Asui - Quirk: Frog\All I did was train and go on patrols, too.\There was just one time when we caught smugglers from a neighboring country. response:	That's crazy!
context: Kyoka Jiro - Quirk: Earphone Jack\I just helped people evacuate and did logistical support,\so I didn't do any actual fighting, though.\It's still amazing, though!\Tsuyu Asui - Quirk: Frog\All I did was train and go on patrols, too.\There was just one time when we caught smugglers from a neighboring country.\That's crazy! response:	What about you, Ochaco? How was your week?
context: I just helped people evacuate and did logistical support,\so I didn't do any actual fighting, though.\It's still amazing, though!\Tsuyu Asui - Quirk: Frog\All I did was train and go on patrols, too.\There was just one time when we caught smugglers from a neighboring country.\That's crazy!\What about you, Ochaco? How was your week? response:	Ochaco Uraraka - Quirk: Zero Gravity
context: so I didn't do any actual fighting, though.\It's still amazing, though!\Tsuyu Asui - Quirk: Frog\All I did was train and go on patrols, too.\There was just one time when we caught smugglers from a neighboring country.\That's crazy!\What about you, Ochaco? How was your week?\Ochaco Uraraka - Quirk: Zero Gravity response:	It was very worthwhile...
context: It's still amazing, though!\Tsuyu Asui - Quirk: Frog\All I did was train and go on patrols, too.\There was just one time when we caught smugglers from a neighboring country.\That's crazy!\What about you, Ochaco? How was your week?\Ochaco Uraraka - Quirk: Zero Gravity\It was very worthwhile... response:	Ochaco's awakened, huh?
context: Tsuyu Asui - Quirk: Frog\All I did was train and go on patrols, too.\There was just one time when we caught smugglers from a neighboring country.\That's crazy!\What about you, Ochaco? How was your week?\Ochaco Uraraka - Quirk: Zero Gravity\It was very worthwhile...\Ochaco's awakened, huh? response:	She went to that battle hero's place, right?
context: All I did was train and go on patrols, too.\There was just one time when we caught smugglers from a neighboring country.\That's crazy!\What about you, Ochaco? How was your week?\Ochaco Uraraka - Quirk: Zero Gravity\It was very worthwhile...\Ochaco's awakened, huh?\She went to that battle hero's place, right? response:	That's a huge change for just one week...
context: There was just one time when we caught smugglers from a neighboring country.\That's crazy!\What about you, Ochaco? How was your week?\Ochaco Uraraka - Quirk: Zero Gravity\It was very worthwhile...\Ochaco's awakened, huh?\She went to that battle hero's place, right?\That's a huge change for just one week... response:	Minoru Mineta - Quirk: Pop Off Denki Kaminari - Quirk: Electrification
context: That's crazy!\What about you, Ochaco? How was your week?\Ochaco Uraraka - Quirk: Zero Gravity\It was very worthwhile...\Ochaco's awakened, huh?\She went to that battle hero's place, right?\That's a huge change for just one week...\Minoru Mineta - Quirk: Pop Off Denki Kaminari - Quirk: Electrification response:	Change? That's not it, Kaminari.
context: What about you, Ochaco? How was your week?\Ochaco Uraraka - Quirk: Zero Gravity\It was very worthwhile...\Ochaco's awakened, huh?\She went to that battle hero's place, right?\That's a huge change for just one week...\Minoru Mineta - Quirk: Pop Off Denki Kaminari - Quirk: Electrification\Change? That's not it, Kaminari. response:	Women are all demons. They're just hiding their true personalities.
context: Ochaco Uraraka - Quirk: Zero Gravity\It was very worthwhile...\Ochaco's awakened, huh?\She went to that battle hero's place, right?\That's a huge change for just one week...\Minoru Mineta - Quirk: Pop Off Denki Kaminari - Quirk: Electrification\Change? That's not it, Kaminari.\Women are all demons. They're just hiding their true personalities. response:	What did you see at Mt. Lady's place?!
context: It was very worthwhile...\Ochaco's awakened, huh?\She went to that battle hero's place, right?\That's a huge change for just one week...\Minoru Mineta - Quirk: Pop Off Denki Kaminari - Quirk: Electrification\Change? That's not it, Kaminari.\Women are all demons. They're just hiding their true personalities.\What did you see at Mt. Lady's place?! response:	I was kind of fawned over and had a good time.
context: Ochaco's awakened, huh?\She went to that battle hero's place, right?\That's a huge change for just one week...\Minoru Mineta - Quirk: Pop Off Denki Kaminari - Quirk: Electrification\Change? That's not it, Kaminari.\Women are all demons. They're just hiding their true personalities.\What did you see at Mt. Lady's place?!\I was kind of fawned over and had a good time. response:	But the ones who changed the most, or at least went through the most
context: She went to that battle hero's place, right?\That's a huge change for just one week...\Minoru Mineta - Quirk: Pop Off Denki Kaminari - Quirk: Electrification\Change? That's not it, Kaminari.\Women are all demons. They're just hiding their true personalities.\What did you see at Mt. Lady's place?!\I was kind of fawned over and had a good time.\But the ones who changed the most, or at least went through the most response:	Tenya Iida - Quirk: Engine Shoto Todoroki - Quirk: Half-Cold, Half-Hot
context: That's a huge change for just one week...\Minoru Mineta - Quirk: Pop Off Denki Kaminari - Quirk: Electrification\Change? That's not it, Kaminari.\Women are all demons. They're just hiding their true personalities.\What did you see at Mt. Lady's place?!\I was kind of fawned over and had a good time.\But the ones who changed the most, or at least went through the most\Tenya Iida - Quirk: Engine Shoto Todoroki - Quirk: Half-Cold, Half-Hot response:	were you three, right?
context: Minoru Mineta - Quirk: Pop Off Denki Kaminari - Quirk: Electrification\Change? That's not it, Kaminari.\Women are all demons. They're just hiding their true personalities.\What did you see at Mt. Lady's place?!\I was kind of fawned over and had a good time.\But the ones who changed the most, or at least went through the most\Tenya Iida - Quirk: Engine Shoto Todoroki - Quirk: Half-Cold, Half-Hot\were you three, right? response:	Oh, yeah! The hero killer!
context: Change? That's not it, Kaminari.\Women are all demons. They're just hiding their true personalities.\What did you see at Mt. Lady's place?!\I was kind of fawned over and had a good time.\But the ones who changed the most, or at least went through the most\Tenya Iida - Quirk: Engine Shoto Todoroki - Quirk: Half-Cold, Half-Hot\were you three, right?\Oh, yeah! The hero killer! response:	I'm glad you guys made it out alive! Seriously.
context: Women are all demons. They're just hiding their true personalities.\What did you see at Mt. Lady's place?!\I was kind of fawned over and had a good time.\But the ones who changed the most, or at least went through the most\Tenya Iida - Quirk: Engine Shoto Todoroki - Quirk: Half-Cold, Half-Hot\were you three, right?\Oh, yeah! The hero killer!\I'm glad you guys made it out alive! Seriously. response:	Momo Yaoyorozu - Quirk: Creation
context: What did you see at Mt. Lady's place?!\I was kind of fawned over and had a good time.\But the ones who changed the most, or at least went through the most\Tenya Iida - Quirk: Engine Shoto Todoroki - Quirk: Half-Cold, Half-Hot\were you three, right?\Oh, yeah! The hero killer!\I'm glad you guys made it out alive! Seriously.\Momo Yaoyorozu - Quirk: Creation response:	I was worried.
context: I was kind of fawned over and had a good time.\But the ones who changed the most, or at least went through the most\Tenya Iida - Quirk: Engine Shoto Todoroki - Quirk: Half-Cold, Half-Hot\were you three, right?\Oh, yeah! The hero killer!\I'm glad you guys made it out alive! Seriously.\Momo Yaoyorozu - Quirk: Creation\I was worried. response:	I heard Endeavor saved you, right?
context: But the ones who changed the most, or at least went through the most\Tenya Iida - Quirk: Engine Shoto Todoroki - Quirk: Half-Cold, Half-Hot\were you three, right?\Oh, yeah! The hero killer!\I'm glad you guys made it out alive! Seriously.\Momo Yaoyorozu - Quirk: Creation\I was worried.\I heard Endeavor saved you, right? response:	That's amazing! As expected from the number two hero!
context: Tenya Iida - Quirk: Engine Shoto Todoroki - Quirk: Half-Cold, Half-Hot\were you three, right?\Oh, yeah! The hero killer!\I'm glad you guys made it out alive! Seriously.\Momo Yaoyorozu - Quirk: Creation\I was worried.\I heard Endeavor saved you, right?\That's amazing! As expected from the number two hero! response:	Yeah. He saved us.
context: were you three, right?\Oh, yeah! The hero killer!\I'm glad you guys made it out alive! Seriously.\Momo Yaoyorozu - Quirk: Creation\I was worried.\I heard Endeavor saved you, right?\That's amazing! As expected from the number two hero!\Yeah. He saved us. response:	Toru Hagakure - Quirk: Invisibility
context: Oh, yeah! The hero killer!\I'm glad you guys made it out alive! Seriously.\Momo Yaoyorozu - Quirk: Creation\I was worried.\I heard Endeavor saved you, right?\That's amazing! As expected from the number two hero!\Yeah. He saved us.\Toru Hagakure - Quirk: Invisibility response:	Yeah.
context: I'm glad you guys made it out alive! Seriously.\Momo Yaoyorozu - Quirk: Creation\I was worried.\I heard Endeavor saved you, right?\That's amazing! As expected from the number two hero!\Yeah. He saved us.\Toru Hagakure - Quirk: Invisibility\Yeah. response:	I saw on the news
context: Momo Yaoyorozu - Quirk: Creation\I was worried.\I heard Endeavor saved you, right?\That's amazing! As expected from the number two hero!\Yeah. He saved us.\Toru Hagakure - Quirk: Invisibility\Yeah.\I saw on the news response:	that the hero killer was connected to the League of Villains.
context: I was worried.\I heard Endeavor saved you, right?\That's amazing! As expected from the number two hero!\Yeah. He saved us.\Toru Hagakure - Quirk: Invisibility\Yeah.\I saw on the news\that the hero killer was connected to the League of Villains. response:	Rikido Sato - Quirk: Sugar Rush Mashirao Ojiro - Quirk: Tail Mezo Shoji - Quirk: Dupli-Arms
