context: Here we come! response:	It's the start of Inuyasha!
context: Inuyasha's older brother, Sesshomaru, detested humans so much,\yet a young mortal girl now accompanies him.\His vassal Jaken is caught between them and they're quite a trio!\Miroku, Sango, Shippo and Kirara...\travel back in time!\To a Feudal Fairytale!\Inuyasha!\In pursuit of Naraku who had disappeared, response:	we were headed northeast in the direction of the ox-tiger.
context: yet a young mortal girl now accompanies him.\His vassal Jaken is caught between them and they're quite a trio!\Miroku, Sango, Shippo and Kirara...\travel back in time!\To a Feudal Fairytale!\Inuyasha!\In pursuit of Naraku who had disappeared,\we were headed northeast in the direction of the ox-tiger. response:	At the same time, Inuyasha's older brother, Sesshomaru,
context: His vassal Jaken is caught between them and they're quite a trio!\Miroku, Sango, Shippo and Kirara...\travel back in time!\To a Feudal Fairytale!\Inuyasha!\In pursuit of Naraku who had disappeared,\we were headed northeast in the direction of the ox-tiger.\At the same time, Inuyasha's older brother, Sesshomaru, response:	was also looking for Naraku.
context: Miroku, Sango, Shippo and Kirara...\travel back in time!\To a Feudal Fairytale!\Inuyasha!\In pursuit of Naraku who had disappeared,\we were headed northeast in the direction of the ox-tiger.\At the same time, Inuyasha's older brother, Sesshomaru,\was also looking for Naraku. response:	Lord Sesshomaru!
context: travel back in time!\To a Feudal Fairytale!\Inuyasha!\In pursuit of Naraku who had disappeared,\we were headed northeast in the direction of the ox-tiger.\At the same time, Inuyasha's older brother, Sesshomaru,\was also looking for Naraku.\Lord Sesshomaru! response:	I'm hungry.
context: To a Feudal Fairytale!\Inuyasha!\In pursuit of Naraku who had disappeared,\we were headed northeast in the direction of the ox-tiger.\At the same time, Inuyasha's older brother, Sesshomaru,\was also looking for Naraku.\Lord Sesshomaru!\I'm hungry. response:	May I go and look for something to eat?
context: Inuyasha!\In pursuit of Naraku who had disappeared,\we were headed northeast in the direction of the ox-tiger.\At the same time, Inuyasha's older brother, Sesshomaru,\was also looking for Naraku.\Lord Sesshomaru!\I'm hungry.\May I go and look for something to eat? response:	Quiet, Rin!
context: In pursuit of Naraku who had disappeared,\we were headed northeast in the direction of the ox-tiger.\At the same time, Inuyasha's older brother, Sesshomaru,\was also looking for Naraku.\Lord Sesshomaru!\I'm hungry.\May I go and look for something to eat?\Quiet, Rin! response:	Aforest like this will have nothing foryou to eat.
context: we were headed northeast in the direction of the ox-tiger.\At the same time, Inuyasha's older brother, Sesshomaru,\was also looking for Naraku.\Lord Sesshomaru!\I'm hungry.\May I go and look for something to eat?\Quiet, Rin!\Aforest like this will have nothing foryou to eat. response:	Just bear it!
context: At the same time, Inuyasha's older brother, Sesshomaru,\was also looking for Naraku.\Lord Sesshomaru!\I'm hungry.\May I go and look for something to eat?\Quiet, Rin!\Aforest like this will have nothing foryou to eat.\Just bear it! response:	But...
context: was also looking for Naraku.\Lord Sesshomaru!\I'm hungry.\May I go and look for something to eat?\Quiet, Rin!\Aforest like this will have nothing foryou to eat.\Just bear it!\But... response:	No buts!
context: Lord Sesshomaru!\I'm hungry.\May I go and look for something to eat?\Quiet, Rin!\Aforest like this will have nothing foryou to eat.\Just bear it!\But...\No buts! response:	Be quiet!
context: I'm hungry.\May I go and look for something to eat?\Quiet, Rin!\Aforest like this will have nothing foryou to eat.\Just bear it!\But...\No buts!\Be quiet! response:	- I'll be real quick! - That girl!
context: May I go and look for something to eat?\Quiet, Rin!\Aforest like this will have nothing foryou to eat.\Just bear it!\But...\No buts!\Be quiet!\- I'll be real quick! - That girl! response:	Hey Rin!
context: Quiet, Rin!\Aforest like this will have nothing foryou to eat.\Just bear it!\But...\No buts!\Be quiet!\- I'll be real quick! - That girl!\Hey Rin! response:	Jaken!
context: Aforest like this will have nothing foryou to eat.\Just bear it!\But...\No buts!\Be quiet!\- I'll be real quick! - That girl!\Hey Rin!\Jaken! response:	Yes?
context: Just bear it!\But...\No buts!\Be quiet!\- I'll be real quick! - That girl!\Hey Rin!\Jaken!\Yes? response:	Let herbe.
context: But...\No buts!\Be quiet!\- I'll be real quick! - That girl!\Hey Rin!\Jaken!\Yes?\Let herbe. response:	I can't believe it!
context: No buts!\Be quiet!\- I'll be real quick! - That girl!\Hey Rin!\Jaken!\Yes?\Let herbe.\I can't believe it! response:	I can't believe it!
context: Be quiet!\- I'll be real quick! - That girl!\Hey Rin!\Jaken!\Yes?\Let herbe.\I can't believe it!\I can't believe it! response:	Why'd you eat it all?!
context: - I'll be real quick! - That girl!\Hey Rin!\Jaken!\Yes?\Let herbe.\I can't believe it!\I can't believe it!\Why'd you eat it all?! response:	Shaddup!
context: Hey Rin!\Jaken!\Yes?\Let herbe.\I can't believe it!\I can't believe it!\Why'd you eat it all?!\Shaddup! response:	This was the last bag of garlic-flavored chips!
context: Jaken!\Yes?\Let herbe.\I can't believe it!\I can't believe it!\Why'd you eat it all?!\Shaddup!\This was the last bag of garlic-flavored chips! response:	What's one bag ortwo!
context: Yes?\Let herbe.\I can't believe it!\I can't believe it!\Why'd you eat it all?!\Shaddup!\This was the last bag of garlic-flavored chips!\What's one bag ortwo! response:	I wanted to give it to Jinenji.
context: Let herbe.\I can't believe it!\I can't believe it!\Why'd you eat it all?!\Shaddup!\This was the last bag of garlic-flavored chips!\What's one bag ortwo!\I wanted to give it to Jinenji. response:	Besides, you nevereat this.
context: I can't believe it!\I can't believe it!\Why'd you eat it all?!\Shaddup!\This was the last bag of garlic-flavored chips!\What's one bag ortwo!\I wanted to give it to Jinenji.\Besides, you nevereat this. response:	ljust took one piece... and I couldn't stop.
context: I can't believe it!\Why'd you eat it all?!\Shaddup!\This was the last bag of garlic-flavored chips!\What's one bag ortwo!\I wanted to give it to Jinenji.\Besides, you nevereat this.\ljust took one piece... and I couldn't stop. response:	What'll I do?
context: Why'd you eat it all?!\Shaddup!\This was the last bag of garlic-flavored chips!\What's one bag ortwo!\I wanted to give it to Jinenji.\Besides, you nevereat this.\ljust took one piece... and I couldn't stop.\What'll I do? response:	Umm...
context: Shaddup!\This was the last bag of garlic-flavored chips!\What's one bag ortwo!\I wanted to give it to Jinenji.\Besides, you nevereat this.\ljust took one piece... and I couldn't stop.\What'll I do?\Umm... response:	This Jinenji?
context: This was the last bag of garlic-flavored chips!\What's one bag ortwo!\I wanted to give it to Jinenji.\Besides, you nevereat this.\ljust took one piece... and I couldn't stop.\What'll I do?\Umm...\This Jinenji? response:	Remember!
context: What's one bag ortwo!\I wanted to give it to Jinenji.\Besides, you nevereat this.\ljust took one piece... and I couldn't stop.\What'll I do?\Umm...\This Jinenji?\Remember! response:	When Kirara collapsed from Naraku's toxic poison.
context: I wanted to give it to Jinenji.\Besides, you nevereat this.\ljust took one piece... and I couldn't stop.\What'll I do?\Umm...\This Jinenji?\Remember!\When Kirara collapsed from Naraku's toxic poison. response:	It was Jinenji who gave us the antidote.
context: Besides, you nevereat this.\ljust took one piece... and I couldn't stop.\What'll I do?\Umm...\This Jinenji?\Remember!\When Kirara collapsed from Naraku's toxic poison.\It was Jinenji who gave us the antidote. response:	Oh... I remember!
context: ljust took one piece... and I couldn't stop.\What'll I do?\Umm...\This Jinenji?\Remember!\When Kirara collapsed from Naraku's toxic poison.\It was Jinenji who gave us the antidote.\Oh... I remember! response:	We're nearhis village, so I thought we could stop by.
context: What'll I do?\Umm...\This Jinenji?\Remember!\When Kirara collapsed from Naraku's toxic poison.\It was Jinenji who gave us the antidote.\Oh... I remember!\We're nearhis village, so I thought we could stop by. response:	But someone ate his present!
context: Umm...\This Jinenji?\Remember!\When Kirara collapsed from Naraku's toxic poison.\It was Jinenji who gave us the antidote.\Oh... I remember!\We're nearhis village, so I thought we could stop by.\But someone ate his present! response:	Quitgoing on about that!
context: This Jinenji?\Remember!\When Kirara collapsed from Naraku's toxic poison.\It was Jinenji who gave us the antidote.\Oh... I remember!\We're nearhis village, so I thought we could stop by.\But someone ate his present!\Quitgoing on about that! response:	Say, isn't Jinenji also a half-demon?
context: Remember!\When Kirara collapsed from Naraku's toxic poison.\It was Jinenji who gave us the antidote.\Oh... I remember!\We're nearhis village, so I thought we could stop by.\But someone ate his present!\Quitgoing on about that!\Say, isn't Jinenji also a half-demon? response:	Yes, but he's so gentle and nice.
context: When Kirara collapsed from Naraku's toxic poison.\It was Jinenji who gave us the antidote.\Oh... I remember!\We're nearhis village, so I thought we could stop by.\But someone ate his present!\Quitgoing on about that!\Say, isn't Jinenji also a half-demon?\Yes, but he's so gentle and nice. response:	Unlike Inuyasha!
context: It was Jinenji who gave us the antidote.\Oh... I remember!\We're nearhis village, so I thought we could stop by.\But someone ate his present!\Quitgoing on about that!\Say, isn't Jinenji also a half-demon?\Yes, but he's so gentle and nice.\Unlike Inuyasha! response:	Oh well! There's no present forhim. So let's just keep on going.
context: Oh... I remember!\We're nearhis village, so I thought we could stop by.\But someone ate his present!\Quitgoing on about that!\Say, isn't Jinenji also a half-demon?\Yes, but he's so gentle and nice.\Unlike Inuyasha!\Oh well! There's no present forhim. So let's just keep on going. response:	No.
context: We're nearhis village, so I thought we could stop by.\But someone ate his present!\Quitgoing on about that!\Say, isn't Jinenji also a half-demon?\Yes, but he's so gentle and nice.\Unlike Inuyasha!\Oh well! There's no present forhim. So let's just keep on going.\No. response:	If there's an antidote to the miasma, we should stop by.
context: But someone ate his present!\Quitgoing on about that!\Say, isn't Jinenji also a half-demon?\Yes, but he's so gentle and nice.\Unlike Inuyasha!\Oh well! There's no present forhim. So let's just keep on going.\No.\If there's an antidote to the miasma, we should stop by. response:	I want to thank him for saving Kirara, too.
context: Quitgoing on about that!\Say, isn't Jinenji also a half-demon?\Yes, but he's so gentle and nice.\Unlike Inuyasha!\Oh well! There's no present forhim. So let's just keep on going.\No.\If there's an antidote to the miasma, we should stop by.\I want to thank him for saving Kirara, too. response:	Then let's all go.
context: Say, isn't Jinenji also a half-demon?\Yes, but he's so gentle and nice.\Unlike Inuyasha!\Oh well! There's no present forhim. So let's just keep on going.\No.\If there's an antidote to the miasma, we should stop by.\I want to thank him for saving Kirara, too.\Then let's all go. response:	Inuyasha can do as he pleases.
context: Yes, but he's so gentle and nice.\Unlike Inuyasha!\Oh well! There's no present forhim. So let's just keep on going.\No.\If there's an antidote to the miasma, we should stop by.\I want to thank him for saving Kirara, too.\Then let's all go.\Inuyasha can do as he pleases. response:	She's so heartless!
context: Unlike Inuyasha!\Oh well! There's no present forhim. So let's just keep on going.\No.\If there's an antidote to the miasma, we should stop by.\I want to thank him for saving Kirara, too.\Then let's all go.\Inuyasha can do as he pleases.\She's so heartless! response:	This is edible.
context: Oh well! There's no present forhim. So let's just keep on going.\No.\If there's an antidote to the miasma, we should stop by.\I want to thank him for saving Kirara, too.\Then let's all go.\Inuyasha can do as he pleases.\She's so heartless!\This is edible. response:	Brilliant! You are the one and only Lord Sesshomaru!
context: No.\If there's an antidote to the miasma, we should stop by.\I want to thank him for saving Kirara, too.\Then let's all go.\Inuyasha can do as he pleases.\She's so heartless!\This is edible.\Brilliant! You are the one and only Lord Sesshomaru! response:	You're so dashing, Lord Sesshomaru!
context: If there's an antidote to the miasma, we should stop by.\I want to thank him for saving Kirara, too.\Then let's all go.\Inuyasha can do as he pleases.\She's so heartless!\This is edible.\Brilliant! You are the one and only Lord Sesshomaru!\You're so dashing, Lord Sesshomaru! response:	Those are poisonous Saimyosho!
context: I want to thank him for saving Kirara, too.\Then let's all go.\Inuyasha can do as he pleases.\She's so heartless!\This is edible.\Brilliant! You are the one and only Lord Sesshomaru!\You're so dashing, Lord Sesshomaru!\Those are poisonous Saimyosho! response:	Stand back.
context: Then let's all go.\Inuyasha can do as he pleases.\She's so heartless!\This is edible.\Brilliant! You are the one and only Lord Sesshomaru!\You're so dashing, Lord Sesshomaru!\Those are poisonous Saimyosho!\Stand back. response:	That Naraku...
context: Inuyasha can do as he pleases.\She's so heartless!\This is edible.\Brilliant! You are the one and only Lord Sesshomaru!\You're so dashing, Lord Sesshomaru!\Those are poisonous Saimyosho!\Stand back.\That Naraku... response:	He left behind some annoying vermin.
context: She's so heartless!\This is edible.\Brilliant! You are the one and only Lord Sesshomaru!\You're so dashing, Lord Sesshomaru!\Those are poisonous Saimyosho!\Stand back.\That Naraku...\He left behind some annoying vermin. response:	Jaken...
context: This is edible.\Brilliant! You are the one and only Lord Sesshomaru!\You're so dashing, Lord Sesshomaru!\Those are poisonous Saimyosho!\Stand back.\That Naraku...\He left behind some annoying vermin.\Jaken... response:	There should be a hive nearby.
context: Brilliant! You are the one and only Lord Sesshomaru!\You're so dashing, Lord Sesshomaru!\Those are poisonous Saimyosho!\Stand back.\That Naraku...\He left behind some annoying vermin.\Jaken...\There should be a hive nearby. response:	Yes! I'll look forit.
context: You're so dashing, Lord Sesshomaru!\Those are poisonous Saimyosho!\Stand back.\That Naraku...\He left behind some annoying vermin.\Jaken...\There should be a hive nearby.\Yes! I'll look forit. response:	Jaken!
context: Those are poisonous Saimyosho!\Stand back.\That Naraku...\He left behind some annoying vermin.\Jaken...\There should be a hive nearby.\Yes! I'll look forit.\Jaken! response:	Huh?! MasterJaken!
context: Stand back.\That Naraku...\He left behind some annoying vermin.\Jaken...\There should be a hive nearby.\Yes! I'll look forit.\Jaken!\Huh?! MasterJaken! response:	There! The hive of the poison insects!
context: That Naraku...\He left behind some annoying vermin.\Jaken...\There should be a hive nearby.\Yes! I'll look forit.\Jaken!\Huh?! MasterJaken!\There! The hive of the poison insects! response:	Rin, get down!
context: He left behind some annoying vermin.\Jaken...\There should be a hive nearby.\Yes! I'll look forit.\Jaken!\Huh?! MasterJaken!\There! The hive of the poison insects!\Rin, get down! response:	Okay!
context: Jaken...\There should be a hive nearby.\Yes! I'll look forit.\Jaken!\Huh?! MasterJaken!\There! The hive of the poison insects!\Rin, get down!\Okay! response:	Get a taste of...
context: There should be a hive nearby.\Yes! I'll look forit.\Jaken!\Huh?! MasterJaken!\There! The hive of the poison insects!\Rin, get down!\Okay!\Get a taste of... response:	the Staff ofTwo Heads!
context: Yes! I'll look forit.\Jaken!\Huh?! MasterJaken!\There! The hive of the poison insects!\Rin, get down!\Okay!\Get a taste of...\the Staff ofTwo Heads! response:	Persistent pests!
context: Jaken!\Huh?! MasterJaken!\There! The hive of the poison insects!\Rin, get down!\Okay!\Get a taste of...\the Staff ofTwo Heads!\Persistent pests! response:	Rin! Keep yourhead down!
context: Huh?! MasterJaken!\There! The hive of the poison insects!\Rin, get down!\Okay!\Get a taste of...\the Staff ofTwo Heads!\Persistent pests!\Rin! Keep yourhead down! response:	I must protect Rin.
context: There! The hive of the poison insects!\Rin, get down!\Okay!\Get a taste of...\the Staff ofTwo Heads!\Persistent pests!\Rin! Keep yourhead down!\I must protect Rin. response:	Otherwise, who knows what Lord Sesshomaru will say!
context: Rin, get down!\Okay!\Get a taste of...\the Staff ofTwo Heads!\Persistent pests!\Rin! Keep yourhead down!\I must protect Rin.\Otherwise, who knows what Lord Sesshomaru will say! response:	MasterJaken...
context: Okay!\Get a taste of...\the Staff ofTwo Heads!\Persistent pests!\Rin! Keep yourhead down!\I must protect Rin.\Otherwise, who knows what Lord Sesshomaru will say!\MasterJaken... response:	What?! Still here?
context: Get a taste of...\the Staff ofTwo Heads!\Persistent pests!\Rin! Keep yourhead down!\I must protect Rin.\Otherwise, who knows what Lord Sesshomaru will say!\MasterJaken...\What?! Still here? response:	Jaken!
context: the Staff ofTwo Heads!\Persistent pests!\Rin! Keep yourhead down!\I must protect Rin.\Otherwise, who knows what Lord Sesshomaru will say!\MasterJaken...\What?! Still here?\Jaken! response:	You saved me, Lord Sesshomaru!
context: Persistent pests!\Rin! Keep yourhead down!\I must protect Rin.\Otherwise, who knows what Lord Sesshomaru will say!\MasterJaken...\What?! Still here?\Jaken!\You saved me, Lord Sesshomaru! response:	Thank you, Lord Sesshomaru!
context: Rin! Keep yourhead down!\I must protect Rin.\Otherwise, who knows what Lord Sesshomaru will say!\MasterJaken...\What?! Still here?\Jaken!\You saved me, Lord Sesshomaru!\Thank you, Lord Sesshomaru! response:	MasterJaken?
context: I must protect Rin.\Otherwise, who knows what Lord Sesshomaru will say!\MasterJaken...\What?! Still here?\Jaken!\You saved me, Lord Sesshomaru!\Thank you, Lord Sesshomaru!\MasterJaken? response:	If I pursue them...
context: Otherwise, who knows what Lord Sesshomaru will say!\MasterJaken...\What?! Still here?\Jaken!\You saved me, Lord Sesshomaru!\Thank you, Lord Sesshomaru!\MasterJaken?\If I pursue them... response:	Lord Sesshomaru!
context: MasterJaken...\What?! Still here?\Jaken!\You saved me, Lord Sesshomaru!\Thank you, Lord Sesshomaru!\MasterJaken?\If I pursue them...\Lord Sesshomaru! response:	Rin!
context: What?! Still here?\Jaken!\You saved me, Lord Sesshomaru!\Thank you, Lord Sesshomaru!\MasterJaken?\If I pursue them...\Lord Sesshomaru!\Rin! response:	Take the stingers out.
context: Jaken!\You saved me, Lord Sesshomaru!\Thank you, Lord Sesshomaru!\MasterJaken?\If I pursue them...\Lord Sesshomaru!\Rin!\Take the stingers out. response:	Did you get them out?
context: You saved me, Lord Sesshomaru!\Thank you, Lord Sesshomaru!\MasterJaken?\If I pursue them...\Lord Sesshomaru!\Rin!\Take the stingers out.\Did you get them out? response:	I'm sorry, Master Jaken!
context: Thank you, Lord Sesshomaru!\MasterJaken?\If I pursue them...\Lord Sesshomaru!\Rin!\Take the stingers out.\Did you get them out?\I'm sorry, Master Jaken! response:	The toxic poisons have entered my body!
context: MasterJaken?\If I pursue them...\Lord Sesshomaru!\Rin!\Take the stingers out.\Did you get them out?\I'm sorry, Master Jaken!\The toxic poisons have entered my body! response:	If I don't do something, I may die!
context: If I pursue them...\Lord Sesshomaru!\Rin!\Take the stingers out.\Did you get them out?\I'm sorry, Master Jaken!\The toxic poisons have entered my body!\If I don't do something, I may die! response:	I'm sorry, Jaken.
context: Lord Sesshomaru!\Rin!\Take the stingers out.\Did you get them out?\I'm sorry, Master Jaken!\The toxic poisons have entered my body!\If I don't do something, I may die!\I'm sorry, Jaken. response:	All because of me...
context: Rin!\Take the stingers out.\Did you get them out?\I'm sorry, Master Jaken!\The toxic poisons have entered my body!\If I don't do something, I may die!\I'm sorry, Jaken.\All because of me... response:	F-Fool!
context: Take the stingers out.\Did you get them out?\I'm sorry, Master Jaken!\The toxic poisons have entered my body!\If I don't do something, I may die!\I'm sorry, Jaken.\All because of me...\F-Fool! response:	I'm notgoing to die foryou!
context: Did you get them out?\I'm sorry, Master Jaken!\The toxic poisons have entered my body!\If I don't do something, I may die!\I'm sorry, Jaken.\All because of me...\F-Fool!\I'm notgoing to die foryou! response:	I'm dying for Lord Sesshomaru!
context: I'm sorry, Master Jaken!\The toxic poisons have entered my body!\If I don't do something, I may die!\I'm sorry, Jaken.\All because of me...\F-Fool!\I'm notgoing to die foryou!\I'm dying for Lord Sesshomaru! response:	MasterJaken!
context: The toxic poisons have entered my body!\If I don't do something, I may die!\I'm sorry, Jaken.\All because of me...\F-Fool!\I'm notgoing to die foryou!\I'm dying for Lord Sesshomaru!\MasterJaken! response:	Isn't there some way to get rid of the poison?
context: If I don't do something, I may die!\I'm sorry, Jaken.\All because of me...\F-Fool!\I'm notgoing to die foryou!\I'm dying for Lord Sesshomaru!\MasterJaken!\Isn't there some way to get rid of the poison? response:	It's okay, Rin...
context: I'm sorry, Jaken.\All because of me...\F-Fool!\I'm notgoing to die foryou!\I'm dying for Lord Sesshomaru!\MasterJaken!\Isn't there some way to get rid of the poison?\It's okay, Rin... response:	I have been happy traveling the land with Lord Sesshomaru.
context: All because of me...\F-Fool!\I'm notgoing to die foryou!\I'm dying for Lord Sesshomaru!\MasterJaken!\Isn't there some way to get rid of the poison?\It's okay, Rin...\I have been happy traveling the land with Lord Sesshomaru. response:	Even if I should die here, I have no regrets in my life.
context: F-Fool!\I'm notgoing to die foryou!\I'm dying for Lord Sesshomaru!\MasterJaken!\Isn't there some way to get rid of the poison?\It's okay, Rin...\I have been happy traveling the land with Lord Sesshomaru.\Even if I should die here, I have no regrets in my life. response:	MasterJaken...
context: I'm notgoing to die foryou!\I'm dying for Lord Sesshomaru!\MasterJaken!\Isn't there some way to get rid of the poison?\It's okay, Rin...\I have been happy traveling the land with Lord Sesshomaru.\Even if I should die here, I have no regrets in my life.\MasterJaken... response:	Tell Lord Sesshomaru...
context: I'm dying for Lord Sesshomaru!\MasterJaken!\Isn't there some way to get rid of the poison?\It's okay, Rin...\I have been happy traveling the land with Lord Sesshomaru.\Even if I should die here, I have no regrets in my life.\MasterJaken...\Tell Lord Sesshomaru... response:	that I will be praying for his well-being...
context: MasterJaken!\Isn't there some way to get rid of the poison?\It's okay, Rin...\I have been happy traveling the land with Lord Sesshomaru.\Even if I should die here, I have no regrets in my life.\MasterJaken...\Tell Lord Sesshomaru...\that I will be praying for his well-being... response:	from my grave.
context: Isn't there some way to get rid of the poison?\It's okay, Rin...\I have been happy traveling the land with Lord Sesshomaru.\Even if I should die here, I have no regrets in my life.\MasterJaken...\Tell Lord Sesshomaru...\that I will be praying for his well-being...\from my grave. response:	MasterJaken!
context: It's okay, Rin...\I have been happy traveling the land with Lord Sesshomaru.\Even if I should die here, I have no regrets in my life.\MasterJaken...\Tell Lord Sesshomaru...\that I will be praying for his well-being...\from my grave.\MasterJaken! response:	I don't want to see you die!
context: I have been happy traveling the land with Lord Sesshomaru.\Even if I should die here, I have no regrets in my life.\MasterJaken...\Tell Lord Sesshomaru...\that I will be praying for his well-being...\from my grave.\MasterJaken!\I don't want to see you die! response:	Tell me anything!
context: Even if I should die here, I have no regrets in my life.\MasterJaken...\Tell Lord Sesshomaru...\that I will be praying for his well-being...\from my grave.\MasterJaken!\I don't want to see you die!\Tell me anything! response:	Really?
context: MasterJaken...\Tell Lord Sesshomaru...\that I will be praying for his well-being...\from my grave.\MasterJaken!\I don't want to see you die!\Tell me anything!\Really? response:	Uh-huh...
context: Tell Lord Sesshomaru...\that I will be praying for his well-being...\from my grave.\MasterJaken!\I don't want to see you die!\Tell me anything!\Really?\Uh-huh... response:	Then maybe I'll ask...
context: that I will be praying for his well-being...\from my grave.\MasterJaken!\I don't want to see you die!\Tell me anything!\Really?\Uh-huh...\Then maybe I'll ask... response:	MasterJaken... don't die!
context: from my grave.\MasterJaken!\I don't want to see you die!\Tell me anything!\Really?\Uh-huh...\Then maybe I'll ask...\MasterJaken... don't die! response:	To the east of here is an herb farm known as Jinenji's Garden.
context: MasterJaken!\I don't want to see you die!\Tell me anything!\Really?\Uh-huh...\Then maybe I'll ask...\MasterJaken... don't die!\To the east of here is an herb farm known as Jinenji's Garden. response:	Go there and get the berries
context: I don't want to see you die!\Tell me anything!\Really?\Uh-huh...\Then maybe I'll ask...\MasterJaken... don't die!\To the east of here is an herb farm known as Jinenji's Garden.\Go there and get the berries response:	of the sennensou thousand-yearflower.
context: Tell me anything!\Really?\Uh-huh...\Then maybe I'll ask...\MasterJaken... don't die!\To the east of here is an herb farm known as Jinenji's Garden.\Go there and get the berries\of the sennensou thousand-yearflower. response:	The berries of the thousand-yearflower?
context: Really?\Uh-huh...\Then maybe I'll ask...\MasterJaken... don't die!\To the east of here is an herb farm known as Jinenji's Garden.\Go there and get the berries\of the sennensou thousand-yearflower.\The berries of the thousand-yearflower? response:	But Rin...
context: Uh-huh...\Then maybe I'll ask...\MasterJaken... don't die!\To the east of here is an herb farm known as Jinenji's Garden.\Go there and get the berries\of the sennensou thousand-yearflower.\The berries of the thousand-yearflower?\But Rin... response:	If you truly want to save me, you must hurry.
context: Then maybe I'll ask...\MasterJaken... don't die!\To the east of here is an herb farm known as Jinenji's Garden.\Go there and get the berries\of the sennensou thousand-yearflower.\The berries of the thousand-yearflower?\But Rin...\If you truly want to save me, you must hurry. response:	Before the sun sets, I must swallow the berries...
context: MasterJaken... don't die!\To the east of here is an herb farm known as Jinenji's Garden.\Go there and get the berries\of the sennensou thousand-yearflower.\The berries of the thousand-yearflower?\But Rin...\If you truly want to save me, you must hurry.\Before the sun sets, I must swallow the berries... response:	else the toxic poison will have spread throughout my body
context: To the east of here is an herb farm known as Jinenji's Garden.\Go there and get the berries\of the sennensou thousand-yearflower.\The berries of the thousand-yearflower?\But Rin...\If you truly want to save me, you must hurry.\Before the sun sets, I must swallow the berries...\else the toxic poison will have spread throughout my body response:	and I shall...
context: Go there and get the berries\of the sennensou thousand-yearflower.\The berries of the thousand-yearflower?\But Rin...\If you truly want to save me, you must hurry.\Before the sun sets, I must swallow the berries...\else the toxic poison will have spread throughout my body\and I shall... response:	Don't worry, Jaken!
context: of the sennensou thousand-yearflower.\The berries of the thousand-yearflower?\But Rin...\If you truly want to save me, you must hurry.\Before the sun sets, I must swallow the berries...\else the toxic poison will have spread throughout my body\and I shall...\Don't worry, Jaken! response:	I will return before the sun sets!
context: The berries of the thousand-yearflower?\But Rin...\If you truly want to save me, you must hurry.\Before the sun sets, I must swallow the berries...\else the toxic poison will have spread throughout my body\and I shall...\Don't worry, Jaken!\I will return before the sun sets! response:	I promise!
context: But Rin...\If you truly want to save me, you must hurry.\Before the sun sets, I must swallow the berries...\else the toxic poison will have spread throughout my body\and I shall...\Don't worry, Jaken!\I will return before the sun sets!\I promise! response:	A-Uun! Go faster!
