context: 24 Hours with Asamori-san Today's release! response:	I'll buy you!
context: Jinsei wa hakanakute Life is short\Kusubutte irarenai We can't stay like this forever\Dakara arukidasou So let's start walking forward\Yukedo hatenai kono michi o What are you moving towards\Nani o hoshite susundeiku On this endless road?\Mizu o motome samayou you ni You won't get anywhere with hope without desire\Yoku no nai kibou ni mirai wa nai As if you're wandering looking only for water\Monogatari no algorithm The pilgrims pursue response:	Tadoru junreishatachi The algorithm of the story
context: Kusubutte irarenai We can't stay like this forever\Dakara arukidasou So let's start walking forward\Yukedo hatenai kono michi o What are you moving towards\Nani o hoshite susundeiku On this endless road?\Mizu o motome samayou you ni You won't get anywhere with hope without desire\Yoku no nai kibou ni mirai wa nai As if you're wandering looking only for water\Monogatari no algorithm The pilgrims pursue\Tadoru junreishatachi The algorithm of the story response:	Mune ni yadoru sono shin'nen ga The faith in our hearts
context: Dakara arukidasou So let's start walking forward\Yukedo hatenai kono michi o What are you moving towards\Nani o hoshite susundeiku On this endless road?\Mizu o motome samayou you ni You won't get anywhere with hope without desire\Yoku no nai kibou ni mirai wa nai As if you're wandering looking only for water\Monogatari no algorithm The pilgrims pursue\Tadoru junreishatachi The algorithm of the story\Mune ni yadoru sono shin'nen ga The faith in our hearts response:	Death march wo ikinokoru sube Helps us survive this death march
context: Yukedo hatenai kono michi o What are you moving towards\Nani o hoshite susundeiku On this endless road?\Mizu o motome samayou you ni You won't get anywhere with hope without desire\Yoku no nai kibou ni mirai wa nai As if you're wandering looking only for water\Monogatari no algorithm The pilgrims pursue\Tadoru junreishatachi The algorithm of the story\Mune ni yadoru sono shin'nen ga The faith in our hearts\Death march wo ikinokoru sube Helps us survive this death march response:	Imagination no flow The imagination flows!
context: Nani o hoshite susundeiku On this endless road?\Mizu o motome samayou you ni You won't get anywhere with hope without desire\Yoku no nai kibou ni mirai wa nai As if you're wandering looking only for water\Monogatari no algorithm The pilgrims pursue\Tadoru junreishatachi The algorithm of the story\Mune ni yadoru sono shin'nen ga The faith in our hearts\Death march wo ikinokoru sube Helps us survive this death march\Imagination no flow The imagination flows! response:	Junsui no mama ja iranai kanaetai dattara You can't stay pure if you want your dream to come true
context: Mizu o motome samayou you ni You won't get anywhere with hope without desire\Yoku no nai kibou ni mirai wa nai As if you're wandering looking only for water\Monogatari no algorithm The pilgrims pursue\Tadoru junreishatachi The algorithm of the story\Mune ni yadoru sono shin'nen ga The faith in our hearts\Death march wo ikinokoru sube Helps us survive this death march\Imagination no flow The imagination flows!\Junsui no mama ja iranai kanaetai dattara You can't stay pure if you want your dream to come true response:	Furenai unmei wo egakidasou Let's create an impossible fate
context: Yoku no nai kibou ni mirai wa nai As if you're wandering looking only for water\Monogatari no algorithm The pilgrims pursue\Tadoru junreishatachi The algorithm of the story\Mune ni yadoru sono shin'nen ga The faith in our hearts\Death march wo ikinokoru sube Helps us survive this death march\Imagination no flow The imagination flows!\Junsui no mama ja iranai kanaetai dattara You can't stay pure if you want your dream to come true\Furenai unmei wo egakidasou Let's create an impossible fate response:	Tada matteitatte tsumannai It's boring just waiting around
context: Monogatari no algorithm The pilgrims pursue\Tadoru junreishatachi The algorithm of the story\Mune ni yadoru sono shin'nen ga The faith in our hearts\Death march wo ikinokoru sube Helps us survive this death march\Imagination no flow The imagination flows!\Junsui no mama ja iranai kanaetai dattara You can't stay pure if you want your dream to come true\Furenai unmei wo egakidasou Let's create an impossible fate\Tada matteitatte tsumannai It's boring just waiting around response:	Sou kanjiteitan janai That's how you felt, right?
context: Tadoru junreishatachi The algorithm of the story\Mune ni yadoru sono shin'nen ga The faith in our hearts\Death march wo ikinokoru sube Helps us survive this death march\Imagination no flow The imagination flows!\Junsui no mama ja iranai kanaetai dattara You can't stay pure if you want your dream to come true\Furenai unmei wo egakidasou Let's create an impossible fate\Tada matteitatte tsumannai It's boring just waiting around\Sou kanjiteitan janai That's how you felt, right? response:	Yume wa jibun de ubaitsukamu diamond Your dreams are a diamond you have to take for yourself
context: Mune ni yadoru sono shin'nen ga The faith in our hearts\Death march wo ikinokoru sube Helps us survive this death march\Imagination no flow The imagination flows!\Junsui no mama ja iranai kanaetai dattara You can't stay pure if you want your dream to come true\Furenai unmei wo egakidasou Let's create an impossible fate\Tada matteitatte tsumannai It's boring just waiting around\Sou kanjiteitan janai That's how you felt, right?\Yume wa jibun de ubaitsukamu diamond Your dreams are a diamond you have to take for yourself response:	Chousen no turn It's our turn for challenge
context: Death march wo ikinokoru sube Helps us survive this death march\Imagination no flow The imagination flows!\Junsui no mama ja iranai kanaetai dattara You can't stay pure if you want your dream to come true\Furenai unmei wo egakidasou Let's create an impossible fate\Tada matteitatte tsumannai It's boring just waiting around\Sou kanjiteitan janai That's how you felt, right?\Yume wa jibun de ubaitsukamu diamond Your dreams are a diamond you have to take for yourself\Chousen no turn It's our turn for challenge response:	Jounetsu no zone The passionate zone
context: Imagination no flow The imagination flows!\Junsui no mama ja iranai kanaetai dattara You can't stay pure if you want your dream to come true\Furenai unmei wo egakidasou Let's create an impossible fate\Tada matteitatte tsumannai It's boring just waiting around\Sou kanjiteitan janai That's how you felt, right?\Yume wa jibun de ubaitsukamu diamond Your dreams are a diamond you have to take for yourself\Chousen no turn It's our turn for challenge\Jounetsu no zone The passionate zone response:	Tomo ni tatte Let's stand together
context: Junsui no mama ja iranai kanaetai dattara You can't stay pure if you want your dream to come true\Furenai unmei wo egakidasou Let's create an impossible fate\Tada matteitatte tsumannai It's boring just waiting around\Sou kanjiteitan janai That's how you felt, right?\Yume wa jibun de ubaitsukamu diamond Your dreams are a diamond you have to take for yourself\Chousen no turn It's our turn for challenge\Jounetsu no zone The passionate zone\Tomo ni tatte Let's stand together response:	Fumidashite mezasu kouya wo Take our first steps as we aim for the wasteland
context: Furenai unmei wo egakidasou Let's create an impossible fate\Tada matteitatte tsumannai It's boring just waiting around\Sou kanjiteitan janai That's how you felt, right?\Yume wa jibun de ubaitsukamu diamond Your dreams are a diamond you have to take for yourself\Chousen no turn It's our turn for challenge\Jounetsu no zone The passionate zone\Tomo ni tatte Let's stand together\Fumidashite mezasu kouya wo Take our first steps as we aim for the wasteland response:	Beyond.
context: Tada matteitatte tsumannai It's boring just waiting around\Sou kanjiteitan janai That's how you felt, right?\Yume wa jibun de ubaitsukamu diamond Your dreams are a diamond you have to take for yourself\Chousen no turn It's our turn for challenge\Jounetsu no zone The passionate zone\Tomo ni tatte Let's stand together\Fumidashite mezasu kouya wo Take our first steps as we aim for the wasteland\Beyond. response:	At or on the further side of something.
context: Sou kanjiteitan janai That's how you felt, right?\Yume wa jibun de ubaitsukamu diamond Your dreams are a diamond you have to take for yourself\Chousen no turn It's our turn for challenge\Jounetsu no zone The passionate zone\Tomo ni tatte Let's stand together\Fumidashite mezasu kouya wo Take our first steps as we aim for the wasteland\Beyond.\At or on the further side of something. response:	You should have learned that word in middle school.
context: Yume wa jibun de ubaitsukamu diamond Your dreams are a diamond you have to take for yourself\Chousen no turn It's our turn for challenge\Jounetsu no zone The passionate zone\Tomo ni tatte Let's stand together\Fumidashite mezasu kouya wo Take our first steps as we aim for the wasteland\Beyond.\At or on the further side of something.\You should have learned that word in middle school. response:	Combine that with the English word youth for the phrase beyond youth.
context: Chousen no turn It's our turn for challenge\Jounetsu no zone The passionate zone\Tomo ni tatte Let's stand together\Fumidashite mezasu kouya wo Take our first steps as we aim for the wasteland\Beyond.\At or on the further side of something.\You should have learned that word in middle school.\Combine that with the English word youth for the phrase beyond youth. response:	Beyond the age of youth.
context: Jounetsu no zone The passionate zone\Tomo ni tatte Let's stand together\Fumidashite mezasu kouya wo Take our first steps as we aim for the wasteland\Beyond.\At or on the further side of something.\You should have learned that word in middle school.\Combine that with the English word youth for the phrase beyond youth.\Beyond the age of youth. response:	You are all in the midst of your age of youth.
context: Tomo ni tatte Let's stand together\Fumidashite mezasu kouya wo Take our first steps as we aim for the wasteland\Beyond.\At or on the further side of something.\You should have learned that word in middle school.\Combine that with the English word youth for the phrase beyond youth.\Beyond the age of youth.\You are all in the midst of your age of youth. response:	But what lies beyond that?
context: Fumidashite mezasu kouya wo Take our first steps as we aim for the wasteland\Beyond.\At or on the further side of something.\You should have learned that word in middle school.\Combine that with the English word youth for the phrase beyond youth.\Beyond the age of youth.\You are all in the midst of your age of youth.\But what lies beyond that? response:	Have you thought about what lies beyond youth?
context: Beyond.\At or on the further side of something.\You should have learned that word in middle school.\Combine that with the English word youth for the phrase beyond youth.\Beyond the age of youth.\You are all in the midst of your age of youth.\But what lies beyond that?\Have you thought about what lies beyond youth? response:	Um!
context: At or on the further side of something.\You should have learned that word in middle school.\Combine that with the English word youth for the phrase beyond youth.\Beyond the age of youth.\You are all in the midst of your age of youth.\But what lies beyond that?\Have you thought about what lies beyond youth?\Um! response:	What?!
context: You should have learned that word in middle school.\Combine that with the English word youth for the phrase beyond youth.\Beyond the age of youth.\You are all in the midst of your age of youth.\But what lies beyond that?\Have you thought about what lies beyond youth?\Um!\What?! response:	No, you guys go first.
context: Combine that with the English word youth for the phrase beyond youth.\Beyond the age of youth.\You are all in the midst of your age of youth.\But what lies beyond that?\Have you thought about what lies beyond youth?\Um!\What?!\No, you guys go first. response:	No, you say it, Bunta.
context: Beyond the age of youth.\You are all in the midst of your age of youth.\But what lies beyond that?\Have you thought about what lies beyond youth?\Um!\What?!\No, you guys go first.\No, you say it, Bunta. response:	No, I'm fine.
context: You are all in the midst of your age of youth.\But what lies beyond that?\Have you thought about what lies beyond youth?\Um!\What?!\No, you guys go first.\No, you say it, Bunta.\No, I'm fine. response:	What's fine?!
context: But what lies beyond that?\Have you thought about what lies beyond youth?\Um!\What?!\No, you guys go first.\No, you say it, Bunta.\No, I'm fine.\What's fine?! response:	You're weird.
context: Have you thought about what lies beyond youth?\Um!\What?!\No, you guys go first.\No, you say it, Bunta.\No, I'm fine.\What's fine?!\You're weird. response:	Later.
context: Um!\What?!\No, you guys go first.\No, you say it, Bunta.\No, I'm fine.\What's fine?!\You're weird.\Later. response:	Y-yeah.
context: What?!\No, you guys go first.\No, you say it, Bunta.\No, I'm fine.\What's fine?!\You're weird.\Later.\Y-yeah. response:	Later!
context: No, you guys go first.\No, you say it, Bunta.\No, I'm fine.\What's fine?!\You're weird.\Later.\Y-yeah.\Later! response:	Bye bye!
context: No, you say it, Bunta.\No, I'm fine.\What's fine?!\You're weird.\Later.\Y-yeah.\Later!\Bye bye! response:	Now that I remember, Nakajima made that awesome flip today in gym.
context: No, I'm fine.\What's fine?!\You're weird.\Later.\Y-yeah.\Later!\Bye bye!\Now that I remember, Nakajima made that awesome flip today in gym. response:	Oh, you're right. That was crazy.
context: What's fine?!\You're weird.\Later.\Y-yeah.\Later!\Bye bye!\Now that I remember, Nakajima made that awesome flip today in gym.\Oh, you're right. That was crazy. response:	Oh, yeah?
context: You're weird.\Later.\Y-yeah.\Later!\Bye bye!\Now that I remember, Nakajima made that awesome flip today in gym.\Oh, you're right. That was crazy.\Oh, yeah? response:	I can't believe he made the landing on that triple twist flip.
context: Later.\Y-yeah.\Later!\Bye bye!\Now that I remember, Nakajima made that awesome flip today in gym.\Oh, you're right. That was crazy.\Oh, yeah?\I can't believe he made the landing on that triple twist flip. response:	That deserved a gold medal.
context: Y-yeah.\Later!\Bye bye!\Now that I remember, Nakajima made that awesome flip today in gym.\Oh, you're right. That was crazy.\Oh, yeah?\I can't believe he made the landing on that triple twist flip.\That deserved a gold medal. response:	Look, there's not enough consistency!
context: Later!\Bye bye!\Now that I remember, Nakajima made that awesome flip today in gym.\Oh, you're right. That was crazy.\Oh, yeah?\I can't believe he made the landing on that triple twist flip.\That deserved a gold medal.\Look, there's not enough consistency! response:	What?! There is too!
context: Bye bye!\Now that I remember, Nakajima made that awesome flip today in gym.\Oh, you're right. That was crazy.\Oh, yeah?\I can't believe he made the landing on that triple twist flip.\That deserved a gold medal.\Look, there's not enough consistency!\What?! There is too! response:	A consistency called love!
context: Now that I remember, Nakajima made that awesome flip today in gym.\Oh, you're right. That was crazy.\Oh, yeah?\I can't believe he made the landing on that triple twist flip.\That deserved a gold medal.\Look, there's not enough consistency!\What?! There is too!\A consistency called love! response:	All that needs to be consistent are their lower halves!
context: Oh, you're right. That was crazy.\Oh, yeah?\I can't believe he made the landing on that triple twist flip.\That deserved a gold medal.\Look, there's not enough consistency!\What?! There is too!\A consistency called love!\All that needs to be consistent are their lower halves! response:	Ugh, I'm so done with this.
context: Oh, yeah?\I can't believe he made the landing on that triple twist flip.\That deserved a gold medal.\Look, there's not enough consistency!\What?! There is too!\A consistency called love!\All that needs to be consistent are their lower halves!\Ugh, I'm so done with this. response:	Um, you heading up to the club room, too, Ando-san?
context: I can't believe he made the landing on that triple twist flip.\That deserved a gold medal.\Look, there's not enough consistency!\What?! There is too!\A consistency called love!\All that needs to be consistent are their lower halves!\Ugh, I'm so done with this.\Um, you heading up to the club room, too, Ando-san? response:	Oh, yeah, that's right.
context: That deserved a gold medal.\Look, there's not enough consistency!\What?! There is too!\A consistency called love!\All that needs to be consistent are their lower halves!\Ugh, I'm so done with this.\Um, you heading up to the club room, too, Ando-san?\Oh, yeah, that's right. response:	Yo.
context: Look, there's not enough consistency!\What?! There is too!\A consistency called love!\All that needs to be consistent are their lower halves!\Ugh, I'm so done with this.\Um, you heading up to the club room, too, Ando-san?\Oh, yeah, that's right.\Yo. response:	Tori-chan!
context: What?! There is too!\A consistency called love!\All that needs to be consistent are their lower halves!\Ugh, I'm so done with this.\Um, you heading up to the club room, too, Ando-san?\Oh, yeah, that's right.\Yo.\Tori-chan! response:	A-are you all going to the club room?
context: A consistency called love!\All that needs to be consistent are their lower halves!\Ugh, I'm so done with this.\Um, you heading up to the club room, too, Ando-san?\Oh, yeah, that's right.\Yo.\Tori-chan!\A-are you all going to the club room? response:	Yeah.
context: All that needs to be consistent are their lower halves!\Ugh, I'm so done with this.\Um, you heading up to the club room, too, Ando-san?\Oh, yeah, that's right.\Yo.\Tori-chan!\A-are you all going to the club room?\Yeah. response:	Is it alright if I join you?
context: Ugh, I'm so done with this.\Um, you heading up to the club room, too, Ando-san?\Oh, yeah, that's right.\Yo.\Tori-chan!\A-are you all going to the club room?\Yeah.\Is it alright if I join you? response:	Yeah, I mean, we're going to the same place.
context: Um, you heading up to the club room, too, Ando-san?\Oh, yeah, that's right.\Yo.\Tori-chan!\A-are you all going to the club room?\Yeah.\Is it alright if I join you?\Yeah, I mean, we're going to the same place. response:	Um! Today's really our release date, right?
context: Oh, yeah, that's right.\Yo.\Tori-chan!\A-are you all going to the club room?\Yeah.\Is it alright if I join you?\Yeah, I mean, we're going to the same place.\Um! Today's really our release date, right? response:	Huh? Yeah, why?
context: Yo.\Tori-chan!\A-are you all going to the club room?\Yeah.\Is it alright if I join you?\Yeah, I mean, we're going to the same place.\Um! Today's really our release date, right?\Huh? Yeah, why? response:	It just hasn't fully hit me yet.
context: Tori-chan!\A-are you all going to the club room?\Yeah.\Is it alright if I join you?\Yeah, I mean, we're going to the same place.\Um! Today's really our release date, right?\Huh? Yeah, why?\It just hasn't fully hit me yet. response:	You too, Tori-chan?!
context: A-are you all going to the club room?\Yeah.\Is it alright if I join you?\Yeah, I mean, we're going to the same place.\Um! Today's really our release date, right?\Huh? Yeah, why?\It just hasn't fully hit me yet.\You too, Tori-chan?! response:	I haven't felt it yet, either.
context: Yeah.\Is it alright if I join you?\Yeah, I mean, we're going to the same place.\Um! Today's really our release date, right?\Huh? Yeah, why?\It just hasn't fully hit me yet.\You too, Tori-chan?!\I haven't felt it yet, either. response:	Seriously? Me too!
context: Is it alright if I join you?\Yeah, I mean, we're going to the same place.\Um! Today's really our release date, right?\Huh? Yeah, why?\It just hasn't fully hit me yet.\You too, Tori-chan?!\I haven't felt it yet, either.\Seriously? Me too! response:	Oh, so everyone's feeling the same way!
context: Yeah, I mean, we're going to the same place.\Um! Today's really our release date, right?\Huh? Yeah, why?\It just hasn't fully hit me yet.\You too, Tori-chan?!\I haven't felt it yet, either.\Seriously? Me too!\Oh, so everyone's feeling the same way! response:	I'm like oh man, it's really on sale?
context: Um! Today's really our release date, right?\Huh? Yeah, why?\It just hasn't fully hit me yet.\You too, Tori-chan?!\I haven't felt it yet, either.\Seriously? Me too!\Oh, so everyone's feeling the same way!\I'm like oh man, it's really on sale? response:	Yeah, yeah!
context: Huh? Yeah, why?\It just hasn't fully hit me yet.\You too, Tori-chan?!\I haven't felt it yet, either.\Seriously? Me too!\Oh, so everyone's feeling the same way!\I'm like oh man, it's really on sale?\Yeah, yeah! response:	I know, right?
context: It just hasn't fully hit me yet.\You too, Tori-chan?!\I haven't felt it yet, either.\Seriously? Me too!\Oh, so everyone's feeling the same way!\I'm like oh man, it's really on sale?\Yeah, yeah!\I know, right? response:	What're you doing? Open it already!
context: You too, Tori-chan?!\I haven't felt it yet, either.\Seriously? Me too!\Oh, so everyone's feeling the same way!\I'm like oh man, it's really on sale?\Yeah, yeah!\I know, right?\What're you doing? Open it already! response:	Huh? Oh, yeah...
context: I haven't felt it yet, either.\Seriously? Me too!\Oh, so everyone's feeling the same way!\I'm like oh man, it's really on sale?\Yeah, yeah!\I know, right?\What're you doing? Open it already!\Huh? Oh, yeah... response:	Are you nervous, Bunta?
context: Seriously? Me too!\Oh, so everyone's feeling the same way!\I'm like oh man, it's really on sale?\Yeah, yeah!\I know, right?\What're you doing? Open it already!\Huh? Oh, yeah...\Are you nervous, Bunta? response:	S-shut up! I am not!
context: Oh, so everyone's feeling the same way!\I'm like oh man, it's really on sale?\Yeah, yeah!\I know, right?\What're you doing? Open it already!\Huh? Oh, yeah...\Are you nervous, Bunta?\S-shut up! I am not! response:	Is that so?
context: I'm like oh man, it's really on sale?\Yeah, yeah!\I know, right?\What're you doing? Open it already!\Huh? Oh, yeah...\Are you nervous, Bunta?\S-shut up! I am not!\Is that so? response:	Thank you for calling.
context: Yeah, yeah!\I know, right?\What're you doing? Open it already!\Huh? Oh, yeah...\Are you nervous, Bunta?\S-shut up! I am not!\Is that so?\Thank you for calling. response:	Thank you very much.
context: I know, right?\What're you doing? Open it already!\Huh? Oh, yeah...\Are you nervous, Bunta?\S-shut up! I am not!\Is that so?\Thank you for calling.\Thank you very much. response:	Umm...
context: What're you doing? Open it already!\Huh? Oh, yeah...\Are you nervous, Bunta?\S-shut up! I am not!\Is that so?\Thank you for calling.\Thank you very much.\Umm... response:	Kuroda-san?
context: Huh? Oh, yeah...\Are you nervous, Bunta?\S-shut up! I am not!\Is that so?\Thank you for calling.\Thank you very much.\Umm...\Kuroda-san? response:	Wh-wha-
context: Are you nervous, Bunta?\S-shut up! I am not!\Is that so?\Thank you for calling.\Thank you very much.\Umm...\Kuroda-san?\Wh-wha- response:	What are you doing?! Hurry up and come in!
context: S-shut up! I am not!\Is that so?\Thank you for calling.\Thank you very much.\Umm...\Kuroda-san?\Wh-wha-\What are you doing?! Hurry up and come in! response:	Um, that just now, was it...
context: Is that so?\Thank you for calling.\Thank you very much.\Umm...\Kuroda-san?\Wh-wha-\What are you doing?! Hurry up and come in!\Um, that just now, was it... response:	It's just as I predicted.
context: Thank you for calling.\Thank you very much.\Umm...\Kuroda-san?\Wh-wha-\What are you doing?! Hurry up and come in!\Um, that just now, was it...\It's just as I predicted. response:	We have a repeat order.
context: Thank you very much.\Umm...\Kuroda-san?\Wh-wha-\What are you doing?! Hurry up and come in!\Um, that just now, was it...\It's just as I predicted.\We have a repeat order. response:	Huh?
context: Umm...\Kuroda-san?\Wh-wha-\What are you doing?! Hurry up and come in!\Um, that just now, was it...\It's just as I predicted.\We have a repeat order.\Huh? response:	All 3,000 of our initial units sold in an instant.
context: Kuroda-san?\Wh-wha-\What are you doing?! Hurry up and come in!\Um, that just now, was it...\It's just as I predicted.\We have a repeat order.\Huh?\All 3,000 of our initial units sold in an instant. response:	The shops are making additional orders.
context: Wh-wha-\What are you doing?! Hurry up and come in!\Um, that just now, was it...\It's just as I predicted.\We have a repeat order.\Huh?\All 3,000 of our initial units sold in an instant.\The shops are making additional orders. response:	I just finished up with ZEGA, they discussed a proposal for more production.
context: What are you doing?! Hurry up and come in!\Um, that just now, was it...\It's just as I predicted.\We have a repeat order.\Huh?\All 3,000 of our initial units sold in an instant.\The shops are making additional orders.\I just finished up with ZEGA, they discussed a proposal for more production. response:	How much more do they want?
context: Um, that just now, was it...\It's just as I predicted.\We have a repeat order.\Huh?\All 3,000 of our initial units sold in an instant.\The shops are making additional orders.\I just finished up with ZEGA, they discussed a proposal for more production.\How much more do they want? response:	Twice our initial order.
context: It's just as I predicted.\We have a repeat order.\Huh?\All 3,000 of our initial units sold in an instant.\The shops are making additional orders.\I just finished up with ZEGA, they discussed a proposal for more production.\How much more do they want?\Twice our initial order. response:	Twice?!
context: We have a repeat order.\Huh?\All 3,000 of our initial units sold in an instant.\The shops are making additional orders.\I just finished up with ZEGA, they discussed a proposal for more production.\How much more do they want?\Twice our initial order.\Twice?! response:	That many?!
context: Huh?\All 3,000 of our initial units sold in an instant.\The shops are making additional orders.\I just finished up with ZEGA, they discussed a proposal for more production.\How much more do they want?\Twice our initial order.\Twice?!\That many?! response:	They said they'd all sell right away.
context: All 3,000 of our initial units sold in an instant.\The shops are making additional orders.\I just finished up with ZEGA, they discussed a proposal for more production.\How much more do they want?\Twice our initial order.\Twice?!\That many?!\They said they'd all sell right away. response:	So, combining that with the other numbers...
context: The shops are making additional orders.\I just finished up with ZEGA, they discussed a proposal for more production.\How much more do they want?\Twice our initial order.\Twice?!\That many?!\They said they'd all sell right away.\So, combining that with the other numbers... response:	T-that's... nine thousand...
context: I just finished up with ZEGA, they discussed a proposal for more production.\How much more do they want?\Twice our initial order.\Twice?!\That many?!\They said they'd all sell right away.\So, combining that with the other numbers...\T-that's... nine thousand... response:	Whoa.
context: How much more do they want?\Twice our initial order.\Twice?!\That many?!\They said they'd all sell right away.\So, combining that with the other numbers...\T-that's... nine thousand...\Whoa. response:	And looking at Typhoon's sales...
context: Twice our initial order.\Twice?!\That many?!\They said they'd all sell right away.\So, combining that with the other numbers...\T-that's... nine thousand...\Whoa.\And looking at Typhoon's sales... response:	They sold out of all 4,000 of their initial order as well.
context: Twice?!\That many?!\They said they'd all sell right away.\So, combining that with the other numbers...\T-that's... nine thousand...\Whoa.\And looking at Typhoon's sales...\They sold out of all 4,000 of their initial order as well. response:	Huh?
context: That many?!\They said they'd all sell right away.\So, combining that with the other numbers...\T-that's... nine thousand...\Whoa.\And looking at Typhoon's sales...\They sold out of all 4,000 of their initial order as well.\Huh? response:	They had more straight from the beginning!
context: They said they'd all sell right away.\So, combining that with the other numbers...\T-that's... nine thousand...\Whoa.\And looking at Typhoon's sales...\They sold out of all 4,000 of their initial order as well.\Huh?\They had more straight from the beginning! response:	That's so unfair!
context: So, combining that with the other numbers...\T-that's... nine thousand...\Whoa.\And looking at Typhoon's sales...\They sold out of all 4,000 of their initial order as well.\Huh?\They had more straight from the beginning!\That's so unfair! response:	S-so we lost.
context: T-that's... nine thousand...\Whoa.\And looking at Typhoon's sales...\They sold out of all 4,000 of their initial order as well.\Huh?\They had more straight from the beginning!\That's so unfair!\S-so we lost. response:	No, their repeat order is different.
