context: -TS- response:	-OP-
context: He looks like he was crazy from the day he was born...\Streaked hair...\Piercings...\So rebellious...\He's so cool!\Before this I would've stared back and started a fight after class...\But I'm not going to cause that kind of trouble anymore.\I decided that I'll become an Exorcist. response:	Okumura!
context: Streaked hair...\Piercings...\So rebellious...\He's so cool!\Before this I would've stared back and started a fight after class...\But I'm not going to cause that kind of trouble anymore.\I decided that I'll become an Exorcist.\Okumura! response:	The lowest of the minions of the Rotten King, Astaroth...
context: Piercings...\So rebellious...\He's so cool!\Before this I would've stared back and started a fight after class...\But I'm not going to cause that kind of trouble anymore.\I decided that I'll become an Exorcist.\Okumura!\The lowest of the minions of the Rotten King, Astaroth... response:	Okumura!
context: So rebellious...\He's so cool!\Before this I would've stared back and started a fight after class...\But I'm not going to cause that kind of trouble anymore.\I decided that I'll become an Exorcist.\Okumura!\The lowest of the minions of the Rotten King, Astaroth...\Okumura! response:	I've never seen any...
context: He's so cool!\Before this I would've stared back and started a fight after class...\But I'm not going to cause that kind of trouble anymore.\I decided that I'll become an Exorcist.\Okumura!\The lowest of the minions of the Rotten King, Astaroth...\Okumura!\I've never seen any... response:	It's the Coal Tar!
context: Before this I would've stared back and started a fight after class...\But I'm not going to cause that kind of trouble anymore.\I decided that I'll become an Exorcist.\Okumura!\The lowest of the minions of the Rotten King, Astaroth...\Okumura!\I've never seen any...\It's the Coal Tar! response:	One's floating right there!
context: But I'm not going to cause that kind of trouble anymore.\I decided that I'll become an Exorcist.\Okumura!\The lowest of the minions of the Rotten King, Astaroth...\Okumura!\I've never seen any...\It's the Coal Tar!\One's floating right there! response:	Magic is usually performed by contracting demons.
context: I decided that I'll become an Exorcist.\Okumura!\The lowest of the minions of the Rotten King, Astaroth...\Okumura!\I've never seen any...\It's the Coal Tar!\One's floating right there!\Magic is usually performed by contracting demons. response:	The Grimoire is the collection of knowledge on the methods and laws governing those contracts.
context: Okumura!\The lowest of the minions of the Rotten King, Astaroth...\Okumura!\I've never seen any...\It's the Coal Tar!\One's floating right there!\Magic is usually performed by contracting demons.\The Grimoire is the collection of knowledge on the methods and laws governing those contracts. response:	It has an ancient history.
context: The lowest of the minions of the Rotten King, Astaroth...\Okumura!\I've never seen any...\It's the Coal Tar!\One's floating right there!\Magic is usually performed by contracting demons.\The Grimoire is the collection of knowledge on the methods and laws governing those contracts.\It has an ancient history. response:	In the thirteenth century, Reverend William of Auvergne studied demons...
context: Okumura!\I've never seen any...\It's the Coal Tar!\One's floating right there!\Magic is usually performed by contracting demons.\The Grimoire is the collection of knowledge on the methods and laws governing those contracts.\It has an ancient history.\In the thirteenth century, Reverend William of Auvergne studied demons... response:	The Key of Solomon you all have is also...
context: I've never seen any...\It's the Coal Tar!\One's floating right there!\Magic is usually performed by contracting demons.\The Grimoire is the collection of knowledge on the methods and laws governing those contracts.\It has an ancient history.\In the thirteenth century, Reverend William of Auvergne studied demons...\The Key of Solomon you all have is also... response:	I will now give you the results from the test earlier.
context: It's the Coal Tar!\One's floating right there!\Magic is usually performed by contracting demons.\The Grimoire is the collection of knowledge on the methods and laws governing those contracts.\It has an ancient history.\In the thirteenth century, Reverend William of Auvergne studied demons...\The Key of Solomon you all have is also...\I will now give you the results from the test earlier. response:	Shima!
context: One's floating right there!\Magic is usually performed by contracting demons.\The Grimoire is the collection of knowledge on the methods and laws governing those contracts.\It has an ancient history.\In the thirteenth century, Reverend William of Auvergne studied demons...\The Key of Solomon you all have is also...\I will now give you the results from the test earlier.\Shima! response:	Yes!
context: Magic is usually performed by contracting demons.\The Grimoire is the collection of knowledge on the methods and laws governing those contracts.\It has an ancient history.\In the thirteenth century, Reverend William of Auvergne studied demons...\The Key of Solomon you all have is also...\I will now give you the results from the test earlier.\Shima!\Yes! response:	Review the parts you made mistakes at.
context: The Grimoire is the collection of knowledge on the methods and laws governing those contracts.\It has an ancient history.\In the thirteenth century, Reverend William of Auvergne studied demons...\The Key of Solomon you all have is also...\I will now give you the results from the test earlier.\Shima!\Yes!\Review the parts you made mistakes at. response:	Yes...
context: It has an ancient history.\In the thirteenth century, Reverend William of Auvergne studied demons...\The Key of Solomon you all have is also...\I will now give you the results from the test earlier.\Shima!\Yes!\Review the parts you made mistakes at.\Yes... response:	Kamiki!
context: In the thirteenth century, Reverend William of Auvergne studied demons...\The Key of Solomon you all have is also...\I will now give you the results from the test earlier.\Shima!\Yes!\Review the parts you made mistakes at.\Yes...\Kamiki! response:	Yes.
context: The Key of Solomon you all have is also...\I will now give you the results from the test earlier.\Shima!\Yes!\Review the parts you made mistakes at.\Yes...\Kamiki!\Yes. response:	Why are you beaming like that?
context: I will now give you the results from the test earlier.\Shima!\Yes!\Review the parts you made mistakes at.\Yes...\Kamiki!\Yes.\Why are you beaming like that? response:	I have confidence!
context: Shima!\Yes!\Review the parts you made mistakes at.\Yes...\Kamiki!\Yes.\Why are you beaming like that?\I have confidence! response:	Ah, your shop is a pharmacy...
context: Yes!\Review the parts you made mistakes at.\Yes...\Kamiki!\Yes.\Why are you beaming like that?\I have confidence!\Ah, your shop is a pharmacy... response:	Yeah, for Exorcists only!
context: Review the parts you made mistakes at.\Yes...\Kamiki!\Yes.\Why are you beaming like that?\I have confidence!\Ah, your shop is a pharmacy...\Yeah, for Exorcists only! response:	So this is kind of my specialty.
context: Yes...\Kamiki!\Yes.\Why are you beaming like that?\I have confidence!\Ah, your shop is a pharmacy...\Yeah, for Exorcists only!\So this is kind of my specialty. response:	Moriyama!
context: Kamiki!\Yes.\Why are you beaming like that?\I have confidence!\Ah, your shop is a pharmacy...\Yeah, for Exorcists only!\So this is kind of my specialty.\Moriyama! response:	Yes!
context: Yes.\Why are you beaming like that?\I have confidence!\Ah, your shop is a pharmacy...\Yeah, for Exorcists only!\So this is kind of my specialty.\Moriyama!\Yes! response:	What is sancho?
context: Why are you beaming like that?\I have confidence!\Ah, your shop is a pharmacy...\Yeah, for Exorcists only!\So this is kind of my specialty.\Moriyama!\Yes!\What is sancho? response:	Umm, you peel it and put it on burn wounds...
context: I have confidence!\Ah, your shop is a pharmacy...\Yeah, for Exorcists only!\So this is kind of my specialty.\Moriyama!\Yes!\What is sancho?\Umm, you peel it and put it on burn wounds... response:	Aloe, then. And homairi?
context: Ah, your shop is a pharmacy...\Yeah, for Exorcists only!\So this is kind of my specialty.\Moriyama!\Yes!\What is sancho?\Umm, you peel it and put it on burn wounds...\Aloe, then. And homairi? response:	It's a yellow medicine against suppuration.
context: Yeah, for Exorcists only!\So this is kind of my specialty.\Moriyama!\Yes!\What is sancho?\Umm, you peel it and put it on burn wounds...\Aloe, then. And homairi?\It's a yellow medicine against suppuration. response:	Ah, turmeric.
context: So this is kind of my specialty.\Moriyama!\Yes!\What is sancho?\Umm, you peel it and put it on burn wounds...\Aloe, then. And homairi?\It's a yellow medicine against suppuration.\Ah, turmeric. response:	I don't mind if you give the plants new names,
context: Moriyama!\Yes!\What is sancho?\Umm, you peel it and put it on burn wounds...\Aloe, then. And homairi?\It's a yellow medicine against suppuration.\Ah, turmeric.\I don't mind if you give the plants new names, response:	but please use the official nomenclature for tests.
context: Yes!\What is sancho?\Umm, you peel it and put it on burn wounds...\Aloe, then. And homairi?\It's a yellow medicine against suppuration.\Ah, turmeric.\I don't mind if you give the plants new names,\but please use the official nomenclature for tests. response:	Yes...
context: What is sancho?\Umm, you peel it and put it on burn wounds...\Aloe, then. And homairi?\It's a yellow medicine against suppuration.\Ah, turmeric.\I don't mind if you give the plants new names,\but please use the official nomenclature for tests.\Yes... response:	And this is your specialty?
context: Umm, you peel it and put it on burn wounds...\Aloe, then. And homairi?\It's a yellow medicine against suppuration.\Ah, turmeric.\I don't mind if you give the plants new names,\but please use the official nomenclature for tests.\Yes...\And this is your specialty? response:	Okumura!
context: Aloe, then. And homairi?\It's a yellow medicine against suppuration.\Ah, turmeric.\I don't mind if you give the plants new names,\but please use the official nomenclature for tests.\Yes...\And this is your specialty?\Okumura! response:	This was gut-wrenching.
context: It's a yellow medicine against suppuration.\Ah, turmeric.\I don't mind if you give the plants new names,\but please use the official nomenclature for tests.\Yes...\And this is your specialty?\Okumura!\This was gut-wrenching. response:	I'm sorry.
context: Ah, turmeric.\I don't mind if you give the plants new names,\but please use the official nomenclature for tests.\Yes...\And this is your specialty?\Okumura!\This was gut-wrenching.\I'm sorry. response:	Suguro!
context: I don't mind if you give the plants new names,\but please use the official nomenclature for tests.\Yes...\And this is your specialty?\Okumura!\This was gut-wrenching.\I'm sorry.\Suguro! response:	Yes.
context: but please use the official nomenclature for tests.\Yes...\And this is your specialty?\Okumura!\This was gut-wrenching.\I'm sorry.\Suguro!\Yes. response:	Two points?
context: Yes...\And this is your specialty?\Okumura!\This was gut-wrenching.\I'm sorry.\Suguro!\Yes.\Two points? response:	I couldn't do that badly even if I wanted to.
context: And this is your specialty?\Okumura!\This was gut-wrenching.\I'm sorry.\Suguro!\Yes.\Two points?\I couldn't do that badly even if I wanted to. response:	It's because you're always showing off to that chick.
context: Okumura!\This was gut-wrenching.\I'm sorry.\Suguro!\Yes.\Two points?\I couldn't do that badly even if I wanted to.\It's because you're always showing off to that chick. response:	Makes me sick.
context: This was gut-wrenching.\I'm sorry.\Suguro!\Yes.\Two points?\I couldn't do that badly even if I wanted to.\It's because you're always showing off to that chick.\Makes me sick. response:	What's with this punk?
context: I'm sorry.\Suguro!\Yes.\Two points?\I couldn't do that badly even if I wanted to.\It's because you're always showing off to that chick.\Makes me sick.\What's with this punk? response:	He's the one showing off!
context: Suguro!\Yes.\Two points?\I couldn't do that badly even if I wanted to.\It's because you're always showing off to that chick.\Makes me sick.\What's with this punk?\He's the one showing off! response:	You did well, Suguro.
context: Yes.\Two points?\I couldn't do that badly even if I wanted to.\It's because you're always showing off to that chick.\Makes me sick.\What's with this punk?\He's the one showing off!\You did well, Suguro. response:	What?!
context: Two points?\I couldn't do that badly even if I wanted to.\It's because you're always showing off to that chick.\Makes me sick.\What's with this punk?\He's the one showing off!\You did well, Suguro.\What?! response:	That's impossible!
context: I couldn't do that badly even if I wanted to.\It's because you're always showing off to that chick.\Makes me sick.\What's with this punk?\He's the one showing off!\You did well, Suguro.\What?!\That's impossible! response:	How could a guy like you get 98 points?!
context: It's because you're always showing off to that chick.\Makes me sick.\What's with this punk?\He's the one showing off!\You did well, Suguro.\What?!\That's impossible!\How could a guy like you get 98 points?! response:	What?!
context: Makes me sick.\What's with this punk?\He's the one showing off!\You did well, Suguro.\What?!\That's impossible!\How could a guy like you get 98 points?!\What?! response:	I go to school to do my best and to take the Exorcist exam!
context: What's with this punk?\He's the one showing off!\You did well, Suguro.\What?!\That's impossible!\How could a guy like you get 98 points?!\What?!\I go to school to do my best and to take the Exorcist exam! response:	Everyone here is serious about becoming an Exorcist!
context: He's the one showing off!\You did well, Suguro.\What?!\That's impossible!\How could a guy like you get 98 points?!\What?!\I go to school to do my best and to take the Exorcist exam!\Everyone here is serious about becoming an Exorcist! response:	An eyesore who comes here only to slack off should just get lost already!
context: You did well, Suguro.\What?!\That's impossible!\How could a guy like you get 98 points?!\What?!\I go to school to do my best and to take the Exorcist exam!\Everyone here is serious about becoming an Exorcist!\An eyesore who comes here only to slack off should just get lost already! response:	Who put you on that high horse so you could tell me off like that, punk?!
context: What?!\That's impossible!\How could a guy like you get 98 points?!\What?!\I go to school to do my best and to take the Exorcist exam!\Everyone here is serious about becoming an Exorcist!\An eyesore who comes here only to slack off should just get lost already!\Who put you on that high horse so you could tell me off like that, punk?! response:	I want to become an Exorcist, too!
context: That's impossible!\How could a guy like you get 98 points?!\What?!\I go to school to do my best and to take the Exorcist exam!\Everyone here is serious about becoming an Exorcist!\An eyesore who comes here only to slack off should just get lost already!\Who put you on that high horse so you could tell me off like that, punk?!\I want to become an Exorcist, too! response:	What?! All you ever do is sleep in class!
context: How could a guy like you get 98 points?!\What?!\I go to school to do my best and to take the Exorcist exam!\Everyone here is serious about becoming an Exorcist!\An eyesore who comes here only to slack off should just get lost already!\Who put you on that high horse so you could tell me off like that, punk?!\I want to become an Exorcist, too!\What?! All you ever do is sleep in class! response:	Bon, calm down!
context: What?!\I go to school to do my best and to take the Exorcist exam!\Everyone here is serious about becoming an Exorcist!\An eyesore who comes here only to slack off should just get lost already!\Who put you on that high horse so you could tell me off like that, punk?!\I want to become an Exorcist, too!\What?! All you ever do is sleep in class!\Bon, calm down! response:	We're in class, Bon!
context: I go to school to do my best and to take the Exorcist exam!\Everyone here is serious about becoming an Exorcist!\An eyesore who comes here only to slack off should just get lost already!\Who put you on that high horse so you could tell me off like that, punk?!\I want to become an Exorcist, too!\What?! All you ever do is sleep in class!\Bon, calm down!\We're in class, Bon! response:	I haven't seen you pay attention even once!
context: Everyone here is serious about becoming an Exorcist!\An eyesore who comes here only to slack off should just get lost already!\Who put you on that high horse so you could tell me off like that, punk?!\I want to become an Exorcist, too!\What?! All you ever do is sleep in class!\Bon, calm down!\We're in class, Bon!\I haven't seen you pay attention even once! response:	I'm more the practical type!
context: An eyesore who comes here only to slack off should just get lost already!\Who put you on that high horse so you could tell me off like that, punk?!\I want to become an Exorcist, too!\What?! All you ever do is sleep in class!\Bon, calm down!\We're in class, Bon!\I haven't seen you pay attention even once!\I'm more the practical type! response:	I'm not good at sitting at a desk and cramming!
context: Who put you on that high horse so you could tell me off like that, punk?!\I want to become an Exorcist, too!\What?! All you ever do is sleep in class!\Bon, calm down!\We're in class, Bon!\I haven't seen you pay attention even once!\I'm more the practical type!\I'm not good at sitting at a desk and cramming! response:	It's just as Suguro says. You should listen.
context: I want to become an Exorcist, too!\What?! All you ever do is sleep in class!\Bon, calm down!\We're in class, Bon!\I haven't seen you pay attention even once!\I'm more the practical type!\I'm not good at sitting at a desk and cramming!\It's just as Suguro says. You should listen. response:	Yukio, just whose side are you on?
context: What?! All you ever do is sleep in class!\Bon, calm down!\We're in class, Bon!\I haven't seen you pay attention even once!\I'm more the practical type!\I'm not good at sitting at a desk and cramming!\It's just as Suguro says. You should listen.\Yukio, just whose side are you on? response:	I wonder...
context: Bon, calm down!\We're in class, Bon!\I haven't seen you pay attention even once!\I'm more the practical type!\I'm not good at sitting at a desk and cramming!\It's just as Suguro says. You should listen.\Yukio, just whose side are you on?\I wonder... response:	Ah, class is over. This is it for today!
context: We're in class, Bon!\I haven't seen you pay attention even once!\I'm more the practical type!\I'm not good at sitting at a desk and cramming!\It's just as Suguro says. You should listen.\Yukio, just whose side are you on?\I wonder...\Ah, class is over. This is it for today! response:	What's with that guy? Is he smart?
context: I haven't seen you pay attention even once!\I'm more the practical type!\I'm not good at sitting at a desk and cramming!\It's just as Suguro says. You should listen.\Yukio, just whose side are you on?\I wonder...\Ah, class is over. This is it for today!\What's with that guy? Is he smart? response:	Ryuji Suguro? He's a genius.
context: I'm more the practical type!\I'm not good at sitting at a desk and cramming!\It's just as Suguro says. You should listen.\Yukio, just whose side are you on?\I wonder...\Ah, class is over. This is it for today!\What's with that guy? Is he smart?\Ryuji Suguro? He's a genius. response:	He's here on the same scholarship as I was.
context: I'm not good at sitting at a desk and cramming!\It's just as Suguro says. You should listen.\Yukio, just whose side are you on?\I wonder...\Ah, class is over. This is it for today!\What's with that guy? Is he smart?\Ryuji Suguro? He's a genius.\He's here on the same scholarship as I was. response:	He's the heir of a famous temple in Kyoto.
context: It's just as Suguro says. You should listen.\Yukio, just whose side are you on?\I wonder...\Ah, class is over. This is it for today!\What's with that guy? Is he smart?\Ryuji Suguro? He's a genius.\He's here on the same scholarship as I was.\He's the heir of a famous temple in Kyoto. response:	So a spoiled kid with a good background?
context: Yukio, just whose side are you on?\I wonder...\Ah, class is over. This is it for today!\What's with that guy? Is he smart?\Ryuji Suguro? He's a genius.\He's here on the same scholarship as I was.\He's the heir of a famous temple in Kyoto.\So a spoiled kid with a good background? response:	He has great grades, he's athletic
context: I wonder...\Ah, class is over. This is it for today!\What's with that guy? Is he smart?\Ryuji Suguro? He's a genius.\He's here on the same scholarship as I was.\He's the heir of a famous temple in Kyoto.\So a spoiled kid with a good background?\He has great grades, he's athletic response:	and he's always serious about his classes.
context: Ah, class is over. This is it for today!\What's with that guy? Is he smart?\Ryuji Suguro? He's a genius.\He's here on the same scholarship as I was.\He's the heir of a famous temple in Kyoto.\So a spoiled kid with a good background?\He has great grades, he's athletic\and he's always serious about his classes. response:	To say the least, he's working harder than you.
context: What's with that guy? Is he smart?\Ryuji Suguro? He's a genius.\He's here on the same scholarship as I was.\He's the heir of a famous temple in Kyoto.\So a spoiled kid with a good background?\He has great grades, he's athletic\and he's always serious about his classes.\To say the least, he's working harder than you. response:	You could take lessons from him.
context: Ryuji Suguro? He's a genius.\He's here on the same scholarship as I was.\He's the heir of a famous temple in Kyoto.\So a spoiled kid with a good background?\He has great grades, he's athletic\and he's always serious about his classes.\To say the least, he's working harder than you.\You could take lessons from him. response:	Lessons? Is he that good?
context: He's here on the same scholarship as I was.\He's the heir of a famous temple in Kyoto.\So a spoiled kid with a good background?\He has great grades, he's athletic\and he's always serious about his classes.\To say the least, he's working harder than you.\You could take lessons from him.\Lessons? Is he that good? response:	By the way, Shiemi, are you used to cram school yet?
context: He's the heir of a famous temple in Kyoto.\So a spoiled kid with a good background?\He has great grades, he's athletic\and he's always serious about his classes.\To say the least, he's working harder than you.\You could take lessons from him.\Lessons? Is he that good?\By the way, Shiemi, are you used to cram school yet? response:	Well... not yet.
context: So a spoiled kid with a good background?\He has great grades, he's athletic\and he's always serious about his classes.\To say the least, he's working harder than you.\You could take lessons from him.\Lessons? Is he that good?\By the way, Shiemi, are you used to cram school yet?\Well... not yet. response:	You seem so active now that you're like a different person.
context: He has great grades, he's athletic\and he's always serious about his classes.\To say the least, he's working harder than you.\You could take lessons from him.\Lessons? Is he that good?\By the way, Shiemi, are you used to cram school yet?\Well... not yet.\You seem so active now that you're like a different person. response:	Don't worry, just do your best!
context: and he's always serious about his classes.\To say the least, he's working harder than you.\You could take lessons from him.\Lessons? Is he that good?\By the way, Shiemi, are you used to cram school yet?\Well... not yet.\You seem so active now that you're like a different person.\Don't worry, just do your best! response:	Thanks, Yuki.
context: To say the least, he's working harder than you.\You could take lessons from him.\Lessons? Is he that good?\By the way, Shiemi, are you used to cram school yet?\Well... not yet.\You seem so active now that you're like a different person.\Don't worry, just do your best!\Thanks, Yuki. response:	I have to go to my next class, so...
context: You could take lessons from him.\Lessons? Is he that good?\By the way, Shiemi, are you used to cram school yet?\Well... not yet.\You seem so active now that you're like a different person.\Don't worry, just do your best!\Thanks, Yuki.\I have to go to my next class, so... response:	Be careful not to be late for your P.E. class.
context: Lessons? Is he that good?\By the way, Shiemi, are you used to cram school yet?\Well... not yet.\You seem so active now that you're like a different person.\Don't worry, just do your best!\Thanks, Yuki.\I have to go to my next class, so...\Be careful not to be late for your P.E. class. response:	See you later!
context: By the way, Shiemi, are you used to cram school yet?\Well... not yet.\You seem so active now that you're like a different person.\Don't worry, just do your best!\Thanks, Yuki.\I have to go to my next class, so...\Be careful not to be late for your P.E. class.\See you later! response:	Damn, it's just the two of us! What should I say?
context: Well... not yet.\You seem so active now that you're like a different person.\Don't worry, just do your best!\Thanks, Yuki.\I have to go to my next class, so...\Be careful not to be late for your P.E. class.\See you later!\Damn, it's just the two of us! What should I say? response:	Umm... Which class were you in?
context: You seem so active now that you're like a different person.\Don't worry, just do your best!\Thanks, Yuki.\I have to go to my next class, so...\Be careful not to be late for your P.E. class.\See you later!\Damn, it's just the two of us! What should I say?\Umm... Which class were you in? response:	I don't mean in the cram school, but in high school.
context: Don't worry, just do your best!\Thanks, Yuki.\I have to go to my next class, so...\Be careful not to be late for your P.E. class.\See you later!\Damn, it's just the two of us! What should I say?\Umm... Which class were you in?\I don't mean in the cram school, but in high school. response:	I only entered the cram school.
context: Thanks, Yuki.\I have to go to my next class, so...\Be careful not to be late for your P.E. class.\See you later!\Damn, it's just the two of us! What should I say?\Umm... Which class were you in?\I don't mean in the cram school, but in high school.\I only entered the cram school. response:	Then what about high school?
context: I have to go to my next class, so...\Be careful not to be late for your P.E. class.\See you later!\Damn, it's just the two of us! What should I say?\Umm... Which class were you in?\I don't mean in the cram school, but in high school.\I only entered the cram school.\Then what about high school? response:	I'm very shy in front of strangers, so I haven't really gone to middle school either.
context: Be careful not to be late for your P.E. class.\See you later!\Damn, it's just the two of us! What should I say?\Umm... Which class were you in?\I don't mean in the cram school, but in high school.\I only entered the cram school.\Then what about high school?\I'm very shy in front of strangers, so I haven't really gone to middle school either. response:	Well, me neither.
context: See you later!\Damn, it's just the two of us! What should I say?\Umm... Which class were you in?\I don't mean in the cram school, but in high school.\I only entered the cram school.\Then what about high school?\I'm very shy in front of strangers, so I haven't really gone to middle school either.\Well, me neither. response:	I couldn't get used to it somehow...
context: Damn, it's just the two of us! What should I say?\Umm... Which class were you in?\I don't mean in the cram school, but in high school.\I only entered the cram school.\Then what about high school?\I'm very shy in front of strangers, so I haven't really gone to middle school either.\Well, me neither.\I couldn't get used to it somehow... response:	Rin?
context: Umm... Which class were you in?\I don't mean in the cram school, but in high school.\I only entered the cram school.\Then what about high school?\I'm very shy in front of strangers, so I haven't really gone to middle school either.\Well, me neither.\I couldn't get used to it somehow...\Rin? response:	Is it strange that I'm in the cram school?
context: I don't mean in the cram school, but in high school.\I only entered the cram school.\Then what about high school?\I'm very shy in front of strangers, so I haven't really gone to middle school either.\Well, me neither.\I couldn't get used to it somehow...\Rin?\Is it strange that I'm in the cram school? response:	What do you mean?
context: I only entered the cram school.\Then what about high school?\I'm very shy in front of strangers, so I haven't really gone to middle school either.\Well, me neither.\I couldn't get used to it somehow...\Rin?\Is it strange that I'm in the cram school?\What do you mean? response:	I'm not that determined to become an Exorcist...
context: Then what about high school?\I'm very shy in front of strangers, so I haven't really gone to middle school either.\Well, me neither.\I couldn't get used to it somehow...\Rin?\Is it strange that I'm in the cram school?\What do you mean?\I'm not that determined to become an Exorcist... response:	Nor am I smart like Suguro...
context: I'm very shy in front of strangers, so I haven't really gone to middle school either.\Well, me neither.\I couldn't get used to it somehow...\Rin?\Is it strange that I'm in the cram school?\What do you mean?\I'm not that determined to become an Exorcist...\Nor am I smart like Suguro... response:	It's certainly good to be smart,
context: Well, me neither.\I couldn't get used to it somehow...\Rin?\Is it strange that I'm in the cram school?\What do you mean?\I'm not that determined to become an Exorcist...\Nor am I smart like Suguro...\It's certainly good to be smart, response:	but I think it's better that there are all kinds of people in the world.
context: I couldn't get used to it somehow...\Rin?\Is it strange that I'm in the cram school?\What do you mean?\I'm not that determined to become an Exorcist...\Nor am I smart like Suguro...\It's certainly good to be smart,\but I think it's better that there are all kinds of people in the world. response:	Rin! Do you have friends?
