context: Yoake-kun. response:	Got a sec?
context: I know you need to keep an eye on me, so just do it from a distance like always.\No need to come with me.\We were watching.\We know you froze up at Saiki-san's grave last year.\We're worried about it.\Worried you might impulsively follow her.\Or not be able to control yourself if a coworker shows up.\Th-That was last year! response:	I'm perfectly fine now.
context: No need to come with me.\We were watching.\We know you froze up at Saiki-san's grave last year.\We're worried about it.\Worried you might impulsively follow her.\Or not be able to control yourself if a coworker shows up.\Th-That was last year!\I'm perfectly fine now. response:	What's wrong?
context: We were watching.\We know you froze up at Saiki-san's grave last year.\We're worried about it.\Worried you might impulsively follow her.\Or not be able to control yourself if a coworker shows up.\Th-That was last year!\I'm perfectly fine now.\What's wrong? response:	You don't look well.
context: We know you froze up at Saiki-san's grave last year.\We're worried about it.\Worried you might impulsively follow her.\Or not be able to control yourself if a coworker shows up.\Th-That was last year!\I'm perfectly fine now.\What's wrong?\You don't look well. response:	What the hell?
context: We're worried about it.\Worried you might impulsively follow her.\Or not be able to control yourself if a coworker shows up.\Th-That was last year!\I'm perfectly fine now.\What's wrong?\You don't look well.\What the hell? response:	Anyone would go pale if someone tried to strangle them.
context: Worried you might impulsively follow her.\Or not be able to control yourself if a coworker shows up.\Th-That was last year!\I'm perfectly fine now.\What's wrong?\You don't look well.\What the hell?\Anyone would go pale if someone tried to strangle them. response:	Well, excuse me.
context: Or not be able to control yourself if a coworker shows up.\Th-That was last year!\I'm perfectly fine now.\What's wrong?\You don't look well.\What the hell?\Anyone would go pale if someone tried to strangle them.\Well, excuse me. response:	I didn't apply that much pressure, though.
context: Th-That was last year!\I'm perfectly fine now.\What's wrong?\You don't look well.\What the hell?\Anyone would go pale if someone tried to strangle them.\Well, excuse me.\I didn't apply that much pressure, though. response:	But you're doing better than you were right after you resigned.
context: I'm perfectly fine now.\What's wrong?\You don't look well.\What the hell?\Anyone would go pale if someone tried to strangle them.\Well, excuse me.\I didn't apply that much pressure, though.\But you're doing better than you were right after you resigned. response:	You couldn't even tighten a necktie then.
context: What's wrong?\You don't look well.\What the hell?\Anyone would go pale if someone tried to strangle them.\Well, excuse me.\I didn't apply that much pressure, though.\But you're doing better than you were right after you resigned.\You couldn't even tighten a necktie then. response:	You know about that, too?
context: You don't look well.\What the hell?\Anyone would go pale if someone tried to strangle them.\Well, excuse me.\I didn't apply that much pressure, though.\But you're doing better than you were right after you resigned.\You couldn't even tighten a necktie then.\You know about that, too? response:	Of course.
context: What the hell?\Anyone would go pale if someone tried to strangle them.\Well, excuse me.\I didn't apply that much pressure, though.\But you're doing better than you were right after you resigned.\You couldn't even tighten a necktie then.\You know about that, too?\Of course. response:	You can visit the grave, and I'll get you the medicine, but only if I can come with.
context: Anyone would go pale if someone tried to strangle them.\Well, excuse me.\I didn't apply that much pressure, though.\But you're doing better than you were right after you resigned.\You couldn't even tighten a necktie then.\You know about that, too?\Of course.\You can visit the grave, and I'll get you the medicine, but only if I can come with. response:	Understood?
context: Well, excuse me.\I didn't apply that much pressure, though.\But you're doing better than you were right after you resigned.\You couldn't even tighten a necktie then.\You know about that, too?\Of course.\You can visit the grave, and I'll get you the medicine, but only if I can come with.\Understood? response:	Do whatever you want, you sadist.
context: I didn't apply that much pressure, though.\But you're doing better than you were right after you resigned.\You couldn't even tighten a necktie then.\You know about that, too?\Of course.\You can visit the grave, and I'll get you the medicine, but only if I can come with.\Understood?\Do whatever you want, you sadist. response:	Why, I appreciate the compliment!
context: But you're doing better than you were right after you resigned.\You couldn't even tighten a necktie then.\You know about that, too?\Of course.\You can visit the grave, and I'll get you the medicine, but only if I can come with.\Understood?\Do whatever you want, you sadist.\Why, I appreciate the compliment! response:	I didn't give you one!
context: You couldn't even tighten a necktie then.\You know about that, too?\Of course.\You can visit the grave, and I'll get you the medicine, but only if I can come with.\Understood?\Do whatever you want, you sadist.\Why, I appreciate the compliment!\I didn't give you one! response:	Trauma from the suicide of the senpai he'd trained under
context: You know about that, too?\Of course.\You can visit the grave, and I'll get you the medicine, but only if I can come with.\Understood?\Do whatever you want, you sadist.\Why, I appreciate the compliment!\I didn't give you one!\Trauma from the suicide of the senpai he'd trained under response:	Huh? Senpai!
context: Of course.\You can visit the grave, and I'll get you the medicine, but only if I can come with.\Understood?\Do whatever you want, you sadist.\Why, I appreciate the compliment!\I didn't give you one!\Trauma from the suicide of the senpai he'd trained under\Huh? Senpai! response:	What are you up to?
context: You can visit the grave, and I'll get you the medicine, but only if I can come with.\Understood?\Do whatever you want, you sadist.\Why, I appreciate the compliment!\I didn't give you one!\Trauma from the suicide of the senpai he'd trained under\Huh? Senpai!\What are you up to? response:	Writing a medicine request for Kaizaki-san and myself.
context: Understood?\Do whatever you want, you sadist.\Why, I appreciate the compliment!\I didn't give you one!\Trauma from the suicide of the senpai he'd trained under\Huh? Senpai!\What are you up to?\Writing a medicine request for Kaizaki-san and myself. response:	I can tell that much!
context: Do whatever you want, you sadist.\Why, I appreciate the compliment!\I didn't give you one!\Trauma from the suicide of the senpai he'd trained under\Huh? Senpai!\What are you up to?\Writing a medicine request for Kaizaki-san and myself.\I can tell that much! response:	I wanna know why!
context: Why, I appreciate the compliment!\I didn't give you one!\Trauma from the suicide of the senpai he'd trained under\Huh? Senpai!\What are you up to?\Writing a medicine request for Kaizaki-san and myself.\I can tell that much!\I wanna know why! response:	He wants to visit her grave.
context: I didn't give you one!\Trauma from the suicide of the senpai he'd trained under\Huh? Senpai!\What are you up to?\Writing a medicine request for Kaizaki-san and myself.\I can tell that much!\I wanna know why!\He wants to visit her grave. response:	If memory serves, it's dangerous for him to go alone.
context: Trauma from the suicide of the senpai he'd trained under\Huh? Senpai!\What are you up to?\Writing a medicine request for Kaizaki-san and myself.\I can tell that much!\I wanna know why!\He wants to visit her grave.\If memory serves, it's dangerous for him to go alone. response:	Okay, I'm going, too!
context: Huh? Senpai!\What are you up to?\Writing a medicine request for Kaizaki-san and myself.\I can tell that much!\I wanna know why!\He wants to visit her grave.\If memory serves, it's dangerous for him to go alone.\Okay, I'm going, too! response:	No.
context: What are you up to?\Writing a medicine request for Kaizaki-san and myself.\I can tell that much!\I wanna know why!\He wants to visit her grave.\If memory serves, it's dangerous for him to go alone.\Okay, I'm going, too!\No. response:	For starters, they'll only approve it for the assigned support.
context: Writing a medicine request for Kaizaki-san and myself.\I can tell that much!\I wanna know why!\He wants to visit her grave.\If memory serves, it's dangerous for him to go alone.\Okay, I'm going, too!\No.\For starters, they'll only approve it for the assigned support. response:	I could totally go like this, though!
context: I can tell that much!\I wanna know why!\He wants to visit her grave.\If memory serves, it's dangerous for him to go alone.\Okay, I'm going, too!\No.\For starters, they'll only approve it for the assigned support.\I could totally go like this, though! response:	Two grown men and a high school girl?
context: I wanna know why!\He wants to visit her grave.\If memory serves, it's dangerous for him to go alone.\Okay, I'm going, too!\No.\For starters, they'll only approve it for the assigned support.\I could totally go like this, though!\Two grown men and a high school girl? response:	No, thanks. I don't want the police questioning me.
context: He wants to visit her grave.\If memory serves, it's dangerous for him to go alone.\Okay, I'm going, too!\No.\For starters, they'll only approve it for the assigned support.\I could totally go like this, though!\Two grown men and a high school girl?\No, thanks. I don't want the police questioning me. response:	But sorry, Onoya.
context: If memory serves, it's dangerous for him to go alone.\Okay, I'm going, too!\No.\For starters, they'll only approve it for the assigned support.\I could totally go like this, though!\Two grown men and a high school girl?\No, thanks. I don't want the police questioning me.\But sorry, Onoya. response:	I do have a favor to ask.
context: Okay, I'm going, too!\No.\For starters, they'll only approve it for the assigned support.\I could totally go like this, though!\Two grown men and a high school girl?\No, thanks. I don't want the police questioning me.\But sorry, Onoya.\I do have a favor to ask. response:	What's up with that suit?
context: No.\For starters, they'll only approve it for the assigned support.\I could totally go like this, though!\Two grown men and a high school girl?\No, thanks. I don't want the police questioning me.\But sorry, Onoya.\I do have a favor to ask.\What's up with that suit? response:	How'd you know it was a suit?
context: For starters, they'll only approve it for the assigned support.\I could totally go like this, though!\Two grown men and a high school girl?\No, thanks. I don't want the police questioning me.\But sorry, Onoya.\I do have a favor to ask.\What's up with that suit?\How'd you know it was a suit? response:	It looks like one.
context: I could totally go like this, though!\Two grown men and a high school girl?\No, thanks. I don't want the police questioning me.\But sorry, Onoya.\I do have a favor to ask.\What's up with that suit?\How'd you know it was a suit?\It looks like one. response:	Memorial service.
context: Two grown men and a high school girl?\No, thanks. I don't want the police questioning me.\But sorry, Onoya.\I do have a favor to ask.\What's up with that suit?\How'd you know it was a suit?\It looks like one.\Memorial service. response:	Oh. I'm sorry.
context: No, thanks. I don't want the police questioning me.\But sorry, Onoya.\I do have a favor to ask.\What's up with that suit?\How'd you know it was a suit?\It looks like one.\Memorial service.\Oh. I'm sorry. response:	I shouldn't have pried.
context: But sorry, Onoya.\I do have a favor to ask.\What's up with that suit?\How'd you know it was a suit?\It looks like one.\Memorial service.\Oh. I'm sorry.\I shouldn't have pried. response:	It's not often that you start a conversation.
context: I do have a favor to ask.\What's up with that suit?\How'd you know it was a suit?\It looks like one.\Memorial service.\Oh. I'm sorry.\I shouldn't have pried.\It's not often that you start a conversation. response:	That's true.
context: What's up with that suit?\How'd you know it was a suit?\It looks like one.\Memorial service.\Oh. I'm sorry.\I shouldn't have pried.\It's not often that you start a conversation.\That's true. response:	You admit it!
context: How'd you know it was a suit?\It looks like one.\Memorial service.\Oh. I'm sorry.\I shouldn't have pried.\It's not often that you start a conversation.\That's true.\You admit it! response:	This medicine...
context: It looks like one.\Memorial service.\Oh. I'm sorry.\I shouldn't have pried.\It's not often that you start a conversation.\That's true.\You admit it!\This medicine... response:	The change is done in about an hour.
context: Memorial service.\Oh. I'm sorry.\I shouldn't have pried.\It's not often that you start a conversation.\That's true.\You admit it!\This medicine...\The change is done in about an hour. response:	What do you say?
context: Oh. I'm sorry.\I shouldn't have pried.\It's not often that you start a conversation.\That's true.\You admit it!\This medicine...\The change is done in about an hour.\What do you say? response:	Should we spend the hour together, fighting off the drowsiness side effect?
context: I shouldn't have pried.\It's not often that you start a conversation.\That's true.\You admit it!\This medicine...\The change is done in about an hour.\What do you say?\Should we spend the hour together, fighting off the drowsiness side effect? response:	That sounds awful.
context: It's not often that you start a conversation.\That's true.\You admit it!\This medicine...\The change is done in about an hour.\What do you say?\Should we spend the hour together, fighting off the drowsiness side effect?\That sounds awful. response:	We can just nap.
context: That's true.\You admit it!\This medicine...\The change is done in about an hour.\What do you say?\Should we spend the hour together, fighting off the drowsiness side effect?\That sounds awful.\We can just nap. response:	Fair enough.
context: You admit it!\This medicine...\The change is done in about an hour.\What do you say?\Should we spend the hour together, fighting off the drowsiness side effect?\That sounds awful.\We can just nap.\Fair enough. response:	Kaizaki-san, you wake up well, don't you?
context: This medicine...\The change is done in about an hour.\What do you say?\Should we spend the hour together, fighting off the drowsiness side effect?\That sounds awful.\We can just nap.\Fair enough.\Kaizaki-san, you wake up well, don't you? response:	Well...
context: The change is done in about an hour.\What do you say?\Should we spend the hour together, fighting off the drowsiness side effect?\That sounds awful.\We can just nap.\Fair enough.\Kaizaki-san, you wake up well, don't you?\Well... response:	You even look into that?
context: What do you say?\Should we spend the hour together, fighting off the drowsiness side effect?\That sounds awful.\We can just nap.\Fair enough.\Kaizaki-san, you wake up well, don't you?\Well...\You even look into that? response:	Yes.
context: Should we spend the hour together, fighting off the drowsiness side effect?\That sounds awful.\We can just nap.\Fair enough.\Kaizaki-san, you wake up well, don't you?\Well...\You even look into that?\Yes. response:	Meanwhile, I'm the type to sleep through alarms,
context: That sounds awful.\We can just nap.\Fair enough.\Kaizaki-san, you wake up well, don't you?\Well...\You even look into that?\Yes.\Meanwhile, I'm the type to sleep through alarms, response:	What? You sleep through alarms?
context: We can just nap.\Fair enough.\Kaizaki-san, you wake up well, don't you?\Well...\You even look into that?\Yes.\Meanwhile, I'm the type to sleep through alarms,\What? You sleep through alarms? response:	What do you do every morning?
context: Fair enough.\Kaizaki-san, you wake up well, don't you?\Well...\You even look into that?\Yes.\Meanwhile, I'm the type to sleep through alarms,\What? You sleep through alarms?\What do you do every morning? response:	If I have somewhere to be, I sleep sitting up so that I don't sleep that deeply.
context: Kaizaki-san, you wake up well, don't you?\Well...\You even look into that?\Yes.\Meanwhile, I'm the type to sleep through alarms,\What? You sleep through alarms?\What do you do every morning?\If I have somewhere to be, I sleep sitting up so that I don't sleep that deeply. response:	Like a samurai?!
context: Well...\You even look into that?\Yes.\Meanwhile, I'm the type to sleep through alarms,\What? You sleep through alarms?\What do you do every morning?\If I have somewhere to be, I sleep sitting up so that I don't sleep that deeply.\Like a samurai?! response:	How do you ever feel rested?
context: You even look into that?\Yes.\Meanwhile, I'm the type to sleep through alarms,\What? You sleep through alarms?\What do you do every morning?\If I have somewhere to be, I sleep sitting up so that I don't sleep that deeply.\Like a samurai?!\How do you ever feel rested? response:	I mean, you've gotta do your job on top of going to school.
context: Yes.\Meanwhile, I'm the type to sleep through alarms,\What? You sleep through alarms?\What do you do every morning?\If I have somewhere to be, I sleep sitting up so that I don't sleep that deeply.\Like a samurai?!\How do you ever feel rested?\I mean, you've gotta do your job on top of going to school. response:	I'm so happy!
context: Meanwhile, I'm the type to sleep through alarms,\What? You sleep through alarms?\What do you do every morning?\If I have somewhere to be, I sleep sitting up so that I don't sleep that deeply.\Like a samurai?!\How do you ever feel rested?\I mean, you've gotta do your job on top of going to school.\I'm so happy! response:	We've really grown close.
context: What? You sleep through alarms?\What do you do every morning?\If I have somewhere to be, I sleep sitting up so that I don't sleep that deeply.\Like a samurai?!\How do you ever feel rested?\I mean, you've gotta do your job on top of going to school.\I'm so happy!\We've really grown close. response:	You're even worrying about me!
context: What do you do every morning?\If I have somewhere to be, I sleep sitting up so that I don't sleep that deeply.\Like a samurai?!\How do you ever feel rested?\I mean, you've gotta do your job on top of going to school.\I'm so happy!\We've really grown close.\You're even worrying about me! response:	You should really get a girlfriend who'll wake you up.
context: If I have somewhere to be, I sleep sitting up so that I don't sleep that deeply.\Like a samurai?!\How do you ever feel rested?\I mean, you've gotta do your job on top of going to school.\I'm so happy!\We've really grown close.\You're even worrying about me!\You should really get a girlfriend who'll wake you up. response:	Maybe An?
context: Like a samurai?!\How do you ever feel rested?\I mean, you've gotta do your job on top of going to school.\I'm so happy!\We've really grown close.\You're even worrying about me!\You should really get a girlfriend who'll wake you up.\Maybe An? response:	Oh, please!
context: How do you ever feel rested?\I mean, you've gotta do your job on top of going to school.\I'm so happy!\We've really grown close.\You're even worrying about me!\You should really get a girlfriend who'll wake you up.\Maybe An?\Oh, please! response:	I feel tired just thinking about her waking me up!
context: I mean, you've gotta do your job on top of going to school.\I'm so happy!\We've really grown close.\You're even worrying about me!\You should really get a girlfriend who'll wake you up.\Maybe An?\Oh, please!\I feel tired just thinking about her waking me up! response:	I can see that.
context: I'm so happy!\We've really grown close.\You're even worrying about me!\You should really get a girlfriend who'll wake you up.\Maybe An?\Oh, please!\I feel tired just thinking about her waking me up!\I can see that. response:	I bet she wakes up hyper.
context: We've really grown close.\You're even worrying about me!\You should really get a girlfriend who'll wake you up.\Maybe An?\Oh, please!\I feel tired just thinking about her waking me up!\I can see that.\I bet she wakes up hyper. response:	We'd better take these.
context: You're even worrying about me!\You should really get a girlfriend who'll wake you up.\Maybe An?\Oh, please!\I feel tired just thinking about her waking me up!\I can see that.\I bet she wakes up hyper.\We'd better take these. response:	See you in an hour.
context: You should really get a girlfriend who'll wake you up.\Maybe An?\Oh, please!\I feel tired just thinking about her waking me up!\I can see that.\I bet she wakes up hyper.\We'd better take these.\See you in an hour. response:	Yoake-san!
context: Maybe An?\Oh, please!\I feel tired just thinking about her waking me up!\I can see that.\I bet she wakes up hyper.\We'd better take these.\See you in an hour.\Yoake-san! response:	Yoake-san, it's time!
context: Oh, please!\I feel tired just thinking about her waking me up!\I can see that.\I bet she wakes up hyper.\We'd better take these.\See you in an hour.\Yoake-san!\Yoake-san, it's time! response:	C'mon, wake up!
context: I feel tired just thinking about her waking me up!\I can see that.\I bet she wakes up hyper.\We'd better take these.\See you in an hour.\Yoake-san!\Yoake-san, it's time!\C'mon, wake up! response:	I can't. I'm sleepy.
context: I can see that.\I bet she wakes up hyper.\We'd better take these.\See you in an hour.\Yoake-san!\Yoake-san, it's time!\C'mon, wake up!\I can't. I'm sleepy. response:	Sleepy, my foot! Get up!
context: I bet she wakes up hyper.\We'd better take these.\See you in an hour.\Yoake-san!\Yoake-san, it's time!\C'mon, wake up!\I can't. I'm sleepy.\Sleepy, my foot! Get up! response:	Shut up.
context: We'd better take these.\See you in an hour.\Yoake-san!\Yoake-san, it's time!\C'mon, wake up!\I can't. I'm sleepy.\Sleepy, my foot! Get up!\Shut up. response:	You told me to wake you!
context: See you in an hour.\Yoake-san!\Yoake-san, it's time!\C'mon, wake up!\I can't. I'm sleepy.\Sleepy, my foot! Get up!\Shut up.\You told me to wake you! response:	Waking you up is exhausting.
context: Yoake-san!\Yoake-san, it's time!\C'mon, wake up!\I can't. I'm sleepy.\Sleepy, my foot! Get up!\Shut up.\You told me to wake you!\Waking you up is exhausting. response:	Sorry!
context: Yoake-san, it's time!\C'mon, wake up!\I can't. I'm sleepy.\Sleepy, my foot! Get up!\Shut up.\You told me to wake you!\Waking you up is exhausting.\Sorry! response:	It's been four months since we met each other as adults.
context: C'mon, wake up!\I can't. I'm sleepy.\Sleepy, my foot! Get up!\Shut up.\You told me to wake you!\Waking you up is exhausting.\Sorry!\It's been four months since we met each other as adults. response:	Good evening.
context: I can't. I'm sleepy.\Sleepy, my foot! Get up!\Shut up.\You told me to wake you!\Waking you up is exhausting.\Sorry!\It's been four months since we met each other as adults.\Good evening. response:	Nice to meet you, Kaizaki Arata-san.
context: Sleepy, my foot! Get up!\Shut up.\You told me to wake you!\Waking you up is exhausting.\Sorry!\It's been four months since we met each other as adults.\Good evening.\Nice to meet you, Kaizaki Arata-san. response:	Time sure flies, huh?
context: Shut up.\You told me to wake you!\Waking you up is exhausting.\Sorry!\It's been four months since we met each other as adults.\Good evening.\Nice to meet you, Kaizaki Arata-san.\Time sure flies, huh? response:	A third of the way through.
context: You told me to wake you!\Waking you up is exhausting.\Sorry!\It's been four months since we met each other as adults.\Good evening.\Nice to meet you, Kaizaki Arata-san.\Time sure flies, huh?\A third of the way through. response:	Did you just look sad because you were imagining this experiment ending?
context: Waking you up is exhausting.\Sorry!\It's been four months since we met each other as adults.\Good evening.\Nice to meet you, Kaizaki Arata-san.\Time sure flies, huh?\A third of the way through.\Did you just look sad because you were imagining this experiment ending? response:	No!
context: Sorry!\It's been four months since we met each other as adults.\Good evening.\Nice to meet you, Kaizaki Arata-san.\Time sure flies, huh?\A third of the way through.\Did you just look sad because you were imagining this experiment ending?\No! response:	Like I said, I'm only in this for a year's living expenses and a job introduction.
context: It's been four months since we met each other as adults.\Good evening.\Nice to meet you, Kaizaki Arata-san.\Time sure flies, huh?\A third of the way through.\Did you just look sad because you were imagining this experiment ending?\No!\Like I said, I'm only in this for a year's living expenses and a job introduction. response:	I won't be sad.
context: Good evening.\Nice to meet you, Kaizaki Arata-san.\Time sure flies, huh?\A third of the way through.\Did you just look sad because you were imagining this experiment ending?\No!\Like I said, I'm only in this for a year's living expenses and a job introduction.\I won't be sad. response:	Onoya An
context: Nice to meet you, Kaizaki Arata-san.\Time sure flies, huh?\A third of the way through.\Did you just look sad because you were imagining this experiment ending?\No!\Like I said, I'm only in this for a year's living expenses and a job introduction.\I won't be sad.\Onoya An response:	It's okay.
context: Time sure flies, huh?\A third of the way through.\Did you just look sad because you were imagining this experiment ending?\No!\Like I said, I'm only in this for a year's living expenses and a job introduction.\I won't be sad.\Onoya An\It's okay. response:	It's okay.
context: A third of the way through.\Did you just look sad because you were imagining this experiment ending?\No!\Like I said, I'm only in this for a year's living expenses and a job introduction.\I won't be sad.\Onoya An\It's okay.\It's okay. response:	Got it. Thanks.
context: Did you just look sad because you were imagining this experiment ending?\No!\Like I said, I'm only in this for a year's living expenses and a job introduction.\I won't be sad.\Onoya An\It's okay.\It's okay.\Got it. Thanks. response:	Saiki
context: No!\Like I said, I'm only in this for a year's living expenses and a job introduction.\I won't be sad.\Onoya An\It's okay.\It's okay.\Got it. Thanks.\Saiki response:	Are you okay?
context: Like I said, I'm only in this for a year's living expenses and a job introduction.\I won't be sad.\Onoya An\It's okay.\It's okay.\Got it. Thanks.\Saiki\Are you okay? response:	We've been here a while.
context: I won't be sad.\Onoya An\It's okay.\It's okay.\Got it. Thanks.\Saiki\Are you okay?\We've been here a while. response:	I'm fine. Shut up.
context: Onoya An\It's okay.\It's okay.\Got it. Thanks.\Saiki\Are you okay?\We've been here a while.\I'm fine. Shut up. response:	I'm talking to Senpai.
context: It's okay.\It's okay.\Got it. Thanks.\Saiki\Are you okay?\We've been here a while.\I'm fine. Shut up.\I'm talking to Senpai. response:	Talking
context: It's okay.\Got it. Thanks.\Saiki\Are you okay?\We've been here a while.\I'm fine. Shut up.\I'm talking to Senpai.\Talking response:	to
context: Got it. Thanks.\Saiki\Are you okay?\We've been here a while.\I'm fine. Shut up.\I'm talking to Senpai.\Talking\to response:	Um...
context: Saiki\Are you okay?\We've been here a while.\I'm fine. Shut up.\I'm talking to Senpai.\Talking\to\Um... response:	Are you sure you're okay?
context: Are you okay?\We've been here a while.\I'm fine. Shut up.\I'm talking to Senpai.\Talking\to\Um...\Are you sure you're okay? response:	Shut up, you tactless bastard!
context: We've been here a while.\I'm fine. Shut up.\I'm talking to Senpai.\Talking\to\Um...\Are you sure you're okay?\Shut up, you tactless bastard! response:	I'm fine.
context: I'm fine. Shut up.\I'm talking to Senpai.\Talking\to\Um...\Are you sure you're okay?\Shut up, you tactless bastard!\I'm fine. response:	Jeez.
context: I'm talking to Senpai.\Talking\to\Um...\Are you sure you're okay?\Shut up, you tactless bastard!\I'm fine.\Jeez. response:	Kaizaki-kun.
context: Talking\to\Um...\Are you sure you're okay?\Shut up, you tactless bastard!\I'm fine.\Jeez.\Kaizaki-kun. response:	Where should we get lunch?
context: to\Um...\Are you sure you're okay?\Shut up, you tactless bastard!\I'm fine.\Jeez.\Kaizaki-kun.\Where should we get lunch? response:	This was your first big sale!
context: Um...\Are you sure you're okay?\Shut up, you tactless bastard!\I'm fine.\Jeez.\Kaizaki-kun.\Where should we get lunch?\This was your first big sale! response:	Let me, Michiru-senpai, treat you.
context: Are you sure you're okay?\Shut up, you tactless bastard!\I'm fine.\Jeez.\Kaizaki-kun.\Where should we get lunch?\This was your first big sale!\Let me, Michiru-senpai, treat you. response:	I was a new hire, and she was my trainer.
context: Shut up, you tactless bastard!\I'm fine.\Jeez.\Kaizaki-kun.\Where should we get lunch?\This was your first big sale!\Let me, Michiru-senpai, treat you.\I was a new hire, and she was my trainer. response:	She had the best sales record of any employee.
