context: Time's up! response:	I studied when I was in the other dimension.
context: Hey! Hey! Wasn't today's test easy?\D-Don't say that!\Say... Kagome... How's your guy?\- Guy? - Yeah, right!\The delinquent!\He's not a delinquent.\The two-timing one!\H-He's not actually two-timing... response:	Then how would you describe him?
context: D-Don't say that!\Say... Kagome... How's your guy?\- Guy? - Yeah, right!\The delinquent!\He's not a delinquent.\The two-timing one!\H-He's not actually two-timing...\Then how would you describe him? response:	Err... pla... tonic?
context: Say... Kagome... How's your guy?\- Guy? - Yeah, right!\The delinquent!\He's not a delinquent.\The two-timing one!\H-He's not actually two-timing...\Then how would you describe him?\Err... pla... tonic? response:	Platonic?
context: - Guy? - Yeah, right!\The delinquent!\He's not a delinquent.\The two-timing one!\H-He's not actually two-timing...\Then how would you describe him?\Err... pla... tonic?\Platonic? response:	He's a platonic two-timer?
context: The delinquent!\He's not a delinquent.\The two-timing one!\H-He's not actually two-timing...\Then how would you describe him?\Err... pla... tonic?\Platonic?\He's a platonic two-timer? response:	Don't say that!
context: He's not a delinquent.\The two-timing one!\H-He's not actually two-timing...\Then how would you describe him?\Err... pla... tonic?\Platonic?\He's a platonic two-timer?\Don't say that! response:	But Kagome... I've been meaning to tell you.
context: The two-timing one!\H-He's not actually two-timing...\Then how would you describe him?\Err... pla... tonic?\Platonic?\He's a platonic two-timer?\Don't say that!\But Kagome... I've been meaning to tell you. response:	What?
context: H-He's not actually two-timing...\Then how would you describe him?\Err... pla... tonic?\Platonic?\He's a platonic two-timer?\Don't say that!\But Kagome... I've been meaning to tell you.\What? response:	He's no good for you.
context: Then how would you describe him?\Err... pla... tonic?\Platonic?\He's a platonic two-timer?\Don't say that!\But Kagome... I've been meaning to tell you.\What?\He's no good for you. response:	I agree!
context: Err... pla... tonic?\Platonic?\He's a platonic two-timer?\Don't say that!\But Kagome... I've been meaning to tell you.\What?\He's no good for you.\I agree! response:	What's with you guys?
context: Platonic?\He's a platonic two-timer?\Don't say that!\But Kagome... I've been meaning to tell you.\What?\He's no good for you.\I agree!\What's with you guys? response:	He's no good. Bad!
context: He's a platonic two-timer?\Don't say that!\But Kagome... I've been meaning to tell you.\What?\He's no good for you.\I agree!\What's with you guys?\He's no good. Bad! response:	Is he really?
context: Don't say that!\But Kagome... I've been meaning to tell you.\What?\He's no good for you.\I agree!\What's with you guys?\He's no good. Bad!\Is he really? response:	What do you mean?
context: But Kagome... I've been meaning to tell you.\What?\He's no good for you.\I agree!\What's with you guys?\He's no good. Bad!\Is he really?\What do you mean? response:	He's spoiled and rough, right?
context: What?\He's no good for you.\I agree!\What's with you guys?\He's no good. Bad!\Is he really?\What do you mean?\He's spoiled and rough, right? response:	Well... Yeah...
context: He's no good for you.\I agree!\What's with you guys?\He's no good. Bad!\Is he really?\What do you mean?\He's spoiled and rough, right?\Well... Yeah... response:	And jealous, right?
context: I agree!\What's with you guys?\He's no good. Bad!\Is he really?\What do you mean?\He's spoiled and rough, right?\Well... Yeah...\And jealous, right? response:	Say, does he know about Hojo?
context: What's with you guys?\He's no good. Bad!\Is he really?\What do you mean?\He's spoiled and rough, right?\Well... Yeah...\And jealous, right?\Say, does he know about Hojo? response:	Well... I don't think so.
context: He's no good. Bad!\Is he really?\What do you mean?\He's spoiled and rough, right?\Well... Yeah...\And jealous, right?\Say, does he know about Hojo?\Well... I don't think so. response:	Then who is he jealous about?
context: Is he really?\What do you mean?\He's spoiled and rough, right?\Well... Yeah...\And jealous, right?\Say, does he know about Hojo?\Well... I don't think so.\Then who is he jealous about? response:	Maybe Koga.
context: What do you mean?\He's spoiled and rough, right?\Well... Yeah...\And jealous, right?\Say, does he know about Hojo?\Well... I don't think so.\Then who is he jealous about?\Maybe Koga. response:	Koga?!
context: He's spoiled and rough, right?\Well... Yeah...\And jealous, right?\Say, does he know about Hojo?\Well... I don't think so.\Then who is he jealous about?\Maybe Koga.\Koga?! response:	There's nothing between me and Koga! Nothing.
context: Well... Yeah...\And jealous, right?\Say, does he know about Hojo?\Well... I don't think so.\Then who is he jealous about?\Maybe Koga.\Koga?!\There's nothing between me and Koga! Nothing. response:	Then why's he so jealous?
context: And jealous, right?\Say, does he know about Hojo?\Well... I don't think so.\Then who is he jealous about?\Maybe Koga.\Koga?!\There's nothing between me and Koga! Nothing.\Then why's he so jealous? response:	Well... Because Koga said he's in love with me.
context: Say, does he know about Hojo?\Well... I don't think so.\Then who is he jealous about?\Maybe Koga.\Koga?!\There's nothing between me and Koga! Nothing.\Then why's he so jealous?\Well... Because Koga said he's in love with me. response:	Kagome, are you two-timing, too?!
context: Well... I don't think so.\Then who is he jealous about?\Maybe Koga.\Koga?!\There's nothing between me and Koga! Nothing.\Then why's he so jealous?\Well... Because Koga said he's in love with me.\Kagome, are you two-timing, too?! response:	No!
context: Then who is he jealous about?\Maybe Koga.\Koga?!\There's nothing between me and Koga! Nothing.\Then why's he so jealous?\Well... Because Koga said he's in love with me.\Kagome, are you two-timing, too?!\No! response:	I don't feel anything for Koga... I don't like or dislike him.
context: Maybe Koga.\Koga?!\There's nothing between me and Koga! Nothing.\Then why's he so jealous?\Well... Because Koga said he's in love with me.\Kagome, are you two-timing, too?!\No!\I don't feel anything for Koga... I don't like or dislike him. response:	I didn't have a clue... That you're so popular outside of school.
context: Koga?!\There's nothing between me and Koga! Nothing.\Then why's he so jealous?\Well... Because Koga said he's in love with me.\Kagome, are you two-timing, too?!\No!\I don't feel anything for Koga... I don't like or dislike him.\I didn't have a clue... That you're so popular outside of school. response:	I'm not. It's all one-sided on Koga's part.
context: There's nothing between me and Koga! Nothing.\Then why's he so jealous?\Well... Because Koga said he's in love with me.\Kagome, are you two-timing, too?!\No!\I don't feel anything for Koga... I don't like or dislike him.\I didn't have a clue... That you're so popular outside of school.\I'm not. It's all one-sided on Koga's part. response:	One-sided, maybe. But he declared his love.
context: Then why's he so jealous?\Well... Because Koga said he's in love with me.\Kagome, are you two-timing, too?!\No!\I don't feel anything for Koga... I don't like or dislike him.\I didn't have a clue... That you're so popular outside of school.\I'm not. It's all one-sided on Koga's part.\One-sided, maybe. But he declared his love. response:	I wish someone would tell me he loves me!
context: Well... Because Koga said he's in love with me.\Kagome, are you two-timing, too?!\No!\I don't feel anything for Koga... I don't like or dislike him.\I didn't have a clue... That you're so popular outside of school.\I'm not. It's all one-sided on Koga's part.\One-sided, maybe. But he declared his love.\I wish someone would tell me he loves me! response:	I'm in... love with you!
context: Kagome, are you two-timing, too?!\No!\I don't feel anything for Koga... I don't like or dislike him.\I didn't have a clue... That you're so popular outside of school.\I'm not. It's all one-sided on Koga's part.\One-sided, maybe. But he declared his love.\I wish someone would tell me he loves me!\I'm in... love with you! response:	It's so wonderful, Kagome!
context: No!\I don't feel anything for Koga... I don't like or dislike him.\I didn't have a clue... That you're so popular outside of school.\I'm not. It's all one-sided on Koga's part.\One-sided, maybe. But he declared his love.\I wish someone would tell me he loves me!\I'm in... love with you!\It's so wonderful, Kagome! response:	Well, I guess it's nice.
context: I don't feel anything for Koga... I don't like or dislike him.\I didn't have a clue... That you're so popular outside of school.\I'm not. It's all one-sided on Koga's part.\One-sided, maybe. But he declared his love.\I wish someone would tell me he loves me!\I'm in... love with you!\It's so wonderful, Kagome!\Well, I guess it's nice. response:	Actually, I've been asked to bear a child, too.
context: I didn't have a clue... That you're so popular outside of school.\I'm not. It's all one-sided on Koga's part.\One-sided, maybe. But he declared his love.\I wish someone would tell me he loves me!\I'm in... love with you!\It's so wonderful, Kagome!\Well, I guess it's nice.\Actually, I've been asked to bear a child, too. response:	By whom?
context: I'm not. It's all one-sided on Koga's part.\One-sided, maybe. But he declared his love.\I wish someone would tell me he loves me!\I'm in... love with you!\It's so wonderful, Kagome!\Well, I guess it's nice.\Actually, I've been asked to bear a child, too.\By whom? response:	Koga? Or the delinquent one?
context: One-sided, maybe. But he declared his love.\I wish someone would tell me he loves me!\I'm in... love with you!\It's so wonderful, Kagome!\Well, I guess it's nice.\Actually, I've been asked to bear a child, too.\By whom?\Koga? Or the delinquent one? response:	Neither.
context: I wish someone would tell me he loves me!\I'm in... love with you!\It's so wonderful, Kagome!\Well, I guess it's nice.\Actually, I've been asked to bear a child, too.\By whom?\Koga? Or the delinquent one?\Neither. response:	- A third guy?! - Huh? Who?
context: I'm in... love with you!\It's so wonderful, Kagome!\Well, I guess it's nice.\Actually, I've been asked to bear a child, too.\By whom?\Koga? Or the delinquent one?\Neither.\- A third guy?! - Huh? Who? response:	It HAS to be an older man who'd ask such a thing!
context: It's so wonderful, Kagome!\Well, I guess it's nice.\Actually, I've been asked to bear a child, too.\By whom?\Koga? Or the delinquent one?\Neither.\- A third guy?! - Huh? Who?\It HAS to be an older man who'd ask such a thing! response:	Well, naturally. But I think he already has someone he likes.
context: Well, I guess it's nice.\Actually, I've been asked to bear a child, too.\By whom?\Koga? Or the delinquent one?\Neither.\- A third guy?! - Huh? Who?\It HAS to be an older man who'd ask such a thing!\Well, naturally. But I think he already has someone he likes. response:	- It's illicit then?! - Don't get involved, Kagome!
context: Actually, I've been asked to bear a child, too.\By whom?\Koga? Or the delinquent one?\Neither.\- A third guy?! - Huh? Who?\It HAS to be an older man who'd ask such a thing!\Well, naturally. But I think he already has someone he likes.\- It's illicit then?! - Don't get involved, Kagome! response:	It's nothing.
context: By whom?\Koga? Or the delinquent one?\Neither.\- A third guy?! - Huh? Who?\It HAS to be an older man who'd ask such a thing!\Well, naturally. But I think he already has someone he likes.\- It's illicit then?! - Don't get involved, Kagome!\It's nothing. response:	He goes around saying that to every young woman he meets.
context: Koga? Or the delinquent one?\Neither.\- A third guy?! - Huh? Who?\It HAS to be an older man who'd ask such a thing!\Well, naturally. But I think he already has someone he likes.\- It's illicit then?! - Don't get involved, Kagome!\It's nothing.\He goes around saying that to every young woman he meets. response:	What do you mean?!
context: Neither.\- A third guy?! - Huh? Who?\It HAS to be an older man who'd ask such a thing!\Well, naturally. But I think he already has someone he likes.\- It's illicit then?! - Don't get involved, Kagome!\It's nothing.\He goes around saying that to every young woman he meets.\What do you mean?! response:	Please bear my child.
context: - A third guy?! - Huh? Who?\It HAS to be an older man who'd ask such a thing!\Well, naturally. But I think he already has someone he likes.\- It's illicit then?! - Don't get involved, Kagome!\It's nothing.\He goes around saying that to every young woman he meets.\What do you mean?!\Please bear my child. response:	C'mon! It means nothing!
context: It HAS to be an older man who'd ask such a thing!\Well, naturally. But I think he already has someone he likes.\- It's illicit then?! - Don't get involved, Kagome!\It's nothing.\He goes around saying that to every young woman he meets.\What do you mean?!\Please bear my child.\C'mon! It means nothing! response:	But, Kagome... How do you meet these guys, anyway?
context: Well, naturally. But I think he already has someone he likes.\- It's illicit then?! - Don't get involved, Kagome!\It's nothing.\He goes around saying that to every young woman he meets.\What do you mean?!\Please bear my child.\C'mon! It means nothing!\But, Kagome... How do you meet these guys, anyway? response:	Yeah! Even this current guy seems like a delinquent.
context: - It's illicit then?! - Don't get involved, Kagome!\It's nothing.\He goes around saying that to every young woman he meets.\What do you mean?!\Please bear my child.\C'mon! It means nothing!\But, Kagome... How do you meet these guys, anyway?\Yeah! Even this current guy seems like a delinquent. response:	And this Koga guy seems pretty pushy, too.
context: It's nothing.\He goes around saying that to every young woman he meets.\What do you mean?!\Please bear my child.\C'mon! It means nothing!\But, Kagome... How do you meet these guys, anyway?\Yeah! Even this current guy seems like a delinquent.\And this Koga guy seems pretty pushy, too. response:	Hojo doesn't have a chance!
context: He goes around saying that to every young woman he meets.\What do you mean?!\Please bear my child.\C'mon! It means nothing!\But, Kagome... How do you meet these guys, anyway?\Yeah! Even this current guy seems like a delinquent.\And this Koga guy seems pretty pushy, too.\Hojo doesn't have a chance! response:	I guess you like the strong type, huh Kagome?
context: What do you mean?!\Please bear my child.\C'mon! It means nothing!\But, Kagome... How do you meet these guys, anyway?\Yeah! Even this current guy seems like a delinquent.\And this Koga guy seems pretty pushy, too.\Hojo doesn't have a chance!\I guess you like the strong type, huh Kagome? response:	It's not that! It just happens...
context: Please bear my child.\C'mon! It means nothing!\But, Kagome... How do you meet these guys, anyway?\Yeah! Even this current guy seems like a delinquent.\And this Koga guy seems pretty pushy, too.\Hojo doesn't have a chance!\I guess you like the strong type, huh Kagome?\It's not that! It just happens... response:	l just know you're going to have problems with men!
context: C'mon! It means nothing!\But, Kagome... How do you meet these guys, anyway?\Yeah! Even this current guy seems like a delinquent.\And this Koga guy seems pretty pushy, too.\Hojo doesn't have a chance!\I guess you like the strong type, huh Kagome?\It's not that! It just happens...\l just know you're going to have problems with men! response:	She'll be unhappy in marriage!
context: But, Kagome... How do you meet these guys, anyway?\Yeah! Even this current guy seems like a delinquent.\And this Koga guy seems pretty pushy, too.\Hojo doesn't have a chance!\I guess you like the strong type, huh Kagome?\It's not that! It just happens...\l just know you're going to have problems with men!\She'll be unhappy in marriage! response:	Don't say such things!
context: Yeah! Even this current guy seems like a delinquent.\And this Koga guy seems pretty pushy, too.\Hojo doesn't have a chance!\I guess you like the strong type, huh Kagome?\It's not that! It just happens...\l just know you're going to have problems with men!\She'll be unhappy in marriage!\Don't say such things! response:	And how's it going lately with your delinquent honey?
context: And this Koga guy seems pretty pushy, too.\Hojo doesn't have a chance!\I guess you like the strong type, huh Kagome?\It's not that! It just happens...\l just know you're going to have problems with men!\She'll be unhappy in marriage!\Don't say such things!\And how's it going lately with your delinquent honey? response:	Huh? What'd you mean?
context: Hojo doesn't have a chance!\I guess you like the strong type, huh Kagome?\It's not that! It just happens...\l just know you're going to have problems with men!\She'll be unhappy in marriage!\Don't say such things!\And how's it going lately with your delinquent honey?\Huh? What'd you mean? response:	Things going smoothly with him?
context: I guess you like the strong type, huh Kagome?\It's not that! It just happens...\l just know you're going to have problems with men!\She'll be unhappy in marriage!\Don't say such things!\And how's it going lately with your delinquent honey?\Huh? What'd you mean?\Things going smoothly with him? response:	Well... There's been... No particular problem.
context: It's not that! It just happens...\l just know you're going to have problems with men!\She'll be unhappy in marriage!\Don't say such things!\And how's it going lately with your delinquent honey?\Huh? What'd you mean?\Things going smoothly with him?\Well... There's been... No particular problem. response:	So it's going well.
context: l just know you're going to have problems with men!\She'll be unhappy in marriage!\Don't say such things!\And how's it going lately with your delinquent honey?\Huh? What'd you mean?\Things going smoothly with him?\Well... There's been... No particular problem.\So it's going well. response:	She must like him, after all.
context: She'll be unhappy in marriage!\Don't say such things!\And how's it going lately with your delinquent honey?\Huh? What'd you mean?\Things going smoothly with him?\Well... There's been... No particular problem.\So it's going well.\She must like him, after all. response:	Let's change the subject.
context: Don't say such things!\And how's it going lately with your delinquent honey?\Huh? What'd you mean?\Things going smoothly with him?\Well... There's been... No particular problem.\So it's going well.\She must like him, after all.\Let's change the subject. response:	We shouldn't have worried.
context: And how's it going lately with your delinquent honey?\Huh? What'd you mean?\Things going smoothly with him?\Well... There's been... No particular problem.\So it's going well.\She must like him, after all.\Let's change the subject.\We shouldn't have worried. response:	I'll say. Just go about your business.
context: Huh? What'd you mean?\Things going smoothly with him?\Well... There's been... No particular problem.\So it's going well.\She must like him, after all.\Let's change the subject.\We shouldn't have worried.\I'll say. Just go about your business. response:	But it's working out and that's good.
context: Things going smoothly with him?\Well... There's been... No particular problem.\So it's going well.\She must like him, after all.\Let's change the subject.\We shouldn't have worried.\I'll say. Just go about your business.\But it's working out and that's good. response:	Yo!
context: Well... There's been... No particular problem.\So it's going well.\She must like him, after all.\Let's change the subject.\We shouldn't have worried.\I'll say. Just go about your business.\But it's working out and that's good.\Yo! response:	I wonder...
context: So it's going well.\She must like him, after all.\Let's change the subject.\We shouldn't have worried.\I'll say. Just go about your business.\But it's working out and that's good.\Yo!\I wonder... response:	82 on my arithmetic test!
context: She must like him, after all.\Let's change the subject.\We shouldn't have worried.\I'll say. Just go about your business.\But it's working out and that's good.\Yo!\I wonder...\82 on my arithmetic test! response:	You studied hard, didn't you?
context: Let's change the subject.\We shouldn't have worried.\I'll say. Just go about your business.\But it's working out and that's good.\Yo!\I wonder...\82 on my arithmetic test!\You studied hard, didn't you? response:	Sis! 82!
context: We shouldn't have worried.\I'll say. Just go about your business.\But it's working out and that's good.\Yo!\I wonder...\82 on my arithmetic test!\You studied hard, didn't you?\Sis! 82! response:	I heard! Good job!
context: I'll say. Just go about your business.\But it's working out and that's good.\Yo!\I wonder...\82 on my arithmetic test!\You studied hard, didn't you?\Sis! 82!\I heard! Good job! response:	What're you doing?!
context: But it's working out and that's good.\Yo!\I wonder...\82 on my arithmetic test!\You studied hard, didn't you?\Sis! 82!\I heard! Good job!\What're you doing?! response:	Next time, go for a perfect score!
context: Yo!\I wonder...\82 on my arithmetic test!\You studied hard, didn't you?\Sis! 82!\I heard! Good job!\What're you doing?!\Next time, go for a perfect score! response:	Y-You're choking me!
context: I wonder...\82 on my arithmetic test!\You studied hard, didn't you?\Sis! 82!\I heard! Good job!\What're you doing?!\Next time, go for a perfect score!\Y-You're choking me! response:	Okay, settle down. Time for dinner.
context: 82 on my arithmetic test!\You studied hard, didn't you?\Sis! 82!\I heard! Good job!\What're you doing?!\Next time, go for a perfect score!\Y-You're choking me!\Okay, settle down. Time for dinner. response:	All right!
context: You studied hard, didn't you?\Sis! 82!\I heard! Good job!\What're you doing?!\Next time, go for a perfect score!\Y-You're choking me!\Okay, settle down. Time for dinner.\All right! response:	Okay!
context: Sis! 82!\I heard! Good job!\What're you doing?!\Next time, go for a perfect score!\Y-You're choking me!\Okay, settle down. Time for dinner.\All right!\Okay! response:	Thank you for the food.
context: I heard! Good job!\What're you doing?!\Next time, go for a perfect score!\Y-You're choking me!\Okay, settle down. Time for dinner.\All right!\Okay!\Thank you for the food. response:	MMM... Yummy!
context: What're you doing?!\Next time, go for a perfect score!\Y-You're choking me!\Okay, settle down. Time for dinner.\All right!\Okay!\Thank you for the food.\MMM... Yummy! response:	You DO eat when you're on the other side, don't you?
context: Next time, go for a perfect score!\Y-You're choking me!\Okay, settle down. Time for dinner.\All right!\Okay!\Thank you for the food.\MMM... Yummy!\You DO eat when you're on the other side, don't you? response:	Veggies and mountain roots.
context: Y-You're choking me!\Okay, settle down. Time for dinner.\All right!\Okay!\Thank you for the food.\MMM... Yummy!\You DO eat when you're on the other side, don't you?\Veggies and mountain roots. response:	But nothing like this.
context: Okay, settle down. Time for dinner.\All right!\Okay!\Thank you for the food.\MMM... Yummy!\You DO eat when you're on the other side, don't you?\Veggies and mountain roots.\But nothing like this. response:	Then eat your fill.
context: All right!\Okay!\Thank you for the food.\MMM... Yummy!\You DO eat when you're on the other side, don't you?\Veggies and mountain roots.\But nothing like this.\Then eat your fill. response:	When are you going back?
context: Okay!\Thank you for the food.\MMM... Yummy!\You DO eat when you're on the other side, don't you?\Veggies and mountain roots.\But nothing like this.\Then eat your fill.\When are you going back? response:	My test is over.
context: Thank you for the food.\MMM... Yummy!\You DO eat when you're on the other side, don't you?\Veggies and mountain roots.\But nothing like this.\Then eat your fill.\When are you going back?\My test is over. response:	I'll get a good night's sleep and go to class tomorrow again.
context: MMM... Yummy!\You DO eat when you're on the other side, don't you?\Veggies and mountain roots.\But nothing like this.\Then eat your fill.\When are you going back?\My test is over.\I'll get a good night's sleep and go to class tomorrow again. response:	Maybe after that.
context: You DO eat when you're on the other side, don't you?\Veggies and mountain roots.\But nothing like this.\Then eat your fill.\When are you going back?\My test is over.\I'll get a good night's sleep and go to class tomorrow again.\Maybe after that. response:	How'd you do on your test?
context: Veggies and mountain roots.\But nothing like this.\Then eat your fill.\When are you going back?\My test is over.\I'll get a good night's sleep and go to class tomorrow again.\Maybe after that.\How'd you do on your test? response:	Don't even ask.
context: But nothing like this.\Then eat your fill.\When are you going back?\My test is over.\I'll get a good night's sleep and go to class tomorrow again.\Maybe after that.\How'd you do on your test?\Don't even ask. response:	Can't be helped. You've got a lot to handle.
context: Then eat your fill.\When are you going back?\My test is over.\I'll get a good night's sleep and go to class tomorrow again.\Maybe after that.\How'd you do on your test?\Don't even ask.\Can't be helped. You've got a lot to handle. response:	This is heaven!
context: When are you going back?\My test is over.\I'll get a good night's sleep and go to class tomorrow again.\Maybe after that.\How'd you do on your test?\Don't even ask.\Can't be helped. You've got a lot to handle.\This is heaven! response:	Simply heaven...
context: My test is over.\I'll get a good night's sleep and go to class tomorrow again.\Maybe after that.\How'd you do on your test?\Don't even ask.\Can't be helped. You've got a lot to handle.\This is heaven!\Simply heaven... response:	Divine!
context: I'll get a good night's sleep and go to class tomorrow again.\Maybe after that.\How'd you do on your test?\Don't even ask.\Can't be helped. You've got a lot to handle.\This is heaven!\Simply heaven...\Divine! response:	I wonder how everyone's doing.
context: Maybe after that.\How'd you do on your test?\Don't even ask.\Can't be helped. You've got a lot to handle.\This is heaven!\Simply heaven...\Divine!\I wonder how everyone's doing. response:	Oh, well...
context: How'd you do on your test?\Don't even ask.\Can't be helped. You've got a lot to handle.\This is heaven!\Simply heaven...\Divine!\I wonder how everyone's doing.\Oh, well... response:	Divine!
context: Don't even ask.\Can't be helped. You've got a lot to handle.\This is heaven!\Simply heaven...\Divine!\I wonder how everyone's doing.\Oh, well...\Divine! response:	It's lonely without Kagome.
context: Can't be helped. You've got a lot to handle.\This is heaven!\Simply heaven...\Divine!\I wonder how everyone's doing.\Oh, well...\Divine!\It's lonely without Kagome. response:	Think so? I don't notice anything.
context: This is heaven!\Simply heaven...\Divine!\I wonder how everyone's doing.\Oh, well...\Divine!\It's lonely without Kagome.\Think so? I don't notice anything. response:	Liar! I know.
context: Simply heaven...\Divine!\I wonder how everyone's doing.\Oh, well...\Divine!\It's lonely without Kagome.\Think so? I don't notice anything.\Liar! I know. response:	You go into a daze once in a while.
context: Divine!\I wonder how everyone's doing.\Oh, well...\Divine!\It's lonely without Kagome.\Think so? I don't notice anything.\Liar! I know.\You go into a daze once in a while. response:	You're really missing Kagome. Oww! Hey! What're you doing?!
context: I wonder how everyone's doing.\Oh, well...\Divine!\It's lonely without Kagome.\Think so? I don't notice anything.\Liar! I know.\You go into a daze once in a while.\You're really missing Kagome. Oww! Hey! What're you doing?! response:	When did Kagome say she's returning?
context: Oh, well...\Divine!\It's lonely without Kagome.\Think so? I don't notice anything.\Liar! I know.\You go into a daze once in a while.\You're really missing Kagome. Oww! Hey! What're you doing?!\When did Kagome say she's returning? response:	Let's see...
context: Divine!\It's lonely without Kagome.\Think so? I don't notice anything.\Liar! I know.\You go into a daze once in a while.\You're really missing Kagome. Oww! Hey! What're you doing?!\When did Kagome say she's returning?\Let's see... response:	One... two... three... Tomorrow.
context: It's lonely without Kagome.\Think so? I don't notice anything.\Liar! I know.\You go into a daze once in a while.\You're really missing Kagome. Oww! Hey! What're you doing?!\When did Kagome say she's returning?\Let's see...\One... two... three... Tomorrow. response:	She's coming back tomorrow?
context: Think so? I don't notice anything.\Liar! I know.\You go into a daze once in a while.\You're really missing Kagome. Oww! Hey! What're you doing?!\When did Kagome say she's returning?\Let's see...\One... two... three... Tomorrow.\She's coming back tomorrow? response:	We'd better go back to the village and be there to greet her!
context: Liar! I know.\You go into a daze once in a while.\You're really missing Kagome. Oww! Hey! What're you doing?!\When did Kagome say she's returning?\Let's see...\One... two... three... Tomorrow.\She's coming back tomorrow?\We'd better go back to the village and be there to greet her! response:	But we've been here and there... with no success.
context: You go into a daze once in a while.\You're really missing Kagome. Oww! Hey! What're you doing?!\When did Kagome say she's returning?\Let's see...\One... two... three... Tomorrow.\She's coming back tomorrow?\We'd better go back to the village and be there to greet her!\But we've been here and there... with no success. response:	Without Kagome, we can't get any leads on the Sacred Jewel.
context: You're really missing Kagome. Oww! Hey! What're you doing?!\When did Kagome say she's returning?\Let's see...\One... two... three... Tomorrow.\She's coming back tomorrow?\We'd better go back to the village and be there to greet her!\But we've been here and there... with no success.\Without Kagome, we can't get any leads on the Sacred Jewel. response:	And there was no sign of Naraku either.
context: When did Kagome say she's returning?\Let's see...\One... two... three... Tomorrow.\She's coming back tomorrow?\We'd better go back to the village and be there to greet her!\But we've been here and there... with no success.\Without Kagome, we can't get any leads on the Sacred Jewel.\And there was no sign of Naraku either. response:	If only I had a scent of him, I'd get on his track immediately.
context: Let's see...\One... two... three... Tomorrow.\She's coming back tomorrow?\We'd better go back to the village and be there to greet her!\But we've been here and there... with no success.\Without Kagome, we can't get any leads on the Sacred Jewel.\And there was no sign of Naraku either.\If only I had a scent of him, I'd get on his track immediately. response:	Want to come out? Then I'll let you.
context: One... two... three... Tomorrow.\She's coming back tomorrow?\We'd better go back to the village and be there to greet her!\But we've been here and there... with no success.\Without Kagome, we can't get any leads on the Sacred Jewel.\And there was no sign of Naraku either.\If only I had a scent of him, I'd get on his track immediately.\Want to come out? Then I'll let you. response:	Who was that? My younger brother?
context: She's coming back tomorrow?\We'd better go back to the village and be there to greet her!\But we've been here and there... with no success.\Without Kagome, we can't get any leads on the Sacred Jewel.\And there was no sign of Naraku either.\If only I had a scent of him, I'd get on his track immediately.\Want to come out? Then I'll let you.\Who was that? My younger brother? response:	He's different from you all. Let's go.
context: We'd better go back to the village and be there to greet her!\But we've been here and there... with no success.\Without Kagome, we can't get any leads on the Sacred Jewel.\And there was no sign of Naraku either.\If only I had a scent of him, I'd get on his track immediately.\Want to come out? Then I'll let you.\Who was that? My younger brother?\He's different from you all. Let's go. response:	Hey, Boss! Which village will be hit next?
context: But we've been here and there... with no success.\Without Kagome, we can't get any leads on the Sacred Jewel.\And there was no sign of Naraku either.\If only I had a scent of him, I'd get on his track immediately.\Want to come out? Then I'll let you.\Who was that? My younger brother?\He's different from you all. Let's go.\Hey, Boss! Which village will be hit next? response:	Someplace with lots of women and sake!
