context: Tsuritama Episode 4 response:	Since Grandma went to the hospital,
context: How? I came up with it.\What?\Here are your whitebait bowls.\Thank you, Mari-chan.\Thanks for the food.\I see.\The friends Natsuki's been teaching to fish are Haru and...\Yuki. response:	Yuki-kun, is it?
context: What?\Here are your whitebait bowls.\Thank you, Mari-chan.\Thanks for the food.\I see.\The friends Natsuki's been teaching to fish are Haru and...\Yuki.\Yuki-kun, is it? response:	Be nice to Natsuki for me.
context: Here are your whitebait bowls.\Thank you, Mari-chan.\Thanks for the food.\I see.\The friends Natsuki's been teaching to fish are Haru and...\Yuki.\Yuki-kun, is it?\Be nice to Natsuki for me. response:	He's real grouchy, but he's not a bad guy.
context: Thank you, Mari-chan.\Thanks for the food.\I see.\The friends Natsuki's been teaching to fish are Haru and...\Yuki.\Yuki-kun, is it?\Be nice to Natsuki for me.\He's real grouchy, but he's not a bad guy. response:	Hey, Natsuki. Your friends are here.
context: Thanks for the food.\I see.\The friends Natsuki's been teaching to fish are Haru and...\Yuki.\Yuki-kun, is it?\Be nice to Natsuki for me.\He's real grouchy, but he's not a bad guy.\Hey, Natsuki. Your friends are here. response:	He must still be sleeping.
context: I see.\The friends Natsuki's been teaching to fish are Haru and...\Yuki.\Yuki-kun, is it?\Be nice to Natsuki for me.\He's real grouchy, but he's not a bad guy.\Hey, Natsuki. Your friends are here.\He must still be sleeping. response:	Natsuki, you shouldn't sleep in.
context: The friends Natsuki's been teaching to fish are Haru and...\Yuki.\Yuki-kun, is it?\Be nice to Natsuki for me.\He's real grouchy, but he's not a bad guy.\Hey, Natsuki. Your friends are here.\He must still be sleeping.\Natsuki, you shouldn't sleep in. response:	Haru-chan!
context: Yuki.\Yuki-kun, is it?\Be nice to Natsuki for me.\He's real grouchy, but he's not a bad guy.\Hey, Natsuki. Your friends are here.\He must still be sleeping.\Natsuki, you shouldn't sleep in.\Haru-chan! response:	Sakura!
context: Yuki-kun, is it?\Be nice to Natsuki for me.\He's real grouchy, but he's not a bad guy.\Hey, Natsuki. Your friends are here.\He must still be sleeping.\Natsuki, you shouldn't sleep in.\Haru-chan!\Sakura! response:	Sakura, you're friends with him, too?
context: Be nice to Natsuki for me.\He's real grouchy, but he's not a bad guy.\Hey, Natsuki. Your friends are here.\He must still be sleeping.\Natsuki, you shouldn't sleep in.\Haru-chan!\Sakura!\Sakura, you're friends with him, too? response:	Yeah. Haru-chan's so funny.
context: He's real grouchy, but he's not a bad guy.\Hey, Natsuki. Your friends are here.\He must still be sleeping.\Natsuki, you shouldn't sleep in.\Haru-chan!\Sakura!\Sakura, you're friends with him, too?\Yeah. Haru-chan's so funny. response:	Yuki, Natsuki's family gets along great.
context: Hey, Natsuki. Your friends are here.\He must still be sleeping.\Natsuki, you shouldn't sleep in.\Haru-chan!\Sakura!\Sakura, you're friends with him, too?\Yeah. Haru-chan's so funny.\Yuki, Natsuki's family gets along great. response:	Tamocchan and Mari-chan are best friends.
context: He must still be sleeping.\Natsuki, you shouldn't sleep in.\Haru-chan!\Sakura!\Sakura, you're friends with him, too?\Yeah. Haru-chan's so funny.\Yuki, Natsuki's family gets along great.\Tamocchan and Mari-chan are best friends. response:	See, Mari-chan?
context: Natsuki, you shouldn't sleep in.\Haru-chan!\Sakura!\Sakura, you're friends with him, too?\Yeah. Haru-chan's so funny.\Yuki, Natsuki's family gets along great.\Tamocchan and Mari-chan are best friends.\See, Mari-chan? response:	Huh?
context: Haru-chan!\Sakura!\Sakura, you're friends with him, too?\Yeah. Haru-chan's so funny.\Yuki, Natsuki's family gets along great.\Tamocchan and Mari-chan are best friends.\See, Mari-chan?\Huh? response:	I guess.
context: Sakura!\Sakura, you're friends with him, too?\Yeah. Haru-chan's so funny.\Yuki, Natsuki's family gets along great.\Tamocchan and Mari-chan are best friends.\See, Mari-chan?\Huh?\I guess. response:	Is that their relationship?
context: Sakura, you're friends with him, too?\Yeah. Haru-chan's so funny.\Yuki, Natsuki's family gets along great.\Tamocchan and Mari-chan are best friends.\See, Mari-chan?\Huh?\I guess.\Is that their relationship? response:	I'll do the dishes!
context: Yeah. Haru-chan's so funny.\Yuki, Natsuki's family gets along great.\Tamocchan and Mari-chan are best friends.\See, Mari-chan?\Huh?\I guess.\Is that their relationship?\I'll do the dishes! response:	You shouldn't have said that.
context: Yuki, Natsuki's family gets along great.\Tamocchan and Mari-chan are best friends.\See, Mari-chan?\Huh?\I guess.\Is that their relationship?\I'll do the dishes!\You shouldn't have said that. response:	What do you mean?
context: Tamocchan and Mari-chan are best friends.\See, Mari-chan?\Huh?\I guess.\Is that their relationship?\I'll do the dishes!\You shouldn't have said that.\What do you mean? response:	Oh, right. What are you guys trying to catch?
context: See, Mari-chan?\Huh?\I guess.\Is that their relationship?\I'll do the dishes!\You shouldn't have said that.\What do you mean?\Oh, right. What are you guys trying to catch? response:	Something amazing.
context: Huh?\I guess.\Is that their relationship?\I'll do the dishes!\You shouldn't have said that.\What do you mean?\Oh, right. What are you guys trying to catch?\Something amazing. response:	Amazing?
context: I guess.\Is that their relationship?\I'll do the dishes!\You shouldn't have said that.\What do you mean?\Oh, right. What are you guys trying to catch?\Something amazing.\Amazing? response:	Something huge living in Enoshima.
context: Is that their relationship?\I'll do the dishes!\You shouldn't have said that.\What do you mean?\Oh, right. What are you guys trying to catch?\Something amazing.\Amazing?\Something huge living in Enoshima. response:	A huge fish?
context: I'll do the dishes!\You shouldn't have said that.\What do you mean?\Oh, right. What are you guys trying to catch?\Something amazing.\Amazing?\Something huge living in Enoshima.\A huge fish? response:	Are you going to leave once you catch it, alien?
context: You shouldn't have said that.\What do you mean?\Oh, right. What are you guys trying to catch?\Something amazing.\Amazing?\Something huge living in Enoshima.\A huge fish?\Are you going to leave once you catch it, alien? response:	I see. I hope you catch it.
context: What do you mean?\Oh, right. What are you guys trying to catch?\Something amazing.\Amazing?\Something huge living in Enoshima.\A huge fish?\Are you going to leave once you catch it, alien?\I see. I hope you catch it. response:	Tamocchan, do you want to fish with us?
context: Oh, right. What are you guys trying to catch?\Something amazing.\Amazing?\Something huge living in Enoshima.\A huge fish?\Are you going to leave once you catch it, alien?\I see. I hope you catch it.\Tamocchan, do you want to fish with us? response:	Huh?
context: Something amazing.\Amazing?\Something huge living in Enoshima.\A huge fish?\Are you going to leave once you catch it, alien?\I see. I hope you catch it.\Tamocchan, do you want to fish with us?\Huh? response:	Do you want to fish with me and Yuki and Natsuki?
context: Amazing?\Something huge living in Enoshima.\A huge fish?\Are you going to leave once you catch it, alien?\I see. I hope you catch it.\Tamocchan, do you want to fish with us?\Huh?\Do you want to fish with me and Yuki and Natsuki? response:	There he goes again.
context: Something huge living in Enoshima.\A huge fish?\Are you going to leave once you catch it, alien?\I see. I hope you catch it.\Tamocchan, do you want to fish with us?\Huh?\Do you want to fish with me and Yuki and Natsuki?\There he goes again. response:	Sure, but only if Natsuki says it's okay.
context: A huge fish?\Are you going to leave once you catch it, alien?\I see. I hope you catch it.\Tamocchan, do you want to fish with us?\Huh?\Do you want to fish with me and Yuki and Natsuki?\There he goes again.\Sure, but only if Natsuki says it's okay. response:	Why?
context: Are you going to leave once you catch it, alien?\I see. I hope you catch it.\Tamocchan, do you want to fish with us?\Huh?\Do you want to fish with me and Yuki and Natsuki?\There he goes again.\Sure, but only if Natsuki says it's okay.\Why? response:	We haven't been getting along lately.
context: I see. I hope you catch it.\Tamocchan, do you want to fish with us?\Huh?\Do you want to fish with me and Yuki and Natsuki?\There he goes again.\Sure, but only if Natsuki says it's okay.\Why?\We haven't been getting along lately. response:	Haru's so silly.
context: Tamocchan, do you want to fish with us?\Huh?\Do you want to fish with me and Yuki and Natsuki?\There he goes again.\Sure, but only if Natsuki says it's okay.\Why?\We haven't been getting along lately.\Haru's so silly. response:	It's nothing to laugh about.
context: Huh?\Do you want to fish with me and Yuki and Natsuki?\There he goes again.\Sure, but only if Natsuki says it's okay.\Why?\We haven't been getting along lately.\Haru's so silly.\It's nothing to laugh about. response:	It's hard work.
context: Do you want to fish with me and Yuki and Natsuki?\There he goes again.\Sure, but only if Natsuki says it's okay.\Why?\We haven't been getting along lately.\Haru's so silly.\It's nothing to laugh about.\It's hard work. response:	We're busy at the crack of dawn.
context: There he goes again.\Sure, but only if Natsuki says it's okay.\Why?\We haven't been getting along lately.\Haru's so silly.\It's nothing to laugh about.\It's hard work.\We're busy at the crack of dawn. response:	And he's always saying things he shouldn't to everybody.
context: Sure, but only if Natsuki says it's okay.\Why?\We haven't been getting along lately.\Haru's so silly.\It's nothing to laugh about.\It's hard work.\We're busy at the crack of dawn.\And he's always saying things he shouldn't to everybody. response:	But that's what's good about Haru.
context: Why?\We haven't been getting along lately.\Haru's so silly.\It's nothing to laugh about.\It's hard work.\We're busy at the crack of dawn.\And he's always saying things he shouldn't to everybody.\But that's what's good about Haru. response:	What?
context: We haven't been getting along lately.\Haru's so silly.\It's nothing to laugh about.\It's hard work.\We're busy at the crack of dawn.\And he's always saying things he shouldn't to everybody.\But that's what's good about Haru.\What? response:	Haru has a strange power.
context: Haru's so silly.\It's nothing to laugh about.\It's hard work.\We're busy at the crack of dawn.\And he's always saying things he shouldn't to everybody.\But that's what's good about Haru.\What?\Haru has a strange power. response:	The power to melt everyone's hearts.
context: It's nothing to laugh about.\It's hard work.\We're busy at the crack of dawn.\And he's always saying things he shouldn't to everybody.\But that's what's good about Haru.\What?\Haru has a strange power.\The power to melt everyone's hearts. response:	But it's not that great for the people with him.
context: It's hard work.\We're busy at the crack of dawn.\And he's always saying things he shouldn't to everybody.\But that's what's good about Haru.\What?\Haru has a strange power.\The power to melt everyone's hearts.\But it's not that great for the people with him. response:	What would you do if Haru disappeared?
context: We're busy at the crack of dawn.\And he's always saying things he shouldn't to everybody.\But that's what's good about Haru.\What?\Haru has a strange power.\The power to melt everyone's hearts.\But it's not that great for the people with him.\What would you do if Haru disappeared? response:	Would you still have fun every day?
context: And he's always saying things he shouldn't to everybody.\But that's what's good about Haru.\What?\Haru has a strange power.\The power to melt everyone's hearts.\But it's not that great for the people with him.\What would you do if Haru disappeared?\Would you still have fun every day? response:	Enoshima bowl!
context: But that's what's good about Haru.\What?\Haru has a strange power.\The power to melt everyone's hearts.\But it's not that great for the people with him.\What would you do if Haru disappeared?\Would you still have fun every day?\Enoshima bowl! response:	I finally got it in.
context: What?\Haru has a strange power.\The power to melt everyone's hearts.\But it's not that great for the people with him.\What would you do if Haru disappeared?\Would you still have fun every day?\Enoshima bowl!\I finally got it in. response:	Did you see that, Yuki?
context: Haru has a strange power.\The power to melt everyone's hearts.\But it's not that great for the people with him.\What would you do if Haru disappeared?\Would you still have fun every day?\Enoshima bowl!\I finally got it in.\Did you see that, Yuki? response:	You got lucky.
context: The power to melt everyone's hearts.\But it's not that great for the people with him.\What would you do if Haru disappeared?\Would you still have fun every day?\Enoshima bowl!\I finally got it in.\Did you see that, Yuki?\You got lucky. response:	It wasn't luck. I did it, I did it.
context: But it's not that great for the people with him.\What would you do if Haru disappeared?\Would you still have fun every day?\Enoshima bowl!\I finally got it in.\Did you see that, Yuki?\You got lucky.\It wasn't luck. I did it, I did it. response:	Fine, okay.
context: What would you do if Haru disappeared?\Would you still have fun every day?\Enoshima bowl!\I finally got it in.\Did you see that, Yuki?\You got lucky.\It wasn't luck. I did it, I did it.\Fine, okay. response:	Okay. It's time for the real thing.
context: Would you still have fun every day?\Enoshima bowl!\I finally got it in.\Did you see that, Yuki?\You got lucky.\It wasn't luck. I did it, I did it.\Fine, okay.\Okay. It's time for the real thing. response:	The real thing?
context: Enoshima bowl!\I finally got it in.\Did you see that, Yuki?\You got lucky.\It wasn't luck. I did it, I did it.\Fine, okay.\Okay. It's time for the real thing.\The real thing? response:	You're going to cast into the ocean.
context: I finally got it in.\Did you see that, Yuki?\You got lucky.\It wasn't luck. I did it, I did it.\Fine, okay.\Okay. It's time for the real thing.\The real thing?\You're going to cast into the ocean. response:	Are you sure?
context: Did you see that, Yuki?\You got lucky.\It wasn't luck. I did it, I did it.\Fine, okay.\Okay. It's time for the real thing.\The real thing?\You're going to cast into the ocean.\Are you sure? response:	Yeah. I promised.
context: You got lucky.\It wasn't luck. I did it, I did it.\Fine, okay.\Okay. It's time for the real thing.\The real thing?\You're going to cast into the ocean.\Are you sure?\Yeah. I promised. response:	All right! I finally get to cast into the ocean.
context: It wasn't luck. I did it, I did it.\Fine, okay.\Okay. It's time for the real thing.\The real thing?\You're going to cast into the ocean.\Are you sure?\Yeah. I promised.\All right! I finally get to cast into the ocean. response:	Yuki, you look happy.
context: Fine, okay.\Okay. It's time for the real thing.\The real thing?\You're going to cast into the ocean.\Are you sure?\Yeah. I promised.\All right! I finally get to cast into the ocean.\Yuki, you look happy. response:	Shut up.
context: Okay. It's time for the real thing.\The real thing?\You're going to cast into the ocean.\Are you sure?\Yeah. I promised.\All right! I finally get to cast into the ocean.\Yuki, you look happy.\Shut up. response:	I'm happy if you're happy.
context: The real thing?\You're going to cast into the ocean.\Are you sure?\Yeah. I promised.\All right! I finally get to cast into the ocean.\Yuki, you look happy.\Shut up.\I'm happy if you're happy. response:	You still don't understand the appeal of fishing.
context: You're going to cast into the ocean.\Are you sure?\Yeah. I promised.\All right! I finally get to cast into the ocean.\Yuki, you look happy.\Shut up.\I'm happy if you're happy.\You still don't understand the appeal of fishing. response:	What appeal?
context: Are you sure?\Yeah. I promised.\All right! I finally get to cast into the ocean.\Yuki, you look happy.\Shut up.\I'm happy if you're happy.\You still don't understand the appeal of fishing.\What appeal? response:	The true joy of fishing.
context: Yeah. I promised.\All right! I finally get to cast into the ocean.\Yuki, you look happy.\Shut up.\I'm happy if you're happy.\You still don't understand the appeal of fishing.\What appeal?\The true joy of fishing. response:	You can't just fish.
context: All right! I finally get to cast into the ocean.\Yuki, you look happy.\Shut up.\I'm happy if you're happy.\You still don't understand the appeal of fishing.\What appeal?\The true joy of fishing.\You can't just fish. response:	You have to think for yourself and
context: Yuki, you look happy.\Shut up.\I'm happy if you're happy.\You still don't understand the appeal of fishing.\What appeal?\The true joy of fishing.\You can't just fish.\You have to think for yourself and response:	catch something with your own hands.
context: Shut up.\I'm happy if you're happy.\You still don't understand the appeal of fishing.\What appeal?\The true joy of fishing.\You can't just fish.\You have to think for yourself and\catch something with your own hands. response:	My own hands.
context: I'm happy if you're happy.\You still don't understand the appeal of fishing.\What appeal?\The true joy of fishing.\You can't just fish.\You have to think for yourself and\catch something with your own hands.\My own hands. response:	Listen up, because I'll only say it once.
context: You still don't understand the appeal of fishing.\What appeal?\The true joy of fishing.\You can't just fish.\You have to think for yourself and\catch something with your own hands.\My own hands.\Listen up, because I'll only say it once. response:	First, establish your target.
context: What appeal?\The true joy of fishing.\You can't just fish.\You have to think for yourself and\catch something with your own hands.\My own hands.\Listen up, because I'll only say it once.\First, establish your target. response:	Where are the sea bass?
context: The true joy of fishing.\You can't just fish.\You have to think for yourself and\catch something with your own hands.\My own hands.\Listen up, because I'll only say it once.\First, establish your target.\Where are the sea bass? response:	Where? The ocean's huge.
context: You can't just fish.\You have to think for yourself and\catch something with your own hands.\My own hands.\Listen up, because I'll only say it once.\First, establish your target.\Where are the sea bass?\Where? The ocean's huge. response:	Over there!
context: You have to think for yourself and\catch something with your own hands.\My own hands.\Listen up, because I'll only say it once.\First, establish your target.\Where are the sea bass?\Where? The ocean's huge.\Over there! response:	Those shadows.
context: catch something with your own hands.\My own hands.\Listen up, because I'll only say it once.\First, establish your target.\Where are the sea bass?\Where? The ocean's huge.\Over there!\Those shadows. response:	Why?
context: My own hands.\Listen up, because I'll only say it once.\First, establish your target.\Where are the sea bass?\Where? The ocean's huge.\Over there!\Those shadows.\Why? response:	Because the sun's hot.
context: Listen up, because I'll only say it once.\First, establish your target.\Where are the sea bass?\Where? The ocean's huge.\Over there!\Those shadows.\Why?\Because the sun's hot. response:	Is he serious?
context: First, establish your target.\Where are the sea bass?\Where? The ocean's huge.\Over there!\Those shadows.\Why?\Because the sun's hot.\Is he serious? response:	Close.
context: Where are the sea bass?\Where? The ocean's huge.\Over there!\Those shadows.\Why?\Because the sun's hot.\Is he serious?\Close. response:	What?
context: Where? The ocean's huge.\Over there!\Those shadows.\Why?\Because the sun's hot.\Is he serious?\Close.\What? response:	Sea bass gather near rocks and other obstacles.
context: Over there!\Those shadows.\Why?\Because the sun's hot.\Is he serious?\Close.\What?\Sea bass gather near rocks and other obstacles. response:	They protect them from predators and make it easier to feed.
context: Those shadows.\Why?\Because the sun's hot.\Is he serious?\Close.\What?\Sea bass gather near rocks and other obstacles.\They protect them from predators and make it easier to feed. response:	I see.
context: Why?\Because the sun's hot.\Is he serious?\Close.\What?\Sea bass gather near rocks and other obstacles.\They protect them from predators and make it easier to feed.\I see. response:	What are you going to throw over there?
context: Because the sun's hot.\Is he serious?\Close.\What?\Sea bass gather near rocks and other obstacles.\They protect them from predators and make it easier to feed.\I see.\What are you going to throw over there? response:	Food.
context: Is he serious?\Close.\What?\Sea bass gather near rocks and other obstacles.\They protect them from predators and make it easier to feed.\I see.\What are you going to throw over there?\Food. response:	That's right.
context: Close.\What?\Sea bass gather near rocks and other obstacles.\They protect them from predators and make it easier to feed.\I see.\What are you going to throw over there?\Food.\That's right. response:	Lures.
context: What?\Sea bass gather near rocks and other obstacles.\They protect them from predators and make it easier to feed.\I see.\What are you going to throw over there?\Food.\That's right.\Lures. response:	This little fish with a lip is a minnow.
context: Sea bass gather near rocks and other obstacles.\They protect them from predators and make it easier to feed.\I see.\What are you going to throw over there?\Food.\That's right.\Lures.\This little fish with a lip is a minnow. response:	We'll start with these.
context: They protect them from predators and make it easier to feed.\I see.\What are you going to throw over there?\Food.\That's right.\Lures.\This little fish with a lip is a minnow.\We'll start with these. response:	You're going to make it act.
context: I see.\What are you going to throw over there?\Food.\That's right.\Lures.\This little fish with a lip is a minnow.\We'll start with these.\You're going to make it act. response:	Act?
context: What are you going to throw over there?\Food.\That's right.\Lures.\This little fish with a lip is a minnow.\We'll start with these.\You're going to make it act.\Act? response:	Bait the fish by moving the lure.
context: Food.\That's right.\Lures.\This little fish with a lip is a minnow.\We'll start with these.\You're going to make it act.\Act?\Bait the fish by moving the lure. response:	It's called a retrieve.
context: That's right.\Lures.\This little fish with a lip is a minnow.\We'll start with these.\You're going to make it act.\Act?\Bait the fish by moving the lure.\It's called a retrieve. response:	Retrieve?
context: Lures.\This little fish with a lip is a minnow.\We'll start with these.\You're going to make it act.\Act?\Bait the fish by moving the lure.\It's called a retrieve.\Retrieve? response:	IT Terminology Retrieve: The act of getting information.
context: This little fish with a lip is a minnow.\We'll start with these.\You're going to make it act.\Act?\Bait the fish by moving the lure.\It's called a retrieve.\Retrieve?\IT Terminology Retrieve: The act of getting information. response:	An IT term?
context: We'll start with these.\You're going to make it act.\Act?\Bait the fish by moving the lure.\It's called a retrieve.\Retrieve?\IT Terminology Retrieve: The act of getting information.\An IT term? response:	Basically, you pull in the line.
context: You're going to make it act.\Act?\Bait the fish by moving the lure.\It's called a retrieve.\Retrieve?\IT Terminology Retrieve: The act of getting information.\An IT term?\Basically, you pull in the line. response:	You should've said that first.
context: Act?\Bait the fish by moving the lure.\It's called a retrieve.\Retrieve?\IT Terminology Retrieve: The act of getting information.\An IT term?\Basically, you pull in the line.\You should've said that first. response:	When you start, use a simple retrieve.
context: Bait the fish by moving the lure.\It's called a retrieve.\Retrieve?\IT Terminology Retrieve: The act of getting information.\An IT term?\Basically, you pull in the line.\You should've said that first.\When you start, use a simple retrieve. response:	Simple retrieve?
context: It's called a retrieve.\Retrieve?\IT Terminology Retrieve: The act of getting information.\An IT term?\Basically, you pull in the line.\You should've said that first.\When you start, use a simple retrieve.\Simple retrieve? response:	Just reel the line in.
context: Retrieve?\IT Terminology Retrieve: The act of getting information.\An IT term?\Basically, you pull in the line.\You should've said that first.\When you start, use a simple retrieve.\Simple retrieve?\Just reel the line in. response:	If your aim is right, the fish should bite.
context: IT Terminology Retrieve: The act of getting information.\An IT term?\Basically, you pull in the line.\You should've said that first.\When you start, use a simple retrieve.\Simple retrieve?\Just reel the line in.\If your aim is right, the fish should bite. response:	It's wiggling!
context: An IT term?\Basically, you pull in the line.\You should've said that first.\When you start, use a simple retrieve.\Simple retrieve?\Just reel the line in.\If your aim is right, the fish should bite.\It's wiggling! response:	Try it.
context: Basically, you pull in the line.\You should've said that first.\When you start, use a simple retrieve.\Simple retrieve?\Just reel the line in.\If your aim is right, the fish should bite.\It's wiggling!\Try it. response:	Enoshima bowl!
context: You should've said that first.\When you start, use a simple retrieve.\Simple retrieve?\Just reel the line in.\If your aim is right, the fish should bite.\It's wiggling!\Try it.\Enoshima bowl! response:	Good.
context: When you start, use a simple retrieve.\Simple retrieve?\Just reel the line in.\If your aim is right, the fish should bite.\It's wiggling!\Try it.\Enoshima bowl!\Good. response:	Simple retrieve.
context: Simple retrieve?\Just reel the line in.\If your aim is right, the fish should bite.\It's wiggling!\Try it.\Enoshima bowl!\Good.\Simple retrieve. response:	Yuki, you're retrieving too fast.
context: Just reel the line in.\If your aim is right, the fish should bite.\It's wiggling!\Try it.\Enoshima bowl!\Good.\Simple retrieve.\Yuki, you're retrieving too fast. response:	Don't rush.
context: If your aim is right, the fish should bite.\It's wiggling!\Try it.\Enoshima bowl!\Good.\Simple retrieve.\Yuki, you're retrieving too fast.\Don't rush. response:	Yuki, don't rush.
context: It's wiggling!\Try it.\Enoshima bowl!\Good.\Simple retrieve.\Yuki, you're retrieving too fast.\Don't rush.\Yuki, don't rush. response:	Shut up.
