context: Akatsuki... response:	Where am I?
context: That's why I think I need...\well, to be a princess.\But I'm never good enough.\So...\So I want to treat you properly, Rieze!\Otherwise, I won't have the right to be treated kindly by you,\or to delude myself into thinking I'm protecting you.\Treat me properly? response:	Very well.
context: well, to be a princess.\But I'm never good enough.\So...\So I want to treat you properly, Rieze!\Otherwise, I won't have the right to be treated kindly by you,\or to delude myself into thinking I'm protecting you.\Treat me properly?\Very well. response:	Then here's my first bit of advice.
context: But I'm never good enough.\So...\So I want to treat you properly, Rieze!\Otherwise, I won't have the right to be treated kindly by you,\or to delude myself into thinking I'm protecting you.\Treat me properly?\Very well.\Then here's my first bit of advice. response:	To treat someone properly is too difficult.
context: So...\So I want to treat you properly, Rieze!\Otherwise, I won't have the right to be treated kindly by you,\or to delude myself into thinking I'm protecting you.\Treat me properly?\Very well.\Then here's my first bit of advice.\To treat someone properly is too difficult. response:	Let's be friends, Lenessia.
context: So I want to treat you properly, Rieze!\Otherwise, I won't have the right to be treated kindly by you,\or to delude myself into thinking I'm protecting you.\Treat me properly?\Very well.\Then here's my first bit of advice.\To treat someone properly is too difficult.\Let's be friends, Lenessia. response:	I'm an adventurer, but if you don't mind that...
context: Otherwise, I won't have the right to be treated kindly by you,\or to delude myself into thinking I'm protecting you.\Treat me properly?\Very well.\Then here's my first bit of advice.\To treat someone properly is too difficult.\Let's be friends, Lenessia.\I'm an adventurer, but if you don't mind that... response:	No... This couldn't be...
context: or to delude myself into thinking I'm protecting you.\Treat me properly?\Very well.\Then here's my first bit of advice.\To treat someone properly is too difficult.\Let's be friends, Lenessia.\I'm an adventurer, but if you don't mind that...\No... This couldn't be... response:	Where am I heading?
context: Treat me properly?\Very well.\Then here's my first bit of advice.\To treat someone properly is too difficult.\Let's be friends, Lenessia.\I'm an adventurer, but if you don't mind that...\No... This couldn't be...\Where am I heading? response:	Being pushed, rushed, driven along...
context: Very well.\Then here's my first bit of advice.\To treat someone properly is too difficult.\Let's be friends, Lenessia.\I'm an adventurer, but if you don't mind that...\No... This couldn't be...\Where am I heading?\Being pushed, rushed, driven along... response:	Where am I trying to go?
context: Then here's my first bit of advice.\To treat someone properly is too difficult.\Let's be friends, Lenessia.\I'm an adventurer, but if you don't mind that...\No... This couldn't be...\Where am I heading?\Being pushed, rushed, driven along...\Where am I trying to go? response:	I may not have a destination.
context: To treat someone properly is too difficult.\Let's be friends, Lenessia.\I'm an adventurer, but if you don't mind that...\No... This couldn't be...\Where am I heading?\Being pushed, rushed, driven along...\Where am I trying to go?\I may not have a destination. response:	I'm just trying to run.
context: Let's be friends, Lenessia.\I'm an adventurer, but if you don't mind that...\No... This couldn't be...\Where am I heading?\Being pushed, rushed, driven along...\Where am I trying to go?\I may not have a destination.\I'm just trying to run. response:	I didn't think it would be so quiet here.
context: I'm an adventurer, but if you don't mind that...\No... This couldn't be...\Where am I heading?\Being pushed, rushed, driven along...\Where am I trying to go?\I may not have a destination.\I'm just trying to run.\I didn't think it would be so quiet here. response:	Yeah.
context: No... This couldn't be...\Where am I heading?\Being pushed, rushed, driven along...\Where am I trying to go?\I may not have a destination.\I'm just trying to run.\I didn't think it would be so quiet here.\Yeah. response:	Something disappeared...
context: Where am I heading?\Being pushed, rushed, driven along...\Where am I trying to go?\I may not have a destination.\I'm just trying to run.\I didn't think it would be so quiet here.\Yeah.\Something disappeared... response:	Did you also feel it, my lord?
context: Being pushed, rushed, driven along...\Where am I trying to go?\I may not have a destination.\I'm just trying to run.\I didn't think it would be so quiet here.\Yeah.\Something disappeared...\Did you also feel it, my lord? response:	Akatsuki...
context: Where am I trying to go?\I may not have a destination.\I'm just trying to run.\I didn't think it would be so quiet here.\Yeah.\Something disappeared...\Did you also feel it, my lord?\Akatsuki... response:	I see.
context: I may not have a destination.\I'm just trying to run.\I didn't think it would be so quiet here.\Yeah.\Something disappeared...\Did you also feel it, my lord?\Akatsuki...\I see. response:	Amazing, isn't it?
context: I'm just trying to run.\I didn't think it would be so quiet here.\Yeah.\Something disappeared...\Did you also feel it, my lord?\Akatsuki...\I see.\Amazing, isn't it? response:	It isn't snow, is it?
context: I didn't think it would be so quiet here.\Yeah.\Something disappeared...\Did you also feel it, my lord?\Akatsuki...\I see.\Amazing, isn't it?\It isn't snow, is it? response:	No.
context: Yeah.\Something disappeared...\Did you also feel it, my lord?\Akatsuki...\I see.\Amazing, isn't it?\It isn't snow, is it?\No. response:	Everyone's thoughts...
context: Something disappeared...\Did you also feel it, my lord?\Akatsuki...\I see.\Amazing, isn't it?\It isn't snow, is it?\No.\Everyone's thoughts... response:	The memory fragments they offered up,
context: Did you also feel it, my lord?\Akatsuki...\I see.\Amazing, isn't it?\It isn't snow, is it?\No.\Everyone's thoughts...\The memory fragments they offered up, response:	so they could rise up once more.
context: Akatsuki...\I see.\Amazing, isn't it?\It isn't snow, is it?\No.\Everyone's thoughts...\The memory fragments they offered up,\so they could rise up once more. response:	You were defeated, Akatsuki?
context: I see.\Amazing, isn't it?\It isn't snow, is it?\No.\Everyone's thoughts...\The memory fragments they offered up,\so they could rise up once more.\You were defeated, Akatsuki? response:	That's right.
context: Amazing, isn't it?\It isn't snow, is it?\No.\Everyone's thoughts...\The memory fragments they offered up,\so they could rise up once more.\You were defeated, Akatsuki?\That's right. response:	I died.
context: It isn't snow, is it?\No.\Everyone's thoughts...\The memory fragments they offered up,\so they could rise up once more.\You were defeated, Akatsuki?\That's right.\I died. response:	I had almost figured something out...
context: No.\Everyone's thoughts...\The memory fragments they offered up,\so they could rise up once more.\You were defeated, Akatsuki?\That's right.\I died.\I had almost figured something out... response:	I see.
context: Everyone's thoughts...\The memory fragments they offered up,\so they could rise up once more.\You were defeated, Akatsuki?\That's right.\I died.\I had almost figured something out...\I see. response:	So was I.
context: The memory fragments they offered up,\so they could rise up once more.\You were defeated, Akatsuki?\That's right.\I died.\I had almost figured something out...\I see.\So was I. response:	I died.
context: so they could rise up once more.\You were defeated, Akatsuki?\That's right.\I died.\I had almost figured something out...\I see.\So was I.\I died. response:	You, too, my lord?
context: You were defeated, Akatsuki?\That's right.\I died.\I had almost figured something out...\I see.\So was I.\I died.\You, too, my lord? response:	Yeah.
context: That's right.\I died.\I had almost figured something out...\I see.\So was I.\I died.\You, too, my lord?\Yeah. response:	It's been a heck of a Christmas Eve, my lord.
context: I died.\I had almost figured something out...\I see.\So was I.\I died.\You, too, my lord?\Yeah.\It's been a heck of a Christmas Eve, my lord. response:	I failed.
context: I had almost figured something out...\I see.\So was I.\I died.\You, too, my lord?\Yeah.\It's been a heck of a Christmas Eve, my lord.\I failed. response:	I was naIve.
context: I see.\So was I.\I died.\You, too, my lord?\Yeah.\It's been a heck of a Christmas Eve, my lord.\I failed.\I was naIve. response:	I couldn't trust them enough.
context: So was I.\I died.\You, too, my lord?\Yeah.\It's been a heck of a Christmas Eve, my lord.\I failed.\I was naIve.\I couldn't trust them enough. response:	I don't understand.
context: I died.\You, too, my lord?\Yeah.\It's been a heck of a Christmas Eve, my lord.\I failed.\I was naIve.\I couldn't trust them enough.\I don't understand. response:	It isn't that I'm upset because I couldn't win.
context: You, too, my lord?\Yeah.\It's been a heck of a Christmas Eve, my lord.\I failed.\I was naIve.\I couldn't trust them enough.\I don't understand.\It isn't that I'm upset because I couldn't win. response:	You didn't do the best you could.
context: Yeah.\It's been a heck of a Christmas Eve, my lord.\I failed.\I was naIve.\I couldn't trust them enough.\I don't understand.\It isn't that I'm upset because I couldn't win.\You didn't do the best you could. response:	You didn't do what you needed to do.
context: It's been a heck of a Christmas Eve, my lord.\I failed.\I was naIve.\I couldn't trust them enough.\I don't understand.\It isn't that I'm upset because I couldn't win.\You didn't do the best you could.\You didn't do what you needed to do. response:	It's strange.
context: I failed.\I was naIve.\I couldn't trust them enough.\I don't understand.\It isn't that I'm upset because I couldn't win.\You didn't do the best you could.\You didn't do what you needed to do.\It's strange. response:	I didn't think I'd see you here.
context: I was naIve.\I couldn't trust them enough.\I don't understand.\It isn't that I'm upset because I couldn't win.\You didn't do the best you could.\You didn't do what you needed to do.\It's strange.\I didn't think I'd see you here. response:	Yeah, my lord.
context: I couldn't trust them enough.\I don't understand.\It isn't that I'm upset because I couldn't win.\You didn't do the best you could.\You didn't do what you needed to do.\It's strange.\I didn't think I'd see you here.\Yeah, my lord. response:	It is strange.
context: I don't understand.\It isn't that I'm upset because I couldn't win.\You didn't do the best you could.\You didn't do what you needed to do.\It's strange.\I didn't think I'd see you here.\Yeah, my lord.\It is strange. response:	Is it only a coincidence?
context: It isn't that I'm upset because I couldn't win.\You didn't do the best you could.\You didn't do what you needed to do.\It's strange.\I didn't think I'd see you here.\Yeah, my lord.\It is strange.\Is it only a coincidence? response:	No, I'm sure it's because I wanted to see my lord.
context: You didn't do the best you could.\You didn't do what you needed to do.\It's strange.\I didn't think I'd see you here.\Yeah, my lord.\It is strange.\Is it only a coincidence?\No, I'm sure it's because I wanted to see my lord. response:	I wanted him to pat me on the head.
context: You didn't do what you needed to do.\It's strange.\I didn't think I'd see you here.\Yeah, my lord.\It is strange.\Is it only a coincidence?\No, I'm sure it's because I wanted to see my lord.\I wanted him to pat me on the head. response:	Maybe I can find that which I almost found,
context: It's strange.\I didn't think I'd see you here.\Yeah, my lord.\It is strange.\Is it only a coincidence?\No, I'm sure it's because I wanted to see my lord.\I wanted him to pat me on the head.\Maybe I can find that which I almost found, response:	if I search for it myself.
context: I didn't think I'd see you here.\Yeah, my lord.\It is strange.\Is it only a coincidence?\No, I'm sure it's because I wanted to see my lord.\I wanted him to pat me on the head.\Maybe I can find that which I almost found,\if I search for it myself. response:	I'm going to try again.
context: Yeah, my lord.\It is strange.\Is it only a coincidence?\No, I'm sure it's because I wanted to see my lord.\I wanted him to pat me on the head.\Maybe I can find that which I almost found,\if I search for it myself.\I'm going to try again. response:	I will, too, I guess.
context: It is strange.\Is it only a coincidence?\No, I'm sure it's because I wanted to see my lord.\I wanted him to pat me on the head.\Maybe I can find that which I almost found,\if I search for it myself.\I'm going to try again.\I will, too, I guess. response:	Everyone taught me.
context: Is it only a coincidence?\No, I'm sure it's because I wanted to see my lord.\I wanted him to pat me on the head.\Maybe I can find that which I almost found,\if I search for it myself.\I'm going to try again.\I will, too, I guess.\Everyone taught me. response:	My lord...
context: No, I'm sure it's because I wanted to see my lord.\I wanted him to pat me on the head.\Maybe I can find that which I almost found,\if I search for it myself.\I'm going to try again.\I will, too, I guess.\Everyone taught me.\My lord... response:	I passed through some quiet place...
context: I wanted him to pat me on the head.\Maybe I can find that which I almost found,\if I search for it myself.\I'm going to try again.\I will, too, I guess.\Everyone taught me.\My lord...\I passed through some quiet place... response:	It's gone.
context: Maybe I can find that which I almost found,\if I search for it myself.\I'm going to try again.\I will, too, I guess.\Everyone taught me.\My lord...\I passed through some quiet place...\It's gone. response:	But...
context: if I search for it myself.\I'm going to try again.\I will, too, I guess.\Everyone taught me.\My lord...\I passed through some quiet place...\It's gone.\But... response:	I feel like I found something,
context: I'm going to try again.\I will, too, I guess.\Everyone taught me.\My lord...\I passed through some quiet place...\It's gone.\But...\I feel like I found something, response:	like I understand something.
context: I will, too, I guess.\Everyone taught me.\My lord...\I passed through some quiet place...\It's gone.\But...\I feel like I found something,\like I understand something. response:	So there's something I should do...
context: Everyone taught me.\My lord...\I passed through some quiet place...\It's gone.\But...\I feel like I found something,\like I understand something.\So there's something I should do... response:	Something I must do.
context: My lord...\I passed through some quiet place...\It's gone.\But...\I feel like I found something,\like I understand something.\So there's something I should do...\Something I must do. response:	Akatsuki!
context: I passed through some quiet place...\It's gone.\But...\I feel like I found something,\like I understand something.\So there's something I should do...\Something I must do.\Akatsuki! response:	Are you okay?
context: It's gone.\But...\I feel like I found something,\like I understand something.\So there's something I should do...\Something I must do.\Akatsuki!\Are you okay? response:	You don't have any scars, do you?
context: But...\I feel like I found something,\like I understand something.\So there's something I should do...\Something I must do.\Akatsuki!\Are you okay?\You don't have any scars, do you? response:	S-Stop...
context: I feel like I found something,\like I understand something.\So there's something I should do...\Something I must do.\Akatsuki!\Are you okay?\You don't have any scars, do you?\S-Stop... response:	You're so cute!
context: like I understand something.\So there's something I should do...\Something I must do.\Akatsuki!\Are you okay?\You don't have any scars, do you?\S-Stop...\You're so cute! response:	I thought it was about time for you to wake up.
context: So there's something I should do...\Something I must do.\Akatsuki!\Are you okay?\You don't have any scars, do you?\S-Stop...\You're so cute!\I thought it was about time for you to wake up. response:	Um...
context: Something I must do.\Akatsuki!\Are you okay?\You don't have any scars, do you?\S-Stop...\You're so cute!\I thought it was about time for you to wake up.\Um... response:	I know this isn't an appropriate request,
context: Akatsuki!\Are you okay?\You don't have any scars, do you?\S-Stop...\You're so cute!\I thought it was about time for you to wake up.\Um...\I know this isn't an appropriate request, response:	but I'd like you all to help me.
context: Are you okay?\You don't have any scars, do you?\S-Stop...\You're so cute!\I thought it was about time for you to wake up.\Um...\I know this isn't an appropriate request,\but I'd like you all to help me. response:	Would you share your Teachings with me?
context: You don't have any scars, do you?\S-Stop...\You're so cute!\I thought it was about time for you to wake up.\Um...\I know this isn't an appropriate request,\but I'd like you all to help me.\Would you share your Teachings with me? response:	I want to capture that murderer.
context: S-Stop...\You're so cute!\I thought it was about time for you to wake up.\Um...\I know this isn't an appropriate request,\but I'd like you all to help me.\Would you share your Teachings with me?\I want to capture that murderer. response:	Nazuna, didn't Soujirou use the Teachings?
context: You're so cute!\I thought it was about time for you to wake up.\Um...\I know this isn't an appropriate request,\but I'd like you all to help me.\Would you share your Teachings with me?\I want to capture that murderer.\Nazuna, didn't Soujirou use the Teachings? response:	Yeah.
context: I thought it was about time for you to wake up.\Um...\I know this isn't an appropriate request,\but I'd like you all to help me.\Would you share your Teachings with me?\I want to capture that murderer.\Nazuna, didn't Soujirou use the Teachings?\Yeah. response:	But it wasn't enough.
context: Um...\I know this isn't an appropriate request,\but I'd like you all to help me.\Would you share your Teachings with me?\I want to capture that murderer.\Nazuna, didn't Soujirou use the Teachings?\Yeah.\But it wasn't enough. response:	Yep.
context: I know this isn't an appropriate request,\but I'd like you all to help me.\Would you share your Teachings with me?\I want to capture that murderer.\Nazuna, didn't Soujirou use the Teachings?\Yeah.\But it wasn't enough.\Yep. response:	Why do you seek them, despite that?
context: but I'd like you all to help me.\Would you share your Teachings with me?\I want to capture that murderer.\Nazuna, didn't Soujirou use the Teachings?\Yeah.\But it wasn't enough.\Yep.\Why do you seek them, despite that? response:	Because...
context: Would you share your Teachings with me?\I want to capture that murderer.\Nazuna, didn't Soujirou use the Teachings?\Yeah.\But it wasn't enough.\Yep.\Why do you seek them, despite that?\Because... response:	I want to end the murders!
context: I want to capture that murderer.\Nazuna, didn't Soujirou use the Teachings?\Yeah.\But it wasn't enough.\Yep.\Why do you seek them, despite that?\Because...\I want to end the murders! response:	And not just your Teachings, but... well...
context: Nazuna, didn't Soujirou use the Teachings?\Yeah.\But it wasn't enough.\Yep.\Why do you seek them, despite that?\Because...\I want to end the murders!\And not just your Teachings, but... well... response:	If there's a way to stop him, please tell me anything you know!
context: Yeah.\But it wasn't enough.\Yep.\Why do you seek them, despite that?\Because...\I want to end the murders!\And not just your Teachings, but... well...\If there's a way to stop him, please tell me anything you know! response:	You think you can beat him?
context: But it wasn't enough.\Yep.\Why do you seek them, despite that?\Because...\I want to end the murders!\And not just your Teachings, but... well...\If there's a way to stop him, please tell me anything you know!\You think you can beat him? response:	I don't know,
context: Yep.\Why do you seek them, despite that?\Because...\I want to end the murders!\And not just your Teachings, but... well...\If there's a way to stop him, please tell me anything you know!\You think you can beat him?\I don't know, response:	but I have to do something to end it.
context: Why do you seek them, despite that?\Because...\I want to end the murders!\And not just your Teachings, but... well...\If there's a way to stop him, please tell me anything you know!\You think you can beat him?\I don't know,\but I have to do something to end it. response:	With my lord gone, someone has to do it.
context: Because...\I want to end the murders!\And not just your Teachings, but... well...\If there's a way to stop him, please tell me anything you know!\You think you can beat him?\I don't know,\but I have to do something to end it.\With my lord gone, someone has to do it. response:	What do you mean?
