context: Even before the qualifier, there was something between us and Sabertooth, response:	but Natsu had to make it worse by slugging it out with them at their inn.
context: I wonder what the next competition part will be.\I've kind of got a bad feeling about this...\Cheers!\Today felt great!\Aye!\This isn't the guild, so don't break anything!\Did you see my true power out there?\That was a cheat, wasn't it? response:	Gray-sama, you were wonderful today, as always!
context: I've kind of got a bad feeling about this...\Cheers!\Today felt great!\Aye!\This isn't the guild, so don't break anything!\Did you see my true power out there?\That was a cheat, wasn't it?\Gray-sama, you were wonderful today, as always! response:	I didn't do anything...
context: Cheers!\Today felt great!\Aye!\This isn't the guild, so don't break anything!\Did you see my true power out there?\That was a cheat, wasn't it?\Gray-sama, you were wonderful today, as always!\I didn't do anything... response:	I feel bad. Even though Erza-san had an easy victory,
context: Today felt great!\Aye!\This isn't the guild, so don't break anything!\Did you see my true power out there?\That was a cheat, wasn't it?\Gray-sama, you were wonderful today, as always!\I didn't do anything...\I feel bad. Even though Erza-san had an easy victory, response:	I didn't win...
context: Aye!\This isn't the guild, so don't break anything!\Did you see my true power out there?\That was a cheat, wasn't it?\Gray-sama, you were wonderful today, as always!\I didn't do anything...\I feel bad. Even though Erza-san had an easy victory,\I didn't win... response:	What are you saying?! You did a good job!
context: This isn't the guild, so don't break anything!\Did you see my true power out there?\That was a cheat, wasn't it?\Gray-sama, you were wonderful today, as always!\I didn't do anything...\I feel bad. Even though Erza-san had an easy victory,\I didn't win...\What are you saying?! You did a good job! response:	You surprised everyone.
context: Did you see my true power out there?\That was a cheat, wasn't it?\Gray-sama, you were wonderful today, as always!\I didn't do anything...\I feel bad. Even though Erza-san had an easy victory,\I didn't win...\What are you saying?! You did a good job!\You surprised everyone. response:	Yeah! You were great, Wendy!
context: That was a cheat, wasn't it?\Gray-sama, you were wonderful today, as always!\I didn't do anything...\I feel bad. Even though Erza-san had an easy victory,\I didn't win...\What are you saying?! You did a good job!\You surprised everyone.\Yeah! You were great, Wendy! response:	At any rate, you've got amazing recuperative strength, Erza.
context: Gray-sama, you were wonderful today, as always!\I didn't do anything...\I feel bad. Even though Erza-san had an easy victory,\I didn't win...\What are you saying?! You did a good job!\You surprised everyone.\Yeah! You were great, Wendy!\At any rate, you've got amazing recuperative strength, Erza. response:	That's thanks to Wendy and Poluchka-san.
context: I didn't do anything...\I feel bad. Even though Erza-san had an easy victory,\I didn't win...\What are you saying?! You did a good job!\You surprised everyone.\Yeah! You were great, Wendy!\At any rate, you've got amazing recuperative strength, Erza.\That's thanks to Wendy and Poluchka-san. response:	Even with their power, Elfman hasn't recovered...
context: I feel bad. Even though Erza-san had an easy victory,\I didn't win...\What are you saying?! You did a good job!\You surprised everyone.\Yeah! You were great, Wendy!\At any rate, you've got amazing recuperative strength, Erza.\That's thanks to Wendy and Poluchka-san.\Even with their power, Elfman hasn't recovered... response:	It's pathetic...
context: I didn't win...\What are you saying?! You did a good job!\You surprised everyone.\Yeah! You were great, Wendy!\At any rate, you've got amazing recuperative strength, Erza.\That's thanks to Wendy and Poluchka-san.\Even with their power, Elfman hasn't recovered...\It's pathetic... response:	Dammit...
context: What are you saying?! You did a good job!\You surprised everyone.\Yeah! You were great, Wendy!\At any rate, you've got amazing recuperative strength, Erza.\That's thanks to Wendy and Poluchka-san.\Even with their power, Elfman hasn't recovered...\It's pathetic...\Dammit... response:	Somebody must be talkin' about me being a Man...
context: You surprised everyone.\Yeah! You were great, Wendy!\At any rate, you've got amazing recuperative strength, Erza.\That's thanks to Wendy and Poluchka-san.\Even with their power, Elfman hasn't recovered...\It's pathetic...\Dammit...\Somebody must be talkin' about me being a Man... response:	Why is Ever sleepin' here?! Dammit!
context: Yeah! You were great, Wendy!\At any rate, you've got amazing recuperative strength, Erza.\That's thanks to Wendy and Poluchka-san.\Even with their power, Elfman hasn't recovered...\It's pathetic...\Dammit...\Somebody must be talkin' about me being a Man...\Why is Ever sleepin' here?! Dammit! response:	I'm not... worried about you...
context: At any rate, you've got amazing recuperative strength, Erza.\That's thanks to Wendy and Poluchka-san.\Even with their power, Elfman hasn't recovered...\It's pathetic...\Dammit...\Somebody must be talkin' about me being a Man...\Why is Ever sleepin' here?! Dammit!\I'm not... worried about you... response:	Don't tell me...
context: That's thanks to Wendy and Poluchka-san.\Even with their power, Elfman hasn't recovered...\It's pathetic...\Dammit...\Somebody must be talkin' about me being a Man...\Why is Ever sleepin' here?! Dammit!\I'm not... worried about you...\Don't tell me... response:	Naval Battle!
context: Even with their power, Elfman hasn't recovered...\It's pathetic...\Dammit...\Somebody must be talkin' about me being a Man...\Why is Ever sleepin' here?! Dammit!\I'm not... worried about you...\Don't tell me...\Naval Battle! response:	Booze barrel surfing!
context: It's pathetic...\Dammit...\Somebody must be talkin' about me being a Man...\Why is Ever sleepin' here?! Dammit!\I'm not... worried about you...\Don't tell me...\Naval Battle!\Booze barrel surfing! response:	Aye, sir!
context: Dammit...\Somebody must be talkin' about me being a Man...\Why is Ever sleepin' here?! Dammit!\I'm not... worried about you...\Don't tell me...\Naval Battle!\Booze barrel surfing!\Aye, sir! response:	L-Look out!
context: Somebody must be talkin' about me being a Man...\Why is Ever sleepin' here?! Dammit!\I'm not... worried about you...\Don't tell me...\Naval Battle!\Booze barrel surfing!\Aye, sir!\L-Look out! response:	Cut it out, Natsu!
context: Why is Ever sleepin' here?! Dammit!\I'm not... worried about you...\Don't tell me...\Naval Battle!\Booze barrel surfing!\Aye, sir!\L-Look out!\Cut it out, Natsu! response:	What are you doin', jackass?!
context: I'm not... worried about you...\Don't tell me...\Naval Battle!\Booze barrel surfing!\Aye, sir!\L-Look out!\Cut it out, Natsu!\What are you doin', jackass?! response:	You wanna do it, too?!
context: Don't tell me...\Naval Battle!\Booze barrel surfing!\Aye, sir!\L-Look out!\Cut it out, Natsu!\What are you doin', jackass?!\You wanna do it, too?! response:	You're doin' it to the point of gettin' motion sick?!
context: Naval Battle!\Booze barrel surfing!\Aye, sir!\L-Look out!\Cut it out, Natsu!\What are you doin', jackass?!\You wanna do it, too?!\You're doin' it to the point of gettin' motion sick?! response:	Alright! I'll do it!
context: Booze barrel surfing!\Aye, sir!\L-Look out!\Cut it out, Natsu!\What are you doin', jackass?!\You wanna do it, too?!\You're doin' it to the point of gettin' motion sick?!\Alright! I'll do it! response:	Do your best, Gray-sama!
context: Aye, sir!\L-Look out!\Cut it out, Natsu!\What are you doin', jackass?!\You wanna do it, too?!\You're doin' it to the point of gettin' motion sick?!\Alright! I'll do it!\Do your best, Gray-sama! response:	What the hell is with your clothes?!
context: L-Look out!\Cut it out, Natsu!\What are you doin', jackass?!\You wanna do it, too?!\You're doin' it to the point of gettin' motion sick?!\Alright! I'll do it!\Do your best, Gray-sama!\What the hell is with your clothes?! response:	In that case...
context: Cut it out, Natsu!\What are you doin', jackass?!\You wanna do it, too?!\You're doin' it to the point of gettin' motion sick?!\Alright! I'll do it!\Do your best, Gray-sama!\What the hell is with your clothes?!\In that case... response:	Yeesh! It's dangerous, I said!
context: What are you doin', jackass?!\You wanna do it, too?!\You're doin' it to the point of gettin' motion sick?!\Alright! I'll do it!\Do your best, Gray-sama!\What the hell is with your clothes?!\In that case...\Yeesh! It's dangerous, I said! response:	Somebody, stop them!
context: You wanna do it, too?!\You're doin' it to the point of gettin' motion sick?!\Alright! I'll do it!\Do your best, Gray-sama!\What the hell is with your clothes?!\In that case...\Yeesh! It's dangerous, I said!\Somebody, stop them! response:	Everyone, you're getting too excited!
context: You're doin' it to the point of gettin' motion sick?!\Alright! I'll do it!\Do your best, Gray-sama!\What the hell is with your clothes?!\In that case...\Yeesh! It's dangerous, I said!\Somebody, stop them!\Everyone, you're getting too excited! response:	Lu-chan, why don't you join in?
context: Alright! I'll do it!\Do your best, Gray-sama!\What the hell is with your clothes?!\In that case...\Yeesh! It's dangerous, I said!\Somebody, stop them!\Everyone, you're getting too excited!\Lu-chan, why don't you join in? response:	I'm wearing a skirt, after all...
context: Do your best, Gray-sama!\What the hell is with your clothes?!\In that case...\Yeesh! It's dangerous, I said!\Somebody, stop them!\Everyone, you're getting too excited!\Lu-chan, why don't you join in?\I'm wearing a skirt, after all... response:	I see someone over there who wiped out wearing a skirt...
context: What the hell is with your clothes?!\In that case...\Yeesh! It's dangerous, I said!\Somebody, stop them!\Everyone, you're getting too excited!\Lu-chan, why don't you join in?\I'm wearing a skirt, after all...\I see someone over there who wiped out wearing a skirt... response:	Even now, when I close my eyes, I can picture it...
context: In that case...\Yeesh! It's dangerous, I said!\Somebody, stop them!\Everyone, you're getting too excited!\Lu-chan, why don't you join in?\I'm wearing a skirt, after all...\I see someone over there who wiped out wearing a skirt...\Even now, when I close my eyes, I can picture it... response:	Here you go, Lisanna!
context: Yeesh! It's dangerous, I said!\Somebody, stop them!\Everyone, you're getting too excited!\Lu-chan, why don't you join in?\I'm wearing a skirt, after all...\I see someone over there who wiped out wearing a skirt...\Even now, when I close my eyes, I can picture it...\Here you go, Lisanna! response:	Everyone reveling, singing...
context: Somebody, stop them!\Everyone, you're getting too excited!\Lu-chan, why don't you join in?\I'm wearing a skirt, after all...\I see someone over there who wiped out wearing a skirt...\Even now, when I close my eyes, I can picture it...\Here you go, Lisanna!\Everyone reveling, singing... response:	Sting-kun...
context: Everyone, you're getting too excited!\Lu-chan, why don't you join in?\I'm wearing a skirt, after all...\I see someone over there who wiped out wearing a skirt...\Even now, when I close my eyes, I can picture it...\Here you go, Lisanna!\Everyone reveling, singing...\Sting-kun... response:	Can't you sleep?
context: Lu-chan, why don't you join in?\I'm wearing a skirt, after all...\I see someone over there who wiped out wearing a skirt...\Even now, when I close my eyes, I can picture it...\Here you go, Lisanna!\Everyone reveling, singing...\Sting-kun...\Can't you sleep? response:	Lector...
context: I'm wearing a skirt, after all...\I see someone over there who wiped out wearing a skirt...\Even now, when I close my eyes, I can picture it...\Here you go, Lisanna!\Everyone reveling, singing...\Sting-kun...\Can't you sleep?\Lector... response:	I have a feeling that I'm going to fight Natsu-san tomorrow.
context: I see someone over there who wiped out wearing a skirt...\Even now, when I close my eyes, I can picture it...\Here you go, Lisanna!\Everyone reveling, singing...\Sting-kun...\Can't you sleep?\Lector...\I have a feeling that I'm going to fight Natsu-san tomorrow. response:	I've been waiting for that day...
context: Even now, when I close my eyes, I can picture it...\Here you go, Lisanna!\Everyone reveling, singing...\Sting-kun...\Can't you sleep?\Lector...\I have a feeling that I'm going to fight Natsu-san tomorrow.\I've been waiting for that day... response:	I know you'll win, Sting-kun!
context: Here you go, Lisanna!\Everyone reveling, singing...\Sting-kun...\Can't you sleep?\Lector...\I have a feeling that I'm going to fight Natsu-san tomorrow.\I've been waiting for that day...\I know you'll win, Sting-kun! response:	Both you and Kagura have been acting weird since we got back.
context: Everyone reveling, singing...\Sting-kun...\Can't you sleep?\Lector...\I have a feeling that I'm going to fight Natsu-san tomorrow.\I've been waiting for that day...\I know you'll win, Sting-kun!\Both you and Kagura have been acting weird since we got back. response:	Did something happen?
context: Sting-kun...\Can't you sleep?\Lector...\I have a feeling that I'm going to fight Natsu-san tomorrow.\I've been waiting for that day...\I know you'll win, Sting-kun!\Both you and Kagura have been acting weird since we got back.\Did something happen? response:	It's not important...
context: Can't you sleep?\Lector...\I have a feeling that I'm going to fight Natsu-san tomorrow.\I've been waiting for that day...\I know you'll win, Sting-kun!\Both you and Kagura have been acting weird since we got back.\Did something happen?\It's not important... response:	Why is Jellal with Fairy Tail?
context: Lector...\I have a feeling that I'm going to fight Natsu-san tomorrow.\I've been waiting for that day...\I know you'll win, Sting-kun!\Both you and Kagura have been acting weird since we got back.\Did something happen?\It's not important...\Why is Jellal with Fairy Tail? response:	Does Er-chan know this?
context: I have a feeling that I'm going to fight Natsu-san tomorrow.\I've been waiting for that day...\I know you'll win, Sting-kun!\Both you and Kagura have been acting weird since we got back.\Did something happen?\It's not important...\Why is Jellal with Fairy Tail?\Does Er-chan know this? response:	If there's something weighing on your mind,
context: I've been waiting for that day...\I know you'll win, Sting-kun!\Both you and Kagura have been acting weird since we got back.\Did something happen?\It's not important...\Why is Jellal with Fairy Tail?\Does Er-chan know this?\If there's something weighing on your mind, response:	tell me what it is.
context: I know you'll win, Sting-kun!\Both you and Kagura have been acting weird since we got back.\Did something happen?\It's not important...\Why is Jellal with Fairy Tail?\Does Er-chan know this?\If there's something weighing on your mind,\tell me what it is. response:	After all, we're teammates.
context: Both you and Kagura have been acting weird since we got back.\Did something happen?\It's not important...\Why is Jellal with Fairy Tail?\Does Er-chan know this?\If there's something weighing on your mind,\tell me what it is.\After all, we're teammates. response:	Thank you. But I'm fine.
context: Did something happen?\It's not important...\Why is Jellal with Fairy Tail?\Does Er-chan know this?\If there's something weighing on your mind,\tell me what it is.\After all, we're teammates.\Thank you. But I'm fine. response:	It has nothing to do with the matches.
context: It's not important...\Why is Jellal with Fairy Tail?\Does Er-chan know this?\If there's something weighing on your mind,\tell me what it is.\After all, we're teammates.\Thank you. But I'm fine.\It has nothing to do with the matches. response:	H-Hey... Hey...
context: Why is Jellal with Fairy Tail?\Does Er-chan know this?\If there's something weighing on your mind,\tell me what it is.\After all, we're teammates.\Thank you. But I'm fine.\It has nothing to do with the matches.\H-Hey... Hey... response:	Let's definitely win this thing!
context: Does Er-chan know this?\If there's something weighing on your mind,\tell me what it is.\After all, we're teammates.\Thank you. But I'm fine.\It has nothing to do with the matches.\H-Hey... Hey...\Let's definitely win this thing! response:	I love this guild,
context: If there's something weighing on your mind,\tell me what it is.\After all, we're teammates.\Thank you. But I'm fine.\It has nothing to do with the matches.\H-Hey... Hey...\Let's definitely win this thing!\I love this guild, response:	so I want to work even harder for everyone!
context: tell me what it is.\After all, we're teammates.\Thank you. But I'm fine.\It has nothing to do with the matches.\H-Hey... Hey...\Let's definitely win this thing!\I love this guild,\so I want to work even harder for everyone! response:	Sergeant Yukino Agria.
context: After all, we're teammates.\Thank you. But I'm fine.\It has nothing to do with the matches.\H-Hey... Hey...\Let's definitely win this thing!\I love this guild,\so I want to work even harder for everyone!\Sergeant Yukino Agria. response:	Please pardon my unannounced visit.
context: Thank you. But I'm fine.\It has nothing to do with the matches.\H-Hey... Hey...\Let's definitely win this thing!\I love this guild,\so I want to work even harder for everyone!\Sergeant Yukino Agria.\Please pardon my unannounced visit. response:	While various feelings crossed each other,
context: It has nothing to do with the matches.\H-Hey... Hey...\Let's definitely win this thing!\I love this guild,\so I want to work even harder for everyone!\Sergeant Yukino Agria.\Please pardon my unannounced visit.\While various feelings crossed each other, response:	the third night of the tournament wore on.
context: H-Hey... Hey...\Let's definitely win this thing!\I love this guild,\so I want to work even harder for everyone!\Sergeant Yukino Agria.\Please pardon my unannounced visit.\While various feelings crossed each other,\the third night of the tournament wore on. response:	We were heading for that day.
context: Let's definitely win this thing!\I love this guild,\so I want to work even harder for everyone!\Sergeant Yukino Agria.\Please pardon my unannounced visit.\While various feelings crossed each other,\the third night of the tournament wore on.\We were heading for that day. response:	We had four days...
context: I love this guild,\so I want to work even harder for everyone!\Sergeant Yukino Agria.\Please pardon my unannounced visit.\While various feelings crossed each other,\the third night of the tournament wore on.\We were heading for that day.\We had four days... response:	Day four of the Grand Magic Games!
context: so I want to work even harder for everyone!\Sergeant Yukino Agria.\Please pardon my unannounced visit.\While various feelings crossed each other,\the third night of the tournament wore on.\We were heading for that day.\We had four days...\Day four of the Grand Magic Games! response:	In just a moment, today's competition will begin!
context: Sergeant Yukino Agria.\Please pardon my unannounced visit.\While various feelings crossed each other,\the third night of the tournament wore on.\We were heading for that day.\We had four days...\Day four of the Grand Magic Games!\In just a moment, today's competition will begin! response:	The name of the competition is Naval Battle!
context: Please pardon my unannounced visit.\While various feelings crossed each other,\the third night of the tournament wore on.\We were heading for that day.\We had four days...\Day four of the Grand Magic Games!\In just a moment, today's competition will begin!\The name of the competition is Naval Battle! response:	In other words, a sea battle!
context: While various feelings crossed each other,\the third night of the tournament wore on.\We were heading for that day.\We had four days...\Day four of the Grand Magic Games!\In just a moment, today's competition will begin!\The name of the competition is Naval Battle!\In other words, a sea battle! response:	Any player who leaves the sphere of water is out!
context: the third night of the tournament wore on.\We were heading for that day.\We had four days...\Day four of the Grand Magic Games!\In just a moment, today's competition will begin!\The name of the competition is Naval Battle!\In other words, a sea battle!\Any player who leaves the sphere of water is out! response:	The last person to remain in the sphere is the winner!
context: We were heading for that day.\We had four days...\Day four of the Grand Magic Games!\In just a moment, today's competition will begin!\The name of the competition is Naval Battle!\In other words, a sea battle!\Any player who leaves the sphere of water is out!\The last person to remain in the sphere is the winner! response:	However, when it gets down to two people left,
context: We had four days...\Day four of the Grand Magic Games!\In just a moment, today's competition will begin!\The name of the competition is Naval Battle!\In other words, a sea battle!\Any player who leaves the sphere of water is out!\The last person to remain in the sphere is the winner!\However, when it gets down to two people left, response:	a special rule will come into effect.
context: Day four of the Grand Magic Games!\In just a moment, today's competition will begin!\The name of the competition is Naval Battle!\In other words, a sea battle!\Any player who leaves the sphere of water is out!\The last person to remain in the sphere is the winner!\However, when it gets down to two people left,\a special rule will come into effect. response:	That's the five-minute rule!
context: In just a moment, today's competition will begin!\The name of the competition is Naval Battle!\In other words, a sea battle!\Any player who leaves the sphere of water is out!\The last person to remain in the sphere is the winner!\However, when it gets down to two people left,\a special rule will come into effect.\That's the five-minute rule! response:	When there are two players left, they've got five minutes!
context: The name of the competition is Naval Battle!\In other words, a sea battle!\Any player who leaves the sphere of water is out!\The last person to remain in the sphere is the winner!\However, when it gets down to two people left,\a special rule will come into effect.\That's the five-minute rule!\When there are two players left, they've got five minutes! response:	The one person who leaves the sphere during that time will be in last place.
context: In other words, a sea battle!\Any player who leaves the sphere of water is out!\The last person to remain in the sphere is the winner!\However, when it gets down to two people left,\a special rule will come into effect.\That's the five-minute rule!\When there are two players left, they've got five minutes!\The one person who leaves the sphere during that time will be in last place. response:	So it's basically a sumo match in water.
context: Any player who leaves the sphere of water is out!\The last person to remain in the sphere is the winner!\However, when it gets down to two people left,\a special rule will come into effect.\That's the five-minute rule!\When there are two players left, they've got five minutes!\The one person who leaves the sphere during that time will be in last place.\So it's basically a sumo match in water. response:	I can't wait! Thank you very much for inviting me!
context: The last person to remain in the sphere is the winner!\However, when it gets down to two people left,\a special rule will come into effect.\That's the five-minute rule!\When there are two players left, they've got five minutes!\The one person who leaves the sphere during that time will be in last place.\So it's basically a sumo match in water.\I can't wait! Thank you very much for inviting me! response:	Our guest today is Rabian-san, leader of the Scheherazade Theatrical Troupe.
context: However, when it gets down to two people left,\a special rule will come into effect.\That's the five-minute rule!\When there are two players left, they've got five minutes!\The one person who leaves the sphere during that time will be in last place.\So it's basically a sumo match in water.\I can't wait! Thank you very much for inviting me!\Our guest today is Rabian-san, leader of the Scheherazade Theatrical Troupe. response:	All of the teams are entering the water.
context: a special rule will come into effect.\That's the five-minute rule!\When there are two players left, they've got five minutes!\The one person who leaves the sphere during that time will be in last place.\So it's basically a sumo match in water.\I can't wait! Thank you very much for inviting me!\Our guest today is Rabian-san, leader of the Scheherazade Theatrical Troupe.\All of the teams are entering the water. response:	Cheria from Lamia Scale!
context: That's the five-minute rule!\When there are two players left, they've got five minutes!\The one person who leaves the sphere during that time will be in last place.\So it's basically a sumo match in water.\I can't wait! Thank you very much for inviting me!\Our guest today is Rabian-san, leader of the Scheherazade Theatrical Troupe.\All of the teams are entering the water.\Cheria from Lamia Scale! response:	I tied yesterday, but I'll try even harder today!
context: When there are two players left, they've got five minutes!\The one person who leaves the sphere during that time will be in last place.\So it's basically a sumo match in water.\I can't wait! Thank you very much for inviting me!\Our guest today is Rabian-san, leader of the Scheherazade Theatrical Troupe.\All of the teams are entering the water.\Cheria from Lamia Scale!\I tied yesterday, but I'll try even harder today! response:	Jenny from Blue Pegasus!
context: The one person who leaves the sphere during that time will be in last place.\So it's basically a sumo match in water.\I can't wait! Thank you very much for inviting me!\Our guest today is Rabian-san, leader of the Scheherazade Theatrical Troupe.\All of the teams are entering the water.\Cheria from Lamia Scale!\I tied yesterday, but I'll try even harder today!\Jenny from Blue Pegasus! response:	There's no way I'll lose this time!
context: So it's basically a sumo match in water.\I can't wait! Thank you very much for inviting me!\Our guest today is Rabian-san, leader of the Scheherazade Theatrical Troupe.\All of the teams are entering the water.\Cheria from Lamia Scale!\I tied yesterday, but I'll try even harder today!\Jenny from Blue Pegasus!\There's no way I'll lose this time! response:	From Mermaid Heel, Risley!
context: I can't wait! Thank you very much for inviting me!\Our guest today is Rabian-san, leader of the Scheherazade Theatrical Troupe.\All of the teams are entering the water.\Cheria from Lamia Scale!\I tied yesterday, but I'll try even harder today!\Jenny from Blue Pegasus!\There's no way I'll lose this time!\From Mermaid Heel, Risley! response:	Better not underestimate a mermaid!
context: Our guest today is Rabian-san, leader of the Scheherazade Theatrical Troupe.\All of the teams are entering the water.\Cheria from Lamia Scale!\I tied yesterday, but I'll try even harder today!\Jenny from Blue Pegasus!\There's no way I'll lose this time!\From Mermaid Heel, Risley!\Better not underestimate a mermaid! response:	Juvia from Fairy Tail B has also entered the water!
context: All of the teams are entering the water.\Cheria from Lamia Scale!\I tied yesterday, but I'll try even harder today!\Jenny from Blue Pegasus!\There's no way I'll lose this time!\From Mermaid Heel, Risley!\Better not underestimate a mermaid!\Juvia from Fairy Tail B has also entered the water! response:	Juvia is the water.
context: Cheria from Lamia Scale!\I tied yesterday, but I'll try even harder today!\Jenny from Blue Pegasus!\There's no way I'll lose this time!\From Mermaid Heel, Risley!\Better not underestimate a mermaid!\Juvia from Fairy Tail B has also entered the water!\Juvia is the water. response:	This is Juvia's exclusive territory.
context: I tied yesterday, but I'll try even harder today!\Jenny from Blue Pegasus!\There's no way I'll lose this time!\From Mermaid Heel, Risley!\Better not underestimate a mermaid!\Juvia from Fairy Tail B has also entered the water!\Juvia is the water.\This is Juvia's exclusive territory. response:	Sabertooth's Minerva has arrived.
context: Jenny from Blue Pegasus!\There's no way I'll lose this time!\From Mermaid Heel, Risley!\Better not underestimate a mermaid!\Juvia from Fairy Tail B has also entered the water!\Juvia is the water.\This is Juvia's exclusive territory.\Sabertooth's Minerva has arrived. response:	There she is... Minerva! Listen to those cheers!
context: There's no way I'll lose this time!\From Mermaid Heel, Risley!\Better not underestimate a mermaid!\Juvia from Fairy Tail B has also entered the water!\Juvia is the water.\This is Juvia's exclusive territory.\Sabertooth's Minerva has arrived.\There she is... Minerva! Listen to those cheers! response:	Sabertooth certainly did choose their top five strongest to compete.
context: From Mermaid Heel, Risley!\Better not underestimate a mermaid!\Juvia from Fairy Tail B has also entered the water!\Juvia is the water.\This is Juvia's exclusive territory.\Sabertooth's Minerva has arrived.\There she is... Minerva! Listen to those cheers!\Sabertooth certainly did choose their top five strongest to compete. response:	Thank you very much!
context: Better not underestimate a mermaid!\Juvia from Fairy Tail B has also entered the water!\Juvia is the water.\This is Juvia's exclusive territory.\Sabertooth's Minerva has arrived.\There she is... Minerva! Listen to those cheers!\Sabertooth certainly did choose their top five strongest to compete.\Thank you very much! response:	And Lucy from Fairy Tail A!
context: Juvia from Fairy Tail B has also entered the water!\Juvia is the water.\This is Juvia's exclusive territory.\Sabertooth's Minerva has arrived.\There she is... Minerva! Listen to those cheers!\Sabertooth certainly did choose their top five strongest to compete.\Thank you very much!\And Lucy from Fairy Tail A! response:	I can't lose either!
context: Juvia is the water.\This is Juvia's exclusive territory.\Sabertooth's Minerva has arrived.\There she is... Minerva! Listen to those cheers!\Sabertooth certainly did choose their top five strongest to compete.\Thank you very much!\And Lucy from Fairy Tail A!\I can't lose either! response:	I have to redeem myself after blowing it on the first day!
context: This is Juvia's exclusive territory.\Sabertooth's Minerva has arrived.\There she is... Minerva! Listen to those cheers!\Sabertooth certainly did choose their top five strongest to compete.\Thank you very much!\And Lucy from Fairy Tail A!\I can't lose either!\I have to redeem myself after blowing it on the first day! response:	What a gorgeous tapestry we've got before us!
context: Sabertooth's Minerva has arrived.\There she is... Minerva! Listen to those cheers!\Sabertooth certainly did choose their top five strongest to compete.\Thank you very much!\And Lucy from Fairy Tail A!\I can't lose either!\I have to redeem myself after blowing it on the first day!\What a gorgeous tapestry we've got before us! response:	All of the players are female and they're wearing swimsuits!
context: There she is... Minerva! Listen to those cheers!\Sabertooth certainly did choose their top five strongest to compete.\Thank you very much!\And Lucy from Fairy Tail A!\I can't lose either!\I have to redeem myself after blowing it on the first day!\What a gorgeous tapestry we've got before us!\All of the players are female and they're wearing swimsuits! response:	Thank you very much! Thank you very much! Thank you very much!
