context: I, Asseylum Vers Allusia, response:	will take Count Slaine Saazbaum Troyard as my husband,
context: and rally to his side.\All that we do, we do for Vers!\The battle against Earth continues to prove difficult, I see.\Yes, Milord. But to those knights who are anxious regarding this situation,\Her Highness's words must have been akin to divine revelation.\Divine revelation?\Everyone knows that she was only able to issue that proclamation because of you.\To the knights who are unhappy about the present state of affairs, response:	they were words from on high.
context: All that we do, we do for Vers!\The battle against Earth continues to prove difficult, I see.\Yes, Milord. But to those knights who are anxious regarding this situation,\Her Highness's words must have been akin to divine revelation.\Divine revelation?\Everyone knows that she was only able to issue that proclamation because of you.\To the knights who are unhappy about the present state of affairs,\they were words from on high. response:	Surely they must feel that someone has appeared who will lead them.
context: The battle against Earth continues to prove difficult, I see.\Yes, Milord. But to those knights who are anxious regarding this situation,\Her Highness's words must have been akin to divine revelation.\Divine revelation?\Everyone knows that she was only able to issue that proclamation because of you.\To the knights who are unhappy about the present state of affairs,\they were words from on high.\Surely they must feel that someone has appeared who will lead them. response:	You exaggerate.
context: Yes, Milord. But to those knights who are anxious regarding this situation,\Her Highness's words must have been akin to divine revelation.\Divine revelation?\Everyone knows that she was only able to issue that proclamation because of you.\To the knights who are unhappy about the present state of affairs,\they were words from on high.\Surely they must feel that someone has appeared who will lead them.\You exaggerate. response:	But on the other hand, rebel factions are also certain to appear.
context: Her Highness's words must have been akin to divine revelation.\Divine revelation?\Everyone knows that she was only able to issue that proclamation because of you.\To the knights who are unhappy about the present state of affairs,\they were words from on high.\Surely they must feel that someone has appeared who will lead them.\You exaggerate.\But on the other hand, rebel factions are also certain to appear. response:	There is something that I wish you to do on that front.
context: Divine revelation?\Everyone knows that she was only able to issue that proclamation because of you.\To the knights who are unhappy about the present state of affairs,\they were words from on high.\Surely they must feel that someone has appeared who will lead them.\You exaggerate.\But on the other hand, rebel factions are also certain to appear.\There is something that I wish you to do on that front. response:	Make a display of power? Is that what you mean, Milord?
context: Everyone knows that she was only able to issue that proclamation because of you.\To the knights who are unhappy about the present state of affairs,\they were words from on high.\Surely they must feel that someone has appeared who will lead them.\You exaggerate.\But on the other hand, rebel factions are also certain to appear.\There is something that I wish you to do on that front.\Make a display of power? Is that what you mean, Milord? response:	No, if we continue to engage with such ilk, we will never see the end of it.
context: To the knights who are unhappy about the present state of affairs,\they were words from on high.\Surely they must feel that someone has appeared who will lead them.\You exaggerate.\But on the other hand, rebel factions are also certain to appear.\There is something that I wish you to do on that front.\Make a display of power? Is that what you mean, Milord?\No, if we continue to engage with such ilk, we will never see the end of it. response:	Start by rooting out the dangerous elements.
context: they were words from on high.\Surely they must feel that someone has appeared who will lead them.\You exaggerate.\But on the other hand, rebel factions are also certain to appear.\There is something that I wish you to do on that front.\Make a display of power? Is that what you mean, Milord?\No, if we continue to engage with such ilk, we will never see the end of it.\Start by rooting out the dangerous elements. response:	We can let the proper authorities take it from there.
context: Surely they must feel that someone has appeared who will lead them.\You exaggerate.\But on the other hand, rebel factions are also certain to appear.\There is something that I wish you to do on that front.\Make a display of power? Is that what you mean, Milord?\No, if we continue to engage with such ilk, we will never see the end of it.\Start by rooting out the dangerous elements.\We can let the proper authorities take it from there. response:	Milord?
context: You exaggerate.\But on the other hand, rebel factions are also certain to appear.\There is something that I wish you to do on that front.\Make a display of power? Is that what you mean, Milord?\No, if we continue to engage with such ilk, we will never see the end of it.\Start by rooting out the dangerous elements.\We can let the proper authorities take it from there.\Milord? response:	Princess Asseylum's name will be motivation enough.
context: But on the other hand, rebel factions are also certain to appear.\There is something that I wish you to do on that front.\Make a display of power? Is that what you mean, Milord?\No, if we continue to engage with such ilk, we will never see the end of it.\Start by rooting out the dangerous elements.\We can let the proper authorities take it from there.\Milord?\Princess Asseylum's name will be motivation enough. response:	And it should be simple enough
context: There is something that I wish you to do on that front.\Make a display of power? Is that what you mean, Milord?\No, if we continue to engage with such ilk, we will never see the end of it.\Start by rooting out the dangerous elements.\We can let the proper authorities take it from there.\Milord?\Princess Asseylum's name will be motivation enough.\And it should be simple enough response:	to strip them of their knighthood with some random accusation or other.
context: Make a display of power? Is that what you mean, Milord?\No, if we continue to engage with such ilk, we will never see the end of it.\Start by rooting out the dangerous elements.\We can let the proper authorities take it from there.\Milord?\Princess Asseylum's name will be motivation enough.\And it should be simple enough\to strip them of their knighthood with some random accusation or other. response:	You do not approve? You think it too underhanded?
context: No, if we continue to engage with such ilk, we will never see the end of it.\Start by rooting out the dangerous elements.\We can let the proper authorities take it from there.\Milord?\Princess Asseylum's name will be motivation enough.\And it should be simple enough\to strip them of their knighthood with some random accusation or other.\You do not approve? You think it too underhanded? response:	No, Milord. Quite the opposite.
context: Start by rooting out the dangerous elements.\We can let the proper authorities take it from there.\Milord?\Princess Asseylum's name will be motivation enough.\And it should be simple enough\to strip them of their knighthood with some random accusation or other.\You do not approve? You think it too underhanded?\No, Milord. Quite the opposite. response:	It is only natural that you would stop at nothing to achieve your goal.
context: We can let the proper authorities take it from there.\Milord?\Princess Asseylum's name will be motivation enough.\And it should be simple enough\to strip them of their knighthood with some random accusation or other.\You do not approve? You think it too underhanded?\No, Milord. Quite the opposite.\It is only natural that you would stop at nothing to achieve your goal. response:	Ever since the announcement, I...
context: Milord?\Princess Asseylum's name will be motivation enough.\And it should be simple enough\to strip them of their knighthood with some random accusation or other.\You do not approve? You think it too underhanded?\No, Milord. Quite the opposite.\It is only natural that you would stop at nothing to achieve your goal.\Ever since the announcement, I... response:	If I may be so bold, you seem to have firmed your resolve.
context: Princess Asseylum's name will be motivation enough.\And it should be simple enough\to strip them of their knighthood with some random accusation or other.\You do not approve? You think it too underhanded?\No, Milord. Quite the opposite.\It is only natural that you would stop at nothing to achieve your goal.\Ever since the announcement, I...\If I may be so bold, you seem to have firmed your resolve. response:	My wish was to be close to Her Highness.
context: And it should be simple enough\to strip them of their knighthood with some random accusation or other.\You do not approve? You think it too underhanded?\No, Milord. Quite the opposite.\It is only natural that you would stop at nothing to achieve your goal.\Ever since the announcement, I...\If I may be so bold, you seem to have firmed your resolve.\My wish was to be close to Her Highness. response:	My wish was to be worthy of her.
context: to strip them of their knighthood with some random accusation or other.\You do not approve? You think it too underhanded?\No, Milord. Quite the opposite.\It is only natural that you would stop at nothing to achieve your goal.\Ever since the announcement, I...\If I may be so bold, you seem to have firmed your resolve.\My wish was to be close to Her Highness.\My wish was to be worthy of her. response:	And to be of some service to her...
context: You do not approve? You think it too underhanded?\No, Milord. Quite the opposite.\It is only natural that you would stop at nothing to achieve your goal.\Ever since the announcement, I...\If I may be so bold, you seem to have firmed your resolve.\My wish was to be close to Her Highness.\My wish was to be worthy of her.\And to be of some service to her... response:	But I...
context: No, Milord. Quite the opposite.\It is only natural that you would stop at nothing to achieve your goal.\Ever since the announcement, I...\If I may be so bold, you seem to have firmed your resolve.\My wish was to be close to Her Highness.\My wish was to be worthy of her.\And to be of some service to her...\But I... response:	If power is the only thing that I can achieve, then...
context: It is only natural that you would stop at nothing to achieve your goal.\Ever since the announcement, I...\If I may be so bold, you seem to have firmed your resolve.\My wish was to be close to Her Highness.\My wish was to be worthy of her.\And to be of some service to her...\But I...\If power is the only thing that I can achieve, then... response:	Is that you, Harklight? Enter.
context: Ever since the announcement, I...\If I may be so bold, you seem to have firmed your resolve.\My wish was to be close to Her Highness.\My wish was to be worthy of her.\And to be of some service to her...\But I...\If power is the only thing that I can achieve, then...\Is that you, Harklight? Enter. response:	M-Milord Slaine...
context: If I may be so bold, you seem to have firmed your resolve.\My wish was to be close to Her Highness.\My wish was to be worthy of her.\And to be of some service to her...\But I...\If power is the only thing that I can achieve, then...\Is that you, Harklight? Enter.\M-Milord Slaine... response:	Miss Eddelrittuo?
context: My wish was to be close to Her Highness.\My wish was to be worthy of her.\And to be of some service to her...\But I...\If power is the only thing that I can achieve, then...\Is that you, Harklight? Enter.\M-Milord Slaine...\Miss Eddelrittuo? response:	We are quite satisfied with your ship's current actions.
context: My wish was to be worthy of her.\And to be of some service to her...\But I...\If power is the only thing that I can achieve, then...\Is that you, Harklight? Enter.\M-Milord Slaine...\Miss Eddelrittuo?\We are quite satisfied with your ship's current actions. response:	For the time being, we want you to continue providing unit support as a commando squad.
context: And to be of some service to her...\But I...\If power is the only thing that I can achieve, then...\Is that you, Harklight? Enter.\M-Milord Slaine...\Miss Eddelrittuo?\We are quite satisfied with your ship's current actions.\For the time being, we want you to continue providing unit support as a commando squad. response:	I have no objections to that.
context: But I...\If power is the only thing that I can achieve, then...\Is that you, Harklight? Enter.\M-Milord Slaine...\Miss Eddelrittuo?\We are quite satisfied with your ship's current actions.\For the time being, we want you to continue providing unit support as a commando squad.\I have no objections to that. response:	But with regard to the proclamation by Princess Asseylum...
context: If power is the only thing that I can achieve, then...\Is that you, Harklight? Enter.\M-Milord Slaine...\Miss Eddelrittuo?\We are quite satisfied with your ship's current actions.\For the time being, we want you to continue providing unit support as a commando squad.\I have no objections to that.\But with regard to the proclamation by Princess Asseylum... response:	That nonsense about founding a new dynasty in Earthspace?
context: Is that you, Harklight? Enter.\M-Milord Slaine...\Miss Eddelrittuo?\We are quite satisfied with your ship's current actions.\For the time being, we want you to continue providing unit support as a commando squad.\I have no objections to that.\But with regard to the proclamation by Princess Asseylum...\That nonsense about founding a new dynasty in Earthspace? response:	It's nothing but big talk meant to stir up the Mars Knights.
context: M-Milord Slaine...\Miss Eddelrittuo?\We are quite satisfied with your ship's current actions.\For the time being, we want you to continue providing unit support as a commando squad.\I have no objections to that.\But with regard to the proclamation by Princess Asseylum...\That nonsense about founding a new dynasty in Earthspace?\It's nothing but big talk meant to stir up the Mars Knights. response:	We doubt it's anything more.
context: Miss Eddelrittuo?\We are quite satisfied with your ship's current actions.\For the time being, we want you to continue providing unit support as a commando squad.\I have no objections to that.\But with regard to the proclamation by Princess Asseylum...\That nonsense about founding a new dynasty in Earthspace?\It's nothing but big talk meant to stir up the Mars Knights.\We doubt it's anything more. response:	That might be the case.
context: We are quite satisfied with your ship's current actions.\For the time being, we want you to continue providing unit support as a commando squad.\I have no objections to that.\But with regard to the proclamation by Princess Asseylum...\That nonsense about founding a new dynasty in Earthspace?\It's nothing but big talk meant to stir up the Mars Knights.\We doubt it's anything more.\That might be the case. response:	But perhaps we should consider the possibility that the enemy's attacks
context: For the time being, we want you to continue providing unit support as a commando squad.\I have no objections to that.\But with regard to the proclamation by Princess Asseylum...\That nonsense about founding a new dynasty in Earthspace?\It's nothing but big talk meant to stir up the Mars Knights.\We doubt it's anything more.\That might be the case.\But perhaps we should consider the possibility that the enemy's attacks response:	may escalate.
context: I have no objections to that.\But with regard to the proclamation by Princess Asseylum...\That nonsense about founding a new dynasty in Earthspace?\It's nothing but big talk meant to stir up the Mars Knights.\We doubt it's anything more.\That might be the case.\But perhaps we should consider the possibility that the enemy's attacks\may escalate. response:	We're sitting on our thumbs, doing nothing? Is that what you are implying?
context: But with regard to the proclamation by Princess Asseylum...\That nonsense about founding a new dynasty in Earthspace?\It's nothing but big talk meant to stir up the Mars Knights.\We doubt it's anything more.\That might be the case.\But perhaps we should consider the possibility that the enemy's attacks\may escalate.\We're sitting on our thumbs, doing nothing? Is that what you are implying? response:	No, sir. I meant nothing of the sort.
context: That nonsense about founding a new dynasty in Earthspace?\It's nothing but big talk meant to stir up the Mars Knights.\We doubt it's anything more.\That might be the case.\But perhaps we should consider the possibility that the enemy's attacks\may escalate.\We're sitting on our thumbs, doing nothing? Is that what you are implying?\No, sir. I meant nothing of the sort. response:	As far as new operations go, we are currently coordinating with our primary units.
context: It's nothing but big talk meant to stir up the Mars Knights.\We doubt it's anything more.\That might be the case.\But perhaps we should consider the possibility that the enemy's attacks\may escalate.\We're sitting on our thumbs, doing nothing? Is that what you are implying?\No, sir. I meant nothing of the sort.\As far as new operations go, we are currently coordinating with our primary units. response:	Once that has been finalized, you will be contacted.
context: We doubt it's anything more.\That might be the case.\But perhaps we should consider the possibility that the enemy's attacks\may escalate.\We're sitting on our thumbs, doing nothing? Is that what you are implying?\No, sir. I meant nothing of the sort.\As far as new operations go, we are currently coordinating with our primary units.\Once that has been finalized, you will be contacted. response:	You may be unhappy with your status as a commando unit,
context: That might be the case.\But perhaps we should consider the possibility that the enemy's attacks\may escalate.\We're sitting on our thumbs, doing nothing? Is that what you are implying?\No, sir. I meant nothing of the sort.\As far as new operations go, we are currently coordinating with our primary units.\Once that has been finalized, you will be contacted.\You may be unhappy with your status as a commando unit, response:	but there is no telling how much faith we can put in a ship that runs on enemy technology.
context: But perhaps we should consider the possibility that the enemy's attacks\may escalate.\We're sitting on our thumbs, doing nothing? Is that what you are implying?\No, sir. I meant nothing of the sort.\As far as new operations go, we are currently coordinating with our primary units.\Once that has been finalized, you will be contacted.\You may be unhappy with your status as a commando unit,\but there is no telling how much faith we can put in a ship that runs on enemy technology. response:	Not to put too fine a point on it, but that's just how it is.
context: may escalate.\We're sitting on our thumbs, doing nothing? Is that what you are implying?\No, sir. I meant nothing of the sort.\As far as new operations go, we are currently coordinating with our primary units.\Once that has been finalized, you will be contacted.\You may be unhappy with your status as a commando unit,\but there is no telling how much faith we can put in a ship that runs on enemy technology.\Not to put too fine a point on it, but that's just how it is. response:	I'm amazed that you sat through that without any outbursts.
context: We're sitting on our thumbs, doing nothing? Is that what you are implying?\No, sir. I meant nothing of the sort.\As far as new operations go, we are currently coordinating with our primary units.\Once that has been finalized, you will be contacted.\You may be unhappy with your status as a commando unit,\but there is no telling how much faith we can put in a ship that runs on enemy technology.\Not to put too fine a point on it, but that's just how it is.\I'm amazed that you sat through that without any outbursts. response:	Did you want me to? Remember, I'm only here as your escort.
context: No, sir. I meant nothing of the sort.\As far as new operations go, we are currently coordinating with our primary units.\Once that has been finalized, you will be contacted.\You may be unhappy with your status as a commando unit,\but there is no telling how much faith we can put in a ship that runs on enemy technology.\Not to put too fine a point on it, but that's just how it is.\I'm amazed that you sat through that without any outbursts.\Did you want me to? Remember, I'm only here as your escort. response:	Anyway, I'm not that naive.
context: As far as new operations go, we are currently coordinating with our primary units.\Once that has been finalized, you will be contacted.\You may be unhappy with your status as a commando unit,\but there is no telling how much faith we can put in a ship that runs on enemy technology.\Not to put too fine a point on it, but that's just how it is.\I'm amazed that you sat through that without any outbursts.\Did you want me to? Remember, I'm only here as your escort.\Anyway, I'm not that naive. response:	They just don't understand.
context: Once that has been finalized, you will be contacted.\You may be unhappy with your status as a commando unit,\but there is no telling how much faith we can put in a ship that runs on enemy technology.\Not to put too fine a point on it, but that's just how it is.\I'm amazed that you sat through that without any outbursts.\Did you want me to? Remember, I'm only here as your escort.\Anyway, I'm not that naive.\They just don't understand. response:	They probably just don't know what they've got. They're doing the best they can.
context: You may be unhappy with your status as a commando unit,\but there is no telling how much faith we can put in a ship that runs on enemy technology.\Not to put too fine a point on it, but that's just how it is.\I'm amazed that you sat through that without any outbursts.\Did you want me to? Remember, I'm only here as your escort.\Anyway, I'm not that naive.\They just don't understand.\They probably just don't know what they've got. They're doing the best they can. response:	No. I'm not griping about how they're treating the Deucalion.
context: but there is no telling how much faith we can put in a ship that runs on enemy technology.\Not to put too fine a point on it, but that's just how it is.\I'm amazed that you sat through that without any outbursts.\Did you want me to? Remember, I'm only here as your escort.\Anyway, I'm not that naive.\They just don't understand.\They probably just don't know what they've got. They're doing the best they can.\No. I'm not griping about how they're treating the Deucalion. response:	But they're being overconfident.
context: Not to put too fine a point on it, but that's just how it is.\I'm amazed that you sat through that without any outbursts.\Did you want me to? Remember, I'm only here as your escort.\Anyway, I'm not that naive.\They just don't understand.\They probably just don't know what they've got. They're doing the best they can.\No. I'm not griping about how they're treating the Deucalion.\But they're being overconfident. response:	About us?
context: I'm amazed that you sat through that without any outbursts.\Did you want me to? Remember, I'm only here as your escort.\Anyway, I'm not that naive.\They just don't understand.\They probably just don't know what they've got. They're doing the best they can.\No. I'm not griping about how they're treating the Deucalion.\But they're being overconfident.\About us? response:	No, about the Martians.
context: Did you want me to? Remember, I'm only here as your escort.\Anyway, I'm not that naive.\They just don't understand.\They probably just don't know what they've got. They're doing the best they can.\No. I'm not griping about how they're treating the Deucalion.\But they're being overconfident.\About us?\No, about the Martians. response:	The war may have tilted ever so slightly in our favor,
context: Anyway, I'm not that naive.\They just don't understand.\They probably just don't know what they've got. They're doing the best they can.\No. I'm not griping about how they're treating the Deucalion.\But they're being overconfident.\About us?\No, about the Martians.\The war may have tilted ever so slightly in our favor, response:	but it does not justify their possibly misguided optimism.
context: They just don't understand.\They probably just don't know what they've got. They're doing the best they can.\No. I'm not griping about how they're treating the Deucalion.\But they're being overconfident.\About us?\No, about the Martians.\The war may have tilted ever so slightly in our favor,\but it does not justify their possibly misguided optimism. response:	I find the prospect terrifying.
context: They probably just don't know what they've got. They're doing the best they can.\No. I'm not griping about how they're treating the Deucalion.\But they're being overconfident.\About us?\No, about the Martians.\The war may have tilted ever so slightly in our favor,\but it does not justify their possibly misguided optimism.\I find the prospect terrifying. response:	I will drain the therapeutic fluid and bring Princess Asseylum to my castle.
context: No. I'm not griping about how they're treating the Deucalion.\But they're being overconfident.\About us?\No, about the Martians.\The war may have tilted ever so slightly in our favor,\but it does not justify their possibly misguided optimism.\I find the prospect terrifying.\I will drain the therapeutic fluid and bring Princess Asseylum to my castle. response:	Tell no one of this.
context: But they're being overconfident.\About us?\No, about the Martians.\The war may have tilted ever so slightly in our favor,\but it does not justify their possibly misguided optimism.\I find the prospect terrifying.\I will drain the therapeutic fluid and bring Princess Asseylum to my castle.\Tell no one of this. response:	Not even Princess Lemrina, of course.
context: About us?\No, about the Martians.\The war may have tilted ever so slightly in our favor,\but it does not justify their possibly misguided optimism.\I find the prospect terrifying.\I will drain the therapeutic fluid and bring Princess Asseylum to my castle.\Tell no one of this.\Not even Princess Lemrina, of course. response:	But why not
context: No, about the Martians.\The war may have tilted ever so slightly in our favor,\but it does not justify their possibly misguided optimism.\I find the prospect terrifying.\I will drain the therapeutic fluid and bring Princess Asseylum to my castle.\Tell no one of this.\Not even Princess Lemrina, of course.\But why not response:	Do as I say!
context: The war may have tilted ever so slightly in our favor,\but it does not justify their possibly misguided optimism.\I find the prospect terrifying.\I will drain the therapeutic fluid and bring Princess Asseylum to my castle.\Tell no one of this.\Not even Princess Lemrina, of course.\But why not\Do as I say! response:	Forgive me. I did not mean to startle you.
context: but it does not justify their possibly misguided optimism.\I find the prospect terrifying.\I will drain the therapeutic fluid and bring Princess Asseylum to my castle.\Tell no one of this.\Not even Princess Lemrina, of course.\But why not\Do as I say!\Forgive me. I did not mean to startle you. response:	No visitors allowed?!
context: I find the prospect terrifying.\I will drain the therapeutic fluid and bring Princess Asseylum to my castle.\Tell no one of this.\Not even Princess Lemrina, of course.\But why not\Do as I say!\Forgive me. I did not mean to startle you.\No visitors allowed?! response:	My sister's condition is that serious?
context: I will drain the therapeutic fluid and bring Princess Asseylum to my castle.\Tell no one of this.\Not even Princess Lemrina, of course.\But why not\Do as I say!\Forgive me. I did not mean to startle you.\No visitors allowed?!\My sister's condition is that serious? response:	She... Perhaps it was a miracle that she held on for this long.
context: Tell no one of this.\Not even Princess Lemrina, of course.\But why not\Do as I say!\Forgive me. I did not mean to startle you.\No visitors allowed?!\My sister's condition is that serious?\She... Perhaps it was a miracle that she held on for this long. response:	How much time does she have? Today? Tomorrow?
context: Not even Princess Lemrina, of course.\But why not\Do as I say!\Forgive me. I did not mean to startle you.\No visitors allowed?!\My sister's condition is that serious?\She... Perhaps it was a miracle that she held on for this long.\How much time does she have? Today? Tomorrow? response:	They say that they still do not know.
context: But why not\Do as I say!\Forgive me. I did not mean to startle you.\No visitors allowed?!\My sister's condition is that serious?\She... Perhaps it was a miracle that she held on for this long.\How much time does she have? Today? Tomorrow?\They say that they still do not know. response:	It is just as possible that she will remain in this condition indefinitely.
context: Do as I say!\Forgive me. I did not mean to startle you.\No visitors allowed?!\My sister's condition is that serious?\She... Perhaps it was a miracle that she held on for this long.\How much time does she have? Today? Tomorrow?\They say that they still do not know.\It is just as possible that she will remain in this condition indefinitely. response:	I see...
context: Forgive me. I did not mean to startle you.\No visitors allowed?!\My sister's condition is that serious?\She... Perhaps it was a miracle that she held on for this long.\How much time does she have? Today? Tomorrow?\They say that they still do not know.\It is just as possible that she will remain in this condition indefinitely.\I see... response:	I can guess what you are feeling.
context: No visitors allowed?!\My sister's condition is that serious?\She... Perhaps it was a miracle that she held on for this long.\How much time does she have? Today? Tomorrow?\They say that they still do not know.\It is just as possible that she will remain in this condition indefinitely.\I see...\I can guess what you are feeling. response:	You may have mixed feelings, but she is your only sibling by blood.
context: My sister's condition is that serious?\She... Perhaps it was a miracle that she held on for this long.\How much time does she have? Today? Tomorrow?\They say that they still do not know.\It is just as possible that she will remain in this condition indefinitely.\I see...\I can guess what you are feeling.\You may have mixed feelings, but she is your only sibling by blood. response:	It is you who are truly sad, aren't you, Slaine?
