context: Ladies and gentlemen, good evening. response:	My friend invited three families to his villa, where a forbidden past lay dormant.
context: Exactly what do you know?\Your life depends on your answer.\Answer me!\I am but a poor bumpkin who has come from the far reaches of Eastern Space.\Other than that, I have no past which is worth speaking of.\None at all.\Victoria!\Victoria! What's happened to her?! response:	You needn't worry. She is merely feeling out of sorts.
context: Your life depends on your answer.\Answer me!\I am but a poor bumpkin who has come from the far reaches of Eastern Space.\Other than that, I have no past which is worth speaking of.\None at all.\Victoria!\Victoria! What's happened to her?!\You needn't worry. She is merely feeling out of sorts. response:	Hey! Honey! Hey!
context: Answer me!\I am but a poor bumpkin who has come from the far reaches of Eastern Space.\Other than that, I have no past which is worth speaking of.\None at all.\Victoria!\Victoria! What's happened to her?!\You needn't worry. She is merely feeling out of sorts.\Hey! Honey! Hey! response:	I expect that a few moments' rest will have her feeling good as new.
context: I am but a poor bumpkin who has come from the far reaches of Eastern Space.\Other than that, I have no past which is worth speaking of.\None at all.\Victoria!\Victoria! What's happened to her?!\You needn't worry. She is merely feeling out of sorts.\Hey! Honey! Hey!\I expect that a few moments' rest will have her feeling good as new. response:	Is that not right?
context: Other than that, I have no past which is worth speaking of.\None at all.\Victoria!\Victoria! What's happened to her?!\You needn't worry. She is merely feeling out of sorts.\Hey! Honey! Hey!\I expect that a few moments' rest will have her feeling good as new.\Is that not right? response:	Where's Eugenie?
context: None at all.\Victoria!\Victoria! What's happened to her?!\You needn't worry. She is merely feeling out of sorts.\Hey! Honey! Hey!\I expect that a few moments' rest will have her feeling good as new.\Is that not right?\Where's Eugenie? response:	Let's look for her!
context: Victoria!\Victoria! What's happened to her?!\You needn't worry. She is merely feeling out of sorts.\Hey! Honey! Hey!\I expect that a few moments' rest will have her feeling good as new.\Is that not right?\Where's Eugenie?\Let's look for her! response:	Eugenie!
context: Victoria! What's happened to her?!\You needn't worry. She is merely feeling out of sorts.\Hey! Honey! Hey!\I expect that a few moments' rest will have her feeling good as new.\Is that not right?\Where's Eugenie?\Let's look for her!\Eugenie! response:	Eugenie! Where are you?!
context: You needn't worry. She is merely feeling out of sorts.\Hey! Honey! Hey!\I expect that a few moments' rest will have her feeling good as new.\Is that not right?\Where's Eugenie?\Let's look for her!\Eugenie!\Eugenie! Where are you?! response:	Father! Eugenie!
context: Hey! Honey! Hey!\I expect that a few moments' rest will have her feeling good as new.\Is that not right?\Where's Eugenie?\Let's look for her!\Eugenie!\Eugenie! Where are you?!\Father! Eugenie! response:	You there!
context: I expect that a few moments' rest will have her feeling good as new.\Is that not right?\Where's Eugenie?\Let's look for her!\Eugenie!\Eugenie! Where are you?!\Father! Eugenie!\You there! response:	Do you know where Eugenie is? She's Monsieur Danglars' daughter.
context: Is that not right?\Where's Eugenie?\Let's look for her!\Eugenie!\Eugenie! Where are you?!\Father! Eugenie!\You there!\Do you know where Eugenie is? She's Monsieur Danglars' daughter. response:	I've heard stories about you from the Count.
context: Where's Eugenie?\Let's look for her!\Eugenie!\Eugenie! Where are you?!\Father! Eugenie!\You there!\Do you know where Eugenie is? She's Monsieur Danglars' daughter.\I've heard stories about you from the Count. response:	All sorts of things.
context: Let's look for her!\Eugenie!\Eugenie! Where are you?!\Father! Eugenie!\You there!\Do you know where Eugenie is? She's Monsieur Danglars' daughter.\I've heard stories about you from the Count.\All sorts of things. response:	So, you're Albert, son of the Morcerf family...
context: Eugenie!\Eugenie! Where are you?!\Father! Eugenie!\You there!\Do you know where Eugenie is? She's Monsieur Danglars' daughter.\I've heard stories about you from the Count.\All sorts of things.\So, you're Albert, son of the Morcerf family... response:	Where's Eugenie? Isn't she with you?!
context: Eugenie! Where are you?!\Father! Eugenie!\You there!\Do you know where Eugenie is? She's Monsieur Danglars' daughter.\I've heard stories about you from the Count.\All sorts of things.\So, you're Albert, son of the Morcerf family...\Where's Eugenie? Isn't she with you?! response:	She's already headed towards the inner chambers, both she and your father.
context: Father! Eugenie!\You there!\Do you know where Eugenie is? She's Monsieur Danglars' daughter.\I've heard stories about you from the Count.\All sorts of things.\So, you're Albert, son of the Morcerf family...\Where's Eugenie? Isn't she with you?!\She's already headed towards the inner chambers, both she and your father. response:	Let me make one thing perfectly clear to you.
context: You there!\Do you know where Eugenie is? She's Monsieur Danglars' daughter.\I've heard stories about you from the Count.\All sorts of things.\So, you're Albert, son of the Morcerf family...\Where's Eugenie? Isn't she with you?!\She's already headed towards the inner chambers, both she and your father.\Let me make one thing perfectly clear to you. response:	In all the world, I am the only person capable of understanding the Count's feelings.
context: Do you know where Eugenie is? She's Monsieur Danglars' daughter.\I've heard stories about you from the Count.\All sorts of things.\So, you're Albert, son of the Morcerf family...\Where's Eugenie? Isn't she with you?!\She's already headed towards the inner chambers, both she and your father.\Let me make one thing perfectly clear to you.\In all the world, I am the only person capable of understanding the Count's feelings. response:	Wha...?
context: I've heard stories about you from the Count.\All sorts of things.\So, you're Albert, son of the Morcerf family...\Where's Eugenie? Isn't she with you?!\She's already headed towards the inner chambers, both she and your father.\Let me make one thing perfectly clear to you.\In all the world, I am the only person capable of understanding the Count's feelings.\Wha...? response:	Now, if you'll excuse me.
context: All sorts of things.\So, you're Albert, son of the Morcerf family...\Where's Eugenie? Isn't she with you?!\She's already headed towards the inner chambers, both she and your father.\Let me make one thing perfectly clear to you.\In all the world, I am the only person capable of understanding the Count's feelings.\Wha...?\Now, if you'll excuse me. response:	Count!
context: So, you're Albert, son of the Morcerf family...\Where's Eugenie? Isn't she with you?!\She's already headed towards the inner chambers, both she and your father.\Let me make one thing perfectly clear to you.\In all the world, I am the only person capable of understanding the Count's feelings.\Wha...?\Now, if you'll excuse me.\Count! response:	Give me your hand, sir.
context: Where's Eugenie? Isn't she with you?!\She's already headed towards the inner chambers, both she and your father.\Let me make one thing perfectly clear to you.\In all the world, I am the only person capable of understanding the Count's feelings.\Wha...?\Now, if you'll excuse me.\Count!\Give me your hand, sir. response:	My thanks, Bertuccio...
context: She's already headed towards the inner chambers, both she and your father.\Let me make one thing perfectly clear to you.\In all the world, I am the only person capable of understanding the Count's feelings.\Wha...?\Now, if you'll excuse me.\Count!\Give me your hand, sir.\My thanks, Bertuccio... response:	What are those markings...?
context: Let me make one thing perfectly clear to you.\In all the world, I am the only person capable of understanding the Count's feelings.\Wha...?\Now, if you'll excuse me.\Count!\Give me your hand, sir.\My thanks, Bertuccio...\What are those markings...? response:	I'd ask you not to overexert yourself, but I'd probably be wasting my breath.
context: In all the world, I am the only person capable of understanding the Count's feelings.\Wha...?\Now, if you'll excuse me.\Count!\Give me your hand, sir.\My thanks, Bertuccio...\What are those markings...?\I'd ask you not to overexert yourself, but I'd probably be wasting my breath. response:	Do you have it in you to follow me? Into the darkest depths of Hell?
context: Wha...?\Now, if you'll excuse me.\Count!\Give me your hand, sir.\My thanks, Bertuccio...\What are those markings...?\I'd ask you not to overexert yourself, but I'd probably be wasting my breath.\Do you have it in you to follow me? Into the darkest depths of Hell? response:	Of course. I'll be at your side wherever you go, Gankutsuou.
context: Now, if you'll excuse me.\Count!\Give me your hand, sir.\My thanks, Bertuccio...\What are those markings...?\I'd ask you not to overexert yourself, but I'd probably be wasting my breath.\Do you have it in you to follow me? Into the darkest depths of Hell?\Of course. I'll be at your side wherever you go, Gankutsuou. response:	Gankutsuou?
context: Count!\Give me your hand, sir.\My thanks, Bertuccio...\What are those markings...?\I'd ask you not to overexert yourself, but I'd probably be wasting my breath.\Do you have it in you to follow me? Into the darkest depths of Hell?\Of course. I'll be at your side wherever you go, Gankutsuou.\Gankutsuou? response:	Mother...
context: Give me your hand, sir.\My thanks, Bertuccio...\What are those markings...?\I'd ask you not to overexert yourself, but I'd probably be wasting my breath.\Do you have it in you to follow me? Into the darkest depths of Hell?\Of course. I'll be at your side wherever you go, Gankutsuou.\Gankutsuou?\Mother... response:	I'm all right. I'm fine now.
context: My thanks, Bertuccio...\What are those markings...?\I'd ask you not to overexert yourself, but I'd probably be wasting my breath.\Do you have it in you to follow me? Into the darkest depths of Hell?\Of course. I'll be at your side wherever you go, Gankutsuou.\Gankutsuou?\Mother...\I'm all right. I'm fine now. response:	I'm sorry if I worried you.
context: What are those markings...?\I'd ask you not to overexert yourself, but I'd probably be wasting my breath.\Do you have it in you to follow me? Into the darkest depths of Hell?\Of course. I'll be at your side wherever you go, Gankutsuou.\Gankutsuou?\Mother...\I'm all right. I'm fine now.\I'm sorry if I worried you. response:	Valentine!
context: I'd ask you not to overexert yourself, but I'd probably be wasting my breath.\Do you have it in you to follow me? Into the darkest depths of Hell?\Of course. I'll be at your side wherever you go, Gankutsuou.\Gankutsuou?\Mother...\I'm all right. I'm fine now.\I'm sorry if I worried you.\Valentine! response:	Albert!
context: Do you have it in you to follow me? Into the darkest depths of Hell?\Of course. I'll be at your side wherever you go, Gankutsuou.\Gankutsuou?\Mother...\I'm all right. I'm fine now.\I'm sorry if I worried you.\Valentine!\Albert! response:	I'm sorry about earlier.
context: Of course. I'll be at your side wherever you go, Gankutsuou.\Gankutsuou?\Mother...\I'm all right. I'm fine now.\I'm sorry if I worried you.\Valentine!\Albert!\I'm sorry about earlier. response:	I got carried away without stopping to consider your feelings.
context: Gankutsuou?\Mother...\I'm all right. I'm fine now.\I'm sorry if I worried you.\Valentine!\Albert!\I'm sorry about earlier.\I got carried away without stopping to consider your feelings. response:	No, I'm the one who should apologize. I said such rude things.
context: Mother...\I'm all right. I'm fine now.\I'm sorry if I worried you.\Valentine!\Albert!\I'm sorry about earlier.\I got carried away without stopping to consider your feelings.\No, I'm the one who should apologize. I said such rude things. response:	Still, I'm glad. It's nice that you two can have a normal conversation now.
context: I'm all right. I'm fine now.\I'm sorry if I worried you.\Valentine!\Albert!\I'm sorry about earlier.\I got carried away without stopping to consider your feelings.\No, I'm the one who should apologize. I said such rude things.\Still, I'm glad. It's nice that you two can have a normal conversation now. response:	I'm glad we had this chance to talk.
context: I'm sorry if I worried you.\Valentine!\Albert!\I'm sorry about earlier.\I got carried away without stopping to consider your feelings.\No, I'm the one who should apologize. I said such rude things.\Still, I'm glad. It's nice that you two can have a normal conversation now.\I'm glad we had this chance to talk. response:	As am I!
context: Valentine!\Albert!\I'm sorry about earlier.\I got carried away without stopping to consider your feelings.\No, I'm the one who should apologize. I said such rude things.\Still, I'm glad. It's nice that you two can have a normal conversation now.\I'm glad we had this chance to talk.\As am I! response:	Now that all the excitement's over, I feel kinda...
context: Albert!\I'm sorry about earlier.\I got carried away without stopping to consider your feelings.\No, I'm the one who should apologize. I said such rude things.\Still, I'm glad. It's nice that you two can have a normal conversation now.\I'm glad we had this chance to talk.\As am I!\Now that all the excitement's over, I feel kinda... response:	Albert?
context: I'm sorry about earlier.\I got carried away without stopping to consider your feelings.\No, I'm the one who should apologize. I said such rude things.\Still, I'm glad. It's nice that you two can have a normal conversation now.\I'm glad we had this chance to talk.\As am I!\Now that all the excitement's over, I feel kinda...\Albert? response:	Monsieur Albert?
context: I got carried away without stopping to consider your feelings.\No, I'm the one who should apologize. I said such rude things.\Still, I'm glad. It's nice that you two can have a normal conversation now.\I'm glad we had this chance to talk.\As am I!\Now that all the excitement's over, I feel kinda...\Albert?\Monsieur Albert? response:	Hold on!
context: No, I'm the one who should apologize. I said such rude things.\Still, I'm glad. It's nice that you two can have a normal conversation now.\I'm glad we had this chance to talk.\As am I!\Now that all the excitement's over, I feel kinda...\Albert?\Monsieur Albert?\Hold on! response:	Monsieur Albert!
context: Still, I'm glad. It's nice that you two can have a normal conversation now.\I'm glad we had this chance to talk.\As am I!\Now that all the excitement's over, I feel kinda...\Albert?\Monsieur Albert?\Hold on!\Monsieur Albert! response:	Monsieur Albert!
context: I'm glad we had this chance to talk.\As am I!\Now that all the excitement's over, I feel kinda...\Albert?\Monsieur Albert?\Hold on!\Monsieur Albert!\Monsieur Albert! response:	How are you feeling?
context: As am I!\Now that all the excitement's over, I feel kinda...\Albert?\Monsieur Albert?\Hold on!\Monsieur Albert!\Monsieur Albert!\How are you feeling? response:	It feels like a weight on my chest has been lifted.
context: Now that all the excitement's over, I feel kinda...\Albert?\Monsieur Albert?\Hold on!\Monsieur Albert!\Monsieur Albert!\How are you feeling?\It feels like a weight on my chest has been lifted. response:	I am glad to hear it. I mixed this medicine especially for you.
context: Albert?\Monsieur Albert?\Hold on!\Monsieur Albert!\Monsieur Albert!\How are you feeling?\It feels like a weight on my chest has been lifted.\I am glad to hear it. I mixed this medicine especially for you. response:	Nothing is better for the treatment of chest pains.
context: Monsieur Albert?\Hold on!\Monsieur Albert!\Monsieur Albert!\How are you feeling?\It feels like a weight on my chest has been lifted.\I am glad to hear it. I mixed this medicine especially for you.\Nothing is better for the treatment of chest pains. response:	I'm sorry if I made any trouble for you.
context: Hold on!\Monsieur Albert!\Monsieur Albert!\How are you feeling?\It feels like a weight on my chest has been lifted.\I am glad to hear it. I mixed this medicine especially for you.\Nothing is better for the treatment of chest pains.\I'm sorry if I made any trouble for you. response:	For some reason, I felt sick all of a sudden...
context: Monsieur Albert!\Monsieur Albert!\How are you feeling?\It feels like a weight on my chest has been lifted.\I am glad to hear it. I mixed this medicine especially for you.\Nothing is better for the treatment of chest pains.\I'm sorry if I made any trouble for you.\For some reason, I felt sick all of a sudden... response:	What could be wrong with Albert?
context: Monsieur Albert!\How are you feeling?\It feels like a weight on my chest has been lifted.\I am glad to hear it. I mixed this medicine especially for you.\Nothing is better for the treatment of chest pains.\I'm sorry if I made any trouble for you.\For some reason, I felt sick all of a sudden...\What could be wrong with Albert? response:	Ever since we were kids, he's never had so much as a cold.
context: How are you feeling?\It feels like a weight on my chest has been lifted.\I am glad to hear it. I mixed this medicine especially for you.\Nothing is better for the treatment of chest pains.\I'm sorry if I made any trouble for you.\For some reason, I felt sick all of a sudden...\What could be wrong with Albert?\Ever since we were kids, he's never had so much as a cold. response:	You and Albert are childhood friends, aren't you?
context: It feels like a weight on my chest has been lifted.\I am glad to hear it. I mixed this medicine especially for you.\Nothing is better for the treatment of chest pains.\I'm sorry if I made any trouble for you.\For some reason, I felt sick all of a sudden...\What could be wrong with Albert?\Ever since we were kids, he's never had so much as a cold.\You and Albert are childhood friends, aren't you? response:	Yeah.
context: I am glad to hear it. I mixed this medicine especially for you.\Nothing is better for the treatment of chest pains.\I'm sorry if I made any trouble for you.\For some reason, I felt sick all of a sudden...\What could be wrong with Albert?\Ever since we were kids, he's never had so much as a cold.\You and Albert are childhood friends, aren't you?\Yeah. response:	I heard all about it from Mademoiselle Valentine.
context: Nothing is better for the treatment of chest pains.\I'm sorry if I made any trouble for you.\For some reason, I felt sick all of a sudden...\What could be wrong with Albert?\Ever since we were kids, he's never had so much as a cold.\You and Albert are childhood friends, aren't you?\Yeah.\I heard all about it from Mademoiselle Valentine. response:	She said that she has always been jealous of how close you two are.
context: I'm sorry if I made any trouble for you.\For some reason, I felt sick all of a sudden...\What could be wrong with Albert?\Ever since we were kids, he's never had so much as a cold.\You and Albert are childhood friends, aren't you?\Yeah.\I heard all about it from Mademoiselle Valentine.\She said that she has always been jealous of how close you two are. response:	It's just because we've known each other for so long.
context: For some reason, I felt sick all of a sudden...\What could be wrong with Albert?\Ever since we were kids, he's never had so much as a cold.\You and Albert are childhood friends, aren't you?\Yeah.\I heard all about it from Mademoiselle Valentine.\She said that she has always been jealous of how close you two are.\It's just because we've known each other for so long. response:	It's not just because you're old friends, is it?
context: What could be wrong with Albert?\Ever since we were kids, he's never had so much as a cold.\You and Albert are childhood friends, aren't you?\Yeah.\I heard all about it from Mademoiselle Valentine.\She said that she has always been jealous of how close you two are.\It's just because we've known each other for so long.\It's not just because you're old friends, is it? response:	I somehow get the impression that you two share a bond that no one else can share in.
context: Ever since we were kids, he's never had so much as a cold.\You and Albert are childhood friends, aren't you?\Yeah.\I heard all about it from Mademoiselle Valentine.\She said that she has always been jealous of how close you two are.\It's just because we've known each other for so long.\It's not just because you're old friends, is it?\I somehow get the impression that you two share a bond that no one else can share in. response:	Speaking of which, how long have you had feelings for Valentine?
context: You and Albert are childhood friends, aren't you?\Yeah.\I heard all about it from Mademoiselle Valentine.\She said that she has always been jealous of how close you two are.\It's just because we've known each other for so long.\It's not just because you're old friends, is it?\I somehow get the impression that you two share a bond that no one else can share in.\Speaking of which, how long have you had feelings for Valentine? response:	That's an awkward question to be asked by her fiancee.
context: Yeah.\I heard all about it from Mademoiselle Valentine.\She said that she has always been jealous of how close you two are.\It's just because we've known each other for so long.\It's not just because you're old friends, is it?\I somehow get the impression that you two share a bond that no one else can share in.\Speaking of which, how long have you had feelings for Valentine?\That's an awkward question to be asked by her fiancee. response:	Of course, you're right. I'm sorry.
context: I heard all about it from Mademoiselle Valentine.\She said that she has always been jealous of how close you two are.\It's just because we've known each other for so long.\It's not just because you're old friends, is it?\I somehow get the impression that you two share a bond that no one else can share in.\Speaking of which, how long have you had feelings for Valentine?\That's an awkward question to be asked by her fiancee.\Of course, you're right. I'm sorry. response:	No, I am the one who is at fault here.
context: She said that she has always been jealous of how close you two are.\It's just because we've known each other for so long.\It's not just because you're old friends, is it?\I somehow get the impression that you two share a bond that no one else can share in.\Speaking of which, how long have you had feelings for Valentine?\That's an awkward question to be asked by her fiancee.\Of course, you're right. I'm sorry.\No, I am the one who is at fault here. response:	But if you love her, that should be all that matters.
context: It's just because we've known each other for so long.\It's not just because you're old friends, is it?\I somehow get the impression that you two share a bond that no one else can share in.\Speaking of which, how long have you had feelings for Valentine?\That's an awkward question to be asked by her fiancee.\Of course, you're right. I'm sorry.\No, I am the one who is at fault here.\But if you love her, that should be all that matters. response:	There you go, saying such irresponsible things again...
context: It's not just because you're old friends, is it?\I somehow get the impression that you two share a bond that no one else can share in.\Speaking of which, how long have you had feelings for Valentine?\That's an awkward question to be asked by her fiancee.\Of course, you're right. I'm sorry.\No, I am the one who is at fault here.\But if you love her, that should be all that matters.\There you go, saying such irresponsible things again... response:	Irresponsible, huh? I suppose it is.
context: I somehow get the impression that you two share a bond that no one else can share in.\Speaking of which, how long have you had feelings for Valentine?\That's an awkward question to be asked by her fiancee.\Of course, you're right. I'm sorry.\No, I am the one who is at fault here.\But if you love her, that should be all that matters.\There you go, saying such irresponsible things again...\Irresponsible, huh? I suppose it is. response:	It's a strange thing.
context: Speaking of which, how long have you had feelings for Valentine?\That's an awkward question to be asked by her fiancee.\Of course, you're right. I'm sorry.\No, I am the one who is at fault here.\But if you love her, that should be all that matters.\There you go, saying such irresponsible things again...\Irresponsible, huh? I suppose it is.\It's a strange thing. response:	Why can't you love Mademoiselle Valentine? She is your fiancee, after all.
context: That's an awkward question to be asked by her fiancee.\Of course, you're right. I'm sorry.\No, I am the one who is at fault here.\But if you love her, that should be all that matters.\There you go, saying such irresponsible things again...\Irresponsible, huh? I suppose it is.\It's a strange thing.\Why can't you love Mademoiselle Valentine? She is your fiancee, after all. response:	What about you? Will you stop loving her just because you can't marry her?
