context: I-I'm sorry! response:	There are all sorts of mysteries in this world,
context: Oh no!\I'm stuck!\Naoe-kun, pull me out!\Uh, okay...\Thanks.\Is that...\an anteater?\Or is it an armadillo? response:	What's wrong?
context: I'm stuck!\Naoe-kun, pull me out!\Uh, okay...\Thanks.\Is that...\an anteater?\Or is it an armadillo?\What's wrong? response:	Um, Kamikita-san...
context: Naoe-kun, pull me out!\Uh, okay...\Thanks.\Is that...\an anteater?\Or is it an armadillo?\What's wrong?\Um, Kamikita-san... response:	I think your skirt might be caught on something.
context: Uh, okay...\Thanks.\Is that...\an anteater?\Or is it an armadillo?\What's wrong?\Um, Kamikita-san...\I think your skirt might be caught on something. response:	Are you okay?
context: Thanks.\Is that...\an anteater?\Or is it an armadillo?\What's wrong?\Um, Kamikita-san...\I think your skirt might be caught on something.\Are you okay? response:	Thanks, Naoe-kun.
context: Is that...\an anteater?\Or is it an armadillo?\What's wrong?\Um, Kamikita-san...\I think your skirt might be caught on something.\Are you okay?\Thanks, Naoe-kun. response:	Um...
context: an anteater?\Or is it an armadillo?\What's wrong?\Um, Kamikita-san...\I think your skirt might be caught on something.\Are you okay?\Thanks, Naoe-kun.\Um... response:	Anteater?
context: Or is it an armadillo?\What's wrong?\Um, Kamikita-san...\I think your skirt might be caught on something.\Are you okay?\Thanks, Naoe-kun.\Um...\Anteater? response:	Oh, so it was an anteater.
context: What's wrong?\Um, Kamikita-san...\I think your skirt might be caught on something.\Are you okay?\Thanks, Naoe-kun.\Um...\Anteater?\Oh, so it was an anteater. response:	You saw them!
context: Um, Kamikita-san...\I think your skirt might be caught on something.\Are you okay?\Thanks, Naoe-kun.\Um...\Anteater?\Oh, so it was an anteater.\You saw them! response:	Well, um...
context: I think your skirt might be caught on something.\Are you okay?\Thanks, Naoe-kun.\Um...\Anteater?\Oh, so it was an anteater.\You saw them!\Well, um... response:	Wh-Wh-What should I do?
context: Are you okay?\Thanks, Naoe-kun.\Um...\Anteater?\Oh, so it was an anteater.\You saw them!\Well, um...\Wh-Wh-What should I do? response:	Now I can't get a wife!
context: Thanks, Naoe-kun.\Um...\Anteater?\Oh, so it was an anteater.\You saw them!\Well, um...\Wh-Wh-What should I do?\Now I can't get a wife! response:	I don't think you can get one in the first place.
context: Um...\Anteater?\Oh, so it was an anteater.\You saw them!\Well, um...\Wh-Wh-What should I do?\Now I can't get a wife!\I don't think you can get one in the first place. response:	I'll try to find a husband, then.
context: Anteater?\Oh, so it was an anteater.\You saw them!\Well, um...\Wh-Wh-What should I do?\Now I can't get a wife!\I don't think you can get one in the first place.\I'll try to find a husband, then. response:	Yeah, good luck with that.
context: Oh, so it was an anteater.\You saw them!\Well, um...\Wh-Wh-What should I do?\Now I can't get a wife!\I don't think you can get one in the first place.\I'll try to find a husband, then.\Yeah, good luck with that. response:	What?
context: You saw them!\Well, um...\Wh-Wh-What should I do?\Now I can't get a wife!\I don't think you can get one in the first place.\I'll try to find a husband, then.\Yeah, good luck with that.\What? response:	You didn't see anything.
context: Well, um...\Wh-Wh-What should I do?\Now I can't get a wife!\I don't think you can get one in the first place.\I'll try to find a husband, then.\Yeah, good luck with that.\What?\You didn't see anything. response:	Okay?
context: Wh-Wh-What should I do?\Now I can't get a wife!\I don't think you can get one in the first place.\I'll try to find a husband, then.\Yeah, good luck with that.\What?\You didn't see anything.\Okay? response:	Okay.
context: Now I can't get a wife!\I don't think you can get one in the first place.\I'll try to find a husband, then.\Yeah, good luck with that.\What?\You didn't see anything.\Okay?\Okay. response:	No one saw anything.
context: I don't think you can get one in the first place.\I'll try to find a husband, then.\Yeah, good luck with that.\What?\You didn't see anything.\Okay?\Okay.\No one saw anything. response:	All problems solved!
context: I'll try to find a husband, then.\Yeah, good luck with that.\What?\You didn't see anything.\Okay?\Okay.\No one saw anything.\All problems solved! response:	S-Sure...
context: Yeah, good luck with that.\What?\You didn't see anything.\Okay?\Okay.\No one saw anything.\All problems solved!\S-Sure... response:	I guess that works.
context: What?\You didn't see anything.\Okay?\Okay.\No one saw anything.\All problems solved!\S-Sure...\I guess that works. response:	Well, since you're here, do you want a donut?
context: You didn't see anything.\Okay?\Okay.\No one saw anything.\All problems solved!\S-Sure...\I guess that works.\Well, since you're here, do you want a donut? response:	Uh... sure...
context: Okay?\Okay.\No one saw anything.\All problems solved!\S-Sure...\I guess that works.\Well, since you're here, do you want a donut?\Uh... sure... response:	I've got tea too.
context: Okay.\No one saw anything.\All problems solved!\S-Sure...\I guess that works.\Well, since you're here, do you want a donut?\Uh... sure...\I've got tea too. response:	This is my favorite spot.
context: No one saw anything.\All problems solved!\S-Sure...\I guess that works.\Well, since you're here, do you want a donut?\Uh... sure...\I've got tea too.\This is my favorite spot. response:	I come here a lot.
context: All problems solved!\S-Sure...\I guess that works.\Well, since you're here, do you want a donut?\Uh... sure...\I've got tea too.\This is my favorite spot.\I come here a lot. response:	But I can't let many people know about it.
context: S-Sure...\I guess that works.\Well, since you're here, do you want a donut?\Uh... sure...\I've got tea too.\This is my favorite spot.\I come here a lot.\But I can't let many people know about it. response:	That would be bad.
context: I guess that works.\Well, since you're here, do you want a donut?\Uh... sure...\I've got tea too.\This is my favorite spot.\I come here a lot.\But I can't let many people know about it.\That would be bad. response:	So it's a secret!
context: Well, since you're here, do you want a donut?\Uh... sure...\I've got tea too.\This is my favorite spot.\I come here a lot.\But I can't let many people know about it.\That would be bad.\So it's a secret! response:	Okay.
context: Uh... sure...\I've got tea too.\This is my favorite spot.\I come here a lot.\But I can't let many people know about it.\That would be bad.\So it's a secret!\Okay. response:	Now you're my partner in crime!
context: I've got tea too.\This is my favorite spot.\I come here a lot.\But I can't let many people know about it.\That would be bad.\So it's a secret!\Okay.\Now you're my partner in crime! response:	Yummy!
context: This is my favorite spot.\I come here a lot.\But I can't let many people know about it.\That would be bad.\So it's a secret!\Okay.\Now you're my partner in crime!\Yummy! response:	You like sweet things, don't you, Kamikita-san?
context: I come here a lot.\But I can't let many people know about it.\That would be bad.\So it's a secret!\Okay.\Now you're my partner in crime!\Yummy!\You like sweet things, don't you, Kamikita-san? response:	That's my happiness.
context: But I can't let many people know about it.\That would be bad.\So it's a secret!\Okay.\Now you're my partner in crime!\Yummy!\You like sweet things, don't you, Kamikita-san?\That's my happiness. response:	Eating sweets makes me happy.
context: That would be bad.\So it's a secret!\Okay.\Now you're my partner in crime!\Yummy!\You like sweet things, don't you, Kamikita-san?\That's my happiness.\Eating sweets makes me happy. response:	It's a small thing, but the fact that it makes me happy is amazing.
context: So it's a secret!\Okay.\Now you're my partner in crime!\Yummy!\You like sweet things, don't you, Kamikita-san?\That's my happiness.\Eating sweets makes me happy.\It's a small thing, but the fact that it makes me happy is amazing. response:	That's why sweets are amazing!
context: Okay.\Now you're my partner in crime!\Yummy!\You like sweet things, don't you, Kamikita-san?\That's my happiness.\Eating sweets makes me happy.\It's a small thing, but the fact that it makes me happy is amazing.\That's why sweets are amazing! response:	I see.
context: Now you're my partner in crime!\Yummy!\You like sweet things, don't you, Kamikita-san?\That's my happiness.\Eating sweets makes me happy.\It's a small thing, but the fact that it makes me happy is amazing.\That's why sweets are amazing!\I see. response:	If you're happy, then I'm happy.
context: Yummy!\You like sweet things, don't you, Kamikita-san?\That's my happiness.\Eating sweets makes me happy.\It's a small thing, but the fact that it makes me happy is amazing.\That's why sweets are amazing!\I see.\If you're happy, then I'm happy. response:	When you make someone happy, you make yourself a little happier too.
context: You like sweet things, don't you, Kamikita-san?\That's my happiness.\Eating sweets makes me happy.\It's a small thing, but the fact that it makes me happy is amazing.\That's why sweets are amazing!\I see.\If you're happy, then I'm happy.\When you make someone happy, you make yourself a little happier too. response:	If you're happy, I'm happy.
context: That's my happiness.\Eating sweets makes me happy.\It's a small thing, but the fact that it makes me happy is amazing.\That's why sweets are amazing!\I see.\If you're happy, then I'm happy.\When you make someone happy, you make yourself a little happier too.\If you're happy, I'm happy. response:	If I'm happy, you're happy.
context: Eating sweets makes me happy.\It's a small thing, but the fact that it makes me happy is amazing.\That's why sweets are amazing!\I see.\If you're happy, then I'm happy.\When you make someone happy, you make yourself a little happier too.\If you're happy, I'm happy.\If I'm happy, you're happy. response:	And that repeats over and over, making a happiness spiral!
context: It's a small thing, but the fact that it makes me happy is amazing.\That's why sweets are amazing!\I see.\If you're happy, then I'm happy.\When you make someone happy, you make yourself a little happier too.\If you're happy, I'm happy.\If I'm happy, you're happy.\And that repeats over and over, making a happiness spiral! response:	I guess if you really believe in a theory like that, you'll end up happy.
context: That's why sweets are amazing!\I see.\If you're happy, then I'm happy.\When you make someone happy, you make yourself a little happier too.\If you're happy, I'm happy.\If I'm happy, you're happy.\And that repeats over and over, making a happiness spiral!\I guess if you really believe in a theory like that, you'll end up happy. response:	What do you think?
context: I see.\If you're happy, then I'm happy.\When you make someone happy, you make yourself a little happier too.\If you're happy, I'm happy.\If I'm happy, you're happy.\And that repeats over and over, making a happiness spiral!\I guess if you really believe in a theory like that, you'll end up happy.\What do you think? response:	I think so too.
context: If you're happy, then I'm happy.\When you make someone happy, you make yourself a little happier too.\If you're happy, I'm happy.\If I'm happy, you're happy.\And that repeats over and over, making a happiness spiral!\I guess if you really believe in a theory like that, you'll end up happy.\What do you think?\I think so too. response:	I'm glad you came here, Naoe-kun.
context: When you make someone happy, you make yourself a little happier too.\If you're happy, I'm happy.\If I'm happy, you're happy.\And that repeats over and over, making a happiness spiral!\I guess if you really believe in a theory like that, you'll end up happy.\What do you think?\I think so too.\I'm glad you came here, Naoe-kun. response:	We're in the same class, but we've never talked before.
context: If you're happy, I'm happy.\If I'm happy, you're happy.\And that repeats over and over, making a happiness spiral!\I guess if you really believe in a theory like that, you'll end up happy.\What do you think?\I think so too.\I'm glad you came here, Naoe-kun.\We're in the same class, but we've never talked before. response:	Oh, right! I came here to recruit you!
context: If I'm happy, you're happy.\And that repeats over and over, making a happiness spiral!\I guess if you really believe in a theory like that, you'll end up happy.\What do you think?\I think so too.\I'm glad you came here, Naoe-kun.\We're in the same class, but we've never talked before.\Oh, right! I came here to recruit you! response:	Recruit?
context: And that repeats over and over, making a happiness spiral!\I guess if you really believe in a theory like that, you'll end up happy.\What do you think?\I think so too.\I'm glad you came here, Naoe-kun.\We're in the same class, but we've never talked before.\Oh, right! I came here to recruit you!\Recruit? response:	We're forming a baseball team.
context: I guess if you really believe in a theory like that, you'll end up happy.\What do you think?\I think so too.\I'm glad you came here, Naoe-kun.\We're in the same class, but we've never talked before.\Oh, right! I came here to recruit you!\Recruit?\We're forming a baseball team. response:	We don't have enough members yet, so we're looking for some more.
context: What do you think?\I think so too.\I'm glad you came here, Naoe-kun.\We're in the same class, but we've never talked before.\Oh, right! I came here to recruit you!\Recruit?\We're forming a baseball team.\We don't have enough members yet, so we're looking for some more. response:	Baseball?
context: I think so too.\I'm glad you came here, Naoe-kun.\We're in the same class, but we've never talked before.\Oh, right! I came here to recruit you!\Recruit?\We're forming a baseball team.\We don't have enough members yet, so we're looking for some more.\Baseball? response:	Like with grass?
context: I'm glad you came here, Naoe-kun.\We're in the same class, but we've never talked before.\Oh, right! I came here to recruit you!\Recruit?\We're forming a baseball team.\We don't have enough members yet, so we're looking for some more.\Baseball?\Like with grass? response:	Is the third baseman a dandelion?
context: We're in the same class, but we've never talked before.\Oh, right! I came here to recruit you!\Recruit?\We're forming a baseball team.\We don't have enough members yet, so we're looking for some more.\Baseball?\Like with grass?\Is the third baseman a dandelion? response:	Plants playing baseball.
context: Oh, right! I came here to recruit you!\Recruit?\We're forming a baseball team.\We don't have enough members yet, so we're looking for some more.\Baseball?\Like with grass?\Is the third baseman a dandelion?\Plants playing baseball. response:	I don't think they could.
context: Recruit?\We're forming a baseball team.\We don't have enough members yet, so we're looking for some more.\Baseball?\Like with grass?\Is the third baseman a dandelion?\Plants playing baseball.\I don't think they could. response:	No, it's not the plants playing baseball.
context: We're forming a baseball team.\We don't have enough members yet, so we're looking for some more.\Baseball?\Like with grass?\Is the third baseman a dandelion?\Plants playing baseball.\I don't think they could.\No, it's not the plants playing baseball. response:	We're going to play a casual game of baseball under the blue sky.
context: We don't have enough members yet, so we're looking for some more.\Baseball?\Like with grass?\Is the third baseman a dandelion?\Plants playing baseball.\I don't think they could.\No, it's not the plants playing baseball.\We're going to play a casual game of baseball under the blue sky. response:	A casual game?
context: Baseball?\Like with grass?\Is the third baseman a dandelion?\Plants playing baseball.\I don't think they could.\No, it's not the plants playing baseball.\We're going to play a casual game of baseball under the blue sky.\A casual game? response:	Under the blue sky?
context: Like with grass?\Is the third baseman a dandelion?\Plants playing baseball.\I don't think they could.\No, it's not the plants playing baseball.\We're going to play a casual game of baseball under the blue sky.\A casual game?\Under the blue sky? response:	No matter how you look at it, Kamikita-san and baseball don't go hand-in-hand.
context: Is the third baseman a dandelion?\Plants playing baseball.\I don't think they could.\No, it's not the plants playing baseball.\We're going to play a casual game of baseball under the blue sky.\A casual game?\Under the blue sky?\No matter how you look at it, Kamikita-san and baseball don't go hand-in-hand. response:	Alright!
context: Plants playing baseball.\I don't think they could.\No, it's not the plants playing baseball.\We're going to play a casual game of baseball under the blue sky.\A casual game?\Under the blue sky?\No matter how you look at it, Kamikita-san and baseball don't go hand-in-hand.\Alright! response:	I'm starving!
context: I don't think they could.\No, it's not the plants playing baseball.\We're going to play a casual game of baseball under the blue sky.\A casual game?\Under the blue sky?\No matter how you look at it, Kamikita-san and baseball don't go hand-in-hand.\Alright!\I'm starving! response:	Time for food!
context: No, it's not the plants playing baseball.\We're going to play a casual game of baseball under the blue sky.\A casual game?\Under the blue sky?\No matter how you look at it, Kamikita-san and baseball don't go hand-in-hand.\Alright!\I'm starving!\Time for food! response:	Hey! That's mine!
context: We're going to play a casual game of baseball under the blue sky.\A casual game?\Under the blue sky?\No matter how you look at it, Kamikita-san and baseball don't go hand-in-hand.\Alright!\I'm starving!\Time for food!\Hey! That's mine! response:	Cheapskate.
context: A casual game?\Under the blue sky?\No matter how you look at it, Kamikita-san and baseball don't go hand-in-hand.\Alright!\I'm starving!\Time for food!\Hey! That's mine!\Cheapskate. response:	Cheapskate?! What do you mean, cheapskate?!
context: Under the blue sky?\No matter how you look at it, Kamikita-san and baseball don't go hand-in-hand.\Alright!\I'm starving!\Time for food!\Hey! That's mine!\Cheapskate.\Cheapskate?! What do you mean, cheapskate?! response:	Hey now, I'll give you another. Calm down.
context: No matter how you look at it, Kamikita-san and baseball don't go hand-in-hand.\Alright!\I'm starving!\Time for food!\Hey! That's mine!\Cheapskate.\Cheapskate?! What do you mean, cheapskate?!\Hey now, I'll give you another. Calm down. response:	It's your fault!
context: Alright!\I'm starving!\Time for food!\Hey! That's mine!\Cheapskate.\Cheapskate?! What do you mean, cheapskate?!\Hey now, I'll give you another. Calm down.\It's your fault! response:	We formed a baseball team, the Little Busters.
context: I'm starving!\Time for food!\Hey! That's mine!\Cheapskate.\Cheapskate?! What do you mean, cheapskate?!\Hey now, I'll give you another. Calm down.\It's your fault!\We formed a baseball team, the Little Busters. response:	What did I do?
context: Time for food!\Hey! That's mine!\Cheapskate.\Cheapskate?! What do you mean, cheapskate?!\Hey now, I'll give you another. Calm down.\It's your fault!\We formed a baseball team, the Little Busters.\What did I do? response:	You took my rice!
context: Hey! That's mine!\Cheapskate.\Cheapskate?! What do you mean, cheapskate?!\Hey now, I'll give you another. Calm down.\It's your fault!\We formed a baseball team, the Little Busters.\What did I do?\You took my rice! response:	The members, not including Kengo, are
context: Cheapskate.\Cheapskate?! What do you mean, cheapskate?!\Hey now, I'll give you another. Calm down.\It's your fault!\We formed a baseball team, the Little Busters.\What did I do?\You took my rice!\The members, not including Kengo, are response:	I need carbohydrates for my muscles!
context: Cheapskate?! What do you mean, cheapskate?!\Hey now, I'll give you another. Calm down.\It's your fault!\We formed a baseball team, the Little Busters.\What did I do?\You took my rice!\The members, not including Kengo, are\I need carbohydrates for my muscles! response:	What?!
context: Hey now, I'll give you another. Calm down.\It's your fault!\We formed a baseball team, the Little Busters.\What did I do?\You took my rice!\The members, not including Kengo, are\I need carbohydrates for my muscles!\What?! response:	Masato,
context: It's your fault!\We formed a baseball team, the Little Busters.\What did I do?\You took my rice!\The members, not including Kengo, are\I need carbohydrates for my muscles!\What?!\Masato, response:	Give it back!
context: We formed a baseball team, the Little Busters.\What did I do?\You took my rice!\The members, not including Kengo, are\I need carbohydrates for my muscles!\What?!\Masato,\Give it back! response:	Rin,
context: What did I do?\You took my rice!\The members, not including Kengo, are\I need carbohydrates for my muscles!\What?!\Masato,\Give it back!\Rin, response:	me,
context: You took my rice!\The members, not including Kengo, are\I need carbohydrates for my muscles!\What?!\Masato,\Give it back!\Rin,\me, response:	Come on, it's for my muscles!
context: The members, not including Kengo, are\I need carbohydrates for my muscles!\What?!\Masato,\Give it back!\Rin,\me,\Come on, it's for my muscles! response:	and...
context: I need carbohydrates for my muscles!\What?!\Masato,\Give it back!\Rin,\me,\Come on, it's for my muscles!\and... response:	Hey.
context: What?!\Masato,\Give it back!\Rin,\me,\Come on, it's for my muscles!\and...\Hey. response:	What's with all the hubbub this early in the morning?
context: Masato,\Give it back!\Rin,\me,\Come on, it's for my muscles!\and...\Hey.\What's with all the hubbub this early in the morning? response:	It's this idiot here.
context: Give it back!\Rin,\me,\Come on, it's for my muscles!\and...\Hey.\What's with all the hubbub this early in the morning?\It's this idiot here. response:	Hey, don't call me an idiot! Call me muscles!
context: Rin,\me,\Come on, it's for my muscles!\and...\Hey.\What's with all the hubbub this early in the morning?\It's this idiot here.\Hey, don't call me an idiot! Call me muscles! response:	Just us four.
context: me,\Come on, it's for my muscles!\and...\Hey.\What's with all the hubbub this early in the morning?\It's this idiot here.\Hey, don't call me an idiot! Call me muscles!\Just us four. response:	Who'd call you that?
context: Come on, it's for my muscles!\and...\Hey.\What's with all the hubbub this early in the morning?\It's this idiot here.\Hey, don't call me an idiot! Call me muscles!\Just us four.\Who'd call you that? response:	Listen up, guys.
context: and...\Hey.\What's with all the hubbub this early in the morning?\It's this idiot here.\Hey, don't call me an idiot! Call me muscles!\Just us four.\Who'd call you that?\Listen up, guys. response:	Let's form a band.
context: Hey.\What's with all the hubbub this early in the morning?\It's this idiot here.\Hey, don't call me an idiot! Call me muscles!\Just us four.\Who'd call you that?\Listen up, guys.\Let's form a band. response:	We'll call ourselves...
context: What's with all the hubbub this early in the morning?\It's this idiot here.\Hey, don't call me an idiot! Call me muscles!\Just us four.\Who'd call you that?\Listen up, guys.\Let's form a band.\We'll call ourselves... response:	Little Busters!
context: It's this idiot here.\Hey, don't call me an idiot! Call me muscles!\Just us four.\Who'd call you that?\Listen up, guys.\Let's form a band.\We'll call ourselves...\Little Busters! response:	A band?
context: Hey, don't call me an idiot! Call me muscles!\Just us four.\Who'd call you that?\Listen up, guys.\Let's form a band.\We'll call ourselves...\Little Busters!\A band? response:	Hold it, Kyousuke.
context: Just us four.\Who'd call you that?\Listen up, guys.\Let's form a band.\We'll call ourselves...\Little Busters!\A band?\Hold it, Kyousuke. response:	Weren't we playing baseball?
context: Who'd call you that?\Listen up, guys.\Let's form a band.\We'll call ourselves...\Little Busters!\A band?\Hold it, Kyousuke.\Weren't we playing baseball? response:	Oh, right. It was baseball.
context: Listen up, guys.\Let's form a band.\We'll call ourselves...\Little Busters!\A band?\Hold it, Kyousuke.\Weren't we playing baseball?\Oh, right. It was baseball. response:	I got riled up after reading a band comic.
context: Let's form a band.\We'll call ourselves...\Little Busters!\A band?\Hold it, Kyousuke.\Weren't we playing baseball?\Oh, right. It was baseball.\I got riled up after reading a band comic. response:	So you don't actually care what we do?
context: We'll call ourselves...\Little Busters!\A band?\Hold it, Kyousuke.\Weren't we playing baseball?\Oh, right. It was baseball.\I got riled up after reading a band comic.\So you don't actually care what we do? response:	So forming a baseball team was on the spur of the moment too?
context: Little Busters!\A band?\Hold it, Kyousuke.\Weren't we playing baseball?\Oh, right. It was baseball.\I got riled up after reading a band comic.\So you don't actually care what we do?\So forming a baseball team was on the spur of the moment too? response:	Sorry.
context: A band?\Hold it, Kyousuke.\Weren't we playing baseball?\Oh, right. It was baseball.\I got riled up after reading a band comic.\So you don't actually care what we do?\So forming a baseball team was on the spur of the moment too?\Sorry. response:	We needed five more members, right?
context: Hold it, Kyousuke.\Weren't we playing baseball?\Oh, right. It was baseball.\I got riled up after reading a band comic.\So you don't actually care what we do?\So forming a baseball team was on the spur of the moment too?\Sorry.\We needed five more members, right? response:	Let's find them and dedicate our youth to baseball!
context: Weren't we playing baseball?\Oh, right. It was baseball.\I got riled up after reading a band comic.\So you don't actually care what we do?\So forming a baseball team was on the spur of the moment too?\Sorry.\We needed five more members, right?\Let's find them and dedicate our youth to baseball! response:	What I want to do isn't some boring sport like baseball,
context: Oh, right. It was baseball.\I got riled up after reading a band comic.\So you don't actually care what we do?\So forming a baseball team was on the spur of the moment too?\Sorry.\We needed five more members, right?\Let's find them and dedicate our youth to baseball!\What I want to do isn't some boring sport like baseball, response:	but a passionate action battle thing!
context: I got riled up after reading a band comic.\So you don't actually care what we do?\So forming a baseball team was on the spur of the moment too?\Sorry.\We needed five more members, right?\Let's find them and dedicate our youth to baseball!\What I want to do isn't some boring sport like baseball,\but a passionate action battle thing! response:	A bug! Go away!
context: So you don't actually care what we do?\So forming a baseball team was on the spur of the moment too?\Sorry.\We needed five more members, right?\Let's find them and dedicate our youth to baseball!\What I want to do isn't some boring sport like baseball,\but a passionate action battle thing!\A bug! Go away! response:	Rin?
context: So forming a baseball team was on the spur of the moment too?\Sorry.\We needed five more members, right?\Let's find them and dedicate our youth to baseball!\What I want to do isn't some boring sport like baseball,\but a passionate action battle thing!\A bug! Go away!\Rin? response:	Rin, stand back.
context: Sorry.\We needed five more members, right?\Let's find them and dedicate our youth to baseball!\What I want to do isn't some boring sport like baseball,\but a passionate action battle thing!\A bug! Go away!\Rin?\Rin, stand back. response:	Holy crap!
context: We needed five more members, right?\Let's find them and dedicate our youth to baseball!\What I want to do isn't some boring sport like baseball,\but a passionate action battle thing!\A bug! Go away!\Rin?\Rin, stand back.\Holy crap! response:	Tsukahara Bokuden?
context: Let's find them and dedicate our youth to baseball!\What I want to do isn't some boring sport like baseball,\but a passionate action battle thing!\A bug! Go away!\Rin?\Rin, stand back.\Holy crap!\Tsukahara Bokuden? response:	Hey.
context: What I want to do isn't some boring sport like baseball,\but a passionate action battle thing!\A bug! Go away!\Rin?\Rin, stand back.\Holy crap!\Tsukahara Bokuden?\Hey. response:	Let go of it.
context: but a passionate action battle thing!\A bug! Go away!\Rin?\Rin, stand back.\Holy crap!\Tsukahara Bokuden?\Hey.\Let go of it. response:	I see it!
context: A bug! Go away!\Rin?\Rin, stand back.\Holy crap!\Tsukahara Bokuden?\Hey.\Let go of it.\I see it! response:	You wanna go?!
context: Rin?\Rin, stand back.\Holy crap!\Tsukahara Bokuden?\Hey.\Let go of it.\I see it!\You wanna go?! response:	Masato snapped first?!
context: Rin, stand back.\Holy crap!\Tsukahara Bokuden?\Hey.\Let go of it.\I see it!\You wanna go?!\Masato snapped first?! response:	You asked for it!
context: Holy crap!\Tsukahara Bokuden?\Hey.\Let go of it.\I see it!\You wanna go?!\Masato snapped first?!\You asked for it! response:	And he accepted?!
context: Tsukahara Bokuden?\Hey.\Let go of it.\I see it!\You wanna go?!\Masato snapped first?!\You asked for it!\And he accepted?! response:	Weapons! Get us weapons!
context: Hey.\Let go of it.\I see it!\You wanna go?!\Masato snapped first?!\You asked for it!\And he accepted?!\Weapons! Get us weapons! response:	Fine by me!
context: Let go of it.\I see it!\You wanna go?!\Masato snapped first?!\You asked for it!\And he accepted?!\Weapons! Get us weapons!\Fine by me! response:	I've got soap!
context: I see it!\You wanna go?!\Masato snapped first?!\You asked for it!\And he accepted?!\Weapons! Get us weapons!\Fine by me!\I've got soap! response:	Soap?!
context: You wanna go?!\Masato snapped first?!\You asked for it!\And he accepted?!\Weapons! Get us weapons!\Fine by me!\I've got soap!\Soap?! response:	Battle, start!
context: Masato snapped first?!\You asked for it!\And he accepted?!\Weapons! Get us weapons!\Fine by me!\I've got soap!\Soap?!\Battle, start! response:	Human Bubble Bath!
context: You asked for it!\And he accepted?!\Weapons! Get us weapons!\Fine by me!\I've got soap!\Soap?!\Battle, start!\Human Bubble Bath! response:	Hi-ya!
context: And he accepted?!\Weapons! Get us weapons!\Fine by me!\I've got soap!\Soap?!\Battle, start!\Human Bubble Bath!\Hi-ya! response:	What was he trying to do?
