context: Inspector Tsunemori, take Masaoka and go look for Kougami. response:	Kagari, Kunizuka and I will split up in order to find and destroy the source of the signal interference.
context: I've never heard Ko speak like that before.\He really did sound desperate.\My head is full of things\My head is full of things\that I can never tell anybody of\that I can never tell anybody of\In this perfect world\In this perfect world response:	I roam, a lost being
context: He really did sound desperate.\My head is full of things\My head is full of things\that I can never tell anybody of\that I can never tell anybody of\In this perfect world\In this perfect world\I roam, a lost being response:	I roam, a lost being
context: My head is full of things\My head is full of things\that I can never tell anybody of\that I can never tell anybody of\In this perfect world\In this perfect world\I roam, a lost being\I roam, a lost being response:	This world is impossibly hard on me
context: My head is full of things\that I can never tell anybody of\that I can never tell anybody of\In this perfect world\In this perfect world\I roam, a lost being\I roam, a lost being\This world is impossibly hard on me response:	This world is impossibly hard on me
context: that I can never tell anybody of\that I can never tell anybody of\In this perfect world\In this perfect world\I roam, a lost being\I roam, a lost being\This world is impossibly hard on me\This world is impossibly hard on me response:	It's an illusion that plays out before my eyes
context: that I can never tell anybody of\In this perfect world\In this perfect world\I roam, a lost being\I roam, a lost being\This world is impossibly hard on me\This world is impossibly hard on me\It's an illusion that plays out before my eyes response:	It's an illusion that plays out before my eyes
context: In this perfect world\In this perfect world\I roam, a lost being\I roam, a lost being\This world is impossibly hard on me\This world is impossibly hard on me\It's an illusion that plays out before my eyes\It's an illusion that plays out before my eyes response:	Can I find its faults?
context: In this perfect world\I roam, a lost being\I roam, a lost being\This world is impossibly hard on me\This world is impossibly hard on me\It's an illusion that plays out before my eyes\It's an illusion that plays out before my eyes\Can I find its faults? response:	Can I find its faults?
context: I roam, a lost being\I roam, a lost being\This world is impossibly hard on me\This world is impossibly hard on me\It's an illusion that plays out before my eyes\It's an illusion that plays out before my eyes\Can I find its faults?\Can I find its faults? response:	Plastic, all is plastic
context: I roam, a lost being\This world is impossibly hard on me\This world is impossibly hard on me\It's an illusion that plays out before my eyes\It's an illusion that plays out before my eyes\Can I find its faults?\Can I find its faults?\Plastic, all is plastic response:	Plastic, all is plastic
context: This world is impossibly hard on me\This world is impossibly hard on me\It's an illusion that plays out before my eyes\It's an illusion that plays out before my eyes\Can I find its faults?\Can I find its faults?\Plastic, all is plastic\Plastic, all is plastic response:	Nobody is allowed to be insane
context: This world is impossibly hard on me\It's an illusion that plays out before my eyes\It's an illusion that plays out before my eyes\Can I find its faults?\Can I find its faults?\Plastic, all is plastic\Plastic, all is plastic\Nobody is allowed to be insane response:	Nobody is allowed to be insane
context: It's an illusion that plays out before my eyes\It's an illusion that plays out before my eyes\Can I find its faults?\Can I find its faults?\Plastic, all is plastic\Plastic, all is plastic\Nobody is allowed to be insane\Nobody is allowed to be insane response:	You're made of plastic too, like this beautiful world
context: It's an illusion that plays out before my eyes\Can I find its faults?\Can I find its faults?\Plastic, all is plastic\Plastic, all is plastic\Nobody is allowed to be insane\Nobody is allowed to be insane\You're made of plastic too, like this beautiful world response:	You're made of plastic too, like this beautiful world
context: Can I find its faults?\Can I find its faults?\Plastic, all is plastic\Plastic, all is plastic\Nobody is allowed to be insane\Nobody is allowed to be insane\You're made of plastic too, like this beautiful world\You're made of plastic too, like this beautiful world response:	In this beautiful world
context: Can I find its faults?\Plastic, all is plastic\Plastic, all is plastic\Nobody is allowed to be insane\Nobody is allowed to be insane\You're made of plastic too, like this beautiful world\You're made of plastic too, like this beautiful world\In this beautiful world response:	In this beautiful world
context: Plastic, all is plastic\Plastic, all is plastic\Nobody is allowed to be insane\Nobody is allowed to be insane\You're made of plastic too, like this beautiful world\You're made of plastic too, like this beautiful world\In this beautiful world\In this beautiful world response:	there is something
context: Plastic, all is plastic\Nobody is allowed to be insane\Nobody is allowed to be insane\You're made of plastic too, like this beautiful world\You're made of plastic too, like this beautiful world\In this beautiful world\In this beautiful world\there is something response:	there is something
context: Nobody is allowed to be insane\Nobody is allowed to be insane\You're made of plastic too, like this beautiful world\You're made of plastic too, like this beautiful world\In this beautiful world\In this beautiful world\there is something\there is something response:	that obscures all light for me
context: Nobody is allowed to be insane\You're made of plastic too, like this beautiful world\You're made of plastic too, like this beautiful world\In this beautiful world\In this beautiful world\there is something\there is something\that obscures all light for me response:	that obscures all light for me
context: You're made of plastic too, like this beautiful world\You're made of plastic too, like this beautiful world\In this beautiful world\In this beautiful world\there is something\there is something\that obscures all light for me\that obscures all light for me response:	My heart tries to break out
context: You're made of plastic too, like this beautiful world\In this beautiful world\In this beautiful world\there is something\there is something\that obscures all light for me\that obscures all light for me\My heart tries to break out response:	My heart tries to break out
context: In this beautiful world\In this beautiful world\there is something\there is something\that obscures all light for me\that obscures all light for me\My heart tries to break out\My heart tries to break out response:	and finds no answer
context: In this beautiful world\there is something\there is something\that obscures all light for me\that obscures all light for me\My heart tries to break out\My heart tries to break out\and finds no answer response:	and finds no answer
context: there is something\there is something\that obscures all light for me\that obscures all light for me\My heart tries to break out\My heart tries to break out\and finds no answer\and finds no answer response:	Secret kills for you
context: there is something\that obscures all light for me\that obscures all light for me\My heart tries to break out\My heart tries to break out\and finds no answer\and finds no answer\Secret kills for you response:	Secret kills for you
context: that obscures all light for me\that obscures all light for me\My heart tries to break out\My heart tries to break out\and finds no answer\and finds no answer\Secret kills for you\Secret kills for you response:	Secret kills for you
context: that obscures all light for me\My heart tries to break out\My heart tries to break out\and finds no answer\and finds no answer\Secret kills for you\Secret kills for you\Secret kills for you response:	Secret kills for you
context: My heart tries to break out\My heart tries to break out\and finds no answer\and finds no answer\Secret kills for you\Secret kills for you\Secret kills for you\Secret kills for you response:	The secret remains for you
context: My heart tries to break out\and finds no answer\and finds no answer\Secret kills for you\Secret kills for you\Secret kills for you\Secret kills for you\The secret remains for you response:	The secret remains for you
context: and finds no answer\and finds no answer\Secret kills for you\Secret kills for you\Secret kills for you\Secret kills for you\The secret remains for you\The secret remains for you response:	Don't show me a dark future
context: and finds no answer\Secret kills for you\Secret kills for you\Secret kills for you\Secret kills for you\The secret remains for you\The secret remains for you\Don't show me a dark future response:	Don't show me a dark future
context: Secret kills for you\Secret kills for you\Secret kills for you\Secret kills for you\The secret remains for you\The secret remains for you\Don't show me a dark future\Don't show me a dark future response:	nor a world of pretense
context: Secret kills for you\Secret kills for you\Secret kills for you\The secret remains for you\The secret remains for you\Don't show me a dark future\Don't show me a dark future\nor a world of pretense response:	nor a world of pretense
context: Secret kills for you\Secret kills for you\The secret remains for you\The secret remains for you\Don't show me a dark future\Don't show me a dark future\nor a world of pretense\nor a world of pretense response:	Keep our motion secret
context: Secret kills for you\The secret remains for you\The secret remains for you\Don't show me a dark future\Don't show me a dark future\nor a world of pretense\nor a world of pretense\Keep our motion secret response:	Keep our motion secret
context: The secret remains for you\The secret remains for you\Don't show me a dark future\Don't show me a dark future\nor a world of pretense\nor a world of pretense\Keep our motion secret\Keep our motion secret response:	11: Saint's Supper
context: The secret remains for you\Don't show me a dark future\Don't show me a dark future\nor a world of pretense\nor a world of pretense\Keep our motion secret\Keep our motion secret\11: Saint's Supper response:	What's with all the sneaking around?
context: Don't show me a dark future\Don't show me a dark future\nor a world of pretense\nor a world of pretense\Keep our motion secret\Keep our motion secret\11: Saint's Supper\What's with all the sneaking around? response:	So they're trying to ruin my fun, huh?
context: Don't show me a dark future\nor a world of pretense\nor a world of pretense\Keep our motion secret\Keep our motion secret\11: Saint's Supper\What's with all the sneaking around?\So they're trying to ruin my fun, huh? response:	This must be it!
context: nor a world of pretense\nor a world of pretense\Keep our motion secret\Keep our motion secret\11: Saint's Supper\What's with all the sneaking around?\So they're trying to ruin my fun, huh?\This must be it! response:	Take this!
context: nor a world of pretense\Keep our motion secret\Keep our motion secret\11: Saint's Supper\What's with all the sneaking around?\So they're trying to ruin my fun, huh?\This must be it!\Take this! response:	User authentication: Enforcer Kougami Shinya.
context: Keep our motion secret\Keep our motion secret\11: Saint's Supper\What's with all the sneaking around?\So they're trying to ruin my fun, huh?\This must be it!\Take this!\User authentication: Enforcer Kougami Shinya. response:	You are a valid user.
context: Keep our motion secret\11: Saint's Supper\What's with all the sneaking around?\So they're trying to ruin my fun, huh?\This must be it!\Take this!\User authentication: Enforcer Kougami Shinya.\You are a valid user. response:	Target's Threat Judgment has been updated.
context: 11: Saint's Supper\What's with all the sneaking around?\So they're trying to ruin my fun, huh?\This must be it!\Take this!\User authentication: Enforcer Kougami Shinya.\You are a valid user.\Target's Threat Judgment has been updated. response:	Enforcement mode is Destroy Decomposer.
context: What's with all the sneaking around?\So they're trying to ruin my fun, huh?\This must be it!\Take this!\User authentication: Enforcer Kougami Shinya.\You are a valid user.\Target's Threat Judgment has been updated.\Enforcement mode is Destroy Decomposer. response:	Target will be completely eliminated.
context: So they're trying to ruin my fun, huh?\This must be it!\Take this!\User authentication: Enforcer Kougami Shinya.\You are a valid user.\Target's Threat Judgment has been updated.\Enforcement mode is Destroy Decomposer.\Target will be completely eliminated. response:	Please exercise caution.
context: This must be it!\Take this!\User authentication: Enforcer Kougami Shinya.\You are a valid user.\Target's Threat Judgment has been updated.\Enforcement mode is Destroy Decomposer.\Target will be completely eliminated.\Please exercise caution. response:	Judging by its appearance and the pause after every second shot,
context: Take this!\User authentication: Enforcer Kougami Shinya.\You are a valid user.\Target's Threat Judgment has been updated.\Enforcement mode is Destroy Decomposer.\Target will be completely eliminated.\Please exercise caution.\Judging by its appearance and the pause after every second shot, response:	the enemy's weapon must be a double-barreled hunting rifle.
context: User authentication: Enforcer Kougami Shinya.\You are a valid user.\Target's Threat Judgment has been updated.\Enforcement mode is Destroy Decomposer.\Target will be completely eliminated.\Please exercise caution.\Judging by its appearance and the pause after every second shot,\the enemy's weapon must be a double-barreled hunting rifle. response:	Unfortunately, your time is up.
context: You are a valid user.\Target's Threat Judgment has been updated.\Enforcement mode is Destroy Decomposer.\Target will be completely eliminated.\Please exercise caution.\Judging by its appearance and the pause after every second shot,\the enemy's weapon must be a double-barreled hunting rifle.\Unfortunately, your time is up. response:	The signal jammer has been broken.
context: Target's Threat Judgment has been updated.\Enforcement mode is Destroy Decomposer.\Target will be completely eliminated.\Please exercise caution.\Judging by its appearance and the pause after every second shot,\the enemy's weapon must be a double-barreled hunting rifle.\Unfortunately, your time is up.\The signal jammer has been broken. response:	Soon, the Bureau's main unit will rush in.
context: Enforcement mode is Destroy Decomposer.\Target will be completely eliminated.\Please exercise caution.\Judging by its appearance and the pause after every second shot,\the enemy's weapon must be a double-barreled hunting rifle.\Unfortunately, your time is up.\The signal jammer has been broken.\Soon, the Bureau's main unit will rush in. response:	Lovecraft was taken out.
context: Target will be completely eliminated.\Please exercise caution.\Judging by its appearance and the pause after every second shot,\the enemy's weapon must be a double-barreled hunting rifle.\Unfortunately, your time is up.\The signal jammer has been broken.\Soon, the Bureau's main unit will rush in.\Lovecraft was taken out. response:	It was shot and destroyed.
context: Please exercise caution.\Judging by its appearance and the pause after every second shot,\the enemy's weapon must be a double-barreled hunting rifle.\Unfortunately, your time is up.\The signal jammer has been broken.\Soon, the Bureau's main unit will rush in.\Lovecraft was taken out.\It was shot and destroyed. response:	He finally started shooting back.
context: Judging by its appearance and the pause after every second shot,\the enemy's weapon must be a double-barreled hunting rifle.\Unfortunately, your time is up.\The signal jammer has been broken.\Soon, the Bureau's main unit will rush in.\Lovecraft was taken out.\It was shot and destroyed.\He finally started shooting back. response:	Mr. Senguji?
context: the enemy's weapon must be a double-barreled hunting rifle.\Unfortunately, your time is up.\The signal jammer has been broken.\Soon, the Bureau's main unit will rush in.\Lovecraft was taken out.\It was shot and destroyed.\He finally started shooting back.\Mr. Senguji? response:	When I was young,
context: Unfortunately, your time is up.\The signal jammer has been broken.\Soon, the Bureau's main unit will rush in.\Lovecraft was taken out.\It was shot and destroyed.\He finally started shooting back.\Mr. Senguji?\When I was young, response:	I often took part in construction work to build infrastructure in developing countries.
context: The signal jammer has been broken.\Soon, the Bureau's main unit will rush in.\Lovecraft was taken out.\It was shot and destroyed.\He finally started shooting back.\Mr. Senguji?\When I was young,\I often took part in construction work to build infrastructure in developing countries. response:	The more dangerous the place was, the more money I earned.
context: Soon, the Bureau's main unit will rush in.\Lovecraft was taken out.\It was shot and destroyed.\He finally started shooting back.\Mr. Senguji?\When I was young,\I often took part in construction work to build infrastructure in developing countries.\The more dangerous the place was, the more money I earned. response:	Conflict often broke out without warning,
context: Lovecraft was taken out.\It was shot and destroyed.\He finally started shooting back.\Mr. Senguji?\When I was young,\I often took part in construction work to build infrastructure in developing countries.\The more dangerous the place was, the more money I earned.\Conflict often broke out without warning, response:	and there was a limit to our ability to predict scenarios and manage risk.
context: It was shot and destroyed.\He finally started shooting back.\Mr. Senguji?\When I was young,\I often took part in construction work to build infrastructure in developing countries.\The more dangerous the place was, the more money I earned.\Conflict often broke out without warning,\and there was a limit to our ability to predict scenarios and manage risk. response:	I remember one time when we were attacked by guerrillas in one of those countries.
context: He finally started shooting back.\Mr. Senguji?\When I was young,\I often took part in construction work to build infrastructure in developing countries.\The more dangerous the place was, the more money I earned.\Conflict often broke out without warning,\and there was a limit to our ability to predict scenarios and manage risk.\I remember one time when we were attacked by guerrillas in one of those countries. response:	I think it was at least 70 or 80 years ago.
context: Mr. Senguji?\When I was young,\I often took part in construction work to build infrastructure in developing countries.\The more dangerous the place was, the more money I earned.\Conflict often broke out without warning,\and there was a limit to our ability to predict scenarios and manage risk.\I remember one time when we were attacked by guerrillas in one of those countries.\I think it was at least 70 or 80 years ago. response:	Back then, my colleague who'd been sitting right next to me was shot. Just like today.
context: When I was young,\I often took part in construction work to build infrastructure in developing countries.\The more dangerous the place was, the more money I earned.\Conflict often broke out without warning,\and there was a limit to our ability to predict scenarios and manage risk.\I remember one time when we were attacked by guerrillas in one of those countries.\I think it was at least 70 or 80 years ago.\Back then, my colleague who'd been sitting right next to me was shot. Just like today. response:	My friend, who had been crying and shouting just a moment earlier,
context: I often took part in construction work to build infrastructure in developing countries.\The more dangerous the place was, the more money I earned.\Conflict often broke out without warning,\and there was a limit to our ability to predict scenarios and manage risk.\I remember one time when we were attacked by guerrillas in one of those countries.\I think it was at least 70 or 80 years ago.\Back then, my colleague who'd been sitting right next to me was shot. Just like today.\My friend, who had been crying and shouting just a moment earlier, response:	was reduced to nothing but a lump of flesh.
context: The more dangerous the place was, the more money I earned.\Conflict often broke out without warning,\and there was a limit to our ability to predict scenarios and manage risk.\I remember one time when we were attacked by guerrillas in one of those countries.\I think it was at least 70 or 80 years ago.\Back then, my colleague who'd been sitting right next to me was shot. Just like today.\My friend, who had been crying and shouting just a moment earlier,\was reduced to nothing but a lump of flesh. response:	His blood splattered and dripped down my head,
context: Conflict often broke out without warning,\and there was a limit to our ability to predict scenarios and manage risk.\I remember one time when we were attacked by guerrillas in one of those countries.\I think it was at least 70 or 80 years ago.\Back then, my colleague who'd been sitting right next to me was shot. Just like today.\My friend, who had been crying and shouting just a moment earlier,\was reduced to nothing but a lump of flesh.\His blood splattered and dripped down my head, response:	and his smell stuck to my entire body.
context: and there was a limit to our ability to predict scenarios and manage risk.\I remember one time when we were attacked by guerrillas in one of those countries.\I think it was at least 70 or 80 years ago.\Back then, my colleague who'd been sitting right next to me was shot. Just like today.\My friend, who had been crying and shouting just a moment earlier,\was reduced to nothing but a lump of flesh.\His blood splattered and dripped down my head,\and his smell stuck to my entire body. response:	I don't want you to get the wrong idea, but that's actually a memory I look back on fondly.
context: I remember one time when we were attacked by guerrillas in one of those countries.\I think it was at least 70 or 80 years ago.\Back then, my colleague who'd been sitting right next to me was shot. Just like today.\My friend, who had been crying and shouting just a moment earlier,\was reduced to nothing but a lump of flesh.\His blood splattered and dripped down my head,\and his smell stuck to my entire body.\I don't want you to get the wrong idea, but that's actually a memory I look back on fondly. response:	In that moment, I felt alive... I really felt alive.
context: I think it was at least 70 or 80 years ago.\Back then, my colleague who'd been sitting right next to me was shot. Just like today.\My friend, who had been crying and shouting just a moment earlier,\was reduced to nothing but a lump of flesh.\His blood splattered and dripped down my head,\and his smell stuck to my entire body.\I don't want you to get the wrong idea, but that's actually a memory I look back on fondly.\In that moment, I felt alive... I really felt alive. response:	I felt it more strongly than I ever had before.
context: Back then, my colleague who'd been sitting right next to me was shot. Just like today.\My friend, who had been crying and shouting just a moment earlier,\was reduced to nothing but a lump of flesh.\His blood splattered and dripped down my head,\and his smell stuck to my entire body.\I don't want you to get the wrong idea, but that's actually a memory I look back on fondly.\In that moment, I felt alive... I really felt alive.\I felt it more strongly than I ever had before. response:	However, I'm experiencing that feeling again right now.
context: My friend, who had been crying and shouting just a moment earlier,\was reduced to nothing but a lump of flesh.\His blood splattered and dripped down my head,\and his smell stuck to my entire body.\I don't want you to get the wrong idea, but that's actually a memory I look back on fondly.\In that moment, I felt alive... I really felt alive.\I felt it more strongly than I ever had before.\However, I'm experiencing that feeling again right now. response:	Once again, my blood has been set alight as it pumps through this mechanical heart of mine.
context: was reduced to nothing but a lump of flesh.\His blood splattered and dripped down my head,\and his smell stuck to my entire body.\I don't want you to get the wrong idea, but that's actually a memory I look back on fondly.\In that moment, I felt alive... I really felt alive.\I felt it more strongly than I ever had before.\However, I'm experiencing that feeling again right now.\Once again, my blood has been set alight as it pumps through this mechanical heart of mine. response:	And now, you're telling me to run?
context: His blood splattered and dripped down my head,\and his smell stuck to my entire body.\I don't want you to get the wrong idea, but that's actually a memory I look back on fondly.\In that moment, I felt alive... I really felt alive.\I felt it more strongly than I ever had before.\However, I'm experiencing that feeling again right now.\Once again, my blood has been set alight as it pumps through this mechanical heart of mine.\And now, you're telling me to run? response:	That would be cruel.
context: and his smell stuck to my entire body.\I don't want you to get the wrong idea, but that's actually a memory I look back on fondly.\In that moment, I felt alive... I really felt alive.\I felt it more strongly than I ever had before.\However, I'm experiencing that feeling again right now.\Once again, my blood has been set alight as it pumps through this mechanical heart of mine.\And now, you're telling me to run?\That would be cruel. response:	From here on, it won't just be a game.
context: I don't want you to get the wrong idea, but that's actually a memory I look back on fondly.\In that moment, I felt alive... I really felt alive.\I felt it more strongly than I ever had before.\However, I'm experiencing that feeling again right now.\Once again, my blood has been set alight as it pumps through this mechanical heart of mine.\And now, you're telling me to run?\That would be cruel.\From here on, it won't just be a game. response:	That's exactly right.
context: In that moment, I felt alive... I really felt alive.\I felt it more strongly than I ever had before.\However, I'm experiencing that feeling again right now.\Once again, my blood has been set alight as it pumps through this mechanical heart of mine.\And now, you're telling me to run?\That would be cruel.\From here on, it won't just be a game.\That's exactly right. response:	As a hunter, I've shot down many prey over the years.
context: I felt it more strongly than I ever had before.\However, I'm experiencing that feeling again right now.\Once again, my blood has been set alight as it pumps through this mechanical heart of mine.\And now, you're telling me to run?\That would be cruel.\From here on, it won't just be a game.\That's exactly right.\As a hunter, I've shot down many prey over the years. response:	But now, I want to confront that man not as a hunter, but as a duelist.
context: However, I'm experiencing that feeling again right now.\Once again, my blood has been set alight as it pumps through this mechanical heart of mine.\And now, you're telling me to run?\That would be cruel.\From here on, it won't just be a game.\That's exactly right.\As a hunter, I've shot down many prey over the years.\But now, I want to confront that man not as a hunter, but as a duelist. response:	Makishima...
context: Once again, my blood has been set alight as it pumps through this mechanical heart of mine.\And now, you're telling me to run?\That would be cruel.\From here on, it won't just be a game.\That's exactly right.\As a hunter, I've shot down many prey over the years.\But now, I want to confront that man not as a hunter, but as a duelist.\Makishima... response:	I'm sure you didn't mess around with my game just to see me turn tail here, did you?
context: And now, you're telling me to run?\That would be cruel.\From here on, it won't just be a game.\That's exactly right.\As a hunter, I've shot down many prey over the years.\But now, I want to confront that man not as a hunter, but as a duelist.\Makishima...\I'm sure you didn't mess around with my game just to see me turn tail here, did you? response:	You're exactly right.
context: That would be cruel.\From here on, it won't just be a game.\That's exactly right.\As a hunter, I've shot down many prey over the years.\But now, I want to confront that man not as a hunter, but as a duelist.\Makishima...\I'm sure you didn't mess around with my game just to see me turn tail here, did you?\You're exactly right. response:	I'll witness your life's splendor until the very end.
context: From here on, it won't just be a game.\That's exactly right.\As a hunter, I've shot down many prey over the years.\But now, I want to confront that man not as a hunter, but as a duelist.\Makishima...\I'm sure you didn't mess around with my game just to see me turn tail here, did you?\You're exactly right.\I'll witness your life's splendor until the very end. response:	It'll be checkmate for you soon, Enforcer.
context: That's exactly right.\As a hunter, I've shot down many prey over the years.\But now, I want to confront that man not as a hunter, but as a duelist.\Makishima...\I'm sure you didn't mess around with my game just to see me turn tail here, did you?\You're exactly right.\I'll witness your life's splendor until the very end.\It'll be checkmate for you soon, Enforcer. response:	Crime Coefficient is 328.
context: As a hunter, I've shot down many prey over the years.\But now, I want to confront that man not as a hunter, but as a duelist.\Makishima...\I'm sure you didn't mess around with my game just to see me turn tail here, did you?\You're exactly right.\I'll witness your life's splendor until the very end.\It'll be checkmate for you soon, Enforcer.\Crime Coefficient is 328. response:	He's a target for enforcement action.
context: But now, I want to confront that man not as a hunter, but as a duelist.\Makishima...\I'm sure you didn't mess around with my game just to see me turn tail here, did you?\You're exactly right.\I'll witness your life's splendor until the very end.\It'll be checkmate for you soon, Enforcer.\Crime Coefficient is 328.\He's a target for enforcement action. response:	Amazing... We did it!
context: Makishima...\I'm sure you didn't mess around with my game just to see me turn tail here, did you?\You're exactly right.\I'll witness your life's splendor until the very end.\It'll be checkmate for you soon, Enforcer.\Crime Coefficient is 328.\He's a target for enforcement action.\Amazing... We did it! response:	We won!
context: I'm sure you didn't mess around with my game just to see me turn tail here, did you?\You're exactly right.\I'll witness your life's splendor until the very end.\It'll be checkmate for you soon, Enforcer.\Crime Coefficient is 328.\He's a target for enforcement action.\Amazing... We did it!\We won! response:	I'm sorry... for getting you to do something so reckless.
context: You're exactly right.\I'll witness your life's splendor until the very end.\It'll be checkmate for you soon, Enforcer.\Crime Coefficient is 328.\He's a target for enforcement action.\Amazing... We did it!\We won!\I'm sorry... for getting you to do something so reckless. response:	Once you get out of here, make sure you get therapy right away.
context: I'll witness your life's splendor until the very end.\It'll be checkmate for you soon, Enforcer.\Crime Coefficient is 328.\He's a target for enforcement action.\Amazing... We did it!\We won!\I'm sorry... for getting you to do something so reckless.\Once you get out of here, make sure you get therapy right away. response:	You saw... too many things you shouldn't have.
context: It'll be checkmate for you soon, Enforcer.\Crime Coefficient is 328.\He's a target for enforcement action.\Amazing... We did it!\We won!\I'm sorry... for getting you to do something so reckless.\Once you get out of here, make sure you get therapy right away.\You saw... too many things you shouldn't have. response:	That's okay. You were wonderful, Mr. Kougami.
context: Crime Coefficient is 328.\He's a target for enforcement action.\Amazing... We did it!\We won!\I'm sorry... for getting you to do something so reckless.\Once you get out of here, make sure you get therapy right away.\You saw... too many things you shouldn't have.\That's okay. You were wonderful, Mr. Kougami. response:	It almost makes me want to become a latent criminal too.
context: He's a target for enforcement action.\Amazing... We did it!\We won!\I'm sorry... for getting you to do something so reckless.\Once you get out of here, make sure you get therapy right away.\You saw... too many things you shouldn't have.\That's okay. You were wonderful, Mr. Kougami.\It almost makes me want to become a latent criminal too. response:	Don't be stupid.
context: Amazing... We did it!\We won!\I'm sorry... for getting you to do something so reckless.\Once you get out of here, make sure you get therapy right away.\You saw... too many things you shouldn't have.\That's okay. You were wonderful, Mr. Kougami.\It almost makes me want to become a latent criminal too.\Don't be stupid. response:	Stop it!
context: We won!\I'm sorry... for getting you to do something so reckless.\Once you get out of here, make sure you get therapy right away.\You saw... too many things you shouldn't have.\That's okay. You were wonderful, Mr. Kougami.\It almost makes me want to become a latent criminal too.\Don't be stupid.\Stop it! response:	Let me go!
context: I'm sorry... for getting you to do something so reckless.\Once you get out of here, make sure you get therapy right away.\You saw... too many things you shouldn't have.\That's okay. You were wonderful, Mr. Kougami.\It almost makes me want to become a latent criminal too.\Don't be stupid.\Stop it!\Let me go! response:	I'd have loved to sit here and talk with you until the crack of dawn, but you don't seem very well.
context: Once you get out of here, make sure you get therapy right away.\You saw... too many things you shouldn't have.\That's okay. You were wonderful, Mr. Kougami.\It almost makes me want to become a latent criminal too.\Don't be stupid.\Stop it!\Let me go!\I'd have loved to sit here and talk with you until the crack of dawn, but you don't seem very well. response:	Until we meet again.
