context: August response:	I dunno about tomorrow.
context: Call my cell if you need anything.\We'll squeak by tonight.\Let's go.\Daikichi!\It's hot...\It's like ice.\You're too cold.\Well, if I turn off the AC, the boys mess up the manuscript with their sweat. response:	The body can cool down from stress, too...
context: We'll squeak by tonight.\Let's go.\Daikichi!\It's hot...\It's like ice.\You're too cold.\Well, if I turn off the AC, the boys mess up the manuscript with their sweat.\The body can cool down from stress, too... response:	Oh yeah?
context: Let's go.\Daikichi!\It's hot...\It's like ice.\You're too cold.\Well, if I turn off the AC, the boys mess up the manuscript with their sweat.\The body can cool down from stress, too...\Oh yeah? response:	About that new offer you were talking about the other day...
context: Daikichi!\It's hot...\It's like ice.\You're too cold.\Well, if I turn off the AC, the boys mess up the manuscript with their sweat.\The body can cool down from stress, too...\Oh yeah?\About that new offer you were talking about the other day... response:	I don't think letting the quality of your current work drop
context: It's hot...\It's like ice.\You're too cold.\Well, if I turn off the AC, the boys mess up the manuscript with their sweat.\The body can cool down from stress, too...\Oh yeah?\About that new offer you were talking about the other day...\I don't think letting the quality of your current work drop response:	is worth taking it on...
context: It's like ice.\You're too cold.\Well, if I turn off the AC, the boys mess up the manuscript with their sweat.\The body can cool down from stress, too...\Oh yeah?\About that new offer you were talking about the other day...\I don't think letting the quality of your current work drop\is worth taking it on... response:	But Ma-chan, you don't really have a strong constitution or will.
context: You're too cold.\Well, if I turn off the AC, the boys mess up the manuscript with their sweat.\The body can cool down from stress, too...\Oh yeah?\About that new offer you were talking about the other day...\I don't think letting the quality of your current work drop\is worth taking it on...\But Ma-chan, you don't really have a strong constitution or will. response:	And you're making a decent living as it is,
context: Well, if I turn off the AC, the boys mess up the manuscript with their sweat.\The body can cool down from stress, too...\Oh yeah?\About that new offer you were talking about the other day...\I don't think letting the quality of your current work drop\is worth taking it on...\But Ma-chan, you don't really have a strong constitution or will.\And you're making a decent living as it is, response:	so there's no need to be greedy.
context: The body can cool down from stress, too...\Oh yeah?\About that new offer you were talking about the other day...\I don't think letting the quality of your current work drop\is worth taking it on...\But Ma-chan, you don't really have a strong constitution or will.\And you're making a decent living as it is,\so there's no need to be greedy. response:	But...
context: Oh yeah?\About that new offer you were talking about the other day...\I don't think letting the quality of your current work drop\is worth taking it on...\But Ma-chan, you don't really have a strong constitution or will.\And you're making a decent living as it is,\so there's no need to be greedy.\But... response:	What?
context: About that new offer you were talking about the other day...\I don't think letting the quality of your current work drop\is worth taking it on...\But Ma-chan, you don't really have a strong constitution or will.\And you're making a decent living as it is,\so there's no need to be greedy.\But...\What? response:	Right now, the spotlight's on me,
context: I don't think letting the quality of your current work drop\is worth taking it on...\But Ma-chan, you don't really have a strong constitution or will.\And you're making a decent living as it is,\so there's no need to be greedy.\But...\What?\Right now, the spotlight's on me, response:	but who knows what'll happen next year.
context: is worth taking it on...\But Ma-chan, you don't really have a strong constitution or will.\And you're making a decent living as it is,\so there's no need to be greedy.\But...\What?\Right now, the spotlight's on me,\but who knows what'll happen next year. response:	There'll be younger artists coming out of the woodwork.
context: But Ma-chan, you don't really have a strong constitution or will.\And you're making a decent living as it is,\so there's no need to be greedy.\But...\What?\Right now, the spotlight's on me,\but who knows what'll happen next year.\There'll be younger artists coming out of the woodwork. response:	They could turn their back on me, just like that.
context: And you're making a decent living as it is,\so there's no need to be greedy.\But...\What?\Right now, the spotlight's on me,\but who knows what'll happen next year.\There'll be younger artists coming out of the woodwork.\They could turn their back on me, just like that. response:	Ma-chan, you worry too much about what could go wrong.
context: so there's no need to be greedy.\But...\What?\Right now, the spotlight's on me,\but who knows what'll happen next year.\There'll be younger artists coming out of the woodwork.\They could turn their back on me, just like that.\Ma-chan, you worry too much about what could go wrong. response:	It's unhealthy.
context: But...\What?\Right now, the spotlight's on me,\but who knows what'll happen next year.\There'll be younger artists coming out of the woodwork.\They could turn their back on me, just like that.\Ma-chan, you worry too much about what could go wrong.\It's unhealthy. response:	You have an ink mark on your face again.
context: What?\Right now, the spotlight's on me,\but who knows what'll happen next year.\There'll be younger artists coming out of the woodwork.\They could turn their back on me, just like that.\Ma-chan, you worry too much about what could go wrong.\It's unhealthy.\You have an ink mark on your face again. response:	Oh yeah?
context: Right now, the spotlight's on me,\but who knows what'll happen next year.\There'll be younger artists coming out of the woodwork.\They could turn their back on me, just like that.\Ma-chan, you worry too much about what could go wrong.\It's unhealthy.\You have an ink mark on your face again.\Oh yeah? response:	Tch...
context: but who knows what'll happen next year.\There'll be younger artists coming out of the woodwork.\They could turn their back on me, just like that.\Ma-chan, you worry too much about what could go wrong.\It's unhealthy.\You have an ink mark on your face again.\Oh yeah?\Tch... response:	Ma-chan, you're a girl, so...
context: There'll be younger artists coming out of the woodwork.\They could turn their back on me, just like that.\Ma-chan, you worry too much about what could go wrong.\It's unhealthy.\You have an ink mark on your face again.\Oh yeah?\Tch...\Ma-chan, you're a girl, so... response:	I'm not a girl!
context: They could turn their back on me, just like that.\Ma-chan, you worry too much about what could go wrong.\It's unhealthy.\You have an ink mark on your face again.\Oh yeah?\Tch...\Ma-chan, you're a girl, so...\I'm not a girl! response:	I'm a manga artist!
context: Ma-chan, you worry too much about what could go wrong.\It's unhealthy.\You have an ink mark on your face again.\Oh yeah?\Tch...\Ma-chan, you're a girl, so...\I'm not a girl!\I'm a manga artist! response:	I'm going home to work!
context: It's unhealthy.\You have an ink mark on your face again.\Oh yeah?\Tch...\Ma-chan, you're a girl, so...\I'm not a girl!\I'm a manga artist!\I'm going home to work! response:	I'm sorry for making a scene...
context: You have an ink mark on your face again.\Oh yeah?\Tch...\Ma-chan, you're a girl, so...\I'm not a girl!\I'm a manga artist!\I'm going home to work!\I'm sorry for making a scene... response:	Jeez...
context: Oh yeah?\Tch...\Ma-chan, you're a girl, so...\I'm not a girl!\I'm a manga artist!\I'm going home to work!\I'm sorry for making a scene...\Jeez... response:	Pain in the ass to go to work...
context: Tch...\Ma-chan, you're a girl, so...\I'm not a girl!\I'm a manga artist!\I'm going home to work!\I'm sorry for making a scene...\Jeez...\Pain in the ass to go to work... response:	Good morning...
context: Ma-chan, you're a girl, so...\I'm not a girl!\I'm a manga artist!\I'm going home to work!\I'm sorry for making a scene...\Jeez...\Pain in the ass to go to work...\Good morning... response:	Morning...
context: I'm not a girl!\I'm a manga artist!\I'm going home to work!\I'm sorry for making a scene...\Jeez...\Pain in the ass to go to work...\Good morning...\Morning... response:	I called you before.
context: I'm a manga artist!\I'm going home to work!\I'm sorry for making a scene...\Jeez...\Pain in the ass to go to work...\Good morning...\Morning...\I called you before. response:	Sorry. It was just so hot...
context: I'm going home to work!\I'm sorry for making a scene...\Jeez...\Pain in the ass to go to work...\Good morning...\Morning...\I called you before.\Sorry. It was just so hot... response:	Are you cooling off by doing that?
context: I'm sorry for making a scene...\Jeez...\Pain in the ass to go to work...\Good morning...\Morning...\I called you before.\Sorry. It was just so hot...\Are you cooling off by doing that? response:	Yeah.
context: Jeez...\Pain in the ass to go to work...\Good morning...\Morning...\I called you before.\Sorry. It was just so hot...\Are you cooling off by doing that?\Yeah. response:	Wanna make your lunch?
context: Pain in the ass to go to work...\Good morning...\Morning...\I called you before.\Sorry. It was just so hot...\Are you cooling off by doing that?\Yeah.\Wanna make your lunch? response:	Yeah!
context: Good morning...\Morning...\I called you before.\Sorry. It was just so hot...\Are you cooling off by doing that?\Yeah.\Wanna make your lunch?\Yeah! response:	Hey, you!
context: Morning...\I called you before.\Sorry. It was just so hot...\Are you cooling off by doing that?\Yeah.\Wanna make your lunch?\Yeah!\Hey, you! response:	Give me a hand here!
context: I called you before.\Sorry. It was just so hot...\Are you cooling off by doing that?\Yeah.\Wanna make your lunch?\Yeah!\Hey, you!\Give me a hand here! response:	Okay!
context: Sorry. It was just so hot...\Are you cooling off by doing that?\Yeah.\Wanna make your lunch?\Yeah!\Hey, you!\Give me a hand here!\Okay! response:	Rin's summer vacation has started.
context: Are you cooling off by doing that?\Yeah.\Wanna make your lunch?\Yeah!\Hey, you!\Give me a hand here!\Okay!\Rin's summer vacation has started. response:	In the morning, we make her lunch together,
context: Yeah.\Wanna make your lunch?\Yeah!\Hey, you!\Give me a hand here!\Okay!\Rin's summer vacation has started.\In the morning, we make her lunch together, response:	and then Rin goes to a day-care center.
context: Wanna make your lunch?\Yeah!\Hey, you!\Give me a hand here!\Okay!\Rin's summer vacation has started.\In the morning, we make her lunch together,\and then Rin goes to a day-care center. response:	How about we visit Grandpa's grave next Saturday?
context: Yeah!\Hey, you!\Give me a hand here!\Okay!\Rin's summer vacation has started.\In the morning, we make her lunch together,\and then Rin goes to a day-care center.\How about we visit Grandpa's grave next Saturday? response:	It's almost O-Bon,
context: Hey, you!\Give me a hand here!\Okay!\Rin's summer vacation has started.\In the morning, we make her lunch together,\and then Rin goes to a day-care center.\How about we visit Grandpa's grave next Saturday?\It's almost O-Bon, response:	and since it's your...
context: Give me a hand here!\Okay!\Rin's summer vacation has started.\In the morning, we make her lunch together,\and then Rin goes to a day-care center.\How about we visit Grandpa's grave next Saturday?\It's almost O-Bon,\and since it's your... response:	What? You don't wanna go?
context: Okay!\Rin's summer vacation has started.\In the morning, we make her lunch together,\and then Rin goes to a day-care center.\How about we visit Grandpa's grave next Saturday?\It's almost O-Bon,\and since it's your...\What? You don't wanna go? response:	After all, the bellflowers haven't bloomed yet...
context: Rin's summer vacation has started.\In the morning, we make her lunch together,\and then Rin goes to a day-care center.\How about we visit Grandpa's grave next Saturday?\It's almost O-Bon,\and since it's your...\What? You don't wanna go?\After all, the bellflowers haven't bloomed yet... response:	It looks like it'll take a little more time.
context: In the morning, we make her lunch together,\and then Rin goes to a day-care center.\How about we visit Grandpa's grave next Saturday?\It's almost O-Bon,\and since it's your...\What? You don't wanna go?\After all, the bellflowers haven't bloomed yet...\It looks like it'll take a little more time. response:	Well, this time, we'll buy flowers at a florist,
context: and then Rin goes to a day-care center.\How about we visit Grandpa's grave next Saturday?\It's almost O-Bon,\and since it's your...\What? You don't wanna go?\After all, the bellflowers haven't bloomed yet...\It looks like it'll take a little more time.\Well, this time, we'll buy flowers at a florist, response:	and we can go again when your flowers bloom.
context: How about we visit Grandpa's grave next Saturday?\It's almost O-Bon,\and since it's your...\What? You don't wanna go?\After all, the bellflowers haven't bloomed yet...\It looks like it'll take a little more time.\Well, this time, we'll buy flowers at a florist,\and we can go again when your flowers bloom. response:	I guess...
context: It's almost O-Bon,\and since it's your...\What? You don't wanna go?\After all, the bellflowers haven't bloomed yet...\It looks like it'll take a little more time.\Well, this time, we'll buy flowers at a florist,\and we can go again when your flowers bloom.\I guess... response:	You'd make Grandpa happy bringing him the bellflowers that you grew.
context: and since it's your...\What? You don't wanna go?\After all, the bellflowers haven't bloomed yet...\It looks like it'll take a little more time.\Well, this time, we'll buy flowers at a florist,\and we can go again when your flowers bloom.\I guess...\You'd make Grandpa happy bringing him the bellflowers that you grew. response:	See? That's what I thought!
context: What? You don't wanna go?\After all, the bellflowers haven't bloomed yet...\It looks like it'll take a little more time.\Well, this time, we'll buy flowers at a florist,\and we can go again when your flowers bloom.\I guess...\You'd make Grandpa happy bringing him the bellflowers that you grew.\See? That's what I thought! response:	But what would make Grandpa happiest is for you to visit.
context: After all, the bellflowers haven't bloomed yet...\It looks like it'll take a little more time.\Well, this time, we'll buy flowers at a florist,\and we can go again when your flowers bloom.\I guess...\You'd make Grandpa happy bringing him the bellflowers that you grew.\See? That's what I thought!\But what would make Grandpa happiest is for you to visit. response:	That's number one.
context: It looks like it'll take a little more time.\Well, this time, we'll buy flowers at a florist,\and we can go again when your flowers bloom.\I guess...\You'd make Grandpa happy bringing him the bellflowers that you grew.\See? That's what I thought!\But what would make Grandpa happiest is for you to visit.\That's number one. response:	Yeah...
context: Well, this time, we'll buy flowers at a florist,\and we can go again when your flowers bloom.\I guess...\You'd make Grandpa happy bringing him the bellflowers that you grew.\See? That's what I thought!\But what would make Grandpa happiest is for you to visit.\That's number one.\Yeah... response:	Okay.
context: and we can go again when your flowers bloom.\I guess...\You'd make Grandpa happy bringing him the bellflowers that you grew.\See? That's what I thought!\But what would make Grandpa happiest is for you to visit.\That's number one.\Yeah...\Okay. response:	If Rin weren't here, I probably wouldn't be thinking of Grandpa like this.
context: I guess...\You'd make Grandpa happy bringing him the bellflowers that you grew.\See? That's what I thought!\But what would make Grandpa happiest is for you to visit.\That's number one.\Yeah...\Okay.\If Rin weren't here, I probably wouldn't be thinking of Grandpa like this. response:	Rin-chan! Rin-chan!
context: You'd make Grandpa happy bringing him the bellflowers that you grew.\See? That's what I thought!\But what would make Grandpa happiest is for you to visit.\That's number one.\Yeah...\Okay.\If Rin weren't here, I probably wouldn't be thinking of Grandpa like this.\Rin-chan! Rin-chan! response:	Kouki-kun!
context: See? That's what I thought!\But what would make Grandpa happiest is for you to visit.\That's number one.\Yeah...\Okay.\If Rin weren't here, I probably wouldn't be thinking of Grandpa like this.\Rin-chan! Rin-chan!\Kouki-kun! response:	If you move, it screws the whole thing up!
context: But what would make Grandpa happiest is for you to visit.\That's number one.\Yeah...\Okay.\If Rin weren't here, I probably wouldn't be thinking of Grandpa like this.\Rin-chan! Rin-chan!\Kouki-kun!\If you move, it screws the whole thing up! response:	Whoopsie!
context: That's number one.\Yeah...\Okay.\If Rin weren't here, I probably wouldn't be thinking of Grandpa like this.\Rin-chan! Rin-chan!\Kouki-kun!\If you move, it screws the whole thing up!\Whoopsie! response:	Why is your hair so fine to begin with?
context: Yeah...\Okay.\If Rin weren't here, I probably wouldn't be thinking of Grandpa like this.\Rin-chan! Rin-chan!\Kouki-kun!\If you move, it screws the whole thing up!\Whoopsie!\Why is your hair so fine to begin with? response:	Apricot
context: Okay.\If Rin weren't here, I probably wouldn't be thinking of Grandpa like this.\Rin-chan! Rin-chan!\Kouki-kun!\If you move, it screws the whole thing up!\Whoopsie!\Why is your hair so fine to begin with?\Apricot response:	I dunno!
context: If Rin weren't here, I probably wouldn't be thinking of Grandpa like this.\Rin-chan! Rin-chan!\Kouki-kun!\If you move, it screws the whole thing up!\Whoopsie!\Why is your hair so fine to begin with?\Apricot\I dunno! response:	What?
context: Rin-chan! Rin-chan!\Kouki-kun!\If you move, it screws the whole thing up!\Whoopsie!\Why is your hair so fine to begin with?\Apricot\I dunno!\What? response:	Wait a second!
context: Kouki-kun!\If you move, it screws the whole thing up!\Whoopsie!\Why is your hair so fine to begin with?\Apricot\I dunno!\What?\Wait a second! response:	Hey! We're gonna be late!
context: If you move, it screws the whole thing up!\Whoopsie!\Why is your hair so fine to begin with?\Apricot\I dunno!\What?\Wait a second!\Hey! We're gonna be late! response:	What's with him?
context: Whoopsie!\Why is your hair so fine to begin with?\Apricot\I dunno!\What?\Wait a second!\Hey! We're gonna be late!\What's with him? response:	Daikichi, how many more days?
context: Why is your hair so fine to begin with?\Apricot\I dunno!\What?\Wait a second!\Hey! We're gonna be late!\What's with him?\Daikichi, how many more days? response:	O-Bon Festival
context: Apricot\I dunno!\What?\Wait a second!\Hey! We're gonna be late!\What's with him?\Daikichi, how many more days?\O-Bon Festival response:	About ten, I guess...
context: I dunno!\What?\Wait a second!\Hey! We're gonna be late!\What's with him?\Daikichi, how many more days?\O-Bon Festival\About ten, I guess... response:	I found one!
context: What?\Wait a second!\Hey! We're gonna be late!\What's with him?\Daikichi, how many more days?\O-Bon Festival\About ten, I guess...\I found one! response:	A cicada shell!
context: Wait a second!\Hey! We're gonna be late!\What's with him?\Daikichi, how many more days?\O-Bon Festival\About ten, I guess...\I found one!\A cicada shell! response:	A shell?
context: Hey! We're gonna be late!\What's with him?\Daikichi, how many more days?\O-Bon Festival\About ten, I guess...\I found one!\A cicada shell!\A shell? response:	Huh. This brings back memories...
context: What's with him?\Daikichi, how many more days?\O-Bon Festival\About ten, I guess...\I found one!\A cicada shell!\A shell?\Huh. This brings back memories... response:	I've got a bunch of'em in here.
context: Daikichi, how many more days?\O-Bon Festival\About ten, I guess...\I found one!\A cicada shell!\A shell?\Huh. This brings back memories...\I've got a bunch of'em in here. response:	Gross!
context: O-Bon Festival\About ten, I guess...\I found one!\A cicada shell!\A shell?\Huh. This brings back memories...\I've got a bunch of'em in here.\Gross! response:	Don't shake'em!
context: About ten, I guess...\I found one!\A cicada shell!\A shell?\Huh. This brings back memories...\I've got a bunch of'em in here.\Gross!\Don't shake'em! response:	We're gonna be late!
context: I found one!\A cicada shell!\A shell?\Huh. This brings back memories...\I've got a bunch of'em in here.\Gross!\Don't shake'em!\We're gonna be late! response:	Hey!
context: A cicada shell!\A shell?\Huh. This brings back memories...\I've got a bunch of'em in here.\Gross!\Don't shake'em!\We're gonna be late!\Hey! response:	Watch out for cars!
context: A shell?\Huh. This brings back memories...\I've got a bunch of'em in here.\Gross!\Don't shake'em!\We're gonna be late!\Hey!\Watch out for cars! response:	I've been here a lot of times before.
context: Huh. This brings back memories...\I've got a bunch of'em in here.\Gross!\Don't shake'em!\We're gonna be late!\Hey!\Watch out for cars!\I've been here a lot of times before. response:	With Grandpa?
context: I've got a bunch of'em in here.\Gross!\Don't shake'em!\We're gonna be late!\Hey!\Watch out for cars!\I've been here a lot of times before.\With Grandpa? response:	Yeah.
context: Gross!\Don't shake'em!\We're gonna be late!\Hey!\Watch out for cars!\I've been here a lot of times before.\With Grandpa?\Yeah. response:	I see. Grandma's laid to rest here too, come to think of it.
context: Don't shake'em!\We're gonna be late!\Hey!\Watch out for cars!\I've been here a lot of times before.\With Grandpa?\Yeah.\I see. Grandma's laid to rest here too, come to think of it. response:	Grandpa's grandma?
context: We're gonna be late!\Hey!\Watch out for cars!\I've been here a lot of times before.\With Grandpa?\Yeah.\I see. Grandma's laid to rest here too, come to think of it.\Grandpa's grandma? response:	No, my grandma.
context: Hey!\Watch out for cars!\I've been here a lot of times before.\With Grandpa?\Yeah.\I see. Grandma's laid to rest here too, come to think of it.\Grandpa's grandma?\No, my grandma. response:	Um, Grandpa and Grandma's child is my mom.
context: Watch out for cars!\I've been here a lot of times before.\With Grandpa?\Yeah.\I see. Grandma's laid to rest here too, come to think of it.\Grandpa's grandma?\No, my grandma.\Um, Grandpa and Grandma's child is my mom. response:	And I'm her son.
context: I've been here a lot of times before.\With Grandpa?\Yeah.\I see. Grandma's laid to rest here too, come to think of it.\Grandpa's grandma?\No, my grandma.\Um, Grandpa and Grandma's child is my mom.\And I'm her son. response:	Your mother is Grandpa's daughter!
context: With Grandpa?\Yeah.\I see. Grandma's laid to rest here too, come to think of it.\Grandpa's grandma?\No, my grandma.\Um, Grandpa and Grandma's child is my mom.\And I'm her son.\Your mother is Grandpa's daughter! response:	But...
context: Yeah.\I see. Grandma's laid to rest here too, come to think of it.\Grandpa's grandma?\No, my grandma.\Um, Grandpa and Grandma's child is my mom.\And I'm her son.\Your mother is Grandpa's daughter!\But... response:	Then that makes me your mother's sister...
context: I see. Grandma's laid to rest here too, come to think of it.\Grandpa's grandma?\No, my grandma.\Um, Grandpa and Grandma's child is my mom.\And I'm her son.\Your mother is Grandpa's daughter!\But...\Then that makes me your mother's sister... response:	Crap! I don't want her to go in this direction...
context: Grandpa's grandma?\No, my grandma.\Um, Grandpa and Grandma's child is my mom.\And I'm her son.\Your mother is Grandpa's daughter!\But...\Then that makes me your mother's sister...\Crap! I don't want her to go in this direction... response:	Over here!
context: No, my grandma.\Um, Grandpa and Grandma's child is my mom.\And I'm her son.\Your mother is Grandpa's daughter!\But...\Then that makes me your mother's sister...\Crap! I don't want her to go in this direction...\Over here! response:	Here it is!
context: Um, Grandpa and Grandma's child is my mom.\And I'm her son.\Your mother is Grandpa's daughter!\But...\Then that makes me your mother's sister...\Crap! I don't want her to go in this direction...\Over here!\Here it is! response:	Kaga Family Grave
context: And I'm her son.\Your mother is Grandpa's daughter!\But...\Then that makes me your mother's sister...\Crap! I don't want her to go in this direction...\Over here!\Here it is!\Kaga Family Grave response:	The grave's wet.
context: Your mother is Grandpa's daughter!\But...\Then that makes me your mother's sister...\Crap! I don't want her to go in this direction...\Over here!\Here it is!\Kaga Family Grave\The grave's wet. response:	That jar...
context: But...\Then that makes me your mother's sister...\Crap! I don't want her to go in this direction...\Over here!\Here it is!\Kaga Family Grave\The grave's wet.\That jar... response:	Masako-san had it...
context: Then that makes me your mother's sister...\Crap! I don't want her to go in this direction...\Over here!\Here it is!\Kaga Family Grave\The grave's wet.\That jar...\Masako-san had it... response:	Ma...
context: Crap! I don't want her to go in this direction...\Over here!\Here it is!\Kaga Family Grave\The grave's wet.\That jar...\Masako-san had it...\Ma... response:	What the hell? When she didn't even come to his funeral!
context: Over here!\Here it is!\Kaga Family Grave\The grave's wet.\That jar...\Masako-san had it...\Ma...\What the hell? When she didn't even come to his funeral! response:	Rin, I'll be right back!
