context: Not done yet? response:	Just a little more. Wait just a bit longer.
context: Yeah\Sakura-chan?\Good evening\Yukito-san\What's going on? This late at night\Umm'Let's see\I thought I would go look at the moon\There are a lot of stars out too response:	I wonder if Touya is home
context: Sakura-chan?\Good evening\Yukito-san\What's going on? This late at night\Umm'Let's see\I thought I would go look at the moon\There are a lot of stars out too\I wonder if Touya is home response:	Yes, he is home
context: Good evening\Yukito-san\What's going on? This late at night\Umm'Let's see\I thought I would go look at the moon\There are a lot of stars out too\I wonder if Touya is home\Yes, he is home response:	Umm, about my brother
context: Yukito-san\What's going on? This late at night\Umm'Let's see\I thought I would go look at the moon\There are a lot of stars out too\I wonder if Touya is home\Yes, he is home\Umm, about my brother response:	Sakura-chan is asleep upstairs.
context: What's going on? This late at night\Umm'Let's see\I thought I would go look at the moon\There are a lot of stars out too\I wonder if Touya is home\Yes, he is home\Umm, about my brother\Sakura-chan is asleep upstairs. response:	I can't see her tonight
context: Umm'Let's see\I thought I would go look at the moon\There are a lot of stars out too\I wonder if Touya is home\Yes, he is home\Umm, about my brother\Sakura-chan is asleep upstairs.\I can't see her tonight response:	Yukito-san
context: I thought I would go look at the moon\There are a lot of stars out too\I wonder if Touya is home\Yes, he is home\Umm, about my brother\Sakura-chan is asleep upstairs.\I can't see her tonight\Yukito-san response:	But, don't stay out too late
context: There are a lot of stars out too\I wonder if Touya is home\Yes, he is home\Umm, about my brother\Sakura-chan is asleep upstairs.\I can't see her tonight\Yukito-san\But, don't stay out too late response:	Yeah
context: I wonder if Touya is home\Yes, he is home\Umm, about my brother\Sakura-chan is asleep upstairs.\I can't see her tonight\Yukito-san\But, don't stay out too late\Yeah response:	Swinging from depression to being happy.
context: Yes, he is home\Umm, about my brother\Sakura-chan is asleep upstairs.\I can't see her tonight\Yukito-san\But, don't stay out too late\Yeah\Swinging from depression to being happy. response:	What a busy person you are
context: Umm, about my brother\Sakura-chan is asleep upstairs.\I can't see her tonight\Yukito-san\But, don't stay out too late\Yeah\Swinging from depression to being happy.\What a busy person you are response:	I wonder if he thought I was rude
context: Sakura-chan is asleep upstairs.\I can't see her tonight\Yukito-san\But, don't stay out too late\Yeah\Swinging from depression to being happy.\What a busy person you are\I wonder if he thought I was rude response:	But, then he was looking out for me
context: I can't see her tonight\Yukito-san\But, don't stay out too late\Yeah\Swinging from depression to being happy.\What a busy person you are\I wonder if he thought I was rude\But, then he was looking out for me response:	But, then
context: Yukito-san\But, don't stay out too late\Yeah\Swinging from depression to being happy.\What a busy person you are\I wonder if he thought I was rude\But, then he was looking out for me\But, then response:	How idiotic
context: But, don't stay out too late\Yeah\Swinging from depression to being happy.\What a busy person you are\I wonder if he thought I was rude\But, then he was looking out for me\But, then\How idiotic response:	Hurry up, Tomoyo is waiting for us
context: Yeah\Swinging from depression to being happy.\What a busy person you are\I wonder if he thought I was rude\But, then he was looking out for me\But, then\How idiotic\Hurry up, Tomoyo is waiting for us response:	Yukito-san
context: Swinging from depression to being happy.\What a busy person you are\I wonder if he thought I was rude\But, then he was looking out for me\But, then\How idiotic\Hurry up, Tomoyo is waiting for us\Yukito-san response:	Silent?
context: What a busy person you are\I wonder if he thought I was rude\But, then he was looking out for me\But, then\How idiotic\Hurry up, Tomoyo is waiting for us\Yukito-san\Silent? response:	That means without sound, right?
context: I wonder if he thought I was rude\But, then he was looking out for me\But, then\How idiotic\Hurry up, Tomoyo is waiting for us\Yukito-san\Silent?\That means without sound, right? response:	Exactly,
context: But, then he was looking out for me\But, then\How idiotic\Hurry up, Tomoyo is waiting for us\Yukito-san\Silent?\That means without sound, right?\Exactly, response:	It's a card that hates loud things
context: But, then\How idiotic\Hurry up, Tomoyo is waiting for us\Yukito-san\Silent?\That means without sound, right?\Exactly,\It's a card that hates loud things response:	That's why we think it's in a quiet place like a museum
context: How idiotic\Hurry up, Tomoyo is waiting for us\Yukito-san\Silent?\That means without sound, right?\Exactly,\It's a card that hates loud things\That's why we think it's in a quiet place like a museum response:	What is Silent's power?
context: Hurry up, Tomoyo is waiting for us\Yukito-san\Silent?\That means without sound, right?\Exactly,\It's a card that hates loud things\That's why we think it's in a quiet place like a museum\What is Silent's power? response:	Today it only made the sound disappear
context: Yukito-san\Silent?\That means without sound, right?\Exactly,\It's a card that hates loud things\That's why we think it's in a quiet place like a museum\What is Silent's power?\Today it only made the sound disappear response:	That's not all.
context: Silent?\That means without sound, right?\Exactly,\It's a card that hates loud things\That's why we think it's in a quiet place like a museum\What is Silent's power?\Today it only made the sound disappear\That's not all. response:	When she goes shhh at the same time as the sound goes away
context: That means without sound, right?\Exactly,\It's a card that hates loud things\That's why we think it's in a quiet place like a museum\What is Silent's power?\Today it only made the sound disappear\That's not all.\When she goes shhh at the same time as the sound goes away response:	At the same time, what?
context: Exactly,\It's a card that hates loud things\That's why we think it's in a quiet place like a museum\What is Silent's power?\Today it only made the sound disappear\That's not all.\When she goes shhh at the same time as the sound goes away\At the same time, what? response:	I don't really know
context: It's a card that hates loud things\That's why we think it's in a quiet place like a museum\What is Silent's power?\Today it only made the sound disappear\That's not all.\When she goes shhh at the same time as the sound goes away\At the same time, what?\I don't really know response:	And you call yourself the beast of the seal?
context: That's why we think it's in a quiet place like a museum\What is Silent's power?\Today it only made the sound disappear\That's not all.\When she goes shhh at the same time as the sound goes away\At the same time, what?\I don't really know\And you call yourself the beast of the seal? response:	She doesn't really talk,
context: What is Silent's power?\Today it only made the sound disappear\That's not all.\When she goes shhh at the same time as the sound goes away\At the same time, what?\I don't really know\And you call yourself the beast of the seal?\She doesn't really talk, response:	so I don't know her personality
context: Today it only made the sound disappear\That's not all.\When she goes shhh at the same time as the sound goes away\At the same time, what?\I don't really know\And you call yourself the beast of the seal?\She doesn't really talk,\so I don't know her personality response:	Sakura-chan
context: That's not all.\When she goes shhh at the same time as the sound goes away\At the same time, what?\I don't really know\And you call yourself the beast of the seal?\She doesn't really talk,\so I don't know her personality\Sakura-chan response:	Come, let's change
context: When she goes shhh at the same time as the sound goes away\At the same time, what?\I don't really know\And you call yourself the beast of the seal?\She doesn't really talk,\so I don't know her personality\Sakura-chan\Come, let's change response:	I thought so
context: At the same time, what?\I don't really know\And you call yourself the beast of the seal?\She doesn't really talk,\so I don't know her personality\Sakura-chan\Come, let's change\I thought so response:	These clothes are more restrained than the usual
context: I don't really know\And you call yourself the beast of the seal?\She doesn't really talk,\so I don't know her personality\Sakura-chan\Come, let's change\I thought so\These clothes are more restrained than the usual response:	Yes, a cat burglar mustn't stick out
context: And you call yourself the beast of the seal?\She doesn't really talk,\so I don't know her personality\Sakura-chan\Come, let's change\I thought so\These clothes are more restrained than the usual\Yes, a cat burglar mustn't stick out response:	I'm not really stealing anything though
context: She doesn't really talk,\so I don't know her personality\Sakura-chan\Come, let's change\I thought so\These clothes are more restrained than the usual\Yes, a cat burglar mustn't stick out\I'm not really stealing anything though response:	But, you're sneaking into a guarded museum,
context: so I don't know her personality\Sakura-chan\Come, let's change\I thought so\These clothes are more restrained than the usual\Yes, a cat burglar mustn't stick out\I'm not really stealing anything though\But, you're sneaking into a guarded museum, response:	so you have to dress appropriately
context: Sakura-chan\Come, let's change\I thought so\These clothes are more restrained than the usual\Yes, a cat burglar mustn't stick out\I'm not really stealing anything though\But, you're sneaking into a guarded museum,\so you have to dress appropriately response:	What's that?
context: Come, let's change\I thought so\These clothes are more restrained than the usual\Yes, a cat burglar mustn't stick out\I'm not really stealing anything though\But, you're sneaking into a guarded museum,\so you have to dress appropriately\What's that? response:	It's the schedule chart for the museum guards
context: I thought so\These clothes are more restrained than the usual\Yes, a cat burglar mustn't stick out\I'm not really stealing anything though\But, you're sneaking into a guarded museum,\so you have to dress appropriately\What's that?\It's the schedule chart for the museum guards response:	Wow! How did you get that?
context: These clothes are more restrained than the usual\Yes, a cat burglar mustn't stick out\I'm not really stealing anything though\But, you're sneaking into a guarded museum,\so you have to dress appropriately\What's that?\It's the schedule chart for the museum guards\Wow! How did you get that? response:	I went back to the museum earlier
context: Yes, a cat burglar mustn't stick out\I'm not really stealing anything though\But, you're sneaking into a guarded museum,\so you have to dress appropriately\What's that?\It's the schedule chart for the museum guards\Wow! How did you get that?\I went back to the museum earlier response:	and picked it up.
context: I'm not really stealing anything though\But, you're sneaking into a guarded museum,\so you have to dress appropriately\What's that?\It's the schedule chart for the museum guards\Wow! How did you get that?\I went back to the museum earlier\and picked it up. response:	Umm'
context: But, you're sneaking into a guarded museum,\so you have to dress appropriately\What's that?\It's the schedule chart for the museum guards\Wow! How did you get that?\I went back to the museum earlier\and picked it up.\Umm' response:	According to this,
context: so you have to dress appropriately\What's that?\It's the schedule chart for the museum guards\Wow! How did you get that?\I went back to the museum earlier\and picked it up.\Umm'\According to this, response:	it's about an hour from now
context: What's that?\It's the schedule chart for the museum guards\Wow! How did you get that?\I went back to the museum earlier\and picked it up.\Umm'\According to this,\it's about an hour from now response:	when the guard comes to where the problem picture is
context: It's the schedule chart for the museum guards\Wow! How did you get that?\I went back to the museum earlier\and picked it up.\Umm'\According to this,\it's about an hour from now\when the guard comes to where the problem picture is response:	We don't have much time
