context: Hope you understand, Miroku! We can't take her. response:	Yes.
context: were sucked up by the Wind Tunnels in their hands.\In time, I, too, will be sucked up by this hole.\But I made the decision to live with this curse as my strength.\One human taking on demons with the Wind Tunnel.\This Wind Tunnel is a weapon given to me. That's what I decided.\Miroku is trembling.\A lie... Is what he just told me a lie?\To live strong is very difficult. response:	To overcome uncertainty is an enormous task.
context: In time, I, too, will be sucked up by this hole.\But I made the decision to live with this curse as my strength.\One human taking on demons with the Wind Tunnel.\This Wind Tunnel is a weapon given to me. That's what I decided.\Miroku is trembling.\A lie... Is what he just told me a lie?\To live strong is very difficult.\To overcome uncertainty is an enormous task. response:	We were looking for a new place for Koharu to live...
context: But I made the decision to live with this curse as my strength.\One human taking on demons with the Wind Tunnel.\This Wind Tunnel is a weapon given to me. That's what I decided.\Miroku is trembling.\A lie... Is what he just told me a lie?\To live strong is very difficult.\To overcome uncertainty is an enormous task.\We were looking for a new place for Koharu to live... response:	when villagers whose souls had been stolen came and attacked us.
context: One human taking on demons with the Wind Tunnel.\This Wind Tunnel is a weapon given to me. That's what I decided.\Miroku is trembling.\A lie... Is what he just told me a lie?\To live strong is very difficult.\To overcome uncertainty is an enormous task.\We were looking for a new place for Koharu to live...\when villagers whose souls had been stolen came and attacked us. response:	Kill them!
context: This Wind Tunnel is a weapon given to me. That's what I decided.\Miroku is trembling.\A lie... Is what he just told me a lie?\To live strong is very difficult.\To overcome uncertainty is an enormous task.\We were looking for a new place for Koharu to live...\when villagers whose souls had been stolen came and attacked us.\Kill them! response:	Inuyasha is forced to fight them without hurting them.
context: Miroku is trembling.\A lie... Is what he just told me a lie?\To live strong is very difficult.\To overcome uncertainty is an enormous task.\We were looking for a new place for Koharu to live...\when villagers whose souls had been stolen came and attacked us.\Kill them!\Inuyasha is forced to fight them without hurting them. response:	Sango is hit by her own Hiraikotsu!
context: A lie... Is what he just told me a lie?\To live strong is very difficult.\To overcome uncertainty is an enormous task.\We were looking for a new place for Koharu to live...\when villagers whose souls had been stolen came and attacked us.\Kill them!\Inuyasha is forced to fight them without hurting them.\Sango is hit by her own Hiraikotsu! response:	A ghostly white demon steals away Koharu's soul and mine!
context: To live strong is very difficult.\To overcome uncertainty is an enormous task.\We were looking for a new place for Koharu to live...\when villagers whose souls had been stolen came and attacked us.\Kill them!\Inuyasha is forced to fight them without hurting them.\Sango is hit by her own Hiraikotsu!\A ghostly white demon steals away Koharu's soul and mine! response:	Everyone be careful! Watch out for that mirror!
context: To overcome uncertainty is an enormous task.\We were looking for a new place for Koharu to live...\when villagers whose souls had been stolen came and attacked us.\Kill them!\Inuyasha is forced to fight them without hurting them.\Sango is hit by her own Hiraikotsu!\A ghostly white demon steals away Koharu's soul and mine!\Everyone be careful! Watch out for that mirror! response:	Her soul does not fit in...
context: We were looking for a new place for Koharu to live...\when villagers whose souls had been stolen came and attacked us.\Kill them!\Inuyasha is forced to fight them without hurting them.\Sango is hit by her own Hiraikotsu!\A ghostly white demon steals away Koharu's soul and mine!\Everyone be careful! Watch out for that mirror!\Her soul does not fit in... response:	But you cannot move, can you?
context: when villagers whose souls had been stolen came and attacked us.\Kill them!\Inuyasha is forced to fight them without hurting them.\Sango is hit by her own Hiraikotsu!\A ghostly white demon steals away Koharu's soul and mine!\Everyone be careful! Watch out for that mirror!\Her soul does not fit in...\But you cannot move, can you? response:	The fragment of the Sacred Jewel which Kagome holds.
context: Kill them!\Inuyasha is forced to fight them without hurting them.\Sango is hit by her own Hiraikotsu!\A ghostly white demon steals away Koharu's soul and mine!\Everyone be careful! Watch out for that mirror!\Her soul does not fit in...\But you cannot move, can you?\The fragment of the Sacred Jewel which Kagome holds. response:	I want it.
context: Inuyasha is forced to fight them without hurting them.\Sango is hit by her own Hiraikotsu!\A ghostly white demon steals away Koharu's soul and mine!\Everyone be careful! Watch out for that mirror!\Her soul does not fit in...\But you cannot move, can you?\The fragment of the Sacred Jewel which Kagome holds.\I want it. response:	Miroku.
context: Sango is hit by her own Hiraikotsu!\A ghostly white demon steals away Koharu's soul and mine!\Everyone be careful! Watch out for that mirror!\Her soul does not fit in...\But you cannot move, can you?\The fragment of the Sacred Jewel which Kagome holds.\I want it.\Miroku. response:	Koharu!
context: A ghostly white demon steals away Koharu's soul and mine!\Everyone be careful! Watch out for that mirror!\Her soul does not fit in...\But you cannot move, can you?\The fragment of the Sacred Jewel which Kagome holds.\I want it.\Miroku.\Koharu! response:	What's going on?!
context: Everyone be careful! Watch out for that mirror!\Her soul does not fit in...\But you cannot move, can you?\The fragment of the Sacred Jewel which Kagome holds.\I want it.\Miroku.\Koharu!\What's going on?! response:	Where is Kagome? Shippo! Where are you?
context: Her soul does not fit in...\But you cannot move, can you?\The fragment of the Sacred Jewel which Kagome holds.\I want it.\Miroku.\Koharu!\What's going on?!\Where is Kagome? Shippo! Where are you? response:	She's still moving.
context: But you cannot move, can you?\The fragment of the Sacred Jewel which Kagome holds.\I want it.\Miroku.\Koharu!\What's going on?!\Where is Kagome? Shippo! Where are you?\She's still moving. response:	Sango! Kagome!
context: The fragment of the Sacred Jewel which Kagome holds.\I want it.\Miroku.\Koharu!\What's going on?!\Where is Kagome? Shippo! Where are you?\She's still moving.\Sango! Kagome! response:	Is she the one?!
context: I want it.\Miroku.\Koharu!\What's going on?!\Where is Kagome? Shippo! Where are you?\She's still moving.\Sango! Kagome!\Is she the one?! response:	Kagome! Kagome! What's wrong?
context: Miroku.\Koharu!\What's going on?!\Where is Kagome? Shippo! Where are you?\She's still moving.\Sango! Kagome!\Is she the one?!\Kagome! Kagome! What's wrong? response:	Kirara! Oh no!
context: Koharu!\What's going on?!\Where is Kagome? Shippo! Where are you?\She's still moving.\Sango! Kagome!\Is she the one?!\Kagome! Kagome! What's wrong?\Kirara! Oh no! response:	Kagome!
context: What's going on?!\Where is Kagome? Shippo! Where are you?\She's still moving.\Sango! Kagome!\Is she the one?!\Kagome! Kagome! What's wrong?\Kirara! Oh no!\Kagome! response:	Shippo! What happened here?!
context: Where is Kagome? Shippo! Where are you?\She's still moving.\Sango! Kagome!\Is she the one?!\Kagome! Kagome! What's wrong?\Kirara! Oh no!\Kagome!\Shippo! What happened here?! response:	A white demon appeared!
context: She's still moving.\Sango! Kagome!\Is she the one?!\Kagome! Kagome! What's wrong?\Kirara! Oh no!\Kagome!\Shippo! What happened here?!\A white demon appeared! response:	Kagome's soul was sucked into that mirror of hers!
context: Sango! Kagome!\Is she the one?!\Kagome! Kagome! What's wrong?\Kirara! Oh no!\Kagome!\Shippo! What happened here?!\A white demon appeared!\Kagome's soul was sucked into that mirror of hers! response:	Her soul was sucked into the mirror?!
context: Is she the one?!\Kagome! Kagome! What's wrong?\Kirara! Oh no!\Kagome!\Shippo! What happened here?!\A white demon appeared!\Kagome's soul was sucked into that mirror of hers!\Her soul was sucked into the mirror?! response:	You're in the way! Stay away!
context: Kagome! Kagome! What's wrong?\Kirara! Oh no!\Kagome!\Shippo! What happened here?!\A white demon appeared!\Kagome's soul was sucked into that mirror of hers!\Her soul was sucked into the mirror?!\You're in the way! Stay away! response:	Dance of the Wind Sword!
context: Kirara! Oh no!\Kagome!\Shippo! What happened here?!\A white demon appeared!\Kagome's soul was sucked into that mirror of hers!\Her soul was sucked into the mirror?!\You're in the way! Stay away!\Dance of the Wind Sword! response:	What's wrong, Inuyasha? You keep running away!
context: Kagome!\Shippo! What happened here?!\A white demon appeared!\Kagome's soul was sucked into that mirror of hers!\Her soul was sucked into the mirror?!\You're in the way! Stay away!\Dance of the Wind Sword!\What's wrong, Inuyasha? You keep running away! response:	Does that mean that you're not fully recovered from your wounds?
context: Shippo! What happened here?!\A white demon appeared!\Kagome's soul was sucked into that mirror of hers!\Her soul was sucked into the mirror?!\You're in the way! Stay away!\Dance of the Wind Sword!\What's wrong, Inuyasha? You keep running away!\Does that mean that you're not fully recovered from your wounds? response:	One attack.
context: A white demon appeared!\Kagome's soul was sucked into that mirror of hers!\Her soul was sucked into the mirror?!\You're in the way! Stay away!\Dance of the Wind Sword!\What's wrong, Inuyasha? You keep running away!\Does that mean that you're not fully recovered from your wounds?\One attack. response:	If I can get one good swing, this arm can handle it.
context: Kagome's soul was sucked into that mirror of hers!\Her soul was sucked into the mirror?!\You're in the way! Stay away!\Dance of the Wind Sword!\What's wrong, Inuyasha? You keep running away!\Does that mean that you're not fully recovered from your wounds?\One attack.\If I can get one good swing, this arm can handle it. response:	Prepare to die! I avenge my comrades!
context: Her soul was sucked into the mirror?!\You're in the way! Stay away!\Dance of the Wind Sword!\What's wrong, Inuyasha? You keep running away!\Does that mean that you're not fully recovered from your wounds?\One attack.\If I can get one good swing, this arm can handle it.\Prepare to die! I avenge my comrades! response:	When I fought that fool Koga who was tricked by Naraku...
context: You're in the way! Stay away!\Dance of the Wind Sword!\What's wrong, Inuyasha? You keep running away!\Does that mean that you're not fully recovered from your wounds?\One attack.\If I can get one good swing, this arm can handle it.\Prepare to die! I avenge my comrades!\When I fought that fool Koga who was tricked by Naraku... response:	Iron-Reaver, Soul-Stealer...
context: Dance of the Wind Sword!\What's wrong, Inuyasha? You keep running away!\Does that mean that you're not fully recovered from your wounds?\One attack.\If I can get one good swing, this arm can handle it.\Prepare to die! I avenge my comrades!\When I fought that fool Koga who was tricked by Naraku...\Iron-Reaver, Soul-Stealer... response:	My right arm was wounded...
context: What's wrong, Inuyasha? You keep running away!\Does that mean that you're not fully recovered from your wounds?\One attack.\If I can get one good swing, this arm can handle it.\Prepare to die! I avenge my comrades!\When I fought that fool Koga who was tricked by Naraku...\Iron-Reaver, Soul-Stealer...\My right arm was wounded... response:	by the power of that fake Sacred Jewel fragment.
context: Does that mean that you're not fully recovered from your wounds?\One attack.\If I can get one good swing, this arm can handle it.\Prepare to die! I avenge my comrades!\When I fought that fool Koga who was tricked by Naraku...\Iron-Reaver, Soul-Stealer...\My right arm was wounded...\by the power of that fake Sacred Jewel fragment. response:	That wound hasn't completely healed.
context: One attack.\If I can get one good swing, this arm can handle it.\Prepare to die! I avenge my comrades!\When I fought that fool Koga who was tricked by Naraku...\Iron-Reaver, Soul-Stealer...\My right arm was wounded...\by the power of that fake Sacred Jewel fragment.\That wound hasn't completely healed. response:	However, if I can cut through the Wind Scar in one sweep I can beat her!
context: If I can get one good swing, this arm can handle it.\Prepare to die! I avenge my comrades!\When I fought that fool Koga who was tricked by Naraku...\Iron-Reaver, Soul-Stealer...\My right arm was wounded...\by the power of that fake Sacred Jewel fragment.\That wound hasn't completely healed.\However, if I can cut through the Wind Scar in one sweep I can beat her! response:	I never imagined this kid would try to use something fancy...
context: Prepare to die! I avenge my comrades!\When I fought that fool Koga who was tricked by Naraku...\Iron-Reaver, Soul-Stealer...\My right arm was wounded...\by the power of that fake Sacred Jewel fragment.\That wound hasn't completely healed.\However, if I can cut through the Wind Scar in one sweep I can beat her!\I never imagined this kid would try to use something fancy... response:	like the Wind Scar to battle me.
context: When I fought that fool Koga who was tricked by Naraku...\Iron-Reaver, Soul-Stealer...\My right arm was wounded...\by the power of that fake Sacred Jewel fragment.\That wound hasn't completely healed.\However, if I can cut through the Wind Scar in one sweep I can beat her!\I never imagined this kid would try to use something fancy...\like the Wind Scar to battle me. response:	That time when we first fought the sacred arrow disrupted my wind flow...
context: Iron-Reaver, Soul-Stealer...\My right arm was wounded...\by the power of that fake Sacred Jewel fragment.\That wound hasn't completely healed.\However, if I can cut through the Wind Scar in one sweep I can beat her!\I never imagined this kid would try to use something fancy...\like the Wind Scar to battle me.\That time when we first fought the sacred arrow disrupted my wind flow... response:	and I ended up creating a Wind Scar.
context: My right arm was wounded...\by the power of that fake Sacred Jewel fragment.\That wound hasn't completely healed.\However, if I can cut through the Wind Scar in one sweep I can beat her!\I never imagined this kid would try to use something fancy...\like the Wind Scar to battle me.\That time when we first fought the sacred arrow disrupted my wind flow...\and I ended up creating a Wind Scar. response:	This arrow, it's purifying my ghostly wind.
context: by the power of that fake Sacred Jewel fragment.\That wound hasn't completely healed.\However, if I can cut through the Wind Scar in one sweep I can beat her!\I never imagined this kid would try to use something fancy...\like the Wind Scar to battle me.\That time when we first fought the sacred arrow disrupted my wind flow...\and I ended up creating a Wind Scar.\This arrow, it's purifying my ghostly wind. response:	I knew it! The ghostly wind has disappeared!
context: That wound hasn't completely healed.\However, if I can cut through the Wind Scar in one sweep I can beat her!\I never imagined this kid would try to use something fancy...\like the Wind Scar to battle me.\That time when we first fought the sacred arrow disrupted my wind flow...\and I ended up creating a Wind Scar.\This arrow, it's purifying my ghostly wind.\I knew it! The ghostly wind has disappeared! response:	Fool! Wind is easily created!
context: However, if I can cut through the Wind Scar in one sweep I can beat her!\I never imagined this kid would try to use something fancy...\like the Wind Scar to battle me.\That time when we first fought the sacred arrow disrupted my wind flow...\and I ended up creating a Wind Scar.\This arrow, it's purifying my ghostly wind.\I knew it! The ghostly wind has disappeared!\Fool! Wind is easily created! response:	The Wind Scar is created when the ghostly winds collide.
context: I never imagined this kid would try to use something fancy...\like the Wind Scar to battle me.\That time when we first fought the sacred arrow disrupted my wind flow...\and I ended up creating a Wind Scar.\This arrow, it's purifying my ghostly wind.\I knew it! The ghostly wind has disappeared!\Fool! Wind is easily created!\The Wind Scar is created when the ghostly winds collide. response:	I control all wind!
context: like the Wind Scar to battle me.\That time when we first fought the sacred arrow disrupted my wind flow...\and I ended up creating a Wind Scar.\This arrow, it's purifying my ghostly wind.\I knew it! The ghostly wind has disappeared!\Fool! Wind is easily created!\The Wind Scar is created when the ghostly winds collide.\I control all wind! response:	If not for that arrow a Wind Scar would never have formed.
context: That time when we first fought the sacred arrow disrupted my wind flow...\and I ended up creating a Wind Scar.\This arrow, it's purifying my ghostly wind.\I knew it! The ghostly wind has disappeared!\Fool! Wind is easily created!\The Wind Scar is created when the ghostly winds collide.\I control all wind!\If not for that arrow a Wind Scar would never have formed. response:	I can't, it's not working. Inside this wind which she controls...
context: and I ended up creating a Wind Scar.\This arrow, it's purifying my ghostly wind.\I knew it! The ghostly wind has disappeared!\Fool! Wind is easily created!\The Wind Scar is created when the ghostly winds collide.\I control all wind!\If not for that arrow a Wind Scar would never have formed.\I can't, it's not working. Inside this wind which she controls... response:	a Wind Scar will not form.
context: This arrow, it's purifying my ghostly wind.\I knew it! The ghostly wind has disappeared!\Fool! Wind is easily created!\The Wind Scar is created when the ghostly winds collide.\I control all wind!\If not for that arrow a Wind Scar would never have formed.\I can't, it's not working. Inside this wind which she controls...\a Wind Scar will not form. response:	W-what?!
context: I knew it! The ghostly wind has disappeared!\Fool! Wind is easily created!\The Wind Scar is created when the ghostly winds collide.\I control all wind!\If not for that arrow a Wind Scar would never have formed.\I can't, it's not working. Inside this wind which she controls...\a Wind Scar will not form.\W-what?! response:	No mistake... that was a Wind Scar!
context: Fool! Wind is easily created!\The Wind Scar is created when the ghostly winds collide.\I control all wind!\If not for that arrow a Wind Scar would never have formed.\I can't, it's not working. Inside this wind which she controls...\a Wind Scar will not form.\W-what?!\No mistake... that was a Wind Scar! response:	What's going on?! Is the control of the wind weakening?
context: The Wind Scar is created when the ghostly winds collide.\I control all wind!\If not for that arrow a Wind Scar would never have formed.\I can't, it's not working. Inside this wind which she controls...\a Wind Scar will not form.\W-what?!\No mistake... that was a Wind Scar!\What's going on?! Is the control of the wind weakening? response:	Then now's my chance!
context: I control all wind!\If not for that arrow a Wind Scar would never have formed.\I can't, it's not working. Inside this wind which she controls...\a Wind Scar will not form.\W-what?!\No mistake... that was a Wind Scar!\What's going on?! Is the control of the wind weakening?\Then now's my chance! response:	I can slay her now with the Wind Scar!
context: If not for that arrow a Wind Scar would never have formed.\I can't, it's not working. Inside this wind which she controls...\a Wind Scar will not form.\W-what?!\No mistake... that was a Wind Scar!\What's going on?! Is the control of the wind weakening?\Then now's my chance!\I can slay her now with the Wind Scar! response:	Miroku, look!
context: I can't, it's not working. Inside this wind which she controls...\a Wind Scar will not form.\W-what?!\No mistake... that was a Wind Scar!\What's going on?! Is the control of the wind weakening?\Then now's my chance!\I can slay her now with the Wind Scar!\Miroku, look! response:	Inuyasha is wielding the Tetsusaiga!
context: a Wind Scar will not form.\W-what?!\No mistake... that was a Wind Scar!\What's going on?! Is the control of the wind weakening?\Then now's my chance!\I can slay her now with the Wind Scar!\Miroku, look!\Inuyasha is wielding the Tetsusaiga! response:	He intends to cut through the Wind Scar!
context: W-what?!\No mistake... that was a Wind Scar!\What's going on?! Is the control of the wind weakening?\Then now's my chance!\I can slay her now with the Wind Scar!\Miroku, look!\Inuyasha is wielding the Tetsusaiga!\He intends to cut through the Wind Scar! response:	No! Inuyasha isn't aware of the existence of that white demon!
context: No mistake... that was a Wind Scar!\What's going on?! Is the control of the wind weakening?\Then now's my chance!\I can slay her now with the Wind Scar!\Miroku, look!\Inuyasha is wielding the Tetsusaiga!\He intends to cut through the Wind Scar!\No! Inuyasha isn't aware of the existence of that white demon! response:	Just as Sango's Hiraikotsu was thrust back at her.
context: What's going on?! Is the control of the wind weakening?\Then now's my chance!\I can slay her now with the Wind Scar!\Miroku, look!\Inuyasha is wielding the Tetsusaiga!\He intends to cut through the Wind Scar!\No! Inuyasha isn't aware of the existence of that white demon!\Just as Sango's Hiraikotsu was thrust back at her. response:	Inuyasha's Tetsusaiga will be thrown!
context: Then now's my chance!\I can slay her now with the Wind Scar!\Miroku, look!\Inuyasha is wielding the Tetsusaiga!\He intends to cut through the Wind Scar!\No! Inuyasha isn't aware of the existence of that white demon!\Just as Sango's Hiraikotsu was thrust back at her.\Inuyasha's Tetsusaiga will be thrown! response:	- Wind Scar! - Want to cut through?
context: I can slay her now with the Wind Scar!\Miroku, look!\Inuyasha is wielding the Tetsusaiga!\He intends to cut through the Wind Scar!\No! Inuyasha isn't aware of the existence of that white demon!\Just as Sango's Hiraikotsu was thrust back at her.\Inuyasha's Tetsusaiga will be thrown!\- Wind Scar! - Want to cut through? response:	There!
context: Miroku, look!\Inuyasha is wielding the Tetsusaiga!\He intends to cut through the Wind Scar!\No! Inuyasha isn't aware of the existence of that white demon!\Just as Sango's Hiraikotsu was thrust back at her.\Inuyasha's Tetsusaiga will be thrown!\- Wind Scar! - Want to cut through?\There! response:	Now die!
context: Inuyasha is wielding the Tetsusaiga!\He intends to cut through the Wind Scar!\No! Inuyasha isn't aware of the existence of that white demon!\Just as Sango's Hiraikotsu was thrust back at her.\Inuyasha's Tetsusaiga will be thrown!\- Wind Scar! - Want to cut through?\There!\Now die! response:	W-what?!
context: He intends to cut through the Wind Scar!\No! Inuyasha isn't aware of the existence of that white demon!\Just as Sango's Hiraikotsu was thrust back at her.\Inuyasha's Tetsusaiga will be thrown!\- Wind Scar! - Want to cut through?\There!\Now die!\W-what?! response:	Inuyasha!
context: No! Inuyasha isn't aware of the existence of that white demon!\Just as Sango's Hiraikotsu was thrust back at her.\Inuyasha's Tetsusaiga will be thrown!\- Wind Scar! - Want to cut through?\There!\Now die!\W-what?!\Inuyasha! response:	Inuyasha!
context: Just as Sango's Hiraikotsu was thrust back at her.\Inuyasha's Tetsusaiga will be thrown!\- Wind Scar! - Want to cut through?\There!\Now die!\W-what?!\Inuyasha!\Inuyasha! response:	That's...
context: Inuyasha's Tetsusaiga will be thrown!\- Wind Scar! - Want to cut through?\There!\Now die!\W-what?!\Inuyasha!\Inuyasha!\That's... response:	Naraku!
context: - Wind Scar! - Want to cut through?\There!\Now die!\W-what?!\Inuyasha!\Inuyasha!\That's...\Naraku! response:	It was quite easy.
context: There!\Now die!\W-what?!\Inuyasha!\Inuyasha!\That's...\Naraku!\It was quite easy. response:	I came here personally to ask how you felt...
context: Now die!\W-what?!\Inuyasha!\Inuyasha!\That's...\Naraku!\It was quite easy.\I came here personally to ask how you felt... response:	having your power turned back so easily.
context: W-what?!\Inuyasha!\Inuyasha!\That's...\Naraku!\It was quite easy.\I came here personally to ask how you felt...\having your power turned back so easily. response:	My, you mean, we are honored by the man himself...
context: Inuyasha!\Inuyasha!\That's...\Naraku!\It was quite easy.\I came here personally to ask how you felt...\having your power turned back so easily.\My, you mean, we are honored by the man himself... response:	and not some death doll?
context: Inuyasha!\That's...\Naraku!\It was quite easy.\I came here personally to ask how you felt...\having your power turned back so easily.\My, you mean, we are honored by the man himself...\and not some death doll? response:	You're a coward who never sullies his hands...
context: That's...\Naraku!\It was quite easy.\I came here personally to ask how you felt...\having your power turned back so easily.\My, you mean, we are honored by the man himself...\and not some death doll?\You're a coward who never sullies his hands... response:	who only knows how to lay traps, nothing else.
context: Naraku!\It was quite easy.\I came here personally to ask how you felt...\having your power turned back so easily.\My, you mean, we are honored by the man himself...\and not some death doll?\You're a coward who never sullies his hands...\who only knows how to lay traps, nothing else. response:	So you must have been quite confident about your trick this time.
