context: But you don't have to be scared. response:	Only Xin Nu and I know about this.
context: Is it rare for things in my harem to not follow proper etiquette?\What is your name?\Xiao Jiu.\Then I'll call you Jiu'er from now on, okay?\Okay.\The sun has set.\That girl should be normal.\Come here. response:	Master, do you want to eat dinner?
context: What is your name?\Xiao Jiu.\Then I'll call you Jiu'er from now on, okay?\Okay.\The sun has set.\That girl should be normal.\Come here.\Master, do you want to eat dinner? response:	Take me to Handan Quarters.
context: Xiao Jiu.\Then I'll call you Jiu'er from now on, okay?\Okay.\The sun has set.\That girl should be normal.\Come here.\Master, do you want to eat dinner?\Take me to Handan Quarters. response:	Yes.
context: Then I'll call you Jiu'er from now on, okay?\Okay.\The sun has set.\That girl should be normal.\Come here.\Master, do you want to eat dinner?\Take me to Handan Quarters.\Yes. response:	Your Highness.
context: Okay.\The sun has set.\That girl should be normal.\Come here.\Master, do you want to eat dinner?\Take me to Handan Quarters.\Yes.\Your Highness. response:	Master, I have something to discuss with you.
context: The sun has set.\That girl should be normal.\Come here.\Master, do you want to eat dinner?\Take me to Handan Quarters.\Yes.\Your Highness.\Master, I have something to discuss with you. response:	Can you go over there with me?
context: That girl should be normal.\Come here.\Master, do you want to eat dinner?\Take me to Handan Quarters.\Yes.\Your Highness.\Master, I have something to discuss with you.\Can you go over there with me? response:	Master, look at this.
context: Come here.\Master, do you want to eat dinner?\Take me to Handan Quarters.\Yes.\Your Highness.\Master, I have something to discuss with you.\Can you go over there with me?\Master, look at this. response:	Master, look. Isn't it cute?
context: Master, do you want to eat dinner?\Take me to Handan Quarters.\Yes.\Your Highness.\Master, I have something to discuss with you.\Can you go over there with me?\Master, look at this.\Master, look. Isn't it cute? response:	- A sealed-soul bell? - Yes.
context: Take me to Handan Quarters.\Yes.\Your Highness.\Master, I have something to discuss with you.\Can you go over there with me?\Master, look at this.\Master, look. Isn't it cute?\- A sealed-soul bell? - Yes. response:	My previous master gave this to me.
context: Yes.\Your Highness.\Master, I have something to discuss with you.\Can you go over there with me?\Master, look at this.\Master, look. Isn't it cute?\- A sealed-soul bell? - Yes.\My previous master gave this to me. response:	It's always just sitting there. There was not much use for it.
context: Your Highness.\Master, I have something to discuss with you.\Can you go over there with me?\Master, look at this.\Master, look. Isn't it cute?\- A sealed-soul bell? - Yes.\My previous master gave this to me.\It's always just sitting there. There was not much use for it. response:	So I put it on Xiao Guai Guai.
context: Master, I have something to discuss with you.\Can you go over there with me?\Master, look at this.\Master, look. Isn't it cute?\- A sealed-soul bell? - Yes.\My previous master gave this to me.\It's always just sitting there. There was not much use for it.\So I put it on Xiao Guai Guai. response:	It's a pity that the one in your hands already has an owner.
context: Can you go over there with me?\Master, look at this.\Master, look. Isn't it cute?\- A sealed-soul bell? - Yes.\My previous master gave this to me.\It's always just sitting there. There was not much use for it.\So I put it on Xiao Guai Guai.\It's a pity that the one in your hands already has an owner. response:	If you keep it, it will cause trouble if its owner looks for it.
context: Master, look at this.\Master, look. Isn't it cute?\- A sealed-soul bell? - Yes.\My previous master gave this to me.\It's always just sitting there. There was not much use for it.\So I put it on Xiao Guai Guai.\It's a pity that the one in your hands already has an owner.\If you keep it, it will cause trouble if its owner looks for it. response:	That's why I wanted to discuss it with you.
context: Master, look. Isn't it cute?\- A sealed-soul bell? - Yes.\My previous master gave this to me.\It's always just sitting there. There was not much use for it.\So I put it on Xiao Guai Guai.\It's a pity that the one in your hands already has an owner.\If you keep it, it will cause trouble if its owner looks for it.\That's why I wanted to discuss it with you. response:	You're very capable.
context: - A sealed-soul bell? - Yes.\My previous master gave this to me.\It's always just sitting there. There was not much use for it.\So I put it on Xiao Guai Guai.\It's a pity that the one in your hands already has an owner.\If you keep it, it will cause trouble if its owner looks for it.\That's why I wanted to discuss it with you.\You're very capable. response:	Can you help me to keep Xiao Guai Guai?
context: My previous master gave this to me.\It's always just sitting there. There was not much use for it.\So I put it on Xiao Guai Guai.\It's a pity that the one in your hands already has an owner.\If you keep it, it will cause trouble if its owner looks for it.\That's why I wanted to discuss it with you.\You're very capable.\Can you help me to keep Xiao Guai Guai? response:	I am a mortal.
context: It's always just sitting there. There was not much use for it.\So I put it on Xiao Guai Guai.\It's a pity that the one in your hands already has an owner.\If you keep it, it will cause trouble if its owner looks for it.\That's why I wanted to discuss it with you.\You're very capable.\Can you help me to keep Xiao Guai Guai?\I am a mortal. response:	I have a limited life here.
context: So I put it on Xiao Guai Guai.\It's a pity that the one in your hands already has an owner.\If you keep it, it will cause trouble if its owner looks for it.\That's why I wanted to discuss it with you.\You're very capable.\Can you help me to keep Xiao Guai Guai?\I am a mortal.\I have a limited life here. response:	But when I return to the immortal world
context: It's a pity that the one in your hands already has an owner.\If you keep it, it will cause trouble if its owner looks for it.\That's why I wanted to discuss it with you.\You're very capable.\Can you help me to keep Xiao Guai Guai?\I am a mortal.\I have a limited life here.\But when I return to the immortal world response:	I'll give Xiao Guai Guai back to its owner.
context: If you keep it, it will cause trouble if its owner looks for it.\That's why I wanted to discuss it with you.\You're very capable.\Can you help me to keep Xiao Guai Guai?\I am a mortal.\I have a limited life here.\But when I return to the immortal world\I'll give Xiao Guai Guai back to its owner. response:	No, High God! No!
context: That's why I wanted to discuss it with you.\You're very capable.\Can you help me to keep Xiao Guai Guai?\I am a mortal.\I have a limited life here.\But when I return to the immortal world\I'll give Xiao Guai Guai back to its owner.\No, High God! No! response:	Master, see? Xiao Guai Guai is really excited that I'm taking care of it.
context: You're very capable.\Can you help me to keep Xiao Guai Guai?\I am a mortal.\I have a limited life here.\But when I return to the immortal world\I'll give Xiao Guai Guai back to its owner.\No, High God! No!\Master, see? Xiao Guai Guai is really excited that I'm taking care of it. response:	Since you call me master, I should help you.
context: Can you help me to keep Xiao Guai Guai?\I am a mortal.\I have a limited life here.\But when I return to the immortal world\I'll give Xiao Guai Guai back to its owner.\No, High God! No!\Master, see? Xiao Guai Guai is really excited that I'm taking care of it.\Since you call me master, I should help you. response:	Fine. I'll talk to its master for you.
context: I am a mortal.\I have a limited life here.\But when I return to the immortal world\I'll give Xiao Guai Guai back to its owner.\No, High God! No!\Master, see? Xiao Guai Guai is really excited that I'm taking care of it.\Since you call me master, I should help you.\Fine. I'll talk to its master for you. response:	It shouldn't be hard to let it stay here.
context: I have a limited life here.\But when I return to the immortal world\I'll give Xiao Guai Guai back to its owner.\No, High God! No!\Master, see? Xiao Guai Guai is really excited that I'm taking care of it.\Since you call me master, I should help you.\Fine. I'll talk to its master for you.\It shouldn't be hard to let it stay here. response:	Really?
context: But when I return to the immortal world\I'll give Xiao Guai Guai back to its owner.\No, High God! No!\Master, see? Xiao Guai Guai is really excited that I'm taking care of it.\Since you call me master, I should help you.\Fine. I'll talk to its master for you.\It shouldn't be hard to let it stay here.\Really? response:	Master, you're agreeing to help me!
context: I'll give Xiao Guai Guai back to its owner.\No, High God! No!\Master, see? Xiao Guai Guai is really excited that I'm taking care of it.\Since you call me master, I should help you.\Fine. I'll talk to its master for you.\It shouldn't be hard to let it stay here.\Really?\Master, you're agreeing to help me! response:	I'm not dreaming, right?
context: No, High God! No!\Master, see? Xiao Guai Guai is really excited that I'm taking care of it.\Since you call me master, I should help you.\Fine. I'll talk to its master for you.\It shouldn't be hard to let it stay here.\Really?\Master, you're agreeing to help me!\I'm not dreaming, right? response:	What are you two doing?
context: Master, see? Xiao Guai Guai is really excited that I'm taking care of it.\Since you call me master, I should help you.\Fine. I'll talk to its master for you.\It shouldn't be hard to let it stay here.\Really?\Master, you're agreeing to help me!\I'm not dreaming, right?\What are you two doing? response:	It's a new moon tonight and it's windy.
context: Since you call me master, I should help you.\Fine. I'll talk to its master for you.\It shouldn't be hard to let it stay here.\Really?\Master, you're agreeing to help me!\I'm not dreaming, right?\What are you two doing?\It's a new moon tonight and it's windy. response:	You two should come down so that you don't scare others to death.
context: Fine. I'll talk to its master for you.\It shouldn't be hard to let it stay here.\Really?\Master, you're agreeing to help me!\I'm not dreaming, right?\What are you two doing?\It's a new moon tonight and it's windy.\You two should come down so that you don't scare others to death. response:	Live deities! I'm actually seeing live deities!
context: It shouldn't be hard to let it stay here.\Really?\Master, you're agreeing to help me!\I'm not dreaming, right?\What are you two doing?\It's a new moon tonight and it's windy.\You two should come down so that you don't scare others to death.\Live deities! I'm actually seeing live deities! response:	This is my first time seeing live deities.
context: Really?\Master, you're agreeing to help me!\I'm not dreaming, right?\What are you two doing?\It's a new moon tonight and it's windy.\You two should come down so that you don't scare others to death.\Live deities! I'm actually seeing live deities!\This is my first time seeing live deities. response:	Are you two coming here so late at night
context: Master, you're agreeing to help me!\I'm not dreaming, right?\What are you two doing?\It's a new moon tonight and it's windy.\You two should come down so that you don't scare others to death.\Live deities! I'm actually seeing live deities!\This is my first time seeing live deities.\Are you two coming here so late at night response:	because my father is a wise and kind ruler who is about to go to heaven?
context: I'm not dreaming, right?\What are you two doing?\It's a new moon tonight and it's windy.\You two should come down so that you don't scare others to death.\Live deities! I'm actually seeing live deities!\This is my first time seeing live deities.\Are you two coming here so late at night\because my father is a wise and kind ruler who is about to go to heaven? response:	I'm afraid I'll have to disappoint you.
context: What are you two doing?\It's a new moon tonight and it's windy.\You two should come down so that you don't scare others to death.\Live deities! I'm actually seeing live deities!\This is my first time seeing live deities.\Are you two coming here so late at night\because my father is a wise and kind ruler who is about to go to heaven?\I'm afraid I'll have to disappoint you. response:	I'm here to see my wife.
context: It's a new moon tonight and it's windy.\You two should come down so that you don't scare others to death.\Live deities! I'm actually seeing live deities!\This is my first time seeing live deities.\Are you two coming here so late at night\because my father is a wise and kind ruler who is about to go to heaven?\I'm afraid I'll have to disappoint you.\I'm here to see my wife. response:	Here... Here to see me?
context: You two should come down so that you don't scare others to death.\Live deities! I'm actually seeing live deities!\This is my first time seeing live deities.\Are you two coming here so late at night\because my father is a wise and kind ruler who is about to go to heaven?\I'm afraid I'll have to disappoint you.\I'm here to see my wife.\Here... Here to see me? response:	In any case, I should leave you now.
context: Live deities! I'm actually seeing live deities!\This is my first time seeing live deities.\Are you two coming here so late at night\because my father is a wise and kind ruler who is about to go to heaven?\I'm afraid I'll have to disappoint you.\I'm here to see my wife.\Here... Here to see me?\In any case, I should leave you now. response:	See your wife?
context: This is my first time seeing live deities.\Are you two coming here so late at night\because my father is a wise and kind ruler who is about to go to heaven?\I'm afraid I'll have to disappoint you.\I'm here to see my wife.\Here... Here to see me?\In any case, I should leave you now.\See your wife? response:	You do not have to worry.
context: Are you two coming here so late at night\because my father is a wise and kind ruler who is about to go to heaven?\I'm afraid I'll have to disappoint you.\I'm here to see my wife.\Here... Here to see me?\In any case, I should leave you now.\See your wife?\You do not have to worry. response:	I erased his memory.
context: because my father is a wise and kind ruler who is about to go to heaven?\I'm afraid I'll have to disappoint you.\I'm here to see my wife.\Here... Here to see me?\In any case, I should leave you now.\See your wife?\You do not have to worry.\I erased his memory. response:	Luckily, because of your skills
context: I'm afraid I'll have to disappoint you.\I'm here to see my wife.\Here... Here to see me?\In any case, I should leave you now.\See your wife?\You do not have to worry.\I erased his memory.\Luckily, because of your skills response:	Yuan Zhen's fate was transferred perfectly.
context: I'm here to see my wife.\Here... Here to see me?\In any case, I should leave you now.\See your wife?\You do not have to worry.\I erased his memory.\Luckily, because of your skills\Yuan Zhen's fate was transferred perfectly. response:	But Dijun's fate was slightly changed.
context: Here... Here to see me?\In any case, I should leave you now.\See your wife?\You do not have to worry.\I erased his memory.\Luckily, because of your skills\Yuan Zhen's fate was transferred perfectly.\But Dijun's fate was slightly changed. response:	I ask that you lead the way.
context: In any case, I should leave you now.\See your wife?\You do not have to worry.\I erased his memory.\Luckily, because of your skills\Yuan Zhen's fate was transferred perfectly.\But Dijun's fate was slightly changed.\I ask that you lead the way. response:	I need to find Feng Jiu to ask for her help.
context: See your wife?\You do not have to worry.\I erased his memory.\Luckily, because of your skills\Yuan Zhen's fate was transferred perfectly.\But Dijun's fate was slightly changed.\I ask that you lead the way.\I need to find Feng Jiu to ask for her help. response:	You're asking her to lead the way?
context: You do not have to worry.\I erased his memory.\Luckily, because of your skills\Yuan Zhen's fate was transferred perfectly.\But Dijun's fate was slightly changed.\I ask that you lead the way.\I need to find Feng Jiu to ask for her help.\You're asking her to lead the way? response:	You'd be looking all night and you still wouldn't be able to find Feng Jiu.
context: I erased his memory.\Luckily, because of your skills\Yuan Zhen's fate was transferred perfectly.\But Dijun's fate was slightly changed.\I ask that you lead the way.\I need to find Feng Jiu to ask for her help.\You're asking her to lead the way?\You'd be looking all night and you still wouldn't be able to find Feng Jiu. response:	You should ask an earth deity.
context: Luckily, because of your skills\Yuan Zhen's fate was transferred perfectly.\But Dijun's fate was slightly changed.\I ask that you lead the way.\I need to find Feng Jiu to ask for her help.\You're asking her to lead the way?\You'd be looking all night and you still wouldn't be able to find Feng Jiu.\You should ask an earth deity. response:	Star Lord.
context: Yuan Zhen's fate was transferred perfectly.\But Dijun's fate was slightly changed.\I ask that you lead the way.\I need to find Feng Jiu to ask for her help.\You're asking her to lead the way?\You'd be looking all night and you still wouldn't be able to find Feng Jiu.\You should ask an earth deity.\Star Lord. response:	Take us to Handan Quarters.
context: But Dijun's fate was slightly changed.\I ask that you lead the way.\I need to find Feng Jiu to ask for her help.\You're asking her to lead the way?\You'd be looking all night and you still wouldn't be able to find Feng Jiu.\You should ask an earth deity.\Star Lord.\Take us to Handan Quarters. response:	Yes.
context: I ask that you lead the way.\I need to find Feng Jiu to ask for her help.\You're asking her to lead the way?\You'd be looking all night and you still wouldn't be able to find Feng Jiu.\You should ask an earth deity.\Star Lord.\Take us to Handan Quarters.\Yes. response:	Wait.
context: I need to find Feng Jiu to ask for her help.\You're asking her to lead the way?\You'd be looking all night and you still wouldn't be able to find Feng Jiu.\You should ask an earth deity.\Star Lord.\Take us to Handan Quarters.\Yes.\Wait. response:	My magic powers are sealed.
context: You're asking her to lead the way?\You'd be looking all night and you still wouldn't be able to find Feng Jiu.\You should ask an earth deity.\Star Lord.\Take us to Handan Quarters.\Yes.\Wait.\My magic powers are sealed. response:	Can you use your magic to send my disciple to his palace?
context: You'd be looking all night and you still wouldn't be able to find Feng Jiu.\You should ask an earth deity.\Star Lord.\Take us to Handan Quarters.\Yes.\Wait.\My magic powers are sealed.\Can you use your magic to send my disciple to his palace? response:	Qian Qian, you treat my cousin quite well.
context: You should ask an earth deity.\Star Lord.\Take us to Handan Quarters.\Yes.\Wait.\My magic powers are sealed.\Can you use your magic to send my disciple to his palace?\Qian Qian, you treat my cousin quite well. response:	He's my only disciple.
context: Star Lord.\Take us to Handan Quarters.\Yes.\Wait.\My magic powers are sealed.\Can you use your magic to send my disciple to his palace?\Qian Qian, you treat my cousin quite well.\He's my only disciple. response:	Then he can't address me as cousin.
context: Take us to Handan Quarters.\Yes.\Wait.\My magic powers are sealed.\Can you use your magic to send my disciple to his palace?\Qian Qian, you treat my cousin quite well.\He's my only disciple.\Then he can't address me as cousin. response:	He'll have to address me as master's husband.
context: Yes.\Wait.\My magic powers are sealed.\Can you use your magic to send my disciple to his palace?\Qian Qian, you treat my cousin quite well.\He's my only disciple.\Then he can't address me as cousin.\He'll have to address me as master's husband. response:	Why are you taking advantage of this?
context: Wait.\My magic powers are sealed.\Can you use your magic to send my disciple to his palace?\Qian Qian, you treat my cousin quite well.\He's my only disciple.\Then he can't address me as cousin.\He'll have to address me as master's husband.\Why are you taking advantage of this? response:	You still harbor hurt feelings because he took liberties with your consort?
context: My magic powers are sealed.\Can you use your magic to send my disciple to his palace?\Qian Qian, you treat my cousin quite well.\He's my only disciple.\Then he can't address me as cousin.\He'll have to address me as master's husband.\Why are you taking advantage of this?\You still harbor hurt feelings because he took liberties with your consort? response:	If you hadn't brought it up
context: Can you use your magic to send my disciple to his palace?\Qian Qian, you treat my cousin quite well.\He's my only disciple.\Then he can't address me as cousin.\He'll have to address me as master's husband.\Why are you taking advantage of this?\You still harbor hurt feelings because he took liberties with your consort?\If you hadn't brought it up response:	I would've forgotten why he was punished to the mortal realm.
context: Qian Qian, you treat my cousin quite well.\He's my only disciple.\Then he can't address me as cousin.\He'll have to address me as master's husband.\Why are you taking advantage of this?\You still harbor hurt feelings because he took liberties with your consort?\If you hadn't brought it up\I would've forgotten why he was punished to the mortal realm. response:	For taking liberties with a consort who's not really a consort
context: He's my only disciple.\Then he can't address me as cousin.\He'll have to address me as master's husband.\Why are you taking advantage of this?\You still harbor hurt feelings because he took liberties with your consort?\If you hadn't brought it up\I would've forgotten why he was punished to the mortal realm.\For taking liberties with a consort who's not really a consort response:	he was punished to the mortal realm for 60 years.
context: Then he can't address me as cousin.\He'll have to address me as master's husband.\Why are you taking advantage of this?\You still harbor hurt feelings because he took liberties with your consort?\If you hadn't brought it up\I would've forgotten why he was punished to the mortal realm.\For taking liberties with a consort who's not really a consort\he was punished to the mortal realm for 60 years. response:	Then how should he be punished for holding my wife's hands before my eyes?
context: He'll have to address me as master's husband.\Why are you taking advantage of this?\You still harbor hurt feelings because he took liberties with your consort?\If you hadn't brought it up\I would've forgotten why he was punished to the mortal realm.\For taking liberties with a consort who's not really a consort\he was punished to the mortal realm for 60 years.\Then how should he be punished for holding my wife's hands before my eyes? response:	Let's go.
context: Why are you taking advantage of this?\You still harbor hurt feelings because he took liberties with your consort?\If you hadn't brought it up\I would've forgotten why he was punished to the mortal realm.\For taking liberties with a consort who's not really a consort\he was punished to the mortal realm for 60 years.\Then how should he be punished for holding my wife's hands before my eyes?\Let's go. response:	You said you came here to see your wife.
context: You still harbor hurt feelings because he took liberties with your consort?\If you hadn't brought it up\I would've forgotten why he was punished to the mortal realm.\For taking liberties with a consort who's not really a consort\he was punished to the mortal realm for 60 years.\Then how should he be punished for holding my wife's hands before my eyes?\Let's go.\You said you came here to see your wife. response:	Why are you in such a hurry to see Feng Jiu?
context: If you hadn't brought it up\I would've forgotten why he was punished to the mortal realm.\For taking liberties with a consort who's not really a consort\he was punished to the mortal realm for 60 years.\Then how should he be punished for holding my wife's hands before my eyes?\Let's go.\You said you came here to see your wife.\Why are you in such a hurry to see Feng Jiu? response:	Si Ming came to fix Dong Hua Dijun's fate.
context: I would've forgotten why he was punished to the mortal realm.\For taking liberties with a consort who's not really a consort\he was punished to the mortal realm for 60 years.\Then how should he be punished for holding my wife's hands before my eyes?\Let's go.\You said you came here to see your wife.\Why are you in such a hurry to see Feng Jiu?\Si Ming came to fix Dong Hua Dijun's fate. response:	I just came along to come see you.
context: For taking liberties with a consort who's not really a consort\he was punished to the mortal realm for 60 years.\Then how should he be punished for holding my wife's hands before my eyes?\Let's go.\You said you came here to see your wife.\Why are you in such a hurry to see Feng Jiu?\Si Ming came to fix Dong Hua Dijun's fate.\I just came along to come see you. response:	To see me?
context: he was punished to the mortal realm for 60 years.\Then how should he be punished for holding my wife's hands before my eyes?\Let's go.\You said you came here to see your wife.\Why are you in such a hurry to see Feng Jiu?\Si Ming came to fix Dong Hua Dijun's fate.\I just came along to come see you.\To see me? response:	Today, His Highness called me out of the Feast of Peaches
context: Then how should he be punished for holding my wife's hands before my eyes?\Let's go.\You said you came here to see your wife.\Why are you in such a hurry to see Feng Jiu?\Si Ming came to fix Dong Hua Dijun's fate.\I just came along to come see you.\To see me?\Today, His Highness called me out of the Feast of Peaches response:	just so he could see how you had others push Dijun into the water.
context: Let's go.\You said you came here to see your wife.\Why are you in such a hurry to see Feng Jiu?\Si Ming came to fix Dong Hua Dijun's fate.\I just came along to come see you.\To see me?\Today, His Highness called me out of the Feast of Peaches\just so he could see how you had others push Dijun into the water. response:	When Dijun finds out in the future, I'm afraid he'll kick me down here.
context: You said you came here to see your wife.\Why are you in such a hurry to see Feng Jiu?\Si Ming came to fix Dong Hua Dijun's fate.\I just came along to come see you.\To see me?\Today, His Highness called me out of the Feast of Peaches\just so he could see how you had others push Dijun into the water.\When Dijun finds out in the future, I'm afraid he'll kick me down here. response:	When that time comes
context: Why are you in such a hurry to see Feng Jiu?\Si Ming came to fix Dong Hua Dijun's fate.\I just came along to come see you.\To see me?\Today, His Highness called me out of the Feast of Peaches\just so he could see how you had others push Dijun into the water.\When Dijun finds out in the future, I'm afraid he'll kick me down here.\When that time comes response:	the crown prince will plea on your behalf.
