context: eyecatch response:	H!
context: Buy some!\Chocolate Sharks!\I said that I won't buy them.\Buy some! Buy some!\I won't buy them.\Sakamoto said to buy some!\I did not!\Mio-chan. response:	Good morning.
context: Chocolate Sharks!\I said that I won't buy them.\Buy some! Buy some!\I won't buy them.\Sakamoto said to buy some!\I did not!\Mio-chan.\Good morning. response:	Whoa. What's wrong, Yukko?
context: I said that I won't buy them.\Buy some! Buy some!\I won't buy them.\Sakamoto said to buy some!\I did not!\Mio-chan.\Good morning.\Whoa. What's wrong, Yukko? response:	You're all unsteady!
context: Buy some! Buy some!\I won't buy them.\Sakamoto said to buy some!\I did not!\Mio-chan.\Good morning.\Whoa. What's wrong, Yukko?\You're all unsteady! response:	People have been telling me that since this morning.
context: I won't buy them.\Sakamoto said to buy some!\I did not!\Mio-chan.\Good morning.\Whoa. What's wrong, Yukko?\You're all unsteady!\People have been telling me that since this morning. response:	The balance of your speech is having a Gestalt Breakdown!
context: Sakamoto said to buy some!\I did not!\Mio-chan.\Good morning.\Whoa. What's wrong, Yukko?\You're all unsteady!\People have been telling me that since this morning.\The balance of your speech is having a Gestalt Breakdown! response:	Seems like you have a fever, too.
context: I did not!\Mio-chan.\Good morning.\Whoa. What's wrong, Yukko?\You're all unsteady!\People have been telling me that since this morning.\The balance of your speech is having a Gestalt Breakdown!\Seems like you have a fever, too. response:	Why did you come to school in that state?
context: Mio-chan.\Good morning.\Whoa. What's wrong, Yukko?\You're all unsteady!\People have been telling me that since this morning.\The balance of your speech is having a Gestalt Breakdown!\Seems like you have a fever, too.\Why did you come to school in that state? response:	Well, you see...
context: Good morning.\Whoa. What's wrong, Yukko?\You're all unsteady!\People have been telling me that since this morning.\The balance of your speech is having a Gestalt Breakdown!\Seems like you have a fever, too.\Why did you come to school in that state?\Well, you see... response:	I was thinking that I'd show you that magic show I've been telling you about.
context: Whoa. What's wrong, Yukko?\You're all unsteady!\People have been telling me that since this morning.\The balance of your speech is having a Gestalt Breakdown!\Seems like you have a fever, too.\Why did you come to school in that state?\Well, you see...\I was thinking that I'd show you that magic show I've been telling you about. response:	What are you talking about?
context: You're all unsteady!\People have been telling me that since this morning.\The balance of your speech is having a Gestalt Breakdown!\Seems like you have a fever, too.\Why did you come to school in that state?\Well, you see...\I was thinking that I'd show you that magic show I've been telling you about.\What are you talking about? response:	I haven't heard anything about that.
context: People have been telling me that since this morning.\The balance of your speech is having a Gestalt Breakdown!\Seems like you have a fever, too.\Why did you come to school in that state?\Well, you see...\I was thinking that I'd show you that magic show I've been telling you about.\What are you talking about?\I haven't heard anything about that. response:	You're in no state to be talking about magic.
context: The balance of your speech is having a Gestalt Breakdown!\Seems like you have a fever, too.\Why did you come to school in that state?\Well, you see...\I was thinking that I'd show you that magic show I've been telling you about.\What are you talking about?\I haven't heard anything about that.\You're in no state to be talking about magic. response:	I even practised, so you'll be surprised when you see my magic!
context: Seems like you have a fever, too.\Why did you come to school in that state?\Well, you see...\I was thinking that I'd show you that magic show I've been telling you about.\What are you talking about?\I haven't heard anything about that.\You're in no state to be talking about magic.\I even practised, so you'll be surprised when you see my magic! response:	I can't wait.
context: Why did you come to school in that state?\Well, you see...\I was thinking that I'd show you that magic show I've been telling you about.\What are you talking about?\I haven't heard anything about that.\You're in no state to be talking about magic.\I even practised, so you'll be surprised when you see my magic!\I can't wait. response:	The truth is that I'm already surprised.
context: Well, you see...\I was thinking that I'd show you that magic show I've been telling you about.\What are you talking about?\I haven't heard anything about that.\You're in no state to be talking about magic.\I even practised, so you'll be surprised when you see my magic!\I can't wait.\The truth is that I'm already surprised. response:	First of all, take your sea -
context: I was thinking that I'd show you that magic show I've been telling you about.\What are you talking about?\I haven't heard anything about that.\You're in no state to be talking about magic.\I even practised, so you'll be surprised when you see my magic!\I can't wait.\The truth is that I'm already surprised.\First of all, take your sea - response:	What!?
context: What are you talking about?\I haven't heard anything about that.\You're in no state to be talking about magic.\I even practised, so you'll be surprised when you see my magic!\I can't wait.\The truth is that I'm already surprised.\First of all, take your sea -\What!? response:	Yukko...
context: I haven't heard anything about that.\You're in no state to be talking about magic.\I even practised, so you'll be surprised when you see my magic!\I can't wait.\The truth is that I'm already surprised.\First of all, take your sea -\What!?\Yukko... response:	I can already...
context: You're in no state to be talking about magic.\I even practised, so you'll be surprised when you see my magic!\I can't wait.\The truth is that I'm already surprised.\First of all, take your sea -\What!?\Yukko...\I can already... response:	I'll just pretend that I didn't see that.
context: I even practised, so you'll be surprised when you see my magic!\I can't wait.\The truth is that I'm already surprised.\First of all, take your sea -\What!?\Yukko...\I can already...\I'll just pretend that I didn't see that. response:	She did come all this way in that state.
context: I can't wait.\The truth is that I'm already surprised.\First of all, take your sea -\What!?\Yukko...\I can already...\I'll just pretend that I didn't see that.\She did come all this way in that state. response:	But Yukko was going bring out a big trick -
context: The truth is that I'm already surprised.\First of all, take your sea -\What!?\Yukko...\I can already...\I'll just pretend that I didn't see that.\She did come all this way in that state.\But Yukko was going bring out a big trick - response:	I-It already came out!
context: First of all, take your sea -\What!?\Yukko...\I can already...\I'll just pretend that I didn't see that.\She did come all this way in that state.\But Yukko was going bring out a big trick -\I-It already came out! response:	It already came out!
context: What!?\Yukko...\I can already...\I'll just pretend that I didn't see that.\She did come all this way in that state.\But Yukko was going bring out a big trick -\I-It already came out!\It already came out! response:	Ah.
context: Yukko...\I can already...\I'll just pretend that I didn't see that.\She did come all this way in that state.\But Yukko was going bring out a big trick -\I-It already came out!\It already came out!\Ah. response:	It escaped!
context: I can already...\I'll just pretend that I didn't see that.\She did come all this way in that state.\But Yukko was going bring out a big trick -\I-It already came out!\It already came out!\Ah.\It escaped! response:	Tissues...
context: I'll just pretend that I didn't see that.\She did come all this way in that state.\But Yukko was going bring out a big trick -\I-It already came out!\It already came out!\Ah.\It escaped!\Tissues... response:	All right.
