context: But listen to me. response:	Ever since you left Grand Ziming Palace
context: Have you forgotten your identity?\Leaving aside that your father tormented Ninth to the point he was traumatized\you even dared come to Kunlun Mountain to harass Seventeenth.\I will not let you off lightly.\You are A-Yin's fellow disciple. I will not fight you.\So what if you do?\Back in Grand Ziming Palace\my junior disciples were at a disadvantage response:	only because their powers were suppressed.
context: Leaving aside that your father tormented Ninth to the point he was traumatized\you even dared come to Kunlun Mountain to harass Seventeenth.\I will not let you off lightly.\You are A-Yin's fellow disciple. I will not fight you.\So what if you do?\Back in Grand Ziming Palace\my junior disciples were at a disadvantage\only because their powers were suppressed. response:	Today, I'll show you Kunlun Mountain's swordsmanship!
context: you even dared come to Kunlun Mountain to harass Seventeenth.\I will not let you off lightly.\You are A-Yin's fellow disciple. I will not fight you.\So what if you do?\Back in Grand Ziming Palace\my junior disciples were at a disadvantage\only because their powers were suppressed.\Today, I'll show you Kunlun Mountain's swordsmanship! response:	No! Senior, let it go!
context: I will not let you off lightly.\You are A-Yin's fellow disciple. I will not fight you.\So what if you do?\Back in Grand Ziming Palace\my junior disciples were at a disadvantage\only because their powers were suppressed.\Today, I'll show you Kunlun Mountain's swordsmanship!\No! Senior, let it go! response:	If I don't beat him half to death
context: You are A-Yin's fellow disciple. I will not fight you.\So what if you do?\Back in Grand Ziming Palace\my junior disciples were at a disadvantage\only because their powers were suppressed.\Today, I'll show you Kunlun Mountain's swordsmanship!\No! Senior, let it go!\If I don't beat him half to death response:	I'll worry that he'll return to harass you!
context: So what if you do?\Back in Grand Ziming Palace\my junior disciples were at a disadvantage\only because their powers were suppressed.\Today, I'll show you Kunlun Mountain's swordsmanship!\No! Senior, let it go!\If I don't beat him half to death\I'll worry that he'll return to harass you! response:	Senior!
context: Back in Grand Ziming Palace\my junior disciples were at a disadvantage\only because their powers were suppressed.\Today, I'll show you Kunlun Mountain's swordsmanship!\No! Senior, let it go!\If I don't beat him half to death\I'll worry that he'll return to harass you!\Senior! response:	Even you are defending him?
context: my junior disciples were at a disadvantage\only because their powers were suppressed.\Today, I'll show you Kunlun Mountain's swordsmanship!\No! Senior, let it go!\If I don't beat him half to death\I'll worry that he'll return to harass you!\Senior!\Even you are defending him? response:	Just let him go.
context: only because their powers were suppressed.\Today, I'll show you Kunlun Mountain's swordsmanship!\No! Senior, let it go!\If I don't beat him half to death\I'll worry that he'll return to harass you!\Senior!\Even you are defending him?\Just let him go. response:	Why should I?
context: Today, I'll show you Kunlun Mountain's swordsmanship!\No! Senior, let it go!\If I don't beat him half to death\I'll worry that he'll return to harass you!\Senior!\Even you are defending him?\Just let him go.\Why should I? response:	Have you forgotten how his father humiliated you?
context: No! Senior, let it go!\If I don't beat him half to death\I'll worry that he'll return to harass you!\Senior!\Even you are defending him?\Just let him go.\Why should I?\Have you forgotten how his father humiliated you? response:	When we were at Grand Ziming Palace, he took good care of us.
context: If I don't beat him half to death\I'll worry that he'll return to harass you!\Senior!\Even you are defending him?\Just let him go.\Why should I?\Have you forgotten how his father humiliated you?\When we were at Grand Ziming Palace, he took good care of us. response:	Moreover, if not for the sake of returning to apologize to Master
context: I'll worry that he'll return to harass you!\Senior!\Even you are defending him?\Just let him go.\Why should I?\Have you forgotten how his father humiliated you?\When we were at Grand Ziming Palace, he took good care of us.\Moreover, if not for the sake of returning to apologize to Master response:	I would have already committed suicide.
context: Senior!\Even you are defending him?\Just let him go.\Why should I?\Have you forgotten how his father humiliated you?\When we were at Grand Ziming Palace, he took good care of us.\Moreover, if not for the sake of returning to apologize to Master\I would have already committed suicide. response:	On the day we escaped, if he hadn't protected Seventeenth
context: Even you are defending him?\Just let him go.\Why should I?\Have you forgotten how his father humiliated you?\When we were at Grand Ziming Palace, he took good care of us.\Moreover, if not for the sake of returning to apologize to Master\I would have already committed suicide.\On the day we escaped, if he hadn't protected Seventeenth response:	Seventeenth would have been disabled, if not dead.
context: Just let him go.\Why should I?\Have you forgotten how his father humiliated you?\When we were at Grand Ziming Palace, he took good care of us.\Moreover, if not for the sake of returning to apologize to Master\I would have already committed suicide.\On the day we escaped, if he hadn't protected Seventeenth\Seventeenth would have been disabled, if not dead. response:	Is that the truth?
context: Why should I?\Have you forgotten how his father humiliated you?\When we were at Grand Ziming Palace, he took good care of us.\Moreover, if not for the sake of returning to apologize to Master\I would have already committed suicide.\On the day we escaped, if he hadn't protected Seventeenth\Seventeenth would have been disabled, if not dead.\Is that the truth? response:	Even so, he a prince of Ghost Realm.
context: Have you forgotten how his father humiliated you?\When we were at Grand Ziming Palace, he took good care of us.\Moreover, if not for the sake of returning to apologize to Master\I would have already committed suicide.\On the day we escaped, if he hadn't protected Seventeenth\Seventeenth would have been disabled, if not dead.\Is that the truth?\Even so, he a prince of Ghost Realm. response:	Don't forget that it was his father who first captured you.
context: When we were at Grand Ziming Palace, he took good care of us.\Moreover, if not for the sake of returning to apologize to Master\I would have already committed suicide.\On the day we escaped, if he hadn't protected Seventeenth\Seventeenth would have been disabled, if not dead.\Is that the truth?\Even so, he a prince of Ghost Realm.\Don't forget that it was his father who first captured you. response:	Hurry and leave.
context: Moreover, if not for the sake of returning to apologize to Master\I would have already committed suicide.\On the day we escaped, if he hadn't protected Seventeenth\Seventeenth would have been disabled, if not dead.\Is that the truth?\Even so, he a prince of Ghost Realm.\Don't forget that it was his father who first captured you.\Hurry and leave. response:	A-Yin, wait for me. I will be back.
context: I would have already committed suicide.\On the day we escaped, if he hadn't protected Seventeenth\Seventeenth would have been disabled, if not dead.\Is that the truth?\Even so, he a prince of Ghost Realm.\Don't forget that it was his father who first captured you.\Hurry and leave.\A-Yin, wait for me. I will be back. response:	Leave quickly.
context: On the day we escaped, if he hadn't protected Seventeenth\Seventeenth would have been disabled, if not dead.\Is that the truth?\Even so, he a prince of Ghost Realm.\Don't forget that it was his father who first captured you.\Hurry and leave.\A-Yin, wait for me. I will be back.\Leave quickly. response:	- Don't go! - Senior!
context: Seventeenth would have been disabled, if not dead.\Is that the truth?\Even so, he a prince of Ghost Realm.\Don't forget that it was his father who first captured you.\Hurry and leave.\A-Yin, wait for me. I will be back.\Leave quickly.\- Don't go! - Senior! response:	Zi Lan!
context: Is that the truth?\Even so, he a prince of Ghost Realm.\Don't forget that it was his father who first captured you.\Hurry and leave.\A-Yin, wait for me. I will be back.\Leave quickly.\- Don't go! - Senior!\Zi Lan! response:	- Senior. - Chase him!
context: Even so, he a prince of Ghost Realm.\Don't forget that it was his father who first captured you.\Hurry and leave.\A-Yin, wait for me. I will be back.\Leave quickly.\- Don't go! - Senior!\Zi Lan!\- Senior. - Chase him! response:	- Yes! - Senior, let him go.
context: Don't forget that it was his father who first captured you.\Hurry and leave.\A-Yin, wait for me. I will be back.\Leave quickly.\- Don't go! - Senior!\Zi Lan!\- Senior. - Chase him!\- Yes! - Senior, let him go. response:	You two...
context: Hurry and leave.\A-Yin, wait for me. I will be back.\Leave quickly.\- Don't go! - Senior!\Zi Lan!\- Senior. - Chase him!\- Yes! - Senior, let him go.\You two... response:	I don't care anymore!
context: A-Yin, wait for me. I will be back.\Leave quickly.\- Don't go! - Senior!\Zi Lan!\- Senior. - Chase him!\- Yes! - Senior, let him go.\You two...\I don't care anymore! response:	Senior.
context: Leave quickly.\- Don't go! - Senior!\Zi Lan!\- Senior. - Chase him!\- Yes! - Senior, let him go.\You two...\I don't care anymore!\Senior. response:	I couldn't catch up to him.
context: - Don't go! - Senior!\Zi Lan!\- Senior. - Chase him!\- Yes! - Senior, let him go.\You two...\I don't care anymore!\Senior.\I couldn't catch up to him. response:	Judging from the direction he went
context: Zi Lan!\- Senior. - Chase him!\- Yes! - Senior, let him go.\You two...\I don't care anymore!\Senior.\I couldn't catch up to him.\Judging from the direction he went response:	he was headed towards the cave that has been sealed off.
context: - Senior. - Chase him!\- Yes! - Senior, let him go.\You two...\I don't care anymore!\Senior.\I couldn't catch up to him.\Judging from the direction he went\he was headed towards the cave that has been sealed off. response:	That cave?
context: - Yes! - Senior, let him go.\You two...\I don't care anymore!\Senior.\I couldn't catch up to him.\Judging from the direction he went\he was headed towards the cave that has been sealed off.\That cave? response:	Senior, are we still going after him?
context: You two...\I don't care anymore!\Senior.\I couldn't catch up to him.\Judging from the direction he went\he was headed towards the cave that has been sealed off.\That cave?\Senior, are we still going after him? response:	No need to.
context: I don't care anymore!\Senior.\I couldn't catch up to him.\Judging from the direction he went\he was headed towards the cave that has been sealed off.\That cave?\Senior, are we still going after him?\No need to. response:	Ninth is someone who knows right from wrong.
context: Senior.\I couldn't catch up to him.\Judging from the direction he went\he was headed towards the cave that has been sealed off.\That cave?\Senior, are we still going after him?\No need to.\Ninth is someone who knows right from wrong. response:	Yet, he spoke up for Li Ming.
context: I couldn't catch up to him.\Judging from the direction he went\he was headed towards the cave that has been sealed off.\That cave?\Senior, are we still going after him?\No need to.\Ninth is someone who knows right from wrong.\Yet, he spoke up for Li Ming. response:	He must not be a bad person. It's good enough that he left.
context: Judging from the direction he went\he was headed towards the cave that has been sealed off.\That cave?\Senior, are we still going after him?\No need to.\Ninth is someone who knows right from wrong.\Yet, he spoke up for Li Ming.\He must not be a bad person. It's good enough that he left. response:	Senior, I could feel a sinister aura coming from that cave from afar.
context: he was headed towards the cave that has been sealed off.\That cave?\Senior, are we still going after him?\No need to.\Ninth is someone who knows right from wrong.\Yet, he spoke up for Li Ming.\He must not be a bad person. It's good enough that he left.\Senior, I could feel a sinister aura coming from that cave from afar. response:	Master has also told us to stay away.
context: That cave?\Senior, are we still going after him?\No need to.\Ninth is someone who knows right from wrong.\Yet, he spoke up for Li Ming.\He must not be a bad person. It's good enough that he left.\Senior, I could feel a sinister aura coming from that cave from afar.\Master has also told us to stay away. response:	What is sealed in there?
context: Senior, are we still going after him?\No need to.\Ninth is someone who knows right from wrong.\Yet, he spoke up for Li Ming.\He must not be a bad person. It's good enough that he left.\Senior, I could feel a sinister aura coming from that cave from afar.\Master has also told us to stay away.\What is sealed in there? response:	The Lord of the Numinous Treasures borrowed that cave from Master.
context: No need to.\Ninth is someone who knows right from wrong.\Yet, he spoke up for Li Ming.\He must not be a bad person. It's good enough that he left.\Senior, I could feel a sinister aura coming from that cave from afar.\Master has also told us to stay away.\What is sealed in there?\The Lord of the Numinous Treasures borrowed that cave from Master. response:	It's said something with a strong demonic essence is kept there.
context: Ninth is someone who knows right from wrong.\Yet, he spoke up for Li Ming.\He must not be a bad person. It's good enough that he left.\Senior, I could feel a sinister aura coming from that cave from afar.\Master has also told us to stay away.\What is sealed in there?\The Lord of the Numinous Treasures borrowed that cave from Master.\It's said something with a strong demonic essence is kept there. response:	If the Ghost Prince is lucky, he will avoid it.
context: Yet, he spoke up for Li Ming.\He must not be a bad person. It's good enough that he left.\Senior, I could feel a sinister aura coming from that cave from afar.\Master has also told us to stay away.\What is sealed in there?\The Lord of the Numinous Treasures borrowed that cave from Master.\It's said something with a strong demonic essence is kept there.\If the Ghost Prince is lucky, he will avoid it. response:	If not, that is his fate.
context: He must not be a bad person. It's good enough that he left.\Senior, I could feel a sinister aura coming from that cave from afar.\Master has also told us to stay away.\What is sealed in there?\The Lord of the Numinous Treasures borrowed that cave from Master.\It's said something with a strong demonic essence is kept there.\If the Ghost Prince is lucky, he will avoid it.\If not, that is his fate. response:	Si Yin, how come you were in the mood to come down from the mountain with me?
context: Senior, I could feel a sinister aura coming from that cave from afar.\Master has also told us to stay away.\What is sealed in there?\The Lord of the Numinous Treasures borrowed that cave from Master.\It's said something with a strong demonic essence is kept there.\If the Ghost Prince is lucky, he will avoid it.\If not, that is his fate.\Si Yin, how come you were in the mood to come down from the mountain with me? response:	I happen to have free time today, so I'm taking you around.
context: Master has also told us to stay away.\What is sealed in there?\The Lord of the Numinous Treasures borrowed that cave from Master.\It's said something with a strong demonic essence is kept there.\If the Ghost Prince is lucky, he will avoid it.\If not, that is his fate.\Si Yin, how come you were in the mood to come down from the mountain with me?\I happen to have free time today, so I'm taking you around. response:	I heard Senior Disciple had a fight with someone today.
context: What is sealed in there?\The Lord of the Numinous Treasures borrowed that cave from Master.\It's said something with a strong demonic essence is kept there.\If the Ghost Prince is lucky, he will avoid it.\If not, that is his fate.\Si Yin, how come you were in the mood to come down from the mountain with me?\I happen to have free time today, so I'm taking you around.\I heard Senior Disciple had a fight with someone today. response:	I heard that person is a prince.
context: The Lord of the Numinous Treasures borrowed that cave from Master.\It's said something with a strong demonic essence is kept there.\If the Ghost Prince is lucky, he will avoid it.\If not, that is his fate.\Si Yin, how come you were in the mood to come down from the mountain with me?\I happen to have free time today, so I'm taking you around.\I heard Senior Disciple had a fight with someone today.\I heard that person is a prince. response:	Ever since you returned from the Ghost Realm
context: It's said something with a strong demonic essence is kept there.\If the Ghost Prince is lucky, he will avoid it.\If not, that is his fate.\Si Yin, how come you were in the mood to come down from the mountain with me?\I happen to have free time today, so I'm taking you around.\I heard Senior Disciple had a fight with someone today.\I heard that person is a prince.\Ever since you returned from the Ghost Realm response:	you've been studying texts on immortal powers and Daoism every day.
context: If the Ghost Prince is lucky, he will avoid it.\If not, that is his fate.\Si Yin, how come you were in the mood to come down from the mountain with me?\I happen to have free time today, so I'm taking you around.\I heard Senior Disciple had a fight with someone today.\I heard that person is a prince.\Ever since you returned from the Ghost Realm\you've been studying texts on immortal powers and Daoism every day. response:	Is it because the Ghost Realm is really going to rebel?
context: If not, that is his fate.\Si Yin, how come you were in the mood to come down from the mountain with me?\I happen to have free time today, so I'm taking you around.\I heard Senior Disciple had a fight with someone today.\I heard that person is a prince.\Ever since you returned from the Ghost Realm\you've been studying texts on immortal powers and Daoism every day.\Is it because the Ghost Realm is really going to rebel? response:	Why would you suddenly ask that?
context: Si Yin, how come you were in the mood to come down from the mountain with me?\I happen to have free time today, so I'm taking you around.\I heard Senior Disciple had a fight with someone today.\I heard that person is a prince.\Ever since you returned from the Ghost Realm\you've been studying texts on immortal powers and Daoism every day.\Is it because the Ghost Realm is really going to rebel?\Why would you suddenly ask that? response:	When I lived at Qian Qian's Den
context: I happen to have free time today, so I'm taking you around.\I heard Senior Disciple had a fight with someone today.\I heard that person is a prince.\Ever since you returned from the Ghost Realm\you've been studying texts on immortal powers and Daoism every day.\Is it because the Ghost Realm is really going to rebel?\Why would you suddenly ask that?\When I lived at Qian Qian's Den response:	I would sometimes hear her say that
context: I heard Senior Disciple had a fight with someone today.\I heard that person is a prince.\Ever since you returned from the Ghost Realm\you've been studying texts on immortal powers and Daoism every day.\Is it because the Ghost Realm is really going to rebel?\Why would you suddenly ask that?\When I lived at Qian Qian's Den\I would sometimes hear her say that response:	the current Ghost Lord has a rebellious heart
context: I heard that person is a prince.\Ever since you returned from the Ghost Realm\you've been studying texts on immortal powers and Daoism every day.\Is it because the Ghost Realm is really going to rebel?\Why would you suddenly ask that?\When I lived at Qian Qian's Den\I would sometimes hear her say that\the current Ghost Lord has a rebellious heart response:	and there will end up being a big war.
context: Ever since you returned from the Ghost Realm\you've been studying texts on immortal powers and Daoism every day.\Is it because the Ghost Realm is really going to rebel?\Why would you suddenly ask that?\When I lived at Qian Qian's Den\I would sometimes hear her say that\the current Ghost Lord has a rebellious heart\and there will end up being a big war. response:	That is indeed the case.
context: you've been studying texts on immortal powers and Daoism every day.\Is it because the Ghost Realm is really going to rebel?\Why would you suddenly ask that?\When I lived at Qian Qian's Den\I would sometimes hear her say that\the current Ghost Lord has a rebellious heart\and there will end up being a big war.\That is indeed the case. response:	However, they won't be able to revolt.
context: Is it because the Ghost Realm is really going to rebel?\Why would you suddenly ask that?\When I lived at Qian Qian's Den\I would sometimes hear her say that\the current Ghost Lord has a rebellious heart\and there will end up being a big war.\That is indeed the case.\However, they won't be able to revolt. response:	My master's formation spells are enough to decimate their tribe.
context: Why would you suddenly ask that?\When I lived at Qian Qian's Den\I would sometimes hear her say that\the current Ghost Lord has a rebellious heart\and there will end up being a big war.\That is indeed the case.\However, they won't be able to revolt.\My master's formation spells are enough to decimate their tribe. response:	Formation spells?
context: When I lived at Qian Qian's Den\I would sometimes hear her say that\the current Ghost Lord has a rebellious heart\and there will end up being a big war.\That is indeed the case.\However, they won't be able to revolt.\My master's formation spells are enough to decimate their tribe.\Formation spells? response:	Who is it?
context: I would sometimes hear her say that\the current Ghost Lord has a rebellious heart\and there will end up being a big war.\That is indeed the case.\However, they won't be able to revolt.\My master's formation spells are enough to decimate their tribe.\Formation spells?\Who is it? response:	Immortal.
context: the current Ghost Lord has a rebellious heart\and there will end up being a big war.\That is indeed the case.\However, they won't be able to revolt.\My master's formation spells are enough to decimate their tribe.\Formation spells?\Who is it?\Immortal. response:	Where did you come from, little monster?
context: and there will end up being a big war.\That is indeed the case.\However, they won't be able to revolt.\My master's formation spells are enough to decimate their tribe.\Formation spells?\Who is it?\Immortal.\Where did you come from, little monster? response:	Don't you know this is Kunlun Mountain?
context: That is indeed the case.\However, they won't be able to revolt.\My master's formation spells are enough to decimate their tribe.\Formation spells?\Who is it?\Immortal.\Where did you come from, little monster?\Don't you know this is Kunlun Mountain? response:	Immortal, follow me quickly to save my Second Prince.
context: However, they won't be able to revolt.\My master's formation spells are enough to decimate their tribe.\Formation spells?\Who is it?\Immortal.\Where did you come from, little monster?\Don't you know this is Kunlun Mountain?\Immortal, follow me quickly to save my Second Prince. response:	Are you speaking of Li Jing?
context: My master's formation spells are enough to decimate their tribe.\Formation spells?\Who is it?\Immortal.\Where did you come from, little monster?\Don't you know this is Kunlun Mountain?\Immortal, follow me quickly to save my Second Prince.\Are you speaking of Li Jing? response:	Go, I'll follow you.
context: Formation spells?\Who is it?\Immortal.\Where did you come from, little monster?\Don't you know this is Kunlun Mountain?\Immortal, follow me quickly to save my Second Prince.\Are you speaking of Li Jing?\Go, I'll follow you. response:	Si Yin!
context: Who is it?\Immortal.\Where did you come from, little monster?\Don't you know this is Kunlun Mountain?\Immortal, follow me quickly to save my Second Prince.\Are you speaking of Li Jing?\Go, I'll follow you.\Si Yin! response:	Li Jing!
context: Immortal.\Where did you come from, little monster?\Don't you know this is Kunlun Mountain?\Immortal, follow me quickly to save my Second Prince.\Are you speaking of Li Jing?\Go, I'll follow you.\Si Yin!\Li Jing! response:	Li Jing, let's go.
context: Where did you come from, little monster?\Don't you know this is Kunlun Mountain?\Immortal, follow me quickly to save my Second Prince.\Are you speaking of Li Jing?\Go, I'll follow you.\Si Yin!\Li Jing!\Li Jing, let's go. response:	Li Jing!
context: Don't you know this is Kunlun Mountain?\Immortal, follow me quickly to save my Second Prince.\Are you speaking of Li Jing?\Go, I'll follow you.\Si Yin!\Li Jing!\Li Jing, let's go.\Li Jing! response:	Your Highness, Your Highness! Are you all right?
context: Immortal, follow me quickly to save my Second Prince.\Are you speaking of Li Jing?\Go, I'll follow you.\Si Yin!\Li Jing!\Li Jing, let's go.\Li Jing!\Your Highness, Your Highness! Are you all right? response:	Have mercy!
context: Are you speaking of Li Jing?\Go, I'll follow you.\Si Yin!\Li Jing!\Li Jing, let's go.\Li Jing!\Your Highness, Your Highness! Are you all right?\Have mercy! response:	Lord of Numinous Treasures.
context: Go, I'll follow you.\Si Yin!\Li Jing!\Li Jing, let's go.\Li Jing!\Your Highness, Your Highness! Are you all right?\Have mercy!\Lord of Numinous Treasures. response:	You have so quickly gloriously risen to the rank of high immortal.
context: Si Yin!\Li Jing!\Li Jing, let's go.\Li Jing!\Your Highness, Your Highness! Are you all right?\Have mercy!\Lord of Numinous Treasures.\You have so quickly gloriously risen to the rank of high immortal. response:	Your Highness.
context: Li Jing!\Li Jing, let's go.\Li Jing!\Your Highness, Your Highness! Are you all right?\Have mercy!\Lord of Numinous Treasures.\You have so quickly gloriously risen to the rank of high immortal.\Your Highness. response:	It only happened a few days ago.
context: Li Jing, let's go.\Li Jing!\Your Highness, Your Highness! Are you all right?\Have mercy!\Lord of Numinous Treasures.\You have so quickly gloriously risen to the rank of high immortal.\Your Highness.\It only happened a few days ago. response:	Are you here to see Master, my Lord?
context: Li Jing!\Your Highness, Your Highness! Are you all right?\Have mercy!\Lord of Numinous Treasures.\You have so quickly gloriously risen to the rank of high immortal.\Your Highness.\It only happened a few days ago.\Are you here to see Master, my Lord? response:	No.
context: Your Highness, Your Highness! Are you all right?\Have mercy!\Lord of Numinous Treasures.\You have so quickly gloriously risen to the rank of high immortal.\Your Highness.\It only happened a few days ago.\Are you here to see Master, my Lord?\No. response:	I had set a seal on this phoenix.
context: Have mercy!\Lord of Numinous Treasures.\You have so quickly gloriously risen to the rank of high immortal.\Your Highness.\It only happened a few days ago.\Are you here to see Master, my Lord?\No.\I had set a seal on this phoenix. response:	Just now, I sensed unusual activity, so I came to take a look.
