context: A tall, tall wall looms in front of me. response:	What's the view on the other side?
context: But we're going to do it.\Whoops, sorry! Come on.\They're huge.\What the...\Victory Kitagawa Daiichi Junior High School\Kita-Ichi!\Kita-Ichi!\It's Kitagawa Daiichi. response:	They're huge.
context: Whoops, sorry! Come on.\They're huge.\What the...\Victory Kitagawa Daiichi Junior High School\Kita-Ichi!\Kita-Ichi!\It's Kitagawa Daiichi.\They're huge. response:	They're so intimidating.
context: They're huge.\What the...\Victory Kitagawa Daiichi Junior High School\Kita-Ichi!\Kita-Ichi!\It's Kitagawa Daiichi.\They're huge.\They're so intimidating. response:	They're candidates to win.
context: What the...\Victory Kitagawa Daiichi Junior High School\Kita-Ichi!\Kita-Ichi!\It's Kitagawa Daiichi.\They're huge.\They're so intimidating.\They're candidates to win. response:	The king is among them.
context: Victory Kitagawa Daiichi Junior High School\Kita-Ichi!\Kita-Ichi!\It's Kitagawa Daiichi.\They're huge.\They're so intimidating.\They're candidates to win.\The king is among them. response:	Who's that?
context: Kita-Ichi!\Kita-Ichi!\It's Kitagawa Daiichi.\They're huge.\They're so intimidating.\They're candidates to win.\The king is among them.\Who's that? response:	Don't you know?
context: Kita-Ichi!\It's Kitagawa Daiichi.\They're huge.\They're so intimidating.\They're candidates to win.\The king is among them.\Who's that?\Don't you know? response:	It's Kageyama Tobio.
context: It's Kitagawa Daiichi.\They're huge.\They're so intimidating.\They're candidates to win.\The king is among them.\Who's that?\Don't you know?\It's Kageyama Tobio. response:	They call him the King of the Court. He's an amazing setter.
context: They're huge.\They're so intimidating.\They're candidates to win.\The king is among them.\Who's that?\Don't you know?\It's Kageyama Tobio.\They call him the King of the Court. He's an amazing setter. response:	We're playing against those guys?
context: They're so intimidating.\They're candidates to win.\The king is among them.\Who's that?\Don't you know?\It's Kageyama Tobio.\They call him the King of the Court. He's an amazing setter.\We're playing against those guys? response:	What's this king stuff?
context: They're candidates to win.\The king is among them.\Who's that?\Don't you know?\It's Kageyama Tobio.\They call him the King of the Court. He's an amazing setter.\We're playing against those guys?\What's this king stuff? response:	Don't worry about it!
context: The king is among them.\Who's that?\Don't you know?\It's Kageyama Tobio.\They call him the King of the Court. He's an amazing setter.\We're playing against those guys?\What's this king stuff?\Don't worry about it! response:	Who cares how lanky they are?! I'll shoot past them.
context: Who's that?\Don't you know?\It's Kageyama Tobio.\They call him the King of the Court. He's an amazing setter.\We're playing against those guys?\What's this king stuff?\Don't worry about it!\Who cares how lanky they are?! I'll shoot past them. response:	That's right, Sho-chan's jump is amazing.
context: Don't you know?\It's Kageyama Tobio.\They call him the King of the Court. He's an amazing setter.\We're playing against those guys?\What's this king stuff?\Don't worry about it!\Who cares how lanky they are?! I'll shoot past them.\That's right, Sho-chan's jump is amazing. response:	We're counting on you!
context: It's Kageyama Tobio.\They call him the King of the Court. He's an amazing setter.\We're playing against those guys?\What's this king stuff?\Don't worry about it!\Who cares how lanky they are?! I'll shoot past them.\That's right, Sho-chan's jump is amazing.\We're counting on you! response:	But first, the bathroom...
context: They call him the King of the Court. He's an amazing setter.\We're playing against those guys?\What's this king stuff?\Don't worry about it!\Who cares how lanky they are?! I'll shoot past them.\That's right, Sho-chan's jump is amazing.\We're counting on you!\But first, the bathroom... response:	I never even heard of Yukigaoka Junior High.
context: We're playing against those guys?\What's this king stuff?\Don't worry about it!\Who cares how lanky they are?! I'll shoot past them.\That's right, Sho-chan's jump is amazing.\We're counting on you!\But first, the bathroom...\I never even heard of Yukigaoka Junior High. response:	They're small in number it seems.
context: What's this king stuff?\Don't worry about it!\Who cares how lanky they are?! I'll shoot past them.\That's right, Sho-chan's jump is amazing.\We're counting on you!\But first, the bathroom...\I never even heard of Yukigaoka Junior High.\They're small in number it seems. response:	They don't even have a libero.
context: Don't worry about it!\Who cares how lanky they are?! I'll shoot past them.\That's right, Sho-chan's jump is amazing.\We're counting on you!\But first, the bathroom...\I never even heard of Yukigaoka Junior High.\They're small in number it seems.\They don't even have a libero. response:	They're the height of elementary school kids.
context: Who cares how lanky they are?! I'll shoot past them.\That's right, Sho-chan's jump is amazing.\We're counting on you!\But first, the bathroom...\I never even heard of Yukigaoka Junior High.\They're small in number it seems.\They don't even have a libero.\They're the height of elementary school kids. response:	They're no match for us.
context: That's right, Sho-chan's jump is amazing.\We're counting on you!\But first, the bathroom...\I never even heard of Yukigaoka Junior High.\They're small in number it seems.\They don't even have a libero.\They're the height of elementary school kids.\They're no match for us. response:	Hey, dudes.
context: We're counting on you!\But first, the bathroom...\I never even heard of Yukigaoka Junior High.\They're small in number it seems.\They don't even have a libero.\They're the height of elementary school kids.\They're no match for us.\Hey, dudes. response:	Don't underestimate us.
context: But first, the bathroom...\I never even heard of Yukigaoka Junior High.\They're small in number it seems.\They don't even have a libero.\They're the height of elementary school kids.\They're no match for us.\Hey, dudes.\Don't underestimate us. response:	Soon as my stomach settles,
context: I never even heard of Yukigaoka Junior High.\They're small in number it seems.\They don't even have a libero.\They're the height of elementary school kids.\They're no match for us.\Hey, dudes.\Don't underestimate us.\Soon as my stomach settles, response:	I'll teach you guys a lesson,
context: They're small in number it seems.\They don't even have a libero.\They're the height of elementary school kids.\They're no match for us.\Hey, dudes.\Don't underestimate us.\Soon as my stomach settles,\I'll teach you guys a lesson, response:	so be ready.
context: They don't even have a libero.\They're the height of elementary school kids.\They're no match for us.\Hey, dudes.\Don't underestimate us.\Soon as my stomach settles,\I'll teach you guys a lesson,\so be ready. response:	Is this guy serious?
context: They're the height of elementary school kids.\They're no match for us.\Hey, dudes.\Don't underestimate us.\Soon as my stomach settles,\I'll teach you guys a lesson,\so be ready.\Is this guy serious? response:	Yes, sir. We'll be ready!
context: They're no match for us.\Hey, dudes.\Don't underestimate us.\Soon as my stomach settles,\I'll teach you guys a lesson,\so be ready.\Is this guy serious?\Yes, sir. We'll be ready! response:	Elementary school.
context: Hey, dudes.\Don't underestimate us.\Soon as my stomach settles,\I'll teach you guys a lesson,\so be ready.\Is this guy serious?\Yes, sir. We'll be ready!\Elementary school. response:	He's got the captain label on him.
context: Don't underestimate us.\Soon as my stomach settles,\I'll teach you guys a lesson,\so be ready.\Is this guy serious?\Yes, sir. We'll be ready!\Elementary school.\He's got the captain label on him. response:	Making fun of me...
context: Soon as my stomach settles,\I'll teach you guys a lesson,\so be ready.\Is this guy serious?\Yes, sir. We'll be ready!\Elementary school.\He's got the captain label on him.\Making fun of me... response:	Hey, second-year.
context: I'll teach you guys a lesson,\so be ready.\Is this guy serious?\Yes, sir. We'll be ready!\Elementary school.\He's got the captain label on him.\Making fun of me...\Hey, second-year. response:	It's time for the official warm-up.
context: so be ready.\Is this guy serious?\Yes, sir. We'll be ready!\Elementary school.\He's got the captain label on him.\Making fun of me...\Hey, second-year.\It's time for the official warm-up. response:	Hurry it up.
context: Is this guy serious?\Yes, sir. We'll be ready!\Elementary school.\He's got the captain label on him.\Making fun of me...\Hey, second-year.\It's time for the official warm-up.\Hurry it up. response:	I'm sorry, right away.
context: Yes, sir. We'll be ready!\Elementary school.\He's got the captain label on him.\Making fun of me...\Hey, second-year.\It's time for the official warm-up.\Hurry it up.\I'm sorry, right away. response:	Bad news, it's Kageyama-senpai.
context: Elementary school.\He's got the captain label on him.\Making fun of me...\Hey, second-year.\It's time for the official warm-up.\Hurry it up.\I'm sorry, right away.\Bad news, it's Kageyama-senpai. response:	Hurry up, two more energy drinks!
context: He's got the captain label on him.\Making fun of me...\Hey, second-year.\It's time for the official warm-up.\Hurry it up.\I'm sorry, right away.\Bad news, it's Kageyama-senpai.\Hurry up, two more energy drinks! response:	We don't need to drink that much.
context: Making fun of me...\Hey, second-year.\It's time for the official warm-up.\Hurry it up.\I'm sorry, right away.\Bad news, it's Kageyama-senpai.\Hurry up, two more energy drinks!\We don't need to drink that much. response:	Just look at our opponent.
context: Hey, second-year.\It's time for the official warm-up.\Hurry it up.\I'm sorry, right away.\Bad news, it's Kageyama-senpai.\Hurry up, two more energy drinks!\We don't need to drink that much.\Just look at our opponent. response:	That's for sure.
context: It's time for the official warm-up.\Hurry it up.\I'm sorry, right away.\Bad news, it's Kageyama-senpai.\Hurry up, two more energy drinks!\We don't need to drink that much.\Just look at our opponent.\That's for sure. response:	What did you say?
context: Hurry it up.\I'm sorry, right away.\Bad news, it's Kageyama-senpai.\Hurry up, two more energy drinks!\We don't need to drink that much.\Just look at our opponent.\That's for sure.\What did you say? response:	You guys.
context: I'm sorry, right away.\Bad news, it's Kageyama-senpai.\Hurry up, two more energy drinks!\We don't need to drink that much.\Just look at our opponent.\That's for sure.\What did you say?\You guys. response:	You're not even on the bench.
context: Bad news, it's Kageyama-senpai.\Hurry up, two more energy drinks!\We don't need to drink that much.\Just look at our opponent.\That's for sure.\What did you say?\You guys.\You're not even on the bench. response:	You think you're good enough to look down on your opponent?
context: Hurry up, two more energy drinks!\We don't need to drink that much.\Just look at our opponent.\That's for sure.\What did you say?\You guys.\You're not even on the bench.\You think you're good enough to look down on your opponent? response:	Don't ride the coattails of your school's reputation.
context: We don't need to drink that much.\Just look at our opponent.\That's for sure.\What did you say?\You guys.\You're not even on the bench.\You think you're good enough to look down on your opponent?\Don't ride the coattails of your school's reputation. response:	S-Sorry!
context: Just look at our opponent.\That's for sure.\What did you say?\You guys.\You're not even on the bench.\You think you're good enough to look down on your opponent?\Don't ride the coattails of your school's reputation.\S-Sorry! response:	Scary...
context: That's for sure.\What did you say?\You guys.\You're not even on the bench.\You think you're good enough to look down on your opponent?\Don't ride the coattails of your school's reputation.\S-Sorry!\Scary... response:	I was going to tell them a thing or two myself, too.
context: What did you say?\You guys.\You're not even on the bench.\You think you're good enough to look down on your opponent?\Don't ride the coattails of your school's reputation.\S-Sorry!\Scary...\I was going to tell them a thing or two myself, too. response:	You're not even physically ready. Don't talk big.
context: You guys.\You're not even on the bench.\You think you're good enough to look down on your opponent?\Don't ride the coattails of your school's reputation.\S-Sorry!\Scary...\I was going to tell them a thing or two myself, too.\You're not even physically ready. Don't talk big. response:	That's why they look down on you.
context: You're not even on the bench.\You think you're good enough to look down on your opponent?\Don't ride the coattails of your school's reputation.\S-Sorry!\Scary...\I was going to tell them a thing or two myself, too.\You're not even physically ready. Don't talk big.\That's why they look down on you. response:	What did you say?
context: You think you're good enough to look down on your opponent?\Don't ride the coattails of your school's reputation.\S-Sorry!\Scary...\I was going to tell them a thing or two myself, too.\You're not even physically ready. Don't talk big.\That's why they look down on you.\What did you say? response:	What are you doing here, anyway?
context: Don't ride the coattails of your school's reputation.\S-Sorry!\Scary...\I was going to tell them a thing or two myself, too.\You're not even physically ready. Don't talk big.\That's why they look down on you.\What did you say?\What are you doing here, anyway? response:	Making memories?
context: S-Sorry!\Scary...\I was going to tell them a thing or two myself, too.\You're not even physically ready. Don't talk big.\That's why they look down on you.\What did you say?\What are you doing here, anyway?\Making memories? response:	I came here to win. Nothing else.
context: Scary...\I was going to tell them a thing or two myself, too.\You're not even physically ready. Don't talk big.\That's why they look down on you.\What did you say?\What are you doing here, anyway?\Making memories?\I came here to win. Nothing else. response:	You make it sound so easy.
context: I was going to tell them a thing or two myself, too.\You're not even physically ready. Don't talk big.\That's why they look down on you.\What did you say?\What are you doing here, anyway?\Making memories?\I came here to win. Nothing else.\You make it sound so easy. response:	Sure, I'm not tall.
context: You're not even physically ready. Don't talk big.\That's why they look down on you.\What did you say?\What are you doing here, anyway?\Making memories?\I came here to win. Nothing else.\You make it sound so easy.\Sure, I'm not tall. response:	But...
context: That's why they look down on you.\What did you say?\What are you doing here, anyway?\Making memories?\I came here to win. Nothing else.\You make it sound so easy.\Sure, I'm not tall.\But... response:	I can jump.
context: What did you say?\What are you doing here, anyway?\Making memories?\I came here to win. Nothing else.\You make it sound so easy.\Sure, I'm not tall.\But...\I can jump. response:	You can't assume we'll lose,
context: What are you doing here, anyway?\Making memories?\I came here to win. Nothing else.\You make it sound so easy.\Sure, I'm not tall.\But...\I can jump.\You can't assume we'll lose, response:	as long as we don't give up
context: Making memories?\I came here to win. Nothing else.\You make it sound so easy.\Sure, I'm not tall.\But...\I can jump.\You can't assume we'll lose,\as long as we don't give up response:	Don't give up.
context: I came here to win. Nothing else.\You make it sound so easy.\Sure, I'm not tall.\But...\I can jump.\You can't assume we'll lose,\as long as we don't give up\Don't give up. response:	That's not as easy as it sounds.
context: You make it sound so easy.\Sure, I'm not tall.\But...\I can jump.\You can't assume we'll lose,\as long as we don't give up\Don't give up.\That's not as easy as it sounds. response:	The six of us...
context: Sure, I'm not tall.\But...\I can jump.\You can't assume we'll lose,\as long as we don't give up\Don't give up.\That's not as easy as it sounds.\The six of us... response:	the six of us can finally play volleyball on the court.
context: But...\I can jump.\You can't assume we'll lose,\as long as we don't give up\Don't give up.\That's not as easy as it sounds.\The six of us...\the six of us can finally play volleyball on the court. response:	The first game, second game...
context: I can jump.\You can't assume we'll lose,\as long as we don't give up\Don't give up.\That's not as easy as it sounds.\The six of us...\the six of us can finally play volleyball on the court.\The first game, second game... response:	We'll win and keep winning.
context: You can't assume we'll lose,\as long as we don't give up\Don't give up.\That's not as easy as it sounds.\The six of us...\the six of us can finally play volleyball on the court.\The first game, second game...\We'll win and keep winning. response:	We're going to give it our all!
context: as long as we don't give up\Don't give up.\That's not as easy as it sounds.\The six of us...\the six of us can finally play volleyball on the court.\The first game, second game...\We'll win and keep winning.\We're going to give it our all! response:	The first game, second game,
context: Don't give up.\That's not as easy as it sounds.\The six of us...\the six of us can finally play volleyball on the court.\The first game, second game...\We'll win and keep winning.\We're going to give it our all!\The first game, second game, response:	the playoffs, the nationals...
context: That's not as easy as it sounds.\The six of us...\the six of us can finally play volleyball on the court.\The first game, second game...\We'll win and keep winning.\We're going to give it our all!\The first game, second game,\the playoffs, the nationals... response:	I'm going to win them all.
context: The six of us...\the six of us can finally play volleyball on the court.\The first game, second game...\We'll win and keep winning.\We're going to give it our all!\The first game, second game,\the playoffs, the nationals...\I'm going to win them all. response:	Sho-chan.
context: the six of us can finally play volleyball on the court.\The first game, second game...\We'll win and keep winning.\We're going to give it our all!\The first game, second game,\the playoffs, the nationals...\I'm going to win them all.\Sho-chan. response:	Izumi.
context: The first game, second game...\We'll win and keep winning.\We're going to give it our all!\The first game, second game,\the playoffs, the nationals...\I'm going to win them all.\Sho-chan.\Izumi. response:	Why are you making that scary guy mad?
context: We'll win and keep winning.\We're going to give it our all!\The first game, second game,\the playoffs, the nationals...\I'm going to win them all.\Sho-chan.\Izumi.\Why are you making that scary guy mad? response:	Weren't you going to the bathroom?
context: We're going to give it our all!\The first game, second game,\the playoffs, the nationals...\I'm going to win them all.\Sho-chan.\Izumi.\Why are you making that scary guy mad?\Weren't you going to the bathroom? response:	Let's get back, hurry.
