context: Arrow, where are you headed? response:	We're going to shoot him, too?
context: Yoshikage Kira...\What do you look like now, and what is your name?\Where are you?\Summer...\There are many more tourists around town now.\Yeah...\I doubt that he'll be able to stay put.\I'm sure he won't be able to resist making a move. response:	The summer season is finally upon us.
context: What do you look like now, and what is your name?\Where are you?\Summer...\There are many more tourists around town now.\Yeah...\I doubt that he'll be able to stay put.\I'm sure he won't be able to resist making a move.\The summer season is finally upon us. response:	On July 1st, the beach and rivers in Morioh were opened to the public.
context: Where are you?\Summer...\There are many more tourists around town now.\Yeah...\I doubt that he'll be able to stay put.\I'm sure he won't be able to resist making a move.\The summer season is finally upon us.\On July 1st, the beach and rivers in Morioh were opened to the public. response:	There are hordes of tourists from the capital and S City,
context: Summer...\There are many more tourists around town now.\Yeah...\I doubt that he'll be able to stay put.\I'm sure he won't be able to resist making a move.\The summer season is finally upon us.\On July 1st, the beach and rivers in Morioh were opened to the public.\There are hordes of tourists from the capital and S City, response:	making the town even livelier.
context: There are many more tourists around town now.\Yeah...\I doubt that he'll be able to stay put.\I'm sure he won't be able to resist making a move.\The summer season is finally upon us.\On July 1st, the beach and rivers in Morioh were opened to the public.\There are hordes of tourists from the capital and S City,\making the town even livelier. response:	Relaxing at a summer villa, camping, fishing, yachting...
context: Yeah...\I doubt that he'll be able to stay put.\I'm sure he won't be able to resist making a move.\The summer season is finally upon us.\On July 1st, the beach and rivers in Morioh were opened to the public.\There are hordes of tourists from the capital and S City,\making the town even livelier.\Relaxing at a summer villa, camping, fishing, yachting... response:	There are many fun activities to find here this time of year!
context: I doubt that he'll be able to stay put.\I'm sure he won't be able to resist making a move.\The summer season is finally upon us.\On July 1st, the beach and rivers in Morioh were opened to the public.\There are hordes of tourists from the capital and S City,\making the town even livelier.\Relaxing at a summer villa, camping, fishing, yachting...\There are many fun activities to find here this time of year! response:	How are you all going to enjoy your summer?
context: I'm sure he won't be able to resist making a move.\The summer season is finally upon us.\On July 1st, the beach and rivers in Morioh were opened to the public.\There are hordes of tourists from the capital and S City,\making the town even livelier.\Relaxing at a summer villa, camping, fishing, yachting...\There are many fun activities to find here this time of year!\How are you all going to enjoy your summer? response:	Yes, many fun things...
context: The summer season is finally upon us.\On July 1st, the beach and rivers in Morioh were opened to the public.\There are hordes of tourists from the capital and S City,\making the town even livelier.\Relaxing at a summer villa, camping, fishing, yachting...\There are many fun activities to find here this time of year!\How are you all going to enjoy your summer?\Yes, many fun things... response:	I'm sure he has
context: On July 1st, the beach and rivers in Morioh were opened to the public.\There are hordes of tourists from the capital and S City,\making the town even livelier.\Relaxing at a summer villa, camping, fishing, yachting...\There are many fun activities to find here this time of year!\How are you all going to enjoy your summer?\Yes, many fun things...\I'm sure he has response:	many fun things to do, too.
context: There are hordes of tourists from the capital and S City,\making the town even livelier.\Relaxing at a summer villa, camping, fishing, yachting...\There are many fun activities to find here this time of year!\How are you all going to enjoy your summer?\Yes, many fun things...\I'm sure he has\many fun things to do, too. response:	People live while hiding what's deep in their hearts from others.
context: making the town even livelier.\Relaxing at a summer villa, camping, fishing, yachting...\There are many fun activities to find here this time of year!\How are you all going to enjoy your summer?\Yes, many fun things...\I'm sure he has\many fun things to do, too.\People live while hiding what's deep in their hearts from others. response:	But...
context: Relaxing at a summer villa, camping, fishing, yachting...\There are many fun activities to find here this time of year!\How are you all going to enjoy your summer?\Yes, many fun things...\I'm sure he has\many fun things to do, too.\People live while hiding what's deep in their hearts from others.\But... response:	Is there anyone who has
context: There are many fun activities to find here this time of year!\How are you all going to enjoy your summer?\Yes, many fun things...\I'm sure he has\many fun things to do, too.\People live while hiding what's deep in their hearts from others.\But...\Is there anyone who has response:	been able to hide their true self from others forever?
context: How are you all going to enjoy your summer?\Yes, many fun things...\I'm sure he has\many fun things to do, too.\People live while hiding what's deep in their hearts from others.\But...\Is there anyone who has\been able to hide their true self from others forever? response:	Damn it!
context: Yes, many fun things...\I'm sure he has\many fun things to do, too.\People live while hiding what's deep in their hearts from others.\But...\Is there anyone who has\been able to hide their true self from others forever?\Damn it! response:	I want to show that woman the true Yoshikage Kira.
context: I'm sure he has\many fun things to do, too.\People live while hiding what's deep in their hearts from others.\But...\Is there anyone who has\been able to hide their true self from others forever?\Damn it!\I want to show that woman the true Yoshikage Kira. response:	I want her to hear how I feel deep down inside...
context: many fun things to do, too.\People live while hiding what's deep in their hearts from others.\But...\Is there anyone who has\been able to hide their true self from others forever?\Damn it!\I want to show that woman the true Yoshikage Kira.\I want her to hear how I feel deep down inside... response:	That I want to take your slender neck into these hands
context: People live while hiding what's deep in their hearts from others.\But...\Is there anyone who has\been able to hide their true self from others forever?\Damn it!\I want to show that woman the true Yoshikage Kira.\I want her to hear how I feel deep down inside...\That I want to take your slender neck into these hands response:	and strangle you to death.
context: But...\Is there anyone who has\been able to hide their true self from others forever?\Damn it!\I want to show that woman the true Yoshikage Kira.\I want her to hear how I feel deep down inside...\That I want to take your slender neck into these hands\and strangle you to death. response:	When my nails are growing, I become unable to suppress my urges.
context: Is there anyone who has\been able to hide their true self from others forever?\Damn it!\I want to show that woman the true Yoshikage Kira.\I want her to hear how I feel deep down inside...\That I want to take your slender neck into these hands\and strangle you to death.\When my nails are growing, I become unable to suppress my urges. response:	I just need to be patient until it subsides.
context: been able to hide their true self from others forever?\Damn it!\I want to show that woman the true Yoshikage Kira.\I want her to hear how I feel deep down inside...\That I want to take your slender neck into these hands\and strangle you to death.\When my nails are growing, I become unable to suppress my urges.\I just need to be patient until it subsides. response:	I'm still not able to perfectly mimic his handwriting.
context: Damn it!\I want to show that woman the true Yoshikage Kira.\I want her to hear how I feel deep down inside...\That I want to take your slender neck into these hands\and strangle you to death.\When my nails are growing, I become unable to suppress my urges.\I just need to be patient until it subsides.\I'm still not able to perfectly mimic his handwriting. response:	Kosaku Kawajiri
context: I want to show that woman the true Yoshikage Kira.\I want her to hear how I feel deep down inside...\That I want to take your slender neck into these hands\and strangle you to death.\When my nails are growing, I become unable to suppress my urges.\I just need to be patient until it subsides.\I'm still not able to perfectly mimic his handwriting.\Kosaku Kawajiri response:	Kosaku
context: I want her to hear how I feel deep down inside...\That I want to take your slender neck into these hands\and strangle you to death.\When my nails are growing, I become unable to suppress my urges.\I just need to be patient until it subsides.\I'm still not able to perfectly mimic his handwriting.\Kosaku Kawajiri\Kosaku response:	Josuke Higashikata... Jotaro Kujo...
context: That I want to take your slender neck into these hands\and strangle you to death.\When my nails are growing, I become unable to suppress my urges.\I just need to be patient until it subsides.\I'm still not able to perfectly mimic his handwriting.\Kosaku Kawajiri\Kosaku\Josuke Higashikata... Jotaro Kujo... response:	It's because of them that I'm in this mess.
context: and strangle you to death.\When my nails are growing, I become unable to suppress my urges.\I just need to be patient until it subsides.\I'm still not able to perfectly mimic his handwriting.\Kosaku Kawajiri\Kosaku\Josuke Higashikata... Jotaro Kujo...\It's because of them that I'm in this mess. response:	Um...
context: When my nails are growing, I become unable to suppress my urges.\I just need to be patient until it subsides.\I'm still not able to perfectly mimic his handwriting.\Kosaku Kawajiri\Kosaku\Josuke Higashikata... Jotaro Kujo...\It's because of them that I'm in this mess.\Um... response:	Uh... What... are you doing?
context: I just need to be patient until it subsides.\I'm still not able to perfectly mimic his handwriting.\Kosaku Kawajiri\Kosaku\Josuke Higashikata... Jotaro Kujo...\It's because of them that I'm in this mess.\Um...\Uh... What... are you doing? response:	O-Of course. It should be obvious.
context: I'm still not able to perfectly mimic his handwriting.\Kosaku Kawajiri\Kosaku\Josuke Higashikata... Jotaro Kujo...\It's because of them that I'm in this mess.\Um...\Uh... What... are you doing?\O-Of course. It should be obvious. response:	You were reading a book.
context: Kosaku Kawajiri\Kosaku\Josuke Higashikata... Jotaro Kujo...\It's because of them that I'm in this mess.\Um...\Uh... What... are you doing?\O-Of course. It should be obvious.\You were reading a book. response:	Um, I poured some tea for you.
context: Kosaku\Josuke Higashikata... Jotaro Kujo...\It's because of them that I'm in this mess.\Um...\Uh... What... are you doing?\O-Of course. It should be obvious.\You were reading a book.\Um, I poured some tea for you. response:	I know you probably think that's rare,
context: Josuke Higashikata... Jotaro Kujo...\It's because of them that I'm in this mess.\Um...\Uh... What... are you doing?\O-Of course. It should be obvious.\You were reading a book.\Um, I poured some tea for you.\I know you probably think that's rare, response:	b-but if you'd like some...
context: It's because of them that I'm in this mess.\Um...\Uh... What... are you doing?\O-Of course. It should be obvious.\You were reading a book.\Um, I poured some tea for you.\I know you probably think that's rare,\b-but if you'd like some... response:	If you don't want it, that's fine, too...
context: Um...\Uh... What... are you doing?\O-Of course. It should be obvious.\You were reading a book.\Um, I poured some tea for you.\I know you probably think that's rare,\b-but if you'd like some...\If you don't want it, that's fine, too... response:	Oh, look at the time.
context: Uh... What... are you doing?\O-Of course. It should be obvious.\You were reading a book.\Um, I poured some tea for you.\I know you probably think that's rare,\b-but if you'd like some...\If you don't want it, that's fine, too...\Oh, look at the time. response:	I think I'll go to bed...
context: O-Of course. It should be obvious.\You were reading a book.\Um, I poured some tea for you.\I know you probably think that's rare,\b-but if you'd like some...\If you don't want it, that's fine, too...\Oh, look at the time.\I think I'll go to bed... response:	Open up your heart to that woman.
context: You were reading a book.\Um, I poured some tea for you.\I know you probably think that's rare,\b-but if you'd like some...\If you don't want it, that's fine, too...\Oh, look at the time.\I think I'll go to bed...\Open up your heart to that woman. response:	Show her your true self,
context: Um, I poured some tea for you.\I know you probably think that's rare,\b-but if you'd like some...\If you don't want it, that's fine, too...\Oh, look at the time.\I think I'll go to bed...\Open up your heart to that woman.\Show her your true self, response:	Yoshikage Kira.
context: I know you probably think that's rare,\b-but if you'd like some...\If you don't want it, that's fine, too...\Oh, look at the time.\I think I'll go to bed...\Open up your heart to that woman.\Show her your true self,\Yoshikage Kira. response:	D-Darling?
context: b-but if you'd like some...\If you don't want it, that's fine, too...\Oh, look at the time.\I think I'll go to bed...\Open up your heart to that woman.\Show her your true self,\Yoshikage Kira.\D-Darling? response:	Crap. Opening up is a bad idea.
context: If you don't want it, that's fine, too...\Oh, look at the time.\I think I'll go to bed...\Open up your heart to that woman.\Show her your true self,\Yoshikage Kira.\D-Darling?\Crap. Opening up is a bad idea. response:	They'll find out.
context: Oh, look at the time.\I think I'll go to bed...\Open up your heart to that woman.\Show her your true self,\Yoshikage Kira.\D-Darling?\Crap. Opening up is a bad idea.\They'll find out. response:	I'm sorry I startled you.
context: I think I'll go to bed...\Open up your heart to that woman.\Show her your true self,\Yoshikage Kira.\D-Darling?\Crap. Opening up is a bad idea.\They'll find out.\I'm sorry I startled you. response:	H-He was trying to undo the buttons in the back?
context: Open up your heart to that woman.\Show her your true self,\Yoshikage Kira.\D-Darling?\Crap. Opening up is a bad idea.\They'll find out.\I'm sorry I startled you.\H-He was trying to undo the buttons in the back? response:	I'm sorry I startled you?
context: Show her your true self,\Yoshikage Kira.\D-Darling?\Crap. Opening up is a bad idea.\They'll find out.\I'm sorry I startled you.\H-He was trying to undo the buttons in the back?\I'm sorry I startled you? response:	Not at all! All of your actions lately
context: Yoshikage Kira.\D-Darling?\Crap. Opening up is a bad idea.\They'll find out.\I'm sorry I startled you.\H-He was trying to undo the buttons in the back?\I'm sorry I startled you?\Not at all! All of your actions lately response:	have been exciting me to no end!
context: D-Darling?\Crap. Opening up is a bad idea.\They'll find out.\I'm sorry I startled you.\H-He was trying to undo the buttons in the back?\I'm sorry I startled you?\Not at all! All of your actions lately\have been exciting me to no end! response:	And they make me feel thrilled! I...
context: Crap. Opening up is a bad idea.\They'll find out.\I'm sorry I startled you.\H-He was trying to undo the buttons in the back?\I'm sorry I startled you?\Not at all! All of your actions lately\have been exciting me to no end!\And they make me feel thrilled! I... response:	I've fallen
context: They'll find out.\I'm sorry I startled you.\H-He was trying to undo the buttons in the back?\I'm sorry I startled you?\Not at all! All of your actions lately\have been exciting me to no end!\And they make me feel thrilled! I...\I've fallen response:	in love with you.
context: I'm sorry I startled you.\H-He was trying to undo the buttons in the back?\I'm sorry I startled you?\Not at all! All of your actions lately\have been exciting me to no end!\And they make me feel thrilled! I...\I've fallen\in love with you. response:	J-Josuke, l-look over there.
context: H-He was trying to undo the buttons in the back?\I'm sorry I startled you?\Not at all! All of your actions lately\have been exciting me to no end!\And they make me feel thrilled! I...\I've fallen\in love with you.\J-Josuke, l-look over there. response:	What the heck is
context: I'm sorry I startled you?\Not at all! All of your actions lately\have been exciting me to no end!\And they make me feel thrilled! I...\I've fallen\in love with you.\J-Josuke, l-look over there.\What the heck is response:	Is this... Could this be...
context: Not at all! All of your actions lately\have been exciting me to no end!\And they make me feel thrilled! I...\I've fallen\in love with you.\J-Josuke, l-look over there.\What the heck is\Is this... Could this be... response:	T-Terri Funk
context: have been exciting me to no end!\And they make me feel thrilled! I...\I've fallen\in love with you.\J-Josuke, l-look over there.\What the heck is\Is this... Could this be...\T-Terri Funk response:	It's a crop circle!
context: And they make me feel thrilled! I...\I've fallen\in love with you.\J-Josuke, l-look over there.\What the heck is\Is this... Could this be...\T-Terri Funk\It's a crop circle! response:	Yeah! A crop circle!
context: I've fallen\in love with you.\J-Josuke, l-look over there.\What the heck is\Is this... Could this be...\T-Terri Funk\It's a crop circle!\Yeah! A crop circle! response:	Th-That's amazing!
context: in love with you.\J-Josuke, l-look over there.\What the heck is\Is this... Could this be...\T-Terri Funk\It's a crop circle!\Yeah! A crop circle!\Th-That's amazing! response:	I can't believe one of these showed up in a field in Morioh!
context: J-Josuke, l-look over there.\What the heck is\Is this... Could this be...\T-Terri Funk\It's a crop circle!\Yeah! A crop circle!\Th-That's amazing!\I can't believe one of these showed up in a field in Morioh! response:	Something's not right, Okuyasu.
context: What the heck is\Is this... Could this be...\T-Terri Funk\It's a crop circle!\Yeah! A crop circle!\Th-That's amazing!\I can't believe one of these showed up in a field in Morioh!\Something's not right, Okuyasu. response:	Take a closer look at the middle of that thing.
context: Is this... Could this be...\T-Terri Funk\It's a crop circle!\Yeah! A crop circle!\Th-That's amazing!\I can't believe one of these showed up in a field in Morioh!\Something's not right, Okuyasu.\Take a closer look at the middle of that thing. response:	Something's really wrong here!
context: T-Terri Funk\It's a crop circle!\Yeah! A crop circle!\Th-That's amazing!\I can't believe one of these showed up in a field in Morioh!\Something's not right, Okuyasu.\Take a closer look at the middle of that thing.\Something's really wrong here! response:	You're gonna go in?
context: It's a crop circle!\Yeah! A crop circle!\Th-That's amazing!\I can't believe one of these showed up in a field in Morioh!\Something's not right, Okuyasu.\Take a closer look at the middle of that thing.\Something's really wrong here!\You're gonna go in? response:	We don't have a choice!
context: Yeah! A crop circle!\Th-That's amazing!\I can't believe one of these showed up in a field in Morioh!\Something's not right, Okuyasu.\Take a closer look at the middle of that thing.\Something's really wrong here!\You're gonna go in?\We don't have a choice! response:	Be careful.
context: Th-That's amazing!\I can't believe one of these showed up in a field in Morioh!\Something's not right, Okuyasu.\Take a closer look at the middle of that thing.\Something's really wrong here!\You're gonna go in?\We don't have a choice!\Be careful. response:	Yeah.
context: I can't believe one of these showed up in a field in Morioh!\Something's not right, Okuyasu.\Take a closer look at the middle of that thing.\Something's really wrong here!\You're gonna go in?\We don't have a choice!\Be careful.\Yeah. response:	I-Is he alive?
context: Something's not right, Okuyasu.\Take a closer look at the middle of that thing.\Something's really wrong here!\You're gonna go in?\We don't have a choice!\Be careful.\Yeah.\I-Is he alive? response:	He's got a scratch on the back of his neck,
context: Take a closer look at the middle of that thing.\Something's really wrong here!\You're gonna go in?\We don't have a choice!\Be careful.\Yeah.\I-Is he alive?\He's got a scratch on the back of his neck, response:	but I think he's just unconscious.
context: Something's really wrong here!\You're gonna go in?\We don't have a choice!\Be careful.\Yeah.\I-Is he alive?\He's got a scratch on the back of his neck,\but I think he's just unconscious. response:	Hey, wake up. Are you all right? Hey!
context: You're gonna go in?\We don't have a choice!\Be careful.\Yeah.\I-Is he alive?\He's got a scratch on the back of his neck,\but I think he's just unconscious.\Hey, wake up. Are you all right? Hey! response:	I've never seen him at our school.
context: We don't have a choice!\Be careful.\Yeah.\I-Is he alive?\He's got a scratch on the back of his neck,\but I think he's just unconscious.\Hey, wake up. Are you all right? Hey!\I've never seen him at our school. response:	Oh, looks like he's awake.
context: Be careful.\Yeah.\I-Is he alive?\He's got a scratch on the back of his neck,\but I think he's just unconscious.\Hey, wake up. Are you all right? Hey!\I've never seen him at our school.\Oh, looks like he's awake. response:	Where...
context: Yeah.\I-Is he alive?\He's got a scratch on the back of his neck,\but I think he's just unconscious.\Hey, wake up. Are you all right? Hey!\I've never seen him at our school.\Oh, looks like he's awake.\Where... response:	Where am I?
context: I-Is he alive?\He's got a scratch on the back of his neck,\but I think he's just unconscious.\Hey, wake up. Are you all right? Hey!\I've never seen him at our school.\Oh, looks like he's awake.\Where...\Where am I? response:	Where?
context: He's got a scratch on the back of his neck,\but I think he's just unconscious.\Hey, wake up. Are you all right? Hey!\I've never seen him at our school.\Oh, looks like he's awake.\Where...\Where am I?\Where? response:	You're right in the middle of a field in Budogaoka, Morioh.
context: but I think he's just unconscious.\Hey, wake up. Are you all right? Hey!\I've never seen him at our school.\Oh, looks like he's awake.\Where...\Where am I?\Where?\You're right in the middle of a field in Budogaoka, Morioh. response:	Is this Earth?
context: Hey, wake up. Are you all right? Hey!\I've never seen him at our school.\Oh, looks like he's awake.\Where...\Where am I?\Where?\You're right in the middle of a field in Budogaoka, Morioh.\Is this Earth? response:	Last night, I suddenly felt ill.
context: I've never seen him at our school.\Oh, looks like he's awake.\Where...\Where am I?\Where?\You're right in the middle of a field in Budogaoka, Morioh.\Is this Earth?\Last night, I suddenly felt ill. response:	I then lost consciousness, it would seem.
context: Oh, looks like he's awake.\Where...\Where am I?\Where?\You're right in the middle of a field in Budogaoka, Morioh.\Is this Earth?\Last night, I suddenly felt ill.\I then lost consciousness, it would seem. response:	It's past eight, so I was unconscious for thirteen Earth hours.
context: Where...\Where am I?\Where?\You're right in the middle of a field in Budogaoka, Morioh.\Is this Earth?\Last night, I suddenly felt ill.\I then lost consciousness, it would seem.\It's past eight, so I was unconscious for thirteen Earth hours. response:	He totally tried to pull one over us!
context: Where am I?\Where?\You're right in the middle of a field in Budogaoka, Morioh.\Is this Earth?\Last night, I suddenly felt ill.\I then lost consciousness, it would seem.\It's past eight, so I was unconscious for thirteen Earth hours.\He totally tried to pull one over us! response:	Damn! I can't believe you tried to pull such an elaborate prank!
context: Where?\You're right in the middle of a field in Budogaoka, Morioh.\Is this Earth?\Last night, I suddenly felt ill.\I then lost consciousness, it would seem.\It's past eight, so I was unconscious for thirteen Earth hours.\He totally tried to pull one over us!\Damn! I can't believe you tried to pull such an elaborate prank! response:	Man, you sure got me!
context: You're right in the middle of a field in Budogaoka, Morioh.\Is this Earth?\Last night, I suddenly felt ill.\I then lost consciousness, it would seem.\It's past eight, so I was unconscious for thirteen Earth hours.\He totally tried to pull one over us!\Damn! I can't believe you tried to pull such an elaborate prank!\Man, you sure got me! response:	You're a really funny guy!
context: Is this Earth?\Last night, I suddenly felt ill.\I then lost consciousness, it would seem.\It's past eight, so I was unconscious for thirteen Earth hours.\He totally tried to pull one over us!\Damn! I can't believe you tried to pull such an elaborate prank!\Man, you sure got me!\You're a really funny guy! response:	So you made a crop circle and waited
context: Last night, I suddenly felt ill.\I then lost consciousness, it would seem.\It's past eight, so I was unconscious for thirteen Earth hours.\He totally tried to pull one over us!\Damn! I can't believe you tried to pull such an elaborate prank!\Man, you sure got me!\You're a really funny guy!\So you made a crop circle and waited response:	under the grass until someone came by?
context: I then lost consciousness, it would seem.\It's past eight, so I was unconscious for thirteen Earth hours.\He totally tried to pull one over us!\Damn! I can't believe you tried to pull such an elaborate prank!\Man, you sure got me!\You're a really funny guy!\So you made a crop circle and waited\under the grass until someone came by? response:	Amazing! That's amazing!
context: It's past eight, so I was unconscious for thirteen Earth hours.\He totally tried to pull one over us!\Damn! I can't believe you tried to pull such an elaborate prank!\Man, you sure got me!\You're a really funny guy!\So you made a crop circle and waited\under the grass until someone came by?\Amazing! That's amazing! response:	I can't breathe! My stomach hurts!
context: He totally tried to pull one over us!\Damn! I can't believe you tried to pull such an elaborate prank!\Man, you sure got me!\You're a really funny guy!\So you made a crop circle and waited\under the grass until someone came by?\Amazing! That's amazing!\I can't breathe! My stomach hurts! response:	Stomach Medicine
context: Damn! I can't believe you tried to pull such an elaborate prank!\Man, you sure got me!\You're a really funny guy!\So you made a crop circle and waited\under the grass until someone came by?\Amazing! That's amazing!\I can't breathe! My stomach hurts!\Stomach Medicine response:	That's so stupid!
context: Man, you sure got me!\You're a really funny guy!\So you made a crop circle and waited\under the grass until someone came by?\Amazing! That's amazing!\I can't breathe! My stomach hurts!\Stomach Medicine\That's so stupid! response:	What school do you go to?
context: You're a really funny guy!\So you made a crop circle and waited\under the grass until someone came by?\Amazing! That's amazing!\I can't breathe! My stomach hurts!\Stomach Medicine\That's so stupid!\What school do you go to? response:	School?
context: So you made a crop circle and waited\under the grass until someone came by?\Amazing! That's amazing!\I can't breathe! My stomach hurts!\Stomach Medicine\That's so stupid!\What school do you go to?\School? response:	We love guys like you!
context: under the grass until someone came by?\Amazing! That's amazing!\I can't breathe! My stomach hurts!\Stomach Medicine\That's so stupid!\What school do you go to?\School?\We love guys like you! response:	My planet is in the Magellanic Clouds, but it has been destroyed.
context: Amazing! That's amazing!\I can't breathe! My stomach hurts!\Stomach Medicine\That's so stupid!\What school do you go to?\School?\We love guys like you!\My planet is in the Magellanic Clouds, but it has been destroyed. response:	I came to Earth to find out
context: I can't breathe! My stomach hurts!\Stomach Medicine\That's so stupid!\What school do you go to?\School?\We love guys like you!\My planet is in the Magellanic Clouds, but it has been destroyed.\I came to Earth to find out response:	if it's a suitable place to live, and if the people are nice.
context: Stomach Medicine\That's so stupid!\What school do you go to?\School?\We love guys like you!\My planet is in the Magellanic Clouds, but it has been destroyed.\I came to Earth to find out\if it's a suitable place to live, and if the people are nice. response:	That's enough of that. If you take the joke too far,
context: That's so stupid!\What school do you go to?\School?\We love guys like you!\My planet is in the Magellanic Clouds, but it has been destroyed.\I came to Earth to find out\if it's a suitable place to live, and if the people are nice.\That's enough of that. If you take the joke too far, response:	you're going to ruin your own brilliant idea.
context: What school do you go to?\School?\We love guys like you!\My planet is in the Magellanic Clouds, but it has been destroyed.\I came to Earth to find out\if it's a suitable place to live, and if the people are nice.\That's enough of that. If you take the joke too far,\you're going to ruin your own brilliant idea. response:	Here, have a tissue.
context: School?\We love guys like you!\My planet is in the Magellanic Clouds, but it has been destroyed.\I came to Earth to find out\if it's a suitable place to live, and if the people are nice.\That's enough of that. If you take the joke too far,\you're going to ruin your own brilliant idea.\Here, have a tissue. response:	Thank you. That was quite delicious.
context: We love guys like you!\My planet is in the Magellanic Clouds, but it has been destroyed.\I came to Earth to find out\if it's a suitable place to live, and if the people are nice.\That's enough of that. If you take the joke too far,\you're going to ruin your own brilliant idea.\Here, have a tissue.\Thank you. That was quite delicious. response:	W-We should really get to school.
