context: S-Save me! response:	What's going on?
context: Show them your pride as an adventurer!\Withdraw! Quickly!\Will o' Wisp!\Crap!\Thanks!\I was right. He's no ordinary floor boss.\He could be a Level 5!\Lion. Reinforcements are here. response:	The city mages are going to start their incantations.
context: Withdraw! Quickly!\Will o' Wisp!\Crap!\Thanks!\I was right. He's no ordinary floor boss.\He could be a Level 5!\Lion. Reinforcements are here.\The city mages are going to start their incantations. response:	You keep the Goliath distracted.
context: Will o' Wisp!\Crap!\Thanks!\I was right. He's no ordinary floor boss.\He could be a Level 5!\Lion. Reinforcements are here.\The city mages are going to start their incantations.\You keep the Goliath distracted. response:	Understood.
context: Crap!\Thanks!\I was right. He's no ordinary floor boss.\He could be a Level 5!\Lion. Reinforcements are here.\The city mages are going to start their incantations.\You keep the Goliath distracted.\Understood. response:	You and I will keep the enemy distracted.
context: Thanks!\I was right. He's no ordinary floor boss.\He could be a Level 5!\Lion. Reinforcements are here.\The city mages are going to start their incantations.\You keep the Goliath distracted.\Understood.\You and I will keep the enemy distracted. response:	All right, men!
context: I was right. He's no ordinary floor boss.\He could be a Level 5!\Lion. Reinforcements are here.\The city mages are going to start their incantations.\You keep the Goliath distracted.\Understood.\You and I will keep the enemy distracted.\All right, men! response:	Andromeda will be our decoy!
context: He could be a Level 5!\Lion. Reinforcements are here.\The city mages are going to start their incantations.\You keep the Goliath distracted.\Understood.\You and I will keep the enemy distracted.\All right, men!\Andromeda will be our decoy! response:	Don't worry about a thing, just start chanting!
context: Lion. Reinforcements are here.\The city mages are going to start their incantations.\You keep the Goliath distracted.\Understood.\You and I will keep the enemy distracted.\All right, men!\Andromeda will be our decoy!\Don't worry about a thing, just start chanting! response:	Hit'em with a big one!
context: The city mages are going to start their incantations.\You keep the Goliath distracted.\Understood.\You and I will keep the enemy distracted.\All right, men!\Andromeda will be our decoy!\Don't worry about a thing, just start chanting!\Hit'em with a big one! response:	Voles!
context: You keep the Goliath distracted.\Understood.\You and I will keep the enemy distracted.\All right, men!\Andromeda will be our decoy!\Don't worry about a thing, just start chanting!\Hit'em with a big one!\Voles! response:	I'll get you for this!
context: Understood.\You and I will keep the enemy distracted.\All right, men!\Andromeda will be our decoy!\Don't worry about a thing, just start chanting!\Hit'em with a big one!\Voles!\I'll get you for this! response:	Fire!
context: You and I will keep the enemy distracted.\All right, men!\Andromeda will be our decoy!\Don't worry about a thing, just start chanting!\Hit'em with a big one!\Voles!\I'll get you for this!\Fire! response:	Buy time!
context: All right, men!\Andromeda will be our decoy!\Don't worry about a thing, just start chanting!\Hit'em with a big one!\Voles!\I'll get you for this!\Fire!\Buy time! response:	As soon as the incantation ends...
context: Andromeda will be our decoy!\Don't worry about a thing, just start chanting!\Hit'em with a big one!\Voles!\I'll get you for this!\Fire!\Buy time!\As soon as the incantation ends... response:	Nice.
context: Don't worry about a thing, just start chanting!\Hit'em with a big one!\Voles!\I'll get you for this!\Fire!\Buy time!\As soon as the incantation ends...\Nice. response:	We've got all the weapons you need!
context: Hit'em with a big one!\Voles!\I'll get you for this!\Fire!\Buy time!\As soon as the incantation ends...\Nice.\We've got all the weapons you need! response:	If it breaks, just grab a new one!
context: Voles!\I'll get you for this!\Fire!\Buy time!\As soon as the incantation ends...\Nice.\We've got all the weapons you need!\If it breaks, just grab a new one! response:	We've never worked together before, so don't worry about teamwork!
context: I'll get you for this!\Fire!\Buy time!\As soon as the incantation ends...\Nice.\We've got all the weapons you need!\If it breaks, just grab a new one!\We've never worked together before, so don't worry about teamwork! response:	Just stay out of each other's way.
context: Fire!\Buy time!\As soon as the incantation ends...\Nice.\We've got all the weapons you need!\If it breaks, just grab a new one!\We've never worked together before, so don't worry about teamwork!\Just stay out of each other's way. response:	Fight the way you want to fight!
context: Buy time!\As soon as the incantation ends...\Nice.\We've got all the weapons you need!\If it breaks, just grab a new one!\We've never worked together before, so don't worry about teamwork!\Just stay out of each other's way.\Fight the way you want to fight! response:	Bell!
context: As soon as the incantation ends...\Nice.\We've got all the weapons you need!\If it breaks, just grab a new one!\We've never worked together before, so don't worry about teamwork!\Just stay out of each other's way.\Fight the way you want to fight!\Bell! response:	What?
context: Nice.\We've got all the weapons you need!\If it breaks, just grab a new one!\We've never worked together before, so don't worry about teamwork!\Just stay out of each other's way.\Fight the way you want to fight!\Bell!\What? response:	Okay, everybody fall back!
context: We've got all the weapons you need!\If it breaks, just grab a new one!\We've never worked together before, so don't worry about teamwork!\Just stay out of each other's way.\Fight the way you want to fight!\Bell!\What?\Okay, everybody fall back! response:	We're going to blast it hard!
context: If it breaks, just grab a new one!\We've never worked together before, so don't worry about teamwork!\Just stay out of each other's way.\Fight the way you want to fight!\Bell!\What?\Okay, everybody fall back!\We're going to blast it hard! response:	Fire!
context: We've never worked together before, so don't worry about teamwork!\Just stay out of each other's way.\Fight the way you want to fight!\Bell!\What?\Okay, everybody fall back!\We're going to blast it hard!\Fire! response:	Finish it off!
context: Just stay out of each other's way.\Fight the way you want to fight!\Bell!\What?\Okay, everybody fall back!\We're going to blast it hard!\Fire!\Finish it off! response:	It can't be...
context: Fight the way you want to fight!\Bell!\What?\Okay, everybody fall back!\We're going to blast it hard!\Fire!\Finish it off!\It can't be... response:	You're kidding me.
context: Bell!\What?\Okay, everybody fall back!\We're going to blast it hard!\Fire!\Finish it off!\It can't be...\You're kidding me. response:	Regeneration?
context: What?\Okay, everybody fall back!\We're going to blast it hard!\Fire!\Finish it off!\It can't be...\You're kidding me.\Regeneration? response:	Cranel-san.
context: Okay, everybody fall back!\We're going to blast it hard!\Fire!\Finish it off!\It can't be...\You're kidding me.\Regeneration?\Cranel-san. response:	Ryu-san?
context: We're going to blast it hard!\Fire!\Finish it off!\It can't be...\You're kidding me.\Regeneration?\Cranel-san.\Ryu-san? response:	You handle the monsters nearby.
context: Fire!\Finish it off!\It can't be...\You're kidding me.\Regeneration?\Cranel-san.\Ryu-san?\You handle the monsters nearby. response:	We'll keep the Goliath at bay.
context: Finish it off!\It can't be...\You're kidding me.\Regeneration?\Cranel-san.\Ryu-san?\You handle the monsters nearby.\We'll keep the Goliath at bay. response:	But...
context: It can't be...\You're kidding me.\Regeneration?\Cranel-san.\Ryu-san?\You handle the monsters nearby.\We'll keep the Goliath at bay.\But... response:	We can't let them rip through us.
context: You're kidding me.\Regeneration?\Cranel-san.\Ryu-san?\You handle the monsters nearby.\We'll keep the Goliath at bay.\But...\We can't let them rip through us. response:	If we can buy time, the mages that are still active will be
context: Regeneration?\Cranel-san.\Ryu-san?\You handle the monsters nearby.\We'll keep the Goliath at bay.\But...\We can't let them rip through us.\If we can buy time, the mages that are still active will be response:	able to fire another shot.
context: Cranel-san.\Ryu-san?\You handle the monsters nearby.\We'll keep the Goliath at bay.\But...\We can't let them rip through us.\If we can buy time, the mages that are still active will be\able to fire another shot. response:	And if that doesn't work, we'll just have to defeat it again.
context: Ryu-san?\You handle the monsters nearby.\We'll keep the Goliath at bay.\But...\We can't let them rip through us.\If we can buy time, the mages that are still active will be\able to fire another shot.\And if that doesn't work, we'll just have to defeat it again. response:	Until it stays down.
context: You handle the monsters nearby.\We'll keep the Goliath at bay.\But...\We can't let them rip through us.\If we can buy time, the mages that are still active will be\able to fire another shot.\And if that doesn't work, we'll just have to defeat it again.\Until it stays down. response:	Ryu-san...
context: We'll keep the Goliath at bay.\But...\We can't let them rip through us.\If we can buy time, the mages that are still active will be\able to fire another shot.\And if that doesn't work, we'll just have to defeat it again.\Until it stays down.\Ryu-san... response:	Good luck.
context: But...\We can't let them rip through us.\If we can buy time, the mages that are still active will be\able to fire another shot.\And if that doesn't work, we'll just have to defeat it again.\Until it stays down.\Ryu-san...\Good luck. response:	Hestia-sama!
context: We can't let them rip through us.\If we can buy time, the mages that are still active will be\able to fire another shot.\And if that doesn't work, we'll just have to defeat it again.\Until it stays down.\Ryu-san...\Good luck.\Hestia-sama! response:	Miss Supporter! You're safe?
context: If we can buy time, the mages that are still active will be\able to fire another shot.\And if that doesn't work, we'll just have to defeat it again.\Until it stays down.\Ryu-san...\Good luck.\Hestia-sama!\Miss Supporter! You're safe? response:	Gather all the equipment you can, please!
context: able to fire another shot.\And if that doesn't work, we'll just have to defeat it again.\Until it stays down.\Ryu-san...\Good luck.\Hestia-sama!\Miss Supporter! You're safe?\Gather all the equipment you can, please! response:	You heard her, right?
context: And if that doesn't work, we'll just have to defeat it again.\Until it stays down.\Ryu-san...\Good luck.\Hestia-sama!\Miss Supporter! You're safe?\Gather all the equipment you can, please!\You heard her, right? response:	Head back to town and do it.
context: Until it stays down.\Ryu-san...\Good luck.\Hestia-sama!\Miss Supporter! You're safe?\Gather all the equipment you can, please!\You heard her, right?\Head back to town and do it. response:	Okay!
context: Ryu-san...\Good luck.\Hestia-sama!\Miss Supporter! You're safe?\Gather all the equipment you can, please!\You heard her, right?\Head back to town and do it.\Okay! response:	Where's Chigusa-sama?
context: Good luck.\Hestia-sama!\Miss Supporter! You're safe?\Gather all the equipment you can, please!\You heard her, right?\Head back to town and do it.\Okay!\Where's Chigusa-sama? response:	She ran off during that last explosion.
context: Hestia-sama!\Miss Supporter! You're safe?\Gather all the equipment you can, please!\You heard her, right?\Head back to town and do it.\Okay!\Where's Chigusa-sama?\She ran off during that last explosion. response:	She's probably with Ouka-kun and the others.
context: Miss Supporter! You're safe?\Gather all the equipment you can, please!\You heard her, right?\Head back to town and do it.\Okay!\Where's Chigusa-sama?\She ran off during that last explosion.\She's probably with Ouka-kun and the others. response:	That's...
context: Gather all the equipment you can, please!\You heard her, right?\Head back to town and do it.\Okay!\Where's Chigusa-sama?\She ran off during that last explosion.\She's probably with Ouka-kun and the others.\That's... response:	Lion! You're going to get yourself killed!
context: You heard her, right?\Head back to town and do it.\Okay!\Where's Chigusa-sama?\She ran off during that last explosion.\She's probably with Ouka-kun and the others.\That's...\Lion! You're going to get yourself killed! response:	I need to do my part, too.
context: Head back to town and do it.\Okay!\Where's Chigusa-sama?\She ran off during that last explosion.\She's probably with Ouka-kun and the others.\That's...\Lion! You're going to get yourself killed!\I need to do my part, too. response:	I can't get through to its magic stone!
context: Okay!\Where's Chigusa-sama?\She ran off during that last explosion.\She's probably with Ouka-kun and the others.\That's...\Lion! You're going to get yourself killed!\I need to do my part, too.\I can't get through to its magic stone! response:	At this rate we'll...
context: Where's Chigusa-sama?\She ran off during that last explosion.\She's probably with Ouka-kun and the others.\That's...\Lion! You're going to get yourself killed!\I need to do my part, too.\I can't get through to its magic stone!\At this rate we'll... response:	But still!
context: She ran off during that last explosion.\She's probably with Ouka-kun and the others.\That's...\Lion! You're going to get yourself killed!\I need to do my part, too.\I can't get through to its magic stone!\At this rate we'll...\But still! response:	If there's any chance left...
context: She's probably with Ouka-kun and the others.\That's...\Lion! You're going to get yourself killed!\I need to do my part, too.\I can't get through to its magic stone!\At this rate we'll...\But still!\If there's any chance left... response:	Ouka!
context: That's...\Lion! You're going to get yourself killed!\I need to do my part, too.\I can't get through to its magic stone!\At this rate we'll...\But still!\If there's any chance left...\Ouka! response:	Chigusa!
context: Lion! You're going to get yourself killed!\I need to do my part, too.\I can't get through to its magic stone!\At this rate we'll...\But still!\If there's any chance left...\Ouka!\Chigusa! response:	Give me a shield!
context: I need to do my part, too.\I can't get through to its magic stone!\At this rate we'll...\But still!\If there's any chance left...\Ouka!\Chigusa!\Give me a shield! response:	No! You'll die!
context: I can't get through to its magic stone!\At this rate we'll...\But still!\If there's any chance left...\Ouka!\Chigusa!\Give me a shield!\No! You'll die! response:	You'll die...
context: At this rate we'll...\But still!\If there's any chance left...\Ouka!\Chigusa!\Give me a shield!\No! You'll die!\You'll die... response:	Please, Chigusa.
context: But still!\If there's any chance left...\Ouka!\Chigusa!\Give me a shield!\No! You'll die!\You'll die...\Please, Chigusa. response:	I don't want to be a loser who can't do anything but talk.
context: If there's any chance left...\Ouka!\Chigusa!\Give me a shield!\No! You'll die!\You'll die...\Please, Chigusa.\I don't want to be a loser who can't do anything but talk. response:	I don't want to be somebody who can sacrifice others,
context: Ouka!\Chigusa!\Give me a shield!\No! You'll die!\You'll die...\Please, Chigusa.\I don't want to be a loser who can't do anything but talk.\I don't want to be somebody who can sacrifice others, response:	but won't risk himself...
context: Chigusa!\Give me a shield!\No! You'll die!\You'll die...\Please, Chigusa.\I don't want to be a loser who can't do anything but talk.\I don't want to be somebody who can sacrifice others,\but won't risk himself... response:	Cranel-san!
context: Give me a shield!\No! You'll die!\You'll die...\Please, Chigusa.\I don't want to be a loser who can't do anything but talk.\I don't want to be somebody who can sacrifice others,\but won't risk himself...\Cranel-san! response:	Lion, get back!
context: No! You'll die!\You'll die...\Please, Chigusa.\I don't want to be a loser who can't do anything but talk.\I don't want to be somebody who can sacrifice others,\but won't risk himself...\Cranel-san!\Lion, get back! response:	Firebolt!
context: You'll die...\Please, Chigusa.\I don't want to be a loser who can't do anything but talk.\I don't want to be somebody who can sacrifice others,\but won't risk himself...\Cranel-san!\Lion, get back!\Firebolt! response:	Bell, run!
context: Please, Chigusa.\I don't want to be a loser who can't do anything but talk.\I don't want to be somebody who can sacrifice others,\but won't risk himself...\Cranel-san!\Lion, get back!\Firebolt!\Bell, run! response:	Bell-kun!
context: I don't want to be a loser who can't do anything but talk.\I don't want to be somebody who can sacrifice others,\but won't risk himself...\Cranel-san!\Lion, get back!\Firebolt!\Bell, run!\Bell-kun! response:	Bell...
context: I don't want to be somebody who can sacrifice others,\but won't risk himself...\Cranel-san!\Lion, get back!\Firebolt!\Bell, run!\Bell-kun!\Bell... response:	Damn it!
context: but won't risk himself...\Cranel-san!\Lion, get back!\Firebolt!\Bell, run!\Bell-kun!\Bell...\Damn it! response:	Damn it all!
context: Cranel-san!\Lion, get back!\Firebolt!\Bell, run!\Bell-kun!\Bell...\Damn it!\Damn it all! response:	Ouka-dono!
context: Lion, get back!\Firebolt!\Bell, run!\Bell-kun!\Bell...\Damn it!\Damn it all!\Ouka-dono! response:	Ouka-dono!
context: Firebolt!\Bell, run!\Bell-kun!\Bell...\Damn it!\Damn it all!\Ouka-dono!\Ouka-dono! response:	Ouka!
context: Bell, run!\Bell-kun!\Bell...\Damn it!\Damn it all!\Ouka-dono!\Ouka-dono!\Ouka! response:	Cranel-san, answer me!
context: Bell-kun!\Bell...\Damn it!\Damn it all!\Ouka-dono!\Ouka-dono!\Ouka!\Cranel-san, answer me! response:	Bell-sama!
context: Bell...\Damn it!\Damn it all!\Ouka-dono!\Ouka-dono!\Ouka!\Cranel-san, answer me!\Bell-sama! response:	Bell-kun...
context: Damn it!\Damn it all!\Ouka-dono!\Ouka-dono!\Ouka!\Cranel-san, answer me!\Bell-sama!\Bell-kun... response:	How's he doing?
context: Damn it all!\Ouka-dono!\Ouka-dono!\Ouka!\Cranel-san, answer me!\Bell-sama!\Bell-kun...\How's he doing? response:	He's breathing, but...
context: Ouka-dono!\Ouka-dono!\Ouka!\Cranel-san, answer me!\Bell-sama!\Bell-kun...\How's he doing?\He's breathing, but... response:	He's badly wounded.
context: Ouka-dono!\Ouka!\Cranel-san, answer me!\Bell-sama!\Bell-kun...\How's he doing?\He's breathing, but...\He's badly wounded. response:	Lion, I'll leave this to you.
context: Ouka!\Cranel-san, answer me!\Bell-sama!\Bell-kun...\How's he doing?\He's breathing, but...\He's badly wounded.\Lion, I'll leave this to you. response:	Chigusa-dono, take care of things here, please.
context: Cranel-san, answer me!\Bell-sama!\Bell-kun...\How's he doing?\He's breathing, but...\He's badly wounded.\Lion, I'll leave this to you.\Chigusa-dono, take care of things here, please. response:	Please go, Miss Elf.
context: Bell-sama!\Bell-kun...\How's he doing?\He's breathing, but...\He's badly wounded.\Lion, I'll leave this to you.\Chigusa-dono, take care of things here, please.\Please go, Miss Elf. response:	Buy as much time as you can.
context: Bell-kun...\How's he doing?\He's breathing, but...\He's badly wounded.\Lion, I'll leave this to you.\Chigusa-dono, take care of things here, please.\Please go, Miss Elf.\Buy as much time as you can. response:	Bell-kun will wake up, I know it.
context: How's he doing?\He's breathing, but...\He's badly wounded.\Lion, I'll leave this to you.\Chigusa-dono, take care of things here, please.\Please go, Miss Elf.\Buy as much time as you can.\Bell-kun will wake up, I know it. response:	He'll wake up and defeat that monster!
context: He's breathing, but...\He's badly wounded.\Lion, I'll leave this to you.\Chigusa-dono, take care of things here, please.\Please go, Miss Elf.\Buy as much time as you can.\Bell-kun will wake up, I know it.\He'll wake up and defeat that monster! response:	Goddess Hestia...
context: He's badly wounded.\Lion, I'll leave this to you.\Chigusa-dono, take care of things here, please.\Please go, Miss Elf.\Buy as much time as you can.\Bell-kun will wake up, I know it.\He'll wake up and defeat that monster!\Goddess Hestia... response:	You saw it too, right?
context: Lion, I'll leave this to you.\Chigusa-dono, take care of things here, please.\Please go, Miss Elf.\Buy as much time as you can.\Bell-kun will wake up, I know it.\He'll wake up and defeat that monster!\Goddess Hestia...\You saw it too, right? response:	Bell-kun can do it!
context: Chigusa-dono, take care of things here, please.\Please go, Miss Elf.\Buy as much time as you can.\Bell-kun will wake up, I know it.\He'll wake up and defeat that monster!\Goddess Hestia...\You saw it too, right?\Bell-kun can do it! response:	He can defeat that monster!
context: Please go, Miss Elf.\Buy as much time as you can.\Bell-kun will wake up, I know it.\He'll wake up and defeat that monster!\Goddess Hestia...\You saw it too, right?\Bell-kun can do it!\He can defeat that monster! response:	All right.
context: Buy as much time as you can.\Bell-kun will wake up, I know it.\He'll wake up and defeat that monster!\Goddess Hestia...\You saw it too, right?\Bell-kun can do it!\He can defeat that monster!\All right. response:	Bell-kun! Wake up, Bell-kun!
context: Bell-kun will wake up, I know it.\He'll wake up and defeat that monster!\Goddess Hestia...\You saw it too, right?\Bell-kun can do it!\He can defeat that monster!\All right.\Bell-kun! Wake up, Bell-kun! response:	Bell-kun!
context: He'll wake up and defeat that monster!\Goddess Hestia...\You saw it too, right?\Bell-kun can do it!\He can defeat that monster!\All right.\Bell-kun! Wake up, Bell-kun!\Bell-kun! response:	Bell-sama!
context: Goddess Hestia...\You saw it too, right?\Bell-kun can do it!\He can defeat that monster!\All right.\Bell-kun! Wake up, Bell-kun!\Bell-kun!\Bell-sama! response:	Everyone's still fighting.
