context: Asking someone how long they believed in Santa Claus... response:	Regardless, if you're going to ask me how much of my childhood I spent believing in an old man in a red suit...
context: I suppose I was just a precocious child who questioned the existence of an old man who only worked on Christmas.\At any rate...\Be it aliens, time travelers, ghosts, demons, espers...\I didn't realize that they weren't real until some time later.\No. I had probably already realized the truth.\I just didn't want to admit it.\Deep in my heart, I wished that aliens, time travelers, ghosts, demons, espers...\However, reality is rather cruel! response:	One must admire how well the laws of physics were written.
context: At any rate...\Be it aliens, time travelers, ghosts, demons, espers...\I didn't realize that they weren't real until some time later.\No. I had probably already realized the truth.\I just didn't want to admit it.\Deep in my heart, I wished that aliens, time travelers, ghosts, demons, espers...\However, reality is rather cruel!\One must admire how well the laws of physics were written. response:	At some point, I stopped being glued to TV UFO specials and programs on psychics.
context: Be it aliens, time travelers, ghosts, demons, espers...\I didn't realize that they weren't real until some time later.\No. I had probably already realized the truth.\I just didn't want to admit it.\Deep in my heart, I wished that aliens, time travelers, ghosts, demons, espers...\However, reality is rather cruel!\One must admire how well the laws of physics were written.\At some point, I stopped being glued to TV UFO specials and programs on psychics. response:	Aliens. Time travelers. Espers.
context: I didn't realize that they weren't real until some time later.\No. I had probably already realized the truth.\I just didn't want to admit it.\Deep in my heart, I wished that aliens, time travelers, ghosts, demons, espers...\However, reality is rather cruel!\One must admire how well the laws of physics were written.\At some point, I stopped being glued to TV UFO specials and programs on psychics.\Aliens. Time travelers. Espers. response:	None of those could possibly exist.
context: No. I had probably already realized the truth.\I just didn't want to admit it.\Deep in my heart, I wished that aliens, time travelers, ghosts, demons, espers...\However, reality is rather cruel!\One must admire how well the laws of physics were written.\At some point, I stopped being glued to TV UFO specials and programs on psychics.\Aliens. Time travelers. Espers.\None of those could possibly exist. response:	Though I kind of wish they did...
context: I just didn't want to admit it.\Deep in my heart, I wished that aliens, time travelers, ghosts, demons, espers...\However, reality is rather cruel!\One must admire how well the laws of physics were written.\At some point, I stopped being glued to TV UFO specials and programs on psychics.\Aliens. Time travelers. Espers.\None of those could possibly exist.\Though I kind of wish they did... response:	So I suppose my ability to hold convictions while accepting reality is a sign that I've matured.
context: Deep in my heart, I wished that aliens, time travelers, ghosts, demons, espers...\However, reality is rather cruel!\One must admire how well the laws of physics were written.\At some point, I stopped being glued to TV UFO specials and programs on psychics.\Aliens. Time travelers. Espers.\None of those could possibly exist.\Though I kind of wish they did...\So I suppose my ability to hold convictions while accepting reality is a sign that I've matured. response:	Entrance Ceremony
context: However, reality is rather cruel!\One must admire how well the laws of physics were written.\At some point, I stopped being glued to TV UFO specials and programs on psychics.\Aliens. Time travelers. Espers.\None of those could possibly exist.\Though I kind of wish they did...\So I suppose my ability to hold convictions while accepting reality is a sign that I've matured.\Entrance Ceremony response:	Entrance Ceremony
context: One must admire how well the laws of physics were written.\At some point, I stopped being glued to TV UFO specials and programs on psychics.\Aliens. Time travelers. Espers.\None of those could possibly exist.\Though I kind of wish they did...\So I suppose my ability to hold convictions while accepting reality is a sign that I've matured.\Entrance Ceremony\Entrance Ceremony response:	9:30 am
context: At some point, I stopped being glued to TV UFO specials and programs on psychics.\Aliens. Time travelers. Espers.\None of those could possibly exist.\Though I kind of wish they did...\So I suppose my ability to hold convictions while accepting reality is a sign that I've matured.\Entrance Ceremony\Entrance Ceremony\9:30 am response:	As I graduated from middle school...
context: Aliens. Time travelers. Espers.\None of those could possibly exist.\Though I kind of wish they did...\So I suppose my ability to hold convictions while accepting reality is a sign that I've matured.\Entrance Ceremony\Entrance Ceremony\9:30 am\As I graduated from middle school... response:	And so I entered high school with no particular vision in mind...
context: None of those could possibly exist.\Though I kind of wish they did...\So I suppose my ability to hold convictions while accepting reality is a sign that I've matured.\Entrance Ceremony\Entrance Ceremony\9:30 am\As I graduated from middle school...\And so I entered high school with no particular vision in mind... response:	I hope to have a good year with everyone.
context: Though I kind of wish they did...\So I suppose my ability to hold convictions while accepting reality is a sign that I've matured.\Entrance Ceremony\Entrance Ceremony\9:30 am\As I graduated from middle school...\And so I entered high school with no particular vision in mind...\I hope to have a good year with everyone. response:	From East Middle School.
context: So I suppose my ability to hold convictions while accepting reality is a sign that I've matured.\Entrance Ceremony\Entrance Ceremony\9:30 am\As I graduated from middle school...\And so I entered high school with no particular vision in mind...\I hope to have a good year with everyone.\From East Middle School. response:	Haruhi Suzumiya.
context: Entrance Ceremony\Entrance Ceremony\9:30 am\As I graduated from middle school...\And so I entered high school with no particular vision in mind...\I hope to have a good year with everyone.\From East Middle School.\Haruhi Suzumiya. response:	I have no interest in ordinary humans.
context: Entrance Ceremony\9:30 am\As I graduated from middle school...\And so I entered high school with no particular vision in mind...\I hope to have a good year with everyone.\From East Middle School.\Haruhi Suzumiya.\I have no interest in ordinary humans. response:	If there are any aliens, time travelers, sliders, or espers here...
context: 9:30 am\As I graduated from middle school...\And so I entered high school with no particular vision in mind...\I hope to have a good year with everyone.\From East Middle School.\Haruhi Suzumiya.\I have no interest in ordinary humans.\If there are any aliens, time travelers, sliders, or espers here... response:	That is all!
context: As I graduated from middle school...\And so I entered high school with no particular vision in mind...\I hope to have a good year with everyone.\From East Middle School.\Haruhi Suzumiya.\I have no interest in ordinary humans.\If there are any aliens, time travelers, sliders, or espers here...\That is all! response:	Are we supposed to laugh?
context: And so I entered high school with no particular vision in mind...\I hope to have a good year with everyone.\From East Middle School.\Haruhi Suzumiya.\I have no interest in ordinary humans.\If there are any aliens, time travelers, sliders, or espers here...\That is all!\Are we supposed to laugh? response:	A striking beauty stood before me.
context: I hope to have a good year with everyone.\From East Middle School.\Haruhi Suzumiya.\I have no interest in ordinary humans.\If there are any aliens, time travelers, sliders, or espers here...\That is all!\Are we supposed to laugh?\A striking beauty stood before me. response:	Okabe
context: From East Middle School.\Haruhi Suzumiya.\I have no interest in ordinary humans.\If there are any aliens, time travelers, sliders, or espers here...\That is all!\Are we supposed to laugh?\A striking beauty stood before me.\Okabe response:	Uh, whoever's next.
context: Haruhi Suzumiya.\I have no interest in ordinary humans.\If there are any aliens, time travelers, sliders, or espers here...\That is all!\Are we supposed to laugh?\A striking beauty stood before me.\Okabe\Uh, whoever's next. response:	Most people would think that she was just joking.
context: I have no interest in ordinary humans.\If there are any aliens, time travelers, sliders, or espers here...\That is all!\Are we supposed to laugh?\A striking beauty stood before me.\Okabe\Uh, whoever's next.\Most people would think that she was just joking. response:	From East Middle School.
context: If there are any aliens, time travelers, sliders, or espers here...\That is all!\Are we supposed to laugh?\A striking beauty stood before me.\Okabe\Uh, whoever's next.\Most people would think that she was just joking.\From East Middle School. response:	I'm Taniguchi.
context: That is all!\Are we supposed to laugh?\A striking beauty stood before me.\Okabe\Uh, whoever's next.\Most people would think that she was just joking.\From East Middle School.\I'm Taniguchi. response:	In hindsight, that was neither a joke nor a laughing matter.
context: Are we supposed to laugh?\A striking beauty stood before me.\Okabe\Uh, whoever's next.\Most people would think that she was just joking.\From East Middle School.\I'm Taniguchi.\In hindsight, that was neither a joke nor a laughing matter. response:	Haruhi was always dead serious.
context: A striking beauty stood before me.\Okabe\Uh, whoever's next.\Most people would think that she was just joking.\From East Middle School.\I'm Taniguchi.\In hindsight, that was neither a joke nor a laughing matter.\Haruhi was always dead serious. response:	And so we met.
context: Okabe\Uh, whoever's next.\Most people would think that she was just joking.\From East Middle School.\I'm Taniguchi.\In hindsight, that was neither a joke nor a laughing matter.\Haruhi was always dead serious.\And so we met. response:	I deeply hope that...
context: Uh, whoever's next.\Most people would think that she was just joking.\From East Middle School.\I'm Taniguchi.\In hindsight, that was neither a joke nor a laughing matter.\Haruhi was always dead serious.\And so we met.\I deeply hope that... response:	As long as Haruhi Suzumiya was sitting still with her mouth shut...
context: Most people would think that she was just joking.\From East Middle School.\I'm Taniguchi.\In hindsight, that was neither a joke nor a laughing matter.\Haruhi was always dead serious.\And so we met.\I deeply hope that...\As long as Haruhi Suzumiya was sitting still with her mouth shut... response:	And since my seat just happened to be located right in front of hers...
context: From East Middle School.\I'm Taniguchi.\In hindsight, that was neither a joke nor a laughing matter.\Haruhi was always dead serious.\And so we met.\I deeply hope that...\As long as Haruhi Suzumiya was sitting still with her mouth shut...\And since my seat just happened to be located right in front of hers... response:	You can't blame me for losing my mind for a moment.
context: I'm Taniguchi.\In hindsight, that was neither a joke nor a laughing matter.\Haruhi was always dead serious.\And so we met.\I deeply hope that...\As long as Haruhi Suzumiya was sitting still with her mouth shut...\And since my seat just happened to be located right in front of hers...\You can't blame me for losing my mind for a moment. response:	Hey.
context: In hindsight, that was neither a joke nor a laughing matter.\Haruhi was always dead serious.\And so we met.\I deeply hope that...\As long as Haruhi Suzumiya was sitting still with her mouth shut...\And since my seat just happened to be located right in front of hers...\You can't blame me for losing my mind for a moment.\Hey. response:	About the stuff in that introduction earlier...
context: Haruhi was always dead serious.\And so we met.\I deeply hope that...\As long as Haruhi Suzumiya was sitting still with her mouth shut...\And since my seat just happened to be located right in front of hers...\You can't blame me for losing my mind for a moment.\Hey.\About the stuff in that introduction earlier... response:	How much of it was serious?
context: And so we met.\I deeply hope that...\As long as Haruhi Suzumiya was sitting still with her mouth shut...\And since my seat just happened to be located right in front of hers...\You can't blame me for losing my mind for a moment.\Hey.\About the stuff in that introduction earlier...\How much of it was serious? response:	What stuff earlier?
context: I deeply hope that...\As long as Haruhi Suzumiya was sitting still with her mouth shut...\And since my seat just happened to be located right in front of hers...\You can't blame me for losing my mind for a moment.\Hey.\About the stuff in that introduction earlier...\How much of it was serious?\What stuff earlier? response:	The stuff about aliens and whatnot.
context: As long as Haruhi Suzumiya was sitting still with her mouth shut...\And since my seat just happened to be located right in front of hers...\You can't blame me for losing my mind for a moment.\Hey.\About the stuff in that introduction earlier...\How much of it was serious?\What stuff earlier?\The stuff about aliens and whatnot. response:	Are you an alien?
context: And since my seat just happened to be located right in front of hers...\You can't blame me for losing my mind for a moment.\Hey.\About the stuff in that introduction earlier...\How much of it was serious?\What stuff earlier?\The stuff about aliens and whatnot.\Are you an alien? response:	No, but...
context: You can't blame me for losing my mind for a moment.\Hey.\About the stuff in that introduction earlier...\How much of it was serious?\What stuff earlier?\The stuff about aliens and whatnot.\Are you an alien?\No, but... response:	No, but what?
context: Hey.\About the stuff in that introduction earlier...\How much of it was serious?\What stuff earlier?\The stuff about aliens and whatnot.\Are you an alien?\No, but...\No, but what? response:	No, forget it.
context: About the stuff in that introduction earlier...\How much of it was serious?\What stuff earlier?\The stuff about aliens and whatnot.\Are you an alien?\No, but...\No, but what?\No, forget it. response:	Then don't talk to me.
context: How much of it was serious?\What stuff earlier?\The stuff about aliens and whatnot.\Are you an alien?\No, but...\No, but what?\No, forget it.\Then don't talk to me. response:	It's a waste of time.
context: What stuff earlier?\The stuff about aliens and whatnot.\Are you an alien?\No, but...\No, but what?\No, forget it.\Then don't talk to me.\It's a waste of time. response:	Don't mind her!
context: The stuff about aliens and whatnot.\Are you an alien?\No, but...\No, but what?\No, forget it.\Then don't talk to me.\It's a waste of time.\Don't mind her! response:	I didn't learn until later on...
context: Are you an alien?\No, but...\No, but what?\No, forget it.\Then don't talk to me.\It's a waste of time.\Don't mind her!\I didn't learn until later on... response:	If you're interested in her...
context: No, but...\No, but what?\No, forget it.\Then don't talk to me.\It's a waste of time.\Don't mind her!\I didn't learn until later on...\If you're interested in her... response:	Give up on it.
context: No, but what?\No, forget it.\Then don't talk to me.\It's a waste of time.\Don't mind her!\I didn't learn until later on...\If you're interested in her...\Give up on it. response:	I know. I was in the same class as her for three years in middle school.
context: No, forget it.\Then don't talk to me.\It's a waste of time.\Don't mind her!\I didn't learn until later on...\If you're interested in her...\Give up on it.\I know. I was in the same class as her for three years in middle school. response:	Her queerness takes a path unlike anything you've seen.
context: Then don't talk to me.\It's a waste of time.\Don't mind her!\I didn't learn until later on...\If you're interested in her...\Give up on it.\I know. I was in the same class as her for three years in middle school.\Her queerness takes a path unlike anything you've seen. response:	You mean her introduction?
context: It's a waste of time.\Don't mind her!\I didn't learn until later on...\If you're interested in her...\Give up on it.\I know. I was in the same class as her for three years in middle school.\Her queerness takes a path unlike anything you've seen.\You mean her introduction? response:	Yep.
context: Don't mind her!\I didn't learn until later on...\If you're interested in her...\Give up on it.\I know. I was in the same class as her for three years in middle school.\Her queerness takes a path unlike anything you've seen.\You mean her introduction?\Yep. response:	She did a bunch of strange things back in middle school, too.
context: I didn't learn until later on...\If you're interested in her...\Give up on it.\I know. I was in the same class as her for three years in middle school.\Her queerness takes a path unlike anything you've seen.\You mean her introduction?\Yep.\She did a bunch of strange things back in middle school, too. response:	The most famous one would be the campus grounds graffiti incident.
context: If you're interested in her...\Give up on it.\I know. I was in the same class as her for three years in middle school.\Her queerness takes a path unlike anything you've seen.\You mean her introduction?\Yep.\She did a bunch of strange things back in middle school, too.\The most famous one would be the campus grounds graffiti incident. response:	What's that?
context: Give up on it.\I know. I was in the same class as her for three years in middle school.\Her queerness takes a path unlike anything you've seen.\You mean her introduction?\Yep.\She did a bunch of strange things back in middle school, too.\The most famous one would be the campus grounds graffiti incident.\What's that? response:	There's this device that uses lime to draw white lines, right?
context: I know. I was in the same class as her for three years in middle school.\Her queerness takes a path unlike anything you've seen.\You mean her introduction?\Yep.\She did a bunch of strange things back in middle school, too.\The most famous one would be the campus grounds graffiti incident.\What's that?\There's this device that uses lime to draw white lines, right? response:	What was it called again...
context: Her queerness takes a path unlike anything you've seen.\You mean her introduction?\Yep.\She did a bunch of strange things back in middle school, too.\The most famous one would be the campus grounds graffiti incident.\What's that?\There's this device that uses lime to draw white lines, right?\What was it called again... response:	Whatever.
context: You mean her introduction?\Yep.\She did a bunch of strange things back in middle school, too.\The most famous one would be the campus grounds graffiti incident.\What's that?\There's this device that uses lime to draw white lines, right?\What was it called again...\Whatever. response:	Someone used that to draw some huge pictograph on the grounds.
context: Yep.\She did a bunch of strange things back in middle school, too.\The most famous one would be the campus grounds graffiti incident.\What's that?\There's this device that uses lime to draw white lines, right?\What was it called again...\Whatever.\Someone used that to draw some huge pictograph on the grounds. response:	And it was secretly done at night.
context: She did a bunch of strange things back in middle school, too.\The most famous one would be the campus grounds graffiti incident.\What's that?\There's this device that uses lime to draw white lines, right?\What was it called again...\Whatever.\Someone used that to draw some huge pictograph on the grounds.\And it was secretly done at night. response:	I remember seeing that.
context: The most famous one would be the campus grounds graffiti incident.\What's that?\There's this device that uses lime to draw white lines, right?\What was it called again...\Whatever.\Someone used that to draw some huge pictograph on the grounds.\And it was secretly done at night.\I remember seeing that. response:	Wasn't that in the local section of the newspaper?
context: What's that?\There's this device that uses lime to draw white lines, right?\What was it called again...\Whatever.\Someone used that to draw some huge pictograph on the grounds.\And it was secretly done at night.\I remember seeing that.\Wasn't that in the local section of the newspaper? response:	The Tanabata Mystery
context: There's this device that uses lime to draw white lines, right?\What was it called again...\Whatever.\Someone used that to draw some huge pictograph on the grounds.\And it was secretly done at night.\I remember seeing that.\Wasn't that in the local section of the newspaper?\The Tanabata Mystery response:	It looked like a failed attempt at a Nazca etching.
context: What was it called again...\Whatever.\Someone used that to draw some huge pictograph on the grounds.\And it was secretly done at night.\I remember seeing that.\Wasn't that in the local section of the newspaper?\The Tanabata Mystery\It looked like a failed attempt at a Nazca etching. response:	And she was the one who did it?
context: Whatever.\Someone used that to draw some huge pictograph on the grounds.\And it was secretly done at night.\I remember seeing that.\Wasn't that in the local section of the newspaper?\The Tanabata Mystery\It looked like a failed attempt at a Nazca etching.\And she was the one who did it? response:	She said so herself, so it's gotta be her.
context: Someone used that to draw some huge pictograph on the grounds.\And it was secretly done at night.\I remember seeing that.\Wasn't that in the local section of the newspaper?\The Tanabata Mystery\It looked like a failed attempt at a Nazca etching.\And she was the one who did it?\She said so herself, so it's gotta be her. response:	One morning, we showed up at the classroom to find all the desks out in the hall.
context: And it was secretly done at night.\I remember seeing that.\Wasn't that in the local section of the newspaper?\The Tanabata Mystery\It looked like a failed attempt at a Nazca etching.\And she was the one who did it?\She said so herself, so it's gotta be her.\One morning, we showed up at the classroom to find all the desks out in the hall. response:	She drew stars on the roof in paint...
context: I remember seeing that.\Wasn't that in the local section of the newspaper?\The Tanabata Mystery\It looked like a failed attempt at a Nazca etching.\And she was the one who did it?\She said so herself, so it's gotta be her.\One morning, we showed up at the classroom to find all the desks out in the hall.\She drew stars on the roof in paint... response:	She even stuck a bunch of talismans all around school.
context: Wasn't that in the local section of the newspaper?\The Tanabata Mystery\It looked like a failed attempt at a Nazca etching.\And she was the one who did it?\She said so herself, so it's gotta be her.\One morning, we showed up at the classroom to find all the desks out in the hall.\She drew stars on the roof in paint...\She even stuck a bunch of talismans all around school. response:	What is she doing?
context: The Tanabata Mystery\It looked like a failed attempt at a Nazca etching.\And she was the one who did it?\She said so herself, so it's gotta be her.\One morning, we showed up at the classroom to find all the desks out in the hall.\She drew stars on the roof in paint...\She even stuck a bunch of talismans all around school.\What is she doing? response:	Like the ones they use to reanimate corpses.
context: It looked like a failed attempt at a Nazca etching.\And she was the one who did it?\She said so herself, so it's gotta be her.\One morning, we showed up at the classroom to find all the desks out in the hall.\She drew stars on the roof in paint...\She even stuck a bunch of talismans all around school.\What is she doing?\Like the ones they use to reanimate corpses. response:	No idea what for.
context: And she was the one who did it?\She said so herself, so it's gotta be her.\One morning, we showed up at the classroom to find all the desks out in the hall.\She drew stars on the roof in paint...\She even stuck a bunch of talismans all around school.\What is she doing?\Like the ones they use to reanimate corpses.\No idea what for. response:	Even so, she's pretty popular.
context: She said so herself, so it's gotta be her.\One morning, we showed up at the classroom to find all the desks out in the hall.\She drew stars on the roof in paint...\She even stuck a bunch of talismans all around school.\What is she doing?\Like the ones they use to reanimate corpses.\No idea what for.\Even so, she's pretty popular. response:	Since she does have looks.
context: One morning, we showed up at the classroom to find all the desks out in the hall.\She drew stars on the roof in paint...\She even stuck a bunch of talismans all around school.\What is she doing?\Like the ones they use to reanimate corpses.\No idea what for.\Even so, she's pretty popular.\Since she does have looks. response:	And then she's athletic and probably gets better grades than most.
context: She drew stars on the roof in paint...\She even stuck a bunch of talismans all around school.\What is she doing?\Like the ones they use to reanimate corpses.\No idea what for.\Even so, she's pretty popular.\Since she does have looks.\And then she's athletic and probably gets better grades than most. response:	You can't tell she's a freak when she's just standing there.
context: She even stuck a bunch of talismans all around school.\What is she doing?\Like the ones they use to reanimate corpses.\No idea what for.\Even so, she's pretty popular.\Since she does have looks.\And then she's athletic and probably gets better grades than most.\You can't tell she's a freak when she's just standing there. response:	Are there any stories about that?
context: What is she doing?\Like the ones they use to reanimate corpses.\No idea what for.\Even so, she's pretty popular.\Since she does have looks.\And then she's athletic and probably gets better grades than most.\You can't tell she's a freak when she's just standing there.\Are there any stories about that? response:	For a while, she kept going from one to another.
context: Like the ones they use to reanimate corpses.\No idea what for.\Even so, she's pretty popular.\Since she does have looks.\And then she's athletic and probably gets better grades than most.\You can't tell she's a freak when she's just standing there.\Are there any stories about that?\For a while, she kept going from one to another. response:	As far as I know, the longest lasted a week...
context: No idea what for.\Even so, she's pretty popular.\Since she does have looks.\And then she's athletic and probably gets better grades than most.\You can't tell she's a freak when she's just standing there.\Are there any stories about that?\For a while, she kept going from one to another.\As far as I know, the longest lasted a week... response:	I don't have time to deal with ordinary humans!
context: Even so, she's pretty popular.\Since she does have looks.\And then she's athletic and probably gets better grades than most.\You can't tell she's a freak when she's just standing there.\Are there any stories about that?\For a while, she kept going from one to another.\As far as I know, the longest lasted a week...\I don't have time to deal with ordinary humans! response:	Then don't agree to go out in the first place...
context: Since she does have looks.\And then she's athletic and probably gets better grades than most.\You can't tell she's a freak when she's just standing there.\Are there any stories about that?\For a while, she kept going from one to another.\As far as I know, the longest lasted a week...\I don't have time to deal with ordinary humans!\Then don't agree to go out in the first place... response:	It's just a story I heard!
context: And then she's athletic and probably gets better grades than most.\You can't tell she's a freak when she's just standing there.\Are there any stories about that?\For a while, she kept going from one to another.\As far as I know, the longest lasted a week...\I don't have time to deal with ordinary humans!\Then don't agree to go out in the first place...\It's just a story I heard! response:	Really.
context: You can't tell she's a freak when she's just standing there.\Are there any stories about that?\For a while, she kept going from one to another.\As far as I know, the longest lasted a week...\I don't have time to deal with ordinary humans!\Then don't agree to go out in the first place...\It's just a story I heard!\Really. response:	I don't know why, but apparently she doesn't turn anyone down.
context: Are there any stories about that?\For a while, she kept going from one to another.\As far as I know, the longest lasted a week...\I don't have time to deal with ordinary humans!\Then don't agree to go out in the first place...\It's just a story I heard!\Really.\I don't know why, but apparently she doesn't turn anyone down. response:	That's why I'm warning you before you get any weird ideas.
context: For a while, she kept going from one to another.\As far as I know, the longest lasted a week...\I don't have time to deal with ordinary humans!\Then don't agree to go out in the first place...\It's just a story I heard!\Really.\I don't know why, but apparently she doesn't turn anyone down.\That's why I'm warning you before you get any weird ideas. response:	Give it up.
context: As far as I know, the longest lasted a week...\I don't have time to deal with ordinary humans!\Then don't agree to go out in the first place...\It's just a story I heard!\Really.\I don't know why, but apparently she doesn't turn anyone down.\That's why I'm warning you before you get any weird ideas.\Give it up. response:	There's nothing to give up on.
context: I don't have time to deal with ordinary humans!\Then don't agree to go out in the first place...\It's just a story I heard!\Really.\I don't know why, but apparently she doesn't turn anyone down.\That's why I'm warning you before you get any weird ideas.\Give it up.\There's nothing to give up on. response:	I'm not even interested.
context: Then don't agree to go out in the first place...\It's just a story I heard!\Really.\I don't know why, but apparently she doesn't turn anyone down.\That's why I'm warning you before you get any weird ideas.\Give it up.\There's nothing to give up on.\I'm not even interested. response:	Personally, I'd say...
context: It's just a story I heard!\Really.\I don't know why, but apparently she doesn't turn anyone down.\That's why I'm warning you before you get any weird ideas.\Give it up.\There's nothing to give up on.\I'm not even interested.\Personally, I'd say... response:	Ryoko Asakura.
context: Really.\I don't know why, but apparently she doesn't turn anyone down.\That's why I'm warning you before you get any weird ideas.\Give it up.\There's nothing to give up on.\I'm not even interested.\Personally, I'd say...\Ryoko Asakura. response:	She's gotta be in the top three for our year.
context: I don't know why, but apparently she doesn't turn anyone down.\That's why I'm warning you before you get any weird ideas.\Give it up.\There's nothing to give up on.\I'm not even interested.\Personally, I'd say...\Ryoko Asakura.\She's gotta be in the top three for our year. response:	Did you check out all the first-year girls or something?
context: That's why I'm warning you before you get any weird ideas.\Give it up.\There's nothing to give up on.\I'm not even interested.\Personally, I'd say...\Ryoko Asakura.\She's gotta be in the top three for our year.\Did you check out all the first-year girls or something? response:	Oh, yeah!
context: Give it up.\There's nothing to give up on.\I'm not even interested.\Personally, I'd say...\Ryoko Asakura.\She's gotta be in the top three for our year.\Did you check out all the first-year girls or something?\Oh, yeah! response:	I assigned them ranks from A to D...
context: There's nothing to give up on.\I'm not even interested.\Personally, I'd say...\Ryoko Asakura.\She's gotta be in the top three for our year.\Did you check out all the first-year girls or something?\Oh, yeah!\I assigned them ranks from A to D... response:	And Asakura-san is an A?
context: I'm not even interested.\Personally, I'd say...\Ryoko Asakura.\She's gotta be in the top three for our year.\Did you check out all the first-year girls or something?\Oh, yeah!\I assigned them ranks from A to D...\And Asakura-san is an A? response:	An AA+.
context: Personally, I'd say...\Ryoko Asakura.\She's gotta be in the top three for our year.\Did you check out all the first-year girls or something?\Oh, yeah!\I assigned them ranks from A to D...\And Asakura-san is an A?\An AA+. response:	She's definitely a nice person, too.
context: Ryoko Asakura.\She's gotta be in the top three for our year.\Did you check out all the first-year girls or something?\Oh, yeah!\I assigned them ranks from A to D...\And Asakura-san is an A?\An AA+.\She's definitely a nice person, too. response:	That's fast...
context: She's gotta be in the top three for our year.\Did you check out all the first-year girls or something?\Oh, yeah!\I assigned them ranks from A to D...\And Asakura-san is an A?\An AA+.\She's definitely a nice person, too.\That's fast... response:	At this point, Haruhi Suzumiya had yet to act up.
context: Did you check out all the first-year girls or something?\Oh, yeah!\I assigned them ranks from A to D...\And Asakura-san is an A?\An AA+.\She's definitely a nice person, too.\That's fast...\At this point, Haruhi Suzumiya had yet to act up. response:	And for me, it was a month of relaxation.
context: Oh, yeah!\I assigned them ranks from A to D...\And Asakura-san is an A?\An AA+.\She's definitely a nice person, too.\That's fast...\At this point, Haruhi Suzumiya had yet to act up.\And for me, it was a month of relaxation. response:	However, I should note that...
context: I assigned them ranks from A to D...\And Asakura-san is an A?\An AA+.\She's definitely a nice person, too.\That's fast...\At this point, Haruhi Suzumiya had yet to act up.\And for me, it was a month of relaxation.\However, I should note that... response:	And so, peculiarity number one.
