context: Everything... response:	I'll forgive you for everything.
context: and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 13 ...\All right!\Amazing!\Our class won the basketball tournament!\Good job!\For me? I'm so lucky! response:	Look over here!
context: Despite your uncute, tearful face and your shortness, I still love you.\Episode 13 ...\All right!\Amazing!\Our class won the basketball tournament!\Good job!\For me? I'm so lucky!\Look over here! response:	Ah... there he goes with his popularity again. Are you okay with this, Nana?
context: Episode 13 ...\All right!\Amazing!\Our class won the basketball tournament!\Good job!\For me? I'm so lucky!\Look over here!\Ah... there he goes with his popularity again. Are you okay with this, Nana? response:	Ah, hey. Next up is the boy's bullet finals.
context: All right!\Amazing!\Our class won the basketball tournament!\Good job!\For me? I'm so lucky!\Look over here!\Ah... there he goes with his popularity again. Are you okay with this, Nana?\Ah, hey. Next up is the boy's bullet finals. response:	We totally have to see that.
context: Amazing!\Our class won the basketball tournament!\Good job!\For me? I'm so lucky!\Look over here!\Ah... there he goes with his popularity again. Are you okay with this, Nana?\Ah, hey. Next up is the boy's bullet finals.\We totally have to see that. response:	Nana, why did you break up with Yano?!
context: Our class won the basketball tournament!\Good job!\For me? I'm so lucky!\Look over here!\Ah... there he goes with his popularity again. Are you okay with this, Nana?\Ah, hey. Next up is the boy's bullet finals.\We totally have to see that.\Nana, why did you break up with Yano?! response:	It's bugging the hell out of me, so spill already!
context: Good job!\For me? I'm so lucky!\Look over here!\Ah... there he goes with his popularity again. Are you okay with this, Nana?\Ah, hey. Next up is the boy's bullet finals.\We totally have to see that.\Nana, why did you break up with Yano?!\It's bugging the hell out of me, so spill already! response:	I've heard so many rumors that it's starting to drive me nuts!
context: For me? I'm so lucky!\Look over here!\Ah... there he goes with his popularity again. Are you okay with this, Nana?\Ah, hey. Next up is the boy's bullet finals.\We totally have to see that.\Nana, why did you break up with Yano?!\It's bugging the hell out of me, so spill already!\I've heard so many rumors that it's starting to drive me nuts! response:	R-Rumors...?
context: Look over here!\Ah... there he goes with his popularity again. Are you okay with this, Nana?\Ah, hey. Next up is the boy's bullet finals.\We totally have to see that.\Nana, why did you break up with Yano?!\It's bugging the hell out of me, so spill already!\I've heard so many rumors that it's starting to drive me nuts!\R-Rumors...? response:	Like, you wouldn't let him do you, which pushed Yano to the point...
context: Ah... there he goes with his popularity again. Are you okay with this, Nana?\Ah, hey. Next up is the boy's bullet finals.\We totally have to see that.\Nana, why did you break up with Yano?!\It's bugging the hell out of me, so spill already!\I've heard so many rumors that it's starting to drive me nuts!\R-Rumors...?\Like, you wouldn't let him do you, which pushed Yano to the point... response:	It sounds pretty reasonable to me.
context: Ah, hey. Next up is the boy's bullet finals.\We totally have to see that.\Nana, why did you break up with Yano?!\It's bugging the hell out of me, so spill already!\I've heard so many rumors that it's starting to drive me nuts!\R-Rumors...?\Like, you wouldn't let him do you, which pushed Yano to the point...\It sounds pretty reasonable to me. response:	W-What's up with that?
context: We totally have to see that.\Nana, why did you break up with Yano?!\It's bugging the hell out of me, so spill already!\I've heard so many rumors that it's starting to drive me nuts!\R-Rumors...?\Like, you wouldn't let him do you, which pushed Yano to the point...\It sounds pretty reasonable to me.\W-What's up with that? response:	So, what's the true story?
context: Nana, why did you break up with Yano?!\It's bugging the hell out of me, so spill already!\I've heard so many rumors that it's starting to drive me nuts!\R-Rumors...?\Like, you wouldn't let him do you, which pushed Yano to the point...\It sounds pretty reasonable to me.\W-What's up with that?\So, what's the true story? response:	Sorry... I can't say.
context: It's bugging the hell out of me, so spill already!\I've heard so many rumors that it's starting to drive me nuts!\R-Rumors...?\Like, you wouldn't let him do you, which pushed Yano to the point...\It sounds pretty reasonable to me.\W-What's up with that?\So, what's the true story?\Sorry... I can't say. response:	I'm really sorry, Mizu-chin.
context: I've heard so many rumors that it's starting to drive me nuts!\R-Rumors...?\Like, you wouldn't let him do you, which pushed Yano to the point...\It sounds pretty reasonable to me.\W-What's up with that?\So, what's the true story?\Sorry... I can't say.\I'm really sorry, Mizu-chin. response:	I really am sorry.
context: R-Rumors...?\Like, you wouldn't let him do you, which pushed Yano to the point...\It sounds pretty reasonable to me.\W-What's up with that?\So, what's the true story?\Sorry... I can't say.\I'm really sorry, Mizu-chin.\I really am sorry. response:	I guess that's fine...
context: Like, you wouldn't let him do you, which pushed Yano to the point...\It sounds pretty reasonable to me.\W-What's up with that?\So, what's the true story?\Sorry... I can't say.\I'm really sorry, Mizu-chin.\I really am sorry.\I guess that's fine... response:	But I mean... you loved him so much. I guess things like this wear out, huh?
context: It sounds pretty reasonable to me.\W-What's up with that?\So, what's the true story?\Sorry... I can't say.\I'm really sorry, Mizu-chin.\I really am sorry.\I guess that's fine...\But I mean... you loved him so much. I guess things like this wear out, huh? response:	Um, here's a towel!
context: W-What's up with that?\So, what's the true story?\Sorry... I can't say.\I'm really sorry, Mizu-chin.\I really am sorry.\I guess that's fine...\But I mean... you loved him so much. I guess things like this wear out, huh?\Um, here's a towel! response:	Thank you.
context: So, what's the true story?\Sorry... I can't say.\I'm really sorry, Mizu-chin.\I really am sorry.\I guess that's fine...\But I mean... you loved him so much. I guess things like this wear out, huh?\Um, here's a towel!\Thank you. response:	Ah... about that...
context: Sorry... I can't say.\I'm really sorry, Mizu-chin.\I really am sorry.\I guess that's fine...\But I mean... you loved him so much. I guess things like this wear out, huh?\Um, here's a towel!\Thank you.\Ah... about that... response:	Please return it once you're done with it.
context: I'm really sorry, Mizu-chin.\I really am sorry.\I guess that's fine...\But I mean... you loved him so much. I guess things like this wear out, huh?\Um, here's a towel!\Thank you.\Ah... about that...\Please return it once you're done with it. response:	And feel free to give it back just like that.
context: I really am sorry.\I guess that's fine...\But I mean... you loved him so much. I guess things like this wear out, huh?\Um, here's a towel!\Thank you.\Ah... about that...\Please return it once you're done with it.\And feel free to give it back just like that. response:	Okay!
context: I guess that's fine...\But I mean... you loved him so much. I guess things like this wear out, huh?\Um, here's a towel!\Thank you.\Ah... about that...\Please return it once you're done with it.\And feel free to give it back just like that.\Okay! response:	It's been a week since we broke up.
context: But I mean... you loved him so much. I guess things like this wear out, huh?\Um, here's a towel!\Thank you.\Ah... about that...\Please return it once you're done with it.\And feel free to give it back just like that.\Okay!\It's been a week since we broke up. response:	I returned the manga and CDs I borrowed from him, as well as a mechanical pencil I had taken without him noticing.
context: Um, here's a towel!\Thank you.\Ah... about that...\Please return it once you're done with it.\And feel free to give it back just like that.\Okay!\It's been a week since we broke up.\I returned the manga and CDs I borrowed from him, as well as a mechanical pencil I had taken without him noticing. response:	I thought I might find the girl manga I forced on him in my cubby the next day, but...
context: Thank you.\Ah... about that...\Please return it once you're done with it.\And feel free to give it back just like that.\Okay!\It's been a week since we broke up.\I returned the manga and CDs I borrowed from him, as well as a mechanical pencil I had taken without him noticing.\I thought I might find the girl manga I forced on him in my cubby the next day, but... response:	We don't even look at each other in class anymore.
context: Ah... about that...\Please return it once you're done with it.\And feel free to give it back just like that.\Okay!\It's been a week since we broke up.\I returned the manga and CDs I borrowed from him, as well as a mechanical pencil I had taken without him noticing.\I thought I might find the girl manga I forced on him in my cubby the next day, but...\We don't even look at each other in class anymore. response:	With the way things are going...
context: Please return it once you're done with it.\And feel free to give it back just like that.\Okay!\It's been a week since we broke up.\I returned the manga and CDs I borrowed from him, as well as a mechanical pencil I had taken without him noticing.\I thought I might find the girl manga I forced on him in my cubby the next day, but...\We don't even look at each other in class anymore.\With the way things are going... response:	He was definitely a two-timer.
context: And feel free to give it back just like that.\Okay!\It's been a week since we broke up.\I returned the manga and CDs I borrowed from him, as well as a mechanical pencil I had taken without him noticing.\I thought I might find the girl manga I forced on him in my cubby the next day, but...\We don't even look at each other in class anymore.\With the way things are going...\He was definitely a two-timer. response:	That's all it could be. I can't think of any other reason he'd be dumped.
context: Okay!\It's been a week since we broke up.\I returned the manga and CDs I borrowed from him, as well as a mechanical pencil I had taken without him noticing.\I thought I might find the girl manga I forced on him in my cubby the next day, but...\We don't even look at each other in class anymore.\With the way things are going...\He was definitely a two-timer.\That's all it could be. I can't think of any other reason he'd be dumped. response:	Not possible. If he was cheating on her, she'd hate him so much that she'd want him dead.
context: It's been a week since we broke up.\I returned the manga and CDs I borrowed from him, as well as a mechanical pencil I had taken without him noticing.\I thought I might find the girl manga I forced on him in my cubby the next day, but...\We don't even look at each other in class anymore.\With the way things are going...\He was definitely a two-timer.\That's all it could be. I can't think of any other reason he'd be dumped.\Not possible. If he was cheating on her, she'd hate him so much that she'd want him dead. response:	No... I think he was cheating, too. Though it was mentally.
context: I returned the manga and CDs I borrowed from him, as well as a mechanical pencil I had taken without him noticing.\I thought I might find the girl manga I forced on him in my cubby the next day, but...\We don't even look at each other in class anymore.\With the way things are going...\He was definitely a two-timer.\That's all it could be. I can't think of any other reason he'd be dumped.\Not possible. If he was cheating on her, she'd hate him so much that she'd want him dead.\No... I think he was cheating, too. Though it was mentally. response:	Li'l Nana must've had it really bad.
context: I thought I might find the girl manga I forced on him in my cubby the next day, but...\We don't even look at each other in class anymore.\With the way things are going...\He was definitely a two-timer.\That's all it could be. I can't think of any other reason he'd be dumped.\Not possible. If he was cheating on her, she'd hate him so much that she'd want him dead.\No... I think he was cheating, too. Though it was mentally.\Li'l Nana must've had it really bad. response:	What? Li'l Nana?
context: We don't even look at each other in class anymore.\With the way things are going...\He was definitely a two-timer.\That's all it could be. I can't think of any other reason he'd be dumped.\Not possible. If he was cheating on her, she'd hate him so much that she'd want him dead.\No... I think he was cheating, too. Though it was mentally.\Li'l Nana must've had it really bad.\What? Li'l Nana? response:	Separate classifications! Li'l Nana and Stupid Nana.
context: With the way things are going...\He was definitely a two-timer.\That's all it could be. I can't think of any other reason he'd be dumped.\Not possible. If he was cheating on her, she'd hate him so much that she'd want him dead.\No... I think he was cheating, too. Though it was mentally.\Li'l Nana must've had it really bad.\What? Li'l Nana?\Separate classifications! Li'l Nana and Stupid Nana. response:	What's up with that?
context: He was definitely a two-timer.\That's all it could be. I can't think of any other reason he'd be dumped.\Not possible. If he was cheating on her, she'd hate him so much that she'd want him dead.\No... I think he was cheating, too. Though it was mentally.\Li'l Nana must've had it really bad.\What? Li'l Nana?\Separate classifications! Li'l Nana and Stupid Nana.\What's up with that? response:	Pretty easy to understand.
context: That's all it could be. I can't think of any other reason he'd be dumped.\Not possible. If he was cheating on her, she'd hate him so much that she'd want him dead.\No... I think he was cheating, too. Though it was mentally.\Li'l Nana must've had it really bad.\What? Li'l Nana?\Separate classifications! Li'l Nana and Stupid Nana.\What's up with that?\Pretty easy to understand. response:	Takahashi!
context: Not possible. If he was cheating on her, she'd hate him so much that she'd want him dead.\No... I think he was cheating, too. Though it was mentally.\Li'l Nana must've had it really bad.\What? Li'l Nana?\Separate classifications! Li'l Nana and Stupid Nana.\What's up with that?\Pretty easy to understand.\Takahashi! response:	You free today?
context: No... I think he was cheating, too. Though it was mentally.\Li'l Nana must've had it really bad.\What? Li'l Nana?\Separate classifications! Li'l Nana and Stupid Nana.\What's up with that?\Pretty easy to understand.\Takahashi!\You free today? response:	Wanna come see something nice later?
context: Li'l Nana must've had it really bad.\What? Li'l Nana?\Separate classifications! Li'l Nana and Stupid Nana.\What's up with that?\Pretty easy to understand.\Takahashi!\You free today?\Wanna come see something nice later? response:	Something nice?
context: What? Li'l Nana?\Separate classifications! Li'l Nana and Stupid Nana.\What's up with that?\Pretty easy to understand.\Takahashi!\You free today?\Wanna come see something nice later?\Something nice? response:	They're so cute!
context: Separate classifications! Li'l Nana and Stupid Nana.\What's up with that?\Pretty easy to understand.\Takahashi!\You free today?\Wanna come see something nice later?\Something nice?\They're so cute! response:	How'd you get them?
context: What's up with that?\Pretty easy to understand.\Takahashi!\You free today?\Wanna come see something nice later?\Something nice?\They're so cute!\How'd you get them? response:	They were left in front of my house a week ago.
context: Pretty easy to understand.\Takahashi!\You free today?\Wanna come see something nice later?\Something nice?\They're so cute!\How'd you get them?\They were left in front of my house a week ago. response:	What? That's so mean...
context: Takahashi!\You free today?\Wanna come see something nice later?\Something nice?\They're so cute!\How'd you get them?\They were left in front of my house a week ago.\What? That's so mean... response:	I'm looking for someone to take care of them...
context: You free today?\Wanna come see something nice later?\Something nice?\They're so cute!\How'd you get them?\They were left in front of my house a week ago.\What? That's so mean...\I'm looking for someone to take care of them... response:	How about at your house, Takahashi?
context: Wanna come see something nice later?\Something nice?\They're so cute!\How'd you get them?\They were left in front of my house a week ago.\What? That's so mean...\I'm looking for someone to take care of them...\How about at your house, Takahashi? response:	I can't... my parents hate pets.
context: Something nice?\They're so cute!\How'd you get them?\They were left in front of my house a week ago.\What? That's so mean...\I'm looking for someone to take care of them...\How about at your house, Takahashi?\I can't... my parents hate pets. response:	Can't do much about that. I guess I'll have to raise them myself.
context: They're so cute!\How'd you get them?\They were left in front of my house a week ago.\What? That's so mean...\I'm looking for someone to take care of them...\How about at your house, Takahashi?\I can't... my parents hate pets.\Can't do much about that. I guess I'll have to raise them myself. response:	Both of them?
context: How'd you get them?\They were left in front of my house a week ago.\What? That's so mean...\I'm looking for someone to take care of them...\How about at your house, Takahashi?\I can't... my parents hate pets.\Can't do much about that. I guess I'll have to raise them myself.\Both of them? response:	I don't have much choice.
context: They were left in front of my house a week ago.\What? That's so mean...\I'm looking for someone to take care of them...\How about at your house, Takahashi?\I can't... my parents hate pets.\Can't do much about that. I guess I'll have to raise them myself.\Both of them?\I don't have much choice. response:	I can't just abandon them.
context: What? That's so mean...\I'm looking for someone to take care of them...\How about at your house, Takahashi?\I can't... my parents hate pets.\Can't do much about that. I guess I'll have to raise them myself.\Both of them?\I don't have much choice.\I can't just abandon them. response:	It must be fate that they came to my house. Right?
context: I'm looking for someone to take care of them...\How about at your house, Takahashi?\I can't... my parents hate pets.\Can't do much about that. I guess I'll have to raise them myself.\Both of them?\I don't have much choice.\I can't just abandon them.\It must be fate that they came to my house. Right? response:	He's licking my face!
context: How about at your house, Takahashi?\I can't... my parents hate pets.\Can't do much about that. I guess I'll have to raise them myself.\Both of them?\I don't have much choice.\I can't just abandon them.\It must be fate that they came to my house. Right?\He's licking my face! response:	Aren't they cute?
context: I can't... my parents hate pets.\Can't do much about that. I guess I'll have to raise them myself.\Both of them?\I don't have much choice.\I can't just abandon them.\It must be fate that they came to my house. Right?\He's licking my face!\Aren't they cute? response:	It tickles!
context: Can't do much about that. I guess I'll have to raise them myself.\Both of them?\I don't have much choice.\I can't just abandon them.\It must be fate that they came to my house. Right?\He's licking my face!\Aren't they cute?\It tickles! response:	You finally laughed.
context: Both of them?\I don't have much choice.\I can't just abandon them.\It must be fate that they came to my house. Right?\He's licking my face!\Aren't they cute?\It tickles!\You finally laughed. response:	Huh? I've laughed before...
context: I don't have much choice.\I can't just abandon them.\It must be fate that they came to my house. Right?\He's licking my face!\Aren't they cute?\It tickles!\You finally laughed.\Huh? I've laughed before... response:	I mean like you just did.
context: I can't just abandon them.\It must be fate that they came to my house. Right?\He's licking my face!\Aren't they cute?\It tickles!\You finally laughed.\Huh? I've laughed before...\I mean like you just did. response:	I think it's important to make time to just forget everything and laugh.
context: It must be fate that they came to my house. Right?\He's licking my face!\Aren't they cute?\It tickles!\You finally laughed.\Huh? I've laughed before...\I mean like you just did.\I think it's important to make time to just forget everything and laugh. response:	I see...
context: He's licking my face!\Aren't they cute?\It tickles!\You finally laughed.\Huh? I've laughed before...\I mean like you just did.\I think it's important to make time to just forget everything and laugh.\I see... response:	He might be right...
context: Aren't they cute?\It tickles!\You finally laughed.\Huh? I've laughed before...\I mean like you just did.\I think it's important to make time to just forget everything and laugh.\I see...\He might be right... response:	Takeuchi-kun just stays by my side without asking a thing.
context: It tickles!\You finally laughed.\Huh? I've laughed before...\I mean like you just did.\I think it's important to make time to just forget everything and laugh.\I see...\He might be right...\Takeuchi-kun just stays by my side without asking a thing. response:	Hey, quit it!
context: You finally laughed.\Huh? I've laughed before...\I mean like you just did.\I think it's important to make time to just forget everything and laugh.\I see...\He might be right...\Takeuchi-kun just stays by my side without asking a thing.\Hey, quit it! response:	Can I come over to see them again?
context: Huh? I've laughed before...\I mean like you just did.\I think it's important to make time to just forget everything and laugh.\I see...\He might be right...\Takeuchi-kun just stays by my side without asking a thing.\Hey, quit it!\Can I come over to see them again? response:	Sure. Whenever you want.
context: I mean like you just did.\I think it's important to make time to just forget everything and laugh.\I see...\He might be right...\Takeuchi-kun just stays by my side without asking a thing.\Hey, quit it!\Can I come over to see them again?\Sure. Whenever you want. response:	If you ever get lonely, come on over.
context: I think it's important to make time to just forget everything and laugh.\I see...\He might be right...\Takeuchi-kun just stays by my side without asking a thing.\Hey, quit it!\Can I come over to see them again?\Sure. Whenever you want.\If you ever get lonely, come on over. response:	Ah... I'm not really implying anything.
context: I see...\He might be right...\Takeuchi-kun just stays by my side without asking a thing.\Hey, quit it!\Can I come over to see them again?\Sure. Whenever you want.\If you ever get lonely, come on over.\Ah... I'm not really implying anything. response:	Thanks, Takeuchi-kun.
context: He might be right...\Takeuchi-kun just stays by my side without asking a thing.\Hey, quit it!\Can I come over to see them again?\Sure. Whenever you want.\If you ever get lonely, come on over.\Ah... I'm not really implying anything.\Thanks, Takeuchi-kun. response:	Really, thanks...
context: Takeuchi-kun just stays by my side without asking a thing.\Hey, quit it!\Can I come over to see them again?\Sure. Whenever you want.\If you ever get lonely, come on over.\Ah... I'm not really implying anything.\Thanks, Takeuchi-kun.\Really, thanks... response:	Ah... umm...
context: Hey, quit it!\Can I come over to see them again?\Sure. Whenever you want.\If you ever get lonely, come on over.\Ah... I'm not really implying anything.\Thanks, Takeuchi-kun.\Really, thanks...\Ah... umm... response:	Y-Yeah.
context: Can I come over to see them again?\Sure. Whenever you want.\If you ever get lonely, come on over.\Ah... I'm not really implying anything.\Thanks, Takeuchi-kun.\Really, thanks...\Ah... umm...\Y-Yeah. response:	B-Bye then.
context: Sure. Whenever you want.\If you ever get lonely, come on over.\Ah... I'm not really implying anything.\Thanks, Takeuchi-kun.\Really, thanks...\Ah... umm...\Y-Yeah.\B-Bye then. response:	Ah, yeah.
context: If you ever get lonely, come on over.\Ah... I'm not really implying anything.\Thanks, Takeuchi-kun.\Really, thanks...\Ah... umm...\Y-Yeah.\B-Bye then.\Ah, yeah. response:	A hook-up party?
context: Ah... I'm not really implying anything.\Thanks, Takeuchi-kun.\Really, thanks...\Ah... umm...\Y-Yeah.\B-Bye then.\Ah, yeah.\A hook-up party? response:	Yeah, on Saturday. I told you before.
context: Thanks, Takeuchi-kun.\Really, thanks...\Ah... umm...\Y-Yeah.\B-Bye then.\Ah, yeah.\A hook-up party?\Yeah, on Saturday. I told you before. response:	Ah, sorry... I can't make it. I'm broke.
context: Really, thanks...\Ah... umm...\Y-Yeah.\B-Bye then.\Ah, yeah.\A hook-up party?\Yeah, on Saturday. I told you before.\Ah, sorry... I can't make it. I'm broke. response:	Don't screw around like that. I got a lot of girls by promising you'd be there.
context: Ah... umm...\Y-Yeah.\B-Bye then.\Ah, yeah.\A hook-up party?\Yeah, on Saturday. I told you before.\Ah, sorry... I can't make it. I'm broke.\Don't screw around like that. I got a lot of girls by promising you'd be there. response:	Oh, really?
context: Y-Yeah.\B-Bye then.\Ah, yeah.\A hook-up party?\Yeah, on Saturday. I told you before.\Ah, sorry... I can't make it. I'm broke.\Don't screw around like that. I got a lot of girls by promising you'd be there.\Oh, really? response:	You little bastard... you never planned to go, did you?
context: B-Bye then.\Ah, yeah.\A hook-up party?\Yeah, on Saturday. I told you before.\Ah, sorry... I can't make it. I'm broke.\Don't screw around like that. I got a lot of girls by promising you'd be there.\Oh, really?\You little bastard... you never planned to go, did you? response:	Uh...
context: Ah, yeah.\A hook-up party?\Yeah, on Saturday. I told you before.\Ah, sorry... I can't make it. I'm broke.\Don't screw around like that. I got a lot of girls by promising you'd be there.\Oh, really?\You little bastard... you never planned to go, did you?\Uh... response:	Well, you know, it's that.
