context: Hold it, Kagome! response:	You're on clean-up duty, too!
context: You mean, as in a date?\What'll you do, Kagome?!\Will you go?\Why don't you, Kagome?\You've never been on a date, have you?\Huh?!\Have you really, truly, never been on a date?!\Don't be silly! response:	Of course, I've!
context: What'll you do, Kagome?!\Will you go?\Why don't you, Kagome?\You've never been on a date, have you?\Huh?!\Have you really, truly, never been on a date?!\Don't be silly!\Of course, I've! response:	I guess I'll go.
context: Will you go?\Why don't you, Kagome?\You've never been on a date, have you?\Huh?!\Have you really, truly, never been on a date?!\Don't be silly!\Of course, I've!\I guess I'll go. response:	Really?
context: Why don't you, Kagome?\You've never been on a date, have you?\Huh?!\Have you really, truly, never been on a date?!\Don't be silly!\Of course, I've!\I guess I'll go.\Really? response:	Okay then, this Saturday. It's a date!
context: You've never been on a date, have you?\Huh?!\Have you really, truly, never been on a date?!\Don't be silly!\Of course, I've!\I guess I'll go.\Really?\Okay then, this Saturday. It's a date! response:	Huh?!
context: Huh?!\Have you really, truly, never been on a date?!\Don't be silly!\Of course, I've!\I guess I'll go.\Really?\Okay then, this Saturday. It's a date!\Huh?! response:	Darn! I'm off to the other world...
context: Have you really, truly, never been on a date?!\Don't be silly!\Of course, I've!\I guess I'll go.\Really?\Okay then, this Saturday. It's a date!\Huh?!\Darn! I'm off to the other world... response:	What was I thinking, making a promise like that?!
context: Don't be silly!\Of course, I've!\I guess I'll go.\Really?\Okay then, this Saturday. It's a date!\Huh?!\Darn! I'm off to the other world...\What was I thinking, making a promise like that?! response:	Umm... Do you think I can come back on Saturday?
context: Of course, I've!\I guess I'll go.\Really?\Okay then, this Saturday. It's a date!\Huh?!\Darn! I'm off to the other world...\What was I thinking, making a promise like that?!\Umm... Do you think I can come back on Saturday? response:	I don't see why not.
context: I guess I'll go.\Really?\Okay then, this Saturday. It's a date!\Huh?!\Darn! I'm off to the other world...\What was I thinking, making a promise like that?!\Umm... Do you think I can come back on Saturday?\I don't see why not. response:	Really?
context: Really?\Okay then, this Saturday. It's a date!\Huh?!\Darn! I'm off to the other world...\What was I thinking, making a promise like that?!\Umm... Do you think I can come back on Saturday?\I don't see why not.\Really? response:	I dunno what day Saturday is, though.
context: Okay then, this Saturday. It's a date!\Huh?!\Darn! I'm off to the other world...\What was I thinking, making a promise like that?!\Umm... Do you think I can come back on Saturday?\I don't see why not.\Really?\I dunno what day Saturday is, though. response:	Oh... let's go.
context: Huh?!\Darn! I'm off to the other world...\What was I thinking, making a promise like that?!\Umm... Do you think I can come back on Saturday?\I don't see why not.\Really?\I dunno what day Saturday is, though.\Oh... let's go. response:	It feels so good! Look, fish!
context: Darn! I'm off to the other world...\What was I thinking, making a promise like that?!\Umm... Do you think I can come back on Saturday?\I don't see why not.\Really?\I dunno what day Saturday is, though.\Oh... let's go.\It feels so good! Look, fish! response:	Hey, Kagome! We're not here to have fun!
context: What was I thinking, making a promise like that?!\Umm... Do you think I can come back on Saturday?\I don't see why not.\Really?\I dunno what day Saturday is, though.\Oh... let's go.\It feels so good! Look, fish!\Hey, Kagome! We're not here to have fun! response:	Okay, okay!
context: Umm... Do you think I can come back on Saturday?\I don't see why not.\Really?\I dunno what day Saturday is, though.\Oh... let's go.\It feels so good! Look, fish!\Hey, Kagome! We're not here to have fun!\Okay, okay! response:	Let's see... I don't detect any signs of Sacred Jewel fragments here.
context: I don't see why not.\Really?\I dunno what day Saturday is, though.\Oh... let's go.\It feels so good! Look, fish!\Hey, Kagome! We're not here to have fun!\Okay, okay!\Let's see... I don't detect any signs of Sacred Jewel fragments here. response:	Shippo... You're a demon! Don't go getting seasick!
context: Really?\I dunno what day Saturday is, though.\Oh... let's go.\It feels so good! Look, fish!\Hey, Kagome! We're not here to have fun!\Okay, okay!\Let's see... I don't detect any signs of Sacred Jewel fragments here.\Shippo... You're a demon! Don't go getting seasick! response:	I feel terrible!
context: I dunno what day Saturday is, though.\Oh... let's go.\It feels so good! Look, fish!\Hey, Kagome! We're not here to have fun!\Okay, okay!\Let's see... I don't detect any signs of Sacred Jewel fragments here.\Shippo... You're a demon! Don't go getting seasick!\I feel terrible! response:	Jeepers... No one's taking this seriously!
context: Oh... let's go.\It feels so good! Look, fish!\Hey, Kagome! We're not here to have fun!\Okay, okay!\Let's see... I don't detect any signs of Sacred Jewel fragments here.\Shippo... You're a demon! Don't go getting seasick!\I feel terrible!\Jeepers... No one's taking this seriously! response:	- Huh? - What?
context: It feels so good! Look, fish!\Hey, Kagome! We're not here to have fun!\Okay, okay!\Let's see... I don't detect any signs of Sacred Jewel fragments here.\Shippo... You're a demon! Don't go getting seasick!\I feel terrible!\Jeepers... No one's taking this seriously!\- Huh? - What? response:	Spider webs?
context: Hey, Kagome! We're not here to have fun!\Okay, okay!\Let's see... I don't detect any signs of Sacred Jewel fragments here.\Shippo... You're a demon! Don't go getting seasick!\I feel terrible!\Jeepers... No one's taking this seriously!\- Huh? - What?\Spider webs? response:	Such long strands...
context: Okay, okay!\Let's see... I don't detect any signs of Sacred Jewel fragments here.\Shippo... You're a demon! Don't go getting seasick!\I feel terrible!\Jeepers... No one's taking this seriously!\- Huh? - What?\Spider webs?\Such long strands... response:	Master Inuyasha, is something wrong?
context: Let's see... I don't detect any signs of Sacred Jewel fragments here.\Shippo... You're a demon! Don't go getting seasick!\I feel terrible!\Jeepers... No one's taking this seriously!\- Huh? - What?\Spider webs?\Such long strands...\Master Inuyasha, is something wrong? response:	Nothing.
context: Shippo... You're a demon! Don't go getting seasick!\I feel terrible!\Jeepers... No one's taking this seriously!\- Huh? - What?\Spider webs?\Such long strands...\Master Inuyasha, is something wrong?\Nothing. response:	- Huh? - Someone!
context: I feel terrible!\Jeepers... No one's taking this seriously!\- Huh? - What?\Spider webs?\Such long strands...\Master Inuyasha, is something wrong?\Nothing.\- Huh? - Someone! response:	Don't come near!
context: Jeepers... No one's taking this seriously!\- Huh? - What?\Spider webs?\Such long strands...\Master Inuyasha, is something wrong?\Nothing.\- Huh? - Someone!\Don't come near! response:	Nice catch!
context: - Huh? - What?\Spider webs?\Such long strands...\Master Inuyasha, is something wrong?\Nothing.\- Huh? - Someone!\Don't come near!\Nice catch! response:	What was that?
context: Spider webs?\Such long strands...\Master Inuyasha, is something wrong?\Nothing.\- Huh? - Someone!\Don't come near!\Nice catch!\What was that? response:	Umm... Thank you for...
context: Such long strands...\Master Inuyasha, is something wrong?\Nothing.\- Huh? - Someone!\Don't come near!\Nice catch!\What was that?\Umm... Thank you for... response:	Let go, you demon!
context: Master Inuyasha, is something wrong?\Nothing.\- Huh? - Someone!\Don't come near!\Nice catch!\What was that?\Umm... Thank you for...\Let go, you demon! response:	Of all the nerve!
context: Nothing.\- Huh? - Someone!\Don't come near!\Nice catch!\What was that?\Umm... Thank you for...\Let go, you demon!\Of all the nerve! response:	Err... What was that just now?
context: - Huh? - Someone!\Don't come near!\Nice catch!\What was that?\Umm... Thank you for...\Let go, you demon!\Of all the nerve!\Err... What was that just now? response:	A demon called the Spider Head.
context: Don't come near!\Nice catch!\What was that?\Umm... Thank you for...\Let go, you demon!\Of all the nerve!\Err... What was that just now?\A demon called the Spider Head. response:	It started living in this mountain just after the spring.
context: Nice catch!\What was that?\Umm... Thank you for...\Let go, you demon!\Of all the nerve!\Err... What was that just now?\A demon called the Spider Head.\It started living in this mountain just after the spring. response:	Several villages have already been attacked.
context: What was that?\Umm... Thank you for...\Let go, you demon!\Of all the nerve!\Err... What was that just now?\A demon called the Spider Head.\It started living in this mountain just after the spring.\Several villages have already been attacked. response:	It traps humans in its web, then devours them.
context: Umm... Thank you for...\Let go, you demon!\Of all the nerve!\Err... What was that just now?\A demon called the Spider Head.\It started living in this mountain just after the spring.\Several villages have already been attacked.\It traps humans in its web, then devours them. response:	It's a frightening demon!
context: Let go, you demon!\Of all the nerve!\Err... What was that just now?\A demon called the Spider Head.\It started living in this mountain just after the spring.\Several villages have already been attacked.\It traps humans in its web, then devours them.\It's a frightening demon! response:	I see...
context: Of all the nerve!\Err... What was that just now?\A demon called the Spider Head.\It started living in this mountain just after the spring.\Several villages have already been attacked.\It traps humans in its web, then devours them.\It's a frightening demon!\I see... response:	Inuyasha, let's save them.
context: Err... What was that just now?\A demon called the Spider Head.\It started living in this mountain just after the spring.\Several villages have already been attacked.\It traps humans in its web, then devours them.\It's a frightening demon!\I see...\Inuyasha, let's save them. response:	Any sign of Sacred Jewel fragments?
context: A demon called the Spider Head.\It started living in this mountain just after the spring.\Several villages have already been attacked.\It traps humans in its web, then devours them.\It's a frightening demon!\I see...\Inuyasha, let's save them.\Any sign of Sacred Jewel fragments? response:	I didn't sense anything from that Spider Head just now.
context: It started living in this mountain just after the spring.\Several villages have already been attacked.\It traps humans in its web, then devours them.\It's a frightening demon!\I see...\Inuyasha, let's save them.\Any sign of Sacred Jewel fragments?\I didn't sense anything from that Spider Head just now. response:	Then let's go...
context: Several villages have already been attacked.\It traps humans in its web, then devours them.\It's a frightening demon!\I see...\Inuyasha, let's save them.\Any sign of Sacred Jewel fragments?\I didn't sense anything from that Spider Head just now.\Then let's go... response:	I want to cross the mountain before nightfall.
context: It traps humans in its web, then devours them.\It's a frightening demon!\I see...\Inuyasha, let's save them.\Any sign of Sacred Jewel fragments?\I didn't sense anything from that Spider Head just now.\Then let's go...\I want to cross the mountain before nightfall. response:	But there is a demon! How can we just pass?!
context: It's a frightening demon!\I see...\Inuyasha, let's save them.\Any sign of Sacred Jewel fragments?\I didn't sense anything from that Spider Head just now.\Then let's go...\I want to cross the mountain before nightfall.\But there is a demon! How can we just pass?! response:	Hey! I'm not hunting down demons just for goodwill towards man!
context: I see...\Inuyasha, let's save them.\Any sign of Sacred Jewel fragments?\I didn't sense anything from that Spider Head just now.\Then let's go...\I want to cross the mountain before nightfall.\But there is a demon! How can we just pass?!\Hey! I'm not hunting down demons just for goodwill towards man! response:	I know, but...
context: Inuyasha, let's save them.\Any sign of Sacred Jewel fragments?\I didn't sense anything from that Spider Head just now.\Then let's go...\I want to cross the mountain before nightfall.\But there is a demon! How can we just pass?!\Hey! I'm not hunting down demons just for goodwill towards man!\I know, but... response:	Usually, he'd at least check it out.
context: Any sign of Sacred Jewel fragments?\I didn't sense anything from that Spider Head just now.\Then let's go...\I want to cross the mountain before nightfall.\But there is a demon! How can we just pass?!\Hey! I'm not hunting down demons just for goodwill towards man!\I know, but...\Usually, he'd at least check it out. response:	I'm going home. No way will I be beholden to a demon!
context: I didn't sense anything from that Spider Head just now.\Then let's go...\I want to cross the mountain before nightfall.\But there is a demon! How can we just pass?!\Hey! I'm not hunting down demons just for goodwill towards man!\I know, but...\Usually, he'd at least check it out.\I'm going home. No way will I be beholden to a demon! response:	He saved you! What an ingrate!
context: Then let's go...\I want to cross the mountain before nightfall.\But there is a demon! How can we just pass?!\Hey! I'm not hunting down demons just for goodwill towards man!\I know, but...\Usually, he'd at least check it out.\I'm going home. No way will I be beholden to a demon!\He saved you! What an ingrate! response:	Shut up!
context: I want to cross the mountain before nightfall.\But there is a demon! How can we just pass?!\Hey! I'm not hunting down demons just for goodwill towards man!\I know, but...\Usually, he'd at least check it out.\I'm going home. No way will I be beholden to a demon!\He saved you! What an ingrate!\Shut up! response:	I hate demons!
context: But there is a demon! How can we just pass?!\Hey! I'm not hunting down demons just for goodwill towards man!\I know, but...\Usually, he'd at least check it out.\I'm going home. No way will I be beholden to a demon!\He saved you! What an ingrate!\Shut up!\I hate demons! response:	Let's at least see her home.
context: Hey! I'm not hunting down demons just for goodwill towards man!\I know, but...\Usually, he'd at least check it out.\I'm going home. No way will I be beholden to a demon!\He saved you! What an ingrate!\Shut up!\I hate demons!\Let's at least see her home. response:	Huh! It's that temple, right?
context: I know, but...\Usually, he'd at least check it out.\I'm going home. No way will I be beholden to a demon!\He saved you! What an ingrate!\Shut up!\I hate demons!\Let's at least see her home.\Huh! It's that temple, right? response:	Nazuna? Who are these people?
context: Usually, he'd at least check it out.\I'm going home. No way will I be beholden to a demon!\He saved you! What an ingrate!\Shut up!\I hate demons!\Let's at least see her home.\Huh! It's that temple, right?\Nazuna? Who are these people? response:	Master!
context: I'm going home. No way will I be beholden to a demon!\He saved you! What an ingrate!\Shut up!\I hate demons!\Let's at least see her home.\Huh! It's that temple, right?\Nazuna? Who are these people?\Master! response:	Huh?! Were you attacked by the Spider Head?
context: He saved you! What an ingrate!\Shut up!\I hate demons!\Let's at least see her home.\Huh! It's that temple, right?\Nazuna? Who are these people?\Master!\Huh?! Were you attacked by the Spider Head? response:	I went to put flowers on the graves...
context: Shut up!\I hate demons!\Let's at least see her home.\Huh! It's that temple, right?\Nazuna? Who are these people?\Master!\Huh?! Were you attacked by the Spider Head?\I went to put flowers on the graves... response:	and I've gone and brought these wicked demons to the temple, too...
context: I hate demons!\Let's at least see her home.\Huh! It's that temple, right?\Nazuna? Who are these people?\Master!\Huh?! Were you attacked by the Spider Head?\I went to put flowers on the graves...\and I've gone and brought these wicked demons to the temple, too... response:	I'm sorry.
context: Let's at least see her home.\Huh! It's that temple, right?\Nazuna? Who are these people?\Master!\Huh?! Were you attacked by the Spider Head?\I went to put flowers on the graves...\and I've gone and brought these wicked demons to the temple, too...\I'm sorry. response:	Are you still on that?!
context: Huh! It's that temple, right?\Nazuna? Who are these people?\Master!\Huh?! Were you attacked by the Spider Head?\I went to put flowers on the graves...\and I've gone and brought these wicked demons to the temple, too...\I'm sorry.\Are you still on that?! response:	Demons, huh?
context: Nazuna? Who are these people?\Master!\Huh?! Were you attacked by the Spider Head?\I went to put flowers on the graves...\and I've gone and brought these wicked demons to the temple, too...\I'm sorry.\Are you still on that?!\Demons, huh? response:	Calm down! We're leaving right away!
context: Master!\Huh?! Were you attacked by the Spider Head?\I went to put flowers on the graves...\and I've gone and brought these wicked demons to the temple, too...\I'm sorry.\Are you still on that?!\Demons, huh?\Calm down! We're leaving right away! response:	Oh no... You can spend the night at this temple.
context: Huh?! Were you attacked by the Spider Head?\I went to put flowers on the graves...\and I've gone and brought these wicked demons to the temple, too...\I'm sorry.\Are you still on that?!\Demons, huh?\Calm down! We're leaving right away!\Oh no... You can spend the night at this temple. response:	Master!
context: I went to put flowers on the graves...\and I've gone and brought these wicked demons to the temple, too...\I'm sorry.\Are you still on that?!\Demons, huh?\Calm down! We're leaving right away!\Oh no... You can spend the night at this temple.\Master! response:	Now, go and prepare supper.
context: and I've gone and brought these wicked demons to the temple, too...\I'm sorry.\Are you still on that?!\Demons, huh?\Calm down! We're leaving right away!\Oh no... You can spend the night at this temple.\Master!\Now, go and prepare supper. response:	Yes.
context: I'm sorry.\Are you still on that?!\Demons, huh?\Calm down! We're leaving right away!\Oh no... You can spend the night at this temple.\Master!\Now, go and prepare supper.\Yes. response:	Forgive her rudeness.
context: Are you still on that?!\Demons, huh?\Calm down! We're leaving right away!\Oh no... You can spend the night at this temple.\Master!\Now, go and prepare supper.\Yes.\Forgive her rudeness. response:	Nazuna's parents were killed by the Spider Head.
context: Demons, huh?\Calm down! We're leaving right away!\Oh no... You can spend the night at this temple.\Master!\Now, go and prepare supper.\Yes.\Forgive her rudeness.\Nazuna's parents were killed by the Spider Head. response:	I've been taking care of her since...
context: Calm down! We're leaving right away!\Oh no... You can spend the night at this temple.\Master!\Now, go and prepare supper.\Yes.\Forgive her rudeness.\Nazuna's parents were killed by the Spider Head.\I've been taking care of her since... response:	but she has a terrible fear of demons.
context: Oh no... You can spend the night at this temple.\Master!\Now, go and prepare supper.\Yes.\Forgive her rudeness.\Nazuna's parents were killed by the Spider Head.\I've been taking care of her since...\but she has a terrible fear of demons. response:	Umm... Are there a lot of Spider Heads in the area?
context: Master!\Now, go and prepare supper.\Yes.\Forgive her rudeness.\Nazuna's parents were killed by the Spider Head.\I've been taking care of her since...\but she has a terrible fear of demons.\Umm... Are there a lot of Spider Heads in the area? response:	As more and more men die in war...
context: Now, go and prepare supper.\Yes.\Forgive her rudeness.\Nazuna's parents were killed by the Spider Head.\I've been taking care of her since...\but she has a terrible fear of demons.\Umm... Are there a lot of Spider Heads in the area?\As more and more men die in war... response:	the number of Spider Heads seems to increase.
context: Yes.\Forgive her rudeness.\Nazuna's parents were killed by the Spider Head.\I've been taking care of her since...\but she has a terrible fear of demons.\Umm... Are there a lot of Spider Heads in the area?\As more and more men die in war...\the number of Spider Heads seems to increase. response:	In leaps and bounds...
context: Forgive her rudeness.\Nazuna's parents were killed by the Spider Head.\I've been taking care of her since...\but she has a terrible fear of demons.\Umm... Are there a lot of Spider Heads in the area?\As more and more men die in war...\the number of Spider Heads seems to increase.\In leaps and bounds... response:	Leaps and bounds?!
context: Nazuna's parents were killed by the Spider Head.\I've been taking care of her since...\but she has a terrible fear of demons.\Umm... Are there a lot of Spider Heads in the area?\As more and more men die in war...\the number of Spider Heads seems to increase.\In leaps and bounds...\Leaps and bounds?! response:	Say, let's take up his offer to spend the night here.
context: I've been taking care of her since...\but she has a terrible fear of demons.\Umm... Are there a lot of Spider Heads in the area?\As more and more men die in war...\the number of Spider Heads seems to increase.\In leaps and bounds...\Leaps and bounds?!\Say, let's take up his offer to spend the night here. response:	Why do I have to let some stupid demon control my life?
context: but she has a terrible fear of demons.\Umm... Are there a lot of Spider Heads in the area?\As more and more men die in war...\the number of Spider Heads seems to increase.\In leaps and bounds...\Leaps and bounds?!\Say, let's take up his offer to spend the night here.\Why do I have to let some stupid demon control my life? response:	I have sealed this temple with sacred sutras...
context: Umm... Are there a lot of Spider Heads in the area?\As more and more men die in war...\the number of Spider Heads seems to increase.\In leaps and bounds...\Leaps and bounds?!\Say, let's take up his offer to spend the night here.\Why do I have to let some stupid demon control my life?\I have sealed this temple with sacred sutras... response:	so the Spider Heads cannot enter.
context: As more and more men die in war...\the number of Spider Heads seems to increase.\In leaps and bounds...\Leaps and bounds?!\Say, let's take up his offer to spend the night here.\Why do I have to let some stupid demon control my life?\I have sealed this temple with sacred sutras...\so the Spider Heads cannot enter. response:	You can rest easy.
context: the number of Spider Heads seems to increase.\In leaps and bounds...\Leaps and bounds?!\Say, let's take up his offer to spend the night here.\Why do I have to let some stupid demon control my life?\I have sealed this temple with sacred sutras...\so the Spider Heads cannot enter.\You can rest easy. response:	You see!
context: In leaps and bounds...\Leaps and bounds?!\Say, let's take up his offer to spend the night here.\Why do I have to let some stupid demon control my life?\I have sealed this temple with sacred sutras...\so the Spider Heads cannot enter.\You can rest easy.\You see! response:	I guess I have no choice.
context: Leaps and bounds?!\Say, let's take up his offer to spend the night here.\Why do I have to let some stupid demon control my life?\I have sealed this temple with sacred sutras...\so the Spider Heads cannot enter.\You can rest easy.\You see!\I guess I have no choice. response:	That Nazuna has a sharp mouth, but she sure can cook.
context: Say, let's take up his offer to spend the night here.\Why do I have to let some stupid demon control my life?\I have sealed this temple with sacred sutras...\so the Spider Heads cannot enter.\You can rest easy.\You see!\I guess I have no choice.\That Nazuna has a sharp mouth, but she sure can cook. response:	Huh?! I thought you disliked her a while ago.
context: Why do I have to let some stupid demon control my life?\I have sealed this temple with sacred sutras...\so the Spider Heads cannot enter.\You can rest easy.\You see!\I guess I have no choice.\That Nazuna has a sharp mouth, but she sure can cook.\Huh?! I thought you disliked her a while ago. response:	Well, a woman who can cook can't be all that bad.
context: I have sealed this temple with sacred sutras...\so the Spider Heads cannot enter.\You can rest easy.\You see!\I guess I have no choice.\That Nazuna has a sharp mouth, but she sure can cook.\Huh?! I thought you disliked her a while ago.\Well, a woman who can cook can't be all that bad. response:	Night has fallen.
context: so the Spider Heads cannot enter.\You can rest easy.\You see!\I guess I have no choice.\That Nazuna has a sharp mouth, but she sure can cook.\Huh?! I thought you disliked her a while ago.\Well, a woman who can cook can't be all that bad.\Night has fallen. response:	Say, Inuyasha...
context: You can rest easy.\You see!\I guess I have no choice.\That Nazuna has a sharp mouth, but she sure can cook.\Huh?! I thought you disliked her a while ago.\Well, a woman who can cook can't be all that bad.\Night has fallen.\Say, Inuyasha... response:	Is something the matter?
context: You see!\I guess I have no choice.\That Nazuna has a sharp mouth, but she sure can cook.\Huh?! I thought you disliked her a while ago.\Well, a woman who can cook can't be all that bad.\Night has fallen.\Say, Inuyasha...\Is something the matter? response:	No...
context: I guess I have no choice.\That Nazuna has a sharp mouth, but she sure can cook.\Huh?! I thought you disliked her a while ago.\Well, a woman who can cook can't be all that bad.\Night has fallen.\Say, Inuyasha...\Is something the matter?\No... response:	What?!
context: That Nazuna has a sharp mouth, but she sure can cook.\Huh?! I thought you disliked her a while ago.\Well, a woman who can cook can't be all that bad.\Night has fallen.\Say, Inuyasha...\Is something the matter?\No...\What?! response:	Inuyasha... Could you be...
context: Huh?! I thought you disliked her a while ago.\Well, a woman who can cook can't be all that bad.\Night has fallen.\Say, Inuyasha...\Is something the matter?\No...\What?!\Inuyasha... Could you be... response:	Afraid of spiders?!
context: Well, a woman who can cook can't be all that bad.\Night has fallen.\Say, Inuyasha...\Is something the matter?\No...\What?!\Inuyasha... Could you be...\Afraid of spiders?! response:	Boo!
context: Night has fallen.\Say, Inuyasha...\Is something the matter?\No...\What?!\Inuyasha... Could you be...\Afraid of spiders?!\Boo! response:	I'm not a...
context: Say, Inuyasha...\Is something the matter?\No...\What?!\Inuyasha... Could you be...\Afraid of spiders?!\Boo!\I'm not a... response:	Am I wrong?
context: Is something the matter?\No...\What?!\Inuyasha... Could you be...\Afraid of spiders?!\Boo!\I'm not a...\Am I wrong? response:	Absolutely!
context: No...\What?!\Inuyasha... Could you be...\Afraid of spiders?!\Boo!\I'm not a...\Am I wrong?\Absolutely! response:	Where are you going?
context: What?!\Inuyasha... Could you be...\Afraid of spiders?!\Boo!\I'm not a...\Am I wrong?\Absolutely!\Where are you going? response:	Shut up! I'm gonna sleep alone!
context: Inuyasha... Could you be...\Afraid of spiders?!\Boo!\I'm not a...\Am I wrong?\Absolutely!\Where are you going?\Shut up! I'm gonna sleep alone! response:	Damn... I'm losing my sense of smell.
context: Afraid of spiders?!\Boo!\I'm not a...\Am I wrong?\Absolutely!\Where are you going?\Shut up! I'm gonna sleep alone!\Damn... I'm losing my sense of smell. response:	We're surrounded!
context: Boo!\I'm not a...\Am I wrong?\Absolutely!\Where are you going?\Shut up! I'm gonna sleep alone!\Damn... I'm losing my sense of smell.\We're surrounded! response:	Aghh! Spider Heads!
context: I'm not a...\Am I wrong?\Absolutely!\Where are you going?\Shut up! I'm gonna sleep alone!\Damn... I'm losing my sense of smell.\We're surrounded!\Aghh! Spider Heads! response:	This side, too!
context: Am I wrong?\Absolutely!\Where are you going?\Shut up! I'm gonna sleep alone!\Damn... I'm losing my sense of smell.\We're surrounded!\Aghh! Spider Heads!\This side, too! response:	There may be many of them, but they're not formidable opponents.
context: Absolutely!\Where are you going?\Shut up! I'm gonna sleep alone!\Damn... I'm losing my sense of smell.\We're surrounded!\Aghh! Spider Heads!\This side, too!\There may be many of them, but they're not formidable opponents. response:	It's just a post-meal exercise for you, Master Inuyasha!
context: Where are you going?\Shut up! I'm gonna sleep alone!\Damn... I'm losing my sense of smell.\We're surrounded!\Aghh! Spider Heads!\This side, too!\There may be many of them, but they're not formidable opponents.\It's just a post-meal exercise for you, Master Inuyasha! response:	Dang that priest!
context: Shut up! I'm gonna sleep alone!\Damn... I'm losing my sense of smell.\We're surrounded!\Aghh! Spider Heads!\This side, too!\There may be many of them, but they're not formidable opponents.\It's just a post-meal exercise for you, Master Inuyasha!\Dang that priest! response:	Whatever happened to his sacred sutra seals?!
context: Damn... I'm losing my sense of smell.\We're surrounded!\Aghh! Spider Heads!\This side, too!\There may be many of them, but they're not formidable opponents.\It's just a post-meal exercise for you, Master Inuyasha!\Dang that priest!\Whatever happened to his sacred sutra seals?! response:	Master!
