context: True Calendar year 71. response:	Humanity, 70 of whom had been sent out into space, was largely divided into two powers.
context: At the shrine, I...\What about the shrine?\Well, uh...\Um, I...\It's Haruto!\Did he say Haruto?\He's alive!\What a relief! response:	Haruto!
context: What about the shrine?\Well, uh...\Um, I...\It's Haruto!\Did he say Haruto?\He's alive!\What a relief!\Haruto! response:	Thanks, Tokishima!
context: Well, uh...\Um, I...\It's Haruto!\Did he say Haruto?\He's alive!\What a relief!\Haruto!\Thanks, Tokishima! response:	When did you get a robot?
context: Um, I...\It's Haruto!\Did he say Haruto?\He's alive!\What a relief!\Haruto!\Thanks, Tokishima!\When did you get a robot? response:	You were so cool, Haruto!
context: It's Haruto!\Did he say Haruto?\He's alive!\What a relief!\Haruto!\Thanks, Tokishima!\When did you get a robot?\You were so cool, Haruto! response:	The herd's triumphant return, huh?
context: Did he say Haruto?\He's alive!\What a relief!\Haruto!\Thanks, Tokishima!\When did you get a robot?\You were so cool, Haruto!\The herd's triumphant return, huh? response:	No, I'm not a
context: He's alive!\What a relief!\Haruto!\Thanks, Tokishima!\When did you get a robot?\You were so cool, Haruto!\The herd's triumphant return, huh?\No, I'm not a response:	Haruto, here's my address!
context: What a relief!\Haruto!\Thanks, Tokishima!\When did you get a robot?\You were so cool, Haruto!\The herd's triumphant return, huh?\No, I'm not a\Haruto, here's my address! response:	Thank you, Haruto. Thank you...
context: Haruto!\Thanks, Tokishima!\When did you get a robot?\You were so cool, Haruto!\The herd's triumphant return, huh?\No, I'm not a\Haruto, here's my address!\Thank you, Haruto. Thank you... response:	Don't cry!
context: Thanks, Tokishima!\When did you get a robot?\You were so cool, Haruto!\The herd's triumphant return, huh?\No, I'm not a\Haruto, here's my address!\Thank you, Haruto. Thank you...\Don't cry! response:	Yeah, we're safe now!
context: When did you get a robot?\You were so cool, Haruto!\The herd's triumphant return, huh?\No, I'm not a\Haruto, here's my address!\Thank you, Haruto. Thank you...\Don't cry!\Yeah, we're safe now! response:	Come on, I can't help it...
context: You were so cool, Haruto!\The herd's triumphant return, huh?\No, I'm not a\Haruto, here's my address!\Thank you, Haruto. Thank you...\Don't cry!\Yeah, we're safe now!\Come on, I can't help it... response:	She's right...
context: The herd's triumphant return, huh?\No, I'm not a\Haruto, here's my address!\Thank you, Haruto. Thank you...\Don't cry!\Yeah, we're safe now!\Come on, I can't help it...\She's right... response:	We've been saved.
context: No, I'm not a\Haruto, here's my address!\Thank you, Haruto. Thank you...\Don't cry!\Yeah, we're safe now!\Come on, I can't help it...\She's right...\We've been saved. response:	During the New Guinea Conflict two years ago,
context: Haruto, here's my address!\Thank you, Haruto. Thank you...\Don't cry!\Yeah, we're safe now!\Come on, I can't help it...\She's right...\We've been saved.\During the New Guinea Conflict two years ago, response:	you kept our brigade of 5,000 men pinned down all by yourself.
context: Thank you, Haruto. Thank you...\Don't cry!\Yeah, we're safe now!\Come on, I can't help it...\She's right...\We've been saved.\During the New Guinea Conflict two years ago,\you kept our brigade of 5,000 men pinned down all by yourself. response:	Ever since, we've called you the One-man Brigade.
context: Don't cry!\Yeah, we're safe now!\Come on, I can't help it...\She's right...\We've been saved.\During the New Guinea Conflict two years ago,\you kept our brigade of 5,000 men pinned down all by yourself.\Ever since, we've called you the One-man Brigade. response:	I never imagined that you would be so young.
context: Yeah, we're safe now!\Come on, I can't help it...\She's right...\We've been saved.\During the New Guinea Conflict two years ago,\you kept our brigade of 5,000 men pinned down all by yourself.\Ever since, we've called you the One-man Brigade.\I never imagined that you would be so young. response:	That's the worlds GDP leader for you!
context: Come on, I can't help it...\She's right...\We've been saved.\During the New Guinea Conflict two years ago,\you kept our brigade of 5,000 men pinned down all by yourself.\Ever since, we've called you the One-man Brigade.\I never imagined that you would be so young.\That's the worlds GDP leader for you! response:	The world's policeman! The land of freedom!
context: She's right...\We've been saved.\During the New Guinea Conflict two years ago,\you kept our brigade of 5,000 men pinned down all by yourself.\Ever since, we've called you the One-man Brigade.\I never imagined that you would be so young.\That's the worlds GDP leader for you!\The world's policeman! The land of freedom! response:	You can always count on ARUS!
context: We've been saved.\During the New Guinea Conflict two years ago,\you kept our brigade of 5,000 men pinned down all by yourself.\Ever since, we've called you the One-man Brigade.\I never imagined that you would be so young.\That's the worlds GDP leader for you!\The world's policeman! The land of freedom!\You can always count on ARUS! response:	Oh, the sensation of being held tight by polymerized carbon cermet armor... What a rush!
context: During the New Guinea Conflict two years ago,\you kept our brigade of 5,000 men pinned down all by yourself.\Ever since, we've called you the One-man Brigade.\I never imagined that you would be so young.\That's the worlds GDP leader for you!\The world's policeman! The land of freedom!\You can always count on ARUS!\Oh, the sensation of being held tight by polymerized carbon cermet armor... What a rush! response:	I'm almost myself again!
context: you kept our brigade of 5,000 men pinned down all by yourself.\Ever since, we've called you the One-man Brigade.\I never imagined that you would be so young.\That's the worlds GDP leader for you!\The world's policeman! The land of freedom!\You can always count on ARUS!\Oh, the sensation of being held tight by polymerized carbon cermet armor... What a rush!\I'm almost myself again! response:	Now that I'm out of those tattered rags, I feel like a woman!
context: Ever since, we've called you the One-man Brigade.\I never imagined that you would be so young.\That's the worlds GDP leader for you!\The world's policeman! The land of freedom!\You can always count on ARUS!\Oh, the sensation of being held tight by polymerized carbon cermet armor... What a rush!\I'm almost myself again!\Now that I'm out of those tattered rags, I feel like a woman! response:	You'd tell him how you felt if we survived, who did you mean?
context: I never imagined that you would be so young.\That's the worlds GDP leader for you!\The world's policeman! The land of freedom!\You can always count on ARUS!\Oh, the sensation of being held tight by polymerized carbon cermet armor... What a rush!\I'm almost myself again!\Now that I'm out of those tattered rags, I feel like a woman!\You'd tell him how you felt if we survived, who did you mean? response:	Aw, but...
context: That's the worlds GDP leader for you!\The world's policeman! The land of freedom!\You can always count on ARUS!\Oh, the sensation of being held tight by polymerized carbon cermet armor... What a rush!\I'm almost myself again!\Now that I'm out of those tattered rags, I feel like a woman!\You'd tell him how you felt if we survived, who did you mean?\Aw, but... response:	Better to regret something said than unsaid. If you're just not sure, just come out and tell him.
context: The world's policeman! The land of freedom!\You can always count on ARUS!\Oh, the sensation of being held tight by polymerized carbon cermet armor... What a rush!\I'm almost myself again!\Now that I'm out of those tattered rags, I feel like a woman!\You'd tell him how you felt if we survived, who did you mean?\Aw, but...\Better to regret something said than unsaid. If you're just not sure, just come out and tell him. response:	See, our life coach says so, too.
context: You can always count on ARUS!\Oh, the sensation of being held tight by polymerized carbon cermet armor... What a rush!\I'm almost myself again!\Now that I'm out of those tattered rags, I feel like a woman!\You'd tell him how you felt if we survived, who did you mean?\Aw, but...\Better to regret something said than unsaid. If you're just not sure, just come out and tell him.\See, our life coach says so, too. response:	But it's not like Nanami has a boyfriend.
context: Oh, the sensation of being held tight by polymerized carbon cermet armor... What a rush!\I'm almost myself again!\Now that I'm out of those tattered rags, I feel like a woman!\You'd tell him how you felt if we survived, who did you mean?\Aw, but...\Better to regret something said than unsaid. If you're just not sure, just come out and tell him.\See, our life coach says so, too.\But it's not like Nanami has a boyfriend. response:	How did you know?
context: I'm almost myself again!\Now that I'm out of those tattered rags, I feel like a woman!\You'd tell him how you felt if we survived, who did you mean?\Aw, but...\Better to regret something said than unsaid. If you're just not sure, just come out and tell him.\See, our life coach says so, too.\But it's not like Nanami has a boyfriend.\How did you know? response:	It sounds like Haruto doesn't really know, either.
context: Now that I'm out of those tattered rags, I feel like a woman!\You'd tell him how you felt if we survived, who did you mean?\Aw, but...\Better to regret something said than unsaid. If you're just not sure, just come out and tell him.\See, our life coach says so, too.\But it's not like Nanami has a boyfriend.\How did you know?\It sounds like Haruto doesn't really know, either. response:	He says he found the robot, and when he got in, he knew how to fight in it.
context: You'd tell him how you felt if we survived, who did you mean?\Aw, but...\Better to regret something said than unsaid. If you're just not sure, just come out and tell him.\See, our life coach says so, too.\But it's not like Nanami has a boyfriend.\How did you know?\It sounds like Haruto doesn't really know, either.\He says he found the robot, and when he got in, he knew how to fight in it. response:	Oh.
context: Aw, but...\Better to regret something said than unsaid. If you're just not sure, just come out and tell him.\See, our life coach says so, too.\But it's not like Nanami has a boyfriend.\How did you know?\It sounds like Haruto doesn't really know, either.\He says he found the robot, and when he got in, he knew how to fight in it.\Oh. response:	It's hard to believe that Haruto of all people would have a knack for that.
context: Better to regret something said than unsaid. If you're just not sure, just come out and tell him.\See, our life coach says so, too.\But it's not like Nanami has a boyfriend.\How did you know?\It sounds like Haruto doesn't really know, either.\He says he found the robot, and when he got in, he knew how to fight in it.\Oh.\It's hard to believe that Haruto of all people would have a knack for that. response:	Oh...
context: See, our life coach says so, too.\But it's not like Nanami has a boyfriend.\How did you know?\It sounds like Haruto doesn't really know, either.\He says he found the robot, and when he got in, he knew how to fight in it.\Oh.\It's hard to believe that Haruto of all people would have a knack for that.\Oh... response:	Did something happen between you and Haruto?
context: But it's not like Nanami has a boyfriend.\How did you know?\It sounds like Haruto doesn't really know, either.\He says he found the robot, and when he got in, he knew how to fight in it.\Oh.\It's hard to believe that Haruto of all people would have a knack for that.\Oh...\Did something happen between you and Haruto? response:	No.
context: How did you know?\It sounds like Haruto doesn't really know, either.\He says he found the robot, and when he got in, he knew how to fight in it.\Oh.\It's hard to believe that Haruto of all people would have a knack for that.\Oh...\Did something happen between you and Haruto?\No. response:	Nothing... happened at all. That's why...
context: It sounds like Haruto doesn't really know, either.\He says he found the robot, and when he got in, he knew how to fight in it.\Oh.\It's hard to believe that Haruto of all people would have a knack for that.\Oh...\Did something happen between you and Haruto?\No.\Nothing... happened at all. That's why... response:	Temperature and pulse, both normal.
context: He says he found the robot, and when he got in, he knew how to fight in it.\Oh.\It's hard to believe that Haruto of all people would have a knack for that.\Oh...\Did something happen between you and Haruto?\No.\Nothing... happened at all. That's why...\Temperature and pulse, both normal. response:	See? You're fine.
context: Oh.\It's hard to believe that Haruto of all people would have a knack for that.\Oh...\Did something happen between you and Haruto?\No.\Nothing... happened at all. That's why...\Temperature and pulse, both normal.\See? You're fine. response:	But...
context: It's hard to believe that Haruto of all people would have a knack for that.\Oh...\Did something happen between you and Haruto?\No.\Nothing... happened at all. That's why...\Temperature and pulse, both normal.\See? You're fine.\But... response:	We should have a doctor look at you.
context: Oh...\Did something happen between you and Haruto?\No.\Nothing... happened at all. That's why...\Temperature and pulse, both normal.\See? You're fine.\But...\We should have a doctor look at you. response:	The military should have doctors with them.
context: Did something happen between you and Haruto?\No.\Nothing... happened at all. That's why...\Temperature and pulse, both normal.\See? You're fine.\But...\We should have a doctor look at you.\The military should have doctors with them. response:	I wouldn't do that if i were you.
context: No.\Nothing... happened at all. That's why...\Temperature and pulse, both normal.\See? You're fine.\But...\We should have a doctor look at you.\The military should have doctors with them.\I wouldn't do that if i were you. response:	They'd just use him as a lab rat.
context: Nothing... happened at all. That's why...\Temperature and pulse, both normal.\See? You're fine.\But...\We should have a doctor look at you.\The military should have doctors with them.\I wouldn't do that if i were you.\They'd just use him as a lab rat. response:	No way...
context: Temperature and pulse, both normal.\See? You're fine.\But...\We should have a doctor look at you.\The military should have doctors with them.\I wouldn't do that if i were you.\They'd just use him as a lab rat.\No way... response:	Adults are sleazeballs.
context: See? You're fine.\But...\We should have a doctor look at you.\The military should have doctors with them.\I wouldn't do that if i were you.\They'd just use him as a lab rat.\No way...\Adults are sleazeballs. response:	Rukino, did something happen to you?
context: But...\We should have a doctor look at you.\The military should have doctors with them.\I wouldn't do that if i were you.\They'd just use him as a lab rat.\No way...\Adults are sleazeballs.\Rukino, did something happen to you? response:	What's wrong, Haruto?
context: We should have a doctor look at you.\The military should have doctors with them.\I wouldn't do that if i were you.\They'd just use him as a lab rat.\No way...\Adults are sleazeballs.\Rukino, did something happen to you?\What's wrong, Haruto? response:	Hey, Haruto! Haruto!
context: The military should have doctors with them.\I wouldn't do that if i were you.\They'd just use him as a lab rat.\No way...\Adults are sleazeballs.\Rukino, did something happen to you?\What's wrong, Haruto?\Hey, Haruto! Haruto! response:	Haruto?
context: I wouldn't do that if i were you.\They'd just use him as a lab rat.\No way...\Adults are sleazeballs.\Rukino, did something happen to you?\What's wrong, Haruto?\Hey, Haruto! Haruto!\Haruto? response:	Cut it out, Haruto!
context: They'd just use him as a lab rat.\No way...\Adults are sleazeballs.\Rukino, did something happen to you?\What's wrong, Haruto?\Hey, Haruto! Haruto!\Haruto?\Cut it out, Haruto! response:	Haruto!
context: No way...\Adults are sleazeballs.\Rukino, did something happen to you?\What's wrong, Haruto?\Hey, Haruto! Haruto!\Haruto?\Cut it out, Haruto!\Haruto! response:	What's your problem?!
context: Adults are sleazeballs.\Rukino, did something happen to you?\What's wrong, Haruto?\Hey, Haruto! Haruto!\Haruto?\Cut it out, Haruto!\Haruto!\What's your problem?! response:	Haruto...
context: Rukino, did something happen to you?\What's wrong, Haruto?\Hey, Haruto! Haruto!\Haruto?\Cut it out, Haruto!\Haruto!\What's your problem?!\Haruto... response:	What did I do?
context: What's wrong, Haruto?\Hey, Haruto! Haruto!\Haruto?\Cut it out, Haruto!\Haruto!\What's your problem?!\Haruto...\What did I do? response:	You attacked him, right out of the blue!
context: Hey, Haruto! Haruto!\Haruto?\Cut it out, Haruto!\Haruto!\What's your problem?!\Haruto...\What did I do?\You attacked him, right out of the blue! response:	Like you were a vampire.
context: Haruto?\Cut it out, Haruto!\Haruto!\What's your problem?!\Haruto...\What did I do?\You attacked him, right out of the blue!\Like you were a vampire. response:	Just like that other time...
context: Cut it out, Haruto!\Haruto!\What's your problem?!\Haruto...\What did I do?\You attacked him, right out of the blue!\Like you were a vampire.\Just like that other time... response:	I knew it, I'm not human!
context: Haruto!\What's your problem?!\Haruto...\What did I do?\You attacked him, right out of the blue!\Like you were a vampire.\Just like that other time...\I knew it, I'm not human! response:	There's no telling what I'll to do you guys!
context: What's your problem?!\Haruto...\What did I do?\You attacked him, right out of the blue!\Like you were a vampire.\Just like that other time...\I knew it, I'm not human!\There's no telling what I'll to do you guys! response:	Calm down, Haruto!
context: Haruto...\What did I do?\You attacked him, right out of the blue!\Like you were a vampire.\Just like that other time...\I knew it, I'm not human!\There's no telling what I'll to do you guys!\Calm down, Haruto! response:	But
context: What did I do?\You attacked him, right out of the blue!\Like you were a vampire.\Just like that other time...\I knew it, I'm not human!\There's no telling what I'll to do you guys!\Calm down, Haruto!\But response:	You used that power to save us all, remember?
context: You attacked him, right out of the blue!\Like you were a vampire.\Just like that other time...\I knew it, I'm not human!\There's no telling what I'll to do you guys!\Calm down, Haruto!\But\You used that power to save us all, remember? response:	But that doesn't mean... I...
context: Like you were a vampire.\Just like that other time...\I knew it, I'm not human!\There's no telling what I'll to do you guys!\Calm down, Haruto!\But\You used that power to save us all, remember?\But that doesn't mean... I... response:	Is Tokishima in here?
context: Just like that other time...\I knew it, I'm not human!\There's no telling what I'll to do you guys!\Calm down, Haruto!\But\You used that power to save us all, remember?\But that doesn't mean... I...\Is Tokishima in here? response:	Do you have a minute?
context: I knew it, I'm not human!\There's no telling what I'll to do you guys!\Calm down, Haruto!\But\You used that power to save us all, remember?\But that doesn't mean... I...\Is Tokishima in here?\Do you have a minute? response:	Sure. What is it?
context: There's no telling what I'll to do you guys!\Calm down, Haruto!\But\You used that power to save us all, remember?\But that doesn't mean... I...\Is Tokishima in here?\Do you have a minute?\Sure. What is it? response:	Senator Figaro says he'd like to speak with you.
context: Calm down, Haruto!\But\You used that power to save us all, remember?\But that doesn't mean... I...\Is Tokishima in here?\Do you have a minute?\Sure. What is it?\Senator Figaro says he'd like to speak with you. response:	Senator Figaro?
context: But\You used that power to save us all, remember?\But that doesn't mean... I...\Is Tokishima in here?\Do you have a minute?\Sure. What is it?\Senator Figaro says he'd like to speak with you.\Senator Figaro? response:	With me?
context: You used that power to save us all, remember?\But that doesn't mean... I...\Is Tokishima in here?\Do you have a minute?\Sure. What is it?\Senator Figaro says he'd like to speak with you.\Senator Figaro?\With me? response:	Um... It's good to meet you,
context: But that doesn't mean... I...\Is Tokishima in here?\Do you have a minute?\Sure. What is it?\Senator Figaro says he'd like to speak with you.\Senator Figaro?\With me?\Um... It's good to meet you, response:	Senator.
context: Is Tokishima in here?\Do you have a minute?\Sure. What is it?\Senator Figaro says he'd like to speak with you.\Senator Figaro?\With me?\Um... It's good to meet you,\Senator. response:	Senator...
context: Do you have a minute?\Sure. What is it?\Senator Figaro says he'd like to speak with you.\Senator Figaro?\With me?\Um... It's good to meet you,\Senator.\Senator... response:	You've never talked to a politician before?
context: Sure. What is it?\Senator Figaro says he'd like to speak with you.\Senator Figaro?\With me?\Um... It's good to meet you,\Senator.\Senator...\You've never talked to a politician before? response:	I'd like to think that I'm not as scary as those Dorssian forces you defeated.
context: Senator Figaro says he'd like to speak with you.\Senator Figaro?\With me?\Um... It's good to meet you,\Senator.\Senator...\You've never talked to a politician before?\I'd like to think that I'm not as scary as those Dorssian forces you defeated. response:	That's...
context: Senator Figaro?\With me?\Um... It's good to meet you,\Senator.\Senator...\You've never talked to a politician before?\I'd like to think that I'm not as scary as those Dorssian forces you defeated.\That's... response:	It was through these posts that we learned you were still putting up a fight here.
context: With me?\Um... It's good to meet you,\Senator.\Senator...\You've never talked to a politician before?\I'd like to think that I'm not as scary as those Dorssian forces you defeated.\That's...\It was through these posts that we learned you were still putting up a fight here. response:	The user who uploaded the video was...
context: Um... It's good to meet you,\Senator.\Senator...\You've never talked to a politician before?\I'd like to think that I'm not as scary as those Dorssian forces you defeated.\That's...\It was through these posts that we learned you were still putting up a fight here.\The user who uploaded the video was... response:	Rainbow?
