context: So that happened, huh? response:	To think that that's how I'd reunite with Kazuhiko.
context: In the end, I couldn't make him understand.\I couldn't save the town.\I wasn't really useful...\The Skylarks Take Flight\The Skylarks Take Flight.\This will take us to Ikoma, right?\Yeah.\Then you're leaving? response:	I do have someplace I'm trying to reach.
context: I couldn't save the town.\I wasn't really useful...\The Skylarks Take Flight\The Skylarks Take Flight.\This will take us to Ikoma, right?\Yeah.\Then you're leaving?\I do have someplace I'm trying to reach. response:	But I don't know where I'll ultimately end up.
context: I wasn't really useful...\The Skylarks Take Flight\The Skylarks Take Flight.\This will take us to Ikoma, right?\Yeah.\Then you're leaving?\I do have someplace I'm trying to reach.\But I don't know where I'll ultimately end up. response:	Oh, right.
context: The Skylarks Take Flight\The Skylarks Take Flight.\This will take us to Ikoma, right?\Yeah.\Then you're leaving?\I do have someplace I'm trying to reach.\But I don't know where I'll ultimately end up.\Oh, right. response:	I'd like you to give this to...
context: The Skylarks Take Flight.\This will take us to Ikoma, right?\Yeah.\Then you're leaving?\I do have someplace I'm trying to reach.\But I don't know where I'll ultimately end up.\Oh, right.\I'd like you to give this to... response:	your brother, I suppose.
context: This will take us to Ikoma, right?\Yeah.\Then you're leaving?\I do have someplace I'm trying to reach.\But I don't know where I'll ultimately end up.\Oh, right.\I'd like you to give this to...\your brother, I suppose. response:	To Shiroe?
context: Yeah.\Then you're leaving?\I do have someplace I'm trying to reach.\But I don't know where I'll ultimately end up.\Oh, right.\I'd like you to give this to...\your brother, I suppose.\To Shiroe? response:	Yeah.
context: Then you're leaving?\I do have someplace I'm trying to reach.\But I don't know where I'll ultimately end up.\Oh, right.\I'd like you to give this to...\your brother, I suppose.\To Shiroe?\Yeah. response:	Um...
context: I do have someplace I'm trying to reach.\But I don't know where I'll ultimately end up.\Oh, right.\I'd like you to give this to...\your brother, I suppose.\To Shiroe?\Yeah.\Um... response:	No, all right.
context: But I don't know where I'll ultimately end up.\Oh, right.\I'd like you to give this to...\your brother, I suppose.\To Shiroe?\Yeah.\Um...\No, all right. response:	Okay, off I go.
context: Oh, right.\I'd like you to give this to...\your brother, I suppose.\To Shiroe?\Yeah.\Um...\No, all right.\Okay, off I go. response:	It's such nice weather, you know.
context: I'd like you to give this to...\your brother, I suppose.\To Shiroe?\Yeah.\Um...\No, all right.\Okay, off I go.\It's such nice weather, you know. response:	A little too nice...
context: your brother, I suppose.\To Shiroe?\Yeah.\Um...\No, all right.\Okay, off I go.\It's such nice weather, you know.\A little too nice... response:	Thank you.
context: To Shiroe?\Yeah.\Um...\No, all right.\Okay, off I go.\It's such nice weather, you know.\A little too nice...\Thank you. response:	Would you call me big sister one more time?
context: Yeah.\Um...\No, all right.\Okay, off I go.\It's such nice weather, you know.\A little too nice...\Thank you.\Would you call me big sister one more time? response:	Goodbye, big sister!
context: Um...\No, all right.\Okay, off I go.\It's such nice weather, you know.\A little too nice...\Thank you.\Would you call me big sister one more time?\Goodbye, big sister! response:	I love the sound of that!
context: No, all right.\Okay, off I go.\It's such nice weather, you know.\A little too nice...\Thank you.\Would you call me big sister one more time?\Goodbye, big sister!\I love the sound of that! response:	Sis...
context: Okay, off I go.\It's such nice weather, you know.\A little too nice...\Thank you.\Would you call me big sister one more time?\Goodbye, big sister!\I love the sound of that!\Sis... response:	Sister Roe 2...
context: It's such nice weather, you know.\A little too nice...\Thank you.\Would you call me big sister one more time?\Goodbye, big sister!\I love the sound of that!\Sis...\Sister Roe 2... response:	Goodbye, big sister.
context: A little too nice...\Thank you.\Would you call me big sister one more time?\Goodbye, big sister!\I love the sound of that!\Sis...\Sister Roe 2...\Goodbye, big sister. response:	Let's meet again someday, big sister.
context: Thank you.\Would you call me big sister one more time?\Goodbye, big sister!\I love the sound of that!\Sis...\Sister Roe 2...\Goodbye, big sister.\Let's meet again someday, big sister. response:	Yeah.
context: Would you call me big sister one more time?\Goodbye, big sister!\I love the sound of that!\Sis...\Sister Roe 2...\Goodbye, big sister.\Let's meet again someday, big sister.\Yeah. response:	Let us meet again, my little brothers and sisters!
context: Goodbye, big sister!\I love the sound of that!\Sis...\Sister Roe 2...\Goodbye, big sister.\Let's meet again someday, big sister.\Yeah.\Let us meet again, my little brothers and sisters! response:	She's gone.
context: I love the sound of that!\Sis...\Sister Roe 2...\Goodbye, big sister.\Let's meet again someday, big sister.\Yeah.\Let us meet again, my little brothers and sisters!\She's gone. response:	I'll be on my way, as well.
context: Sis...\Sister Roe 2...\Goodbye, big sister.\Let's meet again someday, big sister.\Yeah.\Let us meet again, my little brothers and sisters!\She's gone.\I'll be on my way, as well. response:	I wish I could stay, but...
context: Sister Roe 2...\Goodbye, big sister.\Let's meet again someday, big sister.\Yeah.\Let us meet again, my little brothers and sisters!\She's gone.\I'll be on my way, as well.\I wish I could stay, but... response:	Someone's come to meet me at Sanaru, just up the road.
context: Goodbye, big sister.\Let's meet again someday, big sister.\Yeah.\Let us meet again, my little brothers and sisters!\She's gone.\I'll be on my way, as well.\I wish I could stay, but...\Someone's come to meet me at Sanaru, just up the road. response:	It was fun meeting you all.
context: Let's meet again someday, big sister.\Yeah.\Let us meet again, my little brothers and sisters!\She's gone.\I'll be on my way, as well.\I wish I could stay, but...\Someone's come to meet me at Sanaru, just up the road.\It was fun meeting you all. response:	I hope we can meet again somewhere, someday.
context: Yeah.\Let us meet again, my little brothers and sisters!\She's gone.\I'll be on my way, as well.\I wish I could stay, but...\Someone's come to meet me at Sanaru, just up the road.\It was fun meeting you all.\I hope we can meet again somewhere, someday. response:	Yes.
context: Let us meet again, my little brothers and sisters!\She's gone.\I'll be on my way, as well.\I wish I could stay, but...\Someone's come to meet me at Sanaru, just up the road.\It was fun meeting you all.\I hope we can meet again somewhere, someday.\Yes. response:	We feel the same way.
context: She's gone.\I'll be on my way, as well.\I wish I could stay, but...\Someone's come to meet me at Sanaru, just up the road.\It was fun meeting you all.\I hope we can meet again somewhere, someday.\Yes.\We feel the same way. response:	Was it really all right to let her go like that?
context: I'll be on my way, as well.\I wish I could stay, but...\Someone's come to meet me at Sanaru, just up the road.\It was fun meeting you all.\I hope we can meet again somewhere, someday.\Yes.\We feel the same way.\Was it really all right to let her go like that? response:	What do you mean?
context: I wish I could stay, but...\Someone's come to meet me at Sanaru, just up the road.\It was fun meeting you all.\I hope we can meet again somewhere, someday.\Yes.\We feel the same way.\Was it really all right to let her go like that?\What do you mean? response:	Miss Dariella.
context: Someone's come to meet me at Sanaru, just up the road.\It was fun meeting you all.\I hope we can meet again somewhere, someday.\Yes.\We feel the same way.\Was it really all right to let her go like that?\What do you mean?\Miss Dariella. response:	Oh...
context: It was fun meeting you all.\I hope we can meet again somewhere, someday.\Yes.\We feel the same way.\Was it really all right to let her go like that?\What do you mean?\Miss Dariella.\Oh... response:	It's fine.
context: I hope we can meet again somewhere, someday.\Yes.\We feel the same way.\Was it really all right to let her go like that?\What do you mean?\Miss Dariella.\Oh...\It's fine. response:	Okay.
context: Yes.\We feel the same way.\Was it really all right to let her go like that?\What do you mean?\Miss Dariella.\Oh...\It's fine.\Okay. response:	You know, Dariella...
context: We feel the same way.\Was it really all right to let her go like that?\What do you mean?\Miss Dariella.\Oh...\It's fine.\Okay.\You know, Dariella... response:	Her nails were all chewed up.
context: Was it really all right to let her go like that?\What do you mean?\Miss Dariella.\Oh...\It's fine.\Okay.\You know, Dariella...\Her nails were all chewed up. response:	Like she'd bitten them because she was suffering.
context: What do you mean?\Miss Dariella.\Oh...\It's fine.\Okay.\You know, Dariella...\Her nails were all chewed up.\Like she'd bitten them because she was suffering. response:	Is that so?
context: Miss Dariella.\Oh...\It's fine.\Okay.\You know, Dariella...\Her nails were all chewed up.\Like she'd bitten them because she was suffering.\Is that so? response:	You were always watching her, weren't you?
context: Oh...\It's fine.\Okay.\You know, Dariella...\Her nails were all chewed up.\Like she'd bitten them because she was suffering.\Is that so?\You were always watching her, weren't you? response:	And I'm sure it's because you are who you are that you were able
context: It's fine.\Okay.\You know, Dariella...\Her nails were all chewed up.\Like she'd bitten them because she was suffering.\Is that so?\You were always watching her, weren't you?\And I'm sure it's because you are who you are that you were able response:	to notice her pain.
context: Okay.\You know, Dariella...\Her nails were all chewed up.\Like she'd bitten them because she was suffering.\Is that so?\You were always watching her, weren't you?\And I'm sure it's because you are who you are that you were able\to notice her pain. response:	Do you ever bite your nails, Tohya?
context: You know, Dariella...\Her nails were all chewed up.\Like she'd bitten them because she was suffering.\Is that so?\You were always watching her, weren't you?\And I'm sure it's because you are who you are that you were able\to notice her pain.\Do you ever bite your nails, Tohya? response:	Hmm... No, now that I think of it.
context: Her nails were all chewed up.\Like she'd bitten them because she was suffering.\Is that so?\You were always watching her, weren't you?\And I'm sure it's because you are who you are that you were able\to notice her pain.\Do you ever bite your nails, Tohya?\Hmm... No, now that I think of it. response:	Not since I came here.
context: Like she'd bitten them because she was suffering.\Is that so?\You were always watching her, weren't you?\And I'm sure it's because you are who you are that you were able\to notice her pain.\Do you ever bite your nails, Tohya?\Hmm... No, now that I think of it.\Not since I came here. response:	I'm glad to hear it.
context: Is that so?\You were always watching her, weren't you?\And I'm sure it's because you are who you are that you were able\to notice her pain.\Do you ever bite your nails, Tohya?\Hmm... No, now that I think of it.\Not since I came here.\I'm glad to hear it. response:	What, Rudy?
context: You were always watching her, weren't you?\And I'm sure it's because you are who you are that you were able\to notice her pain.\Do you ever bite your nails, Tohya?\Hmm... No, now that I think of it.\Not since I came here.\I'm glad to hear it.\What, Rudy? response:	If you want to say something, say it.
context: And I'm sure it's because you are who you are that you were able\to notice her pain.\Do you ever bite your nails, Tohya?\Hmm... No, now that I think of it.\Not since I came here.\I'm glad to hear it.\What, Rudy?\If you want to say something, say it. response:	Well, Tohya, if something's bothering you,
context: to notice her pain.\Do you ever bite your nails, Tohya?\Hmm... No, now that I think of it.\Not since I came here.\I'm glad to hear it.\What, Rudy?\If you want to say something, say it.\Well, Tohya, if something's bothering you, response:	just come talk to me, Rundel Haus Code.
context: Do you ever bite your nails, Tohya?\Hmm... No, now that I think of it.\Not since I came here.\I'm glad to hear it.\What, Rudy?\If you want to say something, say it.\Well, Tohya, if something's bothering you,\just come talk to me, Rundel Haus Code. response:	Talk to you? About what?
context: Hmm... No, now that I think of it.\Not since I came here.\I'm glad to hear it.\What, Rudy?\If you want to say something, say it.\Well, Tohya, if something's bothering you,\just come talk to me, Rundel Haus Code.\Talk to you? About what? response:	About romance.
context: Not since I came here.\I'm glad to hear it.\What, Rudy?\If you want to say something, say it.\Well, Tohya, if something's bothering you,\just come talk to me, Rundel Haus Code.\Talk to you? About what?\About romance. response:	No, if I were going to ask someone about that, it wouldn't be you!
context: I'm glad to hear it.\What, Rudy?\If you want to say something, say it.\Well, Tohya, if something's bothering you,\just come talk to me, Rundel Haus Code.\Talk to you? About what?\About romance.\No, if I were going to ask someone about that, it wouldn't be you! response:	What?!
context: What, Rudy?\If you want to say something, say it.\Well, Tohya, if something's bothering you,\just come talk to me, Rundel Haus Code.\Talk to you? About what?\About romance.\No, if I were going to ask someone about that, it wouldn't be you!\What?! response:	We were worried.
context: If you want to say something, say it.\Well, Tohya, if something's bothering you,\just come talk to me, Rundel Haus Code.\Talk to you? About what?\About romance.\No, if I were going to ask someone about that, it wouldn't be you!\What?!\We were worried. response:	Can we just leave them like this?
context: Well, Tohya, if something's bothering you,\just come talk to me, Rundel Haus Code.\Talk to you? About what?\About romance.\No, if I were going to ask someone about that, it wouldn't be you!\What?!\We were worried.\Can we just leave them like this? response:	Maybe we could stay a little longer and help with the cleanup.
context: just come talk to me, Rundel Haus Code.\Talk to you? About what?\About romance.\No, if I were going to ask someone about that, it wouldn't be you!\What?!\We were worried.\Can we just leave them like this?\Maybe we could stay a little longer and help with the cleanup. response:	No, we have the wyvern skins, and we can get the rest in Akihabara.
context: Talk to you? About what?\About romance.\No, if I were going to ask someone about that, it wouldn't be you!\What?!\We were worried.\Can we just leave them like this?\Maybe we could stay a little longer and help with the cleanup.\No, we have the wyvern skins, and we can get the rest in Akihabara. response:	We've accomplished our goal, so we shouldn't stay here too long.
context: About romance.\No, if I were going to ask someone about that, it wouldn't be you!\What?!\We were worried.\Can we just leave them like this?\Maybe we could stay a little longer and help with the cleanup.\No, we have the wyvern skins, and we can get the rest in Akihabara.\We've accomplished our goal, so we shouldn't stay here too long. response:	But just leaving doesn't feel right...
context: No, if I were going to ask someone about that, it wouldn't be you!\What?!\We were worried.\Can we just leave them like this?\Maybe we could stay a little longer and help with the cleanup.\No, we have the wyvern skins, and we can get the rest in Akihabara.\We've accomplished our goal, so we shouldn't stay here too long.\But just leaving doesn't feel right... response:	Don't worry.
context: What?!\We were worried.\Can we just leave them like this?\Maybe we could stay a little longer and help with the cleanup.\No, we have the wyvern skins, and we can get the rest in Akihabara.\We've accomplished our goal, so we shouldn't stay here too long.\But just leaving doesn't feel right...\Don't worry. response:	This is an important stop on the Red Road.
context: We were worried.\Can we just leave them like this?\Maybe we could stay a little longer and help with the cleanup.\No, we have the wyvern skins, and we can get the rest in Akihabara.\We've accomplished our goal, so we shouldn't stay here too long.\But just leaving doesn't feel right...\Don't worry.\This is an important stop on the Red Road. response:	It'll be back up in no time.
context: Can we just leave them like this?\Maybe we could stay a little longer and help with the cleanup.\No, we have the wyvern skins, and we can get the rest in Akihabara.\We've accomplished our goal, so we shouldn't stay here too long.\But just leaving doesn't feel right...\Don't worry.\This is an important stop on the Red Road.\It'll be back up in no time. response:	Well, now that you mention it,
context: Maybe we could stay a little longer and help with the cleanup.\No, we have the wyvern skins, and we can get the rest in Akihabara.\We've accomplished our goal, so we shouldn't stay here too long.\But just leaving doesn't feel right...\Don't worry.\This is an important stop on the Red Road.\It'll be back up in no time.\Well, now that you mention it, response:	the people don't seem that upset.
context: No, we have the wyvern skins, and we can get the rest in Akihabara.\We've accomplished our goal, so we shouldn't stay here too long.\But just leaving doesn't feel right...\Don't worry.\This is an important stop on the Red Road.\It'll be back up in no time.\Well, now that you mention it,\the people don't seem that upset. response:	They're used to this stuff.
context: We've accomplished our goal, so we shouldn't stay here too long.\But just leaving doesn't feel right...\Don't worry.\This is an important stop on the Red Road.\It'll be back up in no time.\Well, now that you mention it,\the people don't seem that upset.\They're used to this stuff. response:	For better or worse...
context: But just leaving doesn't feel right...\Don't worry.\This is an important stop on the Red Road.\It'll be back up in no time.\Well, now that you mention it,\the people don't seem that upset.\They're used to this stuff.\For better or worse... response:	But I don't think having more people can hurt.
context: Don't worry.\This is an important stop on the Red Road.\It'll be back up in no time.\Well, now that you mention it,\the people don't seem that upset.\They're used to this stuff.\For better or worse...\But I don't think having more people can hurt. response:	If we can help a little...
context: This is an important stop on the Red Road.\It'll be back up in no time.\Well, now that you mention it,\the people don't seem that upset.\They're used to this stuff.\For better or worse...\But I don't think having more people can hurt.\If we can help a little... response:	No, it's really okay.
context: It'll be back up in no time.\Well, now that you mention it,\the people don't seem that upset.\They're used to this stuff.\For better or worse...\But I don't think having more people can hurt.\If we can help a little...\No, it's really okay. response:	Help will come from the neighboring towns.
context: Well, now that you mention it,\the people don't seem that upset.\They're used to this stuff.\For better or worse...\But I don't think having more people can hurt.\If we can help a little...\No, it's really okay.\Help will come from the neighboring towns. response:	And, well...
context: the people don't seem that upset.\They're used to this stuff.\For better or worse...\But I don't think having more people can hurt.\If we can help a little...\No, it's really okay.\Help will come from the neighboring towns.\And, well... response:	Sometimes, it's better to not have any outsiders around...
context: They're used to this stuff.\For better or worse...\But I don't think having more people can hurt.\If we can help a little...\No, it's really okay.\Help will come from the neighboring towns.\And, well...\Sometimes, it's better to not have any outsiders around... response:	Are you trying to be nice, Rudy?
context: For better or worse...\But I don't think having more people can hurt.\If we can help a little...\No, it's really okay.\Help will come from the neighboring towns.\And, well...\Sometimes, it's better to not have any outsiders around...\Are you trying to be nice, Rudy? response:	Like, we should leave the People of the Land's problems to them or something?
context: But I don't think having more people can hurt.\If we can help a little...\No, it's really okay.\Help will come from the neighboring towns.\And, well...\Sometimes, it's better to not have any outsiders around...\Are you trying to be nice, Rudy?\Like, we should leave the People of the Land's problems to them or something? response:	Anyway, there's no need to worry!
context: If we can help a little...\No, it's really okay.\Help will come from the neighboring towns.\And, well...\Sometimes, it's better to not have any outsiders around...\Are you trying to be nice, Rudy?\Like, we should leave the People of the Land's problems to them or something?\Anyway, there's no need to worry! response:	They'll be just fine on their own.
context: No, it's really okay.\Help will come from the neighboring towns.\And, well...\Sometimes, it's better to not have any outsiders around...\Are you trying to be nice, Rudy?\Like, we should leave the People of the Land's problems to them or something?\Anyway, there's no need to worry!\They'll be just fine on their own. response:	Well, if you say so.
context: Help will come from the neighboring towns.\And, well...\Sometimes, it's better to not have any outsiders around...\Are you trying to be nice, Rudy?\Like, we should leave the People of the Land's problems to them or something?\Anyway, there's no need to worry!\They'll be just fine on their own.\Well, if you say so. response:	Yeah.
context: And, well...\Sometimes, it's better to not have any outsiders around...\Are you trying to be nice, Rudy?\Like, we should leave the People of the Land's problems to them or something?\Anyway, there's no need to worry!\They'll be just fine on their own.\Well, if you say so.\Yeah. response:	Don't you think it was fate that brought us together?
context: Sometimes, it's better to not have any outsiders around...\Are you trying to be nice, Rudy?\Like, we should leave the People of the Land's problems to them or something?\Anyway, there's no need to worry!\They'll be just fine on their own.\Well, if you say so.\Yeah.\Don't you think it was fate that brought us together? response:	What? Does he think he's hitting on us?
context: Are you trying to be nice, Rudy?\Like, we should leave the People of the Land's problems to them or something?\Anyway, there's no need to worry!\They'll be just fine on their own.\Well, if you say so.\Yeah.\Don't you think it was fate that brought us together?\What? Does he think he's hitting on us? response:	Isn't he creepy?
context: Like, we should leave the People of the Land's problems to them or something?\Anyway, there's no need to worry!\They'll be just fine on their own.\Well, if you say so.\Yeah.\Don't you think it was fate that brought us together?\What? Does he think he's hitting on us?\Isn't he creepy? response:	Would you please become my beautiful bride?
context: Anyway, there's no need to worry!\They'll be just fine on their own.\Well, if you say so.\Yeah.\Don't you think it was fate that brought us together?\What? Does he think he's hitting on us?\Isn't he creepy?\Would you please become my beautiful bride? response:	What burger should we have today?
context: They'll be just fine on their own.\Well, if you say so.\Yeah.\Don't you think it was fate that brought us together?\What? Does he think he's hitting on us?\Isn't he creepy?\Would you please become my beautiful bride?\What burger should we have today? response:	Or should we have rice balls?
context: Well, if you say so.\Yeah.\Don't you think it was fate that brought us together?\What? Does he think he's hitting on us?\Isn't he creepy?\Would you please become my beautiful bride?\What burger should we have today?\Or should we have rice balls? response:	Is that what we're doing for lunch again?
context: Yeah.\Don't you think it was fate that brought us together?\What? Does he think he's hitting on us?\Isn't he creepy?\Would you please become my beautiful bride?\What burger should we have today?\Or should we have rice balls?\Is that what we're doing for lunch again? response:	That's right.
context: Don't you think it was fate that brought us together?\What? Does he think he's hitting on us?\Isn't he creepy?\Would you please become my beautiful bride?\What burger should we have today?\Or should we have rice balls?\Is that what we're doing for lunch again?\That's right. response:	We also need to decide where we'll get delivery from for dinner.
context: What? Does he think he's hitting on us?\Isn't he creepy?\Would you please become my beautiful bride?\What burger should we have today?\Or should we have rice balls?\Is that what we're doing for lunch again?\That's right.\We also need to decide where we'll get delivery from for dinner. response:	Well, there's nothing wrong with eating out,
context: Isn't he creepy?\Would you please become my beautiful bride?\What burger should we have today?\Or should we have rice balls?\Is that what we're doing for lunch again?\That's right.\We also need to decide where we'll get delivery from for dinner.\Well, there's nothing wrong with eating out, response:	but since Nyanta left, are we really getting enough nutrition?
context: Would you please become my beautiful bride?\What burger should we have today?\Or should we have rice balls?\Is that what we're doing for lunch again?\That's right.\We also need to decide where we'll get delivery from for dinner.\Well, there's nothing wrong with eating out,\but since Nyanta left, are we really getting enough nutrition? response:	If my skin gets ruined,
context: What burger should we have today?\Or should we have rice balls?\Is that what we're doing for lunch again?\That's right.\We also need to decide where we'll get delivery from for dinner.\Well, there's nothing wrong with eating out,\but since Nyanta left, are we really getting enough nutrition?\If my skin gets ruined, response:	fans all over the galaxy will go crazy and cause another Big Bang!
context: Or should we have rice balls?\Is that what we're doing for lunch again?\That's right.\We also need to decide where we'll get delivery from for dinner.\Well, there's nothing wrong with eating out,\but since Nyanta left, are we really getting enough nutrition?\If my skin gets ruined,\fans all over the galaxy will go crazy and cause another Big Bang! response:	If you have time to talk nonsense, why don't you make something yourself?
context: Is that what we're doing for lunch again?\That's right.\We also need to decide where we'll get delivery from for dinner.\Well, there's nothing wrong with eating out,\but since Nyanta left, are we really getting enough nutrition?\If my skin gets ruined,\fans all over the galaxy will go crazy and cause another Big Bang!\If you have time to talk nonsense, why don't you make something yourself? response:	That's right.
context: That's right.\We also need to decide where we'll get delivery from for dinner.\Well, there's nothing wrong with eating out,\but since Nyanta left, are we really getting enough nutrition?\If my skin gets ruined,\fans all over the galaxy will go crazy and cause another Big Bang!\If you have time to talk nonsense, why don't you make something yourself?\That's right. response:	Akatsuki and I both gave it a try.
context: We also need to decide where we'll get delivery from for dinner.\Well, there's nothing wrong with eating out,\but since Nyanta left, are we really getting enough nutrition?\If my skin gets ruined,\fans all over the galaxy will go crazy and cause another Big Bang!\If you have time to talk nonsense, why don't you make something yourself?\That's right.\Akatsuki and I both gave it a try. response:	A try.
context: Well, there's nothing wrong with eating out,\but since Nyanta left, are we really getting enough nutrition?\If my skin gets ruined,\fans all over the galaxy will go crazy and cause another Big Bang!\If you have time to talk nonsense, why don't you make something yourself?\That's right.\Akatsuki and I both gave it a try.\A try. response:	An idol isn't allowed to make anything but sweets!
context: but since Nyanta left, are we really getting enough nutrition?\If my skin gets ruined,\fans all over the galaxy will go crazy and cause another Big Bang!\If you have time to talk nonsense, why don't you make something yourself?\That's right.\Akatsuki and I both gave it a try.\A try.\An idol isn't allowed to make anything but sweets! response:	What the heck?
context: If my skin gets ruined,\fans all over the galaxy will go crazy and cause another Big Bang!\If you have time to talk nonsense, why don't you make something yourself?\That's right.\Akatsuki and I both gave it a try.\A try.\An idol isn't allowed to make anything but sweets!\What the heck? response:	Hey, are you okay?
context: fans all over the galaxy will go crazy and cause another Big Bang!\If you have time to talk nonsense, why don't you make something yourself?\That's right.\Akatsuki and I both gave it a try.\A try.\An idol isn't allowed to make anything but sweets!\What the heck?\Hey, are you okay? response:	What's wrong?
context: If you have time to talk nonsense, why don't you make something yourself?\That's right.\Akatsuki and I both gave it a try.\A try.\An idol isn't allowed to make anything but sweets!\What the heck?\Hey, are you okay?\What's wrong? response:	Are you sick?
context: That's right.\Akatsuki and I both gave it a try.\A try.\An idol isn't allowed to make anything but sweets!\What the heck?\Hey, are you okay?\What's wrong?\Are you sick? response:	It's nothing.
context: Akatsuki and I both gave it a try.\A try.\An idol isn't allowed to make anything but sweets!\What the heck?\Hey, are you okay?\What's wrong?\Are you sick?\It's nothing. response:	Jeez, he must've been jealous of the obvious romance between me and Naotsugu.
context: A try.\An idol isn't allowed to make anything but sweets!\What the heck?\Hey, are you okay?\What's wrong?\Are you sick?\It's nothing.\Jeez, he must've been jealous of the obvious romance between me and Naotsugu. response:	I've been thinking...
context: An idol isn't allowed to make anything but sweets!\What the heck?\Hey, are you okay?\What's wrong?\Are you sick?\It's nothing.\Jeez, he must've been jealous of the obvious romance between me and Naotsugu.\I've been thinking... response:	Haven't there been a lot more people like that around?
context: What the heck?\Hey, are you okay?\What's wrong?\Are you sick?\It's nothing.\Jeez, he must've been jealous of the obvious romance between me and Naotsugu.\I've been thinking...\Haven't there been a lot more people like that around? response:	Yeah, you're right.
context: Hey, are you okay?\What's wrong?\Are you sick?\It's nothing.\Jeez, he must've been jealous of the obvious romance between me and Naotsugu.\I've been thinking...\Haven't there been a lot more people like that around?\Yeah, you're right. response:	It reminds me of when we first came to this world.
context: What's wrong?\Are you sick?\It's nothing.\Jeez, he must've been jealous of the obvious romance between me and Naotsugu.\I've been thinking...\Haven't there been a lot more people like that around?\Yeah, you're right.\It reminds me of when we first came to this world. response:	At first, there was so much confusion,
context: Are you sick?\It's nothing.\Jeez, he must've been jealous of the obvious romance between me and Naotsugu.\I've been thinking...\Haven't there been a lot more people like that around?\Yeah, you're right.\It reminds me of when we first came to this world.\At first, there was so much confusion, response:	and then everyone just sat around, unable to do anything.
context: It's nothing.\Jeez, he must've been jealous of the obvious romance between me and Naotsugu.\I've been thinking...\Haven't there been a lot more people like that around?\Yeah, you're right.\It reminds me of when we first came to this world.\At first, there was so much confusion,\and then everyone just sat around, unable to do anything. response:	Wait a second, it's only a coincidence.
context: Jeez, he must've been jealous of the obvious romance between me and Naotsugu.\I've been thinking...\Haven't there been a lot more people like that around?\Yeah, you're right.\It reminds me of when we first came to this world.\At first, there was so much confusion,\and then everyone just sat around, unable to do anything.\Wait a second, it's only a coincidence. response:	Look, there are happy people like that, too!
context: I've been thinking...\Haven't there been a lot more people like that around?\Yeah, you're right.\It reminds me of when we first came to this world.\At first, there was so much confusion,\and then everyone just sat around, unable to do anything.\Wait a second, it's only a coincidence.\Look, there are happy people like that, too! response:	You're overthinking it. Really!
context: Haven't there been a lot more people like that around?\Yeah, you're right.\It reminds me of when we first came to this world.\At first, there was so much confusion,\and then everyone just sat around, unable to do anything.\Wait a second, it's only a coincidence.\Look, there are happy people like that, too!\You're overthinking it. Really! response:	You may look like you only think about panties,
context: Yeah, you're right.\It reminds me of when we first came to this world.\At first, there was so much confusion,\and then everyone just sat around, unable to do anything.\Wait a second, it's only a coincidence.\Look, there are happy people like that, too!\You're overthinking it. Really!\You may look like you only think about panties, response:	but you're actually really delicate, aren't you, Naotsugu?
