context: Princess? response:	What is the matter? You're here alone, and so late at night...
context: Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\A Princess's Request\I have decided to marry into a family in Germania. response:	What did you say?!
context: I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\A Princess's Request\I have decided to marry into a family in Germania.\What did you say?! response:	Of all things, the country of all those savage upstart nobles?!
context: The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\A Princess's Request\I have decided to marry into a family in Germania.\What did you say?!\Of all things, the country of all those savage upstart nobles?! response:	It cannot be helped.
context: See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\A Princess's Request\I have decided to marry into a family in Germania.\What did you say?!\Of all things, the country of all those savage upstart nobles?!\It cannot be helped. response:	To protect our small country of Tristein,
context: A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\A Princess's Request\I have decided to marry into a family in Germania.\What did you say?!\Of all things, the country of all those savage upstart nobles?!\It cannot be helped.\To protect our small country of Tristein, response:	we need a strong alliance with Germania.
context: You, the one who cast magic on this destiny, suddenly appeared\A Princess's Request\I have decided to marry into a family in Germania.\What did you say?!\Of all things, the country of all those savage upstart nobles?!\It cannot be helped.\To protect our small country of Tristein,\we need a strong alliance with Germania. response:	A marriage of convenience to the country?
context: A Princess's Request\I have decided to marry into a family in Germania.\What did you say?!\Of all things, the country of all those savage upstart nobles?!\It cannot be helped.\To protect our small country of Tristein,\we need a strong alliance with Germania.\A marriage of convenience to the country? response:	You stay quiet!
context: I have decided to marry into a family in Germania.\What did you say?!\Of all things, the country of all those savage upstart nobles?!\It cannot be helped.\To protect our small country of Tristein,\we need a strong alliance with Germania.\A marriage of convenience to the country?\You stay quiet! response:	Even if it's for our country, to face such a hardship...
context: What did you say?!\Of all things, the country of all those savage upstart nobles?!\It cannot be helped.\To protect our small country of Tristein,\we need a strong alliance with Germania.\A marriage of convenience to the country?\You stay quiet!\Even if it's for our country, to face such a hardship... response:	I am the princess of Tristein.
context: Of all things, the country of all those savage upstart nobles?!\It cannot be helped.\To protect our small country of Tristein,\we need a strong alliance with Germania.\A marriage of convenience to the country?\You stay quiet!\Even if it's for our country, to face such a hardship...\I am the princess of Tristein. response:	I do not mind sacrificing myself for the sake of the country.
context: It cannot be helped.\To protect our small country of Tristein,\we need a strong alliance with Germania.\A marriage of convenience to the country?\You stay quiet!\Even if it's for our country, to face such a hardship...\I am the princess of Tristein.\I do not mind sacrificing myself for the sake of the country. response:	However...
context: To protect our small country of Tristein,\we need a strong alliance with Germania.\A marriage of convenience to the country?\You stay quiet!\Even if it's for our country, to face such a hardship...\I am the princess of Tristein.\I do not mind sacrificing myself for the sake of the country.\However... response:	However, there is one thing that I must do before that.
context: we need a strong alliance with Germania.\A marriage of convenience to the country?\You stay quiet!\Even if it's for our country, to face such a hardship...\I am the princess of Tristein.\I do not mind sacrificing myself for the sake of the country.\However...\However, there is one thing that I must do before that. response:	Princess!
context: A marriage of convenience to the country?\You stay quiet!\Even if it's for our country, to face such a hardship...\I am the princess of Tristein.\I do not mind sacrificing myself for the sake of the country.\However...\However, there is one thing that I must do before that.\Princess! response:	If there is anything that I can do, please tell me to do so!
context: You stay quiet!\Even if it's for our country, to face such a hardship...\I am the princess of Tristein.\I do not mind sacrificing myself for the sake of the country.\However...\However, there is one thing that I must do before that.\Princess!\If there is anything that I can do, please tell me to do so! response:	Thank you, Louise FranCoise.
context: Even if it's for our country, to face such a hardship...\I am the princess of Tristein.\I do not mind sacrificing myself for the sake of the country.\However...\However, there is one thing that I must do before that.\Princess!\If there is anything that I can do, please tell me to do so!\Thank you, Louise FranCoise. response:	I would like you to retrieve a certain item.
context: I am the princess of Tristein.\I do not mind sacrificing myself for the sake of the country.\However...\However, there is one thing that I must do before that.\Princess!\If there is anything that I can do, please tell me to do so!\Thank you, Louise FranCoise.\I would like you to retrieve a certain item. response:	A certain item?
context: I do not mind sacrificing myself for the sake of the country.\However...\However, there is one thing that I must do before that.\Princess!\If there is anything that I can do, please tell me to do so!\Thank you, Louise FranCoise.\I would like you to retrieve a certain item.\A certain item? response:	A letter that I sent to Prince Wales in Albion.
context: However...\However, there is one thing that I must do before that.\Princess!\If there is anything that I can do, please tell me to do so!\Thank you, Louise FranCoise.\I would like you to retrieve a certain item.\A certain item?\A letter that I sent to Prince Wales in Albion. response:	Albion?
context: However, there is one thing that I must do before that.\Princess!\If there is anything that I can do, please tell me to do so!\Thank you, Louise FranCoise.\I would like you to retrieve a certain item.\A certain item?\A letter that I sent to Prince Wales in Albion.\Albion? response:	If the world finds out about that letter,
context: Princess!\If there is anything that I can do, please tell me to do so!\Thank you, Louise FranCoise.\I would like you to retrieve a certain item.\A certain item?\A letter that I sent to Prince Wales in Albion.\Albion?\If the world finds out about that letter, response:	this engagement will be called off.
context: If there is anything that I can do, please tell me to do so!\Thank you, Louise FranCoise.\I would like you to retrieve a certain item.\A certain item?\A letter that I sent to Prince Wales in Albion.\Albion?\If the world finds out about that letter,\this engagement will be called off. response:	Princess...
context: Thank you, Louise FranCoise.\I would like you to retrieve a certain item.\A certain item?\A letter that I sent to Prince Wales in Albion.\Albion?\If the world finds out about that letter,\this engagement will be called off.\Princess... response:	What kind of letter is it, that would ruin a marriage...
context: I would like you to retrieve a certain item.\A certain item?\A letter that I sent to Prince Wales in Albion.\Albion?\If the world finds out about that letter,\this engagement will be called off.\Princess...\What kind of letter is it, that would ruin a marriage... response:	I told you to keep quiet!
context: A certain item?\A letter that I sent to Prince Wales in Albion.\Albion?\If the world finds out about that letter,\this engagement will be called off.\Princess...\What kind of letter is it, that would ruin a marriage...\I told you to keep quiet! response:	Albion is currently politically unstable,
context: A letter that I sent to Prince Wales in Albion.\Albion?\If the world finds out about that letter,\this engagement will be called off.\Princess...\What kind of letter is it, that would ruin a marriage...\I told you to keep quiet!\Albion is currently politically unstable, response:	and in a dangerous situation right now.
context: Albion?\If the world finds out about that letter,\this engagement will be called off.\Princess...\What kind of letter is it, that would ruin a marriage...\I told you to keep quiet!\Albion is currently politically unstable,\and in a dangerous situation right now. response:	I hear the nobles started a coup d'etat,
context: If the world finds out about that letter,\this engagement will be called off.\Princess...\What kind of letter is it, that would ruin a marriage...\I told you to keep quiet!\Albion is currently politically unstable,\and in a dangerous situation right now.\I hear the nobles started a coup d'etat, response:	and the royal family is about to fall from their reign.
context: this engagement will be called off.\Princess...\What kind of letter is it, that would ruin a marriage...\I told you to keep quiet!\Albion is currently politically unstable,\and in a dangerous situation right now.\I hear the nobles started a coup d'etat,\and the royal family is about to fall from their reign. response:	I'm sorry,
context: Princess...\What kind of letter is it, that would ruin a marriage...\I told you to keep quiet!\Albion is currently politically unstable,\and in a dangerous situation right now.\I hear the nobles started a coup d'etat,\and the royal family is about to fall from their reign.\I'm sorry, response:	for even asking such a close friend to do such a thing...
context: What kind of letter is it, that would ruin a marriage...\I told you to keep quiet!\Albion is currently politically unstable,\and in a dangerous situation right now.\I hear the nobles started a coup d'etat,\and the royal family is about to fall from their reign.\I'm sorry,\for even asking such a close friend to do such a thing... response:	But now, you two are the only ones I can ask such a thing!
context: I told you to keep quiet!\Albion is currently politically unstable,\and in a dangerous situation right now.\I hear the nobles started a coup d'etat,\and the royal family is about to fall from their reign.\I'm sorry,\for even asking such a close friend to do such a thing...\But now, you two are the only ones I can ask such a thing! response:	Thank you so much, Princess.
context: Albion is currently politically unstable,\and in a dangerous situation right now.\I hear the nobles started a coup d'etat,\and the royal family is about to fall from their reign.\I'm sorry,\for even asking such a close friend to do such a thing...\But now, you two are the only ones I can ask such a thing!\Thank you so much, Princess. response:	Louise FranCoise...
context: and in a dangerous situation right now.\I hear the nobles started a coup d'etat,\and the royal family is about to fall from their reign.\I'm sorry,\for even asking such a close friend to do such a thing...\But now, you two are the only ones I can ask such a thing!\Thank you so much, Princess.\Louise FranCoise... response:	To request me to perform such an important mission...
context: I hear the nobles started a coup d'etat,\and the royal family is about to fall from their reign.\I'm sorry,\for even asking such a close friend to do such a thing...\But now, you two are the only ones I can ask such a thing!\Thank you so much, Princess.\Louise FranCoise...\To request me to perform such an important mission... response:	I could not be happier.
context: and the royal family is about to fall from their reign.\I'm sorry,\for even asking such a close friend to do such a thing...\But now, you two are the only ones I can ask such a thing!\Thank you so much, Princess.\Louise FranCoise...\To request me to perform such an important mission...\I could not be happier. response:	Louise...
context: I'm sorry,\for even asking such a close friend to do such a thing...\But now, you two are the only ones I can ask such a thing!\Thank you so much, Princess.\Louise FranCoise...\To request me to perform such an important mission...\I could not be happier.\Louise... response:	Then, will you go for me?
context: for even asking such a close friend to do such a thing...\But now, you two are the only ones I can ask such a thing!\Thank you so much, Princess.\Louise FranCoise...\To request me to perform such an important mission...\I could not be happier.\Louise...\Then, will you go for me? response:	Who is it?!
context: But now, you two are the only ones I can ask such a thing!\Thank you so much, Princess.\Louise FranCoise...\To request me to perform such an important mission...\I could not be happier.\Louise...\Then, will you go for me?\Who is it?! response:	Guiche!
context: Thank you so much, Princess.\Louise FranCoise...\To request me to perform such an important mission...\I could not be happier.\Louise...\Then, will you go for me?\Who is it?!\Guiche! response:	I have heard everything.
context: Louise FranCoise...\To request me to perform such an important mission...\I could not be happier.\Louise...\Then, will you go for me?\Who is it?!\Guiche!\I have heard everything. response:	Weren't you just eavesdropping?!
context: To request me to perform such an important mission...\I could not be happier.\Louise...\Then, will you go for me?\Who is it?!\Guiche!\I have heard everything.\Weren't you just eavesdropping?! response:	Please ask me, Guiche de Grammont, anything you wish...
context: I could not be happier.\Louise...\Then, will you go for me?\Who is it?!\Guiche!\I have heard everything.\Weren't you just eavesdropping?!\Please ask me, Guiche de Grammont, anything you wish... response:	Don't be so reckless!
context: Louise...\Then, will you go for me?\Who is it?!\Guiche!\I have heard everything.\Weren't you just eavesdropping?!\Please ask me, Guiche de Grammont, anything you wish...\Don't be so reckless! response:	Grammont?
context: Then, will you go for me?\Who is it?!\Guiche!\I have heard everything.\Weren't you just eavesdropping?!\Please ask me, Guiche de Grammont, anything you wish...\Don't be so reckless!\Grammont? response:	Then, you must be General Grammont's...
context: Who is it?!\Guiche!\I have heard everything.\Weren't you just eavesdropping?!\Please ask me, Guiche de Grammont, anything you wish...\Don't be so reckless!\Grammont?\Then, you must be General Grammont's... response:	I am his son.
context: Guiche!\I have heard everything.\Weren't you just eavesdropping?!\Please ask me, Guiche de Grammont, anything you wish...\Don't be so reckless!\Grammont?\Then, you must be General Grammont's...\I am his son. response:	You will be of service to me as well?
context: I have heard everything.\Weren't you just eavesdropping?!\Please ask me, Guiche de Grammont, anything you wish...\Don't be so reckless!\Grammont?\Then, you must be General Grammont's...\I am his son.\You will be of service to me as well? response:	So Guiche is going to tag along after all?
context: Weren't you just eavesdropping?!\Please ask me, Guiche de Grammont, anything you wish...\Don't be so reckless!\Grammont?\Then, you must be General Grammont's...\I am his son.\You will be of service to me as well?\So Guiche is going to tag along after all? response:	He's just going to get in the way.
context: Please ask me, Guiche de Grammont, anything you wish...\Don't be so reckless!\Grammont?\Then, you must be General Grammont's...\I am his son.\You will be of service to me as well?\So Guiche is going to tag along after all?\He's just going to get in the way. response:	I think I just heard some noise...
context: Don't be so reckless!\Grammont?\Then, you must be General Grammont's...\I am his son.\You will be of service to me as well?\So Guiche is going to tag along after all?\He's just going to get in the way.\I think I just heard some noise... response:	Oh, well.
context: Grammont?\Then, you must be General Grammont's...\I am his son.\You will be of service to me as well?\So Guiche is going to tag along after all?\He's just going to get in the way.\I think I just heard some noise...\Oh, well. response:	Um...
context: Then, you must be General Grammont's...\I am his son.\You will be of service to me as well?\So Guiche is going to tag along after all?\He's just going to get in the way.\I think I just heard some noise...\Oh, well.\Um... response:	Oh, Siesta.
context: I am his son.\You will be of service to me as well?\So Guiche is going to tag along after all?\He's just going to get in the way.\I think I just heard some noise...\Oh, well.\Um...\Oh, Siesta. response:	I'm terribly sorry.
context: You will be of service to me as well?\So Guiche is going to tag along after all?\He's just going to get in the way.\I think I just heard some noise...\Oh, well.\Um...\Oh, Siesta.\I'm terribly sorry. response:	That bit about the love potion really was true.
context: So Guiche is going to tag along after all?\He's just going to get in the way.\I think I just heard some noise...\Oh, well.\Um...\Oh, Siesta.\I'm terribly sorry.\That bit about the love potion really was true. response:	I was so rude to you, Mr. Saito.
context: He's just going to get in the way.\I think I just heard some noise...\Oh, well.\Um...\Oh, Siesta.\I'm terribly sorry.\That bit about the love potion really was true.\I was so rude to you, Mr. Saito. response:	You shouldn't worry about it.
context: I think I just heard some noise...\Oh, well.\Um...\Oh, Siesta.\I'm terribly sorry.\That bit about the love potion really was true.\I was so rude to you, Mr. Saito.\You shouldn't worry about it. response:	Louise is back to normal too.
context: Oh, well.\Um...\Oh, Siesta.\I'm terribly sorry.\That bit about the love potion really was true.\I was so rude to you, Mr. Saito.\You shouldn't worry about it.\Louise is back to normal too. response:	If it is Gundolf, it is worth believing.
context: Um...\Oh, Siesta.\I'm terribly sorry.\That bit about the love potion really was true.\I was so rude to you, Mr. Saito.\You shouldn't worry about it.\Louise is back to normal too.\If it is Gundolf, it is worth believing. response:	Gundolf again, huh...
context: Oh, Siesta.\I'm terribly sorry.\That bit about the love potion really was true.\I was so rude to you, Mr. Saito.\You shouldn't worry about it.\Louise is back to normal too.\If it is Gundolf, it is worth believing.\Gundolf again, huh... response:	Hey, who at this school has a detailed knowledge of history?
context: I'm terribly sorry.\That bit about the love potion really was true.\I was so rude to you, Mr. Saito.\You shouldn't worry about it.\Louise is back to normal too.\If it is Gundolf, it is worth believing.\Gundolf again, huh...\Hey, who at this school has a detailed knowledge of history? response:	History, is it?
context: That bit about the love potion really was true.\I was so rude to you, Mr. Saito.\You shouldn't worry about it.\Louise is back to normal too.\If it is Gundolf, it is worth believing.\Gundolf again, huh...\Hey, who at this school has a detailed knowledge of history?\History, is it? response:	Originally, there were five elements of magic,
context: I was so rude to you, Mr. Saito.\You shouldn't worry about it.\Louise is back to normal too.\If it is Gundolf, it is worth believing.\Gundolf again, huh...\Hey, who at this school has a detailed knowledge of history?\History, is it?\Originally, there were five elements of magic, response:	not just Fire, Water, Air, and Earth.
context: You shouldn't worry about it.\Louise is back to normal too.\If it is Gundolf, it is worth believing.\Gundolf again, huh...\Hey, who at this school has a detailed knowledge of history?\History, is it?\Originally, there were five elements of magic,\not just Fire, Water, Air, and Earth. response:	The five elements are said to have been the pinnacles of the pentagon.
context: Louise is back to normal too.\If it is Gundolf, it is worth believing.\Gundolf again, huh...\Hey, who at this school has a detailed knowledge of history?\History, is it?\Originally, there were five elements of magic,\not just Fire, Water, Air, and Earth.\The five elements are said to have been the pinnacles of the pentagon. response:	That lost apex is the element of Void.
context: If it is Gundolf, it is worth believing.\Gundolf again, huh...\Hey, who at this school has a detailed knowledge of history?\History, is it?\Originally, there were five elements of magic,\not just Fire, Water, Air, and Earth.\The five elements are said to have been the pinnacles of the pentagon.\That lost apex is the element of Void. response:	Gundolf is the familiar of the legendary Void mage.
context: Gundolf again, huh...\Hey, who at this school has a detailed knowledge of history?\History, is it?\Originally, there were five elements of magic,\not just Fire, Water, Air, and Earth.\The five elements are said to have been the pinnacles of the pentagon.\That lost apex is the element of Void.\Gundolf is the familiar of the legendary Void mage. response:	Void mage?
context: Hey, who at this school has a detailed knowledge of history?\History, is it?\Originally, there were five elements of magic,\not just Fire, Water, Air, and Earth.\The five elements are said to have been the pinnacles of the pentagon.\That lost apex is the element of Void.\Gundolf is the familiar of the legendary Void mage.\Void mage? response:	However, in modern times,
context: History, is it?\Originally, there were five elements of magic,\not just Fire, Water, Air, and Earth.\The five elements are said to have been the pinnacles of the pentagon.\That lost apex is the element of Void.\Gundolf is the familiar of the legendary Void mage.\Void mage?\However, in modern times, response:	no mage has been confirmed to have Void magic.
context: Originally, there were five elements of magic,\not just Fire, Water, Air, and Earth.\The five elements are said to have been the pinnacles of the pentagon.\That lost apex is the element of Void.\Gundolf is the familiar of the legendary Void mage.\Void mage?\However, in modern times,\no mage has been confirmed to have Void magic. response:	The rune that appeared on your hand
context: not just Fire, Water, Air, and Earth.\The five elements are said to have been the pinnacles of the pentagon.\That lost apex is the element of Void.\Gundolf is the familiar of the legendary Void mage.\Void mage?\However, in modern times,\no mage has been confirmed to have Void magic.\The rune that appeared on your hand response:	closely resembles that of Gundolf.
context: The five elements are said to have been the pinnacles of the pentagon.\That lost apex is the element of Void.\Gundolf is the familiar of the legendary Void mage.\Void mage?\However, in modern times,\no mage has been confirmed to have Void magic.\The rune that appeared on your hand\closely resembles that of Gundolf. response:	But...
context: That lost apex is the element of Void.\Gundolf is the familiar of the legendary Void mage.\Void mage?\However, in modern times,\no mage has been confirmed to have Void magic.\The rune that appeared on your hand\closely resembles that of Gundolf.\But... response:	As long as no Void mage exists,
context: Gundolf is the familiar of the legendary Void mage.\Void mage?\However, in modern times,\no mage has been confirmed to have Void magic.\The rune that appeared on your hand\closely resembles that of Gundolf.\But...\As long as no Void mage exists, response:	unfortunately, we cannot be certain that you really are Gundolf.
context: Void mage?\However, in modern times,\no mage has been confirmed to have Void magic.\The rune that appeared on your hand\closely resembles that of Gundolf.\But...\As long as no Void mage exists,\unfortunately, we cannot be certain that you really are Gundolf. response:	The master is far from legendary, the way she is.
context: However, in modern times,\no mage has been confirmed to have Void magic.\The rune that appeared on your hand\closely resembles that of Gundolf.\But...\As long as no Void mage exists,\unfortunately, we cannot be certain that you really are Gundolf.\The master is far from legendary, the way she is. response:	I thought something smelled.
context: no mage has been confirmed to have Void magic.\The rune that appeared on your hand\closely resembles that of Gundolf.\But...\As long as no Void mage exists,\unfortunately, we cannot be certain that you really are Gundolf.\The master is far from legendary, the way she is.\I thought something smelled. response:	Is this it?
context: The rune that appeared on your hand\closely resembles that of Gundolf.\But...\As long as no Void mage exists,\unfortunately, we cannot be certain that you really are Gundolf.\The master is far from legendary, the way she is.\I thought something smelled.\Is this it? response:	That is the blood of a dragon.
context: closely resembles that of Gundolf.\But...\As long as no Void mage exists,\unfortunately, we cannot be certain that you really are Gundolf.\The master is far from legendary, the way she is.\I thought something smelled.\Is this it?\That is the blood of a dragon. response:	Dragon's blood?
context: But...\As long as no Void mage exists,\unfortunately, we cannot be certain that you really are Gundolf.\The master is far from legendary, the way she is.\I thought something smelled.\Is this it?\That is the blood of a dragon.\Dragon's blood? response:	In the past, two dragons never seen before
context: As long as no Void mage exists,\unfortunately, we cannot be certain that you really are Gundolf.\The master is far from legendary, the way she is.\I thought something smelled.\Is this it?\That is the blood of a dragon.\Dragon's blood?\In the past, two dragons never seen before response:	appeared in the skies with a tremendous roar.
context: unfortunately, we cannot be certain that you really are Gundolf.\The master is far from legendary, the way she is.\I thought something smelled.\Is this it?\That is the blood of a dragon.\Dragon's blood?\In the past, two dragons never seen before\appeared in the skies with a tremendous roar. response:	One of them disappeared,
context: The master is far from legendary, the way she is.\I thought something smelled.\Is this it?\That is the blood of a dragon.\Dragon's blood?\In the past, two dragons never seen before\appeared in the skies with a tremendous roar.\One of them disappeared, response:	and the other fell somewhere, they say.
context: I thought something smelled.\Is this it?\That is the blood of a dragon.\Dragon's blood?\In the past, two dragons never seen before\appeared in the skies with a tremendous roar.\One of them disappeared,\and the other fell somewhere, they say. response:	I happened to come across blood
context: Is this it?\That is the blood of a dragon.\Dragon's blood?\In the past, two dragons never seen before\appeared in the skies with a tremendous roar.\One of them disappeared,\and the other fell somewhere, they say.\I happened to come across blood response:	that was said to have been shed at that time.
context: That is the blood of a dragon.\Dragon's blood?\In the past, two dragons never seen before\appeared in the skies with a tremendous roar.\One of them disappeared,\and the other fell somewhere, they say.\I happened to come across blood\that was said to have been shed at that time. response:	I am in the middle of replicating it.
context: Dragon's blood?\In the past, two dragons never seen before\appeared in the skies with a tremendous roar.\One of them disappeared,\and the other fell somewhere, they say.\I happened to come across blood\that was said to have been shed at that time.\I am in the middle of replicating it. response:	This is blood?
context: In the past, two dragons never seen before\appeared in the skies with a tremendous roar.\One of them disappeared,\and the other fell somewhere, they say.\I happened to come across blood\that was said to have been shed at that time.\I am in the middle of replicating it.\This is blood? response:	I mean, this smell...
context: appeared in the skies with a tremendous roar.\One of them disappeared,\and the other fell somewhere, they say.\I happened to come across blood\that was said to have been shed at that time.\I am in the middle of replicating it.\This is blood?\I mean, this smell... response:	Prince Wales of Albion and our princess are cousins.
context: One of them disappeared,\and the other fell somewhere, they say.\I happened to come across blood\that was said to have been shed at that time.\I am in the middle of replicating it.\This is blood?\I mean, this smell...\Prince Wales of Albion and our princess are cousins. response:	Cousins, and childhood friends?
context: and the other fell somewhere, they say.\I happened to come across blood\that was said to have been shed at that time.\I am in the middle of replicating it.\This is blood?\I mean, this smell...\Prince Wales of Albion and our princess are cousins.\Cousins, and childhood friends? response:	Louise?
context: I happened to come across blood\that was said to have been shed at that time.\I am in the middle of replicating it.\This is blood?\I mean, this smell...\Prince Wales of Albion and our princess are cousins.\Cousins, and childhood friends?\Louise? response:	I'm not any good at magic.
context: that was said to have been shed at that time.\I am in the middle of replicating it.\This is blood?\I mean, this smell...\Prince Wales of Albion and our princess are cousins.\Cousins, and childhood friends?\Louise?\I'm not any good at magic. response:	Can I go through with such an important job?
context: I am in the middle of replicating it.\This is blood?\I mean, this smell...\Prince Wales of Albion and our princess are cousins.\Cousins, and childhood friends?\Louise?\I'm not any good at magic.\Can I go through with such an important job? response:	What are you doing?
context: This is blood?\I mean, this smell...\Prince Wales of Albion and our princess are cousins.\Cousins, and childhood friends?\Louise?\I'm not any good at magic.\Can I go through with such an important job?\What are you doing? response:	Nothing will get done if you worry.
context: I mean, this smell...\Prince Wales of Albion and our princess are cousins.\Cousins, and childhood friends?\Louise?\I'm not any good at magic.\Can I go through with such an important job?\What are you doing?\Nothing will get done if you worry. response:	We got through everything in the past somehow, right?
context: Prince Wales of Albion and our princess are cousins.\Cousins, and childhood friends?\Louise?\I'm not any good at magic.\Can I go through with such an important job?\What are you doing?\Nothing will get done if you worry.\We got through everything in the past somehow, right? response:	Must be nice to be so easy-going.
context: Cousins, and childhood friends?\Louise?\I'm not any good at magic.\Can I go through with such an important job?\What are you doing?\Nothing will get done if you worry.\We got through everything in the past somehow, right?\Must be nice to be so easy-going. response:	You know...
context: Louise?\I'm not any good at magic.\Can I go through with such an important job?\What are you doing?\Nothing will get done if you worry.\We got through everything in the past somehow, right?\Must be nice to be so easy-going.\You know... response:	What?
context: I'm not any good at magic.\Can I go through with such an important job?\What are you doing?\Nothing will get done if you worry.\We got through everything in the past somehow, right?\Must be nice to be so easy-going.\You know...\What? response:	If something happens, I'll protect you.
context: Can I go through with such an important job?\What are you doing?\Nothing will get done if you worry.\We got through everything in the past somehow, right?\Must be nice to be so easy-going.\You know...\What?\If something happens, I'll protect you. response:	Of course, that's to be expected!
context: What are you doing?\Nothing will get done if you worry.\We got through everything in the past somehow, right?\Must be nice to be so easy-going.\You know...\What?\If something happens, I'll protect you.\Of course, that's to be expected! response:	You're my familiar!
context: Nothing will get done if you worry.\We got through everything in the past somehow, right?\Must be nice to be so easy-going.\You know...\What?\If something happens, I'll protect you.\Of course, that's to be expected!\You're my familiar! response:	Oh, yeah, yeah.
context: We got through everything in the past somehow, right?\Must be nice to be so easy-going.\You know...\What?\If something happens, I'll protect you.\Of course, that's to be expected!\You're my familiar!\Oh, yeah, yeah. response:	This is the Ruby of Water, that my mother has entrusted me with.
context: Must be nice to be so easy-going.\You know...\What?\If something happens, I'll protect you.\Of course, that's to be expected!\You're my familiar!\Oh, yeah, yeah.\This is the Ruby of Water, that my mother has entrusted me with. response:	Right now, this is the only reward that I can give you.
