context: Huh?! response:	Incoming call: Yoko Nakaizumi
context: You fought brilliantly by pushing Vox Aura's abilities to the limit.\I'm Moid, and you have made a lasting impression on me.\Fox...?\Vox Aura.\It is the name of that Ovid.\Oh, so that's its name?\Lan!\Were you watching? response:	Yes...
context: I'm Moid, and you have made a lasting impression on me.\Fox...?\Vox Aura.\It is the name of that Ovid.\Oh, so that's its name?\Lan!\Were you watching?\Yes... response:	This robot is amazing!
context: Fox...?\Vox Aura.\It is the name of that Ovid.\Oh, so that's its name?\Lan!\Were you watching?\Yes...\This robot is amazing! response:	I didn't think it would be that easy to pilot.
context: Vox Aura.\It is the name of that Ovid.\Oh, so that's its name?\Lan!\Were you watching?\Yes...\This robot is amazing!\I didn't think it would be that easy to pilot. response:	Easy?
context: It is the name of that Ovid.\Oh, so that's its name?\Lan!\Were you watching?\Yes...\This robot is amazing!\I didn't think it would be that easy to pilot.\Easy? response:	Yup!
context: Oh, so that's its name?\Lan!\Were you watching?\Yes...\This robot is amazing!\I didn't think it would be that easy to pilot.\Easy?\Yup! response:	It moves just the way I want it to move.
context: Lan!\Were you watching?\Yes...\This robot is amazing!\I didn't think it would be that easy to pilot.\Easy?\Yup!\It moves just the way I want it to move. response:	What's wrong?
context: Were you watching?\Yes...\This robot is amazing!\I didn't think it would be that easy to pilot.\Easy?\Yup!\It moves just the way I want it to move.\What's wrong? response:	Nothing.
context: Yes...\This robot is amazing!\I didn't think it would be that easy to pilot.\Easy?\Yup!\It moves just the way I want it to move.\What's wrong?\Nothing. response:	It's red.
context: This robot is amazing!\I didn't think it would be that easy to pilot.\Easy?\Yup!\It moves just the way I want it to move.\What's wrong?\Nothing.\It's red. response:	I hit my head.
context: I didn't think it would be that easy to pilot.\Easy?\Yup!\It moves just the way I want it to move.\What's wrong?\Nothing.\It's red.\I hit my head. response:	I'm sorry to interrupt.
context: Easy?\Yup!\It moves just the way I want it to move.\What's wrong?\Nothing.\It's red.\I hit my head.\I'm sorry to interrupt. response:	I am Tadokoro, the Fleet Captain here.
context: Yup!\It moves just the way I want it to move.\What's wrong?\Nothing.\It's red.\I hit my head.\I'm sorry to interrupt.\I am Tadokoro, the Fleet Captain here. response:	I would like to brief you before your next mission.
context: It moves just the way I want it to move.\What's wrong?\Nothing.\It's red.\I hit my head.\I'm sorry to interrupt.\I am Tadokoro, the Fleet Captain here.\I would like to brief you before your next mission. response:	Next? There's going to be more?
context: What's wrong?\Nothing.\It's red.\I hit my head.\I'm sorry to interrupt.\I am Tadokoro, the Fleet Captain here.\I would like to brief you before your next mission.\Next? There's going to be more? response:	Woof.
context: Nothing.\It's red.\I hit my head.\I'm sorry to interrupt.\I am Tadokoro, the Fleet Captain here.\I would like to brief you before your next mission.\Next? There's going to be more?\Woof. response:	Can I... go to the restroom first?
context: It's red.\I hit my head.\I'm sorry to interrupt.\I am Tadokoro, the Fleet Captain here.\I would like to brief you before your next mission.\Next? There's going to be more?\Woof.\Can I... go to the restroom first? response:	Kamogawa Spirit
context: I hit my head.\I'm sorry to interrupt.\I am Tadokoro, the Fleet Captain here.\I would like to brief you before your next mission.\Next? There's going to be more?\Woof.\Can I... go to the restroom first?\Kamogawa Spirit response:	Kamogawa Spirit
context: I'm sorry to interrupt.\I am Tadokoro, the Fleet Captain here.\I would like to brief you before your next mission.\Next? There's going to be more?\Woof.\Can I... go to the restroom first?\Kamogawa Spirit\Kamogawa Spirit response:	Wait, Izo.
context: I am Tadokoro, the Fleet Captain here.\I would like to brief you before your next mission.\Next? There's going to be more?\Woof.\Can I... go to the restroom first?\Kamogawa Spirit\Kamogawa Spirit\Wait, Izo. response:	I said, wait!
context: I would like to brief you before your next mission.\Next? There's going to be more?\Woof.\Can I... go to the restroom first?\Kamogawa Spirit\Kamogawa Spirit\Wait, Izo.\I said, wait! response:	I can't wait. Array's Ovid isn't responding.
context: Next? There's going to be more?\Woof.\Can I... go to the restroom first?\Kamogawa Spirit\Kamogawa Spirit\Wait, Izo.\I said, wait!\I can't wait. Array's Ovid isn't responding. response:	Which means one of us has to go and rescue him.
context: Woof.\Can I... go to the restroom first?\Kamogawa Spirit\Kamogawa Spirit\Wait, Izo.\I said, wait!\I can't wait. Array's Ovid isn't responding.\Which means one of us has to go and rescue him. response:	The enemy Ovid signal was like nothing we've ever seen.
context: Can I... go to the restroom first?\Kamogawa Spirit\Kamogawa Spirit\Wait, Izo.\I said, wait!\I can't wait. Array's Ovid isn't responding.\Which means one of us has to go and rescue him.\The enemy Ovid signal was like nothing we've ever seen. response:	Are you saying that they brought out the Vox?
context: Kamogawa Spirit\Kamogawa Spirit\Wait, Izo.\I said, wait!\I can't wait. Array's Ovid isn't responding.\Which means one of us has to go and rescue him.\The enemy Ovid signal was like nothing we've ever seen.\Are you saying that they brought out the Vox? response:	We can't rule that out.
context: Kamogawa Spirit\Wait, Izo.\I said, wait!\I can't wait. Array's Ovid isn't responding.\Which means one of us has to go and rescue him.\The enemy Ovid signal was like nothing we've ever seen.\Are you saying that they brought out the Vox?\We can't rule that out. response:	If they already had the Vox,
context: Wait, Izo.\I said, wait!\I can't wait. Array's Ovid isn't responding.\Which means one of us has to go and rescue him.\The enemy Ovid signal was like nothing we've ever seen.\Are you saying that they brought out the Vox?\We can't rule that out.\If they already had the Vox, response:	it's possible Memoria has been achieved as well.
context: I said, wait!\I can't wait. Array's Ovid isn't responding.\Which means one of us has to go and rescue him.\The enemy Ovid signal was like nothing we've ever seen.\Are you saying that they brought out the Vox?\We can't rule that out.\If they already had the Vox,\it's possible Memoria has been achieved as well. response:	So they've found a pilot.
context: I can't wait. Array's Ovid isn't responding.\Which means one of us has to go and rescue him.\The enemy Ovid signal was like nothing we've ever seen.\Are you saying that they brought out the Vox?\We can't rule that out.\If they already had the Vox,\it's possible Memoria has been achieved as well.\So they've found a pilot. response:	All the more the reason for me to head out.
context: Which means one of us has to go and rescue him.\The enemy Ovid signal was like nothing we've ever seen.\Are you saying that they brought out the Vox?\We can't rule that out.\If they already had the Vox,\it's possible Memoria has been achieved as well.\So they've found a pilot.\All the more the reason for me to head out. response:	I'm the best Ovid pilot in De Metrio.
context: The enemy Ovid signal was like nothing we've ever seen.\Are you saying that they brought out the Vox?\We can't rule that out.\If they already had the Vox,\it's possible Memoria has been achieved as well.\So they've found a pilot.\All the more the reason for me to head out.\I'm the best Ovid pilot in De Metrio. response:	Izo!
context: Are you saying that they brought out the Vox?\We can't rule that out.\If they already had the Vox,\it's possible Memoria has been achieved as well.\So they've found a pilot.\All the more the reason for me to head out.\I'm the best Ovid pilot in De Metrio.\Izo! response:	Using the power of the Vox to crush Le Garite is our destiny!
context: We can't rule that out.\If they already had the Vox,\it's possible Memoria has been achieved as well.\So they've found a pilot.\All the more the reason for me to head out.\I'm the best Ovid pilot in De Metrio.\Izo!\Using the power of the Vox to crush Le Garite is our destiny! response:	No time like now to check out the power
context: If they already had the Vox,\it's possible Memoria has been achieved as well.\So they've found a pilot.\All the more the reason for me to head out.\I'm the best Ovid pilot in De Metrio.\Izo!\Using the power of the Vox to crush Le Garite is our destiny!\No time like now to check out the power response:	of the legendary weapon which we'll ultimately possess.
context: it's possible Memoria has been achieved as well.\So they've found a pilot.\All the more the reason for me to head out.\I'm the best Ovid pilot in De Metrio.\Izo!\Using the power of the Vox to crush Le Garite is our destiny!\No time like now to check out the power\of the legendary weapon which we'll ultimately possess. response:	And if I don't come back, get out and save yourself.
context: So they've found a pilot.\All the more the reason for me to head out.\I'm the best Ovid pilot in De Metrio.\Izo!\Using the power of the Vox to crush Le Garite is our destiny!\No time like now to check out the power\of the legendary weapon which we'll ultimately possess.\And if I don't come back, get out and save yourself. response:	I was tricked.
context: All the more the reason for me to head out.\I'm the best Ovid pilot in De Metrio.\Izo!\Using the power of the Vox to crush Le Garite is our destiny!\No time like now to check out the power\of the legendary weapon which we'll ultimately possess.\And if I don't come back, get out and save yourself.\I was tricked. response:	I was totally tricked!
context: I'm the best Ovid pilot in De Metrio.\Izo!\Using the power of the Vox to crush Le Garite is our destiny!\No time like now to check out the power\of the legendary weapon which we'll ultimately possess.\And if I don't come back, get out and save yourself.\I was tricked.\I was totally tricked! response:	No one told me that there was going to be a second time!
context: Izo!\Using the power of the Vox to crush Le Garite is our destiny!\No time like now to check out the power\of the legendary weapon which we'll ultimately possess.\And if I don't come back, get out and save yourself.\I was tricked.\I was totally tricked!\No one told me that there was going to be a second time! response:	Did she pretend to be my comrade just to get close to me,
context: Using the power of the Vox to crush Le Garite is our destiny!\No time like now to check out the power\of the legendary weapon which we'll ultimately possess.\And if I don't come back, get out and save yourself.\I was tricked.\I was totally tricked!\No one told me that there was going to be a second time!\Did she pretend to be my comrade just to get close to me, response:	to make me pilot that Fox?
context: No time like now to check out the power\of the legendary weapon which we'll ultimately possess.\And if I don't come back, get out and save yourself.\I was tricked.\I was totally tricked!\No one told me that there was going to be a second time!\Did she pretend to be my comrade just to get close to me,\to make me pilot that Fox? response:	Were those memories false too?
context: of the legendary weapon which we'll ultimately possess.\And if I don't come back, get out and save yourself.\I was tricked.\I was totally tricked!\No one told me that there was going to be a second time!\Did she pretend to be my comrade just to get close to me,\to make me pilot that Fox?\Were those memories false too? response:	No, that was real... I think.
context: And if I don't come back, get out and save yourself.\I was tricked.\I was totally tricked!\No one told me that there was going to be a second time!\Did she pretend to be my comrade just to get close to me,\to make me pilot that Fox?\Were those memories false too?\No, that was real... I think. response:	Or was it?
context: I was tricked.\I was totally tricked!\No one told me that there was going to be a second time!\Did she pretend to be my comrade just to get close to me,\to make me pilot that Fox?\Were those memories false too?\No, that was real... I think.\Or was it? response:	Which is it? I'm so confused!
context: I was totally tricked!\No one told me that there was going to be a second time!\Did she pretend to be my comrade just to get close to me,\to make me pilot that Fox?\Were those memories false too?\No, that was real... I think.\Or was it?\Which is it? I'm so confused! response:	Missed calls: Nakaizumi Yoko
context: No one told me that there was going to be a second time!\Did she pretend to be my comrade just to get close to me,\to make me pilot that Fox?\Were those memories false too?\No, that was real... I think.\Or was it?\Which is it? I'm so confused!\Missed calls: Nakaizumi Yoko response:	Yikes! They're all from Yoko!
context: Did she pretend to be my comrade just to get close to me,\to make me pilot that Fox?\Were those memories false too?\No, that was real... I think.\Or was it?\Which is it? I'm so confused!\Missed calls: Nakaizumi Yoko\Yikes! They're all from Yoko! response:	I wonder what's up?
context: to make me pilot that Fox?\Were those memories false too?\No, that was real... I think.\Or was it?\Which is it? I'm so confused!\Missed calls: Nakaizumi Yoko\Yikes! They're all from Yoko!\I wonder what's up? response:	No service
context: Were those memories false too?\No, that was real... I think.\Or was it?\Which is it? I'm so confused!\Missed calls: Nakaizumi Yoko\Yikes! They're all from Yoko!\I wonder what's up?\No service response:	No service.
context: No, that was real... I think.\Or was it?\Which is it? I'm so confused!\Missed calls: Nakaizumi Yoko\Yikes! They're all from Yoko!\I wonder what's up?\No service\No service. response:	Yes, a single bar!
context: Or was it?\Which is it? I'm so confused!\Missed calls: Nakaizumi Yoko\Yikes! They're all from Yoko!\I wonder what's up?\No service\No service.\Yes, a single bar! response:	It's gone.
context: Which is it? I'm so confused!\Missed calls: Nakaizumi Yoko\Yikes! They're all from Yoko!\I wonder what's up?\No service\No service.\Yes, a single bar!\It's gone. response:	Oh wait!
context: Missed calls: Nakaizumi Yoko\Yikes! They're all from Yoko!\I wonder what's up?\No service\No service.\Yes, a single bar!\It's gone.\Oh wait! response:	Does this...
context: Yikes! They're all from Yoko!\I wonder what's up?\No service\No service.\Yes, a single bar!\It's gone.\Oh wait!\Does this... response:	Does this mean your cousin beat that thing?
context: I wonder what's up?\No service\No service.\Yes, a single bar!\It's gone.\Oh wait!\Does this...\Does this mean your cousin beat that thing? response:	Seeing that it's not moving, I guess it does.
context: No service\No service.\Yes, a single bar!\It's gone.\Oh wait!\Does this...\Does this mean your cousin beat that thing?\Seeing that it's not moving, I guess it does. response:	What does this mean?
context: No service.\Yes, a single bar!\It's gone.\Oh wait!\Does this...\Does this mean your cousin beat that thing?\Seeing that it's not moving, I guess it does.\What does this mean? response:	Did your cousin actually manage to pilot that thing?
context: Yes, a single bar!\It's gone.\Oh wait!\Does this...\Does this mean your cousin beat that thing?\Seeing that it's not moving, I guess it does.\What does this mean?\Did your cousin actually manage to pilot that thing? response:	I thought she could only ride a bicycle.
context: It's gone.\Oh wait!\Does this...\Does this mean your cousin beat that thing?\Seeing that it's not moving, I guess it does.\What does this mean?\Did your cousin actually manage to pilot that thing?\I thought she could only ride a bicycle. response:	Maybe she actually got a scooter license.
context: Oh wait!\Does this...\Does this mean your cousin beat that thing?\Seeing that it's not moving, I guess it does.\What does this mean?\Did your cousin actually manage to pilot that thing?\I thought she could only ride a bicycle.\Maybe she actually got a scooter license. response:	That's not enough to pilot a robot!
context: Does this...\Does this mean your cousin beat that thing?\Seeing that it's not moving, I guess it does.\What does this mean?\Did your cousin actually manage to pilot that thing?\I thought she could only ride a bicycle.\Maybe she actually got a scooter license.\That's not enough to pilot a robot! response:	It must be the people here.
context: Does this mean your cousin beat that thing?\Seeing that it's not moving, I guess it does.\What does this mean?\Did your cousin actually manage to pilot that thing?\I thought she could only ride a bicycle.\Maybe she actually got a scooter license.\That's not enough to pilot a robot!\It must be the people here. response:	They're hiding something!
context: Seeing that it's not moving, I guess it does.\What does this mean?\Did your cousin actually manage to pilot that thing?\I thought she could only ride a bicycle.\Maybe she actually got a scooter license.\That's not enough to pilot a robot!\It must be the people here.\They're hiding something! response:	We've spent five years trying to figure out the Ooparts with no success.
context: What does this mean?\Did your cousin actually manage to pilot that thing?\I thought she could only ride a bicycle.\Maybe she actually got a scooter license.\That's not enough to pilot a robot!\It must be the people here.\They're hiding something!\We've spent five years trying to figure out the Ooparts with no success. response:	But the guys here built a robot out of it in six months!
context: Did your cousin actually manage to pilot that thing?\I thought she could only ride a bicycle.\Maybe she actually got a scooter license.\That's not enough to pilot a robot!\It must be the people here.\They're hiding something!\We've spent five years trying to figure out the Ooparts with no success.\But the guys here built a robot out of it in six months! response:	There's got to be some secret to!
context: I thought she could only ride a bicycle.\Maybe she actually got a scooter license.\That's not enough to pilot a robot!\It must be the people here.\They're hiding something!\We've spent five years trying to figure out the Ooparts with no success.\But the guys here built a robot out of it in six months!\There's got to be some secret to! response:	U-Um...
context: Maybe she actually got a scooter license.\That's not enough to pilot a robot!\It must be the people here.\They're hiding something!\We've spent five years trying to figure out the Ooparts with no success.\But the guys here built a robot out of it in six months!\There's got to be some secret to!\U-Um... response:	Shh!
context: That's not enough to pilot a robot!\It must be the people here.\They're hiding something!\We've spent five years trying to figure out the Ooparts with no success.\But the guys here built a robot out of it in six months!\There's got to be some secret to!\U-Um...\Shh! response:	You stay here.
context: It must be the people here.\They're hiding something!\We've spent five years trying to figure out the Ooparts with no success.\But the guys here built a robot out of it in six months!\There's got to be some secret to!\U-Um...\Shh!\You stay here. response:	Wait, please don't leave me alone here!
context: They're hiding something!\We've spent five years trying to figure out the Ooparts with no success.\But the guys here built a robot out of it in six months!\There's got to be some secret to!\U-Um...\Shh!\You stay here.\Wait, please don't leave me alone here! response:	What were you planning to do if Kyono Madoka
context: We've spent five years trying to figure out the Ooparts with no success.\But the guys here built a robot out of it in six months!\There's got to be some secret to!\U-Um...\Shh!\You stay here.\Wait, please don't leave me alone here!\What were you planning to do if Kyono Madoka response:	was unable to activate Vox Aura today?
context: But the guys here built a robot out of it in six months!\There's got to be some secret to!\U-Um...\Shh!\You stay here.\Wait, please don't leave me alone here!\What were you planning to do if Kyono Madoka\was unable to activate Vox Aura today? response:	Those who've achieved Memoria with the Vox
context: There's got to be some secret to!\U-Um...\Shh!\You stay here.\Wait, please don't leave me alone here!\What were you planning to do if Kyono Madoka\was unable to activate Vox Aura today?\Those who've achieved Memoria with the Vox response:	become its one and only pilot.
context: U-Um...\Shh!\You stay here.\Wait, please don't leave me alone here!\What were you planning to do if Kyono Madoka\was unable to activate Vox Aura today?\Those who've achieved Memoria with the Vox\become its one and only pilot. response:	Even if Vox Aura falls into enemy hands,
context: Shh!\You stay here.\Wait, please don't leave me alone here!\What were you planning to do if Kyono Madoka\was unable to activate Vox Aura today?\Those who've achieved Memoria with the Vox\become its one and only pilot.\Even if Vox Aura falls into enemy hands, response:	as long as we safeguard Miss Kyono Madoka,
context: You stay here.\Wait, please don't leave me alone here!\What were you planning to do if Kyono Madoka\was unable to activate Vox Aura today?\Those who've achieved Memoria with the Vox\become its one and only pilot.\Even if Vox Aura falls into enemy hands,\as long as we safeguard Miss Kyono Madoka, response:	we have an even chance of winning.
context: Wait, please don't leave me alone here!\What were you planning to do if Kyono Madoka\was unable to activate Vox Aura today?\Those who've achieved Memoria with the Vox\become its one and only pilot.\Even if Vox Aura falls into enemy hands,\as long as we safeguard Miss Kyono Madoka,\we have an even chance of winning. response:	And the same could be said if their positions were reversed.
context: What were you planning to do if Kyono Madoka\was unable to activate Vox Aura today?\Those who've achieved Memoria with the Vox\become its one and only pilot.\Even if Vox Aura falls into enemy hands,\as long as we safeguard Miss Kyono Madoka,\we have an even chance of winning.\And the same could be said if their positions were reversed. response:	We could have accelerated her organic response with the Vox,
context: was unable to activate Vox Aura today?\Those who've achieved Memoria with the Vox\become its one and only pilot.\Even if Vox Aura falls into enemy hands,\as long as we safeguard Miss Kyono Madoka,\we have an even chance of winning.\And the same could be said if their positions were reversed.\We could have accelerated her organic response with the Vox, response:	but it was risky, so I wanted to avoid doing that if at all possible.
context: Those who've achieved Memoria with the Vox\become its one and only pilot.\Even if Vox Aura falls into enemy hands,\as long as we safeguard Miss Kyono Madoka,\we have an even chance of winning.\And the same could be said if their positions were reversed.\We could have accelerated her organic response with the Vox,\but it was risky, so I wanted to avoid doing that if at all possible. response:	In any case, we really weren't prepared to take considerable steps.
context: become its one and only pilot.\Even if Vox Aura falls into enemy hands,\as long as we safeguard Miss Kyono Madoka,\we have an even chance of winning.\And the same could be said if their positions were reversed.\We could have accelerated her organic response with the Vox,\but it was risky, so I wanted to avoid doing that if at all possible.\In any case, we really weren't prepared to take considerable steps. response:	So I'm glad to see that everything worked out.
context: Even if Vox Aura falls into enemy hands,\as long as we safeguard Miss Kyono Madoka,\we have an even chance of winning.\And the same could be said if their positions were reversed.\We could have accelerated her organic response with the Vox,\but it was risky, so I wanted to avoid doing that if at all possible.\In any case, we really weren't prepared to take considerable steps.\So I'm glad to see that everything worked out. response:	And as a result, I also learned quite a bit.
context: as long as we safeguard Miss Kyono Madoka,\we have an even chance of winning.\And the same could be said if their positions were reversed.\We could have accelerated her organic response with the Vox,\but it was risky, so I wanted to avoid doing that if at all possible.\In any case, we really weren't prepared to take considerable steps.\So I'm glad to see that everything worked out.\And as a result, I also learned quite a bit. response:	You don't give a damn about protecting this planet, inside that head of yours.
context: we have an even chance of winning.\And the same could be said if their positions were reversed.\We could have accelerated her organic response with the Vox,\but it was risky, so I wanted to avoid doing that if at all possible.\In any case, we really weren't prepared to take considerable steps.\So I'm glad to see that everything worked out.\And as a result, I also learned quite a bit.\You don't give a damn about protecting this planet, inside that head of yours. response:	Protecting the Vox is the same thing as protecting Earth.
context: And the same could be said if their positions were reversed.\We could have accelerated her organic response with the Vox,\but it was risky, so I wanted to avoid doing that if at all possible.\In any case, we really weren't prepared to take considerable steps.\So I'm glad to see that everything worked out.\And as a result, I also learned quite a bit.\You don't give a damn about protecting this planet, inside that head of yours.\Protecting the Vox is the same thing as protecting Earth. response:	And whose idea was it to make the Vox fight on the front line?
context: We could have accelerated her organic response with the Vox,\but it was risky, so I wanted to avoid doing that if at all possible.\In any case, we really weren't prepared to take considerable steps.\So I'm glad to see that everything worked out.\And as a result, I also learned quite a bit.\You don't give a damn about protecting this planet, inside that head of yours.\Protecting the Vox is the same thing as protecting Earth.\And whose idea was it to make the Vox fight on the front line? response:	Weapons from Earth are useless against them.
context: but it was risky, so I wanted to avoid doing that if at all possible.\In any case, we really weren't prepared to take considerable steps.\So I'm glad to see that everything worked out.\And as a result, I also learned quite a bit.\You don't give a damn about protecting this planet, inside that head of yours.\Protecting the Vox is the same thing as protecting Earth.\And whose idea was it to make the Vox fight on the front line?\Weapons from Earth are useless against them. response:	Then why don't you take the Vox and get off of this planet?
context: In any case, we really weren't prepared to take considerable steps.\So I'm glad to see that everything worked out.\And as a result, I also learned quite a bit.\You don't give a damn about protecting this planet, inside that head of yours.\Protecting the Vox is the same thing as protecting Earth.\And whose idea was it to make the Vox fight on the front line?\Weapons from Earth are useless against them.\Then why don't you take the Vox and get off of this planet? response:	Then Earth would fall under their sphere of control.
context: So I'm glad to see that everything worked out.\And as a result, I also learned quite a bit.\You don't give a damn about protecting this planet, inside that head of yours.\Protecting the Vox is the same thing as protecting Earth.\And whose idea was it to make the Vox fight on the front line?\Weapons from Earth are useless against them.\Then why don't you take the Vox and get off of this planet?\Then Earth would fall under their sphere of control. response:	Such a future would be bleak.
context: And as a result, I also learned quite a bit.\You don't give a damn about protecting this planet, inside that head of yours.\Protecting the Vox is the same thing as protecting Earth.\And whose idea was it to make the Vox fight on the front line?\Weapons from Earth are useless against them.\Then why don't you take the Vox and get off of this planet?\Then Earth would fall under their sphere of control.\Such a future would be bleak. response:	Fine.
context: You don't give a damn about protecting this planet, inside that head of yours.\Protecting the Vox is the same thing as protecting Earth.\And whose idea was it to make the Vox fight on the front line?\Weapons from Earth are useless against them.\Then why don't you take the Vox and get off of this planet?\Then Earth would fall under their sphere of control.\Such a future would be bleak.\Fine. response:	So what now, then?
context: Protecting the Vox is the same thing as protecting Earth.\And whose idea was it to make the Vox fight on the front line?\Weapons from Earth are useless against them.\Then why don't you take the Vox and get off of this planet?\Then Earth would fall under their sphere of control.\Such a future would be bleak.\Fine.\So what now, then? response:	Will taking our chances against them work a second time?
context: And whose idea was it to make the Vox fight on the front line?\Weapons from Earth are useless against them.\Then why don't you take the Vox and get off of this planet?\Then Earth would fall under their sphere of control.\Such a future would be bleak.\Fine.\So what now, then?\Will taking our chances against them work a second time? response:	Judging only from the performance of the craft,
context: Weapons from Earth are useless against them.\Then why don't you take the Vox and get off of this planet?\Then Earth would fall under their sphere of control.\Such a future would be bleak.\Fine.\So what now, then?\Will taking our chances against them work a second time?\Judging only from the performance of the craft, response:	it has power that surpasses the enemy's.
context: Then why don't you take the Vox and get off of this planet?\Then Earth would fall under their sphere of control.\Such a future would be bleak.\Fine.\So what now, then?\Will taking our chances against them work a second time?\Judging only from the performance of the craft,\it has power that surpasses the enemy's. response:	The rest depends on her.
context: Then Earth would fall under their sphere of control.\Such a future would be bleak.\Fine.\So what now, then?\Will taking our chances against them work a second time?\Judging only from the performance of the craft,\it has power that surpasses the enemy's.\The rest depends on her. response:	So we'll have to take our chances after all.
context: Such a future would be bleak.\Fine.\So what now, then?\Will taking our chances against them work a second time?\Judging only from the performance of the craft,\it has power that surpasses the enemy's.\The rest depends on her.\So we'll have to take our chances after all. response:	You could say that.
context: Fine.\So what now, then?\Will taking our chances against them work a second time?\Judging only from the performance of the craft,\it has power that surpasses the enemy's.\The rest depends on her.\So we'll have to take our chances after all.\You could say that. response:	Can I ask you one last question?
context: So what now, then?\Will taking our chances against them work a second time?\Judging only from the performance of the craft,\it has power that surpasses the enemy's.\The rest depends on her.\So we'll have to take our chances after all.\You could say that.\Can I ask you one last question? response:	Ask me anything.
context: Will taking our chances against them work a second time?\Judging only from the performance of the craft,\it has power that surpasses the enemy's.\The rest depends on her.\So we'll have to take our chances after all.\You could say that.\Can I ask you one last question?\Ask me anything. response:	Is this main force of your's really coming?
context: Judging only from the performance of the craft,\it has power that surpasses the enemy's.\The rest depends on her.\So we'll have to take our chances after all.\You could say that.\Can I ask you one last question?\Ask me anything.\Is this main force of your's really coming? response:	Immediately. After the war on their side is over.
context: it has power that surpasses the enemy's.\The rest depends on her.\So we'll have to take our chances after all.\You could say that.\Can I ask you one last question?\Ask me anything.\Is this main force of your's really coming?\Immediately. After the war on their side is over. response:	Captain.
context: The rest depends on her.\So we'll have to take our chances after all.\You could say that.\Can I ask you one last question?\Ask me anything.\Is this main force of your's really coming?\Immediately. After the war on their side is over.\Captain. response:	What is it?
context: So we'll have to take our chances after all.\You could say that.\Can I ask you one last question?\Ask me anything.\Is this main force of your's really coming?\Immediately. After the war on their side is over.\Captain.\What is it? response:	The pilot has run away.
context: You could say that.\Can I ask you one last question?\Ask me anything.\Is this main force of your's really coming?\Immediately. After the war on their side is over.\Captain.\What is it?\The pilot has run away. response:	It's no good. I'm completely lost.
context: Can I ask you one last question?\Ask me anything.\Is this main force of your's really coming?\Immediately. After the war on their side is over.\Captain.\What is it?\The pilot has run away.\It's no good. I'm completely lost. response:	Ouch!
context: Ask me anything.\Is this main force of your's really coming?\Immediately. After the war on their side is over.\Captain.\What is it?\The pilot has run away.\It's no good. I'm completely lost.\Ouch! response:	Oww...
context: Is this main force of your's really coming?\Immediately. After the war on their side is over.\Captain.\What is it?\The pilot has run away.\It's no good. I'm completely lost.\Ouch!\Oww... response:	Come on!
context: Immediately. After the war on their side is over.\Captain.\What is it?\The pilot has run away.\It's no good. I'm completely lost.\Ouch!\Oww...\Come on! response:	It looks similar...
context: Captain.\What is it?\The pilot has run away.\It's no good. I'm completely lost.\Ouch!\Oww...\Come on!\It looks similar... response:	But I guess it's a little different.
