context: Once upon a time, there was a man who died. response:	The story the man wrote was about a happy prince who loved everyone and was loved by everyone.
context: Oh, Uzura-chan!\So you got back safe too, huh?\Fakir!\So you're awake. You'll eat, won't you?\Yeah.\Oh, that's the story you wrote...\It's a story that's over now.\The story about me that Fakir wrote for me... response:	I kind of wanted to read it.
context: So you got back safe too, huh?\Fakir!\So you're awake. You'll eat, won't you?\Yeah.\Oh, that's the story you wrote...\It's a story that's over now.\The story about me that Fakir wrote for me...\I kind of wanted to read it. response:	But I'm glad you're able to write stories now!
context: Fakir!\So you're awake. You'll eat, won't you?\Yeah.\Oh, that's the story you wrote...\It's a story that's over now.\The story about me that Fakir wrote for me...\I kind of wanted to read it.\But I'm glad you're able to write stories now! response:	And then when I told him I thought the heart shards were in the five gates he said congratulations.
context: So you're awake. You'll eat, won't you?\Yeah.\Oh, that's the story you wrote...\It's a story that's over now.\The story about me that Fakir wrote for me...\I kind of wanted to read it.\But I'm glad you're able to write stories now!\And then when I told him I thought the heart shards were in the five gates he said congratulations. response:	So basically, those shards are sealing away the raven?
context: Yeah.\Oh, that's the story you wrote...\It's a story that's over now.\The story about me that Fakir wrote for me...\I kind of wanted to read it.\But I'm glad you're able to write stories now!\And then when I told him I thought the heart shards were in the five gates he said congratulations.\So basically, those shards are sealing away the raven? response:	Now we can get them all!
context: Oh, that's the story you wrote...\It's a story that's over now.\The story about me that Fakir wrote for me...\I kind of wanted to read it.\But I'm glad you're able to write stories now!\And then when I told him I thought the heart shards were in the five gates he said congratulations.\So basically, those shards are sealing away the raven?\Now we can get them all! response:	But then, the raven will be restored too.
context: It's a story that's over now.\The story about me that Fakir wrote for me...\I kind of wanted to read it.\But I'm glad you're able to write stories now!\And then when I told him I thought the heart shards were in the five gates he said congratulations.\So basically, those shards are sealing away the raven?\Now we can get them all!\But then, the raven will be restored too. response:	Huh?
context: The story about me that Fakir wrote for me...\I kind of wanted to read it.\But I'm glad you're able to write stories now!\And then when I told him I thought the heart shards were in the five gates he said congratulations.\So basically, those shards are sealing away the raven?\Now we can get them all!\But then, the raven will be restored too.\Huh? response:	Calm down. It's a bridge we'd have to cross eventually anyway.
context: I kind of wanted to read it.\But I'm glad you're able to write stories now!\And then when I told him I thought the heart shards were in the five gates he said congratulations.\So basically, those shards are sealing away the raven?\Now we can get them all!\But then, the raven will be restored too.\Huh?\Calm down. It's a bridge we'd have to cross eventually anyway. response:	And if we don't do it fast, Mytho might not be able to go back to normal anymore.
context: But I'm glad you're able to write stories now!\And then when I told him I thought the heart shards were in the five gates he said congratulations.\So basically, those shards are sealing away the raven?\Now we can get them all!\But then, the raven will be restored too.\Huh?\Calm down. It's a bridge we'd have to cross eventually anyway.\And if we don't do it fast, Mytho might not be able to go back to normal anymore. response:	That's true. And even if the raven is restored, it'll be no problem now that we have your power to write stories, huh?
context: And then when I told him I thought the heart shards were in the five gates he said congratulations.\So basically, those shards are sealing away the raven?\Now we can get them all!\But then, the raven will be restored too.\Huh?\Calm down. It's a bridge we'd have to cross eventually anyway.\And if we don't do it fast, Mytho might not be able to go back to normal anymore.\That's true. And even if the raven is restored, it'll be no problem now that we have your power to write stories, huh? response:	You do your best.
context: So basically, those shards are sealing away the raven?\Now we can get them all!\But then, the raven will be restored too.\Huh?\Calm down. It's a bridge we'd have to cross eventually anyway.\And if we don't do it fast, Mytho might not be able to go back to normal anymore.\That's true. And even if the raven is restored, it'll be no problem now that we have your power to write stories, huh?\You do your best. response:	That's right, Mytho has Fakir and he has Princess Tutu.
context: Now we can get them all!\But then, the raven will be restored too.\Huh?\Calm down. It's a bridge we'd have to cross eventually anyway.\And if we don't do it fast, Mytho might not be able to go back to normal anymore.\That's true. And even if the raven is restored, it'll be no problem now that we have your power to write stories, huh?\You do your best.\That's right, Mytho has Fakir and he has Princess Tutu. response:	He'll never lose to the raven!
context: But then, the raven will be restored too.\Huh?\Calm down. It's a bridge we'd have to cross eventually anyway.\And if we don't do it fast, Mytho might not be able to go back to normal anymore.\That's true. And even if the raven is restored, it'll be no problem now that we have your power to write stories, huh?\You do your best.\That's right, Mytho has Fakir and he has Princess Tutu.\He'll never lose to the raven! response:	I'm sure Rue-chan will return to normal too, and...
context: Huh?\Calm down. It's a bridge we'd have to cross eventually anyway.\And if we don't do it fast, Mytho might not be able to go back to normal anymore.\That's true. And even if the raven is restored, it'll be no problem now that we have your power to write stories, huh?\You do your best.\That's right, Mytho has Fakir and he has Princess Tutu.\He'll never lose to the raven!\I'm sure Rue-chan will return to normal too, and... response:	Rue-chan?
context: Calm down. It's a bridge we'd have to cross eventually anyway.\And if we don't do it fast, Mytho might not be able to go back to normal anymore.\That's true. And even if the raven is restored, it'll be no problem now that we have your power to write stories, huh?\You do your best.\That's right, Mytho has Fakir and he has Princess Tutu.\He'll never lose to the raven!\I'm sure Rue-chan will return to normal too, and...\Rue-chan? response:	Good morning, prince.
context: And if we don't do it fast, Mytho might not be able to go back to normal anymore.\That's true. And even if the raven is restored, it'll be no problem now that we have your power to write stories, huh?\You do your best.\That's right, Mytho has Fakir and he has Princess Tutu.\He'll never lose to the raven!\I'm sure Rue-chan will return to normal too, and...\Rue-chan?\Good morning, prince. response:	Prince?
context: That's true. And even if the raven is restored, it'll be no problem now that we have your power to write stories, huh?\You do your best.\That's right, Mytho has Fakir and he has Princess Tutu.\He'll never lose to the raven!\I'm sure Rue-chan will return to normal too, and...\Rue-chan?\Good morning, prince.\Prince? response:	Prince, you're hungry, aren't you?
context: You do your best.\That's right, Mytho has Fakir and he has Princess Tutu.\He'll never lose to the raven!\I'm sure Rue-chan will return to normal too, and...\Rue-chan?\Good morning, prince.\Prince?\Prince, you're hungry, aren't you? response:	Hello, Kraehe. I am hungry.
context: That's right, Mytho has Fakir and he has Princess Tutu.\He'll never lose to the raven!\I'm sure Rue-chan will return to normal too, and...\Rue-chan?\Good morning, prince.\Prince?\Prince, you're hungry, aren't you?\Hello, Kraehe. I am hungry. response:	Stop it!
context: He'll never lose to the raven!\I'm sure Rue-chan will return to normal too, and...\Rue-chan?\Good morning, prince.\Prince?\Prince, you're hungry, aren't you?\Hello, Kraehe. I am hungry.\Stop it! response:	What did you do that for? You love me, don't you?
context: I'm sure Rue-chan will return to normal too, and...\Rue-chan?\Good morning, prince.\Prince?\Prince, you're hungry, aren't you?\Hello, Kraehe. I am hungry.\Stop it!\What did you do that for? You love me, don't you? response:	You don't love me?
context: Rue-chan?\Good morning, prince.\Prince?\Prince, you're hungry, aren't you?\Hello, Kraehe. I am hungry.\Stop it!\What did you do that for? You love me, don't you?\You don't love me? response:	My love has only made you into this. I have no right to love you.
context: Good morning, prince.\Prince?\Prince, you're hungry, aren't you?\Hello, Kraehe. I am hungry.\Stop it!\What did you do that for? You love me, don't you?\You don't love me?\My love has only made you into this. I have no right to love you. response:	That's Mytho?
context: Prince?\Prince, you're hungry, aren't you?\Hello, Kraehe. I am hungry.\Stop it!\What did you do that for? You love me, don't you?\You don't love me?\My love has only made you into this. I have no right to love you.\That's Mytho? response:	Let us dance...
context: Prince, you're hungry, aren't you?\Hello, Kraehe. I am hungry.\Stop it!\What did you do that for? You love me, don't you?\You don't love me?\My love has only made you into this. I have no right to love you.\That's Mytho?\Let us dance... response:	My prince.
context: Hello, Kraehe. I am hungry.\Stop it!\What did you do that for? You love me, don't you?\You don't love me?\My love has only made you into this. I have no right to love you.\That's Mytho?\Let us dance...\My prince. response:	Certainly.
context: Stop it!\What did you do that for? You love me, don't you?\You don't love me?\My love has only made you into this. I have no right to love you.\That's Mytho?\Let us dance...\My prince.\Certainly. response:	Prince...
context: What did you do that for? You love me, don't you?\You don't love me?\My love has only made you into this. I have no right to love you.\That's Mytho?\Let us dance...\My prince.\Certainly.\Prince... response:	I've never seen Rue-chan dance so sadly.
context: You don't love me?\My love has only made you into this. I have no right to love you.\That's Mytho?\Let us dance...\My prince.\Certainly.\Prince...\I've never seen Rue-chan dance so sadly. response:	Do you remember all the pas de deux we danced together?
context: My love has only made you into this. I have no right to love you.\That's Mytho?\Let us dance...\My prince.\Certainly.\Prince...\I've never seen Rue-chan dance so sadly.\Do you remember all the pas de deux we danced together? response:	You're my prince, you know.
context: That's Mytho?\Let us dance...\My prince.\Certainly.\Prince...\I've never seen Rue-chan dance so sadly.\Do you remember all the pas de deux we danced together?\You're my prince, you know. response:	Is that so?
context: Let us dance...\My prince.\Certainly.\Prince...\I've never seen Rue-chan dance so sadly.\Do you remember all the pas de deux we danced together?\You're my prince, you know.\Is that so? response:	Yep! After all, that's what Father said.
context: My prince.\Certainly.\Prince...\I've never seen Rue-chan dance so sadly.\Do you remember all the pas de deux we danced together?\You're my prince, you know.\Is that so?\Yep! After all, that's what Father said. response:	The prince! He sealed me away. He's the enemy deserving of our hatred.
context: Certainly.\Prince...\I've never seen Rue-chan dance so sadly.\Do you remember all the pas de deux we danced together?\You're my prince, you know.\Is that so?\Yep! After all, that's what Father said.\The prince! He sealed me away. He's the enemy deserving of our hatred. response:	Ah, but he is the one prince that you should marry, Kraehe.
context: Prince...\I've never seen Rue-chan dance so sadly.\Do you remember all the pas de deux we danced together?\You're my prince, you know.\Is that so?\Yep! After all, that's what Father said.\The prince! He sealed me away. He's the enemy deserving of our hatred.\Ah, but he is the one prince that you should marry, Kraehe. response:	What?
context: I've never seen Rue-chan dance so sadly.\Do you remember all the pas de deux we danced together?\You're my prince, you know.\Is that so?\Yep! After all, that's what Father said.\The prince! He sealed me away. He's the enemy deserving of our hatred.\Ah, but he is the one prince that you should marry, Kraehe.\What? response:	A prince who loves everyone should be able to sincerely love even a girl like you.
context: Do you remember all the pas de deux we danced together?\You're my prince, you know.\Is that so?\Yep! After all, that's what Father said.\The prince! He sealed me away. He's the enemy deserving of our hatred.\Ah, but he is the one prince that you should marry, Kraehe.\What?\A prince who loves everyone should be able to sincerely love even a girl like you. response:	Really?
context: You're my prince, you know.\Is that so?\Yep! After all, that's what Father said.\The prince! He sealed me away. He's the enemy deserving of our hatred.\Ah, but he is the one prince that you should marry, Kraehe.\What?\A prince who loves everyone should be able to sincerely love even a girl like you.\Really? response:	Yes, really.
context: Is that so?\Yep! After all, that's what Father said.\The prince! He sealed me away. He's the enemy deserving of our hatred.\Ah, but he is the one prince that you should marry, Kraehe.\What?\A prince who loves everyone should be able to sincerely love even a girl like you.\Really?\Yes, really. response:	I was happy only when I was with you.
context: Yep! After all, that's what Father said.\The prince! He sealed me away. He's the enemy deserving of our hatred.\Ah, but he is the one prince that you should marry, Kraehe.\What?\A prince who loves everyone should be able to sincerely love even a girl like you.\Really?\Yes, really.\I was happy only when I was with you. response:	Mytho? Mytho!
context: The prince! He sealed me away. He's the enemy deserving of our hatred.\Ah, but he is the one prince that you should marry, Kraehe.\What?\A prince who loves everyone should be able to sincerely love even a girl like you.\Really?\Yes, really.\I was happy only when I was with you.\Mytho? Mytho! response:	I wanted you to always look at me alone.
context: Ah, but he is the one prince that you should marry, Kraehe.\What?\A prince who loves everyone should be able to sincerely love even a girl like you.\Really?\Yes, really.\I was happy only when I was with you.\Mytho? Mytho!\I wanted you to always look at me alone. response:	I wanted to never be separated from you for a moment.
context: What?\A prince who loves everyone should be able to sincerely love even a girl like you.\Really?\Yes, really.\I was happy only when I was with you.\Mytho? Mytho!\I wanted you to always look at me alone.\I wanted to never be separated from you for a moment. response:	Say, look. Is this pretty?
context: A prince who loves everyone should be able to sincerely love even a girl like you.\Really?\Yes, really.\I was happy only when I was with you.\Mytho? Mytho!\I wanted you to always look at me alone.\I wanted to never be separated from you for a moment.\Say, look. Is this pretty? response:	Yes. I have to go back to Fakir soon...
context: Really?\Yes, really.\I was happy only when I was with you.\Mytho? Mytho!\I wanted you to always look at me alone.\I wanted to never be separated from you for a moment.\Say, look. Is this pretty?\Yes. I have to go back to Fakir soon... response:	What? Wait! Watch...
context: Yes, really.\I was happy only when I was with you.\Mytho? Mytho!\I wanted you to always look at me alone.\I wanted to never be separated from you for a moment.\Say, look. Is this pretty?\Yes. I have to go back to Fakir soon...\What? Wait! Watch... response:	I'm sorry.
context: I was happy only when I was with you.\Mytho? Mytho!\I wanted you to always look at me alone.\I wanted to never be separated from you for a moment.\Say, look. Is this pretty?\Yes. I have to go back to Fakir soon...\What? Wait! Watch...\I'm sorry. response:	Watch me more! I practiced so hard!
context: Mytho? Mytho!\I wanted you to always look at me alone.\I wanted to never be separated from you for a moment.\Say, look. Is this pretty?\Yes. I have to go back to Fakir soon...\What? Wait! Watch...\I'm sorry.\Watch me more! I practiced so hard! response:	But you...
context: I wanted you to always look at me alone.\I wanted to never be separated from you for a moment.\Say, look. Is this pretty?\Yes. I have to go back to Fakir soon...\What? Wait! Watch...\I'm sorry.\Watch me more! I practiced so hard!\But you... response:	Kraehe, go to the human world as a human girl and win the prince's love.
context: I wanted to never be separated from you for a moment.\Say, look. Is this pretty?\Yes. I have to go back to Fakir soon...\What? Wait! Watch...\I'm sorry.\Watch me more! I practiced so hard!\But you...\Kraehe, go to the human world as a human girl and win the prince's love. response:	Yes, Father.
context: Say, look. Is this pretty?\Yes. I have to go back to Fakir soon...\What? Wait! Watch...\I'm sorry.\Watch me more! I practiced so hard!\But you...\Kraehe, go to the human world as a human girl and win the prince's love.\Yes, Father. response:	And if you should ever get hold of a shard of the prince's heart, bring it to me.
context: Yes. I have to go back to Fakir soon...\What? Wait! Watch...\I'm sorry.\Watch me more! I practiced so hard!\But you...\Kraehe, go to the human world as a human girl and win the prince's love.\Yes, Father.\And if you should ever get hold of a shard of the prince's heart, bring it to me. response:	Because I have a task to perform in preparation for your wedding to him.
context: What? Wait! Watch...\I'm sorry.\Watch me more! I practiced so hard!\But you...\Kraehe, go to the human world as a human girl and win the prince's love.\Yes, Father.\And if you should ever get hold of a shard of the prince's heart, bring it to me.\Because I have a task to perform in preparation for your wedding to him. response:	Yes.
context: I'm sorry.\Watch me more! I practiced so hard!\But you...\Kraehe, go to the human world as a human girl and win the prince's love.\Yes, Father.\And if you should ever get hold of a shard of the prince's heart, bring it to me.\Because I have a task to perform in preparation for your wedding to him.\Yes. response:	It's the first day of lessons for those in the beginners' class, so I'll take this time to talk about ballet and marriage.
context: Watch me more! I practiced so hard!\But you...\Kraehe, go to the human world as a human girl and win the prince's love.\Yes, Father.\And if you should ever get hold of a shard of the prince's heart, bring it to me.\Because I have a task to perform in preparation for your wedding to him.\Yes.\It's the first day of lessons for those in the beginners' class, so I'll take this time to talk about ballet and marriage. response:	Ballet and marriage are inextricably intertwined.
context: But you...\Kraehe, go to the human world as a human girl and win the prince's love.\Yes, Father.\And if you should ever get hold of a shard of the prince's heart, bring it to me.\Because I have a task to perform in preparation for your wedding to him.\Yes.\It's the first day of lessons for those in the beginners' class, so I'll take this time to talk about ballet and marriage.\Ballet and marriage are inextricably intertwined. response:	In other words, ballet equals marriage!
context: Kraehe, go to the human world as a human girl and win the prince's love.\Yes, Father.\And if you should ever get hold of a shard of the prince's heart, bring it to me.\Because I have a task to perform in preparation for your wedding to him.\Yes.\It's the first day of lessons for those in the beginners' class, so I'll take this time to talk about ballet and marriage.\Ballet and marriage are inextricably intertwined.\In other words, ballet equals marriage! response:	Hello, Rue.
context: Yes, Father.\And if you should ever get hold of a shard of the prince's heart, bring it to me.\Because I have a task to perform in preparation for your wedding to him.\Yes.\It's the first day of lessons for those in the beginners' class, so I'll take this time to talk about ballet and marriage.\Ballet and marriage are inextricably intertwined.\In other words, ballet equals marriage!\Hello, Rue. response:	We'll be able to see each other every day from now on, my prince.
context: And if you should ever get hold of a shard of the prince's heart, bring it to me.\Because I have a task to perform in preparation for your wedding to him.\Yes.\It's the first day of lessons for those in the beginners' class, so I'll take this time to talk about ballet and marriage.\Ballet and marriage are inextricably intertwined.\In other words, ballet equals marriage!\Hello, Rue.\We'll be able to see each other every day from now on, my prince. response:	Mytho.
context: Because I have a task to perform in preparation for your wedding to him.\Yes.\It's the first day of lessons for those in the beginners' class, so I'll take this time to talk about ballet and marriage.\Ballet and marriage are inextricably intertwined.\In other words, ballet equals marriage!\Hello, Rue.\We'll be able to see each other every day from now on, my prince.\Mytho. response:	If you ever call Mytho prince again, you'll be sorry.
context: Yes.\It's the first day of lessons for those in the beginners' class, so I'll take this time to talk about ballet and marriage.\Ballet and marriage are inextricably intertwined.\In other words, ballet equals marriage!\Hello, Rue.\We'll be able to see each other every day from now on, my prince.\Mytho.\If you ever call Mytho prince again, you'll be sorry. response:	Then I won't do it if you won't get in our way.
context: It's the first day of lessons for those in the beginners' class, so I'll take this time to talk about ballet and marriage.\Ballet and marriage are inextricably intertwined.\In other words, ballet equals marriage!\Hello, Rue.\We'll be able to see each other every day from now on, my prince.\Mytho.\If you ever call Mytho prince again, you'll be sorry.\Then I won't do it if you won't get in our way. response:	I didn't want anyone to know I was a crow...
context: Ballet and marriage are inextricably intertwined.\In other words, ballet equals marriage!\Hello, Rue.\We'll be able to see each other every day from now on, my prince.\Mytho.\If you ever call Mytho prince again, you'll be sorry.\Then I won't do it if you won't get in our way.\I didn't want anyone to know I was a crow... response:	So I sealed away the memories.
