context: Let's eat! response:	Yum!
context: mystery ingredients, you're the best in Japan, dear!\The trick is to chop everything finely and mix them in with potatoes.\Your croquettes really are great, ma'am!\I'm glad you think so. Please, eat all you like.\Oh, I'm already full.\Thanks for the meal.\If you're done eating, Ryuko, the bath is drawn and ready.\Oh. Sure. response:	The bath?!
context: The trick is to chop everything finely and mix them in with potatoes.\Your croquettes really are great, ma'am!\I'm glad you think so. Please, eat all you like.\Oh, I'm already full.\Thanks for the meal.\If you're done eating, Ryuko, the bath is drawn and ready.\Oh. Sure.\The bath?! response:	What is it? What is so funny?
context: Your croquettes really are great, ma'am!\I'm glad you think so. Please, eat all you like.\Oh, I'm already full.\Thanks for the meal.\If you're done eating, Ryuko, the bath is drawn and ready.\Oh. Sure.\The bath?!\What is it? What is so funny? response:	Lively dinners are a great thing.
context: I'm glad you think so. Please, eat all you like.\Oh, I'm already full.\Thanks for the meal.\If you're done eating, Ryuko, the bath is drawn and ready.\Oh. Sure.\The bath?!\What is it? What is so funny?\Lively dinners are a great thing. response:	Mom died when I was young,
context: Oh, I'm already full.\Thanks for the meal.\If you're done eating, Ryuko, the bath is drawn and ready.\Oh. Sure.\The bath?!\What is it? What is so funny?\Lively dinners are a great thing.\Mom died when I was young, response:	and Dad sent me off to a boarding school.
context: Thanks for the meal.\If you're done eating, Ryuko, the bath is drawn and ready.\Oh. Sure.\The bath?!\What is it? What is so funny?\Lively dinners are a great thing.\Mom died when I was young,\and Dad sent me off to a boarding school. response:	So I don't have any experience with family dinners.
context: If you're done eating, Ryuko, the bath is drawn and ready.\Oh. Sure.\The bath?!\What is it? What is so funny?\Lively dinners are a great thing.\Mom died when I was young,\and Dad sent me off to a boarding school.\So I don't have any experience with family dinners. response:	I always thought that was pretty ordinary.
context: Oh. Sure.\The bath?!\What is it? What is so funny?\Lively dinners are a great thing.\Mom died when I was young,\and Dad sent me off to a boarding school.\So I don't have any experience with family dinners.\I always thought that was pretty ordinary. response:	Now I think meals taste better when eating with whole family...
context: The bath?!\What is it? What is so funny?\Lively dinners are a great thing.\Mom died when I was young,\and Dad sent me off to a boarding school.\So I don't have any experience with family dinners.\I always thought that was pretty ordinary.\Now I think meals taste better when eating with whole family... response:	However...
context: What is it? What is so funny?\Lively dinners are a great thing.\Mom died when I was young,\and Dad sent me off to a boarding school.\So I don't have any experience with family dinners.\I always thought that was pretty ordinary.\Now I think meals taste better when eating with whole family...\However... response:	I don't need the damn peeping toms!
context: Lively dinners are a great thing.\Mom died when I was young,\and Dad sent me off to a boarding school.\So I don't have any experience with family dinners.\I always thought that was pretty ordinary.\Now I think meals taste better when eating with whole family...\However...\I don't need the damn peeping toms! response:	We're sorry!
context: Mom died when I was young,\and Dad sent me off to a boarding school.\So I don't have any experience with family dinners.\I always thought that was pretty ordinary.\Now I think meals taste better when eating with whole family...\However...\I don't need the damn peeping toms!\We're sorry! response:	EPISODE 7 A LOSER I CAN'T HATE
context: and Dad sent me off to a boarding school.\So I don't have any experience with family dinners.\I always thought that was pretty ordinary.\Now I think meals taste better when eating with whole family...\However...\I don't need the damn peeping toms!\We're sorry!\EPISODE 7 A LOSER I CAN'T HATE response:	That looks good!
context: So I don't have any experience with family dinners.\I always thought that was pretty ordinary.\Now I think meals taste better when eating with whole family...\However...\I don't need the damn peeping toms!\We're sorry!\EPISODE 7 A LOSER I CAN'T HATE\That looks good! response:	Let's eat!
context: I always thought that was pretty ordinary.\Now I think meals taste better when eating with whole family...\However...\I don't need the damn peeping toms!\We're sorry!\EPISODE 7 A LOSER I CAN'T HATE\That looks good!\Let's eat! response:	Shing!
context: Now I think meals taste better when eating with whole family...\However...\I don't need the damn peeping toms!\We're sorry!\EPISODE 7 A LOSER I CAN'T HATE\That looks good!\Let's eat!\Shing! response:	Ryuko Matoi!
context: However...\I don't need the damn peeping toms!\We're sorry!\EPISODE 7 A LOSER I CAN'T HATE\That looks good!\Let's eat!\Shing!\Ryuko Matoi! response:	Jack Naito, president of the Knife Throwing Club, will take you down!
context: I don't need the damn peeping toms!\We're sorry!\EPISODE 7 A LOSER I CAN'T HATE\That looks good!\Let's eat!\Shing!\Ryuko Matoi!\Jack Naito, president of the Knife Throwing Club, will take you down! response:	KNIFE THROWING CLUB PRESIDENT JACK NAITO
context: We're sorry!\EPISODE 7 A LOSER I CAN'T HATE\That looks good!\Let's eat!\Shing!\Ryuko Matoi!\Jack Naito, president of the Knife Throwing Club, will take you down!\KNIFE THROWING CLUB PRESIDENT JACK NAITO response:	You've got some nerve,
context: EPISODE 7 A LOSER I CAN'T HATE\That looks good!\Let's eat!\Shing!\Ryuko Matoi!\Jack Naito, president of the Knife Throwing Club, will take you down!\KNIFE THROWING CLUB PRESIDENT JACK NAITO\You've got some nerve, response:	ruining the lunch that Mako's mom made for me!
context: That looks good!\Let's eat!\Shing!\Ryuko Matoi!\Jack Naito, president of the Knife Throwing Club, will take you down!\KNIFE THROWING CLUB PRESIDENT JACK NAITO\You've got some nerve,\ruining the lunch that Mako's mom made for me! response:	You'll pay for that!
context: Let's eat!\Shing!\Ryuko Matoi!\Jack Naito, president of the Knife Throwing Club, will take you down!\KNIFE THROWING CLUB PRESIDENT JACK NAITO\You've got some nerve,\ruining the lunch that Mako's mom made for me!\You'll pay for that! response:	Life Fiber Synchronize, Kamui Senketsu!
context: Shing!\Ryuko Matoi!\Jack Naito, president of the Knife Throwing Club, will take you down!\KNIFE THROWING CLUB PRESIDENT JACK NAITO\You've got some nerve,\ruining the lunch that Mako's mom made for me!\You'll pay for that!\Life Fiber Synchronize, Kamui Senketsu! response:	KAMUI SENKETSU
context: Ryuko Matoi!\Jack Naito, president of the Knife Throwing Club, will take you down!\KNIFE THROWING CLUB PRESIDENT JACK NAITO\You've got some nerve,\ruining the lunch that Mako's mom made for me!\You'll pay for that!\Life Fiber Synchronize, Kamui Senketsu!\KAMUI SENKETSU response:	Shing!
context: Jack Naito, president of the Knife Throwing Club, will take you down!\KNIFE THROWING CLUB PRESIDENT JACK NAITO\You've got some nerve,\ruining the lunch that Mako's mom made for me!\You'll pay for that!\Life Fiber Synchronize, Kamui Senketsu!\KAMUI SENKETSU\Shing! response:	Sen-i-Soshitsu!
context: KNIFE THROWING CLUB PRESIDENT JACK NAITO\You've got some nerve,\ruining the lunch that Mako's mom made for me!\You'll pay for that!\Life Fiber Synchronize, Kamui Senketsu!\KAMUI SENKETSU\Shing!\Sen-i-Soshitsu! response:	SEN-I-SOSHITSU (FIBER LOST)
context: You've got some nerve,\ruining the lunch that Mako's mom made for me!\You'll pay for that!\Life Fiber Synchronize, Kamui Senketsu!\KAMUI SENKETSU\Shing!\Sen-i-Soshitsu!\SEN-I-SOSHITSU (FIBER LOST) response:	Impressive!
context: ruining the lunch that Mako's mom made for me!\You'll pay for that!\Life Fiber Synchronize, Kamui Senketsu!\KAMUI SENKETSU\Shing!\Sen-i-Soshitsu!\SEN-I-SOSHITSU (FIBER LOST)\Impressive! response:	The one who will defeat you is me,
context: You'll pay for that!\Life Fiber Synchronize, Kamui Senketsu!\KAMUI SENKETSU\Shing!\Sen-i-Soshitsu!\SEN-I-SOSHITSU (FIBER LOST)\Impressive!\The one who will defeat you is me, response:	NANJING LILY CLUB PRESIDENT
context: Life Fiber Synchronize, Kamui Senketsu!\KAMUI SENKETSU\Shing!\Sen-i-Soshitsu!\SEN-I-SOSHITSU (FIBER LOST)\Impressive!\The one who will defeat you is me,\NANJING LILY CLUB PRESIDENT response:	KAGESABURO KAGERO
context: KAMUI SENKETSU\Shing!\Sen-i-Soshitsu!\SEN-I-SOSHITSU (FIBER LOST)\Impressive!\The one who will defeat you is me,\NANJING LILY CLUB PRESIDENT\KAGESABURO KAGERO response:	Nanjing Lily Club President Kagesaburo Kagero!
context: Shing!\Sen-i-Soshitsu!\SEN-I-SOSHITSU (FIBER LOST)\Impressive!\The one who will defeat you is me,\NANJING LILY CLUB PRESIDENT\KAGESABURO KAGERO\Nanjing Lily Club President Kagesaburo Kagero! response:	Sen-i-Soshitsu.
context: Sen-i-Soshitsu!\SEN-I-SOSHITSU (FIBER LOST)\Impressive!\The one who will defeat you is me,\NANJING LILY CLUB PRESIDENT\KAGESABURO KAGERO\Nanjing Lily Club President Kagesaburo Kagero!\Sen-i-Soshitsu. response:	SEN-I-SOSHITSU (FIBER LOST)
context: SEN-I-SOSHITSU (FIBER LOST)\Impressive!\The one who will defeat you is me,\NANJING LILY CLUB PRESIDENT\KAGESABURO KAGERO\Nanjing Lily Club President Kagesaburo Kagero!\Sen-i-Soshitsu.\SEN-I-SOSHITSU (FIBER LOST) response:	TIGHTROPE WALKING CLUB PRESIDENT MASUYO WATARI
context: Impressive!\The one who will defeat you is me,\NANJING LILY CLUB PRESIDENT\KAGESABURO KAGERO\Nanjing Lily Club President Kagesaburo Kagero!\Sen-i-Soshitsu.\SEN-I-SOSHITSU (FIBER LOST)\TIGHTROPE WALKING CLUB PRESIDENT MASUYO WATARI response:	I am president of the Tightrope Walking Club!
context: The one who will defeat you is me,\NANJING LILY CLUB PRESIDENT\KAGESABURO KAGERO\Nanjing Lily Club President Kagesaburo Kagero!\Sen-i-Soshitsu.\SEN-I-SOSHITSU (FIBER LOST)\TIGHTROPE WALKING CLUB PRESIDENT MASUYO WATARI\I am president of the Tightrope Walking Club! response:	Sen-i-Soshitsu!
context: NANJING LILY CLUB PRESIDENT\KAGESABURO KAGERO\Nanjing Lily Club President Kagesaburo Kagero!\Sen-i-Soshitsu.\SEN-I-SOSHITSU (FIBER LOST)\TIGHTROPE WALKING CLUB PRESIDENT MASUYO WATARI\I am president of the Tightrope Walking Club!\Sen-i-Soshitsu! response:	SEN-I-SOSHITSU (FIBER LOST)
context: KAGESABURO KAGERO\Nanjing Lily Club President Kagesaburo Kagero!\Sen-i-Soshitsu.\SEN-I-SOSHITSU (FIBER LOST)\TIGHTROPE WALKING CLUB PRESIDENT MASUYO WATARI\I am president of the Tightrope Walking Club!\Sen-i-Soshitsu!\SEN-I-SOSHITSU (FIBER LOST) response:	A Knife Throwing Club, a Nanjing Lily Club, and a Tightrope Walking club?
context: Nanjing Lily Club President Kagesaburo Kagero!\Sen-i-Soshitsu.\SEN-I-SOSHITSU (FIBER LOST)\TIGHTROPE WALKING CLUB PRESIDENT MASUYO WATARI\I am president of the Tightrope Walking Club!\Sen-i-Soshitsu!\SEN-I-SOSHITSU (FIBER LOST)\A Knife Throwing Club, a Nanjing Lily Club, and a Tightrope Walking club? response:	What's the deal with all these ultra-specific clubs?
context: Sen-i-Soshitsu.\SEN-I-SOSHITSU (FIBER LOST)\TIGHTROPE WALKING CLUB PRESIDENT MASUYO WATARI\I am president of the Tightrope Walking Club!\Sen-i-Soshitsu!\SEN-I-SOSHITSU (FIBER LOST)\A Knife Throwing Club, a Nanjing Lily Club, and a Tightrope Walking club?\What's the deal with all these ultra-specific clubs? response:	Oh, those guys used to be the Acrobatics Club.
context: SEN-I-SOSHITSU (FIBER LOST)\TIGHTROPE WALKING CLUB PRESIDENT MASUYO WATARI\I am president of the Tightrope Walking Club!\Sen-i-Soshitsu!\SEN-I-SOSHITSU (FIBER LOST)\A Knife Throwing Club, a Nanjing Lily Club, and a Tightrope Walking club?\What's the deal with all these ultra-specific clubs?\Oh, those guys used to be the Acrobatics Club. response:	They split up because of you.
context: TIGHTROPE WALKING CLUB PRESIDENT MASUYO WATARI\I am president of the Tightrope Walking Club!\Sen-i-Soshitsu!\SEN-I-SOSHITSU (FIBER LOST)\A Knife Throwing Club, a Nanjing Lily Club, and a Tightrope Walking club?\What's the deal with all these ultra-specific clubs?\Oh, those guys used to be the Acrobatics Club.\They split up because of you. response:	Because of me?
context: I am president of the Tightrope Walking Club!\Sen-i-Soshitsu!\SEN-I-SOSHITSU (FIBER LOST)\A Knife Throwing Club, a Nanjing Lily Club, and a Tightrope Walking club?\What's the deal with all these ultra-specific clubs?\Oh, those guys used to be the Acrobatics Club.\They split up because of you.\Because of me? response:	Yep. If someone beats you,
context: Sen-i-Soshitsu!\SEN-I-SOSHITSU (FIBER LOST)\A Knife Throwing Club, a Nanjing Lily Club, and a Tightrope Walking club?\What's the deal with all these ultra-specific clubs?\Oh, those guys used to be the Acrobatics Club.\They split up because of you.\Because of me?\Yep. If someone beats you, response:	they'll jump up to Three-Star status.
context: SEN-I-SOSHITSU (FIBER LOST)\A Knife Throwing Club, a Nanjing Lily Club, and a Tightrope Walking club?\What's the deal with all these ultra-specific clubs?\Oh, those guys used to be the Acrobatics Club.\They split up because of you.\Because of me?\Yep. If someone beats you,\they'll jump up to Three-Star status. response:	But since you can't get a
context: A Knife Throwing Club, a Nanjing Lily Club, and a Tightrope Walking club?\What's the deal with all these ultra-specific clubs?\Oh, those guys used to be the Acrobatics Club.\They split up because of you.\Because of me?\Yep. If someone beats you,\they'll jump up to Three-Star status.\But since you can't get a response:	Two-Star Goku Uniform unless you're a club president,
context: What's the deal with all these ultra-specific clubs?\Oh, those guys used to be the Acrobatics Club.\They split up because of you.\Because of me?\Yep. If someone beats you,\they'll jump up to Three-Star status.\But since you can't get a\Two-Star Goku Uniform unless you're a club president, response:	they all founded new clubs and are gunning for you.
context: Oh, those guys used to be the Acrobatics Club.\They split up because of you.\Because of me?\Yep. If someone beats you,\they'll jump up to Three-Star status.\But since you can't get a\Two-Star Goku Uniform unless you're a club president,\they all founded new clubs and are gunning for you. response:	Say what?
context: They split up because of you.\Because of me?\Yep. If someone beats you,\they'll jump up to Three-Star status.\But since you can't get a\Two-Star Goku Uniform unless you're a club president,\they all founded new clubs and are gunning for you.\Say what? response:	More stars means a better life.
context: Because of me?\Yep. If someone beats you,\they'll jump up to Three-Star status.\But since you can't get a\Two-Star Goku Uniform unless you're a club president,\they all founded new clubs and are gunning for you.\Say what?\More stars means a better life. response:	They're all desperate.
context: Yep. If someone beats you,\they'll jump up to Three-Star status.\But since you can't get a\Two-Star Goku Uniform unless you're a club president,\they all founded new clubs and are gunning for you.\Say what?\More stars means a better life.\They're all desperate. response:	Man, this academy's system is seriously messed up.
context: they'll jump up to Three-Star status.\But since you can't get a\Two-Star Goku Uniform unless you're a club president,\they all founded new clubs and are gunning for you.\Say what?\More stars means a better life.\They're all desperate.\Man, this academy's system is seriously messed up. response:	Hey, hang on! If that's how it works, then...
context: But since you can't get a\Two-Star Goku Uniform unless you're a club president,\they all founded new clubs and are gunning for you.\Say what?\More stars means a better life.\They're all desperate.\Man, this academy's system is seriously messed up.\Hey, hang on! If that's how it works, then... response:	FIGHT CLUB
context: Two-Star Goku Uniform unless you're a club president,\they all founded new clubs and are gunning for you.\Say what?\More stars means a better life.\They're all desperate.\Man, this academy's system is seriously messed up.\Hey, hang on! If that's how it works, then...\FIGHT CLUB response:	What are you playing at, Matoi?
context: they all founded new clubs and are gunning for you.\Say what?\More stars means a better life.\They're all desperate.\Man, this academy's system is seriously messed up.\Hey, hang on! If that's how it works, then...\FIGHT CLUB\What are you playing at, Matoi? response:	You have eyes, don't you?
context: Say what?\More stars means a better life.\They're all desperate.\Man, this academy's system is seriously messed up.\Hey, hang on! If that's how it works, then...\FIGHT CLUB\What are you playing at, Matoi?\You have eyes, don't you? response:	I'm starting a Fight Club.
context: More stars means a better life.\They're all desperate.\Man, this academy's system is seriously messed up.\Hey, hang on! If that's how it works, then...\FIGHT CLUB\What are you playing at, Matoi?\You have eyes, don't you?\I'm starting a Fight Club. response:	Quit trying to screw with us.
context: They're all desperate.\Man, this academy's system is seriously messed up.\Hey, hang on! If that's how it works, then...\FIGHT CLUB\What are you playing at, Matoi?\You have eyes, don't you?\I'm starting a Fight Club.\Quit trying to screw with us. response:	You're the ones who are screwing with me!
context: Man, this academy's system is seriously messed up.\Hey, hang on! If that's how it works, then...\FIGHT CLUB\What are you playing at, Matoi?\You have eyes, don't you?\I'm starting a Fight Club.\Quit trying to screw with us.\You're the ones who are screwing with me! response:	You're forcing students to start stupid clubs to go after me.
context: Hey, hang on! If that's how it works, then...\FIGHT CLUB\What are you playing at, Matoi?\You have eyes, don't you?\I'm starting a Fight Club.\Quit trying to screw with us.\You're the ones who are screwing with me!\You're forcing students to start stupid clubs to go after me. response:	So I'm gonna do the same.
context: FIGHT CLUB\What are you playing at, Matoi?\You have eyes, don't you?\I'm starting a Fight Club.\Quit trying to screw with us.\You're the ones who are screwing with me!\You're forcing students to start stupid clubs to go after me.\So I'm gonna do the same. response:	FIGHT CLUB PRESIDENT RYUKO MATOI
context: What are you playing at, Matoi?\You have eyes, don't you?\I'm starting a Fight Club.\Quit trying to screw with us.\You're the ones who are screwing with me!\You're forcing students to start stupid clubs to go after me.\So I'm gonna do the same.\FIGHT CLUB PRESIDENT RYUKO MATOI response:	Say hello to Fight Club President Ryuko Matoi!
context: You have eyes, don't you?\I'm starting a Fight Club.\Quit trying to screw with us.\You're the ones who are screwing with me!\You're forcing students to start stupid clubs to go after me.\So I'm gonna do the same.\FIGHT CLUB PRESIDENT RYUKO MATOI\Say hello to Fight Club President Ryuko Matoi! response:	Do you seriously think that a club like that will be approved?
context: I'm starting a Fight Club.\Quit trying to screw with us.\You're the ones who are screwing with me!\You're forcing students to start stupid clubs to go after me.\So I'm gonna do the same.\FIGHT CLUB PRESIDENT RYUKO MATOI\Say hello to Fight Club President Ryuko Matoi!\Do you seriously think that a club like that will be approved? response:	I'll approve this Fight Club!
context: Quit trying to screw with us.\You're the ones who are screwing with me!\You're forcing students to start stupid clubs to go after me.\So I'm gonna do the same.\FIGHT CLUB PRESIDENT RYUKO MATOI\Say hello to Fight Club President Ryuko Matoi!\Do you seriously think that a club like that will be approved?\I'll approve this Fight Club! response:	There she goes again, looking down at us peasants from on high...
context: You're the ones who are screwing with me!\You're forcing students to start stupid clubs to go after me.\So I'm gonna do the same.\FIGHT CLUB PRESIDENT RYUKO MATOI\Say hello to Fight Club President Ryuko Matoi!\Do you seriously think that a club like that will be approved?\I'll approve this Fight Club!\There she goes again, looking down at us peasants from on high... response:	Are you trying to integrate into my system, Matoi?
context: You're forcing students to start stupid clubs to go after me.\So I'm gonna do the same.\FIGHT CLUB PRESIDENT RYUKO MATOI\Say hello to Fight Club President Ryuko Matoi!\Do you seriously think that a club like that will be approved?\I'll approve this Fight Club!\There she goes again, looking down at us peasants from on high...\Are you trying to integrate into my system, Matoi? response:	Moron!
context: So I'm gonna do the same.\FIGHT CLUB PRESIDENT RYUKO MATOI\Say hello to Fight Club President Ryuko Matoi!\Do you seriously think that a club like that will be approved?\I'll approve this Fight Club!\There she goes again, looking down at us peasants from on high...\Are you trying to integrate into my system, Matoi?\Moron! response:	I'm gonna bring your precious system down around your ears!
context: FIGHT CLUB PRESIDENT RYUKO MATOI\Say hello to Fight Club President Ryuko Matoi!\Do you seriously think that a club like that will be approved?\I'll approve this Fight Club!\There she goes again, looking down at us peasants from on high...\Are you trying to integrate into my system, Matoi?\Moron!\I'm gonna bring your precious system down around your ears! response:	How amusing.
context: Say hello to Fight Club President Ryuko Matoi!\Do you seriously think that a club like that will be approved?\I'll approve this Fight Club!\There she goes again, looking down at us peasants from on high...\Are you trying to integrate into my system, Matoi?\Moron!\I'm gonna bring your precious system down around your ears!\How amusing. response:	Try your best not to let it get the better of you.
context: Do you seriously think that a club like that will be approved?\I'll approve this Fight Club!\There she goes again, looking down at us peasants from on high...\Are you trying to integrate into my system, Matoi?\Moron!\I'm gonna bring your precious system down around your ears!\How amusing.\Try your best not to let it get the better of you. response:	Just you watch...
context: I'll approve this Fight Club!\There she goes again, looking down at us peasants from on high...\Are you trying to integrate into my system, Matoi?\Moron!\I'm gonna bring your precious system down around your ears!\How amusing.\Try your best not to let it get the better of you.\Just you watch... response:	I'm gonna make you spill the beans in no time!
context: There she goes again, looking down at us peasants from on high...\Are you trying to integrate into my system, Matoi?\Moron!\I'm gonna bring your precious system down around your ears!\How amusing.\Try your best not to let it get the better of you.\Just you watch...\I'm gonna make you spill the beans in no time! response:	Very well, let's begin the paperwork!
context: Are you trying to integrate into my system, Matoi?\Moron!\I'm gonna bring your precious system down around your ears!\How amusing.\Try your best not to let it get the better of you.\Just you watch...\I'm gonna make you spill the beans in no time!\Very well, let's begin the paperwork! response:	FIGHT CLUB
context: Moron!\I'm gonna bring your precious system down around your ears!\How amusing.\Try your best not to let it get the better of you.\Just you watch...\I'm gonna make you spill the beans in no time!\Very well, let's begin the paperwork!\FIGHT CLUB response:	You switch gears real fast, don'tcha?
context: I'm gonna bring your precious system down around your ears!\How amusing.\Try your best not to let it get the better of you.\Just you watch...\I'm gonna make you spill the beans in no time!\Very well, let's begin the paperwork!\FIGHT CLUB\You switch gears real fast, don'tcha? response:	Lady Satsuki has spoken. I must abide by her decision.
context: How amusing.\Try your best not to let it get the better of you.\Just you watch...\I'm gonna make you spill the beans in no time!\Very well, let's begin the paperwork!\FIGHT CLUB\You switch gears real fast, don'tcha?\Lady Satsuki has spoken. I must abide by her decision. response:	Matoi! I assume you will be president of Fight Club, then?
context: Try your best not to let it get the better of you.\Just you watch...\I'm gonna make you spill the beans in no time!\Very well, let's begin the paperwork!\FIGHT CLUB\You switch gears real fast, don'tcha?\Lady Satsuki has spoken. I must abide by her decision.\Matoi! I assume you will be president of Fight Club, then? response:	Yeah. And I don't need no Goku Uniform.
context: Just you watch...\I'm gonna make you spill the beans in no time!\Very well, let's begin the paperwork!\FIGHT CLUB\You switch gears real fast, don'tcha?\Lady Satsuki has spoken. I must abide by her decision.\Matoi! I assume you will be president of Fight Club, then?\Yeah. And I don't need no Goku Uniform. response:	I already got my Kamui.
context: I'm gonna make you spill the beans in no time!\Very well, let's begin the paperwork!\FIGHT CLUB\You switch gears real fast, don'tcha?\Lady Satsuki has spoken. I must abide by her decision.\Matoi! I assume you will be president of Fight Club, then?\Yeah. And I don't need no Goku Uniform.\I already got my Kamui. response:	Understood.
context: Very well, let's begin the paperwork!\FIGHT CLUB\You switch gears real fast, don'tcha?\Lady Satsuki has spoken. I must abide by her decision.\Matoi! I assume you will be president of Fight Club, then?\Yeah. And I don't need no Goku Uniform.\I already got my Kamui.\Understood. response:	DOCUMENTATION
context: FIGHT CLUB\You switch gears real fast, don'tcha?\Lady Satsuki has spoken. I must abide by her decision.\Matoi! I assume you will be president of Fight Club, then?\Yeah. And I don't need no Goku Uniform.\I already got my Kamui.\Understood.\DOCUMENTATION response:	Club presidents are to submit a club activity log every Friday.
context: You switch gears real fast, don'tcha?\Lady Satsuki has spoken. I must abide by her decision.\Matoi! I assume you will be president of Fight Club, then?\Yeah. And I don't need no Goku Uniform.\I already got my Kamui.\Understood.\DOCUMENTATION\Club presidents are to submit a club activity log every Friday. response:	At the end of each month, expenses are settled and expense
context: Lady Satsuki has spoken. I must abide by her decision.\Matoi! I assume you will be president of Fight Club, then?\Yeah. And I don't need no Goku Uniform.\I already got my Kamui.\Understood.\DOCUMENTATION\Club presidents are to submit a club activity log every Friday.\At the end of each month, expenses are settled and expense response:	applications for the next month are filed.
context: Matoi! I assume you will be president of Fight Club, then?\Yeah. And I don't need no Goku Uniform.\I already got my Kamui.\Understood.\DOCUMENTATION\Club presidents are to submit a club activity log every Friday.\At the end of each month, expenses are settled and expense\applications for the next month are filed. response:	You must also file a club room use request form,
context: Yeah. And I don't need no Goku Uniform.\I already got my Kamui.\Understood.\DOCUMENTATION\Club presidents are to submit a club activity log every Friday.\At the end of each month, expenses are settled and expense\applications for the next month are filed.\You must also file a club room use request form, response:	club member organization chart, and family member lists.
context: I already got my Kamui.\Understood.\DOCUMENTATION\Club presidents are to submit a club activity log every Friday.\At the end of each month, expenses are settled and expense\applications for the next month are filed.\You must also file a club room use request form,\club member organization chart, and family member lists. response:	You are also required to attend Club President Council meetings,
context: Understood.\DOCUMENTATION\Club presidents are to submit a club activity log every Friday.\At the end of each month, expenses are settled and expense\applications for the next month are filed.\You must also file a club room use request form,\club member organization chart, and family member lists.\You are also required to attend Club President Council meetings, response:	which are held every morning at 7am!
context: DOCUMENTATION\Club presidents are to submit a club activity log every Friday.\At the end of each month, expenses are settled and expense\applications for the next month are filed.\You must also file a club room use request form,\club member organization chart, and family member lists.\You are also required to attend Club President Council meetings,\which are held every morning at 7am! response:	Tardiness will not be tolerated!
context: Club presidents are to submit a club activity log every Friday.\At the end of each month, expenses are settled and expense\applications for the next month are filed.\You must also file a club room use request form,\club member organization chart, and family member lists.\You are also required to attend Club President Council meetings,\which are held every morning at 7am!\Tardiness will not be tolerated! response:	Um, my friend here, Mako Mankanshoku, says she'll be club president!
context: At the end of each month, expenses are settled and expense\applications for the next month are filed.\You must also file a club room use request form,\club member organization chart, and family member lists.\You are also required to attend Club President Council meetings,\which are held every morning at 7am!\Tardiness will not be tolerated!\Um, my friend here, Mako Mankanshoku, says she'll be club president! response:	That was so, so mean!
context: applications for the next month are filed.\You must also file a club room use request form,\club member organization chart, and family member lists.\You are also required to attend Club President Council meetings,\which are held every morning at 7am!\Tardiness will not be tolerated!\Um, my friend here, Mako Mankanshoku, says she'll be club president!\That was so, so mean! response:	How could you make me president like that, Ryuko?
context: You must also file a club room use request form,\club member organization chart, and family member lists.\You are also required to attend Club President Council meetings,\which are held every morning at 7am!\Tardiness will not be tolerated!\Um, my friend here, Mako Mankanshoku, says she'll be club president!\That was so, so mean!\How could you make me president like that, Ryuko? response:	Everything's set up.
context: club member organization chart, and family member lists.\You are also required to attend Club President Council meetings,\which are held every morning at 7am!\Tardiness will not be tolerated!\Um, my friend here, Mako Mankanshoku, says she'll be club president!\That was so, so mean!\How could you make me president like that, Ryuko?\Everything's set up. response:	The focus of Fight Club is fighting.
