context: Now, why don't you come with me, tiger boy? response:	Now, why don't you come with me, tiger boy?
context: I'm with the Agency.\What a barbaric nation.\For such a young girl to be so...\You, wait!\Oh, dear.\I've been looking for you.\Where were you all this time?\In alleyways and slums. response:	Where I used to be.
context: What a barbaric nation.\For such a young girl to be so...\You, wait!\Oh, dear.\I've been looking for you.\Where were you all this time?\In alleyways and slums.\Where I used to be. response:	But I didn't belong there anymore.
context: For such a young girl to be so...\You, wait!\Oh, dear.\I've been looking for you.\Where were you all this time?\In alleyways and slums.\Where I used to be.\But I didn't belong there anymore. response:	I called the city police from the shop phone.
context: You, wait!\Oh, dear.\I've been looking for you.\Where were you all this time?\In alleyways and slums.\Where I used to be.\But I didn't belong there anymore.\I called the city police from the shop phone. response:	It won't be so easy for the Guild with the police around.
context: Oh, dear.\I've been looking for you.\Where were you all this time?\In alleyways and slums.\Where I used to be.\But I didn't belong there anymore.\I called the city police from the shop phone.\It won't be so easy for the Guild with the police around. response:	Kyouka-chan...
context: I've been looking for you.\Where were you all this time?\In alleyways and slums.\Where I used to be.\But I didn't belong there anymore.\I called the city police from the shop phone.\It won't be so easy for the Guild with the police around.\Kyouka-chan... response:	You could have stayed out of the war if you just stayed missing.
context: Where were you all this time?\In alleyways and slums.\Where I used to be.\But I didn't belong there anymore.\I called the city police from the shop phone.\It won't be so easy for the Guild with the police around.\Kyouka-chan...\You could have stayed out of the war if you just stayed missing. response:	The Agency is my only home.
context: In alleyways and slums.\Where I used to be.\But I didn't belong there anymore.\I called the city police from the shop phone.\It won't be so easy for the Guild with the police around.\Kyouka-chan...\You could have stayed out of the war if you just stayed missing.\The Agency is my only home. response:	Kyouka will soon kill many people.
context: Where I used to be.\But I didn't belong there anymore.\I called the city police from the shop phone.\It won't be so easy for the Guild with the police around.\Kyouka-chan...\You could have stayed out of the war if you just stayed missing.\The Agency is my only home.\Kyouka will soon kill many people. response:	So long as her abilities are darkly entangled within her soul,
context: But I didn't belong there anymore.\I called the city police from the shop phone.\It won't be so easy for the Guild with the police around.\Kyouka-chan...\You could have stayed out of the war if you just stayed missing.\The Agency is my only home.\Kyouka will soon kill many people.\So long as her abilities are darkly entangled within her soul, response:	she will never escape the darkness.
context: I called the city police from the shop phone.\It won't be so easy for the Guild with the police around.\Kyouka-chan...\You could have stayed out of the war if you just stayed missing.\The Agency is my only home.\Kyouka will soon kill many people.\So long as her abilities are darkly entangled within her soul,\she will never escape the darkness. response:	For the first time in my life, I aspire to be something.
context: It won't be so easy for the Guild with the police around.\Kyouka-chan...\You could have stayed out of the war if you just stayed missing.\The Agency is my only home.\Kyouka will soon kill many people.\So long as her abilities are darkly entangled within her soul,\she will never escape the darkness.\For the first time in my life, I aspire to be something. response:	So I will fight.
context: Kyouka-chan...\You could have stayed out of the war if you just stayed missing.\The Agency is my only home.\Kyouka will soon kill many people.\So long as her abilities are darkly entangled within her soul,\she will never escape the darkness.\For the first time in my life, I aspire to be something.\So I will fight. response:	Even if that means I have to use everything that lurks within me.
context: You could have stayed out of the war if you just stayed missing.\The Agency is my only home.\Kyouka will soon kill many people.\So long as her abilities are darkly entangled within her soul,\she will never escape the darkness.\For the first time in my life, I aspire to be something.\So I will fight.\Even if that means I have to use everything that lurks within me. response:	They're here.
context: The Agency is my only home.\Kyouka will soon kill many people.\So long as her abilities are darkly entangled within her soul,\she will never escape the darkness.\For the first time in my life, I aspire to be something.\So I will fight.\Even if that means I have to use everything that lurks within me.\They're here. response:	Excuse me.
context: Kyouka will soon kill many people.\So long as her abilities are darkly entangled within her soul,\she will never escape the darkness.\For the first time in my life, I aspire to be something.\So I will fight.\Even if that means I have to use everything that lurks within me.\They're here.\Excuse me. response:	What happened?
context: So long as her abilities are darkly entangled within her soul,\she will never escape the darkness.\For the first time in my life, I aspire to be something.\So I will fight.\Even if that means I have to use everything that lurks within me.\They're here.\Excuse me.\What happened? response:	We were attacked with weapons.
context: she will never escape the darkness.\For the first time in my life, I aspire to be something.\So I will fight.\Even if that means I have to use everything that lurks within me.\They're here.\Excuse me.\What happened?\We were attacked with weapons. response:	What?
context: For the first time in my life, I aspire to be something.\So I will fight.\Even if that means I have to use everything that lurks within me.\They're here.\Excuse me.\What happened?\We were attacked with weapons.\What? response:	Captain!
context: So I will fight.\Even if that means I have to use everything that lurks within me.\They're here.\Excuse me.\What happened?\We were attacked with weapons.\What?\Captain! response:	Unit 07 here, calling headquarters.
context: Even if that means I have to use everything that lurks within me.\They're here.\Excuse me.\What happened?\We were attacked with weapons.\What?\Captain!\Unit 07 here, calling headquarters. response:	Headquarters.
context: They're here.\Excuse me.\What happened?\We were attacked with weapons.\What?\Captain!\Unit 07 here, calling headquarters.\Headquarters. response:	Your location?
context: Excuse me.\What happened?\We were attacked with weapons.\What?\Captain!\Unit 07 here, calling headquarters.\Headquarters.\Your location? response:	Dock Three.
context: What happened?\We were attacked with weapons.\What?\Captain!\Unit 07 here, calling headquarters.\Headquarters.\Your location?\Dock Three. response:	We have information that a serial murderer is on the loose in that area.
context: We were attacked with weapons.\What?\Captain!\Unit 07 here, calling headquarters.\Headquarters.\Your location?\Dock Three.\We have information that a serial murderer is on the loose in that area. response:	A girl of fourteen, dressed in Japanese clothes.
context: What?\Captain!\Unit 07 here, calling headquarters.\Headquarters.\Your location?\Dock Three.\We have information that a serial murderer is on the loose in that area.\A girl of fourteen, dressed in Japanese clothes. response:	I repeat.
context: Captain!\Unit 07 here, calling headquarters.\Headquarters.\Your location?\Dock Three.\We have information that a serial murderer is on the loose in that area.\A girl of fourteen, dressed in Japanese clothes.\I repeat. response:	We have information that a serial murderer is on the loose in that area.
context: Unit 07 here, calling headquarters.\Headquarters.\Your location?\Dock Three.\We have information that a serial murderer is on the loose in that area.\A girl of fourteen, dressed in Japanese clothes.\I repeat.\We have information that a serial murderer is on the loose in that area. response:	A girl of fourteen, dressed in Japanese clothes.
context: Headquarters.\Your location?\Dock Three.\We have information that a serial murderer is on the loose in that area.\A girl of fourteen, dressed in Japanese clothes.\I repeat.\We have information that a serial murderer is on the loose in that area.\A girl of fourteen, dressed in Japanese clothes. response:	How old are you, miss?
context: Your location?\Dock Three.\We have information that a serial murderer is on the loose in that area.\A girl of fourteen, dressed in Japanese clothes.\I repeat.\We have information that a serial murderer is on the loose in that area.\A girl of fourteen, dressed in Japanese clothes.\How old are you, miss? response:	Headquarters, we
context: Dock Three.\We have information that a serial murderer is on the loose in that area.\A girl of fourteen, dressed in Japanese clothes.\I repeat.\We have information that a serial murderer is on the loose in that area.\A girl of fourteen, dressed in Japanese clothes.\How old are you, miss?\Headquarters, we response:	Captain!
context: We have information that a serial murderer is on the loose in that area.\A girl of fourteen, dressed in Japanese clothes.\I repeat.\We have information that a serial murderer is on the loose in that area.\A girl of fourteen, dressed in Japanese clothes.\How old are you, miss?\Headquarters, we\Captain! response:	How could you do that?
context: A girl of fourteen, dressed in Japanese clothes.\I repeat.\We have information that a serial murderer is on the loose in that area.\A girl of fourteen, dressed in Japanese clothes.\How old are you, miss?\Headquarters, we\Captain!\How could you do that? response:	Captain!
context: I repeat.\We have information that a serial murderer is on the loose in that area.\A girl of fourteen, dressed in Japanese clothes.\How old are you, miss?\Headquarters, we\Captain!\How could you do that?\Captain! response:	Hang in there, Captain!
context: We have information that a serial murderer is on the loose in that area.\A girl of fourteen, dressed in Japanese clothes.\How old are you, miss?\Headquarters, we\Captain!\How could you do that?\Captain!\Hang in there, Captain! response:	Requesting backup!
context: A girl of fourteen, dressed in Japanese clothes.\How old are you, miss?\Headquarters, we\Captain!\How could you do that?\Captain!\Hang in there, Captain!\Requesting backup! response:	Flawless.
context: How old are you, miss?\Headquarters, we\Captain!\How could you do that?\Captain!\Hang in there, Captain!\Requesting backup!\Flawless. response:	Even the target's escape measures are accounted for.
context: Headquarters, we\Captain!\How could you do that?\Captain!\Hang in there, Captain!\Requesting backup!\Flawless.\Even the target's escape measures are accounted for. response:	Miss Louisa's strategy proposals are perfect, as always.
context: Captain!\How could you do that?\Captain!\Hang in there, Captain!\Requesting backup!\Flawless.\Even the target's escape measures are accounted for.\Miss Louisa's strategy proposals are perfect, as always. response:	Guild Operative Mark T.
context: How could you do that?\Captain!\Hang in there, Captain!\Requesting backup!\Flawless.\Even the target's escape measures are accounted for.\Miss Louisa's strategy proposals are perfect, as always.\Guild Operative Mark T. response:	Ability: Huck Finn Tom Sawyer
context: Captain!\Hang in there, Captain!\Requesting backup!\Flawless.\Even the target's escape measures are accounted for.\Miss Louisa's strategy proposals are perfect, as always.\Guild Operative Mark T.\Ability: Huck Finn Tom Sawyer response:	Bullseye.
context: Hang in there, Captain!\Requesting backup!\Flawless.\Even the target's escape measures are accounted for.\Miss Louisa's strategy proposals are perfect, as always.\Guild Operative Mark T.\Ability: Huck Finn Tom Sawyer\Bullseye. response:	It won't kill you, since it's a rubber bullet, but it's painful as hell.
context: Requesting backup!\Flawless.\Even the target's escape measures are accounted for.\Miss Louisa's strategy proposals are perfect, as always.\Guild Operative Mark T.\Ability: Huck Finn Tom Sawyer\Bullseye.\It won't kill you, since it's a rubber bullet, but it's painful as hell. response:	Good work, Mark.
context: Flawless.\Even the target's escape measures are accounted for.\Miss Louisa's strategy proposals are perfect, as always.\Guild Operative Mark T.\Ability: Huck Finn Tom Sawyer\Bullseye.\It won't kill you, since it's a rubber bullet, but it's painful as hell.\Good work, Mark. response:	Well then, my little princess, I'm taking your boyfriend.
context: Even the target's escape measures are accounted for.\Miss Louisa's strategy proposals are perfect, as always.\Guild Operative Mark T.\Ability: Huck Finn Tom Sawyer\Bullseye.\It won't kill you, since it's a rubber bullet, but it's painful as hell.\Good work, Mark.\Well then, my little princess, I'm taking your boyfriend. response:	No!
context: Miss Louisa's strategy proposals are perfect, as always.\Guild Operative Mark T.\Ability: Huck Finn Tom Sawyer\Bullseye.\It won't kill you, since it's a rubber bullet, but it's painful as hell.\Good work, Mark.\Well then, my little princess, I'm taking your boyfriend.\No! response:	Anything but that!
context: Guild Operative Mark T.\Ability: Huck Finn Tom Sawyer\Bullseye.\It won't kill you, since it's a rubber bullet, but it's painful as hell.\Good work, Mark.\Well then, my little princess, I'm taking your boyfriend.\No!\Anything but that! response:	Mr. Herman.
context: Ability: Huck Finn Tom Sawyer\Bullseye.\It won't kill you, since it's a rubber bullet, but it's painful as hell.\Good work, Mark.\Well then, my little princess, I'm taking your boyfriend.\No!\Anything but that!\Mr. Herman. response:	Understood.
context: Bullseye.\It won't kill you, since it's a rubber bullet, but it's painful as hell.\Good work, Mark.\Well then, my little princess, I'm taking your boyfriend.\No!\Anything but that!\Mr. Herman.\Understood. response:	Guild Operative Herman M.
context: It won't kill you, since it's a rubber bullet, but it's painful as hell.\Good work, Mark.\Well then, my little princess, I'm taking your boyfriend.\No!\Anything but that!\Mr. Herman.\Understood.\Guild Operative Herman M. response:	Ability: Moby Dick
context: Good work, Mark.\Well then, my little princess, I'm taking your boyfriend.\No!\Anything but that!\Mr. Herman.\Understood.\Guild Operative Herman M.\Ability: Moby Dick response:	It's been a long time, my friend.
context: Well then, my little princess, I'm taking your boyfriend.\No!\Anything but that!\Mr. Herman.\Understood.\Guild Operative Herman M.\Ability: Moby Dick\It's been a long time, my friend. response:	We've only just met,
context: No!\Anything but that!\Mr. Herman.\Understood.\Guild Operative Herman M.\Ability: Moby Dick\It's been a long time, my friend.\We've only just met, response:	but allow me to give you some life advice, my little princess.
context: Anything but that!\Mr. Herman.\Understood.\Guild Operative Herman M.\Ability: Moby Dick\It's been a long time, my friend.\We've only just met,\but allow me to give you some life advice, my little princess. response:	You aren't cut out for helping people.
context: Mr. Herman.\Understood.\Guild Operative Herman M.\Ability: Moby Dick\It's been a long time, my friend.\We've only just met,\but allow me to give you some life advice, my little princess.\You aren't cut out for helping people. response:	I assume you understand what you are cut out for.
context: Understood.\Guild Operative Herman M.\Ability: Moby Dick\It's been a long time, my friend.\We've only just met,\but allow me to give you some life advice, my little princess.\You aren't cut out for helping people.\I assume you understand what you are cut out for. response:	Why?
context: Guild Operative Herman M.\Ability: Moby Dick\It's been a long time, my friend.\We've only just met,\but allow me to give you some life advice, my little princess.\You aren't cut out for helping people.\I assume you understand what you are cut out for.\Why? response:	Why did you show me the light?
context: Ability: Moby Dick\It's been a long time, my friend.\We've only just met,\but allow me to give you some life advice, my little princess.\You aren't cut out for helping people.\I assume you understand what you are cut out for.\Why?\Why did you show me the light? response:	Why did you give me hope?
context: It's been a long time, my friend.\We've only just met,\but allow me to give you some life advice, my little princess.\You aren't cut out for helping people.\I assume you understand what you are cut out for.\Why?\Why did you show me the light?\Why did you give me hope? response:	Hands up!
context: We've only just met,\but allow me to give you some life advice, my little princess.\You aren't cut out for helping people.\I assume you understand what you are cut out for.\Why?\Why did you show me the light?\Why did you give me hope?\Hands up! response:	You're under arrest on suspicion of serial murder.
context: but allow me to give you some life advice, my little princess.\You aren't cut out for helping people.\I assume you understand what you are cut out for.\Why?\Why did you show me the light?\Why did you give me hope?\Hands up!\You're under arrest on suspicion of serial murder. response:	Goodbye.
context: You aren't cut out for helping people.\I assume you understand what you are cut out for.\Why?\Why did you show me the light?\Why did you give me hope?\Hands up!\You're under arrest on suspicion of serial murder.\Goodbye. response:	Episode 20 Though the Head May Err
context: I assume you understand what you are cut out for.\Why?\Why did you show me the light?\Why did you give me hope?\Hands up!\You're under arrest on suspicion of serial murder.\Goodbye.\Episode 20 Though the Head May Err response:	Please don't give me any more light.
context: Why?\Why did you show me the light?\Why did you give me hope?\Hands up!\You're under arrest on suspicion of serial murder.\Goodbye.\Episode 20 Though the Head May Err\Please don't give me any more light. response:	And a week has passed...
context: Why did you show me the light?\Why did you give me hope?\Hands up!\You're under arrest on suspicion of serial murder.\Goodbye.\Episode 20 Though the Head May Err\Please don't give me any more light.\And a week has passed... response:	Let's play.
context: Why did you give me hope?\Hands up!\You're under arrest on suspicion of serial murder.\Goodbye.\Episode 20 Though the Head May Err\Please don't give me any more light.\And a week has passed...\Let's play. response:	What should we do?
context: Hands up!\You're under arrest on suspicion of serial murder.\Goodbye.\Episode 20 Though the Head May Err\Please don't give me any more light.\And a week has passed...\Let's play.\What should we do? response:	It's so fun being outside.
context: You're under arrest on suspicion of serial murder.\Goodbye.\Episode 20 Though the Head May Err\Please don't give me any more light.\And a week has passed...\Let's play.\What should we do?\It's so fun being outside. response:	There's one!
context: Goodbye.\Episode 20 Though the Head May Err\Please don't give me any more light.\And a week has passed...\Let's play.\What should we do?\It's so fun being outside.\There's one! response:	Hey, Mister, let's have fun.
context: Episode 20 Though the Head May Err\Please don't give me any more light.\And a week has passed...\Let's play.\What should we do?\It's so fun being outside.\There's one!\Hey, Mister, let's have fun. response:	You're from the Guild, aren't you?
context: Please don't give me any more light.\And a week has passed...\Let's play.\What should we do?\It's so fun being outside.\There's one!\Hey, Mister, let's have fun.\You're from the Guild, aren't you? response:	Have fun?
context: And a week has passed...\Let's play.\What should we do?\It's so fun being outside.\There's one!\Hey, Mister, let's have fun.\You're from the Guild, aren't you?\Have fun? response:	With a child?
context: Let's play.\What should we do?\It's so fun being outside.\There's one!\Hey, Mister, let's have fun.\You're from the Guild, aren't you?\Have fun?\With a child? response:	Here you are, a dachshund.
context: What should we do?\It's so fun being outside.\There's one!\Hey, Mister, let's have fun.\You're from the Guild, aren't you?\Have fun?\With a child?\Here you are, a dachshund. response:	No thanks.
context: It's so fun being outside.\There's one!\Hey, Mister, let's have fun.\You're from the Guild, aren't you?\Have fun?\With a child?\Here you are, a dachshund.\No thanks. response:	Okay, now it's my turn.
context: There's one!\Hey, Mister, let's have fun.\You're from the Guild, aren't you?\Have fun?\With a child?\Here you are, a dachshund.\No thanks.\Okay, now it's my turn. response:	Boop, boop, boop!
context: Hey, Mister, let's have fun.\You're from the Guild, aren't you?\Have fun?\With a child?\Here you are, a dachshund.\No thanks.\Okay, now it's my turn.\Boop, boop, boop! response:	Ta-da.
context: You're from the Guild, aren't you?\Have fun?\With a child?\Here you are, a dachshund.\No thanks.\Okay, now it's my turn.\Boop, boop, boop!\Ta-da. response:	Look, you get that handprint when you hurt me.
context: Have fun?\With a child?\Here you are, a dachshund.\No thanks.\Okay, now it's my turn.\Boop, boop, boop!\Ta-da.\Look, you get that handprint when you hurt me. response:	Now, show me, Mister...
context: With a child?\Here you are, a dachshund.\No thanks.\Okay, now it's my turn.\Boop, boop, boop!\Ta-da.\Look, you get that handprint when you hurt me.\Now, show me, Mister... response:	Show me complete madness.
context: Here you are, a dachshund.\No thanks.\Okay, now it's my turn.\Boop, boop, boop!\Ta-da.\Look, you get that handprint when you hurt me.\Now, show me, Mister...\Show me complete madness. response:	I don't get it.
context: No thanks.\Okay, now it's my turn.\Boop, boop, boop!\Ta-da.\Look, you get that handprint when you hurt me.\Now, show me, Mister...\Show me complete madness.\I don't get it. response:	Is this what you mean by madness?
context: Okay, now it's my turn.\Boop, boop, boop!\Ta-da.\Look, you get that handprint when you hurt me.\Now, show me, Mister...\Show me complete madness.\I don't get it.\Is this what you mean by madness? response:	You've been sleeping well, pastor.
context: Boop, boop, boop!\Ta-da.\Look, you get that handprint when you hurt me.\Now, show me, Mister...\Show me complete madness.\I don't get it.\Is this what you mean by madness?\You've been sleeping well, pastor. response:	Lord Francis.
context: Ta-da.\Look, you get that handprint when you hurt me.\Now, show me, Mister...\Show me complete madness.\I don't get it.\Is this what you mean by madness?\You've been sleeping well, pastor.\Lord Francis. response:	How do you feel?
context: Look, you get that handprint when you hurt me.\Now, show me, Mister...\Show me complete madness.\I don't get it.\Is this what you mean by madness?\You've been sleeping well, pastor.\Lord Francis.\How do you feel? response:	Where's Margaret?
context: Now, show me, Mister...\Show me complete madness.\I don't get it.\Is this what you mean by madness?\You've been sleeping well, pastor.\Lord Francis.\How do you feel?\Where's Margaret? response:	In critical condition.
context: Show me complete madness.\I don't get it.\Is this what you mean by madness?\You've been sleeping well, pastor.\Lord Francis.\How do you feel?\Where's Margaret?\In critical condition. response:	She may never wake up.
context: I don't get it.\Is this what you mean by madness?\You've been sleeping well, pastor.\Lord Francis.\How do you feel?\Where's Margaret?\In critical condition.\She may never wake up. response:	What a foolish woman.
context: Is this what you mean by madness?\You've been sleeping well, pastor.\Lord Francis.\How do you feel?\Where's Margaret?\In critical condition.\She may never wake up.\What a foolish woman. response:	She protected me in the end.
context: You've been sleeping well, pastor.\Lord Francis.\How do you feel?\Where's Margaret?\In critical condition.\She may never wake up.\What a foolish woman.\She protected me in the end. response:	That's how I survived.
context: Lord Francis.\How do you feel?\Where's Margaret?\In critical condition.\She may never wake up.\What a foolish woman.\She protected me in the end.\That's how I survived. response:	Margaret said she would take back her family's honor.
context: How do you feel?\Where's Margaret?\In critical condition.\She may never wake up.\What a foolish woman.\She protected me in the end.\That's how I survived.\Margaret said she would take back her family's honor. response:	So why...
context: Where's Margaret?\In critical condition.\She may never wake up.\What a foolish woman.\She protected me in the end.\That's how I survived.\Margaret said she would take back her family's honor.\So why... response:	She joined the operation in order to repay her family's
context: In critical condition.\She may never wake up.\What a foolish woman.\She protected me in the end.\That's how I survived.\Margaret said she would take back her family's honor.\So why...\She joined the operation in order to repay her family's response:	massive debt and re-establish their reputation.
context: She may never wake up.\What a foolish woman.\She protected me in the end.\That's how I survived.\Margaret said she would take back her family's honor.\So why...\She joined the operation in order to repay her family's\massive debt and re-establish their reputation. response:	Alas, that's nothing more than a fleeting dream.
context: What a foolish woman.\She protected me in the end.\That's how I survived.\Margaret said she would take back her family's honor.\So why...\She joined the operation in order to repay her family's\massive debt and re-establish their reputation.\Alas, that's nothing more than a fleeting dream. response:	It was never fleeting.
context: She protected me in the end.\That's how I survived.\Margaret said she would take back her family's honor.\So why...\She joined the operation in order to repay her family's\massive debt and re-establish their reputation.\Alas, that's nothing more than a fleeting dream.\It was never fleeting. response:	Not until you made it so, Lord Francis.
context: That's how I survived.\Margaret said she would take back her family's honor.\So why...\She joined the operation in order to repay her family's\massive debt and re-establish their reputation.\Alas, that's nothing more than a fleeting dream.\It was never fleeting.\Not until you made it so, Lord Francis. response:	What?
context: Margaret said she would take back her family's honor.\So why...\She joined the operation in order to repay her family's\massive debt and re-establish their reputation.\Alas, that's nothing more than a fleeting dream.\It was never fleeting.\Not until you made it so, Lord Francis.\What? response:	I will depend on you no longer.
context: So why...\She joined the operation in order to repay her family's\massive debt and re-establish their reputation.\Alas, that's nothing more than a fleeting dream.\It was never fleeting.\Not until you made it so, Lord Francis.\What?\I will depend on you no longer. response:	I will take back her honor myself.
context: She joined the operation in order to repay her family's\massive debt and re-establish their reputation.\Alas, that's nothing more than a fleeting dream.\It was never fleeting.\Not until you made it so, Lord Francis.\What?\I will depend on you no longer.\I will take back her honor myself. response:	Ms. Louisa.
context: massive debt and re-establish their reputation.\Alas, that's nothing more than a fleeting dream.\It was never fleeting.\Not until you made it so, Lord Francis.\What?\I will depend on you no longer.\I will take back her honor myself.\Ms. Louisa. response:	Show me the emergency plan.
context: Alas, that's nothing more than a fleeting dream.\It was never fleeting.\Not until you made it so, Lord Francis.\What?\I will depend on you no longer.\I will take back her honor myself.\Ms. Louisa.\Show me the emergency plan. response:	But that plan will cause a lot of collateral damage.
context: It was never fleeting.\Not until you made it so, Lord Francis.\What?\I will depend on you no longer.\I will take back her honor myself.\Ms. Louisa.\Show me the emergency plan.\But that plan will cause a lot of collateral damage. response:	It'll turn Yokohama into a sea of flames.
context: Not until you made it so, Lord Francis.\What?\I will depend on you no longer.\I will take back her honor myself.\Ms. Louisa.\Show me the emergency plan.\But that plan will cause a lot of collateral damage.\It'll turn Yokohama into a sea of flames. response:	Everything here belongs to me.
context: What?\I will depend on you no longer.\I will take back her honor myself.\Ms. Louisa.\Show me the emergency plan.\But that plan will cause a lot of collateral damage.\It'll turn Yokohama into a sea of flames.\Everything here belongs to me. response:	The ship, the desk, the pens, the window dressing...
context: I will depend on you no longer.\I will take back her honor myself.\Ms. Louisa.\Show me the emergency plan.\But that plan will cause a lot of collateral damage.\It'll turn Yokohama into a sea of flames.\Everything here belongs to me.\The ship, the desk, the pens, the window dressing... response:	And you and my other people, too, of course.
context: I will take back her honor myself.\Ms. Louisa.\Show me the emergency plan.\But that plan will cause a lot of collateral damage.\It'll turn Yokohama into a sea of flames.\Everything here belongs to me.\The ship, the desk, the pens, the window dressing...\And you and my other people, too, of course. response:	Thus, I won't allow my people to be hurt any more.
context: Ms. Louisa.\Show me the emergency plan.\But that plan will cause a lot of collateral damage.\It'll turn Yokohama into a sea of flames.\Everything here belongs to me.\The ship, the desk, the pens, the window dressing...\And you and my other people, too, of course.\Thus, I won't allow my people to be hurt any more. response:	As you are my property, I have the right to protect you.
context: Show me the emergency plan.\But that plan will cause a lot of collateral damage.\It'll turn Yokohama into a sea of flames.\Everything here belongs to me.\The ship, the desk, the pens, the window dressing...\And you and my other people, too, of course.\Thus, I won't allow my people to be hurt any more.\As you are my property, I have the right to protect you. response:	Notify everyone that the emergency plan is in effect.
context: But that plan will cause a lot of collateral damage.\It'll turn Yokohama into a sea of flames.\Everything here belongs to me.\The ship, the desk, the pens, the window dressing...\And you and my other people, too, of course.\Thus, I won't allow my people to be hurt any more.\As you are my property, I have the right to protect you.\Notify everyone that the emergency plan is in effect. response:	Y-Yes, sir.
context: It'll turn Yokohama into a sea of flames.\Everything here belongs to me.\The ship, the desk, the pens, the window dressing...\And you and my other people, too, of course.\Thus, I won't allow my people to be hurt any more.\As you are my property, I have the right to protect you.\Notify everyone that the emergency plan is in effect.\Y-Yes, sir. response:	I'll end this in the blink of an eye.
context: Everything here belongs to me.\The ship, the desk, the pens, the window dressing...\And you and my other people, too, of course.\Thus, I won't allow my people to be hurt any more.\As you are my property, I have the right to protect you.\Notify everyone that the emergency plan is in effect.\Y-Yes, sir.\I'll end this in the blink of an eye. response:	Dachshund.
context: The ship, the desk, the pens, the window dressing...\And you and my other people, too, of course.\Thus, I won't allow my people to be hurt any more.\As you are my property, I have the right to protect you.\Notify everyone that the emergency plan is in effect.\Y-Yes, sir.\I'll end this in the blink of an eye.\Dachshund. response:	Hey, how's it coming?
context: And you and my other people, too, of course.\Thus, I won't allow my people to be hurt any more.\As you are my property, I have the right to protect you.\Notify everyone that the emergency plan is in effect.\Y-Yes, sir.\I'll end this in the blink of an eye.\Dachshund.\Hey, how's it coming? response:	My body...
context: Thus, I won't allow my people to be hurt any more.\As you are my property, I have the right to protect you.\Notify everyone that the emergency plan is in effect.\Y-Yes, sir.\I'll end this in the blink of an eye.\Dachshund.\Hey, how's it coming?\My body... response:	It hurts.
context: As you are my property, I have the right to protect you.\Notify everyone that the emergency plan is in effect.\Y-Yes, sir.\I'll end this in the blink of an eye.\Dachshund.\Hey, how's it coming?\My body...\It hurts. response:	Well, if you're looking for someone to blame, try the officers who made this emergency plan,
context: Notify everyone that the emergency plan is in effect.\Y-Yes, sir.\I'll end this in the blink of an eye.\Dachshund.\Hey, how's it coming?\My body...\It hurts.\Well, if you're looking for someone to blame, try the officers who made this emergency plan, response:	or yourself for coming up with the foolish idea of trying to destroy Lovecraft's mind.
context: Y-Yes, sir.\I'll end this in the blink of an eye.\Dachshund.\Hey, how's it coming?\My body...\It hurts.\Well, if you're looking for someone to blame, try the officers who made this emergency plan,\or yourself for coming up with the foolish idea of trying to destroy Lovecraft's mind. response:	I'll kill you.
