context: Teppei! response:	The Earth Engine Impacter...
context: It's clearly different than the one we saw nine years ago.\It seems the active phase of the Kiltgang that we feared has begun.\I've raised all satellite bases to DEFCON 1,\and all Impacters in defensive zones will be ready at a moment's notice.\That aside...\I hadn't heard anything about the Earth Driver being stationed at Tanegashima already.\Who is it?\Earth Engine has activated feathering system. response:	Set to return to Tanegashima on autopilot.
context: It seems the active phase of the Kiltgang that we feared has begun.\I've raised all satellite bases to DEFCON 1,\and all Impacters in defensive zones will be ready at a moment's notice.\That aside...\I hadn't heard anything about the Earth Driver being stationed at Tanegashima already.\Who is it?\Earth Engine has activated feathering system.\Set to return to Tanegashima on autopilot. response:	This is Salty Dog.
context: I've raised all satellite bases to DEFCON 1,\and all Impacters in defensive zones will be ready at a moment's notice.\That aside...\I hadn't heard anything about the Earth Driver being stationed at Tanegashima already.\Who is it?\Earth Engine has activated feathering system.\Set to return to Tanegashima on autopilot.\This is Salty Dog. response:	The area around the airport is cordoned off.
context: and all Impacters in defensive zones will be ready at a moment's notice.\That aside...\I hadn't heard anything about the Earth Driver being stationed at Tanegashima already.\Who is it?\Earth Engine has activated feathering system.\Set to return to Tanegashima on autopilot.\This is Salty Dog.\The area around the airport is cordoned off. response:	Begin operation immediately.
context: That aside...\I hadn't heard anything about the Earth Driver being stationed at Tanegashima already.\Who is it?\Earth Engine has activated feathering system.\Set to return to Tanegashima on autopilot.\This is Salty Dog.\The area around the airport is cordoned off.\Begin operation immediately. response:	This is Tanegashima HQ. Roger.
context: I hadn't heard anything about the Earth Driver being stationed at Tanegashima already.\Who is it?\Earth Engine has activated feathering system.\Set to return to Tanegashima on autopilot.\This is Salty Dog.\The area around the airport is cordoned off.\Begin operation immediately.\This is Tanegashima HQ. Roger. response:	So you're the Earth Driver, huh?
context: Who is it?\Earth Engine has activated feathering system.\Set to return to Tanegashima on autopilot.\This is Salty Dog.\The area around the airport is cordoned off.\Begin operation immediately.\This is Tanegashima HQ. Roger.\So you're the Earth Driver, huh? response:	The Name of the Gun Is Livlaster
context: Earth Engine has activated feathering system.\Set to return to Tanegashima on autopilot.\This is Salty Dog.\The area around the airport is cordoned off.\Begin operation immediately.\This is Tanegashima HQ. Roger.\So you're the Earth Driver, huh?\The Name of the Gun Is Livlaster response:	I don't see any physical abnormalities.
context: Set to return to Tanegashima on autopilot.\This is Salty Dog.\The area around the airport is cordoned off.\Begin operation immediately.\This is Tanegashima HQ. Roger.\So you're the Earth Driver, huh?\The Name of the Gun Is Livlaster\I don't see any physical abnormalities. response:	Not at the moment, at least.
context: This is Salty Dog.\The area around the airport is cordoned off.\Begin operation immediately.\This is Tanegashima HQ. Roger.\So you're the Earth Driver, huh?\The Name of the Gun Is Livlaster\I don't see any physical abnormalities.\Not at the moment, at least. response:	It seems a second Livlaster has appeared.
context: The area around the airport is cordoned off.\Begin operation immediately.\This is Tanegashima HQ. Roger.\So you're the Earth Driver, huh?\The Name of the Gun Is Livlaster\I don't see any physical abnormalities.\Not at the moment, at least.\It seems a second Livlaster has appeared. response:	You said nothing to us of this possibility.
context: Begin operation immediately.\This is Tanegashima HQ. Roger.\So you're the Earth Driver, huh?\The Name of the Gun Is Livlaster\I don't see any physical abnormalities.\Not at the moment, at least.\It seems a second Livlaster has appeared.\You said nothing to us of this possibility. response:	You said nothing to me...
context: This is Tanegashima HQ. Roger.\So you're the Earth Driver, huh?\The Name of the Gun Is Livlaster\I don't see any physical abnormalities.\Not at the moment, at least.\It seems a second Livlaster has appeared.\You said nothing to us of this possibility.\You said nothing to me... response:	Well, it doesn't matter.
context: So you're the Earth Driver, huh?\The Name of the Gun Is Livlaster\I don't see any physical abnormalities.\Not at the moment, at least.\It seems a second Livlaster has appeared.\You said nothing to us of this possibility.\You said nothing to me...\Well, it doesn't matter. response:	We'll have plenty of time to discuss it now.
context: The Name of the Gun Is Livlaster\I don't see any physical abnormalities.\Not at the moment, at least.\It seems a second Livlaster has appeared.\You said nothing to us of this possibility.\You said nothing to me...\Well, it doesn't matter.\We'll have plenty of time to discuss it now. response:	Looks like your fever's down.
context: I don't see any physical abnormalities.\Not at the moment, at least.\It seems a second Livlaster has appeared.\You said nothing to us of this possibility.\You said nothing to me...\Well, it doesn't matter.\We'll have plenty of time to discuss it now.\Looks like your fever's down. response:	I'll have to talk to you, as well.
context: Not at the moment, at least.\It seems a second Livlaster has appeared.\You said nothing to us of this possibility.\You said nothing to me...\Well, it doesn't matter.\We'll have plenty of time to discuss it now.\Looks like your fever's down.\I'll have to talk to you, as well. response:	About that rainbow you were probably responsible for...
context: It seems a second Livlaster has appeared.\You said nothing to us of this possibility.\You said nothing to me...\Well, it doesn't matter.\We'll have plenty of time to discuss it now.\Looks like your fever's down.\I'll have to talk to you, as well.\About that rainbow you were probably responsible for... response:	On the outside, Globe is an international organization
context: You said nothing to us of this possibility.\You said nothing to me...\Well, it doesn't matter.\We'll have plenty of time to discuss it now.\Looks like your fever's down.\I'll have to talk to you, as well.\About that rainbow you were probably responsible for...\On the outside, Globe is an international organization response:	devoted to space development for peaceful purposes...
context: You said nothing to me...\Well, it doesn't matter.\We'll have plenty of time to discuss it now.\Looks like your fever's down.\I'll have to talk to you, as well.\About that rainbow you were probably responsible for...\On the outside, Globe is an international organization\devoted to space development for peaceful purposes... response:	But in truth, it is a defensive organization here to fight those alien invaders.
context: Well, it doesn't matter.\We'll have plenty of time to discuss it now.\Looks like your fever's down.\I'll have to talk to you, as well.\About that rainbow you were probably responsible for...\On the outside, Globe is an international organization\devoted to space development for peaceful purposes...\But in truth, it is a defensive organization here to fight those alien invaders. response:	Naturally, this is a secret.
context: We'll have plenty of time to discuss it now.\Looks like your fever's down.\I'll have to talk to you, as well.\About that rainbow you were probably responsible for...\On the outside, Globe is an international organization\devoted to space development for peaceful purposes...\But in truth, it is a defensive organization here to fight those alien invaders.\Naturally, this is a secret. response:	Then when my dad died...
context: Looks like your fever's down.\I'll have to talk to you, as well.\About that rainbow you were probably responsible for...\On the outside, Globe is an international organization\devoted to space development for peaceful purposes...\But in truth, it is a defensive organization here to fight those alien invaders.\Naturally, this is a secret.\Then when my dad died... response:	It wasn't an accident, after all?
context: I'll have to talk to you, as well.\About that rainbow you were probably responsible for...\On the outside, Globe is an international organization\devoted to space development for peaceful purposes...\But in truth, it is a defensive organization here to fight those alien invaders.\Naturally, this is a secret.\Then when my dad died...\It wasn't an accident, after all? response:	Where did you get that gun?
context: About that rainbow you were probably responsible for...\On the outside, Globe is an international organization\devoted to space development for peaceful purposes...\But in truth, it is a defensive organization here to fight those alien invaders.\Naturally, this is a secret.\Then when my dad died...\It wasn't an accident, after all?\Where did you get that gun? response:	I don't know.
context: On the outside, Globe is an international organization\devoted to space development for peaceful purposes...\But in truth, it is a defensive organization here to fight those alien invaders.\Naturally, this is a secret.\Then when my dad died...\It wasn't an accident, after all?\Where did you get that gun?\I don't know. response:	All of a sudden, I was holding it.
context: devoted to space development for peaceful purposes...\But in truth, it is a defensive organization here to fight those alien invaders.\Naturally, this is a secret.\Then when my dad died...\It wasn't an accident, after all?\Where did you get that gun?\I don't know.\All of a sudden, I was holding it. response:	This toy isn't a problem.
context: But in truth, it is a defensive organization here to fight those alien invaders.\Naturally, this is a secret.\Then when my dad died...\It wasn't an accident, after all?\Where did you get that gun?\I don't know.\All of a sudden, I was holding it.\This toy isn't a problem. response:	You can have it back.
context: Naturally, this is a secret.\Then when my dad died...\It wasn't an accident, after all?\Where did you get that gun?\I don't know.\All of a sudden, I was holding it.\This toy isn't a problem.\You can have it back. response:	Those two...
context: Then when my dad died...\It wasn't an accident, after all?\Where did you get that gun?\I don't know.\All of a sudden, I was holding it.\This toy isn't a problem.\You can have it back.\Those two... response:	Those guys!
context: It wasn't an accident, after all?\Where did you get that gun?\I don't know.\All of a sudden, I was holding it.\This toy isn't a problem.\You can have it back.\Those two...\Those guys! response:	Who gave you permission to use the lead gears?!
context: Where did you get that gun?\I don't know.\All of a sudden, I was holding it.\This toy isn't a problem.\You can have it back.\Those two...\Those guys!\Who gave you permission to use the lead gears?! response:	I knew it...
context: I don't know.\All of a sudden, I was holding it.\This toy isn't a problem.\You can have it back.\Those two...\Those guys!\Who gave you permission to use the lead gears?!\I knew it... response:	Of course we're using them.
context: All of a sudden, I was holding it.\This toy isn't a problem.\You can have it back.\Those two...\Those guys!\Who gave you permission to use the lead gears?!\I knew it...\Of course we're using them. response:	If they were all as quiet and obedient as she is, it wouldn't be a problem.
context: This toy isn't a problem.\You can have it back.\Those two...\Those guys!\Who gave you permission to use the lead gears?!\I knew it...\Of course we're using them.\If they were all as quiet and obedient as she is, it wouldn't be a problem. response:	But some of them use their singularities without warning.
context: You can have it back.\Those two...\Those guys!\Who gave you permission to use the lead gears?!\I knew it...\Of course we're using them.\If they were all as quiet and obedient as she is, it wouldn't be a problem.\But some of them use their singularities without warning. response:	Teppei!
context: Those two...\Those guys!\Who gave you permission to use the lead gears?!\I knew it...\Of course we're using them.\If they were all as quiet and obedient as she is, it wouldn't be a problem.\But some of them use their singularities without warning.\Teppei! response:	You're Teppei, right?
