context: The Death of Dende... Come Forth! Intense, Wide-open Power! response:	That's Freeza's true self? He's smaller, more simple-looking, and less formidable...
context: After all the trouble you went through to revive me with the Dragonballs! I'm sorry...\There's simply no way I can save the rest of you now. Damn...\Piccolo-san...\Freeza, you've finally shown your true form, have you?\Even supposing Son Goku recovers,\Freeza now has the power to destroy the universe as we know it.\This could be the point of no return!\How can this be? Freeza's Ki has risen once again! response:	Dammit...
context: There's simply no way I can save the rest of you now. Damn...\Piccolo-san...\Freeza, you've finally shown your true form, have you?\Even supposing Son Goku recovers,\Freeza now has the power to destroy the universe as we know it.\This could be the point of no return!\How can this be? Freeza's Ki has risen once again!\Dammit... response:	Bang.
context: Piccolo-san...\Freeza, you've finally shown your true form, have you?\Even supposing Son Goku recovers,\Freeza now has the power to destroy the universe as we know it.\This could be the point of no return!\How can this be? Freeza's Ki has risen once again!\Dammit...\Bang. response:	What?
context: Freeza, you've finally shown your true form, have you?\Even supposing Son Goku recovers,\Freeza now has the power to destroy the universe as we know it.\This could be the point of no return!\How can this be? Freeza's Ki has risen once again!\Dammit...\Bang.\What? response:	Dende!!
context: Even supposing Son Goku recovers,\Freeza now has the power to destroy the universe as we know it.\This could be the point of no return!\How can this be? Freeza's Ki has risen once again!\Dammit...\Bang.\What?\Dende!! response:	I didn't see it coming! A- All I saw was some kind of flash!
context: Freeza now has the power to destroy the universe as we know it.\This could be the point of no return!\How can this be? Freeza's Ki has risen once again!\Dammit...\Bang.\What?\Dende!!\I didn't see it coming! A- All I saw was some kind of flash! response:	T- That's not possible!
context: This could be the point of no return!\How can this be? Freeza's Ki has risen once again!\Dammit...\Bang.\What?\Dende!!\I didn't see it coming! A- All I saw was some kind of flash!\T- That's not possible! response:	Now, there will be no more revivals.
context: How can this be? Freeza's Ki has risen once again!\Dammit...\Bang.\What?\Dende!!\I didn't see it coming! A- All I saw was some kind of flash!\T- That's not possible!\Now, there will be no more revivals. response:	Dende...
context: Dammit...\Bang.\What?\Dende!!\I didn't see it coming! A- All I saw was some kind of flash!\T- That's not possible!\Now, there will be no more revivals.\Dende... response:	Someone just died. Who was it? Damn! I can't tell what's going on any more!
context: Bang.\What?\Dende!!\I didn't see it coming! A- All I saw was some kind of flash!\T- That's not possible!\Now, there will be no more revivals.\Dende...\Someone just died. Who was it? Damn! I can't tell what's going on any more! response:	Dende's been... k- Killed...
context: What?\Dende!!\I didn't see it coming! A- All I saw was some kind of flash!\T- That's not possible!\Now, there will be no more revivals.\Dende...\Someone just died. Who was it? Damn! I can't tell what's going on any more!\Dende's been... k- Killed... response:	H- He...
context: Dende!!\I didn't see it coming! A- All I saw was some kind of flash!\T- That's not possible!\Now, there will be no more revivals.\Dende...\Someone just died. Who was it? Damn! I can't tell what's going on any more!\Dende's been... k- Killed...\H- He... response:	He saw that we were being revived by that Namekian...
context: I didn't see it coming! A- All I saw was some kind of flash!\T- That's not possible!\Now, there will be no more revivals.\Dende...\Someone just died. Who was it? Damn! I can't tell what's going on any more!\Dende's been... k- Killed...\H- He...\He saw that we were being revived by that Namekian... response:	That's why he was first...
context: T- That's not possible!\Now, there will be no more revivals.\Dende...\Someone just died. Who was it? Damn! I can't tell what's going on any more!\Dende's been... k- Killed...\H- He...\He saw that we were being revived by that Namekian...\That's why he was first... response:	Damn you...
context: Now, there will be no more revivals.\Dende...\Someone just died. Who was it? Damn! I can't tell what's going on any more!\Dende's been... k- Killed...\H- He...\He saw that we were being revived by that Namekian...\That's why he was first...\Damn you... response:	H- He vanished!
context: Dende...\Someone just died. Who was it? Damn! I can't tell what's going on any more!\Dende's been... k- Killed...\H- He...\He saw that we were being revived by that Namekian...\That's why he was first...\Damn you...\H- He vanished! response:	Y- You fool!
context: Someone just died. Who was it? Damn! I can't tell what's going on any more!\Dende's been... k- Killed...\H- He...\He saw that we were being revived by that Namekian...\That's why he was first...\Damn you...\H- He vanished!\Y- You fool! response:	J- Just where...
context: Dende's been... k- Killed...\H- He...\He saw that we were being revived by that Namekian...\That's why he was first...\Damn you...\H- He vanished!\Y- You fool!\J- Just where... response:	Over here!
context: H- He...\He saw that we were being revived by that Namekian...\That's why he was first...\Damn you...\H- He vanished!\Y- You fool!\J- Just where...\Over here! response:	How did he...?
context: He saw that we were being revived by that Namekian...\That's why he was first...\Damn you...\H- He vanished!\Y- You fool!\J- Just where...\Over here!\How did he...? response:	I made you a promise, didn't I?
context: That's why he was first...\Damn you...\H- He vanished!\Y- You fool!\J- Just where...\Over here!\How did he...?\I made you a promise, didn't I? response:	To show you a terror even greater than Hell's.
context: Damn you...\H- He vanished!\Y- You fool!\J- Just where...\Over here!\How did he...?\I made you a promise, didn't I?\To show you a terror even greater than Hell's. response:	However, for that Namekian child there to not be able to experience this...
context: H- He vanished!\Y- You fool!\J- Just where...\Over here!\How did he...?\I made you a promise, didn't I?\To show you a terror even greater than Hell's.\However, for that Namekian child there to not be able to experience this... response:	it seems a shame, doesn't it?
context: Y- You fool!\J- Just where...\Over here!\How did he...?\I made you a promise, didn't I?\To show you a terror even greater than Hell's.\However, for that Namekian child there to not be able to experience this...\it seems a shame, doesn't it? response:	I'll just have to let you guys take his share.
context: J- Just where...\Over here!\How did he...?\I made you a promise, didn't I?\To show you a terror even greater than Hell's.\However, for that Namekian child there to not be able to experience this...\it seems a shame, doesn't it?\I'll just have to let you guys take his share. response:	You bastard!
context: Over here!\How did he...?\I made you a promise, didn't I?\To show you a terror even greater than Hell's.\However, for that Namekian child there to not be able to experience this...\it seems a shame, doesn't it?\I'll just have to let you guys take his share.\You bastard! response:	Take this!
context: How did he...?\I made you a promise, didn't I?\To show you a terror even greater than Hell's.\However, for that Namekian child there to not be able to experience this...\it seems a shame, doesn't it?\I'll just have to let you guys take his share.\You bastard!\Take this! response:	You're not getting away!
context: I made you a promise, didn't I?\To show you a terror even greater than Hell's.\However, for that Namekian child there to not be able to experience this...\it seems a shame, doesn't it?\I'll just have to let you guys take his share.\You bastard!\Take this!\You're not getting away! response:	Did you get him?
context: To show you a terror even greater than Hell's.\However, for that Namekian child there to not be able to experience this...\it seems a shame, doesn't it?\I'll just have to let you guys take his share.\You bastard!\Take this!\You're not getting away!\Did you get him? response:	H- He's vanished again.
context: However, for that Namekian child there to not be able to experience this...\it seems a shame, doesn't it?\I'll just have to let you guys take his share.\You bastard!\Take this!\You're not getting away!\Did you get him?\H- He's vanished again. response:	T- That's impossible!
context: it seems a shame, doesn't it?\I'll just have to let you guys take his share.\You bastard!\Take this!\You're not getting away!\Did you get him?\H- He's vanished again.\T- That's impossible! response:	You ignorant fools!
context: I'll just have to let you guys take his share.\You bastard!\Take this!\You're not getting away!\Did you get him?\H- He's vanished again.\T- That's impossible!\You ignorant fools! response:	He's behind you!
context: You bastard!\Take this!\You're not getting away!\Did you get him?\H- He's vanished again.\T- That's impossible!\You ignorant fools!\He's behind you! response:	What!?
context: Take this!\You're not getting away!\Did you get him?\H- He's vanished again.\T- That's impossible!\You ignorant fools!\He's behind you!\What!? response:	As he said...
context: You're not getting away!\Did you get him?\H- He's vanished again.\T- That's impossible!\You ignorant fools!\He's behind you!\What!?\As he said... response:	Get out of the way!
context: Did you get him?\H- He's vanished again.\T- That's impossible!\You ignorant fools!\He's behind you!\What!?\As he said...\Get out of the way! response:	Worthless idiot!
context: H- He's vanished again.\T- That's impossible!\You ignorant fools!\He's behind you!\What!?\As he said...\Get out of the way!\Worthless idiot! response:	O- Once again...
context: T- That's impossible!\You ignorant fools!\He's behind you!\What!?\As he said...\Get out of the way!\Worthless idiot!\O- Once again... response:	I couldn't see... him move... or attack...
context: You ignorant fools!\He's behind you!\What!?\As he said...\Get out of the way!\Worthless idiot!\O- Once again...\I couldn't see... him move... or attack... response:	But he... Vegeta saw it!
context: He's behind you!\What!?\As he said...\Get out of the way!\Worthless idiot!\O- Once again...\I couldn't see... him move... or attack...\But he... Vegeta saw it! response:	Why? Have his abilities gone up that much!?
context: What!?\As he said...\Get out of the way!\Worthless idiot!\O- Once again...\I couldn't see... him move... or attack...\But he... Vegeta saw it!\Why? Have his abilities gone up that much!? response:	Thanks!
context: As he said...\Get out of the way!\Worthless idiot!\O- Once again...\I couldn't see... him move... or attack...\But he... Vegeta saw it!\Why? Have his abilities gone up that much!?\Thanks! response:	You saved me.
context: Get out of the way!\Worthless idiot!\O- Once again...\I couldn't see... him move... or attack...\But he... Vegeta saw it!\Why? Have his abilities gone up that much!?\Thanks!\You saved me. response:	You've got it all wrong. I didn't do it to save you.
context: Worthless idiot!\O- Once again...\I couldn't see... him move... or attack...\But he... Vegeta saw it!\Why? Have his abilities gone up that much!?\Thanks!\You saved me.\You've got it all wrong. I didn't do it to save you. response:	I thought I'd show you guys something good.
context: O- Once again...\I couldn't see... him move... or attack...\But he... Vegeta saw it!\Why? Have his abilities gone up that much!?\Thanks!\You saved me.\You've got it all wrong. I didn't do it to save you.\I thought I'd show you guys something good. response:	S- Something good?
context: I couldn't see... him move... or attack...\But he... Vegeta saw it!\Why? Have his abilities gone up that much!?\Thanks!\You saved me.\You've got it all wrong. I didn't do it to save you.\I thought I'd show you guys something good.\S- Something good? response:	Don't tell me you... you think you can beat him?
context: But he... Vegeta saw it!\Why? Have his abilities gone up that much!?\Thanks!\You saved me.\You've got it all wrong. I didn't do it to save you.\I thought I'd show you guys something good.\S- Something good?\Don't tell me you... you think you can beat him? response:	You might say that.
context: Why? Have his abilities gone up that much!?\Thanks!\You saved me.\You've got it all wrong. I didn't do it to save you.\I thought I'd show you guys something good.\S- Something good?\Don't tell me you... you think you can beat him?\You might say that. response:	You can't possibly...
context: Thanks!\You saved me.\You've got it all wrong. I didn't do it to save you.\I thought I'd show you guys something good.\S- Something good?\Don't tell me you... you think you can beat him?\You might say that.\You can't possibly... response:	You guys are in our way. Pull back and watch very closely!
context: You saved me.\You've got it all wrong. I didn't do it to save you.\I thought I'd show you guys something good.\S- Something good?\Don't tell me you... you think you can beat him?\You might say that.\You can't possibly...\You guys are in our way. Pull back and watch very closely! response:	Such confidence, Vegeta. Or perhaps you're so frightened, something has snapped?
context: You've got it all wrong. I didn't do it to save you.\I thought I'd show you guys something good.\S- Something good?\Don't tell me you... you think you can beat him?\You might say that.\You can't possibly...\You guys are in our way. Pull back and watch very closely!\Such confidence, Vegeta. Or perhaps you're so frightened, something has snapped? response:	You just keep on smirking like that, while you still can.
context: I thought I'd show you guys something good.\S- Something good?\Don't tell me you... you think you can beat him?\You might say that.\You can't possibly...\You guys are in our way. Pull back and watch very closely!\Such confidence, Vegeta. Or perhaps you're so frightened, something has snapped?\You just keep on smirking like that, while you still can. response:	What stands before you...
context: S- Something good?\Don't tell me you... you think you can beat him?\You might say that.\You can't possibly...\You guys are in our way. Pull back and watch very closely!\Such confidence, Vegeta. Or perhaps you're so frightened, something has snapped?\You just keep on smirking like that, while you still can.\What stands before you... response:	is that...
context: Don't tell me you... you think you can beat him?\You might say that.\You can't possibly...\You guys are in our way. Pull back and watch very closely!\Such confidence, Vegeta. Or perhaps you're so frightened, something has snapped?\You just keep on smirking like that, while you still can.\What stands before you...\is that... response:	which you fear most!
context: You might say that.\You can't possibly...\You guys are in our way. Pull back and watch very closely!\Such confidence, Vegeta. Or perhaps you're so frightened, something has snapped?\You just keep on smirking like that, while you still can.\What stands before you...\is that...\which you fear most! response:	A Super Saiyan!
context: You can't possibly...\You guys are in our way. Pull back and watch very closely!\Such confidence, Vegeta. Or perhaps you're so frightened, something has snapped?\You just keep on smirking like that, while you still can.\What stands before you...\is that...\which you fear most!\A Super Saiyan! response:	Super Saiy... an?
context: You guys are in our way. Pull back and watch very closely!\Such confidence, Vegeta. Or perhaps you're so frightened, something has snapped?\You just keep on smirking like that, while you still can.\What stands before you...\is that...\which you fear most!\A Super Saiyan!\Super Saiy... an? response:	What's this Super Saiyan business he's talking about?
context: Such confidence, Vegeta. Or perhaps you're so frightened, something has snapped?\You just keep on smirking like that, while you still can.\What stands before you...\is that...\which you fear most!\A Super Saiyan!\Super Saiy... an?\What's this Super Saiyan business he's talking about? response:	As always, your jokes go too far.
context: You just keep on smirking like that, while you still can.\What stands before you...\is that...\which you fear most!\A Super Saiyan!\Super Saiy... an?\What's this Super Saiyan business he's talking about?\As always, your jokes go too far. response:	In that case, I'll show you the abilities I possess, now that I have become a Super Saiyan!
context: What stands before you...\is that...\which you fear most!\A Super Saiyan!\Super Saiy... an?\What's this Super Saiyan business he's talking about?\As always, your jokes go too far.\In that case, I'll show you the abilities I possess, now that I have become a Super Saiyan! response:	Is this Ki Vegeta's? He's had an incredible power-up!
context: is that...\which you fear most!\A Super Saiyan!\Super Saiy... an?\What's this Super Saiyan business he's talking about?\As always, your jokes go too far.\In that case, I'll show you the abilities I possess, now that I have become a Super Saiyan!\Is this Ki Vegeta's? He's had an incredible power-up! response:	A- Awesome!
context: which you fear most!\A Super Saiyan!\Super Saiy... an?\What's this Super Saiyan business he's talking about?\As always, your jokes go too far.\In that case, I'll show you the abilities I possess, now that I have become a Super Saiyan!\Is this Ki Vegeta's? He's had an incredible power-up!\A- Awesome! response:	What's this? Why is he so powered-up?
context: A Super Saiyan!\Super Saiy... an?\What's this Super Saiyan business he's talking about?\As always, your jokes go too far.\In that case, I'll show you the abilities I possess, now that I have become a Super Saiyan!\Is this Ki Vegeta's? He's had an incredible power-up!\A- Awesome!\What's this? Why is he so powered-up? response:	It's like he's a different person! What the hell happened to him?
context: Super Saiy... an?\What's this Super Saiyan business he's talking about?\As always, your jokes go too far.\In that case, I'll show you the abilities I possess, now that I have become a Super Saiyan!\Is this Ki Vegeta's? He's had an incredible power-up!\A- Awesome!\What's this? Why is he so powered-up?\It's like he's a different person! What the hell happened to him? response:	W- When a Saiyan recovers from near-death, their power goes up several times over!
context: What's this Super Saiyan business he's talking about?\As always, your jokes go too far.\In that case, I'll show you the abilities I possess, now that I have become a Super Saiyan!\Is this Ki Vegeta's? He's had an incredible power-up!\A- Awesome!\What's this? Why is he so powered-up?\It's like he's a different person! What the hell happened to him?\W- When a Saiyan recovers from near-death, their power goes up several times over! response:	What!?
context: As always, your jokes go too far.\In that case, I'll show you the abilities I possess, now that I have become a Super Saiyan!\Is this Ki Vegeta's? He's had an incredible power-up!\A- Awesome!\What's this? Why is he so powered-up?\It's like he's a different person! What the hell happened to him?\W- When a Saiyan recovers from near-death, their power goes up several times over!\What!? response:	Gohan, let's put our money on Vegeta, and take shelter for now.
context: In that case, I'll show you the abilities I possess, now that I have become a Super Saiyan!\Is this Ki Vegeta's? He's had an incredible power-up!\A- Awesome!\What's this? Why is he so powered-up?\It's like he's a different person! What the hell happened to him?\W- When a Saiyan recovers from near-death, their power goes up several times over!\What!?\Gohan, let's put our money on Vegeta, and take shelter for now. response:	Right!
context: Is this Ki Vegeta's? He's had an incredible power-up!\A- Awesome!\What's this? Why is he so powered-up?\It's like he's a different person! What the hell happened to him?\W- When a Saiyan recovers from near-death, their power goes up several times over!\What!?\Gohan, let's put our money on Vegeta, and take shelter for now.\Right! response:	You know, to think that suddenly, someone could have achieved this much of a power-up...
context: A- Awesome!\What's this? Why is he so powered-up?\It's like he's a different person! What the hell happened to him?\W- When a Saiyan recovers from near-death, their power goes up several times over!\What!?\Gohan, let's put our money on Vegeta, and take shelter for now.\Right!\You know, to think that suddenly, someone could have achieved this much of a power-up... response:	You can see it for yourself. This is exactly why Vegeta purposely came close to dying,
context: What's this? Why is he so powered-up?\It's like he's a different person! What the hell happened to him?\W- When a Saiyan recovers from near-death, their power goes up several times over!\What!?\Gohan, let's put our money on Vegeta, and take shelter for now.\Right!\You know, to think that suddenly, someone could have achieved this much of a power-up...\You can see it for yourself. This is exactly why Vegeta purposely came close to dying, response:	then got himself revived by Dende.
context: It's like he's a different person! What the hell happened to him?\W- When a Saiyan recovers from near-death, their power goes up several times over!\What!?\Gohan, let's put our money on Vegeta, and take shelter for now.\Right!\You know, to think that suddenly, someone could have achieved this much of a power-up...\You can see it for yourself. This is exactly why Vegeta purposely came close to dying,\then got himself revived by Dende. response:	S- So that's what he was doing, huh? He was right...
context: W- When a Saiyan recovers from near-death, their power goes up several times over!\What!?\Gohan, let's put our money on Vegeta, and take shelter for now.\Right!\You know, to think that suddenly, someone could have achieved this much of a power-up...\You can see it for yourself. This is exactly why Vegeta purposely came close to dying,\then got himself revived by Dende.\S- So that's what he was doing, huh? He was right... response:	And now, Vegeta really is incredible! With any luck, he might actually take Freeza! Right, Gohan!?
context: What!?\Gohan, let's put our money on Vegeta, and take shelter for now.\Right!\You know, to think that suddenly, someone could have achieved this much of a power-up...\You can see it for yourself. This is exactly why Vegeta purposely came close to dying,\then got himself revived by Dende.\S- So that's what he was doing, huh? He was right...\And now, Vegeta really is incredible! With any luck, he might actually take Freeza! Right, Gohan!? response:	W- What? What happened?
context: Gohan, let's put our money on Vegeta, and take shelter for now.\Right!\You know, to think that suddenly, someone could have achieved this much of a power-up...\You can see it for yourself. This is exactly why Vegeta purposely came close to dying,\then got himself revived by Dende.\S- So that's what he was doing, huh? He was right...\And now, Vegeta really is incredible! With any luck, he might actually take Freeza! Right, Gohan!?\W- What? What happened? response:	They're both the same as they were before. What...
context: Right!\You know, to think that suddenly, someone could have achieved this much of a power-up...\You can see it for yourself. This is exactly why Vegeta purposely came close to dying,\then got himself revived by Dende.\S- So that's what he was doing, huh? He was right...\And now, Vegeta really is incredible! With any luck, he might actually take Freeza! Right, Gohan!?\W- What? What happened?\They're both the same as they were before. What... response:	No, they aren't, Gohan. Try sensing Vegeta's Ki. It's calm now, but unbelievably huge!
context: You know, to think that suddenly, someone could have achieved this much of a power-up...\You can see it for yourself. This is exactly why Vegeta purposely came close to dying,\then got himself revived by Dende.\S- So that's what he was doing, huh? He was right...\And now, Vegeta really is incredible! With any luck, he might actually take Freeza! Right, Gohan!?\W- What? What happened?\They're both the same as they were before. What...\No, they aren't, Gohan. Try sensing Vegeta's Ki. It's calm now, but unbelievably huge! response:	Incredible! I can't believe his Ki is so full!
context: You can see it for yourself. This is exactly why Vegeta purposely came close to dying,\then got himself revived by Dende.\S- So that's what he was doing, huh? He was right...\And now, Vegeta really is incredible! With any luck, he might actually take Freeza! Right, Gohan!?\W- What? What happened?\They're both the same as they were before. What...\No, they aren't, Gohan. Try sensing Vegeta's Ki. It's calm now, but unbelievably huge!\Incredible! I can't believe his Ki is so full! response:	Yeah. Vegeta really might be able to beat Freeza at this point.
context: then got himself revived by Dende.\S- So that's what he was doing, huh? He was right...\And now, Vegeta really is incredible! With any luck, he might actually take Freeza! Right, Gohan!?\W- What? What happened?\They're both the same as they were before. What...\No, they aren't, Gohan. Try sensing Vegeta's Ki. It's calm now, but unbelievably huge!\Incredible! I can't believe his Ki is so full!\Yeah. Vegeta really might be able to beat Freeza at this point. response:	I'm supposed to think that somehow you've powered up quite a bit.
context: S- So that's what he was doing, huh? He was right...\And now, Vegeta really is incredible! With any luck, he might actually take Freeza! Right, Gohan!?\W- What? What happened?\They're both the same as they were before. What...\No, they aren't, Gohan. Try sensing Vegeta's Ki. It's calm now, but unbelievably huge!\Incredible! I can't believe his Ki is so full!\Yeah. Vegeta really might be able to beat Freeza at this point.\I'm supposed to think that somehow you've powered up quite a bit. response:	You dare say! Just be grateful you don't have a Scouter with you!
context: And now, Vegeta really is incredible! With any luck, he might actually take Freeza! Right, Gohan!?\W- What? What happened?\They're both the same as they were before. What...\No, they aren't, Gohan. Try sensing Vegeta's Ki. It's calm now, but unbelievably huge!\Incredible! I can't believe his Ki is so full!\Yeah. Vegeta really might be able to beat Freeza at this point.\I'm supposed to think that somehow you've powered up quite a bit.\You dare say! Just be grateful you don't have a Scouter with you! response:	If your Scouter were to read my battle rating now, you would run away from here in tears!
context: W- What? What happened?\They're both the same as they were before. What...\No, they aren't, Gohan. Try sensing Vegeta's Ki. It's calm now, but unbelievably huge!\Incredible! I can't believe his Ki is so full!\Yeah. Vegeta really might be able to beat Freeza at this point.\I'm supposed to think that somehow you've powered up quite a bit.\You dare say! Just be grateful you don't have a Scouter with you!\If your Scouter were to read my battle rating now, you would run away from here in tears! response:	The reason being, my power has now become even greater than yours!
context: They're both the same as they were before. What...\No, they aren't, Gohan. Try sensing Vegeta's Ki. It's calm now, but unbelievably huge!\Incredible! I can't believe his Ki is so full!\Yeah. Vegeta really might be able to beat Freeza at this point.\I'm supposed to think that somehow you've powered up quite a bit.\You dare say! Just be grateful you don't have a Scouter with you!\If your Scouter were to read my battle rating now, you would run away from here in tears!\The reason being, my power has now become even greater than yours! response:	Brace yourself, Freeza. This time, for sure, you are going to meet your end!
context: No, they aren't, Gohan. Try sensing Vegeta's Ki. It's calm now, but unbelievably huge!\Incredible! I can't believe his Ki is so full!\Yeah. Vegeta really might be able to beat Freeza at this point.\I'm supposed to think that somehow you've powered up quite a bit.\You dare say! Just be grateful you don't have a Scouter with you!\If your Scouter were to read my battle rating now, you would run away from here in tears!\The reason being, my power has now become even greater than yours!\Brace yourself, Freeza. This time, for sure, you are going to meet your end! response:	What's the matter? Are you too frightened to say anything? Well, Freeza-san?
context: Incredible! I can't believe his Ki is so full!\Yeah. Vegeta really might be able to beat Freeza at this point.\I'm supposed to think that somehow you've powered up quite a bit.\You dare say! Just be grateful you don't have a Scouter with you!\If your Scouter were to read my battle rating now, you would run away from here in tears!\The reason being, my power has now become even greater than yours!\Brace yourself, Freeza. This time, for sure, you are going to meet your end!\What's the matter? Are you too frightened to say anything? Well, Freeza-san? response:	Okay, okay. I get you, I get you.
context: Yeah. Vegeta really might be able to beat Freeza at this point.\I'm supposed to think that somehow you've powered up quite a bit.\You dare say! Just be grateful you don't have a Scouter with you!\If your Scouter were to read my battle rating now, you would run away from here in tears!\The reason being, my power has now become even greater than yours!\Brace yourself, Freeza. This time, for sure, you are going to meet your end!\What's the matter? Are you too frightened to say anything? Well, Freeza-san?\Okay, okay. I get you, I get you. response:	If you mean everything you said, then I've decided to see for myself the power of this so-called, legendary Super Saiyan,
context: I'm supposed to think that somehow you've powered up quite a bit.\You dare say! Just be grateful you don't have a Scouter with you!\If your Scouter were to read my battle rating now, you would run away from here in tears!\The reason being, my power has now become even greater than yours!\Brace yourself, Freeza. This time, for sure, you are going to meet your end!\What's the matter? Are you too frightened to say anything? Well, Freeza-san?\Okay, okay. I get you, I get you.\If you mean everything you said, then I've decided to see for myself the power of this so-called, legendary Super Saiyan, response:	the strongest warrior in history.
context: You dare say! Just be grateful you don't have a Scouter with you!\If your Scouter were to read my battle rating now, you would run away from here in tears!\The reason being, my power has now become even greater than yours!\Brace yourself, Freeza. This time, for sure, you are going to meet your end!\What's the matter? Are you too frightened to say anything? Well, Freeza-san?\Okay, okay. I get you, I get you.\If you mean everything you said, then I've decided to see for myself the power of this so-called, legendary Super Saiyan,\the strongest warrior in history. response:	Don't you mock me!
context: If your Scouter were to read my battle rating now, you would run away from here in tears!\The reason being, my power has now become even greater than yours!\Brace yourself, Freeza. This time, for sure, you are going to meet your end!\What's the matter? Are you too frightened to say anything? Well, Freeza-san?\Okay, okay. I get you, I get you.\If you mean everything you said, then I've decided to see for myself the power of this so-called, legendary Super Saiyan,\the strongest warrior in history.\Don't you mock me! response:	I see you!
context: The reason being, my power has now become even greater than yours!\Brace yourself, Freeza. This time, for sure, you are going to meet your end!\What's the matter? Are you too frightened to say anything? Well, Freeza-san?\Okay, okay. I get you, I get you.\If you mean everything you said, then I've decided to see for myself the power of this so-called, legendary Super Saiyan,\the strongest warrior in history.\Don't you mock me!\I see you! response:	Kakarrot won't even get a turn!
context: Brace yourself, Freeza. This time, for sure, you are going to meet your end!\What's the matter? Are you too frightened to say anything? Well, Freeza-san?\Okay, okay. I get you, I get you.\If you mean everything you said, then I've decided to see for myself the power of this so-called, legendary Super Saiyan,\the strongest warrior in history.\Don't you mock me!\I see you!\Kakarrot won't even get a turn! response:	l- Incredible!
context: What's the matter? Are you too frightened to say anything? Well, Freeza-san?\Okay, okay. I get you, I get you.\If you mean everything you said, then I've decided to see for myself the power of this so-called, legendary Super Saiyan,\the strongest warrior in history.\Don't you mock me!\I see you!\Kakarrot won't even get a turn!\l- Incredible! response:	He's completely got Freeza on the run!
