context: It's the last painting Mashiro did before she came to Japan. response:	Has this helped you understand...
context: Rita-san!\Just watch.\You're really good...\What's wrong?\Nothing.\You must have it rough.\What do you mean?\Both Mashiro's and Misaki's work are incredible. response:	Working alongside people who are bursting...
context: Just watch.\You're really good...\What's wrong?\Nothing.\You must have it rough.\What do you mean?\Both Mashiro's and Misaki's work are incredible.\Working alongside people who are bursting... response:	at the seams with talent must be quite a burden.
context: You're really good...\What's wrong?\Nothing.\You must have it rough.\What do you mean?\Both Mashiro's and Misaki's work are incredible.\Working alongside people who are bursting...\at the seams with talent must be quite a burden. response:	Have you made up your mind...
context: What's wrong?\Nothing.\You must have it rough.\What do you mean?\Both Mashiro's and Misaki's work are incredible.\Working alongside people who are bursting...\at the seams with talent must be quite a burden.\Have you made up your mind... response:	about Mashiro returning to England yet?
context: Nothing.\You must have it rough.\What do you mean?\Both Mashiro's and Misaki's work are incredible.\Working alongside people who are bursting...\at the seams with talent must be quite a burden.\Have you made up your mind...\about Mashiro returning to England yet? response:	If you're telling me to talk to her, it's no good.
context: You must have it rough.\What do you mean?\Both Mashiro's and Misaki's work are incredible.\Working alongside people who are bursting...\at the seams with talent must be quite a burden.\Have you made up your mind...\about Mashiro returning to England yet?\If you're telling me to talk to her, it's no good. response:	She won't listen to me.
context: What do you mean?\Both Mashiro's and Misaki's work are incredible.\Working alongside people who are bursting...\at the seams with talent must be quite a burden.\Have you made up your mind...\about Mashiro returning to England yet?\If you're telling me to talk to her, it's no good.\She won't listen to me. response:	Either way, I think you'd be more effective...
context: Both Mashiro's and Misaki's work are incredible.\Working alongside people who are bursting...\at the seams with talent must be quite a burden.\Have you made up your mind...\about Mashiro returning to England yet?\If you're telling me to talk to her, it's no good.\She won't listen to me.\Either way, I think you'd be more effective... response:	in persuading her than I would be.
context: Working alongside people who are bursting...\at the seams with talent must be quite a burden.\Have you made up your mind...\about Mashiro returning to England yet?\If you're telling me to talk to her, it's no good.\She won't listen to me.\Either way, I think you'd be more effective...\in persuading her than I would be. response:	I want to ask you something.
context: at the seams with talent must be quite a burden.\Have you made up your mind...\about Mashiro returning to England yet?\If you're telling me to talk to her, it's no good.\She won't listen to me.\Either way, I think you'd be more effective...\in persuading her than I would be.\I want to ask you something. response:	What is it?
context: Have you made up your mind...\about Mashiro returning to England yet?\If you're telling me to talk to her, it's no good.\She won't listen to me.\Either way, I think you'd be more effective...\in persuading her than I would be.\I want to ask you something.\What is it? response:	What did you mean...
context: about Mashiro returning to England yet?\If you're telling me to talk to her, it's no good.\She won't listen to me.\Either way, I think you'd be more effective...\in persuading her than I would be.\I want to ask you something.\What is it?\What did you mean... response:	when you said Shiina would destroy me?
context: If you're telling me to talk to her, it's no good.\She won't listen to me.\Either way, I think you'd be more effective...\in persuading her than I would be.\I want to ask you something.\What is it?\What did you mean...\when you said Shiina would destroy me? response:	Does it have anything to do with why you stopped painting?
context: She won't listen to me.\Either way, I think you'd be more effective...\in persuading her than I would be.\I want to ask you something.\What is it?\What did you mean...\when you said Shiina would destroy me?\Does it have anything to do with why you stopped painting? response:	Rita's in here.
context: Either way, I think you'd be more effective...\in persuading her than I would be.\I want to ask you something.\What is it?\What did you mean...\when you said Shiina would destroy me?\Does it have anything to do with why you stopped painting?\Rita's in here. response:	Yes. I was deepening my friendship with Sorata.
context: in persuading her than I would be.\I want to ask you something.\What is it?\What did you mean...\when you said Shiina would destroy me?\Does it have anything to do with why you stopped painting?\Rita's in here.\Yes. I was deepening my friendship with Sorata. response:	Don't say it like that!
context: I want to ask you something.\What is it?\What did you mean...\when you said Shiina would destroy me?\Does it have anything to do with why you stopped painting?\Rita's in here.\Yes. I was deepening my friendship with Sorata.\Don't say it like that! response:	You're finished?
context: What is it?\What did you mean...\when you said Shiina would destroy me?\Does it have anything to do with why you stopped painting?\Rita's in here.\Yes. I was deepening my friendship with Sorata.\Don't say it like that!\You're finished? response:	What did Misaki-senpai say?
context: What did you mean...\when you said Shiina would destroy me?\Does it have anything to do with why you stopped painting?\Rita's in here.\Yes. I was deepening my friendship with Sorata.\Don't say it like that!\You're finished?\What did Misaki-senpai say? response:	She hugged me.
context: when you said Shiina would destroy me?\Does it have anything to do with why you stopped painting?\Rita's in here.\Yes. I was deepening my friendship with Sorata.\Don't say it like that!\You're finished?\What did Misaki-senpai say?\She hugged me. response:	I love you!
context: Does it have anything to do with why you stopped painting?\Rita's in here.\Yes. I was deepening my friendship with Sorata.\Don't say it like that!\You're finished?\What did Misaki-senpai say?\She hugged me.\I love you! response:	Must be perfect, then.
context: Rita's in here.\Yes. I was deepening my friendship with Sorata.\Don't say it like that!\You're finished?\What did Misaki-senpai say?\She hugged me.\I love you!\Must be perfect, then. response:	Is it okay?
context: Yes. I was deepening my friendship with Sorata.\Don't say it like that!\You're finished?\What did Misaki-senpai say?\She hugged me.\I love you!\Must be perfect, then.\Is it okay? response:	Yeah, I think it's perfect, too.
context: Don't say it like that!\You're finished?\What did Misaki-senpai say?\She hugged me.\I love you!\Must be perfect, then.\Is it okay?\Yeah, I think it's perfect, too. response:	Good evening.
context: You're finished?\What did Misaki-senpai say?\She hugged me.\I love you!\Must be perfect, then.\Is it okay?\Yeah, I think it's perfect, too.\Good evening. response:	Don't expect to have everything your way, freeloader.
context: What did Misaki-senpai say?\She hugged me.\I love you!\Must be perfect, then.\Is it okay?\Yeah, I think it's perfect, too.\Good evening.\Don't expect to have everything your way, freeloader. response:	What are you trying to say?
context: She hugged me.\I love you!\Must be perfect, then.\Is it okay?\Yeah, I think it's perfect, too.\Good evening.\Don't expect to have everything your way, freeloader.\What are you trying to say? response:	I'm saying that Kanda still has that which you've forgotten.
context: I love you!\Must be perfect, then.\Is it okay?\Yeah, I think it's perfect, too.\Good evening.\Don't expect to have everything your way, freeloader.\What are you trying to say?\I'm saying that Kanda still has that which you've forgotten. response:	You seem to have me all figured out.
context: Must be perfect, then.\Is it okay?\Yeah, I think it's perfect, too.\Good evening.\Don't expect to have everything your way, freeloader.\What are you trying to say?\I'm saying that Kanda still has that which you've forgotten.\You seem to have me all figured out. response:	You've already given up on art.
context: Is it okay?\Yeah, I think it's perfect, too.\Good evening.\Don't expect to have everything your way, freeloader.\What are you trying to say?\I'm saying that Kanda still has that which you've forgotten.\You seem to have me all figured out.\You've already given up on art. response:	That's all I needed to know to figure you out.
context: Yeah, I think it's perfect, too.\Good evening.\Don't expect to have everything your way, freeloader.\What are you trying to say?\I'm saying that Kanda still has that which you've forgotten.\You seem to have me all figured out.\You've already given up on art.\That's all I needed to know to figure you out. response:	You were listening?
context: Good evening.\Don't expect to have everything your way, freeloader.\What are you trying to say?\I'm saying that Kanda still has that which you've forgotten.\You seem to have me all figured out.\You've already given up on art.\That's all I needed to know to figure you out.\You were listening? response:	A gentleman doesn't eavesdrop.
context: Don't expect to have everything your way, freeloader.\What are you trying to say?\I'm saying that Kanda still has that which you've forgotten.\You seem to have me all figured out.\You've already given up on art.\That's all I needed to know to figure you out.\You were listening?\A gentleman doesn't eavesdrop. response:	Kanda-kun, have you been working too hard?
context: What are you trying to say?\I'm saying that Kanda still has that which you've forgotten.\You seem to have me all figured out.\You've already given up on art.\That's all I needed to know to figure you out.\You were listening?\A gentleman doesn't eavesdrop.\Kanda-kun, have you been working too hard? response:	No, I just haven't slept very well recently.
context: I'm saying that Kanda still has that which you've forgotten.\You seem to have me all figured out.\You've already given up on art.\That's all I needed to know to figure you out.\You were listening?\A gentleman doesn't eavesdrop.\Kanda-kun, have you been working too hard?\No, I just haven't slept very well recently. response:	Rita came to bother me again last night.
context: You seem to have me all figured out.\You've already given up on art.\That's all I needed to know to figure you out.\You were listening?\A gentleman doesn't eavesdrop.\Kanda-kun, have you been working too hard?\No, I just haven't slept very well recently.\Rita came to bother me again last night. response:	I don't like that girl.
context: You've already given up on art.\That's all I needed to know to figure you out.\You were listening?\A gentleman doesn't eavesdrop.\Kanda-kun, have you been working too hard?\No, I just haven't slept very well recently.\Rita came to bother me again last night.\I don't like that girl. response:	Just looking at her fake smile makes me angry.
context: That's all I needed to know to figure you out.\You were listening?\A gentleman doesn't eavesdrop.\Kanda-kun, have you been working too hard?\No, I just haven't slept very well recently.\Rita came to bother me again last night.\I don't like that girl.\Just looking at her fake smile makes me angry. response:	Her fake smile?
context: You were listening?\A gentleman doesn't eavesdrop.\Kanda-kun, have you been working too hard?\No, I just haven't slept very well recently.\Rita came to bother me again last night.\I don't like that girl.\Just looking at her fake smile makes me angry.\Her fake smile? response:	What's on today's agenda?
context: A gentleman doesn't eavesdrop.\Kanda-kun, have you been working too hard?\No, I just haven't slept very well recently.\Rita came to bother me again last night.\I don't like that girl.\Just looking at her fake smile makes me angry.\Her fake smile?\What's on today's agenda? response:	We've actually run into a bit of a problem.
context: Kanda-kun, have you been working too hard?\No, I just haven't slept very well recently.\Rita came to bother me again last night.\I don't like that girl.\Just looking at her fake smile makes me angry.\Her fake smile?\What's on today's agenda?\We've actually run into a bit of a problem. response:	If we want to participate in the culture festival,
context: No, I just haven't slept very well recently.\Rita came to bother me again last night.\I don't like that girl.\Just looking at her fake smile makes me angry.\Her fake smile?\What's on today's agenda?\We've actually run into a bit of a problem.\If we want to participate in the culture festival, response:	the Student Council is insisting that a representative...
context: Rita came to bother me again last night.\I don't like that girl.\Just looking at her fake smile makes me angry.\Her fake smile?\What's on today's agenda?\We've actually run into a bit of a problem.\If we want to participate in the culture festival,\the Student Council is insisting that a representative... response:	makes a presentation.
context: I don't like that girl.\Just looking at her fake smile makes me angry.\Her fake smile?\What's on today's agenda?\We've actually run into a bit of a problem.\If we want to participate in the culture festival,\the Student Council is insisting that a representative...\makes a presentation. response:	A presentation?
context: Just looking at her fake smile makes me angry.\Her fake smile?\What's on today's agenda?\We've actually run into a bit of a problem.\If we want to participate in the culture festival,\the Student Council is insisting that a representative...\makes a presentation.\A presentation? response:	Yeah.
context: Her fake smile?\What's on today's agenda?\We've actually run into a bit of a problem.\If we want to participate in the culture festival,\the Student Council is insisting that a representative...\makes a presentation.\A presentation?\Yeah. response:	We have to explain what we're going to do,
context: What's on today's agenda?\We've actually run into a bit of a problem.\If we want to participate in the culture festival,\the Student Council is insisting that a representative...\makes a presentation.\A presentation?\Yeah.\We have to explain what we're going to do, response:	not just to the Student Council,
context: We've actually run into a bit of a problem.\If we want to participate in the culture festival,\the Student Council is insisting that a representative...\makes a presentation.\A presentation?\Yeah.\We have to explain what we're going to do,\not just to the Student Council, response:	but to the festival committee...
context: If we want to participate in the culture festival,\the Student Council is insisting that a representative...\makes a presentation.\A presentation?\Yeah.\We have to explain what we're going to do,\not just to the Student Council,\but to the festival committee... response:	and the student union, as well.
context: the Student Council is insisting that a representative...\makes a presentation.\A presentation?\Yeah.\We have to explain what we're going to do,\not just to the Student Council,\but to the festival committee...\and the student union, as well. response:	This is a job for the director, Sorata.
context: makes a presentation.\A presentation?\Yeah.\We have to explain what we're going to do,\not just to the Student Council,\but to the festival committee...\and the student union, as well.\This is a job for the director, Sorata. response:	What?!
context: A presentation?\Yeah.\We have to explain what we're going to do,\not just to the Student Council,\but to the festival committee...\and the student union, as well.\This is a job for the director, Sorata.\What?! response:	I have something to report, as well.
context: Yeah.\We have to explain what we're going to do,\not just to the Student Council,\but to the festival committee...\and the student union, as well.\This is a job for the director, Sorata.\What?!\I have something to report, as well. response:	The art for the dramatic sequences is two days behind schedule.
context: We have to explain what we're going to do,\not just to the Student Council,\but to the festival committee...\and the student union, as well.\This is a job for the director, Sorata.\What?!\I have something to report, as well.\The art for the dramatic sequences is two days behind schedule. response:	At this rate, we won't make it in time for the festival.
context: not just to the Student Council,\but to the festival committee...\and the student union, as well.\This is a job for the director, Sorata.\What?!\I have something to report, as well.\The art for the dramatic sequences is two days behind schedule.\At this rate, we won't make it in time for the festival. response:	I'll do my best.
context: but to the festival committee...\and the student union, as well.\This is a job for the director, Sorata.\What?!\I have something to report, as well.\The art for the dramatic sequences is two days behind schedule.\At this rate, we won't make it in time for the festival.\I'll do my best. response:	You're already producing work...
context: and the student union, as well.\This is a job for the director, Sorata.\What?!\I have something to report, as well.\The art for the dramatic sequences is two days behind schedule.\At this rate, we won't make it in time for the festival.\I'll do my best.\You're already producing work... response:	with astounding speed and quality.
context: This is a job for the director, Sorata.\What?!\I have something to report, as well.\The art for the dramatic sequences is two days behind schedule.\At this rate, we won't make it in time for the festival.\I'll do my best.\You're already producing work...\with astounding speed and quality. response:	It would be unrealistic for you...
context: What?!\I have something to report, as well.\The art for the dramatic sequences is two days behind schedule.\At this rate, we won't make it in time for the festival.\I'll do my best.\You're already producing work...\with astounding speed and quality.\It would be unrealistic for you... response:	to shoulder more work alone.
context: I have something to report, as well.\The art for the dramatic sequences is two days behind schedule.\At this rate, we won't make it in time for the festival.\I'll do my best.\You're already producing work...\with astounding speed and quality.\It would be unrealistic for you...\to shoulder more work alone. response:	Looks like it's my time to shine!
context: The art for the dramatic sequences is two days behind schedule.\At this rate, we won't make it in time for the festival.\I'll do my best.\You're already producing work...\with astounding speed and quality.\It would be unrealistic for you...\to shoulder more work alone.\Looks like it's my time to shine! response:	I'm going to help you, Mashiron!
context: At this rate, we won't make it in time for the festival.\I'll do my best.\You're already producing work...\with astounding speed and quality.\It would be unrealistic for you...\to shoulder more work alone.\Looks like it's my time to shine!\I'm going to help you, Mashiron! response:	Kamiigusa-senpai, your modeling work...
context: I'll do my best.\You're already producing work...\with astounding speed and quality.\It would be unrealistic for you...\to shoulder more work alone.\Looks like it's my time to shine!\I'm going to help you, Mashiron!\Kamiigusa-senpai, your modeling work... response:	is all that you have room for.
context: You're already producing work...\with astounding speed and quality.\It would be unrealistic for you...\to shoulder more work alone.\Looks like it's my time to shine!\I'm going to help you, Mashiron!\Kamiigusa-senpai, your modeling work...\is all that you have room for. response:	Then, we'll increase our numbers!
context: with astounding speed and quality.\It would be unrealistic for you...\to shoulder more work alone.\Looks like it's my time to shine!\I'm going to help you, Mashiron!\Kamiigusa-senpai, your modeling work...\is all that you have room for.\Then, we'll increase our numbers! response:	We'll invite more people to join our merry band!
context: It would be unrealistic for you...\to shoulder more work alone.\Looks like it's my time to shine!\I'm going to help you, Mashiron!\Kamiigusa-senpai, your modeling work...\is all that you have room for.\Then, we'll increase our numbers!\We'll invite more people to join our merry band! response:	I don't think anyone at school will associate with Sakura Hall.
context: to shoulder more work alone.\Looks like it's my time to shine!\I'm going to help you, Mashiron!\Kamiigusa-senpai, your modeling work...\is all that you have room for.\Then, we'll increase our numbers!\We'll invite more people to join our merry band!\I don't think anyone at school will associate with Sakura Hall. response:	It's all because the storyboards are falling behind schedule.
context: Looks like it's my time to shine!\I'm going to help you, Mashiron!\Kamiigusa-senpai, your modeling work...\is all that you have room for.\Then, we'll increase our numbers!\We'll invite more people to join our merry band!\I don't think anyone at school will associate with Sakura Hall.\It's all because the storyboards are falling behind schedule. response:	Don't sweat it, kouhai-kun!
context: I'm going to help you, Mashiron!\Kamiigusa-senpai, your modeling work...\is all that you have room for.\Then, we'll increase our numbers!\We'll invite more people to join our merry band!\I don't think anyone at school will associate with Sakura Hall.\It's all because the storyboards are falling behind schedule.\Don't sweat it, kouhai-kun! response:	That's right. Slow and steady wins the race.
context: Kamiigusa-senpai, your modeling work...\is all that you have room for.\Then, we'll increase our numbers!\We'll invite more people to join our merry band!\I don't think anyone at school will associate with Sakura Hall.\It's all because the storyboards are falling behind schedule.\Don't sweat it, kouhai-kun!\That's right. Slow and steady wins the race. response:	But if we can't meet our deadlines,
context: is all that you have room for.\Then, we'll increase our numbers!\We'll invite more people to join our merry band!\I don't think anyone at school will associate with Sakura Hall.\It's all because the storyboards are falling behind schedule.\Don't sweat it, kouhai-kun!\That's right. Slow and steady wins the race.\But if we can't meet our deadlines, response:	it won't matter how polished our work is.
context: Then, we'll increase our numbers!\We'll invite more people to join our merry band!\I don't think anyone at school will associate with Sakura Hall.\It's all because the storyboards are falling behind schedule.\Don't sweat it, kouhai-kun!\That's right. Slow and steady wins the race.\But if we can't meet our deadlines,\it won't matter how polished our work is. response:	Student Council President.
context: We'll invite more people to join our merry band!\I don't think anyone at school will associate with Sakura Hall.\It's all because the storyboards are falling behind schedule.\Don't sweat it, kouhai-kun!\That's right. Slow and steady wins the race.\But if we can't meet our deadlines,\it won't matter how polished our work is.\Student Council President. response:	Hau-hau's here, too!
context: I don't think anyone at school will associate with Sakura Hall.\It's all because the storyboards are falling behind schedule.\Don't sweat it, kouhai-kun!\That's right. Slow and steady wins the race.\But if we can't meet our deadlines,\it won't matter how polished our work is.\Student Council President.\Hau-hau's here, too! response:	Hey, everyone! This is the girl who's...
context: It's all because the storyboards are falling behind schedule.\Don't sweat it, kouhai-kun!\That's right. Slow and steady wins the race.\But if we can't meet our deadlines,\it won't matter how polished our work is.\Student Council President.\Hau-hau's here, too!\Hey, everyone! This is the girl who's... response:	providing the music for Nyapollon!
context: Don't sweat it, kouhai-kun!\That's right. Slow and steady wins the race.\But if we can't meet our deadlines,\it won't matter how polished our work is.\Student Council President.\Hau-hau's here, too!\Hey, everyone! This is the girl who's...\providing the music for Nyapollon! response:	Please don't call me that.
context: That's right. Slow and steady wins the race.\But if we can't meet our deadlines,\it won't matter how polished our work is.\Student Council President.\Hau-hau's here, too!\Hey, everyone! This is the girl who's...\providing the music for Nyapollon!\Please don't call me that. response:	My name is Himemiya Saori.
context: But if we can't meet our deadlines,\it won't matter how polished our work is.\Student Council President.\Hau-hau's here, too!\Hey, everyone! This is the girl who's...\providing the music for Nyapollon!\Please don't call me that.\My name is Himemiya Saori. response:	Are you eating lunch together?
context: it won't matter how polished our work is.\Student Council President.\Hau-hau's here, too!\Hey, everyone! This is the girl who's...\providing the music for Nyapollon!\Please don't call me that.\My name is Himemiya Saori.\Are you eating lunch together? response:	You two sure are close.
context: Student Council President.\Hau-hau's here, too!\Hey, everyone! This is the girl who's...\providing the music for Nyapollon!\Please don't call me that.\My name is Himemiya Saori.\Are you eating lunch together?\You two sure are close. response:	Did you get our message, Mitaka?
context: Hau-hau's here, too!\Hey, everyone! This is the girl who's...\providing the music for Nyapollon!\Please don't call me that.\My name is Himemiya Saori.\Are you eating lunch together?\You two sure are close.\Did you get our message, Mitaka? response:	About the presentation?
context: Hey, everyone! This is the girl who's...\providing the music for Nyapollon!\Please don't call me that.\My name is Himemiya Saori.\Are you eating lunch together?\You two sure are close.\Did you get our message, Mitaka?\About the presentation? response:	Isn't it a little unfair that we're the only group...
context: providing the music for Nyapollon!\Please don't call me that.\My name is Himemiya Saori.\Are you eating lunch together?\You two sure are close.\Did you get our message, Mitaka?\About the presentation?\Isn't it a little unfair that we're the only group... response:	that has to do one?
context: Please don't call me that.\My name is Himemiya Saori.\Are you eating lunch together?\You two sure are close.\Did you get our message, Mitaka?\About the presentation?\Isn't it a little unfair that we're the only group...\that has to do one? response:	Suimei High's culture festival...
context: My name is Himemiya Saori.\Are you eating lunch together?\You two sure are close.\Did you get our message, Mitaka?\About the presentation?\Isn't it a little unfair that we're the only group...\that has to do one?\Suimei High's culture festival... response:	is a major event for the neighborhood, spanning an entire week.
context: Are you eating lunch together?\You two sure are close.\Did you get our message, Mitaka?\About the presentation?\Isn't it a little unfair that we're the only group...\that has to do one?\Suimei High's culture festival...\is a major event for the neighborhood, spanning an entire week. response:	We get a lot of outside interest.
context: You two sure are close.\Did you get our message, Mitaka?\About the presentation?\Isn't it a little unfair that we're the only group...\that has to do one?\Suimei High's culture festival...\is a major event for the neighborhood, spanning an entire week.\We get a lot of outside interest. response:	Instead of complaining,
context: Did you get our message, Mitaka?\About the presentation?\Isn't it a little unfair that we're the only group...\that has to do one?\Suimei High's culture festival...\is a major event for the neighborhood, spanning an entire week.\We get a lot of outside interest.\Instead of complaining, response:	try reflecting on the way you conduct yourself.
context: About the presentation?\Isn't it a little unfair that we're the only group...\that has to do one?\Suimei High's culture festival...\is a major event for the neighborhood, spanning an entire week.\We get a lot of outside interest.\Instead of complaining,\try reflecting on the way you conduct yourself. response:	Don't be such a stuffed shirt.
context: Isn't it a little unfair that we're the only group...\that has to do one?\Suimei High's culture festival...\is a major event for the neighborhood, spanning an entire week.\We get a lot of outside interest.\Instead of complaining,\try reflecting on the way you conduct yourself.\Don't be such a stuffed shirt. response:	We've known each other a long time.
context: that has to do one?\Suimei High's culture festival...\is a major event for the neighborhood, spanning an entire week.\We get a lot of outside interest.\Instead of complaining,\try reflecting on the way you conduct yourself.\Don't be such a stuffed shirt.\We've known each other a long time. response:	Yes, involuntarily.
context: Suimei High's culture festival...\is a major event for the neighborhood, spanning an entire week.\We get a lot of outside interest.\Instead of complaining,\try reflecting on the way you conduct yourself.\Don't be such a stuffed shirt.\We've known each other a long time.\Yes, involuntarily. response:	Class is starting. Let's go.
context: is a major event for the neighborhood, spanning an entire week.\We get a lot of outside interest.\Instead of complaining,\try reflecting on the way you conduct yourself.\Don't be such a stuffed shirt.\We've known each other a long time.\Yes, involuntarily.\Class is starting. Let's go. response:	Okay.
context: We get a lot of outside interest.\Instead of complaining,\try reflecting on the way you conduct yourself.\Don't be such a stuffed shirt.\We've known each other a long time.\Yes, involuntarily.\Class is starting. Let's go.\Okay. response:	See you later.
context: Instead of complaining,\try reflecting on the way you conduct yourself.\Don't be such a stuffed shirt.\We've known each other a long time.\Yes, involuntarily.\Class is starting. Let's go.\Okay.\See you later. response:	That was the Student Council President?
context: try reflecting on the way you conduct yourself.\Don't be such a stuffed shirt.\We've known each other a long time.\Yes, involuntarily.\Class is starting. Let's go.\Okay.\See you later.\That was the Student Council President? response:	That's Tatebayashi Soichiro-senpai.
context: Don't be such a stuffed shirt.\We've known each other a long time.\Yes, involuntarily.\Class is starting. Let's go.\Okay.\See you later.\That was the Student Council President?\That's Tatebayashi Soichiro-senpai. response:	Jin-san, you don't get along with him?
context: We've known each other a long time.\Yes, involuntarily.\Class is starting. Let's go.\Okay.\See you later.\That was the Student Council President?\That's Tatebayashi Soichiro-senpai.\Jin-san, you don't get along with him? response:	It's not intentional on my part.
context: Yes, involuntarily.\Class is starting. Let's go.\Okay.\See you later.\That was the Student Council President?\That's Tatebayashi Soichiro-senpai.\Jin-san, you don't get along with him?\It's not intentional on my part. response:	At any rate, this'll be a difficult obstacle to overcome.
context: Class is starting. Let's go.\Okay.\See you later.\That was the Student Council President?\That's Tatebayashi Soichiro-senpai.\Jin-san, you don't get along with him?\It's not intentional on my part.\At any rate, this'll be a difficult obstacle to overcome. response:	Maybe me being the director wasn't such a good idea...
context: Okay.\See you later.\That was the Student Council President?\That's Tatebayashi Soichiro-senpai.\Jin-san, you don't get along with him?\It's not intentional on my part.\At any rate, this'll be a difficult obstacle to overcome.\Maybe me being the director wasn't such a good idea... response:	If that's what you think, just quit.
