context: Well, Kosaki? response:	What do you think of our new fall offerings?
context: Oh, by the way, Sister...\I know I'm the one who asked you to be our taster,\but don't you think you've been putting on some pounds lately?\Better watch out, or you're gonna get chubby in no time!\I-I'm fine! I am watching my weight!\Easy enough for me to say, but I do eat a lot of sweets these days.\And it's been a while since I last got on that scale.\I'm not getting much exercise, either, response:	so I'd better take better care of my body.
context: I know I'm the one who asked you to be our taster,\but don't you think you've been putting on some pounds lately?\Better watch out, or you're gonna get chubby in no time!\I-I'm fine! I am watching my weight!\Easy enough for me to say, but I do eat a lot of sweets these days.\And it's been a while since I last got on that scale.\I'm not getting much exercise, either,\so I'd better take better care of my body. response:	No way... No way!
context: but don't you think you've been putting on some pounds lately?\Better watch out, or you're gonna get chubby in no time!\I-I'm fine! I am watching my weight!\Easy enough for me to say, but I do eat a lot of sweets these days.\And it's been a while since I last got on that scale.\I'm not getting much exercise, either,\so I'd better take better care of my body.\No way... No way! response:	How did this happen after only a few days of not weighing myself?!
context: Better watch out, or you're gonna get chubby in no time!\I-I'm fine! I am watching my weight!\Easy enough for me to say, but I do eat a lot of sweets these days.\And it's been a while since I last got on that scale.\I'm not getting much exercise, either,\so I'd better take better care of my body.\No way... No way!\How did this happen after only a few days of not weighing myself?! response:	I admit I have a pretty good idea what the cause is,
context: I-I'm fine! I am watching my weight!\Easy enough for me to say, but I do eat a lot of sweets these days.\And it's been a while since I last got on that scale.\I'm not getting much exercise, either,\so I'd better take better care of my body.\No way... No way!\How did this happen after only a few days of not weighing myself?!\I admit I have a pretty good idea what the cause is, response:	but how could I have gained this much so suddenly?
context: Easy enough for me to say, but I do eat a lot of sweets these days.\And it's been a while since I last got on that scale.\I'm not getting much exercise, either,\so I'd better take better care of my body.\No way... No way!\How did this happen after only a few days of not weighing myself?!\I admit I have a pretty good idea what the cause is,\but how could I have gained this much so suddenly? response:	Outwardly, I don't look that much different.
context: And it's been a while since I last got on that scale.\I'm not getting much exercise, either,\so I'd better take better care of my body.\No way... No way!\How did this happen after only a few days of not weighing myself?!\I admit I have a pretty good idea what the cause is,\but how could I have gained this much so suddenly?\Outwardly, I don't look that much different. response:	But am I the only one who thinks that?
context: I'm not getting much exercise, either,\so I'd better take better care of my body.\No way... No way!\How did this happen after only a few days of not weighing myself?!\I admit I have a pretty good idea what the cause is,\but how could I have gained this much so suddenly?\Outwardly, I don't look that much different.\But am I the only one who thinks that? response:	In other people's eyes, does this tummy look enormous?
context: so I'd better take better care of my body.\No way... No way!\How did this happen after only a few days of not weighing myself?!\I admit I have a pretty good idea what the cause is,\but how could I have gained this much so suddenly?\Outwardly, I don't look that much different.\But am I the only one who thinks that?\In other people's eyes, does this tummy look enormous? response:	After all, Haru did point that out just now.
context: No way... No way!\How did this happen after only a few days of not weighing myself?!\I admit I have a pretty good idea what the cause is,\but how could I have gained this much so suddenly?\Outwardly, I don't look that much different.\But am I the only one who thinks that?\In other people's eyes, does this tummy look enormous?\After all, Haru did point that out just now. response:	This is terrible! I've got to fix this right away!
context: How did this happen after only a few days of not weighing myself?!\I admit I have a pretty good idea what the cause is,\but how could I have gained this much so suddenly?\Outwardly, I don't look that much different.\But am I the only one who thinks that?\In other people's eyes, does this tummy look enormous?\After all, Haru did point that out just now.\This is terrible! I've got to fix this right away! response:	I Want to Lose Weight
context: I admit I have a pretty good idea what the cause is,\but how could I have gained this much so suddenly?\Outwardly, I don't look that much different.\But am I the only one who thinks that?\In other people's eyes, does this tummy look enormous?\After all, Haru did point that out just now.\This is terrible! I've got to fix this right away!\I Want to Lose Weight response:	Hey, Ruri-chan?
context: but how could I have gained this much so suddenly?\Outwardly, I don't look that much different.\But am I the only one who thinks that?\In other people's eyes, does this tummy look enormous?\After all, Haru did point that out just now.\This is terrible! I've got to fix this right away!\I Want to Lose Weight\Hey, Ruri-chan? response:	Do you think I've gained weight lately?
context: Outwardly, I don't look that much different.\But am I the only one who thinks that?\In other people's eyes, does this tummy look enormous?\After all, Haru did point that out just now.\This is terrible! I've got to fix this right away!\I Want to Lose Weight\Hey, Ruri-chan?\Do you think I've gained weight lately? response:	You don't look any different than usual to me.
context: But am I the only one who thinks that?\In other people's eyes, does this tummy look enormous?\After all, Haru did point that out just now.\This is terrible! I've got to fix this right away!\I Want to Lose Weight\Hey, Ruri-chan?\Do you think I've gained weight lately?\You don't look any different than usual to me. response:	Well, yeah. You might want to be a little careful about that.
context: In other people's eyes, does this tummy look enormous?\After all, Haru did point that out just now.\This is terrible! I've got to fix this right away!\I Want to Lose Weight\Hey, Ruri-chan?\Do you think I've gained weight lately?\You don't look any different than usual to me.\Well, yeah. You might want to be a little careful about that. response:	I knew it!
context: After all, Haru did point that out just now.\This is terrible! I've got to fix this right away!\I Want to Lose Weight\Hey, Ruri-chan?\Do you think I've gained weight lately?\You don't look any different than usual to me.\Well, yeah. You might want to be a little careful about that.\I knew it! response:	I knew it, I've put on weight!
context: This is terrible! I've got to fix this right away!\I Want to Lose Weight\Hey, Ruri-chan?\Do you think I've gained weight lately?\You don't look any different than usual to me.\Well, yeah. You might want to be a little careful about that.\I knew it!\I knew it, I've put on weight! response:	I know they say it's hard to notice the changes in your own body.
context: I Want to Lose Weight\Hey, Ruri-chan?\Do you think I've gained weight lately?\You don't look any different than usual to me.\Well, yeah. You might want to be a little careful about that.\I knew it!\I knew it, I've put on weight!\I know they say it's hard to notice the changes in your own body. response:	But I really had no clue!
context: Hey, Ruri-chan?\Do you think I've gained weight lately?\You don't look any different than usual to me.\Well, yeah. You might want to be a little careful about that.\I knew it!\I knew it, I've put on weight!\I know they say it's hard to notice the changes in your own body.\But I really had no clue! response:	What should I do?
context: Do you think I've gained weight lately?\You don't look any different than usual to me.\Well, yeah. You might want to be a little careful about that.\I knew it!\I knew it, I've put on weight!\I know they say it's hard to notice the changes in your own body.\But I really had no clue!\What should I do? response:	I started off by skipping breakfast,
context: You don't look any different than usual to me.\Well, yeah. You might want to be a little careful about that.\I knew it!\I knew it, I've put on weight!\I know they say it's hard to notice the changes in your own body.\But I really had no clue!\What should I do?\I started off by skipping breakfast, response:	but to slim down, first, I need to exercise, right? And also...
context: Well, yeah. You might want to be a little careful about that.\I knew it!\I knew it, I've put on weight!\I know they say it's hard to notice the changes in your own body.\But I really had no clue!\What should I do?\I started off by skipping breakfast,\but to slim down, first, I need to exercise, right? And also... response:	Morning!
context: I knew it!\I knew it, I've put on weight!\I know they say it's hard to notice the changes in your own body.\But I really had no clue!\What should I do?\I started off by skipping breakfast,\but to slim down, first, I need to exercise, right? And also...\Morning! response:	Hey! Morning, Onodera!
context: I knew it, I've put on weight!\I know they say it's hard to notice the changes in your own body.\But I really had no clue!\What should I do?\I started off by skipping breakfast,\but to slim down, first, I need to exercise, right? And also...\Morning!\Hey! Morning, Onodera! response:	Good morning, Ichijo!
context: I know they say it's hard to notice the changes in your own body.\But I really had no clue!\What should I do?\I started off by skipping breakfast,\but to slim down, first, I need to exercise, right? And also...\Morning!\Hey! Morning, Onodera!\Good morning, Ichijo! response:	Th-That's right!
context: But I really had no clue!\What should I do?\I started off by skipping breakfast,\but to slim down, first, I need to exercise, right? And also...\Morning!\Hey! Morning, Onodera!\Good morning, Ichijo!\Th-That's right! response:	The last thing I want is for Ichijo to find out I've gained weight!
context: What should I do?\I started off by skipping breakfast,\but to slim down, first, I need to exercise, right? And also...\Morning!\Hey! Morning, Onodera!\Good morning, Ichijo!\Th-That's right!\The last thing I want is for Ichijo to find out I've gained weight! response:	I've got to shed these pounds before he does!
context: I started off by skipping breakfast,\but to slim down, first, I need to exercise, right? And also...\Morning!\Hey! Morning, Onodera!\Good morning, Ichijo!\Th-That's right!\The last thing I want is for Ichijo to find out I've gained weight!\I've got to shed these pounds before he does! response:	All right, I'm gonna do this!
context: but to slim down, first, I need to exercise, right? And also...\Morning!\Hey! Morning, Onodera!\Good morning, Ichijo!\Th-That's right!\The last thing I want is for Ichijo to find out I've gained weight!\I've got to shed these pounds before he does!\All right, I'm gonna do this! response:	Starting today, no sweets whatsoever!
context: Morning!\Hey! Morning, Onodera!\Good morning, Ichijo!\Th-That's right!\The last thing I want is for Ichijo to find out I've gained weight!\I've got to shed these pounds before he does!\All right, I'm gonna do this!\Starting today, no sweets whatsoever! response:	And I'm going to go easy on meals, as much as I can.
context: Hey! Morning, Onodera!\Good morning, Ichijo!\Th-That's right!\The last thing I want is for Ichijo to find out I've gained weight!\I've got to shed these pounds before he does!\All right, I'm gonna do this!\Starting today, no sweets whatsoever!\And I'm going to go easy on meals, as much as I can. response:	GURRR!
context: Good morning, Ichijo!\Th-That's right!\The last thing I want is for Ichijo to find out I've gained weight!\I've got to shed these pounds before he does!\All right, I'm gonna do this!\Starting today, no sweets whatsoever!\And I'm going to go easy on meals, as much as I can.\GURRR! response:	Huh? What was that?
context: Th-That's right!\The last thing I want is for Ichijo to find out I've gained weight!\I've got to shed these pounds before he does!\All right, I'm gonna do this!\Starting today, no sweets whatsoever!\And I'm going to go easy on meals, as much as I can.\GURRR!\Huh? What was that? response:	W-Well, now, what was that sound, I wonder?
context: The last thing I want is for Ichijo to find out I've gained weight!\I've got to shed these pounds before he does!\All right, I'm gonna do this!\Starting today, no sweets whatsoever!\And I'm going to go easy on meals, as much as I can.\GURRR!\Huh? What was that?\W-Well, now, what was that sound, I wonder? response:	An earthquake? You think it was an earthquake?
context: I've got to shed these pounds before he does!\All right, I'm gonna do this!\Starting today, no sweets whatsoever!\And I'm going to go easy on meals, as much as I can.\GURRR!\Huh? What was that?\W-Well, now, what was that sound, I wonder?\An earthquake? You think it was an earthquake? response:	That's so scary!
context: All right, I'm gonna do this!\Starting today, no sweets whatsoever!\And I'm going to go easy on meals, as much as I can.\GURRR!\Huh? What was that?\W-Well, now, what was that sound, I wonder?\An earthquake? You think it was an earthquake?\That's so scary! response:	Really, now! Why did my stomach have to growl now?
context: Starting today, no sweets whatsoever!\And I'm going to go easy on meals, as much as I can.\GURRR!\Huh? What was that?\W-Well, now, what was that sound, I wonder?\An earthquake? You think it was an earthquake?\That's so scary!\Really, now! Why did my stomach have to growl now? response:	Sure, I skipped breakfast today,
context: And I'm going to go easy on meals, as much as I can.\GURRR!\Huh? What was that?\W-Well, now, what was that sound, I wonder?\An earthquake? You think it was an earthquake?\That's so scary!\Really, now! Why did my stomach have to growl now?\Sure, I skipped breakfast today, response:	but there's no need to growl that loudly!
context: GURRR!\Huh? What was that?\W-Well, now, what was that sound, I wonder?\An earthquake? You think it was an earthquake?\That's so scary!\Really, now! Why did my stomach have to growl now?\Sure, I skipped breakfast today,\but there's no need to growl that loudly! response:	A-Are you all right, Onodera?
context: Huh? What was that?\W-Well, now, what was that sound, I wonder?\An earthquake? You think it was an earthquake?\That's so scary!\Really, now! Why did my stomach have to growl now?\Sure, I skipped breakfast today,\but there's no need to growl that loudly!\A-Are you all right, Onodera? response:	You kinda look pale.
context: W-Well, now, what was that sound, I wonder?\An earthquake? You think it was an earthquake?\That's so scary!\Really, now! Why did my stomach have to growl now?\Sure, I skipped breakfast today,\but there's no need to growl that loudly!\A-Are you all right, Onodera?\You kinda look pale. response:	What? No, no... It's nothing!
context: An earthquake? You think it was an earthquake?\That's so scary!\Really, now! Why did my stomach have to growl now?\Sure, I skipped breakfast today,\but there's no need to growl that loudly!\A-Are you all right, Onodera?\You kinda look pale.\What? No, no... It's nothing! response:	GURRR!
context: That's so scary!\Really, now! Why did my stomach have to growl now?\Sure, I skipped breakfast today,\but there's no need to growl that loudly!\A-Are you all right, Onodera?\You kinda look pale.\What? No, no... It's nothing!\GURRR! response:	I-It's nothing, okay?
context: Really, now! Why did my stomach have to growl now?\Sure, I skipped breakfast today,\but there's no need to growl that loudly!\A-Are you all right, Onodera?\You kinda look pale.\What? No, no... It's nothing!\GURRR!\I-It's nothing, okay? response:	Honestly!
context: Sure, I skipped breakfast today,\but there's no need to growl that loudly!\A-Are you all right, Onodera?\You kinda look pale.\What? No, no... It's nothing!\GURRR!\I-It's nothing, okay?\Honestly! response:	I-Is that right?
context: but there's no need to growl that loudly!\A-Are you all right, Onodera?\You kinda look pale.\What? No, no... It's nothing!\GURRR!\I-It's nothing, okay?\Honestly!\I-Is that right? response:	Y-You've got to hang in there, Kosaki!
context: A-Are you all right, Onodera?\You kinda look pale.\What? No, no... It's nothing!\GURRR!\I-It's nothing, okay?\Honestly!\I-Is that right?\Y-You've got to hang in there, Kosaki! response:	You only have to suffer for now... It's only for now!
context: You kinda look pale.\What? No, no... It's nothing!\GURRR!\I-It's nothing, okay?\Honestly!\I-Is that right?\Y-You've got to hang in there, Kosaki!\You only have to suffer for now... It's only for now! response:	Once you've lost those extra pounds, you can eat like you always did!
context: What? No, no... It's nothing!\GURRR!\I-It's nothing, okay?\Honestly!\I-Is that right?\Y-You've got to hang in there, Kosaki!\You only have to suffer for now... It's only for now!\Once you've lost those extra pounds, you can eat like you always did! response:	Hey! Kosaki!
context: GURRR!\I-It's nothing, okay?\Honestly!\I-Is that right?\Y-You've got to hang in there, Kosaki!\You only have to suffer for now... It's only for now!\Once you've lost those extra pounds, you can eat like you always did!\Hey! Kosaki! response:	Hey, you remember about our date today, right?
context: I-It's nothing, okay?\Honestly!\I-Is that right?\Y-You've got to hang in there, Kosaki!\You only have to suffer for now... It's only for now!\Once you've lost those extra pounds, you can eat like you always did!\Hey! Kosaki!\Hey, you remember about our date today, right? response:	Classes can't end soon enough, huh?
context: Honestly!\I-Is that right?\Y-You've got to hang in there, Kosaki!\You only have to suffer for now... It's only for now!\Once you've lost those extra pounds, you can eat like you always did!\Hey! Kosaki!\Hey, you remember about our date today, right?\Classes can't end soon enough, huh? response:	Date? What was that again?
context: I-Is that right?\Y-You've got to hang in there, Kosaki!\You only have to suffer for now... It's only for now!\Once you've lost those extra pounds, you can eat like you always did!\Hey! Kosaki!\Hey, you remember about our date today, right?\Classes can't end soon enough, huh?\Date? What was that again? response:	You know, what we've all been talking about.
context: Y-You've got to hang in there, Kosaki!\You only have to suffer for now... It's only for now!\Once you've lost those extra pounds, you can eat like you always did!\Hey! Kosaki!\Hey, you remember about our date today, right?\Classes can't end soon enough, huh?\Date? What was that again?\You know, what we've all been talking about. response:	We're going to that all-you-can-eat cake place today.
context: You only have to suffer for now... It's only for now!\Once you've lost those extra pounds, you can eat like you always did!\Hey! Kosaki!\Hey, you remember about our date today, right?\Classes can't end soon enough, huh?\Date? What was that again?\You know, what we've all been talking about.\We're going to that all-you-can-eat cake place today. response:	Did we really say we were going to do that?!
context: Once you've lost those extra pounds, you can eat like you always did!\Hey! Kosaki!\Hey, you remember about our date today, right?\Classes can't end soon enough, huh?\Date? What was that again?\You know, what we've all been talking about.\We're going to that all-you-can-eat cake place today.\Did we really say we were going to do that?! response:	Oh right, we talked about it
context: Hey! Kosaki!\Hey, you remember about our date today, right?\Classes can't end soon enough, huh?\Date? What was that again?\You know, what we've all been talking about.\We're going to that all-you-can-eat cake place today.\Did we really say we were going to do that?!\Oh right, we talked about it response:	Now I remember!
context: Hey, you remember about our date today, right?\Classes can't end soon enough, huh?\Date? What was that again?\You know, what we've all been talking about.\We're going to that all-you-can-eat cake place today.\Did we really say we were going to do that?!\Oh right, we talked about it\Now I remember! response:	It's that yummy-looking cake shop that was on TV the other day.
context: Classes can't end soon enough, huh?\Date? What was that again?\You know, what we've all been talking about.\We're going to that all-you-can-eat cake place today.\Did we really say we were going to do that?!\Oh right, we talked about it\Now I remember!\It's that yummy-looking cake shop that was on TV the other day. response:	I want to go...
context: Date? What was that again?\You know, what we've all been talking about.\We're going to that all-you-can-eat cake place today.\Did we really say we were going to do that?!\Oh right, we talked about it\Now I remember!\It's that yummy-looking cake shop that was on TV the other day.\I want to go... response:	But I've already made up my mind about this.
context: You know, what we've all been talking about.\We're going to that all-you-can-eat cake place today.\Did we really say we were going to do that?!\Oh right, we talked about it\Now I remember!\It's that yummy-looking cake shop that was on TV the other day.\I want to go...\But I've already made up my mind about this. response:	S-Sorry...
context: We're going to that all-you-can-eat cake place today.\Did we really say we were going to do that?!\Oh right, we talked about it\Now I remember!\It's that yummy-looking cake shop that was on TV the other day.\I want to go...\But I've already made up my mind about this.\S-Sorry... response:	The thing is, I have an emergency today.
context: Did we really say we were going to do that?!\Oh right, we talked about it\Now I remember!\It's that yummy-looking cake shop that was on TV the other day.\I want to go...\But I've already made up my mind about this.\S-Sorry...\The thing is, I have an emergency today. response:	I'm really sorry!
context: Oh right, we talked about it\Now I remember!\It's that yummy-looking cake shop that was on TV the other day.\I want to go...\But I've already made up my mind about this.\S-Sorry...\The thing is, I have an emergency today.\I'm really sorry! response:	What, really? Too bad.
context: Now I remember!\It's that yummy-looking cake shop that was on TV the other day.\I want to go...\But I've already made up my mind about this.\S-Sorry...\The thing is, I have an emergency today.\I'm really sorry!\What, really? Too bad. response:	But it's just as well, you know, Young Mistress...
context: It's that yummy-looking cake shop that was on TV the other day.\I want to go...\But I've already made up my mind about this.\S-Sorry...\The thing is, I have an emergency today.\I'm really sorry!\What, really? Too bad.\But it's just as well, you know, Young Mistress... response:	You went to have all-you-can-eat cake yesterday and the day before as well.
context: I want to go...\But I've already made up my mind about this.\S-Sorry...\The thing is, I have an emergency today.\I'm really sorry!\What, really? Too bad.\But it's just as well, you know, Young Mistress...\You went to have all-you-can-eat cake yesterday and the day before as well. response:	You're eating too much cake.
context: But I've already made up my mind about this.\S-Sorry...\The thing is, I have an emergency today.\I'm really sorry!\What, really? Too bad.\But it's just as well, you know, Young Mistress...\You went to have all-you-can-eat cake yesterday and the day before as well.\You're eating too much cake. response:	Hey, I just wanted to compare the shops.
context: S-Sorry...\The thing is, I have an emergency today.\I'm really sorry!\What, really? Too bad.\But it's just as well, you know, Young Mistress...\You went to have all-you-can-eat cake yesterday and the day before as well.\You're eating too much cake.\Hey, I just wanted to compare the shops. response:	Hey! Kosaki!
context: The thing is, I have an emergency today.\I'm really sorry!\What, really? Too bad.\But it's just as well, you know, Young Mistress...\You went to have all-you-can-eat cake yesterday and the day before as well.\You're eating too much cake.\Hey, I just wanted to compare the shops.\Hey! Kosaki! response:	What? What? What? What?
context: I'm really sorry!\What, really? Too bad.\But it's just as well, you know, Young Mistress...\You went to have all-you-can-eat cake yesterday and the day before as well.\You're eating too much cake.\Hey, I just wanted to compare the shops.\Hey! Kosaki!\What? What? What? What? response:	It's the same with Ruri, too. Where does all the food go, I wonder?
context: What, really? Too bad.\But it's just as well, you know, Young Mistress...\You went to have all-you-can-eat cake yesterday and the day before as well.\You're eating too much cake.\Hey, I just wanted to compare the shops.\Hey! Kosaki!\What? What? What? What?\It's the same with Ruri, too. Where does all the food go, I wonder? response:	I don't understand it!
context: But it's just as well, you know, Young Mistress...\You went to have all-you-can-eat cake yesterday and the day before as well.\You're eating too much cake.\Hey, I just wanted to compare the shops.\Hey! Kosaki!\What? What? What? What?\It's the same with Ruri, too. Where does all the food go, I wonder?\I don't understand it! response:	All this talk of cake is making me hungrier than ever.
context: You went to have all-you-can-eat cake yesterday and the day before as well.\You're eating too much cake.\Hey, I just wanted to compare the shops.\Hey! Kosaki!\What? What? What? What?\It's the same with Ruri, too. Where does all the food go, I wonder?\I don't understand it!\All this talk of cake is making me hungrier than ever. response:	But it's only second period now, so there's still a way to go before lunch.
context: You're eating too much cake.\Hey, I just wanted to compare the shops.\Hey! Kosaki!\What? What? What? What?\It's the same with Ruri, too. Where does all the food go, I wonder?\I don't understand it!\All this talk of cake is making me hungrier than ever.\But it's only second period now, so there's still a way to go before lunch. response:	But... but...
context: Hey, I just wanted to compare the shops.\Hey! Kosaki!\What? What? What? What?\It's the same with Ruri, too. Where does all the food go, I wonder?\I don't understand it!\All this talk of cake is making me hungrier than ever.\But it's only second period now, so there's still a way to go before lunch.\But... but... response:	I don't want my stomach to start growling in the classroom again!
context: Hey! Kosaki!\What? What? What? What?\It's the same with Ruri, too. Where does all the food go, I wonder?\I don't understand it!\All this talk of cake is making me hungrier than ever.\But it's only second period now, so there's still a way to go before lunch.\But... but...\I don't want my stomach to start growling in the classroom again! response:	What are you doing, Onodera?
context: What? What? What? What?\It's the same with Ruri, too. Where does all the food go, I wonder?\I don't understand it!\All this talk of cake is making me hungrier than ever.\But it's only second period now, so there's still a way to go before lunch.\But... but...\I don't want my stomach to start growling in the classroom again!\What are you doing, Onodera? response:	In a place like that...
context: It's the same with Ruri, too. Where does all the food go, I wonder?\I don't understand it!\All this talk of cake is making me hungrier than ever.\But it's only second period now, so there's still a way to go before lunch.\But... but...\I don't want my stomach to start growling in the classroom again!\What are you doing, Onodera?\In a place like that... response:	I want to die, I wish I could just die.
context: I don't understand it!\All this talk of cake is making me hungrier than ever.\But it's only second period now, so there's still a way to go before lunch.\But... but...\I don't want my stomach to start growling in the classroom again!\What are you doing, Onodera?\In a place like that...\I want to die, I wish I could just die. response:	A girl getting caught eating lunch early...
context: All this talk of cake is making me hungrier than ever.\But it's only second period now, so there's still a way to go before lunch.\But... but...\I don't want my stomach to start growling in the classroom again!\What are you doing, Onodera?\In a place like that...\I want to die, I wish I could just die.\A girl getting caught eating lunch early... response:	How am I supposed to talk to him?
context: But it's only second period now, so there's still a way to go before lunch.\But... but...\I don't want my stomach to start growling in the classroom again!\What are you doing, Onodera?\In a place like that...\I want to die, I wish I could just die.\A girl getting caught eating lunch early...\How am I supposed to talk to him? response:	Just as I thought, Onodera's acting a little weird today.
context: But... but...\I don't want my stomach to start growling in the classroom again!\What are you doing, Onodera?\In a place like that...\I want to die, I wish I could just die.\A girl getting caught eating lunch early...\How am I supposed to talk to him?\Just as I thought, Onodera's acting a little weird today. response:	Wonder if she's under the weather.
context: I don't want my stomach to start growling in the classroom again!\What are you doing, Onodera?\In a place like that...\I want to die, I wish I could just die.\A girl getting caught eating lunch early...\How am I supposed to talk to him?\Just as I thought, Onodera's acting a little weird today.\Wonder if she's under the weather. response:	Or maybe something's bugging her?
context: What are you doing, Onodera?\In a place like that...\I want to die, I wish I could just die.\A girl getting caught eating lunch early...\How am I supposed to talk to him?\Just as I thought, Onodera's acting a little weird today.\Wonder if she's under the weather.\Or maybe something's bugging her? response:	Huh? Everyone's going somewhere...
context: In a place like that...\I want to die, I wish I could just die.\A girl getting caught eating lunch early...\How am I supposed to talk to him?\Just as I thought, Onodera's acting a little weird today.\Wonder if she's under the weather.\Or maybe something's bugging her?\Huh? Everyone's going somewhere... response:	What was our next class again?
context: I want to die, I wish I could just die.\A girl getting caught eating lunch early...\How am I supposed to talk to him?\Just as I thought, Onodera's acting a little weird today.\Wonder if she's under the weather.\Or maybe something's bugging her?\Huh? Everyone's going somewhere...\What was our next class again? response:	Gym! That's right, I've got to exercise, exercise!
context: A girl getting caught eating lunch early...\How am I supposed to talk to him?\Just as I thought, Onodera's acting a little weird today.\Wonder if she's under the weather.\Or maybe something's bugging her?\Huh? Everyone's going somewhere...\What was our next class again?\Gym! That's right, I've got to exercise, exercise! response:	I don't have time to sit around moping!
context: How am I supposed to talk to him?\Just as I thought, Onodera's acting a little weird today.\Wonder if she's under the weather.\Or maybe something's bugging her?\Huh? Everyone's going somewhere...\What was our next class again?\Gym! That's right, I've got to exercise, exercise!\I don't have time to sit around moping! response:	I've got to do whatever I can to lose weight today!
context: Just as I thought, Onodera's acting a little weird today.\Wonder if she's under the weather.\Or maybe something's bugging her?\Huh? Everyone's going somewhere...\What was our next class again?\Gym! That's right, I've got to exercise, exercise!\I don't have time to sit around moping!\I've got to do whatever I can to lose weight today! response:	And so I've got to exercise!
