context: The Third Plate response:	Twenty-Three
context: He chose to slit the eel from the stomach.\It's unbelievable.\Eels have no rib cage,\so it's beyond difficult to insert a knife into the soft body cavity with precision.\Compared to slitting the eel from the back,\this method requires much more advanced knife technique.\It's hard to imagine him doing this, given how he's usually naked except for an apron.\Yeah. response:	Naked except for an apron? What's that about?
context: It's unbelievable.\Eels have no rib cage,\so it's beyond difficult to insert a knife into the soft body cavity with precision.\Compared to slitting the eel from the back,\this method requires much more advanced knife technique.\It's hard to imagine him doing this, given how he's usually naked except for an apron.\Yeah.\Naked except for an apron? What's that about? response:	Tell me, Miss Secretary!
context: Eels have no rib cage,\so it's beyond difficult to insert a knife into the soft body cavity with precision.\Compared to slitting the eel from the back,\this method requires much more advanced knife technique.\It's hard to imagine him doing this, given how he's usually naked except for an apron.\Yeah.\Naked except for an apron? What's that about?\Tell me, Miss Secretary! response:	Don't call me that.
context: so it's beyond difficult to insert a knife into the soft body cavity with precision.\Compared to slitting the eel from the back,\this method requires much more advanced knife technique.\It's hard to imagine him doing this, given how he's usually naked except for an apron.\Yeah.\Naked except for an apron? What's that about?\Tell me, Miss Secretary!\Don't call me that. response:	Nikumi-chan!
context: Compared to slitting the eel from the back,\this method requires much more advanced knife technique.\It's hard to imagine him doing this, given how he's usually naked except for an apron.\Yeah.\Naked except for an apron? What's that about?\Tell me, Miss Secretary!\Don't call me that.\Nikumi-chan! response:	Don't call me that.
context: this method requires much more advanced knife technique.\It's hard to imagine him doing this, given how he's usually naked except for an apron.\Yeah.\Naked except for an apron? What's that about?\Tell me, Miss Secretary!\Don't call me that.\Nikumi-chan!\Don't call me that. response:	Slitting the eel from the back is more mainstream.
context: It's hard to imagine him doing this, given how he's usually naked except for an apron.\Yeah.\Naked except for an apron? What's that about?\Tell me, Miss Secretary!\Don't call me that.\Nikumi-chan!\Don't call me that.\Slitting the eel from the back is more mainstream. response:	I've heard before that slitting the eel from the stomach
context: Yeah.\Naked except for an apron? What's that about?\Tell me, Miss Secretary!\Don't call me that.\Nikumi-chan!\Don't call me that.\Slitting the eel from the back is more mainstream.\I've heard before that slitting the eel from the stomach response:	is a technique that developed in Kansai regions like Osaka and Kyoto.
context: Naked except for an apron? What's that about?\Tell me, Miss Secretary!\Don't call me that.\Nikumi-chan!\Don't call me that.\Slitting the eel from the back is more mainstream.\I've heard before that slitting the eel from the stomach\is a technique that developed in Kansai regions like Osaka and Kyoto. response:	Why would Isshiki-senpai know that?
context: Tell me, Miss Secretary!\Don't call me that.\Nikumi-chan!\Don't call me that.\Slitting the eel from the back is more mainstream.\I've heard before that slitting the eel from the stomach\is a technique that developed in Kansai regions like Osaka and Kyoto.\Why would Isshiki-senpai know that? response:	Of course he would.
context: Don't call me that.\Nikumi-chan!\Don't call me that.\Slitting the eel from the back is more mainstream.\I've heard before that slitting the eel from the stomach\is a technique that developed in Kansai regions like Osaka and Kyoto.\Why would Isshiki-senpai know that?\Of course he would. response:	The Isshiki family has operated a traditional Japanese restaurant in Kyoto's Gion
context: Nikumi-chan!\Don't call me that.\Slitting the eel from the back is more mainstream.\I've heard before that slitting the eel from the stomach\is a technique that developed in Kansai regions like Osaka and Kyoto.\Why would Isshiki-senpai know that?\Of course he would.\The Isshiki family has operated a traditional Japanese restaurant in Kyoto's Gion response:	district since the Muromachi period.
context: Don't call me that.\Slitting the eel from the back is more mainstream.\I've heard before that slitting the eel from the stomach\is a technique that developed in Kansai regions like Osaka and Kyoto.\Why would Isshiki-senpai know that?\Of course he would.\The Isshiki family has operated a traditional Japanese restaurant in Kyoto's Gion\district since the Muromachi period. response:	The Kinokuni family in the east, and the Isshiki family in the west...
context: Slitting the eel from the back is more mainstream.\I've heard before that slitting the eel from the stomach\is a technique that developed in Kansai regions like Osaka and Kyoto.\Why would Isshiki-senpai know that?\Of course he would.\The Isshiki family has operated a traditional Japanese restaurant in Kyoto's Gion\district since the Muromachi period.\The Kinokuni family in the east, and the Isshiki family in the west... response:	Kinokuni Family
context: I've heard before that slitting the eel from the stomach\is a technique that developed in Kansai regions like Osaka and Kyoto.\Why would Isshiki-senpai know that?\Of course he would.\The Isshiki family has operated a traditional Japanese restaurant in Kyoto's Gion\district since the Muromachi period.\The Kinokuni family in the east, and the Isshiki family in the west...\Kinokuni Family response:	Isshiki Family
context: is a technique that developed in Kansai regions like Osaka and Kyoto.\Why would Isshiki-senpai know that?\Of course he would.\The Isshiki family has operated a traditional Japanese restaurant in Kyoto's Gion\district since the Muromachi period.\The Kinokuni family in the east, and the Isshiki family in the west...\Kinokuni Family\Isshiki Family response:	These two families are the two famous pillars of Japanese cuisine.
context: Why would Isshiki-senpai know that?\Of course he would.\The Isshiki family has operated a traditional Japanese restaurant in Kyoto's Gion\district since the Muromachi period.\The Kinokuni family in the east, and the Isshiki family in the west...\Kinokuni Family\Isshiki Family\These two families are the two famous pillars of Japanese cuisine. response:	What?!
context: Of course he would.\The Isshiki family has operated a traditional Japanese restaurant in Kyoto's Gion\district since the Muromachi period.\The Kinokuni family in the east, and the Isshiki family in the west...\Kinokuni Family\Isshiki Family\These two families are the two famous pillars of Japanese cuisine.\What?! response:	And Kinokuni-senpai and Isshiki-senpai's connection doesn't end there.
context: The Isshiki family has operated a traditional Japanese restaurant in Kyoto's Gion\district since the Muromachi period.\The Kinokuni family in the east, and the Isshiki family in the west...\Kinokuni Family\Isshiki Family\These two families are the two famous pillars of Japanese cuisine.\What?!\And Kinokuni-senpai and Isshiki-senpai's connection doesn't end there. response:	What?
context: district since the Muromachi period.\The Kinokuni family in the east, and the Isshiki family in the west...\Kinokuni Family\Isshiki Family\These two families are the two famous pillars of Japanese cuisine.\What?!\And Kinokuni-senpai and Isshiki-senpai's connection doesn't end there.\What? response:	A boy from another family's going to come live with us, Father?
context: The Kinokuni family in the east, and the Isshiki family in the west...\Kinokuni Family\Isshiki Family\These two families are the two famous pillars of Japanese cuisine.\What?!\And Kinokuni-senpai and Isshiki-senpai's connection doesn't end there.\What?\A boy from another family's going to come live with us, Father? response:	Kinokuni
context: Kinokuni Family\Isshiki Family\These two families are the two famous pillars of Japanese cuisine.\What?!\And Kinokuni-senpai and Isshiki-senpai's connection doesn't end there.\What?\A boy from another family's going to come live with us, Father?\Kinokuni response:	You know about the Isshiki family in Kyoto, don't you?
context: Isshiki Family\These two families are the two famous pillars of Japanese cuisine.\What?!\And Kinokuni-senpai and Isshiki-senpai's connection doesn't end there.\What?\A boy from another family's going to come live with us, Father?\Kinokuni\You know about the Isshiki family in Kyoto, don't you? response:	It's their ancient tradition.
context: These two families are the two famous pillars of Japanese cuisine.\What?!\And Kinokuni-senpai and Isshiki-senpai's connection doesn't end there.\What?\A boy from another family's going to come live with us, Father?\Kinokuni\You know about the Isshiki family in Kyoto, don't you?\It's their ancient tradition. response:	Once the presumed heir turns four years old,
context: What?!\And Kinokuni-senpai and Isshiki-senpai's connection doesn't end there.\What?\A boy from another family's going to come live with us, Father?\Kinokuni\You know about the Isshiki family in Kyoto, don't you?\It's their ancient tradition.\Once the presumed heir turns four years old, response:	they are to be trained somewhere far away from their home.
context: And Kinokuni-senpai and Isshiki-senpai's connection doesn't end there.\What?\A boy from another family's going to come live with us, Father?\Kinokuni\You know about the Isshiki family in Kyoto, don't you?\It's their ancient tradition.\Once the presumed heir turns four years old,\they are to be trained somewhere far away from their home. response:	Okay.
context: What?\A boy from another family's going to come live with us, Father?\Kinokuni\You know about the Isshiki family in Kyoto, don't you?\It's their ancient tradition.\Once the presumed heir turns four years old,\they are to be trained somewhere far away from their home.\Okay. response:	Kinokuni Nene (Age 4)
context: A boy from another family's going to come live with us, Father?\Kinokuni\You know about the Isshiki family in Kyoto, don't you?\It's their ancient tradition.\Once the presumed heir turns four years old,\they are to be trained somewhere far away from their home.\Okay.\Kinokuni Nene (Age 4) response:	Our two families are very close.
context: Kinokuni\You know about the Isshiki family in Kyoto, don't you?\It's their ancient tradition.\Once the presumed heir turns four years old,\they are to be trained somewhere far away from their home.\Okay.\Kinokuni Nene (Age 4)\Our two families are very close. response:	He's the same age as you, so you may even become friends.
context: You know about the Isshiki family in Kyoto, don't you?\It's their ancient tradition.\Once the presumed heir turns four years old,\they are to be trained somewhere far away from their home.\Okay.\Kinokuni Nene (Age 4)\Our two families are very close.\He's the same age as you, so you may even become friends. response:	Say hello, Nene.
context: It's their ancient tradition.\Once the presumed heir turns four years old,\they are to be trained somewhere far away from their home.\Okay.\Kinokuni Nene (Age 4)\Our two families are very close.\He's the same age as you, so you may even become friends.\Say hello, Nene. response:	He is the Isshiki family's heir, Satoshi-kun.
context: Once the presumed heir turns four years old,\they are to be trained somewhere far away from their home.\Okay.\Kinokuni Nene (Age 4)\Our two families are very close.\He's the same age as you, so you may even become friends.\Say hello, Nene.\He is the Isshiki family's heir, Satoshi-kun. response:	Isshiki Satoshi (Age 4)
context: they are to be trained somewhere far away from their home.\Okay.\Kinokuni Nene (Age 4)\Our two families are very close.\He's the same age as you, so you may even become friends.\Say hello, Nene.\He is the Isshiki family's heir, Satoshi-kun.\Isshiki Satoshi (Age 4) response:	What? That means...
context: Okay.\Kinokuni Nene (Age 4)\Our two families are very close.\He's the same age as you, so you may even become friends.\Say hello, Nene.\He is the Isshiki family's heir, Satoshi-kun.\Isshiki Satoshi (Age 4)\What? That means... response:	They're childhood friends?!
context: Kinokuni Nene (Age 4)\Our two families are very close.\He's the same age as you, so you may even become friends.\Say hello, Nene.\He is the Isshiki family's heir, Satoshi-kun.\Isshiki Satoshi (Age 4)\What? That means...\They're childhood friends?! response:	Huh.
context: Our two families are very close.\He's the same age as you, so you may even become friends.\Say hello, Nene.\He is the Isshiki family's heir, Satoshi-kun.\Isshiki Satoshi (Age 4)\What? That means...\They're childhood friends?!\Huh. response:	I suppose that's true.
context: He's the same age as you, so you may even become friends.\Say hello, Nene.\He is the Isshiki family's heir, Satoshi-kun.\Isshiki Satoshi (Age 4)\What? That means...\They're childhood friends?!\Huh.\I suppose that's true. response:	No, it's not!
context: Say hello, Nene.\He is the Isshiki family's heir, Satoshi-kun.\Isshiki Satoshi (Age 4)\What? That means...\They're childhood friends?!\Huh.\I suppose that's true.\No, it's not! response:	He just stayed with us to train!
context: He is the Isshiki family's heir, Satoshi-kun.\Isshiki Satoshi (Age 4)\What? That means...\They're childhood friends?!\Huh.\I suppose that's true.\No, it's not!\He just stayed with us to train! response:	We didn't become close or anything!
context: Isshiki Satoshi (Age 4)\What? That means...\They're childhood friends?!\Huh.\I suppose that's true.\No, it's not!\He just stayed with us to train!\We didn't become close or anything! response:	My goodness, you're prickly as ever today, Kinokuni-kun.
context: What? That means...\They're childhood friends?!\Huh.\I suppose that's true.\No, it's not!\He just stayed with us to train!\We didn't become close or anything!\My goodness, you're prickly as ever today, Kinokuni-kun. response:	Why are you so against me?
context: They're childhood friends?!\Huh.\I suppose that's true.\No, it's not!\He just stayed with us to train!\We didn't become close or anything!\My goodness, you're prickly as ever today, Kinokuni-kun.\Why are you so against me? response:	Don't act naIve.
context: Huh.\I suppose that's true.\No, it's not!\He just stayed with us to train!\We didn't become close or anything!\My goodness, you're prickly as ever today, Kinokuni-kun.\Why are you so against me?\Don't act naIve. response:	You know why.
context: I suppose that's true.\No, it's not!\He just stayed with us to train!\We didn't become close or anything!\My goodness, you're prickly as ever today, Kinokuni-kun.\Why are you so against me?\Don't act naIve.\You know why. response:	Food Wars
context: No, it's not!\He just stayed with us to train!\We didn't become close or anything!\My goodness, you're prickly as ever today, Kinokuni-kun.\Why are you so against me?\Don't act naIve.\You know why.\Food Wars response:	The Third Plate
context: He just stayed with us to train!\We didn't become close or anything!\My goodness, you're prickly as ever today, Kinokuni-kun.\Why are you so against me?\Don't act naIve.\You know why.\Food Wars\The Third Plate response:	Totsuki Train Arc
context: We didn't become close or anything!\My goodness, you're prickly as ever today, Kinokuni-kun.\Why are you so against me?\Don't act naIve.\You know why.\Food Wars\The Third Plate\Totsuki Train Arc response:	Bearing Polar Star Dormitory
context: My goodness, you're prickly as ever today, Kinokuni-kun.\Why are you so against me?\Don't act naIve.\You know why.\Food Wars\The Third Plate\Totsuki Train Arc\Bearing Polar Star Dormitory response:	The Team Shokugeki is in full swing.
context: Why are you so against me?\Don't act naIve.\You know why.\Food Wars\The Third Plate\Totsuki Train Arc\Bearing Polar Star Dormitory\The Team Shokugeki is in full swing. response:	Here comes the First Bout!
context: Don't act naIve.\You know why.\Food Wars\The Third Plate\Totsuki Train Arc\Bearing Polar Star Dormitory\The Team Shokugeki is in full swing.\Here comes the First Bout! response:	Kaburagi Shoko VS Megishima Tosuke
context: You know why.\Food Wars\The Third Plate\Totsuki Train Arc\Bearing Polar Star Dormitory\The Team Shokugeki is in full swing.\Here comes the First Bout!\Kaburagi Shoko VS Megishima Tosuke response:	The first match is the fifth seat,
context: Food Wars\The Third Plate\Totsuki Train Arc\Bearing Polar Star Dormitory\The Team Shokugeki is in full swing.\Here comes the First Bout!\Kaburagi Shoko VS Megishima Tosuke\The first match is the fifth seat, response:	Kaburagi Shoko versus the former third seat, Megishima Tosuke.
context: The Third Plate\Totsuki Train Arc\Bearing Polar Star Dormitory\The Team Shokugeki is in full swing.\Here comes the First Bout!\Kaburagi Shoko VS Megishima Tosuke\The first match is the fifth seat,\Kaburagi Shoko versus the former third seat, Megishima Tosuke. response:	The second match is the eighth seat,
context: Totsuki Train Arc\Bearing Polar Star Dormitory\The Team Shokugeki is in full swing.\Here comes the First Bout!\Kaburagi Shoko VS Megishima Tosuke\The first match is the fifth seat,\Kaburagi Shoko versus the former third seat, Megishima Tosuke.\The second match is the eighth seat, response:	Shiratsu Jurio VS Isshiki Satoshi
context: Bearing Polar Star Dormitory\The Team Shokugeki is in full swing.\Here comes the First Bout!\Kaburagi Shoko VS Megishima Tosuke\The first match is the fifth seat,\Kaburagi Shoko versus the former third seat, Megishima Tosuke.\The second match is the eighth seat,\Shiratsu Jurio VS Isshiki Satoshi response:	Shiratsu Jurio versus the former seventh seat, Isshiki Satoshi!
context: The Team Shokugeki is in full swing.\Here comes the First Bout!\Kaburagi Shoko VS Megishima Tosuke\The first match is the fifth seat,\Kaburagi Shoko versus the former third seat, Megishima Tosuke.\The second match is the eighth seat,\Shiratsu Jurio VS Isshiki Satoshi\Shiratsu Jurio versus the former seventh seat, Isshiki Satoshi! response:	Kinokuni Nene VS Yukihira Soma
context: Here comes the First Bout!\Kaburagi Shoko VS Megishima Tosuke\The first match is the fifth seat,\Kaburagi Shoko versus the former third seat, Megishima Tosuke.\The second match is the eighth seat,\Shiratsu Jurio VS Isshiki Satoshi\Shiratsu Jurio versus the former seventh seat, Isshiki Satoshi!\Kinokuni Nene VS Yukihira Soma response:	The third match is the sixth seat,
context: Kaburagi Shoko VS Megishima Tosuke\The first match is the fifth seat,\Kaburagi Shoko versus the former third seat, Megishima Tosuke.\The second match is the eighth seat,\Shiratsu Jurio VS Isshiki Satoshi\Shiratsu Jurio versus the former seventh seat, Isshiki Satoshi!\Kinokuni Nene VS Yukihira Soma\The third match is the sixth seat, response:	Kinokuni Nene versus the son of a diner chef, Yukihira Soma!
context: The first match is the fifth seat,\Kaburagi Shoko versus the former third seat, Megishima Tosuke.\The second match is the eighth seat,\Shiratsu Jurio VS Isshiki Satoshi\Shiratsu Jurio versus the former seventh seat, Isshiki Satoshi!\Kinokuni Nene VS Yukihira Soma\The third match is the sixth seat,\Kinokuni Nene versus the son of a diner chef, Yukihira Soma! response:	Well, it appears the judges have just now arrived!
context: Kaburagi Shoko versus the former third seat, Megishima Tosuke.\The second match is the eighth seat,\Shiratsu Jurio VS Isshiki Satoshi\Shiratsu Jurio versus the former seventh seat, Isshiki Satoshi!\Kinokuni Nene VS Yukihira Soma\The third match is the sixth seat,\Kinokuni Nene versus the son of a diner chef, Yukihira Soma!\Well, it appears the judges have just now arrived! response:	Allow me to introduce them to you!
context: The second match is the eighth seat,\Shiratsu Jurio VS Isshiki Satoshi\Shiratsu Jurio versus the former seventh seat, Isshiki Satoshi!\Kinokuni Nene VS Yukihira Soma\The third match is the sixth seat,\Kinokuni Nene versus the son of a diner chef, Yukihira Soma!\Well, it appears the judges have just now arrived!\Allow me to introduce them to you! response:	Oh, judges.
context: Shiratsu Jurio VS Isshiki Satoshi\Shiratsu Jurio versus the former seventh seat, Isshiki Satoshi!\Kinokuni Nene VS Yukihira Soma\The third match is the sixth seat,\Kinokuni Nene versus the son of a diner chef, Yukihira Soma!\Well, it appears the judges have just now arrived!\Allow me to introduce them to you!\Oh, judges. response:	They are important, indeed.
context: Shiratsu Jurio versus the former seventh seat, Isshiki Satoshi!\Kinokuni Nene VS Yukihira Soma\The third match is the sixth seat,\Kinokuni Nene versus the son of a diner chef, Yukihira Soma!\Well, it appears the judges have just now arrived!\Allow me to introduce them to you!\Oh, judges.\They are important, indeed. response:	That was so heavy.
context: Kinokuni Nene VS Yukihira Soma\The third match is the sixth seat,\Kinokuni Nene versus the son of a diner chef, Yukihira Soma!\Well, it appears the judges have just now arrived!\Allow me to introduce them to you!\Oh, judges.\They are important, indeed.\That was so heavy. response:	Um, Miss? Are you okay?
context: The third match is the sixth seat,\Kinokuni Nene versus the son of a diner chef, Yukihira Soma!\Well, it appears the judges have just now arrived!\Allow me to introduce them to you!\Oh, judges.\They are important, indeed.\That was so heavy.\Um, Miss? Are you okay? response:	Um, what?
context: Kinokuni Nene versus the son of a diner chef, Yukihira Soma!\Well, it appears the judges have just now arrived!\Allow me to introduce them to you!\Oh, judges.\They are important, indeed.\That was so heavy.\Um, Miss? Are you okay?\Um, what? response:	The books she's carrying!
context: Well, it appears the judges have just now arrived!\Allow me to introduce them to you!\Oh, judges.\They are important, indeed.\That was so heavy.\Um, Miss? Are you okay?\Um, what?\The books she's carrying! response:	They say WGO on them.
context: Allow me to introduce them to you!\Oh, judges.\They are important, indeed.\That was so heavy.\Um, Miss? Are you okay?\Um, what?\The books she's carrying!\They say WGO on them. response:	Could they be...?
context: Oh, judges.\They are important, indeed.\That was so heavy.\Um, Miss? Are you okay?\Um, what?\The books she's carrying!\They say WGO on them.\Could they be...? response:	Wow. I've never seen them in person before.
