context: Raise your arms and face this way. response:	Raise your arms and face this way
context: Were you just standing there watching?\I was busy collecting information from the communicator I swiped off him.\It seems like the guy you just beat up has some backup arriving.\You just make more work when you don't think about what you're doing.\Captain!\Want to join him in the ground?\Fire!\That shrimp is the gravity manipulator Nakahara Chuuya! response:	Did you just call me a shrimp, asshole?
context: I was busy collecting information from the communicator I swiped off him.\It seems like the guy you just beat up has some backup arriving.\You just make more work when you don't think about what you're doing.\Captain!\Want to join him in the ground?\Fire!\That shrimp is the gravity manipulator Nakahara Chuuya!\Did you just call me a shrimp, asshole? response:	I'm only fifteen years old!
context: It seems like the guy you just beat up has some backup arriving.\You just make more work when you don't think about what you're doing.\Captain!\Want to join him in the ground?\Fire!\That shrimp is the gravity manipulator Nakahara Chuuya!\Did you just call me a shrimp, asshole?\I'm only fifteen years old! response:	I'm still growing!
context: You just make more work when you don't think about what you're doing.\Captain!\Want to join him in the ground?\Fire!\That shrimp is the gravity manipulator Nakahara Chuuya!\Did you just call me a shrimp, asshole?\I'm only fifteen years old!\I'm still growing! response:	It's over.
context: Captain!\Want to join him in the ground?\Fire!\That shrimp is the gravity manipulator Nakahara Chuuya!\Did you just call me a shrimp, asshole?\I'm only fifteen years old!\I'm still growing!\It's over. response:	Tell me the reason for the attack.
context: Want to join him in the ground?\Fire!\That shrimp is the gravity manipulator Nakahara Chuuya!\Did you just call me a shrimp, asshole?\I'm only fifteen years old!\I'm still growing!\It's over.\Tell me the reason for the attack. response:	What do you know about Arahabaki?
context: Fire!\That shrimp is the gravity manipulator Nakahara Chuuya!\Did you just call me a shrimp, asshole?\I'm only fifteen years old!\I'm still growing!\It's over.\Tell me the reason for the attack.\What do you know about Arahabaki? response:	I guess we'll have to wait for our team's investigation report.
context: That shrimp is the gravity manipulator Nakahara Chuuya!\Did you just call me a shrimp, asshole?\I'm only fifteen years old!\I'm still growing!\It's over.\Tell me the reason for the attack.\What do you know about Arahabaki?\I guess we'll have to wait for our team's investigation report. response:	How unfortunate for you.
context: Did you just call me a shrimp, asshole?\I'm only fifteen years old!\I'm still growing!\It's over.\Tell me the reason for the attack.\What do you know about Arahabaki?\I guess we'll have to wait for our team's investigation report.\How unfortunate for you. response:	Does it hurt?
context: I'm only fifteen years old!\I'm still growing!\It's over.\Tell me the reason for the attack.\What do you know about Arahabaki?\I guess we'll have to wait for our team's investigation report.\How unfortunate for you.\Does it hurt? response:	It's too late to save you.
context: I'm still growing!\It's over.\Tell me the reason for the attack.\What do you know about Arahabaki?\I guess we'll have to wait for our team's investigation report.\How unfortunate for you.\Does it hurt?\It's too late to save you. response:	Still, you won't be dead for another five minutes or so.
context: It's over.\Tell me the reason for the attack.\What do you know about Arahabaki?\I guess we'll have to wait for our team's investigation report.\How unfortunate for you.\Does it hurt?\It's too late to save you.\Still, you won't be dead for another five minutes or so. response:	That's five minutes of hellish suffering.
context: Tell me the reason for the attack.\What do you know about Arahabaki?\I guess we'll have to wait for our team's investigation report.\How unfortunate for you.\Does it hurt?\It's too late to save you.\Still, you won't be dead for another five minutes or so.\That's five minutes of hellish suffering. response:	I wouldn't be able to bear it.
context: What do you know about Arahabaki?\I guess we'll have to wait for our team's investigation report.\How unfortunate for you.\Does it hurt?\It's too late to save you.\Still, you won't be dead for another five minutes or so.\That's five minutes of hellish suffering.\I wouldn't be able to bear it. response:	Do you want me to end your suffering with this gun?
context: I guess we'll have to wait for our team's investigation report.\How unfortunate for you.\Does it hurt?\It's too late to save you.\Still, you won't be dead for another five minutes or so.\That's five minutes of hellish suffering.\I wouldn't be able to bear it.\Do you want me to end your suffering with this gun? response:	If you want to say yes, you should do it while you can still talk.
context: How unfortunate for you.\Does it hurt?\It's too late to save you.\Still, you won't be dead for another five minutes or so.\That's five minutes of hellish suffering.\I wouldn't be able to bear it.\Do you want me to end your suffering with this gun?\If you want to say yes, you should do it while you can still talk. response:	Shoot me, please.
context: Does it hurt?\It's too late to save you.\Still, you won't be dead for another five minutes or so.\That's five minutes of hellish suffering.\I wouldn't be able to bear it.\Do you want me to end your suffering with this gun?\If you want to say yes, you should do it while you can still talk.\Shoot me, please. response:	All right.
context: It's too late to save you.\Still, you won't be dead for another five minutes or so.\That's five minutes of hellish suffering.\I wouldn't be able to bear it.\Do you want me to end your suffering with this gun?\If you want to say yes, you should do it while you can still talk.\Shoot me, please.\All right. response:	This is more than you deserve.
context: Still, you won't be dead for another five minutes or so.\That's five minutes of hellish suffering.\I wouldn't be able to bear it.\Do you want me to end your suffering with this gun?\If you want to say yes, you should do it while you can still talk.\Shoot me, please.\All right.\This is more than you deserve. response:	Quit shooting dead bodies.
context: That's five minutes of hellish suffering.\I wouldn't be able to bear it.\Do you want me to end your suffering with this gun?\If you want to say yes, you should do it while you can still talk.\Shoot me, please.\All right.\This is more than you deserve.\Quit shooting dead bodies. response:	You're right.
context: I wouldn't be able to bear it.\Do you want me to end your suffering with this gun?\If you want to say yes, you should do it while you can still talk.\Shoot me, please.\All right.\This is more than you deserve.\Quit shooting dead bodies.\You're right. response:	You're absolutely right.
context: Do you want me to end your suffering with this gun?\If you want to say yes, you should do it while you can still talk.\Shoot me, please.\All right.\This is more than you deserve.\Quit shooting dead bodies.\You're right.\You're absolutely right. response:	What you say is probably correct.
context: If you want to say yes, you should do it while you can still talk.\Shoot me, please.\All right.\This is more than you deserve.\Quit shooting dead bodies.\You're right.\You're absolutely right.\What you say is probably correct. response:	That would be the normal way to think.
context: Shoot me, please.\All right.\This is more than you deserve.\Quit shooting dead bodies.\You're right.\You're absolutely right.\What you say is probably correct.\That would be the normal way to think. response:	Written by Asagiri Kafka
context: All right.\This is more than you deserve.\Quit shooting dead bodies.\You're right.\You're absolutely right.\What you say is probably correct.\That would be the normal way to think.\Written by Asagiri Kafka response:	Manga by Sango Harukawa in Young Ace
context: This is more than you deserve.\Quit shooting dead bodies.\You're right.\You're absolutely right.\What you say is probably correct.\That would be the normal way to think.\Written by Asagiri Kafka\Manga by Sango Harukawa in Young Ace response:	So cold...
context: Quit shooting dead bodies.\You're right.\You're absolutely right.\What you say is probably correct.\That would be the normal way to think.\Written by Asagiri Kafka\Manga by Sango Harukawa in Young Ace\So cold... response:	The wind is coming through, and it's three times as cold.
context: You're right.\You're absolutely right.\What you say is probably correct.\That would be the normal way to think.\Written by Asagiri Kafka\Manga by Sango Harukawa in Young Ace\So cold...\The wind is coming through, and it's three times as cold. response:	Must have been rough, huh? Randou-san.
context: You're absolutely right.\What you say is probably correct.\That would be the normal way to think.\Written by Asagiri Kafka\Manga by Sango Harukawa in Young Ace\So cold...\The wind is coming through, and it's three times as cold.\Must have been rough, huh? Randou-san. response:	That was brutal.
context: What you say is probably correct.\That would be the normal way to think.\Written by Asagiri Kafka\Manga by Sango Harukawa in Young Ace\So cold...\The wind is coming through, and it's three times as cold.\Must have been rough, huh? Randou-san.\That was brutal. response:	Why me?
context: That would be the normal way to think.\Written by Asagiri Kafka\Manga by Sango Harukawa in Young Ace\So cold...\The wind is coming through, and it's three times as cold.\Must have been rough, huh? Randou-san.\That was brutal.\Why me? response:	It's easy to guess why we were attacked.
context: Written by Asagiri Kafka\Manga by Sango Harukawa in Young Ace\So cold...\The wind is coming through, and it's three times as cold.\Must have been rough, huh? Randou-san.\That was brutal.\Why me?\It's easy to guess why we were attacked. response:	The rumor is spreading.
context: Manga by Sango Harukawa in Young Ace\So cold...\The wind is coming through, and it's three times as cold.\Must have been rough, huh? Randou-san.\That was brutal.\Why me?\It's easy to guess why we were attacked.\The rumor is spreading. response:	If a Mori supporter like you were to die in a black explosion,
context: So cold...\The wind is coming through, and it's three times as cold.\Must have been rough, huh? Randou-san.\That was brutal.\Why me?\It's easy to guess why we were attacked.\The rumor is spreading.\If a Mori supporter like you were to die in a black explosion, response:	people would take the anger of the former boss more seriously.
context: The wind is coming through, and it's three times as cold.\Must have been rough, huh? Randou-san.\That was brutal.\Why me?\It's easy to guess why we were attacked.\The rumor is spreading.\If a Mori supporter like you were to die in a black explosion,\people would take the anger of the former boss more seriously. response:	One of the GSS soldiers he tore up on the way here
context: Must have been rough, huh? Randou-san.\That was brutal.\Why me?\It's easy to guess why we were attacked.\The rumor is spreading.\If a Mori supporter like you were to die in a black explosion,\people would take the anger of the former boss more seriously.\One of the GSS soldiers he tore up on the way here response:	had these instructions for faking a black explosion.
context: That was brutal.\Why me?\It's easy to guess why we were attacked.\The rumor is spreading.\If a Mori supporter like you were to die in a black explosion,\people would take the anger of the former boss more seriously.\One of the GSS soldiers he tore up on the way here\had these instructions for faking a black explosion. response:	What's a black explosion?
context: Why me?\It's easy to guess why we were attacked.\The rumor is spreading.\If a Mori supporter like you were to die in a black explosion,\people would take the anger of the former boss more seriously.\One of the GSS soldiers he tore up on the way here\had these instructions for faking a black explosion.\What's a black explosion? response:	Apparently, you can get a black-ish flame
context: It's easy to guess why we were attacked.\The rumor is spreading.\If a Mori supporter like you were to die in a black explosion,\people would take the anger of the former boss more seriously.\One of the GSS soldiers he tore up on the way here\had these instructions for faking a black explosion.\What's a black explosion?\Apparently, you can get a black-ish flame response:	using a sodium lamp flame reaction.
context: The rumor is spreading.\If a Mori supporter like you were to die in a black explosion,\people would take the anger of the former boss more seriously.\One of the GSS soldiers he tore up on the way here\had these instructions for faking a black explosion.\What's a black explosion?\Apparently, you can get a black-ish flame\using a sodium lamp flame reaction. response:	Whatever the case, it's just a cheap trick.
context: If a Mori supporter like you were to die in a black explosion,\people would take the anger of the former boss more seriously.\One of the GSS soldiers he tore up on the way here\had these instructions for faking a black explosion.\What's a black explosion?\Apparently, you can get a black-ish flame\using a sodium lamp flame reaction.\Whatever the case, it's just a cheap trick. response:	So let me get this straight...
context: people would take the anger of the former boss more seriously.\One of the GSS soldiers he tore up on the way here\had these instructions for faking a black explosion.\What's a black explosion?\Apparently, you can get a black-ish flame\using a sodium lamp flame reaction.\Whatever the case, it's just a cheap trick.\So let me get this straight... response:	The GSS people attacked this guy, pretending to be Arahabaki,
context: One of the GSS soldiers he tore up on the way here\had these instructions for faking a black explosion.\What's a black explosion?\Apparently, you can get a black-ish flame\using a sodium lamp flame reaction.\Whatever the case, it's just a cheap trick.\So let me get this straight...\The GSS people attacked this guy, pretending to be Arahabaki, response:	in order to get the Port Mafia to turn on itself.
context: had these instructions for faking a black explosion.\What's a black explosion?\Apparently, you can get a black-ish flame\using a sodium lamp flame reaction.\Whatever the case, it's just a cheap trick.\So let me get this straight...\The GSS people attacked this guy, pretending to be Arahabaki,\in order to get the Port Mafia to turn on itself. response:	The current GSS president is a cold-hearted man.
context: What's a black explosion?\Apparently, you can get a black-ish flame\using a sodium lamp flame reaction.\Whatever the case, it's just a cheap trick.\So let me get this straight...\The GSS people attacked this guy, pretending to be Arahabaki,\in order to get the Port Mafia to turn on itself.\The current GSS president is a cold-hearted man. response:	Rumor has it that he has close ties to The Guild, a North American secret organization.
context: Apparently, you can get a black-ish flame\using a sodium lamp flame reaction.\Whatever the case, it's just a cheap trick.\So let me get this straight...\The GSS people attacked this guy, pretending to be Arahabaki,\in order to get the Port Mafia to turn on itself.\The current GSS president is a cold-hearted man.\Rumor has it that he has close ties to The Guild, a North American secret organization. response:	Tell me about Arahabaki as you saw it in Suribachi City.
context: using a sodium lamp flame reaction.\Whatever the case, it's just a cheap trick.\So let me get this straight...\The GSS people attacked this guy, pretending to be Arahabaki,\in order to get the Port Mafia to turn on itself.\The current GSS president is a cold-hearted man.\Rumor has it that he has close ties to The Guild, a North American secret organization.\Tell me about Arahabaki as you saw it in Suribachi City. response:	That's the only lead we have on the resurrection of the former president.
context: Whatever the case, it's just a cheap trick.\So let me get this straight...\The GSS people attacked this guy, pretending to be Arahabaki,\in order to get the Port Mafia to turn on itself.\The current GSS president is a cold-hearted man.\Rumor has it that he has close ties to The Guild, a North American secret organization.\Tell me about Arahabaki as you saw it in Suribachi City.\That's the only lead we have on the resurrection of the former president. response:	I remember it clearly.
context: So let me get this straight...\The GSS people attacked this guy, pretending to be Arahabaki,\in order to get the Port Mafia to turn on itself.\The current GSS president is a cold-hearted man.\Rumor has it that he has close ties to The Guild, a North American secret organization.\Tell me about Arahabaki as you saw it in Suribachi City.\That's the only lead we have on the resurrection of the former president.\I remember it clearly. response:	How could I ever forget?
context: The GSS people attacked this guy, pretending to be Arahabaki,\in order to get the Port Mafia to turn on itself.\The current GSS president is a cold-hearted man.\Rumor has it that he has close ties to The Guild, a North American secret organization.\Tell me about Arahabaki as you saw it in Suribachi City.\That's the only lead we have on the resurrection of the former president.\I remember it clearly.\How could I ever forget? response:	I was the only survivor.
context: in order to get the Port Mafia to turn on itself.\The current GSS president is a cold-hearted man.\Rumor has it that he has close ties to The Guild, a North American secret organization.\Tell me about Arahabaki as you saw it in Suribachi City.\That's the only lead we have on the resurrection of the former president.\I remember it clearly.\How could I ever forget?\I was the only survivor. response:	My subordinates all burned to ash.
context: The current GSS president is a cold-hearted man.\Rumor has it that he has close ties to The Guild, a North American secret organization.\Tell me about Arahabaki as you saw it in Suribachi City.\That's the only lead we have on the resurrection of the former president.\I remember it clearly.\How could I ever forget?\I was the only survivor.\My subordinates all burned to ash. response:	They were engulfed by that black flame.
context: Rumor has it that he has close ties to The Guild, a North American secret organization.\Tell me about Arahabaki as you saw it in Suribachi City.\That's the only lead we have on the resurrection of the former president.\I remember it clearly.\How could I ever forget?\I was the only survivor.\My subordinates all burned to ash.\They were engulfed by that black flame. response:	It was no doubt that god of fire.
context: Tell me about Arahabaki as you saw it in Suribachi City.\That's the only lead we have on the resurrection of the former president.\I remember it clearly.\How could I ever forget?\I was the only survivor.\My subordinates all burned to ash.\They were engulfed by that black flame.\It was no doubt that god of fire. response:	This is getting interesting.
context: That's the only lead we have on the resurrection of the former president.\I remember it clearly.\How could I ever forget?\I was the only survivor.\My subordinates all burned to ash.\They were engulfed by that black flame.\It was no doubt that god of fire.\This is getting interesting. response:	Tell us more.
context: I remember it clearly.\How could I ever forget?\I was the only survivor.\My subordinates all burned to ash.\They were engulfed by that black flame.\It was no doubt that god of fire.\This is getting interesting.\Tell us more. response:	It happened close to the center of Suribachi City.
context: How could I ever forget?\I was the only survivor.\My subordinates all burned to ash.\They were engulfed by that black flame.\It was no doubt that god of fire.\This is getting interesting.\Tell us more.\It happened close to the center of Suribachi City. response:	We, the Port Mafia,
context: I was the only survivor.\My subordinates all burned to ash.\They were engulfed by that black flame.\It was no doubt that god of fire.\This is getting interesting.\Tell us more.\It happened close to the center of Suribachi City.\We, the Port Mafia, response:	were on our way to battle the Sheep boys.
context: My subordinates all burned to ash.\They were engulfed by that black flame.\It was no doubt that god of fire.\This is getting interesting.\Tell us more.\It happened close to the center of Suribachi City.\We, the Port Mafia,\were on our way to battle the Sheep boys. response:	There, out of the blue, we were all blown away by a black explosion.
context: They were engulfed by that black flame.\It was no doubt that god of fire.\This is getting interesting.\Tell us more.\It happened close to the center of Suribachi City.\We, the Port Mafia,\were on our way to battle the Sheep boys.\There, out of the blue, we were all blown away by a black explosion. response:	A sudden blastwave.
context: It was no doubt that god of fire.\This is getting interesting.\Tell us more.\It happened close to the center of Suribachi City.\We, the Port Mafia,\were on our way to battle the Sheep boys.\There, out of the blue, we were all blown away by a black explosion.\A sudden blastwave. response:	All I could do was protect myself with my ability.
context: This is getting interesting.\Tell us more.\It happened close to the center of Suribachi City.\We, the Port Mafia,\were on our way to battle the Sheep boys.\There, out of the blue, we were all blown away by a black explosion.\A sudden blastwave.\All I could do was protect myself with my ability. response:	Black flames.
context: Tell us more.\It happened close to the center of Suribachi City.\We, the Port Mafia,\were on our way to battle the Sheep boys.\There, out of the blue, we were all blown away by a black explosion.\A sudden blastwave.\All I could do was protect myself with my ability.\Black flames. response:	Crumbling earth.
context: It happened close to the center of Suribachi City.\We, the Port Mafia,\were on our way to battle the Sheep boys.\There, out of the blue, we were all blown away by a black explosion.\A sudden blastwave.\All I could do was protect myself with my ability.\Black flames.\Crumbling earth. response:	It was hell itself.
context: We, the Port Mafia,\were on our way to battle the Sheep boys.\There, out of the blue, we were all blown away by a black explosion.\A sudden blastwave.\All I could do was protect myself with my ability.\Black flames.\Crumbling earth.\It was hell itself. response:	And in the middle, there it was.
context: were on our way to battle the Sheep boys.\There, out of the blue, we were all blown away by a black explosion.\A sudden blastwave.\All I could do was protect myself with my ability.\Black flames.\Crumbling earth.\It was hell itself.\And in the middle, there it was. response:	It wasn't the former boss.
context: There, out of the blue, we were all blown away by a black explosion.\A sudden blastwave.\All I could do was protect myself with my ability.\Black flames.\Crumbling earth.\It was hell itself.\And in the middle, there it was.\It wasn't the former boss. response:	No... It wasn't even human.
context: A sudden blastwave.\All I could do was protect myself with my ability.\Black flames.\Crumbling earth.\It was hell itself.\And in the middle, there it was.\It wasn't the former boss.\No... It wasn't even human. response:	A beast.
context: All I could do was protect myself with my ability.\Black flames.\Crumbling earth.\It was hell itself.\And in the middle, there it was.\It wasn't the former boss.\No... It wasn't even human.\A beast. response:	A beast of black flames.
context: Black flames.\Crumbling earth.\It was hell itself.\And in the middle, there it was.\It wasn't the former boss.\No... It wasn't even human.\A beast.\A beast of black flames. response:	Even its eyes were like the flames of purgatory.
context: Crumbling earth.\It was hell itself.\And in the middle, there it was.\It wasn't the former boss.\No... It wasn't even human.\A beast.\A beast of black flames.\Even its eyes were like the flames of purgatory. response:	Everything in sight was shimmering in the extreme heat,
context: It was hell itself.\And in the middle, there it was.\It wasn't the former boss.\No... It wasn't even human.\A beast.\A beast of black flames.\Even its eyes were like the flames of purgatory.\Everything in sight was shimmering in the extreme heat, response:	except the Yokohama sea.
context: And in the middle, there it was.\It wasn't the former boss.\No... It wasn't even human.\A beast.\A beast of black flames.\Even its eyes were like the flames of purgatory.\Everything in sight was shimmering in the extreme heat,\except the Yokohama sea. response:	Just the sea, in the distance,
context: It wasn't the former boss.\No... It wasn't even human.\A beast.\A beast of black flames.\Even its eyes were like the flames of purgatory.\Everything in sight was shimmering in the extreme heat,\except the Yokohama sea.\Just the sea, in the distance, response:	basking gently in the moonlight.
context: No... It wasn't even human.\A beast.\A beast of black flames.\Even its eyes were like the flames of purgatory.\Everything in sight was shimmering in the extreme heat,\except the Yokohama sea.\Just the sea, in the distance,\basking gently in the moonlight. response:	That alone is vivid in my memory.
context: A beast.\A beast of black flames.\Even its eyes were like the flames of purgatory.\Everything in sight was shimmering in the extreme heat,\except the Yokohama sea.\Just the sea, in the distance,\basking gently in the moonlight.\That alone is vivid in my memory. response:	That moment, I heard the voice of the beast.
context: A beast of black flames.\Even its eyes were like the flames of purgatory.\Everything in sight was shimmering in the extreme heat,\except the Yokohama sea.\Just the sea, in the distance,\basking gently in the moonlight.\That alone is vivid in my memory.\That moment, I heard the voice of the beast. response:	It was a voice utterly devoid of emotion.
context: Even its eyes were like the flames of purgatory.\Everything in sight was shimmering in the extreme heat,\except the Yokohama sea.\Just the sea, in the distance,\basking gently in the moonlight.\That alone is vivid in my memory.\That moment, I heard the voice of the beast.\It was a voice utterly devoid of emotion. response:	It terrified me.
