context: I will make it such that those who drank cannot use false names. response:	You can only converse with fellow immortals by using your real names.
context: in exchange for the lives of the passengers.\I see. So then, you want me to dissuade them?\My wife and daughter are aboard.\Manfred Beriam. Crazed for power and money.\Since when did you have a family to love?\Are you trying to make fun of me, monster?\There's the real you.\Convince them to surrender, Huey Laforet, response:	and you will come out no worse for it.
context: I see. So then, you want me to dissuade them?\My wife and daughter are aboard.\Manfred Beriam. Crazed for power and money.\Since when did you have a family to love?\Are you trying to make fun of me, monster?\There's the real you.\Convince them to surrender, Huey Laforet,\and you will come out no worse for it. response:	Rest assured, their plan will fall through.
context: My wife and daughter are aboard.\Manfred Beriam. Crazed for power and money.\Since when did you have a family to love?\Are you trying to make fun of me, monster?\There's the real you.\Convince them to surrender, Huey Laforet,\and you will come out no worse for it.\Rest assured, their plan will fall through. response:	What?
context: Manfred Beriam. Crazed for power and money.\Since when did you have a family to love?\Are you trying to make fun of me, monster?\There's the real you.\Convince them to surrender, Huey Laforet,\and you will come out no worse for it.\Rest assured, their plan will fall through.\What? response:	If the Lemures have taken over the train,
context: Since when did you have a family to love?\Are you trying to make fun of me, monster?\There's the real you.\Convince them to surrender, Huey Laforet,\and you will come out no worse for it.\Rest assured, their plan will fall through.\What?\If the Lemures have taken over the train, response:	then my daughter is also aboard.
context: Are you trying to make fun of me, monster?\There's the real you.\Convince them to surrender, Huey Laforet,\and you will come out no worse for it.\Rest assured, their plan will fall through.\What?\If the Lemures have taken over the train,\then my daughter is also aboard. response:	My daughter has sworn absolute loyalty to me.
context: There's the real you.\Convince them to surrender, Huey Laforet,\and you will come out no worse for it.\Rest assured, their plan will fall through.\What?\If the Lemures have taken over the train,\then my daughter is also aboard.\My daughter has sworn absolute loyalty to me. response:	Your daughter?
context: Convince them to surrender, Huey Laforet,\and you will come out no worse for it.\Rest assured, their plan will fall through.\What?\If the Lemures have taken over the train,\then my daughter is also aboard.\My daughter has sworn absolute loyalty to me.\Your daughter? response:	Chane Laforet, the fanatic?
context: and you will come out no worse for it.\Rest assured, their plan will fall through.\What?\If the Lemures have taken over the train,\then my daughter is also aboard.\My daughter has sworn absolute loyalty to me.\Your daughter?\Chane Laforet, the fanatic? response:	If she finds out that what they are doing
context: Rest assured, their plan will fall through.\What?\If the Lemures have taken over the train,\then my daughter is also aboard.\My daughter has sworn absolute loyalty to me.\Your daughter?\Chane Laforet, the fanatic?\If she finds out that what they are doing response:	Chane, you will not falter.
context: What?\If the Lemures have taken over the train,\then my daughter is also aboard.\My daughter has sworn absolute loyalty to me.\Your daughter?\Chane Laforet, the fanatic?\If she finds out that what they are doing\Chane, you will not falter. response:	What's the matter, Chane?
context: If the Lemures have taken over the train,\then my daughter is also aboard.\My daughter has sworn absolute loyalty to me.\Your daughter?\Chane Laforet, the fanatic?\If she finds out that what they are doing\Chane, you will not falter.\What's the matter, Chane? response:	Okay, listen.
context: then my daughter is also aboard.\My daughter has sworn absolute loyalty to me.\Your daughter?\Chane Laforet, the fanatic?\If she finds out that what they are doing\Chane, you will not falter.\What's the matter, Chane?\Okay, listen. response:	Would you kill all of the people in the dining car for me?
context: My daughter has sworn absolute loyalty to me.\Your daughter?\Chane Laforet, the fanatic?\If she finds out that what they are doing\Chane, you will not falter.\What's the matter, Chane?\Okay, listen.\Would you kill all of the people in the dining car for me? response:	What?
context: Your daughter?\Chane Laforet, the fanatic?\If she finds out that what they are doing\Chane, you will not falter.\What's the matter, Chane?\Okay, listen.\Would you kill all of the people in the dining car for me?\What? response:	Of course, I will compensate you accordingly.
context: Chane Laforet, the fanatic?\If she finds out that what they are doing\Chane, you will not falter.\What's the matter, Chane?\Okay, listen.\Would you kill all of the people in the dining car for me?\What?\Of course, I will compensate you accordingly. response:	You will obtain the pleasure you seek, and I will be buying my safety.
context: If she finds out that what they are doing\Chane, you will not falter.\What's the matter, Chane?\Okay, listen.\Would you kill all of the people in the dining car for me?\What?\Of course, I will compensate you accordingly.\You will obtain the pleasure you seek, and I will be buying my safety. response:	You're no child, are you?
context: Chane, you will not falter.\What's the matter, Chane?\Okay, listen.\Would you kill all of the people in the dining car for me?\What?\Of course, I will compensate you accordingly.\You will obtain the pleasure you seek, and I will be buying my safety.\You're no child, are you? response:	I'm glad you're so quick to understand.
context: What's the matter, Chane?\Okay, listen.\Would you kill all of the people in the dining car for me?\What?\Of course, I will compensate you accordingly.\You will obtain the pleasure you seek, and I will be buying my safety.\You're no child, are you?\I'm glad you're so quick to understand. response:	If you will kill all of the passengers for me,
context: Okay, listen.\Would you kill all of the people in the dining car for me?\What?\Of course, I will compensate you accordingly.\You will obtain the pleasure you seek, and I will be buying my safety.\You're no child, are you?\I'm glad you're so quick to understand.\If you will kill all of the passengers for me, response:	your reward will be S200,000.
context: Would you kill all of the people in the dining car for me?\What?\Of course, I will compensate you accordingly.\You will obtain the pleasure you seek, and I will be buying my safety.\You're no child, are you?\I'm glad you're so quick to understand.\If you will kill all of the passengers for me,\your reward will be S200,000. response:	That's out of the question.
context: What?\Of course, I will compensate you accordingly.\You will obtain the pleasure you seek, and I will be buying my safety.\You're no child, are you?\I'm glad you're so quick to understand.\If you will kill all of the passengers for me,\your reward will be S200,000.\That's out of the question. response:	How many people do I have to kill, just in the dining car?
context: Of course, I will compensate you accordingly.\You will obtain the pleasure you seek, and I will be buying my safety.\You're no child, are you?\I'm glad you're so quick to understand.\If you will kill all of the passengers for me,\your reward will be S200,000.\That's out of the question.\How many people do I have to kill, just in the dining car? response:	I'm not about to let myself be taken in for that kind of spare change.
context: You will obtain the pleasure you seek, and I will be buying my safety.\You're no child, are you?\I'm glad you're so quick to understand.\If you will kill all of the passengers for me,\your reward will be S200,000.\That's out of the question.\How many people do I have to kill, just in the dining car?\I'm not about to let myself be taken in for that kind of spare change. response:	I've got no assurances that you'll pay the money, either.
context: You're no child, are you?\I'm glad you're so quick to understand.\If you will kill all of the passengers for me,\your reward will be S200,000.\That's out of the question.\How many people do I have to kill, just in the dining car?\I'm not about to let myself be taken in for that kind of spare change.\I've got no assurances that you'll pay the money, either. response:	I have packed a great deal of explosives on this train.
context: I'm glad you're so quick to understand.\If you will kill all of the passengers for me,\your reward will be S200,000.\That's out of the question.\How many people do I have to kill, just in the dining car?\I'm not about to let myself be taken in for that kind of spare change.\I've got no assurances that you'll pay the money, either.\I have packed a great deal of explosives on this train. response:	It is to make a deal with the Runorata Family in New York.
context: If you will kill all of the passengers for me,\your reward will be S200,000.\That's out of the question.\How many people do I have to kill, just in the dining car?\I'm not about to let myself be taken in for that kind of spare change.\I've got no assurances that you'll pay the money, either.\I have packed a great deal of explosives on this train.\It is to make a deal with the Runorata Family in New York. response:	I have their trust.
context: your reward will be S200,000.\That's out of the question.\How many people do I have to kill, just in the dining car?\I'm not about to let myself be taken in for that kind of spare change.\I've got no assurances that you'll pay the money, either.\I have packed a great deal of explosives on this train.\It is to make a deal with the Runorata Family in New York.\I have their trust. response:	to see to it that the Runoratas treat you well.
context: That's out of the question.\How many people do I have to kill, just in the dining car?\I'm not about to let myself be taken in for that kind of spare change.\I've got no assurances that you'll pay the money, either.\I have packed a great deal of explosives on this train.\It is to make a deal with the Runorata Family in New York.\I have their trust.\to see to it that the Runoratas treat you well. response:	This sounds a bit too convenient.
context: How many people do I have to kill, just in the dining car?\I'm not about to let myself be taken in for that kind of spare change.\I've got no assurances that you'll pay the money, either.\I have packed a great deal of explosives on this train.\It is to make a deal with the Runorata Family in New York.\I have their trust.\to see to it that the Runoratas treat you well.\This sounds a bit too convenient. response:	I have packed some extra explosives.
context: I'm not about to let myself be taken in for that kind of spare change.\I've got no assurances that you'll pay the money, either.\I have packed a great deal of explosives on this train.\It is to make a deal with the Runorata Family in New York.\I have their trust.\to see to it that the Runoratas treat you well.\This sounds a bit too convenient.\I have packed some extra explosives. response:	After you have dealt with all of the people in the dining car,
context: I've got no assurances that you'll pay the money, either.\I have packed a great deal of explosives on this train.\It is to make a deal with the Runorata Family in New York.\I have their trust.\to see to it that the Runoratas treat you well.\This sounds a bit too convenient.\I have packed some extra explosives.\After you have dealt with all of the people in the dining car, response:	I will set them off.
context: I have packed a great deal of explosives on this train.\It is to make a deal with the Runorata Family in New York.\I have their trust.\to see to it that the Runoratas treat you well.\This sounds a bit too convenient.\I have packed some extra explosives.\After you have dealt with all of the people in the dining car,\I will set them off. response:	The train will stop, and in the meantime,
context: It is to make a deal with the Runorata Family in New York.\I have their trust.\to see to it that the Runoratas treat you well.\This sounds a bit too convenient.\I have packed some extra explosives.\After you have dealt with all of the people in the dining car,\I will set them off.\The train will stop, and in the meantime, response:	we will take the remaining explosives, and flee.
context: I have their trust.\to see to it that the Runoratas treat you well.\This sounds a bit too convenient.\I have packed some extra explosives.\After you have dealt with all of the people in the dining car,\I will set them off.\The train will stop, and in the meantime,\we will take the remaining explosives, and flee. response:	The incident will likely be chalked up to the work of those black suits.
context: to see to it that the Runoratas treat you well.\This sounds a bit too convenient.\I have packed some extra explosives.\After you have dealt with all of the people in the dining car,\I will set them off.\The train will stop, and in the meantime,\we will take the remaining explosives, and flee.\The incident will likely be chalked up to the work of those black suits. response:	If you've got that kind of explosives, why don't you just do it yourself?
context: This sounds a bit too convenient.\I have packed some extra explosives.\After you have dealt with all of the people in the dining car,\I will set them off.\The train will stop, and in the meantime,\we will take the remaining explosives, and flee.\The incident will likely be chalked up to the work of those black suits.\If you've got that kind of explosives, why don't you just do it yourself? response:	I have need of the body of one of them, you see.
context: I have packed some extra explosives.\After you have dealt with all of the people in the dining car,\I will set them off.\The train will stop, and in the meantime,\we will take the remaining explosives, and flee.\The incident will likely be chalked up to the work of those black suits.\If you've got that kind of explosives, why don't you just do it yourself?\I have need of the body of one of them, you see. response:	I can't just violently blow them away.
context: After you have dealt with all of the people in the dining car,\I will set them off.\The train will stop, and in the meantime,\we will take the remaining explosives, and flee.\The incident will likely be chalked up to the work of those black suits.\If you've got that kind of explosives, why don't you just do it yourself?\I have need of the body of one of them, you see.\I can't just violently blow them away. response:	So, mister,
context: I will set them off.\The train will stop, and in the meantime,\we will take the remaining explosives, and flee.\The incident will likely be chalked up to the work of those black suits.\If you've got that kind of explosives, why don't you just do it yourself?\I have need of the body of one of them, you see.\I can't just violently blow them away.\So, mister, response:	you'll do this for me, right?
context: The train will stop, and in the meantime,\we will take the remaining explosives, and flee.\The incident will likely be chalked up to the work of those black suits.\If you've got that kind of explosives, why don't you just do it yourself?\I have need of the body of one of them, you see.\I can't just violently blow them away.\So, mister,\you'll do this for me, right? response:	It looks like you don't know how to talk to me, after all.
context: we will take the remaining explosives, and flee.\The incident will likely be chalked up to the work of those black suits.\If you've got that kind of explosives, why don't you just do it yourself?\I have need of the body of one of them, you see.\I can't just violently blow them away.\So, mister,\you'll do this for me, right?\It looks like you don't know how to talk to me, after all. response:	You try being looked at with such confident eyes.
context: The incident will likely be chalked up to the work of those black suits.\If you've got that kind of explosives, why don't you just do it yourself?\I have need of the body of one of them, you see.\I can't just violently blow them away.\So, mister,\you'll do this for me, right?\It looks like you don't know how to talk to me, after all.\You try being looked at with such confident eyes. response:	Like it or not, you'll want to kill them, too, don't you know?
context: If you've got that kind of explosives, why don't you just do it yourself?\I have need of the body of one of them, you see.\I can't just violently blow them away.\So, mister,\you'll do this for me, right?\It looks like you don't know how to talk to me, after all.\You try being looked at with such confident eyes.\Like it or not, you'll want to kill them, too, don't you know? response:	What? You were attacked without warning?!
context: I have need of the body of one of them, you see.\I can't just violently blow them away.\So, mister,\you'll do this for me, right?\It looks like you don't know how to talk to me, after all.\You try being looked at with such confident eyes.\Like it or not, you'll want to kill them, too, don't you know?\What? You were attacked without warning?! response:	Yes...
context: I can't just violently blow them away.\So, mister,\you'll do this for me, right?\It looks like you don't know how to talk to me, after all.\You try being looked at with such confident eyes.\Like it or not, you'll want to kill them, too, don't you know?\What? You were attacked without warning?!\Yes... response:	I got hit, and when I woke up, the girl was no longer here.
context: So, mister,\you'll do this for me, right?\It looks like you don't know how to talk to me, after all.\You try being looked at with such confident eyes.\Like it or not, you'll want to kill them, too, don't you know?\What? You were attacked without warning?!\Yes...\I got hit, and when I woke up, the girl was no longer here. response:	Damn it!
context: you'll do this for me, right?\It looks like you don't know how to talk to me, after all.\You try being looked at with such confident eyes.\Like it or not, you'll want to kill them, too, don't you know?\What? You were attacked without warning?!\Yes...\I got hit, and when I woke up, the girl was no longer here.\Damn it! response:	It's the Gandors! This has to be the work of those Gandors!
context: It looks like you don't know how to talk to me, after all.\You try being looked at with such confident eyes.\Like it or not, you'll want to kill them, too, don't you know?\What? You were attacked without warning?!\Yes...\I got hit, and when I woke up, the girl was no longer here.\Damn it!\It's the Gandors! This has to be the work of those Gandors! response:	Eve- chan! Eve- chan!
context: You try being looked at with such confident eyes.\Like it or not, you'll want to kill them, too, don't you know?\What? You were attacked without warning?!\Yes...\I got hit, and when I woke up, the girl was no longer here.\Damn it!\It's the Gandors! This has to be the work of those Gandors!\Eve- chan! Eve- chan! response:	Elean- san?
context: Like it or not, you'll want to kill them, too, don't you know?\What? You were attacked without warning?!\Yes...\I got hit, and when I woke up, the girl was no longer here.\Damn it!\It's the Gandors! This has to be the work of those Gandors!\Eve- chan! Eve- chan!\Elean- san? response:	Eve- chan, I'm sorry I startled you.
context: What? You were attacked without warning?!\Yes...\I got hit, and when I woke up, the girl was no longer here.\Damn it!\It's the Gandors! This has to be the work of those Gandors!\Eve- chan! Eve- chan!\Elean- san?\Eve- chan, I'm sorry I startled you. response:	I don't know how to make it up to you for what has happened.
context: Yes...\I got hit, and when I woke up, the girl was no longer here.\Damn it!\It's the Gandors! This has to be the work of those Gandors!\Eve- chan! Eve- chan!\Elean- san?\Eve- chan, I'm sorry I startled you.\I don't know how to make it up to you for what has happened. response:	For my part, I wish there was a hole I could crawl into, and not come out.
context: I got hit, and when I woke up, the girl was no longer here.\Damn it!\It's the Gandors! This has to be the work of those Gandors!\Eve- chan! Eve- chan!\Elean- san?\Eve- chan, I'm sorry I startled you.\I don't know how to make it up to you for what has happened.\For my part, I wish there was a hole I could crawl into, and not come out. response:	You came to rescue me?
context: Damn it!\It's the Gandors! This has to be the work of those Gandors!\Eve- chan! Eve- chan!\Elean- san?\Eve- chan, I'm sorry I startled you.\I don't know how to make it up to you for what has happened.\For my part, I wish there was a hole I could crawl into, and not come out.\You came to rescue me? response:	Yeah. I thought it was my duty to do so.
context: It's the Gandors! This has to be the work of those Gandors!\Eve- chan! Eve- chan!\Elean- san?\Eve- chan, I'm sorry I startled you.\I don't know how to make it up to you for what has happened.\For my part, I wish there was a hole I could crawl into, and not come out.\You came to rescue me?\Yeah. I thought it was my duty to do so. response:	Thank you.
context: Eve- chan! Eve- chan!\Elean- san?\Eve- chan, I'm sorry I startled you.\I don't know how to make it up to you for what has happened.\For my part, I wish there was a hole I could crawl into, and not come out.\You came to rescue me?\Yeah. I thought it was my duty to do so.\Thank you. response:	Eve- chan, we are in no position to ask any thanks from you.
context: Elean- san?\Eve- chan, I'm sorry I startled you.\I don't know how to make it up to you for what has happened.\For my part, I wish there was a hole I could crawl into, and not come out.\You came to rescue me?\Yeah. I thought it was my duty to do so.\Thank you.\Eve- chan, we are in no position to ask any thanks from you. response:	That goes for what happened to you, as well as your brother.
context: Eve- chan, I'm sorry I startled you.\I don't know how to make it up to you for what has happened.\For my part, I wish there was a hole I could crawl into, and not come out.\You came to rescue me?\Yeah. I thought it was my duty to do so.\Thank you.\Eve- chan, we are in no position to ask any thanks from you.\That goes for what happened to you, as well as your brother. response:	Big Brother Dallas?
context: I don't know how to make it up to you for what has happened.\For my part, I wish there was a hole I could crawl into, and not come out.\You came to rescue me?\Yeah. I thought it was my duty to do so.\Thank you.\Eve- chan, we are in no position to ask any thanks from you.\That goes for what happened to you, as well as your brother.\Big Brother Dallas? response:	Do you know something about my brother?
context: For my part, I wish there was a hole I could crawl into, and not come out.\You came to rescue me?\Yeah. I thought it was my duty to do so.\Thank you.\Eve- chan, we are in no position to ask any thanks from you.\That goes for what happened to you, as well as your brother.\Big Brother Dallas?\Do you know something about my brother? response:	It's top-secret information within the company,
context: You came to rescue me?\Yeah. I thought it was my duty to do so.\Thank you.\Eve- chan, we are in no position to ask any thanks from you.\That goes for what happened to you, as well as your brother.\Big Brother Dallas?\Do you know something about my brother?\It's top-secret information within the company, response:	and I only know the smallest fraction of it, myself, but by way of apology, I'll tell you what it is.
context: Yeah. I thought it was my duty to do so.\Thank you.\Eve- chan, we are in no position to ask any thanks from you.\That goes for what happened to you, as well as your brother.\Big Brother Dallas?\Do you know something about my brother?\It's top-secret information within the company,\and I only know the smallest fraction of it, myself, but by way of apology, I'll tell you what it is. response:	The Gandor Family appears to be connected
context: Thank you.\Eve- chan, we are in no position to ask any thanks from you.\That goes for what happened to you, as well as your brother.\Big Brother Dallas?\Do you know something about my brother?\It's top-secret information within the company,\and I only know the smallest fraction of it, myself, but by way of apology, I'll tell you what it is.\The Gandor Family appears to be connected response:	to your older brother's disappearance.
context: Eve- chan, we are in no position to ask any thanks from you.\That goes for what happened to you, as well as your brother.\Big Brother Dallas?\Do you know something about my brother?\It's top-secret information within the company,\and I only know the smallest fraction of it, myself, but by way of apology, I'll tell you what it is.\The Gandor Family appears to be connected\to your older brother's disappearance. response:	Gandor...
context: That goes for what happened to you, as well as your brother.\Big Brother Dallas?\Do you know something about my brother?\It's top-secret information within the company,\and I only know the smallest fraction of it, myself, but by way of apology, I'll tell you what it is.\The Gandor Family appears to be connected\to your older brother's disappearance.\Gandor... response:	You mean the mafia family?
context: Big Brother Dallas?\Do you know something about my brother?\It's top-secret information within the company,\and I only know the smallest fraction of it, myself, but by way of apology, I'll tell you what it is.\The Gandor Family appears to be connected\to your older brother's disappearance.\Gandor...\You mean the mafia family? response:	Mm-hmm.
context: Do you know something about my brother?\It's top-secret information within the company,\and I only know the smallest fraction of it, myself, but by way of apology, I'll tell you what it is.\The Gandor Family appears to be connected\to your older brother's disappearance.\Gandor...\You mean the mafia family?\Mm-hmm. response:	Please take me to them!
context: It's top-secret information within the company,\and I only know the smallest fraction of it, myself, but by way of apology, I'll tell you what it is.\The Gandor Family appears to be connected\to your older brother's disappearance.\Gandor...\You mean the mafia family?\Mm-hmm.\Please take me to them! response:	Please! Take me to wherever the Gandors are!
context: and I only know the smallest fraction of it, myself, but by way of apology, I'll tell you what it is.\The Gandor Family appears to be connected\to your older brother's disappearance.\Gandor...\You mean the mafia family?\Mm-hmm.\Please take me to them!\Please! Take me to wherever the Gandors are! response:	Pretty please!
context: The Gandor Family appears to be connected\to your older brother's disappearance.\Gandor...\You mean the mafia family?\Mm-hmm.\Please take me to them!\Please! Take me to wherever the Gandors are!\Pretty please! response:	Hey, Miria, do you suppose Ennis got those four to the police okay?
context: to your older brother's disappearance.\Gandor...\You mean the mafia family?\Mm-hmm.\Please take me to them!\Please! Take me to wherever the Gandors are!\Pretty please!\Hey, Miria, do you suppose Ennis got those four to the police okay? response:	I hope she got away all right afterward.
context: Gandor...\You mean the mafia family?\Mm-hmm.\Please take me to them!\Please! Take me to wherever the Gandors are!\Pretty please!\Hey, Miria, do you suppose Ennis got those four to the police okay?\I hope she got away all right afterward. response:	So, what was it she was trying to do?
context: You mean the mafia family?\Mm-hmm.\Please take me to them!\Please! Take me to wherever the Gandors are!\Pretty please!\Hey, Miria, do you suppose Ennis got those four to the police okay?\I hope she got away all right afterward.\So, what was it she was trying to do? response:	Run away from home?
context: Mm-hmm.\Please take me to them!\Please! Take me to wherever the Gandors are!\Pretty please!\Hey, Miria, do you suppose Ennis got those four to the police okay?\I hope she got away all right afterward.\So, what was it she was trying to do?\Run away from home? response:	Run away, huh? You might be right, Miria.
context: Please take me to them!\Please! Take me to wherever the Gandors are!\Pretty please!\Hey, Miria, do you suppose Ennis got those four to the police okay?\I hope she got away all right afterward.\So, what was it she was trying to do?\Run away from home?\Run away, huh? You might be right, Miria. response:	You have to admit, though, she was really strong, huh?
context: Please! Take me to wherever the Gandors are!\Pretty please!\Hey, Miria, do you suppose Ennis got those four to the police okay?\I hope she got away all right afterward.\So, what was it she was trying to do?\Run away from home?\Run away, huh? You might be right, Miria.\You have to admit, though, she was really strong, huh? response:	She was strong, all right.
context: Pretty please!\Hey, Miria, do you suppose Ennis got those four to the police okay?\I hope she got away all right afterward.\So, what was it she was trying to do?\Run away from home?\Run away, huh? You might be right, Miria.\You have to admit, though, she was really strong, huh?\She was strong, all right. response:	Women who are strong are cool, huh?
context: Hey, Miria, do you suppose Ennis got those four to the police okay?\I hope she got away all right afterward.\So, what was it she was trying to do?\Run away from home?\Run away, huh? You might be right, Miria.\You have to admit, though, she was really strong, huh?\She was strong, all right.\Women who are strong are cool, huh? response:	Just like Tomoe Gozen!
context: I hope she got away all right afterward.\So, what was it she was trying to do?\Run away from home?\Run away, huh? You might be right, Miria.\You have to admit, though, she was really strong, huh?\She was strong, all right.\Women who are strong are cool, huh?\Just like Tomoe Gozen! response:	By the way, Isaac...
context: So, what was it she was trying to do?\Run away from home?\Run away, huh? You might be right, Miria.\You have to admit, though, she was really strong, huh?\She was strong, all right.\Women who are strong are cool, huh?\Just like Tomoe Gozen!\By the way, Isaac... response:	What, Miria?
context: Run away from home?\Run away, huh? You might be right, Miria.\You have to admit, though, she was really strong, huh?\She was strong, all right.\Women who are strong are cool, huh?\Just like Tomoe Gozen!\By the way, Isaac...\What, Miria? response:	Where are we going to go now?
context: Run away, huh? You might be right, Miria.\You have to admit, though, she was really strong, huh?\She was strong, all right.\Women who are strong are cool, huh?\Just like Tomoe Gozen!\By the way, Isaac...\What, Miria?\Where are we going to go now? response:	Here's the thing about that...
context: You have to admit, though, she was really strong, huh?\She was strong, all right.\Women who are strong are cool, huh?\Just like Tomoe Gozen!\By the way, Isaac...\What, Miria?\Where are we going to go now?\Here's the thing about that... response:	When you steal money from the mafia,
context: She was strong, all right.\Women who are strong are cool, huh?\Just like Tomoe Gozen!\By the way, Isaac...\What, Miria?\Where are we going to go now?\Here's the thing about that...\When you steal money from the mafia, response:	if that money is taken from a really big family,
context: Women who are strong are cool, huh?\Just like Tomoe Gozen!\By the way, Isaac...\What, Miria?\Where are we going to go now?\Here's the thing about that...\When you steal money from the mafia,\if that money is taken from a really big family, response:	then a lot of people come after you, and it's a lot of trouble.
context: Just like Tomoe Gozen!\By the way, Isaac...\What, Miria?\Where are we going to go now?\Here's the thing about that...\When you steal money from the mafia,\if that money is taken from a really big family,\then a lot of people come after you, and it's a lot of trouble. response:	The way around that is to go after a smaller family,
context: By the way, Isaac...\What, Miria?\Where are we going to go now?\Here's the thing about that...\When you steal money from the mafia,\if that money is taken from a really big family,\then a lot of people come after you, and it's a lot of trouble.\The way around that is to go after a smaller family, response:	not affiliated with anyone else.
context: What, Miria?\Where are we going to go now?\Here's the thing about that...\When you steal money from the mafia,\if that money is taken from a really big family,\then a lot of people come after you, and it's a lot of trouble.\The way around that is to go after a smaller family,\not affiliated with anyone else. response:	According to my information, around here, those organizations
