context: Carve your answer to me into the roof over there. response:	I'm going to kill Huey Laforet.
context: What do you think their objective was, Nicholas- kun?\Search me. Isn't that something that you two would know better?\Please refrain from being catty, Nicholas- kun.\Since you share this secret, you will also be exposed to danger.\You learned your lesson well enough over the Vino affair, right?\Nicholas- kun, Elean- kun,\let us dedicate ourselves to dispassionately carrying out\our duties as information brokers. response:	All you need to do is gather the information.
context: Search me. Isn't that something that you two would know better?\Please refrain from being catty, Nicholas- kun.\Since you share this secret, you will also be exposed to danger.\You learned your lesson well enough over the Vino affair, right?\Nicholas- kun, Elean- kun,\let us dedicate ourselves to dispassionately carrying out\our duties as information brokers.\All you need to do is gather the information. response:	Rid yourselves of your inquisitiveness and sense of curiosity.
context: Please refrain from being catty, Nicholas- kun.\Since you share this secret, you will also be exposed to danger.\You learned your lesson well enough over the Vino affair, right?\Nicholas- kun, Elean- kun,\let us dedicate ourselves to dispassionately carrying out\our duties as information brokers.\All you need to do is gather the information.\Rid yourselves of your inquisitiveness and sense of curiosity. response:	-Yes, sir. -Yes, sir.
context: Since you share this secret, you will also be exposed to danger.\You learned your lesson well enough over the Vino affair, right?\Nicholas- kun, Elean- kun,\let us dedicate ourselves to dispassionately carrying out\our duties as information brokers.\All you need to do is gather the information.\Rid yourselves of your inquisitiveness and sense of curiosity.\-Yes, sir. -Yes, sir. response:	All right then,
context: You learned your lesson well enough over the Vino affair, right?\Nicholas- kun, Elean- kun,\let us dedicate ourselves to dispassionately carrying out\our duties as information brokers.\All you need to do is gather the information.\Rid yourselves of your inquisitiveness and sense of curiosity.\-Yes, sir. -Yes, sir.\All right then, response:	please continue with the peripheral information concerning the Flying Pussyfoot.
context: Nicholas- kun, Elean- kun,\let us dedicate ourselves to dispassionately carrying out\our duties as information brokers.\All you need to do is gather the information.\Rid yourselves of your inquisitiveness and sense of curiosity.\-Yes, sir. -Yes, sir.\All right then,\please continue with the peripheral information concerning the Flying Pussyfoot. response:	Right. As for Ladd Russo, of the Russo Family,
context: let us dedicate ourselves to dispassionately carrying out\our duties as information brokers.\All you need to do is gather the information.\Rid yourselves of your inquisitiveness and sense of curiosity.\-Yes, sir. -Yes, sir.\All right then,\please continue with the peripheral information concerning the Flying Pussyfoot.\Right. As for Ladd Russo, of the Russo Family, response:	he is cooperating well enough with the investigation,
context: our duties as information brokers.\All you need to do is gather the information.\Rid yourselves of your inquisitiveness and sense of curiosity.\-Yes, sir. -Yes, sir.\All right then,\please continue with the peripheral information concerning the Flying Pussyfoot.\Right. As for Ladd Russo, of the Russo Family,\he is cooperating well enough with the investigation, response:	but he insists that all of the killing he did was done in self-defense.
context: All you need to do is gather the information.\Rid yourselves of your inquisitiveness and sense of curiosity.\-Yes, sir. -Yes, sir.\All right then,\please continue with the peripheral information concerning the Flying Pussyfoot.\Right. As for Ladd Russo, of the Russo Family,\he is cooperating well enough with the investigation,\but he insists that all of the killing he did was done in self-defense. response:	Say, do you know who Huey Laforet is?
context: Rid yourselves of your inquisitiveness and sense of curiosity.\-Yes, sir. -Yes, sir.\All right then,\please continue with the peripheral information concerning the Flying Pussyfoot.\Right. As for Ladd Russo, of the Russo Family,\he is cooperating well enough with the investigation,\but he insists that all of the killing he did was done in self-defense.\Say, do you know who Huey Laforet is? response:	Yeah, well, he's well-known, after all.
context: -Yes, sir. -Yes, sir.\All right then,\please continue with the peripheral information concerning the Flying Pussyfoot.\Right. As for Ladd Russo, of the Russo Family,\he is cooperating well enough with the investigation,\but he insists that all of the killing he did was done in self-defense.\Say, do you know who Huey Laforet is?\Yeah, well, he's well-known, after all. response:	What prison is he going to?
context: All right then,\please continue with the peripheral information concerning the Flying Pussyfoot.\Right. As for Ladd Russo, of the Russo Family,\he is cooperating well enough with the investigation,\but he insists that all of the killing he did was done in self-defense.\Say, do you know who Huey Laforet is?\Yeah, well, he's well-known, after all.\What prison is he going to? response:	Hmm, it hasn't been decided yet,
context: please continue with the peripheral information concerning the Flying Pussyfoot.\Right. As for Ladd Russo, of the Russo Family,\he is cooperating well enough with the investigation,\but he insists that all of the killing he did was done in self-defense.\Say, do you know who Huey Laforet is?\Yeah, well, he's well-known, after all.\What prison is he going to?\Hmm, it hasn't been decided yet, response:	but I'd guess the military prison at Alcatraz, probably.
context: Right. As for Ladd Russo, of the Russo Family,\he is cooperating well enough with the investigation,\but he insists that all of the killing he did was done in self-defense.\Say, do you know who Huey Laforet is?\Yeah, well, he's well-known, after all.\What prison is he going to?\Hmm, it hasn't been decided yet,\but I'd guess the military prison at Alcatraz, probably. response:	Yeah? You don't say...
context: he is cooperating well enough with the investigation,\but he insists that all of the killing he did was done in self-defense.\Say, do you know who Huey Laforet is?\Yeah, well, he's well-known, after all.\What prison is he going to?\Hmm, it hasn't been decided yet,\but I'd guess the military prison at Alcatraz, probably.\Yeah? You don't say... response:	Thanks.
context: but he insists that all of the killing he did was done in self-defense.\Say, do you know who Huey Laforet is?\Yeah, well, he's well-known, after all.\What prison is he going to?\Hmm, it hasn't been decided yet,\but I'd guess the military prison at Alcatraz, probably.\Yeah? You don't say...\Thanks. response:	As for the group led by the delinquent from Chicago, Jacuzzi Splot,
context: Say, do you know who Huey Laforet is?\Yeah, well, he's well-known, after all.\What prison is he going to?\Hmm, it hasn't been decided yet,\but I'd guess the military prison at Alcatraz, probably.\Yeah? You don't say...\Thanks.\As for the group led by the delinquent from Chicago, Jacuzzi Splot, response:	they were introduced to the Genoard family by the head cook
context: Yeah, well, he's well-known, after all.\What prison is he going to?\Hmm, it hasn't been decided yet,\but I'd guess the military prison at Alcatraz, probably.\Yeah? You don't say...\Thanks.\As for the group led by the delinquent from Chicago, Jacuzzi Splot,\they were introduced to the Genoard family by the head cook response:	aboard the Flying Pussyfoot, and taken on as their employees.
context: What prison is he going to?\Hmm, it hasn't been decided yet,\but I'd guess the military prison at Alcatraz, probably.\Yeah? You don't say...\Thanks.\As for the group led by the delinquent from Chicago, Jacuzzi Splot,\they were introduced to the Genoard family by the head cook\aboard the Flying Pussyfoot, and taken on as their employees. response:	Currently, they are staying at a cottage on Millionaire Row.
context: Hmm, it hasn't been decided yet,\but I'd guess the military prison at Alcatraz, probably.\Yeah? You don't say...\Thanks.\As for the group led by the delinquent from Chicago, Jacuzzi Splot,\they were introduced to the Genoard family by the head cook\aboard the Flying Pussyfoot, and taken on as their employees.\Currently, they are staying at a cottage on Millionaire Row. response:	Their leader, Jacuzzi, was on his way to recovery,
context: but I'd guess the military prison at Alcatraz, probably.\Yeah? You don't say...\Thanks.\As for the group led by the delinquent from Chicago, Jacuzzi Splot,\they were introduced to the Genoard family by the head cook\aboard the Flying Pussyfoot, and taken on as their employees.\Currently, they are staying at a cottage on Millionaire Row.\Their leader, Jacuzzi, was on his way to recovery, response:	when his injuries were exacerbated in a quarrel
context: Yeah? You don't say...\Thanks.\As for the group led by the delinquent from Chicago, Jacuzzi Splot,\they were introduced to the Genoard family by the head cook\aboard the Flying Pussyfoot, and taken on as their employees.\Currently, they are staying at a cottage on Millionaire Row.\Their leader, Jacuzzi, was on his way to recovery,\when his injuries were exacerbated in a quarrel response:	with Graham Specter, and he is still in the hospital.
context: Thanks.\As for the group led by the delinquent from Chicago, Jacuzzi Splot,\they were introduced to the Genoard family by the head cook\aboard the Flying Pussyfoot, and taken on as their employees.\Currently, they are staying at a cottage on Millionaire Row.\Their leader, Jacuzzi, was on his way to recovery,\when his injuries were exacerbated in a quarrel\with Graham Specter, and he is still in the hospital. response:	What has become of Eve Genoard?
context: As for the group led by the delinquent from Chicago, Jacuzzi Splot,\they were introduced to the Genoard family by the head cook\aboard the Flying Pussyfoot, and taken on as their employees.\Currently, they are staying at a cottage on Millionaire Row.\Their leader, Jacuzzi, was on his way to recovery,\when his injuries were exacerbated in a quarrel\with Graham Specter, and he is still in the hospital.\What has become of Eve Genoard? response:	Let's ask Sugarcube to report on that.
context: they were introduced to the Genoard family by the head cook\aboard the Flying Pussyfoot, and taken on as their employees.\Currently, they are staying at a cottage on Millionaire Row.\Their leader, Jacuzzi, was on his way to recovery,\when his injuries were exacerbated in a quarrel\with Graham Specter, and he is still in the hospital.\What has become of Eve Genoard?\Let's ask Sugarcube to report on that. response:	Can't we at least let her see her brother?
context: aboard the Flying Pussyfoot, and taken on as their employees.\Currently, they are staying at a cottage on Millionaire Row.\Their leader, Jacuzzi, was on his way to recovery,\when his injuries were exacerbated in a quarrel\with Graham Specter, and he is still in the hospital.\What has become of Eve Genoard?\Let's ask Sugarcube to report on that.\Can't we at least let her see her brother? response:	Since when were you interested in helping others?
context: Currently, they are staying at a cottage on Millionaire Row.\Their leader, Jacuzzi, was on his way to recovery,\when his injuries were exacerbated in a quarrel\with Graham Specter, and he is still in the hospital.\What has become of Eve Genoard?\Let's ask Sugarcube to report on that.\Can't we at least let her see her brother?\Since when were you interested in helping others? response:	I don't see how it would be especially detrimental to us.
context: Their leader, Jacuzzi, was on his way to recovery,\when his injuries were exacerbated in a quarrel\with Graham Specter, and he is still in the hospital.\What has become of Eve Genoard?\Let's ask Sugarcube to report on that.\Can't we at least let her see her brother?\Since when were you interested in helping others?\I don't see how it would be especially detrimental to us. response:	The dissemination of information is plenty detrimental.
context: when his injuries were exacerbated in a quarrel\with Graham Specter, and he is still in the hospital.\What has become of Eve Genoard?\Let's ask Sugarcube to report on that.\Can't we at least let her see her brother?\Since when were you interested in helping others?\I don't see how it would be especially detrimental to us.\The dissemination of information is plenty detrimental. response:	If the sister is willing to spend the rest of her life closed up
context: with Graham Specter, and he is still in the hospital.\What has become of Eve Genoard?\Let's ask Sugarcube to report on that.\Can't we at least let her see her brother?\Since when were you interested in helping others?\I don't see how it would be especially detrimental to us.\The dissemination of information is plenty detrimental.\If the sister is willing to spend the rest of her life closed up response:	with her brother in the research facility, then that's another matter.
context: What has become of Eve Genoard?\Let's ask Sugarcube to report on that.\Can't we at least let her see her brother?\Since when were you interested in helping others?\I don't see how it would be especially detrimental to us.\The dissemination of information is plenty detrimental.\If the sister is willing to spend the rest of her life closed up\with her brother in the research facility, then that's another matter. response:	I see. Good work, Sugarcube- kun.
context: Let's ask Sugarcube to report on that.\Can't we at least let her see her brother?\Since when were you interested in helping others?\I don't see how it would be especially detrimental to us.\The dissemination of information is plenty detrimental.\If the sister is willing to spend the rest of her life closed up\with her brother in the research facility, then that's another matter.\I see. Good work, Sugarcube- kun. response:	Want one?
context: Can't we at least let her see her brother?\Since when were you interested in helping others?\I don't see how it would be especially detrimental to us.\The dissemination of information is plenty detrimental.\If the sister is willing to spend the rest of her life closed up\with her brother in the research facility, then that's another matter.\I see. Good work, Sugarcube- kun.\Want one? response:	No thanks.
context: Since when were you interested in helping others?\I don't see how it would be especially detrimental to us.\The dissemination of information is plenty detrimental.\If the sister is willing to spend the rest of her life closed up\with her brother in the research facility, then that's another matter.\I see. Good work, Sugarcube- kun.\Want one?\No thanks. response:	Want one?
context: I don't see how it would be especially detrimental to us.\The dissemination of information is plenty detrimental.\If the sister is willing to spend the rest of her life closed up\with her brother in the research facility, then that's another matter.\I see. Good work, Sugarcube- kun.\Want one?\No thanks.\Want one? response:	Don't mind if I do.
context: The dissemination of information is plenty detrimental.\If the sister is willing to spend the rest of her life closed up\with her brother in the research facility, then that's another matter.\I see. Good work, Sugarcube- kun.\Want one?\No thanks.\Want one?\Don't mind if I do. response:	Help yourself.
context: If the sister is willing to spend the rest of her life closed up\with her brother in the research facility, then that's another matter.\I see. Good work, Sugarcube- kun.\Want one?\No thanks.\Want one?\Don't mind if I do.\Help yourself. response:	Sugarcube- kun, please continue to keep an eye on the movements of Miss Eve.
context: with her brother in the research facility, then that's another matter.\I see. Good work, Sugarcube- kun.\Want one?\No thanks.\Want one?\Don't mind if I do.\Help yourself.\Sugarcube- kun, please continue to keep an eye on the movements of Miss Eve. response:	Yes, sir.
context: I see. Good work, Sugarcube- kun.\Want one?\No thanks.\Want one?\Don't mind if I do.\Help yourself.\Sugarcube- kun, please continue to keep an eye on the movements of Miss Eve.\Yes, sir. response:	By the way, how is Rachel- kun?
context: Want one?\No thanks.\Want one?\Don't mind if I do.\Help yourself.\Sugarcube- kun, please continue to keep an eye on the movements of Miss Eve.\Yes, sir.\By the way, how is Rachel- kun? response:	S-She apparently went to see that boy who was aboard the Flying Pussyfoot.
context: No thanks.\Want one?\Don't mind if I do.\Help yourself.\Sugarcube- kun, please continue to keep an eye on the movements of Miss Eve.\Yes, sir.\By the way, how is Rachel- kun?\S-She apparently went to see that boy who was aboard the Flying Pussyfoot. response:	I see.
context: Want one?\Don't mind if I do.\Help yourself.\Sugarcube- kun, please continue to keep an eye on the movements of Miss Eve.\Yes, sir.\By the way, how is Rachel- kun?\S-She apparently went to see that boy who was aboard the Flying Pussyfoot.\I see. response:	Oh, there's also this...
context: Don't mind if I do.\Help yourself.\Sugarcube- kun, please continue to keep an eye on the movements of Miss Eve.\Yes, sir.\By the way, how is Rachel- kun?\S-She apparently went to see that boy who was aboard the Flying Pussyfoot.\I see.\Oh, there's also this... response:	Miss Rachel!
context: Help yourself.\Sugarcube- kun, please continue to keep an eye on the movements of Miss Eve.\Yes, sir.\By the way, how is Rachel- kun?\S-She apparently went to see that boy who was aboard the Flying Pussyfoot.\I see.\Oh, there's also this...\Miss Rachel! response:	Thank you very much, Miss Rachel!
context: Sugarcube- kun, please continue to keep an eye on the movements of Miss Eve.\Yes, sir.\By the way, how is Rachel- kun?\S-She apparently went to see that boy who was aboard the Flying Pussyfoot.\I see.\Oh, there's also this...\Miss Rachel!\Thank you very much, Miss Rachel! response:	There's no need, really.
context: Yes, sir.\By the way, how is Rachel- kun?\S-She apparently went to see that boy who was aboard the Flying Pussyfoot.\I see.\Oh, there's also this...\Miss Rachel!\Thank you very much, Miss Rachel!\There's no need, really. response:	I truly don't know how I can express my gratitude.
context: By the way, how is Rachel- kun?\S-She apparently went to see that boy who was aboard the Flying Pussyfoot.\I see.\Oh, there's also this...\Miss Rachel!\Thank you very much, Miss Rachel!\There's no need, really.\I truly don't know how I can express my gratitude. response:	No matter how much I thank you, it wouldn't be enough.
context: S-She apparently went to see that boy who was aboard the Flying Pussyfoot.\I see.\Oh, there's also this...\Miss Rachel!\Thank you very much, Miss Rachel!\There's no need, really.\I truly don't know how I can express my gratitude.\No matter how much I thank you, it wouldn't be enough. response:	Really, don't worry about it, please.
context: I see.\Oh, there's also this...\Miss Rachel!\Thank you very much, Miss Rachel!\There's no need, really.\I truly don't know how I can express my gratitude.\No matter how much I thank you, it wouldn't be enough.\Really, don't worry about it, please. response:	My husband, Manfred.
context: Oh, there's also this...\Miss Rachel!\Thank you very much, Miss Rachel!\There's no need, really.\I truly don't know how I can express my gratitude.\No matter how much I thank you, it wouldn't be enough.\Really, don't worry about it, please.\My husband, Manfred. response:	Go on ahead.
context: Miss Rachel!\Thank you very much, Miss Rachel!\There's no need, really.\I truly don't know how I can express my gratitude.\No matter how much I thank you, it wouldn't be enough.\Really, don't worry about it, please.\My husband, Manfred.\Go on ahead. response:	Right. Okay then, Rachel- san, take care.
context: Thank you very much, Miss Rachel!\There's no need, really.\I truly don't know how I can express my gratitude.\No matter how much I thank you, it wouldn't be enough.\Really, don't worry about it, please.\My husband, Manfred.\Go on ahead.\Right. Okay then, Rachel- san, take care. response:	Come along, Mary.
context: There's no need, really.\I truly don't know how I can express my gratitude.\No matter how much I thank you, it wouldn't be enough.\Really, don't worry about it, please.\My husband, Manfred.\Go on ahead.\Right. Okay then, Rachel- san, take care.\Come along, Mary. response:	Bye-bye, miss.
context: I truly don't know how I can express my gratitude.\No matter how much I thank you, it wouldn't be enough.\Really, don't worry about it, please.\My husband, Manfred.\Go on ahead.\Right. Okay then, Rachel- san, take care.\Come along, Mary.\Bye-bye, miss. response:	Goodbye.
context: No matter how much I thank you, it wouldn't be enough.\Really, don't worry about it, please.\My husband, Manfred.\Go on ahead.\Right. Okay then, Rachel- san, take care.\Come along, Mary.\Bye-bye, miss.\Goodbye. response:	Please accept that.
context: Really, don't worry about it, please.\My husband, Manfred.\Go on ahead.\Right. Okay then, Rachel- san, take care.\Come along, Mary.\Bye-bye, miss.\Goodbye.\Please accept that. response:	Hey, you...
context: My husband, Manfred.\Go on ahead.\Right. Okay then, Rachel- san, take care.\Come along, Mary.\Bye-bye, miss.\Goodbye.\Please accept that.\Hey, you... response:	I see.
context: Go on ahead.\Right. Okay then, Rachel- san, take care.\Come along, Mary.\Bye-bye, miss.\Goodbye.\Please accept that.\Hey, you...\I see. response:	It sounds like Rachel- kun has had an unpleasant time of it.
context: Right. Okay then, Rachel- san, take care.\Come along, Mary.\Bye-bye, miss.\Goodbye.\Please accept that.\Hey, you...\I see.\It sounds like Rachel- kun has had an unpleasant time of it. response:	She can get by without hopping free rides for a while, right?
context: Come along, Mary.\Bye-bye, miss.\Goodbye.\Please accept that.\Hey, you...\I see.\It sounds like Rachel- kun has had an unpleasant time of it.\She can get by without hopping free rides for a while, right? response:	Nicholas- kun, I told you, Rachel- kun has her own personal reasons.
context: Bye-bye, miss.\Goodbye.\Please accept that.\Hey, you...\I see.\It sounds like Rachel- kun has had an unpleasant time of it.\She can get by without hopping free rides for a while, right?\Nicholas- kun, I told you, Rachel- kun has her own personal reasons. response:	You remember that Rachel- kun's father was a railroad engineer, yes?
context: Goodbye.\Please accept that.\Hey, you...\I see.\It sounds like Rachel- kun has had an unpleasant time of it.\She can get by without hopping free rides for a while, right?\Nicholas- kun, I told you, Rachel- kun has her own personal reasons.\You remember that Rachel- kun's father was a railroad engineer, yes? response:	Yes.
context: Please accept that.\Hey, you...\I see.\It sounds like Rachel- kun has had an unpleasant time of it.\She can get by without hopping free rides for a while, right?\Nicholas- kun, I told you, Rachel- kun has her own personal reasons.\You remember that Rachel- kun's father was a railroad engineer, yes?\Yes. response:	When Rachel- kun was very little,
context: Hey, you...\I see.\It sounds like Rachel- kun has had an unpleasant time of it.\She can get by without hopping free rides for a while, right?\Nicholas- kun, I told you, Rachel- kun has her own personal reasons.\You remember that Rachel- kun's father was a railroad engineer, yes?\Yes.\When Rachel- kun was very little, response:	there was a train that was in an accident, due to a part failure,
context: I see.\It sounds like Rachel- kun has had an unpleasant time of it.\She can get by without hopping free rides for a while, right?\Nicholas- kun, I told you, Rachel- kun has her own personal reasons.\You remember that Rachel- kun's father was a railroad engineer, yes?\Yes.\When Rachel- kun was very little,\there was a train that was in an accident, due to a part failure, response:	and the railroad company passed the responsibility for it entirely
context: It sounds like Rachel- kun has had an unpleasant time of it.\She can get by without hopping free rides for a while, right?\Nicholas- kun, I told you, Rachel- kun has her own personal reasons.\You remember that Rachel- kun's father was a railroad engineer, yes?\Yes.\When Rachel- kun was very little,\there was a train that was in an accident, due to a part failure,\and the railroad company passed the responsibility for it entirely response:	onto Rachel- kun's father.
context: She can get by without hopping free rides for a while, right?\Nicholas- kun, I told you, Rachel- kun has her own personal reasons.\You remember that Rachel- kun's father was a railroad engineer, yes?\Yes.\When Rachel- kun was very little,\there was a train that was in an accident, due to a part failure,\and the railroad company passed the responsibility for it entirely\onto Rachel- kun's father. response:	Seeing her father not give up his love for railroads, even in his despair,
context: Nicholas- kun, I told you, Rachel- kun has her own personal reasons.\You remember that Rachel- kun's father was a railroad engineer, yes?\Yes.\When Rachel- kun was very little,\there was a train that was in an accident, due to a part failure,\and the railroad company passed the responsibility for it entirely\onto Rachel- kun's father.\Seeing her father not give up his love for railroads, even in his despair, response:	Rachel- kun must have caught his bitterness for the railroad company,
context: You remember that Rachel- kun's father was a railroad engineer, yes?\Yes.\When Rachel- kun was very little,\there was a train that was in an accident, due to a part failure,\and the railroad company passed the responsibility for it entirely\onto Rachel- kun's father.\Seeing her father not give up his love for railroads, even in his despair,\Rachel- kun must have caught his bitterness for the railroad company, response:	at the same time as his love for railroads.
context: Yes.\When Rachel- kun was very little,\there was a train that was in an accident, due to a part failure,\and the railroad company passed the responsibility for it entirely\onto Rachel- kun's father.\Seeing her father not give up his love for railroads, even in his despair,\Rachel- kun must have caught his bitterness for the railroad company,\at the same time as his love for railroads. response:	You mean, she stowed away out of resentment,
context: When Rachel- kun was very little,\there was a train that was in an accident, due to a part failure,\and the railroad company passed the responsibility for it entirely\onto Rachel- kun's father.\Seeing her father not give up his love for railroads, even in his despair,\Rachel- kun must have caught his bitterness for the railroad company,\at the same time as his love for railroads.\You mean, she stowed away out of resentment, response:	and saved the passengers out of love?
context: there was a train that was in an accident, due to a part failure,\and the railroad company passed the responsibility for it entirely\onto Rachel- kun's father.\Seeing her father not give up his love for railroads, even in his despair,\Rachel- kun must have caught his bitterness for the railroad company,\at the same time as his love for railroads.\You mean, she stowed away out of resentment,\and saved the passengers out of love? response:	That is correct.
