context: NO AURA, NO LIFE WE OPPOSE THE SHUTDOWN OF AURA response:	Muginami! That's dangerous!
context: Representing him?\He's getting older and doesn't like to travel long distances.\But we didn't receive a message.\Was there a need?\Oh no...\I guess there wasn't, really...\Mr. Tadokoro looks uncomfortable.\She's got more presence than him. response:	And you're the Vox pilots?
context: He's getting older and doesn't like to travel long distances.\But we didn't receive a message.\Was there a need?\Oh no...\I guess there wasn't, really...\Mr. Tadokoro looks uncomfortable.\She's got more presence than him.\And you're the Vox pilots? response:	Woof.
context: But we didn't receive a message.\Was there a need?\Oh no...\I guess there wasn't, really...\Mr. Tadokoro looks uncomfortable.\She's got more presence than him.\And you're the Vox pilots?\Woof. response:	You still do that?
context: Was there a need?\Oh no...\I guess there wasn't, really...\Mr. Tadokoro looks uncomfortable.\She's got more presence than him.\And you're the Vox pilots?\Woof.\You still do that? response:	It's a greeting.
context: Oh no...\I guess there wasn't, really...\Mr. Tadokoro looks uncomfortable.\She's got more presence than him.\And you're the Vox pilots?\Woof.\You still do that?\It's a greeting. response:	I was lying when I said that was a greeting on Earth.
context: I guess there wasn't, really...\Mr. Tadokoro looks uncomfortable.\She's got more presence than him.\And you're the Vox pilots?\Woof.\You still do that?\It's a greeting.\I was lying when I said that was a greeting on Earth. response:	A lie?
context: Mr. Tadokoro looks uncomfortable.\She's got more presence than him.\And you're the Vox pilots?\Woof.\You still do that?\It's a greeting.\I was lying when I said that was a greeting on Earth.\A lie? response:	You're Madoka Kyono?
context: She's got more presence than him.\And you're the Vox pilots?\Woof.\You still do that?\It's a greeting.\I was lying when I said that was a greeting on Earth.\A lie?\You're Madoka Kyono? response:	Huh? Uh, yes.
context: And you're the Vox pilots?\Woof.\You still do that?\It's a greeting.\I was lying when I said that was a greeting on Earth.\A lie?\You're Madoka Kyono?\Huh? Uh, yes. response:	Huh?!
context: Woof.\You still do that?\It's a greeting.\I was lying when I said that was a greeting on Earth.\A lie?\You're Madoka Kyono?\Huh? Uh, yes.\Huh?! response:	You're so-so...
context: You still do that?\It's a greeting.\I was lying when I said that was a greeting on Earth.\A lie?\You're Madoka Kyono?\Huh? Uh, yes.\Huh?!\You're so-so... response:	What?
context: It's a greeting.\I was lying when I said that was a greeting on Earth.\A lie?\You're Madoka Kyono?\Huh? Uh, yes.\Huh?!\You're so-so...\What? response:	I think you'll make good scissors.
context: I was lying when I said that was a greeting on Earth.\A lie?\You're Madoka Kyono?\Huh? Uh, yes.\Huh?!\You're so-so...\What?\I think you'll make good scissors. response:	Scissors?
context: A lie?\You're Madoka Kyono?\Huh? Uh, yes.\Huh?!\You're so-so...\What?\I think you'll make good scissors.\Scissors? response:	You should have received detailed reports already.
context: You're Madoka Kyono?\Huh? Uh, yes.\Huh?!\You're so-so...\What?\I think you'll make good scissors.\Scissors?\You should have received detailed reports already. response:	Is there anything that concerns you?
context: Huh? Uh, yes.\Huh?!\You're so-so...\What?\I think you'll make good scissors.\Scissors?\You should have received detailed reports already.\Is there anything that concerns you? response:	No,
context: Huh?!\You're so-so...\What?\I think you'll make good scissors.\Scissors?\You should have received detailed reports already.\Is there anything that concerns you?\No, response:	I've been briefed quite thoroughly.
context: You're so-so...\What?\I think you'll make good scissors.\Scissors?\You should have received detailed reports already.\Is there anything that concerns you?\No,\I've been briefed quite thoroughly. response:	But I wanted to hear everything directly from the people who were involved.
context: What?\I think you'll make good scissors.\Scissors?\You should have received detailed reports already.\Is there anything that concerns you?\No,\I've been briefed quite thoroughly.\But I wanted to hear everything directly from the people who were involved. response:	I wonder if Lan has met Asteria before.
context: I think you'll make good scissors.\Scissors?\You should have received detailed reports already.\Is there anything that concerns you?\No,\I've been briefed quite thoroughly.\But I wanted to hear everything directly from the people who were involved.\I wonder if Lan has met Asteria before. response:	It seems so.
context: Scissors?\You should have received detailed reports already.\Is there anything that concerns you?\No,\I've been briefed quite thoroughly.\But I wanted to hear everything directly from the people who were involved.\I wonder if Lan has met Asteria before.\It seems so. response:	She was the one who taught Lan about the customs on Earth.
context: You should have received detailed reports already.\Is there anything that concerns you?\No,\I've been briefed quite thoroughly.\But I wanted to hear everything directly from the people who were involved.\I wonder if Lan has met Asteria before.\It seems so.\She was the one who taught Lan about the customs on Earth. response:	But...
context: Is there anything that concerns you?\No,\I've been briefed quite thoroughly.\But I wanted to hear everything directly from the people who were involved.\I wonder if Lan has met Asteria before.\It seems so.\She was the one who taught Lan about the customs on Earth.\But... response:	It was a lie.
context: No,\I've been briefed quite thoroughly.\But I wanted to hear everything directly from the people who were involved.\I wonder if Lan has met Asteria before.\It seems so.\She was the one who taught Lan about the customs on Earth.\But...\It was a lie. response:	Woof was a lie.
context: I've been briefed quite thoroughly.\But I wanted to hear everything directly from the people who were involved.\I wonder if Lan has met Asteria before.\It seems so.\She was the one who taught Lan about the customs on Earth.\But...\It was a lie.\Woof was a lie. response:	Woof was a lie.
context: But I wanted to hear everything directly from the people who were involved.\I wonder if Lan has met Asteria before.\It seems so.\She was the one who taught Lan about the customs on Earth.\But...\It was a lie.\Woof was a lie.\Woof was a lie. response:	Madoka Kyono.
context: I wonder if Lan has met Asteria before.\It seems so.\She was the one who taught Lan about the customs on Earth.\But...\It was a lie.\Woof was a lie.\Woof was a lie.\Madoka Kyono. response:	Tell me in your own words,
context: It seems so.\She was the one who taught Lan about the customs on Earth.\But...\It was a lie.\Woof was a lie.\Woof was a lie.\Madoka Kyono.\Tell me in your own words, response:	what happened during this incident.
context: She was the one who taught Lan about the customs on Earth.\But...\It was a lie.\Woof was a lie.\Woof was a lie.\Madoka Kyono.\Tell me in your own words,\what happened during this incident. response:	Well, I don't remember very clearly...
context: But...\It was a lie.\Woof was a lie.\Woof was a lie.\Madoka Kyono.\Tell me in your own words,\what happened during this incident.\Well, I don't remember very clearly... response:	But...well, we were having a little argument.
context: It was a lie.\Woof was a lie.\Woof was a lie.\Madoka Kyono.\Tell me in your own words,\what happened during this incident.\Well, I don't remember very clearly...\But...well, we were having a little argument. response:	I lost my temper and got upset with Muginami and...
context: Woof was a lie.\Woof was a lie.\Madoka Kyono.\Tell me in your own words,\what happened during this incident.\Well, I don't remember very clearly...\But...well, we were having a little argument.\I lost my temper and got upset with Muginami and... response:	An argument?
context: Woof was a lie.\Madoka Kyono.\Tell me in your own words,\what happened during this incident.\Well, I don't remember very clearly...\But...well, we were having a little argument.\I lost my temper and got upset with Muginami and...\An argument? response:	Tadokoro...
context: Madoka Kyono.\Tell me in your own words,\what happened during this incident.\Well, I don't remember very clearly...\But...well, we were having a little argument.\I lost my temper and got upset with Muginami and...\An argument?\Tadokoro... response:	The report I received
context: Tell me in your own words,\what happened during this incident.\Well, I don't remember very clearly...\But...well, we were having a little argument.\I lost my temper and got upset with Muginami and...\An argument?\Tadokoro...\The report I received response:	said the cause was due to differences in tactical decisions made during an extreme battle situation.
context: what happened during this incident.\Well, I don't remember very clearly...\But...well, we were having a little argument.\I lost my temper and got upset with Muginami and...\An argument?\Tadokoro...\The report I received\said the cause was due to differences in tactical decisions made during an extreme battle situation. response:	No, that was...
context: Well, I don't remember very clearly...\But...well, we were having a little argument.\I lost my temper and got upset with Muginami and...\An argument?\Tadokoro...\The report I received\said the cause was due to differences in tactical decisions made during an extreme battle situation.\No, that was... response:	So, to be more precise,
context: But...well, we were having a little argument.\I lost my temper and got upset with Muginami and...\An argument?\Tadokoro...\The report I received\said the cause was due to differences in tactical decisions made during an extreme battle situation.\No, that was...\So, to be more precise, response:	these girls were fighting amongst themselves during a mission.
context: I lost my temper and got upset with Muginami and...\An argument?\Tadokoro...\The report I received\said the cause was due to differences in tactical decisions made during an extreme battle situation.\No, that was...\So, to be more precise,\these girls were fighting amongst themselves during a mission. response:	Is that correct?
context: An argument?\Tadokoro...\The report I received\said the cause was due to differences in tactical decisions made during an extreme battle situation.\No, that was...\So, to be more precise,\these girls were fighting amongst themselves during a mission.\Is that correct? response:	Yes.
context: Tadokoro...\The report I received\said the cause was due to differences in tactical decisions made during an extreme battle situation.\No, that was...\So, to be more precise,\these girls were fighting amongst themselves during a mission.\Is that correct?\Yes. response:	Wait!
context: The report I received\said the cause was due to differences in tactical decisions made during an extreme battle situation.\No, that was...\So, to be more precise,\these girls were fighting amongst themselves during a mission.\Is that correct?\Yes.\Wait! response:	If I can explain,
context: said the cause was due to differences in tactical decisions made during an extreme battle situation.\No, that was...\So, to be more precise,\these girls were fighting amongst themselves during a mission.\Is that correct?\Yes.\Wait!\If I can explain, response:	that was a very important and sensitive problem.
context: No, that was...\So, to be more precise,\these girls were fighting amongst themselves during a mission.\Is that correct?\Yes.\Wait!\If I can explain,\that was a very important and sensitive problem. response:	What kind of problem was it?
context: So, to be more precise,\these girls were fighting amongst themselves during a mission.\Is that correct?\Yes.\Wait!\If I can explain,\that was a very important and sensitive problem.\What kind of problem was it? response:	Well, basically,
context: these girls were fighting amongst themselves during a mission.\Is that correct?\Yes.\Wait!\If I can explain,\that was a very important and sensitive problem.\What kind of problem was it?\Well, basically, response:	it was about love.
context: Is that correct?\Yes.\Wait!\If I can explain,\that was a very important and sensitive problem.\What kind of problem was it?\Well, basically,\it was about love. response:	Very well.
context: Yes.\Wait!\If I can explain,\that was a very important and sensitive problem.\What kind of problem was it?\Well, basically,\it was about love.\Very well. response:	You all may go.
context: Wait!\If I can explain,\that was a very important and sensitive problem.\What kind of problem was it?\Well, basically,\it was about love.\Very well.\You all may go. response:	Who would've thought
context: If I can explain,\that was a very important and sensitive problem.\What kind of problem was it?\Well, basically,\it was about love.\Very well.\You all may go.\Who would've thought response:	a girl like her would bring the legend to life?
context: that was a very important and sensitive problem.\What kind of problem was it?\Well, basically,\it was about love.\Very well.\You all may go.\Who would've thought\a girl like her would bring the legend to life? response:	Lan, let's get on.
context: What kind of problem was it?\Well, basically,\it was about love.\Very well.\You all may go.\Who would've thought\a girl like her would bring the legend to life?\Lan, let's get on. response:	Madoka...
context: Well, basically,\it was about love.\Very well.\You all may go.\Who would've thought\a girl like her would bring the legend to life?\Lan, let's get on.\Madoka... response:	Would you mind coming with me?
context: it was about love.\Very well.\You all may go.\Who would've thought\a girl like her would bring the legend to life?\Lan, let's get on.\Madoka...\Would you mind coming with me? response:	Huh?
context: Very well.\You all may go.\Who would've thought\a girl like her would bring the legend to life?\Lan, let's get on.\Madoka...\Would you mind coming with me?\Huh? response:	It's not like you to want to make a stop somewhere.
context: You all may go.\Who would've thought\a girl like her would bring the legend to life?\Lan, let's get on.\Madoka...\Would you mind coming with me?\Huh?\It's not like you to want to make a stop somewhere. response:	I know.
context: Who would've thought\a girl like her would bring the legend to life?\Lan, let's get on.\Madoka...\Would you mind coming with me?\Huh?\It's not like you to want to make a stop somewhere.\I know. response:	Don't you want to tell Madoka something?
context: a girl like her would bring the legend to life?\Lan, let's get on.\Madoka...\Would you mind coming with me?\Huh?\It's not like you to want to make a stop somewhere.\I know.\Don't you want to tell Madoka something? response:	You tend to be awkward about these things.
context: Lan, let's get on.\Madoka...\Would you mind coming with me?\Huh?\It's not like you to want to make a stop somewhere.\I know.\Don't you want to tell Madoka something?\You tend to be awkward about these things. response:	Is she right?
context: Madoka...\Would you mind coming with me?\Huh?\It's not like you to want to make a stop somewhere.\I know.\Don't you want to tell Madoka something?\You tend to be awkward about these things.\Is she right? response:	I'm concerned about something.
context: Would you mind coming with me?\Huh?\It's not like you to want to make a stop somewhere.\I know.\Don't you want to tell Madoka something?\You tend to be awkward about these things.\Is she right?\I'm concerned about something. response:	Concerned?
context: Huh?\It's not like you to want to make a stop somewhere.\I know.\Don't you want to tell Madoka something?\You tend to be awkward about these things.\Is she right?\I'm concerned about something.\Concerned? response:	The Vox Legend.
context: It's not like you to want to make a stop somewhere.\I know.\Don't you want to tell Madoka something?\You tend to be awkward about these things.\Is she right?\I'm concerned about something.\Concerned?\The Vox Legend. response:	Anyway, I want
context: I know.\Don't you want to tell Madoka something?\You tend to be awkward about these things.\Is she right?\I'm concerned about something.\Concerned?\The Vox Legend.\Anyway, I want response:	a wider circuit laid between here and NORAD immediately.
context: Don't you want to tell Madoka something?\You tend to be awkward about these things.\Is she right?\I'm concerned about something.\Concerned?\The Vox Legend.\Anyway, I want\a wider circuit laid between here and NORAD immediately. response:	What are you crying about?
context: You tend to be awkward about these things.\Is she right?\I'm concerned about something.\Concerned?\The Vox Legend.\Anyway, I want\a wider circuit laid between here and NORAD immediately.\What are you crying about? response:	You know you can be easily replaced.
context: Is she right?\I'm concerned about something.\Concerned?\The Vox Legend.\Anyway, I want\a wider circuit laid between here and NORAD immediately.\What are you crying about?\You know you can be easily replaced. response:	By any chance, is the person on the other end of the line...
context: I'm concerned about something.\Concerned?\The Vox Legend.\Anyway, I want\a wider circuit laid between here and NORAD immediately.\What are you crying about?\You know you can be easily replaced.\By any chance, is the person on the other end of the line... response:	If you want to retain your position, listen to what I say.
context: Concerned?\The Vox Legend.\Anyway, I want\a wider circuit laid between here and NORAD immediately.\What are you crying about?\You know you can be easily replaced.\By any chance, is the person on the other end of the line...\If you want to retain your position, listen to what I say. response:	It's the President of the United States.
context: The Vox Legend.\Anyway, I want\a wider circuit laid between here and NORAD immediately.\What are you crying about?\You know you can be easily replaced.\By any chance, is the person on the other end of the line...\If you want to retain your position, listen to what I say.\It's the President of the United States. response:	My apologies, Miss Nakaizumi.
context: Anyway, I want\a wider circuit laid between here and NORAD immediately.\What are you crying about?\You know you can be easily replaced.\By any chance, is the person on the other end of the line...\If you want to retain your position, listen to what I say.\It's the President of the United States.\My apologies, Miss Nakaizumi. response:	Not at all.
context: a wider circuit laid between here and NORAD immediately.\What are you crying about?\You know you can be easily replaced.\By any chance, is the person on the other end of the line...\If you want to retain your position, listen to what I say.\It's the President of the United States.\My apologies, Miss Nakaizumi.\Not at all. response:	What do you think of this place?
context: What are you crying about?\You know you can be easily replaced.\By any chance, is the person on the other end of the line...\If you want to retain your position, listen to what I say.\It's the President of the United States.\My apologies, Miss Nakaizumi.\Not at all.\What do you think of this place? response:	I never imaged Pharos having a room like this.
context: You know you can be easily replaced.\By any chance, is the person on the other end of the line...\If you want to retain your position, listen to what I say.\It's the President of the United States.\My apologies, Miss Nakaizumi.\Not at all.\What do you think of this place?\I never imaged Pharos having a room like this. response:	I made them use lots of aged mahogany and oak.
context: By any chance, is the person on the other end of the line...\If you want to retain your position, listen to what I say.\It's the President of the United States.\My apologies, Miss Nakaizumi.\Not at all.\What do you think of this place?\I never imaged Pharos having a room like this.\I made them use lots of aged mahogany and oak. response:	I believe that being surrounded by steel and plastic corrupts a person.
context: If you want to retain your position, listen to what I say.\It's the President of the United States.\My apologies, Miss Nakaizumi.\Not at all.\What do you think of this place?\I never imaged Pharos having a room like this.\I made them use lots of aged mahogany and oak.\I believe that being surrounded by steel and plastic corrupts a person. response:	I see...
context: It's the President of the United States.\My apologies, Miss Nakaizumi.\Not at all.\What do you think of this place?\I never imaged Pharos having a room like this.\I made them use lots of aged mahogany and oak.\I believe that being surrounded by steel and plastic corrupts a person.\I see... response:	Is she really younger than me?
context: My apologies, Miss Nakaizumi.\Not at all.\What do you think of this place?\I never imaged Pharos having a room like this.\I made them use lots of aged mahogany and oak.\I believe that being surrounded by steel and plastic corrupts a person.\I see...\Is she really younger than me? response:	I asked you to come here
context: Not at all.\What do you think of this place?\I never imaged Pharos having a room like this.\I made them use lots of aged mahogany and oak.\I believe that being surrounded by steel and plastic corrupts a person.\I see...\Is she really younger than me?\I asked you to come here response:	in order to exchange information about Vox.
context: What do you think of this place?\I never imaged Pharos having a room like this.\I made them use lots of aged mahogany and oak.\I believe that being surrounded by steel and plastic corrupts a person.\I see...\Is she really younger than me?\I asked you to come here\in order to exchange information about Vox. response:	The Vox Legend?
context: I never imaged Pharos having a room like this.\I made them use lots of aged mahogany and oak.\I believe that being surrounded by steel and plastic corrupts a person.\I see...\Is she really younger than me?\I asked you to come here\in order to exchange information about Vox.\The Vox Legend? response:	Have you heard about it, Muginami?
context: I made them use lots of aged mahogany and oak.\I believe that being surrounded by steel and plastic corrupts a person.\I see...\Is she really younger than me?\I asked you to come here\in order to exchange information about Vox.\The Vox Legend?\Have you heard about it, Muginami? response:	You mean the scary story about Vox?
context: I believe that being surrounded by steel and plastic corrupts a person.\I see...\Is she really younger than me?\I asked you to come here\in order to exchange information about Vox.\The Vox Legend?\Have you heard about it, Muginami?\You mean the scary story about Vox? response:	Yes.
context: I see...\Is she really younger than me?\I asked you to come here\in order to exchange information about Vox.\The Vox Legend?\Have you heard about it, Muginami?\You mean the scary story about Vox?\Yes. response:	What is it about?
context: Is she really younger than me?\I asked you to come here\in order to exchange information about Vox.\The Vox Legend?\Have you heard about it, Muginami?\You mean the scary story about Vox?\Yes.\What is it about? response:	I just know that a story exists.
context: I asked you to come here\in order to exchange information about Vox.\The Vox Legend?\Have you heard about it, Muginami?\You mean the scary story about Vox?\Yes.\What is it about?\I just know that a story exists. response:	20,000 years ago,
context: in order to exchange information about Vox.\The Vox Legend?\Have you heard about it, Muginami?\You mean the scary story about Vox?\Yes.\What is it about?\I just know that a story exists.\20,000 years ago, response:	civilization on Earth once collapsed.
context: The Vox Legend?\Have you heard about it, Muginami?\You mean the scary story about Vox?\Yes.\What is it about?\I just know that a story exists.\20,000 years ago,\civilization on Earth once collapsed. response:	As an archaeologist,
context: Have you heard about it, Muginami?\You mean the scary story about Vox?\Yes.\What is it about?\I just know that a story exists.\20,000 years ago,\civilization on Earth once collapsed.\As an archaeologist, response:	what is your assessment of what the world was like 20,000 years ago?
context: You mean the scary story about Vox?\Yes.\What is it about?\I just know that a story exists.\20,000 years ago,\civilization on Earth once collapsed.\As an archaeologist,\what is your assessment of what the world was like 20,000 years ago? response:	That would fall under the Last Glacial Maximum.
