context: When I got into junior high, there was an amazing player. response:	I thought that junior high was an amazing place,
context: He got it.\Aw, man. He really is amazing.\Whadya mean, show you how it's done?!\He received it without a problem!\Bring it!\10! 10!\Yeah!\All right! response:	You just saw the guy on the right, didn't you?
context: Aw, man. He really is amazing.\Whadya mean, show you how it's done?!\He received it without a problem!\Bring it!\10! 10!\Yeah!\All right!\You just saw the guy on the right, didn't you? response:	Yeah.
context: Whadya mean, show you how it's done?!\He received it without a problem!\Bring it!\10! 10!\Yeah!\All right!\You just saw the guy on the right, didn't you?\Yeah. response:	Nekoma's setter tried to trick people using his eyes, didn't he?
context: He received it without a problem!\Bring it!\10! 10!\Yeah!\All right!\You just saw the guy on the right, didn't you?\Yeah.\Nekoma's setter tried to trick people using his eyes, didn't he? response:	That god-like toss should be against the rules. Jeez.
context: Bring it!\10! 10!\Yeah!\All right!\You just saw the guy on the right, didn't you?\Yeah.\Nekoma's setter tried to trick people using his eyes, didn't he?\That god-like toss should be against the rules. Jeez. response:	I'm impressed that Nishinoya-kun was able to receive that cleanly.
context: 10! 10!\Yeah!\All right!\You just saw the guy on the right, didn't you?\Yeah.\Nekoma's setter tried to trick people using his eyes, didn't he?\That god-like toss should be against the rules. Jeez.\I'm impressed that Nishinoya-kun was able to receive that cleanly. response:	Oh, but maybe Oikawa-kun didn't mean to hit it toward Nishinoya-kun.
context: Yeah!\All right!\You just saw the guy on the right, didn't you?\Yeah.\Nekoma's setter tried to trick people using his eyes, didn't he?\That god-like toss should be against the rules. Jeez.\I'm impressed that Nishinoya-kun was able to receive that cleanly.\Oh, but maybe Oikawa-kun didn't mean to hit it toward Nishinoya-kun. response:	No, I think he was aiming for Nishinoya.
context: All right!\You just saw the guy on the right, didn't you?\Yeah.\Nekoma's setter tried to trick people using his eyes, didn't he?\That god-like toss should be against the rules. Jeez.\I'm impressed that Nishinoya-kun was able to receive that cleanly.\Oh, but maybe Oikawa-kun didn't mean to hit it toward Nishinoya-kun.\No, I think he was aiming for Nishinoya. response:	Well done!
context: You just saw the guy on the right, didn't you?\Yeah.\Nekoma's setter tried to trick people using his eyes, didn't he?\That god-like toss should be against the rules. Jeez.\I'm impressed that Nishinoya-kun was able to receive that cleanly.\Oh, but maybe Oikawa-kun didn't mean to hit it toward Nishinoya-kun.\No, I think he was aiming for Nishinoya.\Well done! response:	If Nishinoya wasn't able to get that,
context: Yeah.\Nekoma's setter tried to trick people using his eyes, didn't he?\That god-like toss should be against the rules. Jeez.\I'm impressed that Nishinoya-kun was able to receive that cleanly.\Oh, but maybe Oikawa-kun didn't mean to hit it toward Nishinoya-kun.\No, I think he was aiming for Nishinoya.\Well done!\If Nishinoya wasn't able to get that, response:	Thanks!
context: Nekoma's setter tried to trick people using his eyes, didn't he?\That god-like toss should be against the rules. Jeez.\I'm impressed that Nishinoya-kun was able to receive that cleanly.\Oh, but maybe Oikawa-kun didn't mean to hit it toward Nishinoya-kun.\No, I think he was aiming for Nishinoya.\Well done!\If Nishinoya wasn't able to get that,\Thanks! response:	the damage to everyone else's morale would have been huge.
context: That god-like toss should be against the rules. Jeez.\I'm impressed that Nishinoya-kun was able to receive that cleanly.\Oh, but maybe Oikawa-kun didn't mean to hit it toward Nishinoya-kun.\No, I think he was aiming for Nishinoya.\Well done!\If Nishinoya wasn't able to get that,\Thanks!\the damage to everyone else's morale would have been huge. response:	Do that one more time!
context: I'm impressed that Nishinoya-kun was able to receive that cleanly.\Oh, but maybe Oikawa-kun didn't mean to hit it toward Nishinoya-kun.\No, I think he was aiming for Nishinoya.\Well done!\If Nishinoya wasn't able to get that,\Thanks!\the damage to everyone else's morale would have been huge.\Do that one more time! response:	I think that's what he wanted.
context: Oh, but maybe Oikawa-kun didn't mean to hit it toward Nishinoya-kun.\No, I think he was aiming for Nishinoya.\Well done!\If Nishinoya wasn't able to get that,\Thanks!\the damage to everyone else's morale would have been huge.\Do that one more time!\I think that's what he wanted. response:	Thank goodness.
context: No, I think he was aiming for Nishinoya.\Well done!\If Nishinoya wasn't able to get that,\Thanks!\the damage to everyone else's morale would have been huge.\Do that one more time!\I think that's what he wanted.\Thank goodness. response:	You did a great job receiving that, Nishinoya.
context: Well done!\If Nishinoya wasn't able to get that,\Thanks!\the damage to everyone else's morale would have been huge.\Do that one more time!\I think that's what he wanted.\Thank goodness.\You did a great job receiving that, Nishinoya. response:	I'm sorry. I keep messing up.
context: If Nishinoya wasn't able to get that,\Thanks!\the damage to everyone else's morale would have been huge.\Do that one more time!\I think that's what he wanted.\Thank goodness.\You did a great job receiving that, Nishinoya.\I'm sorry. I keep messing up. response:	Well, they are the Karasuno that toyed with Date Tech.
context: Thanks!\the damage to everyone else's morale would have been huge.\Do that one more time!\I think that's what he wanted.\Thank goodness.\You did a great job receiving that, Nishinoya.\I'm sorry. I keep messing up.\Well, they are the Karasuno that toyed with Date Tech. response:	Let's just wait a bit.
context: the damage to everyone else's morale would have been huge.\Do that one more time!\I think that's what he wanted.\Thank goodness.\You did a great job receiving that, Nishinoya.\I'm sorry. I keep messing up.\Well, they are the Karasuno that toyed with Date Tech.\Let's just wait a bit. response:	It shouldn't be much longer.
context: Do that one more time!\I think that's what he wanted.\Thank goodness.\You did a great job receiving that, Nishinoya.\I'm sorry. I keep messing up.\Well, they are the Karasuno that toyed with Date Tech.\Let's just wait a bit.\It shouldn't be much longer. response:	More importantly, Kindaichi...
context: I think that's what he wanted.\Thank goodness.\You did a great job receiving that, Nishinoya.\I'm sorry. I keep messing up.\Well, they are the Karasuno that toyed with Date Tech.\Let's just wait a bit.\It shouldn't be much longer.\More importantly, Kindaichi... response:	I'm sure that you're rather frustrated
context: Thank goodness.\You did a great job receiving that, Nishinoya.\I'm sorry. I keep messing up.\Well, they are the Karasuno that toyed with Date Tech.\Let's just wait a bit.\It shouldn't be much longer.\More importantly, Kindaichi...\I'm sure that you're rather frustrated response:	that the role of Kayeyama's partner was stolen by that little shrimp.
context: You did a great job receiving that, Nishinoya.\I'm sorry. I keep messing up.\Well, they are the Karasuno that toyed with Date Tech.\Let's just wait a bit.\It shouldn't be much longer.\More importantly, Kindaichi...\I'm sure that you're rather frustrated\that the role of Kayeyama's partner was stolen by that little shrimp. response:	No, not really...
context: I'm sorry. I keep messing up.\Well, they are the Karasuno that toyed with Date Tech.\Let's just wait a bit.\It shouldn't be much longer.\More importantly, Kindaichi...\I'm sure that you're rather frustrated\that the role of Kayeyama's partner was stolen by that little shrimp.\No, not really... response:	It's fine. Don't sweat it.
context: Well, they are the Karasuno that toyed with Date Tech.\Let's just wait a bit.\It shouldn't be much longer.\More importantly, Kindaichi...\I'm sure that you're rather frustrated\that the role of Kayeyama's partner was stolen by that little shrimp.\No, not really...\It's fine. Don't sweat it. response:	Even if Tobio thought of you
context: Let's just wait a bit.\It shouldn't be much longer.\More importantly, Kindaichi...\I'm sure that you're rather frustrated\that the role of Kayeyama's partner was stolen by that little shrimp.\No, not really...\It's fine. Don't sweat it.\Even if Tobio thought of you response:	as a minion that wasn't very useful in junior high,
context: It shouldn't be much longer.\More importantly, Kindaichi...\I'm sure that you're rather frustrated\that the role of Kayeyama's partner was stolen by that little shrimp.\No, not really...\It's fine. Don't sweat it.\Even if Tobio thought of you\as a minion that wasn't very useful in junior high, response:	I, the great Oikawa-san, will prove that you're amazing,
context: More importantly, Kindaichi...\I'm sure that you're rather frustrated\that the role of Kayeyama's partner was stolen by that little shrimp.\No, not really...\It's fine. Don't sweat it.\Even if Tobio thought of you\as a minion that wasn't very useful in junior high,\I, the great Oikawa-san, will prove that you're amazing, response:	even without using god-like quicks.
context: I'm sure that you're rather frustrated\that the role of Kayeyama's partner was stolen by that little shrimp.\No, not really...\It's fine. Don't sweat it.\Even if Tobio thought of you\as a minion that wasn't very useful in junior high,\I, the great Oikawa-san, will prove that you're amazing,\even without using god-like quicks. response:	So don't worry and just jump.
context: that the role of Kayeyama's partner was stolen by that little shrimp.\No, not really...\It's fine. Don't sweat it.\Even if Tobio thought of you\as a minion that wasn't very useful in junior high,\I, the great Oikawa-san, will prove that you're amazing,\even without using god-like quicks.\So don't worry and just jump. response:	Right!
context: No, not really...\It's fine. Don't sweat it.\Even if Tobio thought of you\as a minion that wasn't very useful in junior high,\I, the great Oikawa-san, will prove that you're amazing,\even without using god-like quicks.\So don't worry and just jump.\Right! response:	Tanaka, nice serve!
context: It's fine. Don't sweat it.\Even if Tobio thought of you\as a minion that wasn't very useful in junior high,\I, the great Oikawa-san, will prove that you're amazing,\even without using god-like quicks.\So don't worry and just jump.\Right!\Tanaka, nice serve! response:	Nice serve!
context: Even if Tobio thought of you\as a minion that wasn't very useful in junior high,\I, the great Oikawa-san, will prove that you're amazing,\even without using god-like quicks.\So don't worry and just jump.\Right!\Tanaka, nice serve!\Nice serve! response:	Watari!
context: as a minion that wasn't very useful in junior high,\I, the great Oikawa-san, will prove that you're amazing,\even without using god-like quicks.\So don't worry and just jump.\Right!\Tanaka, nice serve!\Nice serve!\Watari! response:	Got it!
context: I, the great Oikawa-san, will prove that you're amazing,\even without using god-like quicks.\So don't worry and just jump.\Right!\Tanaka, nice serve!\Nice serve!\Watari!\Got it! response:	Nice recieve!
context: even without using god-like quicks.\So don't worry and just jump.\Right!\Tanaka, nice serve!\Nice serve!\Watari!\Got it!\Nice recieve! response:	Center!
context: So don't worry and just jump.\Right!\Tanaka, nice serve!\Nice serve!\Watari!\Got it!\Nice recieve!\Center! response:	A-quick!
context: Right!\Tanaka, nice serve!\Nice serve!\Watari!\Got it!\Nice recieve!\Center!\A-quick! response:	Rule the Court Aoba Johsai High School Volleyball Club
context: Tanaka, nice serve!\Nice serve!\Watari!\Got it!\Nice recieve!\Center!\A-quick!\Rule the Court Aoba Johsai High School Volleyball Club response:	Go, go, Yutaro!
context: Nice serve!\Watari!\Got it!\Nice recieve!\Center!\A-quick!\Rule the Court Aoba Johsai High School Volleyball Club\Go, go, Yutaro! response:	Push it, push it, Yutaro! One more!
context: Watari!\Got it!\Nice recieve!\Center!\A-quick!\Rule the Court Aoba Johsai High School Volleyball Club\Go, go, Yutaro!\Push it, push it, Yutaro! One more! response:	I wonder... Maybe I'm imagining it...
context: Got it!\Nice recieve!\Center!\A-quick!\Rule the Court Aoba Johsai High School Volleyball Club\Go, go, Yutaro!\Push it, push it, Yutaro! One more!\I wonder... Maybe I'm imagining it... response:	Their 12 seems to be jumping higher
context: Nice recieve!\Center!\A-quick!\Rule the Court Aoba Johsai High School Volleyball Club\Go, go, Yutaro!\Push it, push it, Yutaro! One more!\I wonder... Maybe I'm imagining it...\Their 12 seems to be jumping higher response:	than in our practice match.
context: Center!\A-quick!\Rule the Court Aoba Johsai High School Volleyball Club\Go, go, Yutaro!\Push it, push it, Yutaro! One more!\I wonder... Maybe I'm imagining it...\Their 12 seems to be jumping higher\than in our practice match. response:	Aoba Johsai Karasuno
context: A-quick!\Rule the Court Aoba Johsai High School Volleyball Club\Go, go, Yutaro!\Push it, push it, Yutaro! One more!\I wonder... Maybe I'm imagining it...\Their 12 seems to be jumping higher\than in our practice match.\Aoba Johsai Karasuno response:	Iwa-chan, nice serve!
context: Rule the Court Aoba Johsai High School Volleyball Club\Go, go, Yutaro!\Push it, push it, Yutaro! One more!\I wonder... Maybe I'm imagining it...\Their 12 seems to be jumping higher\than in our practice match.\Aoba Johsai Karasuno\Iwa-chan, nice serve! response:	Sorry! Cover!
context: Go, go, Yutaro!\Push it, push it, Yutaro! One more!\I wonder... Maybe I'm imagining it...\Their 12 seems to be jumping higher\than in our practice match.\Aoba Johsai Karasuno\Iwa-chan, nice serve!\Sorry! Cover! response:	Right!
context: Push it, push it, Yutaro! One more!\I wonder... Maybe I'm imagining it...\Their 12 seems to be jumping higher\than in our practice match.\Aoba Johsai Karasuno\Iwa-chan, nice serve!\Sorry! Cover!\Right! response:	Toss to me!
context: I wonder... Maybe I'm imagining it...\Their 12 seems to be jumping higher\than in our practice match.\Aoba Johsai Karasuno\Iwa-chan, nice serve!\Sorry! Cover!\Right!\Toss to me! response:	Yep.
context: Their 12 seems to be jumping higher\than in our practice match.\Aoba Johsai Karasuno\Iwa-chan, nice serve!\Sorry! Cover!\Right!\Toss to me!\Yep. response:	Sensei! Sensei!
context: than in our practice match.\Aoba Johsai Karasuno\Iwa-chan, nice serve!\Sorry! Cover!\Right!\Toss to me!\Yep.\Sensei! Sensei! response:	Aoba Johsai Karasuno
context: Aoba Johsai Karasuno\Iwa-chan, nice serve!\Sorry! Cover!\Right!\Toss to me!\Yep.\Sensei! Sensei!\Aoba Johsai Karasuno response:	Seijoh's already asking for a timeout?
context: Iwa-chan, nice serve!\Sorry! Cover!\Right!\Toss to me!\Yep.\Sensei! Sensei!\Aoba Johsai Karasuno\Seijoh's already asking for a timeout? response:	Isn't it a bit early?
context: Sorry! Cover!\Right!\Toss to me!\Yep.\Sensei! Sensei!\Aoba Johsai Karasuno\Seijoh's already asking for a timeout?\Isn't it a bit early? response:	It wasn't like Karasuno had momentum or anything.
context: Right!\Toss to me!\Yep.\Sensei! Sensei!\Aoba Johsai Karasuno\Seijoh's already asking for a timeout?\Isn't it a bit early?\It wasn't like Karasuno had momentum or anything. response:	I'm pretty sure I'm right about this.
context: Toss to me!\Yep.\Sensei! Sensei!\Aoba Johsai Karasuno\Seijoh's already asking for a timeout?\Isn't it a bit early?\It wasn't like Karasuno had momentum or anything.\I'm pretty sure I'm right about this. response:	It's bring it and to me.
context: Yep.\Sensei! Sensei!\Aoba Johsai Karasuno\Seijoh's already asking for a timeout?\Isn't it a bit early?\It wasn't like Karasuno had momentum or anything.\I'm pretty sure I'm right about this.\It's bring it and to me. response:	Could it be that they've already figured it out?
context: Sensei! Sensei!\Aoba Johsai Karasuno\Seijoh's already asking for a timeout?\Isn't it a bit early?\It wasn't like Karasuno had momentum or anything.\I'm pretty sure I'm right about this.\It's bring it and to me.\Could it be that they've already figured it out? response:	Damn it, that was fast.
context: Aoba Johsai Karasuno\Seijoh's already asking for a timeout?\Isn't it a bit early?\It wasn't like Karasuno had momentum or anything.\I'm pretty sure I'm right about this.\It's bring it and to me.\Could it be that they've already figured it out?\Damn it, that was fast. response:	At first, I noticed that the shrimp would always yell something
context: Seijoh's already asking for a timeout?\Isn't it a bit early?\It wasn't like Karasuno had momentum or anything.\I'm pretty sure I'm right about this.\It's bring it and to me.\Could it be that they've already figured it out?\Damn it, that was fast.\At first, I noticed that the shrimp would always yell something response:	when he'd move in on the ball,
context: Isn't it a bit early?\It wasn't like Karasuno had momentum or anything.\I'm pretty sure I'm right about this.\It's bring it and to me.\Could it be that they've already figured it out?\Damn it, that was fast.\At first, I noticed that the shrimp would always yell something\when he'd move in on the ball, response:	and I thought he seemed pretty stupid.
context: It wasn't like Karasuno had momentum or anything.\I'm pretty sure I'm right about this.\It's bring it and to me.\Could it be that they've already figured it out?\Damn it, that was fast.\At first, I noticed that the shrimp would always yell something\when he'd move in on the ball,\and I thought he seemed pretty stupid. response:	But when they use that god-like quick attack,
context: I'm pretty sure I'm right about this.\It's bring it and to me.\Could it be that they've already figured it out?\Damn it, that was fast.\At first, I noticed that the shrimp would always yell something\when he'd move in on the ball,\and I thought he seemed pretty stupid.\But when they use that god-like quick attack, response:	it appears they're using bring it, like bring it here
context: It's bring it and to me.\Could it be that they've already figured it out?\Damn it, that was fast.\At first, I noticed that the shrimp would always yell something\when he'd move in on the ball,\and I thought he seemed pretty stupid.\But when they use that god-like quick attack,\it appears they're using bring it, like bring it here response:	or bring it to me.
context: Could it be that they've already figured it out?\Damn it, that was fast.\At first, I noticed that the shrimp would always yell something\when he'd move in on the ball,\and I thought he seemed pretty stupid.\But when they use that god-like quick attack,\it appears they're using bring it, like bring it here\or bring it to me. response:	And with a normal one...
context: Damn it, that was fast.\At first, I noticed that the shrimp would always yell something\when he'd move in on the ball,\and I thought he seemed pretty stupid.\But when they use that god-like quick attack,\it appears they're using bring it, like bring it here\or bring it to me.\And with a normal one... response:	Yep.
context: At first, I noticed that the shrimp would always yell something\when he'd move in on the ball,\and I thought he seemed pretty stupid.\But when they use that god-like quick attack,\it appears they're using bring it, like bring it here\or bring it to me.\And with a normal one...\Yep. response:	But that shrimp's role is to be the decoy.
context: when he'd move in on the ball,\and I thought he seemed pretty stupid.\But when they use that god-like quick attack,\it appears they're using bring it, like bring it here\or bring it to me.\And with a normal one...\Yep.\But that shrimp's role is to be the decoy. response:	They want us to focus our attention on him.
context: and I thought he seemed pretty stupid.\But when they use that god-like quick attack,\it appears they're using bring it, like bring it here\or bring it to me.\And with a normal one...\Yep.\But that shrimp's role is to be the decoy.\They want us to focus our attention on him. response:	So let's just set up a simple rule.
context: But when they use that god-like quick attack,\it appears they're using bring it, like bring it here\or bring it to me.\And with a normal one...\Yep.\But that shrimp's role is to be the decoy.\They want us to focus our attention on him.\So let's just set up a simple rule. response:	When we hear bring it, let's just have one person mark the shrimp.
context: it appears they're using bring it, like bring it here\or bring it to me.\And with a normal one...\Yep.\But that shrimp's role is to be the decoy.\They want us to focus our attention on him.\So let's just set up a simple rule.\When we hear bring it, let's just have one person mark the shrimp. response:	When we hear to me, let's see where the toss goes before we jump.
context: or bring it to me.\And with a normal one...\Yep.\But that shrimp's role is to be the decoy.\They want us to focus our attention on him.\So let's just set up a simple rule.\When we hear bring it, let's just have one person mark the shrimp.\When we hear to me, let's see where the toss goes before we jump. response:	Okay?
