context: Kawagoe City Daisan Middle School response:	Kawagoe City Daisan Middle School Opening Ceremony
context: Aww...\Hey, at least we can see each other in the club.\That's true.\You think we'll get some first-years?\I hope we get lots!\Shoot, I forgot about the poster!\What?\Hira asked me to do it. response:	The lawyer one?
context: Hey, at least we can see each other in the club.\That's true.\You think we'll get some first-years?\I hope we get lots!\Shoot, I forgot about the poster!\What?\Hira asked me to do it.\The lawyer one? response:	Yeah, that one.
context: That's true.\You think we'll get some first-years?\I hope we get lots!\Shoot, I forgot about the poster!\What?\Hira asked me to do it.\The lawyer one?\Yeah, that one. response:	Want me to help?
context: You think we'll get some first-years?\I hope we get lots!\Shoot, I forgot about the poster!\What?\Hira asked me to do it.\The lawyer one?\Yeah, that one.\Want me to help? response:	Thanks.
context: I hope we get lots!\Shoot, I forgot about the poster!\What?\Hira asked me to do it.\The lawyer one?\Yeah, that one.\Want me to help?\Thanks. response:	Cool, let's make this happen.
context: Shoot, I forgot about the poster!\What?\Hira asked me to do it.\The lawyer one?\Yeah, that one.\Want me to help?\Thanks.\Cool, let's make this happen. response:	Time to get serious!
context: What?\Hira asked me to do it.\The lawyer one?\Yeah, that one.\Want me to help?\Thanks.\Cool, let's make this happen.\Time to get serious! response:	Right, Akane?
context: Hira asked me to do it.\The lawyer one?\Yeah, that one.\Want me to help?\Thanks.\Cool, let's make this happen.\Time to get serious!\Right, Akane? response:	Oh, yeah.
context: The lawyer one?\Yeah, that one.\Want me to help?\Thanks.\Cool, let's make this happen.\Time to get serious!\Right, Akane?\Oh, yeah. response:	Starting today, I'll be a third-year in middle school.
context: Yeah, that one.\Want me to help?\Thanks.\Cool, let's make this happen.\Time to get serious!\Right, Akane?\Oh, yeah.\Starting today, I'll be a third-year in middle school. response:	Good morning, everyone.
context: Want me to help?\Thanks.\Cool, let's make this happen.\Time to get serious!\Right, Akane?\Oh, yeah.\Starting today, I'll be a third-year in middle school.\Good morning, everyone. response:	It's April.
context: Thanks.\Cool, let's make this happen.\Time to get serious!\Right, Akane?\Oh, yeah.\Starting today, I'll be a third-year in middle school.\Good morning, everyone.\It's April. response:	The cherry trees are blooming, and it's the start of a new year.
context: Cool, let's make this happen.\Time to get serious!\Right, Akane?\Oh, yeah.\Starting today, I'll be a third-year in middle school.\Good morning, everyone.\It's April.\The cherry trees are blooming, and it's the start of a new year. response:	To the first-years,
context: Time to get serious!\Right, Akane?\Oh, yeah.\Starting today, I'll be a third-year in middle school.\Good morning, everyone.\It's April.\The cherry trees are blooming, and it's the start of a new year.\To the first-years, response:	Kawagoe City Daisan Middle School Term 1 Opening Ceremony
context: Right, Akane?\Oh, yeah.\Starting today, I'll be a third-year in middle school.\Good morning, everyone.\It's April.\The cherry trees are blooming, and it's the start of a new year.\To the first-years,\Kawagoe City Daisan Middle School Term 1 Opening Ceremony response:	I hope that you will hold on to the fresh state of mind that you're in now,
context: Oh, yeah.\Starting today, I'll be a third-year in middle school.\Good morning, everyone.\It's April.\The cherry trees are blooming, and it's the start of a new year.\To the first-years,\Kawagoe City Daisan Middle School Term 1 Opening Ceremony\I hope that you will hold on to the fresh state of mind that you're in now, response:	and that you'll live your coming years at this school to their fullest.
context: Starting today, I'll be a third-year in middle school.\Good morning, everyone.\It's April.\The cherry trees are blooming, and it's the start of a new year.\To the first-years,\Kawagoe City Daisan Middle School Term 1 Opening Ceremony\I hope that you will hold on to the fresh state of mind that you're in now,\and that you'll live your coming years at this school to their fullest. response:	To the new second and third-years, your classes...
context: Good morning, everyone.\It's April.\The cherry trees are blooming, and it's the start of a new year.\To the first-years,\Kawagoe City Daisan Middle School Term 1 Opening Ceremony\I hope that you will hold on to the fresh state of mind that you're in now,\and that you'll live your coming years at this school to their fullest.\To the new second and third-years, your classes... response:	Man, I'm beat.
context: It's April.\The cherry trees are blooming, and it's the start of a new year.\To the first-years,\Kawagoe City Daisan Middle School Term 1 Opening Ceremony\I hope that you will hold on to the fresh state of mind that you're in now,\and that you'll live your coming years at this school to their fullest.\To the new second and third-years, your classes...\Man, I'm beat. response:	I can't wait to get home.
context: The cherry trees are blooming, and it's the start of a new year.\To the first-years,\Kawagoe City Daisan Middle School Term 1 Opening Ceremony\I hope that you will hold on to the fresh state of mind that you're in now,\and that you'll live your coming years at this school to their fullest.\To the new second and third-years, your classes...\Man, I'm beat.\I can't wait to get home. response:	I'm so nervous.
context: To the first-years,\Kawagoe City Daisan Middle School Term 1 Opening Ceremony\I hope that you will hold on to the fresh state of mind that you're in now,\and that you'll live your coming years at this school to their fullest.\To the new second and third-years, your classes...\Man, I'm beat.\I can't wait to get home.\I'm so nervous. response:	Stay calm.
context: Kawagoe City Daisan Middle School Term 1 Opening Ceremony\I hope that you will hold on to the fresh state of mind that you're in now,\and that you'll live your coming years at this school to their fullest.\To the new second and third-years, your classes...\Man, I'm beat.\I can't wait to get home.\I'm so nervous.\Stay calm. response:	Stay calm!
context: I hope that you will hold on to the fresh state of mind that you're in now,\and that you'll live your coming years at this school to their fullest.\To the new second and third-years, your classes...\Man, I'm beat.\I can't wait to get home.\I'm so nervous.\Stay calm.\Stay calm! response:	Okay.
context: and that you'll live your coming years at this school to their fullest.\To the new second and third-years, your classes...\Man, I'm beat.\I can't wait to get home.\I'm so nervous.\Stay calm.\Stay calm!\Okay. response:	Even in middle school, there's inequality.
context: To the new second and third-years, your classes...\Man, I'm beat.\I can't wait to get home.\I'm so nervous.\Stay calm.\Stay calm!\Okay.\Even in middle school, there's inequality. response:	The upper and lower class.
context: Man, I'm beat.\I can't wait to get home.\I'm so nervous.\Stay calm.\Stay calm!\Okay.\Even in middle school, there's inequality.\The upper and lower class. response:	The cool clubs and the lame ones.
context: I can't wait to get home.\I'm so nervous.\Stay calm.\Stay calm!\Okay.\Even in middle school, there's inequality.\The upper and lower class.\The cool clubs and the lame ones. response:	Attractiveness and grades.
context: I'm so nervous.\Stay calm.\Stay calm!\Okay.\Even in middle school, there's inequality.\The upper and lower class.\The cool clubs and the lame ones.\Attractiveness and grades. response:	We use every weapon at our disposal to establish a pecking order.
context: Stay calm.\Stay calm!\Okay.\Even in middle school, there's inequality.\The upper and lower class.\The cool clubs and the lame ones.\Attractiveness and grades.\We use every weapon at our disposal to establish a pecking order. response:	Yay!
context: Stay calm!\Okay.\Even in middle school, there's inequality.\The upper and lower class.\The cool clubs and the lame ones.\Attractiveness and grades.\We use every weapon at our disposal to establish a pecking order.\Yay! response:	Wow, you're popular.
context: Okay.\Even in middle school, there's inequality.\The upper and lower class.\The cool clubs and the lame ones.\Attractiveness and grades.\We use every weapon at our disposal to establish a pecking order.\Yay!\Wow, you're popular. response:	Damn, Roman.
context: Even in middle school, there's inequality.\The upper and lower class.\The cool clubs and the lame ones.\Attractiveness and grades.\We use every weapon at our disposal to establish a pecking order.\Yay!\Wow, you're popular.\Damn, Roman. response:	What?
context: The upper and lower class.\The cool clubs and the lame ones.\Attractiveness and grades.\We use every weapon at our disposal to establish a pecking order.\Yay!\Wow, you're popular.\Damn, Roman.\What? response:	Player.
context: The cool clubs and the lame ones.\Attractiveness and grades.\We use every weapon at our disposal to establish a pecking order.\Yay!\Wow, you're popular.\Damn, Roman.\What?\Player. response:	You bastard!
context: Attractiveness and grades.\We use every weapon at our disposal to establish a pecking order.\Yay!\Wow, you're popular.\Damn, Roman.\What?\Player.\You bastard! response:	Get off me.
context: We use every weapon at our disposal to establish a pecking order.\Yay!\Wow, you're popular.\Damn, Roman.\What?\Player.\You bastard!\Get off me. response:	Check this out.
context: Yay!\Wow, you're popular.\Damn, Roman.\What?\Player.\You bastard!\Get off me.\Check this out. response:	What?
context: Wow, you're popular.\Damn, Roman.\What?\Player.\You bastard!\Get off me.\Check this out.\What? response:	This doesn't hurt.
context: Damn, Roman.\What?\Player.\You bastard!\Get off me.\Check this out.\What?\This doesn't hurt. response:	Your shoulder blades. See?
context: What?\Player.\You bastard!\Get off me.\Check this out.\What?\This doesn't hurt.\Your shoulder blades. See? response:	Dude, ow!
context: Player.\You bastard!\Get off me.\Check this out.\What?\This doesn't hurt.\Your shoulder blades. See?\Dude, ow! response:	Yeah, right.
context: You bastard!\Get off me.\Check this out.\What?\This doesn't hurt.\Your shoulder blades. See?\Dude, ow!\Yeah, right. response:	Ow! Seriously!
context: Get off me.\Check this out.\What?\This doesn't hurt.\Your shoulder blades. See?\Dude, ow!\Yeah, right.\Ow! Seriously! response:	Really?
context: Check this out.\What?\This doesn't hurt.\Your shoulder blades. See?\Dude, ow!\Yeah, right.\Ow! Seriously!\Really? response:	Want me to try it on you?
context: What?\This doesn't hurt.\Your shoulder blades. See?\Dude, ow!\Yeah, right.\Ow! Seriously!\Really?\Want me to try it on you? response:	Sure.
context: This doesn't hurt.\Your shoulder blades. See?\Dude, ow!\Yeah, right.\Ow! Seriously!\Really?\Want me to try it on you?\Sure. response:	Doesn't hurt.
context: Your shoulder blades. See?\Dude, ow!\Yeah, right.\Ow! Seriously!\Really?\Want me to try it on you?\Sure.\Doesn't hurt. response:	Um...
context: Dude, ow!\Yeah, right.\Ow! Seriously!\Really?\Want me to try it on you?\Sure.\Doesn't hurt.\Um... response:	Nope.
context: Yeah, right.\Ow! Seriously!\Really?\Want me to try it on you?\Sure.\Doesn't hurt.\Um...\Nope. response:	You guys...
context: Ow! Seriously!\Really?\Want me to try it on you?\Sure.\Doesn't hurt.\Um...\Nope.\You guys... response:	Akanecchi.
context: Really?\Want me to try it on you?\Sure.\Doesn't hurt.\Um...\Nope.\You guys...\Akanecchi. response:	It's me, Aira. Remember me?
context: Want me to try it on you?\Sure.\Doesn't hurt.\Um...\Nope.\You guys...\Akanecchi.\It's me, Aira. Remember me? response:	We were in the same third grade class.
context: Sure.\Doesn't hurt.\Um...\Nope.\You guys...\Akanecchi.\It's me, Aira. Remember me?\We were in the same third grade class. response:	Oh, yeah.
context: Doesn't hurt.\Um...\Nope.\You guys...\Akanecchi.\It's me, Aira. Remember me?\We were in the same third grade class.\Oh, yeah. response:	You're in the track club, aren't you?
context: Um...\Nope.\You guys...\Akanecchi.\It's me, Aira. Remember me?\We were in the same third grade class.\Oh, yeah.\You're in the track club, aren't you? response:	Yeah. Nice to meet you.
context: Nope.\You guys...\Akanecchi.\It's me, Aira. Remember me?\We were in the same third grade class.\Oh, yeah.\You're in the track club, aren't you?\Yeah. Nice to meet you. response:	Do you know her?
context: You guys...\Akanecchi.\It's me, Aira. Remember me?\We were in the same third grade class.\Oh, yeah.\You're in the track club, aren't you?\Yeah. Nice to meet you.\Do you know her? response:	No.
context: Akanecchi.\It's me, Aira. Remember me?\We were in the same third grade class.\Oh, yeah.\You're in the track club, aren't you?\Yeah. Nice to meet you.\Do you know her?\No. response:	Ryouko-chan's here.
context: It's me, Aira. Remember me?\We were in the same third grade class.\Oh, yeah.\You're in the track club, aren't you?\Yeah. Nice to meet you.\Do you know her?\No.\Ryouko-chan's here. response:	All right, take your seats, please.
context: We were in the same third grade class.\Oh, yeah.\You're in the track club, aren't you?\Yeah. Nice to meet you.\Do you know her?\No.\Ryouko-chan's here.\All right, take your seats, please. response:	Track and Field Club
context: Oh, yeah.\You're in the track club, aren't you?\Yeah. Nice to meet you.\Do you know her?\No.\Ryouko-chan's here.\All right, take your seats, please.\Track and Field Club response:	Members Souper Wanted
context: You're in the track club, aren't you?\Yeah. Nice to meet you.\Do you know her?\No.\Ryouko-chan's here.\All right, take your seats, please.\Track and Field Club\Members Souper Wanted response:	I hope we get lots of first-years.
context: Yeah. Nice to meet you.\Do you know her?\No.\Ryouko-chan's here.\All right, take your seats, please.\Track and Field Club\Members Souper Wanted\I hope we get lots of first-years. response:	I know.
context: Do you know her?\No.\Ryouko-chan's here.\All right, take your seats, please.\Track and Field Club\Members Souper Wanted\I hope we get lots of first-years.\I know. response:	Can you believe we're third-years now?
context: No.\Ryouko-chan's here.\All right, take your seats, please.\Track and Field Club\Members Souper Wanted\I hope we get lots of first-years.\I know.\Can you believe we're third-years now? response:	Okay, let's do this!
context: Ryouko-chan's here.\All right, take your seats, please.\Track and Field Club\Members Souper Wanted\I hope we get lots of first-years.\I know.\Can you believe we're third-years now?\Okay, let's do this! response:	Let's do this!
context: All right, take your seats, please.\Track and Field Club\Members Souper Wanted\I hope we get lots of first-years.\I know.\Can you believe we're third-years now?\Okay, let's do this!\Let's do this! response:	Hey, look!
context: Track and Field Club\Members Souper Wanted\I hope we get lots of first-years.\I know.\Can you believe we're third-years now?\Okay, let's do this!\Let's do this!\Hey, look! response:	Members Souper Wanted
context: Members Souper Wanted\I hope we get lots of first-years.\I know.\Can you believe we're third-years now?\Okay, let's do this!\Let's do this!\Hey, look!\Members Souper Wanted response:	It says souper wanted.
context: I hope we get lots of first-years.\I know.\Can you believe we're third-years now?\Okay, let's do this!\Let's do this!\Hey, look!\Members Souper Wanted\It says souper wanted. response:	Souper!
context: I know.\Can you believe we're third-years now?\Okay, let's do this!\Let's do this!\Hey, look!\Members Souper Wanted\It says souper wanted.\Souper! response:	Who wrote that?
context: Can you believe we're third-years now?\Okay, let's do this!\Let's do this!\Hey, look!\Members Souper Wanted\It says souper wanted.\Souper!\Who wrote that? response:	Soup wanted!
context: Okay, let's do this!\Let's do this!\Hey, look!\Members Souper Wanted\It says souper wanted.\Souper!\Who wrote that?\Soup wanted! response:	Stop it, you're killing me!
context: Let's do this!\Hey, look!\Members Souper Wanted\It says souper wanted.\Souper!\Who wrote that?\Soup wanted!\Stop it, you're killing me! response:	Kota!
context: Hey, look!\Members Souper Wanted\It says souper wanted.\Souper!\Who wrote that?\Soup wanted!\Stop it, you're killing me!\Kota! response:	Kotarou.
context: Members Souper Wanted\It says souper wanted.\Souper!\Who wrote that?\Soup wanted!\Stop it, you're killing me!\Kota!\Kotarou. response:	See you tomorrow.
context: It says souper wanted.\Souper!\Who wrote that?\Soup wanted!\Stop it, you're killing me!\Kota!\Kotarou.\See you tomorrow. response:	You'd better show me that novel.
context: Souper!\Who wrote that?\Soup wanted!\Stop it, you're killing me!\Kota!\Kotarou.\See you tomorrow.\You'd better show me that novel. response:	I'm not showing you.
context: Who wrote that?\Soup wanted!\Stop it, you're killing me!\Kota!\Kotarou.\See you tomorrow.\You'd better show me that novel.\I'm not showing you. response:	I'm taking the key.
context: Soup wanted!\Stop it, you're killing me!\Kota!\Kotarou.\See you tomorrow.\You'd better show me that novel.\I'm not showing you.\I'm taking the key. response:	Open
context: Stop it, you're killing me!\Kota!\Kotarou.\See you tomorrow.\You'd better show me that novel.\I'm not showing you.\I'm taking the key.\Open response:	Feel free to talk to me.
context: Kota!\Kotarou.\See you tomorrow.\You'd better show me that novel.\I'm not showing you.\I'm taking the key.\Open\Feel free to talk to me. response:	Librarian
context: Kotarou.\See you tomorrow.\You'd better show me that novel.\I'm not showing you.\I'm taking the key.\Open\Feel free to talk to me.\Librarian response:	I'm at the desk up front.
context: See you tomorrow.\You'd better show me that novel.\I'm not showing you.\I'm taking the key.\Open\Feel free to talk to me.\Librarian\I'm at the desk up front. response:	Ready?
context: You'd better show me that novel.\I'm not showing you.\I'm taking the key.\Open\Feel free to talk to me.\Librarian\I'm at the desk up front.\Ready? response:	Go!
context: I'm not showing you.\I'm taking the key.\Open\Feel free to talk to me.\Librarian\I'm at the desk up front.\Ready?\Go! response:	Akane, your arms!
context: I'm taking the key.\Open\Feel free to talk to me.\Librarian\I'm at the desk up front.\Ready?\Go!\Akane, your arms! response:	Keep going, Mizuno!
context: Open\Feel free to talk to me.\Librarian\I'm at the desk up front.\Ready?\Go!\Akane, your arms!\Keep going, Mizuno! response:	I'm home.
context: Feel free to talk to me.\Librarian\I'm at the desk up front.\Ready?\Go!\Akane, your arms!\Keep going, Mizuno!\I'm home. response:	Apparently we're eating out today.
context: Librarian\I'm at the desk up front.\Ready?\Go!\Akane, your arms!\Keep going, Mizuno!\I'm home.\Apparently we're eating out today. response:	What? Really?
context: I'm at the desk up front.\Ready?\Go!\Akane, your arms!\Keep going, Mizuno!\I'm home.\Apparently we're eating out today.\What? Really? response:	Want to take a shower?
context: Ready?\Go!\Akane, your arms!\Keep going, Mizuno!\I'm home.\Apparently we're eating out today.\What? Really?\Want to take a shower? response:	I'll be quick.
context: Go!\Akane, your arms!\Keep going, Mizuno!\I'm home.\Apparently we're eating out today.\What? Really?\Want to take a shower?\I'll be quick. response:	Dear, turn the TV off.
context: Akane, your arms!\Keep going, Mizuno!\I'm home.\Apparently we're eating out today.\What? Really?\Want to take a shower?\I'll be quick.\Dear, turn the TV off. response:	Fine, fine.
context: Keep going, Mizuno!\I'm home.\Apparently we're eating out today.\What? Really?\Want to take a shower?\I'll be quick.\Dear, turn the TV off.\Fine, fine. response:	I'm so hungry.
context: I'm home.\Apparently we're eating out today.\What? Really?\Want to take a shower?\I'll be quick.\Dear, turn the TV off.\Fine, fine.\I'm so hungry. response:	Cafe Restaurant
context: Apparently we're eating out today.\What? Really?\Want to take a shower?\I'll be quick.\Dear, turn the TV off.\Fine, fine.\I'm so hungry.\Cafe Restaurant response:	Guest
context: What? Really?\Want to take a shower?\I'll be quick.\Dear, turn the TV off.\Fine, fine.\I'm so hungry.\Cafe Restaurant\Guest response:	Table for four.
context: Want to take a shower?\I'll be quick.\Dear, turn the TV off.\Fine, fine.\I'm so hungry.\Cafe Restaurant\Guest\Table for four. response:	You're always on LINE.
context: I'll be quick.\Dear, turn the TV off.\Fine, fine.\I'm so hungry.\Cafe Restaurant\Guest\Table for four.\You're always on LINE. response:	What do you care?
context: Dear, turn the TV off.\Fine, fine.\I'm so hungry.\Cafe Restaurant\Guest\Table for four.\You're always on LINE.\What do you care? response:	That kid from before?
context: Fine, fine.\I'm so hungry.\Cafe Restaurant\Guest\Table for four.\You're always on LINE.\What do you care?\That kid from before? response:	I'll have the mixed grill and mini-ramen.
context: I'm so hungry.\Cafe Restaurant\Guest\Table for four.\You're always on LINE.\What do you care?\That kid from before?\I'll have the mixed grill and mini-ramen. response:	I brought us water.
context: Cafe Restaurant\Guest\Table for four.\You're always on LINE.\What do you care?\That kid from before?\I'll have the mixed grill and mini-ramen.\I brought us water. response:	Thanks.
context: Guest\Table for four.\You're always on LINE.\What do you care?\That kid from before?\I'll have the mixed grill and mini-ramen.\I brought us water.\Thanks. response:	You'll get fat.
context: Table for four.\You're always on LINE.\What do you care?\That kid from before?\I'll have the mixed grill and mini-ramen.\I brought us water.\Thanks.\You'll get fat. response:	You don't want any, Kotarou?
context: You're always on LINE.\What do you care?\That kid from before?\I'll have the mixed grill and mini-ramen.\I brought us water.\Thanks.\You'll get fat.\You don't want any, Kotarou? response:	I run. Can I have dessert, too?
context: What do you care?\That kid from before?\I'll have the mixed grill and mini-ramen.\I brought us water.\Thanks.\You'll get fat.\You don't want any, Kotarou?\I run. Can I have dessert, too? response:	I'll get the drink bar.
context: That kid from before?\I'll have the mixed grill and mini-ramen.\I brought us water.\Thanks.\You'll get fat.\You don't want any, Kotarou?\I run. Can I have dessert, too?\I'll get the drink bar. response:	You should stick with tea.
context: I'll have the mixed grill and mini-ramen.\I brought us water.\Thanks.\You'll get fat.\You don't want any, Kotarou?\I run. Can I have dessert, too?\I'll get the drink bar.\You should stick with tea. response:	You're ordering too much.
context: I brought us water.\Thanks.\You'll get fat.\You don't want any, Kotarou?\I run. Can I have dessert, too?\I'll get the drink bar.\You should stick with tea.\You're ordering too much. response:	Eat well. You're working hard for your club.
context: Thanks.\You'll get fat.\You don't want any, Kotarou?\I run. Can I have dessert, too?\I'll get the drink bar.\You should stick with tea.\You're ordering too much.\Eat well. You're working hard for your club. response:	What about you, Onee-chan?
context: You'll get fat.\You don't want any, Kotarou?\I run. Can I have dessert, too?\I'll get the drink bar.\You should stick with tea.\You're ordering too much.\Eat well. You're working hard for your club.\What about you, Onee-chan? response:	Pasta salad and the drink bar.
context: You don't want any, Kotarou?\I run. Can I have dessert, too?\I'll get the drink bar.\You should stick with tea.\You're ordering too much.\Eat well. You're working hard for your club.\What about you, Onee-chan?\Pasta salad and the drink bar. response:	That's it?
context: I run. Can I have dessert, too?\I'll get the drink bar.\You should stick with tea.\You're ordering too much.\Eat well. You're working hard for your club.\What about you, Onee-chan?\Pasta salad and the drink bar.\That's it? response:	The seasonal veggie meal is bamboo shoot rice.
context: I'll get the drink bar.\You should stick with tea.\You're ordering too much.\Eat well. You're working hard for your club.\What about you, Onee-chan?\Pasta salad and the drink bar.\That's it?\The seasonal veggie meal is bamboo shoot rice. response:	You're ordering beer and the drink bar, dear?
context: You should stick with tea.\You're ordering too much.\Eat well. You're working hard for your club.\What about you, Onee-chan?\Pasta salad and the drink bar.\That's it?\The seasonal veggie meal is bamboo shoot rice.\You're ordering beer and the drink bar, dear? response:	Come on, what's wrong with that?
context: You're ordering too much.\Eat well. You're working hard for your club.\What about you, Onee-chan?\Pasta salad and the drink bar.\That's it?\The seasonal veggie meal is bamboo shoot rice.\You're ordering beer and the drink bar, dear?\Come on, what's wrong with that? response:	That sounds good.
context: Eat well. You're working hard for your club.\What about you, Onee-chan?\Pasta salad and the drink bar.\That's it?\The seasonal veggie meal is bamboo shoot rice.\You're ordering beer and the drink bar, dear?\Come on, what's wrong with that?\That sounds good. response:	Isn't that wasteful?
context: What about you, Onee-chan?\Pasta salad and the drink bar.\That's it?\The seasonal veggie meal is bamboo shoot rice.\You're ordering beer and the drink bar, dear?\Come on, what's wrong with that?\That sounds good.\Isn't that wasteful? response:	I want both.
context: Pasta salad and the drink bar.\That's it?\The seasonal veggie meal is bamboo shoot rice.\You're ordering beer and the drink bar, dear?\Come on, what's wrong with that?\That sounds good.\Isn't that wasteful?\I want both. response:	That, and a beer.
context: That's it?\The seasonal veggie meal is bamboo shoot rice.\You're ordering beer and the drink bar, dear?\Come on, what's wrong with that?\That sounds good.\Isn't that wasteful?\I want both.\That, and a beer. response:	Please don't get drunk.
context: The seasonal veggie meal is bamboo shoot rice.\You're ordering beer and the drink bar, dear?\Come on, what's wrong with that?\That sounds good.\Isn't that wasteful?\I want both.\That, and a beer.\Please don't get drunk. response:	I thought I had it in here.
context: You're ordering beer and the drink bar, dear?\Come on, what's wrong with that?\That sounds good.\Isn't that wasteful?\I want both.\That, and a beer.\Please don't get drunk.\I thought I had it in here. response:	Man, my daughter's so cold. At least let me have a beer while we're out, would you?
context: Come on, what's wrong with that?\That sounds good.\Isn't that wasteful?\I want both.\That, and a beer.\Please don't get drunk.\I thought I had it in here.\Man, my daughter's so cold. At least let me have a beer while we're out, would you? response:	I told you to check before we left.
context: That sounds good.\Isn't that wasteful?\I want both.\That, and a beer.\Please don't get drunk.\I thought I had it in here.\Man, my daughter's so cold. At least let me have a beer while we're out, would you?\I told you to check before we left. response:	Found it.
context: Isn't that wasteful?\I want both.\That, and a beer.\Please don't get drunk.\I thought I had it in here.\Man, my daughter's so cold. At least let me have a beer while we're out, would you?\I told you to check before we left.\Found it. response:	I think I'll have this one.
context: I want both.\That, and a beer.\Please don't get drunk.\I thought I had it in here.\Man, my daughter's so cold. At least let me have a beer while we're out, would you?\I told you to check before we left.\Found it.\I think I'll have this one. response:	Okay.
context: That, and a beer.\Please don't get drunk.\I thought I had it in here.\Man, my daughter's so cold. At least let me have a beer while we're out, would you?\I told you to check before we left.\Found it.\I think I'll have this one.\Okay. response:	Maybe I'll have this one.
context: Please don't get drunk.\I thought I had it in here.\Man, my daughter's so cold. At least let me have a beer while we're out, would you?\I told you to check before we left.\Found it.\I think I'll have this one.\Okay.\Maybe I'll have this one. response:	Gratin and lasagna both sound good, too.
context: I thought I had it in here.\Man, my daughter's so cold. At least let me have a beer while we're out, would you?\I told you to check before we left.\Found it.\I think I'll have this one.\Okay.\Maybe I'll have this one.\Gratin and lasagna both sound good, too. response:	Want me to choose for you?
context: Man, my daughter's so cold. At least let me have a beer while we're out, would you?\I told you to check before we left.\Found it.\I think I'll have this one.\Okay.\Maybe I'll have this one.\Gratin and lasagna both sound good, too.\Want me to choose for you? response:	Or maybe pasta?
context: I told you to check before we left.\Found it.\I think I'll have this one.\Okay.\Maybe I'll have this one.\Gratin and lasagna both sound good, too.\Want me to choose for you?\Or maybe pasta? response:	Dad, be quiet.
