context: She's been gazing at them a lot lately, response:	but do you think she might want to go?
context: Oh, school.\I see that come up on the Internet often.\The Internet? You've gotten used to it, huh.\Kanna-chan.\What, Kobayashi?\Oh, well...\Want to go to school?\Oborozuka Shopping District response:	Kobayashi!
context: I see that come up on the Internet often.\The Internet? You've gotten used to it, huh.\Kanna-chan.\What, Kobayashi?\Oh, well...\Want to go to school?\Oborozuka Shopping District\Kobayashi! response:	Hurry! Hurry!
context: The Internet? You've gotten used to it, huh.\Kanna-chan.\What, Kobayashi?\Oh, well...\Want to go to school?\Oborozuka Shopping District\Kobayashi!\Hurry! Hurry! response:	Hey, Kanna, don't make trouble for Miss Kobayashi!
context: Kanna-chan.\What, Kobayashi?\Oh, well...\Want to go to school?\Oborozuka Shopping District\Kobayashi!\Hurry! Hurry!\Hey, Kanna, don't make trouble for Miss Kobayashi! response:	You need all this just to go to school?
context: What, Kobayashi?\Oh, well...\Want to go to school?\Oborozuka Shopping District\Kobayashi!\Hurry! Hurry!\Hey, Kanna, don't make trouble for Miss Kobayashi!\You need all this just to go to school? response:	Textbooks and storage boxes will be provided on the first day. Pencil case Pencils Erasers Crayons (16 colors) Colored pencils (12 colors) Scissors Glue Pencil board Ruler Unruled notebooks Indoor slippers Slipper case Gym clothes Gym cap Gym clothes case Handkerchief Safety buzzer
context: Oh, well...\Want to go to school?\Oborozuka Shopping District\Kobayashi!\Hurry! Hurry!\Hey, Kanna, don't make trouble for Miss Kobayashi!\You need all this just to go to school?\Textbooks and storage boxes will be provided on the first day. Pencil case Pencils Erasers Crayons (16 colors) Colored pencils (12 colors) Scissors Glue Pencil board Ruler Unruled notebooks Indoor slippers Slipper case Gym clothes Gym cap Gym clothes case Handkerchief Safety buzzer response:	You said it.
context: Want to go to school?\Oborozuka Shopping District\Kobayashi!\Hurry! Hurry!\Hey, Kanna, don't make trouble for Miss Kobayashi!\You need all this just to go to school?\Textbooks and storage boxes will be provided on the first day. Pencil case Pencils Erasers Crayons (16 colors) Colored pencils (12 colors) Scissors Glue Pencil board Ruler Unruled notebooks Indoor slippers Slipper case Gym clothes Gym cap Gym clothes case Handkerchief Safety buzzer\You said it. response:	I sense some collusion between schools and the manufacturers.
context: Oborozuka Shopping District\Kobayashi!\Hurry! Hurry!\Hey, Kanna, don't make trouble for Miss Kobayashi!\You need all this just to go to school?\Textbooks and storage boxes will be provided on the first day. Pencil case Pencils Erasers Crayons (16 colors) Colored pencils (12 colors) Scissors Glue Pencil board Ruler Unruled notebooks Indoor slippers Slipper case Gym clothes Gym cap Gym clothes case Handkerchief Safety buzzer\You said it.\I sense some collusion between schools and the manufacturers. response:	It's a conspiracy.
context: Kobayashi!\Hurry! Hurry!\Hey, Kanna, don't make trouble for Miss Kobayashi!\You need all this just to go to school?\Textbooks and storage boxes will be provided on the first day. Pencil case Pencils Erasers Crayons (16 colors) Colored pencils (12 colors) Scissors Glue Pencil board Ruler Unruled notebooks Indoor slippers Slipper case Gym clothes Gym cap Gym clothes case Handkerchief Safety buzzer\You said it.\I sense some collusion between schools and the manufacturers.\It's a conspiracy. response:	I don't think that's true.
context: Hurry! Hurry!\Hey, Kanna, don't make trouble for Miss Kobayashi!\You need all this just to go to school?\Textbooks and storage boxes will be provided on the first day. Pencil case Pencils Erasers Crayons (16 colors) Colored pencils (12 colors) Scissors Glue Pencil board Ruler Unruled notebooks Indoor slippers Slipper case Gym clothes Gym cap Gym clothes case Handkerchief Safety buzzer\You said it.\I sense some collusion between schools and the manufacturers.\It's a conspiracy.\I don't think that's true. response:	The Internet said it is!
context: Hey, Kanna, don't make trouble for Miss Kobayashi!\You need all this just to go to school?\Textbooks and storage boxes will be provided on the first day. Pencil case Pencils Erasers Crayons (16 colors) Colored pencils (12 colors) Scissors Glue Pencil board Ruler Unruled notebooks Indoor slippers Slipper case Gym clothes Gym cap Gym clothes case Handkerchief Safety buzzer\You said it.\I sense some collusion between schools and the manufacturers.\It's a conspiracy.\I don't think that's true.\The Internet said it is! response:	It's a bad influence on dragons, too, huh...
context: You need all this just to go to school?\Textbooks and storage boxes will be provided on the first day. Pencil case Pencils Erasers Crayons (16 colors) Colored pencils (12 colors) Scissors Glue Pencil board Ruler Unruled notebooks Indoor slippers Slipper case Gym clothes Gym cap Gym clothes case Handkerchief Safety buzzer\You said it.\I sense some collusion between schools and the manufacturers.\It's a conspiracy.\I don't think that's true.\The Internet said it is!\It's a bad influence on dragons, too, huh... response:	Shop at your local shopping district! Save with your point card!
context: Textbooks and storage boxes will be provided on the first day. Pencil case Pencils Erasers Crayons (16 colors) Colored pencils (12 colors) Scissors Glue Pencil board Ruler Unruled notebooks Indoor slippers Slipper case Gym clothes Gym cap Gym clothes case Handkerchief Safety buzzer\You said it.\I sense some collusion between schools and the manufacturers.\It's a conspiracy.\I don't think that's true.\The Internet said it is!\It's a bad influence on dragons, too, huh...\Shop at your local shopping district! Save with your point card! response:	Well, let's pick up all the stationery first.
context: You said it.\I sense some collusion between schools and the manufacturers.\It's a conspiracy.\I don't think that's true.\The Internet said it is!\It's a bad influence on dragons, too, huh...\Shop at your local shopping district! Save with your point card!\Well, let's pick up all the stationery first. response:	Noyama Stationery
context: I sense some collusion between schools and the manufacturers.\It's a conspiracy.\I don't think that's true.\The Internet said it is!\It's a bad influence on dragons, too, huh...\Shop at your local shopping district! Save with your point card!\Well, let's pick up all the stationery first.\Noyama Stationery response:	Yeah, this is it.
context: It's a conspiracy.\I don't think that's true.\The Internet said it is!\It's a bad influence on dragons, too, huh...\Shop at your local shopping district! Save with your point card!\Well, let's pick up all the stationery first.\Noyama Stationery\Yeah, this is it. response:	I see stationery stores haven't changed at all since long ago.
context: I don't think that's true.\The Internet said it is!\It's a bad influence on dragons, too, huh...\Shop at your local shopping district! Save with your point card!\Well, let's pick up all the stationery first.\Noyama Stationery\Yeah, this is it.\I see stationery stores haven't changed at all since long ago. response:	What's that look for?!
context: The Internet said it is!\It's a bad influence on dragons, too, huh...\Shop at your local shopping district! Save with your point card!\Well, let's pick up all the stationery first.\Noyama Stationery\Yeah, this is it.\I see stationery stores haven't changed at all since long ago.\What's that look for?! response:	They're not cute.
context: It's a bad influence on dragons, too, huh...\Shop at your local shopping district! Save with your point card!\Well, let's pick up all the stationery first.\Noyama Stationery\Yeah, this is it.\I see stationery stores haven't changed at all since long ago.\What's that look for?!\They're not cute. response:	Huh?!
context: Shop at your local shopping district! Save with your point card!\Well, let's pick up all the stationery first.\Noyama Stationery\Yeah, this is it.\I see stationery stores haven't changed at all since long ago.\What's that look for?!\They're not cute.\Huh?! response:	Jeez, you don't get it, Miss Kobayashi.
context: Well, let's pick up all the stationery first.\Noyama Stationery\Yeah, this is it.\I see stationery stores haven't changed at all since long ago.\What's that look for?!\They're not cute.\Huh?!\Jeez, you don't get it, Miss Kobayashi. response:	Leave it to me!
context: Noyama Stationery\Yeah, this is it.\I see stationery stores haven't changed at all since long ago.\What's that look for?!\They're not cute.\Huh?!\Jeez, you don't get it, Miss Kobayashi.\Leave it to me! response:	What's this place?
context: Yeah, this is it.\I see stationery stores haven't changed at all since long ago.\What's that look for?!\They're not cute.\Huh?!\Jeez, you don't get it, Miss Kobayashi.\Leave it to me!\What's this place? response:	The feathers plucked from live birds around this season make good pens!
context: I see stationery stores haven't changed at all since long ago.\What's that look for?!\They're not cute.\Huh?!\Jeez, you don't get it, Miss Kobayashi.\Leave it to me!\What's this place?\The feathers plucked from live birds around this season make good pens! response:	Scary! Scary!
context: What's that look for?!\They're not cute.\Huh?!\Jeez, you don't get it, Miss Kobayashi.\Leave it to me!\What's this place?\The feathers plucked from live birds around this season make good pens!\Scary! Scary! response:	Seems like this is wrong, too.
context: They're not cute.\Huh?!\Jeez, you don't get it, Miss Kobayashi.\Leave it to me!\What's this place?\The feathers plucked from live birds around this season make good pens!\Scary! Scary!\Seems like this is wrong, too. response:	That's strange.
context: Huh?!\Jeez, you don't get it, Miss Kobayashi.\Leave it to me!\What's this place?\The feathers plucked from live birds around this season make good pens!\Scary! Scary!\Seems like this is wrong, too.\That's strange. response:	When I was in the other world everyone used quill pens.
context: Jeez, you don't get it, Miss Kobayashi.\Leave it to me!\What's this place?\The feathers plucked from live birds around this season make good pens!\Scary! Scary!\Seems like this is wrong, too.\That's strange.\When I was in the other world everyone used quill pens. response:	I want a cute one. A cute one.
context: Leave it to me!\What's this place?\The feathers plucked from live birds around this season make good pens!\Scary! Scary!\Seems like this is wrong, too.\That's strange.\When I was in the other world everyone used quill pens.\I want a cute one. A cute one. response:	So she says.
context: What's this place?\The feathers plucked from live birds around this season make good pens!\Scary! Scary!\Seems like this is wrong, too.\That's strange.\When I was in the other world everyone used quill pens.\I want a cute one. A cute one.\So she says. response:	Oh, I heard a new store opened outside the shopping district recently.
context: The feathers plucked from live birds around this season make good pens!\Scary! Scary!\Seems like this is wrong, too.\That's strange.\When I was in the other world everyone used quill pens.\I want a cute one. A cute one.\So she says.\Oh, I heard a new store opened outside the shopping district recently. response:	What is this?
context: Scary! Scary!\Seems like this is wrong, too.\That's strange.\When I was in the other world everyone used quill pens.\I want a cute one. A cute one.\So she says.\Oh, I heard a new store opened outside the shopping district recently.\What is this? response:	Everything's sparkling in my eyes.
context: Seems like this is wrong, too.\That's strange.\When I was in the other world everyone used quill pens.\I want a cute one. A cute one.\So she says.\Oh, I heard a new store opened outside the shopping district recently.\What is this?\Everything's sparkling in my eyes. response:	Kobayashi!
context: That's strange.\When I was in the other world everyone used quill pens.\I want a cute one. A cute one.\So she says.\Oh, I heard a new store opened outside the shopping district recently.\What is this?\Everything's sparkling in my eyes.\Kobayashi! response:	What's this?
context: When I was in the other world everyone used quill pens.\I want a cute one. A cute one.\So she says.\Oh, I heard a new store opened outside the shopping district recently.\What is this?\Everything's sparkling in my eyes.\Kobayashi!\What's this? response:	How do you use it?
context: I want a cute one. A cute one.\So she says.\Oh, I heard a new store opened outside the shopping district recently.\What is this?\Everything's sparkling in my eyes.\Kobayashi!\What's this?\How do you use it? response:	Kanna
context: So she says.\Oh, I heard a new store opened outside the shopping district recently.\What is this?\Everything's sparkling in my eyes.\Kobayashi!\What's this?\How do you use it?\Kanna response:	You use this to write characters.
context: Oh, I heard a new store opened outside the shopping district recently.\What is this?\Everything's sparkling in my eyes.\Kobayashi!\What's this?\How do you use it?\Kanna\You use this to write characters. response:	You'll be using a pencil though, Kanna-chan.
context: What is this?\Everything's sparkling in my eyes.\Kobayashi!\What's this?\How do you use it?\Kanna\You use this to write characters.\You'll be using a pencil though, Kanna-chan. response:	Miss Kobayashi!
context: Everything's sparkling in my eyes.\Kobayashi!\What's this?\How do you use it?\Kanna\You use this to write characters.\You'll be using a pencil though, Kanna-chan.\Miss Kobayashi! response:	How's this?!
context: Kobayashi!\What's this?\How do you use it?\Kanna\You use this to write characters.\You'll be using a pencil though, Kanna-chan.\Miss Kobayashi!\How's this?! response:	I <3 Miss Kobayashi I <3 Miss Kobayashi I <3 Miss Kobayashi I <3 Miss Kobayashi
context: What's this?\How do you use it?\Kanna\You use this to write characters.\You'll be using a pencil though, Kanna-chan.\Miss Kobayashi!\How's this?!\I <3 Miss Kobayashi I <3 Miss Kobayashi I <3 Miss Kobayashi I <3 Miss Kobayashi response:	Scary!
context: How do you use it?\Kanna\You use this to write characters.\You'll be using a pencil though, Kanna-chan.\Miss Kobayashi!\How's this?!\I <3 Miss Kobayashi I <3 Miss Kobayashi I <3 Miss Kobayashi I <3 Miss Kobayashi\Scary! response:	Hey, Kobayashi,
context: Kanna\You use this to write characters.\You'll be using a pencil though, Kanna-chan.\Miss Kobayashi!\How's this?!\I <3 Miss Kobayashi I <3 Miss Kobayashi I <3 Miss Kobayashi I <3 Miss Kobayashi\Scary!\Hey, Kobayashi, response:	what's this thing that looks like a dragon's mouth?
context: You use this to write characters.\You'll be using a pencil though, Kanna-chan.\Miss Kobayashi!\How's this?!\I <3 Miss Kobayashi I <3 Miss Kobayashi I <3 Miss Kobayashi I <3 Miss Kobayashi\Scary!\Hey, Kobayashi,\what's this thing that looks like a dragon's mouth? response:	You use it like this.
context: You'll be using a pencil though, Kanna-chan.\Miss Kobayashi!\How's this?!\I <3 Miss Kobayashi I <3 Miss Kobayashi I <3 Miss Kobayashi I <3 Miss Kobayashi\Scary!\Hey, Kobayashi,\what's this thing that looks like a dragon's mouth?\You use it like this. response:	What a torture device.
context: Miss Kobayashi!\How's this?!\I <3 Miss Kobayashi I <3 Miss Kobayashi I <3 Miss Kobayashi I <3 Miss Kobayashi\Scary!\Hey, Kobayashi,\what's this thing that looks like a dragon's mouth?\You use it like this.\What a torture device. response:	How did you jump to that?
context: How's this?!\I <3 Miss Kobayashi I <3 Miss Kobayashi I <3 Miss Kobayashi I <3 Miss Kobayashi\Scary!\Hey, Kobayashi,\what's this thing that looks like a dragon's mouth?\You use it like this.\What a torture device.\How did you jump to that? response:	Then what about this?
context: I <3 Miss Kobayashi I <3 Miss Kobayashi I <3 Miss Kobayashi I <3 Miss Kobayashi\Scary!\Hey, Kobayashi,\what's this thing that looks like a dragon's mouth?\You use it like this.\What a torture device.\How did you jump to that?\Then what about this? response:	That's a tool for branding slaves.
context: Scary!\Hey, Kobayashi,\what's this thing that looks like a dragon's mouth?\You use it like this.\What a torture device.\How did you jump to that?\Then what about this?\That's a tool for branding slaves. response:	You use it to mark your property.
context: Hey, Kobayashi,\what's this thing that looks like a dragon's mouth?\You use it like this.\What a torture device.\How did you jump to that?\Then what about this?\That's a tool for branding slaves.\You use it to mark your property. response:	Come on, Miss Kobayashi! Brand me as yours!
context: what's this thing that looks like a dragon's mouth?\You use it like this.\What a torture device.\How did you jump to that?\Then what about this?\That's a tool for branding slaves.\You use it to mark your property.\Come on, Miss Kobayashi! Brand me as yours! response:	No.
context: You use it like this.\What a torture device.\How did you jump to that?\Then what about this?\That's a tool for branding slaves.\You use it to mark your property.\Come on, Miss Kobayashi! Brand me as yours!\No. response:	Popular! Unicorn Pencil Box
context: What a torture device.\How did you jump to that?\Then what about this?\That's a tool for branding slaves.\You use it to mark your property.\Come on, Miss Kobayashi! Brand me as yours!\No.\Popular! Unicorn Pencil Box response:	Look, Lady Tohru, a unicorn.
context: How did you jump to that?\Then what about this?\That's a tool for branding slaves.\You use it to mark your property.\Come on, Miss Kobayashi! Brand me as yours!\No.\Popular! Unicorn Pencil Box\Look, Lady Tohru, a unicorn. response:	I think that unicorn would be happy knowing this.
context: Then what about this?\That's a tool for branding slaves.\You use it to mark your property.\Come on, Miss Kobayashi! Brand me as yours!\No.\Popular! Unicorn Pencil Box\Look, Lady Tohru, a unicorn.\I think that unicorn would be happy knowing this. response:	Part of me wants to ask, and part of me doesn't.
context: That's a tool for branding slaves.\You use it to mark your property.\Come on, Miss Kobayashi! Brand me as yours!\No.\Popular! Unicorn Pencil Box\Look, Lady Tohru, a unicorn.\I think that unicorn would be happy knowing this.\Part of me wants to ask, and part of me doesn't. response:	*Miss Kobayashi paid for it after this.
context: You use it to mark your property.\Come on, Miss Kobayashi! Brand me as yours!\No.\Popular! Unicorn Pencil Box\Look, Lady Tohru, a unicorn.\I think that unicorn would be happy knowing this.\Part of me wants to ask, and part of me doesn't.\*Miss Kobayashi paid for it after this. response:	Total Cash
context: Come on, Miss Kobayashi! Brand me as yours!\No.\Popular! Unicorn Pencil Box\Look, Lady Tohru, a unicorn.\I think that unicorn would be happy knowing this.\Part of me wants to ask, and part of me doesn't.\*Miss Kobayashi paid for it after this.\Total Cash response:	Total Cash Change
context: No.\Popular! Unicorn Pencil Box\Look, Lady Tohru, a unicorn.\I think that unicorn would be happy knowing this.\Part of me wants to ask, and part of me doesn't.\*Miss Kobayashi paid for it after this.\Total Cash\Total Cash Change response:	Thank you very much!
context: Popular! Unicorn Pencil Box\Look, Lady Tohru, a unicorn.\I think that unicorn would be happy knowing this.\Part of me wants to ask, and part of me doesn't.\*Miss Kobayashi paid for it after this.\Total Cash\Total Cash Change\Thank you very much! response:	Now we've got most of it.
context: Look, Lady Tohru, a unicorn.\I think that unicorn would be happy knowing this.\Part of me wants to ask, and part of me doesn't.\*Miss Kobayashi paid for it after this.\Total Cash\Total Cash Change\Thank you very much!\Now we've got most of it. response:	Then on to the next stop!
context: I think that unicorn would be happy knowing this.\Part of me wants to ask, and part of me doesn't.\*Miss Kobayashi paid for it after this.\Total Cash\Total Cash Change\Thank you very much!\Now we've got most of it.\Then on to the next stop! response:	Does it really have to be this place?
context: Part of me wants to ask, and part of me doesn't.\*Miss Kobayashi paid for it after this.\Total Cash\Total Cash Change\Thank you very much!\Now we've got most of it.\Then on to the next stop!\Does it really have to be this place? response:	This is the only place in the area that sells backpacks.
context: *Miss Kobayashi paid for it after this.\Total Cash\Total Cash Change\Thank you very much!\Now we've got most of it.\Then on to the next stop!\Does it really have to be this place?\This is the only place in the area that sells backpacks. response:	I understand that, but I still don't like it.
context: Total Cash\Total Cash Change\Thank you very much!\Now we've got most of it.\Then on to the next stop!\Does it really have to be this place?\This is the only place in the area that sells backpacks.\I understand that, but I still don't like it. response:	I can't help but remember...
context: Total Cash Change\Thank you very much!\Now we've got most of it.\Then on to the next stop!\Does it really have to be this place?\This is the only place in the area that sells backpacks.\I understand that, but I still don't like it.\I can't help but remember... response:	Well, let's go.
context: Thank you very much!\Now we've got most of it.\Then on to the next stop!\Does it really have to be this place?\This is the only place in the area that sells backpacks.\I understand that, but I still don't like it.\I can't help but remember...\Well, let's go. response:	The two of us.
context: Now we've got most of it.\Then on to the next stop!\Does it really have to be this place?\This is the only place in the area that sells backpacks.\I understand that, but I still don't like it.\I can't help but remember...\Well, let's go.\The two of us. response:	Please wait!
context: Then on to the next stop!\Does it really have to be this place?\This is the only place in the area that sells backpacks.\I understand that, but I still don't like it.\I can't help but remember...\Well, let's go.\The two of us.\Please wait! response:	Kanna-chan, which one do you like?
context: Does it really have to be this place?\This is the only place in the area that sells backpacks.\I understand that, but I still don't like it.\I can't help but remember...\Well, let's go.\The two of us.\Please wait!\Kanna-chan, which one do you like? response:	This.
context: This is the only place in the area that sells backpacks.\I understand that, but I still don't like it.\I can't help but remember...\Well, let's go.\The two of us.\Please wait!\Kanna-chan, which one do you like?\This. response:	She chose a surprisingly normal one.
context: I understand that, but I still don't like it.\I can't help but remember...\Well, let's go.\The two of us.\Please wait!\Kanna-chan, which one do you like?\This.\She chose a surprisingly normal one. response:	Figures, Kanna.
context: I can't help but remember...\Well, let's go.\The two of us.\Please wait!\Kanna-chan, which one do you like?\This.\She chose a surprisingly normal one.\Figures, Kanna. response:	I can see why you'd choose a cursed item that's absorbed human blood.
context: Well, let's go.\The two of us.\Please wait!\Kanna-chan, which one do you like?\This.\She chose a surprisingly normal one.\Figures, Kanna.\I can see why you'd choose a cursed item that's absorbed human blood. response:	Uh-huh.
context: The two of us.\Please wait!\Kanna-chan, which one do you like?\This.\She chose a surprisingly normal one.\Figures, Kanna.\I can see why you'd choose a cursed item that's absorbed human blood.\Uh-huh. response:	That's your reason?!
context: Please wait!\Kanna-chan, which one do you like?\This.\She chose a surprisingly normal one.\Figures, Kanna.\I can see why you'd choose a cursed item that's absorbed human blood.\Uh-huh.\That's your reason?! response:	That'll be 38,000 yen.
context: Kanna-chan, which one do you like?\This.\She chose a surprisingly normal one.\Figures, Kanna.\I can see why you'd choose a cursed item that's absorbed human blood.\Uh-huh.\That's your reason?!\That'll be 38,000 yen. response:	It costs that much?
context: This.\She chose a surprisingly normal one.\Figures, Kanna.\I can see why you'd choose a cursed item that's absorbed human blood.\Uh-huh.\That's your reason?!\That'll be 38,000 yen.\It costs that much? response:	Is this all right?
context: She chose a surprisingly normal one.\Figures, Kanna.\I can see why you'd choose a cursed item that's absorbed human blood.\Uh-huh.\That's your reason?!\That'll be 38,000 yen.\It costs that much?\Is this all right? response:	Oh, yeah. It's fine.
context: Figures, Kanna.\I can see why you'd choose a cursed item that's absorbed human blood.\Uh-huh.\That's your reason?!\That'll be 38,000 yen.\It costs that much?\Is this all right?\Oh, yeah. It's fine. response:	I'm sorry, I'll be paying with card.
context: I can see why you'd choose a cursed item that's absorbed human blood.\Uh-huh.\That's your reason?!\That'll be 38,000 yen.\It costs that much?\Is this all right?\Oh, yeah. It's fine.\I'm sorry, I'll be paying with card. response:	Sure. Thank you very much.
context: Uh-huh.\That's your reason?!\That'll be 38,000 yen.\It costs that much?\Is this all right?\Oh, yeah. It's fine.\I'm sorry, I'll be paying with card.\Sure. Thank you very much. response:	Ohyama Clothing Store Student Uniform Specialty Shop
context: That's your reason?!\That'll be 38,000 yen.\It costs that much?\Is this all right?\Oh, yeah. It's fine.\I'm sorry, I'll be paying with card.\Sure. Thank you very much.\Ohyama Clothing Store Student Uniform Specialty Shop response:	Miss Kobayashi, Kanna's going to pout again if we go in another store like this.
context: That'll be 38,000 yen.\It costs that much?\Is this all right?\Oh, yeah. It's fine.\I'm sorry, I'll be paying with card.\Sure. Thank you very much.\Ohyama Clothing Store Student Uniform Specialty Shop\Miss Kobayashi, Kanna's going to pout again if we go in another store like this. response:	This is the store designated by the school,
context: It costs that much?\Is this all right?\Oh, yeah. It's fine.\I'm sorry, I'll be paying with card.\Sure. Thank you very much.\Ohyama Clothing Store Student Uniform Specialty Shop\Miss Kobayashi, Kanna's going to pout again if we go in another store like this.\This is the store designated by the school, response:	so we have no choice.
context: Is this all right?\Oh, yeah. It's fine.\I'm sorry, I'll be paying with card.\Sure. Thank you very much.\Ohyama Clothing Store Student Uniform Specialty Shop\Miss Kobayashi, Kanna's going to pout again if we go in another store like this.\This is the store designated by the school,\so we have no choice. response:	It's collusion.
context: Oh, yeah. It's fine.\I'm sorry, I'll be paying with card.\Sure. Thank you very much.\Ohyama Clothing Store Student Uniform Specialty Shop\Miss Kobayashi, Kanna's going to pout again if we go in another store like this.\This is the store designated by the school,\so we have no choice.\It's collusion. response:	You're persistent about that.
context: I'm sorry, I'll be paying with card.\Sure. Thank you very much.\Ohyama Clothing Store Student Uniform Specialty Shop\Miss Kobayashi, Kanna's going to pout again if we go in another store like this.\This is the store designated by the school,\so we have no choice.\It's collusion.\You're persistent about that. response:	Are these the ones designated by the school?
context: Sure. Thank you very much.\Ohyama Clothing Store Student Uniform Specialty Shop\Miss Kobayashi, Kanna's going to pout again if we go in another store like this.\This is the store designated by the school,\so we have no choice.\It's collusion.\You're persistent about that.\Are these the ones designated by the school? response:	They all seem the same.
context: Ohyama Clothing Store Student Uniform Specialty Shop\Miss Kobayashi, Kanna's going to pout again if we go in another store like this.\This is the store designated by the school,\so we have no choice.\It's collusion.\You're persistent about that.\Are these the ones designated by the school?\They all seem the same. response:	That's fine.
context: Miss Kobayashi, Kanna's going to pout again if we go in another store like this.\This is the store designated by the school,\so we have no choice.\It's collusion.\You're persistent about that.\Are these the ones designated by the school?\They all seem the same.\That's fine. response:	Everyone should be wearing the same thing.
context: This is the store designated by the school,\so we have no choice.\It's collusion.\You're persistent about that.\Are these the ones designated by the school?\They all seem the same.\That's fine.\Everyone should be wearing the same thing. response:	Why's that?
context: so we have no choice.\It's collusion.\You're persistent about that.\Are these the ones designated by the school?\They all seem the same.\That's fine.\Everyone should be wearing the same thing.\Why's that? response:	To reduce differences.
context: It's collusion.\You're persistent about that.\Are these the ones designated by the school?\They all seem the same.\That's fine.\Everyone should be wearing the same thing.\Why's that?\To reduce differences. response:	Men, women, Japanese, and foreigners are all the same.
context: You're persistent about that.\Are these the ones designated by the school?\They all seem the same.\That's fine.\Everyone should be wearing the same thing.\Why's that?\To reduce differences.\Men, women, Japanese, and foreigners are all the same. response:	That's important.
context: Are these the ones designated by the school?\They all seem the same.\That's fine.\Everyone should be wearing the same thing.\Why's that?\To reduce differences.\Men, women, Japanese, and foreigners are all the same.\That's important. response:	What happens when you're different from everyone else?
context: They all seem the same.\That's fine.\Everyone should be wearing the same thing.\Why's that?\To reduce differences.\Men, women, Japanese, and foreigners are all the same.\That's important.\What happens when you're different from everyone else? response:	Sometimes you're eliminated.
context: That's fine.\Everyone should be wearing the same thing.\Why's that?\To reduce differences.\Men, women, Japanese, and foreigners are all the same.\That's important.\What happens when you're different from everyone else?\Sometimes you're eliminated. response:	It might not be like that for dragons,
context: Everyone should be wearing the same thing.\Why's that?\To reduce differences.\Men, women, Japanese, and foreigners are all the same.\That's important.\What happens when you're different from everyone else?\Sometimes you're eliminated.\It might not be like that for dragons, response:	but humans don't like things different from themselves.
context: Why's that?\To reduce differences.\Men, women, Japanese, and foreigners are all the same.\That's important.\What happens when you're different from everyone else?\Sometimes you're eliminated.\It might not be like that for dragons,\but humans don't like things different from themselves. response:	That's foolish.
context: To reduce differences.\Men, women, Japanese, and foreigners are all the same.\That's important.\What happens when you're different from everyone else?\Sometimes you're eliminated.\It might not be like that for dragons,\but humans don't like things different from themselves.\That's foolish. response:	Yeah, I agree it is.
context: Men, women, Japanese, and foreigners are all the same.\That's important.\What happens when you're different from everyone else?\Sometimes you're eliminated.\It might not be like that for dragons,\but humans don't like things different from themselves.\That's foolish.\Yeah, I agree it is. response:	But everyone's afraid...
